,Les Précieuses Ridicules1,Les Véritables Précieuses2,Cost,Operation Type
98,"('#mascarille', ""Quelque vol de mon coeur, quelque assassinat de ma franchise.  Je vois ici des yeux qui ont la mine d'être de fort mauvais garçons, de faire insulte aux libertés, et de traiter une âme de Turc à More.  Comment diable, d'abord qu'on les approche, ils se mettent sur leur garde meurtrière ?  Ah !  Par ma foi je m'en défie, et je m'en vais gagner au pied, ou je veux caution bourgeoise qu'ils ne me feront point de mal. "")",,1.0,Insertion
99,"('#magdelon', ""Ma chère, c'est le caractère enjoué. "")",,1.0,Insertion
100,"('#cathos', ""Je vois bien que c'est un Amilcar. "")",,1.0,Insertion
101,"('#magdelon', ""Ne craignez rien, nos yeux n'ont point de mauvais desseins, et votre coeur peut dormir en assurance sur leur prud'homie. "")",,1.0,Insertion
102,"('#cathos', ""Mais de grâce, Monsieur, ne soyez pas inexorable à ce fauteuil qui vous tend les bras, il y a un quart d'heure, contentez un peu l'envie qu'il a de vous embrasser. "")",,1.0,Insertion
103,"('#mascarille', 'Eh bien, Mesdames, que dites-vous de Paris ? ')","('#isabelle', 'Plaît-il, Madame ?')",1.05,Substitution
104,"('#magdelon', ""Hélas !  Qu'en pourrions-nous dire ?  Il faudrait être l'antipode de la raison, pour ne pas confesser que Paris est le grand bureau des merveilles, le centre du bon goût, du bel esprit et de la galanterie. "")",,1.0,Insertion
105,"('#mascarille', ""Pour moi, je tiens que hors de Paris, il n'y a point de salut, pour les honnêtes gens. "")",,1.0,Insertion
106,"('#cathos', ""C'est une vérité incontestable. "")",,1.0,Insertion
107,"('#mascarille', 'Il y fait un peu crotté ; mais nous avons la chaise. ')","('#iscarie', 'Fournissez ici les trônes de la ruelle. Isabelle apporte des fauteuils.')",0.38,Substitution
108,"('#magdelon', 'Il est vrai que la chaise est un retranchement merveilleux contre les insultes de la boue, et du mauvais temps. ')",,1.0,Insertion
109,"('#mascarille', 'Vous recevez beaucoup de visites ?  Quel bel esprit est des vôtres ? ')","('#artemise', ""Monsieur prenez figure, s'il vous plaît."")",1.18,Substitution
110,"('#magdelon', ""Hélas nous ne sommes pas encore connues ; mais nous sommes en passe de l'être, et nous avons une amie particulière, qui nous a promis d'amener ici tous ces Messieurs du Recueil des pièces choisies. "")",,1.0,Insertion
111,"('#cathos', ""Et certains autres, qu'on nous a nommés aussi pour être les arbitres souverains des belles choses."")",,1.0,Insertion
112,"('#mascarille', ""C'est moi qui ferai votre affaire mieux que personne, ils me rendent tous visite, et je puis dire que je ne me lève jamais, sans une demi-douzaine de beaux esprits. "")","('#le-baron', ""Avez-vous grande foule d'Alcovistes chez vous ?  Qui préside ?  Qui est de quartier ?"")",1.21,Substitution
113,"('#magdelon', ""Eh !  Mon_Dieu, nous vous serons obligées de la dernière obligation, si vous nous faites cette amitié ; car enfin il faut avoir la connaissance de tous ces Messieurs-là, si l'on veut être du beau monde.  Ce sont ceux qui donnent le branle à la réputation dans Paris, et vous savez qu'il y en a tel, dont il ne faut que la seule fréquentation pour vous donner bruit de connaisseuse, quand il n'y aurait rien autre chose que cela.  Mais pour moi, ce que je considère particulièrement, c'est que par le moyen de ces visites spirituelles, on est instruite de cent choses, qu'il faut savoir de nécessité, et qui sont de l'essence d'un bel esprit.  On apprend par là, chaque jour, les petites nouvelles galantes ; les jolis commerces de prose et de vers.  On sait à point nommé, un tel a composé la plus jolie pièce du monde sur un tel sujet ; une telle a fait des paroles, sur un tel air ; celui-ci a fait un madrigal sur une jouissance ; celui-là a composé des stances sur une infidélité ; Monsieur un tel écrivit hier au soir un sixain à Mademoiselle une telle, dont elle lui a envoyé la réponse, ce matin, sur les huit heures ; un tel auteur a fait un tel dessein ; celui-là en est à la troisième partie de son roman ; cet autre met ses ouvrages sous la presse ; c'est là ce qui vous fait valoir dans les compagnies, et si l'on ignore ces choses, je ne donnerais pas un clou de tout l'esprit qu'on peut avoir. "")","('#isabelle', ""Nous en avons plusieurs, et de la vieille roche, même des femmes de la petite vertu ; et quoi que nous ayons quelques diseuses de pas-vrai, nous n'avons point de ces diseuses d'inutilités, qui ignorent la force des mots et le friand du goût."")",0.25,Substitution
114,"('#cathos', ""En effet, je trouve que c'est renchérir sur le ridicule, qu'une personne se pique d'esprit, et ne sache pas jusqu'au moindre petit quatrain? qui se fait chaque jour? et pour moi, j'aurais toutes les hontes du monde? s'il fallait qu'on vînt à me demander, si j'aurais vu quelque chose de nouveau, que je n'aurais pas vu. "")",,1.0,Insertion
115,"('#mascarille', ""Il est vrai qu'il est honteux de n'avoir pas des premiers tout ce qui se fait ; mais ne vous mettez pas en peine, je veux établir chez vous une Académie de beaux esprits, et je vous promets qu'il ne se fera pas un bout de vers dans Paris que vous ne sachiez par coeur, avant tous les autres.  Pour moi, tel que vous me voyez, je m'en escrime un peu, quand je veux, et vous verrez courir de ma façon, dans les belles Ruelles de Paris, deux cents chansons, autant de sonnets, quatre cents épigrammes et plus de mille madrigaux, sans compter les énigmes et les portraits. "")",,1.0,Insertion
116,"('#magdelon', 'Je vous avoue que je suis furieusement pour les portraits ; je ne vois rien de si galant, que cela. ')",,1.0,Insertion
117,"('#mascarille', 'Les portraits sont difficiles, et demandent un esprit profond.  Vous en verrez de ma manière qui ne vous déplairont pas. ')","('#le-baron', ""Sans doute quantité de celles qui vous viennent voir, vous servent de mouche, et l'on y en pourrait trouver aussi dont la neige du visage se fond."")",0.87,Substitution
118,"('#cathos', ""Pour moi, j'aime terriblement les Énigmes. "")",,1.0,Insertion
119,"('#mascarille', ""Cela exerce l'esprit, et j'en ai fait quatre encore ce matin, que je vous donnerai à deviner. "")","('#artemise', ""Il est vrai que l'on y en pourrait trouver qui lustrent leurs visages ; mais outre que celles-là sont graves par leur antiquité, les troupes auxiliaires de leur esprit soutiennent assez leurs ambiguïtés d'appâts."")",1.03,Substitution
120,"('#magdelon', 'Les madrigaux sont agréables, quand ils sont bien tournés. ')",,1.0,Insertion
121,"('#mascarille', ""C'est mon talent particulier, et je travaille à mettre en madrigaux, toute l'histoire romaine. "")",,1.0,Insertion
122,"('#magdelon', ""Ah, certes, cela sera du dernier beau, j'en retiens un exemplaire, au moins, si vous le faites imprimer. "")","('#le-baron', ""Il faut avouer, Mesdames, qu'il y a grand plaisir à faire figure dans le monde."")",1.28,Substitution
123,"('#mascarille', 'Je vous en promets à chacune un, et des mieux reliés.  Cela est au-dessous de ma condition ; mais je le fais seulement, pour donner à gagner aux libraires, qui me persécutent.')","('#iscarie', ""Vous l'y faites sans doute bien avantageusement, puisque vous avez dix mille livres de rente en fonds d'esprit, qu'aucun créancier ne peut saisir ni arrêter."")",0.83,Substitution
124,"('#magdelon', ""Je m'imagine que le plaisir est grand de se voir imprimé. "")",,1.0,Insertion
125,"('#mascarille', 'Sans doute ; mais à propos, il faut que je vous die un impromptu, que je fis hier chez une Duchesse de mes amies que je fus visiter ; car je suis diablement fort sur les impromptus. ')","('#le-baron', ""De grâce, arrêtez-là ce discours obligeant : car je me verrais réduit dans l'incapacité de vous répondre ; mais j'oubliais à vous dire qu'un de mes amis m'a amené ce matin un certain Poète nouveau qui fait des vers scientifiquement bien, et comme il avait deux pièces à me lire, je lui ai promis de l'écouter, après avoir donné à nature les nécessités méridionales.  Flanquin le doit conduire ici dès qu'il sera venu, afin que nous prenions ensemble les extasiens divertissements de lecture."")",0.05,Substitution
126,"('#cathos', ""L'impromptu est justement la pierre de touche de l'esprit. "")",,1.0,Insertion
127,"('#mascarille', 'Écoutez donc. ')",,1.0,Insertion
128,"('#magdelon', 'Nous y sommes de toutes nos oreilles. ')",,1.0,Insertion
129,"('#mascarille', ""Oh ; Oh, je n'y prenais pas garde, Tandis que, sans songer à mal, je vous regarde,  Votre oeil en tapinois me dérobe mon coeur.  Au voleur, au voleur, au voleur, au voleur."")",,1.0,Insertion
130,"('#cathos', 'Ah, mon_Dieu !  Voilà qui est poussé dans le dernier galant. ')",,1.0,Insertion
131,"('#mascarille', ""Tout ce que je fais a l'air cavalier, cela ne sent point le pédant. "")",,1.0,Insertion
132,"('#magdelon', 'Il en est éloigné de plus de deux mille lieues. ')",,1.0,Insertion
133,"('#mascarille', ""Avez-vous remarqué ce commencement, oh, oh ?  Voilà qui est extraordinaire : oh, oh.  Comme un homme qui s'avise tout d'un coup : oh, oh.  La surprise, oh, oh."")",,1.0,Insertion
134,"('#magdelon', 'Oui, je trouve ce oh, oh, admirable. ')",,1.0,Insertion
135,"('#mascarille', 'Il semble que cela ne soit rien. ')",,1.0,Insertion
136,"('#cathos', 'Ah, mon_Dieu, que dites-vous ?  Ce sont là de ces sortes de choses, qui ne se peuvent payer. ')",,1.0,Insertion
137,"('#magdelon', ""Sans doute, et j'aimerais mieux avoir fait ce oh, oh, qu'un poème épique. "")","('#iscarie', 'Ma chère, et moi, aimons si démesurément les Poèmes Dramatiques, que nous ne trouvons point de paroles assez énergiques pour vous rendre des grâces conformes à une obligation qui est dans un degré superlatif.')",0.2,Substitution
138,"('#mascarille', 'Tudieu, vous avez le goût bon. ')",,1.0,Insertion
139,"('#magdelon', ""Eh, je ne l'ai pas tout à fait mauvais. "")",,1.0,Insertion
140,"('#mascarille', ""Mais n'admirez-vous pas aussi je n'y prenais pas garde ?  Je n'y prenais pas garde, je ne m'apercevais pas de cela, façon de parler naturelle, je n'y prenais pas garde.  Tandis que sans songer à mal.  Tandis qu'innocemment, sans malice, comme un pauvre mouton.  Je vous regarde, c'est-à-dire, je m'amuse à vous considérer, je vous observe, je vous contemple.  Votre oeil en tapinois...  Que vous semble de ce mot, Tapinois, n'est-il pas bien choisi ? "")","('#le-baron', ""Ce discours continue à me faire voir la magnifique élévation de votre esprit.  Mais à propos, je fus il y a quelque temps chez Madame ****.  Que dites-vous d'elle ?"")",1.28,Substitution
141,"('#cathos', 'Tout à fait bien. ')",,1.0,Insertion
142,"('#mascarille', 'Tapinois, en cachette, il semble que ce soit un chat qui vienne de prendre une souris.  Tapinois. ')",,1.0,Insertion
143,"('#magdelon', 'Il ne se peut rien de mieux. ')",,1.0,Insertion
144,"('#mascarille', ""Me dérobe mon coeur, me l'emporte, me le ravit.  Au voleur, au voleur, au voleur, au voleur !  Ne diriez-vous pas que c'est un homme qui crie et court après un voleur pour le faire arrêter, au voleur, au voleur, au voleur, au voleur."")",,1.0,Insertion
145,"('#magdelon', 'Il faut avouer que cela a un tour spirituel et galant.')",,1.0,Insertion
146,"('#mascarille', ""Je veux vous dire l'air que j'ai fait dessus."")",,1.0,Insertion
147,"('#cathos', 'Vous avez appris la musique ? ')",,1.0,Insertion
148,"('#mascarille', 'Moi, point du tout ?')",,1.0,Insertion
149,"('#cathos', 'Et comment donc cela se peut-il ? ')",,1.0,Insertion
150,"('#mascarille', 'Les gens de qualité savent tout, sans avoir jamais rien appris. ')","('#artemise', ""C'est une personne qui a des lumières éloignées."")",1.88,Substitution
151,"('#magdelon', 'Assurément, ma chère. ')","('#iscarie', ""Pour moi je tiens qu'elle a l'âme mal demeurée."")",0.84,Substitution
152,,"('#le-baron', ""Et moi je ne sais qu'en croire, il y a quantité de gens qui tiennent qu'elle a un oeuf caché sous la cendre."")",1.0,Deletion
153,"('#mascarille', ""Écoutez si vous trouverez l'air à votre goût, hem, hem, la, la, la, la, la.  La brutalité de la saison a furieusement outragé la délicatesse de ma voix ; mais il n'importe, c'est à la cavalière.  Oh, oh, je n'y prenais pas...  Il chante."")","('#artemise', ""Si vos sentiments sont partialisés là-dessus vous devez au moins avouer qu'elle a les miroirs de l'âme fort doux, la bouche bien façonnée, qu'elle est d'une vertu sévère, et qu'elle articule bien sa voix."")",0.62,Substitution
154,"('#cathos', ""Ah que voilà un air qui est passionné !  Est-ce qu'on n'en meurt point ? "")",,1.0,Insertion
155,"('#magdelon', 'Il y a de la chromatique là-dedans. ')",,1.0,Insertion
156,"('#mascarille', ""Ne trouvez-vous pas la pensée bien exprimée dans le chant ?  Au voleur !...  Et puis, comme si l'on criait bien fort au, au, au, au, au, au, voleur ; et tout d'un coup comme une personne essoufflée, au voleur."")",,1.0,Insertion
157,"('#magdelon', ""C'est là savoir le fin des choses, le grand fin, le fin du fin.  Tout est merveilleux, je vous assure ; je suis enthousiasmée de l'air, et des paroles. "")","('#iscarie', ""Mais, ce qui est de plus fâcheux, c'est qu'elle est unie à un inquiet, et qu'elle est de la petite portion."")",1.11,Substitution
158,"('#cathos', ""Je n'ai encore rien vu de cette force-là. "")","('#le-baron', ""Je voudrais bien la voir ici ; car je ne l'ai jamais vue qu'avec l'instrument de la curiosité sur le visage."")",0.71,Substitution
159,"('#mascarille', ""Tout ce que je fais me vient naturellement, c'est sans étude. "")",,1.0,Insertion
160,"('#magdelon', ""La nature vous a traité en vraie mère passionnée, et vous en êtes l'enfant gâté. "")",,1.0,Insertion
161,"('#mascarille', 'À quoi donc passez-vous le temps ? ')",,1.0,Insertion
162,"('#cathos', 'À rien du tout. ')",,1.0,Insertion
163,"('#magdelon', ""Nous avons été jusqu'ici, dans un jeûne effroyable de divertissement."")","('#iscarie', ""C'est une chose qui est de la dernière impossibilité, car elle ressent à présent les contrecoups de la volupté permise."")",0.77,Substitution
164,"('#mascarille', ""Je m'offre à vous mener l'un de ces jours à la Comédie, si vous voulez, aussi bien on en doit jouer une nouvelle que je serai bien aise, que nous voyions ensemble. "")","('#le-baron', ""Mais il me semble que notre Poète devrait être ici, puisque j'ai ordonné qu'on l'amenât dans mes quatre corniches tirées par deux de mes pluches."")",1.13,Substitution
165,,"('#artemise', ""Vous n'avez pas mal fait, car le troisième élément qui tombe sur l'éminence degré, l'aurait fait un illustre poète crotté."")",1.0,Deletion
166,,"('#iscarie', ""Ce Poète n'est donc pas normand puisqu'il n'a point de carrosse."")",1.0,Deletion
167,"('#magdelon', ""Cela n'est pas de refus. "")","('#le-baron', ""On fait parler le muet, sans doute le voici.  Oui, c'est lui-même que Flanquin amène."")",1.9,Substitution
168,"('#mascarille', ""Mais je vous demande d'applaudir, comme il faut, quand nous serons là.  Car je me suis engagé de faire valoir la pièce, et l'auteur m'en est venu prier encore ce matin.  C'est la coutume ici, qu'à nous autres gens de condition, les auteurs viennent lire leurs pièces nouvelles, pour nous engager à les trouver belles, et leur donner de la réputation, et je vous laisse à penser, si quand nous disons quelque chose le parterre ose nous contredire.  Pour moi, j'y suis fort exact, et quand j'ai promis à quelque poète, je crie toujours, voilà qui est beau, devant que les chandelles soient allumées. "")","('#le-poete', ""Ah !  Vraiment Monsieur, je ferai chanter à Calliope en vers bien montés, et d'une veine bien guindée, les remerciements que je vous dois de l'heureuse et inespérée connaissance que vous me procurez de ces deux divinités charmeresses dont les beaux yeux vont éclairer mon esprit et embraser mon Uranie, d'un feu plus dévorant, que n'est celui de ce mont si renommé dans la Sicile, où le vieux boiteux tenait jadis sa forge, et bien plus endoctrinant que celui qu'Apollon inspire aux neufs soeurs."")",0.14,Substitution
169,"('#magdelon', ""Ne m'en parlez point, c'est un admirable lieu que Paris ; il s'y passe cent choses tous les jours, qu'on ignore dans les provinces, quelque spirituelle qu'on puisse être. "")","('#iscarie', ""On connaît bien, Monsieur, que vous avez appris à commandement l'eau d'Hypocrenne et que vous êtes le frère aîné des neufs soeurs."")",1.35,Substitution
170,"('#cathos', ""C'est assez, puisque nous sommes instruites nous ferons notre devoir de nous écrier comme il faut sur tout ce qu'on dira. "")","('#artemise', ""Je vous l'avouerai, je n'ai jamais ouï de style plus pompeux et qui fasse plus de tour dans l'oreille que le vôtre."")",1.62,Substitution
171,"('#mascarille', ""Je ne sais, si je me trompe ; mais vous avez toute la mine d'avoir fait quelque Comédie. "")","('#le-poete', ""Je sais parler emphibologétiquement : le langage des Dieux m'est ordinaire, et je ne me plains point quand on me dit que l'on ne m'entend pas, car c'est signe que je parle en oracle. Ils s'asseyent."")",1.34,Substitution
172,"('#magdelon', 'Eh, il pourrait être quelque chose de ce que vous dites. ')",,1.0,Insertion
173,"('#mascarille', ""Ah, ma foi, il faudra que nous la voyons.  Entre nous, j'en ai composé une, que je veux faire représenter. "")","('#flanquin', ""Moi, je m'en vais me mettre ici pour faire inventaire des grands mots qui se diront.  Ça, n'en laissons point passer qu'ils ne soient enregistrés sur nos tablettes et jouons bien notre rôle."")",1.05,Substitution
174,"('#cathos', 'Hé, à quels comédiens la donnerez-vous ? ')",,1.0,Insertion
175,"('#mascarille', ""Belle demande !  Aux grands comédiens.  Il n'y a qu'eux qui soient capables de faire valoir les choses ; les autres sont des ignorants qui récitent comme l'on parle.  Ils ne savent pas faire ronfler les vers, et s'arrêter au bel endroit, et le moyen de connaître, où est le beau vers, si le comédien ne s'y arrête, et ne vous avertit par là, qu'il faut faire le brouhaha ? "")","('#le-baron', ""Dites-nous donc un peu, Monsieur au net, votre sentiment sur les pièces qui se sont jouées depuis peu de temps ; car j'en ai fort peu vu : même je fus l'autre jour aux Précieuses de Bourbon, mais je ne pus entendre parce que je ne pouvais régler aucune posture."")",0.22,Substitution
176,"('#cathos', ""En effet, il y a manière de faire sentir aux auditeurs les beautés d'un ouvrage, et les choses ne valent que ce qu'on les fait valoir. "")",,1.0,Insertion
177,"('#mascarille', ""Que vous semble de ma petite-oie ?  La trouvez-vous congruante à l'habit ? "")",,1.0,Insertion
178,"('#cathos', 'Tout à fait. ')","('#flanquin', 'Bon, en voilà un.')",0.88,Substitution
179,"('#mascarille', 'Le ruban est bien choisi. ')",,1.0,Insertion
180,"('#magdelon', ""Furieusement bien.  C'est Perdrigeon tout pur. "")",,1.0,Insertion
181,"('#mascarille', 'Que dites-vous de mes canons ? ')",,1.0,Insertion
182,"('#magdelon', 'Ils ont tout à fait bon air. ')",,1.0,Insertion
183,"('#mascarille', ""Je puis me vanter, au moins, qu'ils ont un grand quartier, plus que tous ceux, qu'on fait. "")","('#le-poete', ""Pour ce qui est des Précieuses, comme ce n'est qu'un Ouvrage en Prose, je vous dirai mon sentiment en peu de mots.  Premièrement il faut que vous sachiez qu'elle est plus âgée de trois ans que l'on ne pense, et que dès ce temps-là les Comédiens Italiens, y gagnèrent dix mille écus, et cela sans faire courre le billet, comme les Bourbonnais en ont amené la coutume."")",1.36,Substitution
184,"('#magdelon', ""Il faut avouer que je n'ai jamais vu porter si haut l'élégance de l'ajustement. "")",,1.0,Insertion
185,"('#mascarille', 'Attachez un peu sur ces gants la réflexion de votre odorat. ')",,1.0,Insertion
186,"('#magdelon', 'Ils sentent terriblement bon. ')",,1.0,Insertion
187,"('#cathos', ""Je n'ai jamais respiré une odeur mieux conditionnée. "")",,1.0,Insertion
188,"('#mascarille', 'Et celle-là ? ')","('#le-baron', ""Le bruit commun m'a déjà donné quelque légère connaissance de cela ; mais Mascarille pourtant soutient n'avoir imité en rien celle des Italiens."")",1.17,Substitution
189,"('#magdelon', 'Elle est tout à fait de qualité ; le sublime en est touché délicieusement. ')",,1.0,Insertion
190,"('#mascarille', 'Vous ne me dites rien de mes plumes, comment les trouvez-vous ? ')",,1.0,Insertion
191,"('#cathos', 'Effroyablement belles. ')",,1.0,Insertion
192,"('#mascarille', ""Savez-vous que le brin me coûte un louis d'or ?  Pour moi, j'ai cette manie, de vouloir donner généralement, sur tout ce qu'il y a de plus beau. "")","('#le-poete', ""Ah !  Que dites-vous là, c'est la même chose, ce sont deux valets tout de même qui se déguisent pour plaire à deux femmes, et que leurs Maîtres battent à la fin ; il y a seulement cette petite différence, que dans la première les valets le font à l'insu de leurs Maîtres, et que dans la dernière, ce sont eux qui leur font faire.  Je ne pus m'empêcher de lui en dire mon sentiment chez un Marquis de mes amis, qui loge au quartier du Louvre où il la lut avec Don Garcie, avant que l'on la jouât."")",1.32,Substitution
193,"('#magdelon', ""Je vous assure, que nous sympathisons vous, et moi.  J'ai une délicatesse furieuse pour tout ce que je porte, et jusqu'à mes chaussettes, je ne puis rien souffrir, qui ne soit de la bonne ouvrière. "")","('#iscarie', ""Ce que vous nous dites est furieusement incroyable ; car il me souvient bien que dans ces Précieuses, il improuve ceux qui lisent leurs pièces avant qu'on les représente, et par-là vous me diriez qu'il s'est tourné lui-même en ridicule."")",1.25,Substitution
194,"('#mascarille', ""Ahi, ahi, ahi, doucement ; Dieu me damne, Mesdames, c'est fort mal en user ; j'ai à me plaindre de votre procédé, cela n'est pas honnête. "")","('#le-poete', ""Il est vrai que je n'aurais pas pensé qu'il eût brigué comme il a fait ; mais je sais de bonne part qu'il a tiré des Limbes son dépit amoureux à force de coups de chapeau, et d'offrir les loges à deux pistoles."")",1.01,Substitution
195,"('#cathos', ""Qu'est-ce donc ?  Qu'avez-vous ? "")","('#le-baron', ""C'est assez parler de sa méthode, puisque vous avez ouï dire de son Don Garcie, dites-nous un peu ce que c'est !"")",1.29,Substitution
196,"('#mascarille', ""Quoi toutes deux contre mon coeur, en même temps ?  M'attaquer à droit, et à gauche ?  Ah c'est contre le droit des gens, la partie n'est pas égale, et je m'en vais crier au meurtre. "")",,1.0,Insertion
197,"('#cathos', ""Il faut avouer qu'il dit les choses d'une manière particulière. "")",,1.0,Insertion
198,"('#magdelon', ""Il a un tour admirable dans l'esprit. "")","('#le-poete', ""Ma foi si nous consultons son dessein il a prétendu faire une pièce sérieuse ; mais si nous en consultons le sens commun, c'est une fort méchante comédie ; car l'on y conte plus d'incidents que dans son Étourdi."")",1.32,Substitution
199,"('#cathos', ""Vous avez plus de peur que de mal, et votre coeur crie avant qu'on l'écorche. "")",,1.0,Insertion
200,"('#mascarille', ""Comment diable !  Il est écorché depuis la tête, jusqu'aux pieds. "")",,1.0,Insertion
201,"('#marotte', 'Madame, on demande à vous voir. ')",,1.0,Insertion
202,"('#magdelon', 'Qui ? ')",,1.0,Insertion
203,"('#marotte', 'Le Vicomte de Jodelet. ')",,1.0,Insertion
204,"('#mascarille', 'Le vicomte de Jodelet ? ')",,1.0,Insertion
205,"('#marotte', 'Oui, Monsieur. ')","('#le-baron', 'Mais, Monsieur...')",0.0,Match
206,"('#cathos', 'Le connaissez-vous ? ')",,1.0,Insertion
207,"('#mascarille', ""C'est mon meilleur ami. "")",,1.0,Insertion
208,"('#magdelon', 'Faites entrer vitement. ')",,1.0,Insertion
209,"('#mascarille', 'Il y a quelque temps que nous ne nous sommes vus, et je suis ravi de cette aventure. ')","('#artemise', ""Ah !  C'est trop d'interruptions, brisons-là nos interrogations, et sachons au long de Monsieur, son sentiment sur toutes les pièces que l'on a jouées cet hiver."")",0.9,Substitution
210,"('#cathos', 'Le voici. ')","('#le-baron', 'Volontiers.')",0.77,Substitution
211,"('#mascarille', 'Ah !  Vicomte ! ')",,1.0,Insertion
212,"('#jodelet', 'Ah Marquis ! ')",,1.0,Insertion
213,"('#mascarille', 'Que je suis aise de te rencontrer ! ')",,1.0,Insertion
214,"('#jodelet', ""Que j'ai de joie de te voir ici ! "")",,1.0,Insertion
215,"('#mascarille', 'Baise-moi donc encore un peu, je te prie. ')",,1.0,Insertion
216,"('#magdelon', ""Ma toute bonne, nous commençons d'être connues, voilà le beau monde, qui prend le chemin de nous venir voir. "")","('#flanquin', 'Nous aurons tantôt de quoi faire une autre Précieuse.')",1.38,Substitution
217,"('#mascarille', ""Mesdames, agréez que je vous présente ce gentilhomme-ci.  Sur ma parole, il est digne d'être connu de vous. "")","('#le-poete', ""Je veux bien Mesdames, vous obéir en cette rencontre, et malgré cette animosité que le destin du Parnasse a semé entre les Poètes, je les vois trop au-dessous de moi pour appréhender aucunement de vous être suspect en vous parlant d'eux.  Je vous dirai donc en quel ordre il les faut mettre et le cas qu'il en faut faire.  Il y en a de certains qui ne méritent pas d'être mentionnés dans le Catalogue des Illustres, pour n'être venus au monde qu'incognito, n'y avoir paru qu'en passant, et avoir fait naufrage avant que d'avoir été en pleine mer.  Il y en a d'autres aussi dont la voix publique parle assez sans que j'en dise mot, et parmi les Dramatiques dont est question, Corneille, l'aîné tient seul cette place.  Il n'en va pas tout à fait de même pour son cadet, et quoi que ce soit une Divinité parmi les Comédiens, les encens qu'on lui donne ne sont pas si généraux que ceux de son frère : ne croyez pourtant pas que j'en veuille dire du mal, au contraire, je tiens que c'est celui de tous les auteurs qui pense plus profondément, et sans doute l'envie avouera elle-même que son Stilicon est tout à fait beau.  Nous avons encore vu cet hiver le Fédéric qui a fort réussi, et c'est sans doute avec quelque raison, puisqu'il ne part rien de la veine de son auteur, qui ne soit plein de feu, témoin sa Clotilde, où la boutade est bien exprimée.  Ces deux pièces ont été accompagnées de la Stratonice dont le style est tout différent, l'auteur de cette pièce ne s'attachant qu'à faire des vers tendres, où il réussit fort bien.  Quoi que je ne me sois engagé qu'à vous parler des auteurs dont l'on a joué les pièces cet hiver, je ne me puis empêcher de vous dire que le théâtre a perdu l'illustre Abbé de Boisrobert, qui par générosité s'en est retiré lui-même, de peur que ses pièces n'étouffassent celles des fameux auteurs qui se sont remis au théâtre depuis peu.  Il y en a encore un dont je n'ai point parlé, qui joint l'épée à la plume, il sait faire des vers mieux qu'Homère, et se bat aussi bien qu'Alexandre.  On a joué cet hiver au Petit-Bourbon une pièce de lui nommée Zénobie."")",0.38,Substitution
218,"('#jodelet', ""Il est juste de venir vous rendre ce qu'on vous doit, et vos attraits exigent leurs droits seigneuriaux sur toutes sortes de personnes. "")","('#artemise', ""Il est vrai que j'ai ouï dire qu'il y avait de fort beaux vers."")",1.7,Substitution
219,"('#magdelon', ""C'est pousser vos civilités jusqu'aux derniers confins de la flatterie. "")","('#le-poete', ""Comment de beaux vers !  Nos plus grands auteurs en mettraient moins dans une douzaine qu'il y en a dans celle-là.  On y remarquait pourtant un grand défaut."")",1.84,Substitution
220,"('#cathos', 'Cette journée doit être marquée dans notre almanach, comme une journée bienheureuse. ')",,1.0,Insertion
221,"('#magdelon', ""Allons, petit garçon, faut-il toujours vous répéter les choses ?  Voyez-vous pas, qu'il faut le surcroît d'un fauteuil ? "")","('#iscarie', 'Hé !  Quel défaut ?')",1.44,Substitution
222,"('#mascarille', ""Ne vous étonnez pas de voir le Vicomte de la sorte, il ne fait que sortir d'une maladie, qui lui a rendu le visage pâle comme vous le voyez. "")",,1.0,Insertion
223,"('#jodelet', 'Ce sont fruits des veilles de la Cour et des fatigues de la guerre. ')",,1.0,Insertion
224,"('#mascarille', ""Savez-vous, Mesdames, que vous voyez, dans le Vicomte un vaillants hommes du siècle ?  C'est un brave à trois poils. "")","('#le-baron', ""Ah !  Je sais quel est ce défaut mieux que personne, et un des mes amis le dit plaisamment à son auteur, il fut jusques chez lui le trouver, lui ne le connaissant point, lui demanda ce qu'il souhaitait ; mais il fut bien surpris quand il entendit qu'on avait trouvé un grand défaut dans sa pièce, qui n'était inconnu à personne."")",1.11,Substitution
225,"('#jodelet', ""Vous ne m'en devez rien, Marquis, et nous savons ce que vous savez faire aussi. "")","('#iscarie', 'Ah !  Ne nous tenez plus en langueur, dites-le nous vite !')",1.35,Substitution
226,"('#mascarille', ""Il est vrai que nous nous sommes vus tous deux dans l'occasion. "")",,1.0,Insertion
227,"('#jodelet', 'Et dans des lieux, où il faisait fort chaud. ')",,1.0,Insertion
228,"('#mascarille', ""Oui ; mais non pas si chaud qu'ici.  Hay, hay, hay ! "")",,1.0,Insertion
229,"('#jodelet', ""Notre connaissance s'est faite à l'armée, et la première fois que nous nous vîmes il commandait un Régiment de Cavalerie sur les Galères de Malte. "")",,1.0,Insertion
230,"('#mascarille', ""Il est vrai ; mais vous étiez pourtant dans l'emploi avant que j'y fusse, et je me souviens que je n'étais que petit officier encore, que vous commandiez deux mille chevaux. "")",,1.0,Insertion
231,"('#jodelet', ""La guerre est une belle chose ; mais ma foi la Cour récompense bien mal aujourd'hui les gens de service comme nous. "")","('#le-baron', ""Ce défaut est en un mot, que les Comédiens ne jouaient rien qui vaille, et qu'ils ne sont bons à rien qu'à jouer la farce."")",1.54,Substitution
