,Sganarelle ou Le Cocu Imaginaire,La Cocue Imaginaire,Cost,Operation Type
77,"('#lelie', ""Je ne m'abuse point, c'est mon portrait lui-même."")","('#cephise', ""Je sens que malgré moi je tremble je rougis.  C'est mon portrait sans doute et ma crainte redouble.  Regardant encor une fois par dessus l'épaule de Paquette."")",1.43,Substitution
78,"('#sganarelle', 'Cet homme est curieux.')","('#paquette', 'Vous êtes curieuse ? ')",0.65,Substitution
79,"('#lelie', 'Ma surprise est extrême.')",,1.0,Insertion
80,"('#sganarelle', 'À qui donc en a-t-il.')",,1.0,Insertion
81,"('#lelie', 'Je le veux accoster. Puis-je... ? Hé ! De grâce, un mot. Haut.')",,1.0,Insertion
82,"('#sganarelle', 'Que me veut-il conter ?')",,1.0,Insertion
83,"('#lelie', ""Puis-je obtenir de vous, de savoir l'aventure, Qui fait dedans vos mains trouver cette peinture."")","('#cephise', 'Ah ! tirez-moi du trouble  Où vient de me jeter... ')",0.83,Substitution
84,"('#sganarelle', ""D'où lui vient ce désir ? Mais je m'avise ici... Ah ! Ma foi me voilà de son trouble éclairci, Sa surprise à présent n'étonne plus mon âme, C'est mon homme, ou plutôt c'est celui de ma femme."")","('#paquette', ""Qu'est-ce donc qu'elle veut ? "")",1.13,Substitution
85,"('#lelie', ""Retirez-moi de peine et dites d'où vous vient..."")","('#cephise', ""De grâce, dites-moi, Madame, s'il se peut ?  D'où vous vient ce portrait ? "")",0.19,Substitution
86,"('#sganarelle', ""Nous savons Dieu merci le souci qui vous tient, Ce portrait qui vous fâche est votre ressemblance, Il était en des mains de votre connaissance, Et ce n'est pas un fait qui soit secret pour nous Que les douces ardeurs de la dame et de vous : Je ne sais pas si j'ai dans sa galanterie L'honneur d'être connu de votre seigneurie, Mais faites-moi celui de cesser désormais Un amour qu'un mari peut trouver fort mauvais, Et songez que les noeuds du sacré mariage..."")","('#paquette', ""D'où lui vient cette envie.  Mais je n'en doute plus et j'en suis fort ravie,  C'est ma femme ou plutôt celle de mon mari.  Ce portrait vient des mains de votre favori :  Et je ne sais que trop la flamme criminelle,  Dont se sent consumer pour vous cet infidèle,  Mais il verra dans peu tous ses feux traversés :  Je ne sais pas encor si vous me connaissez.  Mais vous m'obligerez de cesser une flamme  Qui ne peut désormais qu'irriter une femme.  Examinant le portrait qu'elle tient et Céphise; Haut."")",0.0,Match
87,"('#lelie', 'Quoi, celle dites-vous dont vous tenez ce gage.')","('#cephise', 'Quoi celui dites-vous de qui vient ce portrait... ')",0.73,Substitution
88,"('#sganarelle', 'Est ma femme, et je suis son mari.')","('#paquette', 'De vos lâches amours est le coupable objet,  Et mon mari de plus, et moi je suis sa femme. ')",0.33,Substitution
89,"('#lelie', 'Son mari ?')","('#cephise', 'Ce discours imprévu met le trouble en mon âme.  Sa femme... ')",1.29,Substitution
90,"('#sganarelle', ""Oui, son mari vous dis-je, et mari très marri, Vous en savez la cause et je m'en vais l'apprendre Sur l'heure à ses parents."")","('#paquette', 'Oui sa femme, et sa femme en courroux,  Vous pouvez aller voir mon déplaisir jaloux,  Vous en savez la cause et je vais en instruire  De ce pas ses parents. ')",0.0,Match
91,"('#lelie', ""Ah ! Que viens-je d'entendre. L'on me l'avait bien dit, et que c'était de tous L'homme le plus mal fait qu'elle avait pour époux. Ah ! Quand mille serments de ta bouche infidèle, Ne m'auraient pas promis une flamme éternelle, Le seul mépris d'un choix si bas et si honteux Devait bien soutenir l'intérêt de mes feux Ingrate, et quelque bien... Mais ce sensible outrage Se mêlant aux travaux d'un assez long voyage, Me donne tout à coup un choc si violent, Que mon coeur devient faible, et mon corps chancelant."")","('#cephise', ""Que vient-elle de dire,  Je n'aurais jamais cru qu'il dût manquer d'amour,  Mais l'on m'avait bien dit las devant mon retour  Que la personne à qui le destinait son père,  Malgré tous ses attraits paraissait fort sévère.  Ah ! traître, fallait-il, après tant de serments,  Après m'avoir fait voir tous les emportements  D'un violent amour, te montrer infidèle  Et trahir un objet qui... mais Dieux, je chancelle.  L'amour, le désespoir, la fatigue, l'ennui,  Et le peu d'aliment que j'ai pris aujourd'hui  Font céder tout_à_coup mon coeur à la faiblesse. "")",0.0,Match
92,"('#la-femme-sganarelle', 'Malgré moi mon perfide... Hélas ! Quel mal vous presse ? Je vous vois prêt Monsieur à tomber en faiblesse.')","('#spadarille', ""Mon infidèle enfin a surpris par adresse...  Mais allons secourir... Madame qu'avez-vous.  Courant à Céphise qui s'évanouit. La soutenant."")",0.81,Substitution
93,"('#lelie', ""C'est un mal qui m'a pris assez subitement."")","('#cephise', 'Ce mal me vient de prendre. ')",0.0,Match
94,"('#la-femme-sganarelle', ""Je crains ici, pour vous l'évanouissement : Entrez dans cette salle en attendant qu'il passe."")","('#spadarille', 'Entrez, entrez chez nous,  Peut-être y pourrez-vous trouver quelque allégeance. ')",1.05,Substitution
95,"('#lelie', ""Pour un moment ou deux, j'accepte cette grâce."")","('#cephise', ""Mon mal avait besoin d'une telle assistance,  Vous m'obligez beaucoup. "")",1.13,Substitution
96,"('#le-parent', ""D'un mari sur ce point j'approuve le souci ; Mais c'est prendre la chèvre un peu bien vite aussi, Et tout ce que de vous je viens d'ouïr contre elle, Ne conclut point, parent, qu'elle soit criminelle ; C'est un point délicat et de pareils forfaits, Sans les bien avérer ne s'imputent jamais."")","('#lucresse', ""Ce n'est pas sans raison,  Que là dessus votre âme a conçu du soupçon ;  Mais quelque fort qu'il soit, jamais la jalousie,  Ne vous devait ainsi troubler la fantaisie.  Avant que d'imputer un semblable forfait ;  Vous devriez les... "")",0.0,Match
97,,"('#paquette', ""J'entends les prendre sur le fait. "")",1.0,Deletion
98,"('#sganarelle', ""C'est-à-dire qu'il faut toucher au doigt la chose."")","('#lucresse', ""Ce n'est point tout cela ; mais sachez en amie  Qu'un homme sur ce point est exempt d'infamie,  Et qu'une femme enfin pût-elle tout savoir,  Doit se boucher les yeux et ne jamais rien voir. "")",1.87,Substitution
99,,"('#paquette', ""Moi je ne prétends pas être jamais de celles  Qui souffrent lâchement des maris infidèles,  Et puisqu'aux yeux de tous il m'a donné sa foi,  Il me la doit garder aussi bien comme moi. "")",1.0,Deletion
100,"('#le-parent', ""Le trop de promptitude à l'erreur nous expose. Qui sait comme en ses mains ce portrait est venu, Et si l'homme après tout lui peut être connu. Informez-vous en donc, et si c'est ce qu'on pense, Nous serons les premiers à punir son offense."")","('#lucresse', ""Bien que par ce discours vous paraissez peu sage,  Je prétends empêcher votre mauvais ménage,  Tâchez donc à savoir au long la vérité,  Et vous verrez après qu'avec dextérité,  Je saurai lui montrer que sans crime son âme  Pour d'autres que pour vous ne peut nourrir de flamme,  Et qu'il doit désormais vous aimer constamment. "")",0.36,Substitution
101,"('#sganarelle', ""On ne peut pas mieux dire, en effet, il est bon D'aller tout doucement. Peut-être sans raison, Me suis-je en tête mis ces visions cornues, Et les sueurs au front m'en sont trop tôt venues. Par ce portrait enfin dont je suis alarmé, Mon déshonneur n'est pas tout à fait confirmé, Tâchons donc par nos soins..."")","('#paquette', ""Voilà, voilà parler avecque jugement,  Et si je pouvais voir l'effet de la promesse,  On verrait pour jamais sur mon front l'allégresse.  Tâchons donc pour cela de savoir... Justes Dieux !  Quoi dans ma chambre même ils ont osé tous deux...  Mais je n'y puis songer et la douleur m'accable.  Paquette voit Céphise qui sort de chez elle et son mari qui la reconduit. "")",0.01,Substitution
102,"('#sganarelle', ""Ah ! Que vois-je ? Je meure, Il n'est plus question de portrait à cette heure, Voici ma foi la chose en propre original."")","('#cephise', 'Je dois être à jamais à vos soins redevable,  Et je me souviendrai de vos civilités. ')",1.55,Substitution
103,"('#la-femme-sganarelle', ""C'est par trop vous hâter Monsieur, et votre mal Si vous sortez sitôt pourra bien vous reprendre."")","('#spadarille', 'Ne sortez pas sitôt Madame, ou permettez  Que je sorte avec vous, et que je vous remène. ')",0.32,Substitution
104,"('#lelie', ""Non non, je vous rends grâce, autant qu'on puisse rendre, De l'obligeant secours que vous m'avez prêté."")","('#cephise', 'Je veux vous dispenser de prendre cette peine. ')",0.86,Substitution
105,"('#sganarelle', 'La masque encore après lui fait civilité.')",,1.0,Insertion
106,"('#sganarelle', ""Il m'aperçoit, voyons ce qu'il me pourra dire."")","('#paquette', ""Elle me reconnaît, voyons, voyons un peu  Ce qu'elle me dira pour déguiser son feu. "")",0.67,Substitution
107,"('#lelie', ""Ah ! Mon âme s'émeut, et cet objet m'inspire... Mais je dois condamner cet injuste transport, Et n'imputer mes maux qu'aux rigueurs de mon sort. Envions seulement le bonheur de sa flamme. Ô ! Trop heureux d'avoir une si belle femme. Passant auprès de lui et le regardant."")","('#cephise', ""Mais ce fâcheux objet m'inquiète et me trouble.  Fuyons, fuyons, de peur que mon mal ne redouble.  Envions-lui pourtant un bonheur si parfait.  Ô ! Heureuse d'avoir un mari si bien fait.  En passant par devant elle."")",0.0,Match
108,"('#sganarelle', ""Ce n'est point s'expliquer en termes ambigus. Cet étrange propos me rend aussi confus Que s'il m'était venu des cornes à la tête. Allez, ce procédé n'est point du tout honnête. Il se tourne du côté que Lélie s'en vient d'en aller."")","('#paquette', ""Il n'est pas de besoin de lui donner la gêne  Pour confesser son crime, elle le dit sans peine.  Allez, infâme, allez, c'est fort mal fait à vous  Que de me débaucher lâchement mon époux.  Se tournant du côté que Céphise s'est en allée."")",0.49,Substitution
109,"('#celie', ""Quoi, Lélie a paru tout à l'heure à mes yeux, Qui pourrait me cacher son retour en ces lieux ?"")","('#alcippe', ""Oui, je la viens de voir, ma surprise est extrême,  Je n'en puis plus douter, c'est Céphise elle-même,  De ce retour secret je suis peu satisfait. "")",1.12,Substitution
110,"('#sganarelle', ""Ô ! Trop heureux, d'avoir une si belle femme, Malheureux bien plutôt de l'avoir cette infâme, Dont le coupable feu trop bien vérifié, Sans respect ni demi nous a cocufié. Mais je le laisse aller après un tel indice Et demeure les bras croisés comme un jocrisse. Ah ! Je devais du moins lui jeter son chapeau, Lui ruer quelque pierre, ou crotter son manteau, Et sur lui hautement pour contenter ma rage Faire au larron d'honneur crier le voisinage. Célie approche peu à peu de lui, attend que son transport soit fini pour lui parler. Célie approche peu à peu de lui, et attend que son transport soit fini pour lui parler."")","('#paquette', ""Ô ! heureuse d'avoir un mari si bien fait.  Ah ! discours trop piquants, paroles indiscrètes,  Je l'eusse fait fourrer dans les Magdelonnettes  Si j'eusse sur le champ pu trouver des témoins,  Mais puisque j'en manquais, je devais tout du moins.  Arracher ses cheveux et pour saouler ma rage  De la bonne façon souffleter son visage.  Malheureuse, pourquoi ne l'as-tu donc pas fait,  Puisqu'elle a devant toi publié son forfait ?  Alcippe s'approche peu à peu d'elle et attend que son transport soit fini pour lui parler. "")",0.0,Match
111,"('#celie', ""Celui qui maintenant devers vous est venu, Et qui vous a parlé, d'où vous est-il connu ?"")","('#alcippe', ""Celle qui maintenant devers vous est venue,  Dites-moi, s'il vous plaît, vous est-elle connue ? "")",0.0,Match
112,"('#sganarelle', ""Hélas ! Ce n'est pas moi qui le connaît, Madame, C'est ma femme."")","('#paquette', ""Hélas ! ce n'est pas moi qui la connais Monsieur,  C'est mon mari. "")",0.0,Match
113,"('#celie', 'Quel trouble agite ainsi votre âme ?')","('#alcippe', 'Quel trouble agite votre coeur ? ')",0.0,Match
114,,"('#paquette', ""Au mal que je ressens, aucun n'est comparable.  Vous voyez devant vous un objet misérable ;  Celle dont vous parlez a commis un forfait,  Mais si noir... "")",1.0,Deletion
115,,"('#alcippe', ""Achevez, dites, qu'a-t-elle fait ? "")",1.0,Deletion
116,,"('#paquette', 'Elle a... ')",1.0,Deletion
117,,"('#alcippe', 'Quoi donc elle a. ')",1.0,Deletion
118,"('#sganarelle', ""Ne me condamnez point d'un deuil hors de saison, Et laissez-moi pousser des soupirs à foison."")","('#paquette', 'Souffrez que je soupire. ')",0.16,Substitution
119,"('#celie', ""D'où vous peuvent venir ces douleurs non communes ?"")","('#alcippe', 'Et de grâce achevez ? ')",1.42,Substitution
120,"('#sganarelle', ""Si je suis affligé, ce n'est pas pour des prunes Et je le donnerais à bien d'autres qu'à moi De se voir sans chagrin au point où je me vois. Des maris malheureux, vous voyez le modèle, On dérobe l'honneur au pauvre Sganarelle ; Mais c'est peu que l'honneur dans mon affliction, L'on me dérobe encore la réputation."")","('#paquette', ""Je n'ose vous le dire. "")",1.75,Substitution
121,"('#celie', 'Comment ?')","('#alcippe', 'Pourquoi tant façonner ? ')",0.95,Substitution
122,"('#sganarelle', ""Ce damoiseau, parlant par révérence, Me fait cocu Madame, avec toute licence, Et j'ai su par mes yeux avérer aujourd'hui Le commerce secret de ma femme et de lui."")","('#paquette', ""Apprenez donc Monsieur,  Qu'elle a pour mon époux une impudique ardeur. "")",0.61,Substitution
123,,"('#alcippe', ""Qu'ai-je entendu ! "")",1.0,Deletion
124,,"('#paquette', ""De plus... (quand j'y songe je meure)  Ils viennent de chez nous de sortir tout à l'heure,  Et j'ai peur... "")",1.0,Deletion
125,"('#celie', 'Celui qui maintenant...')","('#alcippe', 'De quoi donc ? ')",0.95,Substitution
126,"('#sganarelle', ""Oui, oui, me déshonore, Il adore ma femme, et ma femme l'adore."")",,1.0,Insertion
127,"('#celie', ""Ah ! J'avais bien jugé que ce secret retour Ne pouvait me couvrir que quelque lâche tour, Et j'ai tremblé d'abord en le voyant paraître, Par un pressentiment de ce qui devait être."")","('#paquette', ""Puisque vous connaissez  Leur mutuelle ardeur, vous m'entendez assez. "")",1.0,Substitution
128,"('#sganarelle', ""Vous prenez ma défense avec trop de bonté, Tout le monde n'a pas la même charité, Et plusieurs qui tantôt ont appris mon martyre, Bien loin d'y prendre part, n'en ont rien fait que rire."")",,1.0,Insertion
129,"('#celie', ""Est-il rien de plus noir que ta lâche action, Et peut-on lui trouver une punition ? Dois-tu ne te pas croire indigne de la vie, Après t'être souillé de cette perfidie ? Ô ciel ! Est-il possible ?"")","('#alcippe', ""Perfide, déloyale, âme double et traîtresse,  Aurait-on pu prévoir une telle bassesse,  De cette lâcheté je demeure interdit,  Mais dois-je croire aussi ce que vous m'avez dit ? "")",0.27,Substitution
130,"('#sganarelle', 'Il est trop vrai pour moi.')","('#paquette', 'Ce que je vous ai dit est la vérité même,  Je les viens maintenant de surprendre moi-même. ')",1.04,Substitution
131,"('#celie', 'Ah ! Traître, scélérat, âme double et sans foi.')","('#alcippe', ""Tu t'es donc pu noircir de cette lâcheté  Après avoir cent fois vu ma fidélité.  Ah ! pour te bien punir de ton ingratitude,  Il n'est point ici bas de supplice plus rude. "")",0.69,Substitution
132,"('#sganarelle', 'La bonne âme !')",,1.0,Insertion
133,"('#celie', ""Non, non, l'Enfer n'a point de gêne Qui ne soit pour ton crime une trop douce peine."")","('#paquette', ""Qu'il est bon.  Je vous rends mille grâces Monsieur,  De prendre ma défense avec tant de chaleur,  Croyez-moi tout chacun n'en ferait pas de même,  Et plusieurs qui m'ont vu dans ma douleur extrême  Bien loin de prendre part à mes afflictions,  M'ont voulu faire croire à force de raisons,  Que mon coeur s'affligeait avec peu de justice,  Et que de mon mari d'autres feraient l'office,  Et moi je ne veux pas faire une lâcheté,  Et je l'aime malgré son infidélité.  Bas. Haut."")",0.89,Substitution
134,"('#sganarelle', 'Que voilà bien parler !')",,1.0,Insertion
135,"('#celie', 'Avoir ainsi traité Et la même innocence et la même bonté.')",,1.0,Insertion
136,"('#sganarelle', 'Hay. Il soupire haut')",,1.0,Insertion
137,"('#celie', ""Un coeur qui jamais n'a fait la moindre chose, A mérité l'affront où ton mépris l'expose."")","('#alcippe', ""Oui mon coeur y consent, n'espère pas infâme,  Qu'aucune ardeur pour toi jamais rentre en mon âme,  Que j'adore jamais tes coupables appas,  Mais je dois m'en venger et j'y cours de ce pas. "")",0.38,Substitution
138,"('#sganarelle', 'Il est vrai.')",,1.0,Insertion
139,"('#celie', ""Qui bien loin... Mais c'est trop, et ce coeur Ne saurait y songer sans mourir de douleur."")",,1.0,Insertion
140,"('#sganarelle', ""Ne vous fâchez pas tant, ma très chère Madame, Mon mal vous touche trop et vous me percez l'âme."")","('#paquette', ""L'on ne le peut nier, cet homme a l'âme bonne,  Et plus je songe à lui, plus sa bonté m'étonne.  Quoi, prendre ainsi le soin de courir me venger,  Voilà ce qu'aujourd'hui l'on appelle obliger,  Tout à fait galamment, de la belle manière ;  Mais quoi de mon côté, serai-je sans rien faire ?  Mon coeur à se venger ne sera-t-il pas prompt ?  Pourrai-je bien souffrir un si sensible affront ?  Et n'aurai-je recours qu'aux soupirs et qu'aux larmes  Qui de mon sexe sont les plus fréquentes armes ?  Non, non, dorénavant il ne sera pas dit,  Que Paquette voie tout sans montrer de dépit,  Et que de son mari l'on partage la couche,  Sans que pour s'en venger elle ose ouvrir la bouche ;  Courrons donc la chercher cette lâche beauté  Qui pousse notre époux à l'infidélité ;  Mais je devrais avant que de pousser l'affaire,  Songer sur qui je veux décharger ma colère.  Cette femme sans doute est plus jeune que moi,  Et par cette raison plus robuste je crois,  Et si je l'attaquais, quelque ardeur qui m'emporte  Je pourrais sûrement n'être pas la plus forte ;  Puis donc qu'il est ainsi je ne m'y fourre pas,  J'aime par trop mon teint, mes jambes, et mes bras,  L'on me reprocherait outre le cocuage,  D'avoir été battue, et ce sensible outrage  Joint avec le premier me ferait enrager :  Aille donc qui voudra maintenant me venger,  Pour moi je n'y vais pas et crois sagement faire  Quand de peur d'accident je cache ma colère.  Mais voyons si j'ai lieu d'être fort en courroux  Et de faire éclater ce déplaisir jaloux.  Non puisque par bonheur nous n'avons aucun blâme,  Quand nos maris sans nous ont un commerce infâme ;  Et que quand notre coeur brûle d'indignes feux  Tout le blâme aussitôt rejaillit dessus eux.  Qu'ils goûtent donc le fruit du feu qui les possède,  Je n'en serai jamais plus maigre ni plus laide,  Plus maigre ni plus laide [sic]. Ah! je me trompe enfin,  Et je n'ai pas besoin d'un jugement bien fin  Pour savoir que le jeûne apporte du dommage  À l'esprit, et surtout, qu'il change le visage.  C'est pourquoi maintenant je m'aperçois si bien,  Que mon mari ne peut sans y mêler du mien  Se divertir ailleurs, puisque outre l'abstinence  Que je fais tous les jours, le traître a l'insolence  D'emporter du logis tout ce qu'il peut trouver  Mais ne pourrai-je point à force de rêver...  Oui, je tiens un remède assez facile à faire  Et qui n'a rien du tout qui ne me doive plaire,  Puisqu'il me donne lieu de finir mon ennui  Et que par lui je puis recouvrer aujourd'hui  Tous les plaisirs perdus et tout le bien encore.  Je n'ai qu'à consentir que tout chacun m'adore,  Qu'à souffrir qu'on me die en secret les douceurs,  Qu'à souffrir des hélas, qu'à souffrir des je meurs,  Et je serai vêtue après comme une Reine,  De me bien divertir chacun prendra la peine,  Je ne manquerai point à trouver tous les jours  Un carrosse à ma porte afin d'aller au Cours,  Et chassant loin de moi toute crainte funeste,  J'aurai bien du plaisir et de l'argent de reste.  Elle revient ayant fait trois ou quatre pas."")",0.76,Substitution
141,"('#celie', ""Mais ne t'abuse pas jusqu'à te figurer Qu'à des plaintes sans fruit j'en veuille demeurer, Mon coeur pour se venger sait ce qu'il te faut faire Et j'y cours de ce pas, rien ne m'en peut distraire."")","('#alcippe', ""Oui je veux obéir à vos commandements,  Je veux dorénavant suivre vos sentiments  Je ne résiste plus et je ferai mon père  Tout ce qu'il vous plaira de m'ordonner de faire,  Et quelque objet pour moi dont vous ayez fait choix,  Mon coeur dès à présent est soumis à ses lois,  Et fût-il et moins riche et moins beau qu'Hippolyte  Votre choix lui suffit pour prouver son mérite,  Et si vous le voulez je suis prêt dès demain  De lui donner mon coeur ensemble avec ma main. "")",0.49,Substitution
142,,"('#geronte', ""C'est ainsi qu'un enfant doit répondre à son père  Il doit n'avoir de but que celui de lui plaire,  Afin que dans ce monde il fasse un long séjour. "")",1.0,Deletion
143,"('#sganarelle', ""Que le ciel la préserve à jamais de danger. Voyez quelle bonté de vouloir me venger : En effet ; son courroux qu'excite ma disgrâce M'enseigne hautement ce qu'il faut que je fasse, Et l'on ne doit jamais souffrir sans dire mot De semblables affronts à moins qu'être un vrai sot. Courons donc le chercher ce pendard qui m'affronte Montrons notre courage à venger notre honte. Vous apprendrez, maroufle ; à rire à nos dépens, Et sans aucun respect faire cocus les gens. Doucement, s'il vous plaît, cet homme a bien la mine D'avoir le sang bouillant et l'âme un peu mutine, Il pourrait bien mettant affront dessus affront Charger de bois mon dos, comme il a fait mon front. Je hais de tout mon coeur les esprits colériques, Et porte grand amour aux hommes pacifiques : Je ne suis point battant de peur d'être battu Et l'humeur débonnaire est ma grande vertu. Mais mon honneur me dit que d'une telle offense Il faut absolument que je prenne vengeance. Ma foi laissons-le dire autant qu'il lui plaira, Au diantre qui pourtant rien du tout en fera : Quand j'aurai fait le brave, et qu'un fer pour ma peine M'aura d'un vilain coup transpercé la bedaine, Que par la ville ira le bruit de mon trépas, Dites-moi mon honneur, en serez-vous plus gras ? La bière est un séjour par trop mélancolique Et trop malsain pour ceux qui craignent la colique, Et quant à moi je trouve, ayant tout compassé, Qu'il vaut mieux être encore cocu que trépassé : Quel mal cela fait-il ? La jambe en devient-elle Plus tortue après tout, et la taille moins belle ? Peste soit qui premier trouva l'invention De s'affliger l'esprit de cette vision, Et d'attacher l'honneur de l'homme le plus sage Aux choses que peut faire une femme volage ; Puisqu'on tient à bon droit tout crime personnel, Que fait là notre honneur, pour être criminel ? Des actions d'autrui l'on nous donne le blâme, Si nos femmes sans nous ont un commerce infâme, Il faut que tout le mal tombe sur notre dos, Elles font la sottise, et nous sommes les sots, C'est un vilain abus et les gens de Police, Nous devraient bien régler une telle injustice. N'avons-nous pas assez des autres accidents, Qui nous viennent happer en dépit de nos dents, Les querelles, procès, faim, soif et maladie, Troublent-ils pas assez le repos de la vie Sans s'aller de surcroît aviser sottement De se faire un chagrin qui n'a nul fondement ? Moquons-nous de cela, méprisons les alarmes. Et mettons sous nos pieds les soupirs et les larmes, Si ma femme a failli, qu'elle pleure bien fort. Mais pourquoi moi pleurer puisque je n'ai point tort ? En tout cas ce qui peut m'ôter ma fâcherie, C'est que je ne suis pas seul de ma confrérie, Voir cajoler sa femme et n'en témoigner rien Se pratique aujourd'hui par force gens de bien : N'allons donc point chercher à faire une querelle Pour un affront qui n'est que pure bagatelle. L'on m'appellera sot de ne me venger pas ; Mais je le serais fort de courir au trépas. Je me sens là pourtant remuer une bile Qui veut me conseiller quelque action virile : Oui le courroux me prend, c'est trop être poltron : Je veux résolument me venger du larron : Déjà pour commencer, dans l'ardeur qui m'enflamme, Je vais dire partout qu'il couche avec ma femme. Il se retourne ayant fait trois ou quatre pas. Mettant la main sur son estomac. Avouez moi maintenant la vérité, est-il pas vrai, Monsieur, que vous avez trouvé ces vers tout à fait beaux, que vous ne vous êtes pu empêcher de les relire encore une fois, et que vous demeurez d'accord que Paris a eu raison de nommer cette scène, la belle scène."")","('#alcippe', ""Après mille combats j'ai vaincu mon amour,  Et le vaincrais encore si c'était à refaire,  Afin de vous montrer combien je vous révère.  Mais plutôt pour punir le criminel objet  Qui se vient de souiller d'un infâme forfait.  À part."")",0.09,Substitution
144,"('#celie', 'Oui, je veux bien subir une si juste loi, Mon père, disposez de mes voeux et de moi, Faites quand vous voudrez signer cet hyménée, À suivre mon devoir je suis déterminée, Je prétends gourmander mes propres sentiments Et me soumettre en tout à vos commandements.')","('#geronte', ""On ne se repend point de rendre obéissance  À ceux à qui nous doit soumettre la naissance,  Puisque le temps enfin souvent nous fait bien voir  Qu'ils n'usent dessus nous d'un absolu pouvoir  Que pour notre intérêt et notre propre gloire. "")",0.61,Substitution
145,,"('#alcippe', ""Oui, mais l'on est contraint avant que de le croire  De soupirer longtemps. "")",1.0,Deletion
146,"('#gorgibus', ""Ah ! Voilà qui me plaît de parler de la sorte, Parbleu, si grande joie à l'heure me transporte, Que mes jambes sur l'heure en cabrioleraient, Si nous n'étions point vus de gens qui s'en riraient. Approche-toi de moi, viens çà que je t'embrasse : Une belle action n'a pas mauvaise grâce ; Un père, quand il veut, peut sa fille baiser Sans que l'on ait sujet de s'en scandaliser. Va, le contentement de te voir si bien née Me fera rajeunir de dix fois une année."")","('#geronte', ""Tu soupireras peu,  Puisque pour te payer d'avoir éteint ton feu,  Et te faire passer ta vie en galant homme,  Trente mille Ducats font une belle somme ;  Mais je vais maintenant avertir de ceci  La mère d'Hippolyte, et je retourne ici. "")",0.41,Substitution
147,"('#la-suivante', ""Ce changement m'étonne."")","('#roguespine', ""Monsieur, quoi qu'Hippolyte en effet soit fort belle,  J'aurais gagé cent fois que vous seriez fidèle :  C'est pourquoi vous voyez que je ne cèle point  Qu'un pareil changement m'étonne au dernier point. "")",1.41,Substitution
148,"('#celie', ""Et lorsque tu sauras Par quel motif j'agis tu m'en estimeras."")","('#alcippe', ""Quand tu sauras pourquoi j'ai su vaincre ma flamme,  Tu cesseras bientôt de me couvrir de blâme. "")",0.21,Substitution
149,"('#la-suivante', 'Cela pourrait bien être.')","('#roguespine', ""Et de grâce, Monsieur, dépêchez promptement  Car je vous crois souillé d'un vilain changement. "")",1.67,Substitution
150,"('#celie', ""Apprends donc que Lélie, A pu blesser mon coeur par une perfidie, Qu'il était en ces lieux sans..."")","('#alcippe', ""Apprends donc qu'en ces lieux l'ingrate, l'infidèle... "")",0.76,Substitution
151,,"('#alcippe', ""Où vous fourrerez-vous ? J'aperçois cette belle !  De colère déjà son visage rougit  Et l'on voit bien qu'elle a le coeur gros de dépit. "")",1.0,Deletion
152,"('#la-suivante', 'Mais il vient à nous.')","('#alcippe', ""Que ses attraits sont doux, quoi qu'elle soit coupable ;  Pour me faire souffrir elle est toujours aimable. "")",1.82,Substitution
153,"('#lelie', ""Avant que pour jamais je m'éloigne de vous, Je veux vous reprocher au moins en cette place..."")","('#cephise', ""Puisque j'ai résolu de ne vous voir jamais,  Avant que d'en venir Scélérat aux effets,  Il faut du moins qu'ici par de justes reproches..."")",0.26,Substitution
154,,"('#roguespine', ""Hé ! Monsieur, s'il vous plaît, évitez ces approches,  Vous savez ce que peut une femme en fureur. "")",1.0,Deletion
155,"('#celie', 'Quoi me parler encore, avez-vous cette audace ?')","('#alcippe', ""De grâce laisse-moi lui montrer que l'ardeur  Qui brûle dans son âme... "")",1.1,Substitution
156,"('#lelie', ""Il est vrai qu'elle est grande et votre choix est tel Qu'à vous rien reprocher je serais criminel, Vivez, vivez contente et bravez ma mémoire Avec le digne époux qui vous comble de gloire."")","('#cephise', ""Hé bien donc, parle traître !  Et condamne l'objet qui sut la faire naître ;  Mais j'ai tort, et ton âme a fait un si beau choix  Que l'on me blâmerait peut-être si j'osais  Te reprocher... Mais non, vis malgré ton offense  Avec le digne objet qui fait voir ta constance. "")",0.54,Substitution
157,"('#celie', ""Oui traître j'y veux vivre, et mon plus grand désir Ce serait que ton coeur en eût du déplaisir."")","('#alcippe', 'Je vivrai seulement pour vous faire enrager. ')",0.66,Substitution
158,"('#lelie', 'Qui rend donc contre moi ce courroux légitime ?')","('#cephise', 'Mais pourrait-on savoir qui te peut obliger  À montrer ce courroux. ')",0.25,Substitution
159,"('#celie', 'Quoi tu fais le surpris, et demandes ton crime ?')","('#alcippe', 'Vous avez bonne grâce  À faire la surprise. ')",1.11,Substitution
160,"('#sganarelle', ""Guerre, guerre mortelle à ce larron d'honneur Qui sans miséricorde a souillé notre honneur !"")","('#paquette', ""Oui dans peu son audace,  Saura bien recevoir un juste châtiment,  Mon coeur a tout_à_coup changé de sentiment,  Et je veux quoi qu'enfin je ne sois qu'une femme,  Sans tarder plus longtemps, me venger de l'infâme  Qui m'ose lâchement débaucher mon époux. "")",0.6,Substitution
161,"('#celie', 'Tourne ? Tourne les yeux ? Sans me faire répondre.')","('#alcippe', ""Ah ! Sans que je m'emporte et montre mon courroux,  Tournez ici les yeux et vous pourrez apprendre... "")",0.91,Substitution
