DamaDuende,Google Trad,Esprit Folet,Modernisé,,,
,,Isabelle|Vous mocquez-vous Madame ? en pouvez-vous douter ?|Vostre frere depuis ne vous a pas suivie.,Isabelle | Vous mocquez-vous Madame ? en pouvez-vous douter ? | Vostre frere depuis ne vous a pas suivie.,,,
,,"Angelique|Je ne veux point celer que je brusle d’envie|De sçavoir quel il est, et de le voir aussi.","Angelique | Je ne veux point celer que je brusle d’envie | De sçavoir quel il est, et de le voir aussi.",,,
,,"Isabelle|Madame taisez-vous,vostre frere entre icy.","Isabelle | Madame taisez-vous,vostre frere entre icy.",,,
,,"Angelique|Ah dieux ! Que j’apprehende, il semble estre en colere. | [p. 16]| Scene VI §| Licidas, Angelique, Isabelle| |","Angelique | Ah dieux ! Que j’apprehende, il semble estre en colere.  |  [p. 16] |  Scene VI § |  Licidas, Angelique, Isabelle |   |",,,
LUISÁngela.,LUISAngela.,Licidas| Que faites-vous ma sœur ?,Licidas |  Que faites-vous ma sœur ?,,,
"ÁNGELA |Hermano|y señor, |turbado y confuso vienes.| ¿Qué ha sucedido? ¿Qué tienes?","ANGELA |Frère|et monsieur, |vous venez perturbé et confus.| Que s'est-il passé? Qu'as-tu?","Angelique|Que faites-vous ma sœur ? Mais vous-mesme mon frere ?|Vous semblez interdit, chagrin et tout deffait,| Estes-vous en colere ?","Angelique | Que faites-vous ma sœur ? Mais vous-mesme mon frere ? | Vous semblez interdit, chagrin et tout deffait, |  Estes-vous en colere ?",,,
LUIS |Harto tengo: tengo honor.,LUIS |J'en ai assez : j'ai de l'honneur.,Licidas|Estes-vous en colere ? Oüy j’y suis en effet.,Licidas | Estes-vous en colere ? Oüy j’y suis en effet.,,,
,,"Isabelle (bas)| Ah Madame, il le sçait.","Isabelle (bas) |  Ah Madame, il le sçait.",,,
ÁNGELA |(¡Ay de mí! Sin duda es| que don Luis me conoció).,ANGELA |(Malheur à moi ! C'est sans aucun doute| que Don Luis m'a connu).,"Angelique(bas)|Ah Madame, il le sçait. Grands Dieux ! je suis perdüe,| Qu’avez-vous donc ?","Angelique(bas) | Ah Madame, il le sçait. Grands Dieux ! je suis perdüe, |  Qu’avez-vous donc ?",,,
"LUIS |Y así, siento mucho yo| que se estime en poco.","LUIS |Et donc, je suis vraiment désolé| cela s'estime en peu.",Licidas| [p. 17]|Qu’avez-vous donc ? Je viens de me battre en la ruë.,Licidas |  [p. 17] | Qu’avez-vous donc ? Je viens de me battre en la ruë.,,,
ÁNGELA |Pues | ¿has tenido algún disgusto?,ANGELA |Eh bien | Avez-vous eu des déceptions ?,"Angelique| Vous battre, contre qui ?","Angelique |  Vous battre, contre qui ?",,,
"LUIS |Lo peor es que, cuando vengo| a verte, el disgusto tengo| que|tuve, Ángela.","LUIS |Le pire, c'est que quand je viens| On se voit, je suis contrarié ce que j'avais, Angela.","Licidas|Vous battre, contre qui ? Contre un jeune estranger ;|Et qui pis est encor, qui vient icy loger.","Licidas | Vous battre, contre qui ? Contre un jeune estranger ; | Et qui pis est encor, qui vient icy loger.",,,
ISABEL |(¿Otro susto?).,ISABEL |(Une autre frayeur ?).,,,,,
"ÁNGELA |/Pues yo ¿en qué te puedo dar,| hermano, disgusto? Advierte...","ANGELA |/Eh bien, que puis-je te donner,| frère, mécontentement ? Avertir...",Angelique| Qui vient icy loger ?,Angelique |  Qui vient icy loger ?,,,
"LUIS |Tú eres la causa, y el verte...","LUIS |Vous êtes la cause, et en vous voyant...","Licidas|Qui vient icy loger ? Mon frere nous l’emmeine,|C’est Florestan, de qui Lizandre estoit en peine,|Dont nous avons parlé plusieurs fois entre nous.","Licidas | Qui vient icy loger ? Mon frere nous l’emmeine, | C’est Florestan, de qui Lizandre estoit en peine, | Dont nous avons parlé plusieurs fois entre nous.",,,
ÁNGELA |(¡Ay de mí!).,ANGELA |(Malheur à moi !).,Angelique (bas)|Mes esprits sont remis. Dieux ! que me dites-vous ?|Mais quel sujet a fait naistre votre querelle ?,Angelique (bas) | Mes esprits sont remis. Dieux ! que me dites-vous ? | Mais quel sujet a fait naistre votre querelle ?,,,
"LUIS |...Ángela, estimar | tan poco de nuestro hermano...","LUIS |...Angela, estimation | si peu de notre frère...",Licidas|Nous nous sommes battus pour une damoiselle.,Licidas | Nous nous sommes battus pour une damoiselle.,,,
ÁNGELA |(Eso sí).,ANGELA |(Oui).,Angelique| [p. 18]| Pour une damoiselle ?,Angelique |  [p. 18] |  Pour une damoiselle ?,,,
"LUIS |...pues, cuando vienes | con los disgustos que tienes,| cuidados te dé. No en vano| el enojo que tenía| con el huésped me pagó,| pues, sin conocerle yo,| hoy le he herido en profecía.","LUIS |...eh bien, quand viens-tu | avec les aversions que vous avez, | soins que je te donne. Pas en vain| la colère que j'avais avec l'invité qu'il m'a payé, | Eh bien, sans le connaître, | Aujourd'hui, je l'ai blessé dans la prophétie.",Licidas| Pour une damoiselle ? Ouy ma sœur,Licidas |  Pour une damoiselle ? Ouy ma sœur,,,
ÁNGELA |Pues ¿cómo fue?,"ANGELA |Eh bien, comment c'était ?",Angelique|Pour une damoiselle ? Ouy ma sœur Mais comment ?,Angelique | Pour une damoiselle ? Ouy ma sœur Mais comment ?,,,
"LUIS |Entré|en la plaza |de palacio, hermana, a pie| hasta el palenque, porque| toda la desembaraza| de coches y caballeros| la guarda. A un corro me fui| de amigos, adonde vi| que alegres y lisonjeros| los tenía una tapada,| a quien todos celebraron| lo que dijo y alabaron| de entendida y sazonada.| Desde el punto que llegué| otra palabra no habló,| tanto que a alguno obligó| a preguntarla por qué,| porque yo llegaba, había| con tanto estremo callado.| Todo me puso en cuidado;| miré si la conocía| y no pude, porque ella| se puso más en taparse,| en esconderse y guardarse.| Viendo que no pude vella,| seguilla determiné.| Ella siempre atrás volvía| a ver si yo la seguía,| cuyo gran cuidado fue| espuela de mi cuidado.| Yendo desta suerte, pues,| llegó un hidalgo, que es| de nuestro huésped criado,| a decir que le leyese| una carta. Respondí| que iba de priesa y creí| que detenerme quisiese| con este intento, porque| la mujer le habló al pasar;| y tanto dio en porfiar| que le dije no sé qué.| Llegó en aquella ocasión| en defensa del criado| nuestro huésped, muy soldado;| sacamos en conclusión| las espadas. Todo es esto,| pero más pudiera ser.","LUIS |Je suis entré|sur la place du Palais, ma sœur, à pied| au palenque, parce que| toute la gêne| des voitures et messieurs| le garde. Je suis allé dans un cercle d'amis, où j'ai vu| comme c'est heureux et flatteur Je les ai couverts, | que tout le monde a célébré| ce qu'il a dit et loué | compris et aguerri.| Du point où je suis arrivé| un autre mot qu'il n'a pas prononcé, | à tel point que cela a forcé certains lui demander pourquoi, | parce que je suis arrivé, il y avait| avec tant de silence.| Tout m'a mis aux soins ;| J'ai regardé pour voir si je la connaissais et je ne pouvais pas, parce qu'elle| il a fait plus d'efforts pour se couvrir, | se cacher et se tenir à l'écart.| Voyant que je ne pouvais pas la voir, | seguilla j'ai déterminé.| Elle revenait toujours Voyons si je l'ai suivie, | dont le grand soin était| l'impulsion de mes soins.| En allant par ici, alors, | un monsieur est arrivé, qui est| de notre serviteur serviteur,| lui dire de le lire | une carte. J'ai répondu | que j'étais pressé et je croyais j'aimerais arrêter avec cette tentative, parce que| la femme lui parlait en passant ;| et il a essayé si fort de persister Je lui ai dit que je ne sais pas quoi. C'est arrivé à cette occasion| pour la défense du serviteur notre invité, très soldat ;| nous tirons en conclusion| épées. C'est tout ça, | mais ça pourrait être plus.","Licidas|Je vous veux tout conter dés le commencement,|Pour entendre le fait il faut que je vous die,|Que j’ay voulu tantost oüir la Comedie,|Pour voir un beau sujet dont on a tant parlé,|Dont l’excellente intrigue est tres-bien desmeslé,|Les fourbes d’ARBIRAN c’est ainsi qu’on l’apelle,|Cette piece en effet n’est pas beaucoup nouvelle,|Les vers n’en sont pas forts, je ne suis pas flateur,|Quoy que je sois pourtant grand amy de l’autheur,|Mais dans l’oeconomie il faut que je confesse,|Qu’il conduit un sujet avecque tant d’adresse,|Le remplit d’incidents si beaux et si divers,|Qu’on excuse aisément la foiblesse des vers.|J’entre dedans l’Hostel avecque mille peines|Car jamais on a vu les loges aussi pleines,|Et mille ont pour entrer fait leurs efforts en vain, [p. 19]|Qu’il a fallu remettre à Dimanche prochain.|Comme j’estois actif à trouver une place|J’ay veu chacun tourné pour contempler la grace|D’une jeune merveille, à ce que l’on m’a dit,|Car pour moy je n’ay veu d’elle rien que l’habit,|Car comme j’ay voulu jetter les yeux sur elle|Pour la voir à mon ayse, aussi-tost la cruelle|A rabaissé sa coiffe, et comme par mespris|Donnécette algaradeaux cœurs qu’elle avoit pris.|Moy bruslant de desir de voir ce beau visage,|A qui cent languissants desja faisoient hommage,|J’accuse seulement la rigueur de mon sort|D’estre arrivé trop tard. Mais la voyant d’accord|Avec plusieurs galands, et de ris et de gestes,|Par ces muets discours j’ay bien compris le reste,|Car deslors j’ay cognu* que pour moy seulement|Elle voulait cacher ce visage charmant.|Lors j’ay creu, comme un autre eust creu la mesme chose,|Qu’elle me cognoissait, et que c’estoit la cause|Qui pouvoit l’obliger à se cacher ainsi,|Ce qui m’a fait resoudre à m’en voir esclaircy,|Je sors tout le premierpour l’attendre à la porte,|Elle s’en aperçoit, et me previentde sorte,|Qu’encor que je m’efforce à prendre le devant|Elle descend aussi plus vite que le vent,|Je la voy devant moy, je tasche, je m’efforce [p. 20]|De la suivre à grands pas, et l’atteindre par force,|Car la peur qu’elle avoit d’entrer en mon pouvoir|M’augmentoit cent fois plus le desir de la voir :|Sur ce point un maraut qui vient pour me distraire|Me presente un escrit qui me met en colere,|J’ay veu qu’il le faisoit expres pour m’arrester,|Et que je n’avois point de sujet d’en douter,|Car comme elle avoit peur de se faire cognoistre*,|Je l’avois veüe avant parler avec son maistre,|Ce qui me l’a fait lors traitter si rudement,|Que son maistre ayant eu quelque ressentiment,| M’a parlé de façon en prenant sa defense,|Que je n’ay pû du tout souffrir son arrogance,|J’ay mis l’espée au poing, l’autre s’est defendu,|Mon frere sur le lieu soudain s’estant rendu,|A cognu* son Amy. Quoy qu’il ait du courage,|Du combat cependant j’ai eu quelque avantage.| Je l’ay blessé.","Licidas | Je vous veux tout conter dés le commencement, | Pour entendre le fait il faut que je vous die, | Que j’ay voulu tantost oüir la Comedie, | Pour voir un beau sujet dont on a tant parlé, | Dont l’excellente intrigue est tres-bien desmeslé, | Les fourbes d’ARBIRAN c’est ainsi qu’on l’apelle, | Cette piece en effet n’est pas beaucoup nouvelle, | Les vers n’en sont pas forts, je ne suis pas flateur, | Quoy que je sois pourtant grand amy de l’autheur, | Mais dans l’oeconomie il faut que je confesse, | Qu’il conduit un sujet avecque tant d’adresse, | Le remplit d’incidents si beaux et si divers, | Qu’on excuse aisément la foiblesse des vers. | J’entre dedans l’Hostel avecque mille peines | Car jamais on a vu les loges aussi pleines, | Et mille ont pour entrer fait leurs efforts en vain, [p. 19] | Qu’il a fallu remettre à Dimanche prochain. | Comme j’estois actif à trouver une place | J’ay veu chacun tourné pour contempler la grace | D’une jeune merveille, à ce que l’on m’a dit, | Car pour moy je n’ay veu d’elle rien que l’habit, | Car comme j’ay voulu jetter les yeux sur elle | Pour la voir à mon ayse, aussi-tost la cruelle | A rabaissé sa coiffe, et comme par mespris | Donnécette algaradeaux cœurs qu’elle avoit pris. | Moy bruslant de desir de voir ce beau visage, | A qui cent languissants desja faisoient hommage, | J’accuse seulement la rigueur de mon sort | D’estre arrivé trop tard. Mais la voyant d’accord | Avec plusieurs galands, et de ris et de gestes, | Par ces muets discours j’ay bien compris le reste, | Car deslors j’ay cognu* que pour moy seulement | Elle voulait cacher ce visage charmant. | Lors j’ay creu, comme un autre eust creu la mesme chose, | Qu’elle me cognoissait, et que c’estoit la cause | Qui pouvoit l’obliger à se cacher ainsi, | Ce qui m’a fait resoudre à m’en voir esclaircy, | Je sors tout le premierpour l’attendre à la porte, | Elle s’en aperçoit, et me previentde sorte, | Qu’encor que je m’efforce à prendre le devant | Elle descend aussi plus vite que le vent, | Je la voy devant moy, je tasche, je m’efforce [p. 20] | De la suivre à grands pas, et l’atteindre par force, | Car la peur qu’elle avoit d’entrer en mon pouvoir | M’augmentoit cent fois plus le desir de la voir : | Sur ce point un maraut qui vient pour me distraire | Me presente un escrit qui me met en colere, | J’ay veu qu’il le faisoit expres pour m’arrester, | Et que je n’avois point de sujet d’en douter, | Car comme elle avoit peur de se faire cognoistre*, | Je l’avois veüe avant parler avec son maistre, | Ce qui me l’a fait lors traitter si rudement, | Que son maistre ayant eu quelque ressentiment, |  M’a parlé de façon en prenant sa defense, | Que je n’ay pû du tout souffrir son arrogance, | J’ay mis l’espée au poing, l’autre s’est defendu, | Mon frere sur le lieu soudain s’estant rendu, | A cognu* son Amy. Quoy qu’il ait du courage, | Du combat cependant j’ai eu quelque avantage. |  Je l’ay blessé.",,,
"ÁNGELA |¡Miren la mala mujer| en qué ocasión te había puesto!| ¡Que hay mujeres tramoyeras!| Pondré que no conocía| quién eras y que lo hacía| sólo por que la siguieras.| Por eso estoy harta yo| de decir, si bien te acuerdas,| que mires que no te pierdas| por mujercillas, que no| saben más que aventurar| los hombres.","ANGELA |Regarde la mauvaise femme| à quelle occasion t'avais-je mis !| Il y a des femmes qui sont des escrocs !| Je dirai que je ne savais pas qui tu étais et qu'est-ce que tu as fait | juste parce que tu l'as suivie.| C'est pourquoi j'en ai marre dire, si tu te souviens bien, | regarde pour ne pas rater pour les petites femmes, non ils en savent plus que de s'aventurer | les hommes.","Angelique|Je l’ay blessé. Blessé, bons Dieux ! je n’en puis plus,| Soustenez-moy, je meurs.","Angelique | Je l’ay blessé. Blessé, bons Dieux ! je n’en puis plus, |  Soustenez-moy, je meurs.",,,
,,"Licidas (la soustenant)|Soustenez-moy, je meurs. J’ay les sens tous confus :|Mais d’où vient que son mal jusqu’à ce point vous touche ? [p. 21]","Licidas (la soustenant) | Soustenez-moy, je meurs. J’ay les sens tous confus : | Mais d’où vient que son mal jusqu’à ce point vous touche ? [p. 21]",,,
,,"Angelique (bas)|Ah grands Dieux ! ma douleur m’a trahy par ma bouche .|Quoy, jusques à ce point dois-je pas m’attrister,|Si le coup est mortel, qu’il vous faille absenter?","Angelique (bas) | Ah grands Dieux ! ma douleur m’a trahy par ma bouche . | Quoy, jusques à ce point dois-je pas m’attrister, | Si le coup est mortel, qu’il vous faille absenter?",,,
,,"Licidas|Non, non, ne craignez rien, sa blessure est legere,| Ce n’est que dans la main.","Licidas | Non, non, ne craignez rien, sa blessure est legere, |  Ce n’est que dans la main.",,,
,,"Angelique|Ce n’est que dans la main. J’apprehendois mon frere,|Je respire à ce coup, et mes sens sont remis.","Angelique | Ce n’est que dans la main. J’apprehendois mon frere, | Je respire à ce coup, et mes sens sont remis.",,,
,,Licidas|Nous sommes toutefois demeurez bons amis.,Licidas | Nous sommes toutefois demeurez bons amis.,,,
,,"Angelique|Je m’en resjouis fort, que je hay cette infame,|Cause de tout le mal, ah ! la meschante femme,|Qui vous a pensé mettre en un si grand danger,|Elle ne vous fuyoit que pour vous obliger,|Sans qu’elle vous cognust, de courir apres elle,|Et je gagerois bien qu’elle n’est point si belle.|Croyez si c’eust esté quelque rare beauté, [p. 22]|Qu’elle vous eust surpris par un œil affeté*,|Elle vous l’eust fait voir ; Dieux ! que c’est chose aisée,|De decevoir* vos sens pour peu qu’on soit rusée,|Vous vous laissez gagner par un geste en effet,|Et par le faux rapport que l’on vous en a fait .|Ne vous laissez jamais tromper à l’apparence,|Le vice prend souvent le masque d’innocence,|Et par de faux attraits telle femme vous plaist|Qui bien souvent n’est rien de ce qu’elle paroist.|Mon frere quittez là ces jeunes affetées*,|Qui n’ont point d’autre but que d’estre muguetées|Et qui ne pensent point qu’on les puisse obliger*|Sans mettre un honneste homme en evident danger,|Pensans bien mieux valoir, lors que pour l’amour d’elles|Des hommes de merite embrassent cent querelles.","Angelique | Je m’en resjouis fort, que je hay cette infame, | Cause de tout le mal, ah ! la meschante femme, | Qui vous a pensé mettre en un si grand danger, | Elle ne vous fuyoit que pour vous obliger, | Sans qu’elle vous cognust, de courir apres elle, | Et je gagerois bien qu’elle n’est point si belle. | Croyez si c’eust esté quelque rare beauté, [p. 22] | Qu’elle vous eust surpris par un œil affeté*, | Elle vous l’eust fait voir ; Dieux ! que c’est chose aisée, | De decevoir* vos sens pour peu qu’on soit rusée, | Vous vous laissez gagner par un geste en effet, | Et par le faux rapport que l’on vous en a fait . | Ne vous laissez jamais tromper à l’apparence, | Le vice prend souvent le masque d’innocence, | Et par de faux attraits telle femme vous plaist | Qui bien souvent n’est rien de ce qu’elle paroist. | Mon frere quittez là ces jeunes affetées*, | Qui n’ont point d’autre but que d’estre muguetées | Et qui ne pensent point qu’on les puisse obliger* | Sans mettre un honneste homme en evident danger, | Pensans bien mieux valoir, lors que pour l’amour d’elles | Des hommes de merite embrassent cent querelles.",,,
LUIS |¿En|qué has pasado | la tarde?,LUIS | Qu'avez-vous fait | le soir?,"Licidas|Brisons-là, ne disons jamais du mal d’autruy,|A quoy vous estes-vous divertie aujourd’huy ?","Licidas | Brisons-là, ne disons jamais du mal d’autruy, | A quoy vous estes-vous divertie aujourd’huy ?",,,
ÁNGELAEn|casa me he estado | entretenida en llorar.,"ÁNGELAÀ la maison, j'ai été | amusé à pleurer.","Angelique|Aux occupations qui me sont ordinaires,|A pleurer tout le jour l’excez de mes miseres,| Me le demandez-vous ?","Angelique | Aux occupations qui me sont ordinaires, | A pleurer tout le jour l’excez de mes miseres, |  Me le demandez-vous ?",,,
LUIS¿Hate nuestro hermano visto?,LUIS As-tu vu notre frère ?,"Licidas| [p. 23]|Me le demandez-vous ? Ma sœur vous avez tort,|Vos pleurs ne peuvent pas faire revivre un mort,|Aux plus ardans soupirs, laissez la porte ouverte|Ils ne vous feront pas recouvrer vostre perte ;| Mais adieu je vous laisse.","Licidas |  [p. 23] | Me le demandez-vous ? Ma sœur vous avez tort, | Vos pleurs ne peuvent pas faire revivre un mort, | Aux plus ardans soupirs, laissez la porte ouverte | Ils ne vous feront pas recouvrer vostre perte ; |  Mais adieu je vous laisse.",,,
ÁNGELADesde esta mañana no | ha entrado aquí.,ANGELA Pas depuis ce matin | est entré ici.,Angelique|Mais adieu je vous laisse. En quel appartement| Logez-vous Florestan ?,Angelique | Mais adieu je vous laisse. En quel appartement |  Logez-vous Florestan ?,,,
LUIS |¡Qué|mal yo | estos descuidos resisto!,LUIS |Comme je vais mal | Je résiste à ces oublis !,"Licidas|Logez-vous Florestan ? Pour plus commodément|Le loger, sans qu’il soit mesme veu de personne,|Et qu’il puisse y venir à toute heure, on luy donne|Le quartier de derriere, où mon frere a logé,|Ayant la clef il n’est à personne obligé* ;|Car dans sa chambre il faut,et qu’il entre et qu’il sorte|Et par une autre ruë et par une autre porte,|Ainsi chez nous il semble estre en autre maison|  On l’a fait pour cela.","Licidas | Logez-vous Florestan ? Pour plus commodément | Le loger, sans qu’il soit mesme veu de personne, | Et qu’il puisse y venir à toute heure, on luy donne | Le quartier de derriere, où mon frere a logé, | Ayant la clef il n’est à personne obligé* ; | Car dans sa chambre il faut,et qu’il entre et qu’il sorte | Et par une autre ruë et par une autre porte, | Ainsi chez nous il semble estre en autre maison |   On l’a fait pour cela.",,,
"ÁNGELA |Pues deja los sentimientos,| que al fin sufrirle es mejor,| que es nuestro hermano mayor| y comemos de alimentos.","ANGELA | Eh bien, laisse les sentiments derrière toi, | qu'à la fin il vaut mieux souffrir,| qui est notre frère aîné et nous mangeons de la nourriture.","Angelique| On l’a fait pour cela. Vous avez eu raison.|Mais bien loing d’estre encor contre luy en colere,|Il vous faut estre amis, aimez-le mon cher frere,|Vous desobligeriez mon frere asseurément [p. 24]|Si vous aviez dessein d’en user autrement.","Angelique |  On l’a fait pour cela. Vous avez eu raison. | Mais bien loing d’estre encor contre luy en colere, | Il vous faut estre amis, aimez-le mon cher frere, | Vous desobligeriez mon frere asseurément [p. 24] | Si vous aviez dessein d’en user autrement.",,,
"LUIS |Si tú estás tan consolada,| yo también, que yo por ti| lo sentía; y, por que así| veas no dárseme nada,| a verle voy y aun con él| haré una galantería.| (Vase.)","LUIS |Si tu es ainsi consolé,| moi aussi, que je suis pour toi| Je l'ai senti; et pourquoi donc | tu vois, ne me donne rien, | Je vais le voir et toujours avec lui | Je ferai une galanterie.| (Sortie.)","Licidas| Bien, je m’en vay le voir. | Scene VII §| Isabelle, Angelique| |","Licidas |  Bien, je m’en vay le voir.  |  Scene VII § |  Isabelle, Angelique |   |",,,
"ISABEL |¿Qué dirás, señora mía,| después del susto cruel,| de lo que en casa nos pasa?| Pues el que hoy ha defendido| tu vida, huésped y herido| le tienes dentro de casa.","ISABEL |Que direz-vous, ma dame,| après la frayeur cruelle, | Que nous arrive-t-il à la maison ? Eh bien, celui qui a défendu aujourd'hui | ta vie, invité et blessé | vous l'avez à l'intérieur de la maison.","Isabelle|Bien, je m’en vay le voir. Qu’en dites-vous, Madame ?|Celuy que vous aymez d’une secrette flame,|Ce gentil Estranger, ce galand incognu,|Celuy qui vostre honneur a si bien maintenu,|Qui genereux pour vous a hazardé* sa vie,|Qu’on a blessé pour vous, que vous brusliez d’envie|De voir et de cognoistre, il est logé chez vous,|Et vous le pouvez voir en dépit des jaloux*.","Isabelle | Bien, je m’en vay le voir. Qu’en dites-vous, Madame ? | Celuy que vous aymez d’une secrette flame, | Ce gentil Estranger, ce galand incognu, | Celuy qui vostre honneur a si bien maintenu, | Qui genereux pour vous a hazardé* sa vie, | Qu’on a blessé pour vous, que vous brusliez d’envie | De voir et de cognoistre, il est logé chez vous, | Et vous le pouvez voir en dépit des jaloux*.",,,
"ÁNGELA |Yo, Isabel, lo sospeché| cuando de mi hermano oí| la pendencia y cuando vi| que el herido el huésped fue;| pero aún bien no lo he creído,| porque cosa estraña fuera| que un hombre a Madrid viniera| y hallase, recién venido,| una dama que rogase| que su vida defendiese,| un hermano que le hiriese| y otro que le aposentase;| fuera notable suceso| y, aunque todo puede ser,| no lo tengo de creer| sin|vello.","ANGELA |Moi, Isabel, je m'en doutais| quand j'ai eu des nouvelles de mon frère la dispute et quand j'ai vu que l'invité était blessé ;| mais je n'y ai toujours pas cru, | parce qu'il y a une chose étrange dehors qu'un homme est venu à Madrid | et trouvé, nouvellement arrivé, | une dame qui a supplié que sa vie a défendu, | un frère qui lui ferait du mal et un autre pour le loger ;| était un événement marquant et, bien que tout puisse être,| Je ne peux pas y croire | chauve","Angélique|Ce cas est bien estrange, et s’il ne m’est visible|A peine le croiré-je, il est presque impossible,|(Et l’esprit le mieux fait s’y trouveroit surpris)|Qu’un estranger rencontre arrivant à Paris|Une femme en passant qui d’abord le convie|De luy vouloirsauver et l’honneur et la vie,|Se voir en mesme temps par son frere blessé,|Arriver l’autre frere, et s’en voir caressé|Luy donner son logis, les accorderensemble,|C’est un fait qui n’est pas croyable ce me semble.","Angélique | Ce cas est bien estrange, et s’il ne m’est visible | A peine le croiré-je, il est presque impossible, | (Et l’esprit le mieux fait s’y trouveroit surpris) | Qu’un estranger rencontre arrivant à Paris | Une femme en passant qui d’abord le convie | De luy vouloirsauver et l’honneur et la vie, | Se voir en mesme temps par son frere blessé, | Arriver l’autre frere, et s’en voir caressé | Luy donner son logis, les accorderensemble, | C’est un fait qui n’est pas croyable ce me semble.",,,
"ISABEL |Y,|si para eso |te dispones, yo bien sé| por dónde verle podrás| y aun más que velle.","ISABEL |Et,|si c'est ce à quoi vous êtes prêt, je le sais bien| où peux-tu le voir| et même plus que velle.",Isabelle| Pourquoy ne l’est-il pas ?,Isabelle |  Pourquoy ne l’est-il pas ?,,,
"ÁNGELA |Tú|estás |loca. ¿Cómo, si se ve| de mi cuarto tan distante| el suyo?","ANGELA |Tu|es |folle. Comment, si tu vois| de ma chambre si lointaine | le sien?","Angelique|Pourquoy ne l’est-il pas ? Ce sont des accidens|Qui merveilleusement me surprennent les sens,|Je n’ose seulement esperer cette gloire,|Et je pense en effet qu’on me le fait acroire*.","Angelique | Pourquoy ne l’est-il pas ? Ce sont des accidens | Qui merveilleusement me surprennent les sens, | Je n’ose seulement esperer cette gloire, | Et je pense en effet qu’on me le fait acroire*.",,,
ISABEL |Parte|hay por donde |este cuarto corresponde| al otro,,ISABEL |Partie|il y a là où |cette pièce correspond| autres, Cela ne vous fait pas peur.,Isabelle | Il m’est assez aisé de vous le faire voir.,,
"ÁNGELA |No porque verlo deseo,| sino solo por saber,| dime, ¿cómo puede ser?,| que lo escucho y no lo creo.","ANGELA |Pas parce que je veux le voir,| mais seulement pour savoir, | dis-moi, comment est-ce possible ?,| Je l'entends et je n'y crois pas.","Angelique|Ah ! ma chere Isabelle aurois-tu ce pouvoir ?|Comment pourrois-je voir de ma chambre en la sienne, [p. 26]|Veu qu’elle est tellement distante de la mienne .","Angelique | Ah ! ma chere Isabelle aurois-tu ce pouvoir ? | Comment pourrois-je voir de ma chambre en la sienne, [p. 26] | Veu qu’elle est tellement distante de la mienne .",,,
ISABEL |¿No has oído que labró| en la puerta una alacena| tu hermano?,ISABEL |N'as-tu pas entendu dire qu'il travaillait| à la porte un placard ton frère?,"Isabelle|Laissez-m’en le soucy* par une invention|Je viendray bien à bout de vostre intention.|Je cognoy un endroit prés de la galerie|Qui respond à sa chambre, où la tapisserie|Que l’on voit par dedans ne couvre que des ais|Qui font une cloison, qu’on a fait tout exprés,|Pour pouvoir pratiquer un lieu propre pour faire|Un cabinet qui lors nous estoit necessaire.|Or de cette cloison il est tres à propos|De destacher deux ais, et dessus deux pivots,|Et par haut et par bas, faire tourner de sorte|Ces deux ais entr’ouvers qu’ils nous servent de porte.|Par là nous pourrons bien entrer fort aisément,|Sans qu’on s’en apperçoive, en son appartement.|Ces ais estans rejoints, et fermez par derriere,|Qui ne jugera pas la cloison estre entiere ?|Un menuisier pourra mesme dans un moment| Accomoder ces ais.","Isabelle | Laissez-m’en le soucy* par une invention | Je viendray bien à bout de vostre intention. | Je cognoy un endroit prés de la galerie | Qui respond à sa chambre, où la tapisserie | Que l’on voit par dedans ne couvre que des ais | Qui font une cloison, qu’on a fait tout exprés, | Pour pouvoir pratiquer un lieu propre pour faire | Un cabinet qui lors nous estoit necessaire. | Or de cette cloison il est tres à propos | De destacher deux ais, et dessus deux pivots, | Et par haut et par bas, faire tourner de sorte | Ces deux ais entr’ouvers qu’ils nous servent de porte. | Par là nous pourrons bien entrer fort aisément, | Sans qu’on s’en apperçoive, en son appartement. | Ces ais estans rejoints, et fermez par derriere, | Qui ne jugera pas la cloison estre entiere ? | Un menuisier pourra mesme dans un moment |  Accomoder ces ais.",,,
"ÁNGELA |Ya|lo que ordena |tu ingenio he entendido yo.| ¿Dirás que, pues es de tabla,| algún agujero hagamos| por donde al huésped veamos?","ANGELA |Maintenant|ce que votre ingéniosité commande, j'ai compris.| Direz-vous que, puisque c'est une table, | faisons un trou Où voit-on l'invité ?","Angelique|Accomoder ces ais. Allons donc promptement,|Et sans plus consulter executer la chose,|J’approuve cet advis que ton esprit propose,|Va donner ordre à tout, car je desire avoir [p. 27]|Ce divertissement, et mesme dés ce soir.|Mais mandons ma cousine, il est bon ce me semble,|Que nous ayons ce soir ce passe-temps ensemble,|Faisons-luy donc sçavoir, sans luy dire pourquoy,|Qu’elle vienne soupper et coucher avec moy.","Angelique | Accomoder ces ais. Allons donc promptement, | Et sans plus consulter executer la chose, | J’approuve cet advis que ton esprit propose, | Va donner ordre à tout, car je desire avoir [p. 27] | Ce divertissement, et mesme dés ce soir. | Mais mandons ma cousine, il est bon ce me semble, | Que nous ayons ce soir ce passe-temps ensemble, | Faisons-luy donc sçavoir, sans luy dire pourquoy, | Qu’elle vienne soupper et coucher avec moy.",,,
