Line,Google Trad,Modernisé,similarity,5_closest
138,"LUIS |Moi, monsieur, je suis à vous,| comme dans la pénalité que je reçois je montre| t'offrant ma vie;| et pourquoi l'instrument de la blessure| en mon pouvoir n'est pas laissé,| Eh bien, cela ne peut ni me plaire ni me servir, | bien comme ce serviteur qu'il a déplu à son seigneur, | Aujourd'hui, je vous dis au revoir.| Voilà, monsieur, l'épée qui vous a blessé ;| à vos plantes ça vient demander pardon, si c'est de sa faute.| Prenez votre plainte | avec elle en moi, vengeance pour elle et moi.","Licidas (mettant son épée aux pieds de Florêtan)|C'est moi qui dois pour vous mettre cent fois la vie.|Voilà ce fer, Monsieur, qui fut si malheureux|D'avoir osé blesser un bras si généreux,|Je banni de chez moi cette insolente épée,|Qui ne sera jamais par mon bras occupée,|Ainsi qu'un serviteur qui m'a desbligé,|L'infâme je la chasse, et lui donne congé,|Je la mets à vos pieds.",0,"[(0.93, '▁serviteur', '▁serviteur'), (0.89, '▁monsieur', '▁Monsieur'), (0.88, 'épée', '▁épée'), (0.85, '▁monsieur', '▁Monsieur'), (0.85, '▁montre', '▁occupée')]"
139,"MANUEL |Vous êtes courageux et discret;| en tout tu me bats. L'épée acéto,| parce que toujours à mes côtés | m'a appris à être courageux. Confiant| A partir d'aujourd'hui j'essaie de vivre,| à cause de qui ne vivra pas en sécurité| qui ceinture généreusement ton acier ?| Que lui seul me faisait peur.","Florêtan|Je la mets à vos pieds. Puis je sans jalousie|Voir qu'encor vous veuilliez me vaincre en courtoisie?|C'est trop, contentez-vous puisque je reconnais|Qu'au combat vous l'avez emporté dessus moi,|Je l'accepte pourtant, sans vous faire excuse,|Un si rare présent jamais ne se refuse.|Ce fer venant de vous, fera qu'en bataillant,|J'apprendrai désormais à devenir vaillant,|Je ne m'en déferai pour quoi qui me survienne,|Mais daignez s'il vous plaît vous servir de la mienne.",0,"[(0.87, '▁Confi', '▁reconnais'), (0.81, '▁acier', '▁fer'), (0.8, '▁êtes', '▁devenir'), (0.8, '▁Confi', '▁Voir'), (0.78, '▁Confi', '▁jalousie')]"
140,"JUAN |Eh bien, Don Luis m'a appris| dont je suis un invité obligé,| je veux un autre cadeau que tu reçois de moi.","Licidas|J'accepte de bon cœur si vous le désirez,|Ce gage d'amitié duquel vous m'honorez,|Quoi que facilement chacun puisse connaître|Qu'elle perdra beaucoup ayant changé de maître.",0,"[(0.86, '▁appris', '▁connaître'), (0.84, '▁appris', 'das'), (0.81, '▁cadeau', '▁gage'), (0.79, 'AN', 'das'), (0.78, '▁appris', '▁beaucoup')]"
141,MANUEL | Quel après-midi j’espère | payez tant de faveurs !| Vous rivalisez tous les deux pour me donner les honneurs.|(COSME sort chargé de valises|et de coussins.),"Lisandre|Laissons ces compliments qui sont hors de saison.|Carrille, Licidas, Florestan,|Lisandre.",0,"[(0.83, '▁sort', 'andre'), (0.8, '▁payez', 'andre'), (0.76, '▁valises', 'andre'), (0.74, 'espère', 'andre'), (0.72, '▁sort', 'tan')]"
142,"COSME |Deux cent mille démons| de sa fureur infernale donnent des témoignages, | devenir impitoyable | deux cent mille serpents que, saisissant un vol, | mets-moi debout dans le ciel, | du mandat opprimé| de Dieu, par des jugements justes contraints, | Si je ne voulais pas vivre sans insultes| en Galice ou dans les Asturies | plutôt que devant ce tribunal.","Carrille (avec deux valises sur les épaules)|Au diable mille fois je donne la maison,|Avec ceux qui m'ont fait égarer par la rue,|J'ai été deux heures planté comme une grue|À chercher le logis, et sans mentir je crois|Que ces fils de putains se moquaient tous de moi,|L'un m'envoyait en haut, l'autre en bas, il n'importe|Je l'ai trouvé sans eux, le diable les emporte,|Ils se riaient de moi, mais moi d'eux je me ris.|Quoi c'est ici ce lieu qu'on appelle Paris,|Dont on fait tant d'état, ah! grands Dieux j'en enrage,|Je fais plus mille fois cas de notre vilage,|On y avait en une heure autant comme en un jour,|Car tous les chemins vont aboutir au carrefour.",1,"[(0.89, '▁donnent', '▁grands'), (0.86, '▁donnent', '▁crois'), (0.86, '▁témoignages', '▁grands'), (0.86, '▁devenir', '▁grands'), (0.85, '▁démons', '▁grands')]"
143,MANUEL | Rapport...|,Licidas|Ce valet est plaisant.,0,"[(0.68, '▁Rapport', 'das'), (0.61, '▁Rapport', 'ici'), (0.6, 'UE', 'das'), (0.57, 'UE', 'ici'), (0.54, '▁Rapport', 'let')]"
144,COSME |Le|rapport est rapporté.,"Florêtan|Ce valet est plaisant. Tu prends trop de licence,|Maraut, va bouffonner ailleurs qu'en ma présence.",0,"[(0.73, '▁rapport', '▁licence'), (0.72, '▁rapport', 'let'), (0.68, '▁rapport', '▁trop'), (0.68, '▁rapport', '▁Mar'), (0.66, '▁rapporté', '▁licence')]"
145,JEAN | Qu'en dis-tu ?|,Lisandre|Laissez le.,0,"[(0.47, '▁Qu', '▁Laissez'), (0.43, '▁dis', '▁Laissez'), (0.37, '▁dis', 'andre'), (0.29, '▁Qu', 'andre')]"
146,"COSME |Ce que je dis, |c'est un traître qui cède devant son ennemi.",Florêtan|Laissez le. Tes discours sont un peu bien hardis.,0,"[(0.72, '▁dis', '▁discours'), (0.65, '▁traître', '▁discours'), (0.65, '▁cède', '▁discours'), (0.64, '▁dis', '▁Laissez'), (0.64, '▁traître', 'êt')]"
147,LUIS | Quel ennemi ? Arrêt.,"Carrille|J'avais lu que Paris était un paradis,|Mais je crois qu'on dit vrai, ce n'est pas chose étrange|Qu'on nomme Paradis où l'on ne boit ne mange|Sachez que je croirai mon livre une autre fois.",0,"[(0.81, '▁Arrêt', '▁Paradis'), (0.77, '▁Arrêt', '▁nomme'), (0.76, '▁ennemi', '▁Paradis'), (0.73, '▁ennemi', '▁paradis'), (0.73, '▁ennemi', '▁nomme')]"
148,COSME |L'|eau d'une source et d'une autre source.,"Licidas|Tu sais lire, et partant si tantôt tu disais|Que tu ne pouvais pas, c'était une imposture.",0,"[(0.82, '▁eau', 'das'), (0.81, '▁eau', '▁disais'), (0.79, '▁eau', '▁tantôt'), (0.7, '▁eau', 'ici'), (0.65, '▁eau', '▁sais')]"
149,MANUEL | Etes-vous inquiet à ce sujet ?,"Carrille|Je li bien le moulé, mais non pas l'écriture",0,[]
150,"COSME |Il est livré avec des coussins et des valises| dans la rue chargé et dans le fossé d'une fontaine j'ai donné, | et donc j'apporte tout | -comme dit le proverbe- plein de boue.| Qui cela met-il dans la maison ?","Florétan (bas)|Il a bien réparé, je hais les froids bouffons.",0,"[(0.75, '▁donné', '▁bien'), (0.74, '▁livré', '▁réparé'), (0.74, '▁donné', 'étan'), (0.73, '▁chargé', 'étan'), (0.71, '▁rue', 'étan')]"
151,"MANUEL | Sortez d'ici, vous êtes ivre. S'en aller.","Carrille|Aux plus fins du métier j'en ferai des leçons,|Laissez y moi penser, et je vous ferai dire|Que vous n'eustes jamais un tel sujet de rire.",0,"[(0.69, '▁aller', '▁penser'), (0.65, '▁aller', '▁ferai'), (0.64, '▁Sort', '▁Laissez'), (0.64, 'ez', '▁Laissez'), (0.64, '▁êtes', '▁penser')]"
152,"COSME |Si j'étais ivre,| moins ma colère contre l'eau.| Quand dans un livre je lis de mille sources | qui transforment diverses choses en leurs courants, | Je n'ai pas peur, si ici je décide| que l'eau est née pour devenir du vin.","Lisandre (lui baillant une cléf)|Monsieur, voilà la cléf de votre appartement,|Je vous ai mis ici pour pouvoir librement|Entrer quand vous voudrez sans qu'on vous divertisse.",0,"[(0.83, '▁décide', '▁librement'), (0.82, '▁sources', '▁librement'), (0.82, '▁ici', '▁ici'), (0.81, '▁ici', '▁pouvoir'), (0.81, '▁ici', '▁librement')]"
153,"MANUEL | S'il commence, dans un an | Cela ne finira pas.",Florêtan|Quand pourrai je jamais payer ce bon office?,1,"[(0.68, '▁an', '▁jamais'), (0.68, '▁an', '▁bon'), (0.67, '▁an', '▁office'), (0.65, '▁commence', '▁jamais'), (0.64, '▁commence', '▁pourrai')]"
154,JUAN |Il a un humour étrange.,"Lisandre|Si vous ne voulez pas sitôt vous mettre au lit|Pour tâcher d'acquérir un peu plus d'appétit,|Puisque vous estimez si peu votre blessure|Allons nous promener il est encor bonne heure,|Si nous allons au Coursquelque rare beauté|Vous pourra dans Paris ravir la liberté.",0,"[(0.79, 'AN', 'andre'), (0.75, 'AN', '▁beauté'), (0.75, 'AN', '▁pourra'), (0.74, 'AN', '▁blessure'), (0.71, 'AN', '▁ravir')]"
155,"LUIS |Seulement je voudrais de toi| sais, si tu sais lire -comme ce jour| dans le livre cité | échantillons-, pourquoi avez-vous commandé si lourd| qu'une lettre lue ? De quoi vous détournez-vous ?","Florêtan|Allons, je le veux bien, c'est ce que je désire.",0,"[(0.75, '▁cité', 'êt'), (0.7, '▁jour', 'êt'), (0.69, '▁commandé', '▁bien'), (0.68, '▁livre', 'êt'), (0.68, '▁avez', '▁bien')]"
156,COSME |Parce que je sais lire dans les livres et non dans les lettres.,"Lisandre|Descend là bas Ariste, et va promptement dire|Que le carroce vienne, et qu'on nous tienne prêt|Le soupé dans une heure.",0,"[(0.65, '▁sais', 'andre'), (0.63, '▁sais', '▁sou'), (0.63, '▁sais', 'pé'), (0.62, '▁sais', 'end'), (0.59, '▁sais', '▁prêt')]"
157,LUISC'est bien répondu.,Florêtan|Le soupé dans une heure. Allons puisqu'il vous plaît.|Carrille écoute un mot.,0,"[(0.85, '▁répondu', '▁écoute'), (0.82, 'ISC', '▁écoute'), (0.81, '▁répondu', 'pé'), (0.78, 'ISC', 'pé'), (0.74, '▁répondu', '▁sou')]"
158,"MANUEL |Pour l'amour de Dieu, je vous demande de ne pas faire attention à lui.| Vous apprendrez à le connaître| et vous saurez que c'est moqueur.",Carrille|Carrille écoute un mot. Bien Monsieur sans remise.,0,"[(0.76, '▁connaître', '▁écoute'), (0.72, '▁connaître', '▁Monsieur'), (0.7, '▁connaître', '▁Bien'), (0.64, '▁Dieu', '▁Bien'), (0.63, '▁Dieu', '▁Monsieur')]"
159,COSME |Faire|J'ai l'intention | Je me vante de mes moqueries.| Pour certains je vous invite.,,0,[]
160,"MANUEL |Eh bien|il n'est pas tard, | parce que je m'en soucie, aujourd'hui je veux | faire|une visite.",,0,[]
161,JUAN |Je|t'attends | pour dîner.,,0,[]
162,"MANUEL |Toi,|Cosme, ces valises |//ouvres et sors les vêtements ; pas les objectifs.",,0,[]
163,"JUAN |Si tu veux fermer, c'est depuis la chambre| la clé, qui, bien que j'aie| passe-partout juste au cas où je viendrais | en retard, plus que les deux autres n'ont pas| ni une autre porte non plus ; donc c'est pratique, | et dans la chambre il la laisse et tous les jours | Ils viendront l'habiller. (Partez et COSME reste.)",,0,[]
164,"COSME |Mon trésor, |viens ici, je le veux| rendez-vous d'abord, | parce que voir déterminer| combien nous avons volé en cours de route, | cela, comme dans les auberges| les perles ne sont pas filées si fines| comme à la maison, qui vit dans son entêtement| le récit et la raison des lacérations, | il y a un équipement plus avantageux | mettre ma main, pas dans ma poitrine, | mais dans le sac de quelqu'un d'autre./| | (Il ouvre une valise et en sort un sac.) Je suis tombé sur le mien ; c'est bon et bon, | Eh bien, ce jour la bonne s'est levée et est tombée enceinte.| Je tiens à vous dire; C'est du temps perdu, | car quel mouton ai-je vendu ? à mon seigneur de regarder et de voir | si c'est vrai ? Quoi que cela puisse être.| Votre valise est celle-ci ;| des vêtements que je veux sortir, au cas où il se coucherait | si vite qu'il a ordonné que cela soit fait.| Mais parce qu’il l’a ordonné, cela devrait-il être fait rapidement ?| Parce qu'il l'a commandé, | Je n'ai pas besoin de le faire avant, parce que je suis un serviteur.| Sortir un moment, c'est juste | prier dans un ermitage. Aimerez-vous| ça, Cosmé ? J'aurais. Eh bien, Cosme, allez, | que nos goûts passent avant que nous les aimions.| | (Voir. À travers une armoire qui sera faite avec des étagères et du verre, en l'enlevant avec des charnières comme si elle se délogeait, DOÑÁNGELA et ISABEL sortent.)","Carrille (seul)|Or ça revisitons un peu nostre valize,|Voicy ma bourse, il faut que je voye à la fin|Combien j'ay pu gaigner en tout nostre chemin.|Quelle commodité que de ferrer la mule|Si je ne l'avois fait je serois ridicule,|On peut plus librement voler qu'à la maison,|Je n'ay qu'à dire : « on conte icy hors de raison,|Je n'ay jamais rien veu de plus opiniastre,|L'hostesse des trois Rois n'a rien voulu rabattre,|Elle est toute en un mot» et quand je suis party|Qui me peut soutenir au nez que j'ay menti ?|Contons mais qui pourroit m'avoir pris quelque chose ?|Ma bourse est pleine, et puis ma valise estoit close,|En voyageant ainsi je pourrois m'enrichir,|Mais prenons notre linge et le portons blanchir.|(Il foüille dans la valize de son maistre, et prend son linge.)|Pourquoy rien refermer, laissons tout de la sorte,|J'ay la clef, c'est à faireà bien fermer la porte.|(Angelique et Isabelle entrent dans la chambre de Florestan par les deux ais qu'elles ont desjoints de la cloison.)",1,"[(0.9, '▁maison', '▁maison'), (0.89, '▁valise', '▁valise'), (0.87, '▁valise', '▁valise'), (0.86, '▁voir', '▁conte'), (0.85, '▁voir', '▁rien')]"
165,"ISABEL |La pièce est seule, dit-il| Rodrigo, parce que cet invité| et tes frères sont partis.","Isabelle  (dans sa chambre)|Madame, tout à l'heure on me vient d'advertir|Que vos freres et luy ne font que de sortir.",1,"[(0.77, '▁frères', '▁frere'), (0.74, '▁pièce', '▁sortir'), (0.73, '▁pièce', '▁vient'), (0.73, '▁invité', '▁vient'), (0.72, '▁partis', '▁sortir')]"
166,ANGELA |C'est pour ça que je pourrais oser| faire juste cette expérience.,"Angélique|Tout est il prêt? entrons, je meurs d'impatience|De voir de ton dessein la prompte expérience.|(Elles entrent dans la chambre de Florêtan.)",1,"[(0.89, '▁expérience', '▁expérience'), (0.84, '▁faire', '▁voir'), (0.82, '▁faire', '▁expérience'), (0.8, '▁oser', '▁expérience'), (0.77, '▁oser', '▁voir')]"
167,ISABEL |Voyez-vous qu'il n'y a pas de problème| pour arriver ici ?,Isabelle|Qu'en dites-vous Madame? est-il rien plus aisé?|L'esprit le plus subtil et le plus advisé|Pourrait-il découvrir jamais cette finesse?,0,"[(0.76, '▁arriver', '▁découvrir'), (0.75, '▁problème', '▁rien'), (0.73, '▁problème', '▁découvrir'), (0.72, '▁problème', '▁adv'), (0.72, '▁problème', '▁jamais')]"
168,"ANGELA |Avant, Isabel, semble-t-il| que tous ceux que j'ai prévenus Ils étaient très impertinents,| Eh bien, nous n'en avons rencontré aucun, | que la porte facilement| s'ouvre et se referme,| sans qu'il soit possible de le lancer| de voir.",Angélique|Je ne saurais assez admirer ton adresse.,0,"[(0.73, '▁lancer', '▁adresse'), (0.71, '▁lancer', 'lique'), (0.69, '▁porte', 'lique'), (0.69, '▁porte', '▁adresse'), (0.68, '▁prévenu', '▁adresse')]"
169,ISABEL |Et pourquoi sommes-nous venus ?,"Isabelle|Laissez-moi repasser, et je vous ferai voir|Comme on ne s'en saurait jamais apercevoir,|(Élle répasse.)|Quand même on déférait cette tapisserie|On peut entrer soudain dans cette galerie|Si quelqu'un survenait, et la fermer ainsi,|Poussez.",0,"[(0.71, '▁venus', '▁repasser'), (0.67, '▁venus', '▁entrer'), (0.67, '▁venus', '▁soudain'), (0.66, '▁venus', '▁voir'), (0.64, '▁venus', '▁fermer')]"
170,"ANGELAA devenir seule, |que faire une seule| méfait deux femmes il suffit de l'avoir imaginé,| parce qu'en fin de compte, cela n'a pas plus de fondement qu'il n'y en a j'en ai parlé deux fois | et je serai déterminé -étant vrai que c'est ça| monsieur celui qui pour moi | il a insisté, audacieux et courageux-,| comme je te l'ai dit, regardons| pour ton cadeau.","Angélique|Poussez. Je n'en suis plus maintenant en souci,|Il n'est rien de plus clair, la preuve en est certaine,|Et je n'ai pas de peur que l'on nous y surprenne.",0,"[(0.78, '▁déterminé', '▁preuve'), (0.78, '▁monsieur', '▁preuve'), (0.77, '▁devenir', '▁preuve'), (0.77, '▁mé', '▁preuve'), (0.74, '▁devenir', 'lique')]"
171,ISABEL |Voici|vous avez |celui que votre frère vous a apporté| et une épée dans un buffet.,"Isabelle (ressortant)|Mais encore dites-moi quel est votre dessein?|Quoi , Madame aurions nous pris tant de peine en vain?|Quel fruit prétendez-vous tirer, ou quelle joie,|Si vous ne voulez pas le voir ici qu'il vous voit?",0,"[(0.77, '▁avez', '▁fruit'), (0.77, '▁avez', '▁ici'), (0.75, '▁avez', '▁Madame'), (0.74, '▁épée', '▁fruit'), (0.73, '▁avez', '▁tirer')]"
172,ANGELA | Viens ici. Mon écriture est-ce qu'ils ont amené ici ?,"Angélique|Si je puis découvrir que notre Hôte est celui|Qui m'a par sa valeur secourue aujourd'hui,|Étant blessé pour moi, dois-je pas Isabelle|Par mes soins procurer qu'il connaisse mon zèle,|Et m'informer aussi comme va sa santé?|C'est le moins que je dois. Mais qui m'a transporté|Mon cabinet ici?",0,"[(0.91, '▁ici', '▁ici'), (0.87, '▁amené', '▁transporté'), (0.85, '▁ici', '▁ici'), (0.82, '▁ici', '▁blessé'), (0.82, '▁ici', '▁transporté')]"
173,ISABEL |Dio|dans cette |délire mon seigneur.| Il a dit de le mettre ici avec message écrit | et mille livres différents.,"Isabelle|Mon cabinet ici? Madame, votre frère|S'est tantôt contre moi quasi mis en colère,|Car je ne voulais pas en effet qu'on l'hôtat,|Il l'a voulu par force, et que l'on apportât|Des plumes, du papier, de l'ancre, une écritoire|Et des livres aussi qui sont dans cette armoire|En grande quantité ; c'est pour le divertir.",0,"[(0.92, '▁livres', '▁livres'), (0.91, '▁ici', '▁ici'), (0.85, 'io', '▁frère'), (0.85, '▁délire', '▁frère'), (0.85, '▁écrit', '▁écrit')]"
174,ANGELA | Il y a deux valises par terre.,"Angélique|À ce conte il n'est pas sitôt prêt à partir,|Courage tout va bien, grand Dieu tu favorises|Aujourd'hui mes desseins. Voilà ses deux valises.",1,"[(0.92, '▁valises', '▁valises'), (0.68, '▁valises', '▁favorise'), (0.66, '▁valises', '▁conte'), (0.63, '▁valises', 'lique'), (0.58, '▁valises', 'age')]"
175,"ISABEL |Et ouvre. Madame, voulez-vous| Voyons ce qu'il y a dedans ?","Isabelle|Oui Madame, elles sont ouvertes, et pouvons|Visiter ce qu'il a.",1,"[(0.94, '▁Madame', '▁Madame'), (0.85, '▁ouvre', '▁ouvertes'), (0.79, '▁Voyons', '▁Visite'), (0.78, '▁ouvre', '▁Oui'), (0.76, '▁Voyons', '▁Oui')]"
176,"ANGELA |Oui, je veux bêtement| regardez quels vêtements et bijoux| apporte.","Angélique|Visiter ce qu'il a. Je le veux bien, voyons|Comme il est curieux dans les hardes qu'il porte.",0,"[(0.86, '▁apporte', '▁voyons'), (0.79, '▁Oui', '▁Visite'), (0.79, '▁veux', '▁voyons'), (0.77, '▁regardez', '▁voyons'), (0.77, '▁bijoux', '▁voyons')]"
177,"ISABEL |Soldat|et prétendant, | Ce sera très mal décoré. (Ils enlèvent tout ce qu'ils disent et l'étalent dans toute la pièce.)",Isabelle|Mais s'il s'en aperçoit?,0,"[(0.64, '▁prétendant', '▁aperçoit'), (0.6, '▁enlève', '▁aperçoit'), (0.56, '▁décoré', '▁aperçoit'), (0.52, '▁Sol', '▁aperçoit'), (0.51, 'nt', '▁aperçoit')]"
178,,"Angélique|Mais s'il s'en aperçoit? Tire tout il n'importe.|(Isabelle tire tout ce qu'il y a dans la valise du maître, et l'épand par la place.)",0,[]
179,ANGELA | Qu'est-ce que c'est?,Angélique|Qu'est ce là que tu tiens?,0,"[(0.95, '▁Qu', '▁Qu'), (0.44, '▁Qu', 'lique')]"
180,ISABEL |De nombreux|articles.,"Isabelle|Qu'est ce là que tu tiens? Un bel habit d'été.|Qu'il est riche et superbe, ah quelle propreté!|Madame peut-on voir de plus belles chemises?|Pour moi je ne crois pas qu'il les ait jamais mises ;|Quelle belle dentelle, et quel beau point coupé|Mais qu'est ce que cela qu'il tient enveloppé|Dans ce papier brouillart",0,"[(0.77, '▁articles', '▁mises'), (0.74, '▁articles', '▁voir'), (0.7, '▁articles', '▁tient'), (0.67, '▁articles', '▁coupé'), (0.64, '▁articles', '▁Madame')]"
181,ANGELA | Sont-ils des femmes ?|,"Angélique|Dans ce papier brouillart. Atend que je le voie.|Ce sont de beaux rubans, avec deux bas de soie.",0,"[(0.65, '▁femmes', '▁papier'), (0.62, '▁femmes', '▁beaux'), (0.61, '▁femmes', 'lique'), (0.57, '▁femmes', 'art'), (0.56, '▁femmes', '▁voie')]"
182,"ISABEL |Non,|madame, |mais les processus à venir| cousu et pèse beaucoup.","Isabelle|Ouvrons ce cuir, je sens quelque chose dedans,|(Elle l'ouvre.)|Cela ressemble aux fers d'un arracheur de dents.|Que fait il de cela? Dieux que je suis surprise.",0,"[(0.72, '▁processus', '▁sens'), (0.69, '▁cousu', '▁cuir'), (0.68, '▁processus', '▁surprise'), (0.68, '▁beaucoup', '▁ressemble'), (0.67, '▁Non', '▁Dieu')]"
183,"ANGELA |Eh bien, si c'étaient des femmes,| ils étaient plus légers.| Dommage que tu t'arrêtes là.","Angélique|A-t-on jamais parlé d'une telle sottise?|Vois-tu pas que ceux-ci servent pour le raser,|Ceux là pour la moustache, et ceux-ci pour friser.",0,"[(0.79, '▁femmes', '▁servent'), (0.71, '▁femmes', '▁parlé'), (0.68, '▁femmes', '▁ras'), (0.67, '▁bien', '▁servent'), (0.64, '▁femmes', 'lique')]"
184,ISABEL | Il y a des vêtements blancs ici.,Isabelle|Voici deux oreillers de satin amaranthe,0,[]
185,ANGELA | Des odeurs ?,,0,[]
186,"ISABEL |Oui, ça sent le propre.",,0,[]
187,ANGELA | C'est le meilleur parfum.,,0,[]
188,"ISABEL |Il a les trois qualités| blanc, doux et fin.| Mais, madame, qu'est-ce que c'est ? peau avec quelques fers | de différents outils ?",,0,[]
189,"ANGELA | Échantillon à voir. Jusqu'ici, chose | d'un cure-dent, semble-t-il, | mais ce sont des pinces | et l'élévateur pompadour | et ces moustaches.","Angélique|Ce sont coussins d'odeur, ah! qu'elle est excellente.",0,"[(0.75, 'ur', '▁coussins'), (0.73, 'ado', '▁coussins'), (0.71, 'ateur', 'lique'), (0.71, 'ur', 'lique'), (0.7, '▁pince', 'lique')]"
190,"ISABEL |Article, brosse et peigne. |Hé, sois prévenu,| l'invité ne manquera pas l'ajustement de sa chaussure.","Isabelle|Ce sont ici des gants, des mouchoirs, des collets|Des mules de velours, et deux beaux bracelets.|Des peignes, un miroir, ah la belle toillette,|Mais que peut il garder fermé dans cette boîte?",1,"[(0.8, '▁peigne', '▁peigne'), (0.78, '▁sois', '▁ici'), (0.76, '▁prévenu', '▁ici'), (0.74, '▁Article', '▁ici'), (0.73, '▁peigne', '▁miroir')]"
191,ANGELA Pourquoi ?,,0,[]
192,ISABEL |Parce que|elle est là.,,0,[]
193,ANGELA | Y a t-il plus?,"Angélique|Ouvre, c'est de l'Irispour poudrer les cheveux.",0,[]
194,"ISABEL |Oui, madame, objet, |comme la forme des billets,| fichier|seconde.","Isabelle|En vérité Madame il est fort curieux,|Voici force papiers.",0,"[(0.86, '▁fichier', '▁force'), (0.81, '▁billets', '▁papiers'), (0.79, '▁objet', '▁curieux'), (0.79, '▁fichier', '▁Madame'), (0.79, '▁seconde', '▁force')]"
195,ANGELA |Échantillon.| |Ils sont et contiennent celui d'une femme| plus que du papier. Un portrait| il est ici.,Angélique|Voici force papiers. Monsieurtre.,1,"[(0.82, '▁femme', '▁force'), (0.81, '▁femme', 'tre'), (0.81, '▁portrait', 'tre'), (0.8, '▁portrait', '▁force'), (0.79, '▁contiennent', '▁force')]"
196,ISABEL |Qu'est-ce qui|vous suspend ?,Isabelle|Voici force papiers. Monsieur. Tenez Madame.,0,"[(0.82, '▁suspend', '▁force'), (0.72, '▁Qu', '▁Monsieur'), (0.69, '▁Qu', '▁Ten'), (0.65, '▁Qu', '▁Madame'), (0.63, '▁suspend', '▁papiers')]"
197,"ANGELA | Le voir, quelle beauté | Même les graffitis sont amusants.","Angélique|Dieux! qu'est ce que je vois? ce sont lettres de femme|Qui avait parlent d'amour, je veux voir leur secret,|Desployons-les. Ah Dieux! quel excellent portrait!|Isabelle vois le, je crois que la nature|A mis tous ses trésors dedans cette peinture,|Et si l'original pouvait être aussi beau,",1,"[(0.89, '▁voir', '▁voir'), (0.85, '▁voir', '▁vois'), (0.81, '▁voir', '▁vois'), (0.81, '▁voir', '▁veux'), (0.78, '▁beauté', '▁nature')]"
198,ISABEL |Il paraît que cela vous a pesé| à emporter.,Isabelle|Sans doute vous seriez jalouse du tableau.,1,"[(0.79, '▁pesé', '▁jalouse'), (0.67, '▁paraît', '▁doute'), (0.63, '▁paraît', '▁tableau'), (0.63, '▁pesé', '▁tableau'), (0.55, '▁emporter', '▁tableau')]"
199,ANGELA Comme tu es stupide ! | Ne regarde plus.,"Angélique|Tais-toi, ces sots discours me mettent en colère,|Va, ne tire plus rien.",1,"[(0.7, '▁regarde', '▁tire'), (0.68, '▁stupide', '▁tire'), (0.67, '▁stupide', '▁discours'), (0.67, '▁regarde', '▁discours'), (0.67, '▁regarde', '▁rien')]"
200,ISABEL |Et|qu'est-ce que tu essaies ?,"Isabelle|Va, ne tire plus rien. Que prétendez-vous faire?",1,"[(0.71, '▁essaie', '▁rien'), (0.71, '▁essaie', '▁faire'), (0.68, '▁essaie', '▁tire'), (0.62, '▁essaie', '▁prétend'), (0.59, '▁essaie', 'ez')]"
201,ANGELA |Laissez un ticket écrit dessus.| Prenez le portrait. |(Commence à|écrire.),"Angélique|Puisqu'ici j'ai de quoi, je veux à ce galant|Écrire un mot de lettre.|(Élle se sièd, et se met à écrire.)",1,"[(0.88, '▁écrire', '▁écrire'), (0.8, '▁écrire', '▁veux'), (0.77, '▁écrire', '▁Écrire'), (0.72, '▁Prenez', '▁gal'), (0.72, '▁portrait', '▁gal')]"
202,"ISABEL |Pendant ce temps| |la valise du serviteur| Je dois voir. C'est de l'argent :| les quatrièmes taux sont insolents, | cela, dans la république où| Ce sont les princes et les rois les doublons et les réaux, | Ils sont la plèbe commune. je dois me moquer de lui et ça doit être comme ça :| enlevez l'argent d'ici | à ce laquais et mets | quelques charbons Ils diront :| où diable les as-tu ? cette femme ?, pas d'avertissement| que cela s'est produit en novembre| et qu'il y a un brasero dans la pièce.","Isabelle|Escrire un mot de lettre. Et pour moy cependant|Je veux revisiter icy cette autre male,|(Elle tire les hardes de la valize de Carrille.)|C'est celle du valet, voicy du linge sale,|Quels infames haillons, mais quel est ce livret,|C'est l'Almanach de l'an mil six cens vingt et sept,|Des brosses, une estrille, un pair de décrotoire|Un bonnet gras sans coiffe un paquet de lardoires|Deux gands despairiés, un grand chanteaude pain,|Un morceau de fromage, ah ! le sale vilain,|Des tenailles, des clous, un marteau, des mouchettes|Du savon, un fusil, un pacquet d'allumettes,|Des cartes, des cornets, des dez, un chausse pié,|Un peigne gras encor rompu par la moitié,|Voicy sa bource, il faut maintenant que je voye|Combien il a d'argent, voicy de la monnoye,|Des doubleset des sols et quelques quarts d'escus|Courage il ne faut point consulter là dessus,|Prenons les et mettons des charbons à la place,|Il deviendra tantost aussi froid qu'une glace,|Et se verra sans doute en estrange soucy.",0,"[(0.95, '▁charbon', '▁charbon'), (0.93, 'argent', 'argent'), (0.93, 'argent', 'argent'), (0.87, '▁mets', 'range'), (0.87, '▁diront', '▁deviendra')]"
203,"ANGELA | J'ai écrit. Qu'en pensez-vous | où j'ai laissé le journal, | parce que, si mon frère vient,| tu ne le vois pas ?|","Angélique|Ma lettre est faite, il faut que je la laisse ici,|Raccomode le tout, rajuste ces valises.",0,"[(0.82, '▁laissé', '▁laisse'), (0.81, '▁journal', '▁lettre'), (0.77, '▁journal', '▁ici'), (0.76, '▁écrit', '▁ici'), (0.72, '▁écrit', '▁lettre')]"
