,DamaDuende,Google Trad,Esprit Folet,Modernisé,Unnamed: 4,Unnamed: 5,Unnamed: 6
75,"ÁNGELA |Parece que me leíste| el alma en eso que hablaste.| Cuidadosa me ha tenido,| no por él, sino por mí,| porque después, cuando oí| de las cuchilladas ruido,| me puse -mas son quimeras-,| Isabel, a imaginar| que él había de tomar| mi disgusto tan de veras,| que había de sacar la espada| en mi defensa. Yo fui| necia en empeñarle así,| mas una mujer turbada| ¿qué mira o qué considera?","ANGELA |On dirait que tu me lis| l'âme dans ce que tu as dit.| Elle a été prudente avec moi, | pas pour lui, mais pour moi, | parce que plus tard, quand j'ai entendu| du bruit des coups de bâton,| J'ai eu -mais ce sont des chimères-,| Isabel, imaginons | qu'il devait prendre mon mécontentement est si sincère, | qu'il devait tirer l'épée Pour ma défense. J'y suis allé| c'est insensé d'insister ainsi sur lui, | mais une femme troublée Que regardez-vous ou que considérez-vous ?","['Angelique', 'Isabelle, je crois que tu lis dans mon ame.']","Angélique|Isabelle, je crois que tu lis dans mon âme.",,,
76,"ISABEL |Yo no sé si lo estorbó,| mas sé que no nos siguió| tu hermano más.","ISABEL |Je ne sais pas si cela l'a gêné,| mais je sais qu'il ne nous a pas suivi ton frère plus.","['Isabelle', 'Auriez vous bien pour luy quelque secrette flame ?']",Isabelle|Auriez-vous bien pourra quelque secrète flamme?,,,
77,"ÁNGELAOye,|espera.| (Sale DON LUIS.)","ANGELAHé, attends.| (DON LUIS sort.)","['Angelique', ""Je ne dis pas encor que je l'ayme, mais croy"", ""Qu'il peut avec le temps gaigner beaucoup sur moy."", ""Il est vray qu'il me plaist, mais j'ay peur Isabelle,"", ""Qu'il n'ait pour mon sujet à l'heurepris querelle,"", 'Je cognois bien mon frere, il est prompt, et je crains', ""Qu'ils n'en soient sur le champ tous deux venus aux mains."", ""Mais me voyant pour lors à l'extreme reduite,"", 'Ainsi que moy toute autre eust manqué de conduite:', ""Mais par ta foy, crois tu qu'il ait sceu l'arrester ?""]","Angélique|Je ne dis pas encor que je l'aime, mais crois|Qu'il peut avec le temps gagner beaucoup sur moi.|Il est vrai qu'il me plaît, mais j'ai peur Isabelle,|Qu'il n'ait pour mon sujet à l'heurepris querelle,|Je connais bien mon frère, il est prompt, et je crains|Qu'ils n'en soient sur le champ tous deux venus aux mains.|Mais me voyant pour lors à l'extrême réduite,|Ainsi que moi toute autre eût manqué de conduite:|Mais par ta foi, crois-tu qu'il ait su l'arrêter?",,,
78,,,"['Isabelle', 'Vous mocquez vous Madame ? en pouvez vous douter ?', 'Vostre frere depuis ne vous a pas suivie.']",Isabelle|Vous moquez-vous Madame? en pouvez vous douter?|Votre frère depuis ne vous a pas suivie.,,,
79,,,"['Angelique', ""Je ne veux point celer que je brusle d'envie"", 'De sçavoir quel il est, et de le voir aussi.']","Angélique|Je ne veux point celer que je brûle d'envie|De savoir quel est, et de le voir aussi.",,,
80,,,"['Isabelle', 'Madame taisez vous, vostre frere entre icy.']","Isabelle|Madame taisez-vous, votre frère entre ici.",,,
81,,,"['Angelique', ""Ah dieux ! Que j'apprehende, il semble estre en colere."", 'Licidas, Angelique, Isabelle']","Angélique|Ah dieux! Que j'appréhende, il semble être en colère.|Licidas, Angélique, Isabelle",,,
82,LUISÁngela.,LUISAngela.,"['Licidas', 'Que faites vous ma sœur ?']",Licidas|Que faites-vous ma sœur?,,,
83,"ÁNGELA |Hermano|y señor, |turbado y confuso vienes.| ¿Qué ha sucedido? ¿Qué tienes?","ANGELA |Frère|et monsieur, |vous venez perturbé et confus.| Que s'est-il passé? Qu'as-tu?","['Angelique', 'Que faites vous ma sœur ? Mais vous mesme mon frere ?', 'Vous semblez interdit, chagrin et tout deffait,', 'Estes vous en colere ?']","Angélique|Que faites-vous ma sœur? Mais vous-même mon frère?|Vous semblez interdit, chagrin et tout défait,|Êtes-vous en colère?",,,
84,LUIS |Harto tengo: tengo honor.,LUIS |J'en ai assez : j'ai de l'honneur.,"['Licidas', ""Estes vous en colere ? Oüy j'y suis en effet.""]",Licidas|Êtes-vous en colère? Oui j'y suis en effet.,,,
85,,,"['Isabelle (bas)', 'Ah Madame, il le sçait.']","Isabelle (bas)|Ah , Madame, il le sait.",,,
86,ÁNGELA |(¡Ay de mí! Sin duda es| que don Luis me conoció).,ANGELA |(Malheur à moi ! C'est sans aucun doute| que Don Luis m'a connu).,"['Angelique(bas)', 'Ah Madame, il le sçait. Grands Dieux ! je suis perdüe,', ""Qu'avez vous donc ?""]","Angélique imbas)|Ah , Madame, il le sait. Grands Dieux! je suis perdue,|Qu'avez-vous donc?",,,
87,"LUIS |Y así, siento mucho yo| que se estime en poco.","LUIS |Et donc, je suis vraiment désolé| cela s'estime en peu.","['Licidas', ""Qu'avez vous donc ? Je viens de me battre en la ruë.""]",Licidas|Qu'avez-vous donc? Je viens de me battre en la rue.,,,
88,ÁNGELA |Pues | ¿has tenido algún disgusto?,ANGELA |Eh bien | Avez-vous eu des déceptions ?,"['Angelique', 'Vous battre, contre qui ?']","Angélique|Vous battre, contre qui?",,,
89,"LUIS |Lo peor es que, cuando vengo| a verte, el disgusto tengo| que|tuve, Ángela.","LUIS |Le pire, c'est que quand je viens| On se voit, je suis contrarié ce que j'avais, Angela.","['Licidas', 'Vous battre, contre qui ? Contre un jeune estranger ;', 'Et qui pis est encor, qui vient icy loger.']","Licidas|Vous battre, contre qui? Contre un jeune étranger ;|Et qui pis est encor, qui vient ici loger.",,,
90,ISABEL |(¿Otro susto?).,ISABEL |(Une autre frayeur ?).,[],,,,
91,"ÁNGELA |/Pues yo ¿en qué te puedo dar,| hermano, disgusto? Advierte...","ANGELA |/Eh bien, que puis-je te donner,| frère, mécontentement ? Avertir...","['Angelique', 'Qui vient icy loger ?']",Angélique|Qui vient ici loger?,,,
92,"LUIS |Tú eres la causa, y el verte...","LUIS |Vous êtes la cause, et en vous voyant...","['Licidas', ""Qui vient icy loger ? Mon frere nous l'emmeine,"", ""C'est Florestan, de qui Lizandre estoit en peine,"", 'Dont nous avons parlé plusieurs fois entre nous.']","Licidas|Qui vient ici loger? Mon frère nous l'emmène,|C'est Florêtan, de qui lisandre était en peine,|Dont nous avons parlé plusieurs fois entre nous.",,,
93,ÁNGELA |(¡Ay de mí!).,ANGELA |(Malheur à moi !).,"['Angelique (bas)', 'Mes esprits sont remis. Dieux ! que me dites vous ?', 'Mais quel sujet a fait naistre votre querelle ?']",Angélique (bas)|Mes esprits sont remis. Dieux! que me dites-vous?|Mais quel sujet a fait naître votre querelle?,,,
94,"LUIS |...Ángela, estimar | tan poco de nuestro hermano...","LUIS |...Angela, estimation | si peu de notre frère...","['Licidas', 'Nous nous sommes battus pour une damoiselle.']",Licidas|Nous nous sommes battus pour une damoiselle.,,,
95,ÁNGELA |(Eso sí).,ANGELA |(Oui).,"['Angelique', 'Pour une damoiselle ?']",Angélique|Pour une damaiselle?,,,
96,"LUIS |...pues, cuando vienes | con los disgustos que tienes,| cuidados te dé. No en vano| el enojo que tenía| con el huésped me pagó,| pues, sin conocerle yo,| hoy le he herido en profecía.","LUIS |...eh bien, quand viens-tu | avec les aversions que vous avez, | soins que je te donne. Pas en vain| la colère que j'avais avec l'invité qu'il m'a payé, | Eh bien, sans le connaître, | Aujourd'hui, je l'ai blessé dans la prophétie.","['Licidas', 'Pour une damoiselle ? Ouy ma sœur']",Licidas|Pour une damaiselle? Oui ma sœur,,,
97,ÁNGELA |Pues ¿cómo fue?,"ANGELA |Eh bien, comment c'était ?","['Angelique', 'Pour une damoiselle ? Ouy ma sœur Mais comment ?']",Angélique|Pour une damaiselle? Oui ma sœur Mais comment?,,,
98,"LUIS |Entré|en la plaza |de palacio, hermana, a pie| hasta el palenque, porque| toda la desembaraza| de coches y caballeros| la guarda. A un corro me fui| de amigos, adonde vi| que alegres y lisonjeros| los tenía una tapada,| a quien todos celebraron| lo que dijo y alabaron| de entendida y sazonada.| Desde el punto que llegué| otra palabra no habló,| tanto que a alguno obligó| a preguntarla por qué,| porque yo llegaba, había| con tanto estremo callado.| Todo me puso en cuidado;| miré si la conocía| y no pude, porque ella| se puso más en taparse,| en esconderse y guardarse.| Viendo que no pude vella,| seguilla determiné.| Ella siempre atrás volvía| a ver si yo la seguía,| cuyo gran cuidado fue| espuela de mi cuidado.| Yendo desta suerte, pues,| llegó un hidalgo, que es| de nuestro huésped criado,| a decir que le leyese| una carta. Respondí| que iba de priesa y creí| que detenerme quisiese| con este intento, porque| la mujer le habló al pasar;| y tanto dio en porfiar| que le dije no sé qué.| Llegó en aquella ocasión| en defensa del criado| nuestro huésped, muy soldado;| sacamos en conclusión| las espadas. Todo es esto,| pero más pudiera ser.","LUIS |Je suis entré|sur la place du Palais, ma sœur, à pied| au palenque, parce que| toute la gêne| des voitures et messieurs| le garde. Je suis allé dans un cercle d'amis, où j'ai vu| comme c'est heureux et flatteur Je les ai couverts, | que tout le monde a célébré| ce qu'il a dit et loué | compris et aguerri.| Du point où je suis arrivé| un autre mot qu'il n'a pas prononcé, | à tel point que cela a forcé certains lui demander pourquoi, | parce que je suis arrivé, il y avait| avec tant de silence.| Tout m'a mis aux soins ;| J'ai regardé pour voir si je la connaissais et je ne pouvais pas, parce qu'elle| il a fait plus d'efforts pour se couvrir, | se cacher et se tenir à l'écart.| Voyant que je ne pouvais pas la voir, | seguilla j'ai déterminé.| Elle revenait toujours Voyons si je l'ai suivie, | dont le grand soin était| l'impulsion de mes soins.| En allant par ici, alors, | un monsieur est arrivé, qui est| de notre serviteur serviteur,| lui dire de le lire | une carte. J'ai répondu | que j'étais pressé et je croyais j'aimerais arrêter avec cette tentative, parce que| la femme lui parlait en passant ;| et il a essayé si fort de persister Je lui ai dit que je ne sais pas quoi. C'est arrivé à cette occasion| pour la défense du serviteur notre invité, très soldat ;| nous tirons en conclusion| épées. C'est tout ça, | mais ça pourrait être plus.","['Licidas', 'Je vous veux tout conter dés le commencement,', 'Pour entendre le fait il faut que je vous die,', ""Que j'ay voulu tantost oüir la Comedie,"", 'Pour voir un beau sujet dont on a tant parlé,', ""Dont l'excellente intrigue est tres bien desmeslé,"", ""Les fourbes d'ARBIRAN c'est ainsi qu'on l'apelle,"", ""Cette piece en effet n'est pas beaucoup nouvelle,"", ""Les vers n'en sont pas forts, je ne suis pas flateur,"", ""Quoy que je sois pourtant grand amy de l'autheur,"", ""Mais dans l'oeconomie il faut que je confesse,"", ""Qu'il conduit un sujet avecque tant d'adresse,"", ""Le remplit d'incidents si beaux et si divers,"", ""Qu'on excuse aisément la foiblesse des vers."", ""J'entre dedans l'Hostel avecque mille peines"", 'Car jamais on a vu les loges aussi pleines,', 'Et mille ont pour entrer fait leurs efforts en vain,', ""Qu'il a fallu remettre à Dimanche prochain."", ""Comme j'estois actif à trouver une place"", ""J'ay veu chacun tourné pour contempler la grace"", ""D'une jeune merveille, à ce que l'on m'a dit,"", ""Car pour moy je n'ay veu d'elle rien que l'habit,"", ""Car comme j'ay voulu jetter les yeux sur elle"", 'Pour la voir à mon ayse, aussi tost la cruelle', 'A rabaissé sa coiffe, et comme par mespris', ""Donnécette algaradeaux cœurs qu'elle avoit pris."", 'Moy bruslant de desir de voir ce beau visage,', 'A qui cent languissants desja faisoient hommage,', ""J'accuse seulement la rigueur de mon sort"", ""D'estre arrivé trop tard. Mais la voyant d'accord"", 'Avec plusieurs galands, et de ris et de gestes,', ""Par ces muets discours j'ay bien compris le reste,"", ""Car deslors j'ay cognu que pour moy seulement"", 'Elle voulait cacher ce visage charmant.', ""Lors j'ay creu, comme un autre eust creu la mesme chose,"", ""Qu'elle me cognoissait, et que c'estoit la cause"", ""Qui pouvoit l'obliger à se cacher ainsi,"", ""Ce qui m'a fait resoudre à m'en voir esclaircy,"", ""Je sors tout le premierpour l'attendre à la porte,"", ""Elle s'en aperçoit, et me previentde sorte,"", ""Qu'encor que je m'efforce à prendre le devant"", 'Elle descend aussi plus vite que le vent,', ""Je la voy devant moy, je tasche, je m'efforce"", ""De la suivre à grands pas, et l'atteindre par force,"", ""Car la peur qu'elle avoit d'entrer en mon pouvoir"", ""M'augmentoit cent fois plus le desir de la voir :"", 'Sur ce point un maraut qui vient pour me distraire', 'Me presente un escrit qui me met en colere,', ""J'ay veu qu'il le faisoit expres pour m'arrester,"", ""Et que je n'avois point de sujet d'en douter,"", 'Car comme elle avoit peur de se faire cognoistre,', ""Je l'avois veüe avant parler avec son maistre,"", ""Ce qui me l'a fait lors traitter si rudement,"", 'Que son maistre ayant eu quelque ressentiment,', ""M'a parlé de façon en prenant sa defense,"", ""Que je n'ay pû du tout souffrir son arrogance,"", ""J'ay mis l'espée au poing, l'autre s'est defendu,"", ""Mon frere sur le lieu soudain s'estant rendu,"", ""A cognu son Amy. Quoy qu'il ait du courage,"", ""Du combat cependant j'ai eu quelque avantage."", ""Je l'ay blessé.""]","Licidas|Je vous veux tout conter dès le commencement,|Pour entendre le fait il faut que je vous die,|Que j'ai voulu tantôt ouïr la Comédie,|Pour voir un beau sujet dont on a tant parlé,|Dont l'excellente intrigue est très bien démêlé,|Les fourbes d'ARBIRAN c'est ainsi qu'on l'appelle,|Cette pièce en effet n'est pas beaucoup nouvelle,|Les vers n'en sont pas forts, je ne suis pas flatteur,|Quoi que je sois pourtant grand ami de l'auteur,|Mais dans l'oéonomie il faut que je confesse,|Qu'il conduit un sujet avec tant d'adresse,|Le remplit d'incidents si beaux et si divers,|Qu'on excuse aisément la faiblesse des vers.|J'entre dedans l'Hôtel avec mille peines|Car jamais on a vu les loges aussi pleines,|Et mille ont pour entrer fait leurs efforts en vain,|Qu'il a fallu remettre à Dimanche prochain.|Comme j'étais actif à trouver une place|J'ai vu chacun tourné pour contempler la grâce|D'une jeune merveille, à ce que l'on m'a dit,|Car pour moi je n'ai vu d'elle rien que l'habit,|Car comme j'ai voulu jeter les yeux sur elle|Pour la voir à mon aise, aussitôt la cruelle|A rabaissé sa coiffe, et comme par mépris|Donnécette algaradeaux cœurs qu'elle avait pris.|Moi brûlant de désir de voir ce beau visage|À qui cent languissants déjà faisaient hommage,|J'accuse seulement la rigueur de mon sort|D'être arrivé trop tard. Mais la voyant d'accord|Avec plusieurs galants, et de ris et de gêtes,|Par ces muets discours j'ai bien compris le reste,|Car délors j'ai connu que pour moi seulement|Elle voulait cacher ce visage charmant.|Lors j'ai cru, comme un autre eût cru la même chose,|Qu'elle me connaissait, et que c'était la cause|Qui pouvait l'obliger à se cacher ainsi,|Ce qui m'a fait résoudre à m'en voir éclairci,|Je sors tout le premierpour l'attendre à la porte,|Elle s'en aperçoit, et me prévientde sorte,|Qu'encor que je m'efforce à prendre le devant|Elle descend aussi plus vite que le vent,|Je la vois devant moi, je tâche, je m'efforce|De la suivre à grands pas, et l'atteindre par force,|Car la peur qu'elle avait d'entrer en mon pouvoir|M'augmentait cent fois plus le désir de la voir:|Sur ce point un marau qui vient pour me distraire|Me présente un écrit qui me met en colère,|J'ai vu qu'il le faisait exprès pour m'arrêter,|Et que je n'avais point de sujet d'en douter,|Car comme elle avait peur de se faire connaître,|Je l'avais vue avant parler avec son maître,|Ce qui me l'a fait lors traiter si rudement,|Que son maître ayant eu quelque ressentiment,|M'a parlé de façon en prenant sa défense,|Que je n'ai pu du tout souffrir son arrogance,|J'ai mis l'épée au point, l'autre s'est défendu,|Mon frère sur le lieu soud s'étant rendu,|À connu son Ami. Quoi qu'il ait du courage,|Du combat cependant j'ai eu quelque avantage.|Je l'ai blessé.",,,
99,"ÁNGELA |¡Miren la mala mujer| en qué ocasión te había puesto!| ¡Que hay mujeres tramoyeras!| Pondré que no conocía| quién eras y que lo hacía| sólo por que la siguieras.| Por eso estoy harta yo| de decir, si bien te acuerdas,| que mires que no te pierdas| por mujercillas, que no| saben más que aventurar| los hombres.","ANGELA |Regarde la mauvaise femme| à quelle occasion t'avais-je mis !| Il y a des femmes qui sont des escrocs !| Je dirai que je ne savais pas qui tu étais et qu'est-ce que tu as fait | juste parce que tu l'as suivie.| C'est pourquoi j'en ai marre dire, si tu te souviens bien, | regarde pour ne pas rater pour les petites femmes, non ils en savent plus que de s'aventurer | les hommes.","['Angelique', ""Je l'ay blessé. Blessé, bons Dieux ! je n'en puis plus,"", 'Soustenez moy, je meurs.']","Angélique|Je l'ai blessé. Blessé, bons Dieux! je n'en puis plus,|Soutenez moi, je meurs.",,,
100,,,"['Licidas (la soustenant)', ""Soustenez moy, je meurs. J'ay les sens tous confus :"", ""Mais d'où vient que son mal jusqu'à ce point vous touche ?""]","Licidas (la soutenant)|Soutenez moi, je meurs. J'ai les sens tous confus :|Mais d'où vient que son mal jusqu'à ce point vous touche?",,,
101,,,"['Angelique (bas)', ""Ah grands Dieux ! ma douleur m'a trahy par ma bouche ."", ""Quoy, jusques à ce point dois je pas m'attrister,"", ""Si le coup est mortel, qu'il vous faille absenter?""]","Angélique (bas)|Ah grands Dieux! ma douleur m'a trahi par ma bouche.|Quoi, jusques à ce point dois-je pas m'attrister,|Si le coup est mortel, qu'il vous faille absenter?",,,
102,,,"['Licidas', 'Non, non, ne craignez rien, sa blessure est legere,', ""Ce n'est que dans la main.""]","Licidas|Non, non, ne craignez rien, sa blessure est légère,|Ce n'est que dans la main.",,,
103,,,"['Angelique', ""Ce n'est que dans la main. J'apprehendois mon frere,"", 'Je respire à ce coup, et mes sens sont remis.']","Angélique|Ce n'est que dans la main. J'appréhendais mon frère,|Je respire à ce coup, et mes sens sont remis.",,,
104,,,"['Licidas', 'Nous sommes toutefois demeurez bons amis.']",Licidas|Nous sommes toutefois demeurez bons amis.,,,
105,,,"['Angelique', ""Je m'en resjouis fort, que je hay cette infame,"", 'Cause de tout le mal, ah ! la meschante femme,', 'Qui vous a pensé mettre en un si grand danger,', 'Elle ne vous fuyoit que pour vous obliger,', ""Sans qu'elle vous cognust, de courir apres elle,"", ""Et je gagerois bien qu'elle n'est point si belle."", ""Croyez si c'eust esté quelque rare beauté,"", ""Qu'elle vous eust surpris par un œil affeté,"", ""Elle vous l'eust fait voir ; Dieux ! que c'est chose aisée,"", ""De decevoir vos sens pour peu qu'on soit rusée,"", 'Vous vous laissez gagner par un geste en effet,', ""Et par le faux rapport que l'on vous en a fait ."", ""Ne vous laissez jamais tromper à l'apparence,"", ""Le vice prend souvent le masque d'innocence,"", 'Et par de faux attraits telle femme vous plaist', ""Qui bien souvent n'est rien de ce qu'elle paroist."", 'Mon frere quittez là ces jeunes affetées,', ""Qui n'ont point d'autre but que d'estre muguetées"", ""Et qui ne pensent point qu'on les puisse obliger"", 'Sans mettre un honneste homme en evident danger,', ""Pensans bien mieux valoir, lors que pour l'amour d'elles"", 'Des hommes de merite embrassent cent querelles.']","Angélique|Je m'en réjouis fort, que je hais cette infâme,|Cause de tout le mal, ah! léchante femme,|Qui vous a pensé mettre en un si grand danger,|Elle ne vous fuyait que pour vous obliger,|Sans qu'elle vous connût, de courir après elle,|Et je gagerais bien qu'elle n'est point si belle.|Croyez si c'eût été quelque rare beauté,|Qu'elle vous eût surpris par un œil affété,|Elle vous l'eût fait voir; Dieux! que c'est chose aisée,|De décevoir vos sens pour peu qu'on soit rusée,|Vous vous laissez gagner par un geste en effet,|Et par le faux rapport que l'on vous en a fait.|Ne vous laissez jamais tromper à l'apparence,|Le vice prend souvent le masque d'innocence,|Et par de faux attraits telle femme vous plaît|Qui bien souvent n'est rien de ce qu'elle paraît.|Mon frère quittez là ces jeunes affétées,|Qui n'ont point d'autre but que d'être muguetées|Et qui ne pensent point qu'on les puisse obliger|Sans mettre un honnête homme en évident danger,|Dans bien mieux valoir, lorsque pour l'amour d'elles|Des hommes de mérite embrassent cent querelles.",,,
106,LUIS |¿En|qué has pasado | la tarde?,LUIS | Qu'avez-vous fait | le soir?,"['Licidas', ""Brisons là, ne disons jamais du mal d'autruy,"", ""A quoy vous estes vous divertie aujourd'huy ?""]","Licidas|Brisons là, ne disons jamais du mal d'autrui,|À quoi vous êtes vous divertie aujourd'hui?",,,
107,ÁNGELAEn|casa me he estado | entretenida en llorar.,"ÁNGELAÀ la maison, j'ai été | amusé à pleurer.","['Angelique', 'Aux occupations qui me sont ordinaires,', ""A pleurer tout le jour l'excez de mes miseres,"", 'Me le demandez vous ?']","Angélique|Aux occupations qui me sont ordinaires,|A pleurer tout le jour l'excès de mes misères,|Me le demandez-vous?",,,
108,LUIS¿Hate nuestro hermano visto?,LUIS As-tu vu notre frère ?,"['Licidas', 'Me le demandez vous ? Ma sœur vous avez tort,', 'Vos pleurs ne peuvent pas faire revivre un mort,', 'Aux plus ardans soupirs, laissez la porte ouverte', 'Ils ne vous feront pas recouvrer vostre perte ;', 'Mais adieu je vous laisse.']","Licidas|Me le demandez-vous? Ma sœur vous avez tort,|Vos pleurs ne peuvent pas faire revivre un mort,|Aux plus ardans soupirs, laissez la porte ouverte|Ils ne vous feront pas recouvrer votre perte;|Mais adieu je vous laisse.",,,
109,ÁNGELADesde esta mañana no | ha entrado aquí.,ANGELA Pas depuis ce matin | est entré ici.,"['Angelique', 'Mais adieu je vous laisse. En quel appartement', 'Logez vous Florestan ?']",Angélique|Mais adieu je vous laisse. En quel appartement|Logez-vous Florêtan?,,,
110,LUIS |¡Qué|mal yo | estos descuidos resisto!,LUIS |Comme je vais mal | Je résiste à ces oublis !,"['Licidas', 'Logez vous Florestan ? Pour plus commodément', ""Le loger, sans qu'il soit mesme veu de personne,"", ""Et qu'il puisse y venir à toute heure, on luy donne"", 'Le quartier de derriere, où mon frere a logé,', ""Ayant la clef il n'est à personne obligé ;"", ""Car dans sa chambre il faut, et qu'il entre et qu'il sorte"", 'Et par une autre ruë et par une autre porte,', 'Ainsi chez nous il semble estre en autre maison', ""On l'a fait pour cela.""]","Licidas|Logez-vous Florêtan? Pour plus commodément|Le loger, sans qu'il soit même vu de personne,|Et qu'il puisse y venir à toute heure, on lui donne|Le quartier de derrière, où mon frère a logé,|Ayant la clef il n'est à personne obligé;|Car dans sa chambre il faut, et qu'il entre et qu'il sorte|Et par une autre rue et par une autre porte,|Ainsi chez nous il semble avoir en autre maison|On l'a fait pour cela.",,,
111,"ÁNGELA |Pues deja los sentimientos,| que al fin sufrirle es mejor,| que es nuestro hermano mayor| y comemos de alimentos.","ANGELA | Eh bien, laisse les sentiments derrière toi, | qu'à la fin il vaut mieux souffrir,| qui est notre frère aîné et nous mangeons de la nourriture.","['Angelique', ""On l'a fait pour cela. Vous avez eu raison."", ""Mais bien loing d'estre encor contre luy en colere,"", 'Il vous faut estre amis, aimez le mon cher frere,', 'Vous desobligeriez mon frere asseurément', ""Si vous aviez dessein d'en user autrement.""]","Angélique|On l'a fait pour cela. Vous avez eu raison.|Mais bien loin d'être encor contre lui en colère,|Il vous faut être amis, aimez le mon cher frère,|Vous désobligeriez mon frère assurément|Si vous aviez dessein d'en user autrement.",,,
112,"LUIS |Si tú estás tan consolada,| yo también, que yo por ti| lo sentía; y, por que así| veas no dárseme nada,| a verle voy y aun con él| haré una galantería.| (Vase.)","LUIS |Si tu es ainsi consolé,| moi aussi, que je suis pour toi| Je l'ai senti; et pourquoi donc | tu vois, ne me donne rien, | Je vais le voir et toujours avec lui | Je ferai une galanterie.| (Sortie.)","['Licidas', ""Bien, je m'en vay le voir."", 'Isabelle, Angelique']","Licidas|Bien, je m'en vais le voir.|Isabelle, Angélique",,,
113,"ISABEL |¿Qué dirás, señora mía,| después del susto cruel,| de lo que en casa nos pasa?| Pues el que hoy ha defendido| tu vida, huésped y herido| le tienes dentro de casa.","ISABEL |Que direz-vous, ma dame,| après la frayeur cruelle, | Que nous arrive-t-il à la maison ? Eh bien, celui qui a défendu aujourd'hui | ta vie, invité et blessé | vous l'avez à l'intérieur de la maison.","['Isabelle', ""Bien, je m'en vay le voir. Qu'en dites vous, Madame ?"", ""Celuy que vous aymez d'une secrette flame,"", 'Ce gentil Estranger, ce galand incognu,', 'Celuy qui vostre honneur a si bien maintenu,', 'Qui genereux pour vous a hazardé sa vie,', ""Qu'on a blessé pour vous, que vous brusliez d'envie"", 'De voir et de cognoistre, il est logé chez vous,', 'Et vous le pouvez voir en dépit des jaloux.']","Isabelle|Bien, je m'en vais le voir. Qu'en dites-vous, Madame?|Celui que vous aimez d'une secrète flamme,|Ce gentil Étranger, ce galant inconnu,|Celui qui votre honneur a si bien maintenu,|Qui généreux pour vous a hasardé sa vie,|Qu'on a blessé pour vous, que vous brûliez d'envie|De voir et de connaître, il est logé chez vous,|Et vous le pouvez voir en dépit des jaloux.",,,
114,"ÁNGELA |Yo, Isabel, lo sospeché| cuando de mi hermano oí| la pendencia y cuando vi| que el herido el huésped fue;| pero aún bien no lo he creído,| porque cosa estraña fuera| que un hombre a Madrid viniera| y hallase, recién venido,| una dama que rogase| que su vida defendiese,| un hermano que le hiriese| y otro que le aposentase;| fuera notable suceso| y, aunque todo puede ser,| no lo tengo de creer| sin|vello.","ANGELA |Moi, Isabel, je m'en doutais| quand j'ai eu des nouvelles de mon frère la dispute et quand j'ai vu que l'invité était blessé ;| mais je n'y ai toujours pas cru, | parce qu'il y a une chose étrange dehors qu'un homme est venu à Madrid | et trouvé, nouvellement arrivé, | une dame qui a supplié que sa vie a défendu, | un frère qui lui ferait du mal et un autre pour le loger ;| était un événement marquant et, bien que tout puisse être,| Je ne peux pas y croire | chauve","['Angélique', ""Ce cas est bien estrange, et s'il ne m'est visible"", 'A peine le croiré je, il est presque impossible,', ""(Et l'esprit le mieux fait s'y trouveroit surpris)"", ""Qu'un estranger rencontre arrivant à Paris"", ""Une femme en passant qui d'abord le convie"", ""De luy vouloirsauver et l'honneur et la vie,"", 'Se voir en mesme temps par son frere blessé,', ""Arriver l'autre frere, et s'en voir caressé"", 'Luy donner son logis, les accorderensemble,', ""C'est un fait qui n'est pas croyable ce me semble.""]","Anglique|Ce cas est bien étrange, et s'il ne m'est visible|À peine le croiré-je, il est presque impossible,|(Et l'esprit le mieux fait s'y trouverait surpris)|Qu'un étranger rencontre arrivant à Paris|Une femme en passant qui d'abord le convie|De grands vouloirsauver et l'honneur et la vie,|Se voir en même temps par son frère blessé,|Arriver l'autre frère, et s'en voir caressé|Lui donner son logis, les accorderensemble,|C'est un fait qui n'est pas croyable ce me semble.",,,
115,"ISABEL |Y,|si para eso |te dispones, yo bien sé| por dónde verle podrás| y aun más que velle.","ISABEL |Et,|si c'est ce à quoi vous êtes prêt, je le sais bien| où peux-tu le voir| et même plus que velle.","['Isabelle', ""Pourquoy ne l'est il pas ?""]",Isabelle|Pourquoi ne l'est il pas?,,,
116,"ÁNGELA |Tú|estás |loca. ¿Cómo, si se ve| de mi cuarto tan distante| el suyo?","ANGELA |Tu|es |folle. Comment, si tu vois| de ma chambre si lointaine | le sien?","['Angelique', ""Pourquoy ne l'est il pas ? Ce sont des accidens"", 'Qui merveilleusement me surprennent les sens,', ""Je n'ose seulement esperer cette gloire,"", ""Et je pense en effet qu'on me le fait acroire.""]","Angélique|Pourquoi ne l'est il pas? Ce sont des accidents|Qui merveilleusement me surprennent les sens,|Je n'ose seulement espérer cette gloire,|Et je pense en effet qu'on me le fait acroire.",,,
117,ISABEL |Parte|hay por donde |este cuarto corresponde| al otro,,"['ISABEL', 'Partie', 'il y a là où', 'cette pièce correspond', 'autres']",ISABEL|Partie|il y a là où|cette pièce correspond|autres,Isabelle | Il m’est assez aisé de vous le faire voir.,,
