,mongin-promenades-de-paris,regnard-coquette,Cost,Operation Type
92,"('#colombine', ""À l'oubli près, qu'en dites-vous ? Ce maraud-là parle pour nous."")","('#colombine', ""Que signifie donc cette cérémonie-ci ?  Je trouve cela assez plaisant.  Voyons donc ce que dit cette lettre. Comme il n'y a point d'animal dans le monde qui n'aime quelque autre animal, c'est ce qui fait que je vous aime.  Autre chose ne peut vous dire votre très humble serviteur et fidèle amant, Pierrot. Mon très humble serviteur et fidèle amant, Pierrot.  Ah, ah !  Voilà donc où le bât vous blesse, monsieur l'amoureux !  En vérité, je suis ravie d'avoir fait une pareille conquête.  Elle lit. "")",1.77,Substitution
93,"('#arlequin', ""Et celles qu'on régale à Chaillot, à Passy ; Et qui pour dire grand-merci, Et payer leur écot d'un bon vin de Bourgogne, D'une bonne collation, S'en vont dans le Bois_de_Boulogne, En faire la digestion ?"")","('#pierrot', ""Hé !  Mademoiselle, je sais bien que mon mérite n'est pas capable de mériter ;... mais, d'un autre côté,... voilà que l'occasion,... votre beauté... Je ne suis pas bien riche ; mais, ma foi, je suis un bon garçon. "")",1.2,Substitution
94,,"('#colombine', ""J'entends cela le mieux du monde ; mais je vous prie, monsieur Pierrot, d'étouffer un peu vos hoquets de tendresse, et d'aller porter cette lettre à monsieur de la Maltotière."")",1.0,Deletion
95,"('#colombine', 'Si.')","('#pierrot', 'Ah !  Petit cocodrille !  Ouf ! ')",1.71,Substitution
96,"('#arlequin', ""Ces belles encor, ces écueils de la bourse, Qui voulant toujours être en course ; À force de courir l'hiver les jeux, le bal, L'été les bois et la prairie , Conduisent mes chevaux enfin à la voirie, Et leurs amants à l'hôpital ; Se bâtissant ainsi, ces prodigues coquettes, Sur la ruine des chevaux, Et celle des godelureaux, Un refuge aux madelonnettes."")","('#colombine', ""La conquête de Pierrot n'est pas bien illustre : je sens néanmoins une secrète joie de voir que rien ne m'échappe.  Quelque sévérité qu'affectent les femmes, elles ne sont jamais fâchées de s'entendre dire qu'on les aime. "")",1.21,Substitution
97,,"('#le-laquais', 'Mademoiselle, voilà monsieur le conseiller Nigaudin. ')",1.0,Deletion
98,"('#elise', ""Laissons-là cet ivrogne, allons, sortons d'ici. Colombine, c'est trop lui donner audience. Monsieur_Calmar m'attend avec impatience, Je suis de voir sa fête impatiente aussi."")","('#colombine', ""En vérité, monsieur Nigaudin, j'ai lieu de louer votre diligence : nous ne devons partir pour la Comédie que dans deux heures, et je suis ravie de pouvoir pendant ce temps-là profiter de votre conversation."")",0.57,Substitution
99,"('#colombine', ""Allons. De la raison toi, prends donc plus de soin, Et gardes-en, je t'en conjure Autant qu'il en faut, tout au moins Pour conduire à Paris ta vilaine voiture. Au Fiacre. Elles s'en vont."")","('#nigaudin', ""Mademoiselle, quand il s'agira de venir vous offrir ses hommages, on n'obtiendra point de défaut contre moi : en cas de rendez-vous auprès des dames, je ne me laisse jamais contumacer, et je me rends bien vite à l'ajournement personnel. "")",1.09,Substitution
100,"('#arlequin', ""Oh, tout doux, mon Fiacre vilain ? Hé de grâce, épargnez un peu votre prochain. Quelque vilain qu'on soit, Comtesses et Marquises Du fiacre cependant sont tellement éprises, Qu'elles quittent des chars tirés à six chevaux, Pour s'en venir en fiacre ici sous ces ormeaux. Mais où court ce manant si vite. Il faut nous divertir de ce bonhomme-ci. Holà, Manant, holà l'ami ? Où veux-tu donc aller au gîte ?"")","('#colombine', ""Ah, monsieur !  Que vous dites les choses galamment !  Vous avez un tour aisé et naturel dans les expressions, que les autres n'ont point ; et il semble toujours que vous demandiez le coeur, quelque indifférente chose que vous puissiez dire. "")",1.1,Substitution
101,"('#pierrot', 'À Paris.')",,1.0,Insertion
102,"('#arlequin', 'À Paris ?')",,1.0,Insertion
103,"('#pierrot', 'Oui je quitte les champs, Et je ne veux pas davantage Être du nombre des manants.')",,1.0,Insertion
104,"('#arlequin', ""Ah ah ! Le plaisant personnage ! Et quelle est la raison, mon pauvre villageois Qui t'incite et te pousse à devenir bourgeois ?"")","('#nigaudin', ""Moi, mademoiselle ! Je ne vous demande rien ; vous me prenez donc pour un escroc ?  Il est vrai que nous autres gens de robe, la plupart, nous avons la belle élocution à commandement.  Tout franc, mademoiselle, les gens d'épée n'ont point le boute-dehors comme nous. "")",1.05,Substitution
105,"('#pierrot', ""Et c'est que maintenant les femmes de village N'aiment plus leurs maris dedans le mariage. La mienne me fait enrager. J'espère qu'à Paris elle pourra changer. Quand je serai bourgeois, qu'elle sera bourgeoise, Nous n'aurons plus, je crois, ni querelle ni noise."")","('#colombine', ""Fi !  Ne me parlez point des gens d'épée ; ils n'auraient jamais rien à vous dire, s'ils ne vous étourdissaient de leurs bonnes fortunes, et s'ils ne vous faisaient le calcul du nombre des bouteilles qu'ils ont vidées.  Pour moi, je ne conçois pas bien la manie de la plupart des femmes d'aujourd'hui ; on ne saurait leur plaire, si l'on ne revient de Flandre ou d'Allemagne, et si l'on ne rapporte à leurs pieds un coeur tout persillé de poudre à canon. "")",0.81,Substitution
106,"('#arlequin', ""Oui, les bourgeoises de Paris Aiment fort en effet leurs paisibles maris Quitter ton hameau pour la ville ! Hé double sot, pauvre animal, C'est tomber de fièvre en chaud-mal. Tu veux être bourgeois ? Je t'en ferai voir mille Qui voudraient devenir manants."")","('#nigaudin', ""Ma foi, il y a bien de l'entêtement ; car, entre nous, il n'y a point de gens qui tiennent une procédure si irrégulière auprès des dames que les gens de guerre : ils sont brusques et entreprenants sur le fait des faveurs, et n'observent jamais les délais fixés par l'ordonnance de l'amour. "")",1.15,Substitution
107,"('#pierrot', ""Et moi, j'en connais un pas bien loin de céans, Adoré, chéri de sa femme. Elle lui dit : Mamour, mon fils, tout ci, tout ça Oh ! Pierrot donnerait son âme Pour avoir tous ces biaux noms-là."")",,1.0,Insertion
108,"('#arlequin', 'Ah ! Si cela te rassasie, Plus de chagrin, plus de tourment. Pour toi Paris aura mille agréments. Là, pour ôter soupçon et jalousie, Des femelles à tous moments Donnent à leurs époux le nom de leurs amants. Mais veux-tu guérir ta folie : Reste quelque temps en ce bois, Et tu verras en tapinois Que le divorce a droit de bourgeoise Chez les plus paisibles bourgeois.')","('#colombine', ""Il est vrai qu'on n'est point en sûreté contre leurs entreprises ; et quand ils sont chez les dames, ils s'imaginent être dans un quartier d'hiver à vivre à discrétion. "")",0.96,Substitution
109,,"('#nigaudin', ""À propos de quartier d'hiver, mademoiselle, il me semble qu'ils sont venus cette année quinze jours plus tôt pour moi. "")",1.0,Deletion
110,"('#pierrot', ""Serviteur aux Bourgeois, je ne veux donc plus l'être."")","('#colombine', 'Pourquoi donc, monsieur ? ')",1.68,Substitution
111,"('#arlequin', ""Oui, tiens-t'en à ta vie et rustique et champêtre."")","('#nigaudin', ""J'avais hypothèque spéciale sur votre coeur, sans ce visage d'épetier qui est arrivé, et qui se prétend privilégié sur la chose : mais, ventrebleu !  Nous verrons. "")",1.58,Substitution
112,,"('#colombine', 'Eh !  Que craint-on, monsieur, quand on est fait comme vous ? ')",1.0,Deletion
113,,"('#nigaudin', ""Il est vrai qu'un juge craint fort peu de chose ; mais la plupart de ces gens de guerre sont des brutaux qui usent d'abord des voies de fait.  Nous autres, nous faisons notre affaire en douceur, et nous n'aimons pas le fracas de la brette. "")",1.0,Deletion
114,,"('#colombine', ""Vous avez assez d'autres endroits pour vous faire distinguer. "")",1.0,Deletion
115,"('#pierrot', ""On, ne me parle point des champs. Je n'y veux point rester. Mais il est sur la terre Bien plus d'une sorte de gens."")","('#nigaudin', ""Ce n'est pas, ventrebleu !  Qu'on n'ait du coeur. Je voudrais que vous me vissiez aux buvettes : je fais tout trembler ; et si tous mes confrères les praticiens me ressemblaient, il ne se recevrait pas le quart des nasardes qui se donnent tous les jours. "")",1.04,Substitution
116,"('#arlequin', 'Il est des gens de robe, il est des gens de guerre. Lequel de ces états aimerais-tu le mieux! Veux-tu devenir...')","('#colombine', ""Je gagerais, à votre air, que vous opinez l'épée à la main ?  Et je vous prendrais quelquefois pour un colonel de robe. "")",0.73,Substitution
117,"('#pierrot', 'Oui, je veux, Je veux devenir gens de robe.')","('#nigaudin', ""Vous trouvez donc mon habit joli ?  C'est un petit déshabillé de chasse que je me suis fait faire pour la cour.  N'est-il pas vrai que l'épée me sied bien ? "")",1.18,Substitution
118,"('#arlequin', ""Mais pour bien percer le rabat, Il faut plus d'un talent, comme plus d'un ducat."")","('#colombine', 'À charmer. ')",1.62,Substitution
119,,"('#nigaudin', ""Je sens quelquefois des convulsions de bravoure que je ne saurais retenir. J'étais né pour la guerre : mais mon père, voyant que j'avais trop d'esprit pour ce métier-là, me mit dans notre présidial de Beauvais, et m'acheta une charge d'assesseur.  Il tousse. "")",1.0,Deletion
120,"('#pierrot', ""Pour des ducats, on en dérobe. J'ai et bonne main et bon cour, Enfin déjà je suis à moitié Procureur. J'ai beaucoup de babil, bon port, belle prestance À moins on peut être avocat. J'ai de la gravité, je ronfle à l'audience ; Et de bien plus d'un magistrat C'est-là toute la science."")","('#colombine', ""Ah, monsieur l'assesseur !  Si vous débrouillez aussi bien un procès que vous savez vous faire jour dans un coeur, que vous êtes un juge éclairé !"")",0.1,Substitution
121,,"('#nigaudin', ""Tout franc, mademoiselle, je ne me plains pas de mes lumières, et je vous avoue que j'ai une pénétration d'esprit qui me surprend quelquefois.  Je jugeai dernièrement un gros procès à l'audience, dont je n'avais pas entendu un mot. "")",1.0,Deletion
122,,"('#colombine', 'Pas un mot !  Et comment avez-vous pu rendre la justice ? ')",1.0,Deletion
123,"('#arlequin', ""Oui, mais ces gens de robe époux, Manants, sont moins heureux que vous. Chez vous, femme, mari, chacun fait sa besogne. L'homme fait des fagots, la femme des balais. Mais ces pauvres robins s'échauffent au Palais, Tandis que leurs moitiés dans ce bois de Boulogne Gobent tranquillement le frais."")","('#nigaudin', ""Bon !  Dans tous les procès, il n'y a qu'une routine.  L'une des parties m'avait envoyé un carrosse de cent pistoles, et l'autre deux chevaux gris de six cents écus ; vous jugez bien qui avait le bon droit ? "")",1.19,Substitution
124,,"('#colombine', 'Oh !  Je sais que deux chevaux gris mènent un procès bien rondement. ')",1.0,Deletion
125,,"('#nigaudin', 'Ma foi, vous avez raison ; les chevaux entraînèrent le carrosse.')",1.0,Deletion
126,,"('#le-capitaine', 'Parbleu !  Mon ami, je crois que tu ne me connais pas. ')",1.0,Deletion
127,,"('#colombine', 'Ah, monsieur !  Vous êtes perdu si cet homme-là vous trouve ici. ')",1.0,Deletion
128,"('#pierrot', 'Perrette aura moins de licence Je la tiendrons de près.')","('#nigaudin', 'Comment donc ? ')",1.53,Substitution
129,,"('#colombine', ""C'est un officier qui est jaloux à la fureur ; il a déjà tué cinq ou six hommes pour n'avoir fait que me regarder. "")",1.0,Deletion
130,,"('#nigaudin', 'Cinq ou six hommes !  Voilà qui est bien brutal.  Holà !  Hé, laquais. Il se déshabille, et met son rabat. ')",1.0,Deletion
131,,"('#colombine', 'Hé, que faites-vous, monsieur ?  À quoi vous amusez-vous là ? ')",1.0,Deletion
132,,"('#nigaudin', ""Je sais bien ce que je fais.  Il faudra qu'il soit bien lâche, s'il me bat sans épée.  Pour plus grande sûreté, vite, qu'on me donne ma robe. "")",1.0,Deletion
133,"('#arlequin', ""Mais l'heure d'Audience, Chez les femmes de robe est l'heure du berger."")",,1.0,Insertion
134,"('#pierrot', ""Au diantre donc la robe, il n'y faut plus songer."")","('#colombine', 'Votre robe !  Et où est-elle ? ')",0.63,Substitution
135,,"('#nigaudin', 'Je ne vais jamais sans cela : on ne sait pas ce qui peut arriver. ')",1.0,Deletion
136,,"('#colombine', ""Ah, monsieur !  Ne vous y fiez pas ; vous auriez toutes les robes du Palais sur le corps, qu'il... "")",1.0,Deletion
137,,"('#le-capitaine', 'Par la mort !  Par la tête !  Si tu ne me laisses entrer, je mettrai le feu à la maison. ')",1.0,Deletion
138,,"('#colombine', 'Que je suis malheureuse !  Le voilà qui entre. Tenez, cachez-vous vite sous cette table-là, et ne remuez pas. ')",1.0,Deletion
139,,"('#nigaudin', 'Ah !  Ma maudite toux me va trahir. ')",1.0,Deletion
140,"('#arlequin', ""Non, il vaut encor mieux s'en aller à l'armée, Allons, il faut servir le Roi, Et quand tu porteras le plumet et l'épée, Ah, ta femme ma foi sera bien attrapée Il faudra bien que la rusée T'aime, ou qu'elle dise pourquoi."")","('#le-capitaine', ""Comment !  Mordi, mademoiselle : il est plus difficile d'entrer chez vous que de prendre trois demi-lunes l'épée à la main.  Si vous ne changez de portier, ma foi, il faudra rompre tout commerce avec vous.  Malepeste !  Une cravate de Malines qui n'est plus propre qu'à faire de la charpie !  Voilà qui est fait, je ne rends plus de visites qu'à des portes bâtardes. "")",0.65,Substitution
141,,"('#colombine', ""Monsieur, je suis bien fâchée de l'accident de votre cravate : mais... "")",1.0,Deletion
142,"('#pierrot', ""En effet, la mine guerrière Aux femmes aujourd'hui donne dans la visière. Mais un plumet, une épée à Pierrot ! Moi porter cela ? Quelque sot ! Que porteront les Gentilshommes ?"")","('#le-capitaine', ""Mais, mademoiselle, on est bien aise de conserver le peu qu'on a de linge.  Je suis revenu trente fois de l'assaut en meilleur équipage.  Il est vrai qu'une jolie personne comme vous est un redoutable ouvrage à cornes. Hem, plaît-il ?  Il râpe du tabac ; Nigaudin tousse. "")",0.96,Substitution
143,"('#arlequin', ""Bon, bon ! Dans le siècle où nous sommes, On habille de même et manants et marquis. Tel portait des sabots jadis, Qui porte aujourd'hui l'écarlate. Un homme n'est plus un pied-plat, Dés qu'il n'a plus sa bourse plate. L'argent est gentilhomme, en un mot, entends-tu ?"")","('#colombine', ""Ce n'est rien, monsieur...  Que voilà un habit bien entendu !"")",0.96,Substitution
144,,"('#le-capitaine', ""Je ne suis pas mal fait, oui ; je dois ma taille à une douzaine de bouteilles de vin que je bois réglément par jour : un grand ventre sied bien à la tête d'un bataillon. Ouais !  Qu'est-ce donc que j'entends ?  Nigaudin tousse. "")",1.0,Deletion
145,"('#pierrot', 'Quoi ? Noblesse à présent ne vient pas de vertu ?')","('#colombine', ""Ce n'est rien, vous dis-je.  Voilà vos inquiétudes qui vous prennent ; vous voudriez déjà être hors d'ici, et vous ne songez pas qu'il y a un siècle qu'on ne vous a vu. "")",1.56,Substitution
146,"('#arlequin', ""Hé non, ce n'est plus là sa source. Noblesse en ce pays se tire de la bourse. Oui, la Noblesse vient de là. Cela te semble-t-il étrange ? Pierrot aura pourtant, tout comme le voilà, Des Lettres de noblesse avec Lettres de change. Ainsi tu peux porter arme, et quoi que manant, Tu pourras à ton gré suivre l'arrière-ban. Il fait comme s'il comptait de l'argent."")","('#le-capitaine', ""J'y viendrais plus souvent : mais tout le genre humain y aborde.  Voyez-vous, mademoiselle, je suis le gentilhomme de France du meilleur commerce ; mais, ventrebleu !  Je ne m'accommode point de vos neutralités. "")",1.17,Substitution
147,"('#pierrot', ""Allons donc; aussi bien ces Arriere-Banistes Des morts et des blessés n'emplissent point les listes. Mais comment m'appellera-t-on ? Car Pierrot, ce nom-là n'est point fait pour la Guerre."")","('#colombine', ""Mon_Dieu !  Monsieur, je ménage tout le monde pour des raisons particulières ; mais je sais donner la préférence à qui le mérite.  Je me distingue en voyant des gens de cour ; les officiers me font plaisir ; je trouve des ressources avec les financiers : et pour peu qu'on aime les bagatelles, c'est le moins qu'on puisse avoir que deux ou trois petits abbés dans une maison. "")",1.1,Substitution
148,"('#arlequin', ""Hé tous les jours on change et d'habit et de nom. Pierrot s'appellera le Marquis de la Pierre, Et Perrette ta femme aussi sera Marquise."")","('#le-capitaine', ""Pour les abbés, passe : on sait bien que cette graine-là est nécessaire aux femmes : mais j'enrage de voir à vos trousses un tas de gens de robe, qui sont pour la plupart des croquants, à qui l'esprit n'a été donné que comme le sel aux jambons pour les conserver. "")",1.31,Substitution
149,"('#pierrot', 'Son amour après ça me sera tout acquis ?')",,1.0,Insertion
150,"('#arlequin', 'Non pas. Hé quelle est ta sottise ! Ta femme Marquis ? Tant pis ! Nous voyons tous les jours Marquises et Comtesses, Être aussi mal avecque leurs maris, Que leurs maris sont mal avecque les richesses.')","('#colombine', ""Bon ! L'été les femmes les souffrent faute d'officiers : mais ce sont des oiseaux de semestre qui disparaissent avec les hirondelles.  Et puis les affaires viennent sans qu'on y pense ; on a tous les jours, malgré soi, des procès ; et vous savez qu'auprès d'un juge sensible, l'enjouement d'une jolie femme est toujours la meilleure pièce d'un sac. "")",0.64,Substitution
151,"('#pierrot', ""Comment ? Quand j'irai à l'armée, Que j'aurai vu quelques combats Quand j'aurai bonne renommée, Perrette ne m'aimera pas ?"")","('#le-capitaine', ""Vous voyez entre autres un certain... Trigaudin... Nigaudin ; un petit friquet de chicane.  Par la ventrebleu !  Si jamais je l'y rencontre ; je n'aime pas le bruit, mais assurément je lui couperai les oreilles. Nigaudin tousse, et Colombine tousse aussi, de peur que le Capitaine ne l'entende. "")",1.42,Substitution
152,,"('#colombine', ""Hé !  Fi, monsieur, ne m'en parlez point ; je ne le saurais souffrir : c'est une éponge à sottises. Elle tousse. "")",1.0,Deletion
153,,"('#le-capitaine', ""Qu'avez-vous donc, mademoiselle ?  Vous me paraissez bien enrhumée. "")",1.0,Deletion
154,,"('#colombine', ""Ce n'est rien, monsieur ; on ne peut pas toujours se porter si bien que vous.  Mon_Dieu !  Que vous avez bon visage ! "")",1.0,Deletion
155,"('#arlequin', 'Et quand bien tu ferais mille et mille conquêtes, Quand tu serais le plus grand des guerriers,  Les coiffes rarement épargnèrent les têtes Que Mars a couvert de lauriers.')","('#le-capitaine', ""Je le crois, ma foi, qu'il est hon ; il y a plus de trente ans que je m'en sers jour et nuit ; je ne suis pas comme ces femmes qui le mettent le soir sur leur toilette."")",1.42,Substitution
156,,"('#le-sergent', 'Mon capitaine, ne voulez-vous pas arrêter les parties de ce marchand a fourni les justaucorps de la compagnie ? ')",1.0,Deletion
157,,"('#colombine', ""C'est-à-dire, monsieur le capitaine, que vous ne manquez pas de moyens pour trouver de l'argent. "")",1.0,Deletion
158,"('#pierrot', 'Oh bien, me voilà donc revenu de la gloire.')","('#le-capitaine', ""Je veux être un infâme, si j'ai le premier sou pour faire ma compagnie : ce qui me console, c'est que je dois beaucoup.  Allons, tirez.  Allons, tirez.  Pour une demoiselle, il me semble que vous avez là un vilain mâtin sous votre table.  Il écrit, et sent quelque chose sous la table. "")",1.28,Substitution
159,"('#arlequin', ""Veux-tu, Pierrot, veux-tu m'en croire ?"")","('#colombine', 'Vous rêvez, je crois, avec vos mâtins. ')",1.39,Substitution
160,,"('#le-capitaine', ""Brin-d'amour ?"")",1.0,Deletion
161,,"('#le-sergent', 'Mon capitaine. ')",1.0,Deletion
162,,"('#le-capitaine', 'Chassez-moi ce chien de dessous cette table. ')",1.0,Deletion
163,,"('#le-sergent', 'Allons, tirez ; à la paille.  Nigaudin sort.')",1.0,Deletion
164,"('#pierrot', 'Hé bien ?')","('#le-capitaine', ""Oh, oh !  Mon petit ami, et que faites-vous donc ici, s'il vous plaît ? "")",0.93,Substitution
165,,"('#nigaudin', 'La Violette, laquais, prenez ma robe. ')",1.0,Deletion
166,"('#arlequin', ""Reste manant, et retourne chez toi.  Il est dans le monde je crois, Bien plus d'un doux et bon ménage. Mais il en est bien moins à Paris qu'au village. Crois-moi, in vino veritas.  Il boit."")","('#le-capitaine', 'Mon petit ami, si vous ne dénichez au plus vite, je vous ferai amoureusement descendre par la fenêtre. ')",1.37,Substitution
167,"('#pierrot', ""Moi retourner aux champs ? Je ne le ferai pas. Car encore à Paris, si ma femme est un diable, Et s'il faut que j'y sois un mari misérable, J'aurai de quoi me consoler En voyant partout mon semblable. Mais il est temps de m'en aller. Serviteur."")","('#colombine', ""Monsieur le capitaine, vous êtes un extravagant de vous emporter sans raison.  N'ai-je pas fait mon devoir de faire cacher monsieur pour vous épargner du chagrin ?  Tant pis pour vous, si vous allez chercher où vous n'avez que faire. Et vous, monsieur, de quoi vous avisez-vous de faire du bruit mal à propos ?  Il n'y a qu'un homme de robe et officier d'un présidial capable de tousser quand on le cache sous une table.  Puisque vous avez fait la sottise, démêlez la fusée comme il vous plaira.  À Nigaudin.  Elle sort. "")",0.73,Substitution
168,"('#arlequin', 'Mais avant de remettre en chemin, Tiens, sable ce verre de vin. Cela, dit-on, avise bien un homme.')","('#nigaudin', ""Adieu, monsieur ; nous ne serons pas toujours seul à seul ; et s'il vous tombe jamais quelque décret sur le corps, je vous apprendrai ce que c'est que de scandaliser un juge chez des femmes."")",1.5,Substitution
169,,"('#le-capitaine', 'Va, va, petit regrattier de la justice, je me moque de toi et de tes décrets ; je suis en garnison dans une bonne citadelle. ')",1.0,Deletion
170,"('#pierrot', ""Non, je veux, vous dit-on, être dépaysé. Et que je boive ou non, je suis tout avisé. Un bourgeois et moi, c'est tout comme."")","('#nigaudin', ""On ne traite pas comme cela un conseiller assesseur, et je m'en plaindrai à votre citadelle.  Ils sortent l'un d'un côté et l'autre de l'autre. "")",1.13,Substitution
171,,"('#pierrot', ""Monsieur, je viens de chez votre notaire ; il vous prie bien fort de l'excuser ; il ne saurait venir aujourd'hui. "")",1.0,Deletion
172,,"('#trafiquet', ""Il faut prendre patience, pourvu qu'il vienne demain. "")",1.0,Deletion
173,,"('#pierrot', ""Ni demain non plus : il lui est survenu une petite affaire ; je ne crois pas qu'il puisse venir si tôt. "")",1.0,Deletion
174,,"('#trafiquet', 'Et quelle est donc cette affaire ? ')",1.0,Deletion
175,"('#arlequin', ""Hé bien donc, à votre santé.  Il boit, et Pierrot s'en va."")","('#pierrot', ""C'est, monsieur, qu'il est mort. "")",1.49,Substitution
176,,"('#trafiquet', ""Il est mort !  Tu as raison ; je ne crois pas qu'il revienne de longtemps. C'est bien dommage ; c'était le seul honnête homme de notaire que j'aie encore trouvé.  Hé !  Dis-moi, as-tu des nouvelles de notre homme ? "")",1.0,Deletion
177,"('#mezzetin', ""Vive le Bois_de_Boulogne, Vive tous ces tapis verts, Où l'on vient rougir sa trogne, Et voir la feuille à l'envers ! C'est dans ce lieu délectable, C'est dans ce charmant séjour, Que les plaisirs de la table Font venir ceux de l'amour. Courage, Camarade !  Voici les restes de la collation que je viens partager avec toi.  Allons, buvons, mangeons, rions, chantons."")","('#pierrot', ""Ho !  Oui, monsieur ; pour celui-là, on m'a dit qu'il était arrivé par le poulailler du Maine, et qu'il demeurait tout rasibus de chez nous. "")",1.12,Substitution
178,"('#arlequin', ""À juger de la collation par ces restes, elle était somptueuse, et je crois qu'il fera peu resté de cruauté à celle à qui on l'a donnée."")","('#trafiquet', ""Le ciel en soit loué !  Je me déferai peut-être à la fin de ma fille, et je ne verrai plus dans ma maison des animaux de toute sorte d'espèces, et particulièrement cette assemblée de femmes, ou plutôt cette académie de folles qui s'y tenait. "")",1.32,Substitution
179,"('#mezzetin', ""Tout doux.  Cette maîtresse-ci, non plus que sa suivante, n'est pas de même étoffe que les autres, et mon maître et moi ne soupirons aujourd'hui qu'à bon escient et pour le mariage."")","('#pierrot', ""Tout franc, monsieur, je commençais à être bien las de toutes ces visageresses, et j'étais résolu de prendre mon congé ou de vous donner le vôtre.  Mais, monsieur, je voudrais bien vous lâcher un petit mot, tandis que je sommes sur la chose du mariage. "")",0.74,Substitution
180,"('#arlequin', ""Hé oui, pour un mariage du Bois_de_Boulogne, n'est-ce pas ?  Allons, buvons à ce bon mariage."")",,1.0,Insertion
181,"('#mezzetin', ""Tu railles, mais je parle sérieusement, et dès aujourd'hui..."")",,1.0,Insertion
182,"('#arlequin', 'Mon_Dieu !  Je connais ton maître ; et Monsieur_Calmar, te dis-je, est un de ces Calmars qui ne veulent épouser que la débauche.')","('#trafiquet', 'Parle, Pierrot ; que me veux-tu ? ')",1.18,Substitution
183,"('#mezzetin', 'Non encore un coup, nous allons faire divorce avec elle.  Il faut finir, et tu vas perdre en nous une bonne pratique.')","('#pierrot', 'Monsieur, regardez-moi bien ; tel que vous me voyez, je me vais marier. ')",1.62,Substitution
184,"('#arlequin', ""Bon, bon !  Quand ton maître serait assez fou pour se marier tout de bon, serait-il plutôt infidèle au Fiacre et à toutes ses petites maîtresses qu'à sa femme ?"")","('#trafiquet', 'Toi, te marier !  Es-tu fou ? ')",0.45,Substitution
185,"('#mezzetin', ""Assurément, et mon maître et moi nous vivrons avec nos petites femmes comme s'il n'y avait qu'elles de femmes au monde."")",,1.0,Insertion
186,"('#arlequin', ""Quoi ?  Monsieur_Calmar, par exemple, ne se promènera plus, ne s'enivrera plus, et ne se perdra plus dans le Bois_de_Boulogne qu'avec sa femme ?"")","('#pierrot', ""Ce qui me console ; monsieur, c'est que celle que j'épouse est aussi folle que moi. "")",1.07,Substitution
187,"('#mezzetin', ""Non, qu'avec sa femme."")","('#trafiquet', 'Et qui est donc cette malheureuse-là ? ')",1.68,Substitution
188,,"('#pierrot', ""Oh !  Monsieur, vous la connaissez bien ; c'est... mademoiselle votre fille. "")",1.0,Deletion
189,,"('#trafiquet', 'Ma fille ?  Ma fille Colombine ? ')",1.0,Deletion
190,,"('#pierrot', ""Vraiment, monsieur, cela est tout prêt ; on n'attend plus que votre consentement et le sien. "")",1.0,Deletion
191,"('#arlequin', ""Monsieur_Calmar ne donnera plus de rendez-vous aux Quinze-vingts, au Palais-Royal, ni de fêtes au Grand_Turc et à Picpus qu'à sa femme ?"")","('#trafiquet', ""Je ne sais, maraud, à quoi il tient que je ne t'assomme de coups. "")",1.5,Substitution
192,,"('#pierrot', ""Mais, monsieur, il ne faut pas se fâcher ; cela n'est pas si inégal.  Je suis un garçon, une fois, et elle est une fille ; et puis, monsieur, je ne sais ce que c'est que de faire le blêche : vous me donnez quinze écus par an ; j'aime mieux n'en gagner que dix et être votre gendre.  Voilà comme je parle, moi. "")",1.0,Deletion
193,"('#mezzetin', 'Non.')","('#trafiquet', 'Et moi, voilà comme je réponds. ')",1.33,Substitution
194,,"('#pierrot', ""Eh !  Fi donc, monsieur ; est-ce comme ça qu'on parle de mariage ?"")",1.0,Deletion
195,,"('#pierrot', ""Tenez, voilà votre diable de bailli ; est-ce qu'il est mieux fait que moi ? "")",1.0,Deletion
196,"('#arlequin', ""Monsieur_Calmar ne se fera plus enfermer la nuit aux Tuileries, et n'en sortira plus par dessus l'impériale d'un carrosse qu'avec sa femme ?"")","('#arlequin', ""Je crois, monsieur, que vous avez plus d'impatience de me faire votre gendre, que je n'en ai de vous voir mon beau-père.  Vous avez une fille : ergo vous êtes pourvu d'une drogue dont vous voudriez être défait ; car une fille, c'est une fleur qui se fane, si elle n'est cueillie dans sa saison ; c'est un quartaut de vin de Champagne qui jaunit, s'il n'est bu dans sa primeur. "")",1.55,Substitution
197,"('#mezzetin', 'Non.')","('#pierrot', ""Monsieur du quartaut, vous n'en aurez peut-être que la baissière. "")",1.46,Substitution
198,"('#arlequin', ""Et Monsieur_Calmar ne meublera plus de chambres à Paris, et n'en louera plus à la campagne que pour les éclipses de sa femme ?"")",,1.0,Insertion
199,"('#mezzetin', ""Non, non, non.  Mon maître, redis-je, ne connaîtra, ne verra et n'aimera que sa femme.  Mais paix.  J'entends la voix je crois de celle qui doit être la mienne.  Oui, c'est Colombine elle-même."")","('#trafiquet', ""J'espère, monsieur, que vous ne vous repentirez pas de l'affaire que vous faites ; car je puis vous assurer que je vous livre une fille toute neuve, et qui vous fera dans la suite un très bon usé. "")",1.16,Substitution
