,biancolelli-ecole-galante,dufresny-depart-des-comediens,Cost,Operation Type
80,"('#spinette', ""Par où donc, cher Octave, ai-je pu vous déplaire ? Pour vous tant allarmeR que me voyez-vous faire ? Du matin jusqu'au soir je suis dans la Maison ; Quand vous me soupçonnez vous n'avez pas raison ; A de pareils discours je ne puis rien comprendre. Elle pleure."")","('#pierrot', 'Et moi chez une femme.')",1.37,Substitution
81,"('#octave', 'Tu pleures ? ')",,1.0,Insertion
82,"('#scaramouche', ""Oui, Monsieur ; c'est que j'ai le coeur tendre."")",,1.0,Insertion
83,"('#octave', 'Daignez sécher les pleurs qui coulent de vos yeux.')",,1.0,Insertion
84,"('#scaramouche', ""Monsieur, jusqu'à demain nous pleurerons tous deux ; Aussi pour quoi lâcher le robinet des larmes : Que de beaux yeux en pleurs ont d'agréables charmes !"")",,1.0,Insertion
85,"('#spinette', ""De moi, je le vois bien, vous faites peu de cas, Vous me grondez toujours, et vous ne m'aimez pas."")",,1.0,Insertion
86,"('#octave', ""Pardonnez-moi Spinette, et croyez que mon âme Saura brûler pour vous d'une éternelle flamme, Belle, vous me voyez soumis à vos genoux..."")",,1.0,Insertion
87,"('#spinette', 'Dites moi donc, Monsieur quand nous marierons-nous ? Mon père est bien méchant, vous aurez de la peine À gagner son esprit.')",,1.0,Insertion
88,"('#octave', ""Non, vôtre crainte est vaine, Il faudra qu'il consente, et je suis assuré..."")","('#arlequin', 'Fort bien cela.')",1.6,Substitution
89,"('#scaramouche', ""Ah ! Que je serai beau quand j'aurai bien pleuré !"")",,1.0,Insertion
90,"('#spinette', ""Vous m'avez tant de fois promis des sérénades, Quand m'en donnerez-vous ? j'aime fort les aubades."")",,1.0,Insertion
91,"('#octave', 'Ce soir.')","('#colombine', ""C'est une bourgeoise de la rue Saint-Denis."")",1.38,Substitution
92,"('#spinette', ""N'y manquez pas, les filles du quartier Ont toutes ce plaisir, et je dois l'envier, J'aime les instruments on ne peut davantage."")","('#pierrot', ""C'est une bourgeoise de la rue Saint-Denis aussi la mienne."")",1.57,Substitution
93,"('#scaramouche', ""C'est assez là le goût des filles de vôtre âge."")",,1.0,Insertion
94,"('#octave', ""Votre père n'est pas à présent au Logis. Entrons-y."")",,1.0,Insertion
95,"('#spinette', ""Mais par lui si vous étiez surpris, Il me maltraiterait d'une étrange manière."")",,1.0,Insertion
96,"('#octave', ""Entrons sans différer, ne craignez rien ma chère ; Scaramouche aura soin de l'écarter d'ici : Entends-tu ? Ils entrent."")",,1.0,Insertion
97,"('#scaramouche', ""Peste soit de l'amoureux transi : Cet emploi m'est à charge, et ne me convient guère, Tout franc je suis bien las d'un pareil ministère, Moi qui jamais n'ai craint en amour de rivaux, Aujourd'hui l'on m'emploie à garder les manteaux : Mais voici le Docteur. "")","('#colombine', ""On l'appelle madame la marquise d'Argent-filé."")",1.06,Substitution
98,"('#le-docteur', ""Non, je n'y puis suffire : C'est souffrir trop longtemps un rigoureux martyre : Quoi, je ne puis jouir d'un moment de repos ! Le moyen d'écouter tant de fades propos ; L'un me vient aborder, un inconnu m'embrasse, Et cet autre me tient des discours à la glace : Comment vous portez-vous ; que dit-on de nouveau, Pour aller prendre l'air le temps est assez beau. L'un parle de sa voix, et l'autre de sa danse ; Celui-ci prend le soin de vanter ma science : De pareils entretiens ne me conviennent pas, Peste des importuns, j'en trouve à chaque pas : Horace avait raison d'en craindre la poursuite, Et de fuir avec soin cette race maudite ; Et le plus sûr moyen de fuir tous ces fâcheux, C'est d'entrer au Logis, et de m'éloigner d'eux. "")",,1.0,Insertion
99,"('#octave', ""Hé bien puis-je sortir, et n'ai-je rien à craindre ?"")",,1.0,Insertion
100,"('#scaramouche', ""Le Docteur est bien loin, et j'ai su le contraindre A partir de ces lieux en le chargeant de coups, De peur qu'il ne revienne, allons, retirez-vous."")",,1.0,Insertion
101,"('#argentine', ""Que l'état d'une fille est triste et déplorable ! Lors qu'en proie aux rigueurs du destin qui l'accable, Elle doit obéir, et que son coeur gêné, À fuir un doux penchant est enfin condamné. Non, je ne puis subir cette loi tyrannique."")",,1.0,Insertion
102,"('#leandre', ""Il faut pour m'égayer que je mette en pratique  La leçon qu'Arlequin m'a tracée en ces lieux. Que vois-je ! Quel objet se présente à mes yeux ! Je vais, comme il m'a dit, me camper devant elle D'un air de petit Maître, et sourire à la belle. Bon, j'en fuis aperçu, tout va bien jusqu'ici ; Jouons de la prunelle en amoureux transi, Lançons-lui tendrement une oeillade engageante, Pour la faire bien-tôt répondre à mon attente : Ce soupir plein de feu va la déterminer ; J'ai commencé l'ouvrage, il faut le terminer : Je dois mordre mon gant ; elle se met à rire, Je crois que j'obtiendrai tout ce que je désire. Madame, permettez que ma naissante ardeur Éclate, et que le feu qui dévore mon coeur Se découvre à vos yeux, puis qu'eux seuls l'ont fait naître. Il est trop violent pour craindre de paraître, Et jusques au tombeau je prétends vous aimer, Ma belle à vôtre tour laissez-vous enflammer ; Et pour prix de l'ardeur qui prés de vous m'arrête, J'ose vous demander en grâce un tête à tête. Qui ne dit mot consent ; elle l'accordera, Et je suis déjà sûr d'avoir l'et cetera. Il se campe devant la fenêtre, et se donnant des airs. Il s'approche après avoir fait tout ce qu'il a dit ci-dessus. À part."")","('#pierrot', ""D'Argent-filé ?  C'est justement la mienne."")",1.46,Substitution
103,"('#argentine', ""Un tel aveu, Monsieur, a lieu de me confondre ; Vous m'embarrassez fort, je ne sais que répondre ; Cependant je veux bien vous dire ingénument Qu'en cet instant mon coeur goûte un plaisir charmant ; Et comme je voudrais éviter l'esclavage, Pour me soustraire au joug d'un fatal mariage, Où prétend me soumettre un jaloux odieux ; Je braverais pour vous ses transports furieux ; Mais je crains de former une vaine espérance."")",,1.0,Insertion
104,"('#leandre', ""Non, non, assurez-vous de ma persévérance ; Jusques à ce moment j'ai méprisé l'amour, Mais je vois qu'à ce Dieu chacun cède à son tour. Vous seule êtes l'objet de ma première flamme, Et vous avez enfin triomphé de mon âme : Pour vous faire échapper aux rigueurs du jaloux, Les plus affreux périls me sembleront trop doux,"")",,1.0,Insertion
105,"('#argentine', ""Que mon sort serait beau, si vous étiez ; sincère ! Mais je n'ose penser..."")",,1.0,Insertion
106,"('#leandre', ""N'en doutez point ma chère."")",,1.0,Insertion
107,"('#argentine', ""Hé bien, s'il est ainsi, je vous attends demain, Pour vous communiquer en secret mon dessein ; Ensemble nous prendrons des mesures certaines, Pour entrer dans vos fers, je briserai mes chaînes. Je crains que mon jaloux ne vous trouve en ce lieu, Il faut vous retirer."")","('#colombine', 'Comment maraud, tu vas sur mes brisées ?')",1.16,Substitution
108,"('#leandre', 'Vous me quittez.')",,1.0,Insertion
109,"('#argentine', 'Adieu.')","('#pierrot', ""C'est toi qui vas sur mon marché."")",1.49,Substitution
110,"('#leandre', 'Déjà...')",,1.0,Insertion
111,"('#argentine', 'Dans un moment il doit ici se rendre ; Dites-moi votre nom.')",,1.0,Insertion
112,"('#leandre', ""On m'appelle Léandre."")","('#colombine', 'Tu es un flagorneur.')",1.66,Substitution
113,,"('#pierrot', 'Tu es une chercheuse...')",1.0,Deletion
114,"('#argentine', ""C'en est assez, Léandre, il ne tiendra qu'à vous De posséder ma main en qualité d'époux."")","('#arlequin', 'Là, là, là, doucement.')",1.12,Substitution
115,"('#leandre', ""Ah ! Puisqu'à vous aimer mon coeur se détermine, Apprenez-moi du moins vôtre nom."")","('#pierrot', ""Madame_la_Marquise m'a choisi à la mine, et elle m'a distingué par la propre personne. \n"")",1.12,Substitution
116,"('#argentine', ""Argentine, Mon cher Léandre, adieu, j'attends vôtre retour, Songez au rendez-vous accordé par l'amour."")","('#colombine', ""Et moi, j'y suis entrée de la main d'un joli homme."")",1.21,Substitution
117,"('#leandre', ""Quel changement soudain ! je me vois sans défense, Qu'êtes-vous devenue heureuse indifférence ! Quoi l'amour à ses lois a soumis ma raison ! J'ai pris, je le vois bien, du goût à la leçon ; Et ce Dieu tout_à_coup s'est vengé sur moi-même, Du mépris que j'ai fait de son pouvoir suprême. "")",,1.0,Insertion
118,"('#scaramouche', ""Préludez s'il vous plaît, Messieurs du Violon, Et faites de Musique un joli carillon. Les Symphonistes jouent une Ritournelle."")",,1.0,Insertion
119,"('#la-chanteuse', ""Un amant soumis à vos lois, Languit pour vous, belle Spinette ; Il brûle d'une ardeur parfaite, Et n'a pu faire un plus beau choix. Il cherche sans cesse à vous plaire. Ah ! daignez répondre à ses feux ! Si vous voulez le rendre heureux, Il n'aura plus de voeux à faire. "")",,1.0,Insertion
120,"('#le-docteur', 'Que font ces insolents plantez devant ma porte, Je veux les étriller, mais de la bonne sorte.')",,1.0,Insertion
121,"('#arlequin', ""Messieurs les amoureux, je vais vous régaler, Et bientôt de ces lieux vous faire détaler. Arlequin et le Docteur frappent sur tous les Valets qui se défendent, et font un, combat fort plaisant : le Docteur dans l'obscurité de la nuit frappe sur Arlequin, Arlequin en-fait de même, et après plusieurs lazzi entre Scaramouche, le Docteur, Arlequin, et les Valets, le premier Acte finit par uns Danse de quatre valets."")","('#arlequin', ""Hé bien, vous la servirez tous deux.  C'est ton avantage, Colombine : et quand une dame a un valet de chambre, le service se fait mieux : la maîtresse est toujours de bonne humeur, et la fille de chambre est moins grondée."")",1.23,Substitution
122,"('#mezzetin', ""Vive le jus de la treille Pour dissiper le chagrin : Lorsque je tiens ma bouteille, Je goûte un heureux destin. J'aime mieux rougir ma trogne Qu'aimer un objet charmant : Rien n'inquiète un ivrogne, Et tout alarme un amant. Ma foi c'est un plaisir de chanter et de boire, Le joyeux Mezzetin en fait toute sa gloire ; Fi de ces amoureux languissants et transis, Qu'accompagnent toujours les peines, les soucis ; Pour moi, grâces au Ciel, je n'ai point le coeur tendre, Dans ses filets tendus l'amour ne peut me prendre : J'incague son pouvoir, je me ris de ses traits, Et le Cabaret seul a pour moi des attraits. Je m'enivre souvent, et je suis un bon drille, Je fume quelquefois, je joue à Briscambille ; En moi d'un bon grivois on peut voir le portrait, Je suis sur mon honneur un Lyonnais parfait. Je voudrais bien savoir où s'est fourré mon Maître... Mais le voici qui vient, et je le vois paraître."")","('#pierrot', ""Oui-da, il y a moyen de s'accommoder, aussi bien tu es délicate et fluette, tu ne peux pas tout faire : et je servirai, moi, pour la grosse besogne."")",0.88,Substitution
123,"('#leandre', ""Étrange état d'un coeur que l'amour a soumis ! De trouver du repos il ne m'est plus permis."")",,1.0,Insertion
124,"('#mezzetin', 'Monsieur...')",,1.0,Insertion
125,"('#leandre', ""Loin de l'objet de ma nouvelle flamme Je ne puis vivre en paix, tout agite mon âme."")",,1.0,Insertion
126,"('#mezzetin', 'Monsieur...')",,1.0,Insertion
127,"('#leandre', 'À le revoir je borne tous mes voeux, Et son aspect charmant peut seul me rendre heureux.')",,1.0,Insertion
128,"('#mezzetin', 'Monsieur...')",,1.0,Insertion
129,"('#leandre', ""Ah ! Mezzetin que j'ai d'inquiétude ! L'amour me fait souffrir le tourment le plus rude."")",,1.0,Insertion
130,"('#mezzetin', 'La soif me désespère et me fait enrager.')",,1.0,Insertion
131,"('#leandre', 'Je cherche un beauté... ')",,1.0,Insertion
132,"('#mezzetin', 'Moi je cherche à manger.')","('#colombine', 'Tu serviras donc à la cuisine ?')",1.06,Substitution
133,"('#leandre', ""Non, rien n'est comparable aux attraits d'Argentine."")",,1.0,Insertion
134,"('#mezzetin', ""Non, rien n'est plus charmant qu'une grande Cuisine."")","('#pierrot', ""Oh, il n'y a point de cuisine chez cette marquise-là."")",0.58,Substitution
135,"('#leandre', 'Et le coeur le plus fier doit enfin lui céder.')",,1.0,Insertion
136,"('#mezzetin', ""Oui, je voudrais toujours m'emplir et me vider."")",,1.0,Insertion
137,"('#leandre', 'Que dis-tu, Mezzetin, et quel est ce langage ?')",,1.0,Insertion
138,"('#mezzetin', ""Pour moi le mot d'amour est un sensible outrage, Parlez plutôt de boire, est-il rien de plus doux Qu'un son harmonieux d'agréables glouglous ? Rien ne peut approcher de cette mélodie."")",,1.0,Insertion
139,"('#leandre', ""Je croyais sans aimer passer toute ma vie ; Mais depuis que j'ai vu l'objet qui m'a charmé, Mon coeur indifférent s'est d'abord enflammé : Pour ne pas l'adorer ma Maîtresse est trop belle, Je dois dans un moment m'introduire chez elle ; Tu pourrais interrompre un si doux entretien, Retire-toi d'ici."")",,1.0,Insertion
140,"('#mezzetin', ""Ma foi je le veux bien ; Vous n'avez qu'à jaser, et conter la fleurette, Moi, je vais chez Muri boire la chopinette. Il s'en va."")","('#arlequin', ""C'est-à-dire que chacun porte son plat, et qu'on fait tout cuire en ville."")",1.72,Substitution
141,"('#leandre', ""Voici l'heure, je pense, où je dois lui parler. Je suis bien amoureux, à ne le point celer ! Parbleu, c'est tout de bon ; mais j'aperçois mon maître. Comment, cher Arlequin, pourrai-je reconnaître Votre bonté pour moi, vos soins officieux ? Il court au-devant d'Arlequin, et l'embrasse."")","('#pierrot', ""J'aurais envie d'être portier, j'ai étudié pour cela : car un jour dans notre village, il me prit de quitter la robe pour l'épée ; j'étais bedeau, je me fis suisse. \n"")",1.21,Substitution
142,"('#arlequin', ""Croyez, mon cher enfant, que j'ai fait de mon mieux : Avez-vous profité d'une leçon fi belle ? Vous étiez à l'amour terriblement rebelle."")","('#colombine', ""Si tu étais portier, tu emporterais tout le profit ; la porte d'une coquette est aussi lucrative que celle d'un juge."")",0.86,Substitution
143,"('#leandre', ""Ami, ce temps n'est plus, mon coeur est bien changé, Et dans d'aimables fers il se trouve engagé. J'ai suivi bien à point vôtre douce maxime : C'était contre l'amour commettre un trop grand, crime, Que de ne pas céder à des appas vainqueurs, Et je suis revenu de mes vaines erreurs."")","('#arlequin', ""Vous pouvez partager l'emploi ; car chez les coquettes il doit toujours y avoir deux portes et deux escaliers.  Pendant que l'un entre par celle-ci, l'autre sort par celle-là."")",1.35,Substitution
144,"('#arlequin', ""Ah ! que j'en suis ravi, voila ce qui s'appelle, À voir un écolier et soumis, et fidèle ; Je suis trop satisfait que ma sage leçon Ait fait en peu de temps un élève si bon.  Çà ne me cachez rien, la belle s'est rendue ? Parlez, qu'avez-vous fait depuis nôtre entrevue ?"")","('#colombine', ""Mais le profit n'est pas égal : car celui qui entre, et qui meurt d'envie de voir Madame, paye grassement ; mais celui qui sort, voudrait souvent retenir ce qu'il a donné en entrant."")",0.65,Substitution
145,"('#leandre', ""J'ai d'abord pratiqué ce que vous m'avez dit : Vos préceptes étaient gravez dans mon esprit. Ainsi je ne pouvais qu'à mon grand avantage Appliquer la leçon que j'ai mise en usage. Un objet tout charmant s'est offert à mes yeux, Cette jeune beauté loge prés de ces lieux, Elle est, je l'avouerai, tout à fait engageante ; La Belle a répondu sans peine à mon attente, Pour la mieux amorcer j'ai d'abord employé, Les soupirs, les regards, je n'ai rien oublié : Enfin dans un moment je dois entrer chez elle."")","('#arlequin', ""Cela est vrai.  Tel donne en entrant chez une coquette, qui aurait besoin qu'on lui donnât en sortant. \n"")",0.6,Substitution
146,"('#arlequin', 'Dites-moi donc comment le nomme cette belle.')",,1.0,Insertion
147,"('#leandre', 'Son nom est Argentine.')",,1.0,Insertion
148,"('#arlequin', 'Ha ! Que me dites-vous ?')",,1.0,Insertion
149,"('#leandre', ""Elle est entre les mains d'un brutal, d'un jaloux Qu'elle ne peut souffrir, et que son coeur déteste."")",,1.0,Insertion
150,"('#arlequin', ""Oh ! pour le coup j'en tiens, il m'a donné mon reste, L'ai-je bien entendu ? Peste de la leçon, Peut-être il s'est mépris, et quelle est sa Maison ?"")","('#colombine', ""Il n'y a qu'un mot qui serve.  Si tu veux, nous partagerons les profits et le service.  Je présiderai aux conversations secrètes ; toi, tu porteras les billets.  Je veillerai le jour..."")",0.82,Substitution
151,"('#leandre', ""C'est là."")",,1.0,Insertion
152,"('#arlequin', 'Vous vous trompez.')",,1.0,Insertion
153,"('#leandre', ""Non : c'est là sa demeure."")",,1.0,Insertion
154,"('#arlequin', ""C'est peut-être plus bas."")",,1.0,Insertion
155,"('#leandre', ""Non Monsieur, où je meure. C'est ici. Il touche avec la main la maison d'Argentine."")",,1.0,Insertion
156,"('#arlequin', ""Juste Ciel ! je n'en dois plus douter, Il a de me leçon su trop bien profiter. Ce Diable d'écolier en sait plus que le Maître."")",,1.0,Insertion
157,"('#leandre', ""Dans un moment j'espère encore la mieux connaître : Son jaloux est dehors, elle m'introduira Dans son appartement."")",,1.0,Insertion
158,"('#arlequin', ""Gare l'et cetera."")",,1.0,Insertion
159,"('#leandre', ""Si vous vouliez Monsieur pour couronner l'ouvrage, Entrer chez me Maîtresse, et voir si ce sauvage, N'est point dans le Logis, vous m'obligerez fort. Ne refusez donc pas de servir mon transport : Vous êtes si zélé, d'une humeur si traitable !"")",,1.0,Insertion
160,"('#arlequin', ""Que j'ai lieu d'espérer... Ce serait bien le Diable, Cet ouvrage sans moi saura se terminer, Et vous allez, Monsieur, bien-tôt le couronner."")",,1.0,Insertion
161,"('#leandre', ""Quoi, vous ne voulez pas ? Votre refus m'offense."")",,1.0,Insertion
162,"('#arlequin', 'Non, ma foi, je ne puis le faire en conscience, Adieu.')",,1.0,Insertion
163,"('#leandre', 'Vous me quittez ; Ah ! restez en ces lieux, Pour voir.... ')",,1.0,Insertion
164,"('#arlequin', ""Je ne suis pas à présent curieux. Ah ! Maudit écolier ! que la peste te crève. Qui l'eût jamais pensé : j'ai fait une bel élève ; Mais je veux à l'écart observer tout ceci. Il se retire."")",,1.0,Insertion
165,"('#leandre', ""Qu'elle tarde à venir, juste Ciel ! La voici."")",,1.0,Insertion
166,"('#leandre', ""C'est donc vous ? Argentine, enfin vôtre présence Satisfait aux transports de mon impatience. Je vous vois, et je suis parfaitement heureux."")",,1.0,Insertion
167,"('#argentine', ""Au plaisir d'être à vous je borne tous mes veux : Vous seul pouvez parer le coup qui me menace, Et me faire éviter une affreuse disgrâce ; Je ne puis consentir d'épouser un magot."")",,1.0,Insertion
168,"('#arlequin', 'Comme elle me connaît ! Que je suis un grand sot ! Ne lui devrais-je pas donner une bourrade... Mais non : je suis poltron, et je crains la gourmade.')",,1.0,Insertion
169,"('#leandre', ""Oui, de vôtre jaloux je veux vous délivrer, Ma belle, c'est de quoi je puis vous assurer, Et les noeuds de l'hymen nous uniront ensemble. "")",,1.0,Insertion
170,"('#argentine', ""Ciel ! S'il nous surprenait ! Ah ! Léandre je tremble..."")",,1.0,Insertion
171,"('#leandre', ""Non, non, ne craignez rien, s'il troublait nos discours, Ce serait fait de lui j'abrégerais ses jours."")",,1.0,Insertion
172,"('#arlequin', ""Oh ! vous pouvez parler avec toute assurance, Après l'avoir instruit, la belle récompense !"")",,1.0,Insertion
173,"('#argentine', 'Souhaitez-vous entrer ?')",,1.0,Insertion
174,"('#arlequin', ""Eh non qu'il n'entre pas."")",,1.0,Insertion
175,"('#leandre', ""Belle, je ne veux point vous causer d'embarras, Je vais tout disposer pour nôtre mariage."")",,1.0,Insertion
176,"('#arlequin', ""S'il veut nous nous mettrons tous les deux en ménage, Moi je l'aurai la nuit, et lui l'aura le jour."")","('#pierrot', 'Je dormirai la nuit. \n')",0.63,Substitution
177,"('#argentine', 'Léandre, au nom des Dieux, pressez vôtre retour, Puissent-ils protéger des ardeurs si fidèles !')",,1.0,Insertion
178,"('#leandre', ""Ma chère, de l'amour j'emprunterai les ailes. Pour voler jusqu'à vous, et pour vous garantir..."")","('#colombine', ""J'aurai le profit du jeu, et toi tu fourniras les cartes.  Pour ce qui est des habits, je prendrai les jupes, et tu garderas les manteaux."")",1.21,Substitution
179,"('#argentine', ""Ce n'est pas sans regret que je vous vois partir."")",,1.0,Insertion
180,"('#leandre', 'Tantôt de mon dessein vous serez mieux instruite Et nos amours auront une agréable suite.')",,1.0,Insertion
181,"('#arlequin', ""Hé bien qu'en dirons-nous ! sont-ce là des chansons ! Non pas, voilà l'effet de mes belles leçons, Je m'en suis bien douté, quand cette matinée Je peignais avec soin me tête infortunée : Le peigne ne pouvait entrer dans mes cheveux, J'avais beau le pousser, et peigner de mon mieux, Quelque chose de dur lui faisait résistance ; Il faut pourtant avoir recours à la vengeance : Vite qu'un bon canon, une bombe, un mortier, Une carcasse, enfin un arsenal entier, Punisse ma carogne, et seconde ma rage, Quoi l'on me Vulcanise à la fleur de mon âge ? Ma foi, je suis bien fou de répandre des pleurs : Car si tous las Maris sujets à tels malheurs. Pleuraient amèrement pour pareilles alarmes On ne verrait ici que des yeux plein de larmes. Il pleure à sa manière. Il s'en va."")",,1.0,Insertion
182,"('#le-docteur', ""Je dois pour quelque temps m'absenter du Logis : Le soin de la Maison par moi vous est commis. Balayez bien ma chambre, et songez au ménage, Lorsque je reviendrai que je trouve un potage, Et que la porte soit fermée à double tour, Gardez-vous de l'ouvrir jusques à mon retour."")","('#pierrot', 'Je le veux bien. Pierrot et Colombine se retirent. ')",1.5,Substitution
183,"('#spinette', ""Je vous obéirai : le devoir me l'ordonne. Si quelqu'un vient frapper..."")",,1.0,Insertion
184,"('#le-docteur', 'Ne recevez personne. Faites ce que je dis, restez dans la Maison ; Surtout je vous défends de paraître au Balcon.')",,1.0,Insertion
185,"('#spinette', ""Ferais-je un si grand mal, si pendant vôtre absence Je prenais un peu l'air ; pourquoi cette défense ? Quand je suis seule, hélas ! je m'ennuie a la mort, Et tout le monde dit que vous avez grand tort De me faire subir un si rude esclavage, Et qu'enfin il est temps de me mettre en ménage. Que déjà je devrais être avec un époux, Et que je me pourrais fort bien passer de vous. Car à ce qu'on m'a dit je suis fille nubile Je ne le sens que trop."")",,1.0,Insertion
186,"('#le-docteur', ""Vous faites l'indocile,  Voyez cette morveuse, et ce bel embryon !"")",,1.0,Insertion
187,"('#spinette', ""Je ne mérite pas, mon père, un pareil nom. Vous m'appelez morveuse, et moi je vous assure Qu'on peut cueillir la poire aussitôt qu'elle est mûre, Et qu'il ne tient qu'à moi... suffit, je m'entends bien."")",,1.0,Insertion
188,"('#le-docteur', 'Plaît-il ? Que dites-vous ?')","('#arlequin', ""Et vous monsieur le mystérieux, méditez-vous quelque chose d'utile pour votre fortune ?  Que prétendez-vous faire pour vous enrichir ?"")",0.79,Substitution
189,"('#spinette', 'Qui moi ? Je ne dis rien.')","('#octave', 'Moi ?  Rien.')",0.59,Substitution
190,"('#le-docteur', ""Taisez-vous, je suis las d'entendre ce langage, Un semblable entretien, et m'échauffe, et m'outrage, Songez à m'obéir en tout ce qui me plaît, Ou vous m'obligerez à vous donner le fouet."")",,1.0,Insertion
191,"('#spinette', 'Ne vous emportez pas, je crains vôtre colère, Mon cher petit papa.')",,1.0,Insertion
192,"('#le-docteur', ""Ma foi l'on a beau faire Pour gêner un esprit on se fatigue en vain ; Nature est la plus forte et va toujours son train."")",,1.0,Insertion
193,"('#spinette', ""Mon père me contraint et veut me rendre esclave ; Mais il n'en sera rien, si je voyais Octave, Maintenant au Logis je le ferais entrer, Peut-être viendra-t-il, j'ai tout lieu d'espérer ; Je l'aperçois enfin."")",,1.0,Insertion
194,"('#octave', 'Quelle bonne nouvelle ?')",,1.0,Insertion
195,"('#spinette', ""Pour nous voir en secret l'occasion est belle, Mon père de longtemps ne viendra dans ces lieux."")",,1.0,Insertion
196,"('#octave', ""Entrons, et profitons d'un moment précieux."")",,1.0,Insertion
197,"('#le-docteur', ""Je suis bien dissipé, je sors pour une affaire, Et j'oublie au Logis ce qui m'est nécessaire, Un Billet, sans lequel je ne puis recevoir La somme qui m'est due et que je veux avoir.  A mes ordres prescrits ma fille obéissante, Ainsi qu'elle le doit, répond á mon attente : Elle a fermé sa porte. Un père est trop heureux, Quand sa fille veut bien satisfaire à ses voeux ; Et je rends grâce au Ciel, dont la bonté suprême M'a fait naître un enfant d'une sagesse extrême.  Spinette ne sait pas ce que c'est qu'un amant, C'est ce qu'en une fille on trouve rarement ; Mais pour m'ouvrir la porte il faut que je l'appelle : Spinette, hola Spinette ! À présent que fait-elle ? Sans doute elle s'amuse à tricoter un bas, Je suis bien assuré qu'elle ne m'attend pas. En voyant la porte fermée."")",,1.0,Insertion
198,"('#spinette', ""Que deviendrai-je hélas ! Juste Ciel, c'est mon père ! Courage, un stratagème est ici nécessaire. Ah ! Mon père je suis en proie à la douleur, Il vient de m'arriver le plus cruel Malheur... Vous allez à coup sûr me faire une querelle."")",,1.0,Insertion
199,"('#le-docteur', 'Ma fille que dis-tu ?')",,1.0,Insertion
200,"('#spinette', ""Cette robe si belle Que vous prîtes le soin vous-même d'acheter."")",,1.0,Insertion
201,"('#le-docteur', 'Hé bien ?')",,1.0,Insertion
202,"('#spinette', 'Mon cher Papa je viens de la gâter : Elle est toute tachée.')",,1.0,Insertion
203,"('#le-docteur', 'Ô Ciel, est-il possible !')",,1.0,Insertion
204,"('#spinette', ""Jugez à ce malheur si mon coeur est sensible ! Attendez un moment, j'entre pour la chercher, Vous verrez si sans peine on peut la détacher. Elle entre."")",,1.0,Insertion
205,"('#le-docteur', ""Parbleu, je suis touché d'un accident semblable Cette perte est vraiment assez considérable, Et j'en suis pénétré plus qu'on ne peut penser, On n'est pas en état toujours de dépenser. Spinette déploye la robe devant la porte, le Docteur la tient par un bout, et Octave sort par dessous sans que le Docteur le voie."")",,1.0,Insertion
206,"('#spinette', ""Prenez-la par un bout, regardez bien mon père, Pour moi je ne sais pas comment on pourra faire, La tache est grande, et moi je ne saurais penser Que quelque effort qu'on fasse on puisse l'effacer."")",,1.0,Insertion
207,"('#le-docteur', 'Où donc est-elle ?')",,1.0,Insertion
208,"('#spinette', 'Là.')","('#arlequin', 'Rien ?')",0.0,Match
209,"('#le-docteur', ""Tu te moques, je pense Je n'y vois rien."")",,1.0,Insertion
210,"('#spinette', 'Ici.')","('#octave', 'Rien du tout.')",0.63,Substitution
211,"('#le-docteur', ""C'est une extravagance..."")",,1.0,Insertion
212,"('#spinette', ""Ah ! Je sais ce que c'est, je dois me consoler, La tache d'elle-même a voulu s'en aller."")",,1.0,Insertion
213,"('#le-docteur', 'Entrons.')",,1.0,Insertion
214,"('#spinette', ""Je le veux bien, je n'ai plus rien à craindre, Et je puis à présent le voir sans me contraindre, S'il fût entré chez nous sans faire un grand effort, Il aurait découvert la tache tout d'abord."")","('#arlequin', ""Faire rien serait un excellent emploi, s'il y avait des appointements."")",1.74,Substitution
215,"('#arlequin', ""LE dessein en est pris, je vais faire carnage, Rien ne peut modérer ma fureur et ma rage : Il faut que l'infidèle expire sous mes coups, Et qu'elle soit l'objet de mon juste courroux. Je ne puis mieux punir le traître qui m'offense, Qu'en faisant sur sa belle éclater ma vengeance. Allons donc ... mais comment la ferai-je mourir ! Pourquoi m'embarrasser ? Elle a de quoi choisir. D'un coup de Mousqueton si je casse sa tête, Cela lui fera mal ... bon je suis une bête, Je ne puis la tuer et lui faire du bien ; Plutôt avec l'épée ... ah ! cela ne vaut rien, Je pourrais la blesser, la pauvre créature, Puis il faudrait payer les frais de sa blessure. Ne perdons point le temps en discours superflus, Je prétends qu'elle meure, ainsi n'en parlons plus. Hola !"")","('#octave', 'Je ne ferai rien, vous dis-je ; et si, je gagnerai plus que pas un de la troupe.')",0.87,Substitution
216,"('#argentine', 'Que vois-je, ô Ciel ! Que prétendez-vous faire ?')","('#arlequin', 'Apprenez-moi votre secret.')",1.49,Substitution
217,"('#arlequin', ""Rien, je veux vous purger, et vous tirer d'affaire : Hé bien, c'est donc ainsi, Madame la guenon, Que sans avoir égard à l'honneur, au renom, D'un vilain bois de Cerf vous arborez ma tête ? Il faut que vous mouriez, allons êtes-vous prête ?"")","('#octave', ""Je me lèverai tous les jours à dix heures ; et de là jusqu'à midi, je tiendrai conseil à ma toilette sur les ajustements de l'habit du jour."")",0.93,Substitution
