,la-harpe-muses-rivales,cahusac-l-algerien,Cost,Operation Type
147,"('#uranie', ""Ce titre est assez beau ; mais, soit dit entre nous, Croyez-vous donc que Melpomène Ne le réclame pas sur vous ? Pour moi, je ne suis pas si vaine, Et l'austère Uranie aime peu les débats. J'ai mes droits comme une autre, et ne veux rien prétendre. Dans vos rivalités, dans tous ces vains éclats, Je ne veux point me faire entendre. C'est bien assez pour moi, parmi mes favoris, D'avoir jadis compté Voltaire; C'est assez que lui seul, de tant de grands esprits,, De vos dons séduisants et de vos arts épris, Ait pénétré mon sanctuaire. Je marchai, je l'avoue, au devant de ses pas ; J'osai me présenter devant l'auteur d'Alzire , Et je plaçai près de sa lyre Mon astrolabe et mon compas. J'ouvris à ses regards les sphères infinies. Il rencontra Newton dans les hauteurs des Cieux. C'est moi qui rapprochai ces deux vastes génies, Ils s'entretinrent sous mes yeux. J'obtins ma juste récompense. Heureux, d'avoir appris mes immortels secrets, Voltaire à mes leçons prêta son éloquence, Et m'embellit de ses attraits. J'empruntai de ses vers la parure pompeuse. Je parus, étalant des vêtements nouveaux, Et gardant, sous les traits dont m'ornaient ses pinceaux, Une beauté majestueuse. Je ne dus qu'à lui seul ces brillants attribut ; C'est par lui que la Poésie Fit entendre des sons aux mortels inconnus, Et que le voile d'Uranie Devint l'écharpe de Vénus. C'est de ce jour aussi que l'âme de Voltaire S'enflamma pour la vérité ; Et vos illusions, si bien faites pour plaire, N'en effacèrent point la sévère beauté. Il poursuivit Terreur, ce tyran de la terre, Le fanatisme affreux*, par Terreur enfanté Et le malheur et l'innocence Imploraient son génie en leur faveur armée Sa voix osait parler à l'injuste puissance, Et devant l'univers plaidait pour l'opprimé. Grâces à son zèle intrépide, L'esprit des nations, trop longtemps arrêté, A pris un mouvement rapide, Que suivra la postérité. Voilà, voilà, ma soeur, des titres respectables ; Je les rappelle ici sans nulle vanité. Contente de l'utilité, À vos fictions agréables Je ne dispute point leur charme si vanté. Ce n'est pas au pays des fables, Qu'on couronne la vérité. Mais j'aperçois Thalie, et toujours prête à rire."")","('#hassan', ""Eh ! Pourquoi non ? Vous devez me connaître, Fatmé, voyez en moi toujours un tendre ami, Et n'y voyez jamais un maître. Ce Sérail ne vous a causé que trop d'ennui : À tous moments je prétends qu'il vous voie, Ces murs ne sont plus faits, ni pour vous, ni pour lui. Avouez qu'à le voir vous aurez quelque joie ?..."")",0.19,Substitution
148,,"('#clarice', ""Mais... il connaît... ce que j'ai de plus cher ; Et l'amour... du pays...."")",1.0,Deletion
149,"('#thalie', ""Mais je ris volontiers, et c'est assez mon goût ? Les ris, vous le savez, sont nés sous mon empire. La mode, il est vrai, passe, et le temps change tout : On veut me les ôter ; mais vous, par aventure, Étiez-vous toutes deux en contestation Sur le message de Mercure ? Vous parliez avec action. Je ne présume pas, ou je suis fort trompée, Que tout l'art d'Apollon puisse vous accorder. Calliope et Clio, l'Histoire et l'Épopée, Ne font pas d'humeur à céder. Ce n'est pas tout encor, mes soeurs, et Melpomène ? Je crois déjà la voir et l'entendre tonner. Oh ! Vous verrez la bonne scène Que ces débats vont nous donner. Je cherche à m'amuser de tout ce qui se passe ; J'observe et me tiens à l'écart. Le Burin, la Trompette et surtout le Poignard, Vont diviser tout le Parnasse."")","('#hassan', ""Pourquoi vous en défendre. L'amour de la Patrie est un penchant si tendre... On en triomphe à peine, et même dans Alger. Eh ! Le vôtre, Fatmé, pourrait-il me surprendre ? J'ai beaucoup voyagé ; mais de tous les pays, Celui dont mes regards ont été plus ravis' Où toutes les beautés naissent, où vont se rendre, C'est la France, sans doute : elle est à tous égards, Quoiqu'en dise l'envie et malgré son murmure, Le chef_d_oeuvre de la Nature, Et l'heureux asile des arts. Que votre goût pour elle éclate âmes regards. .11 Mon coeur à ses beautés comme vous est sensible."")",0.03,Substitution
150,,"('#clarice', ""Oh ! Le goût que j'éprouve est un goût invincible."")",1.0,Deletion
151,,"('#hassan', 'Vous trouverez d_Oberval bien changé[.]')",1.0,Deletion
152,,"('#clarice', 'Comment donc !')",1.0,Deletion
153,,"('#hassan', ""Son coeur est plongé Dans une amertume terrible : par un coup imprévu la mort l'a séparé D'une Maîtresse aimable, et tendre autant que belle."")",1.0,Deletion
154,,"('#clarice', 'Ah ! Je respire. Il est fidèle.')",1.0,Deletion
155,,"('#hassan', ""Par la douleur son coeur est déchiré : En voyageant il a cru s'en distraire ; Mais les maux de ce caractère Sont pour un coeur sensible aussi longs que cuisants, Son vaisseau dans le port fut poussé par les vents : À son esprit alors l'amitié me rappelle,  Il me fait avertir ; j'accours à la nouvelle.  Jugez de la douceur de nos embrassements : Il est chez moi depuis ; mais à tous les moments, Sa tristesse se renouvelle. Vous verrez ses regrets... Ses pleurs sont si touchants Oh ! Vous aurez pitié de sa douleur mortelle."")",1.0,Deletion
156,"('#uranie', 'La paisible Thalie y prendra peu de part.')","('#clarice', ""Elle s'adoucira, peut-être avec le temps."")",1.18,Substitution
157,"('#thalie', ""Je me rends justice sans peine, Il faut que chacun ait son tour. Ce fut jadis le mien : j'ai régné sur la scène; Mais votre grand Voltaire à ma soeur Melpomène A fait assidûment sa cour. Ce fut par passe-temps qu'il me rendit visite. Je n'en rendrai pas moins hommage à son mérite. J'aime ses Euphémons ; je leur applaudis fort, Et mon ami Préville est charmant dans Friport. Je conserve ses ces fruits de sa plume immortelle. Je conviens qu'avant moi d'autres doivent passer ; Je vous laisse briguer la place la plus belle ; Mais, Nanine à la main, je prétends l'embrasser."")","('#hassan', ""Je Vous laisse... En ces lieux je reviens le conduire : Pour vous faire jouir de son étonnement, J'aurai soin de ne pas l'instruire Que vous le connaissez. L'amitié qui m'inspire Voudrait que tout pour vous devint amusement. En revenant. Il sort."")",0.31,Substitution
158,"('#erato', ""Je cours près d'Apollon me ranger la première ; C'est à lui seul de nous juger. Elle sort."")","('#clarice', ""Ciel, au bonheur que tu me rends, Pourquoi mêler tant de trouble et de crainte ! J'étais maîtresse à peine de mes sens... Mais aux mouvements que je sens Je puis enfin nie livrer sans contrainte."")",0.77,Substitution
159,,"('#isabelle', 'Il est parti. Je guettais le moment. Vous adoucissez-vous ? Êtes-vous moins cruelle ?')",1.0,Deletion
160,,"('#clarice', ""Partagez mes transports... Ah ! Ma chère Isabelle !... Qui pouvait se flatter d'un tel événement !... Quelle joie !... Oui... Je suis dans un ravissement... Tout ce qu'Hassan m'a dit prouve qu'il est fidèle..."")",1.0,Deletion
161,,"('#isabelle', ""Un transport si prompt et si grand, À vous parler vrai me surprend, Sa constance pour vous n'est pas une nouvelle? Vous deviez y compter..."")",1.0,Deletion
162,,"('#clarice', 'Cet agréable instant Est le plus flatteur de ma vie... Vous me voyez transportée et ravie...')",1.0,Deletion
163,,"('#isabelle', ""Eh ! Mais je crois qu'il ne tenait qu'à vous D'avancer un instant si doux, Si vous en aviez bien envie. L'heureux Hassan n'eût point fait le cruel."")",1.0,Deletion
164,,"('#clarice', ""L'heureux Hassan !... Quelle est cette folie ?"")",1.0,Deletion
165,,"('#isabelle', 'Je ne vous blâme point !... Il est fort naturel...')",1.0,Deletion
166,,"('#clarice', ""Qu'a donc Hassan de commun, je vous prie, Avec mes tendres mouvements ?"")",1.0,Deletion
167,,"('#isabelle', ""Oh ! Pour le coup je ne sais que vous dire, 'Sans doute vous voulez sonder mes sentiments ; Mais croyez quelque goût que sa vertu m'inspire, Que je vous vois sans peine achever son bonheur."")",1.0,Deletion
168,,"('#clarice', ""Qui vous parle d'Hassan ? D'où vous vient cette erreur ?"")",1.0,Deletion
169,,"('#isabelle', ""De qui s'agit-il donc ?"")",1.0,Deletion
170,,"('#clarice', 'De d_Oberval sans doute.')",1.0,Deletion
171,,"('#isabelle', ""Est-ce qu'il est ici !"")",1.0,Deletion
172,,"('#clarice', ""Je vous l'ai dit cent fois... Jugez du plaisir que je goûte ? Son coeur est toujours sous mes lois... Il me croit morte, il me pleure sans_cesse. Que j'aurai de plaisir à bannir sa tristesse !... Quelle sera sa joie ! Il va bientôt me voir. Je sens que pour la concevoir, Il faudrait avoir ma tendresse."")",1.0,Deletion
173,"('#uranie', ""Mais, je vais m'informer de notre Messager. Adieu, Thalie. Elle sort."")","('#isabelle', ""Votre bonheur m'étonne autant qu'il m'intéresse ; Mais Hassan sait-il votre amour ? Allez-vous quitter ce séjour ? Expliqués-moi comment ?... Oh bon! Voici Dorise. Les fous sont toujours importuns."")",1.42,Substitution
174,,"('#dorise', ""Le destin qui me favorise Fait pour moi des efforts qui ne font pas communs. Mais il me rend en vain un amant qui m'adore Si vous ne secondez mes voeux, Sans doute Hassan ne me retient encore Que pour vous engager à partager ses feux... Que vous a-t-il appris ? Faut-il que je l'ignore ?"")",1.0,Deletion
175,,"('#isabelle', 'Rien du tout.')",1.0,Deletion
176,,"('#dorise', ""Comment rien !... Pour mon coeur amoureux C'est un coup de poignard."")",1.0,Deletion
177,,"('#clarice', ""Tâchez de m'en défaire. Que lui dirai-je ?"")",1.0,Deletion
178,,"('#isabelle', 'Rien, allez. Laissez-moi faire; Vous croyez donc toujours d_Oberval dans ces lieux ? À Dorise.')",1.0,Deletion
179,,"('#dorise', ""Apparemment, j'en puis croire mes yeux."")",1.0,Deletion
180,,"('#isabelle', ""D'une illusion agréable On a bien de la peine à défendre son coeur, Ce qu'on désire avec ardeur Paraît toujours assez croyable ; Mais on revient bientôt de son erreur, Lorsqu'on comme vous un esprit raisonnable."")",1.0,Deletion
181,,"('#dorise', ""Je vous jure... Eh ! Pourquoi voudrais-je vous tromper ? Je l'ai vu. C'est un fait."")",1.0,Deletion
182,,"('#isabelle', 'd_Oberval?')",1.0,Deletion
183,,"('#dorise', 'Oui. Lui-même.')",1.0,Deletion
184,,"('#isabelle', ""Te conçois aisément qu'un amant que l'on aime Maître de notre esprit doit toujours l'occuper ; Vous avez une âme si tendre ...."")",1.0,Deletion
185,,"('#dorise', ""Vous me connaissez bien. C'est une passion... Une ardeur...."")",1.0,Deletion
186,,"('#isabelle', ""Oh ! La chose est facile à comprendre. Tout doit céder sans doute à cette impression, Et dans tous les objets dont la vue est frappée Le coeur cherche, et croit voir ces traits victorieux ; La voix, l'air, les regards dont l'âme est occupée..."")",1.0,Deletion
187,,"('#dorise', ""Quand vous verriez mon coeur vous n'y liriez pas mieux. Son image me fuit... Je crois toujours l'entendre. Je lui parle..."")",1.0,Deletion
188,,"('#isabelle', ""Et voilà d'où naît l'illusion. L'esprit le plus sensé peut se laisser surprendre, Et l'Amour sait son rôle en trompait la raison ;"")",1.0,Deletion
189,,"('#dorise', 'Son idée en effet est assez vraisemblable, Cependant.... mon erreur serait bien pardonnable.')",1.0,Deletion
190,,"('#clarice', ""J'entends du bruit... Ce sont les Bostangi, Que leurs travaux mènent ici. Ils paraissent déjà. Tâchez de vous contraindre."")",1.0,Deletion
191,,"('#dorise', ""Vous n'auriez qu'à vouloir, nous serions tous heureux, Et c'est vous dans le fond qui me rendez à plaindre."")",1.0,Deletion
192,,"('#isabelle', 'Ils avancent... Soyez plus discrète à leurs yeux.')",1.0,Deletion
193,,"('#dorise', ""Oh ! J'aime trop pour pouvoir feindre : Pourquoi d'ailleurs me cacher devant eux ? Je parle pour leur Maître, et je n'ai rien à craindre."")",1.0,Deletion
194,,"('#osmin', ""Demeurez, aimable Axelie, Puisqu'un heureux hasard nous cache à tous les yeux, Daignez m'apprendre, je vous prie, Quel sera près de vous le succès de mes feux. Votre coeur à la fin d'accord avec mes voeux, Voudra-t-il consentir au bonheur de ma vie."")",1.0,Deletion
195,,"('#axelie', ""Osmin, vous me parlez d'un ton bien langoureux... Je suis vive, gaie et badine ; Si l'amour est si sérieux, À vous parler vrai, j'imagine Que vous êtes loin d'être heureux."")",1.0,Deletion
196,,"('#osmin', ""Je vous rends grâces de m'instruire : Si la gaîté peut gagner votre coeur, C'est mon premier talent, et vous n'avez qu'à dire. Qu'un baiser seulement commence mon bonheur, Et vous verrez si je sais rire."")",1.0,Deletion
197,"('#thalie', ""On vient. À sa démarche altière, Je reconnais Calliope ma soeur. Élie a l'air d'avoir de l'humeur. Clio la suit, et moi, pour achever la scène, Je m'en vais chercher Melpomène, Les mettre aux prises toutes trois. Je ne sais pas pourquoi je ris de leurs querelles ; Car si j'avais les mêmes droits, Ma foi, j'en ferais autant qu'elles."")","('#axelie', ""Oh ! Non pas, s'il vous plaît, je ris sans ce secours. J'aime une gaîté naturelle, Dont la langueur jamais n'interrompe le cours, Qui s'amuse de tout, et qu'un rien renouvelle : La liberté, les biens, les plus tendres amours, Ne sauraient me plaire sans elle."")",0.31,Substitution
198,,"('#osmin', ""Et voilà justement quelle est l'aimable humeur Que donne la Nature aux lieux de ma naissance. Elle aurait dû vous faire naître en France : On pourra réparer peut-être son erreur ; J'en ai du moins quelqu'espérance. Vous connaissez pour moi d'Hassan la confiance : Si je me flattais d'être aimé, D'un projet important que son coeur a formé Je vous ferais la confidence."")",1.0,Deletion
199,,"('#axelie', 'Oh ! Je vous aime assez pour apprendre un secret.')",1.0,Deletion
200,,"('#osmin', ""M'aimez-vous assez pour le taire ?"")",1.0,Deletion
201,,"('#axelie', ""Je n'aurais pas un grand effort à faire : Si j'ai le coeur peu tendre, il est au moins discret."")",1.0,Deletion
202,,"('#osmin', ""Eh bien sachez qu'Hassan va rompre l'esclavage Des Françaises qui sont ici depuis six mois ; Nous les menons en France, et je fais à mon choix Les arrangements du voyage : Il ne faut que m'aimer pour venir avec nous... Ne croyez pas que j'exagère, Dans ce climat aussi riant que doux, Vous verrez tout ce qui peut plaire, Et c'est le seul digne de vous,"")",1.0,Deletion
203,,"('#axelie', ""Sans doute. Qui ne croit que c'est dans sa patrie Qu'on trouve le suprême bien ? Chaque homme sur ce point a la même manie, Et de tous les pays ne vante que le lien."")",1.0,Deletion
204,,"('#osmin', ""Oui. Mais ce que je dis du mien, L'Europe entière le publie. C'est le Ciel le plus beau...."")",1.0,Deletion
205,,"('#axelie', ""Oh ! Cela n'y fait rien : Bientôt le plus beau ciel ennuie."")",1.0,Deletion
206,,"('#osmin', ""J'en conviens. Lorsque comme ici, Et dans tous les pays qu'on appelle Turquie, On paraît ignorer tout le prix de la vie, Que le printemps de l'âge est obscurci Par la honte des fers, la crainte, le souci, Que d'un maître absolu l'on sert la tyrannie, Qu'on ne vit que pour lui"")",1.0,Deletion
207,,"('#axelie', ""Propos de jalousie : Les malheurs de celui qui sert Font le bonheur de celui qui commande ; L'un gagne ce que l'autre perd."")",1.0,Deletion
208,,"('#osmin', ""En Turquie on exige, en France l'on demande..."")",1.0,Deletion
209,,"('#axelie', ""La différence n'est pas grande : Le bien le plus gardé tôt ou tard est offert."")",1.0,Deletion
210,,"('#osmin', ""Cependant votre sexe ici dans l'esclavage Porte d'indignes fers, et languit sous leur poids ; Aussi nous lui rendons un éternel hommage, Tandis qu'en France il goûte l'avantage De vivre libre, et de donner des lois : Nous ne sommes jamais heureux que par son choix. Maîtresses du bonheur, les Belles sont nos Rois."")",1.0,Deletion
211,,"('#axelie', ""Et c'est tout comme ici. Le Turc le plus farouche Soupire, et languit à nos pieds."")",1.0,Deletion
212,"('#calliope', ""Eh ! Quoi ? Dans ce grand jour, vous pensez précéder  La Muse de Virgile et du Tasse et d'Homère ? Ce serait à moi de céder ! Sur le Pinde toujours j'ai marché la première,"")","('#osmin', ""Mais qu'il vous plaise, ou non, il faut que vous feigniez Que son amour vous honore, et vous touche Lors même qu'il s'abaisse il vous donne la loi, Et le Tyran ne vous couronne Que pour vous enchaîner un peu plus près de soi. Une foule d'Argus toujours vous environne, Vous suit partout, vous contraint, ou vous prône : Se faire détester est son affreux emploi. C'est tout le contraire chez moi : Les Belles en tout temps sont comme sur un trône, Leur volonté décide, elle défend, ordonne, On obéit, sans demander pourquoi ; Leur pouvoir est un bien que la beauté leur donne ; Elles sortent sans suite, de rentrent sans effroi, En bravant le courroux du sot qui les soupçonne, Et toujours sur leur bonne foi..."")",0.84,Substitution
213,,"('#axelie', 'Elles ne trompent donc personne !')",1.0,Deletion
214,,"('#osmin', ""Ah ! J'oubliais cet article important. Elles trompent aussi comme par tout le monde : Mais en France tout les seconde, Et ce plaisir est ici plus piquant."")",1.0,Deletion
215,,"('#axelie', 'Vous voilà bien. Pour un mot innocent... ')",1.0,Deletion
216,,"('#osmin', ""Mon Dieu, n'ayons point de querelle, Eh bien sur ce tableau fidèle ?"")",1.0,Deletion
217,,"('#axelie', ""Il pourrait me tenter s'il était ressemblant. Malgré tous vos discours je doute cependant Que la grandeur de vos sultans de France..."")",1.0,Deletion
218,"('#clio', ""Vous l'avez prétendu; mais cette primauté Pourrait bien être une chimère, Et la loi de l'égalité Doit paraître plus sage et nous être plus chère/ Les arts font frères et rivaux : Éclairer les humains et consoler la terre, Voilà le but de leurs travaux, Et cet auguste emploi les a faits tous égaux. Leur émulation s'excite Par la diversité des goûts et des esprits. Tel préfère les pleurs, et tel autre les ris ; L'un vit avec Homère et l'autre avec Tacite. Les mortels occupés du sort des nations, S'amusent des accents de votre voix brillante, Mais ils ont pour objet d'une étude constante, Mes solides instructions."")","('#osmin', ""Oh ! Vraiment, quelle différence ! Je sais que vos sultans en imposant des fers, Se flattent de régner sur cent peuples divers : Leur Empire s'étend jusqu'aux lieux où nous sommes Mais quels sont les humains soumis à leur pouvoir ? Des esclaves tremblants qu'ils dédaignent de voir : Notre Roi règne sur des hommes, Souverain de leurs coeurs l'amour fait leur devoir. Dans un sérail obscur où l'orgueil les resserre, Vos Sultans amollis par d'éternels loisirs, Poids inutiles de la Terre, Abandonnent leur gloire aux bras de leurs vizirs. Le Sultan des Français fait lui-même la guerre, Et ce n'est qu'en héros qu'il se livre aux plaisirs."")",0.0,Match
219,,"('#axelie', ""Mais c'est donc un Prince admirable ! Les coeurs doivent voler au devant d'un tel Roi."")",1.0,Deletion
220,,"('#dorise', ""Mon cher Osmin, ayez pitié de moi ; Vous pouvez me tirer d'un état déplorable : J'aime... Oh ! Devant vous je ne me gêne pas. Je vous crois, aimable Axelie, Un très bon coeur, et de plus mon amie : On doit penser fort bien quand on a tant d'appas. À Axelie."")",1.0,Deletion
221,"('#calliope', ""C'est moi qui de Voltaire illustrai le jeune âge."")","('#axelie', 'Le compliment...')",1.57,Substitution
222,,"('#dorise', ""Je n'ai pas le loisir d'en faire. Cher Osmin, il faut me servir... On ne nous entend point ?..."")",1.0,Deletion
223,,"('#osmin', 'En quoi puis-je vous plaire ? Je suis prêt à vous obéir.')",1.0,Deletion
224,,"('#dorise', ""C'est un amour si vif.... Ce n'est plus un mystère... Il est ici. Je veux ou le voir, ou périr. Tu le connais ?"")",1.0,Deletion
225,,"('#osmin', 'Qui donc ?')",1.0,Deletion
226,,"('#axelie', ""Quelqu'un vient ce me semble."")",1.0,Deletion
227,,"('#osmin', 'Pardonnez si je fuis.')",1.0,Deletion
228,,"('#axelie', 'Je vous quitte à regret.')",1.0,Deletion
229,,"('#dorise', 'Dans le bosquet voisin retrouvons-nous ensemble : Je vous apprendrai mon secret.')",1.0,Deletion
230,,"('#hassan', ""Oui, d_Oberval, ainsi pensent les Musulmans : Leur coeur, sans s'arrêter à des recherches vaines, N'aspire qu'à la paix, ne fuit que les tourments : Ce qu'on appelle amour pour eux n'a point de chaînes» Tout fuit dans leurs sérails l'essor de leurs désirs, Si les femmes font leurs plaisirs, Elles ne font jamais leurs peines ; C'est tout ce que mon âme adopte de leurs moeurs."")",1.0,Deletion
231,"('#clio', 'Il courtisa Clio dans sa maturité,')","('#d-oberval', ""Je sens par le chagrin qui me fuit et m'accable, Qu'une passion véritable Peut nous causer le plus grand des malheurs ; Clarice est pour mon coeur une source durable D'ennuis, de regrets de de pleurs. Cependant si l'amour a des jours de tristesse, Il sait répandre aussi la plus aimable ivresse Sur ses plus cruelles rigueurs. Chez nous il est bien plus sentiment que faiblesse, En affectant notre âme, il l'émeut, l'intéresse ; Et franchement le vôtre..."")",1.33,Substitution
232,,"('#hassan', 'Est le seul de bon sens : Nous vivons pour nous-mêmes, de tout flatte nos sens. Sur ce point seul nul souci ne nous presse.')",1.0,Deletion
233,,"('#d-oberval', 'Mais comment reçoit-on de pareils sentiments ?')",1.0,Deletion
234,,"('#hassan', ""Fort bien. On nous traite en amants, Et nous n'avons point de maîtresse."")",1.0,Deletion
235,,"('#d-oberval', ""C'est connaître l'amour par ses moindres douceurs. Cette aimable délicatesse Que vous croyez ici le comble des erreurs, Donne seule un prix aux faveurs : C'est elle qui bannit de chez nous la rudesse, Elle calme, adoucit le feu de la jeunesse, Elle pare l'amour des plus tendres couleurs, Elle est l'âme de la tendresse, La source de la politesse, Le piquant des plaisirs, et le charme des coeurs."")",1.0,Deletion
236,,"('#hassan', ""J'adopterais votre système, Si je n'avais passé la saison de l'amour. Mais venons au désir extrême Que j'ai d'aller fixer en France mon séjour."")",1.0,Deletion
237,,"('#d-oberval', 'Je crains que le projet où votre âme se livre Ne séduise trop votre coeur ; Examinez-vous bien avant que de le suivre : Les difficultés me font peur.')",1.0,Deletion
238,,"('#hassan', ""Je sens le prix des jours qui me restent à vivre ; Je veux assurer leur bonheur ; Et pour Alger un fond de répugnance, Des citoyens cruels, de des barbares moeurs, Me font trouver ici l'ennui dans l'opulence, Le chagrin, le dégoût m'accablent, et j'y meurs."")",1.0,Deletion
239,,"('#d-oberval', ""Il ne faut point que votre âme balance, On ne peut fuir avec assez de diligence Un séjour où l'on meurt quand on peut vivre ailleurs. Cependant à voir tout du côté favorable..."")",1.0,Deletion
240,,"('#hassan', ""Je me souviens toujours de ce temps agréable Que nous avons passé vous de moi dans Paris. D'arts, déplaisirs, de jeux quel assemblage aimable ! C'est là que des moments on connaît tout le prix."")",1.0,Deletion
241,,"('#d-oberval', ""Le plaisir, il est vrai, sans cesse s'y varie. Partout ailleurs l'âme languit, On ne fait que traîner sa vie ; Mais à Paris on en jouit."")",1.0,Deletion
242,,"('#hassan', ""Ce peuple heureux semble avoir en partage. L'art de rassembler pour chaque âge Des sociétés, des plaisirs ; Tandis que nous n'avons que le triste avantage De faire partager le poids de nos loisirs À des coeurs malheureux flétris par l'esclavage, Et rampants devant nos désirs"")",1.0,Deletion
243,"('#calliope', ""Le chantre de Henri, dont je dictai l'ouvrage, Me dut ses premiers droits à l'immortalité. De cet éclat naissant la France fut frappée ; À ses titres d'honneur il manquait l'épopée. On fit ce seul reproche au siècle de Louis ; Et Voltaire, à vingt ans, en vengea son pays."")","('#d-oberval', ""J'aime à vous voir penser ainsi sur ma patrie, Son goût pour la société À bon droit doit être vanté, Et le vôtre le justifie."")",0.68,Substitution
244,"('#clio', ""De ce siècle fameux je lui traçai l'histoire ; J'ordonnai sous ses mains cet immense tableau. Je broyai les couleurs qu'employa son pinceau. Aux Courtisans de la Victoire, Il montra ce Héros, l'épouvante du Nord, Et dont le nom rappelle au temple de Mémoire, Toutes les faveurs de la gloire, Et tous les outrages du sort. / Là, j'ai de mon Burin signalé l'énergie ; Moi-même j'ai placé ces chefs-d'oeuvres nouveaux, Près des monuments les plus beaux De la Grèce et de l'Italie. Il en est un où l'avenir Doit reconnaître encore une main plus robuste Quand Voltaire éleva cet édifice auguste, Il bâtit sans modèle, et dût seul en servir. Là, tous les peuples de la terre, Sont à mon tribunal par sa voix appelés ; Il fixe sous ses yeux les siècles écoulés, Interroge leur caractère, Les crimes du pouvoir et les erreurs des lois ; Partout, il cherche l'homme, et lui rend tous ses droits ; Partout, des oppresseurs il brise la statue, Et relevant avec grandeur L'humanité sacrée, à leur pieds abattue, Comme il en est le peintre, il en est le vengeur,"")","('#hassan', ""J'ai vu toutes les Cours, et d'Europe de d'Asie, À la vôtre mon coeur s'est toujours arrêté : Dans ces lieux embellis par l'art et la nature Le ciel a répandu ses faveurs sans mesure. Un Monarque adoré, père de ses sujets, Règle sur leur bonheur de la guerre et la paix, La Justice à ses Lois asservit sa Couronne ; Le zèle de la prudence environnent le Trône, ; Et j'ai vu réunis dans tous les courtisans, La douceur au courage, et la gloire aux talents."")",0.0,Match
245,,"('#d-oberval', ""Cher Hassan tous ces traits sont gravés dans mon âme, Et vous peignez d'après mon coeur. Oui. Je me rends. Partons. Même désir m'enflamme. Que Fatmé veuille ou non, laissez-lui son erreur. Vous n'aimez point... D'amour. Votre bonheur....."")",1.0,Deletion
246,,"('#hassan', ""Mais si je vais en France, il me faut une femme ; Et je ne vous cacherai pas Que je verrais avec inquiétude Que l'hymen près de moi ne fixât point ses pas. J'ai pris plaisir, dans cette solitude, À sonder son esprit de j'en fats un grand cas... ; Nous tenons tous à l'habitude... Et vous verrez bientôt combien elle a d'appas."")",1.0,Deletion
247,,"('#d-oberval', ""Je vais de tous mes soins seconder l'entreprise; Et je désire fort que Vous réussissiez."")",1.0,Deletion
248,,"('#clarice', ""On m'avait dit que vous me demandiez."")",1.0,Deletion
249,,"('#hassan', ""Approchez.  C'est Fatmé.  L'amitié m'autorise À souffrir que vous le voyiez. À Clarice. À d'Oberval. À Clarice."")",1.0,Deletion
250,,"('#clarice', 'Je vous avais cru seul excusez ma méprise.')",1.0,Deletion
251,,"('#d-oberval', ""Quelle voix !... Ciel !... Que vois-je !... En croirai-je mes yeux ?... Est-il vrai qu'à ce point le Ciel me favorise !"")",1.0,Deletion
252,,"('#clarice', 'Vous ne vous doutiez pas de trouver dans ces lieux, Sous le nom de Fatmé la nièce de Dorise ?')",1.0,Deletion
253,,"('#d-oberval', 'Cher Hassan quel hasard heureux !... Mon coeur ne peut suffire à cet excès de joie... Se peut-il que je vous revoie ?...')",1.0,Deletion
254,,"('#clarice', 'Contraignez-vous.')",1.0,Deletion
255,,"('#hassan', ""Les Turcs savent-ils bien choisir ?  Convenez qu'on n'a pas le goût meilleur en France."")",1.0,Deletion
256,,"('#d-oberval', ""Oh !... J'en conviens."")",1.0,Deletion
257,,"('#hassan', ""Le Ciel a pris plaisir De la conduire ici par préférence.' N'êtes vous pas charmé..."")",1.0,Deletion
258,,"('#d-oberval', 'Sans doute....')",1.0,Deletion
259,,"('#hassan', 'Sa présence Est le bien le plus doux dont je puisse jouir.')",1.0,Deletion
260,,"('#d-oberval', ""Dans le sérail d'Hassan !... Je n'en puis revenir."")",1.0,Deletion
261,,"('#clarice', 'Rassurez votre contenance, Ou vous allez tout découvrir.')",1.0,Deletion
262,,"('#hassan', 'Votre joie est déjà sur le point de finir ?')",1.0,Deletion
263,,"('#d-oberval', 'Moi !... Point du tout.... ma joie est trop sincère...')",1.0,Deletion
264,,"('#hassan', ""Eh pourquoi donc la retenir ? De toutes les Beautés que mon sérail resserre, Voilà celle que je préfère, Et c'est de votre main que je veux l'obtenir."")",1.0,Deletion
265,,"('#d-oberval', ""Oh ! C'en est trop..."")",1.0,Deletion
266,,"('#clarice', 'Quelle imprudence !')",1.0,Deletion
267,,"('#hassan', ""Elle a quelque scrupule encore ; elle balance ; Mais vous saurez les faire évanouir, J'attends tout de vos soins"")",1.0,Deletion
268,,"('#d-oberval', 'De mes soins !')",1.0,Deletion
269,,"('#hassan', 'Oui sans doute. Vous connaissez mes sentiments.')",1.0,Deletion
270,,"('#d-oberval', 'Il est vrai... Mais...')",1.0,Deletion
271,,"('#hassan', ""Je compte les instants. Examinez-la bien. Jugez ce qu'il m'en coûte, Pour me prêter à ses retardements,"")",1.0,Deletion
272,,"('#d-oberval', ""Oui je juge en effet... Je ne sais que lui dire. Madame... Hassan.. à votre hymen aspire.... Cependant pour pouvoir combattre ses raisons. Il faudrait avant m'en instruire. Il se pourrait que dans le fonds Quelqu'obstacle bien fort.... Bas à Fatmé.  À Clarice.  À Hassan."")",1.0,Deletion
273,,"('#hassan', ""Non, c'est incertitude... Ses alarmes en ma faveur Lui donnent quelqu'inquiétude."")",1.0,Deletion
274,,"('#d-oberval', 'Mais ce motif est pour vous très flatteur.')",1.0,Deletion
