,biancollelli-arlequin-gentilhomme,dufresny-depart-des-comediens,Cost,Operation Type
87,"('#arlequin', ""C'en est fait, j'ai vaincu rien n'égale ma joie,  Je suis avec honneur chargé de cette proie,  Et malgré tous les soins des zélés marmitons,  Je triomphe aujourd'hui d'un plat de macarons  Dans ce lieu retiré j'aurai du moins la gloire,  De jouir en repos du fruit de ma victoire,  Aucun écornifleur ne viendra m'y troubler,  Et de ces macarons je pourrai me saouler.  Ils sont délicieux, ce beurre et ce fromage  Les rendent savoureux on ne peut davantage.  Mais qui peut interrompre ici mon appétit,  Quelqu'un vient, ô malheur, cachons-nous sous le lit.  Il se met à terre et commence à manger les macarons d'une manière toute comique. Il les mange avec précipitation et fait des lazzis tous plaisants. Il prend son plat et va se mettre sous le lit, où il mange toujours."")",,1.0,Insertion
88,"('#isabelle', ""Avec empressement j'attends mon cher Léandre,  En ce lieu chaque jour il a soin de se rendre,  L'amour qui nous permet des entretiens si doux  Nous marque également l'heure du rendez-vous  Et son exactitude à voir l'objet qu'il aime,  M'assure des transports de son ardeur extrême,  Mais je crois de l'entendre. "")","('#pierrot', ""Un homme qui a de l'entremetture et de l'entregent, ne saurait manquer de rien."")",1.18,Substitution
89,"('#arlequin', ""Hélas c'est grand hasard  Si de mes macarons il ne prétend sa part. "")",,1.0,Insertion
90,"('#leandre', ""Guidé par mes soupirs je vous revois, Madame,  Vous ne pouvez douter de l'excès de ma flamme,  Trop heureux si l'amour qui me force à venir,  Voulait auprès de vous toujours me retenir :  Mais quand ce Dieu répond au beau feu qui me presse,  Hélas ! Que ces moments coulent avec vitesse,  À peine je me livre à ma félicité  Qu'il faut quitter d'abord un bien si souhaité. "")",,1.0,Insertion
91,"('#arlequin', ""Je ne quitterai pas mon plat de cette sorte,  Et je mangerai tout ou le Diable m'emporte. "")",,1.0,Insertion
92,"('#isabelle', ""Mon tendre coeur soumis à l'empire amoureux  Également blessé brûle des plus beaux feux  Qu'il m'est doux de porter une si belle chaîne,  Et de m'abandonner au penchant qui m'entraîne  Mon père me destine en vain un autre époux,  Je ne veux pour mari qu'un amant tel que vous. "")",,1.0,Insertion
93,"('#leandre', ""Mon bonheur est parfait et cet aveu m'enchante  Que dans ces sentiments votre âme soit constante,  N'admettons d'autres lois que celles de l'amour,  Et livrons-lui nos coeurs pour honorer sa cour.  Ah ! Si pour posséder un bien si plein de charmes  Un rival téméraire en vous rendant les armes,  Prétendait me ravir ce que j'aime le mieux  Il serait accablé sous mes coups furieux. "")","('#colombine', ""Arlequin, j'ai trouvé une bonne condition, veux-tu en être de moitié ?"")",1.37,Substitution
94,"('#arlequin', ""Ciel ! Il parle de moi, que faut-il que je fasse ?  Morbleu qu'il vient de faire une laide grimace,  Sans doute on préparait pour lui ces macarons,  Je dois craindre pour moi de toutes les façons ;  Mais il a beau crier, car enfin pour les rendre  Il faut les digérer, il peut encore attendre. "")",,1.0,Insertion
95,"('#le-docteur', 'Isabelle. ')","('#arlequin', 'Selon.')",0.0,Match
96,"('#isabelle', ""J'entends mon père, cachez-vous. "")","('#pierrot', ""Je m'en vais servir dans une bonne maison, je te veux faire mon aide de camp."")",1.91,Substitution
97,"('#leandre', 'Où ? ')","('#arlequin', 'Nous verrons.')",0.34,Substitution
98,"('#isabelle', 'Derrière le lit. ')","('#colombine', 'Je suis reçue fille de chambre.')",1.16,Substitution
99,"('#arlequin', ""Ne venez pas dessous,  Car nous n'y serions pas tous deux fort à notre aise.  Léandre se cache derrière le lit, Isabelle reste fort alarmée."")",,1.0,Insertion
100,"('#le-docteur', 'Je veux chercher partout. ')",,1.0,Insertion
101,"('#arlequin', 'Ah ! Ne vous en déplaise  Ne cherchez pas ici. ')",,1.0,Insertion
102,"('#le-docteur', 'Peut-être sous le lit  Pourrais-je la trouver. ')",,1.0,Insertion
103,"('#arlequin', ""Que Diable est-ce qu'il dit ? "")",,1.0,Insertion
104,"('#le-docteur', ""À la chercher partout il faut que je m'applique,  Je ne trouve point une épée à l'antique.  Je veux voir sous le lit. "")",,1.0,Insertion
105,"('#arlequin', 'Hélas ! Je suis perdu,  Il va me découvrir.  Le Docteur cherche sous le lit et voit Arlequin.')",,1.0,Insertion
106,"('#le-docteur', ""Juste ciel ! Qu'ai-je vu ?  Il fuit et ferme la porte de la chambre, Léandre quitte sa place et revient. "")","('#pierrot', ""Et moi valet d'antichambre."")",1.25,Substitution
107,,"('#colombine', 'Chez une femme.')",1.0,Deletion
108,"('#le-docteur', 'Un homme sous le lit ! ')",,1.0,Insertion
109,"('#arlequin', 'Excusez-moi de grâce  Je consens à payer mon écot et ma place. ')",,1.0,Insertion
110,"('#leandre', ""Apprends-moi le sujet qui t'amène en ces lieux,  Voleur ? "")",,1.0,Insertion
111,"('#arlequin', ""Oh ! Ventrebleu vous pourriez parler mieux,  Ce larcin est ma foi le premier de ma vie,  Mais de ces macarons j'avais si fort envie  Que j'ai dans la cuisine avec dextérité  Escroqué ce butin si longtemps souhaité  Je vais me retirer car j'ai la panse pleine  Je vous rendrai e plat n'en soyez pas en peine  Je ne le vendrai point car il n'est point d'argent. "")","('#arlequin', ""Fi !  Une femme servir une femme.  Il n'y a point de contraste là-dedans."")",1.2,Substitution
112,"('#leandre', 'Mais quel est ton emploi ? ')",,1.0,Insertion
113,"('#arlequin', ""D'être fort indigent,  J'ai longtemps parcouru les états de la vie,  Et depuis ce matin j'ai pris la fantaisie  De choisir parmi tous celui de crocheteur,  Je me suis introduit chez Monsieur le Docteur,  Après avoir volé ce plat dans sa cuisine,  Pour assouvir la faim qui rongeait ma poitrine  Je me suis confiné dans cet appartement,  J'y mangeais en repos et fort gloutonnement,  Quand cette Demoiselle en ce lieu s'est rendue  Moi pour me dérober aussitôt à sa vue,  Et me mettre à couvert du tumulte et du bruit,  Je me suis tout tremblant retiré sous le lit  Vous avez entendu mon histoire tragique  Bien loin de me blâmer plaignez un famélique. "")","('#pierrot', 'Et moi chez une femme.')",1.32,Substitution
114,"('#isabelle', ""Comment ferons-nous donc mon père ca venir ?  Léandre il n'est pas temps de nous entretenir,  Mais plutôt... "")","('#arlequin', 'Fort bien cela.')",1.54,Substitution
115,"('#leandre', ""Dissipez cette frayeur extrême  Je viens d'imaginer un plaisant stratagème,  Donne-moi ton habit et tu prendras le mien.  À Arlequin."")",,1.0,Insertion
116,"('#arlequin', ""Fi donc dans mon casaquin ne vous ira pas bien  Il faut pour le porter toute une autre encolure  Vous n'avez d'Arlequin ni gestes ni postures. "")",,1.0,Insertion
117,"('#leandre', 'Dépêchons. ')",,1.0,Insertion
118,"('#arlequin', ""J'y consens pour vous faire plaisir,  Quoique je perde au change, il faut vous obéir.  Ils se déshabillent tous deux, Arlequin met l'habit de Léandre, et Léandre celui d'Arlequin."")",,1.0,Insertion
119,"('#isabelle', 'Pourquoi vous déguiser, apprenez-moi Léandre. ')",,1.0,Insertion
120,"('#leandre', 'Cette ruse, Madame, est facile à comprendre.  Va derrière le lit, je veux rester ici.  À Arlequin.')","('#colombine', ""C'est une bourgeoise de la rue Saint-Denis."")",1.43,Substitution
121,"('#arlequin', 'Ce gentilhomme est fou, moi je le suis aussi. ')",,1.0,Insertion
122,"('#leandre', ""Ici dans un instant le docteur va se rendre  Me voyant cet habit il pourra se méprendre  Ainsi j'éviterai quelque éclaircissement,  Mais il vient, je saurai le tromper aisément. "")",,1.0,Insertion
123,"('#le-docteur', ""Secondez, mes amis la fureur qui m'inspire,  Arrêtez ce voleur... Hé bien que vas-tu dire ?  Parle, dans ma maison quel dessein t'a conduit ?  Réponds, pendard, pourquoi te cacher sous le lit ?  Les valets saisissent Léandre."")",,1.0,Insertion
124,"('#leandre', ""Je ne suis pas, Monsieur, ce que vous pouvez croire,  Je vais vous raconter en deux mots mon histoire.  Je suis un crocheteur, victime de la faim,  Qu'ici son appétit n'a pas conduit en vain,  Un plat de macarons volés par prévoyance,  A soulagé les maux causés par l'abstinence,  Ici pour les manger je me suis introduit,  Et je me suis caché tout tremblant sous le lit. "")",,1.0,Insertion
125,"('#isabelle', ""Mon père renvoyez ce pauvre misérable,  Ne le punissez point puisqu'il n'est pas coupable. "")",,1.0,Insertion
126,"('#le-docteur', ""Je plains ce malheureux, son sort me fait pitié  Il s'est auprès de nous assez justifié.  Va-t'en je te pardonne, et tu n'as rien à craindre,  Tu dis la vérité.  À Léandre."")",,1.0,Insertion
127,"('#leandre', ""J'ignore l'art de feindre. "")",,1.0,Insertion
128,"('#le-docteur', 'Outre les macarons que tu viens de voler  Je veux bien de dix sols encore te régaler. ')",,1.0,Insertion
129,"('#leandre', ""L'honneur de vous servir est le bien où j'aspire. "")",,1.0,Insertion
130,"('#le-docteur', 'Adieu mon pauvre enfant. ')",,1.0,Insertion
131,"('#leandre', ""Monsieur je me retire. Léandre s'en va et les valets rentrent."")",,1.0,Insertion
132,"('#isabelle', 'Au gré de mes souhaits la fourbe a réussi. ')",,1.0,Insertion
133,"('#arlequin', 'Oui mais pour mon malheur je suis encore ici. ')",,1.0,Insertion
134,"('#le-docteur', ""Qu'entends-je ? Que dit-on ? "")",,1.0,Insertion
135,"('#isabelle', ""Rien mon père... Ah le traître !  S'il dit encore un mot il fera tout connaître.  Arlequin éternue fort."")",,1.0,Insertion
136,"('#le-docteur', 'Je ne me trompe pas et quelque autre est ici. ')",,1.0,Insertion
137,"('#isabelle', 'Que je suis malheureuse ! ')","('#pierrot', ""C'est une bourgeoise de la rue Saint-Denis aussi la mienne."")",1.17,Substitution
138,"('#le-docteur', 'Examinons ceci.  Il cherche, va derrière le lit, et trouve Arlequin habillé proprement.')",,1.0,Insertion
139,"('#isabelle', 'Tout va se découvrir la chose est certaine. ')",,1.0,Insertion
140,"('#le-docteur', ""Dans ma maison, Monsieur, quel sujet vous amène ?  Holà, valets à moi, saisissez ce voleur.  Les valets viennent, se saisissent d'Arlequin qui se met à genoux devant le Docteur."")","('#colombine', ""On l'appelle madame la marquise d'Argent-filé."")",1.5,Substitution
141,"('#arlequin', ""Ah, Monsieur, je ne suis qu'un pauvre crocheteur. "")",,1.0,Insertion
142,"('#le-docteur', 'Chansons, cet habit-là me fait croire autre chose.  Que veut dire ceci ?  À Isabelle.')","('#pierrot', ""D'Argent-filé ?  C'est justement la mienne."")",1.48,Substitution
143,"('#isabelle', ""Je n'en suis point la cause  Mon père, et je ne sais... "")",,1.0,Insertion
144,"('#le-docteur', 'Je veux être éclairci. ')",,1.0,Insertion
145,"('#arlequin', ""Par charité souffrez que je sorte d'ici,  Un fâcheux cours de ventre, en certain lieu m'appelle,  Et m'ordonne, Monsieur, de pousser une selle. "")",,1.0,Insertion
146,"('#le-docteur', 'Vous ne sortirez pas. ')",,1.0,Insertion
147,"('#arlequin', ""Pourquoi m'en empêcher ? "")",,1.0,Insertion
148,"('#le-docteur', ""J'en sais bien la raison. "")",,1.0,Insertion
149,"('#arlequin', 'Je vais donc tout lâcher. ')",,1.0,Insertion
150,"('#isabelle', ""Que dis-tu, maraud, pour te tirer d'affaire ? "")","('#colombine', 'Comment maraud, tu vas sur mes brisées ?')",0.31,Substitution
151,"('#arlequin', ""Cela m'est échappé, je n'y saurais que faire. "")",,1.0,Insertion
152,"('#le-docteur', 'Fouillez-le promptement. ')",,1.0,Insertion
153,"('#arlequin', 'Vous ne trouverez rien,  Je suis un crocheteur sans honneur et sans bien.  Les valets le fouillent, et trouve une lettre. ')",,1.0,Insertion
154,"('#le-docteur', 'Donnez-moi cette lettre. ')","('#pierrot', ""C'est toi qui vas sur mon marché."")",1.63,Substitution
155,"('#arlequin', 'Hélas quel soin vous presse ?  Vieillard trop curieux. ')","('#colombine', 'Tu es un flagorneur.')",1.57,Substitution
156,"('#le-docteur', ""Je prétends voir l'adresse.  À Géronte... voyons ce que peut contenir... Il lit l'adresse."")","('#pierrot', 'Tu es une chercheuse...')",1.3,Substitution
157,"('#arlequin', 'Ma foi je ne puis plus, Monsieur, me retenir. ')",,1.0,Insertion
158,"('#le-docteur', ""Le porteur de la présente, est mon fils Léandre, qui se rend à Lyon pour avoir l'honneur de donner la main à la charmante Léonore ; j'espère que vous en serez satisfait, et que vous ne différerez point de conclure un mariage que je souhaite avec tant d'empressement.  Je suis, en attendant de vos nouvelles,  Votre très affectionné serviteur et ami, DAMON. "")",,1.0,Insertion
159,"('#arlequin', ""Ne me refusez pas le secours que j'implore. "")",,1.0,Insertion
160,"('#le-docteur', 'Vous venez pour donner la main à Léonore,  Et je vous trouve ici caché derrière un lit. ')",,1.0,Insertion
161,"('#arlequin', ""J'avais sur mon honneur un terrible appétit,  Ces macarons exquis m'ont bien bourré la panse. "")",,1.0,Insertion
162,"('#le-docteur', 'Cette affaire est pour moi de grande conséquence,  Vous deviez un peu mieux connaître le Docteur  Je suis homme de bien. ')",,1.0,Insertion
163,"('#arlequin', 'Moi je suis crocheteur. ')",,1.0,Insertion
164,"('#le-docteur', ""Il faut pour réparer l'honneur de ma famille,  Que sans plus différer vous épousiez ma fille,  Je veux que devant moi vous lui donniez la main.  Allons disposez-vous...  À Isabelle."")",,1.0,Insertion
165,"('#isabelle', 'Ah ! Quel ordre inhumain  Que me prescrivez-vous ? Malgré votre colère  Je ne puis sur ce point vous obéir mon père. ')",,1.0,Insertion
166,"('#le-docteur', 'Vous osez résister après un tel affront. ')",,1.0,Insertion
167,"('#arlequin', ""Pourquoi l'agacez-vous ? Vous savez qu'il est prompt,  Mettez là votre main, Madame la coquine. "")",,1.0,Insertion
168,"('#isabelle', 'Laisse-moi. ')","('#arlequin', 'Là, là, là, doucement.')",0.68,Substitution
169,"('#le-docteur', ""Comment donc vous faites la mutine  Obéissez, vous dis-je, et sans plus m'irriter... "")",,1.0,Insertion
170,"('#isabelle', ""Enfin vous m'y forcer. "")",,1.0,Insertion
171,"('#arlequin', 'Vous vous ferez frotter,  Et je vous donnerai ma foi sur les oreilles,  Ma charmante avec moi vous serez à merveilles  Je vous ferai porter les crochets quelquefois.  Beau-père, pouviez-vous faire un plus joli choix ?  Au Docteur.')",,1.0,Insertion
172,"('#le-docteur', ""Vous êtes à présent le mari d'Isabelle,  Adieu pour un moment je vous laisse avec elle. "")",,1.0,Insertion
173,"('#arlequin', ""C'est agir prudemment. "")",,1.0,Insertion
174,"('#isabelle', ""Ô mortelles douleurs !  Devais-tu m'exposer à de nouveaux malheurs  C'est toi qui dans ce jour cause mon infortune.  À Arlequin."")",,1.0,Insertion
175,"('#arlequin', ""Ma mie en vérité ce discours m'importune.  Si vous continuez vous vous ferez rosser. "")",,1.0,Insertion
176,"('#isabelle', 'Infâme... ')",,1.0,Insertion
177,"('#arlequin', ""Vous allez encore recommencer,  J'ai sur vous maintenant un pouvoir despotique  Vous pourriez à mes bras donner de la pratique,  Ainsi, ma chère femme, un peu plus de douceur  Là là, modérez-vous ma mignonne, mon coeur,  En voyant vos appas, l'eau me vient à la bouche,  Laissez-vous caresser, pourquoi cet air farouche ?  Ma belle crocheteuse allons-nous en coucher. "")",,1.0,Insertion
178,"('#isabelle', ""Quoi malheureux encore, ose-tu m'approcher ? "")",,1.0,Insertion
179,"('#arlequin', 'Un soufflet, finissons ce jeu de Comédie.  Adieu je me retire et je vous répudie. ')",,1.0,Insertion
180,"('#isabelle', ""Rien ne peut arrêter le torrent de mes pleurs  Venez, mon cher Léandre, apprendre mes malheurs,  Ce crocheteur a fait découvrir le mystère,  Il s'est sous votre habit, fait connaître à mon père,  Ayant trouvé sur lui la lettre de Damon,  Il a cru justement lui donner votre nom,  Le preant pour Léandre, Hélas ! Il m'a contrainte... "")","('#pierrot', ""Madame_la_Marquise m'a choisi à la mine, et elle m'a distingué par la propre personne. \n"")",1.25,Substitution
181,"('#leandre', "". . . . . . N'ayez aucune crainte,  C'est Léandre qui doit être votre époux,  Rien ne peut à mon coeur ravir un bien si doux  Et puisque entre mes bras votre père vous livre,  Il faut sans balancer vous résoudre à me suivre  La fuite est nécessaire en cette extrémité. "")","('#colombine', ""Et moi, j'y suis entrée de la main d'un joli homme."")",1.19,Substitution
182,"('#isabelle', 'Je dois me conformer à votre volonté,  Répondre à vos désirs est ma plus chère envie,  Vous pouvez disposer de mon sort et de ma vie. ')",,1.0,Insertion
183,"('#scaramouche', 'Enfin vous prétendez Monsieur le spadassin,  Persévérer toujours dans ce noble dessein,  Où Diable voulez-vous mener cette femelle ?  Pour en être charmé la trouvez-vous si belle ?  Pour moi je la verrais du haut jusques au bas,  Que je ne serais point tenté de ses appas. ')",,1.0,Insertion
184,"('#leandre', 'Monsieur le Précepteur finissez, je vous prie,  De pareils quolibets passent la raillerie. ')",,1.0,Insertion
185,"('#isabelle', ""Scaramouche n'est pas un garçon fort poli. "")",,1.0,Insertion
186,"('#scaramouche', ""C'est que je ne vois rien en vous de trop joli. "")",,1.0,Insertion
187,"('#isabelle', 'Monsieur, votre valet est prompt à la riposte. ')","('#arlequin', ""Hé bien, vous la servirez tous deux.  C'est ton avantage, Colombine : et quand une dame a un valet de chambre, le service se fait mieux : la maîtresse est toujours de bonne humeur, et la fille de chambre est moins grondée."")",0.78,Substitution
188,"('#leandre', ""Il faut aller chercher une chaise de poste,  Car je veux l'enlever. "")",,1.0,Insertion
189,"('#scaramouche', 'Sans rien dire au Docteur.  Il pleure.')",,1.0,Insertion
190,"('#leandre', ""Scaramouche qu'as-tu ? "")",,1.0,Insertion
191,"('#scaramouche', 'Je pleure son honneur  Qui ne reviendra pas sitôt de ce voyage,  Pacatroufe en chemin il va faire naufrage. ')",,1.0,Insertion
192,"('#leandre', 'Pauvre fol ! ')",,1.0,Insertion
193,"('#scaramouche', 'Je vois bien que je perds mon latin,  Et vous ne voulez pas renoncer au butin,  Allons je vous suivrai par-delà la Turquie,  Partons. ')",,1.0,Insertion
194,"('#leandre', ""Va-t'en frapper à cette hôtellerie,  Madame y restera jusqu'à notre retour. "")",,1.0,Insertion
195,"('#isabelle', ""Cher Léandre jugez de mon parfait amour  Puisque sans consulter une austère sagesse  Je cède aveuglément à l'ardeur qui me presse. "")",,1.0,Insertion
196,"('#leandre', ""Rassurez-vous, Madame, et croyez qu'avec moi  Vous ne risquez rien. "")",,1.0,Insertion
197,"('#scaramouche', ""J'en jurerais ma foi  Mon maître est pour le moins sage comme une fille. "")",,1.0,Insertion
198,"('#leandre', 'Frappe donc. ')",,1.0,Insertion
199,"('#scaramouche', 'Je commence à la trouver gentille,  Oh di casa ? ')",,1.0,Insertion
200,"('#pierrot', ""Claudine embrochez ce chapon,  Écumez la salade et plumez cet oignon,  Allez-vous-en compter avec ce Capitaine,  Scaramouche, bon jour, qu'est-ce qui vous amène.  En sortant et voyant Scaramouche."")",,1.0,Insertion
201,"('#scaramouche', ""Cette fille est charmante et vaut un million,  Je veux dans ton logis la mettre en pension.  C'est moi qui l'entretiens, soit dit en confidence.  Toujours pour mes plaisirs je fis de la dépense. "")","('#pierrot', ""Oui-da, il y a moyen de s'accommoder, aussi bien tu es délicate et fluette, tu ne peux pas tout faire : et je servirai, moi, pour la grosse besogne."")",0.44,Substitution
202,"('#pierrot', ""Elle le porte beau, c'est tout or et azur.  Ma foi si de mon fait je pouvais être sûr,  Je m'amuserais bien à lui conter fleurette,  Car tel que tu me vois j'aime un peu la grisette. "")",,1.0,Insertion
203,"('#leandre', 'Mon ami recevez cette Dame chez vous. ')",,1.0,Insertion
204,"('#pierrot', ""Scaramouche, morgué tu te gausses de nous,  Tu n'entretiens donc pas cette beauté friande,  Puisque c'est ce Monsieur qui me la recommande,  Serais-tu par hasard de profit avec lui. "")","('#colombine', 'Tu serviras donc à la cuisine ?')",1.22,Substitution
205,,"('#pierrot', ""Oh, il n'y a point de cuisine chez cette marquise-là."")",1.0,Deletion
206,"('#scaramouche', ""Oui nous nous relevons c'est son jour aujourd'hui,  Demain j'aurai le mien chacun a sa journée,  Nous nous accommodons. "")","('#arlequin', ""C'est-à-dire que chacun porte son plat, et qu'on fait tout cuire en ville."")",1.42,Substitution
207,"('#pierrot', ""L'affaire est bien menée. "")",,1.0,Insertion
208,"('#leandre', 'Entrez belle personne et comptez sur mon coeur. ')",,1.0,Insertion
209,"('#isabelle', 'Puissent les justes Dieux couronner votre ardeur  Je vous attends Léandre avec impatience. ')",,1.0,Insertion
210,"('#leandre', 'Scaramouche suis-moi. ')",,1.0,Insertion
211,"('#scaramouche', ""Partons en diligence.  Isabelle entre avec Pierrot dans l'Hôtellerie."")",,1.0,Insertion
212,"('#le-docteur', ""Géronte cette fois ne sera pas content,  Mais lui-même à ma place en aurait fait autant,  Seul avec Isabelle ayant surpris Léandre,  Je crois que c'est ainsi que je devais m'y prendre,  Jusques au fond du coeur ce trait m'avait percé,  Il fallait satisfaire à l'honneur offensé  Ce parti pour ma fille est d'un grand avantage,  Et je me sais bon gré qu'il lui tombe en partage,  D'Octave je saurai bientôt me dégager  Et Géronte sur lui peut se dédommager,  Je vais lui raconter toute cette aventure,  Et de mon procédé je crains peu qu'il murmure.  Il frappe chez Géronte."")","('#pierrot', ""J'aurais envie d'être portier, j'ai étudié pour cela : car un jour dans notre village, il me prit de quitter la robe pour l'épée ; j'étais bedeau, je me fis suisse. \n"")",0.86,Substitution
213,"('#geronte', ""Ah c'est vous chez moi, quel plaisir de vous voir,  Souffrez que je m'acquitte ici de mon devoir,  En vous remerciant de la tapisserie... "")","('#colombine', ""Si tu étais portier, tu emporterais tout le profit ; la porte d'une coquette est aussi lucrative que celle d'un juge."")",0.96,Substitution
214,"('#le-docteur', 'Fi donc ne parlez point de cela, je vous prie,  Je viens vous révéler des secrets importants,  Vous serez étonné... ')",,1.0,Insertion
215,"('#geronte', 'Parlez je vous entends. ')",,1.0,Insertion
216,"('#le-docteur', ""De retour au logis j'ai trouvé votre gendre,  Caché derrière un lit. "")",,1.0,Insertion
217,"('#geronte', 'Vous parlez de Léandre ? ')",,1.0,Insertion
218,"('#le-docteur', ""Justement à ma fille il faisait les yeux doux,  Et voulait profiter je crois du rendez-vous,  Léandre lui parlait, jugez de ma surprise,  Je me suis récrié contre son entreprise,  Mais enfin il fallait effacer ce forfait,  En cette occasion, cher ami, qu'ai-je fait ?  J'ai contraint le galant à devenir mon gendre,  D'épouser Isabelle, il n'a pu se défendre  Si vous eussiez été de la sorte insulté  Je crois qu'en pareil cas vous m'eussiez imité. "")","('#arlequin', ""Vous pouvez partager l'emploi ; car chez les coquettes il doit toujours y avoir deux portes et deux escaliers.  Pendant que l'un entre par celle-ci, l'autre sort par celle-là."")",1.49,Substitution
219,"('#geronte', ""À quoi bon plaisanter, Docteur, c'est assez rire,  Léandre est-il ici ? "")",,1.0,Insertion
220,"('#le-docteur', ""Tenez vous pouvez lire,  Vous connaîtrez par là si j'ai tort ou raison,  C'est la lettre d'avis que vous écrit Damon. "")",,1.0,Insertion
221,"('#geronte', ""Je vous plains, mais enfin ce n'est pas là mon compte,  Léandre m'a promis... "")",,1.0,Insertion
222,"('#le-docteur', ""Point de courroux Géronte,  Il m'a déshonoré. "")",,1.0,Insertion
223,"('#geronte', 'Que veut dire ceci,  Mais ne puis-je le voir ? ')",,1.0,Insertion
224,"('#le-docteur', 'Fort bien car le voici. ')",,1.0,Insertion
225,"('#geronte', ""Vous m'avez fait, Monsieur, une sensible offense,  Vous me tiendrez parole, ou j'en aurai vengeance. "")",,1.0,Insertion
226,"('#arlequin', 'Que dit donc ce vieux fol ? Je ne le connais pas. ')",,1.0,Insertion
227,"('#le-docteur', ""C'est Géronte. "")",,1.0,Insertion
228,"('#arlequin', ""Ma foi j'en fais fort peu de cas. "")",,1.0,Insertion
229,"('#geronte', 'Vous devez épouser ma fille Léonore. ')",,1.0,Insertion
230,"('#arlequin', ""Il lui faudrait donner quelques grains d'ellébore,  Il en a grand besoin. "")",,1.0,Insertion
231,"('#geronte', ""Vous vous loquez de moi  Mais on n'abuse pas en vain ma bonne foi,  Votre père Damon... "")",,1.0,Insertion
232,"('#arlequin', ""Ah ! Le plaisant jocrisse,  Je n'ai jamais connu que ma mère nourrice,  Je suis du côté gauche, autrement dit bâtard,  Dans ce monde, dit-on, j'arrivai par hasard. "")","('#colombine', ""Mais le profit n'est pas égal : car celui qui entre, et qui meurt d'envie de voir Madame, paye grassement ; mais celui qui sort, voudrait souvent retenir ce qu'il a donné en entrant."")",0.91,Substitution
233,"('#geronte', ""Est-ce ainsi que s'explique un homme de naissance,  Un Gentilhomme... "")",,1.0,Insertion
234,"('#arlequin', ""Moi, vous êtes en démence  Depuis quand, s'il vous plaît, Messieurs les crocheteurs,  Ont-ils été placés parmi les grands Seigneurs. "")",,1.0,Insertion
235,"('#le-docteur', 'Mon gendre entrez chez nous. ')",,1.0,Insertion
236,"('#geronte', ""Il n'est pas nécessaire,  Venez dans ma maison. "")",,1.0,Insertion
237,"('#arlequin', ""Y fait-on bonne chère,  J'irai... non je ne puis et j'en sais les raisons,  On fait chez le docteur d'excellents macarons,  Allons-y promptement. "")","('#arlequin', ""Cela est vrai.  Tel donne en entrant chez une coquette, qui aurait besoin qu'on lui donnât en sortant. \n"")",0.9,Substitution
238,"('#le-docteur', 'Entrez, Monsieur Léandre. ')",,1.0,Insertion
239,"('#geronte', ""Corbleu vous n'irez pas. "")",,1.0,Insertion
240,"('#arlequin', ""Je ne puis m'en défendre  C'est lui qui le premier m'a voulu régaler,  Oh parbleu je suis las de me voir tirailler,  Laissez-moi donc vous dis-je. "")",,1.0,Insertion
241,"('#geronte', ""Hé bien je vais sur l'heure  Vous faire préparer une bonne demeure.  Il sort."")","('#colombine', ""Il n'y a qu'un mot qui serve.  Si tu veux, nous partagerons les profits et le service.  Je présiderai aux conversations secrètes ; toi, tu porteras les billets.  Je veillerai le jour..."")",1.06,Substitution
242,"('#le-docteur', 'Il enrage. ')","('#pierrot', 'Je dormirai la nuit. \n')",1.78,Substitution
243,"('#arlequin', ""Cet homme a le cerveau gâté  Je veux aller chez vous j'y suis fort bien traité,  Préparez-moi, beau-père, une soupe au fromage,  Car selon mon avis, c'est le meilleur potage. "")",,1.0,Insertion
244,"('#le-docteur', ""On va vous en faire une et chez moi mes valets  Vous serviront toujours au gré de vos souhaits.  Géronte vient avec des Archers,  leur montre Arlequin, les Archers veulent s'en saisir,  Arlequin se défend contre eux avec son coutelas ;  mais étant obligé à la fin de céder à la force,  il se laisse conduire en prison,  le Docteur se retire tout affligé. "")","('#colombine', ""J'aurai le profit du jeu, et toi tu fourniras les cartes.  Pour ce qui est des habits, je prendrai les jupes, et tu garderas les manteaux."")",0.98,Substitution
245,"('#octave', 'Je te suis obligé, ma chère Colombine. ')","('#pierrot', 'Je le veux bien. Pierrot et Colombine se retirent. ')",1.46,Substitution
246,"('#mezzetin', ""Je suis, je l'avouerai content de sa cuisine,  Messieurs les marmitons ont bien fait leur devoir. "")",,1.0,Insertion
247,"('#colombine', ""Je me flatte Monsieur, que vous viendrez nous voir,  Mon vin est assez bon j'en ai quelque barrique,  N'accordez qu'à moi seule au moins votre pratique. "")","('#arlequin', ""Et vous monsieur le mystérieux, méditez-vous quelque chose d'utile pour votre fortune ?  Que prétendez-vous faire pour vous enrichir ?"")",0.72,Substitution
248,"('#mezzetin', 'Je vous accorderai la mienne de bon coeur,  Pourvu que vous vouliez recevoir cet honneur  Ne me refusez point ma petite mignonne.')",,1.0,Insertion
249,"('#octave', ""J'ai vu dans ton logis une aimable personne,  Ne sais-tu point son nom ?"")",,1.0,Insertion
250,"('#colombine', ""À vous parler sans fard,  On peut bien la nommer Madame du hasard,  Elle ne sent pas bon je le juge à la mine,  Je m'y connais un peu. "")",,1.0,Insertion
251,"('#mezzetin', ""La peste qu'elle est fine  Bien fol ferait celui qui voudrait s'y fier  Elle a l'odorat bon pour flairer le gibier,  Que je lui donnerais volontiers son décompte. "")",,1.0,Insertion
