,dancourt-metempsychose,la-fontaine-daphne,Cost,Operation Type
131,"('#corine', ""Sans vouloir chercher à connaître  L'amant à qui les Dieux ont soumis ma fierté,  Laissez-moi m'affranchir de ma captivité :  Souffrez que de ces lieux je puisse disparaître,  Ce sera servir votre maître  Que de me rendre la liberté. "")",,1.0,Insertion
132,"('#faunus', 'Par tous vos beaux discours je ne suis point tenté. ')",,1.0,Insertion
133,"('#corine', ""Vous êtes insensible aux douleurs d'une amante ? "")",,1.0,Insertion
134,"('#faunus', ""M'en laisser émouvoir serait trop hasarder,  Sans adieu. Voilà votre tante,  Je m'en vais redoubler mes soins pour vous garder. "")",,1.0,Insertion
135,"('#corine', ""Je perds tous les soins que je tente,  Mérope vient, elle sait mes secrets,  Et n'est point dans mes intérêts. "")",,1.0,Insertion
136,"('#junon', ""Qu'avez-vous, ma chère Corine ?  Je vous trouve rêveuse, inquiète, chagrine.  Pourquoi d'un riche Amant méprisez-vous les voeux ?  Votre fierté déjà l'écarte de ces lieux,  On dit qu'un autre objet l'enchaîne. "")","('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",0.12,Substitution
137,"('#corine', ""Hé ! Pourquoi s'éloigner ! Sans me faire de peine  Il pouvait l'aimer à mes yeux. "")",,1.0,Insertion
138,"('#junon', 'Vous êtes donc pour lui bien peu sensible ? ')",,1.0,Insertion
139,"('#corine', ""On ne peut l'être moins, ma tante, assurément. "")",,1.0,Insertion
140,"('#junon', 'Comment, ma nièce, est-il possible ?  Il vous aime si tendrement :  Il a tant de bien en partage,  Il vous en fera part si libéralement ? ')","('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",0.99,Substitution
141,"('#corine', ""Ah ! Qu'il en fasse un autre usage.  Ses offres, ses présents, de sa part tout m'outrage.  C'est assez qu'il ait cru pouvoir impunément  M'adresser un indigne hommage,  Sans craindre mon ressentiment. "")",,1.0,Insertion
142,"('#junon', 'Si de retour de son voyage,  Il vous venait sincèrement  Vous demander en mariage,  Le refuseriez-vous, ma nièce ? ')",,1.0,Insertion
143,"('#corine', 'Absolument. ')",,1.0,Insertion
144,"('#junon', ""Dans l'espoir même du veuvage ? "")",,1.0,Insertion
145,"('#corine', ""Dût-il ne vivre qu'un moment. "")",,1.0,Insertion
146,"('#junon', ""Que je te sais bon gré d'un pareil mouvement !  Et quelle joie est égale à la mienne !  Dans ces bons sentiments que le Ciel t'entretienne.  Approche-toi. Viens çà. Que cet embrassement  De tes chagrins te récompense.  Il faudra pendant son absence  Faire tous nos efforts pour nous sauver d'ici. "")","('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",0.01,Substitution
147,"('#corine', ""Qu'heureusement enfin je retrouve ma tante :  C'est là l'unique espoir qui flatte mon attente. "")",,1.0,Insertion
148,"('#junon', ""C'est le plus grand bonheur dont je me flatte aussi. "")",,1.0,Insertion
149,"('#corine', ""Mais comment pourrons-nous assurer notre fuite ?  Ma chère tante, où sommes-nous ?  Des inconnus en ces lieux m'ont conduite  Malgré moi, presque malgré vous.  Ce séjour est-il prêt ? Est-il loin de Larisse ? En nous sauvant, où fuir ? Où nous cacher ?  Quel asile irons-nous chercher ? "")","('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",1.32,Substitution
150,"('#junon', ""Que notre dessein réussisse,  Je te réponds d'un asile assuré. "")","('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",1.0,Substitution
151,"('#corine', ""Nous n'y serons jamais assez tôt à mon gré. "")",,1.0,Insertion
152,"('#junon', ""Avant qu'il soit peu je t'y mène. "")",,1.0,Insertion
153,"('#corine', 'Ma tante, verrons-nous Philène ? ')",,1.0,Insertion
154,"('#junon', ""Philène ? Il est jeune et charmant,  J'aime à te voir l'aimer si tendrement. "")","('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",1.2,Substitution
155,"('#corine', ""Que mon absence lui fait peine !  Hélas ! Ma tante, en ce moment,  Peut-être me croit-il volage.  Son coeur souffre un cruel tourment.  Il faut que mon retour au plutôt le soulage.  Aux Autels de l'Amour nous avons fait serment  De nous aimer fidèlement.  Nous nous sommes donné nos portraits pour otage  D'un mutuel attachement.  Accordez-nous votre suffrage,  Et rendez heureux cet Amant. "")","('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",1.28,Substitution
156,"('#junon', ""Je réponds de l'événement,  Va m'attendre dans ce bocage. "")","('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",0.96,Substitution
157,"('#corine', 'Je compte sur vous, ma tante, absolument. ')",,1.0,Insertion
158,"('#junon', ""Enfin sous ce déguisement  Ma rivale me croit sa tante.  Je sais son secret sentiment :  Junon, tu dois être contente ;  Et ton perfide époux n'a point touché son coeur.  Elle est pourtant la victime innocente  D'une trop vive et jalouse fureur,  Si Bacchus à propos ne m'avait avertie,  Que ni lui ni l'Amour n'étaient de la partie.  Jupiter et l'Amour sont brouillés, que je crois.  Assez souvent ensemble ils ont querelle :  Profitons-en, l'occasion est belle.  Pour l'engager à travailler pour moi,  Approchez, Amour. "")","('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",1.19,Substitution
159,"('#l-amour', 'Ciel ! Est-ce Junon ? ')","('#daphne', 'Déployons nos trésors.')",1.99,Substitution
160,"('#junon', ""C'est elle. "")","('#chloris', ""J'ai cueilli les plus belles."")",1.65,Substitution
161,"('#l-amour', 'Dans cet équipage nouveau,  Pardonnez, si pour vous connaître,  Il a fallu quitter tout-à-fait mon bandeau.  Sous ce déguisement qui vous force à paraître ?  Pourquoi vous travestir ainsi ? ')",,1.0,Insertion
162,"('#junon', ""De la tante de Corine  J'ai pris l'habillement, la figure et la mine,  Afin de m'introduire ici ;  Et cependant d'abord vous m'avez reconnue. "")","('#aminte', 'Et moi, les plus nouvelles.')",1.4,Substitution
163,"('#l-amour', ""Je ne suis pas si aveugle que l'on dit ;  Sans le bandeau j'ai bonne vue,  Avec le bandeau bon esprit. "")",,1.0,Insertion
164,"('#junon', ""J'ai, sans en avoir fait aucune expérience,  Très bonne opinion de votre habileté.  Mais que vois-je avec vous ? N'est-ce pas l'Inconstance ? "")","('#meroe', 'Moi, les plus vives en couleur.')",1.6,Substitution
165,"('#l-amour', ""Elle ne m'a que rarement quitté,  Non plus que sa soeur la Folie. "")",,1.0,Insertion
166,"('#junon', 'Vous menez avec vous fort bonne compagnie. ')",,1.0,Insertion
167,"('#l-amour', ""Lui plaire est notre unique loi :  Nous le servons avec un zèle extrême :  Nous sommes les soutiens de son pouvoir suprême,  Ma soeur conseille, et j'exécute, moi. "")",,1.0,Insertion
168,"('#junon', ""Il a vraiment en vous deux excellents ministres.  Après cela je ne m'étonne pas  De tant d'événements sinistres  Qu'on voit là-haut comme ici-bas. "")",,1.0,Insertion
169,"('#l-inconstance', ""Doucement, s'il vous plaît, Déesse ;  Gardez de la mettre en courroux.  Dans le soin qui vous intéresse,  Vous pourriez bien avoir besoin de nous. "")",,1.0,Insertion
170,"('#junon', ""Oui, de vous, il est vrai, vous m'êtes nécessaire ;  Mais l'Inconstance ici pourrait me déranger,  À peu de frais elle peut m'obliger,  En ne se mêlant point du tout de cette affaire. "")",,1.0,Insertion
171,"('#l-inconstance', ""Dans cette occasion il faudrait m'engager,  Pour le moins, Déesse à me taire.  Et quand de votre Époux vous voulez vous venger,  Votre projet a besoin du mystère. "")",,1.0,Insertion
172,"('#l-amour', ""Il faut faire encor plus, si vous me voulez plaire,  Corine aime un jeune Berger,  Le Berger aime la Bergère.  Gardez de les faire changer ;  Respecter l'ordre que je donne :  N'approchez jamais de leur coeur,  Exécutez à la rigueur  Tout ce que l'Amour vous ordonne. "")",,1.0,Insertion
173,"('#l-inconstance', 'Vous serez obéi, Seigneur. ')",,1.0,Insertion
174,"('#l-amour', ""Voyez à vous servir combien je m'intéresse,  J'en fais mon plaisir le plus doux.  Cependant à parler franchement entre nous,  Nous nous connaissons peu, Déesse,  Et je n'ai presque point eu d'affaire avec vous. "")",,1.0,Insertion
175,"('#junon', ""Presque point ? Retranchez, de grâce,  Ce terme-là de vos discours,  Il n'est point du tout à sa place.  Est-il quelque vertu que la mienne n'efface ?  Je n'ai jamais fréquenté les Amours. "")",,1.0,Insertion
176,"('#l-amour', 'Vous avez perdu de beaux jours. ')",,1.0,Insertion
177,"('#junon', ""Je n'en regrette point la perte. "")",,1.0,Insertion
178,"('#l-amour', ""L'occasion d'aimer n'arrive pas toujours,  Je vous l'ai quelquefois offerte ;  La sagesse chez vous devrait finir son cours.  Si je l'ai trop longtemps soufferte,  D'un excès de fierté je me lasse à la fin,  Tôt ou tard j'en prendrai vengeance.  Il est réglé par le destin  Que tous les coeurs sentiront ma puissance :  Dans le vôtre sans résistance,  Laissez-moi prendre un droit qui m'est certain. "")","('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",0.17,Substitution
179,"('#junon', ""Quitter un style si badin,  Comptez, Amour, que Junon s'en offense. "")",,1.0,Insertion
180,"('#l-amour', 'Votre peu de complaisance,  Devrait être payé par un pareil dédain. ')",,1.0,Insertion
181,"('#junon', ""Dédain, soit. Mais qu'enfin mon projet réussisse ;  Il faut sans intérêt me rendre ici service,  Pour faire enrager mon époux,  Épouser mes transports jaloux. "")","('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",1.16,Substitution
182,"('#l-amour', ""Ce serait vous servir d'office.  Tout coup vaille, à Plutus sur moi  Il a donné la préférence.  Mais je serai vengé ; car j'en jure, ma foi,  Il en verra la différence.  Depuis un temps presque en toutes les Cours,  Il semble aux gens qui sont dans l'opulence,  Pour réussir dans leurs amours,  Qu'il ne leur faut l'appui que du Dieu des richesses,  C'est à lui seul qu'ils ont recours ;  Et pour toucher les coeurs de leurs maîtresses,  Ils pensent n'avoir pas besoin de mon secours.  Je leur ferai bien sentir le contraire,  Et l'on n'a qu'à me laisser faire.  D'un violent dépit je me sens animer,  Je ne puis faire que les belles  À qui l'on donne soient cruelles.  L'éclat de l'or peut les charmer,  Et l'exemple le justifie.  Mais, Messieurs les donneurs, parbleu je vous défie,  Sans moi de réussir à vous en faire aimer,  Il faut que Jupiter l'éprouve.  Il s'est d'un jeune objet follement entêté ;  Je veux qu'à son retour il trouve  Son projet pour elle avorté. "")",,1.0,Insertion
183,"('#junon', ""Qu'à ce ressentiment Junon est redevable ?  Vous remplirez ainsi mes souhaits les plus doux. "")",,1.0,Insertion
184,"('#l-amour', ""Oui. Mais d'un Dieu puissant je brave le courroux ;  Que ferez-vous pour moi, quand je fais tout pour vous ?  En deviendrai-je à vos yeux plus aimable ?  Lorsque vos voeux seront comblés,  Serez-vous toujours intraitable ? "")","('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",0.71,Substitution
185,"('#junon', 'Hélas ! ')","('#clymene', 'Amour,')",0.0,Match
186,"('#l-amour', 'Hé quoi ! Vous vous troublez ! ')",,1.0,Insertion
187,"('#junon', 'Laissez-moi. ')","('#daphne', 'Si jamais sous ta loi Je respire,')",1.1,Substitution
188,"('#l-amour', 'Déesse adorable,  De grâce, expliquez-vous, parlez. ')","('#clymene', 'Si jamais sous ta loi Je respire,')",1.35,Substitution
189,"('#junon', ""Je crains d'être trop pitoyable. "")","('#daphne', 'Je consens de mourir.')",1.64,Substitution
190,"('#l-amour', ""Que faut-il que j'espère ? "")","('#clymene', ""Mourir ? c'est beaucoup dire."")",1.19,Substitution
191,"('#junon', ""Allez,  Vengez-moi d'un Époux coupable,  Tout réussit toujours quand vous vous en mêlez. "")",,1.0,Insertion
192,"('#l-amour', ""Pour vous plaire, il n'est rien dont je ne sois capable ;  Et vous reconnaîtrez mes soins, si vous voulez. "")",,1.0,Insertion
193,"('#junon', 'Si de mes intérêts vous prenez la conduite,  Je compte sur la réussite.  Mais Faunus vient chercher Corine dans ces lieux,  Sous ces traits empruntés il faut tromper ses yeux. ')",,1.0,Insertion
194,"('#faunus', 'Comment donc, Madame la tante !  Pourquoi me devancer ainsi ?  Vous me semblez vraiment bien diligente,  Je vous quitte là-haut, et vous retrouve ici. ')",,1.0,Insertion
195,"('#junon', ""À force de courir, j'ai perdu presque haleine.  De Corine j'étais en peine. "")","('#daphne', 'Je consens de mourir, si jamais je soupire.')",1.23,Substitution
196,"('#faunus', ""J'en étais presque en peine aussi.  C'est ici que je l'ai laissée. "")","('#clymene', 'Je consens de mourir, si jamais je soupire.')",1.31,Substitution
197,"('#junon', ""Bien promptement elle s'est éclipsée.  Je crains… "")","('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",1.52,Substitution
198,"('#faunus', ""C'est vainement que vous vous alarmez,  Et ces Jardins sont bien fermés.  Sans une puissance divine  On ne saurait pénétrer en ce lieu,  Et je ne pense pas qu'un Dieu  Songe à nous enlever Corine. "")","('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",0.58,Substitution
199,"('#junon', ""Comme vous je me l'imagine ;  Mais afin d'adoucir un peu  Le chagrin qu'elle a de l'absence  De l'Amant qui la tient ici sous sa puissance… "")",,1.0,Insertion
200,"('#faunus', ""Ce qu'elle en fait paraître n'est qu'un jeu,  Je sais ce qu'il faut qu'on en pense. "")",,1.0,Insertion
201,"('#junon', ""Moi, j'en juge par l'apparence,  Et voudrais que, de votre aveu,  On fit effort pour la distraire  Des dangereux égarements  Qui me paraissent trop lui plaire. "")","('#daphne', 'Méroé, poursuivez nos divertissements.')",1.02,Substitution
202,"('#faunus', ""Oui, voilà le noeud de l'affaire ;  J'entre dans tous vos sentiments,  On l'a confié à ma garde. "")","('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",1.06,Substitution
203,"('#junon', 'Ce soin comme vous me regarde. ')",,1.0,Insertion
204,"('#faunus', ""Elle a pour s'échapper quelque mauvais dessein. "")",,1.0,Insertion
205,"('#junon', 'Peut-être… Ma franchise à moi vous est connue ? ')",,1.0,Insertion
206,"('#faunus', ""Pour cela, oui, j'en suis certain.  Mais je la vois paraître au bout de l'avenue.  Songeons à l'amuser, sans la perdre de vue. "")",,1.0,Insertion
207,"('#junon', 'Pour nous tromper tous deux, il faut être bien fin. ')",,1.0,Insertion
208,"('#faunus', 'Et se lever de bon matin. ')",,1.0,Insertion
209,"('#junon', ""Je vois dans ces bosquets la véritable tante,  Disparaissons. Il serait dangereux  Qu'ici Faunus nous vît ensemble toutes deux,  Ses soupçons troubleraient le dessein que je tente ;  Mais une musique galante  Des plus doux sons fait retentir les airs ;  De Nymphes, de Bergers, une troupe charmante,  Forme ces aimables concerts.  Avec eux déguisé, l'Amour conduit la Fête,  Invisible et présente à tout,  Attendons en repos le succès qu'il m'apprête :  Est-il quelque projet dont il ne vienne à bout. "")","('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",0.08,Substitution
210,"('#l-amour', ""Animez-vos d'un nouveau zèle,  Formez ici d'aimables jeux,  N'entendez-vous pas qu'en ces lieux  L'Amour lui-même vous appelle.  ENTRÉE de Philène et de Philis. "")","('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",0.52,Substitution
211,"('#faunus', ""Bergers, trouvez bon qu'en ces lieux,  On prenne part à vos aimables jeux. "")",,1.0,Insertion
212,"('#corine', ""J'ai revu mon Berger, Philène, il m'est fidèle ? "")",,1.0,Insertion
213,"('#philene', 'Je retrouve Corine, ô Berger trop heureux ! ')",,1.0,Insertion
214,"('#merope', 'Philène ici ? Quelle surprise ! Ah Dieux ! ')","('#apollon', 'Mais que dis-tu de ma victoire ?')",1.37,Substitution
215,"('#philene', 'En la voyant mon feu se renouvelle. ')","('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",1.61,Substitution
216,"('#merope', 'Sans faire aucun éclat, observons-les tous deux. ')",,1.0,Insertion
217,"('#philene', ""Amour, tu me la rends plus belle,  Rends-la constante et sensible à mes feux :  J'en suis sûr, et je lis mon bonheur dans ses yeux.  La constance ici tient sa cour,  Les chagrins, les peines cruelles,  N'approchent point de cet heureux séjour ;  C'est un domaine de l'Amour,  Qui n'est ouvert qu'aux coeurs fidèles.  Il chante."")","('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",0.55,Substitution
218,"('#philis', ""L'Amour est un Dieu charmant,  Dont le pouvoir s'étend sur tout ce qui respire.  Ne craignons point de prendre un tendre engagement ;  Quand c'est l'Amour qui nous l'inspire,  On est heureux sous son empire,  Lorsqu'on sait aimer constamment. "")","('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",0.21,Substitution
219,"('#philis #philene', ""Ne quittons point ces aimables retraites ;  C'est pour les coeurs constants qu'elles sont faites ;  Passons ici nos plus beaux jours,  Éloignons-en les volages amours. "")",,1.0,Insertion
220,"('#philis #tircis', ""Ne quittons point ces aimables retraites ;  C'est pour les coeurs constants qu'elles sont faites ;  Passons ici nos plus beaux jours,  Éloignons-en les volages amours.  Pendant cette reprise, Faunus et Mérope parlent bas ensemble ; et quand l'air est fini."")",,1.0,Insertion
221,"('#faunus', 'Comment donc, vous croyez ici faire les maîtres ?  Allez ailleurs passer vos plus beaux jours,  Dans vos hameaux ou sous vos hêtres :  Vous en pourrez chasser les volages Amours,  Mais ne revenez pas en ces lieux davantage. ')",,1.0,Insertion
222,"('#philene', 'Nous avons cru vous divertir. ')",,1.0,Insertion
223,"('#merope', 'Le beau régal ! Prenez un parti sage Et dépêchez-vous de partir. ')","('#apollon', 'Et que crains-tu pour moi ?')",1.47,Substitution
224,"('#corine', ""Mon amant n'est point volage,  Notre amour est en sûreté. "")",,1.0,Insertion
225,"('#merope', ""Qu'est-ce à dire ? "")","('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",1.33,Substitution
226,"('#faunus', ""Rentrons, nous. Ces gens de Village  Sur l'amour, la fidélité,  Tiennent toujours un sot langage,  Et qui ne convient point aux gens de qualité. "")","('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",1.59,Substitution
227,"('#corine', ""Tout m'est suspect ici, comme j'y suis suspecte,  En m'outrageant, on m'y respecte ;  On lit dans mes regards, on observe mes pas.  La tranquillité que j'affecte,  Fait naître des soupçons qu'elle ne détruit pas.  Avec un peu trop d'imprudence,  D'une tendre et fidèle ardeur,  À mon Argus j'ai fait la confidence ;  Et ma tante n'a feint d'approuver ma constance,  Que pour mieux pénétrer les secrets de mon coeur,  En quel état suis-je réduite ?  Amour ce coeur se livre à toi :  Déterminée à suivre aveuglément ta loi,  Je m'abandonne à ta conduite ;  Philène a mon coeur et ma foi,  L'ardeur de son rival et me gêne et m'irrite,  Son retour seul m'inspire un juste effroi.  Daigne, loin de ces lieux faciliter ma fuite,  Ou que mon Berger à ta suite,  Amour comme tantôt se montre devant moi. "")","('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",1.26,Substitution
228,"('#merope', ""Comment donc, vous parlez toute seule, ma nièce !  Les yeux au Ciel et pleine de ferveur,  Je ne sais à quel Dieu la prière s'adresse ?  Mais elle est faite avec ardeur. "")",,1.0,Insertion
229,"('#corine', ""Vous ne vous trompez point, ma tante,  J'adressais mes voeux à l'Amour,  Je le conjurais qu'en ce jour  Il voulût me rendre contente ;  Et vous-même tantôt paraissiez vous prêter  À tout ce qui peut me flatter. "")","('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",0.61,Substitution
230,"('#merope', ""Je m'y prête, il est vrai, parce que je vous aime,  Et le ne comprends pas quelle fatalité  Vous y fait résister vous-même. "")","('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",0.99,Substitution
231,"('#corine', ""Je n'ai point d'autre objet, ma tante, en vérité,  De mes sentiments informée,  Vous-même ici tantôt les aviez approuvés,  Je m'en tenais heureuse, et mon âme charmée… "")","('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",0.82,Substitution
232,"('#merope', 'Allez, ma nièce, vous rêvez. ')",,1.0,Insertion
233,"('#corine', ""Je vous ai déclaré la haine  Que j'ai pour ce nouvel Amant. "")",,1.0,Insertion
234,"('#merope', ""Et j'approuvais cela, moi, ma nièce ? "")",,1.0,Insertion
235,"('#corine', 'Oui, vraiment.  Je vous ai découvert mon amour pour Philène. ')",,1.0,Insertion
236,"('#merope', ""Je l'approuvais aussi peut-être ? "")",,1.0,Insertion
237,"('#corine', 'Assurément. ')","('#momus', 'Elle fuit.')",1.21,Substitution
238,"('#merope', 'De sa première ardeur son âme est toujours pleine. ')","('#apollon', 'Mille amours avec elle ont paru.')",0.81,Substitution
239,"('#corine', 'Comme moi sensible à la peine,  Que me fait son éloignement,  Vous me devez aider à sortir de la chaîne  Qui me retient esclave en ces lieux. ')","('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",1.37,Substitution
240,"('#merope', ""Justement,  J'aurais donc perdu sens, esprit et jugement,  Depuis que de l'aveu de toute la famille,  Orpheline et petite fille,  Vous fûtes commise à ma foi,  J'ai toujours eu pour but votre fortune, et crois  N'avoir rien négligé de ce qui la peut faire,  À mon exemple il faut vous en faire une loi,  Un riche Amant cherche à vous plaire  Sans parler d'épouser, d'abord cela fait peur ;  Et la chose n'est pas dans la règle ordinaire.  On le prend pour un Sénateur,  Pour ne pas s'expliquer en soupirant vulgaire :  Et c'est ce qui fait votre erreur.  Sans manquer au devoir il est une manière  De s'accorder à son humeur,  Il ne faut être en pareille matière,  Ni trop facile, ni trop fière.  Par des refus adroits on irrite l'ardeur ;  Si l'Amant devient téméraire,  On le contient par la pudeur :  S'il se plaint de trop de rigueur,  Un tendre regard la modère :  S'il est humble, timide, un sourire flatteur  L'anime, et lui dit qu'il espère.  Enfin, pour s'assurer un coeur,  Qui doit faire notre bonheur,  Il est, ma chère enfant, un petit savoir-faire,  Dont on peut se servir, sans blesser son honneur.  Par les appas d'une feinte tendresse  Un Amant se laisse amuser,  La moindre petite caresse  Faite à propos, suffit pour l'abuser.  Du portefeuille ainsi on se rend la maîtresse ;  L'Amant qui court après est forcé d'épouser.  Voilà comme il faut vous conduire,  Pour assurer votre fortune un jour.  Écoutez la raison, faire taire l'amour,  Vous êtes jeune, et l'on peut vous instruire. "")","('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",0.44,Substitution
241,,"('#momus', 'Passerons-nous pour dieux ?')",1.0,Deletion
242,"('#corine', ""Ma tante que m'osez- vous dire ?  Quels préceptes ? Quel changement ?  Vous me parliez tantôt ici tout autrement.  Dans quel trouble nouveau votre discours me plonge !  Je croyais voir par vous mon bonheur achevé :  Est-ce que je rêve ? Est-ce un songe ? "")","('#apollon', 'Et pour qui donc passer')",1.24,Substitution
243,"('#merope', ""Non, vous ne rêvez pas, mis vous avez rêvé ;  Sortez de cette rêverie,  Et songez qu'il n'est point de Philène pour vous :  Suivez mes conseils, je vous prie,  Votre nouvel Amant deviendra votre Époux.  De vos regards que l'autre se bannisse,  Il faut que son amour finisse,  Pour n'essuyer pas le courroux  D'un rival puisant et jaloux. "")","('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",0.12,Substitution
244,"('#corine', 'Nous braverons tous deux son pouvoir, sa colère. ')","('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",1.62,Substitution
