,dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,Cost,Operation Type
131,"('#marton', ""Hé !  Mort de ma vie, tu fais bien des façons pour avouer la chose.  Est-ce un si grand crime que l'industrie ?  Et n'y a-t-il pas aujourd'hui mille honnêtes gens qui s'en mêlent ?"")","('#lisette', ""Eh !  Mort de ma vie !  Tu fais bien des façons pour avouer la chose.  Est-ce un si grand crime, et n'y a-t-il pas aujourd'hui mille honnêtes gens qui s'en mêlent ?"")",0.0,Match
132,"('#frontin', ""Hé bien, Monsieur, puisqu'il faut vous dire les choses, je vous avoue ingénument que je me suis autrefois mêlé de quelques petites bagatelles, mais je vous assure que j'ai tout oublié : je ne vous conseille pas de jouer de moitié avec moi, je vous ferais perdre infailliblement, Mademoiselle... Il veut rendre la bourse."")","('#merlin', ""Eh bien !  Monsieur, puisqu'il faut dire comme vont les choses, il est vrai qne je me suis autrefois mêlé de quelques petites bagatelles, mais je vous assure que j'ai tout oublié.  Je ne vous conseille pas de jouer de moitié avec moi, je vous ferais perdre infailliblement."")",0.0,Match
133,"('#valere', ""Non, non, garde la bourse, on ne te l'a pas donnée pour être de moitié ; c'est déjà quelque chose, de t'être autrefois mêlé de la bagatelle, et il n'est pas que tu n'en saches assez pour ce qu'il nous faut."")","('#dorante', ""Non, non, garde les trente pistoles, je ne te les ai pas données pour jouer de moitié.  C'est déjà quelque chose que de s'être mêlé autrefois de la bagatelle, et il n'est pas que tu n'en saches assez pour ce qu'il nous faut."")",0.0,Match
134,,"('#merlin', 'Mais au moins, Monsieur, je vous prie de ne me point engager dans quelque mauvaise affaire.  Je ne suis pas encore trop bien raccommodé avec la justice, et nous boudons ensemble depuis quelque temps.')",1.0,Deletion
135,,"('#dorante', ""Ce sont les petits différends que tu as eus avec elle qui t'ont fait mettre en condition, n'est-ce pas ?"")",1.0,Deletion
136,"('#frontin', ""Puisque vous devinez si bien les choses, Monsieur, je ne vous nierai point quelques-unes de ces petites bagatelles : quelques Décrets mal purgés, quelques petites bouderies que la Justice et moi nous avons eues ensemble, m'ont fait résoudre à me cacher sous l'habit de domestique auprès quelque honnête personne, qui eût soin de moi, et qui m'honorât de sa protection, en cas de besoin."")","('#merlin', ""Mais, Monsieur, puisque vous devinez si bien les choses, je ne vous nierai point que quelques unes de ces petites bagatelles, quelques décrets mal purgés, m'ont fait résoudre à me mettre auprès de quelque honnête personne qui eût soin de moi, et qui m'honorât de sa protection en cas de besoin."")",0.0,Match
137,"('#valere', ""Tu peux t'assurer de tout cela, si tu me sers sans me trahir.  Ne connais-tu point un certain Baron de Garbatacase, par hasard ?  Les illustres de même métier se connaissent ordinairement."")","('#dorante', ""Tu peux t'assurer de tout cela avec moi, si tu me sers sans me trahir.  Ne connaîtrais-tu point un certain chevalier de Bellemonte, par hasard ?  Les habiles gens se connaissent ordinairement."")",0.0,Match
138,"('#frontin', 'Le Baron de Garbatacase !  Je ne me remets point cela.')","('#merlin', 'Le chevalier de Bellemonte ?')",1.36,Substitution
139,"('#valere', ""Rêve un peu, tâche à rappeler ta mémoire, c'est le meilleur de tes amis, peut-être."")","('#lisette', 'Rêve un peu, tâche de rappeler ta mémoire.')",0.0,Match
140,,"('#dorante', 'Il est peut-être de tes amis.')",1.0,Deletion
141,"('#celide', 'Vous rêvez, Valère, de vous imaginer que ce Baron-là soit de la connaissance et des amis de votre valet.')","('#angelique', 'Vous rêvez, Dorante, de croire que le chevalier soit ami de votre valet.')",0.13,Substitution
142,"('#valere', ""Non, non, cette pensée n'est pas sans fondement, et je vous réponds qu'il n'y a pas deux ans que Frontin était un homme autant d'importance, que le personnage à qui nous avons affaire."")","('#dorante', ""Non, non, Madame, cette pensée n'est pas sans fondement, et je vous réponds qu'il n y a pas quatre ans que Merlin était chevalier d'aussi grande conséquence que celui à qui nons avons affaire."")",0.28,Substitution
143,"('#frontin', ""Ah !  Monsieur, c'est à Lyon que vous m'avez vu sans doute ; car je n'ai presque fait jamais l'homme de qualité que dans cette Ville-là."")","('#merlin', ""Ah !  C'est à Lyon que vous m'avez vu, sans doute !  Je n'ai jamais été chevalier que dans cette ville-là."")",0.0,Match
144,"('#valere', ""Que vous disais-je ?  Hé bien !  Crois-tu connaître celui que je t'ai nommé ?"")","('#dorante', ""Que vous disais-je, Madame ?  Eh bien, crois-tu connaître celui que je t'ai nommé ?"")",0.0,Match
145,"('#frontin', ""Ce nom-là, Monsieur, a assez de l'air de quelques-unes de nos Seigneuries Ultramontaines.  Il y a beaucoup de Commanderies de notre Ordre du côté des Alpes ; mais il me semble que je n'ai pas encore ouï parler de ce Seigneur-là."")","('#merlin', ""Ce nom de Bellemonte a assez l'air de quelques unes de nos seigneuries, mais il me semble que je n'en ai pas encore ouï parler."")",0.0,Match
146,"('#marton', ""Il faudrait lui faire voir les gens en question ; il connaîtra quelqu'un d'eux, peut-être."")","('#lisette', 'Il faut lui faire voir le chevalier, il le connaîtra peut-être.')",0.0,Match
147,"('#frontin', ""Hom.  Je pourrais bien les voir sans les connaître, car nous changeons de personnage dans le monde.  Tantôt on est Marquis, tantôt Chevalier, puis Marchand, Abbé quelquefois, Financier souvent ; dans la dernière affaire qui m'est arrivée, je passais pour un Procureur, le croiriez-vous ?"")","('#merlin', ""Je pourrais bien le voir sans le connaître, car on change de personnages dans le monde.  Tantôt on est marquis, tantôt chevalier, puis marchand, quelquefois abbé, financier souvent.  Que sais-je, moi ?  Dans la dernière affaire qui m'est arrivée, je faisais le commissaire."")",0.0,Match
148,,"('#angelique', 'Il nous dit là des choses assez particulières.')",1.0,Deletion
149,,"('#dorante', 'Il en fait beaucoup, Madame, je vous assure.')",1.0,Deletion
150,"('#marton', 'Tu étais un fripon bien mal déguisé.')","('#lisette', 'Le joli garçon !')",1.5,Substitution
151,"('#valere', 'Çà voyons, comment ferons-nous ?')","('#dorante', 'Comment ferons-nous ?')",0.0,Match
152,"('#frontin', 'Si vous pouviez me faire jouer avec votre homme, ne fut-ce que quelques parties de Piquet seulement, pour peu que nous travaillions ensemble tête à tête, je vous dirai bientôt de quoi il est capable, de quelle école il est sorti, et en quoi il excelle, et quelque chose de plus encore, peut-être.')","('#merlin', ""Si vous pouvez me faire jouer avec votre homme, pour peu que nous travaillions ensemble tête-à-tête je vous dirai bientôt ce qu'il fait, de quelle école il est sorti, et quelque chose de plus peut-être."")",0.0,Match
153,"('#valere', 'Me réponds-tu de cela ?')","('#dorante', 'Me réponds-tu de cela ?')",0.0,Match
154,"('#frontin', 'Oui morbleu, je vous en réponds, nous nous connaissons en habiles joueurs, mieux que les brocanteurs ne se connaissent en tableaux.')","('#merlin', 'Oui, Monsieur, je vous en réponds.  Nous nous connaissons en joueurs, nous autres, comme les peintres se connaissent en tableaux.')",0.0,Match
155,"('#marton', 'Quelle perfection !  Cela est admirable.')","('#lisette', 'Cela est admirable.')",0.0,Match
156,"('#valere', 'Viens, suis-moi, tu prendras celui de mes habits qui te conviendra le mieux, et nous concerterons ensemble les moyens de te mettre aux prises avec le Baron.')","('#dorante', ""Viens, suis-moi ; et pendant que j'irai chez mon oncle, va prendre un de mes habits.  Je te mettrai aux prises avec notre homme."")",0.0,Match
157,"('#celide', 'Le voici, je pense, avec ma mère.')",,1.0,Insertion
158,"('#valere', 'Ne le reconnais-tu point, dis ?')","('#angelique', 'Où croyez-vous le pouvoir joindre, Dorante ?')",1.03,Substitution
159,"('#frontin', ""Et comment diantre le reconnaître, il n'a que la moitié de son visage."")",,1.0,Insertion
160,"('#valere', 'Ne perdons point de temps, songeons à notre affaire.')",,1.0,Insertion
161,"('#belise', 'Voilà, Monsieur_le_Baron, la situation où sont les choses')","('#dorante', 'Que Lisette se trouve dans votre chambre, je veux que la scène se passe dans votre cabinet.  Adieu, voilà Madame votre mère.  Je suis ici dans quelques moments.')",1.44,Substitution
162,"('#garbatacase', 'No é bonà stà scituationé, ma bisogna pillar un poco di patience, et di veder le cours des affaires.')","('#lisette', 'Oh parbleu !  Monsieur le chevalier, nous saurons ce que vous savez faire.')",1.5,Substitution
163,"('#belise', 'Oui, mais ces affaires-là vont vite, à ce que dit Monsieur Bartolin.')","('#dorimene', ""Oui, Monsieur, la résolution en est prise, et c'est à vous de voir si vous me pouvez faire toucher cet argent aussitôt que je serai arrivée."")",1.5,Substitution
164,,"('#lisette', 'Quel pèlerinage va-t-elle faire ?')",1.0,Deletion
165,,"('#angelique', 'Je ne sais.')",1.0,Deletion
166,,"('#dorimene', 'À quoi rêvez-vous ?')",1.0,Deletion
167,"('#marton', ""Et quand on s'amuse à les voir courir, elles attrapent les regardants quelquefois."")",,1.0,Insertion
168,"('#belise', 'Croyez-moi, Monsieur, ne négligez rien ; représentez vos droits, faites-les valoir.')","('#topase', ""Ce n'est point la somme qui m'embarrasse et, Dieu merci, nous sommes en état, mes correspondants et moi, de faire tous les jours de plus grosses affaires mais les bijoux que vous avez envoyés ce matin chez moi, ne valent point, à beaucoup près, l'argent que vous en voulez avoir ; et vous savez, Madame, que dans le temps où nous sommes, on ne se charge guère de bijoux qu'on ne les ait à grand marche."")",1.15,Substitution
169,"('#garbatacase', ""No é tempo encorà, Madame, non é rempo ; é pericoloso di commettersi, la politica est le parti qu'un galant homme deve prendre, con la joustitia."")","('#dorimene', ""Bons dieux !  Monsieur Topase, que vous faites le difficile, comme si nous ne savions pas de quel profit vous sont les bijoux, et combien vous faites votre compte à les vendre trois fois plus qu'ils ne valent aux jeunes gens de famille, qu'on vous adresse quand ils ont affaire d'argent."")",1.46,Substitution
170,"('#marton', ""Mais la jousticia, elle n'a point de politicà, Monsieur, è une brutale qui va toujours son train."")","('#topase', 'Cela va bien changer, Madame ; le lansquenet défendu nous coupe la gorge, et voilà le commerce ruiné en France.')",1.55,Substitution
171,,"('#dorimene', ""Cela est vrai, Paris va devenir désert assurément, si l'on ne réforme cette défense."")",1.0,Deletion
172,,"('#topase', ""Paris ?  Paris verra ce qu'il perd, en nous perdant surtout."")",1.0,Deletion
173,,"('#angelique', ""Ah !  Bons dieux !  Lisette, aurait-elle fait dessein d'aller demeurer à la campagne ?"")",1.0,Deletion
174,,"('#lisette', ""J'en meurs de peur, aussi bien que vous."")",1.0,Deletion
175,"('#garbatacase', 'Qué faté a questo ?  Quelle manière de si far jousticià de la joustitià habbi sempré la spadà a la mano, lasciamo far al tempo.')","('#dorimene', 'Mon pauvre Monsieur Topase, mon départ ne peut être trop prompt à ma fantaisie.  Finissons notre affaire le plus tôt que nous pourrons.')",1.41,Substitution
176,"('#belise', ""Oui, mais ces lettres de change de mille écus, que l'on tire sur vous et sur moi, et qui sont payables à vue ?"")","('#topase', ""Relâchez-vous de quelque chose, Madame, et nous n'aurons pas de peine à conclure.  Je vous fournirai les quinze mille livres, en belles et bonnes lettres de change, payables à vue."")",0.31,Substitution
177,"('#garbatacase', ""Pagar Signora, pagar, nô fare rebellion ; al contrario de la politessà de l'accortise vi prometto que quel argent ritornera con l'usura."")",,1.0,Insertion
178,"('#belise', ""Je n'y vois guère d'apparence."")",,1.0,Insertion
179,"('#garbatacase', 'Si mutarono li tempi, et si la persécution persevera faremo viagi, andaremo tutti in Angliterrà.')",,1.0,Insertion
180,"('#belise', 'En Angleterre, Monsieur.')",,1.0,Insertion
181,"('#garbatacase', 'Si Signora, e païs excellente per la residenza.')",,1.0,Insertion
182,"('#belise', ""Je n'en serais pas fâchée, je suis assez dans le goût des voyages.  Vous viendrez avec nous, ma fille."")","('#dorimene', 'Je passerai chez vous cette après-dinée, et nous terminerons toutes choses.')",1.35,Substitution
183,"('#celide', 'Vous êtes la maîtresse, Madame.')","('#topase', 'Je vous attendrai, Madame.')",1.04,Substitution
184,"('#marton', 'Le joli pèlerinage.')",,1.0,Insertion
185,"('#garbatacase', 'E à proposito, in queste conjonturé, di pillar di précaution, me ne vo cercar un Banquier, Per far passar la mer à mes fonds, li viagio si fara sur le vostri, madame, et les comptes si farono quando sarémo arrivari à Londres.')",,1.0,Insertion
186,"('#marton', 'Adio, adunqué, signor bon viaggio.')",,1.0,Insertion
187,"('#belise', ""Hé bien, ma fille, voilà un terrible coup, à quoi je ne m'attendais guères, tout est perdu ; voilà notre fortune ruinée, ma chère enfant !"")","('#dorimene', ""Eh bien, ma fille, voilà un terrible coup à quoi je ne m'attendais guère.  Tout est ruiné, ma fille, voilà ta fortune perdue, ma pauvre enfant."")",0.0,Match
188,"('#celide', 'Comment donc, Madame ?')","('#angelique', 'Comment donc, Madame ?')",0.0,Match
189,,"('#dorimene', ""Comment ?  Le chevalier de Bellemonte allait gagner tout l'argent de Paris, et j'avais parole qu'il t'épouserait."")",1.0,Deletion
190,,"('#angelique', 'Je vous suis bien redevable, Madame, des vues que vous aviez pour ma fortune ; mais le chevalier...')",1.0,Deletion
191,"('#belise', ""Heureusement il nous reste la ressource des voyages, comme Monsieur_le_Baron l'a parfaitement imaginée."")","('#dorimene', 'Ce ne sont point des chimères.  Il a des secrets admirables pour gagner à coup sûr au lansquenet.')",1.41,Substitution
192,"('#marton', ""C'est un homme de bon esprit, il en a jusqu'au bout des doigts."")","('#lisette', ""Et cela, sans qu'il y ait la moindre petite ombre de friponnerie.  Il est adroit comme un singe, au moins."")",1.03,Substitution
193,,"('#dorimene', ""Oh !  Pour cela, il joue le plus honnêtement du monde.  N'est-il pas vrai, Lisette ?"")",1.0,Deletion
194,,"('#lisette', 'Oui, Madame.  Je le veux croire, Madame, pour lui faire honneur, et pour vous faire plaisir ; mais en vérité...')",1.0,Deletion
195,,"('#dorimene', ""Il ne nous reste qu'une petite ressource dans notre affliction, et je suis bien aise de vous informer du dessein où nous sommes, le chevalier et moi."")",1.0,Deletion
196,"('#celide', ""Voilà de terribles ressources, Madame, et je vous avoue qu'elles me font trembler."")","('#angelique', 'Ah, Lisette !  Voilà une ressource qui me fait trembler.')",0.04,Substitution
197,,"('#dorimene', ""Qu'avez-vous ?"")",1.0,Deletion
198,,"('#angelique', 'Rien, Madame.')",1.0,Deletion
199,"('#belise', 'Et pourquoi donc, Mademoiselle ?  Rien ne forme tant les jeunes personnes que les voyages.')","('#dorimene', 'Je crois, ma fille, que vous serez ravie de ma résolution ; les jeunes personnes sont ordinairement bien aises de voyager.')",0.82,Substitution
200,,"('#lisette', 'En voici bien une autre.')",1.0,Deletion
201,"('#marton', 'Assurément ; ne vous mènerez-vous point faire une petite campagne en Hongrie ?')","('#angelique', 'Comment donc, Madame, où voulez-vous aller ?')",0.3,Substitution
202,"('#belise', ""Pourquoi non ; s'il y avait de l'argent à gagner ?  Nous irons d'abord en Angleterre, ma fille."")","('#dorimene', 'En Angleterre, ma fille.')",1.02,Substitution
203,"('#celide', 'En Angleterre, Madame ?')","('#angelique', 'En Angleterre, Madame !')",0.0,Match
204,"('#marton', 'Passer la mer comme des hirondelles ?')","('#lisette', 'Passer la mer comme des hirondelles !')",0.0,Match
205,"('#celide', 'Mais, avez-vous bien songé, Madame ?')","('#angelique', 'Avez-vous bien songé, Madame...')",0.0,Match
206,"('#belise', ""Ces choses-là n'ont pas besoin de réflexions, et j'ai ouï dire toute ma vie que l'Angleterre était au Pérou pour un habile joueur, comme Monsieur_le_Baron, la plupart de ces Milords ne savent que faire de leur argent."")","('#dorimene', ""J'ai fait toutes les réflexions qu'il a fallu faire.  C'est un Pérou que l'Angleterre pour un habile joueur comme le chevalier, et la plupart de ces gros milords ne savent que faire de leur argent."")",0.0,Match
207,"('#celide', 'Ah !  Juste Ciel !  Que je suis malheureuse ?')","('#angelique', 'Ah !  Juste ciel, que je suis malheureuse.')",0.0,Match
208,"('#belise', ""Quand nous aurons épuisé l'Angleterre, nous passerons en Hollande, il y a encore de bonnes bourses en ce pays-là."")","('#dorimene', ""Quand nous aurons épuisé l'Angleterre, nous passerons en Hollande.  Il y a de bonnes bourses en ce pays-là."")",0.0,Match
209,"('#marton', 'Assurément ; et si vous ruinez la Hollande, je vous conseille de ne pas aller plus loin, et de revenir à Paris tout au plus vite.')","('#lisette', 'Assurément ; et si vous ruinez la Hollande, je vous conseille de ne pas aller plus loin, Madame, et de regagner Paris au plus vite.')",0.0,Match
210,"('#belise', ""Moi, je n'y remettrai les pieds de ma vie, que le Lansquenet et le Pharaon n'y soient rétablis dans tout leur éclat."")","('#dorimene', ""Moi, je n'y remettrai les pieds de ma vie, que le lansquenet n'y soit rétabli."")",0.0,Match
211,"('#marton', 'Voilà Madame_la_Comtesse qui fera le voyage avec vous, si vous voulez.')","('#lisette', 'Voilà Madame_la_Comtesse qui fera le voyage avec vous, si vous voulez.')",0.0,Match
212,"('#la-comtesse', ""Bonjour, ma chère ; qu'est-ce donc que ceci.  Où est tout notre monde aujourd'hui.  Quels paresseux !  Le Chevalier Toppe n'est point encore venu ?  Où est Monsieur l'Abbé Quinze et le Và, ma Mignonne, et le petit Caissier ?  Je ne le vois point ; il faut que la Marquise et la Conseillère soient malades, puisqu'elles ne sont pas arrivées des premières."")","('#la-comtesse', ""Bonjour, ma chère.  Qu'est-ce que c'est donc que ceci ?  Où est tout notre monde aujourd'hui ?  Quels paresseux !  Le chevalier n'est point encore venu ?  Où est Monsieur l'abbé, ma mignonne ?  Et le petit caissier, je ne le vois point.  Il faut que la marquise soit malade, puisqu'elle n'est point arrivée la première."")",0.0,Match
213,"('#celide', 'Je suis dans un étrange accablement, Marton.')","('#lisette', ""Diantre soit de l'extravagante !"")",1.7,Substitution
214,"('#marton', 'Allez vous reposer dans votre cabinet, je vous avertirai quand Valère et son valet seront ici.')",,1.0,Insertion
215,"('#la-comtesse', ""Dans quelle inaction tout me paraît ici !  Le jeu n'est point encore rangé, il n'y a nuls préparatifs pour la grosse partie que nous devons avoir."")","('#la-comtesse', ""Allons donc, des tables, des cartes.  Quel abandonnement !  Il n'y a encore rien de préparé."")",0.51,Substitution
216,"('#belise', 'Hé !  Madame_la_Comtesse, quel contretemps de plaisanterie ?')","('#dorimene', 'Eh !  Madame quel contre-temps de plaisanterie !')",0.0,Match
217,"('#la-comtesse', ""Je ne plaisante point du tout ; vraiment ; je ne vins point hier, ne m'en faites point de reproches, je ne sortis point de la journée, je ne vis personne ; je m'étais purgée par précaution, pour évacuer les mauvaises humeurs que ma mauvaise fortune m'a fait faire ; et mon Apothicaire, qui est un fort habile homme, m'a bien assurée que ma médecine me purgerait aussi de mon malheur.  Oh !  Je suis sûre de gagner aujourd'hui tout ce que je voudrai."")","('#la-comtesse', ""Je ne vins point hier, mais vous n'avez point de reproche à me faire, je ne sortis pas de la journée je m'étais purgée par précaution, et je ne voulais voir personne."")",0.0,Match
218,"('#marton', 'Prendre médecine pour gagner, la sage précaution !')",,1.0,Insertion
219,"('#la-comtesse', ""Je me porte à merveille, et je brûle d'impatience de commencer la partie, pour voir si le remède aura opéré."")",,1.0,Insertion
220,"('#marton', 'Vous vous êtes purgée un peu trop tard, Madame.')",,1.0,Insertion
221,"('#la-comtesse', 'Comment donc ?')",,1.0,Insertion
222,"('#belise', ""Est-ce que vous n'avez appris aucunes nouvelles ?"")","('#lisette', 'Ah !  Ah !  Vous ne savez donc pas encore les nouvelles ?')",0.06,Substitution
223,"('#la-comtesse', ""Pardonnez-moi, mais peu importantes.  Ce petit Conseiller m'a dit ce matin que cette grosse Marchande de dorure en avait vendu pour douze mille francs, à moitié de perte, et qu'elle avait perdu cet argent le même jour."")","('#la-comtesse', ""Pardonnez-moi j'en sais quelqu'une.  Notre jeune Allemand m'a conté ce matin à ma toilette quelque chose de particulier.  La petite procureuse, j'en suis fâchée vraiment, c'est une bonne petite femme.  Elle emprunta, il y a quelques jours, sur un collier de mille écus, six vingt pistoles, qu'elle perdit ici le lendemain."")",0.23,Substitution
224,"('#marton', ""Elle n'avait pas eu la précaution de prendre médecine, Madame."")",,1.0,Insertion
225,"('#la-comtesse', ""Le pauvre mari !  Pour réparer cette perte qui le mettait en situation de faire banqueroute, a risqué six cent pistoles qu'il avait dans la caisse, il les a perdues jusqu'au dernier sol.  Le fils a vendu la vaisselle, pour remédier à ces deux inconvénients, même destinée.  Le Pharaon a tout englouti, jusqu'aux garçons qui ont joué les lettres de change qu'on leur avait données à recevoir ; il y a garnison dans le logis, la banqueroute est faite."")","('#dorimene', ""Eh bien, Madame, le collier faux qu'elle avait acheté pour remplacer le sien, n'était point tout à fait semblable.  Monsieur le procureur s'en est aperçu, et il l'a querellée d'une manière épouvantable."")",1.03,Substitution
226,"('#marton', ""La banqueroute n'est point frauduleuse."")","('#lisette', 'Le ridicule !')",1.46,Substitution
227,"('#la-comtesse', 'On parle encore de cette petite Procureuse, qui est si fort amoureuse de ce grand Notaire.')",,1.0,Insertion
228,"('#belise', ""Hé bien, Madame, qu'en dit-on de celle-là ?  Elle est de mes amies."")",,1.0,Insertion
229,"('#la-comtesse', ""Elle a perdu soixante pistoles avant-hier, elle a vendu son diamant et ses boucles d'oreilles pour les payer ; c'est son amant le notaire qui les a achetées, et qui en a fait présent à Madame sa femme."")","('#la-comtesse', ""N'a-t-elle pas fait un grand crime, de perdre six vingt pistoles ?  Mais ces bourgeois sont bien brutaux, ma mignonne."")",0.96,Substitution
230,"('#marton', ""Voilà un amant bien poli ; qu'il y a de noblesse là-dedans !"")","('#dorimene', 'Oh !  Pour cela, leurs manières sont bien différentes de celles des gens de qualité.')",1.25,Substitution
231,"('#la-comtesse', ""Un notaire est toujours notaire ; mon enfant, ces Messieurs-là savent le prix de l'argent, et il y a de certains bourgeois qui ne se dérangent point."")","('#angelique', 'Je suis dans un étrange accablement, Lisette.')",1.77,Substitution
232,,"('#lisette', 'Allez vous reposer dans votre cabinet.  Je vous avertirai quand Dorante sera venu.')",1.0,Deletion
233,"('#marton', ""Ils ne sont pas tous de même, et j'en connais plus de quatre à Paris, à qui le Lansquenet et le Pharaon ont furieusement écorné les dépôts."")",,1.0,Insertion
234,"('#la-comtesse', 'Ah, ah !  Le troupeau se rassemble à la fin ; voici déjà Clitandre, le bel esprit.')","('#la-comtesse', 'Ah !  Ah !  Le troupeau se rassemble à la fin.  Voilà Clitandre le bel esprit.')",0.0,Match
235,"('#clitandre', 'Madame, je vous donne le bon jour.')","('#clitandre', 'Madame, je vous donne le bonjour.')",0.74,Substitution
236,"('#la-comtesse', ""Qu'il est triste, ma bonne !  Bonjour, Clitandre, allons gai, gai, point de mélancolie ; il perdit hier son argent, je gage."")","('#la-comtesse', ""Qu'il est triste, ma bonne !  Bonjour, Clitandre.  Allons !  Gai !  Gai !  Il perdit hier son argent, je gage."")",0.0,Match
237,"('#clitandre', ""Hé, Madame !  Plût au Ciel que j'eusse perdu mille pistoles, et que ce malheur-là ne fût point arrivé."")","('#clitandre', ""Eh Madame, plût an ciel que j'eusse perdu mille pistoles, et que ce malheur-là ne fût point arrivé."")",0.0,Match
238,"('#belise', ""Ah, Clitandre !  Que je vous sais bon gré d'être si sensible à ce funeste accident."")","('#dorimene', ""Ah !  Clilandre, que je vous sais bon gré d'être sensible à cet accident."")",0.0,Match
239,"('#la-comtesse', ""Comment donc ?  Que voulez-vous dire ?  Vous êtes, je crois, de concert pour me plaisanter l'un et l'autre.  Plus je vous regarde, et moins je vous comprends tous deux.  Quel malheur ?  Quel accident ?  De quoi parlez-vous ?  Il semble que vous prévoyez la fin du monde, et qu'elle soit toute prête d'arriver."")","('#la-comtesse', ""Comment donc ?  Que voulez-vous dire ?  Vous êtes, je crois, de concert pour me plaisanter l'un et l'autre.  Plus je vous regarde, et moins je vous comprends tous deux.  Quel malheur ?  Quel accident ?  De quoi parlez-vous? Il semble que vous prévoyiez la fin du monde, et qu'elle soit prête d'arriver."")",0.0,Match
240,"('#clitandre', 'Madame_la_Comtesse ignore apparemment que le Lansquenet et le Pharaon sont défendus.')","('#clitandre', 'Madame_la_Comtesse ignore apparemment que le lansquenet est défendu.')",0.0,Match
241,"('#la-comtesse', 'On a défendu le Pharaon et le Lansquenet !')","('#la-comtesse', 'On a défendu le lansquenet ?')",0.69,Substitution
242,"('#clitandre', 'Hé !  Oui, Madame, on les a défendus.')","('#clitandre', 'Eh, oui, Madame, on a défendu le lansquenet !')",0.0,Match
243,"('#la-comtesse', ""Vous vous moquez de moi, et cela ne se peut pas ; ces défenses-là ne subsisteront point, et c'est comme si on défendait de dormir."")","('#la-comtesse', ""Vous vous moquez, Clitandre, cela ne se peut pas, et c'est comme si l'on défendait de dormir."")",0.0,Match
244,"('#clitandre', ""Pour moi, je crois que j'aimerais mieux qu'on me défendit le boire et le manger."")","('#clitandre', ""Pour moi, j'aimerais autant qu'on m'eût défendu le boire et le manger."")",0.0,Match
245,"('#belise', ""Il est vrai qu'il vaudrait autant mourir."")","('#dorimene', ""Il est vrai qu'il vaut autant mourir."")",0.0,Match
246,"('#marton', 'Hé !  Allez, allez, il y a nombre de gens à Paris que la défense y réduira.')",,1.0,Insertion
247,"('#la-comtesse', 'Mais cela ne peut pas être encore une fois.')","('#la-comtesse', 'Mais cela ne se peut pas, vous dis-je encore une fois.')",0.29,Substitution
248,"('#clitandre', ""Hé !  Madame, je vous dis ce que tout Paris sait, ce que tout Paris dit, et ce que j'ai entendu publier ce matin sous mes fenêtres."")","('#clitandre', ""Eh !  Madame_la_Comtesse, je vous dis ce que tout Paris sait, ce que tout Paris dit, et ce que j'ai entendu publier ce matin sous mes fenêtres."")",0.0,Match
249,"('#la-comtesse', ""Ah, publier !  Publier, Monsieur, c'est autre chose.  Ces publications sont pour le peuple, pour les laquais, pour la petite canaille à qui l'on défend de certains jeux qui ne sont faits que pour les gens de qualité."")","('#la-comtesse', ""Ah !  Publier ?  Publier, c'est autre chose.  Ces publications sont pour le peuple, pour les laquais, pour la canaille, à qui l'on fait bien de défendre certains jeux qui ne sont faits que pour les gens de qualité."")",0.0,Match
250,"('#clitandre', ""Oui, Madame, ce sont les laquais à qui l'on défend de jouer, sous peine de mille écus d'amende."")","('#clitandre', ""Oui, Madame, vous avez raison ce sont les laquais et la canaille à qui l'on défend de jouer le lansquenet, sous peine de mille écus d'amende."")",0.0,Match
251,"('#la-comtesse', ""Mille écus !  Mille écus !  Il faut que vous ayez mal entendu, Monsieur ; et il me semble que si les défenses étaient pour les personnes de condition, ils valent assez la peine qu'on leur signifie la chose chez eux, sans la leur publier au coin des rues."")","('#la-comtesse', ""Mille écus !  Mille écus !  Mais vraiment vous n'y songez pas, vous avez mal entendu, Clitandre ; et il me semble que si la défense était pour les personnes de condition, ils valent assez la peine qu'on leur signifie la chose chez eux, sans le leur publier au coin des rues."")",0.0,Match
252,"('#marton', ""Oui, les bienséances et la civilité paraissent un peu négligées en ces matières, mais la Police n'est pas polie."")","('#clitandre', 'Que voulez-vous que je vous dise, Madame ?  Ce sont des affaires qui se font ordinairement ainsi.')",1.01,Substitution
253,"('#jasmin', 'Voilà Madame la Marquise dans votre antichambre qui se trouve mal, Madame.')","('#un-laquais', ""Voilà Madame l'intendante dans votre antichambre, qui se trouve mal,\tje crois."")",0.0,Match
254,"('#belise', ""Voyez ce que c'est, Marton, qu'on la fasse entrer."")","('#dorimene', ""Voyez ce que c'est, Lisette."")",1.73,Substitution
255,"('#la-comtesse', ""Est-ce cette Marquise qui a perdu tant d'argent il y a huit jours ?"")","('#la-comtesse', ""Est-ce cette intendante qui perdit tant d'argent il y a huit jours ?"")",0.0,Match
256,"('#belise', ""C'est elle-même."")","('#dorimene', 'Elle-même.')",0.19,Substitution
257,"('#clitandre', ""Elle a de quoi perdre, celle-là, son mari s'est mis dans les affaires ; mais je doute qu'elles soient assez bonnes pour fournir à toutes les dépenses que fait sa femme."")","('#clitandre', ""Oh parbleu !  Elle a de quoi perdre.  Son mari a ruiné le maître dont il gouverne les affaires, mais je crois qu'il sera bientôt ruiné lui-même par les dépenses de sa femme."")",0.0,Match
