,montchretien-hector,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,Cost,Operation Type
285,,"('#cassandre', 'De votre orgueil, oui.')",1.0,Deletion
286,"('#priam', ""Aussi la diligence est requise aux gens d'armes"")","('#hecube', 'De vos vices.')",1.6,Substitution
287,,"('#andromaque', ""C'est un pauvre tas d'incertitude, un pauvre amas de crainte, qui déteste ce qui est lourd, qui adore ce qui est vulgaire et facile."")",1.0,Deletion
288,,"('#hector', 'Chère Andromaque !')",1.0,Deletion
289,,"('#hecube', ""C'est très simple.  Voilà cinquante ans que je suis femme et je n'ai jamais pu encore savoir au juste ce que j'étais."")",1.0,Deletion
290,"('#andromaque', ""Jamais il n'eut le coeur si brûlant du combat."")","('#demokos', ""Secundo.  Qu'elle le veuille ou non, elle est la seule prime du courage...  Demandez au moindre soldat.  Tuer un homme, c'est mériter une femme."")",1.51,Substitution
291,"('#priam', 'Le Prince généreux y prend tout son ébat. ')","('#andromaque', ""Elle aime les lâches, les libertins.  Si Hector était lâche ou libertin, je l'aimerais autant.  Je l'aimerais peut-être davantage."")",1.21,Substitution
292,"('#andromaque', ""Mais telle promptitude à bon droit m'est suspecte. "")",,1.0,Insertion
293,"('#priam', ""» Andromaque, le chef qui veut qu'on le respecte,  » Prompt à tous accidents, en action partout,  » Ne dort la nuit entière et doit mourir debout. "")","('#priam', 'Ne va pas trop loin, Andromaque.  Tu prouverais le contraire de ce que tu veux prouver.')",1.42,Substitution
294,,"('#la-petite-polyxene', 'Elle est gourmande.  Elle ment.')",1.0,Deletion
295,,"('#demokos', ""Et de ce que représentent dans la vie humaine la fidélité, la pureté, nous n'en parlons pas, hein ?"")",1.0,Deletion
296,"('#andromaque', 'Propos malencontreux, comme tu me travailles  Consentant à ma perte et à ses funérailles ! ')","('#la-servante', 'Oh !  Là !  Là !')",1.25,Substitution
297,"('#priam', ""Qui cause, je vous prie, son propos ennuyeux ?  D'où viennent tant de pleurs regorgeants de ses yeux ? "")","('#demokos', 'Que racontes-tu, toi ?')",1.15,Substitution
298,"('#andromaque', 'Méprise désormais, ô fier Hector, méprise  Un songe que le Ciel tristement autorise. ')","('#la-servante', 'Je dis : Oh !  Là !  Là !  Je dis ce que je pense.')",1.66,Substitution
299,,"('#la-petite-polyxene', ""Elle casse ses jouets.  Elle leur plonge la tête dans l'eau bouillante."")",1.0,Deletion
300,"('#priam', ""Je n'en puis que juger, mais à lui voir le teint  D'une grande tristesse elle a le coeur atteint. "")","('#hecube', ""À mesure que nous vieillissons, nous les femmes, nous voyons clairement ce qu'ont été les hommes, des hypocrites, des vantards, des boucs.  À mesure que les hommes vieillissent, ils nous parent de toutes les perfections.  Il n'est pas un souillon accolé dernière un mur qui ne se transforme dans vos souvenirs en créature d'amour."")",1.35,Substitution
301,"('#andromaque', ""Néglige, malheureux, néglige à la malheure  Cet augure de mort dont ton Père t'assure. "")","('#priam', ""Tu m'as trompé, toi ?"")",1.45,Substitution
302,,"('#hecube', 'Avec toi-même seulement, mais cent fois.')",1.0,Deletion
303,"('#priam', ""Chaste épouse d'Hector, raconte les douleurs  Qui tirent de tes yeux cette source de pleurs. "")","('#demokos', 'Andromaque a trompé Hector ?')",1.08,Substitution
304,"('#andromaque', ""Ta bonté m'y convie, ô Père vénérable.  Mais pour me soulager du tourment qui m'accable.  Commande en ma faveur que l'on aille quérir  Ton malheureux Hector qui s'obstine à mourir. "")","('#hecube', ""Laisse donc Andromaque tranquille.  Elle n'a rien à voir dans les histoires de femme."")",1.66,Substitution
305,"('#priam', ""À mourir ! Sus, mes fils, amenez votre frère,  Qu'il vienne, je le veux d'autorité de père.  Lève-moi cependant de ce doute profond  Qui ma trouble pensée émeut de comble en fond. "")","('#andromaque', ""Si Hector n'était pas mon mari, je le tromperais avec lui-même.  S'il était un pêcheur pied bot, bancal, j'irais le poursuivre jusque dans sa cabane.  Je m'étendrais dans les écailles d'huîtres et les algues.  J'aurais de lui un fils adultère."")",1.13,Substitution
306,,"('#la-petite-polyxene', ""Elle s'amuse à ne pas dormir la nuit, tout en fermant les yeux."")",1.0,Deletion
307,"('#andromaque', ""Quoique pour mon tourment ta bouche le commande,  Que puis-je refuser à si juste demande ?  Je songeai cette nuit au point que le sommeil  Couve plus doucement les paupières de l'oeil,  Que j'embrassais Hector pâle, froid et sans âme.  Je l'embrassais, hélas, ce souvenir me pâme !  Souillé de la poussière et du sang de ses coups :  Je sentais quant et quant trembloter mes genoux,  S'amortir les esprits animant mes artères,  Et mes nerfs relâcher leurs forces ordinaires.  À peine je m'éveille et sens un tel défaut  Qu'encor longtemps après j'en soupire tout haut.  Mon Hector cependant qu'entre mes bras je presse  Demande qui me tient, me baise, me caresse  Au lieu de me tancer, et ma voix longuement  Répond à ses propos par sanglots seulement,  Car le mortel objet dont mon âme était pleine  Au creux de mes poumons retenait mon haleine.  Encor une autre fois ce songe infortuné  À mon esprit dolent est depuis retourné ;  Las ! Et me semble encor sa misérable image  Voler devant mes yeux couverte d'un ombrage. "")","('#hecube', ""Oui, tu peux en parler, toi !  C'est épouvantable !  Que je t'y reprenne !"")",0.77,Substitution
308,,"('#la-servante', ""Il n'y a pire que l'homme.  Mais celui-là !"")",1.0,Deletion
309,"('#priam', ""Si d'un esprit dévot j'allume vos Autels,  Écoutez ma prière, ô grands Dieux immortels,  Écoutez, ô Patrons d'Ilion et de Troie,  L'humble accent de ce voeu que Priam vous envoie.  Si le songe mortel que j'entends réciter  Est procédé du Ciel pour nous admonester  Du trépas de mon fils, faites-nous tant de grâce  De détourner le coup qui sa tête menace :  Ou si le Dieu du somme abuseur des Esprits  Un fantôme volage en sa caverne a pris  Pour troubler Andromaque et me combler de peine,  Effacez sa frayeur et nous la rendez vaine. "")","('#demokos', ""Et tant pis si la femme nous trompe !  Tant pis si elle-même méprise sa dignité et sa valeur.  Puisqu'elle n'est pas capable de maintenir en elle cette forme idéale qui la maintient rigide et écarte les rides de l'âme, c'est à nous de le faire..."")",1.59,Substitution
310,"('#andromaque', ""Que plût au Ciel cruel le vouloir consentir :  Mais ne le croyez pas : car c'est le démentir.  J'ai vu du clair Phoebus s'éclipser la lumière  Lui disant au matin mon songe et ma prière.  Recourant à l'autel j'allume un feu sacré,  Mais les Dieux détournés ne le prennent à gré,  Il s'éteint aussitôt et la victime offerte  Bout dessous les charbons dont elle s'est couverte,  Sans que jamais j'en puisse à force de souffler  Un peu de claire flamme exciter dedans l'air,  De sorte qu'elle reste à l'autel consommée  Et comme tous mes voeux convertie en fumée. "")","('#la-servante', 'Ah !  Le bel embauchoir !')",1.35,Substitution
311,,"('#paris', ""Il n'y a qu'une chose qu'elles oublient de dire : qu'elles ne sont pas jalouses."")",1.0,Deletion
312,"('#priam', ""Quel est notre destin ! Ô Dieux, apaisez-vous,  Et conservez Hector pour lui-même et pour nous :  Car puisque votre grâce encor ne nous dédaigne  Mais par tels messagers nos malheurs nous enseigne,  Permettez d'espérer qu'auprès d'un tel souci  Encor pour les Troyens loge quelque merci. "")","('#priam', ""Chères filles, votre révolte même prouve que nous avons raison.  Est-il une plus grande générosité que celle qui vous pousse à vous battre en ce moment pour la paix, la paix qui donnera des maris veules, inoccupés, fuyants, quand la guerre vous fera d'eux des hommes !..."")",0.71,Substitution
313,,"('#demokos', 'Des héros.')",1.0,Deletion
314,"('#andromaque', ""» Connaître bien son mal ignorant le remède,  » Priam, c'est un malheur qui tous autres excède. "")","('#hecube', ""Nous connaissons le vocabulaire.  L'homme en temps de guerre s'appelle le héros.  Il peut ne pas en être plus brave, et fuir à toutes jambes.  Mais c'est du moins un héros qui détale."")",1.55,Substitution
315,"('#priam', ""» C'est aux Dieux en ce point qu'il nous faut recourir :  » Seuls ils peuvent blesser, seuls ils peuvent guérir. "")","('#andromaque', ""Mon père, je vous en supplie.  Si vous avez cette amitié pour les femmes, écoutez ce que toutes les femmes du monde vous disent par ma voix.  Laissez-nous nos maris comme ils sont.  Pour qu'ils gardent leur agilité et leur courage, les dieux ont créé autour d'eux tant d'entraîneurs vivants ou non vivants !  Quand ce ne serait que l'orage !  Quand ce ne serait que les bêtes !  Aussi longtemps qu'il y aura des loups, des éléphants, des onces, l'homme aura mieux que l'homme comme émule et comme adversaire.  Tous ces grands oiseaux qui volent autour de nous, ces lièvres dont nous les femmes confondons le poil avec les bruyères, sont de plus sûrs garants de la vue perçante de nos maris que l'autre cible, que le coeur de l'ennemi emprisonné dans sa cuirasse.  Chaque fois que j'ai vu tuer un cerf ou un aigle, je l'ai remercié.  Je savais qu'il mourait pour Hector.  Pourquoi voulez-vous que je doive Hector à la mort d'autres hommes ?"")",0.69,Substitution
316,"('#andromaque', ""» À leur juste vouloir s'égale leur puissance :  » Rien ne saurait tromper leur haute connaissance :  » Mais plusieurs accidents révélant aux humains,  » Pour les en garantir n'y mêlent point les mains. "")","('#priam', ""Je ne le veux pas, ma petite chérie.  Mais savez-vous pourquoi vous êtes là, toutes si belles et si vaillantes ?  C'est parce que vos maris et vos pères et vos aïeux furent des guerriers.  S'ils avaient été paresseux aux armes, s'ils n'avaient pas su que cette occupation terne et stupide qu'est la vie se justifie soudain et s'illumine par le mépris que les hommes ont d'elle, c'est vous qui seriez lâches et réclameriez la guerre.  Il n'y a pas deux façons de se rendre immortel ici-bas, c'est d'oublier qu'on est mortel."")",1.27,Substitution
317,"('#priam', ""» C'est le propre des Dieux de bien faire à tous hommes,  » Et leur bras ne nous laisse ès dangers où nous sommes,  » Quand d'un coeur suppliant nous cherchons leur secours,  » Mais quand on les méprise ils font tout le rebours. "")","('#andromaque', ""Oh !  Justement, père, vous le savez bien !  Ce sont les braves qui meurent à la guerre.  Pour ne pas y être tué, il faut un grand hasard ou une grande habileté.  Il faut avoir courbé la tête ou s'être agenouillé au moins une fois devant le danger.  Les soldats qui défilent sous les arcs de triomphe sont ceux qui ont déserté la mort.  Comment un pays pourrait-il gagner dans son honneur et dans sa force en les perdant tous les deux ?"")",0.97,Substitution
318,"('#andromaque', ""» C'est bien les mépriser de ne point faire estime  » De l'avertissement fidèle et légitime  » Qui nous vient de leur part, mais par trop de fierté  » Autoriser en loi sa propre volonté. "")","('#priam', ""Ma fille, la première lâcheté est la première ride d'un peuple."")",1.48,Substitution
319,"('#priam', ""» Qui n'écoute les Dieux pour croire trop soi-même, » Se précipite aveugle à sa ruine extrême. "")","('#andromaque', 'Où est la pire lâcheté ?  Paraître lâche vis-à-vis des autres, et assurer la paix ?  Ou être lâche vis-à-vis de soi-même et provoquer la guerre ?')",0.85,Substitution
320,,"('#demokos', 'La lâcheté est de ne pas préférer à toute mort la mort pour son pays.')",1.0,Deletion
321,"('#andromaque', ""Bientôt le saurons-nous ; nous verrons aujourd'hui  Cet obstiné qui vient l'éprouver dessus lui.  Retenez son ardeur, car s'il sort à la guerre,  Sous la lance Grégeoise il mesure la terre. "")","('#hecube', ""J'attendais la poésie à ce tournant.  Elle n'en manque pas une."")",1.44,Substitution
322,"('#priam', ""Il ne dépend de lui pour se donner la loi.  C'est moi qui suis son Père et, qui plus est, son Roi ;  Et peux bien s'il me plaît du combat le distraire.  Mais je veux par raison acheminer l'affaire.  Ô mon plus ferme appui, te voilà donc armé. "")","('#andromaque', ""On meurt toujours pour son pays !  Quand on a vécu en lui digne, actif, sage, c'est pour lui aussi qu'on meurt.  Les tués ne sont pas tranquilles sous la terre, Priam.  Ils ne se fondent pas en elle pour le repos et l'aménagement éternel.  Ils ne deviennent pas sa glèbe, sa chair.  Quand on retrouve dans le sol une ossature humaine, il y a toujours une épée près d'elle.  C'est un os de la terre, un os stérile.  C'est un guerrier."")",0.8,Substitution
323,,"('#hecube', 'Ou alors que les vieillards soient les seuls guerriers.  Tout pays est le pays de la jeunesse.  Il meurt quand la jeunesse meurt.')",1.0,Deletion
324,"('#hector', ""Monseigneur, il m'ennuie à languir enfermé. "")","('#demokos', 'Vous nous ennuyez avec votre jeunesse.  Elle sera la vieillesse dans trente ans.')",1.64,Substitution
325,"('#priam', ""Le camp des ennemis s'attend à la bataille. "")",,1.0,Insertion
326,"('#hector', 'À moi ne tiendra pas que le nôtre ne faille. ')","('#cassandre', 'Erreur.')",1.38,Substitution
327,,"('#hecube', ""Erreur !  Quand l'homme adulte touche à ses quarante ans, on lui substitue un vieillard.  Lui disparaît.  Il n'y a que des rapports d'apparence entre les deux.  Rien de l'un ne continue en l'autre."")",1.0,Deletion
328,"('#priam', 'Je crains que le bonheur ne seconde vos coups. ')","('#demokos', 'Le souci de ma gloire a continué, Hécube.')",1.13,Substitution
329,,"('#hecube', ""C'est vrai.  Et les rhumatismes... Nouveaux éclats de rire des servantes."")",1.0,Deletion
330,"('#hector', '» Combattre et bien mourir dépend au moins de nous. ')","('#hector', ""Et tu écoutes cela sans mot dire, Pâris !  Et il ne te vient pas à l'esprit de sacrifier une aventure pour nous sauver d'années de discorde et de massacre ?"")",1.35,Substitution
331,,"('#paris', 'Que veux-tu que je te dise !  Mon cas est international.')",1.0,Deletion
332,,"('#hector', 'Aimes-tu vraiment Hélène, Pâris ?')",1.0,Deletion
333,,"('#cassandre', ""Ils sont le symbole de l'amour.  Ils n'ont même plus à s'aimer."")",1.0,Deletion
334,,"('#paris', ""J'adore Hélène."")",1.0,Deletion
335,,"('#cassandre', 'La voilà, Hélène.')",1.0,Deletion
336,,"('#hector', ""Si je la convaincs de s'embarquer, tu acceptes ?"")",1.0,Deletion
337,,"('#paris', ""J'accepte, oui."")",1.0,Deletion
338,,"('#hector', 'Père, si Hélène consent à repartir pour la Grèce, vous la retiendrez de force ?')",1.0,Deletion
339,"('#priam', ""» Que peut l'homme avancer si le Ciel est contraire ? "")","('#priam', ""Pourquoi mettre en question l'impossible ?"")",1.15,Substitution
340,,"('#hecube', ""Et pourquoi l'impossible ?  Si les femmes sont le quart de ce que vous prétendez, Hélène partira d'elle-même."")",1.0,Deletion
341,,"('#paris', ""Père, c'est moi qui vous en prie.  Vous les voyez et les entendez.  Cette tribu royale, dès qu'il est question d'Hélène, devient aussitôt un assemblage de belle-mère, de belles-soeurs, et de beau-père digne de la meilleure bourgeoisie.  Je ne connais pas d'emploi plus humiliant dans une famille nombreuse que le rôle du fils séducteur.  J'en ai assez de leurs insinuations.  J'accepte le défi d'Hector."")",1.0,Deletion
342,,"('#demokos', ""Hélène n'est pas à toi seul, Pâris.  Elle est à la ville.  Elle est au pays."")",1.0,Deletion
343,,"('#le-geometre', 'Elle est au paysage.')",1.0,Deletion
344,"('#hector', '» Le Ciel est favorable à qui tâche bien faire. ')","('#hecube', 'Tais-toi, géomètre.')",1.39,Substitution
345,,"('#cassandre', 'La voilà, Hélène...')",1.0,Deletion
346,"('#priam', '» Mainte bataille on perd par un secret malheur  » Où le sage conseil est joint à la valeur. ')","('#hector', 'Père, je vous le demande.  Laissez-moi ce recours.  Écoutez...  On nous appelle pour la cérémonie.  Laissez-moi et je vous rejoins.')",1.77,Substitution
347,,"('#priam', 'Vraiment, tu acceptes, Pâris ?')",1.0,Deletion
348,,"('#paris', 'Je vous en conjure.')",1.0,Deletion
349,"('#hector', '» Qui pour un bon sujet arme sa main guerrière  » Doit marcher au combat sans regarder derrière. ')","('#priam', 'Soit.  Venez mes enfants.  Allons préparer les portes de la guerre.')",1.24,Substitution
350,"('#priam', ""» Quand le bon droit n'est pas à propos défendu  » Il tombe en grand hasard s'il n'est du tout perdu. "")",,1.0,Insertion
351,"('#hector', ""» Alors qu'on le défend par une force ouverte  » Le gain n'en peut venir sans souffrir de la perte. "")","('#cassandre', ""Pauvres portes.  Il faut plus d'huile pour les fermer que pour les ouvrir. Demokos est resté. Priam et sa suite s'éloignent."")",1.69,Substitution
352,"('#priam', ""» La prudence l'assure avec moins de hasard,  » Et bien choisir son temps n'en est la moindre part. "")","('#hector', ""Qu'attends-tu là ?"")",1.4,Substitution
353,,"('#demokos', 'Mes transes.')",1.0,Deletion
354,,"('#hector', 'Tu dis ?')",1.0,Deletion
355,"('#hector', ""» Quand un événement fuit notre connaissance  » Alors doit le discours rechercher l'apparence ;  » Et si nous la croyons il faut sans plus tarder,  » Jusqu'aux navires Grecs notre flamme darder. "")","('#demokos', ""Belle Hélène, Hélène de Sparte, À gorge douce, à noble chef. Les dieux nous gardent que tu partes, Vers ton Ménélas derechef ! Chaque fois qu'Hélène apparaît, l'inspiration me saisit.  Je délire, j'écume et j'improvise.  Ciel, la voilà ! Il déclame."")",0.84,Substitution
356,,"('#hector', 'Tu as fini de terminer tes vers avec ces coups de marteau qui nous enfoncent le crâne.')",1.0,Deletion
357,"('#priam', '» Cette creuse Chimère experte en la feintise  » Comme un autre Protée échappe notre prise,  » Puis la voyant soudain de posture changer,  » Le jugement se trouble au plus fort du danger ! ')","('#demokos', ""Viens sans peur au-devant d'Hector, La gloire et l'effroi du Scamandre ! Tu as raison et lui as tort... Car il est dur et tu es tendre... C'est une invention à moi.  J'obtiens des effets bien plus surprenants encore.  Écoute :"")",0.44,Substitution
358,"('#hector', ""» L'âme de nos soldats enflammée à la gloire,  » Maintenant ou jamais, nous promet la victoire. "")",,1.0,Insertion
359,"('#priam', ""Avec beaucoup d'ardeurs ils ont jà combattu,  » Mais il faut pour gagner plus d'heur que de vertu. "")",,1.0,Insertion
360,"('#hector', ""» L'heur n'abandonne guère un résolu courage. "")","('#hector', 'File !')",1.34,Substitution
361,"('#priam', '» Lorsque plus il nous flatte il tourne le visage. ')","('#demokos', ""Qu'as-tu à me regarder ainsi ?  Tu as l'air de détester autant la poésie que la guerre."")",1.56,Substitution
362,,"('#hector', 'Va !  Ce sont les deux soeurs ! Le poète disparaît.')",1.0,Deletion
363,,"('#cassandre', 'Hélène !')",1.0,Deletion
364,,"('#paris', ""Hélène chérie, voici Hector.  Il a des projets sur toi, des projets tout simples.  Il veut te rendre aux Grecs et te prouver que tu ne m'aimes pas...  Dis-moi que tu m'aimes, avant que je te laisse avec lui...  Dis-le-moi comme tu le penses."")",1.0,Deletion
365,"('#hector', ""» L'ordinaire des Dieux c'est d'aider aux meilleurs. "")","('#helene', ""Je t'adore, chéri."")",1.77,Substitution
366,,"('#paris', ""Dis-moi qu'elle était belle, la vague qui t'emporta de Grèce !"")",1.0,Deletion
367,,"('#helene', 'Magnifique !  Une vague magnifique !...  Où as-tu vu une vague ?  La mer était si calme...')",1.0,Deletion
368,,"('#paris', 'Dis-moi que tu hais Ménélas...')",1.0,Deletion
369,"('#priam', '» À tous bons et mauvais ils versent des malheurs. ')","('#helene', 'Ménélas ?  Je le hais.')",1.73,Substitution
370,,"('#paris', ""Tu n'as pas fini...  Je ne retournerai jamais en Grèce.  Répète."")",1.0,Deletion
371,,"('#helene', 'Tu ne retourneras jamais en Grèce.')",1.0,Deletion
372,,"('#paris', ""Non, c'est de toi qu'il s'agit."")",1.0,Deletion
373,,"('#helene', 'Bien sûr !  Que je suis sotte !...  Jamais je ne retournerai en Grèce.')",1.0,Deletion
374,"('#hector', ""Faisons ce qu'il faut faire et leur laissons le reste. "")","('#paris', ""Je ne le lui fais pas dire...  À toi maintenant. Il s'en va."")",1.59,Substitution
375,,"('#hector', ""C'est beau, la Grèce ?"")",1.0,Deletion
376,,"('#helene', ""Pâris l'a trouvée belle."")",1.0,Deletion
377,,"('#hector', ""Je vous demande si c'est beau la Grèce sans Hélène."")",1.0,Deletion
378,,"('#helene', 'Merci pour Hélène.')",1.0,Deletion
379,,"('#hector', ""Enfin, comment est-ce, depuis qu'on en parle ?"")",1.0,Deletion
380,,"('#helene', ""C'est beaucoup de rois et de chèvres éparpillés sur du marbre."")",1.0,Deletion
381,,"('#hector', 'Si les rois sont dorés et les chèvres angora, cela ne doit pas être mal au soleil levant.')",1.0,Deletion
382,,"('#helene', 'Je me lève tard.')",1.0,Deletion
383,,"('#hector', 'Des dieux aussi, en quantité ?  Pâris dit que le ciel en grouille, que des jambes de déesses en pendent.')",1.0,Deletion
384,,"('#helene', 'Pâris va toujours le nez levé.  Il peut les avoir vues.')",1.0,Deletion
385,"('#priam', 'Mais ne tentons aussi leur courroux manifeste. ')","('#hector', 'Vous, non ?')",1.22,Substitution
386,,"('#helene', ""Je ne suis pas douée.  Je n'ai jamais pu voir un poisson dans la mer.  Je regarderai mieux quand j'y retournerai."")",1.0,Deletion
387,,"('#hector', ""Vous venez de dire à Pâris que vous n'y retourneriez jamais."")",1.0,Deletion
388,"('#hector', ""» Leur courroux n'est à craindre en faisant son devoir. "")","('#helene', ""Il m'a priée de le dire.  J'adore obéir à Pâris."")",1.37,Substitution
389,,"('#hector', ""Je vois.  C'est comme pour Ménélas.  Vous ne le haïssez pas ?"")",1.0,Deletion
390,"('#priam', '» Il est à craindre aussi ne faisant leur vouloir. ')","('#helene', 'Pourquoi le haïrais-je ?')",1.37,Substitution
391,"('#hector', ""» C'est d'eux que vient l'ardeur qui bout en nos gens d'armes. "")",,1.0,Insertion
392,"('#priam', ""» D'eux vient aussi la peur qui se mêle aux alarmes. "")",,1.0,Insertion
393,"('#hector', ""» Ce n'est à nous mortels de sonder leur secret. "")",,1.0,Insertion
394,"('#priam', ""Ils le font trop connaître et c'est à mon regret. "")","('#hector', ""Pour la seule raison qui fasse vraiment haïr.  Vous l'avez trop vu."")",1.07,Substitution
395,,"('#helene', ""Ménélas ?  Oh !  non !  Je n'ai jamais bien vu Ménélas, ce qui s'appelle vu.  Au contraire."")",1.0,Deletion
396,,"('#hector', 'Votre mari ?')",1.0,Deletion
397,,"('#helene', ""Entre les objets et les êtres, certains sont colorés pour moi.  Ceux-là je les vois.  Je crois en eux.  Je n'ai jamais bien pu voir Ménélas."")",1.0,Deletion
398,,"('#hector', ""Il a dû pourtant s'approcher très près."")",1.0,Deletion
399,,"('#helene', ""J'ai pu le toucher.  Je ne peux pas dire que je l'ai vu."")",1.0,Deletion
400,,"('#hector', ""On dit qu'il ne vous quittait pas."")",1.0,Deletion
401,"('#hector', 'Rien ne nous pronostique une mésaventure. ')","('#helene', ""Évidemment.  J'ai dû le traverser bien des fois sans m'en douter."")",1.04,Substitution
402,,"('#hector', 'Tandis que vous avez vu Pâris ?')",1.0,Deletion
403,,"('#helene', 'Sur le ciel, sur le sol, comme une découpure.')",1.0,Deletion
404,,"('#hector', ""Il s'y découpe encore.  Regardez-le, là-bas, adossé au rempart."")",1.0,Deletion
405,,"('#helene', ""Vous êtes sûr que c'est Pâris, là-bas ?"")",1.0,Deletion
406,,"('#hector', ""C'est lui qui vous attend."")",1.0,Deletion
407,"('#priam', 'Mais tout, si tu vois clair, du malheur nous augure. ')","('#helene', 'Tiens !  Il est beaucoup moins net !\n')",1.4,Substitution
408,,"('#hector', 'Le mur est cependant passé à la chaux fraîche.  Tenez, le voilà de profil !')",1.0,Deletion
409,,"('#helene', ""C'est curieux comme ceux qui vous attendent se découpent moins bien que ceux que l'on attend !"")",1.0,Deletion
410,,"('#hector', ""Vous êtes sûre qu'il vous aime, Pâris ?"")",1.0,Deletion
411,"('#hector', '» Défendre sa patrie est un auspice heureux. ')",,1.0,Insertion
412,"('#priam', '» Et la perdre est un acte infâme et douloureux. ')","('#helene', ""Je n'aime pas beaucoup connaître les sentiments des autres.  Rien ne me gêne comme cela.  C'est comme au jeu, quand on voit dans le jeu de l'adversaire.  On est sûr de perdre."")",1.73,Substitution
413,,"('#hector', ""Et vous, vous l'aimez ?"")",1.0,Deletion
414,"('#hector', ""» Ne la sert-il pas bien qui pour elle s'expose ? "")","('#helene', ""Je n'aime pas beaucoup connaître non plus mes propres sentiments."")",1.65,Substitution
415,,"('#hector', ""Voyons !  Quand vous venez d'aimer Pâris, qu'il s'assoupit dans vos bras, quand vous êtes encore ceinturée par Pâris, comblée par Pâris, vous n'avez aucune pensée ?"")",1.0,Deletion
416,"('#priam', '» Mais il la sert bien mal quand il peut plus grande chose. ')","('#helene', ""Mon rôle est fini.  Je laisse l'univers penser à ma place.  Cela, il le fait mieux que moi."")",1.5,Substitution
417,"('#hector', 'Et que peut davantage un homme de valeur ? ')","('#hector', ""Mais le plaisir vous rattache bien à quelqu'un, aux autres ou à vous-même."")",1.62,Substitution
418,"('#priam', ""Vivre pour l'amour d'elle en un temps de malheur. "")","('#helene', ""Je connais surtout le plaisir des autres...  Il m'éloigne des deux..."")",0.98,Substitution
419,"('#hector', ""Et n'est-ce pas mon bras qui me peut rendre utile ? "")","('#hector', 'Il y a eu beaucoup de ces autres, avant Pâris ?')",1.31,Substitution
420,"('#priam', '» La prudence du chef conserve mieux sa ville. ')",,1.0,Insertion
421,"('#hector', '» Le conseil sans la main est une âme sans corps. ')","('#helene', 'Quelques-uns.')",1.56,Substitution
422,,"('#hector', ""Et il y en aura d'autres après lui, n'est-ce pas, pourvu qu'ils se découpent sur l'horizon, sur le mur ou sur le drap ?  C'est bien ce que je supposais.  Vous n'aimez pas Pâris, Hélène.  Vous aimez les hommes !"")",1.0,Deletion
423,"('#priam', '» La main sans le conseil jette aux vents ses efforts. ')","('#helene', ""Je ne les déteste pas.  C'est agréable de les frotter contre soi comme de grands savons.  On en est toute pure..."")",1.66,Substitution
424,"('#hector', ""Ai-je rien négligé pour l'ordre de l'armée ? "")",,1.0,Insertion
425,"('#priam', ""L'ordre ès jours malheureux se dissipe en fumée. "")","('#hector', 'Cassandre !  Cassandre !')",1.76,Substitution
426,"('#hector', 'Que me faut-il donc faire afin de faire bien ? ')","('#cassandre', ""Qu'y a-t-il ?"")",1.44,Substitution
427,"('#priam', 'Demeurer en séjour sans entreprendre rien. ')","('#hector', 'Tu me fais rire.  Ce sont toujours les devineresses qui questionnent.')",1.74,Substitution
428,,"('#cassandre', ""Pourquoi m'appelles-tu ?"")",1.0,Deletion
429,,"('#hector', ""Cassandre, Hélène repart ce soir avec l'envoyé grec."")",1.0,Deletion
430,"('#hector', ""Nos gens tous d'une voix demandent la bataille. "")","('#helene', 'Moi ?  Que contez-vous là ?\n')",1.74,Substitution
431,,"('#hector', ""Vous ne venez pas de me dire que vous n'aimez pas très particulièrement Pâris ?"")",1.0,Deletion
432,,"('#helene', 'Vous interprétez.  Enfin, si vous voulez.')",1.0,Deletion
433,,"('#hector', 'Je cite mes auteurs.  Que vous aimez surtout frotter les hommes contre vous comme de grands savons ?')",1.0,Deletion
434,,"('#helene', 'Oui.  Ou de la pierre ponce, si vous aimez mieux.  Et alors ?')",1.0,Deletion
435,,"('#hector', 'Et alors, entre ce retour vers la Grèce qui ne vous déplaît pas, et une catastrophe aussi redoutable que la guerre, vous hésiteriez à choisir ?')",1.0,Deletion
436,"('#priam', '» Le Chef qui les croit trop ne fait chose qui vaille. ')","('#helene', ""Vous ne me comprenez pas du tout, Hector.  Je n'hésite pas à choisir.  Ce serait trop facile de dire : je fais ceci, ou je fais cela, pour que ceci ou cela se fît.  Vous avez découvert que je suis faible.  Vous en êtes tout joyeux.  L'homme qui découvre la faiblesse dans une femme, c'est le chasseur à midi qui découvre une source.  Il s'en abreuve.  Mais n'allez pourtant pas croire, parce que vous avez convaincu la plus faible des femmes, que vous avez convaincu l'avenir.  Ce n'est pas en manoeuvrant des enfants qu'on détermine le destin..."")",1.12,Substitution
437,"('#hector', 'Et que diraient les Grecs le voyant reculer ? ')","('#hector', ""Les subtilités et les riens grecs m'échappent."")",1.52,Substitution
438,,"('#helene', ""Il ne s'agit pas de subtilités et de riens.  Il s'agit au moins de monstres et de pyramides."")",1.0,Deletion
439,"('#priam', 'Faites bien seulement et les laissez parler. ')","('#hector', 'Choisissez-vous le départ, oui ou non ?')",0.9,Substitution
440,,"('#helene', 'Ne me brusquez pas...  Je choisis les événements comme je choisis les objets et les hommes.  Je choisis ceux qui ne sont pas pour moi des ombres.  Je choisis ceux que je vois.')",1.0,Deletion
