,mareschala-genereuse-allemande,mareschala-genereuse-allemande-2,Cost,Operation Type
138,"('#camille', ""Veux-tu de ce refus me porter au tombeau ?  Que ne sait l'imprudent ce que le Ciel m'inspire ! "")","('#roseline', 'Je plains cet innocent plus que moi-même encore. ')",0.77,Substitution
139,"('#aristandre', ""Non non, il ne me peut arriver rien de pire  Que le regret mortel d'être un temps sans vous voir. "")","('#coryleon', ""Innocent ? Un perfide ; oui, pleure son trépas,  L'Empereur, ni le Ciel, ne l'empêcheraient pas. "")",1.03,Substitution
140,"('#camille', ""Et quoi ? Que mon amour ait si peu de pouvoir ?  Rebelle, ingrat, perfide, et mille fois barbare,  Sans foi, sans amitié, qu'un premier vent sépare ;  Oui, va d'un même coup te perdre, et m'offenser,  Va, je meurs seulement que tu l'oses penser ;  Est-ce là ce respect, et cette obéissance ?  Mais je cherche aussi mal sa foi que ma puissance ;  Cruel, puisqu'aussi bien notre sort est conjoint,  Permets-moi de te suivre, et ne refuse point  En ce chemin fatal de m'avoir pour compagne ;  Pour toi me seront doux les airs de la campagne,  Mes soins et mon amour veilleront après toi,  Le sort et les dangers respecteront ma foi ;  Que si quelque malheur t'attend et te menace,  Qu'est-il, que mon courage en ta faveur ne fasse ?  Connais-tu pas ces mains ? Connais-tu pas mon coeur,  Contre qui ne peut rien le sort ni sa rigueur ? "")","('#le-geolier', ""Vous avez entendu l'état de ma fortune  Inhumaine toujours, et toujours importune ;  Le bien m'accompagna seulement au berceau,  Et le mal me suivra jusques dans le tombeau ;  Au milieu des tourments, et même en l'infamie  Ma naissance trop noble est ma seule ennemie ;  Que n'ai-je moins de coeur, ou du moins d'adversité ! "")",0.0,Match
141,"('#aristandre', ""Qu'il me plaît, (bien qu'en l'air) de voir ce grand courage !  Qu'il sait faire tomber en douceur une rage !  Que l'amour parle bien ! Est-il coeur qu'il ne prît ?  Que ces injures sont douces à mon esprit !  Mai si faut-il tenir votre courage à l'ombre ;  Je n'ai point d'ennemis, quand j'en aurais, leur nombre  Ne vaudrait ni mes coups, ni l'un de vos regards ;  Ce voyage est d'amour, et non pas de hasards ;  Je n'ai pour le présent en l'esprit autre guerre,  La Hongrie à ce coup me verra sans tonnerre ;  Que cela ne t'afflige ; outre que la raison  Me fait, pour y rentrer, sortir de ma prison :  Sortir ? Rien ne le peut, que la fatale pointe  Qui doit rendre à Cloton du corps l'âme disjointe ;  Crois, mon corps éloigné, que l'esprit te suivra,  Par miracle d'amour qu'en deux lieux il vivra,  Que mon Roi salué, ses bienfaits et tes charmes  Me rendent près de toi, pour finir tes alarmes ;  Ne t'oppose plus donc à ce juste dessein ;  Pour arrhes je remets ton âme dans ton sein ;  Quoi ? Ta mauvaise humeur sur un songe s'obstine !  Il la baise, et la trouvant rétive."")","('#camille', ""Il faut donner un temps à la nécessité,  Qui peut être constant n'est jamais misérable ;  Il est vrai que ton sort me semble déplorable,  Et que le souvenir des biens qu'on a perdus  Touche plus que les maux quand ils sont attendus ;  Mais celui qui changea ta fortune dès l'heure,  La peut changer encore, et la rendre meilleure. "")",0.26,Substitution
142,,"('#le-geolier', ""L'espérance pour moi ne fut jamais un bien ;  Le mien, c'est de n'avoir et de n'attendre rien ;  On a presque autre mal que le bien qu'on espère. "")",1.0,Deletion
143,"('#camille', 'À combien de vrais maux ce songe te destine ! ')","('#camille', ""Il n'est pas qu'un bon coeur à la fin ne prospère :  Le Ciel nous garde un bien, qu'il semble nous cacher ;  Ne peut-on pas l'avoir ? Il le faut arracher :  Vois-tu comme je fais ce que je te conseille ?  Que je demande au Ciel par force une merveille ?  Cet habit et mon sort ne te disent-il pas  Que la vertu de tout se forme des appas ?  Vois comme il faut dompter la fortune envieuse,  Vois de la pauvreté l'image glorieuse ;  Considère en nous deux qu'un courage constant  Tient malheureux le Maître, et le Valet content. "")",0.69,Substitution
144,"('#aristandre', ""J'en fais juge ton Oncle, un mot fera mon sort. "")","('#le-geolier', ""Judicieux Valet, qui se rend cet office,  À qui le Maître même a voué son service,  À qui devrait un jour l'Univers obéir. "")",1.11,Substitution
145,"('#camille', 'Mais te puisse arrêter son Oracle, ou ma mort. ')","('#camille', ""Me flatter maintenant c'est presque me trahir,  Notre condition te le semble défendre,  Et je ne voudrais pas que l'on nous put entendre :  Continuons la feinte, et dedans son regret  Donnons à ton Captif un plaisir si secret. "")",1.45,Substitution
146,"('#roseline', ""Tu le sais, ma Raison, que je souffre un martyre,  De tous les feux d'Amour le plus doux, et le pire,  Un feu vif et malin, qui suborna mes sens,  À ce premier éclat rendus obéissants  Que les yeux du Français armés d'art et de flamme  Entrèrent dans mon coeur pour combattre mon âme,  Qu'Aristandre arriva nouveau dans cette Cour,  Où vinrent sur ses pas les Grâces, et l'Amour ;  Ah ! Que ce jour fatal fut d'une même voie  Honteuse à ma vertu, favorable à ma joie !  Que j'eus d'un même coup de peine et de plaisir !  Que j'aimai de me perdre, et mourir à loisir  Dans ces yeux où l'Amour à flammes redoublées  Consumait ma pudeur et ma honte aveuglées !  Ce jour ma chasteté souffrit d'étranges coups,  Ce jour certes j'appris à trahir mon Époux,  À goûter le doux air d'une flamme étrangère,  L'air d'une volupté contrainte et passagère ;  Volupté, mais ingrate à mes sens envieux,  Qui se borne aux appas de la voix et des yeux.  Ma bouche, qu'as-tu dis ? Que veux-je davantage ?  N'est-ce pas déjà trop à qui doit être sage ? Mais je ne la suis plus, en vain je combattrais ;  Je ne manque pas seule, ici nous sommes trois  À commettre un péché, moi, l'Amour, Aristandre ;  Deux Dieux avecque moi, pourrais-je me méprendre ?  Oui, je trouve, il est vrai, trop hardie à l'oser,  Trois à faire le mal, mais nul à l'excuser.  Ah ! Voilà mon Enfer, et tout ce qui m'afflige ;  Rien ne me peut servir, et tout me désoblige ;  Ma fortune et mon rang même dans mon bonheur  S'accordent à me nuire, avecque mon honneur ;  Ce Soleil de Grandeur d'une ingrate puissance  Ne luit que pour m'ôter toute ombre d'innocence ;  Que mon bien serait grand, l'étant moins aujourd'hui !  En ma condition moi-même je me nuis :  Princesse, n'osant vivre ainsi que la commune,  Morte à la liberté, ce grade m'importune :  Réduite sous le joug d'un Prince mon Mari,  À peine osai-je voir l'objet que je chéris ;  Souveraine, je suis d'autant plus asservie ;  Ô ! Que ces qualités font de tort à ma vie !  Que tu perds, Aristandre, au sort désordonné,  Qui ne me laisse rien, pour m'avoir trop donné,  Qui ne me laisse pas disposer de moi-même,  Qui me couronne Esclave avec un Diadème,  Injurieux fardeau qui me pèse aujourd'hui,  Ma liberté soupire étreinte dessous lui !  Si faut-il qu'à la fin ma pauvre âme blessée  Ouvre, ou ferme sa plaie, et règle ma pensée ;  Que je trouve la mort, ou bien la guérison,  Que je sorte de l'une ou de l'autre prison,  Que mon extrême amour fasse un coup pour me plaire,  Que tant d'espoirs trompés retirent leur salaire,  Qu'Aristandre en un mot…  Mais le voici qui vient,  Soleil, pour dissiper la crainte qui me tient ;  Ou disons que Diane amène ici son frère.  Il paraît au bout du Théâtre avecque Cloriande."")","('#aristandre', ""Misérable, es-tu mort ? Ou si tu pense vivre  Parmi tant de travaux que le destin te livre ?  Cette nuit, cette horreur, l'outrage, et le tourment,  Font-ils pas de ce lieu l'Enfer d'un pauvre Amant ?  S'il est privé de bien, de joie, et de délices,  Tous les objets d'ici ne sont que des supplices ;  Je me puis dire un Ombre, un fantôme amoureux,  Ils parlent comme moi, moi je souffre comme eux ;  Le Soleil chez les Morts ne peut jamais descendre,  S'il éclairait ici, ce serait de la cendre ;  La douleur et l'amour, de ce corps que j'avais  Ne m'ont laissé du tout que le coeur et la voix,  Et gardent à mes feux qu'ils ne peuvent éteindre  Le coeur pour endurer, et la voix pour me plaindre ;  Encore cette voix, afin de dire mieux,  N'est qu'un Écho des cris que j'ai faits en ces lieux,  Et ce coeur où l'amour a retiré mon âme,  N'est rien qu'un feu d'essence, et l'esprit d'une flamme ;  Tellement que n'ayant autre chose du mien,  Sans aimer et souffrir, je ne serais plus rien :  Ô Dieux ! Qui donnez cours à mon malheur extrême,  J'aimerai de souffrir, et vous, souffrez que j'aime ;  Non, je ne vous demande ou de vie ou de jour,  Que ce qu'il en faudrait pour expirer d'amour,  Et rendre à ma Maîtresse une preuve certaine  De mon ressentiment, et du fruit de sa peine :  Ou si c'est trop, ô Dieux ! Accordez à ma foi,  Comme je vis en elle, et qu'elle meurt en moi,  Si mon trépas devance ou borne sa victoire,  Qu'à la fin mon tombeau soit le prix de sa gloire.  Mais vous n'en ferez rien, Tyrans malicieux,  De ce qu'on souffre en Terre, on en rit dans les Cieux ;  Mon sort contagieux et qui se communique  Fait de mon seul malheur une peste publique,  Et parmi la rigueur de mes travaux divers  Je suis, en me perdant, pour perdre l'Univers :  Je rends de tous plaisirs une Cour orpheline,  Mon destin a perdu Vachles, et Roseline,  Par moi Coryléon ne vit plus qu'en fureur,  Cloriande qu'en peine, et la Cour en horreur :  Mais toi, de qui les soins davantage m'affligent,  Qui pour trop m'obliger presque me désobligent,  Camille, qu'attends-tu ? Mon malheur et tes voeux N'auront qu'un seul destin, pour nous perdre tous deux ;  L'injustice et les Cieux ont arrêté ma perte ;  Et n'osant t'assaillir par une force ouverte ;  De peur que la vertu leur reprochât ce tort,  On te bat de mes coups, pour mourir de ma mort :  Cruel, injuste sort ! En ta rigueur extrême  Faut-il pour me punir passer hors de moi-même ?  De la faute d'un seul faire deux malheureux ?  Camille et le Geôlier seront au dessous de sa grille qui l'auront ouï dire tout."")",0.0,Match
147,"('#cloriande', 'Pèse bien ces discours que ma foi me suggère,  Et juge qui des deux te rendrait plus content. ')","('#camille', ""Oui, car tout est commun à deux coeurs amoureux.  Le mien m'échappe, Ami, je ne puis plus l'entendre ;  Ouvre, dépêche tôt. "")",0.71,Substitution
148,,"('#aristandre', 'Dieux ! Qui parle ? ')",1.0,Deletion
149,"('#aristandre', 'Madame. ')","('#camille', 'Aristandre ! ')",0.67,Substitution
150,"('#cloriande', ""Une autre fois ; je sais qu'elle t'attend.  Elle sort, et laisse Aristandre tout rêveur  sur ce qu'elle lui vient de déclarer de son amour propre. "")","('#aristandre', 'Qui me répond ? ')",1.2,Substitution
151,,"('#camille', 'Mon âme ! ')",1.0,Deletion
152,,"('#aristandre', 'Oracle injurieux… ')",1.0,Deletion
153,"('#roseline', ""On dirait, le voyant dans ce confus nuage,  Que mes soins ont passé jusque sur son visage ;  Qu'il me plaît de le voir troublé rêver ainsi !  Qu'il me flatte ignorant ! J'entre dans son souci :  Il soupire assez bas ; c'est pour moi ; Dieux ! Qu'attends-je ? "")","('#camille', ""Que prononce Camille, et que donnent les Dieux ;  Ne sont-ce pas les Dieux qui m'obligent à prendre,  Si ton malheur le veut, un tombeau dans ta cendre. "")",0.58,Substitution
154,"('#aristandre', 'Ô ! Que tes traits, Amour, ont une force étrange ! ')","('#aristandre', ""Ô Dieux ! Qu'ai-je entendu ? Mais qu'est-ce que je vois ?  Deux miracles vraiment qui surpassent ma foi :  Ah ! Camille. "")",0.89,Substitution
155,,"('#camille', 'Ah ! Ma Vie. ')",1.0,Deletion
156,"('#roseline', ""Mais que les tiens sont bien plus puissants et plus doux,  Puisque c'est de tes yeux qu'il emprunte ses coups. Le voilà tout surpris ; cette action l'étonne.  Parlant bas."")","('#aristandre', ""Amour ! Est-il croyable  Que ce lieu désormais me paraisse effroyable ?  Doncque je vois reluire le Soleil aux Enfers ?  Le plaisir se vient rendre au milieu de mes fers ;  Et le Ciel, raccourcit dans le sein de la terre,  Pour montrer tous les feux que son espace enserre,  Et faire d'un Cachot un nouveau Firmament,  Ne me présente ici que deux yeux seulement :  Où luisez-vous ? Beaux yeux ! Qu'elle est cette aventure ?  Qu'un pauvre habit nous cache un trésor de Nature ?  Que c'est mal enchâsser un diamant si beau !  C'est vêtir le soleil d'une ombre et d'un tombeau :  Et toi, que mon amour appelle son Aurore,  Qui conduis en ce lieu cet Astre que j'adore,  Ôte-moi ces liens, ses yeux en ont assez  Qui me tiennent le coeur et les sens enlacés ;  Ajoute à la première une seconde grâce,  Que sans empêchement, et libre, je l'embrasse. "")",0.1,Substitution
157,,"('#le-geolier', ""Que ce petit service au-dessous de mes voeux  N'est à la fin suivi des effets que je veux. "")",1.0,Deletion
158,"('#aristandre', 'Ceux-là, votre beauté, ma Reine, les lui donne. ')","('#aristandre', 'Ami, dans ta bonté… ')",1.25,Substitution
159,,"('#le-geolier', 'Monsieur, le temps nous presse. ')",1.0,Deletion
160,"('#roseline', ""Je vois qu'il se contraint. Et bien, mon beau Rêveur,  C'est donc ainsi qu'il faut payer cette faveur ?  Dedans mon cabinet veux-je bien qu'on soupire ?  Vois-tu pas, hormis toi, qu'ici tout semble rire ?  Quoi ? Les yeux devant moi, qu'on ait l'âme autre part ?  Demeurer interdit à mon premier regard ?  Rêver en ma présence, ou même se distraire ?  Croirait-on pas de toi plutôt tout le contraire ?  Elle le mène dans un Cabinet."")","('#aristandre', 'Que ta vertu reluit ! Et bien, chère Maîtresse,  Il faut doncque souffrir que sa fidélité… ')",0.59,Substitution
161,"('#aristandre', ""Que vous m'ayez trouvé rêvant, il est certain ;  Je ne sais point que c'est de m'excuser en vain :  Près de mon Paradis, je rêvais dès l'entrée  À la félicité qu'ici j'ai rencontrée,  À cet honneur, qu'un Dieu n'oserait désirer,  Et qui me vient aussi presque sans l'espérer ;  N'est-ce pas pour tenir toute une âme confuse,  Qu'on me présente un bien qu'à tout autre on refuse ?  Cela certes me fait mieux estimer de moi,  Rien que ma vanité ne me donne la loi,  Sous vous je ne puis moins mériter qu'un Empire,  Je méprise le Ciel, ou j'y trouve à redire ;  Ce choix, dont pour moi seul tout un monde est puni,  Passe en titre assuré d'un mérite infini. "")","('#camille', ""Soit mémorable un jour à la postérité :  Si vous le connaissiez, sa fortune est étrange ;  En cet infâme état où son malheur le range  Il est plus déguisé que moi-même en ces lieux ;  Lui-même une autre fois vous le peut dire mieux,  À d'autres entretiens cette heure nous appelle. "")",0.0,Match
162,"('#roseline', ""J'aime, c'est mon plaisir, que ton esprit se range  À cette vanité, qui fait à ma louange ;  Combien que de lui seul ton mérite soit tel,  Que s'il faut l'estimer, il passe le mortel ;  Une Déesse seule à peine serait digne. "")","('#aristandre', ""Je le crois de Maison, l'apparence en est telle,  Son esprit, son discours, et sa foi me l'ont dit,  Que je dois reconnaître, ou mourir sans crédit. "")",0.32,Substitution
163,,"('#le-geolier', 'Employez mieux ce temps, Monsieur, je vous conjure. ')",1.0,Deletion
164,"('#aristandre', ""De s'égaler à vous, Beauté la plus insigne,  Et la plus chère aussi que nos yeux puissent voir,  Princesse, dont l'honneur mériterait d'avoir  L'Empire d'ici-bas, et l'autre tributaire,  Pour qui souffrent les coeurs une mort volontaire. "")","('#aristandre', 'Est-il faveur plus rude, et plus honnête injure ?  Il lui faut obéir, nous sommes sous sa loi. ')",0.65,Substitution
165,,"('#camille', 'Oui, car il est mon Maître. ')",1.0,Deletion
166,,"('#aristandre', ""Et c'est un Dieu pour moi. "")",1.0,Deletion
167,"('#roseline', 'En tout cela pourtant il ne me donne rien.  Je les fais tous mourir, dis-je, hormis le tien. ')","('#le-geolier', 'Je le désirerais, pour vous tirer de peine. ')",1.06,Substitution
168,"('#aristandre', ""Le mien, s'il ne meurt pas, vos grâces le font vivre,  Votre amour le nourrit, votre douceur l'enivre. "")","('#aristandre', ""Qui sans vous me serait beaucoup moins inhumaine :  Tous vos bienfaits ne vont qu'à ma confusion ;  Vous puis-je voir, Madame, à mon occasion  Toujours dans les soupirs, et toujours dans les larmes ?  Qu'attendrons-nous enfin d'Adraste, et de ses armes ?  A-t-il reçu ma lettre ? Et n'est-il pas venu ?  Ne m'est-il plus ami ? Qui l'aurait retenu ?  Ses soldats dorment-ils ? Ou suis-je encore en vie ? "")",0.83,Substitution
169,"('#roseline', ""Et si fort, qu'il en perd jusqu'à mon souvenir,  Et qu'en le captivant je ne le puis tenir. "")","('#camille', ""Je crois que l'entreprise enfin sera suivie  De tous les fruits heureux qu'apporte un bon conseil ;  J'ai fait à nos desseins un secret appareil,  Qu'Adraste et ses soldats en peu viendront éclore,  S'il accorde à mes veux le secours que j'implore ;  Félismon est allé le trouver de ma part. "")",1.04,Substitution
170,,"('#aristandre', ""Il manquera peut-être, ou ne viendra que tard :  Tous ses désirs pour moi n'ont été que fidèles ;  Mais… "")",1.0,Deletion
171,,"('#camille', 'La seule amitié lui donnera des ailes. ')",1.0,Deletion
172,"('#aristandre', 'Ô blasphème ! Tiré de la plus belle bouche,  Et du coeur plus cruel… ')","('#aristandre', 'Mon malheur plus puissant les lui pourrait couper. ')",0.94,Substitution
173,,"('#le-geolier', ""Parlez bas, quittez-vous, on marche, j'ois frapper. "")",1.0,Deletion
174,"('#roseline', 'Mais qui bien peu te touche. ')","('#camille', 'Qui nous surprend ? ')",1.36,Substitution
175,,"('#le-geolier', 'Ô Dieux ! Cloriande en personne. ')",1.0,Deletion
176,,"('#camille', 'Je tremble à son abord. ')",1.0,Deletion
177,,"('#le-geolier', ""Cet accident m'étonne. "")",1.0,Deletion
178,"('#aristandre', ""Ma Reine, ma Déesse, où va cette rigueur ?  Ainsi donc il vous plaît que je mette en langueur ?  Oui, tenez, prenez-le, ce coeur, je vous le donne,  Ouvrez-moi l'estomac, entier je m'abandonne,  Le coeur, l'esprit, le sang, l'âme, tout est à vous. "")","('#cloriande', ""Enfin je l'ai vaincu, j'ai dompté sa fureur,  Mon esprit s'est montré plus fort que l'Empereur,  Mon frère a relâché, sa colère s'apaise ;  Je te puis voir encore, Aristandre, à mon aise,  Et te dire le droit que ma protection  Mérite désormais en ton affection :  Mais que l'occasion favorise ma peine !  Tiré de son cachot le Geôlier l'amène ;  Un tiers est avec eux.  Quel est ce beau garçon ?  Elle parle au Geôlier."")",0.14,Substitution
179,,"('#le-geolier', ""C'est mon valet, Madame, il est fils d'un maçon ;  Je l'ai conduit ici… "")",1.0,Deletion
180,,"('#camille', 'Justement à sa perte. ')",1.0,Deletion
181,,"('#le-geolier', 'Pour mettre quelque pierre en la muraille ouverte. ')",1.0,Deletion
182,,"('#camille', ""Je la porte vraiment cette pierre en mon coeur,  Il est plus froid que marbre, et n'a plus de vigueur. "")",1.0,Deletion
183,,"('#cloriande', 'Telle profession fait honte à son visage,  Et des traits ne sont pas propres à cet usage. ')",1.0,Deletion
184,"('#roseline', ""Et je t'en donne autant, et je les reçois tous ;  Ces gages d'amitié qui t'excusent me flattent,  Ma plainte est de ces feux qui pour se perdre éclatent : Excuse, cher Amant, ce coup ingénieux,  Dont la feinte guérit mes esprits curieux ;  À ta dévotion amoureuse rangée,  Tu peux rendre sur moi ta passion vengée,  Maintenant il n'est rien qui ne te sois permis ;  Viens du tort qu'on t'a fait punir tes ennemis ;  Ma bouche, sans mon coeur, a commis cette offense,  Viens doncque la baiser, d'amour, ou de vengeance ;  Approche, ce respect nous est hors de saison. "")","('#aristandre', ""Oui, tout est découvert, n'en attends rien de mieux. "")",0.81,Substitution
185,,"('#cloriande', ""Il a je ne sais quoi d'agréable en ses yeux ;  Quel est son nom ? "")",1.0,Deletion
186,,"('#le-geolier', ""Niais ; c'est la sottise même :  Voyez ce front baisé, voyez-lui ce teint blême,  Qui dans un sot respect marquent sa lâcheté ;  Ces pâles traits de gueux les nommez-vous beauté ? "")",1.0,Deletion
187,"('#aristandre', ""Ô douceur, qui me perd l'esprit, et la raison ! "")","('#aristandre', ""Que sa feinte rigueur me plaît, et qu'elle est douce ! Qu'elle vient à propos ! "")",0.79,Substitution
188,,"('#le-geolier', ""Marche, quand on te pousse ;  Il a les pieds pesants de même que l'esprit. "")",1.0,Deletion
189,"('#roseline', ""Qu'en crois-tu ? Sais-je pas réparer une injure ? "")","('#cloriande', ""Les coups ne chassent point sa grâce qui me rit ;  Je l'admire ; et connais… "")",1.21,Substitution
190,,"('#aristandre', 'Sans doute notre feinte. ')",1.0,Deletion
191,"('#aristandre', ""Tel plaisir la suivant, Dieux ! Faites qu'elle dure. "")","('#cloriande', ""Que tu lui perds le coeur et l'esprit dans la crainte ;  Traite-le, je le veux, un peu plus doucement :  Retirez-vous d'ici tous deux pour un moment. "")",1.19,Substitution
192,"('#roseline', ""Par cette privauté commence à t'assurer  De l'éternelle amour que je te veux jurer ;  Je te la veux jurer, mais c'est sur cette joue,  Avecque mes plaisirs où mon âme se joue.  Elle le baise."")","('#le-geolier', 'De combien de frayeurs ce moment nous délivre ! ')",0.9,Substitution
193,,"('#camille', ""Je pense qu'en lui seul je commence de vivre ;  Que ne suis-je dehors ! Écoutons néanmoins. "")",1.0,Deletion
194,"('#aristandre', ""Et moi, je jure aussi sur toi, sein précieux,  Où mon esprit demeure attaché par les yeux,  Que mon coeur, attiré dessus mes lèvres, baise,  Où mon âme s'endort, et je soupire d'aise,  Où je meurs, où je vis, sans vivre, sans mourir ;  Je jure, à d'autres voeux de jamais ne courir,  Que tous vents me tiendront dedans ce doux orage,  Que je veux expirer en cet heureux naufrage,  Qu'admis dans vos faveurs, ma divine Cypris,  Un esclave éternel vous en sera le prix ;  Ô Cieux ! Est-il un prix qui vaille cette grâce ?  Et si ma vie est peu, que faut-il que je fasse ? "")","('#cloriande', ""Aristandre, je prends tous mes soins à témoins,  Et l'Hydre de tes maux sans cesse renaissante,  Si quelque affection fut jamais plus puissante  Que celle qui par moi te conserve aujourd'hui. "")",0.0,Match
195,,"('#camille', ""Il faudrait donc ôter celle que j'ai pour lui. "")",1.0,Deletion
196,"('#roseline', ""M'aimer, cela suffit ; et je l'estime plus,  Que tant d'honneurs en l'air, et qui sont superflus ;  Veux-tu qu'en peu de mots je t'enseigne à me plaire ?  C'est à toi d'être aimé, de jouir et te taire. "")","('#cloriande', ""Tes maux et mon secours te disent que je t'aime ;  Tu ne vis que par moi, ne vis que pour moi-même ;  Peux-tu me refuser ce qui semble être à moi ? "")",0.0,Match
197,"('#aristandre', ""C'est à moi de souffrir plutôt mille trépas ;  Que d'enfreindre ces points, qui me sont des appas ;  Douces conditions ! Lois du tout amoureuses !  Que ce joug glorieux rend mes flammes heureuses !  Que l'univers conspire à me faire périr,  Autre main ne me peut ni blesser, ni guérir ;  Hors de vous la grandeur me serait importune,  Je regarde en vos yeux seulement ma fortune ;  Je n'ai plus que par vous de bien, ni de plaisirs ;  Vous gouvernez mon coeur, vous faites mes désirs,  Et votre seul vouloir est l'esprit qui m'anime,  Vous formez ma pensée, et ma bouche l'exprime ;  Je ne suis plus enfin que ce qu'il vous plaira,  Prêt d'oublier mon nom, quand il vous fâchera."")","('#aristandre', 'Et bien, tenez ma vie, une autre tient ma foi ;  Je sais que je vous dois cet air que je respire,  Que mon salut dépend des lois de votre empire. ')",0.0,Match
198,,"('#camille', 'Dis de sa tyrannie, et de sa passion. ')",1.0,Deletion
199,"('#roseline', ""Et moi j'oublie aussi dans le soin de te plaire  Le respect d'un Mari, ma perte toute claire,  Le devoir et le rang que traîne ma Grandeur,  Mon honneur en mourant se plaint à ma pudeur :  Que tu me rends par là bien moins que je te donne ! "")","('#aristandre', ""Mais ce bien qui me vient de votre affection,  Ne me le donnez-vous que par le prix d'un crime ?  Puis-je vivre, et quitter la flamme qui m'anime ? "")",0.62,Substitution
200,"('#aristandre', ""Oui, combien que je pusse offrir une Couronne,  Quand par moi vous seriez Reine de tous les Cieux,  Combien est-ce au-dessous d'un don si précieux ?  Un seul de vos regards tient une âme ravie,  Un seul de vos baisers dérobe et rend la vie,  Mourir dans vos appas c'est plus que vivre au Ciel,  Toute autre volupté n'a pour moi que du fiel. "")","('#cloriande', ""Cette flamme ? Imprudent, qui t'aurait fait mourir,  Sans la mienne, qui put seule te secourir. "")",0.49,Substitution
201,"('#roseline', ""En toi seul est le point de ma béatitude ;  Sujette néanmoins à cette inquiétude  Que je ne puis t'avoir près de moi tout un jour,  J'entends mon coeur sonner la retraite d'amour. "")","('#aristandre', ""Au contraire, en mes maux c'est elle qui m'assiste,  Son amour réjouit cette demeure triste. "")",0.5,Substitution
202,"('#aristandre', 'Faut-il se retirer sur de si belles arrhes ? ')",,1.0,Insertion
203,"('#roseline', ""Oui bien, pour empêcher mille soupçons bizarres,  Dont le moindre pourrait troubler tous nos plaisirs ;  Va, laisse-moi veiller à nos communs désirs,  Mon intérêt mêlé, je n'aspire qu'à l'heure… "")","('#cloriande', ""Elle te donne donc un bien qu'elle n'a pas ;  Son cachot et le tien n'ont-ils point quelque appas ?  Tout son plaisir n'est plus qu'à chercher une porte  Pour sortir, en mourant, des maux qu'elle supporte. "")",0.53,Substitution
204,,"('#aristandre', ""qui était derrière la porte du Cachot et la tenait.  Elle ne cherche pas ce qu'à l'heure elle tient. "")",1.0,Deletion
205,,"('#camille', ""Il passe trop avant ; Dieux ! Jusqu'où l'on en vient ? "")",1.0,Deletion
206,,"('#le-geolier', ""Il lui répond de vous, mais elle entend d'une autre :  Écoutons leur discours, et finissons le nôtre. "")",1.0,Deletion
207,,"('#cloriande', 'On lui ferme un chemin, que chacun trouve ouvert. ')",1.0,Deletion
208,,"('#aristandre', ""Elle y sait bien venir, elle l'a découvert. "")",1.0,Deletion
209,,"('#cloriande', ""En vain le voulut-elle ; on la détient captive,  Et pour son plus grand mal on permet qu'elle vive :  Mais change cet amour. "")",1.0,Deletion
210,,"('#aristandre', 'Jamais. ')",1.0,Deletion
211,,"('#cloriande', 'Romps ce lien. ')",1.0,Deletion
212,,"('#aristandre', 'Il est trop fort. ')",1.0,Deletion
213,,"('#cloriande', 'Et prends en moi-même ton bien.')",1.0,Deletion
214,"('#aristandre', ""Qui fera que d'amour et d'attente je meure. "")","('#aristandre', ""Je n'en veux jamais d'autre, et n'en aurai qu'en elle. "")",0.66,Substitution
215,"('#roseline', ""De cette mort, qui donne une vie aux Amants,  Qu'un espoir assuré nourrit dans les tourments :  Tu me presses ? Mauvais ; et bien, qu'il te souvienne,  L'occasion venue, enfin que je suis tienne ;  Mais juge que l'amour hait la crainte et le bruit,  Et que ma soeur te sait dans ma chambre introduit,  (Peut-être dans mon coeur) quel soupçon aurait-elle ? "")","('#cloriande', ""Qu'attends-tu d'une infâme, et d'une criminelle ? "")",0.9,Substitution
216,"('#aristandre', ""Je sais que sa blessure est bien aussi mortelle.  Ma Princesse, il est vrai, je le confesse aussi,  Qu'officieuse soeur elle m'a mis ici ;  Mais à m'en retirer, à l'égal inhumaine. "")","('#aristandre', ""Ah ! Madame, c'est trop, vous passez à l'excès ;  Si Camille n'a point un plus heureux succès,  Notre amour pour le moins n'a ni honte ni vice ;  Sa gloire est dans mes fers, la mienne en son service. "")",0.64,Substitution
217,,"('#cloriande', 'Quoi ? Roseline enfin lui cédera le lieu ? ')",1.0,Deletion
218,,"('#aristandre', ""C'est ce que veut le Ciel, et que ferait un Dieu. "")",1.0,Deletion
219,,"('#cloriande', ""Qu'encore à celle-ci je serve de seconde ? "")",1.0,Deletion
220,,"('#aristandre', ""Elle n'en eut jamais et n'aura dans le monde. "")",1.0,Deletion
221,,"('#cloriande', 'Tout ainsi que ma Soeur, Camille aura son tour. ')",1.0,Deletion
222,,"('#aristandre', ""Je l'aimai de respect, de devoir, non d'amour. "")",1.0,Deletion
223,"('#roseline', 'Que ton coeur aisément se donne de la peine !  Adieu ; je te verrai ce soir, si je ne meurs. ')","('#camille', ""Je serais trop heureuse ; ô Dieux ! L'osai-je croire ? "")",0.84,Substitution
224,"('#aristandre', ""Qu'avecque ce baiser j'emporte nos douleurs. "")",,1.0,Insertion
225,"('#roseline', ""Tu m'en laisse pourtant encore davantage. "")","('#cloriande', 'Ainsi de mes bienfaits tu perds toute mémoire ! ')",1.04,Substitution
226,"('#aristandre', ""Avec elles mon coeur, afin qu'il les soulage. "")","('#aristandre', 'Nullement, je les porte empreints dedans le coeur. ')",0.54,Substitution
