,biancollelli-arlequin-gentilhomme,mongin-promenades-de-paris,Cost,Operation Type
78,"('#octave', 'Entrons.  Dans le temps que Colombine veut entrer avec Octave, Mezzetin la prend par le bras.')","('#colombine', 'Oh ! Tu ne mènes donc jamais que des Vestales.')",1.9,Substitution
79,"('#mezzetin', ""La belle hôtesse attendez un moment,  Et daignez soulager mon amoureux tourment,  À peine ai-je entrevu votre belle figure,  Que vos yeux dans mon coeur ont fait une blessure,  Si grande qu'un carrosse avec quatre coursiers,  Pourraient s'y promener et passer quoiqu'entiers,  Vous voyez que j'exprime assez bien ma tendresse,  Et comme maintenant vous êtes mon hôtesse,  Traitez-moi largement car j'ai grand appétit,  C'est pourquoi... "")","('#arlequin', ""Oui, Vestales, fort bien ! Oh, puisqu'il faut parler, Puisque l'on me contraint à ne plus rien celer, De grâce, dites-moi ? Ces humaines donzelles, Qui crainte de passer pour telles, Me cachent à Paris leurs demeures, leurs noms. Et dans ce Bois leurs actions; Oui, ces femmes en général, Qui pour aller faire naufrage, Ne veulent s'embarquer dedans mon équipage Qu'aux Quinze-vingts, à l'Arsenal ? Toutes ces Belles, par exemple, Sont-elles entre nous, d'une venu fort ample ?"")",0.22,Substitution
80,"('#colombine', 'Vous aurez bonne table et bon lit,  Il ne manque de rien chez moi je vous proteste. ')",,1.0,Insertion
81,"('#mezzetin', 'Avec le lit, la table il me faudrait autre chose. ')",,1.0,Insertion
82,"('#colombine', 'Que voulez-vous de plus, je ne vous comprends pas. ')","('#colombine', ""J'avoue..."")",2.0,Substitution
83,"('#mezzetin', ""Je fais, voyez-vous bien, plus que mes deux repas,  Je suis encore à jeun, et ma faim est extrême,  On ne peut l'assouvir qu'en me mettant à même.  Après un bon repas  Au gré de mon envie  Servez-moi, je vous prie,  De ces mets délicats  Ne m'entendez-vous pas.  . . . . . . . .  Il chante. Dans ce temps-là Pierrot arrive, et les écoute."")","('#arlequin', ""Item, celles encor qui vinrent en ces lieux, Au retour des Hirondelles, Faire aux guerriers leurs adieux ; À ce départ ces femelles , Qui semblaient être en des douleurs mortelles, Et qui si peu de jours après, Dans ce Bois_de_Boulogne mêmes Avecque des gens de Palais Oublièrent leurs chers plumets, Et s'oublièrent elles-mêmes ?"")",0.93,Substitution
84,"('#colombine', ""Vous êtes trop goulu, comment vous contenter,  Je vous répondrai bien s'il ne tient qu'à chanter.  Elle chante sur le même air.  Ces mets si délicats  Sont-ils votre usage ?  Un si grand avantage  À tous ne convient pas  Car je veux des ducats. "")","('#colombine', ""À l'oubli près, qu'en dites-vous ? Ce maraud-là parle pour nous."")",1.33,Substitution
85,"('#pierrot', ""Les mets que vous voulez  Me servent de pâture  Je ne mange autre chose,  Et quoique j'en sois saoul  Vous n'en tâterez pas.  Savez-vous mon ami que c'est là notre femme,  Et que Monsieur Pierrot est d'une humeur jalouse,  . . . . . . . . . . . . . . Si vous voulez loger dans notre cabaret.  Entrez-y vous aurez du vin blanc ou clairet,  Tel que vous le voudrez, mais laissez là ma femme.  À Mezzetin il dit."")","('#arlequin', ""Et celles qu'on régale à Chaillot, à Passy ; Et qui pour dire grand-merci, Et payer leur écot d'un bon vin de Bourgogne, D'une bonne collation, S'en vont dans le Bois_de_Boulogne, En faire la digestion ?"")",0.8,Substitution
86,"('#colombine', 'Mon fils point de courroux. ')","('#colombine', 'Si.')",1.48,Substitution
87,"('#pierrot', ""Voyez la bonne lame  Tu voudrais sans savoir ni comment ni pourquoi,  Servir à ce Monsieur le même plat qu'à moi,  Il serait bientôt las d'un semblable ordinaire. "")","('#arlequin', ""Ces belles encor, ces écueils de la bourse, Qui voulant toujours être en course ; À force de courir l'hiver les jeux, le bal, L'été les bois et la prairie , Conduisent mes chevaux enfin à la voirie, Et leurs amants à l'hôpital ; Se bâtissant ainsi, ces prodigues coquettes, Sur la ruine des chevaux, Et celle des godelureaux, Un refuge aux madelonnettes."")",0.79,Substitution
88,"('#mezzetin', 'Un air libre et badin pourrait-il vous déplaire ?  Ah ! De grâce excusez. ')","('#elise', ""Laissons-là cet ivrogne, allons, sortons d'ici. Colombine, c'est trop lui donner audience. Monsieur_Calmar m'attend avec impatience, Je suis de voir sa fête impatiente aussi."")",1.33,Substitution
89,"('#pierrot', ""Allez, boutez dessus,  Je veux tout oublier mais n'y revenez plus. "")",,1.0,Insertion
90,"('#mezzetin', 'Pierrot es-tu fâché contre ta Colombine ?  Mon petit cupidon fais-moi meilleure mine. ')",,1.0,Insertion
91,"('#pierrot', 'Je suis pris par mon faible, allons mets-là ta main,  Il le faut avouer je suis un bon humain. ')","('#colombine', ""Allons. De la raison toi, prends donc plus de soin, Et gardes-en, je t'en conjure Autant qu'il en faut, tout au moins Pour conduire à Paris ta vilaine voiture. Au Fiacre. Elles s'en vont."")",0.96,Substitution
92,"('#colombine', ""Adieu mon cher Pierrot, je suis votre servante.  Elle s'en va."")","('#arlequin', ""Oh, tout doux, mon Fiacre vilain ? Hé de grâce, épargnez un peu votre prochain. Quelque vilain qu'on soit, Comtesses et Marquises Du fiacre cependant sont tellement éprises, Qu'elles quittent des chars tirés à six chevaux, Pour s'en venir en fiacre ici sous ces ormeaux. Mais où court ce manant si vite. Il faut nous divertir de ce bonhomme-ci. Holà, Manant, holà l'ami ? Où veux-tu donc aller au gîte ?"")",1.22,Substitution
93,"('#mezzetin', ""L'époux est un magot et la femme est charmante. "")","('#pierrot', 'À Paris.')",1.88,Substitution
94,,"('#arlequin', 'À Paris ?')",1.0,Deletion
95,,"('#pierrot', 'Oui je quitte les champs, Et je ne veux pas davantage Être du nombre des manants.')",1.0,Deletion
96,"('#pierrot', 'Voyez-vous devant moi comme elle file doux,  Dame je me fais craindre, allons entrez chez nous ? ')","('#arlequin', ""Ah ah ! Le plaisant personnage ! Et quelle est la raison, mon pauvre villageois Qui t'incite et te pousse à devenir bourgeois ?"")",1.08,Substitution
97,"('#arlequin', ""C'en est fait, j'ai vaincu rien n'égale ma joie,  Je suis avec honneur chargé de cette proie,  Et malgré tous les soins des zélés marmitons,  Je triomphe aujourd'hui d'un plat de macarons  Dans ce lieu retiré j'aurai du moins la gloire,  De jouir en repos du fruit de ma victoire,  Aucun écornifleur ne viendra m'y troubler,  Et de ces macarons je pourrai me saouler.  Ils sont délicieux, ce beurre et ce fromage  Les rendent savoureux on ne peut davantage.  Mais qui peut interrompre ici mon appétit,  Quelqu'un vient, ô malheur, cachons-nous sous le lit.  Il se met à terre et commence à manger les macarons d'une manière toute comique. Il les mange avec précipitation et fait des lazzis tous plaisants. Il prend son plat et va se mettre sous le lit, où il mange toujours."")","('#pierrot', ""Et c'est que maintenant les femmes de village N'aiment plus leurs maris dedans le mariage. La mienne me fait enrager. J'espère qu'à Paris elle pourra changer. Quand je serai bourgeois, qu'elle sera bourgeoise, Nous n'aurons plus, je crois, ni querelle ni noise."")",1.09,Substitution
98,"('#isabelle', ""Avec empressement j'attends mon cher Léandre,  En ce lieu chaque jour il a soin de se rendre,  L'amour qui nous permet des entretiens si doux  Nous marque également l'heure du rendez-vous  Et son exactitude à voir l'objet qu'il aime,  M'assure des transports de son ardeur extrême,  Mais je crois de l'entendre. "")","('#arlequin', ""Oui, les bourgeoises de Paris Aiment fort en effet leurs paisibles maris Quitter ton hameau pour la ville ! Hé double sot, pauvre animal, C'est tomber de fièvre en chaud-mal. Tu veux être bourgeois ? Je t'en ferai voir mille Qui voudraient devenir manants."")",1.15,Substitution
99,"('#arlequin', ""Hélas c'est grand hasard  Si de mes macarons il ne prétend sa part. "")","('#pierrot', ""Et moi, j'en connais un pas bien loin de céans, Adoré, chéri de sa femme. Elle lui dit : Mamour, mon fils, tout ci, tout ça Oh ! Pierrot donnerait son âme Pour avoir tous ces biaux noms-là."")",1.56,Substitution
100,"('#leandre', ""Guidé par mes soupirs je vous revois, Madame,  Vous ne pouvez douter de l'excès de ma flamme,  Trop heureux si l'amour qui me force à venir,  Voulait auprès de vous toujours me retenir :  Mais quand ce Dieu répond au beau feu qui me presse,  Hélas ! Que ces moments coulent avec vitesse,  À peine je me livre à ma félicité  Qu'il faut quitter d'abord un bien si souhaité. "")","('#arlequin', 'Ah ! Si cela te rassasie, Plus de chagrin, plus de tourment. Pour toi Paris aura mille agréments. Là, pour ôter soupçon et jalousie, Des femelles à tous moments Donnent à leurs époux le nom de leurs amants. Mais veux-tu guérir ta folie : Reste quelque temps en ce bois, Et tu verras en tapinois Que le divorce a droit de bourgeoise Chez les plus paisibles bourgeois.')",0.15,Substitution
101,"('#arlequin', ""Je ne quitterai pas mon plat de cette sorte,  Et je mangerai tout ou le Diable m'emporte. "")","('#pierrot', ""Serviteur aux Bourgeois, je ne veux donc plus l'être."")",1.43,Substitution
102,"('#isabelle', ""Mon tendre coeur soumis à l'empire amoureux  Également blessé brûle des plus beaux feux  Qu'il m'est doux de porter une si belle chaîne,  Et de m'abandonner au penchant qui m'entraîne  Mon père me destine en vain un autre époux,  Je ne veux pour mari qu'un amant tel que vous. "")","('#arlequin', ""Oui, tiens-t'en à ta vie et rustique et champêtre."")",1.66,Substitution
103,"('#leandre', ""Mon bonheur est parfait et cet aveu m'enchante  Que dans ces sentiments votre âme soit constante,  N'admettons d'autres lois que celles de l'amour,  Et livrons-lui nos coeurs pour honorer sa cour.  Ah ! Si pour posséder un bien si plein de charmes  Un rival téméraire en vous rendant les armes,  Prétendait me ravir ce que j'aime le mieux  Il serait accablé sous mes coups furieux. "")","('#pierrot', ""On, ne me parle point des champs. Je n'y veux point rester. Mais il est sur la terre Bien plus d'une sorte de gens."")",0.94,Substitution
104,"('#arlequin', ""Ciel ! Il parle de moi, que faut-il que je fasse ?  Morbleu qu'il vient de faire une laide grimace,  Sans doute on préparait pour lui ces macarons,  Je dois craindre pour moi de toutes les façons ;  Mais il a beau crier, car enfin pour les rendre  Il faut les digérer, il peut encore attendre. "")","('#arlequin', 'Il est des gens de robe, il est des gens de guerre. Lequel de ces états aimerais-tu le mieux! Veux-tu devenir...')",1.27,Substitution
105,"('#le-docteur', 'Isabelle. ')",,1.0,Insertion
106,"('#isabelle', ""J'entends mon père, cachez-vous. "")",,1.0,Insertion
107,"('#leandre', 'Où ? ')",,1.0,Insertion
108,"('#isabelle', 'Derrière le lit. ')",,1.0,Insertion
109,"('#arlequin', ""Ne venez pas dessous,  Car nous n'y serions pas tous deux fort à notre aise.  Léandre se cache derrière le lit, Isabelle reste fort alarmée."")",,1.0,Insertion
110,"('#le-docteur', 'Je veux chercher partout. ')",,1.0,Insertion
111,"('#arlequin', 'Ah ! Ne vous en déplaise  Ne cherchez pas ici. ')",,1.0,Insertion
112,"('#le-docteur', 'Peut-être sous le lit  Pourrais-je la trouver. ')",,1.0,Insertion
113,"('#arlequin', ""Que Diable est-ce qu'il dit ? "")",,1.0,Insertion
114,"('#le-docteur', ""À la chercher partout il faut que je m'applique,  Je ne trouve point une épée à l'antique.  Je veux voir sous le lit. "")","('#pierrot', 'Oui, je veux, Je veux devenir gens de robe.')",1.27,Substitution
115,"('#arlequin', 'Hélas ! Je suis perdu,  Il va me découvrir.  Le Docteur cherche sous le lit et voit Arlequin.')","('#arlequin', ""Mais pour bien percer le rabat, Il faut plus d'un talent, comme plus d'un ducat."")",1.73,Substitution
116,"('#le-docteur', ""Juste ciel ! Qu'ai-je vu ?  Il fuit et ferme la porte de la chambre, Léandre quitte sa place et revient. "")",,1.0,Insertion
117,"('#le-docteur', 'Un homme sous le lit ! ')",,1.0,Insertion
118,"('#arlequin', 'Excusez-moi de grâce  Je consens à payer mon écot et ma place. ')",,1.0,Insertion
119,"('#leandre', ""Apprends-moi le sujet qui t'amène en ces lieux,  Voleur ? "")",,1.0,Insertion
120,"('#arlequin', ""Oh ! Ventrebleu vous pourriez parler mieux,  Ce larcin est ma foi le premier de ma vie,  Mais de ces macarons j'avais si fort envie  Que j'ai dans la cuisine avec dextérité  Escroqué ce butin si longtemps souhaité  Je vais me retirer car j'ai la panse pleine  Je vous rendrai e plat n'en soyez pas en peine  Je ne le vendrai point car il n'est point d'argent. "")","('#pierrot', ""Pour des ducats, on en dérobe. J'ai et bonne main et bon cour, Enfin déjà je suis à moitié Procureur. J'ai beaucoup de babil, bon port, belle prestance À moins on peut être avocat. J'ai de la gravité, je ronfle à l'audience ; Et de bien plus d'un magistrat C'est-là toute la science."")",1.21,Substitution
121,"('#leandre', 'Mais quel est ton emploi ? ')",,1.0,Insertion
122,"('#arlequin', ""D'être fort indigent,  J'ai longtemps parcouru les états de la vie,  Et depuis ce matin j'ai pris la fantaisie  De choisir parmi tous celui de crocheteur,  Je me suis introduit chez Monsieur le Docteur,  Après avoir volé ce plat dans sa cuisine,  Pour assouvir la faim qui rongeait ma poitrine  Je me suis confiné dans cet appartement,  J'y mangeais en repos et fort gloutonnement,  Quand cette Demoiselle en ce lieu s'est rendue  Moi pour me dérober aussitôt à sa vue,  Et me mettre à couvert du tumulte et du bruit,  Je me suis tout tremblant retiré sous le lit  Vous avez entendu mon histoire tragique  Bien loin de me blâmer plaignez un famélique. "")","('#arlequin', ""Oui, mais ces gens de robe époux, Manants, sont moins heureux que vous. Chez vous, femme, mari, chacun fait sa besogne. L'homme fait des fagots, la femme des balais. Mais ces pauvres robins s'échauffent au Palais, Tandis que leurs moitiés dans ce bois de Boulogne Gobent tranquillement le frais."")",0.61,Substitution
123,"('#isabelle', ""Comment ferons-nous donc mon père ca venir ?  Léandre il n'est pas temps de nous entretenir,  Mais plutôt... "")","('#pierrot', 'Perrette aura moins de licence Je la tiendrons de près.')",1.09,Substitution
124,,"('#arlequin', ""Mais l'heure d'Audience, Chez les femmes de robe est l'heure du berger."")",1.0,Deletion
125,,"('#pierrot', ""Au diantre donc la robe, il n'y faut plus songer."")",1.0,Deletion
126,"('#leandre', ""Dissipez cette frayeur extrême  Je viens d'imaginer un plaisant stratagème,  Donne-moi ton habit et tu prendras le mien.  À Arlequin."")","('#arlequin', ""Non, il vaut encor mieux s'en aller à l'armée, Allons, il faut servir le Roi, Et quand tu porteras le plumet et l'épée, Ah, ta femme ma foi sera bien attrapée Il faudra bien que la rusée T'aime, ou qu'elle dise pourquoi."")",1.0,Substitution
127,"('#arlequin', ""Fi donc dans mon casaquin ne vous ira pas bien  Il faut pour le porter toute une autre encolure  Vous n'avez d'Arlequin ni gestes ni postures. "")","('#pierrot', ""En effet, la mine guerrière Aux femmes aujourd'hui donne dans la visière. Mais un plumet, une épée à Pierrot ! Moi porter cela ? Quelque sot ! Que porteront les Gentilshommes ?"")",1.06,Substitution
128,"('#leandre', 'Dépêchons. ')",,1.0,Insertion
129,"('#arlequin', ""J'y consens pour vous faire plaisir,  Quoique je perde au change, il faut vous obéir.  Ils se déshabillent tous deux, Arlequin met l'habit de Léandre, et Léandre celui d'Arlequin."")","('#arlequin', ""Bon, bon ! Dans le siècle où nous sommes, On habille de même et manants et marquis. Tel portait des sabots jadis, Qui porte aujourd'hui l'écarlate. Un homme n'est plus un pied-plat, Dés qu'il n'a plus sa bourse plate. L'argent est gentilhomme, en un mot, entends-tu ?"")",0.88,Substitution
130,"('#isabelle', 'Pourquoi vous déguiser, apprenez-moi Léandre. ')","('#pierrot', 'Quoi ? Noblesse à présent ne vient pas de vertu ?')",1.79,Substitution
131,"('#leandre', 'Cette ruse, Madame, est facile à comprendre.  Va derrière le lit, je veux rester ici.  À Arlequin.')","('#arlequin', ""Hé non, ce n'est plus là sa source. Noblesse en ce pays se tire de la bourse. Oui, la Noblesse vient de là. Cela te semble-t-il étrange ? Pierrot aura pourtant, tout comme le voilà, Des Lettres de noblesse avec Lettres de change. Ainsi tu peux porter arme, et quoi que manant, Tu pourras à ton gré suivre l'arrière-ban. Il fait comme s'il comptait de l'argent."")",1.2,Substitution
132,"('#arlequin', 'Ce gentilhomme est fou, moi je le suis aussi. ')",,1.0,Insertion
133,"('#leandre', ""Ici dans un instant le docteur va se rendre  Me voyant cet habit il pourra se méprendre  Ainsi j'éviterai quelque éclaircissement,  Mais il vient, je saurai le tromper aisément. "")","('#pierrot', ""Allons donc; aussi bien ces Arriere-Banistes Des morts et des blessés n'emplissent point les listes. Mais comment m'appellera-t-on ? Car Pierrot, ce nom-là n'est point fait pour la Guerre."")",1.1,Substitution
134,,"('#arlequin', ""Hé tous les jours on change et d'habit et de nom. Pierrot s'appellera le Marquis de la Pierre, Et Perrette ta femme aussi sera Marquise."")",1.0,Deletion
135,"('#le-docteur', ""Secondez, mes amis la fureur qui m'inspire,  Arrêtez ce voleur... Hé bien que vas-tu dire ?  Parle, dans ma maison quel dessein t'a conduit ?  Réponds, pendard, pourquoi te cacher sous le lit ?  Les valets saisissent Léandre."")","('#pierrot', 'Son amour après ça me sera tout acquis ?')",1.61,Substitution
136,"('#leandre', ""Je ne suis pas, Monsieur, ce que vous pouvez croire,  Je vais vous raconter en deux mots mon histoire.  Je suis un crocheteur, victime de la faim,  Qu'ici son appétit n'a pas conduit en vain,  Un plat de macarons volés par prévoyance,  A soulagé les maux causés par l'abstinence,  Ici pour les manger je me suis introduit,  Et je me suis caché tout tremblant sous le lit. "")","('#arlequin', 'Non pas. Hé quelle est ta sottise ! Ta femme Marquis ? Tant pis ! Nous voyons tous les jours Marquises et Comtesses, Être aussi mal avecque leurs maris, Que leurs maris sont mal avecque les richesses.')",1.44,Substitution
137,"('#isabelle', ""Mon père renvoyez ce pauvre misérable,  Ne le punissez point puisqu'il n'est pas coupable. "")",,1.0,Insertion
138,"('#le-docteur', ""Je plains ce malheureux, son sort me fait pitié  Il s'est auprès de nous assez justifié.  Va-t'en je te pardonne, et tu n'as rien à craindre,  Tu dis la vérité.  À Léandre."")","('#pierrot', ""Comment ? Quand j'irai à l'armée, Que j'aurai vu quelques combats Quand j'aurai bonne renommée, Perrette ne m'aimera pas ?"")",1.5,Substitution
139,"('#leandre', ""J'ignore l'art de feindre. "")",,1.0,Insertion
140,"('#le-docteur', 'Outre les macarons que tu viens de voler  Je veux bien de dix sols encore te régaler. ')","('#arlequin', 'Et quand bien tu ferais mille et mille conquêtes, Quand tu serais le plus grand des guerriers,  Les coiffes rarement épargnèrent les têtes Que Mars a couvert de lauriers.')",0.68,Substitution
141,"('#leandre', ""L'honneur de vous servir est le bien où j'aspire. "")","('#pierrot', 'Oh bien, me voilà donc revenu de la gloire.')",1.05,Substitution
142,"('#le-docteur', 'Adieu mon pauvre enfant. ')",,1.0,Insertion
143,"('#leandre', ""Monsieur je me retire. Léandre s'en va et les valets rentrent."")",,1.0,Insertion
144,"('#isabelle', 'Au gré de mes souhaits la fourbe a réussi. ')","('#arlequin', ""Veux-tu, Pierrot, veux-tu m'en croire ?"")",1.54,Substitution
145,"('#arlequin', 'Oui mais pour mon malheur je suis encore ici. ')",,1.0,Insertion
146,"('#le-docteur', ""Qu'entends-je ? Que dit-on ? "")","('#pierrot', 'Hé bien ?')",1.18,Substitution
147,"('#isabelle', ""Rien mon père... Ah le traître !  S'il dit encore un mot il fera tout connaître.  Arlequin éternue fort."")","('#arlequin', ""Reste manant, et retourne chez toi.  Il est dans le monde je crois, Bien plus d'un doux et bon ménage. Mais il en est bien moins à Paris qu'au village. Crois-moi, in vino veritas.  Il boit."")",1.27,Substitution
148,"('#le-docteur', 'Je ne me trompe pas et quelque autre est ici. ')",,1.0,Insertion
149,"('#isabelle', 'Que je suis malheureuse ! ')","('#pierrot', ""Moi retourner aux champs ? Je ne le ferai pas. Car encore à Paris, si ma femme est un diable, Et s'il faut que j'y sois un mari misérable, J'aurai de quoi me consoler En voyant partout mon semblable. Mais il est temps de m'en aller. Serviteur."")",0.92,Substitution
150,"('#le-docteur', 'Examinons ceci.  Il cherche, va derrière le lit, et trouve Arlequin habillé proprement.')","('#arlequin', 'Mais avant de remettre en chemin, Tiens, sable ce verre de vin. Cela, dit-on, avise bien un homme.')",1.27,Substitution
151,,"('#pierrot', ""Non, je veux, vous dit-on, être dépaysé. Et que je boive ou non, je suis tout avisé. Un bourgeois et moi, c'est tout comme."")",1.0,Deletion
152,"('#isabelle', 'Tout va se découvrir la chose est certaine. ')",,1.0,Insertion
153,"('#le-docteur', ""Dans ma maison, Monsieur, quel sujet vous amène ?  Holà, valets à moi, saisissez ce voleur.  Les valets viennent, se saisissent d'Arlequin qui se met à genoux devant le Docteur."")","('#arlequin', ""Hé bien donc, à votre santé.  Il boit, et Pierrot s'en va."")",1.36,Substitution
154,"('#arlequin', ""Ah, Monsieur, je ne suis qu'un pauvre crocheteur. "")",,1.0,Insertion
155,"('#le-docteur', 'Chansons, cet habit-là me fait croire autre chose.  Que veut dire ceci ?  À Isabelle.')","('#mezzetin', ""Vive le Bois_de_Boulogne, Vive tous ces tapis verts, Où l'on vient rougir sa trogne, Et voir la feuille à l'envers ! C'est dans ce lieu délectable, C'est dans ce charmant séjour, Que les plaisirs de la table Font venir ceux de l'amour. Courage, Camarade !  Voici les restes de la collation que je viens partager avec toi.  Allons, buvons, mangeons, rions, chantons."")",1.39,Substitution
156,"('#isabelle', ""Je n'en suis point la cause  Mon père, et je ne sais... "")","('#arlequin', ""À juger de la collation par ces restes, elle était somptueuse, et je crois qu'il fera peu resté de cruauté à celle à qui on l'a donnée."")",1.69,Substitution
157,"('#le-docteur', 'Je veux être éclairci. ')",,1.0,Insertion
158,"('#arlequin', ""Par charité souffrez que je sorte d'ici,  Un fâcheux cours de ventre, en certain lieu m'appelle,  Et m'ordonne, Monsieur, de pousser une selle. "")","('#mezzetin', ""Tout doux.  Cette maîtresse-ci, non plus que sa suivante, n'est pas de même étoffe que les autres, et mon maître et moi ne soupirons aujourd'hui qu'à bon escient et pour le mariage."")",1.28,Substitution
159,"('#le-docteur', 'Vous ne sortirez pas. ')","('#arlequin', ""Hé oui, pour un mariage du Bois_de_Boulogne, n'est-ce pas ?  Allons, buvons à ce bon mariage."")",1.73,Substitution
160,"('#arlequin', ""Pourquoi m'en empêcher ? "")",,1.0,Insertion
161,"('#le-docteur', ""J'en sais bien la raison. "")","('#mezzetin', ""Tu railles, mais je parle sérieusement, et dès aujourd'hui..."")",1.17,Substitution
162,,"('#arlequin', 'Mon_Dieu !  Je connais ton maître ; et Monsieur_Calmar, te dis-je, est un de ces Calmars qui ne veulent épouser que la débauche.')",1.0,Deletion
163,"('#arlequin', 'Je vais donc tout lâcher. ')","('#mezzetin', 'Non encore un coup, nous allons faire divorce avec elle.  Il faut finir, et tu vas perdre en nous une bonne pratique.')",1.33,Substitution
164,"('#isabelle', ""Que dis-tu, maraud, pour te tirer d'affaire ? "")","('#arlequin', ""Bon, bon !  Quand ton maître serait assez fou pour se marier tout de bon, serait-il plutôt infidèle au Fiacre et à toutes ses petites maîtresses qu'à sa femme ?"")",1.36,Substitution
165,,"('#mezzetin', ""Assurément, et mon maître et moi nous vivrons avec nos petites femmes comme s'il n'y avait qu'elles de femmes au monde."")",1.0,Deletion
166,"('#arlequin', ""Cela m'est échappé, je n'y saurais que faire. "")","('#arlequin', ""Quoi ?  Monsieur_Calmar, par exemple, ne se promènera plus, ne s'enivrera plus, et ne se perdra plus dans le Bois_de_Boulogne qu'avec sa femme ?"")",1.65,Substitution
167,,"('#mezzetin', ""Non, qu'avec sa femme."")",1.0,Deletion
168,,"('#arlequin', ""Monsieur_Calmar ne donnera plus de rendez-vous aux Quinze-vingts, au Palais-Royal, ni de fêtes au Grand_Turc et à Picpus qu'à sa femme ?"")",1.0,Deletion
169,"('#le-docteur', 'Fouillez-le promptement. ')",,1.0,Insertion
170,"('#arlequin', 'Vous ne trouverez rien,  Je suis un crocheteur sans honneur et sans bien.  Les valets le fouillent, et trouve une lettre. ')",,1.0,Insertion
171,"('#le-docteur', 'Donnez-moi cette lettre. ')","('#mezzetin', 'Non.')",0.99,Substitution
172,,"('#arlequin', ""Monsieur_Calmar ne se fera plus enfermer la nuit aux Tuileries, et n'en sortira plus par dessus l'impériale d'un carrosse qu'avec sa femme ?"")",1.0,Deletion
173,"('#arlequin', 'Hélas quel soin vous presse ?  Vieillard trop curieux. ')","('#mezzetin', 'Non.')",1.17,Substitution
174,,"('#arlequin', ""Et Monsieur_Calmar ne meublera plus de chambres à Paris, et n'en louera plus à la campagne que pour les éclipses de sa femme ?"")",1.0,Deletion
175,"('#le-docteur', ""Je prétends voir l'adresse.  À Géronte... voyons ce que peut contenir... Il lit l'adresse."")",,1.0,Insertion
176,"('#arlequin', 'Ma foi je ne puis plus, Monsieur, me retenir. ')","('#mezzetin', ""Non, non, non.  Mon maître, redis-je, ne connaîtra, ne verra et n'aimera que sa femme.  Mais paix.  J'entends la voix je crois de celle qui doit être la mienne.  Oui, c'est Colombine elle-même."")",1.33,Substitution
177,"('#le-docteur', ""Le porteur de la présente, est mon fils Léandre, qui se rend à Lyon pour avoir l'honneur de donner la main à la charmante Léonore ; j'espère que vous en serez satisfait, et que vous ne différerez point de conclure un mariage que je souhaite avec tant d'empressement.  Je suis, en attendant de vos nouvelles,  Votre très affectionné serviteur et ami, DAMON. "")","('#colombine', ""Holà hé, Fiacre, c'est assez boire et manger ; cours en donner à tes chevaux, et les mets en état de nous mener tout à l'heure aux Tuileries."")",1.33,Substitution
178,"('#arlequin', ""Ne me refusez pas le secours que j'implore. "")",,1.0,Insertion
179,"('#le-docteur', 'Vous venez pour donner la main à Léonore,  Et je vous trouve ici caché derrière un lit. ')","('#mezzetin', 'Oui, oui, laisse-nous seuls, et va soigner tes bêtes.')",1.63,Substitution
180,"('#arlequin', ""J'avais sur mon honneur un terrible appétit,  Ces macarons exquis m'ont bien bourré la panse. "")",,1.0,Insertion
181,"('#le-docteur', 'Cette affaire est pour moi de grande conséquence,  Vous deviez un peu mieux connaître le Docteur  Je suis homme de bien. ')",,1.0,Insertion
182,"('#arlequin', 'Moi je suis crocheteur. ')",,1.0,Insertion
183,"('#le-docteur', ""Il faut pour réparer l'honneur de ma famille,  Que sans plus différer vous épousiez ma fille,  Je veux que devant moi vous lui donniez la main.  Allons disposez-vous...  À Isabelle."")","('#arlequin', ""Dans de semblables tête à têtes,  Il ne faut de tiers que l'amour.  Courage elle est jolie. J'y cours, et je sais bien qu'en ce charmant séjour,  Il s'en va."")",0.99,Substitution
184,"('#isabelle', 'Ah ! Quel ordre inhumain  Que me prescrivez-vous ? Malgré votre colère  Je ne puis sur ce point vous obéir mon père. ')","('#mezzetin', 'Hé bien, mon adorable,  Ce Bois à mon amour sera-t-il favorable ?  Nous sommes sans témoins, et nous pouvons ainsi... Mais arrête, où cours-tu ?')",1.48,Substitution
185,"('#le-docteur', 'Vous osez résister après un tel affront. ')",,1.0,Insertion
186,"('#arlequin', ""Pourquoi l'agacez-vous ? Vous savez qu'il est prompt,  Mettez là votre main, Madame la coquine. "")","('#colombine', 'Rengaine ta tendresse.  Je vais rejoindre ma maîtresse,  Et ne veux point rester seule dans ce bois-ci.')",1.2,Substitution
187,"('#isabelle', 'Laisse-moi. ')","('#mezzetin', ""Et qu'as-tu donc à craindre en ce charmant bocage ?  Qu'est-ce ? En ce bois est-il quelques filous ?"")",1.35,Substitution
188,,"('#colombine', 'Que trop. Oui, sous ce vert feuillage,  Des filles seules comme nous  Sont souvent mises au pillage.  Fuyons les bois de peur des loups.')",1.0,Deletion
189,"('#le-docteur', ""Comment donc vous faites la mutine  Obéissez, vous dis-je, et sans plus m'irriter... "")","('#mezzetin', ""Non, ici sans se hasarder  On se promène, on se repose.  Si tu crois qu'aux caquets un tête à tête expose,  Le Fiacre viendra nous garder."")",1.29,Substitution
190,"('#isabelle', ""Enfin vous m'y forcer. "")",,1.0,Insertion
