,quinault-cadmus-hermione,quinault-persee,Cost,Operation Type
88,,"('#andromede', ""Ne me faites point d'injustice : Je veux vous aimer, je le dois."")",1.0,Deletion
89,,"('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.0,Deletion
90,"('#les-deux-princes-tyriens', 'Voyez à quels dangers vous allez vous offrir.')","('#andromede', 'Cessez de craindre.')",0.89,Substitution
91,,"('#phinee', 'Cessez de feindre.')",1.0,Deletion
92,,"('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.0,Deletion
93,"('#cadmus', ""Je ne vois qu'Hermione, et je la vois souffrir : Tout cède à cette horreur extrême ; Il est moins affreux de mourir Que de voir souffrir ce qu'on aime. Rien ne me peut épouvanter : Malgré tant de périls, l'Amour veut que j'espère."")","('#merope', ""Il craint autant qu'il aime ; Vous devez l'excuser. L'amour extrême Sert d'excuse lui-même Aux craintes qu'il a su causer."")",0.3,Substitution
94,"('#junon', ""Où vas-tu téméraire ? Où cours-tu te précipiter ? C'est l'épouse et la soeur du maître du tonerre, La mère du Dieu de la guerre, C'est Junon qui vient t'arrêter."")","('#merope #andromede #phinee', ""Ah ! Que l'amour cause d'alarmes ! Ah ! Que l'amour aurait d'attraits S'il ne troublait jamais La douceur de ses charmes ? Ah ! Que l'amour aurait d'attraits Si l'ont aimait toujours en paix !"")",1.33,Substitution
95,"('#pallas', ""Va, Cadmus, que rien ne t'étonne, Va, ne crains ni Junon, ni le Dieu des Combats : Ose secourir Hermione, Tu vois dans ton parti la guerrière Pallas, Cours aux plus grands dangers, je vais suivre tes pas, C'est Jupiter qui me l'ordonne."")",,1.0,Insertion
96,"('#junon', ""Pallas pour les amants se déclare en ce jour ; Qui l'aurait jamais osé croire ?"")","('#andromede', 'Mon devoir est pour vous, mon devoir peut suffire À vous faire un tranquille espoir.')",0.74,Substitution
97,"('#pallas', ""Qui peut être contre l'Amour Quand il s'accorde avec la gloire ?"")","('#phinee', ""Ne ferez-vous jamais parler que le devoir ? L'amour n'a-t-il rien à me dire ?"")",1.02,Substitution
98,,"('#andromede', 'Les jeux vont commencer, plaçons nous pour les voir.')",1.0,Deletion
99,"('#junon', 'Évite un courroux dangereux.')","('#cassiope', ""Ô Junon ! Puissante déesse Qu'on ne peut assez révérer !  J'assemble en votre nom cette aimable jeunesse, Que le flambeau d'Hymen doit bientôt éclairer. Chacun va montrer son adresse Pour disputer les prix que j'ai fait préparer, Ne gardez pas pour nous une haine implacable ; Si l'orgueil me rendit coupable, Je reconnais mon crime et veux le réparer. Voyez d'un regard favorable Les jeux qu'en votre honneur nous allons célébrer."")",1.13,Substitution
100,,"('#le-choeur', 'Laissez calmer votre colère. Ô Junon, exaucez nos voeux ! Si nous pouvions vous plaire, Que nous serions heureux ! On commence les jeux en disputant le prix de la danse.')",1.0,Deletion
101,,"('#amphimedon', ""Fuyons, nos voeux sont vains et Junon les refuse. De nouveaux malheureux en rochers convertis, Ne nous ont que trop avertis Qu'ils ont vu paraître Méduse."")",1.0,Deletion
102,"('#pallas', ""Profite d'un avis fidèle."")","('#corite', 'Méduse revient dans ces lieux !')",1.07,Substitution
103,"('#junon', 'Fuis un trépas affreux.')",,1.0,Insertion
104,"('#pallas', 'Cherche dans les périls une gloire immortelle.')","('#protenor', ""Garde-nous de la voir, la Mort est dans ses yeux. Tous ensembles, en fuyant. Fuyons ce monstre terrible ; Sauvons-nous s'il est possible : Sauvons-nous, hâtons nos pas ; Fuyons un affreux trépas."")",0.9,Substitution
105,"('#cadmus', ""Entre deux déïtés qui suspendent mes voeux, Je n'ose résister à pas une des deux, Mais je suis l'Amour qui m'appelle."")","('#cassiope', ""Faut-il que contre nous tout le ciel s'intéresse ? Dieux ! ne puis-je espérer de vous fléchir jamais ?"")",0.9,Substitution
106,"('#junon', 'Je poursuivrai tes jours.')","('#phinee', ""J'ai conduit ici la princesse."")",1.35,Substitution
107,,"('#merope', 'Persée a ramené le roi dans ce palais.')",1.0,Deletion
108,,"('#phinee', 'Méduse se retire, elle nous laisse en paix.')",1.0,Deletion
109,"('#pallas', 'Je vole à ton secours. Junon et Pallas sont enlevées sur leurs chars.')","('#cassiope', ""Elle peut revenir, elle peut nous surprendre. Junon s'obstine à se venger ; Contre elle aucun des dieux n'a soin de nous défendre ; Mon seul espoir est d'engager Jupiter à nous protéger."")",1.34,Substitution
110,"('#arbas', ""Charite, il est trop vrai, Cadmus veut entreprendre De remettre Hermione en pleine liberté : Il l'a dit au tyran, et je viens de l'entendre !"")","('#phinee', 'Je vous entends ; je sais quelle est votre espérance. Persée a beau vanter sa divine naissance, Après votre promesse, après la choix du roi, Andromède doit être à moi.')",0.72,Substitution
111,,"('#cassiope', ""Le ciel punit mon crime ; il est inexorable. J'ai besoin de secours dans un mortel effroi."")",1.0,Deletion
112,"('#charite', ""Et que dit le géant ? N'est-il point irrité ?"")","('#phinee', ""Ah ! si le ciel est équitable,  Vous trouverait-il moins coupable Si vous m'aviez manqué de foi ?"")",1.34,Substitution
113,"('#arbas', ""Il rit de sa témérité, Mon maître doit voir la Princesse Avant d'attaquer le dragon furieux qui veille pour garder ces lieux ; Et l'Amour qui pour toi me presse Veut que je vienne aussi te faire mes adieux. En te voyant, belle Charite, J'avais cru que l'Amour fût un plaisir charmant ; Mais lorsqu'il faut que je te quitte, J'éprouve qu'il n'est point un plus cruel tourment. La douleur me saisit, je ne puis plus rien dire ; Quand je pleure, quand je soupire, Tu ris, et rien n'émeut ton coeur indifférent ?"")","('#merope', ""Il est aimé de ce qu'il aime ; Vous avec approuvé ses voeux : Briserez-vous des noeuds Que vous avez formés vous-même ? Que le désespoir est affreux Pour un amour extrême, Qui s'était flatté d'être heureux !"")",0.53,Substitution
114,"('#charite', ""Tu fais la grimace en pleurant, Je ne puis m'empêcher de rire."")",,1.0,Insertion
115,"('#arbas', ""La pitié, tout au moins, devrait bien t'engager À prendre quelque part à mes ennuis extrêmes."")","('#phinee #merope', 'Briserez-vous des noeuds Que vous avez formés vous-même ?')",1.47,Substitution
116,"('#charite', ""S'il est bien vrai que tu m'aimes, Pourquoi veux-tu m'affliger ?"")","('#phinee', ""Seigneur, vous m'avez destiné À l'hymen fortuné De l'aimable Andromède. A l'amour de Persée on veut que je la cède ; M'ôterez-vous un bien que vous m'avez donné ?"")",1.04,Substitution
117,,"('#cephee', 'Au fils de Jupiter on peut céder sans honte.')",1.0,Deletion
118,"('#arbas', ""Pour soulager mon coeur du chagrin qui le presse, Te coûterait-il tant de l'affliger un peu ?"")","('#phinee', ""Et croyez-vous aussi la fable qu'il raconte ? Croyez-vous qu'un dieu souverain, Qui sur tout l'univers préside, Se laisse par l'amour changer en or liquide Pour entrer en secret dans une tour d'airain ? Par ce prodige imaginaire, Persée est révéré du crédule vulgaire : Il se dit fils du dieu dont le ciel suit la loi ; Mais je ne prétends pas l'en croire sur sa foi."")",1.13,Substitution
119,"('#charite', ""C'est un poison que la tristesse, L'Amour n'est plus plaisant dès qu'il n'est plus un jeu."")",,1.0,Insertion
120,"('#arbas', ""On console un amant des rigueurs de l'absence Par des tendres adieux."")",,1.0,Insertion
121,"('#charite', ""Quand il faut se quitter, un peu d'indifférence Console encore mieux."")",,1.0,Insertion
122,"('#arbas', ""Tu me l'avais bien dit, qu'il était impossible Que ton barbare coeur perdit sa dureté."")","('#cephee', ""Votre incrédulité n'aura donc plus d'excuse, Mon frère ; sa valeur va vous ouvrir les yeux. Reconnaissez le fils du plus puissant des dieux : Il offre de couper le tête de Méduse."")",1.02,Substitution
123,,"('#merope #cassiope #phinee', 'La tête de Méduse ! Ô cieux !')",1.0,Deletion
124,,"('#cephee', ""Ma fille est le prix qu'il demande."")",1.0,Deletion
125,,"('#cassiope #cephee', 'Quel prix peut trop payer cet effort glorieux ?')",1.0,Deletion
126,"('#charite', ""Au moins si tu te plains de me voir insensible, Tu dois être content de ma sincérité ; Puisqu'enfin pour te satisfaire Je ne puis pleurer avec toi ; Si tu voulais me plaire Tu rirais avec moi."")","('#phinee', ""Le succès n'est pas sûr, souffrez que je l'attends : Souffrez que cependant mon amour se défendre D'abandonner un bien si précieux ; Persée encor n'est pas victorieux. Il sort."")",0.68,Substitution
127,"('#arbas', ""C'est trop railler de mon martyre, Le dépit m'en doit délivrer ; N'est-on pas bien fou de pleurer Pour qui n'en fait que rire ?"")","('#cephee', ""L'espoir dans nos coeurs doit renaître... Dieux, que Junon engage à servir son courroux, Dieux irrités, apaisez-vous ! La vengeance du ciel n'a que trop au paraître. Le fils de Jupiter veut combattre pour nous : Ô ciel ! favorisez le fils de votre maître. Il répètent tous les trois ensemble les deux derniers vers, et puis Cépéhe et Cassiope s'en vont."")",0.45,Substitution
128,"('#charite', ""Guéris-toi, si tu peux, J'approuve ta colère ; Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")","('#merope', ""Hélas ! Il va périr ! Dois-je en trembler ? Pourquoi Pour l'amant d'Andromède ai-je pris tant d'effroi ? Faut-il que mon dépit s'oublie ? Quel intérêt ai-je à sa vie ? Il vivrait pour une autre, il est perdu pour moi... Cependant quand je songe à son péril extrême, Quand je le vois chercher un horrible trépas, Sans songer qu'il ne m'aime pas, Je sens seulement que je l'aime."")",0.52,Substitution
129,"('#charite #arbas', ""Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")","('#andromede', ""Infortunés, qu'un monstre affreux A changés en rochers par ses regards terribles, Vous ne ressentez plus vos destins rigoureux, Et vos coeurs endurcis sont pour jamais paisibles. Hélas ! les coeurs sensibles Sont mille fois plus malheureux."")",0.91,Substitution
130,"('#arbas', 'Mais la nourrice vient, il me faut éloigner.')",,1.0,Insertion
131,"('#charite', ""Tu sais que tu lui plais, la veux-tu dédaigner ? C'est une conquête assez belle."")","('#merope', ""Andromède semble interdite ;  Elle vient rêver en ces lieux : Ah ! je reconnais dans ses yeux Le même trouble qui m'agite."")",1.23,Substitution
132,"('#arbas', 'Si je lui plais, tant pis pour elle.')",,1.0,Insertion
133,"('#la-nourrice', ""Quoi ! Dès que je parais, tu fuis au même instant ? Lorsqu'on a des amis, est-ce ainsi qu'on les quitte ?"")",,1.0,Insertion
134,"('#arbas', ""Le temps presse, et Cadmus m'attend."")",,1.0,Insertion
135,"('#la-nourrice', ""Quand tu parlais seul à Charite, Le temps ne te pressait pas tant : Quel charme a-t-elle qui t'attire ? Qu'ai-je qui te fait en aller ?"")","('#andromede', ""Il ne m'aime que trop, et tout me sollicite De l'aimer à mon tour ; C'est du plus grand des dieux qu'il a reçu le jour. Dans nos périls mortels l'amour le précipite : Le moyen de tenir contre tant de mérite, Et contre tant d'amour ?"")",0.45,Substitution
136,"('#arbas', ""J'avais à lui parler, Je n'ai rien à te dire. Je dois suivre Cadmus, nous partons de ce lieu."")","('#merope', ""Ah ! Vous aimez Persée ; il cause vos alarmes ; N'en désavouez point vos larmes : Vos tendres sentiments se sont trop exprimés. Vous l'aimez."")",1.49,Substitution
137,"('#la-nourrice', 'Me dire adieu, du moins, est une bienséance Dont rien ne te dispense.')",,1.0,Insertion
138,"('#arbas', 'Je te dis donc adieu.')",,1.0,Insertion
139,"('#la-nourrice', ""Il me quitte, l'ingrat, il me fuit, l'infidèle ! Ne crains pas que je te rappelle ! Va, cours, je te laisse partir : Va, je n'ai plus pour toi qu'une haine mortelle : Puisses-tu rencontrer la mort la plus cruelle, Puisse le dragon t'engloutir."")","('#andromede', ""Vous l'aimez. L'espoir de son hymen avait charmé votre âme, Et je sais les projet que vous aviez formés : Je vois que le dépit n'éteint pas votre flamme ; Persée est en péril, et vous vous alarmez. Vous l'aimez."")",1.04,Substitution
140,,"('#merope', ""Vous l'aimez."")",1.0,Deletion
141,"('#charite', ""Crois-moi, modère L'éclat de ta colère ; Un dépit qui fait tant de bruit Fait trop d'honneur à qui nous fuit."")","('#andromede #merope', ""Ah ! Qu'un tendre coeur est à plaindre D'être réduit à feindre ! Quel tourment ne fait point souffrir Un malheureux amour que l'on ne peut éteindre, Et que l'on n'ose découvrir ? Ah ! qu'un tendre coeur est à plaindre D'être réduit à feindre !"")",0.7,Substitution
142,"('#la-nourrice', ""Ah ! Vraiment je vous trouve bonne ? Est-ce à vous, peite Mignonne, De reprendre ce que je dis ? Attendez l'âge Où l'on est sage, Pour donner des avis."")","('#merope', ""Il est vrai, le dépit veut en vain m'animer ; Je sens que la pitié désarme ma colère. Persée est un ingrat qui ne me peut aimer ; Il n'a pas laissé de me plaire. Il vous a trop aimée, hélas ! Comment ne l'aimeriez-vous pas ?"")",1.03,Substitution
143,"('#charite', ""Je suis jeune, je le confesse, Trouves-tu ce défaut si digne de mépris ? N'a-t-on point de bons sens qu'en perdant la jeunesse ? Il serait bien cher à ce prix."")","('#andromede', ""L'amour qu'il a pour moi l'engage À chercher à se perdre avec empressement : Ne me reprochez point ce funeste avantage ; Je le paierai bien chèrement."")",0.72,Substitution
144,,"('#merope', ""Unissons nos regrets, le même amour nous lie. Qu'importe à qui de nous Persée offre ses voeux ! Nous allons perdre toutes deux ; Son péril nous réconcilie."")",1.0,Deletion
145,"('#la-nourrice', ""Le temps doit mûrir les esprits, Et c'est le fruit de la vieillesse."")","('#andromede #merope', ""Ce héros s'expose pour nous : Sa perte est infaillible, Ah ! Qu'il vive, s'il est possible, Quand il vivrait pour vous."")",1.38,Substitution
146,"('#charite', ""Il n'est pas sûr que la sagesse Suive toujours les cheveux gris."")","('#andromede', 'Il faut que mon amour se cache et de trahisse... Ô ciel ! Il va parti ! Il me chercher en ces lieux.')",1.31,Substitution
147,"('#la-nourrice', ""Je souffre peu que l'on me blesse : Par des discours piquants Prétends-tu m'insulter sans cesse ?"")","('#merope', ""Je veux m'épargner le supplice D'être témoin de vos adieux. Elle sort."")",1.19,Substitution
148,"('#charite', 'Je respecte trop tes vieux ans.  Mais Cadmus, et la Princesse, Viennent dans ces lieux ; Ne troublons pas leurs adieux.')","('#cephee', 'Belle princesse, enfin vous souffrez ma présence.')",1.15,Substitution
149,,"('#andromede', ""Seigneur, on me l'ordonne, et je suis mon devoir."")",1.0,Deletion
150,"('#cadmus', ""Je vais partir, belle Hermione, Je vais exécuter ce que l'Amour m'ordonne, Malgré le péril qui m'attend : Je veux vous délivrer, ou me perdre moi-même ; Je vous vois, je vous dit enfin que je vous aime, C'est assez pour mourir content."")","('#cephee', ""Vous voulez me faire savoir Que je ne dois ce bien qu'à votre obéissance. N'importe, rien ne peut ébranler ma constance. J'ai su jusqu'à ce jour vous aimer sans espoir. Je vais avec plaisir prendre notre défense, Quand j'aurais pour récompense Que la seule douceur que je sens à vous voir."")",0.2,Substitution
151,"('#hermione', ""Ah ! Cadmus, pourquoi m'aimez-vous ? Pourquoi vouloir chercher une mort trop certaine ? Eh ! Que peut la valeur humaine Contre le dieu Mars en courroux ? Voyez en quels périls votre Amour nous entraîne ! J'aurais mieux aimer votre haine : Ah ! Cadmus, pourquoi m'aimez-vous ?"")","('#andromede', ""Non, ne vous flattez pas ; je peux ne vous rien taire : Vous m'aimez vainement ; Phinée a su ma plaire ; Il est choisi pour être mon époux ; Nos deux coeurs sont unis ; quel prix espérez-vous D'une entreprise dangereuse ? Quand nous seriez dangereuse ? Quand vous seriez vainqueur, votre âme est généreuse, Et vous ne voudrez pas rompre des noeuds si doux."")",0.0,Match
152,"('#cadmus', ""Vous m'aimez, il suffit, ne soyez point en peine ? Mon destin, tel qu'il soit, ne peut être que doux."")","('#cephee', 'Je serai malheureux, désespéré, jaloux ; Mais je mourrai content si vous vivez heureuse.')",0.08,Substitution
153,,"('#andromede', 'Ô dieux !')",1.0,Deletion
154,"('#hermione', ""Vivons pour nous aimer, et cesser de poursuivre Le funeste dessein que vous avez formé : Il doit être bien doux de vivre, Lorsqu'on aime, et qu'on est aimé."")","('#cephee', 'De mes regards vos beaux yeux sont blessés ; Vous souffrez à me voir, mon amour vous outrage. Je vais chercher Méduse, et je vous aime assez Pour ne vous pas contraindre à souffrir davantage.')",0.29,Substitution
155,"('#cadmus', ""Sous une injuste loi je vous vois asservie ; Serait-ce vous aimer que le pouvoir souffrir ? Lorsque pour ce qu'on aime on s'expose à périr, La plus affreuse mort a de quoi faire envie."")","('#andromede', 'Quoi ! pour jamais vous me quittez ! Persée, arrêtez, arrêtez.')",1.49,Substitution
156,"('#hermione', ""Mais vous ne songez pas qu'il y va de la vie : Faut-il que pour mes jours vous soyez sans effroi ? Je vivrais sous l'injuste loi Où mon cruel destin me livre. Mais si vous périssez pour moi, Je ne pourrai pas vous survivre."")","('#cephee', ""Qu'entends-je ? Ô cieux : belle princesse ! Que vois-je ? vous versez des pleurs !"")",1.02,Substitution
157,"('#cadmus', ""J'ai besoin de secours, voulez-vous m'accabler ? Ah ! Princesse, est-il temps de me faire trembler ?"")","('#andromede', ""Ah ! par l'excès de mes douleurs Connaissez, s'il se peut, l'excès de ma tendresse. Voyez à quoi j'avais recours Pour vous ôter l'ardeur qui vous fait entreprendre Un combat funeste à vos jours. Hélas ! que l'ai-je pu me rendre Indigne de votre secours ? Que n'êtes-vous magnanime ? Méduse d'un regard porte un trépas certain."")",0.29,Substitution
158,"('#hermione', 'Soyez sensible à mes alarmes !')","('#cephee', 'Vous pourriez être sa victime.')",1.66,Substitution
159,,"('#andromede', ""Tout l'effort des mortels contre elle serait vain."")",1.0,Deletion
160,"('#cadmus', 'Je ne sens que trop vos douleurs.')","('#cephee', ""Le fils de Jupiter, lorsque l'amour l'anime, Doit aller au delà de tout l'effort humain."")",1.9,Substitution
161,"('#hermione', 'Partirez-vous malgré mes pleurs ?')","('#andromede', ""Par les frayeurs d'un amour tendre Ne serez-vous point désarmé ?"")",0.47,Substitution
162,"('#cadmus', 'Il faut aller tarir la source de vos larmes.')","('#cephee', ""J'ignorais votre amour, et j'aillais vous défendre ; Puis-je à vous secourir être moins animé, Quand je sais que je suis aimé ?"")",1.55,Substitution
163,"('#hermione', ""Quoi, vous m'allez quitter ?"")","('#andromede', 'Quoi ! vous partez ?')",0.29,Substitution
164,"('#cadmus', 'Je vais vous secourir.')",,1.0,Insertion
165,"('#hermione', 'Ah ! vous allez périr ! Vous cherchez une mort horrible ; Mon amour me dit trop que vous perdrez le jour.')",,1.0,Insertion
166,"('#cadmus', ""L'Amour que j'ai pour vous ne croit rien d'impossible : Il me flatte en partant d'un bienheureux retour."")",,1.0,Insertion
167,"('#hermione #cadmus', 'Croyez en mon amour,')","('#cephee', ""L'amour m'appelle."")",0.57,Substitution
168,"('#hermione', ""Vous n'écoutez point ma tendresse, Rien ne vous retient ?"")","('#andromede', 'Vous méprisez mes pleurs ! Mes cris sont superflus !')",0.9,Substitution
169,"('#cadmus', 'Le temps presse.')",,1.0,Insertion
170,"('#hermione #cadmus', ""Au nom des plus beaux noeuds que l'Amour ait formés, Vivez, si vous m'aimez."")","('#cephee', ""Vous me verrez comblé d'une gloire immortelle."")",0.87,Substitution
171,,"('#andromede', 'Hélas ! nous ne vous verrons plus !')",1.0,Deletion
172,"('#cadmus', 'Espérons.')",,1.0,Insertion
173,"('#hermione', ""Tout me désespère. Que je me veux de mal d'avoir trop sçû vous plaire !"")","('#persee #andromede', ""Ah ! Le péril est extrême ! Je vois votre danger, je ne vois pas le mien.. Dieux ! sauvez ce que j'aime ! Et pour moi-même Je ne demande rien. Dieux ! sauvez ce que j'aime ! Andromède sort."")",0.9,Substitution
174,"('#hermione #cadmus', ""Qu'un tendre amour coûte d'ennuis !"")",,1.0,Insertion
175,"('#hermione', 'Vous fuyez ?')","('#mercure', ""Persée, où courez-vous ? qu'allez-vous entreprendre ?"")",0.38,Substitution
176,"('#cadmus', 'Il le faut.')",,1.0,Insertion
177,"('#hermione', 'Demeurez ?')",,1.0,Insertion
178,"('#cadmus', ""Je ne puis, Je m'affaiblis plus je diffère ; Il faut m'arracher de ce lieu."")","('#cephee', ""Un peuple infortuné m'engage à le défendre ; C'est à la gloire que je cours. Si je meurs, mon trépas sera digne d'envie ; Je laisse le soin de mes jours Au dieu qui m'a donné la vie."")",1.1,Substitution
179,"('#hermione', 'Ah ! Cadmus !')","('#mercure', ""Ce dieux juste et puissant favorise vos voeux, Et c'est par ma voix qu'il s'explique : Il reconnaît son sang à l'effort généreux Que vous allez tenter, d'une ardeur héroïque,  Pour secourir des malheureux ; Mais ce n'est point en téméraire Qu'il faut dans le péril précipiter vos pas. L'assistance des dieux vous sera nécessaire : Ils veulent vous l'offrir, ne le négligez pas. Je viens d'apprendre à toute la nature Que Jupiter s'intéresse à vos jours : La jalouse Junon vainement en murmure, Et tout, jusqu'aux enfers, vous promet du secours."")",1.49,Substitution
180,"('#cadmus', 'Hermione !')","('#un-des-cyclopes', ""C'est pour vous que Vulcain, de ses mains immortelles ; A forgé cette épée et préparé ces ailes. Hâtez-vous de vous signaler Par une célèbre victoire : Chacun doit aller à la gloire ; Mais un héros y doit voler."")",1.55,Substitution
181,"('#hermione #cadmus', 'Adieu.')",,1.0,Insertion
182,"('#hermione', ""Amour, vois quels maux tu nous fais, Où sont les biens que tu promets ; N'as-tu point pitié de nos peines ? Tes rigueurs les plus inhumaines Seront-elles toujours pour les plus tendres coeurs ? Pour qui, cruel Amour, gardes-tu tes douceurs ?"")","('#une-nymphe-guerriere', ""Le plus vaillant guerrier s'abuse D'oser tout espérer de l'effort de son bras. Si vous voulez vaincre Méduse, Portez le bouclier de la sage Pallas. Que la valeur et la prudence, Quand elles sont d'intelligence, Achèvent d'exploits glorieux ! Le monstre le plus furieux Leur fait vainement résistance. La paix ne peut régner que par leur assistance ; L'univers leur doit son bonheur. Rien ne peux mieux donner un immortel honneur Que la valeur et la prudence, Quand elles sont d'intelligence."")",0.56,Substitution
183,,"('#une-divinite-infernale', ""Ce casque vous est présenté Au nom du souverain de l'empire des Ombres. Au milieu du péril, pour votre sûreté, Il répandra sur vous l'épaisse obscurité Qui règne en nos demeures sombres. Ce don mystérieux doit apprendre aux humains Comme on peut s'assurer d'un succès favorable : Il faut cacher de grands desseins Sous un secret impénétrable."")",1.0,Deletion
184,,"('#mercure #choeurs-de-cyclopes #nymphes-guerrieres #divinites-infernales', ""Que l'enfer, la terre et les cieux, Votre généreuse entreprise ! Que l'enfer, la terre et les cieux, Que tout l'univers favorise Le fils du plus puissant des lieux !"")",1.0,Deletion
185,"('#l-amour', ""Calme tes déplaisirs, dissipe tes alarmes, L'Amour vient essuyer tes larmes, Il n'abandonne pas ceux qui suivent ses lois. Souviens-toi que tout m'est possible : Que rien à mon abord ne demeure insensible ? Que pour la divertir tout s'anime à ma voix ? Cessez de vous plaindre De souffrir en aimant ; Amants, vous devez ne rien craindre, Si vous souffrez, votre prix est charmant. Après des rigueurs inhumaines On aime sans peines, On rit des jaloux ; Un bien plein de charmes Qui coûte des larmes, En devient plus doux. Tout doit rendre hommage À l'Empire amoureux ; Il faut tôt ou tard qu'on s'engage, Sans rien aimer on ne peut être heureux. Après des rigueurs inhumaines, etc... Amours, venez semer mille fleurs sous ses pas. Des statues d'or sont animées par l'Amour et sautent de leur piédestaux pour danser. L'Amour descend et vient chanter au milieu des statues animées. Second couplet. L'amour reprend sa place sur le nuage qui l'a apporté, les statues se remettent sur leurs piédestaux, tandis que dix petits amours d'or, qui tiennent des corbeilles pleines de fleurs, sont à leur tour animés par l'Amour, et viennent par son ordre jeter des fleurs en volant autour d'Hermione."")","('#mercure', ""Votre conduite à mes soins est commise. L'impatience éclate dans vos yeux ; La gloire qui vous est promise Ne peut plus souffrir de remise. Suivez-moi ; partons de ces lieux. Mercure et Persée s'envolent."")",0.3,Substitution
186,,"('#les-choeurs', ""Que l'enfer, la terre et les cieux, etc."")",1.0,Deletion
187,"('#hermione', ""Laissez-moi ma douleur, j'y trouve des appas. Dans l'horreur d'un péril extrême, Est-ce là le secours que l'on me doit offrir ? Peut-être ce que j'aime Est tout prêt de périr."")","('#meduse', ""J'ai perdu la beauté qui me rendit si vaine : Je n'ai plus ces cheveux si beaux Dont autrefois le dieu des eaux Sentit lier son coeur d'une si douce chaîne. Pallas, la barbare Pallas, Fut jalouse de mes appas, Et me rendit affreuse autant que j'étais belle ; Mais l'excès étonnant de la difformité Dont me punit sa cruauté, Fera connaître, en dépit d'elle, Quel fut l'excès de ma beauté. Je ne puis trop montrer sa vengeance cruelle ; Ma tête est fière encor d'avoir pour ornement Des serpents dont le sifflement Excite une frayeur mortelle. Je porte l'épouvante et la mort en tous lieux ; Tout se change en rocher à mon aspect horrible : Les traits que Jupiter lance du haut des cieux N'ont rien de si terrible Qu'un regard de mes yeux. Les plus grands dieux du ciel, de la terre et de l'onde, Du soin de se venger se reposent sur moi : Si je perds la douceur d'être l'amour du monde, J'ai le plaisir nouveau d'en devenir l'effroi."")",0.51,Substitution
188,"('#l-amour', 'Je vais le secourir.')",,1.0,Insertion
189,"('#premier-prince-tyrien', 'Tu détournes bien tes regards ?')",,1.0,Insertion
190,"('#deuxieme-prince-tyrien', 'As-tu peur du dragon de Mars ?')",,1.0,Insertion
191,"('#arbas', 'La défiance est nécessaire, Il est bon de prévoir un fâcheux accident, On ne doit point marcher ici en téméraire.')","('#meduse #euryale #stenone', ""Ô le doux emploi, pour la rage, De causer un affreux ravage. Heureuse la fureur Qui remplit l'univers d'horreur ! Dans ce triste séjour qui peut nous faire entendre Le doux bruit qui nous vient surprendre ? Jamais ici mortel avec impunité Ne porta sa vue indiscrète. Quels concerts ! quelle nouveauté ! Qui peut chercher l'horreur secrète De notre fatale retraite... ? C'est Mercure qui vient dans cet antre écarté. Les trois Gorgones entendent un doux concert."")",0.57,Substitution
192,"('#premier-prince-tyrien', ""C'est très bien fait d'être prudent."")",,1.0,Insertion
193,"('#arbas', ""Je suis hardi quand il faut l'être ; Si quelqu'un en doutait, il pourrait le connaître."")","('#meduse', ""Mon terrible secours vous est-il nécessaire ? De superbes mortels osent-ils vous déplaire ? Faut-il vous en venger ? Faut-il armer contre eux Le funeste courroux de mes serpents affreux ? Où faut-il que ma fureur vole ? Vous n'avez qu'à nommer l'empire malheureux Que vous voulez que je désole."")",1.31,Substitution
194,"('#deuxieme-prince-tyrien', ""Qui voudrait s'attaquer à toi ?"")",,1.0,Insertion
195,"('#premier-prince-tyrien', 'On te croit vaillant sur ta foi. Mais la couleur de ton visage Répond mal à ta valeur !')",,1.0,Insertion
196,"('#arbas', ""Est-ce par la couleur Que l'on doit juger du courage ?"")",,1.0,Insertion
197,"('#deuxieme-prince-tyrien', 'Que tes sens paraissent troublés ! Tu trembles ?')","('#mercure', ""C'est toujours mon plus cher désir De voir tout l'univers dans une paix profonde. Ne vous lassez-vous point du barbare plaisir De troubler le repos du monde !"")",1.36,Substitution
198,,"('#meduse', ""Puis-je causer jamais des malheurs assez grands Au gré de la fureur qui de mon coeur s'empare ? C'est des dieux que j'apprends À devenir barbare."")",1.0,Deletion
199,"('#arbas', ""C'est qu'il vous le semble : Chacun croit que l'on lui ressemble, C'est peut-être vous qui tremblez ? Que maudit soit l'Amour funeste Qui nous fait tant souffrir dans ce malheureux jour ! On se soulage quand on peste, Et l'on ne saurait trop pester contre l'Amour."")","('#mercure', ""Il est vrai qu'un fatal courroux A trop éclaté contre vous ; Vous n'avez eu que trop de charmes. Sans Pallas, sans ses rigueurs, Vous n'auriez troublé les coeurs Que par de douces alarmes."")",0.29,Substitution
200,"('#les-deux-princes #arbas', ""Gardons-nous bien d'avoir envie D'être jamais amoureux : De tous les maux de la vie L'Amour est le plus dangereux."")","('#meduse', ""Que sert-il de m'entretenir D'un bien trop tôt passé, qui ne peut revenir ? Je n'en ressens que trop la perte irréparable ! Ah ! quand on se trouve effroyable, Que c'est un cruel souvenir De songer que l'on fut aimable !"")",1.32,Substitution
