,moliere-psyche,quinault-thesee,Cost,Operation Type
81,,"('#le-choeur-des-combattants', 'Liberté, liberté. Victoire, victoire, victoire. Courons, courons tous à la gloire. Combattons avec fermeté. Défendons notre liberté. Liberté, liberté. Emportons la victoire. Victoire, victoire, victoire. Liberté, liberté. Victoire, victoire, victoire.')",1.0,Deletion
82,"('#aglaure', ""En vérité, je plains les fâcheux embarras Où je vois que vos coeurs se mettent ; Vous aimez un objet dont les riants appas Mêleront des chagrins à l'espoir qu'ils vous jettent, Et son coeur ne vous tiendra pas Tout ce que ses yeux vous promettent."")","('#le-roi', ""Les mutins sont vaincus, leurs chefs sont immolés, Leur vaine espérance est détruite. Tous les peuples voisins qu'ils avaient appelés Sont dans nos fers, ou sont en fuite."")",0.58,Substitution
83,,"('#la-grande-pretresse', 'Rendons grâces aux dieux.')",1.0,Deletion
84,,"('#ensemble', 'Rendons grâces aux dieux.')",1.0,Deletion
85,,"('#la-grande-pretresse', ""Puisque le juste ciel à nos voeux est propice, Allons, empressons-nous d'offrir un sacrifice À la divinité qui protège ces lieux. Rendons grâces aux dieux."")",1.0,Deletion
86,,"('#tous-ensemble', 'Rendons grâces aux dieux.')",1.0,Deletion
87,"('#cidippe', ""L'espoir qui vous appelle au rang de ses amants Trouvera du mécompte aux douceurs qu'elle étale ; Et c'est pour essuyer de très fâcheux moments, Que les soudains retours de son âme inégale."")","('#le-roi', ""Cessez, charmante, AEglé, de répandre des larmes, Commençons après tant d'alarmes À jouir d'un destin plus doux : Puisque je vois mon trône affermi par les armes, J'y veux joindre de nouveaux charmes En le partageant avec vous."")",0.0,Match
88,,"('#aegle', 'Avec moi ! Vous ! Seigneur !')",1.0,Deletion
89,"('#aglaure', ""Un clair discernement de ce que vous valez Nous fait plaindre le sort où cet amour vous guide, Et vous pouvez trouver tous deux, si vous voulez, Avec d'autant d'attraits, une âme plus solide."")","('#le-roi', ""Que votre trouble cesse. C'est peut-être, un peu tard vouloir plaire à vos yeux, Je ne suis plus au temps de l'aimable jeunesse, Mais je suis, roi, belle princesse, et roi victorieux. Faites grâce à mon âge en faveur de ma gloire, Voyez le prix du rang qui vous est destiné : La vieillesse sied bien sur un front couronné, Quand on y voit briller l'éclat de la victoire. Parlez charmante AEglé, parlez à votre tour."")",0.8,Substitution
90,,"('#aegle', ""Depuis que j'ai perdu mon père Vos soins ont prévenu mes voeux dans votre cour. Je dois vous respecter, Seigneur, je vous révère..."")",1.0,Deletion
91,"('#cidippe', ""Par un choix plus doux de moitié Vous pouvez de l'amour sauver votre amitié, Et l'on voit en vous deux un mérite si rare, Qu'un tendre avis veut bien prévenir par pitié Ce que votre coeur se prépare."")","('#le-roi', ""Vous parlez de respect quand je parle d'amour."")",0.82,Substitution
92,,"('#aegle', 'Mais votre foi, Seigneur, à Médée est promise ?')",1.0,Deletion
93,"('#cleomene', ""Cet avis généreux fait pour nous éclater Des bontés qui nous touchent l'âme ; Mais le Ciel nous réduit à ce malheur, Madame, De ne pouvoir en profiter."")","('#le-roi', ""Je sais que lorsqu'on la méprise On s'expose aux fureurs de ses ressentiments. Toute la nature est soumise À ses affreux commandements, L'enfer la favorise, Elle confond les éléments, Le ciel même est troublé par ses enchantements. Mais j'ai fait élever en secret dans Trézene Un fils qui peut m'ôter de peine : Je veux qu'en épousant Medée au lieu de moi, Il dégage ma foi."")",0.67,Substitution
94,,"('#aegle', ""Mais si malgré vos soins, Médée ambitieuse, Ne s'attache qu'au rang que vous me présentez ?"")",1.0,Deletion
95,"('#agenor', ""Votre illustre pitié veut en vain nous distraire D'un amour dont tous deux nous redoutons l'effet ; Ce que notre amitié, Madame, n'a pas fait, Il n'est rien qui le puisse faire[.]"")","('#le-roi', ""Que vous êtes ingénieuse À trouver des difficultés ! Que Médée en fureur, s'arme, menace, tonne, Il faut que ma main vous couronne Quand il m'en coûterait et l'empire, et le jour. Un grand cour qui se sent animé par l'amour Ne doit jamais trouver de péril qui l'étonne. J'atteste Minerve à vos yeux, J'atteste le maître des cieux, Et sa foudroyante justice..."")",0.47,Substitution
96,,"('#aegle', ""Tout est prêt pour le sacrifice Chacun s'avance dans ces lieux, Rendons grâces aux dieux."")",1.0,Deletion
97,"('#cidippe', 'Il faut que le pouvoir de Psyché... La voici[.]')","('#la-grande-pretresse', 'Cet empire puissant que votre soin conserve Vient reconnaître ici votre divin secours, Favorable Minerve ! Protégez-nous toujours.')",0.75,Substitution
98,"('#cidippe', ""[V]enez jouir, ma soeur, de ce qu'on vous apprête."")","('#le-choeur-des-pretresses', 'Favorable Minerve ! Protégez-nous toujours.')",1.45,Substitution
99,"('#aglaure', ""Préparez vos attraits à recevoir ici Le triomphe nouveau d'une illustre conquête."")","('#la-grande-pretresse', 'Le péril était redoutable : Mais vous nous inspirez un courage indomptable Qui de notre malheur a détourné le cours, Ô Pallas favorable ! Protégez-nous toujours.')",1.19,Substitution
100,,"('#le-choeur-des-pretresses', 'Ô Pallas favorable ! Protégez-nous toujours.')",1.0,Deletion
101,"('#cidippe', ""Ces princes ont tous deux si bien senti vos coups, Qu'à vous le découvrir leur bouche se dispose."")","('#la-grande-pretresse', ""Il faut profiter Du bonheur de nos armes. C'est trop écouter Le bruit des alarmes, Le cours de nos larmes Se doit arrêter, Songeons à goûter Un sort plein de charmes ; Il faut profiter Du bonheur de nos armes."")",1.03,Substitution
102,"('#psyche', ""Du sujet qui les tient si rêveurs parmi nous Je ne me croyais pas la cause, Et j'aurais cru toute autre chose En les voyant parler à vous."")","('#le-choeur-des-pretresses', 'Chantez tous en paix, Chantez la victoire, Et que la mémoire En vive à jamais : Chantez les attraits Dont brille la gloire ; Chantez tous en paix, Chantez la victoire.')",0.9,Substitution
103,"('#aglaure', ""N'ayant ni beauté, ni naissance À pouvoir mériter leur amour et leurs soins, Ils nous favorisent au moins De l'honneur de la confidence."")","('#la-grande-pretresse', 'Le calme est bien doux Après un grand orage. La gloire est pour nous, La honte et la rage Seront le partage Des voisins jaloux : Tout cède à nos coups, Tout cède au courage : Le calme est bien doux Après un grand orage.')",0.98,Substitution
104,"('#cleomene', ""L'aveu qu'il nous faut faire à vos divins appas, Est sans doute, Madame, un aveu téméraire ; Mais tant de coeurs près du trépas, Sont par de tels aveux forcés à vous déplaire, Que vous êtes réduite à ne les punir pas Des foudres de votre colère. Vous voyez en nous deux amis, Qu'un doux rapport d'humeurs sut joindre dès l'enfance ; Et ces tendres liens se sont vus affermis Par cent combats d'estime et de reconnaissance. Du Destin ennemi les assauts rigoureux, Les mépris de la mort et l'aspect des supplices, Par d'illustres éclats, de mutuels offices Ont de notre amitié signalé les beaux noeuds : Mais à quelques essais qu'elle se soit trouvée, Son grand triomphe est en ce jour, Et rien ne fait tant voir sa constance éprouvée, Que de se conserver au milieu de l'amour. Oui, malgré tant d'appas, son illustre constance Aux lois qu'elle nous fait a soumis tous nos voeux ; Elle vient d'une douce et pleine déférence Remettre à votre choix le succès de nos feux, Et pour donner un poids à notre concurrence Qui des raisons d'État entraîne la balance Sur le choix de l'un de nous deux, Cette même amitié s'offre sans répugnance D'unir nos deux États au sort du plus heureux."")","('#le-choeur-des-pretresses', ""Chantons tour à tour Dans ces lieux aimables, Des dieux favorables Y font leur séjour : Les seuls traits d'amour Y sont redoutables : Chantons tour à tour Dans ces lieux aimables."")",0.33,Substitution
105,"('#agenor', ""Oui, de ces deux États, Madame, Que sous votre heureux choix nous nous offrons d'unir, Nous voulons faire à notre flamme Un secours pour vous obtenir. Ce que pour ce bonheur, près du Roi votre père Nous nous sacrifions tous deux, N'a rien de difficile à nos coeurs amoureux, Et c'est au plus heureux faire un don nécessaire D'un pouvoir dont le malheureux, Madame, n'aura plus affaire."")","('#la-grande-pretresse', 'Ô Minerve savante ! Ô guerrière Pallas ! Que par votre faveur puissante Une félicité charmante Nous offre chaque jour mille nouveaux appas, Ô Minerve savante ! Ô guerrière Pallas !')",0.93,Substitution
106,"('#psyche', ""Le choix que vous m'offrez, Princes, montre à mes yeux De quoi remplir les voeux de l'âme la plus fière, Et vous me le parez tous deux d'une manière, Qu'on ne peut rien offrir qui soit plus précieux. Vos feux, votre amitié, votre vertu suprême, Tout me relève en vous l'offre de votre foi, Et j'y vois un mérite à s'opposer lui-même À ce que vous voulez de moi. Ce n'est pas à mon coeur qu'il faut que je défère Pour entrer sous de tels liens ; Ma main, pour se donner, attend l'ordre d'un père, Et mes soeurs ont des droits qui vont devant les miens, Mais si l'on me rendait sur mes voeux absolue, Vous y pourriez avoir trop de part à la fois, Et toute mon estime entre vous suspendue, Ne pourrait sur aucun laisser tomber mon choix. À l'ardeur de votre poursuite Je répondrais assez de mes voeux les plus doux ; Mais c'est parmi tant de mérite Trop que deux coeurs pour moi, trop peu qu'un coeur pour vous. De mes plus doux souhaits j'aurais l'âme gênée. À l'effort de votre amitié, Et j'y vois l'un de vous prendre une destinée À me faire trop de pitié. Oui, Princes, à tous ceux dont l'amour suit le vôtre, Je vous préférerais tous deux avec ardeur ; Mais je n'aurais jamais le coeur De pouvoir préférer l'un de vous deux à l'autre. À celui que je choisirais, Ma tendresse ferait un trop grand sacrifice, Et je m'imputerais à barbare injustice, Le tort qu'à l'autre je ferais. Oui, tous deux vous brillez de trop de grandeur d'âme. Pour en faire aucun malheureux, Et vous devez chercher dans l'amoureuse flamme Le moyen d'être heureux tous deux. Si votre coeur me considère Assez pour me souffrir de disposer de vous, J'ai deux soeurs capables de plaire, Qui peuvent bien vous faire un destin assez doux, Et l'amitié me rend leur personne assez chère, Pour vous souhaiter leurs époux."")","('#les-choeurs', ""Animez nos cours, et nos bras, Rendez la victoire constante, Conduisez nos soldats, Partout, devant leurs pas, Jetez le trouble et l'épouvante ; Ô Minerve savante ! Ô guerrière Pallas !"")",0.67,Substitution
107,,"('#la-grande-pretresse', ""Souffrez qu'un jeu sacré dans ces lieux vous présente Une image innocente De guerre et de combats."")",1.0,Deletion
108,,"('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas ! On forme un combat à la manière des anciens.')",1.0,Deletion
109,,"('#les-choeurs', ""Que la guerre sanglante Passe en d'autres états, Ô Minerve savante ! Ô guerrière Pallas ! Que la foudre grondante Détourne ses éclats : Ô Minerve savante ! Ô guerrière Pallas !"")",1.0,Deletion
110,,"('#la-grande-pretresse', 'Puissions-nous voir toujours Athènes triomphante, Puisse son roi vainqueur des plus grands potentats La rendre heureuse et florissante.')",1.0,Deletion
111,,"('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas !')",1.0,Deletion
112,"('#cleomene', ""Un coeur dont l'amour est extrême Peut-il bien consentir, hélas, D'être donné par ce qu'il aime ! Sur nos deux coeurs, Madame, à vos divins appas Nous donnons un pouvoir suprême, Disposez-en pour le trépas, Mais pour une autre que vous-même Ayez cette bonté de n'en disposer pas."")","('#medee', ""Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais ! L'impitoyable amour m'a toujours poursuivie ; N'était-ce point assez des maux qu'il m'avait faits ! Pourquoi ce dieu cruel avec de nouveaux traits Vient-il encor troubler le reste de ma vie ? Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais !"")",0.24,Substitution
113,"('#agenor', ""Aux Princesses, Madame, on ferait trop d'outrage, Et c'est pour leurs attraits un indigne partage, Que les restes d'une autre ardeur ; Il faut d'un premier feu la pureté fidèle, Pour aspirer à cet honneur Où votre bonté nous appelle, Et chacune mérite un coeur Qui n'ait soupiré que pour elle."")","('#dorine', ""Recommencez d'aimer, reprenez l'espérance ; Thésée est un héros charmant, Méprisez en l'aimant L'ingrat Jason qui vous offense. Il faut par le changement Punir l'inconstance, C'est une douce vengeance De faire un nouvel amant."")",0.35,Substitution
114,,"('#medee', ""La gloire de Thésée à mes yeux paraît belle, On l'a vu triompher dés qu'il a combattu ; Le destin de Médée est d'être criminelle, Mais son cour était fait pour aimer la vertu."")",1.0,Deletion
115,"('#aglaure', ""Il me semble, sans nul courroux, Qu'avant que de vous en défendre, Princes, vous deviez bien attendre Qu'on se fût expliqué sur vous. Nous croyez-vous un coeur si facile et si tendre ? Et lorsqu'on parle ici de vous donner à nous, Savez-vous si l'on veut vous prendre ?"")","('#dorine', ""Le dépit veut que l'on s'engage Sous de nouvelles lois, Quand on s'abuse au premier choix ; On n'est pas volage Pour ne changer qu'une fois."")",1.03,Substitution
116,"('#cidippe', ""Je pense que l'on a d'assez hauts sentiments Pour refuser un coeur qu'il faut qu'on sollicite, Et qu'on ne veut devoir qu'à son propre mérite La conquête de ses amants."")","('#medee', 'Un tendre engagement va plus loin qu\'on ne pense ; On ne voit pas, lorsqu\'il commence, Tout ce qu\'il doit coûter un jour : Mon cour aurait encor sa première innocence S\'il n\'avait jamais eu d\'amour. Mon frère et mes deux fils ont été les victimes De mon implacable fureur ; J\'ai rempli l\'univers d""horreur, Mais le cruel amour a fait seul tous mes crimes.')",0.5,Substitution
117,"('#psyche', ""J'ai cru pour vous, mes Soeurs, une gloire assez grande, Si la possession d'un mérite si haut..."")","('#dorine', ""Espérez de former de plus aimables noeuds. Une cruelle expérience Vous apprend que l'amour est un mal dangereux ; Mais l'ennuyeuse indifférence Ne rend pas un coeur plus heureux. Aimez, aimez Thésée, aimez sa gloire extrême."")",0.9,Substitution
118,"('#lycas', 'Ah, Madame !')",,1.0,Insertion
119,"('#psyche', ""Qu'as-tu ?"")","('#medee', ""Mais qui me répondra qu'il m'aime ?"")",1.91,Substitution
120,"('#lycas', 'Le Roi...')",,1.0,Insertion
121,"('#psyche', 'Quoi ?')","('#dorine', 'Peut-il trouver un sort plus beau ?')",1.29,Substitution
122,"('#lycas', 'Vous demande.')",,1.0,Insertion
123,"('#psyche', ""De ce trouble si grand que faut-il que j'attende ?"")","('#medee', ""Peut-être que mon cour cherche un malheur nouveau. Mon dépit, tu le sais, dédaigne de se plaindre : Il est difficile à calmer, S'il venait à se rallumer, Il faudrait du sang pour l'éteindre."")",1.04,Substitution
124,"('#lycas', 'Vous ne le saurez que trop tôt.')",,1.0,Insertion
125,"('#psyche', 'Hélas ! Que pour le Roi tu me donnes à craindre !')",,1.0,Insertion
126,"('#lycas', ""Ne craignez que pour vous, c'est vous que l'on doit plaindre."")",,1.0,Insertion
127,"('#psyche', ""C'est pour louer le Ciel, et me voir hors d'effroi, De savoir que je n'aie à craindre que pour moi. Mais apprends-moi, Lycas, le sujet qui te touche."")","('#dorine', ""Que ne peut point Médée avec l'art de charmer ? Que puis-je ? Hélas ! Parlons sans feindre. Les enfers quand je veux sont contraints à s'armer, Mais on ne force point un coeur à s'enflammer ; Mes charmes les plus forts ne sauraient l'y contraindre, Ah je n'en ai que trop pour forcer à me craindre, Et trop peu pour me faire aimer."")",0.44,Substitution
128,"('#lycas', ""Souffrez que j'obéisse à qui m'envoie ici, Madame, et qu'on vous laisse apprendre de sa bouche Ce qui peut m'affliger ainsi."")","('#le-roi', ""Je vois le succès favorable Des soins que vous m'avez promis, Médée et son art redoutable Ont gardé ce palais contre mes ennemis. J'ai différé longtemps de tenir ma promesse, Je devrais être votre époux."")",1.1,Substitution
129,"('#psyche', ""Allons savoir sur quoi l'on craint tant ma faiblesse."")","('#medee', ""L'hymen n'a rien qui presse Ni pour moi, ni pour vous."")",1.2,Substitution
130,"('#aglaure', ""Si ton ordre n'est pas jusqu'à nous étendu, Dis-nous quel grand malheur nous couvre ta tristesse."")","('#le-roi', ""Vous pouvez sans chagrin souffrir que je diffère. Avec un époux plein d'appas L'hymen a de la peine à plaire ; Quelle peur ne doit-il pas faire Quand l'époux ne plaît pas ? Désormais sans péril je puis faire paraître Un fils que dans ma cour je n'osais reconnaître. Il peut venir dans peu de temps."")",0.93,Substitution
131,"('#lycas', ""Hélas ! Ce grand malheur dans la Cour répandu, Voyez-le vous-même, Princesse, Dans l'Oracle qu'au Roi les Destins ont rendu. Voici ses propres mots, que la douleur, Madame, A gravés au fond de mon âme. Que l'on ne pense nullement À vouloir de Psyché conclure l'Hyménée ; Mais qu'au sommet d'un mont elle soit promptement En pompe funèbre menée, Et que de tous abandonnée, Pour époux elle attende en ces lieux constamment Un monstre dont on a la vue empoisonnée, Un serpent qui répand son venin en tous lieux, Et trouble dans sa rage et la Terre et les Cieux. Après un arrêt si sévère. Je vous quitte, et vous laisse à juger entre vous, Si par de plus cruels et plus sensibles coups Tous les Dieux nous pouvaient expliquer leur colère."")","('#medee', ""Laissons-là votre fils, Seigneur, je vous entends La jeune AEglé vous paraît belle, Chaque jour, je m'en aperçois ; Si vous m'abandonnez pour elle, Thésée est seul digne de moi."")",0.16,Substitution
132,"('#cidippe', 'Ma soeur, que sentez-vous à ce soudain malheur Où nous voyons Psyché par les Destins plongée ?')","('#le-roi #medee', ""Ne nous piquons point de constance ; Consentons à nous dégager. Goûtons d'intelligence La douceur de changer."")",1.39,Substitution
133,,"('#medee', ""Quand on suit une amour nouvelle, C'est une trahison cruelle De laisser dans l'engagement Un cour tendre et fidèle ; Mais rien n'est si charmant Qu'une inconstance mutuelle."")",1.0,Deletion
134,,"('#le-roi #medee', 'Heureux deux amants inconstants, Quand ils le sont en même temps.')",1.0,Deletion
135,"('#aglaure', 'Mais vous, que sentez-vous, ma Soeur ?')","('#arcas', 'Seigneur, songez à vous.')",0.93,Substitution
136,"('#cidippe', ""À ne vous point mentir, je sens que dans mon coeur Je n'en suis pas trop affligée."")",,1.0,Insertion
137,"('#aglaure', 'Moi, je sens quelque chose au mien Qui ressemble assez à la joie. Allons, le Destin nous envoie Un mal que nous pouvons regarder comme un bien.')","('#le-roi', 'Quel malheur nous menace ?')",1.25,Substitution
138,"('#femme-desolee', ""Deh, piangete al pianto mio, Sassi duri, antiche selve, Lagrimate fonti, e belve, D'un bel volto il fato rio."")","('#arcas', ""Thésée est si puissant qu'il peut vous alarmer, Ses glorieux exploits charment la populace, Au lieu d'un héritier qui manque à votre race, Pour votre successeur on le veut proclamer."")",1.6,Substitution
139,"('#premier-homme-afflige', 'Ahi dolore !')","('#le-roi', 'Il faut arrêter cette audace.')",1.54,Substitution
140,"('#second-homme-afflige', 'Ahi martire !')",,1.0,Insertion
141,"('#premier-homme-afflige', 'Cruda morte !')",,1.0,Insertion
142,"('#second-homme-afflige', 'Empia sorte !')","('#dorine', 'Demeure, écoute un mot, Arcas.')",1.11,Substitution
143,"('#trois-affliges', 'Che condanni a morir tanta beltà. Cieli, stelle, ahi crudeltà !')",,1.0,Insertion
144,"('#second-homme-afflige', ""Com'esser puo fra voi, ò Numi eterni, Chi voglia estinta una beltà innocente ? Ahi ! Che tanto rigor, Cielo inclemente, Vince di crudeltà gli stessi Inferni."")","('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",1.74,Substitution
145,"('#premier-homme-afflige', 'Nume fiero !')","('#dorine', ""Autrefois tu m'étais fidèle, Tu jurais de m'aimer d'une ardeur éternelle."")",1.48,Substitution
146,"('#second-homme-afflige', 'Dio severo !')","('#arcas', 'Nous sommes dans un temps de trouble et de combats.')",1.6,Substitution
147,"('#trois-affliges', ""Perche tanto rigor Contro innocente cor ? Ahi, sentenza inudita, Dar morte à la beltà, ch'altrui da vita !"")",,1.0,Insertion
148,"('#femme-desolee', ""Ahi ch'indarno si tarda, Non resiste a li Dei mortale affetto, Alto impero ne sforza : Ove commanda il Ciel, l'uom cede a forza."")",,1.0,Insertion
149,"('#premier-homme-afflige', 'Ahi dolore ! etc. Come Sopra Ces plaintes sont entrecoupées et finies par une entrée de ballet de huit personnes affligées. ')","('#dorine', ""Cléone a des appas, On te voit souvent avec elle, N'est-ce point une amour nouvelle Qui fait ton embarras ? Tu rougis ? Tu ne réponds pas ?"")",1.08,Substitution
150,"('#psyche', ""De vos larmes, Seigneur, la source m'est bien chère ; Mais c'est trop aux bontés que vous avez pour moi, Que de laisser régner les tendresses de père Jusque dans les yeux d'un grand Roi. Ce qu'on vous voit ici donner à la Nature Au rang que vous tenez, Seigneur, fait trop d'injure, Et j'en dois refuser les touchantes faveurs : Laissez moins sur votre sagesse Prendre d'empire à vos douleurs, Et cessez d'honorer mon destin par des pleurs, Qui dans le coeur d'un roi montrent de la faiblesse."")","('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",0.95,Substitution
151,"('#le-roi', ""Ah ! Ma fille, à ces pleurs laisse mes yeux ouverts, Mon deuil est raisonnable, encor qu'il soit extrême, Et lorsque pour toujours on perd ce que je perds, La sagesse, crois-moi, peut pleurer elle-même. En vain l'orgueil du diadème Veut qu'on soit insensible à ces cruels revers, En vain de la Raison les secours sont offerts, Pour vouloir d'un oeil sec voir mourir ce qu'on aime : L'effort en est barbare aux yeux de l'Univers, Et c'est brutalité plus que vertu suprême. Je ne veux point dans cette adversité Parer mon coeur d'insensibilité, Et cacher l'ennui qui me touche ; Je renonce à la vanité De cette dureté farouche Que l'on appelle fermeté ; Et de quelque façon qu'on nomme Cette vive douleur dont je ressens les coups, Je veux bien l'étaler, ma Fille, aux yeux de tous, Et dans le coeur d'un roi montrer le coeur d'un homme."")","('#dorine', ""C'est donc là tout le prix d'une amour trop sincère. N'aimons jamais, ou n'aimons guère : Il est dangereux d'aimer tant, Ce n'est pas le plus sûr pour plaire. Bien souvent on croit faire Un amant heureux et content, Et l'on ne fait qu'un inconstant."")",0.21,Substitution
152,"('#psyche', ""Je ne mérite pas cette grande douleur : Opposez, opposez un peu de résistance Aux droits qu'elle prend sur un coeur Dont mille événements ont marqué la puissance. Quoi, faut-il que pour moi vous renonciez, Seigneur, À cette royale constance, Dont vous avez fait voir dans les coups du malheur Une fameuse expérience ?"")","('#peuples', 'Régnez, héros indomptable ; Régnez rendez nous heureux.')",0.66,Substitution
153,"('#le-roi', ""La constance est facile en mille occasions. Toutes les révolutions Où nous peut exposer la fortune inhumaine, La perte des grandeurs, les persécutions, Le poison de l'Envie, et les traits de la Haine, N'ont rien qui ne puissent sans peine Braver les résolutions D'une âme où la raison est un peu souveraine : Mais ce qui porte des rigueurs À faire succomber les coeurs Sous le poids des douleurs amères, Ce sont, ce sont les rudes traits De ces fatalités sévères, Qui nous enlèvent pour jamais Les personnes qui nous sont chères. La raison contre de tels coups N'offre point d'armes secourables ; Et voilà des Dieux en courroux Les foudres les plus redoutables Qui se puissent lancer sur nous."")","('#dorine', ""Le peuple vient ici. Sa faveur est semblable Au transport des cours amoureux ; L'ardeur des plus grands feux N'est pas la plus durable."")",0.6,Substitution
154,,"('#peuples', 'Régnez, héros indomptable, Rendez, rendez-nous heureux.')",1.0,Deletion
155,"('#psyche', ""Seigneur, une douceur ici vous est offerte : Votre hymen a reçu plus d'un présent des Dieux, Et, par une faveur ouverte Ils ne vous ôtent rien en m'ôtant à vos yeux, Dont ils n'aient pris le soin de réparer la perte. Il vous reste de quoi consoler vos douleurs, Et cette loi du Ciel que vous nommez cruelle Dans les deux Princesses mes Soeurs, Laisse à l'amitié paternelle Où placer toutes ses douceurs."")","('#le-choeur', ""Que l'on doit être Content d'avoir un maître Vainqueur des plus grands rois ! Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")",0.65,Substitution
156,"('#le-roi', ""Ah, de mes maux soulagement frivole ! Rien, rien ne s'offre à moi qui de toi me console ; C'est sur mes déplaisirs que j'ai les yeux ouverts, Et dans un destin si funeste Je regarde ce que je perds, Et ne vois point ce qui me reste."")","('#deux-vieillards', ""Pour le peu de bon temps qui nous reste Rien n'est si funeste Qu'un noir chagrin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher. Achevons nos vieux ans sans alarmes ; La vie a des charmes Jusqu'à la fin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher."")",0.2,Substitution
157,"('#psyche', ""Vous savez mieux que moi qu'aux volontés des Dieux, Seigneur, il faut régler les nôtres, Et je ne puis vous dire en ces tristes adieux, Que ce que beaucoup mieux vous pouvez dire aux autres. Ces Dieux sont maîtres souverains Des présents qu'ils daignent nous faire ; Ils ne les laissent dans nos mains Qu'autant de temps qu'il peut leur plaire. Lorsqu'ils viennent les retirer, On n'a nul droit de murmurer Des grâces que leur main ne veut plus nous étendre ; Seigneur, je suis un don qu'ils ont fait à vos voeux, Et quand par cet arrêt ils veulent me reprendre, Ils ne vous ôtent rien que vous ne teniez d'eux, Et c'est sans murmurer que vous devez me rendre."")","('#le-choeur', ""Que la victoire Le comble ici de gloire ; Suivons, aimons ses lois. Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")",0.45,Substitution
158,"('#le-roi', ""Ah,\tcherche un meilleur fondement Aux consolations que ton coeur me présente, Et de la fausseté de ce raisonnement Ne fais point un accablement À cette douleur si cuisante, Dont je souffre ici le tourment. Crois-tu là me donner une raison puissante, Pour ne me plaindre point de cet arrêt des Cieux ? Et dans le procédé des Dieux Dont tu veux que je me contente, Une rigueur assassinante Ne paraît-elle pas aux yeux ? Vois l'état où ces Dieux me forcent à te rendre, Et l'autre où te reçut mon coeur infortuné : Tu connaîtras par là qu'ils me viennent reprendre Bien plus que ce qu'ils m'ont donné. Je reçus d'eux en toi, ma Fille, Un présent que mon coeur ne leur demandait pas ; J'y trouvais alors peu d'appas, Et leur en vis sans joie accroître ma famille. Mais mon coeur ainsi que mes yeux S'est fait de ce présent une douce habitude : J'ai mis quinze ans de soins, de veilles et d'étude, À me le rendre précieux, Je l'ai paré de l'aimable richesse De mille brillantes vertus, En lui j'ai renfermé par des soins assidus Tous les plus beaux trésors que fournit la Sagesse, À lui j'ai de mon âme attaché la tendresse, J'en ai fait de ce coeur le charme et l'allégresse, La consolation de mes sens abattus, Le doux espoir de ma vieillesse. Ils m'ôtent tout cela, ces Dieux, Et tu veux que je n'aie aucun sujet de plainte, Sur cet affreux arrêt dont je souffre l'atteinte ? Ah ! Leur pouvoir se joue avec trop de rigueur Des tendresses de notre coeur : Pour m'ôter leur présent, leur fallait-il attendre Que j'en eusse fait tout mon bien ? Ou plutôt, s'ils avaient dessein de le reprendre, N'eût-il pas été mieux de ne me donner rien ?"")","('#thesee', ""C'est assez, amis, c'est assez, Allez, et que chacun en bon ordre se rende Aux endroits qu'au besoin il faudra qu'il défende : Allez, je suis content de vos soins empressés, Si vous voulez que je commande, Allez, allez, obéissez. Les peuples se retirent. Thésée veut entrer dans l'appartement du roi, Médée en sort qui arrête Thésée."")",0.67,Substitution
159,,"('#medee', 'Thésée où courez-vous ? Que prétendez-vous faire ?')",1.0,Deletion
160,"('#psyche', 'Seigneur, redoutez la colère De ces Dieux contre qui vous osez éclater.')","('#thesee', 'Chercher le roi, le voir, et calmer sa colère.')",1.03,Substitution
161,"('#le-roi', ""Après ce coup que peuvent-ils me faire ? Ils m'ont mis en état de ne rien redouter."")",,1.0,Insertion
162,"('#psyche', 'Ah, Seigneur, je tremble des crimes Que je vous fais commettre, et je dois me haïr...')","('#medee', 'Le roi souffrira-t-il que vous donniez la loi ?')",0.99,Substitution
