,moliere-impromptu-versailles,sand-roi-attend,Cost,Operation Type
121,"('#moliere', ""Monsieur, c'est une coutume qu'elles observent, et vous aurez plus de plaisir quand les choses vous surprendront. "")",,1.0,Insertion
122,"('#la-thorilliere', ""Je m'en vais donc dire que vous êtes prêts. "")","('#le-troisieme-necessaire', 'Messieurs, commencez donc !')",0.33,Substitution
123,"('#moliere', 'Point du tout, Monsieur, ne vous hâtez pas, de grâce. ')",,1.0,Insertion
124,"('#moliere', ""Ah !  Que le monde est plein d'impertinents !  Or sus, commençons.  Figurez-vous donc premièrement que la scène est dans l'antichambre du Roi, car c'est un lieu où il se passe tous les jours des choses assez plaisantes.  Il est aisé de faire venir là toutes les personnes qu'on veut, et on peut trouver des raisons même pour y autoriser la venue des femmes que j'introduis.  La Comédie s'ouvre par deux Marquis qui se rencontrent.  Souvenez-vous bien, vous de venir comme je vous ai dit, là avec cet air qu'on nomme le bel air, peignant votre perruque, et grondant une petite chanson entre vos dents.  La, la, la, la, la, la.  Rangez-vous donc vous autres, car il faut du terrain à deux Marquis, et ils ne sont pas gens à tenir leur personne dans un petit espace, allons parlez. "")","('#moliere', ""Oui, monsieur, nous y allons !  Hé !  Que de gens se font de fête et viennent dire : Commencez-donc, à qui le roi ne l'a pas commandé."")",0.68,Substitution
125,"('#la-grange', 'Bonjour Marquis.')",,1.0,Insertion
126,"('#moliere', ""Mon_Dieu, ce n'est point là le ton d'un Marquis, il faut le prendre un peu plus haut, et la plupart de ces Messieurs affectent une manière de parler particulière pour se distinguer du commun.  Bonjour, Marquis, recommencez donc. "")",,1.0,Insertion
127,"('#la-grange', 'Bonjour, Marquis.')",,1.0,Insertion
128,"('#moliere', 'Ah !  Marquis, ton serviteur. ')",,1.0,Insertion
129,"('#la-grange', 'Que fais-tu là ? ')","('#le-quatrieme-necessaire', 'Messieurs, commencez donc !')",1.02,Substitution
130,"('#moliere', ""Parbleu tu vois, j'attends que tous ces Messieurs aient débouché la porte pour présenter là mon visage. "")","('#moliere', 'Voilà qui est fait, Monsieur...  Quoi donc !  Recevrai-je la confusion... ? À ses camarades.')",1.03,Substitution
131,"('#la-grange', ""Têtebleu quelle foule, je n'ai garde de m'y aller frotter, et j'aime mieux entrer des derniers. "")",,1.0,Insertion
132,"('#moliere', ""Il y a là vingt gens qui sont fort assurés de n'entrer point, et qui ne laissent pas de se presser, et d'occuper toutes les avenues de la porte. "")",,1.0,Insertion
133,"('#la-grange', ""Crions nos deux noms à l'huissier, afin qu'il nous appelle. "")",,1.0,Insertion
134,"('#moliere', 'Cela est bon pour toi, mais pour moi je ne veux pas être joué par Molière. ')",,1.0,Insertion
135,"('#la-grange', ""Je pense pourtant, Marquis, que c'est toi qu'il joue dans la Critique. "")",,1.0,Insertion
136,"('#moliere', ""Moi ?  Je suis ton valet, c'est toi-même en propre personne. "")",,1.0,Insertion
137,"('#la-grange', ""Ah !  Ma foi, tu es bon de m'appliquer ton personnage. "")",,1.0,Insertion
138,"('#moliere', ""Parbleu, je te trouve plaisant de me donner ce qui t'appartient. "")",,1.0,Insertion
139,"('#la-grange', 'Ha, ha, ha, cela est drôle. ')",,1.0,Insertion
140,"('#moliere', 'Ha, ha, ha, cela est bouffon. ')",,1.0,Insertion
141,"('#la-grange', ""Quoi !  Tu veux soutenir que ce n'est pas toi qu'on joue dans le Marquis de la Critique ? "")",,1.0,Insertion
142,"('#moliere', ""Il est vrai, c'est moi.  Détestable, morbleu détestable, tarte à la crème !  C'est moi, c'est moi, assurément, c'est moi. "")",,1.0,Insertion
143,"('#la-grange', ""Oui, parbleu c'est toi, tu n'as que faire de railler ; et si tu veux, nous gagerons, et verrons qui a raison des deux. "")",,1.0,Insertion
144,"('#moliere', 'Et que veux-tu gager encore ? ')","('#cinquieme-necessaire', ""Messieurs, le Roi risque d'attendre."")",1.05,Substitution
145,"('#la-grange', ""Je gage cent pistoles que c'est toi."")",,1.0,Insertion
146,"('#moliere', ""Et moi, cent pistoles que c'est toi. "")",,1.0,Insertion
147,"('#la-grange', 'Cent pistoles comptant.')",,1.0,Insertion
148,"('#moliere', 'Comptant.  Quatre-vingt-dix pistoles sur Amyntas, et dix pistoles comptant. ')",,1.0,Insertion
149,"('#la-grange', 'Je le veux. ')","('#sixieme-necessaire', 'Messieurs, le Roi attend.')",1.35,Substitution
150,"('#moliere', 'Cela est fait. ')",,1.0,Insertion
151,"('#la-grange', 'Ton argent court grand risque. ')",,1.0,Insertion
152,"('#moliere', 'Le tien est bien aventuré. ')",,1.0,Insertion
153,"('#la-grange', 'À qui nous en rapporter ? ')",,1.0,Insertion
154,"('#moliere', 'Voici un homme qui nous jugera.  Chevalier.')",,1.0,Insertion
155,"('#brecourt', 'Quoi ? ')",,1.0,Insertion
156,"('#moliere', ""Bon voilà l'autre qui prend le ton de Marquis !  Vous ai-je pas dit que vous faites un rôle, où l'on doit parler naturellement ? "")",,1.0,Insertion
157,"('#brecourt', 'Il est vrai. ')",,1.0,Insertion
158,"('#moliere', 'Allons donc, Chevalier ! ')",,1.0,Insertion
159,"('#brecourt', 'Quoi ? ')",,1.0,Insertion
160,"('#moliere', 'Juge-nous un peu sur une gageure que nous avons faite. ')","('#septieme-necessaire', 'Messieurs, le Roi a attendu.')",1.24,Substitution
161,"('#brecourt', 'Et quelle ? ')",,1.0,Insertion
162,"('#moliere', ""Nous disputons qui est le Marquis de la critique de Molière : il gage que c'est moi, et moi je gage que c'est lui. "")",,1.0,Insertion
163,"('#brecourt', ""Et moi, je juge que ce n'est ni l'un ni l'autre, vous êtes fous tous deux, de vouloir vous appliquer ces sortes de choses, et voilà de quoi j'ouïs l'autre jour se plaindre Molière, parlant à des personnes qui le chargeaient de même chose que vous.  Il disait que rien ne lui donnait du déplaisir comme d'être accusé de regarder quelqu'un dans les portraits qu'il fait.  Que son dessein est de peindre les moeurs sans vouloir toucher aux personnes ; et que tous les personnages qu'il représente sont des personnages en l'air, et des fantômes proprement qu'il habille à sa fantaisie pour réjouir les spectateurs.  Qu'il serait bien fâché d'y avoir jamais marqué qui que ce soit ; et que si quelque chose était capable de le dégoûter de faire des comédies, c'était les ressemblances qu'on y voulait toujours trouver, et dont ses ennemis tâchaient malicieusement d'appuyer la pensée pour lui rendre de mauvais offices auprès de certaines personnes à qui il n'a jamais pensé.  Et en effet je trouve qu'il a raison, car pourquoi vouloir je vous prie appliquer tous ses gestes et toutes ses paroles, et chercher à lui faire des affaires, en disant hautement il joue un tel, lorsque ce sont des choses qui peuvent convenir à cent personnes ?  Comme l'affaire de la comédie est de représenter en général tous les défauts des hommes, et principalement des hommes de notre siècle ; il est impossible à Molière de faire aucun caractère qui ne rencontre quelqu'un dans le monde ; et s'il faut qu'on l'accuse d'avoir songé toutes les personnes où l'on peut trouver les défauts qu'il peint, il faut sans doute qu'il ne fasse plus de comédies. "")",,1.0,Insertion
164,"('#moliere', 'Ma foi, Chevalier, tu veux justifier Molière, et épargner notre ami que voilà. ')",,1.0,Insertion
165,"('#la-grange', ""Point du tout, c'est toi qu'il épargne, et nous trouverons d'autres juges. "")","('#mademoiselle-de-brie', ""Quant à nous, il ne nous reste qu'un parti à prendre, et c'est de nous sauver."")",1.01,Substitution
166,"('#moliere', ""Soit ; mais, dis-moi, Chevalier, crois-tu pas que ton Molière est épuisé maintenant, et qu'il ne trouvera plus de matière pour... "")","('#mademoisrlle-duparc', ""C'est ce qu'il convient de faire.  Que Molière s'en tire comme il pourra."")",0.57,Substitution
167,"('#brecourt', ""Plus de matière ?  Eh, mon pauvre marquis, nous lui en fournirons toujours assez, et nous ne prenons guère le chemin de nous rendre sages pour tout ce qu'il fait, et tout ce qu'il dit."")",,1.0,Insertion
168,"('#moliere', ""Attendez, il faut marquer davantage tout cet endroit, écoutez-le moi dire un peu.  Et qu'il ne trouvera plus de matière pour...  Plus de matière !  Hé, mon pauvre marquis, nous lui en fournirons toujours assez, et nous ne prenons guère le chemin de nous rendre sages pour tout ce qu'il fait et tout ce qu'il dit.  Crois-tu qu'il ait épuisé dans ses comédies tout le ridicule des hommes ; et sans sortir de la Cour, n'a-t-il pas encore vingt caractères de gens où il n'a point touché. N'a-t-il pas, par exemple, ceux qui se font les plus grandes amitiés du monde, et qui le dos tourné, font galanterie de se déchirer l'un l'autre ?  N'a-t-il pas ces adulateurs à outrance, ces flatteurs insipides qui n'assaisonnent d'aucun sel les louanges qu'ils donnent, et dont toutes les flatteries ont une douceur fade qui fait mal au coeur à ceux qui les écoutent ?  N'a-t-il pas ces lâches courtisans de la faveur, ces perfides adorateurs de la fortune, qui vous encensent dans la prospérité, et vous accablent dans la disgrâce ?  N'a-t-il pas ceux qui sont toujours mécontents de la Cour, ces suivants inutiles, ces incommodes assidus, ces gens, dis-je, qui pour services ne peuvent compter que des importunités, et qui veulent que l'on les récompense d'avoir obsédé le prince dix ans durant ?  N'a-t-il pas ceux qui caressent également tout le monde, qui promènent leurs civilités à droit et à gauche, et courent à tous ceux qu'ils voient avec les mêmes embrassades et les mêmes protestations d'amitié ?  Monsieur, votre très humble serviteur ; Monsieur, je suis tout à votre service.  Tenez-moi des vôtres, mon cher.  Faites état de moi, Monsieur, comme du plus chaud de vos amis.  Monsieur, je suis ravi de vous embrasser.  Ah ! Monsieur, je ne vous voyais pas.  Faites-moi la grâce de m'employer, soyez persuadé que je suis entièrement à vous.  Vous êtes l'homme du monde que je révère le plus ; il n'y a personne que j'honore à l'égal de vous.  Je vous conjure de le croire ; je vous supplie de n'en point douter, serviteur, très humble valet.  Va, va, Marquis, Molière aura toujours plus de sujets qu'il n'en voudra, et tout ce qu'il a touché jusqu'ici n'est rien que bagatelle, au prix de ce qui reste.  Voilà à peu près comme cela doit être joué. "")",,1.0,Insertion
169,"('#brecourt', ""C'est assez. "")",,1.0,Insertion
170,"('#moliere', 'Poursuivez. ')",,1.0,Insertion
171,"('#brecourt', 'Voici Climène et Élise.')",,1.0,Insertion
172,"('#moliere', ""Là-dessus vous arrivez toutes deux.  Prenez bien garde vous à vous déhancher comme il faut, et à faire bien des façons, cela vous contraindra un peu, mais qu'y faire, il faut parfois se faire violence.  À Mademoiselle du Parc."")",,1.0,Insertion
173,"('#mademoiselle-moliere', ""Certes, Madame, je vous ai reconnue de loin, et j'ai bien vu à votre air que ce ne pouvait être une autre que vous. "")",,1.0,Insertion
174,"('#mademoiselle-du-parc', ""Vous voyez, je viens attendre ici la sortie d'un homme avec qui j'ai une affaire à démêler. "")",,1.0,Insertion
175,"('#mademoiselle-moliere', 'Et moi de même. ')",,1.0,Insertion
176,"('#moliere', 'Mesdames voilà des coffres qui vous serviront de fauteuils. ')",,1.0,Insertion
177,"('#mademoiselle-du-parc', ""Allons, Madame, prenez place, s'il vous plaît. "")",,1.0,Insertion
178,"('#mademoiselle-moliere', 'Après vous, Madame.')",,1.0,Insertion
179,"('#moliere', ""Bon, après ces petites cérémonies muettes chacun prendra place, et parlera assis, hors les Marquis, qui tantôt se lèveront, et tantôt s'assoiront suivant leur inquiétude naturelle.  Parbleu, Chevalier, tu devrais faire prendre médecine à tes canons. "")",,1.0,Insertion
180,"('#brecourt', 'Comment ? ')",,1.0,Insertion
181,"('#moliere', 'Ils se portent fort mal. ')",,1.0,Insertion
182,"('#brecourt', 'Serviteur à la turlupinade ! ')",,1.0,Insertion
183,"('#mademoiselle-moliere', ""Mon_Dieu, Madame, que je vous trouve le teint d'une blancheur éblouissante, et les lèvres d'un[e] couleur de feu surprenant ! "")",,1.0,Insertion
184,"('#mademoiselle-du-parc', ""Ah !  Que dites-vous là, Madame, ne me regardez point, je suis du dernier laid aujourd'hui. "")",,1.0,Insertion
185,"('#mademoiselle-moliere', 'Eh, Madame, levez un peu votre coiffe. ')",,1.0,Insertion
186,"('#mademoiselle-du-parc', 'Fi, je suis épouvantable, vous dis-je, et je me fais peur à moi-même. ')",,1.0,Insertion
187,"('#mademoiselle-moliere', 'Vous êtes si belle.')",,1.0,Insertion
188,"('#mademoiselle-du-parc', 'Point, point. ')",,1.0,Insertion
189,"('#mademoiselle-moliere', 'Montrez-vous. ')","('#mademoiselle-herve', 'Je pense comme vous.')",0.9,Substitution
190,"('#mademoiselle-du-parc', 'Ah !  Fi donc, je vous prie.')","('#mademoiselle-ducroisy', ""C'est mon avis, et sauve qui peut !"")",1.36,Substitution
191,"('#mademoiselle-moliere', 'De grâce. ')",,1.0,Insertion
192,"('#mademoiselle-du-parc', 'Mon_Dieu, non. ')",,1.0,Insertion
193,"('#mademoiselle-moliere', 'Si fait. ')",,1.0,Insertion
194,"('#mademoiselle-du-parc', 'Vous me désespérez. ')",,1.0,Insertion
195,"('#mademoiselle-moliere', 'Un moment. ')",,1.0,Insertion
196,"('#mademoiselle-du-parc', 'Ahy. ')",,1.0,Insertion
197,"('#mademoiselle-moliere', 'Résolument vous vous montrerez, on ne peut point se passer de vous voir. ')",,1.0,Insertion
198,"('#mademoiselle-du-parc', 'Mon_Dieu, que vous êtes une étrange personne, vous voulez furieusement ce que vous voulez. ')",,1.0,Insertion
199,"('#mademoiselle-moliere', ""Ah !  Madame, vous n'avez aucun désavantage à paraître au grand jour je vous jure.  Les méchantes gens qui assuraient que vous mettiez quelque chose ; vraiment, je les démentirai bien maintenant. "")",,1.0,Insertion
200,"('#mademoiselle-du-parc', ""Hélas !  Je ne sais pas seulement ce qu'on appelle mettre quelque chose. Mais où vont ces dames ? "")",,1.0,Insertion
201,"('#mademoiselle-de-brie', ""Vous voulez bien, Mesdames, que nous vous donnions en passant la plus agréable nouvelle du monde.  Voilà Monsieur Lysidas qui vient de nous avertir qu'on a fait une pièce contre Molière, que les grands Comédiens vont jouer. "")","('#mademoiselle-moliere', ""Aussi c'est bien fait, et voilà la peine de vos entêtements.  Tons les acteurs et tous les nécessaires se sauvent.  Molière reste seul et consterné."")",0.53,Substitution
202,"('#moliere', ""Il est vrai, on me l'a voulu lire ; et c'est un nommé br... Brou... Brossaut qui l'a faite. "")",,1.0,Insertion
203,"('#du-croisy', ""Monsieur, elle est affichée sous le nom de Boursau[l]t, mais à vous dire le secret, bien des gens ont mis la main à cet ouvrage, et l'on en doit concevoir une assez haute attente.  Comme tous les auteurs, et tous les comédiens regardent Molière comme leur plus grand ennemi, nous nous sommes tous unis pour le desservir ; chacun de nous a donné un coup de pinceau à son portrait, mais nous nous sommes bien gardés d'y mettre nos noms ; il lui aurait été trop glorieux de succomber aux yeux du monde, sous les efforts de tout le Parnasse ; et pour rendre sa défaite plus ignominieuse, nous avons voulu choisir tout exprès un auteur sans réputation. "")","('#moliere', ""Le roi attend, le roi a attendu !...  Je suis un homme désespéré, un homme perdu, un homme mort !  Ah !  Maudite soit l'heure où j'acceptai les commandements d'un roi, le renom d'auteur et la livrée de comédien !  Maudite soit ma femme !  Maudite soit ma troupe !  Maudite soit ma pièce !  Oh !  L'étrange faiblesse, et l'aveuglement effroyable de hasarder ainsi les intérêts de son honneur, pour la ridicule pensée d'une obligation chimérique !  N'est-ce point l'amour-propre qui m'a conseillé d'accepter à faire une comédie en si peu de temps ?  Et ma femme n'aurait-elle pas raison de me reprocher d'avoir fait le courtisan en agissant de la sorte ?  Assurément, quand je considère ma vie, il ne me semble point que j'aie encouru le reproche d'hypocrisie, ce vice à la mode qui jouit, en repos, d'une impunité souveraine.  De tout temps, je me suis avisé que le personnage d'homme de bien est le meilleur qu'on puisse jouer, et, si j'ai marqué de l'attachement au roi, c'est que sa bonté m'a fait son obligé avant que sa puissance m'ait fait son serviteur.  Oui, mon coeur, je crois que tu es honnête, et que tu es plus sensible à des marques d'estime qu'à des faveurs de fortune...  Sans cela, où serait la vérité de mon attachement ?...  Qu'est-ce qu'un roi ?  Un homme qui a puissance de faire le bien, et c'est seulement quand il le fait qu'il se distingue des autres hommes...  D'où vient qu'il y a si grande mortification à déplaire à un roi, lorsqu'on se retient si peu de déplaire aux gens de bien dont on n'a rien à craindre ?...  Ta tête fut-elle bien sage, Molière, le jour qu'elle ne se trouva pas bien abritée dans la boutique de ton père ?  Que ne restais-tu simple artisan comme la naissance t'y avait destiné, plutôt que de courir par le monde après la gloire et la fortune !...  C'est que l'emploi de la comédie est de corriger les vices par des leçons agréables, et que rien ne reprend mieux la plupart des hommes que la peinture de leurs défauts ; c'est que le ciel t'avait donné ce regard qui perce le voile du mensonge, et cet art de mettre en lumière, par des poèmes ingénieux, ce que les méchants et les sots portent au dedans d'eux-mêmes.  N'était-ce point un plaisir permis que de s'attaquer aux travers des grands, et pourrait-on m'accuser de mépriser la condition d'où je sors, parce que je censure vivement les scélératesses et les laideurs de ceux qui se croient au-dessus de toute condition ?  Non, Molière, tu n'as point failli, et, si le roi s'est servi de toi pour châtier sa cour, tu t'es servi du roi pour venger l'honneur de tous ceux que les gens de cour voudraient rabaisser. Allons, je sens que ces réflexions m'ont mis l'esprit en meilleur état, et que je puis attendre, sans trop de honte et de faiblesse, le déplaisir du prince.  Il est homme à savoir que notre génie a ses lassitudes tout comme sa puissance, et ma femme n'avait point tort de dire qu'il ne dépendait pas d'un monarque de nous donner à propos la mémoire ou le talent.  Me rendrait-il pareillement la santé que j'ai perdue on mille fatigues pour son service, pour l'honneur des lettres, pour l'avantage de mes camarades ?  Non ; ces rois qu'on égale aux dieux ne peuvent rien contre la nature.  Elle seule peut, d'elle-même, quand nous la laissons faire, se tirer doucement du désordre où elle est tombée... Je sens une grande fatigue ;...  Mais mon esprit, satisfait, se perd dans la contemplation du monde éternel où ma vie n'est qu'une petite goutte en un vaste océan.  D'autres poètes ont été avant moi, qui ont souffert aussi, et les maîtres, que tous les jours j'étudie, n'ont trouvé de force que dans le sentiment du bien qu'ils faisaient aux hommes.  D'autres viendront encore qui m'étudieront et m'interpréteront à leur tour dans une langue nouvelle.  Puissent-ils être moins malades de corps et aussi sains d'esprit que je me sens à cette heure. Il se promène avec agitation. Il se promène.  Il s'assied. Il s'assoupit. — À moitié assoupi. Il s'endort. — Un nuage l'enveloppe lentement ; un choeur de musique chante derrière le nuage. Quand le nuage se dissipe, on voit debout, autour de Molière endormi, les ombres des poètes antiques et modernes : Plaute, Térence, Eschyles, Sophocle, Euripide, Shakespeare, Voltaire, Rousseau, Marivaux, Sedaine, Beaumarchais, etc. La Muse du théâtre est au milieu d'eux, tout près de Molière."")",0.58,Substitution
204,"('#mademoiselle-du-parc', ""Pour moi je vous avoue que j'en ai toutes les joies imaginables. "")",,1.0,Insertion
205,"('#moliere', 'Et moi aussi.  Par la sang-bleu le railleur sera raillé, il aura sur les doigts ma foi ! ')",,1.0,Insertion
206,"('#mademoiselle-du-parc', ""Cela lui apprendra à vouloir satiriser tout.  Comment cet impertinent ne veut pas que les femmes aient de l'esprit, il condamne toutes nos expressions élevées, et prétend que nous parlions toujours terre à terre ! "")",,1.0,Insertion
207,"('#mademoiselle-de-brie', ""Le langage n'est rien ; mais il censure tous nos attachements quelque innocents qu'ils puissent être, et de la façon qu'il en parle, c'est être criminelle que d'avoir du mérite. "")",,1.0,Insertion
208,"('#mademoiselle-du-croisy', ""Cela est insupportable, il n'y a pas une femme qui puisse plus rien faire, que ne laisse-t-il en repos nos maris, sans leur ouvrir les yeux, et leur faire prendre garde à des choses, dont ils ne s'avisent pas ? "")",,1.0,Insertion
209,"('#mademoiselle-bejart', ""Passe pour tout cela, mais il satirise même les femmes de bien, et ce méchant plaisant leur donne le titre d'honnêtes diablesses. "")",,1.0,Insertion
210,"('#mademoiselle-moliere', ""C'est un impertinent.  Il faut qu'il en ait tout le soûl. "")",,1.0,Insertion
211,"('#du-croisy', ""La représentation de cette comédie, Madame, aura besoin d'être appuyée, et les comédiens de l'Hôtel... "")",,1.0,Insertion
212,"('#mademoiselle-du-parc', ""Mon_Dieu, qu'ils n'appréhendent rien, je leur garantis le succès de leur pièce corps pour corps. "")",,1.0,Insertion
213,"('#mademoiselle-moliere', ""Vous avez raison, Madame, trop de gens sont intéressés à la trouver belle.  Je vous laisse à penser si tous ceux qui se croient satirisés par Molière, ne prendront pas l'occasion de se venger de lui en applaudissant à cette comédie. "")",,1.0,Insertion
214,"('#brecourt', ""Sans doute, et pour moi je réponds de douze Marquis, de six Précieuses, de vingt Coquettes, et de trente Cocus, qui ne manqueront pas d'y battre des mains. "")",,1.0,Insertion
215,"('#mademoiselle-moliere', 'En effet.  Pourquoi aller offenser toutes ces personnes-là, et particulièrement les cocus, qui sont les meilleurs gens du monde ? ')",,1.0,Insertion
216,"('#moliere', ""Par la sang-bleu, on m'a dit qu'on le va dauber lui et toutes ses comédies de la belle manière, et que les comédiens et les auteurs, depuis le cèdre jusqu'à l'hysope, sont diablement animés contre lui. "")","('#la-muse', ""Dors, ô poète chéri !  Que ton âme généreuse et pure goûte les bienfaits du repos, en attendant le jour où, sur cette scène illustrée par tes oeuvres, tu t'endormiras une dernière fois pour te réveiller dans le sein des dieux.  Ô Molière, tu ne t'es pas trompé, et les pensées au milieu desquelles la vision te surprend sont comme la voix lointaine de tes devanciers qui s'unit à celle de la postérité pour te dire : « Courage, ô ami du vrai, censeur du vice !  Tu souffres, tu languis ; mais tu chantes, tu travailles ; fils de l'artisan, lumière du peuple, prends toujours conseil de l'enfant du peuple.  Aie confiance, ami !  si les soucis du monde te consument, si les grands te dédaignent, si les hypocrites te persécutent, ton vengeur veille : la raison humaine, la logique du peuple te préserveront de l'oubli, et, dans l'avenir, tu seras, non plus l'amusement d'une cour, mais l'enseignement d'une nation. »  Les voici autour de toi, ces frères immortels, ces poètes du passé et de l'avenir qu'invoquait tout à l'heure ta pensée.  Montrez-vous à lui dans son rêve, maîtres illustres, et soutenez par vos paroles son âme défaillante.  Dites-lui qu'il ne se berce point d'une vaine illusion en croyant à la dignité humaine.  Dites-lui que la vérité est de tous les temps, et qu'elle grandit dans la nuit des âges, comme la lumière d'un flambeau.  Venez les premiers, pères de l'antique tragédie, poètes primitifs : Eschyle, Sophocle, Euripide !  Et que l'éternel oracle de la sagesse retentisse dans le coeur des hommes nouveaux."")",0.5,Substitution
217,"('#mademoiselle-moliere', ""Cela lui sied fort bien, pourquoi fait-il de méchantes pièces que tout Paris va voir, et où il peint si bien les gens, que chacun s'y connaît ; que ne fait-il des comédies comme celles de Monsieur Lysidas, il n'aurait personne contre lui, et tous les auteurs en diraient du bien.  Il est vrai que de semblables comédies n'ont pas ce grand concours de monde ; mais en revanche elles sont toujours bien écrites, personne n'écrit contre elles, et tous ceux qui les voient meurent d'envie de les trouver belles. "")","('#eschyle', ""Les dieux, a-t-on dit, ne daignent pas s'occuper des hommes qui foulent aux pieds la gloire des plus saintes lois.  Parler ainsi, c'est être impie.  Ils l'ont vu plus d'une fois, les neveux de ceux qui respiraient l'injustice, enivrés de l'excès d'une funeste opulence.  Ne possédons que des biens sans péril.  Le nécessaire, c'est la sagesse.  La richesse est un faible rempart pour l'homme qui a renversé d'un pied insolent les autels de la justice. La justice conserve son éclat, même dans les chaumières enfumées.  Mais l'or et la fortune, quand les mains sont souillées, n'arrêtent point ses regards.  Elle fuit, elle cherche une plus sainte demeure ! Que jamais la discorde, insatiable de crimes, ne fasse entendre ses frémissements dans la cité des hommes libres !  Que jamais le sang des citoyens n'abreuve la poussière, et que jamais, pour venger le meurtre, le meurtre ne se redresse dans Athènes !  Que l'intérêt de l'État l'emporte dans les coeurs, que les citoyens soient pleins d'un mutuel amour.  L'union est le remède de tous les maux chez les mortels !"")",0.39,Substitution
218,"('#du-croisy', ""Il est vrai que j'ai l'avantage de ne point faire d'ennemis, et que tous mes ouvrages ont l'approbation des savants. "")",,1.0,Insertion
219,"('#mademoiselle-moliere', ""Vous faites bien d'être content de vous, cela vaut mieux que tous les applaudissements du public, et que tout l'argent qu'on saurait gagner aux pièces de Molière.  Que vous importe qu'il vienne du monde à vos comédies, pourvu qu'elles soient approuvées par messieurs vos confrères ? "")",,1.0,Insertion
220,"('#la-grange', 'Mais quand jouera-t-on le Portrait du Peintre ? ')",,1.0,Insertion
221,"('#du-croisy', 'Je ne sais, mais je me prépare fort à paraître des premiers sur les rangs, pour crier voilà qui est beau.')",,1.0,Insertion
222,"('#moliere', 'Et moi de même parbleu.')",,1.0,Insertion
223,"('#la-grange', 'Et moi aussi, Dieu me sauve ! ')",,1.0,Insertion
224,"('#mademoiselle-du-parc', ""Pour moi j'y payerai de ma personne comme il faut, et je réponds d'une bravoure d'approbation qui mettra en déroute tous les jugements ennemis, c'est bien la moindre chose que nous devions faire, que d'épauler de nos louanges le vengeur de nos intérêts. "")","('#sophocle', ""Que ne puis-je me transporter dans le lieu que le bras des vaillants combattants fait retentir du cliquetis des armes de la délivrance !  J'envie le bonheur de tout ce qui sera témoin de leur gloire.  Ô vous qui périssez pour la défense de vos autels domestiques, votre tombeau sera toujours contre l'ennemi un rempart plus redoutable que mille combattants. Les saintes lois de la vérité n'ont pas toujours suffi pour mettre les hommes à l'abri des outrages des hommes.  Mais les dieux, tôt ou tard, sévissent contre les indignes profanateurs des choses sacrées.  Sachez, impies consécrateurs de l'esclavage, que vous êtes réduits au sort que vous faites subir aux hommes.  En les privant de la liberté, vous perdez la vôtre.  Les décrets d'un mortel impie n'ont point assez de force pour prévaloir sur les lois non écrites, oeuvres immuables des dieux.  Celles-ci ne sont ni d'aujourd'hui ni d'hier.  Nul ne sait leur origine, mais elles sont toujours vivantes."")",0.29,Substitution
225,"('#mademoiselle-moliere', ""C'est fort bien dit. "")",,1.0,Insertion
226,"('#mademoiselle-de-brie', ""Et ce qu'il nous faut faire toutes. "")",,1.0,Insertion
227,"('#mademoiselle-bejart', 'Assurément. ')",,1.0,Insertion
228,"('#mademoiselle-du-croisy', 'Sans doute. ')",,1.0,Insertion
229,"('#mademoiselle-herve', 'Point de quartier à ce contrefaiseur de gens. ')",,1.0,Insertion
230,"('#moliere', 'Ma foi, Chevalier, mon ami, il faudra que ton Molière se cache? ')",,1.0,Insertion
231,"('#brecourt', ""Qui lui !  Je te promets Marquis qu'il fait dessein d'aller sur le théâtre rire avec tous les autres du portrait qu'on a fait de lui. "")",,1.0,Insertion
232,"('#moliere', ""Parbleu !  Ce sera donc du bout des dents qu'il y rira. "")",,1.0,Insertion
233,"('#brecourt', ""Va, va, peut-être qu'il y trouvera plus de sujets de rire que tu ne penses.  On m'a montré la pièce, et comme tout ce qu'il y a d'agréable, sont effectivement les idées qui ont été prises de Molière, la joie que cela pourra donner n'aura pas lieu de lui déplaire sans doute ; car pour l'endroit où on s'efforce de le noircir, je suis le plus trompé du monde si cela est approuvé de personne.  Et quant à tous les gens qu'ils ont tâché d'animer contre lui, sur ce qu'il fait, dit-on, des portraits trop ressemblants, outre que cela est de fort mauvaise grâce, je ne vois rien de plus ridicule et de plus mal repris, et je n'avais pas cru jusqu'ici que ce fût un sujet de blâme pour un comédien, que de peindre trop bien les hommes. "")","('#la-muse', 'Lois non écrites de la conscience humaine, vous serez écrites maintenant de la main des hommes, et jurées sur les autels de la patrie.  — À ton tour, suave Euripide, dis-nous la vérité de ton âme, supérieure à celle de ton siècle.')",1.08,Substitution
234,"('#la-grange', ""Les comédiens m'ont dit qu'ils l'attendaient sur la réponse, et que... "")",,1.0,Insertion
