,barante-arlequin-misanthrope,mongin-promenades-de-paris,Cost,Operation Type
188,,"('#pierrot', ""Serviteur aux Bourgeois, je ne veux donc plus l'être."")",1.0,Deletion
189,"('#arlequin', 'Oui, oui, la jeunesse de la Cour généreuse et délicate ?  Ah, que voilà un homme bien instruit !')","('#arlequin', ""Oui, tiens-t'en à ta vie et rustique et champêtre."")",1.22,Substitution
190,"('#le-docteur', 'Outre cela, comme je sais de bien des sortes de choses, et que les Magistrats sont curieux, appliqués et bienfaisants, ce sera un plaisir de voir comme je serai couru.')","('#pierrot', ""On, ne me parle point des champs. Je n'y veux point rester. Mais il est sur la terre Bien plus d'une sorte de gens."")",0.83,Substitution
191,"('#arlequin', ""Les jeunes Magistrats appliqués, bienfaisants !  Il connaît aussi bien la Robe que l'Épée.  Hé, mon ami, quand vous serez à Paris, que les choses vous paraîtront différentes de ce que vous les avez vues de votre Province !  Les fortunes des gens de Lettres sont de belles perspectives, qui ne brillent que de loin.  Mais qui sont ces gens-là !"")","('#arlequin', 'Il est des gens de robe, il est des gens de guerre. Lequel de ces états aimerais-tu le mieux! Veux-tu devenir...')",1.0,Substitution
192,"('#le-docteur', ""C'est ma famille, Monsieur, et j'ai encore un fils à Paris, qui est à ce qu'on m'a dit, dans un poste fort éclairant."")","('#pierrot', 'Oui, je veux, Je veux devenir gens de robe.')",1.51,Substitution
193,"('#arlequin', 'Ce jeune garçon-là, est-il votre fils ?')",,1.0,Insertion
194,"('#le-docteur', 'Oui, Monsieur, mon cadet.')",,1.0,Insertion
195,"('#arlequin', 'Va-t-il aussi faire fortune ?')","('#arlequin', ""Mais pour bien percer le rabat, Il faut plus d'un talent, comme plus d'un ducat."")",1.38,Substitution
196,"('#leandre', ""Je l'espère, Monsieur."")",,1.0,Insertion
197,"('#arlequin', 'Et comment cela, Monsieur ?')",,1.0,Insertion
198,"('#leandre', ""Monsieur, j'ai comme vous voyez un extérieur assez souffrable ; j'ai bien fait mes exercices ; je manie bien un cheval ; je danse passablement ; je sais un peu les langues étrangères, Monsieur."")","('#pierrot', ""Pour des ducats, on en dérobe. J'ai et bonne main et bon cour, Enfin déjà je suis à moitié Procureur. J'ai beaucoup de babil, bon port, belle prestance À moins on peut être avocat. J'ai de la gravité, je ronfle à l'audience ; Et de bien plus d'un magistrat C'est-là toute la science."")",0.81,Substitution
199,"('#arlequin', 'Et avec tout cela vous prétendez, Monsieur...')","('#arlequin', ""Oui, mais ces gens de robe époux, Manants, sont moins heureux que vous. Chez vous, femme, mari, chacun fait sa besogne. L'homme fait des fagots, la femme des balais. Mais ces pauvres robins s'échauffent au Palais, Tandis que leurs moitiés dans ce bois de Boulogne Gobent tranquillement le frais."")",1.32,Substitution
200,,"('#pierrot', 'Perrette aura moins de licence Je la tiendrons de près.')",1.0,Deletion
201,,"('#arlequin', ""Mais l'heure d'Audience, Chez les femmes de robe est l'heure du berger."")",1.0,Deletion
202,,"('#pierrot', ""Au diantre donc la robe, il n'y faut plus songer."")",1.0,Deletion
203,"('#leandre', ""M'attacher à quelque grand Seigneur, qui m'avancera à l'Armée et prendra soin de ma fortune."")","('#arlequin', ""Non, il vaut encor mieux s'en aller à l'armée, Allons, il faut servir le Roi, Et quand tu porteras le plumet et l'épée, Ah, ta femme ma foi sera bien attrapée Il faudra bien que la rusée T'aime, ou qu'elle dise pourquoi."")",0.78,Substitution
204,"('#arlequin', 'Chimère, mon ami, chimère toute pure.  Si, fait comme vous voilà, vous parliez de vous faire Valet de Chambre, ou premier Laquais de quelque Vieille, passe.')","('#pierrot', ""En effet, la mine guerrière Aux femmes aujourd'hui donne dans la visière. Mais un plumet, une épée à Pierrot ! Moi porter cela ? Quelque sot ! Que porteront les Gentilshommes ?"")",0.92,Substitution
205,"('#leandre', ""Hé, fi Monsieur, je n'ai pas l'esprit assez bas."")",,1.0,Insertion
206,"('#arlequin', ""À quel étage croyez-vous donc qu'il faille avoir l'esprit pour faire fortune ?  Mais dites-moi, cette grande fille est-elle votre soeur ?  Elle n'est pas mal bâtie."")",,1.0,Insertion
207,"('#leandre', 'Monsieur, elle danse bien, et a la voix assez jolie.')",,1.0,Insertion
208,"('#le-docteur', ""Je lui ai donné la meilleure éducation que j'ai pu.  Je voudrais la mettre auprès de quelque femme de qualité, qui après l'avoir gardée quelque temps chez elle, la mariât avantageusement."")",,1.0,Insertion
209,"('#arlequin', ""Cela n'est pas bien sûr.  On ne trouve presque plus d'épouseurs pour les filles qui sortent des grandes maisons."")",,1.0,Insertion
210,"('#le-docteur', 'Et pourquoi cela ?')",,1.0,Insertion
211,"('#arlequin', ""Mon_Dieu, c'est que les médisants jasent toujours, et qu'on ne saurait ôter de la tête de certaines gens, qu'une jolie fille qui rend les soins à Madame, reçoit souvent ceux de Monsieur.  Mais puisqu'elle chante, savez-vous ce qu'il en faudrait faire ?"")","('#arlequin', ""Bon, bon ! Dans le siècle où nous sommes, On habille de même et manants et marquis. Tel portait des sabots jadis, Qui porte aujourd'hui l'écarlate. Un homme n'est plus un pied-plat, Dés qu'il n'a plus sa bourse plate. L'argent est gentilhomme, en un mot, entends-tu ?"")",0.82,Substitution
212,"('#le-docteur', 'Et quoi ?')","('#pierrot', 'Quoi ? Noblesse à présent ne vient pas de vertu ?')",1.2,Substitution
213,"('#arlequin', ""La mettre à l'Opéra."")",,1.0,Insertion
214,"('#le-docteur', ""À l'Opéra ?"")",,1.0,Insertion
215,"('#arlequin', ""Oui, à l'Opéra ; si elle peut y être reçue, s'entend.  Car la presse y est diablement, depuis quelque temps.  On pourra toujours par faveur la faire recevoir surnuméraire."")","('#arlequin', ""Hé non, ce n'est plus là sa source. Noblesse en ce pays se tire de la bourse. Oui, la Noblesse vient de là. Cela te semble-t-il étrange ? Pierrot aura pourtant, tout comme le voilà, Des Lettres de noblesse avec Lettres de change. Ainsi tu peux porter arme, et quoi que manant, Tu pourras à ton gré suivre l'arrière-ban. Il fait comme s'il comptait de l'argent."")",0.96,Substitution
216,"('#le-docteur', 'Si vous vouliez, vous nous rendriez ce bon office.')",,1.0,Insertion
217,"('#arlequin', ""Attendez, que j'examine votre fille.  Dans le fonds, elle n'est pas propre à l'Opéra, elle n'a pas cet air ouvert...  Là...  Cette hardiesse...  Je ne sais même si elle se tirerait bien d'un Duo, et vous savez pourtant que c'est le Duo qui place une fille à l'Opéra."")","('#pierrot', ""Allons donc; aussi bien ces Arriere-Banistes Des morts et des blessés n'emplissent point les listes. Mais comment m'appellera-t-on ? Car Pierrot, ce nom-là n'est point fait pour la Guerre."")",1.31,Substitution
218,,"('#arlequin', ""Hé tous les jours on change et d'habit et de nom. Pierrot s'appellera le Marquis de la Pierre, Et Perrette ta femme aussi sera Marquise."")",1.0,Deletion
219,"('#le-docteur', 'De sorte que...')",,1.0,Insertion
220,"('#arlequin', ""De sorte que, si vous et votre famille n'avez pas de meilleure ressource, vous pouvez à coup sûr épargner les frais du voyage.  Croyez-moi, retournez-vous-en chez vous."")",,1.0,Insertion
221,"('#le-docteur', 'Nous resterions volontiers avec vous, si vous y consentiez.')","('#pierrot', 'Son amour après ça me sera tout acquis ?')",1.51,Substitution
222,"('#arlequin', ""Oh, c'est une autre affaire ; un Solitaire craint d'être trop accompagné.  Scaramouche se met à pleurer."")",,1.0,Insertion
223,"('#arlequin', ""Hé, qu'as-tu donc, mon ami, qu'est-ce qui t'afflige ?  Parle, que veux-tu ?"")",,1.0,Insertion
224,"('#scaramouche', 'Ah, Monsieur, si tous ces bonnes gens qui ont du mérite, qui savent tant de choses, ne savent pas faire fortune à Paris, que ferai-je donc, moi ?')","('#arlequin', 'Non pas. Hé quelle est ta sottise ! Ta femme Marquis ? Tant pis ! Nous voyons tous les jours Marquises et Comtesses, Être aussi mal avecque leurs maris, Que leurs maris sont mal avecque les richesses.')",0.94,Substitution
225,"('#arlequin', 'Comment ?')",,1.0,Insertion
226,"('#scaramouche', ""Oui, qu'est-ce que je ferai, moi qui ne suis bon à rien, qui ne fais que de la bagatelle, qui ne sais que la bagatelle, et qui ne suis moi-même qu'une bagatelle."")","('#pierrot', ""Comment ? Quand j'irai à l'armée, Que j'aurai vu quelques combats Quand j'aurai bonne renommée, Perrette ne m'aimera pas ?"")",1.28,Substitution
227,"('#arlequin', 'Tu sais la bagatelle ?')","('#arlequin', 'Et quand bien tu ferais mille et mille conquêtes, Quand tu serais le plus grand des guerriers,  Les coiffes rarement épargnèrent les têtes Que Mars a couvert de lauriers.')",1.56,Substitution
228,"('#scaramouche', 'Oui.')","('#pierrot', 'Oh bien, me voilà donc revenu de la gloire.')",1.42,Substitution
229,"('#arlequin', 'Tu fais la bagatelle ?')","('#arlequin', ""Veux-tu, Pierrot, veux-tu m'en croire ?"")",1.54,Substitution
230,"('#scaramouche', 'Hélas oui.')","('#pierrot', 'Hé bien ?')",0.44,Substitution
231,"('#arlequin', ""Et tu es la bagatelle ?  Ah, mon cher, viens que je t'embrasse ; tu es né pour Paris, tu es né pour une grande fortune ?  Avec une si belle disposition, tu peux aspirer à tout.  La bagatelle ?  Ah !  Mon ami, si j'avais eu un noble penchant pour la bagatelle, je ne serais pas ici, je serais à Paris dans une fortune éclatante."")","('#arlequin', ""Reste manant, et retourne chez toi.  Il est dans le monde je crois, Bien plus d'un doux et bon ménage. Mais il en est bien moins à Paris qu'au village. Crois-moi, in vino veritas.  Il boit."")",0.79,Substitution
232,"('#scaramouche', 'Quoi ?')",,1.0,Insertion
233,"('#arlequin', ""Pars hardiment, pars, vas, tu n'y sera pas plutôt, que tout le monde courra après toi."")","('#pierrot', ""Moi retourner aux champs ? Je ne le ferai pas. Car encore à Paris, si ma femme est un diable, Et s'il faut que j'y sois un mari misérable, J'aurai de quoi me consoler En voyant partout mon semblable. Mais il est temps de m'en aller. Serviteur."")",1.16,Substitution
234,"('#scaramouche', 'Mais pourtant...')","('#arlequin', 'Mais avant de remettre en chemin, Tiens, sable ce verre de vin. Cela, dit-on, avise bien un homme.')",1.23,Substitution
235,"('#arlequin', ""C'est un pays où l'on ne respire que bagatelle, le sérieux y est marchandise de contrebande, et la bagatelle y est si universellement répandue, qu'on peut dire qu'à proprement parler, Paris n'est qu'une grande bagatelle."")","('#pierrot', ""Non, je veux, vous dit-on, être dépaysé. Et que je boive ou non, je suis tout avisé. Un bourgeois et moi, c'est tout comme."")",1.07,Substitution
236,,"('#arlequin', ""Hé bien donc, à votre santé.  Il boit, et Pierrot s'en va."")",1.0,Deletion
237,"('#scaramouche', 'Ainsi avec beaucoup de bagatelle je puis faire un peu de fortune ?')",,1.0,Insertion
238,"('#arlequin', ""Telle que tu voudras.  La bagatelle est aujourd'hui la porte des honneurs et des richesses.  L'un a épousé une vieille qui l'a rendu gros Seigneur pour avoir dit une bagatelle de bonne grâce ; celui-ci a donné dans l'oeil à une femme du premier rang pour avoir fait un saut périlleux d'un air robuste ; cet autre possède une Charge de Judicature qui ne lui coûte qu'un petit tour de poignet, dans une rafle de six amenées à propos ; et j'en connais un élevé à de grandes dignités qui n'a qu'une jolie femme pour tout mérite.  Compte en un mot, que je te réponds de ta fortune, et que je t'en prie de m'en mettre de moitié."")","('#mezzetin', ""Vive le Bois_de_Boulogne, Vive tous ces tapis verts, Où l'on vient rougir sa trogne, Et voir la feuille à l'envers ! C'est dans ce lieu délectable, C'est dans ce charmant séjour, Que les plaisirs de la table Font venir ceux de l'amour. Courage, Camarade !  Voici les restes de la collation que je viens partager avec toi.  Allons, buvons, mangeons, rions, chantons."")",0.8,Substitution
239,"('#scaramouche', ""Volontiers.  Voilà des bagatelles de ma façon. On ouvre, et on voit un grand Cabinet illuminé. Il est soutenu par quatre Mores vêtus de gaze d'or. Il y a dans chaque niche, des figures richement vêtues. Les Violons jouent une Chaconne. Quatre Biscayens dansent."")","('#arlequin', ""À juger de la collation par ces restes, elle était somptueuse, et je crois qu'il fera peu resté de cruauté à celle à qui on l'a donnée."")",1.14,Substitution
240,"('#un-espagnol', ""Il ne faut qu'une bagatelle Pour être heureux ou malheureux ; Pour faire un infidèle De l'Amant le plus amoureux, Il ne faut qu'une bagatelle. Un autre Espagnol danse seul."")",,1.0,Insertion
241,"('#un-espagnol', ""Pour réduire une belle À bien payer nos feux ; Pour troubler la cervelle Du mari le moins soupçonneux, Il ne faut qu'une bagatelle."")","('#mezzetin', ""Tout doux.  Cette maîtresse-ci, non plus que sa suivante, n'est pas de même étoffe que les autres, et mon maître et moi ne soupirons aujourd'hui qu'à bon escient et pour le mariage."")",0.76,Substitution
242,"('#une-espagnolette', ""Pour le faire riche ou gueux,  Pour rendre son nom fameux,  Par un croissant de bon modèle,  Il ne faut qu'une bagatelle. Le second Espagnol et l'Espagnolette dansent."")",,1.0,Insertion
243,"('#une-espagnolette', ""Sans un peu de bagatelle Tout le monde finirait. Qu'est-ce qu'on dirait ? Qu'est-ce qu'on ferait ? On craindrait une ruelle, On s'ennuierait, On s'enfuirait, Rien ne plairait Sans un peu de bagatelle. Les quatre Biscayens dansent."")",,1.0,Insertion
244,"('#une-espagnolette', ""Qui se marierait ? Qui nous voudrait ? Que servirait d'être belle ? On nous morguerait ; On s'en passerait Sans un peu de bagatelle. Les figures du Cabinet se détachent, et font une danse de postures."")","('#arlequin', ""Hé oui, pour un mariage du Bois_de_Boulogne, n'est-ce pas ?  Allons, buvons à ce bon mariage."")",1.15,Substitution
245,"('#la-comtesse', ""Oh ça, Monsieur, en deux mots comme en mille, qu'il se mette à la raison, ou je le quitte."")","('#mezzetin', ""Tu railles, mais je parle sérieusement, et dès aujourd'hui..."")",1.13,Substitution
246,,"('#arlequin', 'Mon_Dieu !  Je connais ton maître ; et Monsieur_Calmar, te dis-je, est un de ces Calmars qui ne veulent épouser que la débauche.')",1.0,Deletion
247,"('#arlequin', 'Que veut-elle dire ?')",,1.0,Insertion
248,"('#la-comtesse', 'Oui, oui, je sais comme on se sépare.  À quelque Tribunal que nous plaidions, il y aura plus de la moitié de nos Juges qui seront de jeunes gens, et ces Messieurs-là rendent bonne justice aux femmes qui cherchent à rompre un noeud, auquel ils sont les premiers à donner de furieuses entorses.')","('#mezzetin', 'Non encore un coup, nous allons faire divorce avec elle.  Il faut finir, et tu vas perdre en nous une bonne pratique.')",0.79,Substitution
249,"('#arlequin', ""Mais, madame, parlez plus intelligiblement.  Je n'entends rien à tout ce galimatias de séparations, de jeunes Juges, d'entorses à la foi conjugale.  Que diantre veut dire tout cela."")",,1.0,Insertion
250,"('#le-chevalier', ""Quoi, Monsieur, vous ne comprenez pas que Madame a toutes les raisons du monde de se plaindre de Monsieur son Époux, qui la maintient dans une terre d'où il ne veut pas qu'elle parte sans son ordre ?"")","('#arlequin', ""Bon, bon !  Quand ton maître serait assez fou pour se marier tout de bon, serait-il plutôt infidèle au Fiacre et à toutes ses petites maîtresses qu'à sa femme ?"")",1.2,Substitution
251,"('#arlequin', ""Il est vrai qu'il y a près de huit jours que votre mari vous a laissée ici."")",,1.0,Insertion
252,"('#la-comtesse', ""Hé bien, monsieur, huit jours ?  Comptez-vous huit jours pour rien ?  Savez-vous ce que c'est pour une jolie femme, d'être huit jours hors de Paris ?  Une femme comme moi hors de Paris, c'est un poisson hors de l'eau.  Entendez-vous, Monsieur, huit jours ?  Si je n'avais trouvé le Chevalier ici, que serais-je devenue ?"")","('#mezzetin', ""Assurément, et mon maître et moi nous vivrons avec nos petites femmes comme s'il n'y avait qu'elles de femmes au monde."")",1.06,Substitution
253,"('#le-chevalier', ""En vérité, Monsieur, une jeune Dame comme Madame_la_Comtesse, est-elle faite pour demeurer à la campagne ?  Tant d'appas doivent-ils demeurer cachés, ou n'être vus que par des gens qui ne leur rendent pas l'hommage que leur doivent toutes les personnes de bon goût ?"")","('#arlequin', ""Quoi ?  Monsieur_Calmar, par exemple, ne se promènera plus, ne s'enivrera plus, et ne se perdra plus dans le Bois_de_Boulogne qu'avec sa femme ?"")",1.27,Substitution
254,"('#arlequin', 'Hé, le godelureau !  Comme il fait le doucereux !  Depuis que les femmes affectent les airs cavaliers, les jeunes gens ont pris toutes les manières féminines.')",,1.0,Insertion
255,"('#le-chevalier', 'Mais, Monsieur, vous êtes homme judicieux, mettez la main sur la conscience, que voulez-vous que Madame fasse dans cette maudite Gentilhommière ?')",,1.0,Insertion
256,"('#arlequin', ""Qu'elle commence par vous en bannir ; et vive ensuite comme les autres femmes."")","('#mezzetin', ""Non, qu'avec sa femme."")",1.36,Substitution
257,"('#la-comtesse', ""Fort bien !  Vivre comme les autres femmes !  C'est parler d'or, si cela se pouvait."")","('#arlequin', ""Monsieur_Calmar ne donnera plus de rendez-vous aux Quinze-vingts, au Palais-Royal, ni de fêtes au Grand_Turc et à Picpus qu'à sa femme ?"")",1.6,Substitution
258,"('#arlequin', 'Et pourquoi non ?')","('#mezzetin', 'Non.')",1.48,Substitution
259,"('#le-chevalier', ""Puis-je, dites-moi, dans une solitude, me levant à midi, être jusqu'à deux heures à ma toilette, parmi mille nuances de justaucorps rouges et bleus qui me réjouiraient la vue ?"")","('#arlequin', ""Monsieur_Calmar ne se fera plus enfermer la nuit aux Tuileries, et n'en sortira plus par dessus l'impériale d'un carrosse qu'avec sa femme ?"")",1.03,Substitution
260,,"('#mezzetin', 'Non.')",1.0,Deletion
261,"('#arlequin', 'Vraiment, on sait bien que vous ne pourrez pas comme certaines femmes, destiner les différents jours de la semaine aux différentes professions, et donner le Lundi aux gens de Robe, le Mardi aux Abbés, le Mercredi aux Étrangers, et le reste de la semaine au public.')","('#arlequin', ""Et Monsieur_Calmar ne meublera plus de chambres à Paris, et n'en louera plus à la campagne que pour les éclipses de sa femme ?"")",1.56,Substitution
262,"('#la-comtesse', ""Vous voyez donc bien, Monsieur, que Madame a raison, et que vous n'avez rien à répondre ?"")","('#mezzetin', ""Non, non, non.  Mon maître, redis-je, ne connaîtra, ne verra et n'aimera que sa femme.  Mais paix.  J'entends la voix je crois de celle qui doit être la mienne.  Oui, c'est Colombine elle-même."")",1.53,Substitution
263,"('#arlequin', ""Il est vrai, j'en suis sur la négative."")",,1.0,Insertion
264,"('#la-comtesse', ""Hé, que répondrait-il ?  Me fera-t-il comprendre que si je donne à jouer dans un vieux château qui menace ruine, et qui est à vingt lieues de Paris, j'aurai tous les jours vingt coupeurs aux quatre pistoles ?"")","('#colombine', ""Holà hé, Fiacre, c'est assez boire et manger ; cours en donner à tes chevaux, et les mets en état de nous mener tout à l'heure aux Tuileries."")",0.95,Substitution
265,,"('#mezzetin', 'Oui, oui, laisse-nous seuls, et va soigner tes bêtes.')",1.0,Deletion
266,"('#le-chevalier', ""Difficilement les rondes d'un seul hiver vous vaudraient ici de quoi faire la fortune d'un joli homme."")","('#arlequin', ""Dans de semblables tête à têtes,  Il ne faut de tiers que l'amour.  Courage elle est jolie. J'y cours, et je sais bien qu'en ce charmant séjour,  Il s'en va."")",1.37,Substitution
267,"('#la-comtesse', 'En vérité, madame la Comtesse raisonne comme un charme, et je vois bien que Monsieur ne saurait résister à la force de son raisonnement.')","('#mezzetin', 'Hé bien, mon adorable,  Ce Bois à mon amour sera-t-il favorable ?  Nous sommes sans témoins, et nous pouvons ainsi... Mais arrête, où cours-tu ?')",1.57,Substitution
268,"('#arlequin', ""Hé le petit butor !  Il ne sait pas que la raison n'a rien à faire dans le raisonnement des femmes."")","('#colombine', 'Rengaine ta tendresse.  Je vais rejoindre ma maîtresse,  Et ne veux point rester seule dans ce bois-ci.')",1.73,Substitution
269,"('#la-comtesse', ""Dans un maudit pays comme celui-ci, a-t-on le moindre plaisir ?  Et celui de la promenade, tout innocent qu'il est, ne vous est-il pas interdit ?"")","('#mezzetin', ""Et qu'as-tu donc à craindre en ce charmant bocage ?  Qu'est-ce ? En ce bois est-il quelques filous ?"")",0.64,Substitution
270,,"('#colombine', 'Que trop. Oui, sous ce vert feuillage,  Des filles seules comme nous  Sont souvent mises au pillage.  Fuyons les bois de peur des loups.')",1.0,Deletion
271,,"('#mezzetin', ""Non, ici sans se hasarder  On se promène, on se repose.  Si tu crois qu'aux caquets un tête à tête expose,  Le Fiacre viendra nous garder."")",1.0,Deletion
272,"('#le-chevalier', 'Ho pour cela, Madame, on vous a donné de mauvais Mémoires, nous avons ici aux environs les plus belles promenades du monde.')","('#colombine', 'Mauvais moyen pour empêcher la chose !  Et tous ceux qui sous ces ormeaux  Font la charge de sentinelle ,  Bien loin de garder une belle,  Ne gardent rien que les manteaux.')",0.98,Substitution
273,,"('#mezzetin', ""Que cette retraite est charmante !  Qu'il est doux d'être assis dessus ce vert gazon !"")",1.0,Deletion
274,,"('#colombine', 'Ne voilà pas déjà le gazon qui te tente ?  Adieu.')",1.0,Deletion
275,,"('#mezzetin', 'Non non, de grâce, arrête, écoute donc.')",1.0,Deletion
276,"('#la-comtesse', 'Hé fi !  De quoi me parlez-vous ?')","('#colombine', 'Laisse-moi.')",0.98,Substitution
277,"('#arlequin', 'Ne voyez-vous pas que Madame ne veut se promener que dans les rues de Paris ?')","('#mezzetin', ""Mais d'où vient cette peur, cet effroi ?  Tu ne serais pas plus timide,  Quand tu serais avecque moi  Aux déserts de la Thébaïde."")",1.48,Substitution
278,"('#la-comtesse', ""Non.  Mais, vous n'avez ici ni Cours, ni Tuileries, ni Vincennes."")","('#colombine', ""Oh, ce bois est plus dangereux  Que le désert le plus affreux.  Telle qui tiendrait bon où gîte la cicogne,  Se rend dans le Bois_de_Boulogne.  On ne va boire ni manger  Où les cicognes vont loger ;  Mais ici tous les jours l'ivrogne,  À l'aide du vin de Bourgogne,  Fait sonner l'heure du berger.  D'un précipice ou d'une grotte  Où sifflent les serpents, l'on peut se dégager :  Mais qu'une nymphe est en danger  Où l'on sait la contraindre à siffler la linotte !  Dans ces lieux la Coquette à la bisque se rend ;  Et pour la bisque aussi la prude  Permet dans cette solitude  Ce que partout elle défend."")",1.39,Substitution
279,"('#le-chevalier', 'Il est vrai.  Mais nous avons des promenades qui ne valent guère moins.')","('#mezzetin', ""Oui, dans ce beau séjour tout ressent la tendresse,  On n'y voit que toi de tigresse.  Tu n'as point de pareil ici que ces cailloux ;  Et ce bois ne voit point ni d'humains ni de bêtes,  Qui dans leur tête à têtes  Soient si bêtes que nous.  Mais ne la fais donc plus la bête, Colombine.  Te sied-il bien d'être mutine Dans un séjour où tour se rend ;  Où nul coeur n'est indifférent ;  Où l'on ne voit enfin que toi d'impitoyable ?"")",1.14,Substitution
280,"('#arlequin', ""Madame a raison.  Dans nos promenades on n'a pas le plaisir de contrôler.  Peut-on dire par exemple, voilà une telle qui est dans le carrosse de son amant.  Cette maigre échine qui est dans le fond leur sert de commode.  Mon_Dieu, que Célimène est mal coiffée aujourd'hui !  Ne se corrigera-t-elle jamais de mettre si peu de rouge sur deux doigts de blanc ?  Votre grand Président ne veut-il pas avoir un autre équipage ?  Je crois qu'il a acheté le sien à la vallée de la Misère !  Non, il n'y a point de Carrosse de remise qui ne donnât quinze et bisque à ce vilain fiacre-là."")","('#colombine', ""Ah ! Qu'Arlequin m'est redevable  Et que n'est-il ici, Coquin, au lieu de toi !  Quelle est la femme comme moi  Assez maîtresse d'elle, assez fidèle et sage  Pour résister, à ces hélas ?  Et pour ne sacrifier pas  Le plumet à la robe en ce sombre bocage ?  Mais chut ! Quelqu'un vient en ce lieu,  Et j'entends que l'on nous appelle ;  Et c'est fort à propos. Adieu."")",0.36,Substitution
281,"('#la-comtesse', ""Ce sont toutes ces gentillesses qui font l'âme de la conversation du Cours et des Tuileries."")",,1.0,Insertion
282,"('#le-chevalier', ""Madame dit cela d'un air malicieux qui enchante."")",,1.0,Insertion
283,"('#la-comtesse', 'Oh point, on a tous les torts du monde de dire que je suis médisante, je suis la meilleure pâte de femme qui fut jamais.')",,1.0,Insertion
284,"('#arlequin', ""La bonne pâte de femme !  On n'y a pas épargné la farine et le levain."")","('#calmar', ""C'est , Mademoiselle, une petite collation champêtre, comme vous voyez."")",1.1,Substitution
285,"('#la-comtesse', ""Enfin, monsieur, pour trancher court, je suis venue vous prier d'écrire à mon mari, que s'il ne me retire au plutôt d'ici, je m'en retirerai moi-même ; qu'il prenne ses mesures là-dessus.  Allons Chevalier, allons."")","('#elise', ""Monsieur_Calmar ne fait rien que de magnifique, et à la campagne comme à la Ville tout est somptueux quand il s'en mêle. Ici Octave et Scaramouche mettent le couvert à terre. On apporte plusieurs carreaux sur lesquels on s'assied, et lorsqu'on découvre les plats qu'un avait servis pour manger, on les trouve remplis d'instruments de musique tout différents , qu'Octave, Scaramouche, et les autres garçons cabaretiers prennent et dont ils jouent ; ce qui forme un concert fort agréable. Calmar et Élise dansent ; après quoi on fait tomber Calmar, et on l'emporte enveloppé dans la nappe ; ce qui finit le premier acte."")",1.45,Substitution
286,"('#arlequin', ""L'extravagante créature !  Mais quel est cet homme-là ?"")",,1.0,Insertion
287,"('#octave', ""Monsieur, vous êtes un homme illustre, au-dedans, je suis un homme illustre au dehors.  Vous faites le Sage quand il vous plaît, et je ne fais le fou que quand je veux.  Vous vous cachez, et l'on vous suit.  Je m'expose en public, et l'on ne me suit pas autant que je voudrais : enfin, Monsieur, vous êtes philosophe, et je suis comédien ?"")","('#calmar', ""Si j'avais eu cette épée, l'on ne m'aurait pas insulté impunément au Bois_de_Boulogne.  Holà Mezzetin, me voilà en état de plaire et de faire face aux Tuileries.  Mais avant que d'aller plus loin, dis-moi ce que tu penses de mon habit.  Trouves-tu qu'il pêche contre l'air guerrier ?  Me trouves-tu encore quelque teinture de la robe, et me prendrais-tu de loin pour Monsieur_Calmar ?"")",0.28,Substitution
288,"('#arlequin', ""Ah, Comédien ?  Je ne m'étonne plus s'il est gaillard.  Hé, bien Monsieur, que cherche ici votre personne Comique ?"")","('#mezzetin', ""Oh, vous voilà, Monsieur, tout à fait bien décalmardé ; il vous reste seulement à prendre l'air et les manières assortissantes à votre habit.  Là, mettez-moi ce chapeau sous le bras, par exemple.  Le peigne à la main ?  Barbouillez-vous le nez de tabac ; faites plisser votre justaucorps.  L'estomac débraillé.  Allons, l'air brusque, vif, et dissipé ?  Bon !  Il ne vous manque plus qu'une moustache, un ton de fausset, et des créanciers  à vos trousses, pour avoir toutes les parties d'un galant homme."")",0.55,Substitution
289,"('#octave', ""Hé, Monsieur, dès que je suis comédien, je cherche de l'argent, du plaisir et de la gloire."")","('#calmar', ""Ce changement d'air et d'habit, ce produira je crois dans le cour d'Élise.  Cette métamorphose lui paraîtra peut-être extraordinaire : mais Jupiter lui-même s'est bien métamorphosé pour se rendre aimable."")",1.33,Substitution
290,"('#arlequin', ""Il n'y a guère ici de tout cela."")",,1.0,Insertion
291,"('#octave', ""Monsieur, nous ne faisons plus rien dans les grandes Villes.  Le public ne court plus après nous, nous avons songé dans notre Compagnie que la nouveauté de voir des Comédiens dans un désert nous ferait suivre par une multitude qui ne s'étonnait pas de nous voir bien solitaires dans une Ville."")","('#mezzetin', ""J'ai oui dire en effet, que Jupiter s'était changé en pluie d'or, et une pareille métamorphose, Monsieur, vous siérait bien mieux que celle-là.  Car enfin, que va-t-on dire devoir un vénérable Magistrat comme vous, venir donner le paroli à tous les petits-maîtres des Tuileries ?"")",1.27,Substitution
292,"('#arlequin', 'Mais savez-vous que cela est bien pensé ?  Moi qui ai souvent vu avec chagrin, la Comédie bien solitaire à Paris, je sens que je serais ravi de la voir bien fréquentée dans un désert.')","('#calmar', ""Va va, je ne suis pas le seul de ma robe, qui au sortir du Palais, troque le rabat et le bonnet carré, contre l'épée et le plumet, pour se faire regarder de bon poil aux Tuileries. Que veux-tu ?  Élise ne se rend point aux fleurettes, aux cadeaux, ni aux fêtes ; il faut l'attaquer par les yeux, et les hommes aujourd'hui ne font donner les femmes dans le panneau, qu'en leur donnant dans la vue."")",0.89,Substitution
