,viau-pyrame,puget-de-la-serre-le-pyrame,Cost,Operation Type
75,"('#pyrame', 'Je veux que mon ami, sans feinte et sans réserve, Dedans ma passion me complaise et me serve.')","('#pyrame', ""Le défaut m'en est agréable, puisqu'il procède de la perfection de mon amour."")",0.38,Substitution
76,"('#disarque', 'Eh quoi, si votre ami vous avait vu courir Dans un danger mortel ?')","('#disarque', 'Serais-je votre ennemi pour vous vouloir retirer du danger ou vous êtes.')",0.76,Substitution
77,"('#pyrame', ""Qu'il me laissât mourir. Le plus sanglant dépit que la Fortune livre À des désespérés, c'est les forcer de vivre."")","('#pyrame', ""Oui, puisque le danger me plaît. Je suis contraint d'hasarder ma vie pour la sauver.  Car il faut nécessairement que je meure de tristesse, si je ne meurs d'amour."")",0.52,Substitution
78,"('#disarque', ""Il est vrai qu'un désir une fois emporté Vers un funeste amour a plus de fermeté ; On rétracte plutôt le dessein légitime D'une bonne action que le projet d'un crime ; Le mal a plus d'appas, et ce qui plus nous nuit Avecque plus d'adresse et de vigueur nous suit. Vous courez obstiné ce semble à votre perte, Quelque difficulté qui vous y soit offerte ; Vos parents, obligés d'un naturel devoir, Vous opposent ici leur absolu pouvoir."")","('#disarque', ""Encore êtes-vous obligé dans la nécessité de mourir, de choisir la mort la plus glorieuse, pour laisser cette dernière consolation à vos parents, dont l'autorité demande justice aux Dieux de votre désobéissance."")",0.7,Substitution
79,"('#pyrame', ""C'est par où mon désir davantage se pique. J'aime bien à forcer une loi tyrannique. Amour n'a point de maître, et vos empêchements Ne me sont désormais que des allèchements. C'est une occasion de me montrer fidèle, C'est prouver à Thisbé que j'ose tout pour elle. N'as-tu point quelquefois pris garde à sa beauté, Toi qui par-dessus tous aimes la nouveauté, Toi qui depuis les bords d'où le soleil se lève Jusqu'aux flots reculés où la clarté s'achève, Des objets les plus beaux as fait juges tes yeux, En as-tu reconnu qui puissent plaire mieux ?"")","('#pyrame', ""On n'est jamais puni de violer la loi tyrannique, ma liberté.  Non plus que mes pensées, ne relèvent point de l'autorité de mes parents.  Si j'ai disposé de mes affections sans leur consentement, je me fuis servi du privilège que la Nature m'a donné.  Les Dieux ne partagent jamais leur puissance avec les hommes.  Mon destin veut que j'aime Thisbé, j'y consens, et je changerai plutôt de vie que d'amour."")",0.12,Substitution
80,"('#disarque', ""Il est certain qu'elle a quelque chose de rare."")",,1.0,Insertion
81,"('#pyrame', ""Dis qu'elle a quelque chose à tenter un barbare. Celui que ses regards ne peuvent pas toucher, Il a des duretés de souche et de rocher."")",,1.0,Insertion
82,"('#disarque', 'Voilà bien des discours de la mélancolie.')",,1.0,Insertion
83,"('#pyrame', ""Je crois que ta raison vaut moins que ma folie, Et que tu viens à tort me plaindre et m'accuser D'une erreur où les Dieux se voudraient abuser. Ne m'en parle jamais, ta résistance est vaine, Et si tu n'as juré de t'acquérir ma haine, Si tu n'as résolu de rompre avecque moi, Dedans ma passion ne me fais plus la loi. Tu voudrais que j'aimasse à la façon commune, Et qu'un lâche dessein de faire ma fortune M'amenât dans le but de tes intentions."")","('#disarque', ""Je vois bien que votre raison est aussi esclave que votre franchise, et que je vous fuis importun de vous prêcher la guérison d'un mal dont vous abhorrez le remède.  Mais je prévois que le repentir sera le dernier de vos maux."")",0.0,Match
84,"('#disarque', ""Je voudrais gouverner un peu vos passions, Et vous sauver l'esprit du danger et du blâme."")","('#pyrame', ""Si le repentir m'arrache le dernier soupir des entrailles.  Je mourrai donc de regret de n'avoir plutôt aimé la beauté que je sers, comme la plus aimable qui fut jamais.  Confesse le Disarque.  N'est-il pas vrai, qu'elle a des appas, et des douceurs capables de rendre les Dieux même idolâtres.  Vis-tu jamais rien de pareil à ses cheveux crêpés, dont les charmes brillants les rendent de la couleur des plus belles choses du monde.  Ils font tous ensemble une forêt, où mille petits amours vont à la chasse des libertés . Tu dois avoir admiré son front, plus poli que l'ivoire, plus blanc que la neige, et où comme dans un trône à trois place, la majesté, l'innocence, et la pudeur, le font adorer des mortels.  As tu pris garde à la délicatesse de ses sourcils que les mignardises ont fait sur le modèle de l'arc de Cupidon. N'as-tu pas été mille fois ébloui de la lumière de ses beaux yeux, mais ils s'appellent autrement : de ces beaux Soleils : cette comparaison leur est trop honteuse : de ces Flambeaux d'amour : ce n'est pas dire le nom de leurs perfections : de ces astres divins qui font tous les beaux jours de ma vie, cette exemple encore ne peut avoir du rapport qu'avec une de leur qualités, il faut que je te dise la vérité pourtant.  Saches donc que les yeux de ma chère Thisbé sont ceux là même de l'Amour, d'où vient qu'il est aveugle, et que leurs regards sont les plus riches traits et les plus belles chaînes dont ce petit Dieu se peut servir, pour blesser les coeurs, et pour enchaîner les âmes. Je suis d'humeur à t'en dire davantage, son nez est un ouvrage fait à plaisir par la Beauté.  Ne t'imagine pas ses joues soient également couvertes de lys, et de roses, les nymphes des bois, et des eaux ont ces mêmes avantages.  La Nature les a voulu parer d'un certain émail de fleurs toutes nouvelles, que l'Aurore n'a jamais vues, que Flore ne connaît pas, et que le Printemps n'est point capable de produire.  Elles ont la blancheur du lys, et l'incarnadin de la rose mêlés ensemble, avec cette vertu de ne se flétrir jamais, et d'épandre une odeur, qui ravit l'esprit d'aise, et de plaisir par le sens qui lui est affecté.  Sa bouche naine, pour sa petitesse, n'est point de corail, ni d'oeillets, mais bien d'une matière toute semblable en couleur, et différente en prix à cause du charme qu'elle a de donner à un chacun le désir de la baiser, et d'en ôter même temps l'espérance.  De mettre en avant que son menton est fourchu, et que les Grâces même ont été jalouses de ses beautés, c'est dire seulement une partie de ses perfections.  Son sein n'est point aussi d'albâtre ni d'ivoire.  Mais je te dirai que ses deux petites montagnes de lait, dont il est formé, et qui sont toujours en action, ne pouvant souffrir les regards, quoi qu'elles les attirent, s'appellent des merveilles animées, c'est le nom qu'on leur a donné en naissant.  Ajoute à tous ces miracles celui de sa voix qui enchante les esprits, ou plutôt encore celui du bel esprit, qui anime ce beau corps.  Et tu seras contraint de confesser qu'il n'appartient pas à un mortel, de profaner de son amour, un sujet si adorable."")",0.79,Substitution
85,"('#pyrame', ""Est-ce à toi, je te prie, à gouverner mon âme ? Ce coeur fut-il par toi là-dedans enfermé ? Laisse faire à Nature, elle me l'a formé ; C'est d'elle dont Thisbé se vit aussi formée Pour enflammer ce coeur, et pour en être aimée, N'ayant tous deux qu'un but de peine et de plaisir, Semblables de l'humeur, de l'âge et du désir ; Et si j'osais flatter encore mon visage, On nous pourrait tous deux connaître en une image. C'est le premier appas dont mon coeur soupira, C'est le premier espoir dont Amour m'attira, Cher espoir dont mon âme heureusement se flatte, Car son oeil favorable à mes regards éclate, Me comble de faveur. Bref je suis assuré D'un amour mutuel : elle me l'a juré. Mes lèvres dans ses mains en ont cueilli le gage, Et, pour le confirmer d'un plus pressant langage, Ses pensers me l'ont dit, ses yeux en sont témoins, Car dans tous nos discours la voix parle le moins. Nous disons d'un trait d'oeil à nos âmes blessées Bien plus qu'un livre entier n'exprime de pensées, Et des soupirs de feu, d'elle à moi repassant, Mieux que nul confident s'expliquent à nos sens. Nous n'avons pas besoin que d'autres s'introduisent À traiter nos amours ; les arbitres nous nuisent. Le meilleur confident ne sert jamais si bien Que dans notre intérêt il ne mêle le sien ; Selon sa fantaisie il avance ou recule L'aveugle mouvement d'un pauvre esprit qui brûle ; Pour moi, je ne saurais souffrir un gouverneur ; J'aime mieux réussir avec moins de bonheur. Les soins de la prudence ont trop d'inquiétude ; Mon âme n'a d'objet sinon ma servitude, Où je trouve mon bien ; mieux qu'en ma liberté, Et que j'aime sans doute autant que la clarté."")","('#disarque', ""Si je pouvais être votre rival, sans être votre ennemi, je me dirais déjà compagnon de vos hasards, pour [courir] ensemble une même fortune en servant cette divine beauté, dont les discours de ses perfections ont servi de pinceau pour les dépeindre dans mon âme.  Mais le respect que je vous dois, et l'affection que je vous ai vouée, m'obligent à vous laisser seul en cette conquête, puisque vous êtes le seul qui la mérite.  Permettez moi toutefois de vous dire, que les grands malheurs, suivent toujours les grandes entre prises."")",0.0,Match
86,,"('#pyrame', 'Mais tu ne dis pas aussi que les grandes fortunes accompagnent les desseins hasardeux.')",1.0,Deletion
87,"('#disarque', ""Puisque c'est une peste à vos os attachée, Une flèche mortelle en votre coeur fichée, C'est en vain que l'on prend le soin de vous guérir."")","('#disarque', ""Les Sages n'hasardent point ce qu'ils ne peuvent perdre qu'une fois."")",1.56,Substitution
88,"('#pyrame', 'Guérir on ne le peut sans me faire mourir.')","('#pyrame', ""Que veux tu que je fasse d'une vie misérable, j'aime bien mieux l'hasarder sur l'espérance d'être heureux, que de la conserver dans le désespoir ou je fuis, de posséder jamais une meilleure fortune."")",1.05,Substitution
89,"('#disarque', ""Au moins prenez bien garde, en cette amour furtive, Qu'un funeste succès à vos desseins n'arrive. Vous êtes épiés, et de loin et de près, Par des yeux vigilants qu'on y commet exprès."")","('#disarque', ""Si votre perte n'était assurée, je veux croire que le malheur où vous êtes vous pourrait porter quelque extrémité, pour tenter le hasards mais si vous vous débandez les yeux.  Vous verrez les précipices qui vous environnent."")",0.0,Match
90,,"('#pyrame', ""J'ai plus de peur de la vie, que de la mort, car je meurs continuellement.  Ne serai-je pas heureux parmi tant de morts, de mourir une dernière fois, pour une si belle cause."")",1.0,Deletion
91,,"('#disarque', 'Ne vous a-t-on pas dit, au moins combien de lumières jalouses éclairent vos actions.')",1.0,Deletion
92,"('#pyrame', ""Toute leur diligence est assez inutile ; L'âme des amoureux n'est pas si peu subtile ; Nous savons bien choisir et le temps et le lieu Où même ne saurait nous découvrir un Dieu. Ne t'en mets point en peine, et seulement endure, Si tu me veux aimer, que ma fureur me dure. Adieu, laisse-moi seul m'entretenir ici. Voilà la nuit qui vient, le ciel est obscurci, Ma maîtresse m'attend. Afin de me complaire, L'autre soleil s'en va quand celui-ci m'éclaire. Privés de tous moyens de nous parler ailleurs, Et ne pouvant venir à des accès meilleurs, Une petite fente en cette pierre ouverte, Par nous deux seulement encore découverte, Nous fait secrètement aller et revenir Les propos dont Amour nous laisse entretenir ; Car c'est le lieu par où nos passions discrètes Donnent un peu de jour à nos flammes secrètes. Ici, cruels parents, malgré vos dures lois, Nous faisons un passage à nos timides voix ; Ici nos coeurs ouverts malgré vos tyrannies Se font entrebaiser nos volontés unies. Conseillers inhumains, pères sans amitié, Voyez comme ce marbre est fendu de pitié, Et qu'à notre douleur le sein de ces murailles Pour receler nos feux s'entrouvre les entrailles, Que l'air se prostitue à nos contentements ; L'air, le plus rigoureux de tous les éléments, Le père des frimas, la source des orages, A plus d'humanité que vos brutaux courages. Mais j'entends quelque bruit, c'est elle sans faillir. Je sens tous mes esprits d'aise me défaillir. Elle ne ment jamais, et ferait conscience De charger son amant de trop de patience. Je vois comme elle approche et marche à pas comptés, Soupçonneuse, élançant ses yeux de tous côtés."")","('#pyrame', ""Puisque les Dieux les voient, les hommes en peuvent bien être témoin.  Il est vrai, je te le confesse, que je vois tous les jours ma maîtresse, et que je lui parle souvent, mais serait-ce un crime de regarder le Soleil, et de parler à la Vertu.  Adieu cher ami, l'heure s'approche, où je dois recevoir ce contentement."")",0.0,Match
93,,"('#pyrame', ""Que j'attendais cette heure avec impatience : pourquoi vas tu si lentement, beau Soleil, serais-tu jaloux de ma fortune ?  Je sais bien que ma Thisbé a beaucoup plus d'appas, et de grâces que ta Clytie n'en a souhaité pour te plaire ; mais quelque dessein que tu aies de me nuire, tout m'est indifférent.  Arrête, ou fuis, contemple mon bon - heur, ou cache toi d'envie, je préfère en mon aveuglement le flambeau de Cupidon à ta lumière.  Il me semble que l'entends le bruit des pas craintifs de ma maîtresse,"")",1.0,Deletion
94,"('#thisbe', 'Es-tu là, mon souci ?')","('#thisbe', 'Es tu là mon souci ?')",0.0,Match
95,"('#pyrame', ""Qui vous a retenue ? Aujourd'hui pour le moins vous êtes prévenue, Vous arrivez plus tard que je ne fis hier."")","('#pyrame', ""Si j'étais ton souci, de même que tu es ma pensée, je ne t'aurais pas prévenu en ce lieu."")",1.09,Substitution
96,"('#thisbe', ""Il est vrai que j'ai tort, je ne le puis nier ; Mais quand je t'aurai dit ce qui m'a dû contraindre, Je crois que tu seras obligé de me plaindre ; Je te ferai pitié, car je ne pense pas Que le mal qu'on m'a fait soit moins que le trépas."")","('#thisbe', ""Mon désir y a été plutôt que toi, mais le malheur qui me suit toujours m'a détenue."")",0.91,Substitution
97,,"('#pyrame', ""Conte moi tes déplaisirs, afin que j'en aie ma part."")",1.0,Deletion
98,"('#pyrame', ""Comment ! Vous a-t-on fait quelque injure, mon âme ? Quelqu'un en son absence a-t-il blessé Pyrame ? Un Dieu ne le pourrait avec impunité."")","('#thisbe', ""Tu sauras qu'une vieille de mes parentes m'est venue visiter pour me faire des leçons sur le mépris de l'Amour, le te laisse à penser si j'avais l'âme disposée à remarquer ses discours . elle parlait continuellement, sans me donner le loisir de répondre comme si elle eut prévu que je n'avais rien à lui dire.  Mais pourtant il faut que je te confesse que mes oreilles tenaient mon esprit à la géhenne."")",1.28,Substitution
99,"('#thisbe', ""Cette offense n'était que l'importunité D'une vieille hideuse et sotte créature, Qui m'a tout aujourd'hui mis l'âme à la torture, Qui m'a fait tant de lois, m'a tant donné d'avis, Et tant réitéré d'inutiles devis, Qu'on tarirait plutôt l'humidité de l'onde Que cette humeur chagrine en caquets si féconde."")","('#pyrame', ""Je m'imagine en quels termes elle te peut avoir parlé d'une passion dont elle n'a jamais été capable.  Elle peut bien avoir aimé autrefois ; mais comme la perfection est unique, je veux croire que celle d'aimer n'a jamais été possédée que de nos coeurs, et qu'ainsi tout le reste des hommes n'en a eu qu'une vaine idée."")",0.16,Substitution
100,"('#pyrame', ""Dites-moi, je vous prie encore, en quoi tendait Le discours où plus fort la vieille s'étendait ?"")","('#thisbe', ""Je ne saurais te contredire, parce que je t'aime, je ne dis pas plus que ma vie : car ce serait t'offenser puisque c'est la tienne.  Mais autant que tu veux, et non pas davantage, n'ayant pour volonté que tes désirs."")",1.43,Substitution
101,"('#thisbe', ""De rendre une parfaite et pleine obéissance À ceux à qui je dois le bien de ma naissance, De ne me dispenser de prendre aucun plaisir Que leur commandement ne me le vînt choisir, Surtout de bien défendre, et l'esprit, et l'oreille, Des pointes dont amour un jeune sang réveille, Que les jeunes esprits n'ont rien de dangereux Au prix que d'écouter un conseil amoureux, Que même au plus heureux cet appas est funeste, Que c'est un précipice, un poison, une peste."")","('#pyrame', ""Si tu m'aimes autant que je veux, tu m'aime autant qu'il te plaît, puis que ma volonté n'est animée que de ton contentement.  Je ne souhaite rien qu'après toi, et mon espoir suit ton attente."")",0.8,Substitution
102,,"('#thisbe', ""Si je t'aime autant qu'il me plaît, combien dirais-tu que je t'aime ?  Je défie ton bel esprit d'en avoir la pensée."")",1.0,Deletion
103,,"('#pyrame', 'Plus que toi même.')",1.0,Deletion
104,,"('#thisbe', ""Je ne saurais : car si je suis Pyrame, et que tu fois Thisbé, je m'aime mieux que toutes les choses du monde."")",1.0,Deletion
105,"('#pyrame', ""Elle vous a donc fait l'amour bien odieux."")","('#pyrame', ""Je dirai donc que tu m'aimes autant qu'il se peut."")",1.17,Substitution
106,"('#thisbe', ""Elle me l'a dépeint comme il est dans ses yeux."")","('#thisbe', ""Cette vérité limite bien mon amour, mais non pas le désir que J'ay de la rendre immortelle."")",1.35,Substitution
107,,"('#pyrame', ""Je sais bien que tu m'aimes parfaitement, ma chère âme mais ne crains tu pas en me le disant, de me faire mourir de joie."")",1.0,Deletion
108,"('#pyrame', ""Étranges changements où tombe la Nature ! Un pauvre corps usé qui n'est que pourriture, Une vieille à qui l'âge a séché les humeurs, À qui les sens gâtés ont perverti les moeurs, Un sang gros et pesant, toujours froid comme glace, Si ce n'est qu'une fièvre échauffe un peu sa masse, Un tronc de nerfs et d'os d'artifice mouvant, Qu'on ne saurait nommer qu'un fantôme vivant, Persécute toujours d'une jalouse envie Les passe-temps heureux de notre jeune vie. Ces vieillards dont l'esprit et le corps abattu Érigent l'impuissance en titre de vertu, Eux-mêmes qui le cours de la nature suivent, Qui selon l'appétit de leur vieillesse vivent, Prétendent contre nous forcer l'ordre du temps, Et que nous soyons vieux en l'âge de vingt ans, Nos moeurs par leur exemple imprudemment censurent, Alléguant ce qu'ils sont et non pas ce qu'ils furent. Au moins, ma chère vie, en ce sot entretien Je crois que cet esprit n'a rien pu sur le tien."")","('#thisbe', ""Mais n'appréhendes tu pas toi-même, qu'en t'oyant parler de mourir, je meure de la frayeur de tes paroles."")",0.89,Substitution
109,,"('#pyrame', 'Un Amant malheureux comme moi, ne peut parler que de ses infortunes.  Je ne sais à quoi nous réserve le sort.')",1.0,Deletion
110,,"('#thisbe', 'Ne nous mêlons point des affaires des Dieux, suivons notre Destin sans contrainte.')",1.0,Deletion
111,,"('#pyrame', ""Je ne suis capable de crainte, que pour toi : car je ressens déjà par avance tous les maux que te peuvent arriver, hélas ! Que ne suis-je un nouveau Prométhée, condamné à mourir à tous moments, à condition de t'exempter de la mort."")",1.0,Deletion
112,,"('#thisbe', ""À quoi me servirait l'immortalité en ton absence et crois - tu que je voulusse être Junon, si tu n'étais Jupiter."")",1.0,Deletion
113,,"('#pyrame', ""Je crois que tu m'aimes, jusques à ce point.  Mais comme la force de mon amour, ne peut céder que par respect à la grandeur de la tienne, je voudrais que tu fusses tout, et que je ne fusse rien."")",1.0,Deletion
114,,"('#thisbe', ""Ne sais-tu pas que mon bonheur, et ta félicité, ne sont qu'une même chose.  Songe donc à te rendre heureux, pour me rendre contente."")",1.0,Deletion
115,"('#thisbe', ""Ces discours m'ont passé plus loin qu'une nuée."")","('#pyrame', ""Tu vois bien en quel état je suis réduit, ma chère âme.  À peine ai-je ouvert les yeux pour te voir, qu'il me faut ouvrir la bouche, pour te dire adieu.  Ha !  Que l'intervalle de nos ennuis est de courte durée."")",1.38,Substitution
116,"('#pyrame', ""Ta bonne volonté n'est pas diminuée ?"")","('#thisbe', 'Console toi, puisque je souffre la moitié de tes déplaisirs.')",1.67,Substitution
117,,"('#pyrame', ""Et c'est de ta souffrance, que procèdent toutes mes douleurs."")",1.0,Deletion
118,"('#thisbe', ""Elle a crû davantage, on n'a fait que jeter Du souffre dans la flamme afin de l'irriter. Je suis d'un naturel à qui la résistance Renforce le désir, l'espoir et la constance. Je crois qu'on me verrait mourir autant de fois Qu'on me force d'ouïr ces importunes voix, Sinon que mon amour de plus en plus persiste Et brûle davantage alors qu'on lui résiste. Et je n'ai rien de cher comme une occasion De tout ce qui saurait nourrir ma passion, Puisqu'au divin objet dont je suis amoureuse Le sort veut que je sois parfaitement heureuse, Que tu mérites bien l'inviolable foi, Que jusques au tombeau je garderai pour toi."")","('#thisbe', 'Pourquoi me veux tu ravir la gloire de mes tourments ?')",0.49,Substitution
119,"('#pyrame', ""Et moi, si le tombeau laissait encore aux âmes Quelque petit rayon de leurs défuntes flammes, Je n'aurais autre feu que toi dans les Enfers, Et dedans leurs prisons je n'aurais que tes fers. Mais parmi nos discours nous ne prenons pas garde Que ce doux entretien dont Amour nous retarde, S'il n'est bien ménagé nous manquera bientôt."")","('#pyrame', ""Parce qu'elle n'est due qu'à ma constance, ayant assez de courage pour endurer, et tes maux, et mes peines."")",0.8,Substitution
120,"('#thisbe', ""Hélas ! Ne pourrons-nous jamais dire qu'un mot ! Les oiseaux dans les bois ont toute la journée À chanter la fureur qu'Amour leur a donnée ; Les eaux et les zéphyrs quand ils se font l'amour Leur rire et leurs soupirs font durer nuit et jour."")","('#thisbe', ""He, quoi l'amour réciproque que nous nous sommes vouée, ne t'a-[t-]elle pas encore appris que comme mon ennui te fait soupirer, ta tristesse est la cause de mes larmes ?  Adieu, le Temps s'écoule si doucement en ta compagnie, qu'à peine puis-je croire, qu'il y ait un moment que nous parlons ensemble."")",0.37,Substitution
121,,"('#pyrame', ""Adieux puisque tu le veux, mais souvienne toi que je ne t'oublierai jamais."")",1.0,Deletion
122,,"('#thisbe', ""Adieu puisqu'il le faut, et pense toujours, que tu es ma seule pensée."")",1.0,Deletion
123,,"('#pyrame', 'Quand te verrai-je [?]')",1.0,Deletion
124,,"('#thisbe', 'Demain.')",1.0,Deletion
125,,"('#pyrame', 'Le terme est bien long.')",1.0,Deletion
126,"('#pyrame', ""Il se faut retirer de crainte qu'il n'arrive Que de ce peu de bien encore on ne nous prive."")","('#thisbe', 'Accourcis le tant que tu voudras.')",1.2,Substitution
127,"('#thisbe', 'Dans une heure au plus tard je reviens donc ici.')","('#pyrame', 'Ce sera donc dans une heure.')",0.55,Substitution
128,,"('#thisbe', 'Et plutôt si je puis.')",1.0,Deletion
129,,"('#pyrame', 'Amours favorise nos entreprises puisque tu es le Dieu de nos autels.')",1.0,Deletion
130,"('#pyrame', 'Et moi je serai mort si je ne viens aussi. ')","('#syllar', 'Si tu veux être compagnon du péril, je te ferai part de ma fortune.')",1.68,Substitution
131,"('#deuxis', ""Syllar, je suis troublé d'un funeste présage, Un glaçon de frayeur m'étreint tout le courage, Pensant à tel dessein je me remets aux yeux Les justes jugements des hommes et des Dieux."")","('#deuxis', ""Le crime m'étonne plus que le péril, je crains la honte autant que la peine."")",0.51,Substitution
132,,"('#syllar', 'Tu as trop de considération pour un misérable.')",1.0,Deletion
133,"('#syllar', 'Quoi ! Tu manques de coeur !')","('#deuxis', 'Et tu en as trop peu pour un malheureux.')",0.83,Substitution
134,,"('#syllar', ""C'est le malheur où je suis qui me donne le courage."")",1.0,Deletion
135,,"('#deuxis', ""Et c'est lui-même qui me l'ôte"")",1.0,Deletion
136,,"('#syllar', 'As tu peur de mourir ?')",1.0,Deletion
137,,"('#deuxis', 'Oui coupable.')",1.0,Deletion
138,,"('#syllar', 'Crois-tu éviter le destin ?')",1.0,Deletion
139,,"('#deuxis', ""Je ne m'enquiers pas du pouvoir des Destinées : mais j'ai la liberté de faire le bien, ou le mal."")",1.0,Deletion
140,,"('#syllar', ""Est-ce mal fait d'obéir à nos souverains ?"")",1.0,Deletion
141,,"('#deuxis', 'Oui, lorsque leurs commandements font injustes et tyranniques.')",1.0,Deletion
142,,"('#syllar', 'Un sujet ne doit jamais raisonner avec son Roi, sa volonté absolue fait les lois inviolables.')",1.0,Deletion
143,,"('#deuxis', 'À quoi nous sert donc la raison en la connaissance du mal ?')",1.0,Deletion
144,"('#deuxis', ""Je sens, de la contrainte En ce que j'entreprends, et non pas de la crainte."")","('#syllar', 'À nous persuader de le suivre dans notre servitude, par obéissance.')",0.76,Substitution
145,,"('#deuxis', 'La Raison ne peut être contraire à elle-même.')",1.0,Deletion
146,"('#syllar', ""Je connais ton courage, et c'est la cause aussi Qui fait que je t'emploie en cette affaire ici."")","('#syllar', 'Ne parlons point de la Raison, puisque nous sommes engagés si avant, il vaut mieux éprouver la libéralité du Roi que sa colère.')",1.17,Substitution
147,"('#deuxis', ""Il est beau de tenter une mort légitime Pour quelque grand exploit et qui se fait sans crime ; On appelle courage un esprit généreux Qui n'est point inhumain comme il n'est point peureux Qui meurt sur une brèche, et dont les funérailles Se font chez l'ennemi sous un bris de murailles ; Le trépas est louable ou ignominieux, Selon que le sujet est lâche ou glorieux ; Mais pense à quelle fin nous avons pris l'épée, À quel exploit sera notre main occupée ! Quoi ! sans être offensés nous nous voulons venger ! Quand on n'a point de haine on n'en saurait forger."")","('#deuxis', ""Une mort innocente est préférable à une vie criminelle, quelque fortune qui l'accompagne."")",0.94,Substitution
148,,"('#syllar', 'Les Rois sont les innocents, et les coupables, quand il leur plaît.')",1.0,Deletion
149,"('#syllar', 'Notre commission donne toute licence.')","('#deuxis', 'La conscience est toujours notre juge.')",1.68,Substitution
150,"('#deuxis', ""On ne peut sans remords s'en prendre à l'innocence ; Il ne nous a rien fait, nous le voulons tuer."")","('#syllar', ""Nous ne sommes qu'instruments de la passion d'autrui, le crime de nos actions rejaillira sur celui qui en est le complice."")",0.41,Substitution
151,"('#syllar', 'La volonté du Roi se doit effectuer.')","('#deuxis', ""Tu me tentes si puissamment je suis contraint de me rendre, mettons la main à l'oeuvre."")",1.16,Substitution
152,,"('#syllar', 'Il faut attendre ici la proie pour la guetter au passage[.] Mais je la vois qui vient droit à nous, courage compagnon.')",1.0,Deletion
153,,"('#pyrame', 'Ha traîtres, je vous ferai porter par avance la peine de votre crime.')",1.0,Deletion
154,,"('#deuxis', 'Je suis mort, ô Dieux que vous êtes justes en la punition des coupables !')",1.0,Deletion
155,,"('#pyrame', 'Perfide croyais-tu éviter leur vengeance.')",1.0,Deletion
156,"('#deuxis', 'Si quelque excès léger contentait sa colère, Je crois que justement on lui pourrait complaire ; Mais en un fait semblable, en une trahison, Chacun le peut dédire avec trop de raison.')","('#deuxis', 'Donne moi la liberté avant que mourir de te dire le sujet de mon malheur, et de ta disgrâce.')",0.44,Substitution
157,,"('#pyrame', 'Quel prétexte peux tu prendre, pour autoriser ta méchanceté, parle déloyal.')",1.0,Deletion
158,,"('#deuxis', ""Tu sauras que le Roi nous avait commandé de te tuer, ne voulant point avoir de rival en ses passions, tire ton profit de ma perte.  Je meurs content de te sauver la vie, après te l'avoir voulu ravir."")",1.0,Deletion
159,"('#syllar', ""En dédisant son Roi, quelque juste apparence Que puisse prendre un peuple, il commet une offense ; Comme les Dieux au Ciel, sur la terre les Rois Établissent aussi des souveraines lois ; Ils partagent égaux ce que le monde enserre : Les Dieux sont Rois du Ciel, les Rois Dieux de la terre ; Jupiter d'un clin d'oeil fait les astres mouvoir, Et nos Princes sur nous ont le même pouvoir ; À la grandeur des Dieux leur grandeur se figure, Comme au vouloir des Dieux leur vouloir se mesure."")","('#pyrame', ""Ô Dieux, où trouverai-je un abri à l'épreuve de vos foudres ?  Car les Rois sont les Dieux de la terre, avec quelles armes me défendrai-je contre leur force indomptable, il faut songer à ma retraite, le conjure Pluton par les charmes de l'amour, dont il a autrefois éprouvé la puissance, d'être favorable à ton ombre."")",0.51,Substitution
160,"('#deuxis', 'Il leur faut obéir si leur commandement Imite ceux des Dieux qui font tout justement.')","('#le-roi', ""Je meurs d'impatience de savoir le succès de mes commandements."")",1.3,Substitution
161,,"('#syllar', ""Sire j'apporte des tristes nouvelles à votre Majesté."")",1.0,Deletion
162,,"('#le-roi', 'Comment vit-il encore.')",1.0,Deletion
163,,"('#syllar', ""Tout le peuple s'est rangé de son côté pour la défense,  mon compagnon y est demeuré sur la place, et à peine ai je pu me sauver à la fuite."")",1.0,Deletion
164,"('#syllar', ""Enquérir leur secret tient trop du téméraire ; C'est aux Rois à le dire, et à nous à le faire ; S'il a mal commandé, l'homicide commis Tombera sur sa tête, et nous sera remis : Le devoir ignorant rend une âme innocente."")","('#le-roi', ""À quoi me servent mon sceptre et ma couronne, si je suis contraint de recevoir la loi de mes sujets, souffrirai-je cette honte : je veux faire voir ce que peut un Roi en sa colère.  Mais avant que me porter à cette extrémité, il faut suivre une dernière fois les conseils de l'Amour.  Qu'on m'amène ici cette cruelle, qui tient incessamment mon esprit et mon corps la gêne.  Ô que j'ai de la peine à contre faire le souverain, dans la servitude où je suis.  Et bien ma belle, voulez vous vivre toujours coupable du crime de lèse-majesté, en troublant le repos de votre Prince."")",0.08,Substitution
165,"('#deuxis', ""Mais connaissant le mal, il faut qu'elle y consente. Un devoir ignorant ? Eh quoi, ne vois-tu pas Qu'on brasse à l'innocent un perfide trépas, Que l'Enfer un pareil n'en saurait faire naître ?"")","('#thisbe', ""Sire mes pensées ne connaissent point le crime dont vous m'accusez.  Je sais trop bien le respect, et l'obéissance, que je dois à votre Majesté, pour en être jamais convaincue."")",0.6,Substitution
