,donneau-de-vise-amours-du-soleil,dorneval-jugement-de-paris,Cost,Operation Type
100,"('#apollon', ""Princesse, vous voyez un Dieu tout plein d'amour,  Un Dieu qui vous aima sitôt qu'il vous eût vue,  Et dont toute l'ardeur vous doit être connue.  Quoique de toutes parts sur ce vaste univers  Je doive incessamment avoir les yeux ouverts,  Ils ne sont occupés qu'à regarder sans cesse  Les charmes tout-puissants de ma belle Princesse,  Et je voudrais n'avoir à dispenser le jour  Qu'aux lieux où je puis voir l'objet de mon amour.  Je parais plus matin souvent sur l'hémisphère,  Et me rends chez Thétis plus tard qu'à l'ordinaire,  Et je ne fais ainsi tant durer la clarté,  Que pour voir plus longtemps votre illustre Beauté.  Cependant croirait-on que voyant tant de flamme,  Vous me cachiez toujours si je règne en votre âme,  Et n'ayez pas encor voulu me l'assurer ?  Vos soupirs, et vos yeux, me disent d'espérer ;  Mais encor que l'Amour par là se fasse entendre,  Votre bouche pourrait encor mieux me l'apprendre. "")","('#jupiter', 'Mais, Dame Vénus, je ne vois point ici votre fils.  Où est-il donc, ce petit coquin ?')",1.46,Substitution
101,"('#la-princesse', 'Comme en amour les yeux jouissent les premiers,  Ils ne se doivent pas expliquer les derniers. ')","('#venus', 'Je ne sais.  Il ne suit que sa fantaisie.')",1.15,Substitution
102,"('#apollon', ""Ah ce n'est pas assez que ce muet langage. "")",,1.0,Insertion
103,"('#la-princesse', 'Au Dieu de la Lumière en faut-il davantage ? ')",,1.0,Insertion
104,"('#apollon', ""Lorsque l'on s'aime bien, on ne peut trop parler  De la pressante ardeur dont on se sent brûler.  Quand deux coeurs sont charmés, et que chacun soupire,  On ne peut jamais trop se le dire et redire ;  Jamais de vrais Amants ne peuvent s'en lasser,  Ils trouvent de la joie à le recommencer :  C'est là tout le plaisir des âmes bien charmées,  Lorsque d'un feu pareil elles sont enflammées ;  Et lorsqu'à se le dire on a passé des mois,  On croit le dire encor pour la première fois.  On n'y consomme pas seulement des journées,  À se le dire qu'on s'aime on passe des années,  Et dans certains moments, pour en convaincre mieux,  On l'assure du coeur, de la bouche, et des yeux. "")",,1.0,Insertion
105,"('#la-princesse', ""L'air dont vous en parlez, et vos yeux pleins de flamme,  Font voir que ce plaisir touche souvent votre âme. "")",,1.0,Insertion
106,"('#apollon', ""Ah ! Si je le pouvais goûter avecque vous,  Il n'aurait jamais eu pour moi rien de si doux.  Ma Princesse, parlez, et que de votre bouche  J'apprenne s'il est vrai que mon amour vous touche. "")",,1.0,Insertion
107,"('#la-princesse', 'Ah ne me pressez point, hélas ! ')","('#mercure', ""Vous ne l'attendrez pas longtemps.  Le voici."")",0.92,Substitution
108,"('#apollon', 'Vous rougissez ! ')","('#venus', ""Hé, d'où venez-vous donc, petit fripon."")",1.26,Substitution
109,,"('#l-amour', 'Oh, dame !  Chacun a ses affaires.')",1.0,Deletion
110,"('#la-princesse', 'Cette prompte rougeur vous en apprend assez. ')",,1.0,Insertion
111,"('#apollon', ""Que votre bouche donc achève de m'instruire. "")","('#venus', ""Comme vous répondez !  Qu'avez-vous donc ?  Quelle mine vous faites ?"")",1.32,Substitution
112,"('#la-princesse', ""Mon visage en dit plus qu'elle n'en pourrait dire ;  La bouche ne dit pas toujours la vérité,  Mais le visage parle avec sincérité,  Et par ses mouvements il fait toujours connaître  Ce qu'on voudrait souvent empêcher de paraître. "")",,1.0,Insertion
113,"('#apollon', ""Ah pour moi votre coeur est faiblement épris,  Si vos blâmez vos yeux de ce qu'ils m'ont appris. "")",,1.0,Insertion
114,"('#la-princesse', ""Je ne sais pas encor s'ils méritent du blâme,  Mais je songe à Clitie, et je crains que votre âme...  Vous m'entendez assez, ses charmes sont bien doux. "")",,1.0,Insertion
115,"('#apollon', ""Ah ! Princesse, croyez que je n'aime que vous. "")",,1.0,Insertion
116,"('#la-princesse', 'Mais vous aimiez Vénus, cette Déesse est belle,  Et vous aimez peut-être encor cette Immortelle. ')",,1.0,Insertion
117,"('#apollon', ""Depuis que je la fis surprendre avecque Mars,  Tous ses charmes n'ont point attaché mes regards ;  Par là de ses mépris je sus tirer vengeance.  Je crains qu'elle n'ait pas oublié cette offense,  Et que voulant de moi se venger à son tour,  Elle ne soit ici pour troubler notre amour :  Dans un nuage épais elle vient de descendre ;  Des pièges de Vénus saurez-vous vous défendre ?  Ma Princesse, parlez. "")","('#l-amour', ""Je ne saurais la faire meilleure, tant que je verrai devant moi ce benêt d'Hymen.  C'est ma bête."")",1.08,Substitution
118,"('#la-princesse', 'Aimez-moi toujours bien,  Et pour nous désunir, Vénus ne pourra rien. ')",,1.0,Insertion
119,"('#apollon', ""Que me demandez-vous ? Ignorez-vous ma flamme ?  Ah, Princesse, on n'en peut trouver plus dans une âme ;  Et vous me demandez encor de vous aimer,  Quand vos divins appas m'ont si bien su charmer. "")",,1.0,Insertion
120,"('#la-princesse', ""Quand vous m'en assurez, n'en fais-je pas de même ?  Demander de l'amour, c'est dire que l'on aime. "")",,1.0,Insertion
121,"('#apollon', ""Ah demandez-en donc souvent, et que nos coeurs  Par ces tendres souhaits s'expliquent leurs ardeurs. "")","('#l-hymen', ""En vain vous faites la grimace ; Je triomphe en cet heureux jour. Cédez le pas de bonne grâce. Air 2 : Quand je tiens de ce jus d'Octobre."")",0.84,Substitution
122,"('#la-princesse', ""Quand on s'est pu résoudre à rompre le silence,  On dit ce que l'on sent plus souvent qu'on ne pense. "")",,1.0,Insertion
123,"('#apollon', ""Ah quand on le dirait mille fois en un jour,  Ce serait encor peu pour des coeurs pleins d'amour. "")",,1.0,Insertion
124,"('#la-princesse', ""Mais ma crainte toujours me présente mon père,  Sa cruauté me fait redouter sa colère,  Dans mes songes souvent je crois qu'il me surprend :  Mais hélas ! Je le vois. Dieux, que mon trouble est grand !  Le Roi et Théaspe paraissent, et se parlent bas, en examinant Apollon et la Princesse. "")","('#l-amour', ""Cédez-le vous-même à l'Amour. Ah ! Voyez donc comme il est fait ! Avec ton air plat et discret. Tu fais trop le Dieu d'importance. Y-avance , y-avance, y-avance, Avec ton habit d'ordonnance. Ha, ha, ha !  Regardez un peu ce nigaud, avec sa face de papier mâché. Riant. Air 85 : Y-avance, y-avance."")",0.62,Substitution
125,"('#apollon', ""Ne vous alarmez point, ma divine Princesse :  Brouillards, entourez-moi. Que votre crainte cesse.  Un brouillard fort épais s'élève, entoure Apollon, et se dissipe, sans qu'on sache ce que ce Dieu est devenu. "")",,1.0,Insertion
126,"('#la-princesse', 'Pendant que ce brouillard nous cache, éloignons-nous. ')",,1.0,Insertion
127,"('#theaspe', ""Ah vous aviez sujet d'avoir tant de courroux :  Approchons-nous, Seigneur. Mais quelle épaisse nue ! "")","('#jupiter', 'Mes enfants, point de querelle.')",1.47,Substitution
128,"('#le-roi', 'Elle les a trop tôt dérobés à ma vue.  Tout ceci me surprend, est-ce un enchantement ? ')","('#l-amour', ""Je suis fâché d'être venu ici, puisque je l'y trouve."")",1.31,Substitution
129,"('#theaspe', ""Mais l'avez-vous bien vu, ce criminel amant ? "")",,1.0,Insertion
130,"('#le-roi', ""Me serai-je trompé ! Non, non, j'ai vu le même  Qui brûle pour ma fille, et que je crois qu'elle aime ;  Ils jouissaient tous deux d'un paisible entretien :  Mais tout est dissipé, je n'aperçois plus rien. "")",,1.0,Insertion
131,"('#theaspe', 'Il mourra de mes coups, ce jeune téméraire.  Seigneur, votre intérêt excite ma colère,  Et sa témérité ne se saurait souffrir. ')",,1.0,Insertion
132,"('#le-roi', 'Et je les veux aussi faire tous deux périr. ')",,1.0,Insertion
133,"('#theaspe', 'Ah, Seigneur, vous devez épargner votre fille. ')",,1.0,Insertion
134,"('#le-roi', 'Non, son amour fait trop de honte à sa famille. ')",,1.0,Insertion
135,"('#theaspe', ""C'est sur l'Amant que doit tomber votre courroux ;  Dans peu vous le verrez accablé de mes coups. "")",,1.0,Insertion
136,"('#le-roi', ""Prince, vous faites voir, en montrant tant de zèle,  Qu'on ne saurait trouver un sujet si fidèle. "")","('#l-hymen', ""Malgré cette humeur vaine, Dans plus d'une maison, Boudrillon, Vous ne pouvez,, sans peine, Entrer que sous mon nom, Boudrillon. Petit boudrillon, Boudrillon, dondaine, Petit boudrillon, Boudrillon, dondon. Tout beau, Seigneur Cupidon.  Ma compagnie vous fait honneur, au moins. Air 122 : Petit Boudrillon."")",1.12,Substitution
137,"('#theaspe', ""Mes mouvements aussi sont plus que d'un sujet :  Mais pour bien réussir enfin dans un projet,  Que pour tout découvrir, Seigneur, je viens de faire,  Et qui fera sans doute éclaircir ce mystère,  Il faudrait que tantôt, sans lui témoigner rien  Ni de votre courroux, ni de notre entretien,  Je susse adroitement de la Princesse même  Quel est l'heureux Amant... "")","('#l-amour', ""Il est vrai que vous êtes un prête-nom.  Mais sans moi, mon ami, vous auriez l'air d'attendre longtemps la pratique."")",0.73,Substitution
138,"('#le-roi', ""Oui, par ce stratagème,  Des secrets de son coeur vous serez éclairci.  Pour cacher nos chagrins, éloignons-nous d'ici. "")","('#l-hymen', 'Pourquoi donc, sans vous ?')",1.62,Substitution
139,"('#theaspe', 'Apollon, dites-vous, adore la Princesse ? Ah ! Que je suis à plaindre, adorable Déesse ! ')",,1.0,Insertion
140,"('#venus', ""Vous l'aimez ? "")",,1.0,Insertion
141,"('#theaspe', ""Oui je l'aime et l'aimerai toujours. "")",,1.0,Insertion
142,"('#venus', ""Sachez donc que je viens traverser leurs amours,  Et qu'Apollon m'ayant lâchement outragée,  De ce Dieu que je hais, je veux être vengée.  On verra dans ce jour ma haine triompher ;  La Discorde, l'Envie, et les Filles de l'Enfer,  Serviront mon courroux, et l'on verra peut-être...  Mais c'est assez, le temps vous fera tout connaître. "")","('#l-amour', ""J'aveugle les amants Qui prennent votre chaîne ; C'est moi qui vous les mène, Qui, cachant vos tourments, Leur peins vos noeuds charmants, Après tout, vous n'avez que mes restes. Air 19. Ne m'entendez-vous pas ?"")",0.42,Substitution
143,"('#theaspe', 'Quoi ! Vénus dont partout on vante la douceur,  A de tels sentiments abandonne son coeur ? ')","('#l-hymen', 'Oh !  Je me passe de vous assez souvent.')",1.75,Substitution
144,"('#venus', ""Ah ! Quand on ne saurait oublier une offense,  De quelque humeur qu'on soit, on aime la vengeance.  Si lorsque dans l'amour tout rit à nos désirs,  Ce succès fait sentir mille et mille plaisirs :  Lorsque l'on peut tirer une vengeance pleine,  On en sent encor plus du succès de la haine ;  Et les plus doux plaisirs que l'on goûte en aimant,  Ne se font pas au coeur sentir si vivement. "")","('#l-amour', ""Oui ; mais cela va d'une belle dégaine, quand je ne suis pas de la partie."")",1.66,Substitution
145,"('#theaspe', ""Pendant que tout entier votre coeur s'abandonne  Aux sensibles plaisirs que la haine vous donne,  Votre fier ennemi dont le coeur est charmé,  Goûte tranquillement le plaisir d'être aimé. "")","('#l-hymen', ""Allez.  Vous n'êtes qu'un libertin."")",1.35,Substitution
146,"('#venus', ""Comme c'est dans l'amour que je fus outragée,  C'est par l'Amour aussi que je serai vengée :  C'est pourquoi j'ai voulu qu'Apollon fût charmé,  J'ai voulu qu'il goûtât le plaisir d'être aimé ;  Il en sentira mieux les effets de ma haine,  Et ce sont ses plaisirs qui causeront sa peine :  Et pour m'en bien venger, je veux qu'à l'avenir  Il n'ait de son amour qu'un cruel souvenir ;  Et je prétends enfin que ses plaisirs finissent.  C'est ainsi que Vénus, et que son Fils punissent. "")",,1.0,Insertion
147,"('#theaspe', 'Je puis donc espérer. ')",,1.0,Insertion
148,"('#venus', ""Le temps vous fera voir  Si votre coeur devra nourrir beaucoup d'espoir.  Cependant agissez, parlez à la Princesse,  Tâcher de la toucher, montrer votre tendresse,  Vous pourrez rencontrer quelques moments heureux,  Quand ma haine agira pour traverser leurs feux. "")",,1.0,Insertion
149,"('#theaspe', ""Pour ne m'en pas saisir, je ressens trop de flamme ;  Mais toujours Apollon régnera dans son âme,  C'est un Dieu trop aimable, et qui met tout en feu.  Ah ! Faut-il que je trouve un Rival en un Dieu ?  Que vois-je ! Est-ce Clitie ? Oui sans doute, c'est elle. "")","('#l-amour', ""L'Hymen vient quand on l'appelle, L'Amour vient quand il lui plaît. Et vous, qu'un vil esclave.  Écoutez ce que dit l'Opéra : L'Opéra met entre nous bien de la différence comme vous voyez. Air 144. L'Hymen vient etc."")",0.54,Substitution
150,"('#theaspe', ""Je crois que vous venez chercher un infidèle,  Et venez reprocher au plus grands des ingrats,  L'injustice qu'il fait à vos divins appas.  Nymphe, vous le devez, et ce Dieu le mérite,  Quand pour Leucothoé l'infidèle vous quitte.  Vous devez traverser cette naissante ardeur,  Afin de l'obliger à vous rendre son coeur ;  Et s'il vous reste encor pour lui quelque tendresse,  Vous devez le brouiller avec cette Princesse,  Et vous venger par là, si vous ne l'aimez plus,  Des injustes mépris que vous avez reçus. "")","('#l-hymen', ""L'Opéra dit bien d'autres sottises.  C'est un impertinent, et vous aussi."")",1.2,Substitution
151,"('#clitie', 'Tout ce que font les Dieux est toujours équitable. ')",,1.0,Insertion
152,"('#theaspe', 'Hé quoi ! Vous excusez un traitement semblable ? ')",,1.0,Insertion
153,"('#clitie', ""Prince, j'ai mes raisons pour ne pas éclater,  Et jamais contre lui je ne veux m'emporter. "")",,1.0,Insertion
154,"('#theaspe', ""Vous êtes trop soumise, et d'une humeur trop douce.  Ah ce n'est pas ainsi qu'un mépris se repousse. "")","('#l-amour', 'Et vous, vous êtes un sot.')",1.55,Substitution
155,"('#clitie', 'Je crois ne devoir pas en user autrement. ')",,1.0,Insertion
156,"('#theaspe', 'Et doit-on épargner un infidèle Amant ? ')",,1.0,Insertion
157,"('#clitie', ""Mais pourquoi voulez-vous, Seigneur, que je m'emporte ?  À m'en solliciter, quelle raison vous porte ? "")","('#l-hymen', 'À qui en veut donc ce brutal ?')",1.17,Substitution
158,"('#theaspe', 'Votre intérêt tout seul. ')","('#jupiter', 'Hé-bien, hé-bien...  Cela finira-t-il ; bientôt ?  On vient ici pour se réjouir, et...')",1.36,Substitution
159,"('#clitie', ""J'en saurai prendre soin. "")","('#venus', 'Allons, mon fils, soyez sage.')",1.29,Substitution
160,"('#theaspe', 'Je crois que mes conseils... ')",,1.0,Insertion
161,"('#clitie', ""Je n'en ai pas besoin :  C'est avecque l'Amour que mon coeur en veut prendre,  Et dessus ce sujet je ne veux rien entendre. "")",,1.0,Insertion
162,"('#theaspe', ""Je dois avec l'Amour vous laisser consulter ;  Il conseille trop bien, vous devez l'écouter. "")","('#jupiter', ""Je veux que vous vous raccommodiez avec l'Hymen : Tout en ira mieux."")",1.41,Substitution
163,"('#nerice', ""Pour Apollon encor votre tendresse est forte,  Et sur tous ses mépris je vois qu'elle l'emporte :  Mais tant qu'on vous verra demeurer en ces lieux,  Et que vous souffrirez qu'Apollon à vos yeux  Étale son amour à la Beauté qu'il aime,  Croira-t-on que pour lui votre amour soit extrême ? "")",,1.0,Insertion
164,"('#clitie', ""Je ne saurais montrer mon amour en fuyant ;  J'aime Apollon, et veux mourir en le voyant :  Mes yeux vers cet Amant seront tournés sans cesse,  Sans cesse il connaîtra l'excès de ma tendresse ;  Et quand dans mes regards il verra mon ardeur,  Mes yeux seront contents au défaut de mon coeur.  Il se dira peut-être en voyant mon martyre,  Tout ce que mon dépit devrait alors lui dire ;  Lui-même il se fera des reproches secrets,  Dans le fond de son coeur prendra mes intérêts,  Et malgré tout l'excès de sa nouvelle flamme,  Ma vue excitera des troubles dans son âme. "")",,1.0,Insertion
165,"('#nerice', 'Et tous ces troubles-là doivent avoir pour vous,  Malgré votre malheur, quelque chose de doux. ')",,1.0,Insertion
166,"('#clitie', ""Comme toujours l'amour se nourrit d'espérance,  J'espère encore beaucoup en ma persévérance.  Quoique ces deux Amants brûlent du même amour ;  Peut-être qu'ils pourront se brouiller quelque jour,  Et qu'alors Apollon oubliant la Princesse,  Se sentira pour moi sa première tendresse,  Et me rapportera d'un air tendre et confus  Son coeur, qu'il lui rendrait, s'il ne me trouvait plus.  Mais quand je ne ferai, pour en tirer vengeance,  Qu'alarmer ma Rivale ici par ma présence,  Et leur faire souvent étouffer des soupirs,  J'aurai le doux plaisir de troubler leurs plaisirs.  Je sais bien qu'Apollon lui jure qu'il l'adore ;  Mais malgré cet amour j'ai son estime encore :  Ses assiduités qu'il partage entre nous,  Font goûter quelque joie à mon esprit jaloux,  Et volant à leurs feux tout le temps qu'il me donne,  Font que l'on doute encor si ce Dieu m'abandonne. "")",,1.0,Insertion
167,"('#nerice', 'La Princesse paraît. ')",,1.0,Insertion
168,"('#clitie', ""Mon coeur se trouble, hélas !  Le sien est satisfait, et le mien ne l'est pas. "")",,1.0,Insertion
169,"('#la-princesse', 'Nymphe, vous soupirez. ')",,1.0,Insertion
170,"('#clitie', 'Vous le voyez, Madame,  Je viens ici rêver au malheur de ma flamme :  Mais vous qui dans un Dieu possédez un Amant,  Vous y venez rêver plus agréablement. ')",,1.0,Insertion
171,"('#la-princesse', ""Un Dieu pourrait m'aimer ? "")","('#l-amour', 'Au contraire.  Sans mes petits tours de passe-passe, tout irait sans-dessus-dessous.  Voulez-vous que je vous le prouve.')",1.2,Substitution
172,"('#clitie', 'Apollon vous adore. ')",,1.0,Insertion
173,"('#la-princesse', 'Moi, dites-vous ? ')",,1.0,Insertion
174,"('#clitie', 'Oui, vous. ')","('#jupiter', 'Voyons.')",0.07,Substitution
175,"('#la-princesse', ""J'en dois douter encore. "")",,1.0,Insertion
176,"('#clitie', 'Comme il ne voit en vous que de puissants appas... ')",,1.0,Insertion
177,"('#la-princesse', ""Il peut les remarquer, et ne les aimer pas :  Mais dessus son coeur ils auraient quelque empire,  Dès qu'il m'aime, faut-il que pour lui je soupire ? "")",,1.0,Insertion
178,"('#clitie', ""Si sans montrer d'amour, ce grand Dieu peut charmer,  Quand il aime, peut-on s'empêcher de l'aimer ?  On ne voit point de coeurs qui s'en puissent défendre,  Et l'on n'attend jamais qu'il aime pour se rendre :  En lui tout est aimable, il a le coeur de Mars,  Il fait incessamment fleurir tous les beaux Arts,  Auprès d'une maîtresse il est soumis en maître,  Et sans être moins Dieu, l'Amant se fait paraître ;  Il est et l'un et l'autre ; et son divin aspect,  En imprimant l'amour, imprime le respect ;  Il gagne tous les coeurs par un charmant sourire ;  Quoiqu'on le craigne, on l'aime, et sans cesse on l'admire,  Il a l'air engageant, et plein de majesté,  Et sans abaissement, il a de la bonté ;  Il est... Mais j'en dis trop, vous l'apprendrez vous-même :  Et connaîtrez assez ce Dieu, puisqu'il vous aime ;  Il pénètre les coeurs, et les touche si bien,  Que toujours son portrait restera dans le mien.  Que vous êtes heureuse hélas ! D'en être aimée !  Et que vous en devez avoir l'âme charmée !  On ne saurait jamais se lasser d'admirer  Tous les charmes divers qui le font adorer.  Ah ! Quand je songe à lui, ma passion redouble,  J'en sens toute la force, et tout mon coeur se trouble.  Que vous êtes, Princesse, heureuse de charmer  Un Dieu dont les regards peuvent tout enflammer ! "")",,1.0,Insertion
179,"('#la-princesse', ""Ce Dieu n'a pas encor pu savoir de ma bouche,  Quoiqu'il m'aime beaucoup, si son amour me touche :  Mais après tout le bien que vous me dites de lui,  Je crois que je l'en puis assurer aujourd'hui.  Je vais donc lui promettre une constante flamme,  Je vais l'aimer enfin, et de toute mon âme ;  Et je vais dire même à ce grand Dieu du Jour,  Que c'est à vos bontés qu'il devra tant d'amour. "")",,1.0,Insertion
180,"('#clitie', ""Ah qu'ai-je fait ! Je viens de me trahir moi-même :  Mais peut-on s'empêcher de louer ce qu'on aime,  Et d'en parler enfin avec quelque chaleur,  Quand le portrait en est bien gravé dans le coeur ? "")",,1.0,Insertion
181,"('#apollon', ""Ma Princesse est ici... Mais j'aperçois Clitie,  Et crains que son amour en haine convertie...  Elle m'a vue.  Il fait deux ou trois pas pour s'en aller, et se retourne."")",,1.0,Insertion
182,"('#clitie', ""Je vois l'aimable Dieu du Jour,  Et vais auprès de lui faire agir mon amour.  Enfin vous me quittez, j'en suis trop assurée,  Et la flamme des Dieux est de peu de durée ;  Je n'en murmure point, et ne m'attendais pas  Qu'un Dieu brûlât toujours pour mes faibles appas ;  Et c'est aussi pourquoi dans mon amour extrême  Tous mes emportements tournent contre moi-même.  Quand j'ai su que mes yeux cessaient de vous charmer,  Je n'ai point souhaité de ne vous plus aimer ;  Et quoiqu'enfin ce coup me dût être bien rude,  Je ne l'ai point traité de lâche ingratitude.  Ce calme qu'en un autre on prendrait pour froideur,  Ne peut marquer en moi qu'un grand excès d'ardeur ;  Il fait voir que cherchant à ne vous pas déplaire,  Je crains de voir sur moi tomber votre colère.  Ce me doit être assez pour être au désespoir,  Que dessus vous mes yeux n'aient plus aucun pouvoir ;  Mais je vous aimerai malgré votre inconstance,  Et vous serez touché de ma persévérance.  Lorsque de quelque objet vous devenez Amant,  L'amour que vous donner dure éternellement ;  D'abord d'un si grand Dieu l'âme est toute remplie,  Et quoiqu'il change après, jamais on ne l'oublie.  Oui, dès qu'Apollon aime, il sait si bien charmer,  Qu'il charme pour le temps qu'il cessera d'aimer. "")","('#l-amour', ""Si d'une pudique flamme Le Magistrat, le Marquis Brûlait toujours pour sa femme, Que deviendraient cent belles à Paris ? Air 115 : Dans ces lieux tout rit fans cesse."")",0.73,Substitution
183,"('#apollon', 'Hélas ! ')","('#jupiter', 'Il a raison.')",0.93,Substitution
184,"('#clitie', ""C'est ce qui fait que mon âme enflammée  Du brillant Dieu du Jour sera toujours charmée. "")","('#venus', ""L'Enfant dit vrai."")",1.57,Substitution
185,"('#apollon', ""Ah, Nymphe, c'est assez, il n'était pas besoin  De m'étaler vos feux avecque tant de soin ;  Je sais bien que pour moi votre amour est extrême. "")",,1.0,Insertion
186,"('#clitie', ""Que ne me dites-vous que le vôtre est de même :  Mais quand vous le diriez, je connais trop hélas !  Que la Princesse seule a pour vous des appas.  Quoi, ce coeur qui devait m'être toujours fidèle,  Ce coeur, qui me jurait une amour immortelle,  Le croirait-on ? Ce coeur me manque enfin de foi :  Mais las ! Est-il bien vrai qu'il ne soit plus à moi ?  Répondez. J'en apprends assez par ce silence ;  D'une fidèle ardeur ah quelle récompense !  Hélas ! Qui l'aurait cru, qu'un coeur si bien charmé...  Non, vous vous contentiez seulement d'être aimé,  Vous n'aviez point l'amour que vous faisiez paraître,  Votre infidélité me le fait trop connaître.  Encor si je trouvais, en me voyant trahir,  Les sensibles douceurs qu'on goûte à bien haïr,  Ces cruelles douceurs soulageraient ma peine :  Mais mon coeur ne saurait avoir pour vous de haine :  Il se sent trop épris du charmant Dieu du Jour,  Et plus vous l'outragez, plus il sent son amour.  Mais je vous parle en vain de ce que sent mon âme,  Je ne vous touche point avecque tant de flamme ;  Non, vous ne m'aimez plus, quelle froideur hélas !  Pourquoi me la montrer, en ne m'écoutant pas ? "")","('#l-amour', ""Très souvent d'un père à béquille, Qui se voit sans espoir d'enfants, Je fais recruter la famille , Et faire honneur à ses vieux ans. Air 7 : Tu croyais, en aimant Colette."")",0.53,Substitution
187,"('#apollon', 'Je vous plains. ')",,1.0,Insertion
188,"('#clitie', ""Je craignais cette pitié cruelle  Qui ne fait voir en vous qu'un Amant infidèle.  Que vous avez bientôt oublié les moments  Où l'Amour nous causait tant d'aimables tourments !  Qu'alors en nous jurant de nous aimer sans cesse,  Nos deux coeurs faisaient voir de joie et de tendresse !  Que de brûlants soupirs ils ont alors poussés...  Mais vous ne m'aimez plus, ces moments sont passés,  Qu'ai-je fait qui me rende envers vous si coupable ?  Ai-je manqué d'amour, ou suis-je moins aimable ?  Je suis toujours la même, et telle est mon ardeur.  Mais je ne saurais plus souffrir votre froideur,  Adieu, je n'ai pas dit tout ce que sent mon âme ;  Mais croyez que pour vous elle est toute de flamme. "")",,1.0,Insertion
189,"('#apollon', ""Que tu me punis bien, Amour, d'être inconstant !  J'aime, et je suis aimé, mais sans être content.  Quand je vois tant d'amour avec tant de mérite,  Mon coeur se sent encor tout plein de ce qu'il quitte.  Quoi, je quitte Clitie, et puis cesser d'aimer  Un objet dont l'amour m'a si bien su charmer ?  Non, non, je veux l'aimer d'une ardeur éternelle ;  Mais la Princesse hélas ! Ne fut jamais si belle. "")",,1.0,Insertion
190,"('#la-princesse', 'Vous avez vu Clitie, et soupirez hélas ? ')",,1.0,Insertion
191,"('#apollon', ""Je viens de soupirer, et ne m'en défend pas ;  Mais je n'ai soupiré qu'en voyant ma Princesse. "")",,1.0,Insertion
192,"('#la-princesse', 'Je crains que pour Clitie un reste de tendresse... ')",,1.0,Insertion
193,"('#apollon', ""Je l'estime beaucoup, mais je n'aime que vous. "")",,1.0,Insertion
194,"('#la-princesse', ""Cette estime suffit pour rendre un coeur jaloux :  On vous verra pour moi quelques ardeurs légères ;  Et tant que dureront ces amours passagères,  Votre coeur cessera d'adorer ses attraits,  Mais son règne pourtant ne finira jamais.  Voilà pourquoi je veux comme elle être estimée,  Et j'aime mieux l'être enfin, que d'être aimée ;  Un partage pareil est toujours glorieux,  Et je veux plaire au coeur encore plus qu'aux yeux.  Lorsque cette estime est une fois établie,  On ne se brouille plus, jamais on ne s'oublie,  De même qu'en s'aimant on se voit chaque jour,  Et souvent cette estime a fait tort à l'amour. "")",,1.0,Insertion
195,"('#apollon', ""Ah ! Princesse, croyez que quand l'amour m'anime,  Qu'avecque mon amour vous avez mon estime. "")",,1.0,Insertion
196,"('#la-princesse', ""Cette durable estime est tout ce que je veux ;  Elle est plus que l'amour, et ne peut-être à deux. "")",,1.0,Insertion
197,"('#apollon', 'Mais... ')",,1.0,Insertion
198,"('#la-princesse', ""Mais une Beauté de la sorte estimée,  Règne autant dans un coeur, qu'une Maîtresse aimée. "")","('#jupiter', 'Cela est véritable.')",1.06,Substitution
199,"('#apollon', ""Mais quoi, lorsque pour vous je cesse de l'aimer,  Voulez-vous que je cesse de l'estimer ?  Ce serait tout d'un coup lui faire trop d'injure. "")",,1.0,Insertion
200,"('#la-princesse', ""Sous cette estime-là cependant l'amour dure.  Mais Théaspe paraît, il ne vous a point vu,  Éloignez-vous. De peur je sens mon coeur ému,  Je dois l'appréhender, il est tout pour mon père. "")",,1.0,Insertion
201,"('#theaspe', 'Je crains de lui parler, et ne dois plus me taire ;  Il est temps que mes feux... Quelle témérité ! ')",,1.0,Insertion
202,"('#la-princesse', 'Théaspe, votre esprit paraît bien agité. ')",,1.0,Insertion
203,"('#theaspe', 'Hélas ! ')","('#venus', 'Oh, pour cela, oui.')",0.63,Substitution
204,"('#la-princesse', ""Qu'avez-vous donc ? "")",,1.0,Insertion
205,"('#theaspe', ""Alors qu'un coeur soupire,  Quoiqu'on ne dise rien, c'est souvent beaucoup dire.  Amant d'une Beauté qu'en admire en ces lieux,  Et dont l'éclat répond à celui de vos yeux,  Je n'avais pas osé lui parler de ma flamme,  Je la tenais toujours renfermée en mon âme,  Et de mes seuls regards la mourante langueur  Lui parlait chaque jour de ma discrète ardeur.  Quand j'étais sur le point de rompre le silence,  La crainte et le respect me tenaient en balance,  Et ma timidité me servant beaucoup mieux,  Lui parlait de ma flamme aussi bien que mes yeux : Je ne faisais jamais rien qui lui plût déplaire,  J'étudiais ses yeux avant que de rien faire,  Je ne parlais jamais, que je ne susse bien  Que ce que je dirais ne déplairait en rien :  Enfin je prétendais avecque cette adresse,  Avant que de parler, mériter sa tendresse,  Et je croyais que plutôt je m'en ferais aimer,  Si je trouvais le moyen de m'en faire estimer. "")","('#l-amour', ""Ce Procureur à mine austère Pourrait-il, par sa maigre chère, Garder jamais de clercs chez lui, Si Madame la Procureuse, En secret plaignant leur ennui, Ne leur devenait gracieuse. C'est pourtant mon ouvrage, cela. Air 15 : Je ne suis né ni Roi, ni prince."")",0.42,Substitution
206,"('#la-princesse', 'Mais êtes-vous bien sûr aussi que cette Belle  Ait lu dedans vos yeux que vous brûliez pour elle ? ')",,1.0,Insertion
