,la-fontaine-daphne,la-motte-carnaval-folie,Cost,Operation Type
103,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",,1.0,Insertion
104,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#le-carnaval', 'Vous voulez rire ?')",1.82,Substitution
105,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')","('#la-folie', ""Non, non, apprenez une fois À connaître mieux la Folie. Je ne suis point soumise aux lois De ceux qui m'ont donné la vie ; Le contraire de leur envie Détermine toujours mon choix,"")",0.87,Substitution
106,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
107,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",,1.0,Insertion
108,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#le-carnaval', ""Quoi ! Malgré les plaisirs où l'Hymen nous convie...."")",0.47,Substitution
109,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#la-folie', 'Cet hymen, ces plaisirs ne sont plus de saison.')",1.39,Substitution
110,"('#daphne', 'Ah, Clymène ! Plains-moi.')",,1.0,Insertion
111,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#le-carnaval', 'Vous changeriez, Perfide ! Et par quelle injustice !...')",1.22,Substitution
112,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#la-folie', 'Je vous aimais sans raison, Et je change par caprice.')",0.86,Substitution
113,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#le-carnaval', 'Ciel, me réserviez-vous à ce cruel supplice !')",0.6,Substitution
114,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#la-folie', ""J'entends votre coeur soupirer De l'excès de votre martyre : Goûtez, si vous voulez, le plaisir d'en pleurer, Mais laissez-moi celui d'en rire."")",1.27,Substitution
115,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
116,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')","('#le-carnaval', ""Non, non, n'espérez pas jouir de mes douleurs."")",1.63,Substitution
117,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#la-folie', 'Ne cachez point les alarmes Que vous causent mes rigueurs : Versez du moins quelques pleurs, Pour la gloire de mes charmes.')",0.35,Substitution
118,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#le-carnaval', ""Non, non, n'espérez pas jouir de mes douleurs. Je dégage mon coeur et je vous rends le vôtre, Ce n'est plus qu'au dépit que je [m]e veux livrer, Amour, celle de m'assurer Que nous étions faits l'un pour l'autre : Ce n'est plus qu'au dépit que je me veux livrer."")",0.36,Substitution
119,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",,1.0,Insertion
120,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#la-folie', ""Vous pouvez éprouver le charme Des ondes dont ce fleuve arrose ces coteaux. Ne croyez pas que votre oubli m'alarme, Ma beauté me promet mille esclaves nouveaux."")",0.22,Substitution
121,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#le-carnaval', ""Vous serez contente, Inhumaine ; J'éteindrai tous les feux dont mon coeur est rempli Indigne d'Amour et de haine, Vous ne méritez que l'oubli. Fuyons ; souffrons enfin que la raison me guide, Je vais loin de vos yeux briser d'indignes fers : Je vais entre nous deux, Perfide, Mettre tout l'espace des mers. Allons..."")",0.08,Substitution
122,"('#tharsis', 'Je vous verrai.')",,1.0,Insertion
123,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#la-folie', ""Ah ! N'ayons pas l'affront que l'on me quitte. Neptune, tu me dois l'hommage des mortels ; C'est moi qui par leurs mains ai dressé tes Autels, Refuse ton onde à sa fuite. La mer se soulève et les vents grondent."")",0.88,Substitution
124,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#la-folie', ""Vous voyez mon pouvoir ; tous les vents furieux Ont troublé le repos de l'onde, La terre tremble, le ciel gronde, Les flots s'élèvent jusqu'aux Cieux."")",1.09,Substitution
125,,"('#choeur', 'Ciel ! ô Ciel !')",1.0,Deletion
126,,"('#la-folie #le-lethe', 'Quels malheureux périssent !')",1.0,Deletion
127,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#choeur', ""Mille abîmes profonds s'offrent à nos regards ; Les ondes et la mort entrent de toutes parts : Dieux ! ô Dieux ! Que nos cris, que nos voeux vous fléchissent, Une troupe de Matelots descendent d'un vaisseau échoué."")",0.72,Substitution
128,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')","('#la-folie', ""Ce sont mes favoris que vous voyez venir, L'orage sur ces bords les contraint de descendre : Ne vous éloignez pas ; ils pourront vous apprendre À perdre un triste souvenir."")",1.09,Substitution
129,"('#telamon', 'Ceci vous trouble et vous étonne.')",,1.0,Insertion
130,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#le-chef-des-matelots', ""Nos compagnons victimes de l'orage, Ont souffert à nos yeux un trépas plein d'horreurs ; Privés au fond des eaux des funèbres honneurs, Leurs mânes vont errer sur le fatal rivage. Ne nous exposons plus à de pareils malheurs."")",0.66,Substitution
131,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#choeur', ""Que les vents loin de nous exercent leur ravage, Évitons à jamais les écueils et l'orage."")",1.64,Substitution
132,"('#tharsis', 'Tu ris.')",,1.0,Insertion
133,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#le-lethe', ""Ô vous que le Sort livre à des maux déplorables ! Venez chercher ici la fin de vos malheurs : Avec mes ondes favorables, J'en répands l'oubli dans les coeurs."")",0.98,Substitution
134,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",,1.0,Insertion
135,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#choeur', 'De ce Dieu secourable éprouvons les faveurs. Les matelots vont boire des eaux du fleuve pendant son récit.')",1.09,Substitution
136,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",,1.0,Insertion
137,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")","('#le-lethe', 'Je calme en un instant les chagrins les plus sombres. En vain le doux Nectar fait le bonheur des Dieux : Il est encor moins précieux, Que ces paisibles eaux qui coulent pour les Ombres.')",0.64,Substitution
138,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",,1.0,Insertion
139,"('#le-choeur', 'Parmi les plaisirs et les jeux.')","('#le-chef-des-matelots #le-choeur', 'Embarquons-nous, tout rit à nos désirs ; Le vent propice nous seconde : La Fortune et tous les plaisirs Nous attendent au bout du monde.')",0.66,Substitution
140,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#la-folie', ""Arrêtez, Ingrats, arrêtez ; Et du moins en partant rendez-moi votre hommage. C'est moi qui vous trace l'image Des biens et des plaisirs que vous vous promettez, Et votre espoir est mon ouvrage. Arrêtez, Ingrats, arrêtez, Et du moins en partant rendez-moi votre hommage. Les Matelots lui rendent leur hommage. Elle les touche de sa Marotte, ce qui leur donne une nouvelle ardeur."")",0.63,Substitution
141,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#la-folie', ""L'orage en amour présage un doux sort, Le plus cher des plaisirs nous attend au port. Un beau jour s'apprête, Tout sert nos désirs : Voyez la tempête Céder aux Zéphirs. L'orage en amour présage un doux sort, Le plus cher des plaisirs nous attend au port. Passez au rivage L'hiver de vos ans, Craignez moins l'orage Dans votre printemps ; Voguez en paix et bravez la rage Des flots et des vents. L'orage en amour présage un doux sort, Le plus cher des plaisirs nous attend au port. On danse."")",0.77,Substitution
142,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#la-folie', ""Jeunesse trop timide, Venez vous embarquer ; L'amour est votre guide, Rien ne peut vous manquer : Voguez, malgré l'orage, Au gré de vos désirs ; Laissez sur le rivage Les soins et les soupirs ; Et mettez du voyage, Les jeux et les plaisirs. Les danses continuent."")",0.33,Substitution
143,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",,1.0,Insertion
144,"('#penee', 'Laissez-nous achever cette cérémonie.')",,1.0,Insertion
145,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#la-folie #le-choeur', ""Vents qui ne troublez point les flots, Régnez sur les humides plaines : Fuyez, Vents orageux , laissez l'onde en repos : Éole, resserre leurs chaînes. Les Matelots se rembarquent."")",0.18,Substitution
146,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#le-carnaval', ""La raison contre vous n'a que de faibles armes ; Je ne puis vaincre mon ardeur ; Les efforts que je fais pour oublier vos charmes, Les gravent encor mieux dans le fonds de mon coeur. Il est temps qu'à mes feux votre caprice cède, Commencez mes plaisirs, et terminez mes maux."")",0.42,Substitution
147,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",,1.0,Insertion
148,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
149,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#la-folie', 'Je vous laisse avec le remède, Vos yeux vous ont appris le pouvoir de ces eaux.')",1.36,Substitution
150,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",,1.0,Insertion
151,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#le-carnaval', ""Oui, Perfide, il est temps que mon dépit éclate: Puisons ici l'oubli de mes folles amours. Mais non, pour oublier l'Ingrate Le vin est le plus sûr secours. Éteins mes feux, brise ma chaîne, Dieu du vin, guéri ma langueur : Verse, verse à longs traits ta charmante liqueur ;  Et pour me venger de ma peine, Viens noyer l'Amour dans mon coeur. Je vais chercher Momus ; je veux qu'à tasse pleine Il m'aide à triompher de mon indigne ardeur. Bacchus, rends aujourd'hui ma victoire certaine, Verse, verse à longs traits ta charmante liqueur ; Et pour me venger de ma peine, Viens noyer l'Amour dans mon coeur."")",0.25,Substitution
152,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#momus', ""À de nouveaux transports mon ami s'abandonne ; La table et mes conseils n'ont pu l'en garantir. Pour servir son amour il m'en a fait sortir : Du moins dans l'emploi qu'il me donne, Cherchons de quoi m'en divertir. Mais la Déesse vient."")",0.38,Substitution
153,"('#telamon', ""N'en saurai-je pas plus ?"")",,1.0,Insertion
154,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
155,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#momus', ""Cruelle, à quel tourment Avez-vous livré votre amant ! Ce n'est plus cet aimable Maître Qui savait nous instruire à noyer nos chagrins ; Au milieu même des festins, Il sent son désespoir s'accroître ; Le verre lui tombe des mains, L'Univers va le méconnaître,"")",0.65,Substitution
156,,"('#la-folie', 'Quoi, Momus !')",1.0,Deletion
157,,"('#momus', ""Votre trahison L'a mis dans un trouble effroyable."")",1.0,Deletion
158,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#la-folie', ""Ah ! S'il en perdait la raison , Que je le trouverais aimable !"")",0.88,Substitution
159,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#momus', ""Si pour vous sa folie est un charme si doux, Il est depuis longtemps digne de votre flamme : Le jour qu'il soupira pour vous, La raison sortit de son âme,"")",0.8,Substitution
160,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",,1.0,Insertion
161,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#la-folie', ""Cessez donc de plaindre des feux Qui l'ont débarrassé d'une raison cruelle : N'est-il pas encor trop heureux, D'être délivré d'elle ?"")",0.55,Substitution
162,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#momus', 'Insultez-vous encore à son trouble amoureux ?')",0.82,Substitution
163,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#la-folie', ""La raison pour un coeur n'est qu'un bien rigoureux, Et sa perte est un avantage. Vous-même, seriez-vous heureux, Si vous étiez plus sage ?"")",0.88,Substitution
164,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#momus', ""Quittons des détours superflus, C'est assez éprouver votre âme : Si vous m'aviez paru trop sensible à sa flamme, Je vous aurais caché qu'il ne vous aime plus."")",0.28,Substitution
165,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')","('#la-folie', 'Quoi !...')",1.47,Substitution
166,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")","('#momus', ""De son coeur l'Amour n'est plus le maître, Ces eaux que vous-même. ..."")",0.72,Substitution
167,,"('#la-folie', 'Ah ! Le Traître !')",1.0,Deletion
168,,"('#momus', 'Elles ont fini son tourment.')",1.0,Deletion
169,"('#leucippe', 'Et mon bien ?')","('#la-folie', 'Juste Ciel ! Puis-je croire un si grand changement ?')",1.07,Substitution
170,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")","('#momus', ""l'oubli succède aux feux que vous aviez fait naître ; Affranchis désormais d'amour et de chagrin, Nous pourrons, du soir au matin, Boire à longs traits, chanter et rire : Belles, le verre en main nous braverons vos coups ; Et nous ne songerons à vous, Que pour le plaisir d'en médire."")",0.89,Substitution
171,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#la-folie', ""C'en est donc fait, tu n'es plus sous ma loi ; Ingrat, tous tes serments sont autant de parjures ; Si j'avais outragé ta foi, Qui t'empêchait, Cruel, d'éclater en murmures ? Il fallait m'accabler d'injures ; C'aurait été du moins te souvenir de moi. Je ne me connais plus dans ma douleur profonde. Que tout sente avec moi mes déplaisirs cruels, Abandonnons le soin du monde, À la triste Raison livrons tous les mortels. Déchirons, déchirons le voile salutaire, Qu'au devant de leurs yeux je déployais toujours ; Et que privés de mon secours, Ils sentent, comme moi l'excès de leur misère. Vous, allez sceptre vain, dont j'impose mes lois : Vous n'êtes plus pour moi qu'un inutile poids. Que sert tout cet éclat ? Que sert mon rangs suprême, Quand l'ingrat que j'aimais m'ose sacrifier ? Ah ! Puisqu'il a pu m'oublier, Je voudrais m'oublier moi-même ! Elle jette sa Marotte. Elle se laisse tomber."")",0.01,Substitution
172,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')",,1.0,Insertion
173,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#momus', ""La joie et la douleur, tout en elle est extrême, Cet ornement peut servir mes désirs. Mais j'ai pitié du trouble où son âme se livre. Vous, qu'elle a choisi pour la suivre, Venez, et dans son coeur rappelez les plaisirs. Prenant la marotte de LA FOLIE."")",0.66,Substitution
174,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",,1.0,Insertion
175,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')","('#choeur-des-suivantes-de-la-folie', ""Craignez de vous faire Un triste destin ; Si vous voulez plaire Chassez le chagrin : Dès que l'on s'y livre On perd ses appas. Eh ! Qui voudrAit suivre Désormais vos pas ? Est-il doux de vivre, Quand on ne plaît pas ?"")",1.1,Substitution
176,"('#telamon', 'Changera-t-il son âme ?')",,1.0,Insertion
177,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",,1.0,Insertion
178,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#la-folie', ""Quoi ! Je verrais mes appas s'effacer ! Non, non, à ma douleur j'aime mieux renoncer. Qu'avec moi le Plaisir tienne ici son empire, Que tout le ressente et l'inspire. Vous, mes chers compagnons, paraissez, venez tous, Un Rideau s'ouvre au fond du Théâtre, et laisse voir un Salon rempli de musiciens, auxquels un Maître de musique bat la mesure : Il paraît en même temps un Professeur de Folie, suivi de plusieurs écoliers."")",0.53,Substitution
179,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")","('#la-folie #le-choeur', ""Qu'en ces lieux chacun chante ; Que l'Echo chante avec nous. Tout nous rit, tout nous enchante ; Goûtons les biens les plus doux. Heureux un coeur qui s'oublie ! Devenons encor plus fous ; De notre aimable folie Rendons les sages jaloux."")",0.69,Substitution
180,,"('#le-professeur-de-folie', ""Son Professor di pazzia ; Volate, Scholari ; Sarete Dottori Nell'arte d'allegria."")",1.0,Deletion
181,,"('#choeur-de-la-suite-de-la-folie', ""Volate, Scholari ; Sarete Dottori Nell'arte d'allegria."")",1.0,Deletion
182,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",,1.0,Insertion
183,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",,1.0,Insertion
184,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
185,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",,1.0,Insertion
186,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")","('#le-professeur-de-folie', ""Cantate, cantate. Amorosi sospiri Son il canto di cuori. Il chante avec l'écolier."")",1.51,Substitution
187,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")",,1.0,Insertion
188,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",,1.0,Insertion
189,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
190,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
191,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#le-professeur-de-folie', 'E la prima lettione. La secunda ballate. Un danseur et une Danseuse dansent autour de lui.')",1.42,Substitution
192,,"('#le-professeur-de-folie', 'La terza, rimate.')",1.0,Deletion
193,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")","('#le-poete', ""L'ardore .... D'Amore ... ."")",1.41,Substitution
194,,"('#le-professeur-de-folie', 'Bene , bene.')",1.0,Deletion
195,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')","('#le-poete', ""L'ardore, D'Amore.... Egoia d'el cuore."")",1.73,Substitution
196,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#le-professeur-de-folie', ""Bene, bene, bene. Cantate, ballate, rimate : E d'ella pazzia la perfettione, À Tous."")",1.74,Substitution
197,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#choeur', ""Cantate, ballate, rimate. E d'ella pazzia la perfettione."")",1.41,Substitution
198,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")","('#le-musicien #le-choeur', ""Amour, fais-nous ressentir tes feux, Triomphe, triomphe, viens nous rendre heureux. Que tes faveurs soient pour les plus fous. Fuyez, Sagesse, Fuyez, Vieillesse, Nos tendres plaisirs ne sont pas faits pour vous, Amour, fais-nous ressentir tes feux, Triomphe, triomphe, viens nous rendre heureux. Puni les cruelles Et les inconstants ; Attendri les belles, Fixe les amants ; Qu'ils soient tous fidèles, Qu'ils soient tous contents."")",0.44,Substitution
199,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",,1.0,Insertion
200,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",,1.0,Insertion
201,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")",,1.0,Insertion
202,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#la-folie', 'Venez poursuivre ailleurs cette réjouissance ; Le changement de lieux plaît à mon inconstance.')",0.91,Substitution
203,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",,1.0,Insertion
