,andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Cost,Operation Type
117,"('#lulli', ""Je serai, je vous le promets, Un superbe muphti ; je me fais faire exprès Une barbe des mieux fournies ; La casaque trainante, à manches élargies ; Un grand turban pointu ; puis, pour son ornement, J'allume tout autour douze rangs de bougies ; L'illumination marchera gravement ; La voyez-vous d'ici ? L'effet sera charmant ; Et puis, je chanterai, sur le ton des prières : « Mahameta, per Giourdina, Mi pregar sera è mattina. » Il chante."")","('#mignard', ""Reçois le prix mérité  Qu'aujourd'hui l'amitié te donne.  Quelle réunion de tous les talents !  De toutes les vertus ! Ah !  Je le vois !  L'admiration, l'amitié, la reconnaissance n'ont ici qu'une même pensée...  Il prend une couronne dans le panier d'Antoine. Ils se groupent autour du portrait, le couronnent et y attachent des guirlandes. AIR : Jeunes amants, cueillez des fleurs. "")",0.65,Substitution
118,"('#chapelle', 'Quoi ! Tu comptes jouer toi-même ?')",,1.0,Insertion
119,"('#lulli', 'Assurément Ici Laforêt entre.')","('#lulli', 'Prévenons la postérité  Qui déjà tresse sa couronne. ')",1.23,Substitution
120,"('#chapelle', 'Baptiste, mon ami, que diront tes confrères, Les secrétaires du roi ? Leur vanité va se plaindre de toi.')","('#tous', ""Couvrons des plus aimables fleurs,  Ornons son image chérie :  Puisse le sort, par ses faveurs,  En répandre ainsi sur sa vie.  Pendant le couplet, Molière, en robe de chambre, entre en rêvant. Il s'arrête dans le fond du théâtre, et contemple cette scène avec sensibilité."")",1.05,Substitution
121,"('#lulli', ""Hé, tout comme ils voudront; il ne m'importe guère ; J'amuserai le maître , et s'ils étaient sincères, Ils conviendraient tous , par ma foi Que, s'ils savaient le faire, ils feraient comme moi."")","('#moliere', ""Mes amis !  Mes enfants !  Votre attachement vous égare.  Est-ce ainsi qu'on doit idolâtrer les hommes ?  Quelle erreur ! Mais elle est douce pour moi. J'ai reçu les faveurs de la fortune, quelquefois celles de la gloire...  Elles ne valent pas celles de l'amitié.  — Eh bien! Antoine, le jour de ton bonheur est-il enfin fixé ?  Pourrais-je....  Avec satisfaction."")",0.38,Substitution
122,"('#moliere', ""Il dit vrai.—Du souper l'heure, est je crois, prochaine ; Il ne nous manque plus que le bon Lafontaine."")","('#antoine', ""Pour que vous en soyez le témoin, le père de Madelon consent à ce que la cérémonie ait lieu demain, et nous venons vous prier d'assister au serment mutuel que nous avons tant de plaisir à faire. "")",1.27,Substitution
123,,"('#lulli', 'Dis donc à renouveler, car vous vous aimez depuis longtemps.')",1.0,Deletion
124,"('#laforet', 'Il est là bas, dans le jardin , Allant, venant le long de notre treille ; Dans sa distraction , dont rien ne le réveille, Il suit au hasard son chemin.')","('#madelon', ""Oui, messieurs, de sa tendresse  J'ai reçu le doux serment ;  Mais cette aimable promesse  Peut s'entendre à tout moment. AIR : On dit que le mariage. "")",0.86,Substitution
125,"('#despreaux', ""Eh ! oui, la poésie est son unique affaire ; Il néglige le reste ; indolent et distrait, « Il se lève au matin sans savoir pourquoi faire ; Il se promène, il va sans dessein, sans objet ; Et se couche le soir sans savoir d'ordinaire Ce que dans le jour il a fait. » "")",,1.0,Insertion
126,"('#mignard', 'Parbleu ! Voilà bien son portrait !')",,1.0,Insertion
127,"('#chapelle', ""Ajoutez-y la façon singulière Dont il est ; l'habit mal attaché, Le rabat sans devant derrière Et les bas à l'envers..."")",,1.0,Insertion
128,"('#moliere', ""Oui ; c'est là sa manière. Dans son extérieur il n'est point recherché ; Ce sont de petits soins dont il est peu touché ; Mais sous l'apparence grossière Un esprit divin est caché."")","('#lulli', ""Sans qu'ici je te l'expose,  Tu sauras, bientôt, je crois,  Qu'amour fait plus d'une chose  Qu'il aime à faire deux fois. "")",1.11,Substitution
129,"('#despreaux', ""Ah ! Divin , en effet ; vous dites vrai, Molière. Mais je pense qu'aujourd'hui Du malheureux Fouquet la disgrâce soudaine Doit affliger notre cher La Fontaine. Il perd un généreux appui !..."")",,1.0,Insertion
130,"('#moliere', ""Eh ! Bien pour adoucir ou partager sa peine, Allons tous au devant de lui. Ta soirée est riante et fraîche ce me semble ; Nous pourrons au jardin nous promener ensemble, Tandis que Laforêt prépare ce qu'il faut Pour le souper."")","('#antoine', 'Votre présence sera bien agréable pour nous. ')",0.57,Substitution
131,,"('#moliere', ""J'espère bien aussi présider à votre noce ; mais, mon ami, ne compte pas sur moi pour l'église."")",1.0,Deletion
132,"('#mignard', 'Allons.')","('#antoine', 'Comment! ')",0.0,Match
133,"('#laforet', 'Monsieur Chapelle, un mot. Tous sortent, excepté Chapelle et Laforêt.')","('#madelon', 'Et... pourquoi ?')",1.26,Substitution
134,"('#chapelle', 'Que veux-tu, Laforêt ?')","('#moliere', 'Ignorez-vous, mes enfanTs, que je suis excommunié ? ')",1.29,Substitution
135,"('#laforet', ""Il faut que je vous dise Qu'on est arrivé."")",,1.0,Insertion
136,"('#chapelle', 'Qui ?')","('#antoine', 'Excommunié !')",1.06,Substitution
137,"('#laforet', 'Les dames dont tantôt  Vous me parliez ici ; toutes deux sont là haut, Dans ma chambre ; la fille à présent se déguise...')","('#madelon', ""Qu'est-ce que c'est que ça."")",1.92,Substitution
138,"('#chapelle', ""Tu leur as donc permis d'entrer ?"")","('#mignard', ""Ce que c'est !...  Tous les ans, ma chère, le pape défend l'entrée de l'église aux rats, aux sorciers, aux sauterelles, au diable et aux comédiens.... à lui surtout."")",1.52,Substitution
139,"('#laforet', ""Certainement ; Et si vous m'aviez dit, dès le premier moment, Qui c'était !"")","('#madelon', 'Quel mal avez-vous donc fait ? ')",0.83,Substitution
140,"('#chapelle', ""J'ai voulu t'en donner la surprise. J'ai besoin de les voir...."")","('#lulli', 'Quel mal !  Quel mal !  Il a dit.... la vérité.')",1.9,Substitution
141,"('#laforet', ""Vous n'avez qu'à monter."")",,1.0,Insertion
142,"('#chapelle', ""L'Amour est du complot ; Bacchus le favorise ; Sur un succès heureux j'ose presque compter."")","('#moliere', ""Partout l'auteur de la nature  Reçoit notre encens et nos voeux,  Et par une conduite pure  Nous saurons bien nous venger d'eux.  Donnons toujours, donnons l'exemple,  Bientôt, plus aimés, mieux connus,  Nous ferons du théâtre un temple  Et de talents et de vertus.  Laissons-là les imprécations des prêtres. AIR : Avec les jeux dans le village. "")",0.88,Substitution
143,,"('#antoine', ""Ce n'est pas Dieu, je le vois bien, ce sort les prêtres qui repoussent les comédiens. "")",1.0,Deletion
144,,"('#laforet', 'Oui.... par jalousie de métier. ')",1.0,Deletion
145,,"('#moliere', 'Ce mot là ne sera pas perdu. ')",1.0,Deletion
146,"('#laforet', ""J'augure bien aussi, moi, de son entremise. À leurs projets je suis d'humeur à m'y prêter ; On veut faire la paix ; ma foi ! J'en suis ravie ! Mon pauvre maître avait tant de chagrin !... Labrie, Lesbin, allons, ici qu'on mette le couvert  De la glace et du vin ! .... j'aurai soin du dessert ! .... Mais quelqu'un vient ! ... ma surprise est extrême ! Eh ! c'est monsieur Lafontaine lui-même. Tandis que ces messieurs le cherchent au jardin, Il en sera sorti par un autre chemin. Pendant ce petit monologue de Laforêt, on apporte la table et le souper."")","('#moliere', ""Demain la noce se fera ici ; mais ce soir venez me retrouver avec le tabellion ; nous avons une petite affaire à terminer, et je vous promets d'assister aux fiançailles, si elles se font assez tard pour que j'y paraisse.... sans scandaliser.  Adieu, mes enfants...  À ce soir."")",0.37,Substitution
147,"('#la-fontaine', ""Mon élégie est faite, et mon âme affligée, En exhalant ces vers, s'est au moins soulagée !"")","('#laforet', ""Mes bons amis, vous n'êtes guère curieux ; vous savez que je reçois du monde ce soir, et vous ne me demandez pas les noms des convives !...  Remerciez-moi.  J'ai écrit à Chapelle, à La Fontaine, et ils viendront souper avec nous.  Il y a longtemps que nous ne nous somme réunis, et je veux, puisque je suis un peu rétabli, égayer notre soirée.  Boileau viendra, je crois, aussi, quoiqu'il ne me l'ait pas assuré. Et toi ; songes à nous bien traiter. À Laforêt."")",1.15,Substitution
148,,"('#laforet', 'Vous voulez faire grande chère ? ')",1.0,Deletion
149,,"('#moliere', 'Sans doute. ')",1.0,Deletion
150,,"('#laforet', 'Et votre régime!  Ah ! Mon maître souvenez-vous que Monsieur Fleurant vous a défendu de voir beaucoup de monde. Avec intérêt.')",1.0,Deletion
151,"('#laforet', 'Par où donc avez-vous passé ? Monsieur !... Peut-on sans vous distraire ?')","('#moliere', 'Oui : eh bien ? ')",0.94,Substitution
152,,"('#laforet', ""Vous n'avez pas un médecin pour marcher comme ça sur ses ordonnances. "")",1.0,Deletion
153,"('#la-fontaine', ""Devait-il éprouver la fortune contraire, Celui que si longtemps elle avait caressé ? Ce grand Sur-intendant, lui qu'admirait la France, Voit tomber tout d'un coup son honneur, sa puissance ! Un jour, un seul jour l'a perdu. Le vent frappe et détruit l'arbre qui lui résiste ; L'humble roseau plie et subsiste, Par sa faiblesse défendu."")","('#moliere', ""J'ai pris un savant médecin,  Je hais la médecine.  Mon docteur a le coup d'oeil fin,  L'humeur vive et badine.  Nous causons ensemble, et je ris  Des remèdes qu'il cite :  Je n'en prends aucuns, je guéris....  Fleurant se félicite. AIR de Joconde. "")",1.06,Substitution
154,,"('#lulli', 'Il ne faut rien faire qui nuise à ta santé ; songes que depuis plus de quinze jours le théâtre te redemande.')",1.0,Deletion
155,,"('#moliere', ""Oui ; mais voilà plus de quinze scènes que j'ai faites depuis, et mon médecin m'en a fourni plus d'une."")",1.0,Deletion
156,,"('#mignard', ""C'est ainsi que Molière tire parti de tout, et fait des habits à toutes les tailles. "")",1.0,Deletion
157,,"('#lulli', ""Cela n'est pas étonnant, il est fils d'un tailleur."")",1.0,Deletion
158,,"('#moliere', ""Ah !...  Lulli !  Trève pour les pointes... jusqu'au dessert "")",1.0,Deletion
159,,"('#laforet', 'Je vois bien que le souper aura lieu, au moins promettez-moi que vous ne prendrez que du lait.')",1.0,Deletion
160,"('#laforet', 'Je sais ce qui le rend si triste ; Il plaint Monsieur Fouquet ; il en a bien sujet.')","('#moliere', ""Hélas! dans le siècle où nous sommes,  On doit farder la vérité :  Que ne suis-je au temps où les homme.  Parleront avec liberté!  S'il m'etait permis de tout dire,  Que de vices seraient proscrits ?  Mais ce que je ne puis écrire,  Je le pense avec mes amis. Je te le promets ; mais j'ai besoin de voir mes amis, et de rire avec eux des ridicules que ma plume, déjà trop hardie, n'ose pas encore mettre sur la scène.  AIR : Tout roule aujourd'hui dans le monde. "")",1.11,Substitution
161,"('#la-fontaine', ""Vous parlez de Monsieur Fouquet ? Qu'en dit-on? que fait-il? souffrez que je réclame..."")","('#lulli', 'La Fontaine viendra sans doute par le bois de Boulogne ; je vais au devant de lui.')",1.4,Substitution
162,"('#laforet', 'Eh ! quoi donc ?...')",,1.0,Insertion
163,"('#la-fontaine', ""Vous prenez à lui de l'intérêt ; Auriez-vous à la cour quelque crédit, Madame ?"")","('#moliere', ""Combien j'ai de choses en arrière !...  Voici des lettres que je n'ai pas encore lues...  Voyons....  De la Thorillière ?  Que me mande-t-il ?  Un nouveau succès...  Bravo !...  Écoutez, écoutez...  Voici du comique.  Je te préviens, mon ami, que les Poquelins, pour assurer leur nouvelle noblesse, viennent de faire de faire dresser leur généalogie."")",1.08,Substitution
164,"('#laforet', 'Moi ?... Moi ?... Mais je suis Laforêt. Regardez-donc.')","('#mignard', 'Bon !  Quelle sottise !')",1.58,Substitution
165,"('#la-fontaine', ""Ah !... Ah !... c'est vrai. Dans sa détresse Je dois me souvenir de ce qu'il fit pour moi, Et lui rendre aujourd'hui tendresse pour tendresse. Si je puis le servir, oh ! Dieu ! Quelle allégresse ! On a souvent besoin d'un plus petit que soi. Mais que tenter ? Que faire ? Espérance trop vaine ! Dans le monde je ne puis rien, Moi qui n'ai ni crédit ni bien, Moi qui suis, quoi ? Jean La Fontaine... J'aurai beau m'efforcer et prendre de la peine ; J'ai bien, la volonté ;. mais je n'ai nul moyen... Que ce faible talent que j'obtins en partage Paye au moins son tribut au malheur d'un ami !  Il fait assez d'ingrats !..... La fortune volage Ne peut me détacher de cet objet chéri ; Je lui donne des vers, ne pouvant davantage... Il retombe dans sa rêverie."")","('#moliere', ""Si j'obtiens des succès nombreux,  Si la gloire m'est favorable,  Par son mépris injurieux  En vain ma famille m'accable.  Dans un art par-tout estimé,  C'est sur-tout, c'est l'homme qui brille ;  Les grands hommes qui l'ont formé  Sont ses aÎeux, sont sa famille.  .... Je l'ai vue chez ton oncle Bartholomé, le seul qui ait voulu accepter ses entées à notre théâtre ; mais en vain j'y ai cherché ton nom : ton père, y est-il dit, est mort sans enfants.  — Ah! ah! .... ainsi donc ma famille me renie ?  N'importe, Molière, travaille toujours, travaille pour ton siècle, et s'il se peut, pour la postérité. AIR : Vaudeville de l'Isle des femmes. "")",0.18,Substitution
166,"('#despreaux', ""Ah ! Le voici lui-même !... Où s'était-il caché ?"")",,1.0,Insertion
167,"('#chapelle', 'Tu nous as fait courir.')",,1.0,Insertion
168,"('#la-fontaine', ""Vraiment ?... J'en suis fâché, De quelqu'autre côté j'étais allé sans doute. De Paris jusqu'ici j'ai fait à pied la route; J'ai passé ma journée à composer des vers, Une triste élégie où ma plaintive muse De son cher bienfaiteur déplore le revers ; L'ouvrage est assez bon, si l'orgueil ne m'abuse."")","('#laforet', ""Tous vos parens sont bien malins ;  Mais ils auront beau dir', beau faire,  On oubliera les Poquelins,  On n'oubliera jamais Molière.  Je ne me connais point en généalogie ; mais ce que je sais, je le sais bien, et tenez....  AIR : Nous sommes précepteurs d'amour. "")",0.46,Substitution
169,"('#despreaux', 'Montrez-le ; nous verrons.')",,1.0,Insertion
170,"('#la-fontaine', ""Non, ce n'est pas l'instant D'occuper vos esprits d'un objet attristant ; Moi-même j'ai plutôt besoin de me distraire, Et je veux être à vous entièrement ce soir, Mes amis !"")","('#moliere', ""Je ne travaille que pour cela.  — Je crois que j'aurai le temps avant le souper de te lire une scène de mon Bourgeois gentilhomme.....  Il y a dans cette pièce une certaine Nicole, qui t'est, je crois, un peu parente...  Mets-toi là : écoute-moi sérieusement. "")",0.66,Substitution
171,"('#chapelle', ""C'est bien dit ; pourquoi broyer du noir Et s'affliger, lorsque l'on peut mieux faire ?"")",,1.0,Insertion
172,"('#lulli', ""Je suis pour qu'on s'amuse."")","('#laforet', ""Le moyen !  Vous me faites toujours rire. Elle s'assied."")",0.79,Substitution
173,"('#mignard', ""Et moi j'en dis autant, Nous voyons, grâce au ciel, Molière mieux portant ! Quel bonheur pour la comédie !"")","('#moliere', ""Tant mieux !...  C'est le moment où Monsieur Jourdain reçoit son tailleur.  Monsieur Jourdain, Ah !  Vous voila! je m'allais mettre en colère contre vous ; vous m'avez envoyé des bas de soie si étroits que j'ai en....  Mais quelqu'un vient, ce me semble, vois qui ce peut être. "")",1.33,Substitution
174,,"('#laforet', ""C'est Monsieur Boileau. "")",1.0,Deletion
175,,"('#mignard', ""Boileau !  Gare la critique!  Ne laissons pas voir un ouvrage qui n'est pas terminé. Il enlève et cache son tableau."")",1.0,Deletion
176,"('#despreaux', 'Ajoutez-y pour ses amis , Pour son siècle et pour son pays , Dont il est le plus beau génie.')","('#moliere', ""C'est lui, vraiment. Vite, vite, mettons mon plan à l'ombre ; ce n'est qu'une esquisse.  Il jette son manuscrit dans un tiroir."")",1.27,Substitution
177,,"('#moliere', ""Tu viens de bonne heure, et c'est me faire plaisir :  on m'avait fait craindre de ne pas te voir ce soir. "")",1.0,Deletion
178,"('#chapelle', ""Ma foi, je suis de ton avis. . C'est notre maître, à tous ; sous sa plaisanterie Que de raison souvent et de philosophie ! Le chef-d'oeuvre le plus divin Qui soit jamais éclos du cerveau d'un humain, C'est Tartuffe."")","('#boileau', ""Oui, mon ami, j'étais dans un de ces accès de misanthropie où mon oeil ne cherche et ne voit que des ridicules,  où mon esprit se plaît à les peindre ; et comme on n'en trouve pas chez toi, j'avais peine à perdre ma  journée."")",0.73,Substitution
179,"('#la-fontaine', ""Messieurs, j'ai lu ces jours passés, Le prophète Baruch ; je goûte sa manière ; Dites-moi donc un peu, si vous le connaissez ?"")","('#moliere', ""Ne dirait-on pas à tes regrets que c'est la journée de Titus !  Va, mon pauvre Despreaux, Chapelle et Lulli sauront dissiper tes sombres idées. "")",1.24,Substitution
180,"('#despreaux', 'Oui.')","('#boileau', 'Chapelle !')",0.0,Match
181,"('#la-fontaine', ""Croyez-vous qu'il eût plus d'esprit que Molière ? ; Ou bien Molière en a-t-il plus que lui ?"")",,1.0,Insertion
182,"('#despreaux', ""Mon cher Monsieur de La Fontaine, Vous avez mis un bas à l'envers aujourd'hui."")",,1.0,Insertion
183,"('#la-fontaine', 'Mais répondez-moi donc.')","('#chapelle', ""N'en dites pas de mal ? "")",0.86,Substitution
184,,"('#boileau', ""Si j'avais su qu'il soupât ici, je me serais rendu plus  difficile encore. "")",1.0,Deletion
185,"('#despreaux', ""Non ; ce n'est pas la peine."")","('#chapelle', 'Quoi !  Toujours de la rancune ?  Ah ! ah ! ah !')",1.9,Substitution
186,"('#chapelle', 'Laisse-là ton Baruch...... Le bonhomme, ma foi, Souvent dans ses propos est moins sensé que moi.')","('#moliere', ""Chapelle t'aurait-il offensé ?  Il en est incapable... à jeun. "")",0.95,Substitution
187,"('#moliere', 'Me voici, mes amis ; allons, que la soirée À la joie, au plaisir, soit toute consacrée.')","('#boileau', 'Laissons, laissons cela.')",1.47,Substitution
188,"('#laforet', 'Messieurs, le souper est tout prêt, Et vous pouvez vous mettre à table')",,1.0,Insertion
189,"('#chapelle', 'Tu songes à notre projet ?')",,1.0,Insertion
190,"('#laforet', ""Laissez faire. J'attends le moment favorable."")","('#mignard', ""Non pas, il faut nous mettre au fait.  Chapelle, on t'accuse."")",1.78,Substitution
191,"('#lulli', ""Mettons-nous donc à table, et restons-y longtemps. Ils s'asseyent à table dans l'ordre suivant, en commençant par la droite : Molière, Chapelle, Mignard, Lulli, Despreaux, La Fontaine."")","('#chapelle', ""Pour soustraire au vent, à l'orage,  Un moraliste aussi parfait,  Mon amitié prudente et sage  L'abrita dans un cabaret.  Là, son énergique éloquence  Contre le vin se déchaîna,  Et puis enfin il s'enivra  En me vantant la tempérance.  Mignard a raison, je dois me justifier.  Vous saurez donc, mes bons amis, qu'il y a peu de jours je  rencontrai Boileau ; il m'accosta, et soupçonnant que je n'étais pas... à jeun, comme vient de dire Molière, il se mit à me faire l'éloge le plus pompeux sur la sobriété.  Aristote écrivit...  Socrate a dit...  Pline pensait... que sais-je ?  Pendant cette belle érudition, il vint à pleuvoir à verse ; moi... AIR : Vaudeville des Visitandines. "")",0.76,Substitution
192,"('#chapelle', ""D'être ici réunis nous sommes tous contents. Je vous porte d'abord une santé; c'est celle Du maître de la maison."")",,1.0,Insertion
193,"('#mignard', 'De tout mon coeur,')",,1.0,Insertion
194,"('#despreaux', 'Verse, Chapelle,')",,1.0,Insertion
195,"('#lulli', 'Verse tout plein.')","('#moliere', 'Quoi !  Tout de bon ? ')",1.18,Substitution
196,"('#la-fontaine', 'Je ne dirai pas : non.')","('#boileau', 'Le traître dit vrai.')",1.71,Substitution
197,"('#chapelle', 'À Molière !')","('#moliere', ""C'est une scène !"")",1.13,Substitution
198,,"('#boileau', ""La belle gloire !  S'enivrer pour m'étourdir : c'est Guénaud qui s'éclabousse de la tête au pied pour tacher l'habit de son voisin. "")",1.0,Deletion
199,,"('#chapelle', ""Je fus obligé de le reconduire, moi !  Et ce qu'il y a de plus plaisant, c'est que nous fûmes rencontrés par Cottin et par Chapelain. "")",1.0,Deletion
200,"('#tous', 'À Molière !')","('#boileau', 'Le père des douze fois douze cents vers de La Pucelle !')",1.38,Substitution
201,,"('#mignard', 'Comme ils vont se venger !')",1.0,Deletion
202,"('#mignard', 'Ah ! Si nous pouvions boire, Ensemble, aussi longtemps que durera sa gloire !')","('#moliere', ""Je ne vois, mon cher Despreaux, qu'un seul moyen de le punir ; c'est de l'enivrer ce soir. "")",0.87,Substitution
203,"('#moliere', ""Je ne vous ferai pas raison, Mes amis ; car le lait est ma seule boisson. Mais de vos voeux qu'il apprécie, Mon coeur ému vous remercie. Vous allez tout-à-fait me rendre la santé !"")","('#chapelle', ""J'accepte la revanche.  Mais à propos, savez-vous bien que j'ai refusé pour vous la plus belle fête !  Un souper délicieux, offert par un prince."")",1.04,Substitution
204,,"('#moliere', 'Et tu nous as préféré ? ')",1.0,Deletion
205,,"('#chapelle', ""Je choisis toujours le meilleur, mon ami ; tiens, vois la réponse que j'ai faite."")",1.0,Deletion
206,,"('#moliere', 'En vers ! ')",1.0,Deletion
207,"('#chapelle', ""S'il ne faut que de la gaîté, L'amitié la plus tendre, un peu d'ivrognerie..."")","('#chapelle', 'En chanson même.  Quand on dit des vérités un peu dures, il faut les dire gaîment. ')",0.53,Substitution
208,"('#lulli', 'À me griser ce soir je suis bien résolu.')",,1.0,Insertion
209,"('#la-fontaine', ""Quand on est entre amis, on peut boire sans craindre On n'a rien à cacher ; le coeur est tout à nu ; On peut penser tout haut, et se parler sans feindre."")",,1.0,Insertion
210,"('#moliere', ""Vivons toujours de la sorte entre nous, Mes bons amis, et malheur aux jaloux Que notre union peut surprendre ! Nous sommes faits pour nous entendre, Pour nous estimer, nous chérir, Pour jouir franchement des succès l'un de l'autre."")",,1.0,Insertion
211,"('#chapelle', ""Oui, vers un noble but ensemble on peut courir. Si mon ouvrage est bon, doit-il gâter le vôtre ? De la gloire d'autrui ce qu'on pourrait ôter, À la sienne jamais on ne peut l'ajouter. C'est vainement qu'on y travaille."")","('#boileau', ""Si la grandeur et l'opulence  Ont de l'éclat pour bien des yeux,  Moi, je fuis la magnificence,  Et ses plaisirs trop sérieux.  Je n'irai point à votre fête,  Ailleurs je me suis invité,  Et chez Molière l'on m'apprête  Le souper de l'égalité,  Pour un aimable tête à tête  Veuillez quelque jour m'inviter ;  Je réponds qu'il vaudra la fête  Où vous me priez d'assister.  Une illusion agréable  Y soutiendra notre gaîté,  Et nous croirons à votre table  Aux charmes de la liberté.  Voyons. Le trait est hardi.... mais il est juste. Il prend le papier. AIR : Vaudeville d'Epicure. "")",0.3,Substitution
212,"('#lulli', ""Sans doute ; chacun a sa taille ; Il faut savoir s'en contenter."")","('#mignard', ""Il blessera, j'en suis sûr, et il faut avoir des ménagements avec les grands. "")",1.07,Substitution
213,"('#la-fontaine', ""C'est un pays fort grand que le Parnasse ; Chacun y peut trouver sa place ; Le tout est de la mériter."")","('#boileau', 'Combien peu de ces hommes si grands, seront un jour de grands hommes !  Chapelle a bien fait, cela me racommode avec lui. ')",1.79,Substitution
214,"('#despreaux', ""Ces poètes fameux nos maîtres, nos modèles, Furent des amis vrais, fidèles ; À Virgile, à Tibulle, Horace était lié ; Si nous ne ressemblons à ces grands personnages Par les talents, par les ouvrages, Ressemblons leur par l'amitié."")","('#chapelle', ""Lorsque la réunion des Auteurs s'intitule la République des Lettres, c'est pour que tous soient libres d'écrire ce qu'ils pensent."")",1.28,Substitution
215,"('#moliere', 'Assuré de votre tendresse , Je dois vous demander des avis éclairés ; Demain matin, vous entendrez, Mes amis, ma nouvelle pièce, Le Bourgeois-Gentilhomme, et vous la jugerez. Mais sur-tout point de complaisance.')","('#mignard', 'Mes amis, je vois La Fontaine.')",1.6,Substitution
216,,"('#moliere', ""Comme il a l'air occupé !"")",1.0,Deletion
217,"('#despreaux', ""Oh ! Ce n'est pas là mon défaut, Tu le sais ; tu seras critiqué comme il faut. On attend cet ouvrage avec impatience."")","('#chapelle', ""Il ne nous voit pas, j'en suis sûr."")",1.66,Substitution
218,,"('#moliere', 'Taisons-nous. ')",1.0,Deletion
219,,"('#la-fontaine', ""Cela n'est point malheureux, j'arrive au moment où je trouve mes deux derniers vers...  Répétons-les tous."")",1.0,Deletion
220,"('#la-fontaine', 'On parle aussi beaucoup du nouvel opéra De notre ami Lulli.')","('#mignard', 'Il a quelque grande affaire ? ')",1.39,Substitution
221,,"('#boileau', ""Oui, un renard, une fourmi l'occupe. "")",1.0,Deletion
222,"('#lulli', ""Bientôt on le jouera. Ah ! Per Dio ! c'est là, de la musique. Vous l'entendrez ; c'est un chef-d'oeuvre unique, Enfin c'est du Lulli ; c'est tout dire, cela. Vous mourrez de plaisir d'entendre mon Armide."")","('#moliere', 'Le grand homme ! ')",1.49,Substitution
223,"('#chapelle', ""Et comment ? Tu l'as donc refaite depuis peu ? On nous avait conté qu'un conseil trop rigide T'avait persuadé de la jeter au feu ?"")","('#chapelle', 'Pour une fable,  Sans cesse on le voit arrêté. AIR : De la Baronne. ')",1.51,Substitution
224,"('#lulli', ""Au feu ? Mon bon ami ! J'aurais brûlé ma gloire ! Mais tu ne sais donc pas l'histoire ?"")",,1.0,Insertion
225,"('#chapelle', ""Non. Qu'est-ce !"")","('#boileau', 'Et par un goût inconcevable  Il laisse la réalité  Pour une fable. ')",1.4,Substitution
226,"('#lulli', 'Hé ! Carino ! Je vais te la conter.')","('#la-fontaine', ""Oui, mes amis, c'est une fable que je viens d'achever, et c'est le plaisir de souper chez Molière qui me l'a inspirée."")",1.32,Substitution
227,"('#chapelle', ""Soit. Mais commence-là par boire, Et nous boirons aussi, nous, pour mieux t'écouter."")","('#moliere', 'En ce cas, nous pouvons te la demander. ')",1.08,Substitution
228,"('#lulli', ""Tu sais que par la maladie J'ai manqué l'autre hiver de n'être plus en vie. Il vint un homme noir, tout auprès de mon lit, Me parler doucement; voici comme il me dit : Mon bon ami, pensez qu'il est bien nécessaire De faire voir à tous que vous êtes fâché. De tout le mal que vous avez pu faire ; Se mêler d'opéra, c'est un très grand péché ; Le bon Dieu, voyez-vous ? s'en offense et s'en pique. Il veut que pour lui seul on fasse la musique, On m'a conté que vous êtes l'auteur D'un opéra nouveau, superbe et magnifique, Mon bon ami, c'est un malheur ; Ce qui s'est fait est fait, et je dissimule ; Mais du moins, il n'est pas encor représenté ; Donnez-le moi ; que je le brûle, Afin que vous mouriez avec tranquillité."")","('#la-fontaine', ""Socrate un jour faisait bâtir,  Chacun censurait son ouvrage ;  L'un trouvait les dedans, pour ne lui point mentir,  Indignes d'un tel personnage ;  L'autre blâmait la face, et tous étaient d'avis  Que les appartements en étaient trop petits.  Quelle maison pour lui ! On y tournait à peine.  Plût au ciel que de vrais amis,  Telle qu'elle est, dit-il, elle pût être pleine !  Le bon Socrate avait raison  De trouver pour ceux-là trop grande sa maison :  Chacun se dit ami, bien fou qui s'y repose.  Rien n'est plus commun que le nom,  Rien n'est plus rare que la chose. La voici, à peu près. "")",0.39,Substitution
229,"('#chapelle', ""Eh ! bien ? Tu l'as donné ?"")","('#chapelle', 'Mais cela est bon.... fort bon. ')",1.67,Substitution
230,"('#lulli', 'Sans doute. Pouvais-je refuser ?')",,1.0,Insertion
231,"('#chapelle', ""Voilà ce qu'on m'a dit, Et j'avais donc raison. "")","('#la-fontaine', 'Je le crois.')",1.05,Substitution
232,"('#lulli', ""Écoute : Je n'ai pas fini mon récit. La santé me revint, mais non pas tout de suite. Quand je fus un peu mieux, le Prince de Conti, (Comme il me fait l'honneur d'être mon bon ami ) Son altesse un matin me vint faire visite. Il me dit : Baptiste, entre nous , Avec ton beau talent tu me sembles bien bête De t'être laissé mettre en tête De brûler ton Armide ; eh ! Nous y perdons tous ; Pauvre homme !... Ils t'ont fait faire une grande folie ; Le roi-même a daigné témoigner des regrets.... Paix, monseigneur, lui dis-je, paix ; Ne me grondez pas, je vous prie ; J'ai bien su ce que je faisais ; J'en avais une autre copie."")","('#moliere', ""Je te sais gré d'avoir pensé à nous en faisant cet apologue."")",1.35,Substitution
233,"('#la-fontaine', 'Ah ! Le fourbe !')",,1.0,Insertion
234,"('#mignard', ""Le tour n'est pas mal inventé."")","('#boileau', ""Ce n'est pas une fable....  Mais c'est l'ouvrage d'un poète exercé."")",1.26,Substitution
