,chevalier-amours-de-calotin,chevalier-barbons-amoureux,Cost,Operation Type
97,"('#le-marquis', ""Mais je suis étonné Que Molière chez lui ne t'ait pas entraîné, Ou bien que tu ne sois à l'Hôtel de Bourgogne."")","('#guillot', ""De quoi te mêles-tu ?  Pour apprendre un secret, as-tu cette vertu,  Que l'homme doit avoir pour cacher et pour taire  Ce qui ne doit jamais être su du vulgaire ?  Sais-tu conserver ce qu'on appelle honneur ?  Et la discrétion règne-telle en ton coeur ?  As-tu l'esprit bien fait ? As-tu l'âme bien faite ?  Ta langue quelquefois n'est-elle point gazette ?  Ne vas-tu pas prôner ce qu'on t'a défendu ? "")",1.05,Substitution
98,"('#le-marquis-de-mascarille', 'Molière drape trop.')",,1.0,Insertion
99,"('#le-premier-baron', 'Il donne sur la trogne.')","('#ragotin', 'Je ne dis jamais mot, dussé-je être pendu. ')",1.74,Substitution
100,,"('#guillot', ""Je ne te dirai rien aussi, dussé-je l'être. "")",1.0,Deletion
101,"('#le-baron-de-la-crasse', ""Poisson m'ayant joué comme il le fit un jour, On me verra chez eux aussi peu qu'à la Cour, Et le Marais tout seul est mon lieu de plaisance."")","('#ragotin', 'Si tu ne me dis point pourquoi tu viens paraître  Je ne dirai point pour quoi je viens aussi. ')",1.14,Substitution
102,"('#le-moucheur-de-chandelles', ""Jouez vite, Messieurs, afin que l'on commence."")","('#guillot', 'Mais qui commencera le premier en ceci ? ')",0.92,Substitution
103,"('#le-baron-de-la-crasse', 'Page, commence-t-on bientôt la comédie ?')","('#ragotin', ""Afin que nul de nous n'ait aucun avantage,  Ensemble nous dirons quel est notre message. "")",1.74,Substitution
104,"('#rosette', ""Nous l'allons commencer."")","('#guillot', 'Je le veux bien, parlons tous les deux à la fois. ')",0.67,Substitution
105,"('#le-marquis-de-mascarille', ""La plaisante saillie ! Je crois que nous allons être bien satisfaits. Écoutons, s'il vous plaît, ce page et ce laquais."")","('#ragotin', 'Nous nous étourdirons avecque nos deux voix. ')",1.01,Substitution
106,"('#rosette', ""Je veux que l'on me tonde en Baron de la Crasse, Si dessous cet habit vous n'avez bonne grâce."")","('#guillot', 'Apprends-moi ton secret, cher ami, camarade. ')",1.51,Substitution
107,"('#le-baron-de-la-crasse', ""Comment, à nous dauber on commence déjà ? Ouvreur de loge, à moi ! Holà ! Quelqu'un, holà ! Si je demeure ici, je veux bien qu'on m'étrille."")","('#ragotin', 'Je le veux bien, je viens pour faire une Ambassade,  Avec un billet doux. ')",0.73,Substitution
108,"('#climene', ""Je m'imagine ouïr Monsieur de Mascarille, Alors que dans sa chaise il faisait tant de bruit."")","('#guillot', ""Tu n'a pas mal parlé ;  Celui que j'ai, je crois, n'est ni doux ni salé,  Il est assaisonné d'une fort bonne sorte. "")",1.59,Substitution
109,"('#le-marquis-de-mascarille', ""Comment diable, en tous lieux la satire nous suit; Nous n'osons nous montrer, ni même ouvrir la bouche."")","('#ragotin', 'Mais ne saurais-je point à qui ta main le porte ? ')",1.12,Substitution
110,"('#rosette', 'Ils caquettent autant que Monsieur de la Souche.')","('#guillot', 'Oui, quand nous aurons fait nouvelles pactions. ')",1.88,Substitution
111,"('#monsieur-de-la-souche', ""Quoi donc ! À notre barbe on nous maltraite ainsi ? Ouvre-nous promptement, que nous sortions d'ici."")","('#ragotin', ""Quoi, faut-il faire encore d'autres conditions ?  Dis-le moi, je te prie, et bannis toute crainte. "")",0.8,Substitution
112,,"('#guillot', 'Il est pour Polixène. ')",1.0,Deletion
113,"('#l-ouvreur-de-loges', 'Je suis à vous, Messieurs.')","('#ragotin', 'Et le mien pour Aminte,  Ton maître a chez le mien le sujet de ses feux,  Et le mien chez le tien la cause de ses voeux ! ')",1.51,Substitution
114,,"('#guillot', 'La fille à Policarpe avec sa bonne grâce,  A su gagner le coeur au fils de Boniface. ')",1.0,Deletion
115,"('#le-baron-de-la-crasse', ""Peste soit la canaille ! Auteurs, comédiens, sont des vrais rien qui vaille. Après qu'ils sont tous sortis."")","('#ragotin', 'Celle de Boniface avec son air tentant,  Au fils de Policarpe en a fait tout autant. ')",0.88,Substitution
116,"('#climene', 'Tout est calme, voyons si nous commencerons.')",,1.0,Insertion
117,"('#rosette', ""Ce sont là que je crois quelqu'uns de nos Barons, De ces fous que l'on voit qui haïssent Molière, Et ne le peuvent voir en aucune manière."")",,1.0,Insertion
118,"('#le-chevalier', ""Qu'en dis-tu, cher Baron ? Cela s'adresse à toi."")",,1.0,Insertion
119,"('#le-baron', ""Ce que j'en dis ? Je dis que je m'en vais, ma foi."")","('#guillot', ""On s'en va donc bientôt de nos deux maisonnées,  Si je ne suis trompé, faire deux Hyménées. "")",1.42,Substitution
120,"('#le-marquis', 'Demeure.')","('#ragotin', 'Sans doute, et nous serons les plus heureux valets... ')",1.37,Substitution
121,"('#le-baron', ""Demeurez, qu'on vous y chante pouille ; Moi, si j'y reste plus, je veux qu'on m'y dépouille."")","('#guillot', ""Oui, car nous nous voyons déjà porte-poulets.  N'est-ce point être aussi Postillons de Silvie ? "")",1.49,Substitution
122,"('#le-marquis', ""II faut être bien fou, pour s'en aller ainsi."")",,1.0,Insertion
123,"('#le-chevalier', ""Ma foi, je suis d'avis de m'en aller aussi."")",,1.0,Insertion
124,"('#le-marquis', ""Pour éloigner de nous l'humeur mélancolique Allons voir l'Impromptu, ou la Contre-critique."")",,1.0,Insertion
125,"('#climene', ""Rosette, nous avons trouvé l'invention De sortir à la fin de la religion."")",,1.0,Insertion
126,"('#rosette', ""Mais, Climène, sachez que c'est bien entreprendre, Que d'avoir fait ce tour, pour aller voir Tersandre, Et qu'on vous blâmera sûrement sur ce point."")","('#ragotin', ""Qu'y ferions-nous ? Ce sont commerces de la vie. "")",1.43,Substitution
127,"('#climene', ""Alors qu'on aime bien, qu'est-ce qu'on ne fait point ?"")","('#guillot', ""Mais, mon cher Compagnon, dis-moi, te plairait-il ?  Que l'on te fît passer pour un poisson d'Avril ? "")",1.02,Substitution
128,"('#rosette', ""Mais qu'est-il de besoin d'être en cet équipage ? Vous vêtue en laquais, et moi vêtue en page ?"")","('#ragotin', ""Souvent sans regarder avril, mai ni décembre,  On nous fait maquignons de haquenée en chambre.  Mais nous sommes ici des messagers d'honneur. "")",1.19,Substitution
129,"('#climene', ""Comme Tersandre m'aime, et que je l'aime aussi, J'ai voulu, pour le voir, nous travestir ainsi, Afin qu'en son logis où nous allons paraître, Lui, ni qui que ce soit, ne nous puisse connaître ; Car mon père sachant quelle est ma passion, Et ne nous trouvant plus dans la religion, Viendra, sans consulter, nous chercher chez Tersandre, Croyant nous y trouver, afin de nous y prendre : Mais ne nous y voyant qu'en ce déguisement, Il ne nous connaîtra jamais assurément."")","('#guillot', ""Oui bien, quant à présent, mais parfois serviteur,  Nous portons des poulets à certaines donzelles,  Lesquelles ont bien l'air de n'être pas pucelles :  Mais c'est galanterie, et tout cela n'est rien,  Celles où nous allons ce sont filles de bien,  Qui se gouvernent... Je n'en dis pas davantage,  Suffit, qu'elles n'ont rien en elle que de sage. "")",0.72,Substitution
130,"('#rosette', 'Quel est votre dessein par cette brusquerie ?')",,1.0,Insertion
131,"('#climene', ""D'empêcher, s'il se peut, qu'un père le marie; Et comme il le prétend marier malgré lui, Pour détourner ce coup, je m'employe aujourd'hui."")","('#ragotin', ""Camarade en ce point, je ne dis oui, ni non.  Celle qu'on croit bien sage, est bien souvent guenon.  Et celle que l'on croit de même concubine,  Souvent est brave femme, et nous trompe à la mine.  Mais cher ami Guillot, j'aime un certain objet,  Dont je mettrais au feu le doigt. "")",0.94,Substitution
132,"('#rosette', 'Mais pour nous introduire, est-il quelque artifice ?')","('#guillot', 'Il brûlerait.  Toi-même, tu me viens de dire, que ces gueuses  En apparence sont toutes des affronteuses. ')",1.06,Substitution
133,"('#climene', ""Il ne nous faut qu'aller offrir à son service, Et comme il a besoin d'un page et d'un laquais, Il nous acceptera, nous voyants si bien faits."")","('#ragotin', ""Celle que je chéris n'aime au monde que moi,  Je t'en réponds, Guillot. "")",1.23,Substitution
134,"('#rosette', 'Et qui nous servira de parent, ou de père, Pour nous offrir ?')","('#guillot', ""C'est bien répondre à toi.  On se croit bien souvent maître d'une friponne,  Laquelle cependant n'est qu'à qui plus lui donne ;  Mais quoi ? Puisqu'il faut se marier une fois,  Faisons-le, c'est à faire à s'en mordre les doigts.  Tu sais que nos objets doivent ici se rendre,  D'une aigrette de boeuf, tâchons à nous défendre. "")",1.13,Substitution
135,"('#climene', 'Je sais les moyens de le faire.')","('#ragotin', ""Tous coups vaillent, Guillot, c'est à faire à cela.  Nous ne serons pas seuls avec ces armes-là. "")",1.33,Substitution
136,"('#rosette', ""Nous entreprenons là des projets bien puissants, Et ce ne sont pas là, comme on dit, jeux d'enfants Mais avant que chez lui je fisse mon entrée, Me deviez-vous vêtir ainsi de sa livrée ?"")","('#guillot', ""Il est vrai qu'elles sont communes dans ce monde.  Moi qui te parle, j'aime une certaine blonde,  Qui me porte bien l'air de m'en faire tâter,  Quelque précaution que j'y puisse apporter ;  Mais songeons aux objets qui causent nos servages,  Songeons en même temps à faire nos messages.  Bon, voici justement celles que nous cherchons,  Abordons-les, Ragot."")",0.51,Substitution
137,"('#climene', 'Les Pages, la plupart se présentent ainsi.')",,1.0,Insertion
138,"('#rosette', 'Et vous, comment entrer ?')",,1.0,Insertion
139,"('#climene', ""Laissez-m'en le souci."")","('#ragotin', 'Je le veux, approchons. ')",1.58,Substitution
140,,"('#guillot', 'Serviteur, Béatrix. ')",1.0,Deletion
141,"('#rosette', 'Mais vous mettre Laquais, quelle étrange disgrâce')","('#ragotin', 'Ah ! Ton valet, Lisette.  Je tiens certain poulet... ')",1.3,Substitution
142,"('#climene', ""Il n'est point en amour d'action qui soit basse. Si pour être Laquais j'applique tous mes soins, C'est que dans cet état on me connaîtra moins; Et la condition passant pour la dernière, Aucun ne me croira mise en cette manière."")","('#guillot', ""Moi, certaine poulette,  Pour donner à l'objet, dont mon Maître est charmé. "")",1.04,Substitution
143,"('#rosette', ""Je trouve ce dessein tellement surprenant, Que je m'imagine être à Carême-prenant, Nous déguisant ainsi."")",,1.0,Insertion
144,"('#climene', ""J'avouerai qu'étant fille, Je ne croyais pas être un jour porte-mandille, Et que l'on me verrait dans un habillement Où la méchanceté loge ordinairement."")","('#ragotin', ""Et le mien pour celui dont mon maître est aimé,  Et tu peux bien penser que c'est pour ta maîtresse. "")",1.66,Substitution
145,"('#rosette', ""Oui, car qui dit laquais, c'est à dire une graine Plus maligne cent fois que la fièvre quartaine : Mais un page, Madame, est d'une autre valeur."")","('#guillot', ""C'est à la tienne aussi, que ce billet s'adresse,  Enfin, nos Maîtres sont diablement amoureux. "")",1.14,Substitution
146,"('#climene', 'Pour moi je ne sais pas qui des deux est meilleur.')",,1.0,Insertion
147,"('#rosette', ""Mais ne craignez-vous point que notre ami Molière Ne nous chapitre un jour dessus cette matière ? Et s'il vient à savoir nos petits incidents, Qu'il ne nous mette pas en de fort beaux draps blancs ? S'il apprend les emplois dont le destin nous charge, Il nous en donnera tout du long et du large."")","('#ragotin', ""Et tu vois deux valets qui le sont autant qu'eux. "")",1.43,Substitution
148,"('#climene', 'Rosette, ne crains rien, quand même il saurait tout, Je ne le crois pas homme à nous pousser à bout : Et puis ne nommant point, sait-on qui ce peut être ?')","('#lisette', 'Qui te charme, Ragot ? ')",1.56,Substitution
149,"('#rosette', ""Il nous dépeint si bien, qu'il nous fait bien connaître, Et le madré qu'il est, fait tant par son esprit, Que souvent le rieur est celui dont on rit."")","('#ragotin', ""Ah ! Petite friande,  Ragot te peut-il voir à moins qu'il ne se rende ?  Je sens mon pectorat tellement enflammé,  Que si tu ne l'éteins, me voilà consommé :  Tes yeux m'ont allumé d'une si forte flamme,  Que dans l'enfer d'amour, je sens brûler mon âme Oui, c'est l'enfer d'amour, de ne posséder pas,  Celle pour qui je fais tous les jours mille hélas,  Et n'écoute non plus ce que je lui veux dire,  Que si ce n'était rien qu'un homme qui soupire,  Un Ragot peut-il bien près de toi soupirer,  Sans que tous ses soupirs te puissent pénétrer ?  Si tu ne te rends pas à mon sort déplorable,  Je te crois un objet du tout impénétrable. "")",0.96,Substitution
150,"('#climene', ""Qu'importe. Mais ici l'on nous pourrait surprendre. Allons tout de ce pas nous offrir à Tersandre."")",,1.0,Insertion
151,"('#clarimond', ""Ragotin, est-il rien d'égal à mon malheur ? Je n'y saurais songer, sans mourir de douleur."")","('#lisette', ""Ragotin, je n'ai pas pour toi le coeur si dur,  Pour ne te pas aimer, ton amour est trop pur. "")",0.52,Substitution
152,"('#ragotin', ""Vous seriez assez fou, d'abandonner la vie. Pourquoi donc, s'il vous plaît ? "")","('#beatrix', ""Et toi, quel est l'objet pour qui ton coeur soupire ? "")",1.54,Substitution
153,"('#clarimond', 'Tu connais bien Julie, Et sais que cet objet qui fait ma passion, Parut toujours sensible à mon affection.')","('#guillot', ""C'est toi, ma Béatrix, puisqu'il te le faut dire.  Je suis dans un état à ne te celer pas,  Que j'en tiens rudement pour tes friands appas ;  Oui, quand on aperçoit tous les charmes ensemble,  La plus ferme franchise en ce moment-là tremble,  Si bien que dans le temps que je me sens brûler,  Ma franchise aussitôt commence de trembler  Le froid et le chaud font une antipéristase,  Qui cause en ma personne une incommode extase,  Par où je sens former un tumulte en mon corps,  Qui tempête, ravage, et fait de tels efforts,  Qu'il rompt et brise tout jusques à mes membranes,  La suffocation offusque mes organes,  Et mon âme et mon corps par transpiration,  Veulent... enfin, je t'aime avecque passion. "")",0.81,Substitution
154,"('#ragotin', ""Oui, Monsieur, qu'en est-il ?"")",,1.0,Insertion
155,"('#clarimond', ""Apprends donc que son père, Loin de m'être propice, est à mes voeux contraire : Le père de Tersandre, et lui, sont bons amis ; De sorte qu'en secret tous deux se sont promis De marier un jour Julie avec Tersandre. Que faire là-dessus ?"")","('#beatrix', 'Que ton amour te fait dire de belles choses ! ')",1.1,Substitution
156,"('#ragotin', 'Il faut vous aller pendre.')",,1.0,Insertion
157,"('#clarimond', ""Est-il temps de railler en l'état où je suis ?"")",,1.0,Insertion
158,"('#ragotin', 'Je ne vois que cela pour finir vos ennuis ; Car si dans un moment tout ne vous est prospère, La mort est justement en qui mon maître espère.')","('#guillot', ""Ce sont les grands effets que produisent ces causes ;  Je laisse aux esprits bas à parler bassement,  Pour moi, je fais l'amour scientifiquement. "")",0.9,Substitution
159,"('#clarimond', 'Qui ne la chercherait au point où me voilà ?')","('#beatrix', ""Moi qui n'ai point d'esprit, quelle réponse y faire. "")",1.28,Substitution
160,"('#ragotin', ""Aidons-nous, comme on dit, le Ciel nous aidera. Je sais de bonne part que ce rival Tersandre N'eut jamais pour Julie en son âme aucun tendre, Et je vous puis de même assurer aujourd'hui Que Julie en son cour n'en a non plus pour lui ; Que bien loin qu'elle soit le sujet de sa peine, Que ce Tersandre en tient pour certaine Climène, Dont le père aussitôt qu'il apprit leur amour, La fit dans un couvent mettre par un beau jour, Pour l'ôter promptement des yeux de ce Tersandre. De crainte qu'il ne fit à son honneur esclandre. Tersandre de cela se sentant enragé, Fut contraint malgré lui de prendre son congé, Et de s'en revenir au logis de son père, Qui veut avec Julie achever leur affaire. Mais Tersandre coiffé de ses autres amours, Au lieu de se hâter, veut reculer toujours, Attendant que le Ciel inspire dans son âme Un moyen pour revoir le sujet de sa flamme. Donc puisque contre vous il ne s'avance rien, Vous devez cependant avancer votre bien. Voilà ce que je puis là-dessus vous apprendre."")","('#guillot', ""Je t'en infuserai de la bonne manière. "")",1.75,Substitution
161,"('#clarimond', 'De qui sais-tu cela ?')","('#beatrix', ""Tu n'es qu'un babillard, va, ne me dis plus mot. "")",1.09,Substitution
162,"('#ragotin', ""Du valet de Tersandre, De Guillot, en buvant chopine avecque lui, Il m'a tout découvert de son maître l'ennui ; La maison de Julie, et la sienne, et la nôtre, Étant vison visu, nous nous voyons l'un l'autre; Ses suivantes, Guillot, nous nous divertissons. En ce lieu bien souvent nous disons des chansons; Et comme nous savons assez bien la musique, Nous fîmes hier un air où notre amour s'explique, Que nous devons chanter ici dans un moment. Ainsi je saurai tout indubitablement."")","('#ragotin', 'Petite dulcinée, aimeras-tu Ragot ?  Tu ne me réponds rien, dis donc ? ')",1.54,Substitution
163,,"('#lisette', 'Hélas ! ')",1.0,Deletion
164,,"('#ragotin', 'Achève.')",1.0,Deletion
165,,"('#lisette', ""Je crains bien de t'aimer, adieu. "")",1.0,Deletion
166,,"('#ragotin', 'Le coeur me crève. ')",1.0,Deletion
167,"('#clarimond', 'Je saurai de tes soins aussi te satisfaire.')","('#guillot', ""Et toi m'aimeras-tu, Béatrix mon souci ! "")",0.96,Substitution
168,,"('#beatrix', 'Peut-être, adieu Guillot. ')",1.0,Deletion
169,,"('#guillot', 'Le coeur me crève aussi. ')",1.0,Deletion
170,"('#ragotin', 'Laissons les compliments, songeons à votre affaire; Tersandre se voyant par son père presser, Pourrait bien contre vous quelque chose avancer. Il vient ici, sortons.')","('#polixene', 'Pour vous aller trouver, je sortais de chez nous.')",1.19,Substitution
171,"('#guillot', ""Hé bien, Monsieur mon maître, Par votre seule faute on nous envoie paître; Vous avez tant fait voir votre teste à l'évent, Qu'enfin votre Climène est au fond d'un couvent. Ah ! Si vous eussiez fait votre amour en cachette, Comme faisait Guillot..."")","('#aminte', ""Et pour vous voir aussi je m'en allais chez vous,  Que vouliez-vous de moi ? "")",0.95,Substitution
172,"('#tersandre', 'Mais quoi, la chose est faite.')","('#polixene', 'Vous faire confidence. ')",1.02,Substitution
173,"('#guillot', ""Ce que je trouve encor de fâcheux en cela, C'est que votre pater vous déshéritera, S'il apprend une fois que votre amour vous lie Avec un autre objet que la belle Julie."")",,1.0,Insertion
174,"('#tersandre', ""C'est là ce qui me force à me rendre chez lui. Hélas que dois-je faire en ce pressant ennui ?"")",,1.0,Insertion
175,"('#guillot', ""À Julie il vous faut feindre fort bonne mine, De peur que le vieillard contre vous se mutine, Entretenant si bien votre autre amour sous main, Qu'il ne vous puisse pas sevrer de son douzain."")","('#aminte', 'Mon dessein était tel, parlez en assurance,  Vous savez que je suis un esprit fort discret. ')",0.68,Substitution
176,"('#tersandre', 'Mais, Guillot, quand revoir mon aimable Climene?')",,1.0,Insertion
177,"('#guillot', ""Si vous eussiez voulu nous serions moins en peine, Votre Climène encor serait auprès de vous, Au lieu qu'elle se voit dans la boîte aux cailloux ; Joint qu'il est difficile, où son sort l'a su mettre, De lui faire tenir le moindre mot de lettre; Car si l'on aperçoit en ce lieu vos couleurs, On renvoiera vos gens avecque vos douceurs."")","('#polixene', ""Je voudrais bien avoir pu cacher mon secret ;  Mais hélas ! J'aurais beau ne le vouloir pas dire,  On le connaît assez lorsque mon coeur soupire ;  Et quand vous me voyez mettre un soupir au jour,  Vous pouvez bien juger qu'il ne vient que d'amour. "")",0.74,Substitution
178,"('#tersandre', ""Je dois prendre un laquais vêtu tel qu'il puisse être, Je saurai m'en servir."")","('#aminte', ""Quel Amant, Polixène, a l'honneur de vous plaire ? "")",1.36,Substitution
179,"('#guillot', 'Sans votre beau bissêtre Vous verriez votre objet, et moi le mien aussi, Et nous ne serions pas, Monsieur, où nous voici.')","('#polixene', 'Je vous le dirais bien, mais... ')",0.38,Substitution
180,"('#tersandre', ""Quoi ! Tu faisais l'amour, serait-il bien possible ?"")",,1.0,Insertion
181,"('#guillot', ""Pour n'être qu'un valet, en suis-je moins sensible ? Et ne savez vous pas, aussi bien comme moi, Qu'un berger n'est non plus exempt d'amour qu'un Roi ? Si cette passion en vous s'est fait paraître, Ne puis-je pas aimer aussi bien que mon maître ? L'amour fut et sera ; donc n'ayant point de bout, Et ne voyant pas clair, il se fourre partout. Or comme il est aveugle, et qu'il lance sa flamme, Un valet, comme un maître, en peut avoir dans l'âme : Si bien qu'étant tous deux pleins d'un brûlant transport. Il est indubitable. Oui, nous aimons bien fort."")",,1.0,Insertion
182,"('#tersandre', ""Quand je souffre, Guillot, laisse l'extravagance."")","('#aminte', 'Dites. ')",1.76,Substitution
183,,"('#polixene', 'Votre frère. ')",1.0,Deletion
184,"('#guillot', 'Si vous souffrez, Monsieur, chacun a sa souffrance.')","('#aminte', ""Mon frère ! Quel bonheur ! Incomparable bien,  De voir que votre sort se trouve égal au mien !  Polixène, jugez quelle joie est la nôtre,  Mon frère est votre Amant, et j'aime aussi le vôtre. "")",0.65,Substitution
185,"('#tersandre', ""Me tiendras-tu toujours des discours d'insensés ?"")",,1.0,Insertion
186,"('#guillot', ""Hé ! Ne nous moquons pas, Monsieur, des oppressés : Dans toute ma folie au moins j'ai l'avantage, Si l'amour me rend fou, de vous voir bien peu sage."")","('#polixene', 'Quoi, vous aimez mon frère ? Aminte, quel plaisir ! ')",1.02,Substitution
187,"('#tersandre', 'Que vois-je ? ')",,1.0,Insertion
188,"('#rosette', 'Le voilà.')","('#aminte', 'Oui, votre frère, fait mon unique désir. ')",1.08,Substitution
189,"('#l-homme', ""J'allais chez vous, Monsieur, Avecque le dessein de me donner l'honneur D'aller vous saluer, et vous rendant hommage, Vous prier d'accepter mon fils pour votre page."")","('#polixene', 'Le vôtre fait aussi toute mon espérance. ')",0.63,Substitution
190,,"('#aminte', ""Heureuses, si l'on peut faire cette alliance.  Mais je crois, que je vois venir mon frère ici. "")",1.0,Deletion
191,"('#tersandre', 'Monsieur, je le reçois, et vous suis obligé.')","('#polixene', ""C'est lui-même, et le mien avec lui vient aussi. "")",0.91,Substitution
192,"('#guillot', 'Ne vous, voilà pas mal de vous voir enpagé.')","('#clidamant', 'Oui, ma soeur est à vous, et sans doute mon père... ')",1.67,Substitution
193,,"('#lucidor', ""Que je vais être heureux s'il ne m'est point contraire. "")",1.0,Deletion
194,"('#l-homme', ""Sans l'heur d'être connu de Monsieur votre père, Je n'eusse osé jamais un tel présent vous faire : Mais comme il eut toujours pour moi grande bonté, Ce présent dès longtemps vous fut prémédité. De peur que dans ce lieu je ne vous embarrasse, J'irai de vos bontés chez vous vous rendre grâce : Monsieur, je crains ici de vous importuner."")","('#clidamant', 'Je tiendrai sûrement votre amour à bonheur,  Mais puis-je, Lucidor, espérer votre soeur ? Ah ! Si je possédais cette aimable personne,  Je serais plus content. ')",0.4,Substitution
195,"('#tersandre', 'Adieu, Monsieur.')","('#lucidor', 'De moi, je vous la donne,  Et mon père, je crois... ')",1.48,Substitution
196,"('#guillot', 'Enfin on vient de vous donner.')","('#ragotin', ""Ce fait est terminé,  Vous avez bon marché, c'est un marché donné. "")",1.12,Substitution
197,"('#rosette', 'Oui, Monsieur, et de plus moi-même je me donne.')","('#polixene', ""Mon frère, savez-vous si je veux qu'on me donne ? "")",0.31,Substitution
198,"('#guillot', ""Page, n'avez-vous point l'humeur un peu friponne ? Car ordinairement Messieurs les Culs d'oignons, Tant qu'ils ont cet habit, sont de bons compagnons."")","('#clidamant', ""Ne vous offensez pas, adorable personne,  Si l'on vous donne à moi, cessez votre courroux ;  Ce n'est pas d'aujourd'hui que l'on me donne à vous,  Puisqu'il est assuré que notre destinée,  A déjà dans le Ciel conclu notre Hyménée. "")",1.27,Substitution
199,"('#tersandre', 'Si tu raisonnes plus, je jouerai de la canne.')",,1.0,Insertion
200,"('#guillot', 'Soufflez-vous bien des pois avec la sarbacane ?')",,1.0,Insertion
201,"('#rosette', ""Je ne sais ce que c'est."")",,1.0,Insertion
202,"('#tersandre', 'Vous tairez-vous, Guillot ?')",,1.0,Insertion
203,"('#guillot', ""Ne vous plaisez-vous point à prendre du piot ? Mais qui vient m'aborder ?"")","('#lucidor', ""Vous fâchez-vous aussi, que l'on vous donne à moi ? "")",0.81,Substitution
204,"('#climene', ""Monsieur, daignez m'apprendre, S'il vous plaît, le logis où demeure Tersandre."")",,1.0,Insertion
205,"('#guillot', ""Le voilà devant vous en propre original Vous lui pouvez parler, il est doux animal ; Moi, son homme de chambre, et vous voyez son page, C'est tout ce que j'en sais, cherchez-en davantage."")",,1.0,Insertion
206,"('#climene', ""Monsieur, ayant appris qu'il vous faut un laquais, Et que de vous servir je fais tous mes souhaits, Je viens vous supplier d'accepter mon service."")","('#aminte', ""Si j'ose devant vous, dire ce que j'en crois,  J'avouerai Lucidor, que je ne saurais taire,  Qu'on ne peut se fâcher contre ce qui sait plaire. "")",0.65,Substitution
207,"('#tersandre', ""Qu'il est joli ! Guillot."")","('#lucidor', 'Peut-on voir un bonheur... ')",1.76,Substitution
208,"('#guillot', ""Il n'est pas sans malice."")","('#ragotin', ""À quoi bon tant prêcher,  Depuis qu'elle veut bien rire sans se fâcher ? "")",1.19,Substitution
209,"('#tersandre', ""Vois-tu qu'il a de l'air de qui sait me ravir ? Ce sujet là tout seul m'oblige à m'en servir."")","('#lucidor', 'Tais-toi, double faquin. ')",1.09,Substitution
210,"('#guillot', ""Si c'était la beauté qui vous tient en cervelle, À ce que je puis voir, vous vous serviriez d'elle. Avez-vous répondant ? À Climène."")","('#clidamant', ""Que faut-il que j'espère ? "")",0.99,Substitution
211,"('#climene', 'Oui-dà, Monsieur, fort bon.')",,1.0,Insertion
212,"('#tersandre', ""N'as-tu pas demeuré dans quelque autre maison ?"")",,1.0,Insertion
213,"('#climene', ""Oui, Monsieur, j'ai déjà servi chez une dame."")",,1.0,Insertion
214,"('#guillot', ""C'est un commencement pour être bonne lame ; Et cette dame était quelqu'une de nos soeurs, Qui pour gagner sa vie, accordait des douceurs ?"")",,1.0,Insertion
215,"('#climene', ""Je suis laquais d'honneur, Monsieur, je vous proteste, Et vous lui faites tort."")","('#polixene', ""Clidamant, vous pouvez là-dessus voir mon père,  L'honneur que je reçois me semble être si doux,  Que si j'étais à moi, je serais toute à vous. "")",0.64,Substitution
216,"('#guillot', 'Bonne petite peste, Que vous a-t-elle fait pour la quitter enfin ?')",,1.0,Insertion
217,"('#climene', ""C'est que j'avais du mal comme un petit lutin À frotter tous les jours les planchers de nos chambres : Si bien qu'on exerçait en ce lieu tous mes membres ; Et ce qui me faisait encore plus pester, J'avais incessamment une queue à porter, D'abord qu'elle sortait. Si jamais je sers dame..."")",,1.0,Insertion
218,"('#guillot', ""Vous aimez mieux servir un homme qu'une femme ?"")",,1.0,Insertion
219,"('#climene', 'Un homme assurément sera bien mieux mon fait.')","('#clidamant', 'Ô discours obligeant ! ')",1.71,Substitution
220,"('#guillot', ""Je vous crois très subtil à porter un poulet ; Car vous avez la mine, ou je veux qu'on me berce, D'être fort bien stylé dans l'amoureux commerce."")","('#lucidor', ""Et vous, aimable Aminte,  Approuvez-vous le feu dont mon âme est atteinte.  Puis-je espérer qu'un jour... "")",0.81,Substitution
221,"('#tersandre', ""Laisse-le là, Guillot, tu fais trop le badin. Comment t'appelle-t-on ? À Climène."")","('#aminte', ""Voyez mon père aussi.  Mais j'entends quelque bruit, retirons-nous d'ici. "")",1.49,Substitution
222,"('#climene', ""Monsieur, c'est Calotin Pour vous servir."")",,1.0,Insertion
223,"('#tersandre', 'Demeure.')",,1.0,Insertion
224,"('#guillot', 'Ah ! Petite Calotte, Si vous ne servez bien, je sais bien comme on frotte.')",,1.0,Insertion
225,"('#tersandre', 'De quel pays es-tu ?')",,1.0,Insertion
226,"('#climene', 'Je suis Périgourdin.')",,1.0,Insertion
227,"('#tersandre', 'Tu marches donc fort bien ?')","('#lucidor', 'Venez-vous ? ')",0.49,Substitution
228,"('#climene', ""Je fais bien du chemin; Lorsqu'il en est besoin, je vais comme un tonnerre."")","('#clidamant', ""Je vous suis.  Fais près de ta Maîtresse,  Béatrix, que je puisse obtenir sa tendresse.  Après à Béatrix en l'arrêtant."")",0.91,Substitution
229,"('#guillot', 'Mais peut-être avez-vous du diable un caractère.')","('#beatrix', 'On vous aime, Monsieur. ')",1.4,Substitution
230,"('#climene', 'Je suis un éveillé qui va bien sans cela.')",,1.0,Insertion
