,racine-thebaide,rotrou-antigone,Cost,Operation Type
44,"('#creon', ""L'intérêt de l'État est de n'avoir qu'un roi, Qui d'un ordre constant gouvernant ses provinces, Accoutume à ces lois et le peuple et les princes. Ce règne interrompu de deux rois différents, En lui donnant deux rois lui donne deux tyrans.  Par un ordre souvent l'un à l'autre contraire, Un frère détruirait ce qu'aurait fait un frère. Vous les verriez toujours former quelque attentat, Et changer tous les ans la face de l'État. Ce terme limité que l'on veut leur prescrire,  Accroît leur violence en bornant leur empire. Tous deux feront gémir les peuples tour à tour. Pareils à ces torrents qui ne durent qu'un jour, Plus leur cours est borné, plus ils font de ravage, Et d'horribles dégâts signalent leur passage. "")","('#polynice', ""C'est d'où nous vient aussi même droit à l'empire Que son ambition prétend de m'interdire, Et qui l'obligeait à me garder sa foi, Comme digne action et d'un frère et d'un roi. Pou vous, ma chère soeur, pieuse et sage fille, Gloire du sang d'Oedipe, honneur de sa famille, Croyez qu'il me déplaît, et très sensiblement, De vous devoir dédire une fois seulement : Mais, par cette amitié si parfaite et si tendre Par où je connais bien que vous me voulez prendre, Et pour qui j'aurais peine à vous rien refuser, De moi-même aujourd'hui laissez-moi disposer : Outre mon intérêt et celui de la Grèce, Mon honneur, plus que tout, à ce devoir me presse : J'arme pour le bon droit, lui pour la trahison ; Il tient pour l'injustice, et moi pour la raison"")",0.31,Substitution
45,"('#jocaste', ""On les verrait plutôt par de nobles projets, Se disputer tous deux l'amour de leurs sujets. Mais avouez, Créon, que toute votre peine C'est de voir que la paix rend votre attente vaine, Qu'elle assure à mes fils le trône où vous tendez,  Et va rompre le piège où vous les attendez. Comme après leur trépas le droit de la naissance Fait tomber en vos mains la suprême puissance, Le sang qui vous unit aux deux princes mes fils, Vous fait trouver en eux vos plus grands ennemis :  Et votre ambition qui tend à leur fortune, Vous donne pour tous deux une haine commune ; Vous inspirez au roi vos conseils dangereux, Et vous en servez un pour les perdre tous deux."")","('#antigone', ""Voilà donc cette soeur qui vous était si chère, Éconduite aujourd'hui d'une seule prière. Eh quoi ! Cette amitié qui naquit avec nous, De qui, non sans raison, Étéocle est jaloux, Et par qui je vois bien que je lui suis suspecte, Ne pouvant l'honorer comme je vous respecte ; Cette tendre amitié reçoit donc un refus ! Elle a perdu son droit et ne vous touche plus ! Au moins si de si loin vous pourriez voir mes larmes, Peut-être en leur faveur mettriez-vous bas les armes : Car je n'oserais pas encore vous reprocher  Que vous soyez plus dur et plus sourd qu'un rocher. Encore à la nature Étéocle défère ; Il se laisse gagner par les plaintes de ma mère ; Il n'a pas dépouillé tous sentiments humains, Et le fer est tout prêt à tomber de ses mains : Et vous, plus inhumain et plus inaccessible, Conservez contre moi le titre d'invincible : Moi dont le nom tout seul vous dût avoir touché, Dont depuis votre exil les yeux n'ont point séché ; Moi qui, sans vous mentir, trouverais trop aisée Quelque mort qui pour vous pût m'être proposée ; Moi malheureuse, enfin, qui vous prie à genoux, Moins pour l'amour de moi que pour l'amour de vous."")",0.0,Match
46,"('#creon', ""Je ne me repais point de pareilles chimères,  Mes respects pour le roi sont ardents et sincères, Et mon ambition est de le maintenir Au trône où vous croyez que je veux parvenir. Le soin de sa grandeur est le seul qui m'anime. Je hais ses ennemis, et c'est là tout mon crime ;  Je ne m'en cache point, mais à ce que je vois, Chacun n'est pas ici criminel comme moi."")","('#polynice', ""Si quelque sentiment demeure après la vie, Que je vous saurais gré de me l'avoir ravie ! Plutôt, ma chère soeur, que de me commander Ce que ma passion ne vous peut accorder, Venez m'ôter ce fer, oui, venez ; mais sur l'heure Plongez-le dans mon sein et faites que je meure ; Pour vous ma déférence ira jusqu'au trépas ; Mais je ne saurais vivre et ne me venger pas."")",0.07,Substitution
47,,"('#eteocle', ""Je viens enfin, je viens, prêt à te satisfaire ; Et crois que si plus tôt j'avais pu me soustraire, Plutôt dessus les lieux tu m'aurais vu rendu, Et n'aurais pas l'honneur de m'avoir attendu. Ma mère, à mon déçu par Éphise avertie, Avez tous ses efforts empêchait ma sortie, Dont il m'a bien déplu, car je n'ai pas douté Que mon retardement n'enflât ta vanité. Ton appel est, au reste, un bien que je t'envie ; J'en prétendais la gloire, et tu me l'as ravie : Cent fois de ce dessein mon coeur m'avait pressé, Et ce n'est que du temps que tu m'as devancé. Thèbes, sur qui jamais nul ne régna sans crime, Le sort te va donner un prince légitime. Voyons s'il m'ôtera le nom que j'en ai pris ; Que le champ du combat e soit aussi le prix."")",1.0,Deletion
48,,"('#antigone', ""Ils s'approchent, ô dieux, et nul n'y met obstacle ! Fuyons, ne voyons pas cet horrible spectacle. Elle sort."")",1.0,Deletion
49,"('#jocaste', ""Je suis mère, Créon, et si j'aime son frère, La personne du roi ne m'en est pas moins chère ; De lâches courtisans peuvent bien le haïr,  Mais une mère enfin ne peut pas se trahir. "")","('#polynice', ""Enfin quelque remords t'a donc fait souvenir Que ta fois s'est donnée et qu'il la faut tenir ? Tu m'es donc frère enfin ? Car ce n'était pas l'être Que de parjurer et de traiter en traître. Pour nous mieux obliger, viens, signons nos accords De notre propre sang et sur nos propres corps."")",0.6,Substitution
50,,"('#creon', 'Que veut hors de saison cette femme importune ?')",1.0,Deletion
51,,"('#hemon', ""Détourner s'il se peut une étrange infortune."")",1.0,Deletion
52,,"('#capitaine-2nd', ""C'est leur mère. Ô nature ! Assiste son dessein."")",1.0,Deletion
53,"('#antigone', 'Vos intérêts ici sont conformes aux nôtres, Les ennemis du roi ne sont pas tous les vôtres ; Créon, vous êtes père, et dans ces ennemis, Peut-être songez-vous que vous avez un fils.  On sait de quelle ardeur Hémon sert Polynice. ')","('#jocaste', ""Plongez, plongez, cruels, vos armes dans mon sein ; Déployez contre moi votre aveugle colère, Contre moi qui donnais des frères à leur père ; Ou, si vous m'épargnez, ne versez pas le sang Que vous avez puisé dans ce coupable flanc : Accordez-le moi tout, ou ne m'en laissez goutte ; Perdez-moi toute entière, ou conservez-moi toute. Quoi ! Nul de vous encore n'a mis les armes bas ? Je parle, et de vos mains elles ne tombent pas ? Si quelque pitié règne chez vous encore, Consentez à la paix que votre mère implore ; Si le crime vous plaît, un plus grand s'offre à vous ; Ce flanc dont vous sortez est en butte à vos coups. Cessez donc cette guerre, ou cessez-en la trêve ; Faites qu'elle s'éteigne, ou bien qu'elle s'achève ; Ou n'allez pas plus outre, ou passez jusqu'au bout ; Ne considérez rien, ou considérez tout. Sus, voyons quel effet obtiendront mes prières, Car mes commandements n'en obtiendront plus guère ; Je n'avancerais rien en vous contredisant : J'ordonnais autrefois, et je prie à présent. À qui s'adresseront mes premières caresses ? Tous deux également partagent mes tendresses : Celui-là fut absent ; mais si le pacte tient, Celui-là le sera, puisque l'autre revient. Ainsi je perds l'espoir de vous revoir ensemble; Si ce n'est que la guerre encore vous assemble ; L4heur de vous entrevoir ne vous est pas permis : Si vous ne vous fuyez, vous êtes ennemis : Vous êtes divisés ou de coeur ou d'espace ; La haine vous rapprochent et l'amitié vous chasse. Ça, mes premiers baisers s'adresseront à vous Qu'une si longue absence a séparé de nous :  Venez les recevoir d'une approche civile, Et déchargez vos mains de ce fais inutile. Eh ! Quel est cet abord ? Qu'il est peu gracieux ! Pourquoi sur votre frère attachez-vous les yeux ? Je vous couvrirai tout, et pour vous faire outrage Il faudrait que par moi son fer se fit passage. Chassez de votre esprit ce défiant souci; Si ce n'est que ma foi soit suspecte aussi. À Polynice."")",0.16,Substitution
54,"('#creon', ""Oui, je le sais, Madame, et je lui fais justice, Je le dois en effet distinguer du commun ; Mais c'est pour le haïr encor plus que pas un. Et je souhaiterais dans ma juste colère,  Que chacun le haït comme le hait son père. "")","('#polynice', ""Ne désirez-vous point que je vous dissimule ? Ma sûreté dépend de n'être plus crédule ; La nature n'a plus d'inviolables droits ; Et son propre intérêt chacun a fait des lois ; Et l'épreuve m'apprend que du pu artifice Nature, son contraire, aujourd'hui fait office : Votre parole enfin m'est suspecte aussi; Ma mère pourrait bien ce que mon frère a fait."")",0.34,Substitution
55,"('#antigone', ""Après tout ce qu'a fait la valeur de son bras, Tout le monde en ce point ne vous ressemble pas."")","('#jocaste', ""Soupçonnez votre mère ; oui, j'approuve qu'en elle Vous redoutiez d'avoir une garde infidèle : De cet indigne faix ne déchargez ce bras Qu'après qu'en ma faveur le roi l'aura mis bas."")",1.62,Substitution
56,,"('#polynice', ""Le roi ? Quoi ! Le perfide exige encore ce titre Durant ce différend dont le sort est arbitre ? Vous et sa trahison l'avez donc couronné ?"")",1.0,Deletion
57,,"('#eteocle', 'Bientôt, bientôt les dieux en auront ordonné.')",1.0,Deletion
58,"('#creon', ""Je le vois bien, Madame, et c'est ce qui m'afflige ; Mais je sais bien à quoi sa révolte m'oblige,  Et tous ces beaux exploits qui le font admirer, C'est ce qui me le fait justement abhorrer. La honte suit toujours le parti des rebelles, Leurs grandes actions sont les plus criminelles; Ils signalent leur crime en signalant leur bras,  Et la gloire n'est point où les rois ne sont pas. "")","('#jocaste', ""Hélas ! Qu'en la fureur dont votre âme est pressée Vous venez tout d'un sens contraire à ma pensée ! Je ne viens pas ici pour aigrir vos débats ; Je lui donne ce titre et ne vous l'ôte pas. Pour vous la pitié peut-être a plus de charmes : Approchez, Étéocle, et mettez bas les armes ; Cachez à mes regards leur flamboyant acier : Vous les fîtes lever, posez-les le premier. Vous vous craignez l'un l'autre, et moi tous deux ensemble ; Mais tous deux pour tous deux c'est pour vous que je tremble. Mais votre défiance à la fin doit cesser. Le voilà désarmé, puis-je vous embrasser ? Faites ici, mes pleurs, l'office de ma langue. Mes sanglots, mes soupirs, commencez ma harangue. Enfin les dieux, mon fils, ont exaucé mes voeux ; J'obtiens en ces baisers la faveur que je veux : Mais fasse leur bonté, fassent mes destinées Que ce bonheur me dure encore quelques années ! Vous, faites-le, mon fils, puisque vous le pouvez, Car il me durera si vous vous conservez : Les bruits nous ont appris avec allégresse Et quel honnête accueil vous a reçu la Grèce : Vous y vîtes Adraste et l'on dit qu'en sa cour Vous avez fait un choix digne de votre amour. Mais qui dans votre lit conduisit votre épouse ? C'est un droit qu'on m'ôtait et dont je suis jalouse.. Vous songeâtes sans doute, en cette élection, En quel lieu s'adressait votre inclination ; Mais sûtes-vous juger que par cette alliance Vous nous donniez sujet de juste défiance ? Savez-vous sous quel joug cet hymen vous a mis ? De nos plus enragés et mortels ennemis, Qui ne vous ont ouvert ni leur bras ni leur terre Que pour avoir prétexte à nous faire la guerre. Sur ce simple douaire ils vous ont accordé Ce funeste parti plus tôt que demandé : Aussi portiez-vous trop, leur portant le semences Des ces divisions et de ces violences : Car quelle est cette guerre et quels sont ses objets ? Vos parents, vos amis, vos pays, vos sujets : C'est ce qu'on peut nomme votre parti contraire. De ce funeste hymen nous sommes le douaire ; Encor suis-je obligée à vos mauvais desseins ; Et j'aime cette guerre autant que je la crains, Puisqu'elle m'a rendu le bien de votre vue, Et que cette faveur lui devait être due. Tout un peuple ennemi marche dessus vos pas ; Vous lui sacrifiez votre natale terre : Enfin sans vous, mon fils, je n'aurais pas la guerre ; Mais sans la guerre aussi je ne vous aurais pas. À Étéocle. Il met son épée à terre. À Polynice."")",0.12,Substitution
59,,"('#polynice', ""Tout un peuple allié marche dessus mes pas Pour me rendre mes droits et ma natale terre : Il est vrai que sans moi vous n'auriez pas la guerre ; Mais sans la guerre aussi je ne vous aurais pas."")",1.0,Deletion
60,,"('#eteocle', ""Tout un peuple ennemi marche dessus vos pas Et ne vous rendra point votre natale terre : Il est vrai que sans vous Thèbes serait sans guerre ; Mais elle aura la guerre et vous ne l'aurez pas."")",1.0,Deletion
61,"('#antigone', 'Écoutez un peu mieux la voix de la nature.')",,1.0,Insertion
62,"('#creon', ""Plus l'offenseur m'est cher, plus je ressens l'injure."")","('#jocaste', ""Tout mon sang, de frayeur en mes veines se glace. Ma prière, cruels, n'obtient donc point de grâce ? Je n'ai pouvoir, crédit, autorité, ni rang, Et ne puis accorder mon sang avec mon sang ?"")",1.27,Substitution
63,"('#antigone', 'Mais un père à ce point doit-il être emporté ? Vous avez trop de haine.')","('#polynice', ""Ne vous semble-t-il point que la gloire d'un prince Soit d'errer vagabond de province en province ? Chasse de mes pays, de mes biens, de ma cour, De mon partage encor dois-je point de retour ? Que pourrais-je avoir pis si j'étais le parjure, Si j'avais violé les droits de la nature ? Il faut qu'un traître règne, et que j'en sois banni ! Il sera coupable, et je serai puni ! Non, non ; le droit l'ordonne, en première maxime, Le prix à l'innocence et le supplice au crime : Je dois souhaiter l'une, et l'autre l'étouffer ; Et le droit que je veux est au bout de ce fer."")",1.39,Substitution
64,"('#creon', ""Et vous trop de bonté.  C'est trop parler, Madame, en faveur d'un rebelle."")","('#eteocle', ""Qu'un brave parle haut !"")",1.32,Substitution
65,"('#antigone', ""L'innocence vaut bien que l'on parle pour elle."")","('#polynice', ""Qu'un traître tard se fâche !"")",1.68,Substitution
66,,"('#eteocle', 'Souvent tel brave tremble.')",1.0,Deletion
67,,"('#polynice', 'Et plus souvent un lâche.')",1.0,Deletion
68,"('#creon', 'Je sais ce qui le rend innocent à vos yeux.')","('#eteocle', ""Ce coeur si haut m'étonne."")",1.36,Substitution
69,,"('#polynice', 'Et moi le tien si bas.')",1.0,Deletion
70,,"('#eteocle', ""L'effet le montrera."")",1.0,Deletion
71,,"('#polynice', 'Tu ne te hâtes pas ?')",1.0,Deletion
72,"('#antigone', 'Et je sais quel sujet vous le rend odieux.')","('#jocaste', ""Quelle gloire, bons dieux, ou plutôt quelle rage À faillir le premier met le plus de courage ? La valeur est honteuse en pareil différend, Et la gloire appartient à celui qui se rend. Je sais qu'à votre tête il faut une couronne ; Mais que hors de chez vous votre main vous la donne. Faut-il que d'un seul lien vos desseins soient bornés ? Et ne saurais-je avoir deux enfants couronnés ? Montez, le fer en main, les rochers de Tymole, Soumettez-vous les lieux que dore le Pactole ; Osez ce qu'ont osé tant d'autres conquérants ; Tenez tout de vous seul, et rien de vos parents : Encore en tiendrez-vous ce grand coeur en partage, Ce coeur qui vous peut faire un si bel héritage, Qui vous peut au besoin donner un si beau rang Sans que vous le cherchiez dans votre propre sang."")",0.9,Substitution
73,,"('#polynice', 'Que Thèbes lui demeure, et que je me retire !')",1.0,Deletion
74,,"('#jocaste', ""Thèbes, vous le savez, est un fatal empire, Et son trône est un lieu funeste à son roi : Les exemples de Laie et d'Oedipe en font foi."")",1.0,Deletion
75,,"('#polynice', 'Un autre encore bientôt le fera mieux paraître.')",1.0,Deletion
76,,"('#jocaste', 'Cruel ! De votre frère ?')",1.0,Deletion
77,"('#creon', ""L'amour a d'autres yeux que le commun des hommes. "")","('#polynice', 'Et de tous deux peut-être.')",1.33,Substitution
78,,"('#jocaste', 'Quelle obstination. !')",1.0,Deletion
79,,"('#polynice', 'Quelle infidélité !')",1.0,Deletion
80,,"('#jocaste', 'Mais quoi ! Son règne plaît, le vôtre est redouté ; Il a gagné les coeurs....')",1.0,Deletion
81,"('#jocaste', ""Vous abusez, Créon, de l'état où nous sommes,  Tout vous semble permis, mais craignez mon courroux. Vos libertés enfin retomberaient sur vous."")","('#polynice', ""Et moi, moins populaire, Je tiens indifférent d'être craint ou de plaire. Qui règne aimé des siens en est moins absolu ; Cet amour rompt souvent ce qu'il a résolu ; Plus est permis aux rois à qui plus on s'oppose ; Une lâche douleur au mépris les expose : Le peuple, trop aisé, les lie en les aimant ; Il faut pour être aimé régner trop mollement."")",0.75,Substitution
82,,"('#jocaste', ""L'amour de ses sujets est une sûre garde."")",1.0,Deletion
83,"('#antigone', ""L'intérêt du public agit peu sur son âme, Et l'amour du pays nous cache une autre flamme.  Je le sais ; mais, Créon, j'en abhorre le cours,  Et vous ferez bien mieux de la cacher toujours."")","('#polynice', ""Souvent qui trop se fie aussi trop se hasarde. Mais ne m'opposez plus d'inutiles avis. Parle, ma passion; les tiens seront suivis : Passe au dernier excès que peut faire paraître L4amour d'une couronne et la haine d'un traître. Je ne puis d'aucun prix, tant fût-il infini, Voir l'une trop payée et l'autre trop puni."")",0.12,Substitution
84,"('#creon', ""Je le ferai, Madame, et je veux par avance, Vous épargner encor jusques à ma présence. Aussi bien mes respects redoublent vos mépris,  Et je vais faire place à ce bienheureux fils.  Le roi m'appelle ailleurs, il faut que j'obéisse ; Adieu, faites venir Hémon et Polynice."")","('#jocaste', ""Bien, puisque ni sanglots, ni prières, ni larmes Ne peuvent de vos mains faire tomber les armes, Et qu'avecque raison je vous puis reprocher Que vous partez un coeur aussi dur qu'un rocher, Je conjure des dieux la puissance suprême De me faire venger par votre refus même ; Et vous souhaite encor quelque malheur plus grand Que celui que promet ce mortel différend. Une invincible ardeur en mes veines s'allume, Qui d'un secret effort jusqu'aux os me consume ; Ma constance est à bout, la nature se tait, La fureur me possède, et ce malheur me plaît. Adieu, non plus mes fils, mais odieuses pestes, Et détestables fruits de meurtres et d'incestes : Vous ne mourrez pas seuls, et je suivrai vos pas Pour vous persécuter même jusqu'au trépas. Elle sort furieuse."")",0.21,Substitution
85,,"('#capitaine-1er', 'Son entremise est vaine.')",1.0,Deletion
86,,"('#hemon', 'Ô constance barbare !')",1.0,Deletion
87,"('#jocaste', ""N'en doute pas, méchant, ils vont venir tous deux, Tous deux ils préviendront tes desseins malheureux. "")","('#creon', ""Enfin le champ est libre, et rien ne vous sépare : Qui ne presse faiblit l'effet de grands projets. Vengez-vous, vengez-vous, et vengez vos sujets."")",0.78,Substitution
88,,"('#eteocle', ""Votre intérêt, Créon, vous meut plus que ma gloire ; Vous pressez le combat et craignez la victoire. Vous savez qu'après nous le sceptre des Thébains, Par ordre et droit de sang, doit passer en vos mains. Mais les garde le ciel de votre tyrannie ! Voici par quoi sera votre attente bannie : Choisissons ici près un champ plus spacieux D'où l'un et l'autre camp nous considère mieux, Et que le sort après conduise l'aventure."")",1.0,Deletion
89,,"('#polynice', 'Faisons tôt.')",1.0,Deletion
90,"('#antigone', 'Le perfide, à quel point son insolence monte ! ')","('#hemon', 'Ô journée honteuse à la nature !')",1.46,Substitution
91,"('#jocaste', ""Ses superbes discours tourneront à sa honte. Bientôt si nos désirs sont exaucés des cieux, La paix nous vengera de cet ambitieux. Mais il faut se hâter, chaque heure nous est chère ;  Appelons promptement Hémon et votre frère ;  Je suis pour ce dessein prête à leur accorder Toutes les sûretés qu'il pourront demander. Et toi, si mes malheurs ont lassé ta justice, Ciel, dispose à la paix le coeur de Polynice, Seconde mes soupirs, donne force à mes pleurs ;  Et comme il faut enfin, fais parler mes douleurs."")","('#antigone', ""Inconstante reine du monde, Qui fais tout par aveuglement, Sans dessein et sans fondement, Et qui toutefois toute chose se fonde, Pousse ta roue et ne te lasse pas ; Fais que son tour s'achève : Il faudra qu'elle nous relève, Après nous avoir mis si bas. Tels que d'une mer agitée On voit les flots s'entre-suivants, Se fuir après au gré des vents,  Et ne tenir jamais une assiette arrêtée : Tel est ton ordre aux biens que tu nous fais ; Tu caresses, tu frappes, Tu viens à nous, tu nous échappes, Et tu ne t'arrêtes jamais. Mais pourquoi, trompeuse déesse, S'il est vrai que tu n'as point d'yeux Est-ce plutôt à de hauts lieux Qu'à des toits de bergers que ta rigueur s'adresse ? Tu ne peux voir la tête d'un roi L'éclat que tu lui donnes ; Et qui tient de toi des couronnes A toujours guerre avec toi."")",0.0,Match
92,"('#antigone', ""Et si tu prends pitié d'une flamme innocente, Ô ciel ! en ramenant Hémon à son amante, Ramène-le fidèle, et permets en ce jour,  Qu'en retrouvant l'amant je retrouve l'amour."")","('#antigone', ""Tu reviens seul, Hémon ? Ô sinistre présage ! Que je lis d'infortune aux traits de ton visage !"")",0.3,Substitution
93,"('#hemon', ""Quoi, vous me refusez votre aimable présence, Après un an entier de supplice et d'absence ? Ne m'avez-vous, Madame, appelé près de vous, Que pour m'ôter sitôt un bien qui m'est si doux ? "")","('#hemon', 'Il vous faut divertir par un autre entretien.')",1.31,Substitution
94,"('#antigone', ""Et voulez-vous sitôt que j'abandonne un frère ? Ne dois-je pas au temple accompagner ma mère ? Et dois-je préférer, au gré de vos souhaits, Le soin de votre amour à celui de la paix ?"")","('#antigone', 'Hélas ! Tu me dis tout en ne me disant rien.')",1.98,Substitution
95,"('#hemon', ""Madame, à mon bonheur c'est chercher trop d'obstacles ;  Ils iront bien sans nous consulter les oracles. Permettez que mon coeur en voyant vos beaux yeux, De l'état de son sort interroge ses Dieux. Puis-je leur demander sans être téméraire, S'ils ont toujours pour moi leur douceur ordinaire ?  Souffrent-ils sans courroux mon ardente amitié ? Et du mal qu'ils ont fait ont-ils quelque pitié ! Durant le triste cours d'une absence cruelle, Avez-vous souhaité que je fusse fidèle ? Songiez-vous que la mort menaçait loin de vous Un amant qui ne doit mourir qu'à vos genoux ? Ah! d'un si bel objet quand une âme est blessée ; Quand un coeur jusqu'à vous élève sa pensée, Qu'il est doux d'adorer tant de divins appas ! Mais aussi que l'on souffre en ne les voyant pas !  Un moment loin de vous me durait une année, J'aurais fini cent fois ma triste destinée, Si je n'eusse songé jusques à mon retour, Que mon éloignement vous prouvait mon amour ; Et que le souvenir de mon obéissance Pourrait en ma faveur parler en mon absence, Et que pensant à moi, vous penseriez aussi Qu'il faut aimer beaucoup pour obéir ainsi."")","('#hemon', 'Madame, je croyais que la commune plainte Vous eût déjà livré cette sensible atteinte, Et fût cause du deuil que je rencontre ici.')",0.35,Substitution
96,,"('#antigone', 'Étéocle est-il mort ?')",1.0,Deletion
97,"('#antigone', ""Oui je l'avais bien cru qu'une âme si fidèle Trouverait dans l'absence une peine cruelle.  Et si mes sentiments se doivent découvrir, Je souhaitais, Hémon, qu'elle vous fît souffrir ; Et qu'étant loin de moi, quelque ombre d'amertume Vous fît trouver les jours plus longs que de coutume. Mais ne vous plaignez pas, mon coeur chargé d'ennui Ne vous souhaitait rien qu'il n'éprouvât en lui. Surtout depuis le temps que dure cette guerre, Et que de gens armés vous couvrez cette terre, Ô Dieux ! à quels tourments mon coeur s'est vu soumis, Voyant des deux côtés ses plus tendres amis !  Mille objets de douleur déchiraient mes entrailles, J'en voyais et dehors et dedans nos murailles, Chaque assaut à mon coeur livrait mille combats, Et mille fois le jour je souffrais le trépas."")","('#hemon', ""Et Polynice aussi. Faites à ce grand coeur faire un effort extrême ; Opposez la nature à la nature même. L'ennui d'un tel malheur ne peut être léger ; Mais la part que j'y prends le doit bien alléger."")",0.17,Substitution
98,"('#hemon', ""Mais enfin qu'ai-je fait en ce malheur extrême,  Que ne m'ait ordonné ma princesse elle-même ? J'ai suivi Polynice, et vous l'avez voulu, Vous me l'avez prescrit par un ordre absolu. Je lui vouai dès lors une amitié sincère, Je quittai mon pays, j'abandonnai mon père ;  Sur moi par ce départ j'attirai son courroux, Et pour tout dire, enfin, je m'éloignai de vous."")","('#antigone', ""Ô prodige ! Ô combat digne de son issue, Où plus que les vaincus la nature est vaincue, Où le crime s'est vu par le crime étouffer, Où l'impiété seule a droit de triompher ! Faites m'en le récit."")",0.43,Substitution
99,,"('#hemon', 'Votre douleur peut-être...')",1.0,Deletion
100,,"('#antigone', ""Non, elle est en un point où rien ne peut l'accroître ; Mes sens par son excès sont demeurés perclus ; Pour la trop ressentir je ne la ressens plus."")",1.0,Deletion
101,"('#antigone', ""Je m'en souviens, Hémon, et je vous fais justice. C'est moi que vous serviez en servant Polynice ; Il m'était cher alors comme il est aujourd'hui,  Et je prenais pour moi ce qu'on faisait pour lui. Nous nous aimions tous deux dès la plus tendre enfance, Et j'avais sur son coeur une entière puissance ; Je trouvais à lui plaire une extrême douceur, Et les chagrins du frère étaient ceux de la soeur.  Ah ! si j'avais encor sur lui le même empire, Il aimerait la paix, pour qui mon coeur soupire. Notre commun malheur en serait adouci ; Je le verrais, Hémon, vous me verriez aussi."")","('#hemon', ""Quand leur haine obstinée eut rendu de la reine Le pouvoir sans effet et la prière vaine, Et qu'au champ du combat chacun d'eux consentit, La rage s'y vint rendre, et nature en sortit : Pareils à deux lions, et plus cruels encore, Du geste chacun d'eux l'un l'autre se dévore : Avant qu'en être aux mains ils combattent des yeux, Et se lancent d'abord cent regards furieux. Enfin, d'un maintien grave et d'une voix altière,  Polynice tout haut pousse cette prière : « Ô dieux ! Si quelquefois vous consentez au mal, Quand il semble ordonné par un décret fatal, Et qu'on en peut nommer la cause légitime, Guidez ce bras vengeur et soutenez mon crime : Après, pour l'expier, à moi-même inhumain, Dedans mon propre sang je laverai ma main : Si ce traître y peut voir le sceptre qu'il me nie, Avant que de son corps son âme soit bannie, Et s'il peut en mourant emporter avec soi Le regret de savoir que je survive roi. »  Là commence, l'approche, où l'ardeur les presse Pratique aux premiers coups quelque art et quelque adresse : Ils passent sans effet et d'une et d'autre part ; Mais bientôt la fureur l'emporte dessus l'art : Chacun voulant porter, et chacun voulant rendre, Quitte pour attaquer le soin de se défendre ; Et tous deux, tout danger à leur rage soumis, S'exposent aussi nus que s'ils étaient amis : Mais après que, pareils de force et de courage, Ils ont gardé longtemps un égal avantage, De Polynice enfin le sort guide le bras : Il pousse un coup mortel qui porte l'autre à bas."")",0.55,Substitution
102,,"('#antigone', 'Et le ciel à ce crime a prêté sa lumière !')",1.0,Deletion
103,"('#hemon', ""De cette affreuse guerre il abhorre l'image.  Je l'ai vu soupirer de douleur et de rage, Lorsque pour remonter au trône paternel, On le força de prendre un chemin si cruel. Espérons que le ciel touché de nos misères, Achèvera bientôt de réunir les frères ;  Puisse-t-il rétablir l'amitié dans leur coeur, Et conserver l'amour dans celui de la soeur !"")","('#hemon', 'Le roi tombe, et son sang coule sur la poussière : Mais en sa chute encore sa haine se soutient, Et son coeur veut encore éclore un espoir qu\'il retient : Couleur ni mouvement ne reste à son visage ; Il semble que des sens il ait perdu l\'usage : Il le réserve tout pour un dernier effort, Et sait encore tromper dans les bras de la mort. Polynice, ravi d\'une fausse victoire Dont bientôt sa défaite effacera la gloire, Levant les mains au ciel, s\'écrie à haute voix : « Soyez bénis, ô dieux, juste juges des rois ! Thèbes, dessus ma tête apporte ta couronne ; Elle est mienne, et le sang par deux fois me la donne. Apporte, cette vue hâtera son trépas; Ma tête achèvera l\'office de mon bras. »  Il s\'approche à ces mots, lui veut ôter l\'épée ; Mais sa main est à peine à cette oeuvre occupée, Que l\'autre, ramassant un reste de vigueur Que la haine entretient à l\'entour de son coeur, Retire un peu le bras, puis, le poussant d\'adresse, Lui met le fer au sein que mourant il y laisse. Polynice, à ce coup, mortellement atteint, Une froide pâleur s\'emparant de son teint: ""Quoi ! Ta rage, dit-il, n\'est donc pas assouvie, Et tes déloyautés ont survécu ta vie ? Ta perfidie arrête où ton âme n\'est pas ? Attends-moi, traître, attends, je vais suivre tes pas, Et, plus ton ennemi que e ne fus en terre, Te porter chez les morts une immortelle guerre ; Là, nos âmes feront ce qu\'ici font nos corps ; Nous nous battons vivants, et nous nous battrons morts."" Avecque ce discours il achève sa vie ; La lumière de ses yeux est pour jamais ravie ; Et nous, le coeur transi de frayeur et d\'ennui, Demeurons sur-le-champ presque aussi morts que lui.')",0.21,Substitution
104,"('#antigone', 'Hélas ! ne doutez point que ce dernier ouvrage Ne lui soit plus aisé que de calmer leur rage ; Je les connais tous deux, et je répondrais bien Que leur coeur, cher Hémon, est plus dur que le mien. Mais les Dieux quelquefois font de plus grands miracles.')","('#antigone', ""Que votre mort, ma mère, est un bien que j'envie, Et qu'il me serait doux de vous avoir suivie ! Venez voir, cher Hémon, si le ciel en courroux Peut lâcher quelque trait qu'il n'ait lâché sur nous... Entrez en cette chambre. Hémon sort."")",0.68,Substitution
105,,"('#ismene', 'Ô barbare sentence !')",1.0,Deletion
106,"('#antigone', ""Hé bien apprendrons-nous ce qu'ont dit les oracles ? Que faut-il faire ?"")",,1.0,Insertion
107,"('#olympe', 'Hélas !')","('#antigone', 'Quel ennui doit encore éprouver ma constance ?')",1.41,Substitution
