,cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Cost,Operation Type
113,"('#antoine', ""Ce n'est pas Dieu, je le vois bien, ce sort les prêtres qui repoussent les comédiens. "")","('#laforet', ""Ce soir, quand le public sera dans not' spectacle,  Il demand'ra Tartuff'. Les ouvrag's défendus  Sont ceux que le public toujours aime le plus. "")",1.06,Substitution
114,"('#laforet', 'Oui.... par jalousie de métier. ')","('#saint-alban', 'Après... ')",1.51,Substitution
115,"('#moliere', 'Ce mot là ne sera pas perdu. ')",,1.0,Insertion
116,"('#moliere', ""Demain la noce se fera ici ; mais ce soir venez me retrouver avec le tabellion ; nous avons une petite affaire à terminer, et je vous promets d'assister aux fiançailles, si elles se font assez tard pour que j'y paraisse.... sans scandaliser.  Adieu, mes enfants...  À ce soir."")",,1.0,Insertion
117,"('#laforet', ""Mes bons amis, vous n'êtes guère curieux ; vous savez que je reçois du monde ce soir, et vous ne me demandez pas les noms des convives !...  Remerciez-moi.  J'ai écrit à Chapelle, à La Fontaine, et ils viendront souper avec nous.  Il y a longtemps que nous ne nous somme réunis, et je veux, puisque je suis un peu rétabli, égayer notre soirée.  Boileau viendra, je crois, aussi, quoiqu'il ne me l'ait pas assuré. Et toi ; songes à nous bien traiter. À Laforêt."")","('#laforet', ""Molière dira : « Messieurs , c'est impossible.  Un pareil contre-temps comme à vous m'est sensible ; Mais un ordre formel m'empêche par malheur  De donner aujourd'hui Tartuffe ou l'Imposteur,  Monsieur le Président ne veut pas qu'on le joue.»"")",1.09,Substitution
118,"('#laforet', 'Vous voulez faire grande chère ? ')",,1.0,Insertion
119,"('#moliere', 'Sans doute. ')","('#saint-alban', 'Quoi ?... ')",0.98,Substitution
120,"('#laforet', 'Et votre régime!  Ah ! Mon maître souvenez-vous que Monsieur Fleurant vous a défendu de voir beaucoup de monde. Avec intérêt.')","('#laforet', ""C'est un bon soufflet qu'il aura sur la joue Le Président ?"")",1.59,Substitution
121,,"('#saint-alban', ""C'est trop... "")",1.0,Deletion
122,,"('#laforet', ""D'abord il le rec'vra ,  Et puis à Saint-Alban ben vite il le rendra. "")",1.0,Deletion
123,"('#moliere', 'Oui : eh bien ? ')","('#saint-alban', 'Ah ! Si Molière osait !... ')",1.32,Substitution
124,"('#laforet', ""Vous n'avez pas un médecin pour marcher comme ça sur ses ordonnances. "")",,1.0,Insertion
125,"('#moliere', ""J'ai pris un savant médecin,  Je hais la médecine.  Mon docteur a le coup d'oeil fin,  L'humeur vive et badine.  Nous causons ensemble, et je ris  Des remèdes qu'il cite :  Je n'en prends aucuns, je guéris....  Fleurant se félicite. AIR de Joconde. "")","('#laforet', ""Sentez-vous l'équivoque ?  Qu'on le joue.... Oh ! Je vols le public qui se moque  Du pauvre Président, si fourbe, si cagot.  Je vois ce Saint-Alban enrager comme un sot.  Il pouss' le Président à venger cette offense,  Mais sur lui, dès ce soir, tombe tout' la vengeance.  Le Président le chasse, et dit avec courroux :  « On se moque de moi, pour se moquer de vous. » "")",0.4,Substitution
126,"('#lulli', 'Il ne faut rien faire qui nuise à ta santé ; songes que depuis plus de quinze jours le théâtre te redemande.')",,1.0,Insertion
127,"('#moliere', ""Oui ; mais voilà plus de quinze scènes que j'ai faites depuis, et mon médecin m'en a fourni plus d'une."")",,1.0,Insertion
128,"('#mignard', ""C'est ainsi que Molière tire parti de tout, et fait des habits à toutes les tailles. "")","('#saint-alban', 'Que Molière !... ')",0.29,Substitution
129,"('#lulli', ""Cela n'est pas étonnant, il est fils d'un tailleur."")",,1.0,Insertion
130,"('#moliere', ""Ah !...  Lulli !  Trève pour les pointes... jusqu'au dessert "")","('#laforet', ""Il le f'ra. "")",1.59,Substitution
131,"('#laforet', 'Je vois bien que le souper aura lieu, au moins promettez-moi que vous ne prendrez que du lait.')",,1.0,Insertion
132,"('#moliere', ""Hélas! dans le siècle où nous sommes,  On doit farder la vérité :  Que ne suis-je au temps où les homme.  Parleront avec liberté!  S'il m'etait permis de tout dire,  Que de vices seraient proscrits ?  Mais ce que je ne puis écrire,  Je le pense avec mes amis. Je te le promets ; mais j'ai besoin de voir mes amis, et de rire avec eux des ridicules que ma plume, déjà trop hardie, n'ose pas encore mettre sur la scène.  AIR : Tout roule aujourd'hui dans le monde. "")","('#saint-alban', ""D'un semblable artifice  Dès demain, dès ce soir, les lois me font justice.  Molière disparaît."")",1.15,Substitution
133,,"('#laforet', ""V'la mon maîtr'... "")",1.0,Deletion
134,,"('#saint-alban', 'Molière ! ')",1.0,Deletion
135,,"('#moliere', 'Ah ! Monsieur Saint-Alban ! ')",1.0,Deletion
136,,"('#laforet', 'Saint Alban, quoi ? Grand Dieu ! Sauvez-vous promptement. ')",1.0,Deletion
137,"('#lulli', 'La Fontaine viendra sans doute par le bois de Boulogne ; je vais au devant de lui.')","('#moliere', 'Eh pourquoi ? ')",1.57,Substitution
138,,"('#laforet', ""J'ai tout dit... 0h ! Quelle étourderie !  Sauvez-vous... "")",1.0,Deletion
139,"('#moliere', ""Combien j'ai de choses en arrière !...  Voici des lettres que je n'ai pas encore lues...  Voyons....  De la Thorillière ?  Que me mande-t-il ?  Un nouveau succès...  Bravo !...  Écoutez, écoutez...  Voici du comique.  Je te préviens, mon ami, que les Poquelins, pour assurer leur nouvelle noblesse, viennent de faire de faire dresser leur généalogie."")","('#moliere', 'Laisse-moi... ')",1.58,Substitution
140,"('#mignard', 'Bon !  Quelle sottise !')","('#saint-alban', ""De votre effronterie  Je suis instruit , monsieur : et je vous apprendrai  Qu'un magistrat honnête, et sage, et révéré  N'est pas fait pour se voir l'objet des perfidies  D'un fol auteur qui fait de sottes comédies. "")",0.92,Substitution
141,"('#moliere', ""Si j'obtiens des succès nombreux,  Si la gloire m'est favorable,  Par son mépris injurieux  En vain ma famille m'accable.  Dans un art par-tout estimé,  C'est sur-tout, c'est l'homme qui brille ;  Les grands hommes qui l'ont formé  Sont ses aÎeux, sont sa famille.  .... Je l'ai vue chez ton oncle Bartholomé, le seul qui ait voulu accepter ses entées à notre théâtre ; mais en vain j'y ai cherché ton nom : ton père, y est-il dit, est mort sans enfants.  — Ah! ah! .... ainsi donc ma famille me renie ?  N'importe, Molière, travaille toujours, travaille pour ton siècle, et s'il se peut, pour la postérité. AIR : Vaudeville de l'Isle des femmes. "")","('#moliere', ""Vos outrages, Monsieur, ne peuvent m'affecter ;  Y répondre serait presque les mériter.  L'honnête magistrat que la justice anime,  A des droits , je le sais, à la publique estime :  Mais il la perd bientôt grâces à ses flatteurs.  Je connais de nos jours les vulgaires erreurs ;  Chacun voit son portrait dans chaque comédie,  Et l'orgueil de l'auteur gagne à cette manie.  Si l'on se reconnaît, c'est qu'on est ressemblant.  Oui, dans l'homme irrité, je crois voir cet enfant  Qui choqué des défauts que son miroir retrace,  Ne pouvant le changer, pleure et brise la glace. "")",0.0,Match
142,"('#laforet', ""Tous vos parens sont bien malins ;  Mais ils auront beau dir', beau faire,  On oubliera les Poquelins,  On n'oubliera jamais Molière.  Je ne me connais point en généalogie ; mais ce que je sais, je le sais bien, et tenez....  AIR : Nous sommes précepteurs d'amour. "")","('#saint-alban', ""Bien, fort bien : déclamez, monsieur le comédien ;  Dites-nous de grands mots qui ne nous peignent rien.  Mais je vais au fait, moi... Ce soir même, au théâtre, Quand vous réunirez votre foule idolâtre,  Vous ferez demander le Tartuffe ; Voyons ,  Là, que répondrez-vous ? Direz-vous pour raisons ?  « Monsieur le Président ne veut pas qu'on le joue. » "")",0.59,Substitution
143,,"('#moliere', 'Pourquoi non ? ')",1.0,Deletion
144,"('#moliere', ""Je ne travaille que pour cela.  — Je crois que j'aurai le temps avant le souper de te lire une scène de mon Bourgeois gentilhomme.....  Il y a dans cette pièce une certaine Nicole, qui t'est, je crois, un peu parente...  Mets-toi là : écoute-moi sérieusement. "")","('#saint-alban', ""Sans détour il l'avoue !  Eh bien ! Mon cher monsieur, vous vous repentirez  De ce mauvais bon mot ; vous verrez, vous verrez.  Votre pièce n'était encor que suspendue :  Vous pouvez dès ce jour la croire défendue.  Il est calme... Bien plus ; ce chef-d'oeuvre nouveau  Grâce à moi, sera brûlé par le bourreau.  Il n'est pas plus ému... Vous changerez de style,  Monsieur, il est encor des prisons dans la ville. Il sourit.... Pour le coup signalons mon pouvoir ,  Et sachons empêcher sa lecture ce soir.  Je dirai désormais à qui voudra l'entendre,  Qu'un auteur est homme, un homme ! Un homme à pendre.  À part. Haut.  À part.  Haut.  À part. Il sort."")",0.51,Substitution
145,"('#laforet', ""Le moyen !  Vous me faites toujours rire. Elle s'assied."")","('#moliere', 'Eh bien ? ')",1.35,Substitution
146,,"('#laforet', 'Eh bien ? ')",1.0,Deletion
147,"('#moliere', ""Tant mieux !...  C'est le moment où Monsieur Jourdain reçoit son tailleur.  Monsieur Jourdain, Ah !  Vous voila! je m'allais mettre en colère contre vous ; vous m'avez envoyé des bas de soie si étroits que j'ai en....  Mais quelqu'un vient, ce me semble, vois qui ce peut être. "")","('#moliere', ""Comme il se reconnaît !  Comme il a peur de lui ! Tu l'as vu ; son portrait  L'a fait pâlir d'horreur, écumer de colère,  Et sortir malgré lui de son saint caractère. "")",1.17,Substitution
148,,"('#laforet', ""J'avais ben préparé ce qui vient d'arriver. "")",1.0,Deletion
149,,"('#moliere', 'Comment donc ? ')",1.0,Deletion
150,"('#laforet', ""C'est Monsieur Boileau. "")","('#laforet', ""J'ignorais que je dusse trouver  Ici votre ennemi : je croyais sur mon âme  Que ce Monsieur était un ami de Madame :  Et j'avais critiqué sans crainte, franchement,  La fausse piété du maudit Saint-Alban. "")",1.63,Substitution
151,"('#mignard', ""Boileau !  Gare la critique!  Ne laissons pas voir un ouvrage qui n'est pas terminé. Il enlève et cache son tableau."")","('#moliere', ""Mais lu l'as critiqué sans lui dire d'injures. "")",1.69,Substitution
152,,"('#laforet', ""Oui, j'ai dit seulement quelques vérités dures :  Qu'il était un cafard, un.... "")",1.0,Deletion
153,"('#moliere', ""C'est lui, vraiment. Vite, vite, mettons mon plan à l'ombre ; ce n'est qu'une esquisse.  Il jette son manuscrit dans un tiroir."")","('#moliere', ""Mais y penses-tu?  Un homme qui peut nuire ! Et qu'a-t-il répondu ? "")",1.36,Substitution
154,,"('#laforet', 'Mais rien, il a semblé faire la sourde oreille. ')",1.0,Deletion
155,,"('#moliere', ""Va, c'est ma chère enfant le lion qui sommeille. "")",1.0,Deletion
156,"('#moliere', ""Tu viens de bonne heure, et c'est me faire plaisir :  on m'avait fait craindre de ne pas te voir ce soir. "")","('#laforet', 'Mon cher maître, je crains de vous avoir fait tort.')",0.88,Substitution
157,"('#boileau', ""Oui, mon ami, j'étais dans un de ces accès de misanthropie où mon oeil ne cherche et ne voit que des ridicules,  où mon esprit se plaît à les peindre ; et comme on n'en trouve pas chez toi, j'avais peine à perdre ma  journée."")","('#moliere', ""Pourquoi ? N'ai-je pas dit que jusques à la mort,  J'attaquerais de front et le crime et le vice ?  C'est une tâche, un but qu'il faut que je remplisse.  Je méprise et je hais tous ces lâches censeurs  Qui du siècle voulant corriger les erreurs,  Mettent leur livre au jour et se cachent dans l'ombre ; Moi, je brave les sots sans respect pour le nombre ;  Je critique, censure, et ne tremble jamais  Devant ceux dont j'offris les fidèles portraits.  Aussi ce Saint-Alban par sa sainte présence  N'a pu m'intimider, me contraindre au silence.  Il peut faire arrêter Tartuffe et son auteur,  Mais il ne changera ni mes voeux ni mon coeur.  Qu'il soit absent, présent, je redirai sans cesse,  « Le Tartuffe est de moi, je suis fier de ma pièce. »  Il n'est pas un seul trait, un seul vers , un seul mot  Que je veuille en ôter. C'est un auteur bien sot  Que celui qui craignant tel parti qui le blâme,  Sacrifie en tremblant une sage épigramme,  Et qui se ravalant pour plaire à tel seigneur,  Fait d'un tableau brillant, un portrait sans couleur.  Je n'imiterai pas ces coupables faiblesses ; Je veux de vrais succès et non pas des caresses.  J'ai besoin d'un grand nom, je n'ai pas besoin d'or :  L'estime du public, voilà mon seul trésor ;  Et je saurai toujours sans basse complaisance  Peindre ce que je vois, dire ce que je pense...  Si mon siècle me blâme et craint la vérité,  J'aurai du moins écrit pour la postérité."")",0.47,Substitution
158,"('#moliere', ""Ne dirait-on pas à tes regrets que c'est la journée de Titus !  Va, mon pauvre Despreaux, Chapelle et Lulli sauront dissiper tes sombres idées. "")",,1.0,Insertion
159,"('#boileau', 'Chapelle !')","('#ninon', 'Molière ! ')",0.0,Match
160,,"('#laforet', 'Mon cher maître !')",1.0,Deletion
161,"('#chapelle', ""N'en dites pas de mal ? "")","('#moliere', ""Eh quoi Ninon !....  Madame  Vous m'avez entendu ?....  À part. Haut."")",1.34,Substitution
162,,"('#ninon', ""De coeur, d'esprit, et d'âme... Et je m'en applaudis. Oui, mon illustre ami,  Entre mes plus beaux jours, je compte celui-ci.  Quel feu dans vos discours ! Quelle noble énergie !  Que j'ai bien reconnu l'accent du vrai génie !  J'ai reconnu surtout l'auteur indépendant  Qui prend la vérité pour seul frein du talent.  Quelques soient vos succès, trop peu l'on vous renomme ; Vous pensez, vous parlez, ami, comme un grand homme."")",1.0,Deletion
163,,"('#moliere', 'Madame...')",1.0,Deletion
164,,"('#laforet', ""C'est le nom qu'un jour il obtiendra ;  Il l'aura mérité, chacun en conviendra. "")",1.0,Deletion
165,"('#boileau', ""Si j'avais su qu'il soupât ici, je me serais rendu plus  difficile encore. "")","('#ninon', ""Mais revenons, Molière, à la raison subite  Qui m'a fait désirer ici voire visite.  Car vous avez reçu mon billet."")",1.06,Substitution
166,"('#chapelle', 'Quoi !  Toujours de la rancune ?  Ah ! ah ! ah !')","('#moliere', 'Oui Ninon, Et je le garderai...')",1.25,Substitution
167,"('#moliere', ""Chapelle t'aurait-il offensé ?  Il en est incapable... à jeun. "")",,1.0,Insertion
168,"('#boileau', 'Laissons, laissons cela.')","('#ninon', 'Le garder ! ')",1.51,Substitution
169,"('#mignard', ""Non pas, il faut nous mettre au fait.  Chapelle, on t'accuse."")","('#moliere', 'Pour raison. ')",1.92,Substitution
170,,"('#ninon', ""C'est un mot. "")",1.0,Deletion
171,,"('#moliere', ""Il est vrai, mais ce mot est aimable.  Vos yeux et votre esprit ont un pouvoir semblable ;  Un regard peint l'amour, un mot peint l'amitié. "")",1.0,Deletion
172,"('#chapelle', ""Pour soustraire au vent, à l'orage,  Un moraliste aussi parfait,  Mon amitié prudente et sage  L'abrita dans un cabaret.  Là, son énergique éloquence  Contre le vin se déchaîna,  Et puis enfin il s'enivra  En me vantant la tempérance.  Mignard a raison, je dois me justifier.  Vous saurez donc, mes bons amis, qu'il y a peu de jours je  rencontrai Boileau ; il m'accosta, et soupçonnant que je n'étais pas... à jeun, comme vient de dire Molière, il se mit à me faire l'éloge le plus pompeux sur la sobriété.  Aristote écrivit...  Socrate a dit...  Pline pensait... que sais-je ?  Pendant cette belle érudition, il vint à pleuvoir à verse ; moi... AIR : Vaudeville des Visitandines. "")","('#ninon', 'Le plus sûr est le mot... Si je vous ai prié  De venir en ces lieux, vous doutez-vous, Molière,  De mon secret motif ? ')",0.59,Substitution
173,"('#moliere', 'Quoi !  Tout de bon ? ')",,1.0,Insertion
174,"('#boileau', 'Le traître dit vrai.')","('#moliere', 'Non. ')",1.36,Substitution
175,,"('#ninon', 'Vous êtes sincère ? ')",1.0,Deletion
176,"('#moliere', ""C'est une scène !"")","('#moliere', 'Comme vous quelquefois. ')",1.35,Substitution
177,"('#boileau', ""La belle gloire !  S'enivrer pour m'étourdir : c'est Guénaud qui s'éclabousse de la tête au pied pour tacher l'habit de son voisin. "")","('#ninon', ""Je vous entends, Monsieur,  Puisqu'on ne peut jouer aujourd'hui l'Imposteur,  Grâce à ce Saint-Alban, cagot et ridicule.  Vengez-vous. "")",1.2,Substitution
178,"('#chapelle', ""Je fus obligé de le reconduire, moi !  Et ce qu'il y a de plus plaisant, c'est que nous fûmes rencontrés par Cottin et par Chapelain. "")","('#moliere', 'Eh comment ? ')",1.77,Substitution
179,"('#boileau', 'Le père des douze fois douze cents vers de La Pucelle !')",,1.0,Insertion
180,"('#mignard', 'Comme ils vont se venger !')",,1.0,Insertion
181,"('#moliere', ""Je ne vois, mon cher Despreaux, qu'un seul moyen de le punir ; c'est de l'enivrer ce soir. "")","('#ninon', 'Sans crainte et sans scrupule  Venez lire ce soir votre ouvrage chez moi. ')",1.33,Substitution
182,,"('#moliere', 'Volontiers. ')",1.0,Deletion
183,"('#chapelle', ""J'accepte la revanche.  Mais à propos, savez-vous bien que j'ai refusé pour vous la plus belle fête !  Un souper délicieux, offert par un prince."")",,1.0,Insertion
184,"('#moliere', 'Et tu nous as préféré ? ')","('#ninon', 'Mon ami, dites ? De bonne foi  Cela vous fâche-t-il ? ')",1.42,Substitution
185,"('#chapelle', ""Je choisis toujours le meilleur, mon ami ; tiens, vois la réponse que j'ai faite."")",,1.0,Insertion
186,"('#moliere', 'En vers ! ')","('#moliere', 'Eh pourquoi, je vous prie ?  De lire chez Ninon, moi je me glorifie. ')",1.44,Substitution
187,"('#chapelle', 'En chanson même.  Quand on dit des vérités un peu dures, il faut les dire gaîment. ')",,1.0,Insertion
188,"('#boileau', ""Si la grandeur et l'opulence  Ont de l'éclat pour bien des yeux,  Moi, je fuis la magnificence,  Et ses plaisirs trop sérieux.  Je n'irai point à votre fête,  Ailleurs je me suis invité,  Et chez Molière l'on m'apprête  Le souper de l'égalité,  Pour un aimable tête à tête  Veuillez quelque jour m'inviter ;  Je réponds qu'il vaudra la fête  Où vous me priez d'assister.  Une illusion agréable  Y soutiendra notre gaîté,  Et nous croirons à votre table  Aux charmes de la liberté.  Voyons. Le trait est hardi.... mais il est juste. Il prend le papier. AIR : Vaudeville d'Epicure. "")","('#ninon', ""Vous êtes trop aimable... Alors avec raison  J'ai mandé pour ce soir quelques gens du bon ton,  Des amateurs et même... Il faut que je vous laisse  Deviner quels amis entendront votre pièce. "")",0.15,Substitution
189,"('#mignard', ""Il blessera, j'en suis sûr, et il faut avoir des ménagements avec les grands. "")","('#moliere', 'Monsieur_le_Prince. ')",1.77,Substitution
190,"('#boileau', 'Combien peu de ces hommes si grands, seront un jour de grands hommes !  Chapelle a bien fait, cela me racommode avec lui. ')","('#ninon', 'Oh ! Oui, le Prince à vos talents  Rend justice, et lui seul impose aux médisants.  Ensuite... ')",1.08,Substitution
191,"('#chapelle', ""Lorsque la réunion des Auteurs s'intitule la République des Lettres, c'est pour que tous soient libres d'écrire ce qu'ils pensent."")","('#moliere', 'Sévigné, La Châtre.')",1.99,Substitution
192,"('#mignard', 'Mes amis, je vois La Fontaine.')",,1.0,Insertion
193,"('#moliere', ""Comme il a l'air occupé !"")","('#ninon', 'Non. ')",1.31,Substitution
194,"('#chapelle', ""Il ne nous voit pas, j'en suis sûr."")",,1.0,Insertion
195,"('#moliere', 'Taisons-nous. ')","('#moliere', 'Chapelle.')",1.01,Substitution
196,"('#la-fontaine', ""Cela n'est point malheureux, j'arrive au moment où je trouve mes deux derniers vers...  Répétons-les tous."")","('#ninon', 'Oui, poursuivez. ')",1.56,Substitution
197,"('#mignard', 'Il a quelque grande affaire ? ')",,1.0,Insertion
198,"('#boileau', ""Oui, un renard, une fourmi l'occupe. "")",,1.0,Insertion
199,"('#moliere', 'Le grand homme ! ')","('#moliere', 'Encor !')",1.18,Substitution
200,,"('#ninon', ""L'assemblée est très belle ; Devinez."")",1.0,Deletion
201,"('#chapelle', 'Pour une fable,  Sans cesse on le voit arrêté. AIR : De la Baronne. ')","('#moliere', 'Je ne puis. ')",1.56,Substitution
202,"('#boileau', 'Et par un goût inconcevable  Il laisse la réalité  Pour une fable. ')",,1.0,Insertion
203,"('#la-fontaine', ""Oui, mes amis, c'est une fable que je viens d'achever, et c'est le plaisir de souper chez Molière qui me l'a inspirée."")","('#ninon', ""Vous y verrez, ami,  L'enfant qu'avec orgueil Melpomène a nourri. "")",1.6,Substitution
204,"('#moliere', 'En ce cas, nous pouvons te la demander. ')","('#moliere', 'Corneille !')",1.37,Substitution
205,"('#la-fontaine', ""Socrate un jour faisait bâtir,  Chacun censurait son ouvrage ;  L'un trouvait les dedans, pour ne lui point mentir,  Indignes d'un tel personnage ;  L'autre blâmait la face, et tous étaient d'avis  Que les appartements en étaient trop petits.  Quelle maison pour lui ! On y tournait à peine.  Plût au ciel que de vrais amis,  Telle qu'elle est, dit-il, elle pût être pleine !  Le bon Socrate avait raison  De trouver pour ceux-là trop grande sa maison :  Chacun se dit ami, bien fou qui s'y repose.  Rien n'est plus commun que le nom,  Rien n'est plus rare que la chose. La voici, à peu près. "")","('#ninon', ""Et l'autre fils qui moins hardi, plus tendre,  Aux succès de Corneille un jour pourra prétendre. "")",0.96,Substitution
206,"('#chapelle', 'Mais cela est bon.... fort bon. ')",,1.0,Insertion
207,"('#la-fontaine', 'Je le crois.')","('#moliere', 'Racine ! ')",0.98,Substitution
208,"('#moliere', ""Je te sais gré d'avoir pensé à nous en faisant cet apologue."")",,1.0,Insertion
209,"('#boileau', ""Ce n'est pas une fable....  Mais c'est l'ouvrage d'un poète exercé."")","('#ninon', ""Un auteur froid, satyrique, malin,  Mais homme plein d'esprit, et du goût le plus fin. "")",0.81,Substitution
210,,"('#moliere', 'Boileau !... Ciel !... Mais. ')",1.0,Deletion
211,"('#mignard', ""Le bonhomme n'a ni la rusticité d'Esope, ni la recherche de Phèdre ; mais il plaît à l'esprit, fait au coeur la leçon, et conte comme la nature."")","('#ninon', ""Enfin cet auteur que l'on nomme  Pour sa simplicité, sa candeur, un bonhomme ;  Mais, qui par une fable, apprend la vérité,  Et dans une fourmi, nous peint l'humanité. "")",0.06,Substitution
212,,"('#laforet', 'La Fontaine. ')",1.0,Deletion
213,"('#moliere', ""Messieurs !  Messieurs !  Le bonhomme ira plus loin que nous. Pendant la fin de cette scène et la suivante, on apporte des bougies et l'on prépare la table."")","('#moliere', 'Ninon, devant tous ces modèles  Vous voulez que ce soir.... ')",0.77,Substitution
214,,"('#ninon', 'Mais les Muses entre elles  Ne doivent pas trembler. ')",1.0,Deletion
215,"('#lulli', ""Ouf !  Je crois, mes amis, qu'il ne faut pas compter sur La Fontaine : il ne... Par où diable est-il arrivé ! Apercevant La Fontaine."")","('#moliere', ""Ces soeurs-là me font peur :  Chez elles bien souvent l'esprit, fait tort au coeur.  Et Corneille... "")",1.87,Substitution
216,"('#la-fontaine', 'Par la galiote.')",,1.0,Insertion
217,"('#moliere', 'Comment la galiote ? ')","('#ninon', ""Sans vous n'aimerait pas Thalie."")",1.84,Substitution
218,,"('#moliere', ""Mais l'élégant Racine..."")",1.0,Deletion
219,"('#la-fontaine', 'Oui. ')","('#ninon', ""Aime la comédie  D'un style naturel, donc la vôtre lui plaît. "")",1.53,Substitution
220,"('#chapelle', ""Mais elle passe ici vers midi, et tu n'es arrivé qu'à sept heures. "")",,1.0,Insertion
221,"('#boileau', ""Aurais-tu donc fait naufrage ?  Ce malheur serait nouveau,  Car jamais aucun orage  N'a retardé ce vaisseau. AIR : La plus belle promenade. "")","('#moliere', ""Boileau va censurer plan, scènes et sujet ;  Il dira : « Tout est mal, la pièce est détestable,  Le caractère est faux , l'intrigue misérable. » "")",1.16,Substitution
222,"('#la-fontaine', ""Cela paraît incroyable :  Je vois qu'il faut dire tout.  Eh bien ! mes bons amis,  Je suis, en faisant une fable,  Descendu.... jusqu'à Saint-Cloud."")","('#ninon', ""Boileau vous a jugé digne de ses avis, Peut-il vous critiquer ? Vous les avez suivis.  La Fontaine ! Pour lui vous ne le craignez guère,  Ami de la nature, il doit chérir Molière...  Allons, remettez-vous d'une vaine terreur,  Et venez recevoir un suffrage flatteur. Aujourd'hui l'intérêt, l'amitié, la vengeance  Doivent vous décider à cette complaisance. "")",0.99,Substitution
223,"('#moliere', 'Quand tu viens chez moi, tu prends donc le plus long ? ')",,1.0,Insertion
224,"('#boileau', ""Comme quand tu vas à l'Académie. "")",,1.0,Insertion
225,"('#lulli', 'Tout cela est fort bien ; mais, pour me dédommager de ma course, il nous récitera un de ses contes.')","('#moliere', ""L'amitié me suffit : ce motif est de tous,  Celui qui me paraît le plus fort, le plus doux.  Obéir à Ninon, c'est chercher à lui plaire,  Lui plaire c'est remplir le désir de la terre.  Ainsi compter sur moi, je vais de cet écrit  Apporter à l'instant chez vous le manuscrit.  Je suis moins inquiet du succès de l'ouvrage ;  Car lire devant vous, déjà c'est un suffrage. "")",1.05,Substitution
226,"('#moliere', ""Il te récitera la fable qu'il vient de faire...  Elle vaut bien un conte."")",,1.0,Insertion
227,"('#laforet', 'Peut-on vous servir ?')",,1.0,Insertion
228,"('#moliere', ""À l'instant. "")",,1.0,Insertion
229,"('#laforet', 'De quel vin vous donnerai-je ? ')",,1.0,Insertion
230,"('#lulli', 'De celui que tu voudras. ')",,1.0,Insertion
231,"('#laforet', 'Du rouge ou du blanc. ')",,1.0,Insertion
232,"('#boileau', 'Cela nous est parfaitement égal. Laforêt sort. ')","('#laforet', ""L'ouvrage est admirable.... Il vous plaira, je crois.  Nous l'avons corrigé tous deux plus de vingt fois.  Molière et Laforêt sortent."")",0.9,Substitution
233,"('#chapelle', ""Pardon, sage Lulli, pardon, sage Boileau ; Je suis, mes bons amis, plus difficile à table,  Et je crois au vin blanc le rouge préférable,  Puisqu'il approche moins de la couleur de l'eau. Récitatif. "")","('#ninon', ""Eh ! Comment pour ami ne pas garder Molière ?  Mon orgueil en jouit et mon âme en est fière.  Oui, ma tranquillité dépend de son repos.  Je méprise avec lui, les envieux, les sots :  Avec lui je rirai constamment de leur haine.  Je lui dirai toujours : « Livre les à la scène.  Rends-nous de leurs travers confidents et témoins ;  Ils t'aimeraient bien plus s'ils te redoutaient moins. Ne les épargne pas, ils sont nés pour te craindre :  Tu sauras les punir quand tu voudras les peindre. » Voici Chapelle... Eh bien ! "")",0.83,Substitution
234,"('#la-fontaine', 'Eh bien !  De tous les deux. ')","('#chapelle', ""Tous vos amis viendront ;  À des ordres si doux, Madame, ils se rendront...  Vous verrez tout-à-l'heure et Racine et Corneille. "")",1.48,Substitution
235,"('#laforet', 'Quand il vous plaira.')","('#ninon', 'Le Grand Condé.')",1.64,Substitution
236,"('#moliere', 'Allons, mes amis, à table. ')",,1.0,Insertion
237,"('#chapelle', ""Laforêt, mets le vin près de Despréaux ; c'est lui qui doit m'enivrer ce soir. "")",,1.0,Insertion
238,"('#boileau', ""T'enivrer ?  Il suffit, pour cela, de te laisser à ta discrétion.  Mais quoi !  Point d'eau sur la table ? "")","('#chapelle', 'Boileau, La Fontaine. ')",1.19,Substitution
239,"('#lulli', ""En vérité, mon cher Boileau,  Ta demande est fort indiscrète ;  Jamais je ne cherche de l'eau  Sur la table d'un bon poète :  Le vin est excellent chez lui,  Buvons-le pur, à tasse pleine ;  Mais si tu le crains aujourd'hui,  Mets Boileau près de La Fontaine. AIR : On compterait les diamants. "")","('#ninon', ""À merveille.  Quand Molière nous lit un chef-d'oeuvre nouveau,  Ah ! le cercle jamais ne peut être assez beau.  J'aime des vrais talents l'élite réunie,  Car le génie est fait pour juger le génie. "")",0.88,Substitution
240,,"('#chapelle', 'Chaulieu seul ne pourra venir au rendez-vous ; Ce billet...')",1.0,Deletion
241,,"('#ninon', 'Quelque belle aura le pas sur nous...')",1.0,Deletion
242,"('#chapelle', 'Encore une turlupinade.')","('#chapelle', 'Voyez.... ')",1.27,Substitution
243,"('#moliere', 'Et nous ne sommes pas au dessert ? Allons, servez-vous et ne ménagez rien ; pour moi, vous le voyez, je suis au régime. Il se mettent à table. Il prend du lait.')",,1.0,Insertion
244,"('#la-fontaine', 'Nous allons boire à ta meilleure santé.')",,1.0,Insertion
