,barante-arlequin-misanthrope,biancolelli-ecole-galante,Cost,Operation Type
165,"('#monsieur-disanvray', ""Oh, nos jeunes Abbés se distinguent par l'érudition."")",,1.0,Insertion
166,"('#arlequin', ""L'Art d'aimer, réduit en abrégé par un Ancien Fermier Général.  Ouvrage enrichi de plusieurs médailles d'or."")","('#scaramouche', ""Oui, Monsieur ; c'est que j'ai le coeur tendre."")",1.17,Substitution
167,"('#monsieur-disanvray', 'Celui-là est fort rare.  On en trouve presque plus de la bonne édition.')",,1.0,Insertion
168,"('#arlequin', ""Projet d'un Dictionnaire de Mine.  Ouvrage fort utile aux lorgneurs, pour l'intelligence des grimaces des Coquettes."")","('#octave', 'Daignez sécher les pleurs qui coulent de vos yeux.')",1.58,Substitution
169,"('#monsieur-disanvray', 'Celui-là ne sera pas dur à la vente.')",,1.0,Insertion
170,"('#arlequin', ""Traduction des Instituts de Justinien en langue vulgaire, pour le soulagement des Magistrats qui n'entendent pas le latin.  Je réponds du débit de celui-là."")","('#scaramouche', ""Monsieur, jusqu'à demain nous pleurerons tous deux ; Aussi pour quoi lâcher le robinet des larmes : Que de beaux yeux en pleurs ont d'agréables charmes !"")",1.12,Substitution
171,"('#monsieur-disanvray', ""Il enrichira l'Imprimeur, si tous ceux qui en ont besoin en achètent un exemplaire."")",,1.0,Insertion
172,"('#arlequin', ""Monsieur Disanvray, voilà de nouveaux visages qui me viennent ; laissez-moi un moment, je vais vous rejoindre tout à l'heure."")","('#spinette', ""De moi, je le vois bien, vous faites peu de cas, Vous me grondez toujours, et vous ne m'aimez pas."")",1.74,Substitution
173,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
174,"('#arlequin', 'Sans compliment.')",,1.0,Insertion
175,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
176,"('#arlequin', 'Hé, sans façon.')",,1.0,Insertion
177,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
178,"('#arlequin', 'Sans cérémonie, ou je vous plante-là.')",,1.0,Insertion
179,"('#le-docteur', ""Monsieur, la haute réputation que vous avez dans le monde, et l'estime générale que vous vous êtes acquise..."")","('#octave', ""Pardonnez-moi Spinette, et croyez que mon âme Saura brûler pour vous d'une éternelle flamme, Belle, vous me voyez soumis à vos genoux..."")",0.97,Substitution
180,"('#arlequin', ""Moi, de l'estime ?  Si je croyais être bien dans l'esprit de quelqu'un des hommes d'aujourd'hui, je m'irais pendre tout à l'heure."")","('#spinette', 'Dites moi donc, Monsieur quand nous marierons-nous ? Mon père est bien méchant, vous aurez de la peine À gagner son esprit.')",1.19,Substitution
181,"('#le-docteur', 'Mais, Monsieur...')","('#octave', ""Non, vôtre crainte est vaine, Il faudra qu'il consente, et je suis assuré..."")",1.34,Substitution
182,"('#arlequin', ""Oui, je veux que les hommes me haïssent, me méprisent, et me regardent à peu près du même oeil que je les vois.  De l'estime ?  Je voudrais bien voir quelqu'un m'estimer !  Je les y attends !"")","('#scaramouche', ""Ah ! Que je serai beau quand j'aurai bien pleuré !"")",0.79,Substitution
183,"('#le-docteur', 'Mais, souffrez que je vous dise...')","('#spinette', ""Vous m'avez tant de fois promis des sérénades, Quand m'en donnerez-vous ? j'aime fort les aubades."")",1.24,Substitution
184,"('#arlequin', ""Souffrez que je vous dise moi, que le caractère du peu de mérite, est d'être estimé des hommes d'aujourd'hui, et que la vraie marque qu'on vaut quelque chose, est d'en être méprisé.  Je veux qu'ils me méprisent, entendez-vous ?"")",,1.0,Insertion
185,"('#le-docteur', 'Soit.')","('#octave', 'Ce soir.')",1.0,Substitution
186,,"('#spinette', ""N'y manquez pas, les filles du quartier Ont toutes ce plaisir, et je dois l'envier, J'aime les instruments on ne peut davantage."")",1.0,Deletion
187,,"('#scaramouche', ""C'est assez là le goût des filles de vôtre âge."")",1.0,Deletion
188,"('#arlequin', 'Sans préambule de quoi est-il question ?')","('#octave', ""Votre père n'est pas à présent au Logis. Entrons-y."")",1.64,Substitution
189,,"('#spinette', ""Mais par lui si vous étiez surpris, Il me maltraiterait d'une étrange manière."")",1.0,Deletion
190,"('#le-docteur', ""Monsieur, comme vous savez qu'on ne fait plus rien dans les Provinces, et que Paris est le seul Théâtre où l'on peut paraître un peu à l'avantage, je vais m'y établir avec ma famille, et je n'ai pas voulu passer par ces lieux, sans voir un Philosophe qui fait autant de bruit que vous, Monsieur."")","('#octave', ""Entrons sans différer, ne craignez rien ma chère ; Scaramouche aura soin de l'écarter d'ici : Entends-tu ? Ils entrent."")",1.21,Substitution
191,"('#arlequin', 'Vous auriez pu retrancher plus de la moiti »é de votre longue période, aussi bien que les fréquents, Monsieur, dont vous entrelardez vos longues phrases ?  Mais qui êtes-vous pour aller à Paris avec tant de confiance ?')","('#scaramouche', ""Peste soit de l'amoureux transi : Cet emploi m'est à charge, et ne me convient guère, Tout franc je suis bien las d'un pareil ministère, Moi qui jamais n'ai craint en amour de rivaux, Aujourd'hui l'on m'emploie à garder les manteaux : Mais voici le Docteur. "")",1.32,Substitution
192,"('#le-docteur', 'Je suis, Monsieur, un homme de lettres, dont le nom fait du bruit parmi les savants.')","('#le-docteur', ""Non, je n'y puis suffire : C'est souffrir trop longtemps un rigoureux martyre : Quoi, je ne puis jouir d'un moment de repos ! Le moyen d'écouter tant de fades propos ; L'un me vient aborder, un inconnu m'embrasse, Et cet autre me tient des discours à la glace : Comment vous portez-vous ; que dit-on de nouveau, Pour aller prendre l'air le temps est assez beau. L'un parle de sa voix, et l'autre de sa danse ; Celui-ci prend le soin de vanter ma science : De pareils entretiens ne me conviennent pas, Peste des importuns, j'en trouve à chaque pas : Horace avait raison d'en craindre la poursuite, Et de fuir avec soin cette race maudite ; Et le plus sûr moyen de fuir tous ces fâcheux, C'est d'entrer au Logis, et de m'éloigner d'eux. "")",0.62,Substitution
193,"('#arlequin', ""Je m'en suis douté en vous voyant si jargonneur.  Vous allez donc à Paris faire fortune, vous courez après quelque établissement considérable ?"")","('#octave', ""Hé bien puis-je sortir, et n'ai-je rien à craindre ?"")",1.27,Substitution
194,"('#le-docteur', ""Je ne suis guère embarrassé là-dessus.  J'ai deux ou trois Ouvrages fins, prêts à mettre sous la Presse, et je ne serai pas plutôt arrivé à Paris, que les Libraires de ce pays-là, qui sont connaisseurs, riches et honnêtes gens, viendront au devant de moi m'offrir tout ce que je voudrai de mes Livres."")","('#scaramouche', ""Le Docteur est bien loin, et j'ai su le contraindre A partir de ces lieux en le chargeant de coups, De peur qu'il ne revienne, allons, retirez-vous."")",1.08,Substitution
195,"('#arlequin', 'Ah, ah les Libraires connaisseurs, riches et honnêtes gens.  Cet homme-là connaît la Librairie !')",,1.0,Insertion
196,"('#le-docteur', ""Et la jeunesse de la Cour, qui est généreuse et délicate, sera ravie de m'avoir, et l'argent pleuvra chez moi, Dieu sait !"")","('#argentine', ""Que l'état d'une fille est triste et déplorable ! Lors qu'en proie aux rigueurs du destin qui l'accable, Elle doit obéir, et que son coeur gêné, À fuir un doux penchant est enfin condamné. Non, je ne puis subir cette loi tyrannique."")",0.87,Substitution
197,"('#arlequin', 'Oui, oui, la jeunesse de la Cour généreuse et délicate ?  Ah, que voilà un homme bien instruit !')","('#leandre', ""Il faut pour m'égayer que je mette en pratique  La leçon qu'Arlequin m'a tracée en ces lieux. Que vois-je ! Quel objet se présente à mes yeux ! Je vais, comme il m'a dit, me camper devant elle D'un air de petit Maître, et sourire à la belle. Bon, j'en fuis aperçu, tout va bien jusqu'ici ; Jouons de la prunelle en amoureux transi, Lançons-lui tendrement une oeillade engageante, Pour la faire bien-tôt répondre à mon attente : Ce soupir plein de feu va la déterminer ; J'ai commencé l'ouvrage, il faut le terminer : Je dois mordre mon gant ; elle se met à rire, Je crois que j'obtiendrai tout ce que je désire. Madame, permettez que ma naissante ardeur Éclate, et que le feu qui dévore mon coeur Se découvre à vos yeux, puis qu'eux seuls l'ont fait naître. Il est trop violent pour craindre de paraître, Et jusques au tombeau je prétends vous aimer, Ma belle à vôtre tour laissez-vous enflammer ; Et pour prix de l'ardeur qui prés de vous m'arrête, J'ose vous demander en grâce un tête à tête. Qui ne dit mot consent ; elle l'accordera, Et je suis déjà sûr d'avoir l'et cetera. Il se campe devant la fenêtre, et se donnant des airs. Il s'approche après avoir fait tout ce qu'il a dit ci-dessus. À part."")",0.49,Substitution
198,"('#le-docteur', 'Outre cela, comme je sais de bien des sortes de choses, et que les Magistrats sont curieux, appliqués et bienfaisants, ce sera un plaisir de voir comme je serai couru.')","('#argentine', ""Un tel aveu, Monsieur, a lieu de me confondre ; Vous m'embarrassez fort, je ne sais que répondre ; Cependant je veux bien vous dire ingénument Qu'en cet instant mon coeur goûte un plaisir charmant ; Et comme je voudrais éviter l'esclavage, Pour me soustraire au joug d'un fatal mariage, Où prétend me soumettre un jaloux odieux ; Je braverais pour vous ses transports furieux ; Mais je crains de former une vaine espérance."")",0.67,Substitution
199,"('#arlequin', ""Les jeunes Magistrats appliqués, bienfaisants !  Il connaît aussi bien la Robe que l'Épée.  Hé, mon ami, quand vous serez à Paris, que les choses vous paraîtront différentes de ce que vous les avez vues de votre Province !  Les fortunes des gens de Lettres sont de belles perspectives, qui ne brillent que de loin.  Mais qui sont ces gens-là !"")","('#leandre', ""Non, non, assurez-vous de ma persévérance ; Jusques à ce moment j'ai méprisé l'amour, Mais je vois qu'à ce Dieu chacun cède à son tour. Vous seule êtes l'objet de ma première flamme, Et vous avez enfin triomphé de mon âme : Pour vous faire échapper aux rigueurs du jaloux, Les plus affreux périls me sembleront trop doux,"")",0.83,Substitution
200,"('#le-docteur', ""C'est ma famille, Monsieur, et j'ai encore un fils à Paris, qui est à ce qu'on m'a dit, dans un poste fort éclairant."")",,1.0,Insertion
201,"('#arlequin', 'Ce jeune garçon-là, est-il votre fils ?')","('#argentine', ""Que mon sort serait beau, si vous étiez ; sincère ! Mais je n'ose penser..."")",1.62,Substitution
202,"('#le-docteur', 'Oui, Monsieur, mon cadet.')","('#leandre', ""N'en doutez point ma chère."")",1.61,Substitution
203,"('#arlequin', 'Va-t-il aussi faire fortune ?')","('#argentine', ""Hé bien, s'il est ainsi, je vous attends demain, Pour vous communiquer en secret mon dessein ; Ensemble nous prendrons des mesures certaines, Pour entrer dans vos fers, je briserai mes chaînes. Je crains que mon jaloux ne vous trouve en ce lieu, Il faut vous retirer."")",1.41,Substitution
204,,"('#leandre', 'Vous me quittez.')",1.0,Deletion
205,"('#leandre', ""Je l'espère, Monsieur."")","('#argentine', 'Adieu.')",1.16,Substitution
206,"('#arlequin', 'Et comment cela, Monsieur ?')","('#leandre', 'Déjà...')",1.44,Substitution
207,"('#leandre', ""Monsieur, j'ai comme vous voyez un extérieur assez souffrable ; j'ai bien fait mes exercices ; je manie bien un cheval ; je danse passablement ; je sais un peu les langues étrangères, Monsieur."")",,1.0,Insertion
208,"('#arlequin', 'Et avec tout cela vous prétendez, Monsieur...')","('#argentine', 'Dans un moment il doit ici se rendre ; Dites-moi votre nom.')",1.0,Substitution
209,,"('#leandre', ""On m'appelle Léandre."")",1.0,Deletion
210,"('#leandre', ""M'attacher à quelque grand Seigneur, qui m'avancera à l'Armée et prendra soin de ma fortune."")","('#argentine', ""C'en est assez, Léandre, il ne tiendra qu'à vous De posséder ma main en qualité d'époux."")",0.9,Substitution
211,"('#arlequin', 'Chimère, mon ami, chimère toute pure.  Si, fait comme vous voilà, vous parliez de vous faire Valet de Chambre, ou premier Laquais de quelque Vieille, passe.')",,1.0,Insertion
212,"('#leandre', ""Hé, fi Monsieur, je n'ai pas l'esprit assez bas."")",,1.0,Insertion
213,"('#arlequin', ""À quel étage croyez-vous donc qu'il faille avoir l'esprit pour faire fortune ?  Mais dites-moi, cette grande fille est-elle votre soeur ?  Elle n'est pas mal bâtie."")",,1.0,Insertion
214,"('#leandre', 'Monsieur, elle danse bien, et a la voix assez jolie.')",,1.0,Insertion
215,"('#le-docteur', ""Je lui ai donné la meilleure éducation que j'ai pu.  Je voudrais la mettre auprès de quelque femme de qualité, qui après l'avoir gardée quelque temps chez elle, la mariât avantageusement."")","('#leandre', ""Ah ! Puisqu'à vous aimer mon coeur se détermine, Apprenez-moi du moins vôtre nom."")",1.06,Substitution
216,"('#arlequin', ""Cela n'est pas bien sûr.  On ne trouve presque plus d'épouseurs pour les filles qui sortent des grandes maisons."")",,1.0,Insertion
217,"('#le-docteur', 'Et pourquoi cela ?')","('#argentine', ""Argentine, Mon cher Léandre, adieu, j'attends vôtre retour, Songez au rendez-vous accordé par l'amour."")",1.7,Substitution
218,"('#arlequin', ""Mon_Dieu, c'est que les médisants jasent toujours, et qu'on ne saurait ôter de la tête de certaines gens, qu'une jolie fille qui rend les soins à Madame, reçoit souvent ceux de Monsieur.  Mais puisqu'elle chante, savez-vous ce qu'il en faudrait faire ?"")","('#leandre', ""Quel changement soudain ! je me vois sans défense, Qu'êtes-vous devenue heureuse indifférence ! Quoi l'amour à ses lois a soumis ma raison ! J'ai pris, je le vois bien, du goût à la leçon ; Et ce Dieu tout_à_coup s'est vengé sur moi-même, Du mépris que j'ai fait de son pouvoir suprême. "")",1.08,Substitution
219,"('#le-docteur', 'Et quoi ?')",,1.0,Insertion
220,"('#arlequin', ""La mettre à l'Opéra."")","('#scaramouche', ""Préludez s'il vous plaît, Messieurs du Violon, Et faites de Musique un joli carillon. Les Symphonistes jouent une Ritournelle."")",1.03,Substitution
221,"('#le-docteur', ""À l'Opéra ?"")",,1.0,Insertion
222,"('#arlequin', ""Oui, à l'Opéra ; si elle peut y être reçue, s'entend.  Car la presse y est diablement, depuis quelque temps.  On pourra toujours par faveur la faire recevoir surnuméraire."")",,1.0,Insertion
223,"('#le-docteur', 'Si vous vouliez, vous nous rendriez ce bon office.')","('#la-chanteuse', ""Un amant soumis à vos lois, Languit pour vous, belle Spinette ; Il brûle d'une ardeur parfaite, Et n'a pu faire un plus beau choix. Il cherche sans cesse à vous plaire. Ah ! daignez répondre à ses feux ! Si vous voulez le rendre heureux, Il n'aura plus de voeux à faire. "")",1.16,Substitution
224,"('#arlequin', ""Attendez, que j'examine votre fille.  Dans le fonds, elle n'est pas propre à l'Opéra, elle n'a pas cet air ouvert...  Là...  Cette hardiesse...  Je ne sais même si elle se tirerait bien d'un Duo, et vous savez pourtant que c'est le Duo qui place une fille à l'Opéra."")","('#le-docteur', 'Que font ces insolents plantez devant ma porte, Je veux les étriller, mais de la bonne sorte.')",1.18,Substitution
225,"('#le-docteur', 'De sorte que...')",,1.0,Insertion
226,"('#arlequin', ""De sorte que, si vous et votre famille n'avez pas de meilleure ressource, vous pouvez à coup sûr épargner les frais du voyage.  Croyez-moi, retournez-vous-en chez vous."")",,1.0,Insertion
227,"('#le-docteur', 'Nous resterions volontiers avec vous, si vous y consentiez.')",,1.0,Insertion
228,"('#arlequin', ""Oh, c'est une autre affaire ; un Solitaire craint d'être trop accompagné.  Scaramouche se met à pleurer."")","('#arlequin', ""Messieurs les amoureux, je vais vous régaler, Et bientôt de ces lieux vous faire détaler. Arlequin et le Docteur frappent sur tous les Valets qui se défendent, et font un, combat fort plaisant : le Docteur dans l'obscurité de la nuit frappe sur Arlequin, Arlequin en-fait de même, et après plusieurs lazzi entre Scaramouche, le Docteur, Arlequin, et les Valets, le premier Acte finit par uns Danse de quatre valets."")",1.45,Substitution
229,"('#arlequin', ""Hé, qu'as-tu donc, mon ami, qu'est-ce qui t'afflige ?  Parle, que veux-tu ?"")","('#mezzetin', ""Vive le jus de la treille Pour dissiper le chagrin : Lorsque je tiens ma bouteille, Je goûte un heureux destin. J'aime mieux rougir ma trogne Qu'aimer un objet charmant : Rien n'inquiète un ivrogne, Et tout alarme un amant. Ma foi c'est un plaisir de chanter et de boire, Le joyeux Mezzetin en fait toute sa gloire ; Fi de ces amoureux languissants et transis, Qu'accompagnent toujours les peines, les soucis ; Pour moi, grâces au Ciel, je n'ai point le coeur tendre, Dans ses filets tendus l'amour ne peut me prendre : J'incague son pouvoir, je me ris de ses traits, Et le Cabaret seul a pour moi des attraits. Je m'enivre souvent, et je suis un bon drille, Je fume quelquefois, je joue à Briscambille ; En moi d'un bon grivois on peut voir le portrait, Je suis sur mon honneur un Lyonnais parfait. Je voudrais bien savoir où s'est fourré mon Maître... Mais le voici qui vient, et je le vois paraître."")",1.33,Substitution
230,,"('#leandre', ""Étrange état d'un coeur que l'amour a soumis ! De trouver du repos il ne m'est plus permis."")",1.0,Deletion
231,"('#scaramouche', 'Ah, Monsieur, si tous ces bonnes gens qui ont du mérite, qui savent tant de choses, ne savent pas faire fortune à Paris, que ferai-je donc, moi ?')",,1.0,Insertion
232,"('#arlequin', 'Comment ?')","('#mezzetin', 'Monsieur...')",0.32,Substitution
233,"('#scaramouche', ""Oui, qu'est-ce que je ferai, moi qui ne suis bon à rien, qui ne fais que de la bagatelle, qui ne sais que la bagatelle, et qui ne suis moi-même qu'une bagatelle."")","('#leandre', ""Loin de l'objet de ma nouvelle flamme Je ne puis vivre en paix, tout agite mon âme."")",1.49,Substitution
234,"('#arlequin', 'Tu sais la bagatelle ?')",,1.0,Insertion
235,"('#scaramouche', 'Oui.')","('#mezzetin', 'Monsieur...')",0.07,Substitution
236,"('#arlequin', 'Tu fais la bagatelle ?')",,1.0,Insertion
237,"('#scaramouche', 'Hélas oui.')",,1.0,Insertion
238,"('#arlequin', ""Et tu es la bagatelle ?  Ah, mon cher, viens que je t'embrasse ; tu es né pour Paris, tu es né pour une grande fortune ?  Avec une si belle disposition, tu peux aspirer à tout.  La bagatelle ?  Ah !  Mon ami, si j'avais eu un noble penchant pour la bagatelle, je ne serais pas ici, je serais à Paris dans une fortune éclatante."")","('#leandre', 'À le revoir je borne tous mes voeux, Et son aspect charmant peut seul me rendre heureux.')",1.0,Substitution
239,"('#scaramouche', 'Quoi ?')","('#mezzetin', 'Monsieur...')",0.27,Substitution
240,,"('#leandre', ""Ah ! Mezzetin que j'ai d'inquiétude ! L'amour me fait souffrir le tourment le plus rude."")",1.0,Deletion
241,"('#arlequin', ""Pars hardiment, pars, vas, tu n'y sera pas plutôt, que tout le monde courra après toi."")","('#mezzetin', 'La soif me désespère et me fait enrager.')",1.82,Substitution
242,"('#scaramouche', 'Mais pourtant...')","('#leandre', 'Je cherche un beauté... ')",1.43,Substitution
243,,"('#mezzetin', 'Moi je cherche à manger.')",1.0,Deletion
244,,"('#leandre', ""Non, rien n'est comparable aux attraits d'Argentine."")",1.0,Deletion
245,"('#arlequin', ""C'est un pays où l'on ne respire que bagatelle, le sérieux y est marchandise de contrebande, et la bagatelle y est si universellement répandue, qu'on peut dire qu'à proprement parler, Paris n'est qu'une grande bagatelle."")","('#mezzetin', ""Non, rien n'est plus charmant qu'une grande Cuisine."")",1.47,Substitution
246,,"('#leandre', 'Et le coeur le plus fier doit enfin lui céder.')",1.0,Deletion
247,,"('#mezzetin', ""Oui, je voudrais toujours m'emplir et me vider."")",1.0,Deletion
248,"('#scaramouche', 'Ainsi avec beaucoup de bagatelle je puis faire un peu de fortune ?')","('#leandre', 'Que dis-tu, Mezzetin, et quel est ce langage ?')",1.86,Substitution
249,"('#arlequin', ""Telle que tu voudras.  La bagatelle est aujourd'hui la porte des honneurs et des richesses.  L'un a épousé une vieille qui l'a rendu gros Seigneur pour avoir dit une bagatelle de bonne grâce ; celui-ci a donné dans l'oeil à une femme du premier rang pour avoir fait un saut périlleux d'un air robuste ; cet autre possède une Charge de Judicature qui ne lui coûte qu'un petit tour de poignet, dans une rafle de six amenées à propos ; et j'en connais un élevé à de grandes dignités qui n'a qu'une jolie femme pour tout mérite.  Compte en un mot, que je te réponds de ta fortune, et que je t'en prie de m'en mettre de moitié."")","('#mezzetin', ""Pour moi le mot d'amour est un sensible outrage, Parlez plutôt de boire, est-il rien de plus doux Qu'un son harmonieux d'agréables glouglous ? Rien ne peut approcher de cette mélodie."")",1.1,Substitution
250,"('#scaramouche', ""Volontiers.  Voilà des bagatelles de ma façon. On ouvre, et on voit un grand Cabinet illuminé. Il est soutenu par quatre Mores vêtus de gaze d'or. Il y a dans chaque niche, des figures richement vêtues. Les Violons jouent une Chaconne. Quatre Biscayens dansent."")","('#leandre', ""Je croyais sans aimer passer toute ma vie ; Mais depuis que j'ai vu l'objet qui m'a charmé, Mon coeur indifférent s'est d'abord enflammé : Pour ne pas l'adorer ma Maîtresse est trop belle, Je dois dans un moment m'introduire chez elle ; Tu pourrais interrompre un si doux entretien, Retire-toi d'ici."")",0.81,Substitution
251,"('#un-espagnol', ""Il ne faut qu'une bagatelle Pour être heureux ou malheureux ; Pour faire un infidèle De l'Amant le plus amoureux, Il ne faut qu'une bagatelle. Un autre Espagnol danse seul."")","('#mezzetin', ""Ma foi je le veux bien ; Vous n'avez qu'à jaser, et conter la fleurette, Moi, je vais chez Muri boire la chopinette. Il s'en va."")",1.17,Substitution
252,"('#un-espagnol', ""Pour réduire une belle À bien payer nos feux ; Pour troubler la cervelle Du mari le moins soupçonneux, Il ne faut qu'une bagatelle."")","('#leandre', ""Voici l'heure, je pense, où je dois lui parler. Je suis bien amoureux, à ne le point celer ! Parbleu, c'est tout de bon ; mais j'aperçois mon maître. Comment, cher Arlequin, pourrai-je reconnaître Votre bonté pour moi, vos soins officieux ? Il court au-devant d'Arlequin, et l'embrasse."")",0.68,Substitution
253,"('#une-espagnolette', ""Pour le faire riche ou gueux,  Pour rendre son nom fameux,  Par un croissant de bon modèle,  Il ne faut qu'une bagatelle. Le second Espagnol et l'Espagnolette dansent."")","('#arlequin', ""Croyez, mon cher enfant, que j'ai fait de mon mieux : Avez-vous profité d'une leçon fi belle ? Vous étiez à l'amour terriblement rebelle."")",1.47,Substitution
254,"('#une-espagnolette', ""Sans un peu de bagatelle Tout le monde finirait. Qu'est-ce qu'on dirait ? Qu'est-ce qu'on ferait ? On craindrait une ruelle, On s'ennuierait, On s'enfuirait, Rien ne plairait Sans un peu de bagatelle. Les quatre Biscayens dansent."")","('#leandre', ""Ami, ce temps n'est plus, mon coeur est bien changé, Et dans d'aimables fers il se trouve engagé. J'ai suivi bien à point vôtre douce maxime : C'était contre l'amour commettre un trop grand, crime, Que de ne pas céder à des appas vainqueurs, Et je suis revenu de mes vaines erreurs."")",1.36,Substitution
255,"('#une-espagnolette', ""Qui se marierait ? Qui nous voudrait ? Que servirait d'être belle ? On nous morguerait ; On s'en passerait Sans un peu de bagatelle. Les figures du Cabinet se détachent, et font une danse de postures."")","('#arlequin', ""Ah ! que j'en suis ravi, voila ce qui s'appelle, À voir un écolier et soumis, et fidèle ; Je suis trop satisfait que ma sage leçon Ait fait en peu de temps un élève si bon.  Çà ne me cachez rien, la belle s'est rendue ? Parlez, qu'avez-vous fait depuis nôtre entrevue ?"")",1.02,Substitution
256,"('#la-comtesse', ""Oh ça, Monsieur, en deux mots comme en mille, qu'il se mette à la raison, ou je le quitte."")","('#leandre', ""J'ai d'abord pratiqué ce que vous m'avez dit : Vos préceptes étaient gravez dans mon esprit. Ainsi je ne pouvais qu'à mon grand avantage Appliquer la leçon que j'ai mise en usage. Un objet tout charmant s'est offert à mes yeux, Cette jeune beauté loge prés de ces lieux, Elle est, je l'avouerai, tout à fait engageante ; La Belle a répondu sans peine à mon attente, Pour la mieux amorcer j'ai d'abord employé, Les soupirs, les regards, je n'ai rien oublié : Enfin dans un moment je dois entrer chez elle."")",0.92,Substitution
257,,"('#arlequin', 'Dites-moi donc comment le nomme cette belle.')",1.0,Deletion
258,,"('#leandre', 'Son nom est Argentine.')",1.0,Deletion
259,"('#arlequin', 'Que veut-elle dire ?')","('#arlequin', 'Ha ! Que me dites-vous ?')",0.54,Substitution
260,"('#la-comtesse', 'Oui, oui, je sais comme on se sépare.  À quelque Tribunal que nous plaidions, il y aura plus de la moitié de nos Juges qui seront de jeunes gens, et ces Messieurs-là rendent bonne justice aux femmes qui cherchent à rompre un noeud, auquel ils sont les premiers à donner de furieuses entorses.')","('#leandre', ""Elle est entre les mains d'un brutal, d'un jaloux Qu'elle ne peut souffrir, et que son coeur déteste."")",1.54,Substitution
261,"('#arlequin', ""Mais, madame, parlez plus intelligiblement.  Je n'entends rien à tout ce galimatias de séparations, de jeunes Juges, d'entorses à la foi conjugale.  Que diantre veut dire tout cela."")","('#arlequin', ""Oh ! pour le coup j'en tiens, il m'a donné mon reste, L'ai-je bien entendu ? Peste de la leçon, Peut-être il s'est mépris, et quelle est sa Maison ?"")",1.14,Substitution
262,,"('#leandre', ""C'est là."")",1.0,Deletion
263,,"('#arlequin', 'Vous vous trompez.')",1.0,Deletion
264,"('#le-chevalier', ""Quoi, Monsieur, vous ne comprenez pas que Madame a toutes les raisons du monde de se plaindre de Monsieur son Époux, qui la maintient dans une terre d'où il ne veut pas qu'elle parte sans son ordre ?"")",,1.0,Insertion
265,"('#arlequin', ""Il est vrai qu'il y a près de huit jours que votre mari vous a laissée ici."")","('#leandre', ""Non : c'est là sa demeure."")",1.34,Substitution
266,,"('#arlequin', ""C'est peut-être plus bas."")",1.0,Deletion
267,"('#la-comtesse', ""Hé bien, monsieur, huit jours ?  Comptez-vous huit jours pour rien ?  Savez-vous ce que c'est pour une jolie femme, d'être huit jours hors de Paris ?  Une femme comme moi hors de Paris, c'est un poisson hors de l'eau.  Entendez-vous, Monsieur, huit jours ?  Si je n'avais trouvé le Chevalier ici, que serais-je devenue ?"")",,1.0,Insertion
268,"('#le-chevalier', ""En vérité, Monsieur, une jeune Dame comme Madame_la_Comtesse, est-elle faite pour demeurer à la campagne ?  Tant d'appas doivent-ils demeurer cachés, ou n'être vus que par des gens qui ne leur rendent pas l'hommage que leur doivent toutes les personnes de bon goût ?"")",,1.0,Insertion
269,"('#arlequin', 'Hé, le godelureau !  Comme il fait le doucereux !  Depuis que les femmes affectent les airs cavaliers, les jeunes gens ont pris toutes les manières féminines.')",,1.0,Insertion
270,"('#le-chevalier', 'Mais, Monsieur, vous êtes homme judicieux, mettez la main sur la conscience, que voulez-vous que Madame fasse dans cette maudite Gentilhommière ?')","('#leandre', ""Non Monsieur, où je meure. C'est ici. Il touche avec la main la maison d'Argentine."")",0.97,Substitution
271,"('#arlequin', ""Qu'elle commence par vous en bannir ; et vive ensuite comme les autres femmes."")","('#arlequin', ""Juste Ciel ! je n'en dois plus douter, Il a de me leçon su trop bien profiter. Ce Diable d'écolier en sait plus que le Maître."")",1.51,Substitution
272,"('#la-comtesse', ""Fort bien !  Vivre comme les autres femmes !  C'est parler d'or, si cela se pouvait."")","('#leandre', ""Dans un moment j'espère encore la mieux connaître : Son jaloux est dehors, elle m'introduira Dans son appartement."")",1.24,Substitution
273,,"('#arlequin', ""Gare l'et cetera."")",1.0,Deletion
274,"('#arlequin', 'Et pourquoi non ?')",,1.0,Insertion
275,"('#le-chevalier', ""Puis-je, dites-moi, dans une solitude, me levant à midi, être jusqu'à deux heures à ma toilette, parmi mille nuances de justaucorps rouges et bleus qui me réjouiraient la vue ?"")","('#leandre', ""Si vous vouliez Monsieur pour couronner l'ouvrage, Entrer chez me Maîtresse, et voir si ce sauvage, N'est point dans le Logis, vous m'obligerez fort. Ne refusez donc pas de servir mon transport : Vous êtes si zélé, d'une humeur si traitable !"")",0.74,Substitution
276,"('#arlequin', 'Vraiment, on sait bien que vous ne pourrez pas comme certaines femmes, destiner les différents jours de la semaine aux différentes professions, et donner le Lundi aux gens de Robe, le Mardi aux Abbés, le Mercredi aux Étrangers, et le reste de la semaine au public.')","('#arlequin', ""Que j'ai lieu d'espérer... Ce serait bien le Diable, Cet ouvrage sans moi saura se terminer, Et vous allez, Monsieur, bien-tôt le couronner."")",1.63,Substitution
277,"('#la-comtesse', ""Vous voyez donc bien, Monsieur, que Madame a raison, et que vous n'avez rien à répondre ?"")","('#leandre', ""Quoi, vous ne voulez pas ? Votre refus m'offense."")",0.95,Substitution
