,la-fontaine-daphne,quinault-atys,Cost,Operation Type
110,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#atys', 'Son coeur suit avec soin le devoir et la gloire, Et vous avez pour vous la gloire et le devoir.')",1.21,Substitution
111,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#celaenus', ""Ne me déguise point ce que tu peux connaître. Si j'ai ce que j'aime en ce jour L'hymen seul m'en rend-t-il le maître ? La gloire et le devoir auront tout fait, peut-être, Et ne laissent pour moi rien à faire à l'amour."")",1.09,Substitution
112,"('#momus', 'Elle fuit.')",,1.0,Insertion
113,"('#apollon', 'Mille amours avec elle ont paru.')","('#atys', ""Vous aimez d'un amour trop délicat, trop tendre."")",0.67,Substitution
114,,"('#celaenus', ""L'indifférent Atys ne le saurait comprendre."")",1.0,Deletion
115,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#atys', ""Qu'un indifférent est heureux ! Il jouit d'un destin paisible. Le ciel fait un présent bien cher, bien dangereux, Lorsqu'il donne un coeur trop sensible."")",1.25,Substitution
116,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#celaenus', ""Quand on aime bien tendrement On ne cesse jamais de souffrir, et de craindre ; Dans le bonheur le plus charmant, On est ingénieux à se faire un tourment, Et l'on prend plaisir à se plaindre. Va songe à mon hymen, et vois si tout est prêt, Laisse-moi seul ici, la déesse paraît."")",0.3,Substitution
117,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
118,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
119,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#cybele', ""Je veux joindre en ces lieux la gloire et l'abondance, D'un sacrificateur je veux faire le choix, Et le roi de Phrygie aurait la préférence Si je voulais choisir entre les plus grands rois. Le puissant dieu des flots vous donna la naissance, Un peuple renommé s'est mis sous votre loi ; Vous avez sans mes soins, d'ailleurs, trop de puissance, Je veux faire un bonheur qui ne soit du qu'à moi. Vous estimez Atys, et c'est avec justice, Je prétends que mon choix à vos voeux soit propice, C'est Atys que je veux choisir."")",0.15,Substitution
120,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")","('#celaenus', ""J'aime Atys, et je vois sa gloire avec plaisir. Je suis roi, Neptune est mon père, J'épouse une beauté qui va combler mes voeux : Le souhait qui me reste à faire, C'est de voir mon ami parfaitement heureux."")",1.05,Substitution
121,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#cybele', ""Il m'est doux que mon choix à vos désirs réponde ; Une grande divinité Doit faire sa félicité Du bien de tout le monde. Mais surtout le bonheur d'un roi chéri des cieux Fait le plus doux plaisir des dieux."")",0.58,Substitution
122,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#celaenus', ""Le sang approche Atys de la nymphe que j'aime, Son mérite l'égale aux rois : Il soutiendra mieux que moi-même La majesté suprême De vos divines lois. Rien ne pourra troubler son zèle, Son coeur s'est conservé libre jusqu'à ce jour ; Il faut tout un coeur pour Cybèle, À peine tout le mien peut suffire à l'amour."")",0.31,Substitution
123,,"('#cybele', ""Portez à votre ami la première nouvelle De l'honneur éclatant où ma faveur l'appelle."")",1.0,Deletion
124,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")","('#cybele', ""Tu t'étonnes, Mélisse, et mon choix te surprend ?"")",0.77,Substitution
125,,"('#melisse', 'Atys vous doit beaucoup, et son bonheur est grand.')",1.0,Deletion
126,,"('#cybele', ""J'ai fait encor pour lui plus que tu ne peux croire."")",1.0,Deletion
127,,"('#melisse', 'Est-il pour un mortel un rang plus glorieux ?')",1.0,Deletion
128,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#cybele', ""Tu ne vois que sa moindre gloire ; Ce mortel dans mon coeur est au dessus des dieux. Ce fut au jour fatal de ma dernière fête Que de l'aimable Atys je devins la conquête : Je partis à regret pour retourner aux cieux, Tout m'y parût changé, rien n'y plut à mes yeux. Je sens un plaisir extrême À revenir dans ces lieux. Où peut-on jamais être mieux, Qu'aux lieux où l'on voit ce qu'on aime ?"")",0.08,Substitution
129,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#melisse', ""Tous les dieux ont aimé, Cybèle aime à son tour. Vous méprisiez trop l'amour, Son nom vous semblait étrange, À la fin il vient un jour Où l'amour se venge."")",0.63,Substitution
130,,"('#cybele', ""J'ai crû me faire un coeur maître de tout son sort, Un coeur toujours exempt de trouble et de tendresse."")",1.0,Deletion
131,,"('#melisse', ""Vous braviez à tort L'amour qui vous blesse ; Le coeur le plus fort À des moments de faiblesse. Mais vous pouviez aimer, et descendre moins bas."")",1.0,Deletion
132,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#cybele', ""Non, trop d'égalité rend l'amour sans appas. Quel plus haut rang ai-je à prétendre ? Et de quoi mon pouvoir ne vient-il point à bout ? Lorsqu'on est au-dessus de tout, On se fait pour aimer un plaisir de descendre. Je laisse aux dieux les biens dans le ciel préparés, Pour Atys, pour son coeur, je quitte tout sans peine, S'il m'oblige à descendre, un doux penchant m'entraîne ; Les coeurs que le destin a le plus séparés, Sont ceux qu'amour unit d'une plus forte chaîne. Fais venir le sommeil ; que lui-même en ce jour, Prenne soin ici de conduire Les songes qui lui font la cour ; Atys ne sait point mon amour, Par un moyen nouveau je prétends l'en instruire."")",0.2,Substitution
133,"('#fleuves', 'Commandez.')",,1.0,Insertion
134,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#cybele', ""Que les plus doux zéphyrs, que les peuples divers, Qui des deux bouts de l'univers Sont venus me montrer leur zèle, Célèbrent la gloire immortelle Du sacrificateur dont Cybèle a fait choix, Atys doit dispenser mes lois, Honorez le choix de Cybèle."")",0.39,Substitution
135,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#les-choeurs', ""Célébrons la gloire immortelle Du sacrificateur dont Cybèle a fait choix : Atys doit dispenser ses lois, Honorons le choix de Cybèle. Que devant vous tout s'abaisse, et tout tremble ; Vivez heureux, vos jours sont notre espoir : Rien n'est si beau que de voir ensemble Un grand mérite avec un grand pouvoir. Que l'on bénisse Le ciel propice, Qui dans vos mains Met le sort des humains."")",0.95,Substitution
136,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#atys', ""Indigne que je suis des honneurs qu'on m'adresse, Je dois les recevoir au nom de la déesse ; J'ose, puisqu'il lui plaît, lui présenter vos voeux : Pour le prix de votre zèle, Que la puissante Cybèle Vous rende à jamais heureux."")",1.29,Substitution
137,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')","('#les-choeurs', 'Que la puissante Cybèle Nous rende à jamais heureux.')",1.38,Substitution
138,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")","('#atys', ""Que servent les faveurs que nous fait la fortune Quand l'amour nous rend malheureux ? Je perds l'unique bien qui peut combler mes voeux, Et tout autre bien m'importune. Que servent les faveurs que nous fait la fortune Quand l'amour nous rend malheureux ?"")",1.55,Substitution
139,,"('#idas', 'Peut-on ici parler sans feindre ?')",1.0,Deletion
140,,"('#atys', ""Je commande en ces lieux, vous n'y devez rien craindre."")",1.0,Deletion
141,,"('#doris', 'Mon frère est votre ami.')",1.0,Deletion
142,,"('#idas', 'Fiez-vous à ma soeur.')",1.0,Deletion
143,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#atys', 'Vous devez avec moi partager mon bonheur.')",1.02,Substitution
144,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#idas #doris', ""Nous venons partager vos mortelles alarmes ; Sangaride les yeux en larmes Nous vient d'ouvrir son coeur."")",0.6,Substitution
145,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#atys', ""L'heure approche où l'hymen voudra qu'elle se livre Au pouvoir d'un heureux époux."")",0.48,Substitution
146,,"('#idas #doris', 'Elle ne peut vivre Pour un autre que pour vous.')",1.0,Deletion
147,,"('#atys', 'Qui peut la dégager du devoir qui la presse ?')",1.0,Deletion
148,"('#daphne', 'Ah, Clymène ! Plains-moi.')","('#idas #doris', 'Elle veut elle-même aux pieds de la déesse Déclarer hautement vos secrètes amours.')",1.38,Substitution
149,,"('#atys', ""Cybèle pour moi s'intéresse, J'ose tout espérer de son divin secours... Mais quoi, trahir le roi ! Tromper son espérance ! De tant de biens reçus est-ce la récompense ?"")",1.0,Deletion
150,,"('#idas #doris', ""Dans l'empire amoureux Le devoir n'a point de puissance ; L'amour dispense Les rivaux d'être généreux ; Il faut souvent pour devenir heureux Qu'il en coûte un peu d'innocence."")",1.0,Deletion
151,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#atys', 'Je souhaite, je crains, je veux, je me repends.')",0.89,Substitution
152,,"('#idas #doris', 'Verrez-vous un rival heureux à vos dépends ?')",1.0,Deletion
153,,"('#atys', 'Je ne puis me résoudre à cette violence.')",1.0,Deletion
154,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#atys #idas #doris', ""En vain, un coeur, incertain de son choix. Met en balance mille fois L'amour et la reconnaissance, L'amour toujours emporte la balance."")",1.18,Substitution
155,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#atys', 'Le plus juste parti cède enfin au plus fort. Allez, prenez soin de mon sort, Que Sangaride ici se rende en diligence.')",0.87,Substitution
156,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#atys', ""Nous pouvons nous flatter de l'espoir le plus doux Cybèle et l'amour sont pour nous. Mais du devoir trahi j'entends la voix pressante Qui m'accuse et qui m'épouvante. Laisse mon coeur en paix, impuissante vertu, N'ai-je point assez combattu ? Quand l'amour malgré toi me contraint à me rendre, Que me demandes-tu ? Puisque tu ne peux me défendre, Que me sert-il d'entendre Les vains reproches que tu fais ? Impuissante vertu laisse mon coeur en paix. Mais le sommeil vient me surprendre, Je combats vainement sa charmante douceur. Il faut laisser suspendre Les troubles de mon coeur. Atys s'endort. Le théâtre change et représente une antre entouré de pavots et de ruisseaux, où le dieu du sommeil se vient rendre accompagné des songes agréables et funestes."")",0.0,Match
157,,"('#le-sommeil', 'Dormons, dormons tous ; Ah que le repos est doux !')",1.0,Deletion
158,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")","('#morphee', 'Régnez, divin sommeil, régnez sur tout le monde, Répandez vos pavots les plus assoupissants ; Calmez les soins, charmez les sens, Retenez tous les coeurs dans une paix profonde.')",1.89,Substitution
159,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')","('#phobetor', ""Ne vous faites point violence, Coulez, murmurez, clairs ruisseaux, Il n'est permis qu'au bruit des eaux De troubler la douceur d'un si charmant silence."")",1.24,Substitution
160,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#sommeil #morphee #phobetor #phantase', ""Dormons, dormons tous, Ah que le repos est doux ! Les songes agréables approchent d'Atys, et par leurs chants, et par leurs danses, lui font connaître l'amour de Cybèle, et le bonheur qu'il en doit espérer."")",0.5,Substitution
161,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#morphee', ""Écoute, écoute Atys la gloire qui t'appelle, Sois sensible à l'honneur d'être aimé de Cybèle, Jouis heureux Atys de ta félicité."")",0.25,Substitution
162,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",,1.0,Insertion
163,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#morphee #phobetor #phantase', ""Mais souviens-toi que la beauté, Quand elle est immortelle, Demande la fidélité D'une amour éternelle."")",0.8,Substitution
164,,"('#phantase', ""Que l'amour a d'attraits Lorsqu'il commence À faire sentir sa puissance ! Que l'amour a d'attraits Lorsqu'il commence Pour ne finir jamais. Trop heureux un amant Qu'amour exempte Des peines d'une longue attente ! Trop heureux un amant Qu'amour exempte De crainte et de tourment !"")",1.0,Deletion
165,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#phobetor', ""Goûte en paix chaque jour une douceur nouvelle, Partage l'heureux sort d'une divinité, Ne vante plus la liberté, Il n'en est point du prix d'une chaîne si belle."")",0.49,Substitution
166,"('#tharsis', 'Je vous verrai.')","('#morphee #phobetor #phantase', ""Mais souviens-toi que la beauté, Quand elle est immortelle, Demande la fidélité D'une amour éternelle."")",1.48,Substitution
167,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#phantase', ""Que l'amour a d'attraits Lorsqu'il commence À faire sentir sa puissance ! Que l'amour a d'attraits Lorsqu'il commence Pour ne finir jamais ! Les songes funestes approchent d'Atys, et le menacent de la vengeance de Cybèle s'il méprise son amour, et s'il ne l'aime pas avec fidélité."")",0.77,Substitution
168,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#un-songe-funeste', ""Garde-toi d'offenser un amour glorieux, C'est pour toi que Cybèle abandonne les cieux Ne trahis point son espérance. Il n'est point pour les dieux de mépris innocent, Ils sont jaloux des coeurs, ils aiment la vengeance, Il est dangereux qu'on offense Un amour tout-puissant."")",0.24,Substitution
169,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#choeur-des-songes-funestes', ""L'amour qu'on outrage Se transforme en rage, Et ne pardonne pas Aux plus charmants appas. Si tu n'aimes point Cybèle D'une amour fidèle, Malheureux, que tu souffriras ! Tu périras : Crains une vengeance cruelle, Tremble, crains un affreux trépas. Atys épouvanté par les songes funestes, se réveille en sursaut, le sommeil et les songes disparaissent avec l'antre où ils étaient, et Atys se retrouve dans le même palais où il s'était endormi."")",0.02,Substitution
170,,"('#atys', 'Venez à mon secours, ô dieux ! Ô justes dieux !')",1.0,Deletion
171,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')","('#cybele', 'Atys, ne craignez rien, Cybèle est en ces lieux.')",1.2,Substitution
172,,"('#atys', ""Pardonnez au désordre où mon coeur s'abandonne ; C'est un songe..."")",1.0,Deletion
173,"('#telamon', 'Ceci vous trouble et vous étonne.')","('#cybele', 'Parlez, quel songe vous étonne ? Expliquez-moi votre embarras.')",0.0,Match
174,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#atys', 'Les songes sont trompeurs, et je ne les crois pas. Les plaisirs et les peines Dont en dormant on est séduit, Sont des chimères vaines Que le réveil détruit.')",0.73,Substitution
175,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#cybele', ""Ne méprisez pas tant les songes L'amour peut emprunter leur voix, S'ils font souvent des mensonges, Ils disent vrai quelque fois. Ils parlaient par mon ordre, et vous les devez croire."")",0.77,Substitution
176,"('#tharsis', 'Tu ris.')","('#atys', 'Ô ciel !')",1.81,Substitution
177,,"('#cybele', ""N'en doutez point, connaissez votre gloire. Répondez avec liberté, Je vous demande un coeur qui dépend de lui-même."")",1.0,Deletion
178,,"('#atys', ""Une grande divinité Doit s'assurer toujours de mon respect extrême."")",1.0,Deletion
179,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#cybele', ""Les dieux dans leur grandeur suprême Reçoivent tant d'honneurs qu'ils en sont rebutés, Ils se lassent souvent d'être trop respectés, Ils sont plus contents qu'on les aime."")",0.56,Substitution
180,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")","('#atys', 'Je sais trop ce que je vous dois Pour manquer de reconnaissance...')",1.3,Substitution
181,,"('#sangaride', ""J'ai recours à votre puissance, Reine des dieux, protégez-moi. L'intérêt d'Atys vous en presse..."")",1.0,Deletion
182,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#atys', 'Je parlerai pour vous, que votre crainte cesse.')",0.8,Substitution
183,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",,1.0,Insertion
184,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",,1.0,Insertion
185,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')","('#sangaride', 'Tous deux unis des plus beaux noeuds...')",0.0,Match
186,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",,1.0,Insertion
187,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#atys', ""Le sang et l'amitié nous unissent tous deux. Que votre secours la délivre Des lois d'un hymen rigoureux, Ce sont les plus doux de ses voeux De pouvoir à jamais vous servir et vous suivre."")",0.51,Substitution
188,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#cybele', ""Les dieux sont les protecteurs De la liberté des coeurs. Allez, ne craignez point le roi ni sa colère, J'aurai soin d'apaiser Le fleuve Sangar votre père ; Atys veut vous favoriser, Cybèle en sa faveur ne peut rien refuser."")",0.96,Substitution
189,,"('#atys', ""Ah ! C'en est trop..."")",1.0,Deletion
190,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#cybele', ""Non, non, il n'est pas nécessaire Que vous cachiez votre bonheur, Je ne prétends point faire Un vain mystère D'un amour qui vous fait honneur. Ce n'est point à Cybèle à craindre d'en trop dire. Il est vrai, j'aime Atys, pour lui j'ai tout quitté, Sans lui je ne veux plus de grandeur ni d'empire, Pour ma félicité Son coeur seul peut suffire. Allez, Atys lui-même ira vous garantir De la fatale violence Où vous ne pouvez consentir. Sangaride se retire."")",0.5,Substitution
191,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",,1.0,Insertion
192,"('#penee', 'Laissez-nous achever cette cérémonie.')","('#cybele', 'Laissez-nous, attendez mes ordres pour partir, Je prétends vous armer de ma toute-puissance.')",1.3,Substitution
193,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#cybele', ""Qu'Atys dans ses respects mêlé d'indifférence ! L'ingrat Atys ne m'aime pas ; L'amour veut de l'amour, tout autre prix l'offense, Et souvent le respect et la reconnaissance Sont l'excuse des coeurs ingrats."")",0.56,Substitution
194,,"('#melisse', ""Ce n'est pas un si grand crime De ne s'exprimer pas bien, Un coeur qui n'aima jamais rien Sait peu comment l'amour s'exprime."")",1.0,Deletion
195,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#cybele', ""Sangaride est aimable, Atys peut tout charmer, Ils témoignent trop s'estimer, Et de simples parents sont moins d'intelligence : Ils se sont aimés dés l'enfance, Ils pourraient enfin trop s'aimer. Je crains une amitié que tant d'ardeur anime. Rien n'est si trompeur que l'estime : C'est un nom supposé Qu'on donne quelquefois à l'amour déguisé. Je prétends m'éclaircir, leur feinte sera vaine."")",0.02,Substitution
196,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",,1.0,Insertion
197,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
198,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#melisse', ""Quels secrets par les dieux ne sont point pénétrez ? Deux coeurs à feindre préparés Ont beau cacher leur chaîne, On abuse avec peine Les dieux par l'amour éclairés."")",0.54,Substitution
199,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#cybele', ""Va, Mélisse, donne ordre à l'aimable Zéphyr D'accomplir promptement tout ce qu'Atys désire."")",1.74,Substitution
