,quinault-thesee,rousseaujb-jason,Cost,Operation Type
98,"('#le-choeur-des-pretresses', 'Ô Pallas favorable ! Protégez-nous toujours.')",,1.0,Insertion
99,"('#la-grande-pretresse', ""Il faut profiter Du bonheur de nos armes. C'est trop écouter Le bruit des alarmes, Le cours de nos larmes Se doit arrêter, Songeons à goûter Un sort plein de charmes ; Il faut profiter Du bonheur de nos armes."")",,1.0,Insertion
100,"('#le-choeur-des-pretresses', 'Chantez tous en paix, Chantez la victoire, Et que la mémoire En vive à jamais : Chantez les attraits Dont brille la gloire ; Chantez tous en paix, Chantez la victoire.')","('#le-roi', ""Parlez, et quelque bien qui flatte ici leurs yeux, Ils seront satisfaits j'en atteste les Dieux."")",0.68,Substitution
101,"('#la-grande-pretresse', 'Le calme est bien doux Après un grand orage. La gloire est pour nous, La honte et la rage Seront le partage Des voisins jaloux : Tout cède à nos coups, Tout cède au courage : Le calme est bien doux Après un grand orage.')","('#jason', 'Tant que le ciel pour eux répandra sa lumière, Rien ne peut les toucher que la riche toison.')",0.58,Substitution
102,"('#le-choeur-des-pretresses', ""Chantons tour à tour Dans ces lieux aimables, Des dieux favorables Y font leur séjour : Les seuls traits d'amour Y sont redoutables : Chantons tour à tour Dans ces lieux aimables."")","('#le-roi', 'Dieux que me dites-vous ?')",1.92,Substitution
103,"('#la-grande-pretresse', 'Ô Minerve savante ! Ô guerrière Pallas ! Que par votre faveur puissante Une félicité charmante Nous offre chaque jour mille nouveaux appas, Ô Minerve savante ! Ô guerrière Pallas !')","('#medee', 'Ah ! Perfide Jason !')",1.23,Substitution
104,"('#les-choeurs', ""Animez nos cours, et nos bras, Rendez la victoire constante, Conduisez nos soldats, Partout, devant leurs pas, Jetez le trouble et l'épouvante ; Ô Minerve savante ! Ô guerrière Pallas !"")","('#jason', 'Daignez à leur valeur guerrière Ouvrir cette noble carrière.')",0.63,Substitution
105,"('#la-grande-pretresse', ""Souffrez qu'un jeu sacré dans ces lieux vous présente Une image innocente De guerre et de combats."")","('#medee', 'Juste ciel, quelle trahison !')",1.64,Substitution
106,"('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas ! On forme un combat à la manière des anciens.')",,1.0,Insertion
107,"('#les-choeurs', ""Que la guerre sanglante Passe en d'autres états, Ô Minerve savante ! Ô guerrière Pallas ! Que la foudre grondante Détourne ses éclats : Ô Minerve savante ! Ô guerrière Pallas !"")","('#le-roi', 'Quoi, prince, ignorez-vous que la Toison ravie Met en péril et mon sceptre et ma vie ; En voulez-vous précipiter la fin ? Et pourquoi vous charger des ordres du destin ?')",1.01,Substitution
108,"('#la-grande-pretresse', 'Puissions-nous voir toujours Athènes triomphante, Puisse son roi vainqueur des plus grands potentats La rendre heureuse et florissante.')",,1.0,Insertion
109,"('#les-choeurs', 'Ô Minerve savante ! Ô guerrière Pallas !')",,1.0,Insertion
110,"('#medee', ""Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais ! L'impitoyable amour m'a toujours poursuivie ; N'était-ce point assez des maux qu'il m'avait faits ! Pourquoi ce dieu cruel avec de nouveaux traits Vient-il encor troubler le reste de ma vie ? Doux repos, innocente paix, Heureux, heureux un coeur qui ne vous perd jamais !"")","('#jason', ""Le Dieu du jour vous donna la naissance, Un grand peuple est soumis à votre obéissance ; Vos ennemis gémissent dans vos fers, Tout comble ici votre bonheur extrême : Vous n'avez plus à craindre un funeste revers, Votre sort désormais dépendra de vous-même. Pour nous, qu'un fier tyran tient ses lois soumis, Tel est le malheur qui nous presse, Qu'une honteuse mort nous attend dans la Grèce Si de notre retour la Toison n'est le prix."")",0.22,Substitution
111,"('#dorine', ""Recommencez d'aimer, reprenez l'espérance ; Thésée est un héros charmant, Méprisez en l'aimant L'ingrat Jason qui vous offense. Il faut par le changement Punir l'inconstance, C'est une douce vengeance De faire un nouvel amant."")","('#le-roi', ""Mais savez-vous qu'un projet si coupable Rend votre perte inévitable ? Quelle fureur vous porte à chercher le trépas ?"")",1.19,Substitution
112,"('#medee', ""La gloire de Thésée à mes yeux paraît belle, On l'a vu triompher dés qu'il a combattu ; Le destin de Médée est d'être criminelle, Mais son cour était fait pour aimer la vertu."")",,1.0,Insertion
113,"('#dorine', ""Le dépit veut que l'on s'engage Sous de nouvelles lois, Quand on s'abuse au premier choix ; On n'est pas volage Pour ne changer qu'une fois."")","('#jason', ""La mort ne nous étonne pas. Plus le péril est redoutable, Et plus la victoire a d'appas."")",1.39,Substitution
114,"('#medee', 'Un tendre engagement va plus loin qu\'on ne pense ; On ne voit pas, lorsqu\'il commence, Tout ce qu\'il doit coûter un jour : Mon cour aurait encor sa première innocence S\'il n\'avait jamais eu d\'amour. Mon frère et mes deux fils ont été les victimes De mon implacable fureur ; J\'ai rempli l\'univers d""horreur, Mais le cruel amour a fait seul tous mes crimes.')","('#le-roi', ""J'ai juré de vous satisfaire Je ne saurais m'en dégager Puisqu'un avis sincère Ne saurait vous changer, Allez exécuter un dessein téméraire Les Dieux prendront le soin de me venger."")",0.31,Substitution
115,"('#dorine', ""Espérez de former de plus aimables noeuds. Une cruelle expérience Vous apprend que l'amour est un mal dangereux ; Mais l'ennuyeuse indifférence Ne rend pas un coeur plus heureux. Aimez, aimez Thésée, aimez sa gloire extrême."")","('#jason', ""Dans quel mortel chagrin un tel discours me laisse ? Que je sens un cruel tourment ? Vous me fuyez, chère princesse Quoi ! M'abandonnez-vous en cet accablement ?"")",0.58,Substitution
116,"('#medee', ""Mais qui me répondra qu'il m'aime ?"")",,1.0,Insertion
117,"('#dorine', 'Peut-il trouver un sort plus beau ?')",,1.0,Insertion
118,"('#medee', ""Peut-être que mon cour cherche un malheur nouveau. Mon dépit, tu le sais, dédaigne de se plaindre : Il est difficile à calmer, S'il venait à se rallumer, Il faudrait du sang pour l'éteindre."")","('#medee', ""Je fuis un traître, un infidèle, Qui n'a que trop mérité mon courroux."")",0.61,Substitution
119,"('#dorine', ""Que ne peut point Médée avec l'art de charmer ? Que puis-je ? Hélas ! Parlons sans feindre. Les enfers quand je veux sont contraints à s'armer, Mais on ne force point un coeur à s'enflammer ; Mes charmes les plus forts ne sauraient l'y contraindre, Ah je n'en ai que trop pour forcer à me craindre, Et trop peu pour me faire aimer."")","('#jason', ""Plaignez plutôt ma fortune cruelle, Du plus ardent amour mon coeur ressent les coups, Mais je ne puis trahir la gloire qui m'appelle. Si je dois vivre pour vous. Je dois vivre aussi pour elle."")",0.09,Substitution
120,"('#le-roi', ""Je vois le succès favorable Des soins que vous m'avez promis, Médée et son art redoutable Ont gardé ce palais contre mes ennemis. J'ai différé longtemps de tenir ma promesse, Je devrais être votre époux."")","('#medee', ""Contre un Roi généreux, qui par mille bienfaits S'empresse à combler tes souhaits, Former un dessein perfide, Traître, sont-ce là les effets De la gloire qui te guide ?"")",0.64,Substitution
121,"('#medee', ""L'hymen n'a rien qui presse Ni pour moi, ni pour vous."")",,1.0,Insertion
122,"('#le-roi', ""Vous pouvez sans chagrin souffrir que je diffère. Avec un époux plein d'appas L'hymen a de la peine à plaire ; Quelle peur ne doit-il pas faire Quand l'époux ne plaît pas ? Désormais sans péril je puis faire paraître Un fils que dans ma cour je n'osais reconnaître. Il peut venir dans peu de temps."")","('#jason', 'Exilés du climat qui nous donna le jour, Un serment solennel engage notre gloire À méditer notre retour Par cette éclatante victoire.')",1.08,Substitution
123,"('#medee', ""Laissons-là votre fils, Seigneur, je vous entends La jeune AEglé vous paraît belle, Chaque jour, je m'en aperçois ; Si vous m'abandonnez pour elle, Thésée est seul digne de moi."")","('#medee', ""Malheureux ! J'ai pitié de ta témérité, Tu cours à ta perte certaine. Apprends en quelle extrémité Ton funeste dessein t'entraîne. Deux taureaux indomptés sont les premiers remparts Qui défendent le champ de Mars. La flamme qui se mêle à leur brûlante haleine Forme autour d'eux un affreux tourbillon ; Il faut forcer leur fureur inhumaine À tracer sur la plaine un pénible sillon. Aussitôt du sein de la terre, Tes yeux verront de toutes parts Sortir des escadrons épars, Qui se rassembleront pour te livrer la guerre. Ce n'est pas tout encore : un dragon furieux Fait dans ce lieu terrible une garde constante ; Jamais le doux sommeil n'approcha de ses yeux : Rien ne saurait tromper sa fureur vigilante. La mort, la plus cruelle mort Sera le prix de ton audace."")",0.62,Substitution
124,"('#le-roi #medee', ""Ne nous piquons point de constance ; Consentons à nous dégager. Goûtons d'intelligence La douceur de changer."")",,1.0,Insertion
125,"('#medee', ""Quand on suit une amour nouvelle, C'est une trahison cruelle De laisser dans l'engagement Un cour tendre et fidèle ; Mais rien n'est si charmant Qu'une inconstance mutuelle."")",,1.0,Insertion
126,"('#le-roi #medee', 'Heureux deux amants inconstants, Quand ils le sont en même temps.')",,1.0,Insertion
127,"('#arcas', 'Seigneur, songez à vous.')",,1.0,Insertion
128,"('#le-roi', 'Quel malheur nous menace ?')","('#jason', 'Non, non. je ne crains point le coup qui me menace, Mon courage et les Dieux sont garants de mon sort.')",0.76,Substitution
129,"('#arcas', ""Thésée est si puissant qu'il peut vous alarmer, Ses glorieux exploits charment la populace, Au lieu d'un héritier qui manque à votre race, Pour votre successeur on le veut proclamer."")","('#medee', ""C'en est donc fait, volage ! Puisque mes soins sont superflus, Va, cours ; je ne te retiens plus ; Achève d'accomplir un projet qui m'outrage ; Mais après les périls dont je t'ai peint l'horreur Redoute encor Médée et sa fureur."")",0.82,Substitution
130,"('#le-roi', 'Il faut arrêter cette audace.')",,1.0,Insertion
131,"('#dorine', 'Demeure, écoute un mot, Arcas.')",,1.0,Insertion
132,"('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",,1.0,Insertion
133,"('#dorine', ""Autrefois tu m'étais fidèle, Tu jurais de m'aimer d'une ardeur éternelle."")",,1.0,Insertion
134,"('#arcas', 'Nous sommes dans un temps de trouble et de combats.')",,1.0,Insertion
135,"('#dorine', ""Cléone a des appas, On te voit souvent avec elle, N'est-ce point une amour nouvelle Qui fait ton embarras ? Tu rougis ? Tu ne réponds pas ?"")","('#jason', ""Vaine fureur, impuissante colère ! Non, non, ce n'est pas toi qui causes mes tourments ; Je souffre beaucoup plus de l'indigne mystère Qui cache ici mes sentiments : Vaine fureur, impuissante colère, Non, non, ce n'est pas toi qui causes mes tourments ; Quelle pompe éclatante S'approche de ces bords ! D'où naissent ces nouveaux accords ; À mes regards surpris quel objet se présente 1 C'est Hypsipyle, ô Ciel ! en croirai-je mes yeux ; Quel sort l'a conduite en ces lieux ? Mon âme confuse éperdue, Soutiendra-t-elle encor sa vue ? Elle vient, je la vois, Dieux qui l'avez permis, Sont-ce là les secours que vous m'aviez promis ?"")",0.25,Substitution
136,"('#arcas', ""Mon devoir près du roi m'appelle, Il faut que je suive ses pas."")",,1.0,Insertion
137,"('#dorine', ""C'est donc là tout le prix d'une amour trop sincère. N'aimons jamais, ou n'aimons guère : Il est dangereux d'aimer tant, Ce n'est pas le plus sûr pour plaire. Bien souvent on croit faire Un amant heureux et content, Et l'on ne fait qu'un inconstant."")","('#hypsipile', ""Enfin je vous revois et mon âme interdite... Que vois-je ? Et quelle est ma douleur ? Quoi ! Jason me voit et m'évite ! Un noir pressentiment s'empare de mon c?ur ; Ô Neptune ! En ces lieux ne m'auriez-vous conduite Que pour voir de plus près son crime et mon malheur ? Soupçons mal éclaircis, jalouse inquiétude, Ah que vous déchirez mon coeur ! Que ne prouvez-vous mieux sa noire ingratitude, Sans tenir mon âme en langueur! Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon coeur ? Si des maux de l'amour l'absence est le plus rude, J'en ai soutenu la rigueur; Mais le mal que je souffre en cette incertitude De tout mon courage est vainqueur : Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon c?ur !"")",0.94,Substitution
138,"('#peuples', 'Régnez, héros indomptable ; Régnez rendez nous heureux.')",,1.0,Insertion
139,"('#dorine', ""Le peuple vient ici. Sa faveur est semblable Au transport des cours amoureux ; L'ardeur des plus grands feux N'est pas la plus durable."")","('#neptune', ""N'accuse plus ton héros d'inconstance. Son coeur t'aime toujours avec sincérité, Sur les rapports trompeurs d'une vaine apparence, Ne doute plus de sa fidélité. Divinités qui régnez sur les ondes, Néréides, Tritons, Dieux soumis à mes lois, Quittez vos retraites profondes, Venez remplir ces lieux du bruit de votre voix ; Et vous, peuples de ce rivage, Par vos jeux et par vos concerts Rendez à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers Ne fit voir à vos yeux un plus riche assemblage De grâces et d'attraits divers."")",0.5,Substitution
140,"('#peuples', 'Régnez, héros indomptable, Rendez, rendez-nous heureux.')",,1.0,Insertion
141,"('#le-choeur', ""Que l'on doit être Content d'avoir un maître Vainqueur des plus grands rois ! Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")","('#le-choeur', ""Par nos jeux et par nos concerts Rendons à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers, Ne fit voir à nos yeux un plus riche assemblage De grâces et d'attraits divers."")",0.46,Substitution
142,"('#deux-vieillards', ""Pour le peu de bon temps qui nous reste Rien n'est si funeste Qu'un noir chagrin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher. Achevons nos vieux ans sans alarmes ; La vie a des charmes Jusqu'à la fin. Le plaisir se présente, Chantons quand on chante, Vivons au gré du destin. L'affreuse vieillesse Qui doit voir sans cesse La mort s'approcher, Trouve assez la tristesse Sans la chercher."")","('#une-nereide', ""Toujours l'Empire des mers N'est pas sujet au naufrage, Toujours les vents et l'orage N'éclatent pas dans les airs : Mais dans l'amoureux empire Incessamment on soupire."")",0.65,Substitution
143,"('#le-choeur', ""Que la victoire Le comble ici de gloire ; Suivons, aimons ses lois. Que l'on entende Chanter partout ses exploits : Joignons nos voix. Que toujours il nous défende, Qu'il triomphe, qu'il commande, Qu'il jouisse des douceurs De régner sur tous les cours."")","('#le-choeur', ""Chantons une reine si belle, Célébrons ses attraits charmants. Signalons par nos chants L'ardeur de notre zèle. Que le Dieu des amants, Qui dans ces lieux l'appelle, Forme toujours pour elle Les plus heureux moments."")",0.0,Match
144,"('#thesee', ""C'est assez, amis, c'est assez, Allez, et que chacun en bon ordre se rende Aux endroits qu'au besoin il faudra qu'il défende : Allez, je suis content de vos soins empressés, Si vous voulez que je commande, Allez, allez, obéissez. Les peuples se retirent. Thésée veut entrer dans l'appartement du roi, Médée en sort qui arrête Thésée."")","('#hypsipile', ""Vos jeux ont des charmes pour moi : Mais mon devoir m'engage à voir le Roi, Et mon amour près de Jason m'appelle ; Laissez-moi quitter ce séjour, Les plaisirs les plus doux loin d'un amant fidèle, Sont autant de moments dérobés à l'amour."")",0.82,Substitution
145,"('#medee', 'Thésée où courez-vous ? Que prétendez-vous faire ?')",,1.0,Insertion
146,"('#thesee', 'Chercher le roi, le voir, et calmer sa colère.')",,1.0,Insertion
147,"('#medee', 'Le roi souffrira-t-il que vous donniez la loi ?')",,1.0,Insertion
148,"('#thesee', ""Il n'aura pas lieu de se plaindre, Si l'on a trop d'ardeur pour moi, C'est un feu que j'ai soin d'éteindre."")","('#medee', ""Fatal courroux, haine mortelle, Venez me secourir contre un amour rebelle. Par un mépris plein de froideur J'avais cru me guérir de ma honteuse flamme ; Mais le jaloux transport qui règne dans mon âme Me fait connaître mon erreur. Fatal courroux, haine mortelle, Venez me secourir contre un amour rebelle. La reine de Lemnos a paru dans ces lieux, Qu'y vient-elle chercher ? Quel soin secret l'appelle ? Mon perfide a senti le pouvoir de ses yeux ; Qu'ils ont d'attraits ! Dieux, qu'elle est belle! Que je sens redoubler contre elle Mes transports furieux ! Je la vois qui s'avance ; Pénétrons le secret de leur intelligence !"")",0.49,Substitution
149,"('#medee', ""Vous êtes de trop bonne foi ; Quand on a fait trembler un roi, Apprenez qu'on en doit tout craindre."")",,1.0,Insertion
150,"('#thesee', ""Sans un charme puissant qui m'attache à sa cour J'irais chercher ailleurs une guerre nouvelle. La gloire m'enflamma dès que je vis le jour, Tout mon cour était fait pour elle ; Mais dans un jeune cour, la gloire la plus belle Fait aisément place à l'amour."")","('#medee', ""À vos charmes puissants, que ne devrons-nous pas ! Que cette heureuse cour en reçoit davantage ! Ils vont de nos tristes climats Bannir ce qu'ils ont de sauvage : Sans vous, sans vos divins appas, L'amour n'aurait jamais embelli ce rivage."")",0.24,Substitution
151,"('#medee', ""Un peu d'amoureuse tendresse Sied bien aux plus fameux vainqueurs ; Si l'amour est une faiblesse, C'est la faiblesse des grands cours. Parlez, que rien ne vous alarme J'obligerai le roi de vous tout accorder."")","('#hypsipile', ""Tout respire en ces lieux l'innocence et la paix, Tout m'y paraît doux et tranquille ; Mais, hélas ! Il n'est point d'asile Pour les coeurs que l'amour a blessés de ses traits  Dans cette illustre cour je vois chacun me rendre Tout ce qu'en mes États j'aurais osé prétendre ; Jason seul à mes yeux prend soin de se cacher."")",0.01,Substitution
152,"('#thesee', ""C'est la belle AEglé qui me charme, Elle est l'unique prix que je veux demander."")",,1.0,Insertion
153,"('#medee', ""C'est AEglé ? Dites-vous, AEglé, qui vous engage ?"")",,1.0,Insertion
154,"('#thesee', ""Je sais que la grandeur a pour vous des attraits, Régnez avec le roi, régnez tous deux en paix, AEglé, l'aimable AEglé, n'est qu'un trop beau partage."")","('#medee', ""Jason se voit comblé d'une gloire immortelle, Il ne lui restait plus que d'être amant fidèle, Au soin de ses amours rien ne peut l'arracher."")",0.36,Substitution
155,"('#medee', 'Je crains pour votre amour un obstacle fatal.')",,1.0,Insertion
156,"('#thesee', ""Si Médée est pour moi qui peut m'être contraire ?"")",,1.0,Insertion
157,"('#medee', 'Vous avez le roi pour rival.')",,1.0,Insertion
158,"('#thesee', 'Malgré sa foi promise, AEglé pourrait lui plaire ?')","('#hypsipile', 'Quoi dans ces lieux Jason serait sensible !')",1.25,Substitution
159,"('#medee', ""Laissez-moi voir AEglé, laissez-moi voir le roi, Vous connaîtrez bientôt les soins que je vais prendre Allez, allez, m'attendre, Et fiez-vous à moi."")",,1.0,Insertion
160,"('#medee', ""Dépit mortel, transport jaloux, Je m'abandonne à vous. Et toi, meurs pour jamais, tendresse trop fatale ; Que le barbare amour, que j'avais cru si doux, Se change dans mon cour en furie infernale. Dépit mortel, transport jaloux, Je m'abandonne à vous. Inventons quelque peine affreuse, et sans égale : Préparons avec soin, nos plus funestes coups. Ah ! Si l'ingrat que j'aime échappe à mon courroux, Au moins, n'épargnons pas mon heureuse rivale. Dépit mortel, transport jaloux, Je m'abandonne à vous."")",,1.0,Insertion
161,"('#cleone', 'Vous allez voir bientôt votre amant dans ces lieux.')","('#medee', 'Votre coeur en semble étonné ?')",1.58,Substitution
162,"('#aegle', ""Je le verrai victorieux. Après de mortelles alarmes Qu'un bienheureux retour est doux pour les amants ! L'amour s'accroît par les tourments, Les biens qu'il fait payer avec le plus de larmes N'en deviennent que plus charmants."")","('#hypsipile', ""Je croyais qu'à la gloire un héros destiné, Aux plaisirs de l'amour était inaccessible."")",0.51,Substitution
163,"('#cleone', 'Thésée est triomphant, chacun le veut pour maître.')",,1.0,Insertion
164,"('#aegle', 'Ne verrai-je point paraître Un si glorieux vainqueur ? Il négligera peut-être La conquête de mon cour.')",,1.0,Insertion
165,"('#cleone', ""On n'est pas inconstant pour aimer la victoire. Si le passage est beau de l'amour à la gloire, Rien n'est si doux que le retour De la gloire à l'amour."")","('#medee', ""Le plaisir peut avoir son tour Après une illustre victoire, Un héros se doit à l'amour Quand il est quitte avec la Gloire."")",0.0,Match
166,"('#aegle', ""Non, son amour n'est point extrême : Faut-il qu'il trouve ailleurs tant de soins importants ? Il n'ignore pas que je l'aime, Il doit songer que je l'attends."")","('#hypsipile', ""De mes empressements, Ciel ! Quel triste succès ! Pour lui seul en ces lieux ma tendresse m'appelle, Et je vois l'infidèle Soupirer pour d'autres attraits. Avant qu'un amant nous engage, Ne peut-on s'assurer de sa fidélité ? Faut-il, pour connaître un volage Qu'il en coûte à la liberté ?"")",0.15,Substitution
167,"('#aegle #cleone', ""La gloire n'est que trop pressante, Un héros doit la suivre avec empressement ; Mais dès que la gloire est contente, L'amour doit promptement Ramener un amant."")","('#medee', ""Ne vous piquez point de constance, Oubliez un perfide amant. Le mépris et l'indifférence Doivent punir le changement."")",0.77,Substitution
168,"('#arcas', ""Le roi m'ordonne de vous dire Qu'il vous fera bientôt régner : Rien ne trouble plus son empire... Vous tremblez ? Votre cour soupire ? Le roi tout vieux qu'il est n'est pas à dédaigner. Lorsque par le feu du bel âge Un jeune cour se sent pressé, Dans une ardente amour sans effort on l'engage : On triomphe bien davantage Quand on enflamme un coeur que les ans ont glacé."")","('#hypsipile', ""Non, non ; mon faible coeur n'est plus en ma puissance D'une trop vive ardeur se sent animer ; Contre un ingrat qui nous offense, En vain d'un fier courroux nous voulons nous armer. Jamais l'amour n'a tant de violence, Que lorsqu'on veut ne plus aimer. Je ne puis étouffer une flamme fatale. Mais je sens en mon âme un secret mouvement Qui tourne contre ma rivale, La haine que je dois à ce perfide amant."")",0.03,Substitution
169,"('#aegle', 'Si tu connais, Arcas, le trouble qui me presse, Ne va point découvrir la peine où tu me vois.')","('#medee', ""C'en est trop. Je me livre au conseil de ma rage. Sortons. Je ne veux pas en savoir davantage."")",1.1,Substitution
170,"('#cleone', ""Si tu veux m'obliger oblige la princesse : Fais, s'il se peut par ton adresse Que le roi tourne ailleurs son choix."")",,1.0,Insertion
171,"('#arcas', ""Tu me donnes toujours d'assez fâcheux emplois."")",,1.0,Insertion
172,"('#aegle #cleone #arcas', ""Il n'est point de grandeur charmante Sans l'amour et sans ses douceurs : Rien ne plaît, rien n'enchante, Sans l'amour et sans ses douceurs : Rien ne contente Les jeunes cours Sans l'amour et sans ses douceurs : Il n'est point de grandeur charmante Sans l'amour et sans ses douceurs."")",,1.0,Insertion
173,"('#medee', ""Princesse savez-vous ce que peut ma colère Quand on l'oblige d'éclater ?"")",,1.0,Insertion
174,"('#aegle', 'Je prétends ne rien faire Qui vous doive irriter.')",,1.0,Insertion
175,"('#medee', ""Et n'est-ce rien que de trop plaire ?"")",,1.0,Insertion
176,"('#aegle', ""Je renonce à l'hymen du roi Si je lui plais, c'est malgré moi. Ce n'est point dans le rang suprême Qu'on trouve les plus doux appas, Et souvent un bonheur extrême Est plus sûr dans un rang plus bas."")","('#hypsipile', ""De quoi me servez-vous contre un ingrat que j'aime, Faible raison, inutile secours ? Puis-je écouter, hélas ! Vos superbes discours, Quand mon coeur révolté s'arme contre moi-même? Faible raison, inutile secours, De quoi me servez-vous contre un ingrat que j'aime ?"")",0.71,Substitution
177,"('#medee', ""Vous aimez donc Thésée ? Ah ! N'en rougissez pas, Il n'est que trop digne qu'on l'aime. Je m'intéresse en votre amour ; Parlez, vous connaîtrez mon cour à votre tour."")","('#jason', ""Le voici, cet ingrat que vous devez haïr, Il se livre à votre colère À vos justes transports vous devez obéir. Je suis trop criminel d'avoir pu vous déplaire."")",0.48,Substitution
178,"('#aegle', ""J'avais toujours bravé l'amour et sa puissance Avant que d'avoir vu ce glorieux vainqueur ; Mais la gloire et l'amour tous deux d'intelligence Ne sont que trop puissants pour vaincre un jeune cour. Que votre soin au mien réponde, J'espère que le roi deviendra votre époux : Régnez par son hymen dans une paix profonde, Laissez-moi ce héros, mon sort est assez doux ; Quand vous posséderiez tout l'empire du monde, Mon cour n'en serait point jaloux."")","('#hypsipile', ""Cruel, vous savez trop que mon faible courroux Ne saurait vaincre ma tendresse Et vous venez ici jouir de la faiblesse Que vous savez que j'ai pour vous."")",0.0,Match
179,"('#medee', 'Mais enfin, si le roi commande, Vous êtes soumise à sa loi.')",,1.0,Insertion
180,"('#aegle', ""Ma vie est au pouvoir du roi, Et je veux bien qu'elle en dépende : Mais c'est en vain qu'il demande Un cour qui n'est plus à moi."")",,1.0,Insertion
181,"('#medee', ""Vous m'en avez trop dit, il est temps qu'entre nous La confidence soit égale. Il faut vous dégager d'une chaîne fatale."")",,1.0,Insertion
182,"('#aegle', 'La mort, la seule mort rompra des noeuds si doux.')",,1.0,Insertion
183,"('#medee', ""Je veux que dés demain le roi soit votre époux : Vous aimez un héros qui ne peut être à vous, Et Médée est votre rivale ; Prenez soin d'éviter mon funeste courroux."")","('#jason', ""De la plus tendre ardeur mon âme est possédée, Je n'adore que vos beaux yeux : Mais le prix éclatant qui m'attire en ces lieux, > Dépend du pouvoir de Médée Et si j'ai feint pour elle une coupable ardeur, C'est un crime des Dieux, et non pas de mon coeur."")",0.16,Substitution
184,"('#aegle', 'Nos deux cours sont unis par un amour fidèle.')",,1.0,Insertion
185,"('#medee', ""En dépit de l'amour je les veux diviser."")",,1.0,Insertion
186,"('#aegle', 'La chaîne qui nous lie est si forte et si belle.')",,1.0,Insertion
187,"('#medee', ""J'aurai plus de plaisir si je la puis briser."")",,1.0,Insertion
188,"('#aegle', ""Non, j'aime mieux la mort qu'une lâche inconstance, Tout l'enfer à mes yeux n'aura rien de si noir ; Malgré Médée et sa vengeance, Mon amour fera son devoir."")","('#hypsipile', ""Ciel que me faites-vous entendre ?  Médée est ma rivale ? Et dans ce triste jour C'est elle à qui je viens d'apprendre Mon désespoir et mon amour. Infortunée, hélas! Je n'ai plus d'espérance, Mes maux ne sont plus incertains. Médée, il est trop vrai, cause votre inconstance: Son art, sa beauté, sa puissance, Tout m'assure à la fois du malheur que je crains."")",0.32,Substitution
189,"('#medee', ""Voyons si votre amour est tel qu'il veut paraître, Puisque vous le voulez vous allez me connaître : Je vais vous faire voir Ce que c'est que Médée et quel est son pouvoir. La scène change, et représente un désert épouvantable rempli de monstres furieux."")","('#jason', ""Ah ! Perdez des soupçons si vains. Médée aux éléments peut déclarer la guerre, Son art confond les Cieux, l'Enfer, l'Onde et la Terre; Il soumet la nature, et transporte à son choix, Les rochers, les monts et les bois ; Mais contre l'aimable Hypsipyle Dans le coeur de Jason sa force est inutile."")",0.15,Substitution
190,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous !')",,1.0,Insertion
191,"('#cleone', ""Que d'objets horribles !"")",,1.0,Insertion
192,"('#arcas', 'Quels monstres terribles !')","('#hypsipile', ""Hélas ! Je n'ose l'espérer."")",1.54,Substitution
193,"('#aegle', 'Quel affreux courroux !')",,1.0,Insertion
194,"('#aegle #cleone #arcas', 'Dieux ! Où sommes-nous !')",,1.0,Insertion
195,"('#aegle', 'Me laissez-vous, cruelle, Dans cette horreur mortelle ? Ah cruelle ! Où me laissez-vous ?')",,1.0,Insertion
196,"('#aegle #cleone #arcas', 'Dieux ! Où sommes nous ?')",,1.0,Insertion
197,"('#cleone', ""Contre ce monstre qui m'alarme Viens me défendre Arcas."")","('#jason', ""Bannissez d'injustes alarmes."")",1.17,Substitution
198,"('#arcas', ""Ne crains rien avant mon trépas. Ô ciel ! On me désarme ! Tu peux beaucoup ici, belle Dorine, hélas ! Ne l'abandonne pas. Un fantôme emporte l'épée d'Arcas."")","('#hypsipile', 'Que je crains Médée et ses charmes !')",0.95,Substitution
199,"('#cleone #arcas', ""Belle, Dorine, hélas ! Ne m'abandonne pas. Ne l'abandonne pas."")",,1.0,Insertion
200,"('#dorine', ""Il est bon d'être nécessaire ; C'est un charme puissant pour plaire Où peu de cours ont résisté : Un grand secours qu'on espère Est un grand trait de beauté."")",,1.0,Insertion
201,"('#arcas', ""Ce n'est pas d'aujourd'hui que je te trouve belle."")",,1.0,Insertion
202,"('#cleone', ""Où pourrait-il voir plus d'attraits ?"")",,1.0,Insertion
203,"('#dorine', 'Je sais trop votre amour nouvelle.')","('#jason', 'Mon amour doit vous rassurer.')",0.38,Substitution
