,campistron-achille,quinault-isis,Cost,Operation Type
87,"('#achille', ""Allez, que chacun court où son devoir l'appelle, Vos soins pour moi feraient trop de jaloux, Et de mes ennemis la vengeance cruelle Ne pouvant m'accabler retomberait sur vous."")","('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",1.07,Substitution
88,"('#arcas', ""Venez, marchez, sans défiance, Les grecs vous ont donné leur foi Achille est généreux, craignez moins sa présence Et qu'une juste espérance succède à votre effroi."")","('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",1.08,Substitution
89,"('#priam', ""Restes infortunés du plus beau sang du monde, Polixène, ma fille et vous, veuve d'Hector, Mêlez vos pleurs aux miens, et s'il se peut encor Que tout redouble ici notre douleur profonde."")","('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",0.75,Substitution
90,,"('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",1.0,Deletion
91,,"('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.0,Deletion
92,"('#priam #andromaque #polixene', 'Puissions-nous attendrir le coeur De ce superbe vainqueur !')","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",0.76,Substitution
93,"('#priam', ""Vous voyez, guerrier indomptable Un roi qui fut longtemps le plus puissant des rois ; C'est ce même Priam, qui tenait sous ses lois Des Troyens renommés, l'empire redoutable; C'est lui, que le dernier de vos fameux exploits Vient de rendre plus misérable, Qui ne fut heureux autrefois."")","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",1.21,Substitution
94,"('#achille', ""Le sort ne peut changer l'auguste caractère, Dont les Dieux vous ont revêtu. Je le respecte en vous, je plains votre vertu, Je sens expirer ma colère, Je cesse de haïr mes plus grands ennemis, Sitôt que je les vois, ou vaincus ou soumis."")","('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",0.52,Substitution
95,"('#andromaque', ""J'ai perdu mon époux dans un combat funeste, Votre valeur me l'a ravi ; Mon amour, chez les morts, l'aurait déjà suivi, Sans les soins que je dois au seul fils qui me reste. Vous le savez, Dieux que j'atteste! Au sort de cet enfant, mon sort est asservi ; Je l'ai perdu cet époux que j'adore, Et pour comble d'horreur, je sais qu'il est encore Indignement privé, par des ordres cruels D'un droit, que le trépas donne à tous les mortels : Souffrez que je le rende aux murs qui l'ont vu naître, Qu'un superbe tombeau fasse du moins connaître La splendeur de son sang, son sort, et mon amour. Ce tombeau servira de temple à votre gloire, Puisque tout l'avenir y verra, quelque jour, L'histoire de nos maux, et de votre victoire."")","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",1.06,Substitution
96,,"('#mercure', 'Que la feinte entre nous finisse')",1.0,Deletion
97,,"('#iris', 'Parlons sans mystère en ce jour;')",1.0,Deletion
98,,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.0,Deletion
99,,"('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",1.0,Deletion
100,,"('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",1.0,Deletion
101,,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.0,Deletion
102,"('#achille', 'Quels regrets ! Quels tristes accents ! Dieux ! Que la douleur est tendre ! Que ses soupirs sont puissants ! Que je souffre à les entendre !')","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",1.46,Substitution
103,,"('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",1.0,Deletion
104,"('#priam', ""Par vos sacrés aïeux ; par le nom de Thétis, Laissez-moi recueillir les cendres de mon fils. Pour m'accorder la grâce que j'espère, Souvenez-vous de votre père, Et songez quel amour il eût toujours pour vous Je sentais pour mon fils une égale tendresse ; Ah ! Jugez par l'excès de cet amour si doux Quel doit être aujourd'hui l'excès de ma tristesse."")","('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')",0.78,Substitution
105,,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",1.0,Deletion
106,"('#polixene', ""Que pourrais-je espérer du secours de mes pleurs, Si mon père et ma soeur vous trouvent inflexible ! Si vous méprisez leurs douleurs, À mes plaintes, hélas ! Serez-vous plus sensible ? Sorti du sang des Dieux, imitez leur bonté, À nos soupirs rendez-vous favorable, N'augmentez point l'excès de notre adversité Par un refus impitoyable."")","('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")",0.44,Substitution
107,,"('#iris', 'Elle honore son maître et brille sous ses pas.')",1.0,Deletion
108,,"('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",1.0,Deletion
109,"('#achille', ""Que peut-on refuser au pouvoir de vos yeux ? Vous pouvez tout en ces lieux. Rassurez-vous calmez la douleur qui vous presse, Emportez dans vos murs, ce héros glorieux, Ne craignez point les efforts de la Grèce, J'arrêterai ses desseins furieux : Suivez l'ardeur qui vous anime, Rien ne vous troublera dans ce soin légitime : Je ne vais songer désormais Qu'à vous donner une éternelle paix."")","('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")",0.41,Substitution
110,"('#achille', ""C'en est fait, cher Arcas, j'adore Polixène, Quoiqu'il en coûte enfin, je veux la posséder ; C'est toi que j'ai choisi, pour aller demander, Cours à Troie, il est temps de soulager ma peine."")","('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")",0.65,Substitution
111,"('#arcas', ""Son père, à votre amour, voudra-t-il l'accorder ?"")","('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",1.01,Substitution
112,"('#achille', ""Il sera trop heureux de me donner sa fille, Et de me voir devenir son époux ; L'amitié, que ce noeud fera naître entre nous, Soutiendra désormais son trône et sa famille."")","('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")",0.56,Substitution
113,"('#arcas', ""Juste Ciel ! Des Troyens vous devenez l'appui ? Loin de les accabler, vous voulez les défendre."")","('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")",1.51,Substitution
114,,"('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')",1.0,Deletion
115,,"('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")",1.0,Deletion
116,"('#achille', ""Contre un peuple abattu, que pourrais-je entreprendre, Après ce que mon bras vient de faire aujourd'hui ? Hector seul méritait la gloire De mourir par mes coups, Le reste des Troyens après cette victoire Est indigne de mon courroux."")","('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")",0.78,Substitution
117,,"('#jupiter', ""La fille d'Inachus."")",1.0,Deletion
118,"('#achille', ""Quand après un cruel tourment, L'hymen succède Aux tendre désirs d'un amant, Que le trouble qui précède Ce bien heureux moment Est doux et charmant! Mais, on vient en ces lieux, ma surprise est extrême ! C'est Agamemnon lui-même."")","('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")",0.5,Substitution
119,"('#agamemnon', ""Je ne saurais plus longtemps Conserver contre vous mes chagrins et ma haine, Après vos exploits éclatants, Un mouvement plus doux près de vous me ramène : Avec les jours d'Hector nos périls sont passés, Troie a perdu la bras qui pouvait la défendre."")","('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")",0.98,Substitution
120,,"('#junon', 'Junon commande Allez, allez, Mercure obéissez.')",1.0,Deletion
121,"('#achille', ""J'ai fait mon devoir, c'est assez, Vous n'avez point de grâces à mes rendre : Je n'ai point crû servir ceux qui m'ont outragé, Et c'est Patrocle seul que mon bras a vengé."")","('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")",1.01,Substitution
122,,"('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",1.0,Deletion
123,"('#agamemnon', 'Votre colère dure encore, Elle éclate dans vos discours : Il faut, pour en finir le cours, Vous rendre la beauté qui vous aime toujours, Et que votre coeur adore. Venez, charmant objet, revoyez votre amant.')","('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")",0.12,Substitution
124,"('#achille', 'Ah Ciel ! Ma raison cède à mon étonnement.')","('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")",1.62,Substitution
125,"('#agamemnon', ""Mes respects, mes soupirs, les marques de ma flamme N'ont fait qu'allumer son courroux ; Ses constantes rigueurs m'ont appris que son âme Ne peut brûler que pour vous."")","('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')",0.72,Substitution
126,"('#diomede', ""Jouissez du bonheur que l'amour vous présente, Que votre ardeur s'augmente De moment en moment ! Que c'est un plaisir charmant, Après une absence cruelle, De retrouver sa maîtresse fidèle !"")","('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")",0.0,Match
127,,"('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')",1.0,Deletion
128,,"('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")",1.0,Deletion
129,"('#briseis', ""Quel triste accueil, Dieux ! Qu'est-ce que je vois? Suis-je encor Briseis ? N'êtes-vous plus Achille ? Pouvez vous me revoir, et demeurer tranquille ? Qu'est devenu l'amour dont vous brûliez pour moi ? Vous ne répondez point ?..."")","('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")",0.62,Substitution
130,,"('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")",1.0,Deletion
131,,"('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')",1.0,Deletion
132,,"('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")",1.0,Deletion
133,,"('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",1.0,Deletion
134,,"('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")",1.0,Deletion
135,"('#achille', 'Hélas !')","('#argus', 'Non !')",0.0,Match
136,,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')",1.0,Deletion
137,,"('#argus', 'Non, non, on ne la doit point voir')",1.0,Deletion
138,,"('#hierax', 'Quoi ! Junon me devient contraire ?')",1.0,Deletion
139,,"('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")",1.0,Deletion
140,,"('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")",1.0,Deletion
141,,"('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")",1.0,Deletion
142,"('#briseis', ""Que me veut dire Ce regard, ce soupir échappé malgré vous ? Ah ! Que mon destin sera doux, Si c'est encor pour moi que votre coeur soupire ?"")","('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")",0.64,Substitution
143,,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")",1.0,Deletion
144,,"('#hierax', 'Ô Dieux !')",1.0,Deletion
145,"('#achille', ""Ô Ciel ! Que je suis malheureux ! Dans quel temps venez-vous m'accabler de vos larmes ? Que ne suis-je, à mon gré, le maître de mes voeux ! Je finirais bientôt vos mortelles alarmes Mais un charme fatal..."")","('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")",0.5,Substitution
146,"('#briseis', ""Perfide c'est assez. Je vois toute mon infortune, Un autre amour te rend ma tendresse importune, Je te fatigue enfin par mes soins empressés : Le bruit de cette amour nouvelle Était venu jusques à moi, Mais je n'ai pu le croire, et soupçonner ta foi, J'ai cru ton coeur trop grand, pour n'être pas fidèle. C'en est donc fait ? Je ne dois plus penser À l'hymen qui faisait toute mon espérance, À ce suprême honneur il me faut renoncer, D'un amour si parfait, funeste récompense ! Dieux ! Quelle est ma douleur ! Je cède à son effort, Cruel, peux-tu la voir avec indifférence ? Et ne sais-tu pas que ma mort Suivra de près ton inconstance ?"")","('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")",0.06,Substitution
147,"('#achille', ""Je ne puis entendre Une plainte si tendre Je souffre autant que vous, les Dieux m'en sont témoins, Faut-il vous immoler ma vie ? Ordonnez, ce sera le plus doux de mes soins De satisfaire à votre envie : Mais, calmez vos transports, et ne m'affligez plus Par des reproches superflus. Vous connaissez mon coeur incapable de feindre, Je suis moins criminel, que je ne suis à plaindre, Du sort et de l'Amour l'indispensable loi M'entraîne ailleurs malgré moi."")","('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")",0.57,Substitution
148,,"('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')",1.0,Deletion
149,,"('#argus', 'Liberté, liberté.')",1.0,Deletion
150,,"('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')",1.0,Deletion
151,,"('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')",1.0,Deletion
152,,"('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")",1.0,Deletion
153,,"('#hierax #argus', 'Que voulez-vous ?')",1.0,Deletion
154,,"('#choeur-des-nymphes', 'Liberté, liberté.')",1.0,Deletion
155,,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")",1.0,Deletion
156,,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")",1.0,Deletion
157,,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",1.0,Deletion
158,"('#briseis', ""Quel amant m'est ravi ! Sa valeur, sa noblesse L'élèvent au dessus du reste des mortels, La victoire le suit sans cesse, Et ses moindres vertus méritent des autels, Dans le haut rang où son destin l'appelle Il eut été parfait, s'il eut été fidèle. Mais n'est-il pas quelque moyen De détourner l'hymen où son coeur se prépare ? Ah ! Faisons que Junon contre lui se déclare, Elle hait tout le sang Troyen, Et ne souffrira pas que cet hymen funeste Sauve un peuple qu'elle déteste, Puissante Reine des Cieux ! Écoutez moi, daignez jeter les yeux Sur le malheur qui me menace, Prévenez ma honte et ma mort, En prenant pitié de mon sort. Des perfides Troyens vous contrez l'audace ? Mes voeux sont exaucés, Junon descend des cieux, Et pour me secourir s'approche de ces lieux. Junon descend sur son char."")","('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")",0.02,Substitution
159,,"('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")",1.0,Deletion
160,"('#junon', ""Calme tes déplaisirs, ne verse plus de larmes, L'Hymen qui cause tes alarmes Ne sera jamais achevé En vain Priam croit son pays sauvé, Son trône doit tomber, et de toute sa gloire Il ne restera rien qu'une triste mémoire. Je vais évoquer des Enfers La Haine, la Fureur, la Discorde et l'Envie, Leur présence sera suivie De cent prodiges divers. Sortez de la nuit infernale, Noires Divinités, vos antres sont ouverts. Dans le temps que les Divinités sortent des enfers, tout le théâtre est obscurci."")","('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")",0.23,Substitution
161,,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")",1.0,Deletion
162,"('#briseis', ""L'horreur de leur séjour, se répand dans les airs !"")","('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")",1.33,Substitution
163,"('#junon', 'Volez, portez par tout votre rage fatale, Versez dans tous les coeurs votre mortel poison, Chassez la paix de cette terre, Et faites y régner la guerre, La vengeance et la trahison. Versez dans tous les coeurs votre mortel poison. Poursuivez votre carrière, Soleil, et rendez-nous votre clarté première. Junon remonte dans son char.')","('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")",0.54,Substitution
164,"('#briseis', ""Favorable Déesse, J'attends le succès de vos soins. La Danse des Furies a été faite par Mr. Lestang."")","('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')",1.09,Substitution
165,"('#junon', ""Avant la fin du jour tes yeux seront témoins  De l'effet de ma promesse."")","('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")",1.06,Substitution
166,"('#briseis', ""Junon pour moi vient de se déclarer, Elle a fait, à mes yeux, éclater sa puissance, Je dois tout espérer Se sa divine assistance. Mais quel bruit harmonieux Se fait entendre dans ces lieux ! Ah ? Je vois les bergers que l'horreur de la guerre Avait chassé de cette terre, La trêve les rappelle à leur premier séjour, Et déjà leurs chansons annoncent leur retour. Que leurs chants irritent la peine Et la douleur que je sens ! Fuyons, je ne puis voir leurs plaisirs innocents, Puisqu'ils sont dûs à Polixène. On entend un bruit de haut-bois et de flûtes."")","('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")",0.76,Substitution
167,,"('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")",1.0,Deletion
168,"('#un-berger', 'Après tant de trouble et de larmes, Un doux repos succède à nos alarmes, Bénissons à jamais Le généreux vainqueur, qui nous donne la paix.')","('#pan', ""Dissipez de vaines alarmes, Éprouvez l'amour et ses charmes Connaissez les plus doux appas. Non, ce ne peut être  que faute de la connaître Qu'il ne vous plaît pas."")",0.47,Substitution
169,,"('#syrinx', ""Les maux d'autrui me rendront sage. Ah ! Quel malheur  De laisser engager son coeur ! Pourquoi faut-il le plus beau de son âge Dans une mortelle langueur ? Ah, quel malheur !  Pourquoi n'avoir pas le courage De s'affranchir de la rigueur D'un funeste esclavage ? Ah ! Quel malheur De laisser engager son coeur !"")",1.0,Deletion
170,,"('#pan', ""Ah ! Quel dommage Que vous ne sachiez pas aimer ! Que vous sert-il d'avoir tant d'attraits en partage, Si vous en négligez le plus grand avantage ? Que vous sert-il de savoir tout charmer ? Ah, quel dommage Que vous ne sachiez pas aimer !"")",1.0,Deletion
171,,"('#choeurs', 'Aimons sans cesse.')",1.0,Deletion
172,,"('#choeur-des-nymphes', ""N'aimons jamais."")",1.0,Deletion
173,,"('#choeur-de-silvains #satyres #bergers', ""Pour vivre en paix. N'aimons jamais."")",1.0,Deletion
174,,"('#syrinx', ""Le chagrin suit toujours les coeurs que l'amour blesse."")",1.0,Deletion
175,,"('#pan', ""La tranquille sagesse N'a que des plaisirs imparfaits."")",1.0,Deletion
176,,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.0,Deletion
177,,"('#choeur-des-nymphes', ""N'aimons jamais."")",1.0,Deletion
178,,"('#syrinx', 'On ne peut aimer sans faiblesse.')",1.0,Deletion
179,,"('#pan', ""Que cette faiblesse a d'attraits !"")",1.0,Deletion
180,,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.0,Deletion
181,,"('#choeur-des-nymphes', ""N'aimons jamais."")",1.0,Deletion
182,"('#un-berger #une-bergere', ""Cet heureux jour doit nous charmer, Dans ces champs mille fleurs vont renaître, Recommençons d'aimer En les voyant paraître."")","('#choeur-de-silvains #satyres #bergers', ""Cédons à l'Amour qui nous presse Pour vivre heureux aimons sans cesse"")",0.54,Substitution
183,,"('#choeur-des-nymphes', ""Pour vivre en paix N'aimons jamais"")",1.0,Deletion
184,,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",1.0,Deletion
185,"('#trois-bergers', 'Cherchons, avec empressement,  Ces retraites, ces lieux paisibles, Que le ciel a fait seulement Pour le plaisir des coeurs sensibles.')","('#choeur-des-nymphes', ""N'aimons jamais Pour vivre en paix"")",0.73,Substitution
186,"('#un-berger #une-bergere', ""Tristes bocages, Reprenez vos feuillages, Servez nous toujours D'asile à nos amours."")","('#syrinx', ""Faut-il qu'en vain discours un si beau jour se passe ? Mes compagnes courons dans le fond des forêts. Voyons qui d'entre nous se sert mieux de ses traits Courons à la chasse."")",1.01,Substitution
187,,"('#double-choeurs', 'À la chasse ! Courons à la chasse, à la chasse.')",1.0,Deletion
188,,"('#syrinx', 'Pourquoi me suivre de si près.')",1.0,Deletion
189,"('#le-choeur', ""Tristes bocages, Reprenez vos feuillages, Servez nous toujours D'asile à nos amours."")","('#pan', 'Pourquoi fuir qui vous aime ?')",1.18,Substitution
190,,"('#syrinx', ""Un amant m'embarrasse."")",1.0,Deletion
191,,"('#syrinx #choeurs', 'Courons à la chasse, à la chasse.')",1.0,Deletion
192,"('#un-berger #une-bergere', ""Paix adorable, Soyez toujours durable, Sans vous, hélas ! Ces lieux n'ont point d'appas."")","('#pan', ""Je ne puis vous quitter, mon coeur s'attacher à vous Par des noeuds trop forts et trop deux."")",0.8,Substitution
193,"('#le-choeur', ""Paix adorable, Soyez toujours durable, Sans vous, hélas ! Ces lieux n'ont point d'appas. Après tant de troubles et de larmes, Un doux repos succède à nos alarmes, Bénissons à jamais Le généreux vainqueur, qui nous donne la paix."")","('#syrinx', ""Mes compagnes, venez... C'est en vain que j'appelle."")",1.1,Substitution
194,"('#polixene', ""Enfin je me vois seule, et je puis sans contrainte, Faire éclater les divers mouvements Dont mon âme est atteinte, Et connaître du moins quels sont mes sentiments. Depuis l'instant fatal où l'invincible Achille A daigné, par ses soins, soulager notre ennui,  Je suis cent fois moins tranquille,  Et je songe toujours à lui. Serait-ce qu'en effet une indigne faiblesse Me préviendrait en sa faveur ? Non, non, je me souviens sans cesse Des maux que m'a causé sa funeste valeur, Et le vainqueur d'Hector, le vengeur de la Grèce Ne peut avoir aucun droit sur mon coeur. C'en est fait je triomphe, et dès ce moment même Je ne veux plus m'en souvenir. Puisse, grand Dieux, votre pouvoir suprême Me condamner et me punir ! Si jamais... Ciel ! Que fais-je ? Et quel transport m'inspire ? Malheureuse, qu'allais-je dire ? Dois-je un serment pour ne le pas tenir ? Je souffre trop dans les cruels combats. Qu'il m'en coûte pour me défendre ! Et je trouve mille appas À me rendre. Mais, puis-je avouer, sans honte,  Que l'Amour me surmonte ? N'écouterai-je plus ni raison, ni devoir ? Contre ce Dieu leur force est impuissante ? Est il un coeur s'exempte  De reconnaître son pouvoir ? Je lui cède aujourd'hui. Tous mes efforts sont vains. Je ne puis résister à l'ardeur qui m'enflamme ; Du moins, si l'Amour dispose mon âme,  C'est en faveur du plus grand des humains."")","('#pan', 'Écoutez, ingrate, écoutez  Un Dieu charmé de vos beautés; Qui vous jure un amour fidèle.')",0.55,Substitution
