,corneillep-medee,corneillet-medee,Cost,Operation Type
66,"('#nerine', ""L'impétueuse ardeur d'un courage sensible À vos ressentiments figure tout possible : Mais il faut craindre un roi fort de tant de sujets."")","('#un-corinthien #un-argien', ""Quel bonheur suit la tendresse ! Heureux l'amant qui l'obtient. Quelque désir qui le presse, Dans l'espoir qu'il entretient ; L'amour n'a point de faiblesse,  Quand la gloire le soutient. C'est un charmant avantage, Que l'heureux nom de vainqueur ; Mais le plus noble courage, N'en goûte bien la douceur, Que lorsque l'amour l'engage, À la conquête d'un coeur."")",0.6,Substitution
67,"('#medee', ""Mon père, qui l'était, rompit-il mes projets ?"")","('#le-choeur', ""Que d'épais bataillons, sur nos rives descendent. À nos vaillants efforts il faudra qu'ils se rendent. Unissons-nous en ce grand jour, La gloire et l'amour le demandent. Unissons-nous en ce grand jour, Nous ferons triompher et la gloire et l'amour."")",1.83,Substitution
68,"('#nerine', ""Non ; mais il fut surpris, et Créon se défie : Fuyez, qu'à ses soupçons il ne vous sacrifie."")","('#creon', ""Il est temps de parler sans feindre. Acaste vous poursuit, vous n'avez rien à craindre ; Sur quelque espoir qu'il forme ses desseins, Tombe sur Corinthe la foudre, Plutôt qu'on puisse me résoudre, À vous livrer entre ses mains."")",0.11,Substitution
69,,"('#medee', ""Seigneur, une bonté si grande, Marque le coeur d'un véritable roi."")",1.0,Deletion
70,"('#medee', ""Las ! Je n'ai que trop fui ; cette infidélité D'un juste châtiment punit ma lâcheté. Si je n'eusse point fui pour la mort de Pélie, Si j'eusse tenu bon dedans la Thessalie, Il n'eût point vu Créuse, et cet objet nouveau N'eût point de notre hymen étouffé le flambeau."")","('#creon', ""Lorsque pour vous je fais ce que je dois, À votre tour, la justice demande Que vous fassiez quelque chose pour moi. A vous voir dans ma Cour, mon peuple s'inquiète, Il craint ce qu'avec vous vous traînez de malheurs, Et que ma complaisance à vous donner retraite Ne lui soit un sujet de pleurs. Pour le guérir de ses alarmes, Allez attendre en d'autres lieux,  Pendant le tumulte des armes, Ce que de nos destins ordonneront les Dieux. À vos enfants je veux servir de père ; Pour eux, puisque je l'ai promis, Je combattrai vos ennemis, C'est plus que je ne devrais faire."")",0.3,Substitution
71,"('#nerine', 'Fuyez encore, de grâce.')","('#medee', ""Sans m'étonner j'écoute mon arrêt. Quels que soient les ennuis où mon destin me livre, Jason à partir est-il prêt ? Je fais tout mon bonheur du plaisir de le suivre."")",1.48,Substitution
72,"('#medee', ""Oui, je fuirai, Nérine, Mais avant de Créon on verra la ruine. Je brave la fortune ; et toute sa rigueur, En m'ôtant un mari, ne m'ôte pas le coeur ; Sois seulement fidèle, et, sans te mettre en peine, Laisse agir pleinement mon savoir et ma haine."")","('#creon', ""Pour ne vous pas livrer, j'expose mes États Aux malheurs que la guerre attire,  Et pour défendre cet empire, Jason voudrait nous refuser son bras ? Me ravir ce héros, c'est m'ôter la victoire."")",0.38,Substitution
73,,"('#medee', ""Me séparer de lui, c'est me priver du jour."")",1.0,Deletion
74,,"('#creon', ""S'il m'ose abandonner, que deviendra sa gloire ?"")",1.0,Deletion
75,,"('#medee', ""S'il m'ose abandonner, que devient son amour ?"")",1.0,Deletion
76,"('#nerine', ""Madame... Elle me quitte au lieu de m'écouter. Ces violents transports la vont précipiter : D'une trop juste ardeur l'inexorable envie Lui fait abandonner le souci de sa vie. Tâchons, encore un coup, d'en divertir le cours. Apaiser sa fureur, c'est conserver ses jours."")","('#creon', ""S'il m'ose abandonner, que deviendra son amour, sa gloire ?"")",0.76,Substitution
77,"('#nerine', ""Bien qu'un péril certain suive votre entreprise, Assurez-vous sur moi, je vous suis toute acquise : Employez mon service aux flammes, au poison, Je ne refuse rien ; mais épargnez Jason. Votre aveugle vengeance une fois assouvie, Le regret de sa mort vous coûterait la vie ; Et les coups violents d'un rigoureux ennui..."")","('#creon', ""Par une lâcheté, voulez-vous qu'il ternisse  L'éclat des grands exploits, qui le font redouter ?"")",0.42,Substitution
78,"('#medee', ""Cesse de m'en parler, et ne crains rien pour lui : Ma fureur jusque-là n'oserait me séduire ; Jason m'a trop coûté pour le vouloir détruire ; Mon courroux lui fait grâce, et ma première ardeur Soutient son intérêt au milieu de mon coeur. Je crois qu'il m'aime encore, et qu'il nourrit en l'âme Quelques restes secrets d'une si belle flamme ; Qu'il ne fait qu'obéir aux volontés d'un roi, Qui l'arrache à Médée en dépit de sa foi. Qu'il vive, et s'il se peut, que l'ingrat me demeure ; Sinon, ce m'est assez que sa Créuse meure : Qu'il vive cependant, et jouisse du jour Que lui conserve encore mon immuable amour. Créon seul et sa fille ont fait la perfidie ; Eux seuls termineront toute la tragédie : Leur perte achèvera cette fatale paix."")","('#medee', ""Ses exploits sont fameux, mais rendez-moi justice ; Si malgré les périls qu'il fallait surmonter, La Toison emportée a fait voir son courage, À qui doit-il cet avantage ?"")",0.69,Substitution
79,"('#nerine', 'Contenez-vous, madame ; il sort de son palais.')",,1.0,Insertion
80,"('#creon', ""Quoi ? Je te vois encore ! Avec quelle impudence Peux-tu, sans t'effrayer, soutenir ma présence ? Ignores-tu l'arrêt de ton bannissement ? Fais-tu si peu de cas de mon commandement ? Voyez comme elle s'enfle et d'orgueil et d'audace ! Ses yeux ne sont que feu ; ses regards, que menace. Gardes, empêchez-la de s'approcher de moi. Va, purge mes états d'un monstre tel que toi : Délivre mes sujets et moi-même de crainte."")","('#creon', ""Je veux que ce qui rend son nom si glorieux, De vos enchantements soit l'effet admirable ; Ignorez-vous qu'un murmure odieux Vous fait par tout croire coupable ? "")",0.34,Substitution
81,"('#medee', ""De quoi m'accuse-t-on ? Quel crime, quelle plainte Pour mon bannissement vous donne tant d'ardeur ?"")","('#medee', ""Doit-on m'imputer des forfaits,  Sans voir pour qui je les ai faits ? Vos reproches, Seigneur, ne sont pas légitimes. Si pour Jason je me suis tout permis, Puisque lui seul a joui de mes crimes, C'est lui seul qui les a commis."")",0.75,Substitution
82,"('#creon', ""Ah ! L'innocence même, et la même candeur ! Médée est un miroir de vertu signalée : Quelle inhumanité de l'avoir exilée ! Barbare, as-tu sitôt oublié tant d'horreurs ? Repasse tes forfaits, repasse tes erreurs, Et de tant de pays nomme quelque contrée Dont tes méchancetés te permettent l'entrée. Toute la Thessalie en armes te poursuit ; Ton père te déteste, et l'univers te fuit : Me dois-je en ta faveur charger de tant de haines, Et sur mon peuple et moi faire tomber tes peines ? Va pratiquer ailleurs tes noires actions ; J'ai racheté la paix à ces conditions."")","('#creon', 'En vain sur ce héros vous rejetez la haine Qui ne doit tomber que sur vous. Du pouvoir de votre art peut-être est-on jaloux, Mais enfin mes sujets vous souffrent avec peine. Pressé par eux, pour sortir de ma Cour,  Je ne puis vous donner que le reste du jour.')",0.39,Substitution
83,"('#medee', ""Lâche paix, qu'entre vous, sans m'avoir écoutée, Pour m'arracher mon bien vous avez complotée ! Paix dont le déshonneur vous demeure éternel ! Quiconque sans l'ouïr condamne un criminel, Son crime eût-il cent fois mérité le supplice, D'un juste châtiment il fait une injustice."")","('#medee', ""Ai-je donc mérité cette rigueur extrême ? On me chasse, on m'exile, on m'arrache à moi-même."")",0.9,Substitution
84,"('#creon', ""Au regard de Pélie, il fut bien mieux traité : Avant que l'égorger tu l'avais écouté ?"")","('#creon', ""Faisons taire les mécontents. Quand on entend gronder l'orage,  C'est être sage Que de céder au temps ; Faisons taire les mécontents."")",0.82,Substitution
85,"('#medee', ""Écouta-t-il Jason, quand sa haine couverte L'envoya sur nos bords se livrer à sa perte ? Car comment voulez-vous que je nomme un dessein Au-dessus de sa force et du pouvoir humain ? Apprenez quelle était cette illustre conquête, Et de combien de morts j'ai garanti sa tête. Il fallait mettre au joug deux taureaux furieux : Des tourbillons de feux s'élançaient de leurs yeux, Et leur maître Vulcain poussait par leur haleine Un long embrasement dessus toute la plaine. Eux domptés, on entrait en de nouveaux hasards : Il fallait labourer les tristes champs de Mars, Et des dents d'un serpent ensemencer leur terre, Dont la stérilité, fertile pour la guerre, Produisait à l'instant des escadrons armés Contre la même main qui les avait semés. Mais quoi qu'eût fait contre eux une valeur parfaite, La toison n'était pas au bout de leur défaite : Un dragon, enivré des plus mortels poisons Qu'enfantent les péchés de toutes les saisons, Vomissant mille traits de sa gorge enflammée, La gardait beaucoup mieux que toute cette armée ; Jamais étoile, lune, aurore, ni soleil, Ne virent abaisser sa paupière au sommeil : Je l'ai seule assoupi ; seule, j'ai par mes charmes Mis au joug les taureaux et défait les gendarmes. Si lors à mon devoir mon désir limité Eût conservé ma gloire et ma fidélité, Si j'eusse eu de l'horreur de tant d'énormes fautes, Que devenait Jason, et tous vos Argonautes ? Sans moi, ce vaillant chef, que vous m'avez ravi, Fût péri le premier, et tous l'auraient suivi. Je ne me repens point d'avoir par mon adresse Sauvé le sang des dieux et la fleur de la Grèce : Zéthès, et Calaïs, et Pollux, et Castor, Et le charmant Orphée, et le sage Nestor, Tous vos héros enfin tiennent de moi la vie ; Je vous les verrai tous posséder sans envie : Je vous les ai sauvés, je vous les cède tous ; Je n'en veux qu'un pour moi, n'en soyez point jaloux. Pour de si bons effets laissez-moi l'infidèle : Il est mon crime seul, si je suis criminelle ; Aimer cet inconstant, c'est tout ce que j'ai fait : Si vous me punissez, rendez-moi mon forfait. Est-ce user comme il faut d'un pouvoir légitime, Que me faire coupable et jouir de mon crime ?"")","('#medee', ""Princesse, c'est sur vous que mon espoir se fonde. Le destin de Médée est d'être vagabonde.  Prête à m'éloigner de ces lieux, Je laisse entre vos mains ce que j'aime le mieux. Je sais qu'une pitié sincère Pour mes enfants a touché votre coeur ; Prenez en quelque soin, et souffrez qu'une mère  Au moins dans son exil goute cette douceur. Ce sera pour mes voeux une grande victoire, Si dans mon triste sort le ciel leur fait raison. Je ne vous dis rien pour Jason, Jason aura soin de sa gloire. "")",0.63,Substitution
86,"('#creon', 'Va te plaindre à Colchos.')","('#creon', ""Enfin à ton amour tout espoir est permis, Ta rivale à partir s'apprête ; Et puisque tes appas tiennent Jason soumis,  Tu peux conserver ta conquête."")",1.49,Substitution
87,"('#medee', ""Le retour m'y plaira. Que Jason m'y remette ainsi qu'il m'en tira : Je suis prête à partir sous la même conduite Qui de ces lieux aimés précipita ma fuite. Ô d'un injuste affront les coups les plus cruels ! Vous faites différence entre deux criminels ! Vous voulez qu'on l'honore, et que de deux complices L'un ait votre couronne, et l'autre des supplices !"")","('#creuse', ""Seigneur, souvenez-vous que c'est par votre aveu  Que Jason dans mon âme alluma ce beau feu. L'amour sur tous les coeurs remporte la victoire, La plus fière à son tour reconnaît son pouvoir ; Mais il n'est doux que quand la gloire , Pour le faire éclater, suit les lois du devoir. "")",0.13,Substitution
88,"('#creon', ""Cesse de plus mêler ton intérêt au sien. Ton Jason, pris à part, est trop homme de bien : Le séparant de toi, sa défense est facile ; Jamais il n'a trahi son père ni sa ville ; Jamais sang innocent n'a fait rougir ses mains ; Jamais il n'a prêté son bras à tes desseins ; Son crime, s'il en a, c'est de t'avoir pour femme. Laisse-le s'affranchir d'une honteuse flamme, Rends-lui son innocence en t'éloignant de nous ; Porte en d'autres climats ton insolent courroux, Tes herbes, tes poisons, ton coeur impitoyable, Et tout ce qui jamais a fait Jason coupable."")","('#creon', ""D'Oronte par ce choix je trompe l'espérance ; Mais l'hymen de Jason t'arrête en mes États. Au plus grand des héros j'en remets la défense, Et préférant son alliance, Je te donne, et ne te perds pas. "")",0.04,Substitution
89,"('#medee', ""Peignez mes actions plus noires que la nuit ; Je n'en ai que la honte, il en a tout le fruit : Ce fut en sa faveur que ma savante audace Immola son tyran par les mains de sa race ; Joignez-y mon pays et mon frère : il suffit Qu'aucun de tant de maux ne va qu'à son profit. Mais vous les saviez tous quand vous m'avez reçue ; Votre simplicité n'a point été déçue : En ignoriez-vous un, quand vous m'avez promis Un rempart assuré contre mes ennemis ? Ma main, saignante encore du meurtre de Pélie, Soulevait contre moi toute la Thessalie, Quand votre coeur, sensible à la compassion, Malgré tous mes forfaits, prit ma protection. Si l'on me peut depuis imputer quelque crime, C'est trop peu que l'exil, ma mort est légitime : Sinon, à quel propos me traitez-vous ainsi ? Je suis coupable ailleurs, mais innocente ici."")","('#creon', ""Prince, venez apprendre une heureuse nouvelle. Médée est preste à nous quitter, Et veut bien qu'en ces lieux vous demeuriez sans elle, Tant que nos ennemis seront à redouter. Comme dans vos adieux il faudra de l'adresse À lui cacher sous quel espoir Pour l'éloigner j'use de mon pouvoir, Prenez avis de la Princesse."")",0.19,Substitution
90,"('#creon', ""Je ne veux plus ici d'une telle innocence, Ni souffrir en ma cour ta fatale présence. Va..."")","('#jason', ""Qu'ai-je à résoudre encor ? Il faut vivre pour vous. Est-il un plus grand avantage  Que de borner mes souhaits les plus doux A rendre à vos beautés un éternel hommage ? Plus je vous vois, plus je me sens charmé : À mon amour mon coeur ne peut suffire. Quand on aime ardemment, quel plaisir d'être aimé.  Quel triomphe de l'oser dire !"")",0.93,Substitution
91,"('#medee', 'Dieux justes, vengeurs...')","('#creuse', ""Pour régner par tout à son choix, L'impérieux amour ne respecte personne."")",1.08,Substitution
92,,"('#jason', ""Il faut faire ce qu'il ordonne, Le vrai bonheur est de suivre ses lois."")",1.0,Deletion
93,"('#creon', ""Va, dis-je, en d'autres lieux Par tes cris importuns solliciter les dieux. Laisse-nous tes enfants : je serais trop sévère, Si je les punissais des crimes de leur mère ; Et bien que je le pusse avec juste raison, Ma fille les demande en faveur de Jason."")","('#creuse', ""Avant que de vous voir mon coeur était tranquille, Et quand vous en troublez la paix, Je sens qu'à mon bonheur la perte en est utile. Vous, où j'ai tant trouvé de sensibles attraits, Doux repos, quittez-moi, ne revenez jamais. "")",0.88,Substitution
94,,"('#jason', 'De la tranquillité doit-on se mettre en peine, Quand on sent un trouble si doux ?')",1.0,Deletion
95,,"('#creuse', ""J'en jouirais encor sans vous."")",1.0,Deletion
96,"('#medee', ""Barbare humanité, qui m'arrache à moi-même, Et feint de la douceur pour m'ôter ce que j'aime ! Si Jason et Créuse ainsi l'ont ordonné, Qu'ils me rendent le sang que je leur ai donné."")","('#jason', ""Contre l'amour la résistance est vaine. Goûtons l'heureux plaisir de perdre cette paix."")",1.21,Substitution
97,"('#creon', ""Ne me réplique plus, suis la loi qui t'est faite ; Prépare ton départ, et pense à ta retraite. Pour en délibérer, et choisir le quartier, De grâce ma bonté te donne un jour entier."")","('#creuse', 'Doux repos, quittez-moi, ne revenez jamais.')",1.2,Substitution
98,"('#medee', 'Quelle grâce !')","('#jason', ""Goûtons l'heureux plaisir de perdre cette paix. Doux repos, quittez-nous, ne revenez jamais."")",1.62,Substitution
99,"('#creon', ""Soldats, remettez-la chez elle ; Sa contestation deviendrait éternelle. Quel indomptable esprit ! Quel arrogant maintien Accompagnait l'orgueil d'un si long entretien ! A-t-elle rien fléchi de son humeur altière ? A-t-elle pu descendre à la moindre prière ? Et le sacré respect de ma condition En a-t-il arraché quelque soumission ? Médée rentre, et Créon continue."")","('#creuse', ""Médée eut sur votre âme un souverain empire, L'amour lui soumettait toutes vos volontés ; Pour rallumer vos feux la pitié peut suffire. Quel désespoir si vous la regrettez !"")",0.46,Substitution
100,"('#creon', ""Te voilà sans rivale, et mon pays sans guerres, Ma fille : c'est demain qu'elle sort de nos terres. Nous n'avons désormais que craindre de sa part : Acaste est satisfait d'un si proche départ ; Et si tu peux calmer le courage d'Aegée, Qui voit par notre choix son ardeur négligée, Fais état que demain nous assure à jamais Et dedans et dehors une profonde paix."")","('#jason', ""Oronte vous adore, il viendra vous le dire. L'amour tiendra sur vous ses regards arrêtez ; Ses soupirs vous pourront parler de son martyre.  Quel désespoir si vous les écoutez !"")",0.85,Substitution
101,"('#creuse', ""Je ne crois pas, seigneur, que ce vieux roi d'Athènes, Voyant aux mains d'autrui le fruit de tant de peines, Mêle tant de faiblesse à son ressentiment, Que son premier courroux se dissipe aisément. J'espère toutefois qu'avec un peu d'adresse Je pourrai le résoudre à perdre une maîtresse Dont l'âge peu sortable et l'inclination Répondaient assez mal à son affection."")","('#creuse', ""Quand son amour serait extrême Vous n'avez rien à redouter. Dans le temps même Que je paraîtrai l'écouter, Quand son amour serait extrême Vous n'avez rien à redouter : Mes yeux vous diront, je vous aime."")",0.8,Substitution
102,"('#jason', ""Il doit vous témoigner par son obéissance Combien sur son esprit vous avez de puissance ; Et s'il s'obstine à suivre un injuste courroux, Nous saurons, ma princesse, en rabattre les coups ; Et nos préparatifs contre la Thessalie Ont trop de quoi punir sa flamme et sa folie."")","('#jason', ""Ah, pour le prix de mes tendres soupirs Ne vous lassez point de le dire ; De l'amour à nos coeurs faisons suivre l'empire : Le plaisir d'être aimé passe tous les plaisirs."")",0.23,Substitution
103,"('#creon', ""Nous n'en viendrons pas là : regarde seulement À le payer d'estime et de remerciement. Je voudrais pour tout autre un peu de raillerie : Un vieillard amoureux mérite qu'on en rie ; Mais le trône soutient la majesté des rois Au-dessus du mépris, comme au-dessus des lois. On doit toujours respect au sceptre, à la couronne. Remets tout, si tu veux, aux ordres que je donne ; Je saurai l'apaiser avec facilité, Si tu ne te défends qu'avec civilité."")","('#jason #creuse', ""De l'amour à nos coeurs, faisons suivre l'empire : Le plaisir d'être aimé passe tous les plaisirs."")",1.0,Substitution
104,"('#jason', ""Que ne vous dois-je point pour cette préférence, Où mes désirs n'osaient porter mon espérance ! C'est bien me témoigner un amour infini, De mépriser un roi pour un pauvre banni ! À toutes ses grandeurs préférer ma misère, Tourner en ma faveur les volontés d'un père, Garantir mes enfants d'un exil rigoureux !"")","('#oronte', ""Puisqu'un fier ennemi par le bruit de ses armes,  Suspend le succès de mes feux, Du moins, belle princesse, agréez qu'à vos charmes, J'offre l'hommage de mes voeux. Dans le doux espoir qui me flatte, Mon amour ne peut plus se tenir renfermé ;  Il faut enfin que cet amour éclate Aux yeux qui m'ont charmé."")",0.0,Match
105,"('#creuse', ""Qu'a pu faire de moindre un courage amoureux ? La fortune a montré dedans votre naissance Un trait de son envie, ou de son impuissance ; Elle devait un sceptre au sang dont vous naissez, Et sans lui vos vertus le méritaient assez. L'amour, qui n'a pu voir une telle injustice, Supplée à son défaut, ou punit sa malice, Et vous donne, au plus fort de vos adversités, Le sceptre que j'attends, et que vous méritez. La gloire m'en demeure ; et les races futures Comptant notre hyménée entre vos aventures, Vanteront à jamais mon amour généreux, Qui d'un si grand héros rompt le sort malheureux. Après tout cependant, riez de ma faiblesse : Prête de posséder le phénix de la Grèce, La fleur de nos guerriers, le sang de tant de dieux, La robe de Médée a donné dans mes yeux. Mon caprice, à son lustre attachant mon envie, Sans elle trouve à dire au bonheur de ma vie : C'est ce qu'ont prétendu mes desseins relevés, Pour le prix des enfants que je vous ai sauvés."")","('#creuse', ""Mon coeur qui s'applaudit d'une illustre victoire, Aime dans son penchant à trouver son devoir ; L'hommage d'un héros que couronne la gloire  Est toujours doux à recevoir."")",0.08,Substitution
106,,"('#oronte', ""Ne le différons plus, ce tendre et pur hommage Qui vous répondra de ma foi ; Et qu'ici mille voix par un doux assemblage, De mon amour vous parlent avec moi. "")",1.0,Deletion
107,,"('#choeur-des-captifs', ""Qu'elle est charmante, qu'elle est belle ! Ah, qu'il est doux de soupirer pour elle !"")",1.0,Deletion
108,"('#jason', ""Que ce prix est léger pour un si bon office ! Il y faut toutefois employer l'artifice : Ma jalouse en fureur n'est pas femme à souffrir Que ma main l'en dépouille afin de vous l'offrir ; Des trésors dont son père épuise la Scythie, C'est tout ce qu'elle a pris quand elle en est sortie."")","('#un-captif', ""Venir l'adorer en ces lieux, Est un destin bien glorieux ; Mais si la douceur de ses yeux  Doit tromper une ardeur si belle, Ah, quel malheur pour un amant fidèle !"")",0.24,Substitution
109,,"('#le-choeur', 'Ah, quel malheur pour un amant fidèle !')",1.0,Deletion
110,"('#creuse', ""Qu'elle a fait un beau choix ! Jamais éclat pareil Ne sema dans la nuit les clartés du soleil ; Les perles avec l'or confusément mêlées, Mille pierres de prix sur ses bords étalées, D'un mélange divin éblouissent les yeux ; Jamais rien d'approchant ne se fit en ces lieux. Pour moi, tout aussitôt que je l'en vis parée, Je ne fis plus d'état de la toison dorée ; Et dussiez-vous vous-même en être un peu jaloux, J'en eus presques envie aussitôt que de vous. Pour apaiser Médée et réparer sa perte, L'épargne de mon père entièrement ouverte Lui met à l'abandon tous les trésors du roi, Pourvu que cette robe et Jason soient à moi."")","('#un-captif', ""Une rigoureuse fierté Siérait mal à tant de beauté,  L'amour par tout si redouté  L'empêchera d'être cruelle ; Ah, quel bonheur pour un amant fidèle !"")",0.23,Substitution
111,,"('#le-choeur', 'Ah, quel bonheur pour un amant fidèle !')",1.0,Deletion
112,"('#jason', ""N'en doutez point, ma reine, elle vous est acquise. Je vais chercher Nérine, et par son entremise Obtenir de Médée avec dextérité Ce que refuserait son courage irrité. Pour elle, vous savez que j'en fuis les approches : J'aurais peine à souffrir l'orgueil de ses reproches ; Et je me connais mal, ou dans notre entretien Son courroux s'allumant allumerait le mien. Je n'ai point un esprit complaisant à sa rage, Jusques à supporter sans réplique un outrage ; Et ce seraient pour moi d'éternels déplaisirs De reculer par là l'effet de vos désirs. Mais, sans plus de discours, d'une maison voisine Je vais prendre le temps que sortira Nérine. Souffrez, pour avancer votre contentement, Que malgré mon amour je vous quitte un moment."")","('#amour', ""Régnez ; l'amour à vos lois  Vient soumettre son empire, Chacun à vous plaire aspire ; Voulez-vous faire un beau choix ? Vous n'avez qu'à dire. Tous mes traits sont doux,  C'est par eux qu'on aime, Mon arc est à vous, Lancez les vous-même. Vous me résistez, J'ai lieu de m'en plaindre.  Montez dans mon char, montez, Un enfant n'est pas à craindre. L'Amour offre son Arc à Créüse, qui refuse de le prendre."")",0.23,Substitution
113,"('#cleone', ""Madame, j'aperçois venir le roi d'Athènes."")","('#creuse', ""Quoi qu'il soit dangereux d'obéir à l'Amour, Le moyen de s'en défendre ? Créüse monte sur le char de l'Amour. Jason et Oronte se placent à ses côtés."")",1.47,Substitution
114,,"('#amour', ""Tendres Captifs, faites lui votre cour,  Et que chacun de vous s'applique tour à tour À l'hommage qu'il faut lui rendre. Tendres captifs, faites lui votre cour."")",1.0,Deletion
115,,"('#une-captive', ""Chi teme d'amore Ilgrato martire,  O non vuol gioire, O cuore non hà. Son gusti idolori, Le spine son fiori Ch'Amore ne dà ;  Ma solo penando Ardendo, e sperando, Un'alma legata Fra ceppi beata, Per prova lo sà.  Chi teme d'amore Ilgrato martire, O non vuol gioire, O cuore non hà. Celui qui craint d'amour\nL'agréable martyre,\nOu bien ne veut-il pas jouir,\nOu bien n'a-t-il ni coeur ni courage.\nOn a du goût pour les malheurs,\nLes épines sont des fleurs,\nSi c'est Amour qui les donne en partage ;\nMais ce n'est que dans la souffrance,\nDans l'ardeur, et dans l'espérance,\nQu'une âme à ses liens vouée,\nEt par ses chaînes envoûtée,\nLe sait pour l'avoir éprouvé.\nCelui qui craint d'amour\nL'agréable martyre,\nOu bien ne veut-il pas jouir,\nOu bien n'a-t-il ni coeur ni courage."")",1.0,Deletion
116,,"('#le-choeur', ""Son gusti i dolori  Le spine son fiori  Ch'amore non dà. Ma solo penando, Ardendo, e sperando, Un'alma legata  Fra ceppi beata, Per prova lo sà."")",1.0,Deletion
117,,"('#une-captive', ""Chi teme d'amore Ilgrato martire, O non vuol gioire,  O cuore non hà."")",1.0,Deletion
118,,"('#le-choeur', 'O non vuol gioire, O cuore non hà.')",1.0,Deletion
119,,"('#trois-captifs', ""D'un amant qui veut plaire L'hommage est sincère,  D'un amant qui veut plaire L'hommage est constant."")",1.0,Deletion
120,,"('#le-choeur', ""D'un amant qui veut plaire L'hommage est sincère, D'un amant qui veut plaire  L'hommage est constant."")",1.0,Deletion
121,,"('#trois-captifs', ""Aimer et l'oser dire, C'est ce qu'il désire ; Aimer et l'oser dire, C'est ce qu'il prétend. "")",1.0,Deletion
122,,"('#le-choeur', ""D'un amant qui veut plaire L'hommage est sincère, D'un amant qui veut plaire L'hommage est constant."")",1.0,Deletion
123,"('#creuse', 'Allez donc, votre vue augmenterait ses peines.')","('#trois-captifs', ""Amants, portez vos chaînes  D'un esprit content."")",1.18,Substitution
124,"('#cleone', ""Souvenez-vous de l'air dont il le faut traiter."")","('#le-choeur', ""L'amour a pour vos peines Un prix éclatant."")",1.86,Substitution
125,"('#creuse', ""Ma bouche accortement saura s'en acquitter."")","('#trois-captifs', ""D'un amant qui veut plaire L'hommage est sincère,  D'un amant qui veut plaire L'hommage est constant."")",1.17,Substitution
126,,"('#le-choeur', ""D'un amant qui veut plaire L'hommage est sincère,  D'un amant qui veut plaire  L'hommage est constant."")",1.0,Deletion
127,"('#aegee', 'Sur un bruit qui m\'étonne et que je ne puis croire, Madame, mon amour, jaloux de votre gloire, Vient savoir s\'il est vrai que vous soyez d\'accord, Par un honteux hymen, de l\'arrêt de ma mort. Votre peuple en frémit, votre cour en murmure ; Et tout Corinthe enfin s\'impute à grande injure Qu\'un fugitif, un traître, un meurtrier de rois, Lui donne à l\'avenir des princes et des lois ; Il ne peut endurer que l\'horreur de la Grèce Pour prix de ses forfaits épouse sa princesse, Et qu\'il faille ajouter à vos titres d\'honneur : "" femme d\'un assassin et d\'un empoisonneur. ""')","('#amour', ""Vous voyez à quoi j'aspire. Pour faire un heureux vainqueur, Je compte sur votre coeur. Oserez-vous m'en dédire ? "")",0.79,Substitution
128,,"('#oronte', ""Parlez, belle Princesse, il s'agit en ce jour D'avoir le coeur sincère et d'aimer qui vous aime."")",1.0,Deletion
129,,"('#jason', ""L'amour sur ce qu'il veut s'est expliqué lui-même, Vous devez contenter l'amour."")",1.0,Deletion
130,"('#creuse', ""Laissez agir, grand roi, la raison sur votre âme, Et ne le chargez point des crimes de sa femme. J'épouse un malheureux, et mon père y consent, Mais prince, mais vaillant, et surtout innocent : Non pas que je ne faille en cette préférence ; De votre rang au sien je sais la différence. Mais si vous connaissez l'amour et ses ardeurs, Jamais pour son objet il ne prend les grandeurs : Avouez que son feu n'en veut qu'à la personne, Et qu'en moi vous n'aimiez rien moins que ma couronne. Souvent je ne sais quoi qu'on ne peut exprimer Nous surprend, nous emporte, et nous force d'aimer ; Et souvent, sans raison, les objets de nos flammes Frappent nos yeux ensemble et saisissent nos âmes. Ainsi nous avons vu le souverain des dieux, Au mépris de Junon, aimer en ces bas lieux ; Vénus quitter son Mars et négliger sa prise, Tantôt pour Adonis, et tantôt pour Anchise ; Et c'est peut-être encore avec moins de raison Que bien que vous m'aimiez, je me donne à Jason. D'abord dans mon esprit vous eûtes ce partage : Je vous estimai plus, et l'aimai davantage."")","('#creuse', ""En vain l'amour me sollicite.  Qu'un amant se fasse estimer Par tout ce que la gloire ajoute au vrai mérite, Il est sûr de se faire aimer."")",0.12,Substitution
131,"('#aegee', ""Gardez ces compliments pour de moins enflammés, Et ne m'estimez point qu'autant que vous m'aimez. Que me sert cet aveu d'une erreur volontaire ? Si vous croyez faillir, qui vous force à le faire ? N'accusez point l'amour ni son aveuglement : Quand on connaît sa faute, on manque doublement."")","('#le-choeur', ""Ton triomphe est certain, victoire, amour, victoire. L'amant que tu veux rendre heureux,  Est sûr de l'être par la gloire ; La gloire est l'objet de ses voeux. Ton triomphe est certain, victoire, amour, victoire."")",0.86,Substitution
132,,"('#oronte', ""L'orage est violent, il a dû vous surprendre ; Mais sans vous alarmer laissez gronder les flots.  Je viens vous offrir dans Argos Un peuple armé pour vous défendre. "")",1.0,Deletion
