,dufresny-regnard-chinois,regnard-coquette,Cost,Operation Type
103,,"('#colombine', 'Eh !  Que craint-on, monsieur, quand on est fait comme vous ? ')",1.0,Deletion
104,,"('#nigaudin', ""Il est vrai qu'un juge craint fort peu de chose ; mais la plupart de ces gens de guerre sont des brutaux qui usent d'abord des voies de fait.  Nous autres, nous faisons notre affaire en douceur, et nous n'aimons pas le fracas de la brette. "")",1.0,Deletion
105,,"('#colombine', ""Vous avez assez d'autres endroits pour vous faire distinguer. "")",1.0,Deletion
106,,"('#nigaudin', ""Ce n'est pas, ventrebleu !  Qu'on n'ait du coeur. Je voudrais que vous me vissiez aux buvettes : je fais tout trembler ; et si tous mes confrères les praticiens me ressemblaient, il ne se recevrait pas le quart des nasardes qui se donnent tous les jours. "")",1.0,Deletion
107,,"('#colombine', ""Je gagerais, à votre air, que vous opinez l'épée à la main ?  Et je vous prendrais quelquefois pour un colonel de robe. "")",1.0,Deletion
108,,"('#nigaudin', ""Vous trouvez donc mon habit joli ?  C'est un petit déshabillé de chasse que je me suis fait faire pour la cour.  N'est-il pas vrai que l'épée me sied bien ? "")",1.0,Deletion
109,,"('#colombine', 'À charmer. ')",1.0,Deletion
110,"('#thalie', ""À vous entendre, monsieur l'Auteur, je parierais que votre pièce ne vaut pas grand'chose."")","('#nigaudin', ""Je sens quelquefois des convulsions de bravoure que je ne saurais retenir. J'étais né pour la guerre : mais mon père, voyant que j'avais trop d'esprit pour ce métier-là, me mit dans notre présidial de Beauvais, et m'acheta une charge d'assesseur.  Il tousse. "")",1.34,Substitution
111,,"('#colombine', ""Ah, monsieur l'assesseur !  Si vous débrouillez aussi bien un procès que vous savez vous faire jour dans un coeur, que vous êtes un juge éclairé !"")",1.0,Deletion
112,"('#l-auteur', ""Hélas !  J'ai toujours cru jusqu'à présent que c'était la meilleure comédie du monde ; mais depuis que les chandelles sont allumées, j'y vois mille défauts que je n'y avais pas remarqués.  Ah, ah !  Je n'en puis plus, le coeur me manque."")","('#nigaudin', ""Tout franc, mademoiselle, je ne me plains pas de mes lumières, et je vous avoue que j'ai une pénétration d'esprit qui me surprend quelquefois.  Je jugeai dernièrement un gros procès à l'audience, dont je n'avais pas entendu un mot. "")",0.32,Substitution
113,"('#thalie', 'Allons, allons, courage ; serrez-vous le nez, et avalez la médecine.')","('#colombine', 'Pas un mot !  Et comment avez-vous pu rendre la justice ? ')",1.51,Substitution
114,,"('#nigaudin', ""Bon !  Dans tous les procès, il n'y a qu'une routine.  L'une des parties m'avait envoyé un carrosse de cent pistoles, et l'autre deux chevaux gris de six cents écus ; vous jugez bien qui avait le bon droit ? "")",1.0,Deletion
115,,"('#colombine', 'Oh !  Je sais que deux chevaux gris mènent un procès bien rondement. ')",1.0,Deletion
116,,"('#nigaudin', 'Ma foi, vous avez raison ; les chevaux entraînèrent le carrosse.')",1.0,Deletion
117,,"('#le-capitaine', 'Parbleu !  Mon ami, je crois que tu ne me connais pas. ')",1.0,Deletion
118,,"('#colombine', 'Ah, monsieur !  Vous êtes perdu si cet homme-là vous trouve ici. ')",1.0,Deletion
119,,"('#nigaudin', 'Comment donc ? ')",1.0,Deletion
120,,"('#colombine', ""C'est un officier qui est jaloux à la fureur ; il a déjà tué cinq ou six hommes pour n'avoir fait que me regarder. "")",1.0,Deletion
121,,"('#nigaudin', 'Cinq ou six hommes !  Voilà qui est bien brutal.  Holà !  Hé, laquais. Il se déshabille, et met son rabat. ')",1.0,Deletion
122,"('#l-auteur', ""Ma comédie n'est pas même achevée ; il n'y a que quatre actes de faits."")","('#colombine', 'Hé, que faites-vous, monsieur ?  À quoi vous amusez-vous là ? ')",1.46,Substitution
123,"('#thalie', ""Pourvu qu'il n'y ait que ce défaut-là, vous n'êtes pas à plaindre.  C'est moi qui fais les lois de la comédie, et j'ordonne que ce prologue-ci passera pour un acte."")","('#nigaudin', ""Je sais bien ce que je fais.  Il faudra qu'il soit bien lâche, s'il me bat sans épée.  Pour plus grande sûreté, vite, qu'on me donne ma robe. "")",1.05,Substitution
124,,"('#colombine', 'Votre robe !  Et où est-elle ? ')",1.0,Deletion
125,,"('#nigaudin', 'Je ne vais jamais sans cela : on ne sait pas ce qui peut arriver. ')",1.0,Deletion
126,,"('#colombine', ""Ah, monsieur !  Ne vous y fiez pas ; vous auriez toutes les robes du Palais sur le corps, qu'il... "")",1.0,Deletion
127,"('#l-auteur', 'Ah, maudite comédie !  Tu seras cause de ma mort !')","('#le-capitaine', 'Par la mort !  Par la tête !  Si tu ne me laisses entrer, je mettrai le feu à la maison. ')",1.01,Substitution
128,"('#la-muse', ""Messieurs, vous voyez bien que ce poète-ci n'a pas besoin de fort hiver.  Si vous le carillonnez selon votre bonne et louable coutume, je vous le garantis défunt dans un quart d'heure : c'est à vous de voir si vous voulez charger votre conscience d'un poéticide."")","('#colombine', 'Que je suis malheureuse !  Le voilà qui entre. Tenez, cachez-vous vite sous cette table-là, et ne remuez pas. ')",1.35,Substitution
129,,"('#nigaudin', 'Ah !  Ma maudite toux me va trahir. ')",1.0,Deletion
130,"('#roquillard', ""Certes, nul huissier, tant à verge qu'à cheval, n'oserait avoir regardé la porte de ce mien château : il fut de tout temps le cimetière des sergents.  Feu mon trisaïeul, Matthieu Roquillard, d'un seul coup d'arquebuse a mis bas cinq recors et deux procureurs fiscaux."")","('#le-capitaine', ""Comment !  Mordi, mademoiselle : il est plus difficile d'entrer chez vous que de prendre trois demi-lunes l'épée à la main.  Si vous ne changez de portier, ma foi, il faudra rompre tout commerce avec vous.  Malepeste !  Une cravate de Malines qui n'est plus propre qu'à faire de la charpie !  Voilà qui est fait, je ne rends plus de visites qu'à des portes bâtardes. "")",0.98,Substitution
131,,"('#colombine', ""Monsieur, je suis bien fâchée de l'accident de votre cravate : mais... "")",1.0,Deletion
132,"('#pierrot', ""Diantre !  Tout le pays lui eut bien de l'obligation ; car un de ces animaux-là fait plus de dégât dans une province que douze bêtes puantes dans une garenne.  Mais que veut dire toute cette belle architecture ?  Cela flaire diablement la noce.  Au moins, ne vous avisez pas de faire cette sottise-là."")","('#le-capitaine', ""Mais, mademoiselle, on est bien aise de conserver le peu qu'on a de linge.  Je suis revenu trente fois de l'assaut en meilleur équipage.  Il est vrai qu'une jolie personne comme vous est un redoutable ouvrage à cornes. Hem, plaît-il ?  Il râpe du tabac ; Nigaudin tousse. "")",0.43,Substitution
133,"('#roquillard', 'Et la raison ?')","('#colombine', ""Ce n'est rien, monsieur...  Que voilà un habit bien entendu !"")",1.9,Substitution
134,,"('#le-capitaine', ""Je ne suis pas mal fait, oui ; je dois ma taille à une douzaine de bouteilles de vin que je bois réglément par jour : un grand ventre sied bien à la tête d'un bataillon. Ouais !  Qu'est-ce donc que j'entends ?  Nigaudin tousse. "")",1.0,Deletion
135,"('#pierrot', ""C'est que le mariage ne sied point à une carcasse décharnée comme la vôtre ; et tout franc, vous êtes trop vieux pour faire souche."")","('#colombine', ""Ce n'est rien, vous dis-je.  Voilà vos inquiétudes qui vous prennent ; vous voudriez déjà être hors d'ici, et vous ne songez pas qu'il y a un siècle qu'on ne vous a vu. "")",1.25,Substitution
136,,"('#le-capitaine', ""J'y viendrais plus souvent : mais tout le genre humain y aborde.  Voyez-vous, mademoiselle, je suis le gentilhomme de France du meilleur commerce ; mais, ventrebleu !  Je ne m'accommode point de vos neutralités. "")",1.0,Deletion
137,"('#roquillard', ""Sais-tu bien que dans la famille des Roquillards les mâles n'entrent en vigueur que vers les soixante-dix ans ?  Quand mon père me fabriqua, il en avait septante-quatre, et ma mère octante-huit."")","('#colombine', ""Mon_Dieu !  Monsieur, je ménage tout le monde pour des raisons particulières ; mais je sais donner la préférence à qui le mérite.  Je me distingue en voyant des gens de cour ; les officiers me font plaisir ; je trouve des ressources avec les financiers : et pour peu qu'on aime les bagatelles, c'est le moins qu'on puisse avoir que deux ou trois petits abbés dans une maison. "")",1.56,Substitution
138,"('#pierrot', 'On voit bien, monsieur, que vous avez été engendré de deux vieilles rosses ; vous avez des salières sur les yeux à y fourrer le poing.')","('#le-capitaine', ""Pour les abbés, passe : on sait bien que cette graine-là est nécessaire aux femmes : mais j'enrage de voir à vos trousses un tas de gens de robe, qui sont pour la plupart des croquants, à qui l'esprit n'a été donné que comme le sel aux jambons pour les conserver. "")",0.63,Substitution
139,,"('#colombine', ""Bon ! L'été les femmes les souffrent faute d'officiers : mais ce sont des oiseaux de semestre qui disparaissent avec les hirondelles.  Et puis les affaires viennent sans qu'on y pense ; on a tous les jours, malgré soi, des procès ; et vous savez qu'auprès d'un juge sensible, l'enjouement d'une jolie femme est toujours la meilleure pièce d'un sac. "")",1.0,Deletion
140,,"('#le-capitaine', ""Vous voyez entre autres un certain... Trigaudin... Nigaudin ; un petit friquet de chicane.  Par la ventrebleu !  Si jamais je l'y rencontre ; je n'aime pas le bruit, mais assurément je lui couperai les oreilles. Nigaudin tousse, et Colombine tousse aussi, de peur que le Capitaine ne l'entende. "")",1.0,Deletion
141,"('#roquillard', ""Tais-toi ; j'ai autre chose en tête que de répondre à tes sottises.  C'est ma fille Isabelle que je veux marier aujourd'hui."")","('#colombine', ""Hé !  Fi, monsieur, ne m'en parlez point ; je ne le saurais souffrir : c'est une éponge à sottises. Elle tousse. "")",1.11,Substitution
142,,"('#le-capitaine', ""Qu'avez-vous donc, mademoiselle ?  Vous me paraissez bien enrhumée. "")",1.0,Deletion
143,,"('#colombine', ""Ce n'est rien, monsieur ; on ne peut pas toujours se porter si bien que vous.  Mon_Dieu !  Que vous avez bon visage ! "")",1.0,Deletion
144,"('#pierrot', ""Oh !  Pour ce mariage-là, j'y baille mon autorité, et le plus tôt c'est le meilleur : il ne faut pas garder une fille passé quinze ans ; il y a trop de déchet, et cette monnaie-là est diantrement sujette au décri."")","('#le-capitaine', ""Je le crois, ma foi, qu'il est hon ; il y a plus de trente ans que je m'en sers jour et nuit ; je ne suis pas comme ces femmes qui le mettent le soir sur leur toilette."")",1.31,Substitution
145,,"('#le-sergent', 'Mon capitaine, ne voulez-vous pas arrêter les parties de ce marchand a fourni les justaucorps de la compagnie ? ')",1.0,Deletion
146,,"('#colombine', ""C'est-à-dire, monsieur le capitaine, que vous ne manquez pas de moyens pour trouver de l'argent. "")",1.0,Deletion
147,"('#roquillard', ""Tu vois aussi que je mets les fers au feu.  J'attends journellement un gentilhomme de campagne, un docteur, un major et un comédien français, tous partis sortables pour ma fille, selon qu'il m'a été raconté ; car je ne les ai point encore vus."")","('#le-capitaine', ""Je veux être un infâme, si j'ai le premier sou pour faire ma compagnie : ce qui me console, c'est que je dois beaucoup.  Allons, tirez.  Allons, tirez.  Pour une demoiselle, il me semble que vous avez là un vilain mâtin sous votre table.  Il écrit, et sent quelque chose sous la table. "")",0.21,Substitution
148,"('#pierrot', ""Pensez, monsieur, que vous ne lui baillerez pas tous les quatre à la fois ; c'est trop pour une enfant."")","('#colombine', 'Vous rêvez, je crois, avec vos mâtins. ')",1.04,Substitution
149,,"('#le-capitaine', ""Brin-d'amour ?"")",1.0,Deletion
150,,"('#le-sergent', 'Mon capitaine. ')",1.0,Deletion
151,,"('#le-capitaine', 'Chassez-moi ce chien de dessous cette table. ')",1.0,Deletion
152,,"('#le-sergent', 'Allons, tirez ; à la paille.  Nigaudin sort.')",1.0,Deletion
153,,"('#le-capitaine', ""Oh, oh !  Mon petit ami, et que faites-vous donc ici, s'il vous plaît ? "")",1.0,Deletion
154,,"('#nigaudin', 'La Violette, laquais, prenez ma robe. ')",1.0,Deletion
155,"('#roquillard', 'Outre ce, Isabelle a quelque bon vouloir pour un quidam nommé Octave, comédien italien de sa vacation.')","('#le-capitaine', 'Mon petit ami, si vous ne dénichez au plus vite, je vous ferai amoureusement descendre par la fenêtre. ')",1.19,Substitution
156,"('#pierrot', ""Fi !  Monsieur, ne donnez point votre fille à cette nation-là : avec eux les mariages ne tiennent point ; on dit qu'ils en font de nouveaux à chaque comédie qu'ils jouent."")","('#colombine', ""Monsieur le capitaine, vous êtes un extravagant de vous emporter sans raison.  N'ai-je pas fait mon devoir de faire cacher monsieur pour vous épargner du chagrin ?  Tant pis pour vous, si vous allez chercher où vous n'avez que faire. Et vous, monsieur, de quoi vous avisez-vous de faire du bruit mal à propos ?  Il n'y a qu'un homme de robe et officier d'un présidial capable de tousser quand on le cache sous une table.  Puisque vous avez fait la sottise, démêlez la fusée comme il vous plaira.  À Nigaudin.  Elle sort. "")",1.16,Substitution
157,,"('#nigaudin', ""Adieu, monsieur ; nous ne serons pas toujours seul à seul ; et s'il vous tombe jamais quelque décret sur le corps, je vous apprendrai ce que c'est que de scandaliser un juge chez des femmes."")",1.0,Deletion
158,,"('#le-capitaine', 'Va, va, petit regrattier de la justice, je me moque de toi et de tes décrets ; je suis en garnison dans une bonne citadelle. ')",1.0,Deletion
159,"('#roquillard', ""Ce néanmoins, je me sens de la propension pour le jeune homme ; et dès mon premier âge, j'ai pourchassé I'accointance de messieurs du théâtre, pour ce qu'ils sont volontiers courtois et joviaux."")","('#nigaudin', ""On ne traite pas comme cela un conseiller assesseur, et je m'en plaindrai à votre citadelle.  Ils sortent l'un d'un côté et l'autre de l'autre. "")",1.07,Substitution
160,,"('#pierrot', ""Monsieur, je viens de chez votre notaire ; il vous prie bien fort de l'excuser ; il ne saurait venir aujourd'hui. "")",1.0,Deletion
161,,"('#trafiquet', ""Il faut prendre patience, pourvu qu'il vienne demain. "")",1.0,Deletion
162,"('#pierrot', ""Si vous m'aviez averti seulement huit jours plus tôt que vous vouliez vous défaire d'Isabelle, je m'en serais accommodé avec vous ; mais j'ai commencé une fille d'un autre côté."")","('#pierrot', ""Ni demain non plus : il lui est survenu une petite affaire ; je ne crois pas qu'il puisse venir si tôt. "")",1.23,Substitution
163,"('#roquillard', 'Comment donc ?')","('#trafiquet', 'Et quelle est donc cette affaire ? ')",0.04,Substitution
164,,"('#pierrot', ""C'est, monsieur, qu'il est mort. "")",1.0,Deletion
165,,"('#trafiquet', ""Il est mort !  Tu as raison ; je ne crois pas qu'il revienne de longtemps. C'est bien dommage ; c'était le seul honnête homme de notaire que j'aie encore trouvé.  Hé !  Dis-moi, as-tu des nouvelles de notre homme ? "")",1.0,Deletion
166,,"('#pierrot', ""Ho !  Oui, monsieur ; pour celui-là, on m'a dit qu'il était arrivé par le poulailler du Maine, et qu'il demeurait tout rasibus de chez nous. "")",1.0,Deletion
167,,"('#trafiquet', ""Le ciel en soit loué !  Je me déferai peut-être à la fin de ma fille, et je ne verrai plus dans ma maison des animaux de toute sorte d'espèces, et particulièrement cette assemblée de femmes, ou plutôt cette académie de folles qui s'y tenait. "")",1.0,Deletion
168,"('#pierrot', ""Oui, monsieur ; c'est une fille qui a plus de vingt mille écus, et je suis déjà à moitié marié."")","('#pierrot', ""Tout franc, monsieur, je commençais à être bien las de toutes ces visageresses, et j'étais résolu de prendre mon congé ou de vous donner le vôtre.  Mais, monsieur, je voudrais bien vous lâcher un petit mot, tandis que je sommes sur la chose du mariage. "")",1.06,Substitution
169,"('#roquillard', 'Est-il possible ?')","('#trafiquet', 'Parle, Pierrot ; que me veux-tu ? ')",1.25,Substitution
170,"('#pierrot', ""Très assurément.  Tenez, monsieur, pour faire un mariage tout entier, il faut, en premier lieu, que le garçon le veuille ; en second lieu, que la fille y consente : or, je suis garçon ; j'ai déjà baillé mon consentement ; ainsi, vous voyez que c'est un mariage à moitié fait."")","('#pierrot', 'Monsieur, regardez-moi bien ; tel que vous me voyez, je me vais marier. ')",0.15,Substitution
171,"('#roquillard', ""Certes, voilà une affaire bien avancée !  Mais va-t'en dire à ma fille qu'elle se prépare de son côté."")",,1.0,Insertion
172,"('#pierrot', ""Il n'y a que faire de l'avertir ; une fille est toujours prête quand c'est pour le mariage."")",,1.0,Insertion
173,"('#isabelle', 'Bon, bon !  Le mariage !  Voilà encore quelque chose de beau !  Ne me parle jamais de cette sottise-1à.  Dis-moi, Colombine, ai-je bien placé mes mouches ?  Me trouves-tu coiffée du bon air ?')","('#trafiquet', 'Toi, te marier !  Es-tu fou ? ')",0.96,Substitution
174,"('#colombine', ""Il est bien question aujourd'hui de mouches et de fontanges !  Voyez-vous toutes ces pyramides-là, ce sont de beaux bouchons à un cabaret où l'on meurt de soif.  L'essentiel pour une fille, c'est un mari, et un mari dans toutes ses circonstances."")",,1.0,Insertion
175,"('#isabelle', ""Ah, ah !  Que tu es folle !  Colombine, que tu es folle !  Tu crois donc que je me soucie d'un homme ?  Je te jure que je n'ai pas la moindre envie d'être mariée.  À la vérité, je suis bien lasse d'être fille ; mais j'espère que cela se passera."")","('#pierrot', ""Ce qui me console ; monsieur, c'est que celle que j'épouse est aussi folle que moi. "")",0.35,Substitution
176,,"('#trafiquet', 'Et qui est donc cette malheureuse-là ? ')",1.0,Deletion
177,"('#colombine', ""Oui, cela se passera avec un mari.  Franchement, le métier de fille est bien ennuyeux, quand on veut le faire avec honneur.  Je sais ce qu'il m'en coûte tous les jours pour conserver le peu de réputation qui me reste."")","('#pierrot', ""Oh !  Monsieur, vous la connaissez bien ; c'est... mademoiselle votre fille. "")",1.21,Substitution
178,,"('#trafiquet', 'Ma fille ?  Ma fille Colombine ? ')",1.0,Deletion
179,,"('#pierrot', ""Vraiment, monsieur, cela est tout prêt ; on n'attend plus que votre consentement et le sien. "")",1.0,Deletion
180,"('#isabelle', 'Que veux-tu donc dire ?')","('#trafiquet', ""Je ne sais, maraud, à quoi il tient que je ne t'assomme de coups. "")",1.03,Substitution
181,"('#colombine', ""Mon_Dieu !  Je m'entends bien.  Il y a des saisons dans l'année terriblement rudes à passer.  Quand j'entends chanter l'alouette, ma vertu est à fleur de corde ; et c'est une saison bien chatouilleuse que le printemps."")","('#pierrot', ""Mais, monsieur, il ne faut pas se fâcher ; cela n'est pas si inégal.  Je suis un garçon, une fois, et elle est une fille ; et puis, monsieur, je ne sais ce que c'est que de faire le blêche : vous me donnez quinze écus par an ; j'aime mieux n'en gagner que dix et être votre gendre.  Voilà comme je parle, moi. "")",0.97,Substitution
182,"('#isabelle', ""Tu te moques, Colombine : c'est In saison qui me fait le plus de plaisir ; le beau temps revient."")","('#trafiquet', 'Et moi, voilà comme je réponds. ')",1.47,Substitution
183,"('#colombine', ""Mais les officiers s'en vont à la guerre."")",,1.0,Insertion
184,"('#isabelle', 'La campagne rit...')",,1.0,Insertion
185,"('#colombine', 'Oui, et Paris pleure.')",,1.0,Insertion
186,"('#isabelle', 'Les arbres reverdissent.')",,1.0,Insertion
187,"('#colombine', ""Et les filles sèchent sur pied.  Je parie que c'est dans ce temps-là que vous êtes le plus dégoûtée de votre emploi de fille."")",,1.0,Insertion
188,"('#isabelle', ""Si j'en suis dégoûtée, c'est que les femmes aiment naturellement le changement ; et si je me suis lassée d'être fille, je me lasserai encore plus d'être mariée."")",,1.0,Insertion
189,"('#colombine', ""D'être mariée !  Vous voulez donc l'être ?"")","('#pierrot', ""Eh !  Fi donc, monsieur ; est-ce comme ça qu'on parle de mariage ?"")",0.46,Substitution
190,"('#isabelle', ""Je ne dis pas cela ; mais si l'envie m'en venait par hasard (car on dit que cela prend tout d'un coup), dis-moi, en conscience, comment faut-il qu'un mari soit fait pour être joli ?  Tu sais que je ne me connais pas bien en hommes."")","('#pierrot', ""Tenez, voilà votre diable de bailli ; est-ce qu'il est mieux fait que moi ? "")",1.35,Substitution
191,"('#colombine', ""Si fait bien moi.  Il faut qu'il soit pâle, fluet, débile et raccourci, comme ces petits échantillons de magistrature, qui n'auraient pas la force de porter leurs robes sans l'aide de deux grands laquais."")","('#arlequin', ""Je crois, monsieur, que vous avez plus d'impatience de me faire votre gendre, que je n'en ai de vous voir mon beau-père.  Vous avez une fille : ergo vous êtes pourvu d'une drogue dont vous voudriez être défait ; car une fille, c'est une fleur qui se fane, si elle n'est cueillie dans sa saison ; c'est un quartaut de vin de Champagne qui jaunit, s'il n'est bu dans sa primeur. "")",0.91,Substitution
192,,"('#pierrot', ""Monsieur du quartaut, vous n'en aurez peut-être que la baissière. "")",1.0,Deletion
193,"('#isabelle', 'Oh !  Fi, fi !  Cela est trop colifichet pour un mari.')","('#trafiquet', ""J'espère, monsieur, que vous ne vous repentirez pas de l'affaire que vous faites ; car je puis vous assurer que je vous livre une fille toute neuve, et qui vous fera dans la suite un très bon usé. "")",1.61,Substitution
194,"('#colombine', ""C'est que vous ne vous connaissez pas en hommes.  Vous voudriez peut-être de ces bourgeois renforcés de l'ancien collège, moitié noblesse, moitié roture, ou de ces gros commis... là... de ces ballots vivants qui entrent et sortent de la douane sans rien payer ?"")","('#arlequin', ""Ah !  Cette marchandise-là ne dure toujours que trop.  Vous pouvez aussi vous vanter que vous serez le beau-père de France le mieux engendré.  Je n'ai aucune mauvaise qualité ; je hais le vin à la mort ; j'ai une aversion incroyable pour le jeu, et je suis fort aisé à vivre : je ne crois pas avoir assommé plus de vingt paysans ; et si, ce n'était que pour des bagatelles, quelques rentes seigneuriales.  Il tire son mouchoir, et laisse voir dans sa poche un pistolet et une bouteille ; il fait tomber des dés et des cartes. "")",1.05,Substitution
195,"('#isabelle', 'Pour ceux-là, je les trouve trop matériels.')",,1.0,Insertion
196,"('#colombine', 'La pauvre enfant, elle ne se connaît pas en hommes !')",,1.0,Insertion
197,"('#isabelle', ""Colombine, tu es une coquine.  Tu ne me parles point de ce qui me paraît le plus fripon en amour.  Est-ce que tu n'as jamais vu l'hiver, à la Comédie, ces jeunes officiers toujours brillants, qui font sans cesse le carrousel autour des actrices jolies ?"")","('#trafiquet', ""Voilà cet homme si doux, qui ne joue et qui ne boit pas ! Vous dites donc, monsieur, que ma fille sera doucement avec vous ; et qu'est-ce que c'est que cela, s'il vous plaît ?  Haut.  Il montre le pistolet."")",1.39,Substitution
198,,"('#arlequin', ""Je porte toujours cela sur moi, car je n'aime pas à être contredit. "")",1.0,Deletion
199,"('#colombine', 'La pauvre enfant !  Elle ne se connaît pas en hommes !')","('#trafiquet', ""Vous m'assurez que sa dot ne court point de risque entre vos mains, et que vous ne jouez point ? Il montre les cartes qui sont à terre."")",1.92,Substitution
200,"('#isabelle', 'Pour ceux-là ils sont faits exprès pour mon humeur ; ils font toujours quelques singeries ; ils chantent, ils cabriolent, ils se battent quelquefois pour rire, et se baisent après devant tout le monde : enfin, quand je les vois sur le théâtre, ils me divertissent cent fois plus que la comédie.')","('#arlequin', ""Fi, monsieur !  Il n'y a que des fripons qui s'amusent à ce métier-là.  Je porte quelquefois des cartes et des dés par complaisance ; mais je ne m'en sers qu'en compagnie, et je vous assure que si j'étais seul je ne jouerais jamais. "")",0.76,Substitution
201,,"('#pierrot', ""Je vous l'ai toujours dit, monsieur ; il n'y a que les mauvaises compagnies qui gâtent la jeunesse. "")",1.0,Deletion
202,,"('#trafiquet', ""Pour du vin, vous n'en buvez pas ? "")",1.0,Deletion
203,,"('#arlequin', 'La crapule me fait horreur.  Est-ce que les honnêtes gens boivent du vin ? ')",1.0,Deletion
204,"('#colombine', 'Je vous en aurais bien proposé de cette manufacture-là ; mais...')","('#trafiquet', ""Je vois pourtant là quelque chose qui a assez la physionomie d'une bouteille. "")",1.67,Substitution
205,"('#isabelle', 'Quoi, mais !')","('#pierrot', 'Bon !  Monsieur, vous avez la berlue. ')",1.28,Substitution
206,"('#colombine', ""Mais il vous faut un mari pour toute l'année, et ces messieurs-là ne servent que par quartier ; encore n'est-ce pas auprès de leurs femmes. J'entends du bruit.  Apparemment que voilà l'amant chasseur qui entre en danse. On donne du cor."")","('#arlequin', ""Oui, parbleu !  Il l'a ; ce n'est que de l'eau-de-vie que je porte à une femme de qualité qui est en couche. "")",1.29,Substitution
207,"('#mezzetin', ""Mademoiselle, je suis l'écuyer de monsieur le baron de la Dindonnière ; il vous envoie cette bête-là, en attendant qu'il vienne ici lui-même."")","('#trafiquet', ""Allons, allons, il faut passer par là-dessus : on ne fera pas un homme exprès pour moi.  Apparemment vous n'épouserez pas ma fille sans la voir ?  Pierrot, dis à Colombine qu'elle vienne saluer monsieur. "")",1.11,Substitution
208,,"('#pierrot', ""Elle n'est pas ici. "")",1.0,Deletion
209,,"('#trafiquet', ""Elle n'est pas ici ? "")",1.0,Deletion
210,"('#isabelle', ""Si le maître est aussi bien fabriqué que l'écuyer, voilà de quoi faire un bel attelage."")","('#pierrot', ""Non, monsieur ; j'ai vu un chevalier avec un abbé qui sont venus pour l'emprunter jusqu'à sept heures. "")",1.28,Substitution
211,"('#mezzetin', ""On dit comme ça qu'il doit bientôt chasser sur vos terres.  La chasse sera bonne dans ce canton-là ; car je crois que personne n'y a encore chassé."")",,1.0,Insertion
212,"('#colombine', ""Ma maîtresse est une terre conservée ; j'en réponds, et je suis le garde des plaisirs."")","('#arlequin', ""L'emprunter !  Comment donc !  Est-ce là cette fille si neuve ?  Si on me l'emprunte comme cela quand elle sera ma femme, elle ne durera pas si longtemps que je pensais.  Mon garçon, la fille de monsieur se prête donc quelquefois de main en main quand on la demande ? "")",1.11,Substitution
213,"('#mezzetin', 'Dame !  Mon maître est un cadet bien découplé.  Vous me voyez...  Il est encore... quasi mieux fait que moi. Tenez, le voilà. On sonne du cor.')",,1.0,Insertion
214,"('#arlequin', ""Ton, ton, ton, ton, ho, ho !  Gerfaut, Briffaut, Miraut, Marmiteau !  Ho, ho, ho ! Mademoiselle, quand on chasse une jolie bête comme vous, on n'a pas besoin de chiens pour découvrir où vous êtes ; il est aisé de vous suivre à la piste, et le fumet de vos appas porte au nez de plus de cinq cents pas à la ronde. À Isabelle. Il sonne du cor."")","('#pierrot', ""Oui, monsieur, tous les jours ; il y a tout plein d'honnête monde qui la vient prendre pour la divertir. "")",0.61,Substitution
215,,"('#arlequin', ""Oui, monsieur du beau-père !  En tout cas, si dans six mois ou un an je ne m'accommodais pas de votre fille, en perdant quelque chose dessus, vous la reprendriez. "")",1.0,Deletion
216,,"('#trafiquet', ""Il n'y a rien à perdre sur cette fille-là ; vous en trouverez toujours votre argent. "")",1.0,Deletion
217,"('#isabelle', ""Monsieur, je n'aime pas qu'on me fasse l'amour à son de trompe, et vous faites un peu trop de bruit pour prendre les lièvres au gîte."")","('#pierrot', ""On ne parle point du loup qu'on n'en voie la queue.  Tenez, la voilà.  Ne vous avais-je pas bien dit qu'elle viendrait souper avec vous ?  Il n'y a point de fille à Paris si bien morigénée ; elle ne couche jamais en ville. "")",0.98,Substitution
218,"('#arlequin', ""Vous moquez-vous ?  Je suis le gentilhomme de France le plus discret ; je sais qu'il faut du mystère en amour, et c'est pour cela que j'ai laissé ma meute dans votre antichambre."")","('#trafiquet', 'Ma fille, voilà le bailli en question : tu ne voudras peut-être pas lui ouvrir ton coeur en ma présence ?  Monsieur, je ne vous rends pas un méchant office de vous laisser seul avec votre maîtresse.  Il sort avec Pierrot.  Pierrot fait des mines en quittant Colombine. ')",0.52,Substitution
219,"('#colombine', ""Ah !  Mes pauvres meubles !  Vraiment, je m'en vais bien faire sauter tous les chiens par la fenêtre."")","('#arlequin', ""Ne vous étonnez pas, mademoiselle, si vous me voyez reculer trois pas au frontispice de vos charmes : vous avez des yeux capables d'embraser tout le bailliage de mon coeur ; et depuis qu'on porte des bouches, on n'a jamais bouchonné un bouchon si bouchonnable. "")",1.46,Substitution
220,"('#arlequin', ""Ne t'y frotte pas, ma mie ; ce sont des gaillards qui n'ont aucune considération pour le sexe."")",,1.0,Insertion
221,"('#isabelle', 'Ah, mon_Dieu !  Colombine, le vilain homme !')","('#colombine', ""Je suis confuse de vos civilités, monsieur ; et il faudrait avoir plus d'esprit que je n'en ai pour répondre à un compliment aussi bien tourné. "")",1.4,Substitution
