,campistron-achille,la-fontaine-daphne,Cost,Operation Type
111,"('#achille', 'Ciel ! Quelle affreuse nouvelle ! Laissez-moi, fuyez de ces lieux, Vos appas, vos concerts, et tous les soins des Dieux Ne sauraient plus calmer ma tristesse mortelle.')","('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",0.42,Substitution
112,,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",1.0,Deletion
113,"('#achille #arcas', ""Courons venger cet ami que je perds, Que de sang et de morts tous ces champs soient couverts Que son fier vainqueur périsse ! Je dois à l'amitié ce juste sacrifice. Mânes de ce guerrier dont je pleure le sort,  Je vous promet une prompte vengeance,  J'en atteste des Dieux la suprême puissance,  Je cours chercher Hector, je cours hâter sa mort. Dans l'éternelle nuit son ombre va vous suivre. Ou moi-même aujourd'hui je cesserai de vivre,"")","('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",0.28,Substitution
114,,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",1.0,Deletion
115,,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",1.0,Deletion
116,"('#diomede', ""Puisqu'Achille combat, nous allons triompher Notre victoire est certaine; Cessez de le haïr, hâtez-vous d'étouffer Le malheureux amour qui cause votre haine, Vous devez rendre à ce héros Le charmant objet de sa flamme."")","('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",0.08,Substitution
117,"('#agamemnon', ""Ah ! S'il faut à ce prix assurer son repos, Dieux ! Qu'il en coûtera de tourments à mon âme !"")","('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",0.92,Substitution
118,,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",1.0,Deletion
119,"('#diomede', ""Si vous pouviez fléchir la cruelle beauté, Dont votre coeur est enchanté, J'excuserais une injustice Qui finirait votre sort rigoureux; Mais je dois condamner un funeste caprice, Qui vous rend, tout ensemble injuste et malheureux."")","('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",0.47,Substitution
120,,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",1.0,Deletion
121,,"('#tharsis', 'Je vous verrai.')",1.0,Deletion
122,"('#agamemnon', ""Il est vrai que j'attaque un coeur inexorable, Je ne puis fléchir sa rigueur ; Mais, comptez-vous pour rien la flatteuse douceur De rendre un rival misérable ?"")","('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")",0.35,Substitution
123,"('#diomede', ""Le malheur d'un rival flatte-t-il votre ennui, Quand vous êtes encor plus malheureux que lui ? Rappelez votre courage,  Que la raison vous dégage De vos fatales amours"")","('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")",0.38,Substitution
124,"('#agamemnon', ""Que peut la raison le triste et vain secours Contre les traits vainqueurs d'une beauté cruelle ? Quand l'amour à nos yeux vient l'offrir tous les jours, Avec quelques grâces nouvelles. Ranimons toutefois mon courage abattu, C'est nourrir trop longtemps une vaine tendresse, Surmontons ma faiblesse,  Par un dernier effort digne de ma vertu."")","('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")",0.04,Substitution
125,,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",1.0,Deletion
126,,"('#telamon', 'Ceci vous trouble et vous étonne.')",1.0,Deletion
127,"('#diomede', ""Achille est triomphant, je le vois qui s'avance Suivi de nos soldats, charmés de sa valeur."")","('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")",0.71,Substitution
128,"('#agamemnon', 'Éloignons-nous, évitons sa présence, Je ne saurais encore répondre de mon coeur.')","('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",1.37,Substitution
129,,"('#tharsis', 'Tu ris.')",1.0,Deletion
130,"('#le-choeur', 'Guerrier terrible, Soyez toujours invincible, Que vos exploits Fassent trembler tous les rois. Ciel équitable, Sois lui toujours favorable Que son bonheur Soit égal à sa valeur ! Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. Quelle allégresse ! Quel triomphe pour la Grèce ! Ses ennemis  Lui seront bientôt soumis. Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. La Danse de ce divertissement a été faite par Mr. Pécourt.')","('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")",0.68,Substitution
131,,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",1.0,Deletion
132,,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",1.0,Deletion
133,,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",1.0,Deletion
134,"('#capitaines-grecs', ""Venez tous, à l'envie, secondez notre ardeur Honorez votre heureux défenseur, Célébrez sa victoire, Chantez sa valeur et sa gloire, Que tous nos rois Charmés de ses exploits, Soient soumis à ses lois !"")","('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",0.77,Substitution
135,,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",1.0,Deletion
136,,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",1.0,Deletion
137,"('#le-choeur', ""Suivons, suivons sans cesse Ce héros, ce fameux vainqueur C'est à son bras que la Grèce  Doit sa force et son bonheur. Chantons la valeur et sa gloire Du héros qui nous a sauvé Qu'ils jouissent après sa victoire Des honneurs éclatants à lui seul réservés. Chantons la valeur et la gloire Du héros qui nous a sauvé. De ses heureux travaux chérissons la mémoire, Consacrons-lui des jours qu'il nous a conservés. Chantons la valeur et la gloire Du héros qui nous a sauvé."")","('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')",1.01,Substitution
138,,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")",1.0,Deletion
139,"('#achille', ""Allez, que chacun court où son devoir l'appelle, Vos soins pour moi feraient trop de jaloux, Et de mes ennemis la vengeance cruelle Ne pouvant m'accabler retomberait sur vous."")","('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")",0.64,Substitution
140,,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",1.0,Deletion
141,,"('#penee', 'Laissez-nous achever cette cérémonie.')",1.0,Deletion
142,"('#arcas', ""Venez, marchez, sans défiance, Les grecs vous ont donné leur foi Achille est généreux, craignez moins sa présence Et qu'une juste espérance succède à votre effroi."")","('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")",0.56,Substitution
143,"('#priam', ""Restes infortunés du plus beau sang du monde, Polixène, ma fille et vous, veuve d'Hector, Mêlez vos pleurs aux miens, et s'il se peut encor Que tout redouble ici notre douleur profonde."")","('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")",0.15,Substitution
144,,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",1.0,Deletion
145,,"('#clymene', ""On me l'a dit cent fois."")",1.0,Deletion
146,"('#priam #andromaque #polixene', 'Puissions-nous attendrir le coeur De ce superbe vainqueur !')","('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")",0.85,Substitution
147,,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",1.0,Deletion
148,"('#priam', ""Vous voyez, guerrier indomptable Un roi qui fut longtemps le plus puissant des rois ; C'est ce même Priam, qui tenait sous ses lois Des Troyens renommés, l'empire redoutable; C'est lui, que le dernier de vos fameux exploits Vient de rendre plus misérable, Qui ne fut heureux autrefois."")","('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")",0.7,Substitution
149,"('#achille', ""Le sort ne peut changer l'auguste caractère, Dont les Dieux vous ont revêtu. Je le respecte en vous, je plains votre vertu, Je sens expirer ma colère, Je cesse de haïr mes plus grands ennemis, Sitôt que je les vois, ou vaincus ou soumis."")","('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")",0.75,Substitution
150,,"('#telamon', ""N'en saurai-je pas plus ?"")",1.0,Deletion
151,,"('#clymene', ""Je n'ai rien appris d'elle."")",1.0,Deletion
152,"('#andromaque', ""J'ai perdu mon époux dans un combat funeste, Votre valeur me l'a ravi ; Mon amour, chez les morts, l'aurait déjà suivi, Sans les soins que je dois au seul fils qui me reste. Vous le savez, Dieux que j'atteste! Au sort de cet enfant, mon sort est asservi ; Je l'ai perdu cet époux que j'adore, Et pour comble d'horreur, je sais qu'il est encore Indignement privé, par des ordres cruels D'un droit, que le trépas donne à tous les mortels : Souffrez que je le rende aux murs qui l'ont vu naître, Qu'un superbe tombeau fasse du moins connaître La splendeur de son sang, son sort, et mon amour. Ce tombeau servira de temple à votre gloire, Puisque tout l'avenir y verra, quelque jour, L'histoire de nos maux, et de votre victoire."")","('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")",0.65,Substitution
153,"('#achille', 'Quels regrets ! Quels tristes accents ! Dieux ! Que la douleur est tendre ! Que ses soupirs sont puissants ! Que je souffre à les entendre !')","('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",1.17,Substitution
154,"('#priam', ""Par vos sacrés aïeux ; par le nom de Thétis, Laissez-moi recueillir les cendres de mon fils. Pour m'accorder la grâce que j'espère, Souvenez-vous de votre père, Et songez quel amour il eût toujours pour vous Je sentais pour mon fils une égale tendresse ; Ah ! Jugez par l'excès de cet amour si doux Quel doit être aujourd'hui l'excès de ma tristesse."")","('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")",0.83,Substitution
155,"('#polixene', ""Que pourrais-je espérer du secours de mes pleurs, Si mon père et ma soeur vous trouvent inflexible ! Si vous méprisez leurs douleurs, À mes plaintes, hélas ! Serez-vous plus sensible ? Sorti du sang des Dieux, imitez leur bonté, À nos soupirs rendez-vous favorable, N'augmentez point l'excès de notre adversité Par un refus impitoyable."")","('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",0.64,Substitution
156,"('#achille', ""Que peut-on refuser au pouvoir de vos yeux ? Vous pouvez tout en ces lieux. Rassurez-vous calmez la douleur qui vous presse, Emportez dans vos murs, ce héros glorieux, Ne craignez point les efforts de la Grèce, J'arrêterai ses desseins furieux : Suivez l'ardeur qui vous anime, Rien ne vous troublera dans ce soin légitime : Je ne vais songer désormais Qu'à vous donner une éternelle paix."")","('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")",0.21,Substitution
157,,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")",1.0,Deletion
158,"('#achille', ""C'en est fait, cher Arcas, j'adore Polixène, Quoiqu'il en coûte enfin, je veux la posséder ; C'est toi que j'ai choisi, pour aller demander, Cours à Troie, il est temps de soulager ma peine."")","('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")",0.64,Substitution
159,"('#arcas', ""Son père, à votre amour, voudra-t-il l'accorder ?"")",,1.0,Insertion
160,"('#achille', ""Il sera trop heureux de me donner sa fille, Et de me voir devenir son époux ; L'amitié, que ce noeud fera naître entre nous, Soutiendra désormais son trône et sa famille."")","('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")",0.89,Substitution
161,"('#arcas', ""Juste Ciel ! Des Troyens vous devenez l'appui ? Loin de les accabler, vous voulez les défendre."")","('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",1.91,Substitution
162,"('#achille', ""Contre un peuple abattu, que pourrais-je entreprendre, Après ce que mon bras vient de faire aujourd'hui ? Hector seul méritait la gloire De mourir par mes coups, Le reste des Troyens après cette victoire Est indigne de mon courroux."")","('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",1.32,Substitution
163,,"('#leucippe', 'Et mon bien ?')",1.0,Deletion
164,"('#achille', ""Quand après un cruel tourment, L'hymen succède Aux tendre désirs d'un amant, Que le trouble qui précède Ce bien heureux moment Est doux et charmant! Mais, on vient en ces lieux, ma surprise est extrême ! C'est Agamemnon lui-même."")","('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")",0.51,Substitution
165,"('#agamemnon', ""Je ne saurais plus longtemps Conserver contre vous mes chagrins et ma haine, Après vos exploits éclatants, Un mouvement plus doux près de vous me ramène : Avec les jours d'Hector nos périls sont passés, Troie a perdu la bras qui pouvait la défendre."")","('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")",0.45,Substitution
166,"('#achille', ""J'ai fait mon devoir, c'est assez, Vous n'avez point de grâces à mes rendre : Je n'ai point crû servir ceux qui m'ont outragé, Et c'est Patrocle seul que mon bras a vengé."")","('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')",0.63,Substitution
167,"('#agamemnon', 'Votre colère dure encore, Elle éclate dans vos discours : Il faut, pour en finir le cours, Vous rendre la beauté qui vous aime toujours, Et que votre coeur adore. Venez, charmant objet, revoyez votre amant.')","('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")",0.69,Substitution
168,,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",1.0,Deletion
169,"('#achille', 'Ah Ciel ! Ma raison cède à mon étonnement.')","('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')",1.31,Substitution
170,,"('#telamon', 'Changera-t-il son âme ?')",1.0,Deletion
171,,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",1.0,Deletion
172,"('#agamemnon', ""Mes respects, mes soupirs, les marques de ma flamme N'ont fait qu'allumer son courroux ; Ses constantes rigueurs m'ont appris que son âme Ne peut brûler que pour vous."")","('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")",1.0,Substitution
173,,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")",1.0,Deletion
174,,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",1.0,Deletion
175,,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",1.0,Deletion
176,,"('#un-berger', ""L'ennemi commun est mort."")",1.0,Deletion
177,,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",1.0,Deletion
178,,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",1.0,Deletion
179,,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")",1.0,Deletion
180,,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",1.0,Deletion
181,,"('#un-chasseur', ""L'ours ne vit plus."")",1.0,Deletion
182,,"('#un-berger', ""L'ours a passe l'onde noire."")",1.0,Deletion
183,,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")",1.0,Deletion
184,"('#diomede', ""Jouissez du bonheur que l'amour vous présente, Que votre ardeur s'augmente De moment en moment ! Que c'est un plaisir charmant, Après une absence cruelle, De retrouver sa maîtresse fidèle !"")","('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")",0.97,Substitution
185,,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",1.0,Deletion
186,"('#briseis', ""Quel triste accueil, Dieux ! Qu'est-ce que je vois? Suis-je encor Briseis ? N'êtes-vous plus Achille ? Pouvez vous me revoir, et demeurer tranquille ? Qu'est devenu l'amour dont vous brûliez pour moi ? Vous ne répondez point ?..."")","('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")",0.83,Substitution
187,,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")",1.0,Deletion
188,,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")",1.0,Deletion
189,"('#achille', 'Hélas !')","('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",1.15,Substitution
190,"('#briseis', ""Que me veut dire Ce regard, ce soupir échappé malgré vous ? Ah ! Que mon destin sera doux, Si c'est encor pour moi que votre coeur soupire ?"")","('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",1.09,Substitution
191,"('#achille', ""Ô Ciel ! Que je suis malheureux ! Dans quel temps venez-vous m'accabler de vos larmes ? Que ne suis-je, à mon gré, le maître de mes voeux ! Je finirais bientôt vos mortelles alarmes Mais un charme fatal..."")","('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")",1.01,Substitution
192,,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')",1.0,Deletion
193,"('#briseis', ""Perfide c'est assez. Je vois toute mon infortune, Un autre amour te rend ma tendresse importune, Je te fatigue enfin par mes soins empressés : Le bruit de cette amour nouvelle Était venu jusques à moi, Mais je n'ai pu le croire, et soupçonner ta foi, J'ai cru ton coeur trop grand, pour n'être pas fidèle. C'en est donc fait ? Je ne dois plus penser À l'hymen qui faisait toute mon espérance, À ce suprême honneur il me faut renoncer, D'un amour si parfait, funeste récompense ! Dieux ! Quelle est ma douleur ! Je cède à son effort, Cruel, peux-tu la voir avec indifférence ? Et ne sais-tu pas que ma mort Suivra de près ton inconstance ?"")","('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",0.81,Substitution
194,"('#achille', ""Je ne puis entendre Une plainte si tendre Je souffre autant que vous, les Dieux m'en sont témoins, Faut-il vous immoler ma vie ? Ordonnez, ce sera le plus doux de mes soins De satisfaire à votre envie : Mais, calmez vos transports, et ne m'affligez plus Par des reproches superflus. Vous connaissez mon coeur incapable de feindre, Je suis moins criminel, que je ne suis à plaindre, Du sort et de l'Amour l'indispensable loi M'entraîne ailleurs malgré moi."")","('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')",0.64,Substitution
195,,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",1.0,Deletion
196,,"('#aminte', 'Aurait-elle mieux répondu ?')",1.0,Deletion
197,,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")",1.0,Deletion
198,"('#briseis', ""Quel amant m'est ravi ! Sa valeur, sa noblesse L'élèvent au dessus du reste des mortels, La victoire le suit sans cesse, Et ses moindres vertus méritent des autels, Dans le haut rang où son destin l'appelle Il eut été parfait, s'il eut été fidèle. Mais n'est-il pas quelque moyen De détourner l'hymen où son coeur se prépare ? Ah ! Faisons que Junon contre lui se déclare, Elle hait tout le sang Troyen, Et ne souffrira pas que cet hymen funeste Sauve un peuple qu'elle déteste, Puissante Reine des Cieux ! Écoutez moi, daignez jeter les yeux Sur le malheur qui me menace, Prévenez ma honte et ma mort, En prenant pitié de mon sort. Des perfides Troyens vous contrez l'audace ? Mes voeux sont exaucés, Junon descend des cieux, Et pour me secourir s'approche de ces lieux. Junon descend sur son char."")","('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")",0.91,Substitution
199,"('#junon', ""Calme tes déplaisirs, ne verse plus de larmes, L'Hymen qui cause tes alarmes Ne sera jamais achevé En vain Priam croit son pays sauvé, Son trône doit tomber, et de toute sa gloire Il ne restera rien qu'une triste mémoire. Je vais évoquer des Enfers La Haine, la Fureur, la Discorde et l'Envie, Leur présence sera suivie De cent prodiges divers. Sortez de la nuit infernale, Noires Divinités, vos antres sont ouverts. Dans le temps que les Divinités sortent des enfers, tout le théâtre est obscurci."")","('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")",0.0,Match
200,,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",1.0,Deletion
201,"('#briseis', ""L'horreur de leur séjour, se répand dans les airs !"")","('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")",1.04,Substitution
