,regnard-arlequin-bonnes-fortunes,regnard-filles-errantes,Cost,Operation Type
127,"('#colombine', 'Non ; mais si, par bonheur, je venais à être mariée... ')","('#monsieur-croquignolet', 'La friponne est, ma foi, jolie.  Viens çà, ma fille ; es-tu mariée ?')",0.55,Substitution
128,"('#brocantin', ""Si, par bonheur, ou par malheur, vous veniez à être mariée, vous vous presseriez.  Hé !  Je sais de vos fredaines : vous n'avez pas toujours une aiguille et de la tapisserie entre les mains, et vous commencez à escrimer de la plume.  Mais ce n'est pas pour cela que nous sommes ici.  Laissez là votre ouvrage, et m'écoutez.  Le mariage...  Oh, oh !  Vous riez déjà !  Tuchou !  Il ne faut que vous hocher la bride...  Le mariage, dis-je, étant un usage aussi ancien que le monde ; car on s'est marié avant vous, et on se mariera encore après...  Ils prennent des sièges.  À Colombine. "")","('#isabelle', ""Non, monsieur, Dieu merci ; à moi n'appartient pas tant d'honneur : l'année n'est pas bonne pour les filles ; tous les garçons sont à la guerre."")",1.35,Substitution
129,"('#colombine', ""Je le sais bien, mon papa ; il y a longtemps qu'on me dit cela. "")",,1.0,Insertion
130,"('#brocantin', ""J'ai résolu, pour éterniser la famille Brocantine...  Vous voyez où j'en veux venir. J'ai donc résolu de me marier. "")","('#le-valet', ""En voilà pourtant encore un qui n'y est pas.  Si cette friponne-là voulait, nous aurions bientôt conclu l'affaire."")",1.02,Substitution
131,,"('#monsieur-croquignolet', ""Je sens quelque chose...  là, qui me chatouille...  Hé !...  Tu m'entends bien ? Voilà un vrai niquedouille. Isabelle hausse les épaules."")",1.0,Deletion
132,,"('#le-valet', ""C'est un Nicodème qui n'a pas le sens commun."")",1.0,Deletion
133,"('#isabelle #colombine', 'Ah, mon père ! ')","('#monsieur-croquignolet', ""Si tu voulais un peu, pour me délasser de mes exploits guerriers...  J'ai de l'argent, oui."")",1.69,Substitution
134,"('#brocantin', 'Ah, mes filles !  Vous voilà bien ébaubies.  Est-ce que je ne me porte pas encore assez bien ?  Regardez cet air, cette taille, cette légèreté.  Il saute, et fait un faux pas. ')","('#isabelle', ""Bon !  Me voilà bien chanceuse avec votre argent !  Ce n'a jamais été ça qui m'a tentée : j'aime mieux un homme qui me plaît que tous les trésors du inonde ; et, si vous voulez que je vous parle franchement, j'aimerais mieux votre valet que vous."")",1.48,Substitution
135,"('#isabelle', 'Vous vous mariez donc, mon père ? ')",,1.0,Insertion
136,"('#brocantin', 'Oui, si vous le trouvez bon, ma fille. ')","('#le-valet', ""La coquine est, ma foi, de bon goût.  Allons, monsieur, retirez-vous ; ce n'est pas là de la viande pour vos oiseaux."")",1.18,Substitution
137,"('#colombine', 'À une femme ? ')",,1.0,Insertion
138,"('#brocantin', ""Non ; c'est à un tuyau d'orgue.  Voyez, je vous prie, la belle demande ! "")",,1.0,Insertion
139,"('#isabelle', ""Vous l'épouserez ? "")",,1.0,Insertion
140,"('#brocantin', ""Mais je crois que vous avez toutes deux l'esprit en écharpe.  Est-ce que je suis hors d'âge d'avoir lignée ?  Savez-vous bien que l'on n'a que l'âge que l'on paraît ; et monsieur Visautrou, mon apothicaire, me disait encore ce matin, en me donnant un remède, que je ne paraissais pas quarante-cinq ans. "")","('#monsieur-croquignolet', ""Sais-tu bien, petite scélérate, que je viens de l'armée ?"")",1.29,Substitution
141,"('#colombine', ""Oh !  Mon papa, c'est qu'il ne vous voyait pas au visage. "")","('#isabelle', ""Vous, de l'armée !  Vous voilà plaisamment fagoté, avec votre habit noir !  C'était donc vous qui portiez les billets d'enterrement des Hollandais qu'on y a tués ?"")",1.66,Substitution
142,,"('#monsieur-croquignolet', ""Comment, morbleu !  Si quelqu'un en doutait, je lui ferais bien voir ce que c'est que Mathurin Croquignolet, volontaire en pied, suivant l'armée."")",1.0,Deletion
143,,"('#le-valet', 'Et avocat en parlement.')",1.0,Deletion
144,,"('#isabelle', ""Oli !  Vous êtes un valeureux personnage !  Je crois qu'il ne faudrait encore qu'un Mathurin Croquignolet pour faire fuir tous les poulets de notre basse-cour."")",1.0,Deletion
145,"('#brocantin', ""J'ai ce que j'ai ; mais je sais bien que j'ai besoin d'une femme.  Je crève de santé, et j'ai trouvé une fille comme je la souhaite, belle, jeune, sage, riche ; enfin, une fille de hasard... "")","('#monsieur-croquignolet', ""Cette friponne-là n'est pas prévenue de mon mérite...  Je suis pourtant un drôle avec les filles... Il veut badiner."")",1.2,Substitution
146,"('#isabelle', ""Une autre fille que moi, qui ne saurait pas vivre, vous dirait, mon père, que vous risquez beaucoup en vous mariant ; qu'il faut avoir perdu l'esprit pour songer, à votre âge, à un engagement, et que l'on renferme tous les jours des gens aux Petites-Maisons pour de moindres sujets : mais moi, qui sais le respect que je vous dois, sans me prévaloir des raisons que les enfants ont d'appréhender un second mariage, je vous dirai que, puisque vous crevez de santé, vous faites parfaitement bien de prendre une femme. "")","('#isabelle', ""Je vous prie, Monsieur, encore une fois, de vous tenir en repos ; je n'aime pas à être tarabustée.  Si vous voulez entrer chez nous, voilà la porte ouverte ; sinon, je suis votre très humble servante. Elle veut rentrer dans l'auberge."")",0.58,Substitution
147,"('#colombine', 'Pour moi, je vous le conseille ; car je voudrais que tout le monde fût marié. ')","('#monsieur-croquignolet', 'Je ne saurais la quitter.  Le joli bouchon !')",1.77,Substitution
148,"('#brocantin', ""Ali !  Vous prenez la chose du bon biais.  Puisque vous êtes si raisonnables, apprenez donc que je suis en pourparler de mariage ; mais c'est pour vous. "")","('#cinthio', ""En vertu de quoi, monsieur, s'il vous plaît, prenez-vous des familiarités avec cette fille-là ?"")",0.76,Substitution
149,"('#isabelle #colombine', 'Ali, mon père ! ')",,1.0,Insertion
150,"('#brocantin', 'Ali, mes filles ! ')",,1.0,Insertion
151,"('#isabelle', ""Je vous ai des obligations que je n'oublierai jamais."")","('#monsieur-croquignolet', ""En vertu de quoi ?...  En vertu que c'est mon plaisir."")",1.14,Substitution
152,"('#colombine', 'Ah, mon petit papa ! Que je vous aime ! ')","('#cinthio', ""C'est votre plaisir !  Croyez-moi, mon petit visage botté, ne m'échauffez pas les oreilles ; car je pourrais prendre le mien à telle chose qui vous déplairait fort."")",1.34,Substitution
153,,"('#monsieur-croquignolet', 'Monsieur, on ne traite pas comme cela un gentilhomme parisien, qui revient de Flandre.')",1.0,Deletion
154,,"('#cinthio', 'Vous, de Flandre ?')",1.0,Deletion
155,"('#brocantin', ""Je savais bien que cela te ferait plaisir, et que tu n'aurais point de chagrin de voir marier ta soeur avant toi. "")","('#le-valet', ""Je veux que le diable m'emporte si nous n'en venons, et du camp de Fleurus."")",1.69,Substitution
156,,"('#cinthio', 'Cet homme-là ? Il lui montre Croquignolet.')",1.0,Deletion
157,"('#colombine', ""Quoi ! Mon père, ce n'est pas moi que vous voulez marier ? "")",,1.0,Insertion
158,"('#isabelle', ""Non ; on ferait bien mieux de vous laisser passer la première, et d'attendre à me marier que vous eussiez trois ou quatre enfants !  Pour moi, je ne conçois pas cette petite fille-là. "")","('#monsieur-croquignolet', ""Eh !  Non, nous n'y étions pas, quand notre général fit signifier un avenir aux ennemis !  Ils ne comparurent pas le dernier juillet, à une heure de relevée, pour plaider sur le champ de bataille !  Eh !  Non, non, nous n'y étions pas !"")",1.34,Substitution
159,,"('#cinthio', 'Oh, oh !  Voilà un style de guerre tout nouveau.')",1.0,Deletion
160,"('#colombine', 'Si vous ne me mariez, je sais bien ce que je ferai, moi. ')",,1.0,Insertion
161,"('#brocantin', ""Il faut bien qu'elle passe avant toi ; elle est ton aînée ; et afin de te mettre en état d'être bientôt mariée, elle épousera un honnête homme. "")","('#monsieur-croquignolet', ""La cause fut appelée, qui dura plus de huit heures ; mais en vertu de bonnes pièces de canon, dont nous étions porteurs, nous fîmes bien vite déguerpir l'ennemi.  Il voulut deux ou trois fois revenir par appel ; mais il fut toujours débouté de son opposition, et condamné en tous les dépens, dommages et intérêts, et aux frais, morbleu !  Aux frais...  Eh !  Y étions-nous ?  Eh !  Non, non, c'est que je me moque !"")",1.29,Substitution
162,"('#isabelle', 'Je le connais bien. ')",,1.0,Insertion
163,"('#brocantin', 'Bien fait. ')",,1.0,Insertion
164,"('#isabelle', ""Je l'ai vu. "")",,1.0,Insertion
165,"('#brocantin', 'Riche. ')","('#cinthio', ""Voilà, je vous l'avoue, un plaisant récit de combat.  Je vois bien, monsieur, que vous avez vu la bataille dans quelque étude de procureur."")",1.09,Substitution
166,"('#isabelle', 'Je le crois. ')",,1.0,Insertion
167,"('#brocantin', ""Monsieur Bassinet, médecin, enfin ; c'est tout dire. "")",,1.0,Insertion
168,"('#isabelle', 'Monsieur Bassinet !  Monsieur Bassinet ! ')",,1.0,Insertion
169,"('#brocantin', 'Comment donc !  Vous trouvez-vous mal ?  Du vinaigre, vite ! ')",,1.0,Insertion
170,"('#isabelle', ""J'ai bien du respect pour la médecine ; mais, avec votre permission, mon père, je n'épouserai point un médecin. "")",,1.0,Insertion
171,"('#brocantin', ""Avec votre permission, ma fille, vous l'épouserez.  Il ne faut pas, s'il vous plaît, que vous songiez à Octave ; j'ai appris que c'était un gueux, et je vais tout de ce pas l'envoyer chercher, pour lui dire qu'un autre lui a passé la plume par le bec.  Pierrot, Pierrot ! "")","('#le-valet', ""Je vais vous raconter cela bien mieux que mon maître ; car, entre nous, c'est un dadais.  Premièrement, voilà les ennemis, et nous voilà.  Le combat commença par les tambours ; à l'instant nous fîmes avancer nos vivandiers : les ennemis voyant cela, détachèrent cinq escadrons de leurs meilleurs voiliers.  Oh !  C'était là où nous les attendions ; car aussitôt on lâcha toutes les galères pour enfoncer leur demi-lune...  Après cela, la mousqueterie, pif, paf, Ah !  Je suis mort...  Les brûlots...  les canons...  les trompettes, qui étaient chargées à cartouches ; pan, bedon... don... les...  Je ne saurais vous dire le reste, car la fumée du canon m'empêcha de le voir."")",0.92,Substitution
172,"('#colombine', 'Allons, ma soeur, faites cela de bonne grâce, puisque mon père le veut. ')",,1.0,Insertion
173,"('#isabelle', ""Je vous prie, mon père, de ne me point donner ce chagrin, et ne m'obligez pas à épouser un homme pour qui je n'ai nulle estime. "")","('#cinthio', ""Voilà qui est le plus joli du monde.  Mais je vous prie, monsieur le vivandier, et vous, mon petit clerc de procureur, de passer votre chemin, et de ne pas regarder derrière vous : m'en tendez-vous ?"")",0.74,Substitution
174,"('#brocantin', ""Il n'y a qu'un mot qui serve ; il faut épouser monsieur Bassinet, ou un couvent.  Il vous viendra voir ; songez à le recevoir comme un homme qui doit être votre mari. "")","('#monsieur-croquignolet', ""Monsieur, prenez garde à ce que vous faites ; si Vous m'insultez... Il prend son épée et la lève."")",1.0,Substitution
175,"('#isabelle', 'Hé, mon père ! ')","('#cinthio', 'Hé bien ?')",1.64,Substitution
176,,"('#monsieur-croquignolet', 'Vous aurez affaire à mon valet. Il se cache derrière son valet.')",1.0,Deletion
177,"('#brocantin', 'Allons, dénichons ; point tant de caquet. ')",,1.0,Insertion
178,"('#isabelle', ""Voilà ma soeur qui a si envie d'être mariée ; que ne lui donnez-vous monsieur Bassinet pour mari ?  J'aime mieux lui céder mes droits, et qu'elle passe avant moi. "")","('#le-valet', 'Oh !  Ma foi, il aura bien affaire à vous ; je ne suis pas obligé de me faire tuer à votre place.')",1.02,Substitution
179,"('#colombine', ""Oh !  Ce n'est pas de même ; je suis votre cadette, et la raison qui veut que je ne me marie pas, veut que vous vous mariiez la première. "")","('#cinthio', ""Allez, mon petit ami, je ne daigne seulement pas vous répondre ; mais si vous jetez seulement les yeux sur cette fille-là, je vous ferai mourir sous le bâton. En s'en allant, il donne de ses gants dans le nez de Monsieur Croquignolet."")",1.37,Substitution
180,"('#brocantin', 'Pierrot ')","('#monsieur-croquignolet', ""Il s'en va pourtant...  Hé !  Que dis-tu à cela ?  Je ne lui ai pas mal rivé son clou."")",1.62,Substitution
181,"('#pierrot', 'Me voilà, monsieur. ')","('#le-valet', ""Oh !  Fort bien, monsieur.  Voilà ce que c'est que d'avoir été à l'armée."")",1.14,Substitution
182,"('#brocantin', ""Où diable es-tu donc toujours ?  Il faut que je m'égosille quatre heures. "")","('#isabelle', 'Hé bien, infidèle !  Me connais-tu présentement ?  Suis-je Isabelle que tu as trahie, que tu as obligée de quitter sa patrie pour venir te reprocher ton inconstance, et se déguiser en servante ?')",1.02,Substitution
183,"('#pierrot', ""Monsieur, j'étais avec cette femme qui marchande ces singes, et qui veut donner six écus du gros, parce qu'elle dit qu'il ressemble à son mari. "")",,1.0,Insertion
184,"('#brocantin', ""Laisse cela ; j'ai autre chose en tête.  Va me chercher Octave ; j'ai quelque chose de conséquence à lui dire. "")","('#cinthio', ""Je vous dis encore une fois que je ne vous connais point.  Isabelle n'est pas capable d'un pareil emportement, ni de se jeter à la tête de tout venant, comme moi-même je vous ai vue faire.  Vous vous moquez de moi."")",1.2,Substitution
185,"('#pierrot', 'Monsieur, je ne le trouve pas. ')",,1.0,Insertion
186,"('#brocantin', 'Animal !  Est-ce là ce que je te dis ?  Tiens, vois le logis.  Le butor !  Je vois bien que nous ne vivrons pas longtemps ensemble : je ne veux point de bête dans ma maison. ')","('#arlequin', ""Quel diable de bruit fait-on ici ?  On dirait que le diable emporte la maison.  Il me semble, monsieur, que vous pressez de près ma servante.  Croyez-vous donc que l'on soit obligé de vous tenir hôtellerie de filles ?  Ma foi, c'est pour votre nez qu'on vous en garde !"")",0.87,Substitution
187,"('#pierrot', 'Pardi, monsieur, il faut donc que vous en sortiez.  Il y a ici des scènes italiennes. ')",,1.0,Insertion
188,"('#colombine', 'Hé bien, mon pauvre Pierrot, as-tu porté ma lettre à monsieur le Vicomte ? ')",,1.0,Insertion
189,"('#pierrot', ""Assurément, et il m'a donné un petit mot de réplique."")","('#cinthio', ""Oh, oh !  Voilà un hôte bien rébarbatif ; je vois bien que cet homme-ci ne parle d'ordinaire qu'à des chevaux.  Monsieur, c'est un petit différend que j'avais avec Claudine ; je lui demandais quelque ustensile dont j'avais besoin."")",1.1,Substitution
190,"('#colombine', 'Eh !  Donne donc vite. ')",,1.0,Insertion
191,"('#pierrot', 'Malepeste !  Comme vous êtes âpre à la curée ! ')","('#arlequin', ""Comment donc !  Monsieur, pour qui prenez-vous ma servante ?  Je vous prie de croire que ce n'est pas un ustensile...  Ouais !"")",1.16,Substitution
192,"('#colombine', ""« L'amour est comme la gale, on ne le saurait cacher ; c'est ce qui fait que je vous irai voir aujourd'hui, ou je veux que la peste m'étouffe !  Le vicomte de Bergamotte » "")","('#cinthio', 'Sans tant de bruit, voyons, monsieur, ce que je vous dois.  Quand vous voudrez tenir hôtellerie, faites provision de servantes qui considèrent les gens de qualité.')",1.31,Substitution
193,"('#pierrot', 'Voilà un homme qui écrit bien tendrement. ')",,1.0,Insertion
194,"('#colombine', ""Il m'aime bien, car il me l'a dit, et j'espère que nous serons bientôt mariés ensemble.  Il n'y a qu'une chose qui m'embarrasse, c'est que je ne sais pas encore tout à fait ce que c'est que le mariage : ne pourrais-tu pas me le dire ? "")","('#arlequin', ""Comment donc, coquine !  D'où vient que monsieur se plaint de vous ?  Ne vous ai-je pas dit qu'une servante d'hôtellerie doit être douce et avenante aux étrangers ?"")",1.49,Substitution
195,"('#pierrot', ""Assurément ; il n'y a rien de si aisé : c'est comme qui dirait une chose...  Oh !  Vous ne pouviez jamais mieux vous adresser qu'à moi. "")","('#cinthio', ""Eh, monsieur !  Elle ne l'est que trop."")",0.93,Substitution
196,"('#colombine', 'Hé bien donc ? ')",,1.0,Insertion
197,"('#pierrot', ""C'est comme, par exemple, une chose où l'on est ensemble... Votre père... avait épousé... votre mère... ; ça faisait qu'ils étaient deux ; et comme çà, votre grand-père..., d'un côté..., la nature...  On ne saurait bien expliquer ce brouillamini-là.  Mais vous n'aurez pas été deux jours ensemble, que vous saurez toutes ces drogues-là sur le bout du doigt.  Ah, mademoiselle !  C'est monsieur le vicomte de Bergamotte.  On frappe à la porte. "")","('#arlequin', ""Comment !  Elle ne l'est que trop !  Ce n'est pas d'aujourd'hui que je m'en doute.  Voyez-vous la carogne, comme elle est brave !  Je ne l'avais prise que pour servir à la cuisine ; mais je vois bien que la friponne ne s'en tient pas là."")",1.05,Substitution
198,"('#colombine', 'Fais-le monter, Pierrot ; hé !  Vite.')",,1.0,Insertion
199,"('#le-fiacre', ""Çà, monsieur, de l'argent. "")","('#isabelle', ""Si je suis brave, ce n'est pas à vos dépens.  Est-ce que vous voulez que j'aille toute nue ?"")",1.69,Substitution
200,"('#le-vicomte', 'Va, va, mon ami, tu rêves : un homme de ma qualité ne paye pas plus dans les fiacres que sur les ponts. ')","('#arlequin', ""Oui, je le veux.  Une fille ne gagne pas tant d'argent à ne faire que des lits dans une hôtellerie."")",1.22,Substitution
201,"('#le-fiacre', 'Paye-t-on comme cela le monde ?  Vous ne me donnez pas un sou.')",,1.0,Insertion
202,"('#le-vicomte', ""Tu ne sais ce que tu dis, maraud.  Est-ce qu'un homme de ma qualité n'a pas toujours son franc fiacre ? "")",,1.0,Insertion
203,"('#le-fiacre', 'Mardi, monsieur !  Je veux être payé, ou par la sambleu !  Nous verrons beau jeu.')","('#isabelle', ""Il faut se tirer d'affaire. Et qu'ai-je donc fait pour faire tant de bruit ?  Ce beau monsieur-là est bien plaisant d'amener des filles dans notre hôtellerie pour le servir, et emporter tous nos profits ! Haut."")",1.03,Substitution
204,"('#le-vicomte', 'Insolent !  Tu te feras battre. ')",,1.0,Insertion
205,"('#le-fiacre', ""Insolent !  Je ne crains rien ; je veux être payé tout à l'heure.  Il enfonce son chapeau, et lève son fouet. "")","('#arlequin', ""Comment donc !  Est-ce qu'il y a un peu de gravelure à son fait ?"")",1.18,Substitution
206,"('#le-vicomte', ""Ah, ah !  Ventrebleu !  Il faut que je coupe les oreilles à ce coquin-là. Mademoiselle, prêtez-moi un écu ; je n'ai point de monnaie.  Il met la main sur la garde de son épée, comme s'il la voulait tirer. "")","('#isabelle', ""Il dit que c'est sa soeur.  Hé !  Oui, voilà encore une belle parenté !  Il ne passe point de monsieur dans l'hôtellerie dont je ne puisse bien être de même la soeur, si je voulais m'en donner la peine.  Oh bien, monsieur, je ne veux point souffrir qu'une autre prenne ma place."")",0.49,Substitution
207,"('#colombine', ""Monsieur, je n'ai point ma bourse sur moi ; mais je vais le faire payer. Holà, quelqu'un ! Qu'on paye cet homme-là.  Allez, allez, l'homme ; on vous contentera.  Au Fiacre. "")","('#arlequin', ""Claudine a raison, monsieur, cela ne se fait point : quand il y a une servante dans une hôtellerie, on ne doit se servir que d'elle ; et d'ailleurs Claudine est très habile in utroque, c'est-à-dire qu'elle fait aussi bien une chambre qu'un ragoût."")",1.01,Substitution
208,"('#le-vicomte', ""Ces marauds-là ne sont jamais contents. J'en ai déjà tué quinze ou seize ; mais je ne serai point satisfait que je n'en aie achevé le quarteron. "")","('#cinthio', ""Je conviens, monsieur, qu'elle sait parfaitement bien son métier de fille ; mais c'est une petite imprudente, qui sert au premier venu ce qu'elle ne devrait servir qu'à moi seul.  N'ai-je pas lieu de me plaindre ?"")",1.06,Substitution
209,"('#colombine', 'En vérité, monsieur le Vicomte, il faut bien vous aimer, pour vous regarder après une si longue négligence à me venir voir. ')","('#arlequin', ""Assurément, elle a tort.  Je vous dirai cependant, monsieur, qu'on est ici fort exact à donner aux compagnies ce qu'elles demandent.  Tout à l'heure encore, je n'ai pas voulu donner au coche un chat de garenne que le messager avait retenu.  D'où vient donc, coquine, que vous faites de ces impertinences-là ?"")",0.72,Substitution
210,"('#le-vicomte', ""Ma foi, mademoiselle, les heures d'un joli homme sont bien comptées.  Les femmes se pressent aujourd'hui ; elles savent que les quartiers d'hiver seront diablement courts cette année ; je n'ai pas un moment à moi. "")",,1.0,Insertion
211,"('#colombine', 'Et que faites-vous donc toute la journée ? ')",,1.0,Insertion
212,"('#le-vicomte', ""À peine ai-je quitté la toilette, qu'il faut aller dîner chez Rousseau.  Un officier ne peut pas être moins de cinq à six heures à table ; et avant qu'il ait fumé dix ou douze douzaines de pipes, il est heure de s'y remettre pour souper. "")","('#isabelle', ""Moi, servir à un autre ce que je vous ai promis ?  Dites monsieur, que vous n'avez pas voulu vous contenter de ce que vous aviez choisi vous-même, et que l'appétit vous est venu en mangeant."")",1.05,Substitution
213,"('#colombine', ""Quoi, monsieur !  Vous prenez donc du tabac comme ces vilains soldats ?  Fi !  Je ne pourrais jamais m'y accoutumer. "")","('#arlequin', ""Pardi, monsieur, si vous êtes si fantasque, il n'y a pas moyen de vous contenter."")",1.49,Substitution
214,"('#le-vicomte', ""Vous n'avez qu'à vous mettre cinq ou six mois dragon dans ma compagnie, vous fumerez de reste.  Bon !  Vous moquez-vous ?  Les gens du grand volume ont-ils d'autres occupations ?  C'est, morbleu !  Au feu d'une pipe qu'il faut qu'un homme de qualité allume sa tendresse. "")","('#isabelle', ""Voyez, je vous prie, si ce n'est pas assez pour le repas d'un homme seul je lui présente une jeune poularde, tendre, grasse jusqu'au bout des ongles, comme moi ; monsieur n'est pas content ; il en veut encore une autre."")",0.75,Substitution
215,"('#colombine', ""Eh !  Monsieur le Vicomte, avez-vous fumé aujourd'hui ? "")","('#arlequin', ""Diable !  Monsieur, comme vous y allez !  Il ne faudrait encore qu'un homme comme vous pour mettre toute une rôtisserie à feu et à sang."")",1.1,Substitution
216,"('#le-vicomte', ""Est-ce que j'y manque jamais ?  Mais j'ai la précaution, quand je vais en femme, de me rincer la bouche avec trois ou quatre pintes d'eau-de-vie.  Vous ne sauriez croire comme, après cela, on soupire tendrement.  Il fait un rot. "")","('#cinthio', ""Hé !  Ne la croyez pas.  Je me serais fort bien contenté de la poularde ; je ne suis pas si grand mangeur : mais je sais qu'on la présente à tout venant ; on l'a déjà servie sur vingt tables différentes, et je ne suis pas homme à m'accommoder du reste de toute la terre."")",1.09,Substitution
217,"('#colombine', ""Ah !  Fi, fi, monsieur le Vicomte !  Je n'aime point ces soupirs-là.  Les gens que je vois n'assaisonnent pas leurs douceurs de tabac et d'eau-de-vie. "")","('#arlequin', ""Ah !  Parbleu, monsieur, prenez garde s'il vous plaît à ce que vous dites ; je ne m'entends point à ce tripotage-là, et l'on ne sert chez moi que des viandes neuves.  Parlez, a-t-on jamais vu manger ici la même poularde deux fois ?"")",0.9,Substitution
218,"('#le-vicomte', ""C'est que vous ne voyez que des courtauds de boutique, ou des gens de robe.  Croyez-moi, la belle, il n'est rien tel que de s'accrocher à l'épée.  Les fastidieux personnages que vos robins !  Ont-ils le sens commun ?  Ils font l'amour par articles, comme s'ils dressaient un procès-verbal. "")","('#isabelle', ""Bon !  Ne voyez-vous pas bien que monsieur ne sait ce qu'il dit ?  Jamais personne n'y avait touché ; c'était une volaille délicate que j'avais pris soin d'élever, et que je nourrissais à la brochette avec autant de plaisir que si c'eût été moi-même ; elle faisait envie de manger à tous ceux qui la voyaient, et cependant je ne la gardais qu'à monsieur.  Allez, cela est bien vilain de reconnaître si mal les soins que l'on prend pour vous."")",1.22,Substitution
219,"('#colombine', ""C'est ce que je dis tous les jours à deux grands haquiers d'avocats, qui sont sans cesse autour de moi à me faire endêver. "")",,1.0,Insertion
220,"('#le-vicomte', ""Oh !  Ma foi, le plumet est en amour ce que la moutarde est à la sauce-robert ; il n'y a que cela de piquant. "")","('#arlequin', ""C'est peut-être que vous n'aimez pas la viande bardée ; une autre fois on vous la fera larder."")",1.25,Substitution
221,"('#colombine', ""Je ne sais pas pourquoi mon père a tant d'aversion pour les gens d'épée. "")",,1.0,Insertion
222,"('#le-vicomte', ""C'est que votre père est un sot. "")",,1.0,Insertion
223,"('#colombine', ""Il dit qu'ils sont tous débauchés, et qu'ils n'ont jamais le sou."")",,1.0,Insertion
224,"('#le-vicomte', ""Débauchés ?  Ha, ha !  Débauchés !  Ils aiment le vin, le jeu et les femmes ; mais, du reste, il n'y a point de gens mieux réglés.  Pour de l'argent, je crois, que tant que les femmes en auront, nous n'en manquerons guère. "")","('#cinthio', ""Bardé, lardé, cela m'est indifférent : quand les choses sont bonnes, je les trouve telles ; je ne m'y laisse point attraper."")",0.8,Substitution
225,"('#colombine', 'Je crois, monsieur le Vicomte, que, fait comme vous êtes, vous voyez bien des femmes de condition. ')",,1.0,Insertion
226,"('#le-vicomte', ""Je veux être déshonoré, vous êtes la seule bourgeoise avec qui je déroge ; mais, à vous parler franchement, toutes les femmes que je vois, au prix de vous, c'est, ma foi, de la piquette contre du vin de Sillery. "")","('#isabelle', 'Il faudrait, pour satisfaire le goût de monsieur, lui servir quelque vieille volaille racornie, quelque doyenne de basse-cour.  Oh !  Ce serait là le moyen de gagner ses bonnes grâces.')",1.06,Substitution
227,"('#colombine', ""Vous dites la même chose de moi quand vous êtes auprès d'une autre ?  Dites la vérité. "")",,1.0,Insertion
228,"('#le-vicomte', ""Si vous voulez que je vous parle sans fard, cela est vrai, et je vais, au sortir d'ici, à deux ou trois rendez-vous, où il faudra bien dire que vous êtes une guenon comme les autres.  Mais, à propos de guenon, quand nous marions-nous ensemble ?  Je suis diablement pressé.  Écoutez, il ne faut pas laisser morfondre l'amour d'un officier ; cela n'est pas de longue haleine.  Quel âge avez-vous bien ? "")","('#arlequin', 'Oh !  Parbleu, monsieur, si vous aimez la viande coriace, nous vous en donnerons tout votre soûl.')",1.46,Substitution
229,"('#colombine', ""Je ne sais pas ; mais mon père dit qu'il y a quatorze ans que ma mère était grosse de moi. "")",,1.0,Insertion
230,"('#le-vicomte', 'Quatorze ans !  Je ne croyais pas que vous eussiez vaillant plus de dix ou douze années. ')",,1.0,Insertion
231,"('#colombine', ""Vraiment !  J'ai bien plus que tout cela.  Vous croyez donc parler à une petite fille ?  Vous vous trompez.  Je sais déjà bien des choses : j'ai déjà lu cinq ou six comédies de Molière, et j'en suis au troisième tome de Cyrus ; je fais du point à la turque, et j'apprends à chanter. "")",,1.0,Insertion
232,"('#le-vicomte', 'Vous apprenez à chanter ?  Et qui est votre maître ? ')",,1.0,Insertion
233,"('#colombine', ""C'est un nommé l'Opéra. "")",,1.0,Insertion
234,"('#le-vicomte', 'Diable !  Un habile homme.  Oh !  Puisque vous savez chanter, il faut que vous me décochiez un petit air. ')","('#cinthio', 'Eh, monsieur !')",1.05,Substitution
235,"('#colombine', ""Ah, monsieur !  Je vous prie de m'excuser ; j'ai aujourd'hui quelque chose qui m'en empêche. "")",,1.0,Insertion
236,"('#le-vicomte', ""Qu'avez-vous donc ?  Est-ce que vous êtes enrhumée ?  Tenez, voilà du tabac en machicatoire ; il n'y a rien de si bon pour le rhume. "")","('#arlequin', ""J'ai une oie qui me sert depuis trois mois à faire mes soupes ; vous en aurez la fleur.  Il n'y a point encore eu de postillon assez hardi pour mettre la dent dessus."")",1.47,Substitution
237,"('#colombine', ""S'il n'y avait que cela, je ne laisserais pas de chanter. "")",,1.0,Insertion
238,"('#le-vicomte', ""Qu'avez-vous donc autre chose ? "")",,1.0,Insertion
239,"('#colombine', ""Je n'ai rien, c'est que... "")",,1.0,Insertion
240,"('#le-vicomte', 'Quoi donc ? ')","('#isabelle', ""Voilà justement l'affaire de monsieur."")",1.6,Substitution
241,"('#colombine', ""C'est que...  Voilà-t-il pas ?  Ces vilains hommes, ils veulent tout savoir.  C'est que ma voix ne paraît rien quand je n'ai pas mes fontanges argent et jaune. "")","('#arlequin', ""Allons, taisez-vous ; que je ne vous entende pas souffler ; rentrez là-dedans.  Je vois bien que monsieur ne se connaît pas mieux en servantes qu'en poulardes : on vous mettra une aile de boeuf sur le gril. Scènes italiennes."")",1.13,Substitution
242,"('#le-vicomte', 'Comme si les fontanges faisaient quelque chose à la voix !  Courage, mignonne ; je vous soufflerai, en tout cas. ')",,1.0,Insertion
