,dancourt-metempsychose,dufresny-adieux-des-officiers,Cost,Operation Type
127,"('#faunus', ""Comment donc ! Que dois-je penser ?  Quel trouble soudain vous agite ?  Vous que le départ d'un amant  Vient de toucher si faiblement ? "")","('#mars', ""Je vois bien qu'il faut quitter la place.  Voilà un grand brutal."")",1.16,Substitution
128,"('#corine', ""L'absence d'un amant me gêne,  Je m'en défendrais vainement ;  C'est ce qui fait toute ma peine. "")",,1.0,Insertion
129,"('#faunus', ""Ce n'est donc pas apparemment  Celui qui part en ce moment. "")",,1.0,Insertion
130,"('#corine', ""Sans vouloir chercher à connaître  L'amant à qui les Dieux ont soumis ma fierté,  Laissez-moi m'affranchir de ma captivité :  Souffrez que de ces lieux je puisse disparaître,  Ce sera servir votre maître  Que de me rendre la liberté. "")",,1.0,Insertion
131,"('#faunus', 'Par tous vos beaux discours je ne suis point tenté. ')",,1.0,Insertion
132,"('#corine', ""Vous êtes insensible aux douleurs d'une amante ? "")",,1.0,Insertion
133,"('#faunus', ""M'en laisser émouvoir serait trop hasarder,  Sans adieu. Voilà votre tante,  Je m'en vais redoubler mes soins pour vous garder. "")","('#venus', 'Je ne verrai donc plus auprès de moi, que ce magot ?  Vous me quittez ?  Ah !')",0.74,Substitution
134,"('#corine', ""Je perds tous les soins que je tente,  Mérope vient, elle sait mes secrets,  Et n'est point dans mes intérêts. "")",,1.0,Insertion
135,"('#junon', ""Qu'avez-vous, ma chère Corine ?  Je vous trouve rêveuse, inquiète, chagrine.  Pourquoi d'un riche Amant méprisez-vous les voeux ?  Votre fierté déjà l'écarte de ces lieux,  On dit qu'un autre objet l'enchaîne. "")",,1.0,Insertion
136,"('#corine', ""Hé ! Pourquoi s'éloigner ! Sans me faire de peine  Il pouvait l'aimer à mes yeux. "")",,1.0,Insertion
137,"('#junon', 'Vous êtes donc pour lui bien peu sensible ? ')",,1.0,Insertion
138,"('#corine', ""On ne peut l'être moins, ma tante, assurément. "")",,1.0,Insertion
139,"('#junon', 'Comment, ma nièce, est-il possible ?  Il vous aime si tendrement :  Il a tant de bien en partage,  Il vous en fera part si libéralement ? ')",,1.0,Insertion
140,"('#corine', ""Ah ! Qu'il en fasse un autre usage.  Ses offres, ses présents, de sa part tout m'outrage.  C'est assez qu'il ait cru pouvoir impunément  M'adresser un indigne hommage,  Sans craindre mon ressentiment. "")","('#mars', ""Il faut bien lui faire un peu d'amitié, pour le disposer à vous bien traiter en mon absence.  Je le hais comme tous les diables... Adieu, mon cher ami Vulcain, je suis fâché d'être obligé de vous quitter. À Vulcain. Il l'embrasse."")",0.71,Substitution
141,,"('#vulcain', 'Ah, monsieur ! Il lui laisse tomber son marteau sur les pieds.')",1.0,Deletion
142,"('#junon', 'Si de retour de son voyage,  Il vous venait sincèrement  Vous demander en mariage,  Le refuseriez-vous, ma nièce ? ')",,1.0,Insertion
143,"('#corine', 'Absolument. ')",,1.0,Insertion
144,"('#junon', ""Dans l'espoir même du veuvage ? "")",,1.0,Insertion
145,"('#corine', ""Dût-il ne vivre qu'un moment. "")",,1.0,Insertion
146,"('#junon', ""Que je te sais bon gré d'un pareil mouvement !  Et quelle joie est égale à la mienne !  Dans ces bons sentiments que le Ciel t'entretienne.  Approche-toi. Viens çà. Que cet embrassement  De tes chagrins te récompense.  Il faudra pendant son absence  Faire tous nos efforts pour nous sauver d'ici. "")",,1.0,Insertion
147,"('#corine', ""Qu'heureusement enfin je retrouve ma tante :  C'est là l'unique espoir qui flatte mon attente. "")",,1.0,Insertion
148,"('#junon', ""C'est le plus grand bonheur dont je me flatte aussi. "")",,1.0,Insertion
149,"('#corine', ""Mais comment pourrons-nous assurer notre fuite ?  Ma chère tante, où sommes-nous ?  Des inconnus en ces lieux m'ont conduite  Malgré moi, presque malgré vous.  Ce séjour est-il prêt ? Est-il loin de Larisse ? En nous sauvant, où fuir ? Où nous cacher ?  Quel asile irons-nous chercher ? "")","('#mars', ""Hai !  Au moins je vous recommande de veiller un peu à la conduite de madame votre épouse, pendant mon voyage.  Si vous voulez conserver sa réputation et la vôtre, gardez-vous bien de laisser entrer chez vous tous ces petits demi-dieux blondins et court-vêtus, qui n'attendent que mon départ pour venir fondre ici. "")",0.73,Substitution
150,"('#junon', ""Que notre dessein réussisse,  Je te réponds d'un asile assuré. "")",,1.0,Insertion
151,"('#corine', ""Nous n'y serons jamais assez tôt à mon gré. "")",,1.0,Insertion
152,"('#junon', ""Avant qu'il soit peu je t'y mène. "")",,1.0,Insertion
153,"('#corine', 'Ma tante, verrons-nous Philène ? ')",,1.0,Insertion
154,"('#junon', ""Philène ? Il est jeune et charmant,  J'aime à te voir l'aimer si tendrement. "")",,1.0,Insertion
155,"('#corine', ""Que mon absence lui fait peine !  Hélas ! Ma tante, en ce moment,  Peut-être me croit-il volage.  Son coeur souffre un cruel tourment.  Il faut que mon retour au plutôt le soulage.  Aux Autels de l'Amour nous avons fait serment  De nous aimer fidèlement.  Nous nous sommes donné nos portraits pour otage  D'un mutuel attachement.  Accordez-nous votre suffrage,  Et rendez heureux cet Amant. "")","('#vulcain', ""Ma foi, monsieur Mars, un plumet comme vous décrie plus une femme en huit jours d'été, que tous ces messieurs-là en tout un hiver.  Mais baste, un peu d'honneur plus_ou_moins dans une famille, cela ne vaut pas la peine de se brouiller avec un ami tel que vous. "")",1.14,Substitution
156,"('#junon', ""Je réponds de l'événement,  Va m'attendre dans ce bocage. "")","('#mars', 'À propos, ma rondache est-elle achevée de polir.')",1.49,Substitution
157,"('#corine', 'Je compte sur vous, ma tante, absolument. ')",,1.0,Insertion
158,"('#junon', ""Enfin sous ce déguisement  Ma rivale me croit sa tante.  Je sais son secret sentiment :  Junon, tu dois être contente ;  Et ton perfide époux n'a point touché son coeur.  Elle est pourtant la victime innocente  D'une trop vive et jalouse fureur,  Si Bacchus à propos ne m'avait avertie,  Que ni lui ni l'Amour n'étaient de la partie.  Jupiter et l'Amour sont brouillés, que je crois.  Assez souvent ensemble ils ont querelle :  Profitons-en, l'occasion est belle.  Pour l'engager à travailler pour moi,  Approchez, Amour. "")","('#vulcain', 'Vous avez ici des armes à choisir. Vénus et les amours arment Mars.')",1.12,Substitution
159,"('#l-amour', 'Ciel ! Est-ce Junon ? ')",,1.0,Insertion
160,"('#junon', ""C'est elle. "")",,1.0,Insertion
161,"('#l-amour', 'Dans cet équipage nouveau,  Pardonnez, si pour vous connaître,  Il a fallu quitter tout-à-fait mon bandeau.  Sous ce déguisement qui vous force à paraître ?  Pourquoi vous travestir ainsi ? ')",,1.0,Insertion
162,"('#junon', ""De la tante de Corine  J'ai pris l'habillement, la figure et la mine,  Afin de m'introduire ici ;  Et cependant d'abord vous m'avez reconnue. "")",,1.0,Insertion
163,"('#l-amour', ""Je ne suis pas si aveugle que l'on dit ;  Sans le bandeau j'ai bonne vue,  Avec le bandeau bon esprit. "")",,1.0,Insertion
164,"('#junon', ""J'ai, sans en avoir fait aucune expérience,  Très bonne opinion de votre habileté.  Mais que vois-je avec vous ? N'est-ce pas l'Inconstance ? "")","('#mars', 'Monsieur mon compère, ne prenez pas la peine...')",1.4,Substitution
165,"('#l-amour', ""Elle ne m'a que rarement quitté,  Non plus que sa soeur la Folie. "")","('#vulcain', ""Il est bien juste que je vous coiffe par droit de représailles. Mars s'en va."")",1.79,Substitution
166,"('#junon', 'Vous menez avec vous fort bonne compagnie. ')","('#venus', ""Tu veux bien que j'aille le conduire jusqu'au Bourget."")",1.59,Substitution
167,"('#l-amour', ""Lui plaire est notre unique loi :  Nous le servons avec un zèle extrême :  Nous sommes les soutiens de son pouvoir suprême,  Ma soeur conseille, et j'exécute, moi. "")","('#vulcain', ""Non, non, j'irai bien moi-même."")",1.47,Substitution
168,"('#junon', ""Il a vraiment en vous deux excellents ministres.  Après cela je ne m'étonne pas  De tant d'événements sinistres  Qu'on voit là-haut comme ici-bas. "")",,1.0,Insertion
169,"('#l-inconstance', ""Doucement, s'il vous plaît, Déesse ;  Gardez de la mettre en courroux.  Dans le soin qui vous intéresse,  Vous pourriez bien avoir besoin de nous. "")","('#venus', 'Tu viens de nous dire que tu as de la besogne pressée ? ')",1.3,Substitution
170,"('#junon', ""Oui, de vous, il est vrai, vous m'êtes nécessaire ;  Mais l'Inconstance ici pourrait me déranger,  À peu de frais elle peut m'obliger,  En ne se mêlant point du tout de cette affaire. "")","('#vulcain', ""Le plus pressé de ma besogne c'est de le faire partir promptement. Songez seulement aux soins de votre ménage ; et pendant mon absence, mettez la paix entre vos deux enfants, qui se mangent le blanc des yeux ensemble. "")",0.82,Substitution
171,"('#l-inconstance', ""Dans cette occasion il faudrait m'engager,  Pour le moins, Déesse à me taire.  Et quand de votre Époux vous voulez vous venger,  Votre projet a besoin du mystère. "")","('#cupidon', 'On a bien de la peine à trouver le moment  De vous dire un mot seulement.')",1.54,Substitution
172,"('#l-amour', ""Il faut faire encor plus, si vous me voulez plaire,  Corine aime un jeune Berger,  Le Berger aime la Bergère.  Gardez de les faire changer ;  Respecter l'ordre que je donne :  N'approchez jamais de leur coeur,  Exécutez à la rigueur  Tout ce que l'Amour vous ordonne. "")",,1.0,Insertion
173,"('#l-inconstance', 'Vous serez obéi, Seigneur. ')","('#venus', ""M'a-t-on vu quelquefois refuser audience  À l'amour ? "")",1.36,Substitution
174,"('#l-amour', ""Voyez à vous servir combien je m'intéresse,  J'en fais mon plaisir le plus doux.  Cependant à parler franchement entre nous,  Nous nous connaissons peu, Déesse,  Et je n'ai presque point eu d'affaire avec vous. "")","('#cupidon', ""Rarement. Mais j'ai trop de prudence  Pour paraître quand votre époux  Est en affaire avec vous.  Je parlerais en vain. "")",0.23,Substitution
175,"('#junon', ""Presque point ? Retranchez, de grâce,  Ce terme-là de vos discours,  Il n'est point du tout à sa place.  Est-il quelque vertu que la mienne n'efface ?  Je n'ai jamais fréquenté les Amours. "")","('#venus', ""Qu'avez-vous à me dire ?  Comment va l'amoureux empire ? "")",1.0,Substitution
176,"('#l-amour', 'Vous avez perdu de beaux jours. ')",,1.0,Insertion
177,"('#junon', ""Je n'en regrette point la perte. "")","('#cupidon', ""Toujours de pis en pis, grâce à mon frère aîné.  C'est un amour si mal morigéné. "")",1.27,Substitution
178,"('#l-amour', ""L'occasion d'aimer n'arrive pas toujours,  Je vous l'ai quelquefois offerte ;  La sagesse chez vous devrait finir son cours.  Si je l'ai trop longtemps soufferte,  D'un excès de fierté je me lasse à la fin,  Tôt ou tard j'en prendrai vengeance.  Il est réglé par le destin  Que tous les coeurs sentiront ma puissance :  Dans le vôtre sans résistance,  Laissez-moi prendre un droit qui m'est certain. "")","('#venus', ""Je sais qu'il est sans politesse,  Sans agrément et sans adresse :  Aussi n'est-ce pas lui  Qui dispose aujourd'hui  De la belle tendresse.  Vous avez tous les traits, dont la délicatesse  Charme le coeur, en lui donnant des lois,  Et je n'ai mis dans son carquois  Que ces vieux traits rouillés, dont la pointe émoussée  Conclut l'amour par l'hyménée. "")",0.02,Substitution
179,"('#junon', ""Quitter un style si badin,  Comptez, Amour, que Junon s'en offense. "")",,1.0,Insertion
180,"('#l-amour', 'Votre peu de complaisance,  Devrait être payé par un pareil dédain. ')",,1.0,Insertion
181,"('#junon', ""Dédain, soit. Mais qu'enfin mon projet réussisse ;  Il faut sans intérêt me rendre ici service,  Pour faire enrager mon époux,  Épouser mes transports jaloux. "")","('#cupidon', ""Vraiment, l'hymen et lui  Sont bien mal ensemble aujourd'hui.  C'est un gros débauché, qui m'ôte mes pratiques :  Il dégoûte les coeurs des galantes rubriques  Qui doivent au bonheur disposer le terrain :  Il conduit les amants par le plus court chemin.  Il me prévient partout, disant que c'est l'usage.  Et quand ses traits ont achevé l'ouvrage,  Vous savez que les miens ne servent plus de rien. "")",0.13,Substitution
182,"('#l-amour', ""Ce serait vous servir d'office.  Tout coup vaille, à Plutus sur moi  Il a donné la préférence.  Mais je serai vengé ; car j'en jure, ma foi,  Il en verra la différence.  Depuis un temps presque en toutes les Cours,  Il semble aux gens qui sont dans l'opulence,  Pour réussir dans leurs amours,  Qu'il ne leur faut l'appui que du Dieu des richesses,  C'est à lui seul qu'ils ont recours ;  Et pour toucher les coeurs de leurs maîtresses,  Ils pensent n'avoir pas besoin de mon secours.  Je leur ferai bien sentir le contraire,  Et l'on n'a qu'à me laisser faire.  D'un violent dépit je me sens animer,  Je ne puis faire que les belles  À qui l'on donne soient cruelles.  L'éclat de l'or peut les charmer,  Et l'exemple le justifie.  Mais, Messieurs les donneurs, parbleu je vous défie,  Sans moi de réussir à vous en faire aimer,  Il faut que Jupiter l'éprouve.  Il s'est d'un jeune objet follement entêté ;  Je veux qu'à son retour il trouve  Son projet pour elle avorté. "")","('#venus', ""Mon fils, je sais un moyen  Pour rétablir tes droits. C'est d'ordonner aux belles,  D'être cruelles  Seulement jusqu'à trente ans,  Pour donner le loisir à nos jeunes amants  D'apprendre l'art de la galanterie. "")",0.43,Substitution
183,"('#junon', ""Qu'à ce ressentiment Junon est redevable ?  Vous remplirez ainsi mes souhaits les plus doux. "")",,1.0,Insertion
184,"('#l-amour', ""Oui. Mais d'un Dieu puissant je brave le courroux ;  Que ferez-vous pour moi, quand je fais tout pour vous ?  En deviendrai-je à vos yeux plus aimable ?  Lorsque vos voeux seront comblés,  Serez-vous toujours intraitable ? "")","('#cupidon', ""Quoi, vous croyez... Mais j'aperçois mon frère.  Je le laisse avec vous, prenez un air sévère.  Il s'en va."")",1.15,Substitution
185,"('#junon', 'Hélas ! ')",,1.0,Insertion
186,"('#l-amour', 'Hé quoi ! Vous vous troublez ! ')",,1.0,Insertion
187,"('#junon', 'Laissez-moi. ')",,1.0,Insertion
188,"('#l-amour', 'Déesse adorable,  De grâce, expliquez-vous, parlez. ')","('#venus', ""Pour un amour l'attitude est nouvelle. "")",1.31,Substitution
189,"('#junon', ""Je crains d'être trop pitoyable. "")",,1.0,Insertion
190,"('#l-amour', ""Que faut-il que j'espère ? "")",,1.0,Insertion
191,"('#junon', ""Allez,  Vengez-moi d'un Époux coupable,  Tout réussit toujours quand vous vous en mêlez. "")",,1.0,Insertion
192,"('#l-amour', ""Pour vous plaire, il n'est rien dont je ne sois capable ;  Et vous reconnaîtrez mes soins, si vous voulez. "")",,1.0,Insertion
193,"('#junon', 'Si de mes intérêts vous prenez la conduite,  Je compte sur la réussite.  Mais Faunus vient chercher Corine dans ces lieux,  Sous ces traits empruntés il faut tromper ses yeux. ')",,1.0,Insertion
194,"('#faunus', 'Comment donc, Madame la tante !  Pourquoi me devancer ainsi ?  Vous me semblez vraiment bien diligente,  Je vous quitte là-haut, et vous retrouve ici. ')","('#cupidon', ""Dieu vous garde, la maman : je vous trouve bien belle  Aujourd'hui. "")",0.97,Substitution
195,"('#junon', ""À force de courir, j'ai perdu presque haleine.  De Corine j'étais en peine. "")",,1.0,Insertion
196,"('#faunus', ""J'en étais presque en peine aussi.  C'est ici que je l'ai laissée. "")","('#venus', ""Réponds-moi, qu'as-tu fait du flambeau  Que je t'avais donné ; ton carquois, ton bandeau :  As-tu vendu tout l'équipage ? "")",1.32,Substitution
197,"('#junon', ""Bien promptement elle s'est éclipsée.  Je crains… "")",,1.0,Insertion
198,"('#faunus', ""C'est vainement que vous vous alarmez,  Et ces Jardins sont bien fermés.  Sans une puissance divine  On ne saurait pénétrer en ce lieu,  Et je ne pense pas qu'un Dieu  Songe à nous enlever Corine. "")",,1.0,Insertion
199,"('#junon', ""Comme vous je me l'imagine ;  Mais afin d'adoucir un peu  Le chagrin qu'elle a de l'absence  De l'Amant qui la tient ici sous sa puissance… "")",,1.0,Insertion
200,"('#faunus', ""Ce qu'elle en fait paraître n'est qu'un jeu,  Je sais ce qu'il faut qu'on en pense. "")",,1.0,Insertion
201,"('#junon', ""Moi, j'en juge par l'apparence,  Et voudrais que, de votre aveu,  On fit effort pour la distraire  Des dangereux égarements  Qui me paraissent trop lui plaire. "")",,1.0,Insertion
202,"('#faunus', ""Oui, voilà le noeud de l'affaire ;  J'entre dans tous vos sentiments,  On l'a confié à ma garde. "")",,1.0,Insertion
203,"('#junon', 'Ce soin comme vous me regarde. ')",,1.0,Insertion
204,"('#faunus', ""Elle a pour s'échapper quelque mauvais dessein. "")",,1.0,Insertion
205,"('#junon', 'Peut-être… Ma franchise à moi vous est connue ? ')","('#cupidon', 'Vendu, moi !')",0.65,Substitution
206,"('#faunus', ""Pour cela, oui, j'en suis certain.  Mais je la vois paraître au bout de l'avenue.  Songeons à l'amuser, sans la perdre de vue. "")",,1.0,Insertion
207,"('#junon', 'Pour nous tromper tous deux, il faut être bien fin. ')",,1.0,Insertion
208,"('#faunus', 'Et se lever de bon matin. ')","('#venus', 'Que fait-on ? ')",1.72,Substitution
209,"('#junon', ""Je vois dans ces bosquets la véritable tante,  Disparaissons. Il serait dangereux  Qu'ici Faunus nous vît ensemble toutes deux,  Ses soupçons troubleraient le dessein que je tente ;  Mais une musique galante  Des plus doux sons fait retentir les airs ;  De Nymphes, de Bergers, une troupe charmante,  Forme ces aimables concerts.  Avec eux déguisé, l'Amour conduit la Fête,  Invisible et présente à tout,  Attendons en repos le succès qu'il m'apprête :  Est-il quelque projet dont il ne vienne à bout. "")","('#cupidon', ""Non, je l'ai mis en gage Pour avoir du vin vieux Le nectar a manqué dans la cave des dieux ; Et depuis que Bacchus en ville tient taverne, Il vend cher son vin de Falerne."")",0.86,Substitution
210,"('#l-amour', ""Animez-vos d'un nouveau zèle,  Formez ici d'aimables jeux,  N'entendez-vous pas qu'en ces lieux  L'Amour lui-même vous appelle.  ENTRÉE de Philène et de Philis. "")","('#venus', 'Le cabaret, ivrogne, est-il pour les amours ? ')",1.35,Substitution
211,"('#faunus', ""Bergers, trouvez bon qu'en ces lieux,  On prenne part à vos aimables jeux. "")","('#cupidon', 'Les dames y sont tous les jours. ')",1.12,Substitution
212,"('#corine', ""J'ai revu mon Berger, Philène, il m'est fidèle ? "")",,1.0,Insertion
213,"('#philene', 'Je retrouve Corine, ô Berger trop heureux ! ')",,1.0,Insertion
214,"('#merope', 'Philène ici ? Quelle surprise ! Ah Dieux ! ')","('#venus', 'Oh, que tu sens le vin ! ')",1.26,Substitution
215,"('#philene', 'En la voyant mon feu se renouvelle. ')",,1.0,Insertion
216,"('#merope', 'Sans faire aucun éclat, observons-les tous deux. ')",,1.0,Insertion
217,"('#philene', ""Amour, tu me la rends plus belle,  Rends-la constante et sensible à mes feux :  J'en suis sûr, et je lis mon bonheur dans ses yeux.  La constance ici tient sa cour,  Les chagrins, les peines cruelles,  N'approchent point de cet heureux séjour ;  C'est un domaine de l'Amour,  Qui n'est ouvert qu'aux coeurs fidèles.  Il chante."")","('#cupidon', ""............  Depuis que je m'enivre,  Notre négoce en va bien mieux :  L'on aime à voir briller mon flambeau dans mes yeux :  La force du bon vin fait toute ma puissance,  Et j'attaque les coeurs en remplissant la panse.  Quelle fierté pourrait sur la fin d'un repas,  Résister aux appas  De ma trogne vermeille ?  J'embrase plus de coeur avecque ma bouteille,  Que ce petit marmot  Avec son falot.  Il chante."")",0.0,Match
218,"('#philis', ""L'Amour est un Dieu charmant,  Dont le pouvoir s'étend sur tout ce qui respire.  Ne craignons point de prendre un tendre engagement ;  Quand c'est l'Amour qui nous l'inspire,  On est heureux sous son empire,  Lorsqu'on sait aimer constamment. "")",,1.0,Insertion
219,"('#philis #philene', ""Ne quittons point ces aimables retraites ;  C'est pour les coeurs constants qu'elles sont faites ;  Passons ici nos plus beaux jours,  Éloignons-en les volages amours. "")","('#venus', ""Si tu ne sais vaincre les belles,  Qu'en faisant débauche avec elles,  Infâme, va régner dans les treize Cantons,  Ou sur les bas Bretons. "")",0.71,Substitution
220,"('#philis #tircis', ""Ne quittons point ces aimables retraites ;  C'est pour les coeurs constants qu'elles sont faites ;  Passons ici nos plus beaux jours,  Éloignons-en les volages amours.  Pendant cette reprise, Faunus et Mérope parlent bas ensemble ; et quand l'air est fini."")",,1.0,Insertion
221,"('#faunus', 'Comment donc, vous croyez ici faire les maîtres ?  Allez ailleurs passer vos plus beaux jours,  Dans vos hameaux ou sous vos hêtres :  Vous en pourrez chasser les volages Amours,  Mais ne revenez pas en ces lieux davantage. ')",,1.0,Insertion
222,"('#philene', 'Nous avons cru vous divertir. ')",,1.0,Insertion
223,"('#merope', 'Le beau régal ! Prenez un parti sage Et dépêchez-vous de partir. ')",,1.0,Insertion
224,"('#corine', ""Mon amant n'est point volage,  Notre amour est en sûreté. "")",,1.0,Insertion
225,"('#merope', ""Qu'est-ce à dire ? "")",,1.0,Insertion
226,"('#faunus', ""Rentrons, nous. Ces gens de Village  Sur l'amour, la fidélité,  Tiennent toujours un sot langage,  Et qui ne convient point aux gens de qualité. "")",,1.0,Insertion
227,"('#corine', ""Tout m'est suspect ici, comme j'y suis suspecte,  En m'outrageant, on m'y respecte ;  On lit dans mes regards, on observe mes pas.  La tranquillité que j'affecte,  Fait naître des soupçons qu'elle ne détruit pas.  Avec un peu trop d'imprudence,  D'une tendre et fidèle ardeur,  À mon Argus j'ai fait la confidence ;  Et ma tante n'a feint d'approuver ma constance,  Que pour mieux pénétrer les secrets de mon coeur,  En quel état suis-je réduite ?  Amour ce coeur se livre à toi :  Déterminée à suivre aveuglément ta loi,  Je m'abandonne à ta conduite ;  Philène a mon coeur et ma foi,  L'ardeur de son rival et me gêne et m'irrite,  Son retour seul m'inspire un juste effroi.  Daigne, loin de ces lieux faciliter ma fuite,  Ou que mon Berger à ta suite,  Amour comme tantôt se montre devant moi. "")","('#cupidon', ""Vive, vive Paris, pour les amours bachiques :  Mon frère s'y fat des pratiques,  Mais, ma foi, depuis peu  Le petit fat n'a pas beau jeu.  Les coeurs y sont si durs, que ses petites flèches,  N'y sauraient faire brèches  L'acier en est trop fin.  Pour moi, quand j'ai trempé celle-ci dans le vin,  Je suis très sûr de ma conquête. "")",0.08,Substitution
228,"('#merope', ""Comment donc, vous parlez toute seule, ma nièce !  Les yeux au Ciel et pleine de ferveur,  Je ne sais à quel Dieu la prière s'adresse ?  Mais elle est faite avec ardeur. "")",,1.0,Insertion
229,"('#corine', ""Vous ne vous trompez point, ma tante,  J'adressais mes voeux à l'Amour,  Je le conjurais qu'en ce jour  Il voulût me rendre contente ;  Et vous-même tantôt paraissiez vous prêter  À tout ce qui peut me flatter. "")",,1.0,Insertion
230,"('#merope', ""Je m'y prête, il est vrai, parce que je vous aime,  Et le ne comprends pas quelle fatalité  Vous y fait résister vous-même. "")",,1.0,Insertion
231,"('#corine', ""Je n'ai point d'autre objet, ma tante, en vérité,  De mes sentiments informée,  Vous-même ici tantôt les aviez approuvés,  Je m'en tenais heureuse, et mon âme charmée… "")",,1.0,Insertion
232,"('#merope', 'Allez, ma nièce, vous rêvez. ')",,1.0,Insertion
233,"('#corine', ""Je vous ai déclaré la haine  Que j'ai pour ce nouvel Amant. "")",,1.0,Insertion
234,"('#merope', ""Et j'approuvais cela, moi, ma nièce ? "")",,1.0,Insertion
235,"('#corine', 'Oui, vraiment.  Je vous ai découvert mon amour pour Philène. ')",,1.0,Insertion
236,"('#merope', ""Je l'approuvais aussi peut-être ? "")",,1.0,Insertion
237,"('#corine', 'Assurément. ')",,1.0,Insertion
238,"('#merope', 'De sa première ardeur son âme est toujours pleine. ')",,1.0,Insertion
239,"('#corine', 'Comme moi sensible à la peine,  Que me fait son éloignement,  Vous me devez aider à sortir de la chaîne  Qui me retient esclave en ces lieux. ')","('#venus', ""C'est une trahison que d'attaquer la tête,  Lorsqu'on veut affaiblir le coeur"")",1.57,Substitution
240,"('#merope', ""Justement,  J'aurais donc perdu sens, esprit et jugement,  Depuis que de l'aveu de toute la famille,  Orpheline et petite fille,  Vous fûtes commise à ma foi,  J'ai toujours eu pour but votre fortune, et crois  N'avoir rien négligé de ce qui la peut faire,  À mon exemple il faut vous en faire une loi,  Un riche Amant cherche à vous plaire  Sans parler d'épouser, d'abord cela fait peur ;  Et la chose n'est pas dans la règle ordinaire.  On le prend pour un Sénateur,  Pour ne pas s'expliquer en soupirant vulgaire :  Et c'est ce qui fait votre erreur.  Sans manquer au devoir il est une manière  De s'accorder à son humeur,  Il ne faut être en pareille matière,  Ni trop facile, ni trop fière.  Par des refus adroits on irrite l'ardeur ;  Si l'Amant devient téméraire,  On le contient par la pudeur :  S'il se plaint de trop de rigueur,  Un tendre regard la modère :  S'il est humble, timide, un sourire flatteur  L'anime, et lui dit qu'il espère.  Enfin, pour s'assurer un coeur,  Qui doit faire notre bonheur,  Il est, ma chère enfant, un petit savoir-faire,  Dont on peut se servir, sans blesser son honneur.  Par les appas d'une feinte tendresse  Un Amant se laisse amuser,  La moindre petite caresse  Faite à propos, suffit pour l'abuser.  Du portefeuille ainsi on se rend la maîtresse ;  L'Amant qui court après est forcé d'épouser.  Voilà comme il faut vous conduire,  Pour assurer votre fortune un jour.  Écoutez la raison, faire taire l'amour,  Vous êtes jeune, et l'on peut vous instruire. "")","('#cupidon', ""J'ai fait ces trahisons à des femmes d'honneur,  Qui ne m'ont point puni de les avoir trahies. "")",0.91,Substitution
241,"('#corine', ""Ma tante que m'osez- vous dire ?  Quels préceptes ? Quel changement ?  Vous me parliez tantôt ici tout autrement.  Dans quel trouble nouveau votre discours me plonge !  Je croyais voir par vous mon bonheur achevé :  Est-ce que je rêve ? Est-ce un songe ? "")",,1.0,Insertion
242,"('#merope', ""Non, vous ne rêvez pas, mis vous avez rêvé ;  Sortez de cette rêverie,  Et songez qu'il n'est point de Philène pour vous :  Suivez mes conseils, je vous prie,  Votre nouvel Amant deviendra votre Époux.  De vos regards que l'autre se bannisse,  Il faut que son amour finisse,  Pour n'essuyer pas le courroux  D'un rival puisant et jaloux. "")","('#venus', 'Taisez-vous, je ne puis entendre vos folies.  Retirez-vous, voici un laquais de Plutus. Que me veut-il ?  Cupidon se retire.')",0.32,Substitution
243,"('#corine', 'Nous braverons tous deux son pouvoir, sa colère. ')",,1.0,Insertion
244,"('#merope', ""Et c'est justement ce qu'il ne faut pas faire.  Que l'on a peu d'esprit dans la jeune saison !  On n'est que feu, que pétulance,  On ferme par impertinence  Les yeux à l'intérêt, l'oreille à la raison :  De l'amour à longs traits l'on suce le poison.  Comme vous dans mon temps, j'ai fait même sottise :  Mais quoi ? Je n'avais pas un conseil aussi bon,  Je me conduisais à ma guise.  Eu suis-je mieux ? En ai-je mieux fait ? Non.  La beauté, du Ciel est un don  Dont il faut se servir tandis qu'elle est de mise,  Si j'avais su ce que je sais,  Je serais à présent grand-Dame ;  De mon mari jamais je n'eusse été la femme,  Mes premiers feux auraient été bien mieux placés.  De bons partis s'offraient assez,  Je les refusai tous. D'une amoureuse flamme,  Votre oncle avait rempli mon âme ;  De tous mes soins lui seul était l'objet :  J'étais pour lui d'amour toute troublée,  Je crois que le pendard m'avait ensorcelée :  L'aimer, lui plaire était mon unique souhait,  Et du bonheur le plus parfait  En l'épousant je me croyais comblée :  J'en fus au désespoir dès que cela fut fait,  Par cet exemple-là vous devez être instruite. "")",,1.0,Insertion
245,"('#corine', ""Aussi je le veux suivre en tout exactement,  Vous avez aimé tendrement,  Vous voyez que je vous imite,  Jusqu'à la fin j'aurai même conduite.  J'en fais tout mon bonheur, tout mon attachement ;  Je prétends comme vous épouser mon Amant ;  Si par hasard j'en ai du chagrin dans la suite,  Pour m'en désespérer n'en serai-je pas quitte ? "")",,1.0,Insertion
246,"('#merope', ""Et c'est ce que je veux prévenir justement.  Quelle étrange bizarrerie !  Mais je vous guérirai de cet entêtement. "")",,1.0,Insertion
247,"('#corine', 'Comme vous en fûtes guérie,  Ma tante, et jamais autrement. ')",,1.0,Insertion
