,schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Cost,Operation Type
89,"('#soldats', '« Dieu bat les orgueilleux et la force leur ôte ; Celui conte deux fois qui conte sans son hôte. »')","('#soldats', ""Courage, compagnons ! Sans doute, c'est notre homme. Jamais aucun butin de si notable somme Ne nous est arrivé : nous aurons tous de quoi Nous donner du bon temps, plus aises que le Roi."")",0.92,Substitution
90,"('#pharnabaze', ""Dieux ! Que j'ai de pensers l'un l'autre séduisants, De mouvements d'esprit l'un l'autre détruisant ! Combien d'impatience agite mon attente, Et que mon espérance est douteuse et flottante ! D'où me vient cet effroi contraire à mon humeur ? D'où ces chancellements au cours de mon bonheur ? Que dois-je redouter ? Au fonds, que puis-je craindre, Si le ciel ne voulait ses propres lois enfreindre « (Ciel qui des coeurs hardis seconde les efforts, Et toujours asservit les faibles aux plus forts) ? » Car en nos deux partis, sans flatter, à tout prendre, Quel point d'égalité m'y peut-on faire entendre ? Quelle comparaison de peuple ni de roi ? Quelle proportion d'Abdolomin à moi, Moi, sorti d'un hiram, Neptune de l'Asie, Dont l'amitié puissante, en sa flotte choisie Par le vaillant David et par son sage fils, Mêla si dextrement les honneurs aux profits Qu'ils mirent en leur temps dans l'enclos de leurs terres L'or au prix de l'argent, l'argent au prix des pierres ; Moi, neveu d'un Straton, dont la seule vertu Releva sans effort ce beau sceptre abattu, Lorsque des serfs cruels la troupe mutinée Avait des citoyens la race exterminée ; Moi qui me puis vanter d'avoir tout restauré, Repeuplé, rebâti ce royaume atterré, Mieux que ce mien aïeul : car j'ai fait en cinq lustres Les masures du Tyr non guère moins illustres Qu'alors que dominante en l'une et l'autre mer, Ne se pouvant soi-même en soi-même enfermer, Elle fit provigner un empire à Carthage Qui doit débattre un jour du monde le partage ? Enfin Tyr, propre mère à l'ingrate Sidon, À Sidon parricide, indigne de pardon ; Tyr, cité nom-pareille en raretés diverses ; Tyr, qui seule arrêta la conquête des Perses ; Tyr, que l'empereur grec n'eût jamais pu dompter S'il ne se fût prouvé vrai fils de Jupiter ; Bref, Tyr, la riche Tyr, sous l'heureuse conduite D'un vaillant Pharnabaze et d'un Léonte ensuite, Avec tant de guerriers adroits et généreux, Imitant les vertus qui reluisent en eux, Craindrait-elle Sidon, bien moins puissante ville, Sous un roi casanier, d'étoffe basse et vile ? Que s'ils ont un Belcar remarquable en valeur, Mon fils a le courage et plus noble et meilleur ; Puis leurs soldats sont mols, sont rebutés ; en somme, Entre tant de barbus on n'y connaît qu'un homme. Ce sont tous cerfs craintifs par un lion menez, Mais mon ost est tout plein de lions déchaînés. Arrière donc de moi la peur, voire la doute, Qu'un si faible ennemi ne soit mis en déroute, Et, puisque notre pourpre est la marque des rois, Qu'à ce coup nos voisins ne reçoivent nos lois ! Arrière ces rêveurs, ces charlatans augures, Cherchant au coeur d'un boeuf de célestes figures, Comme si d'un état ou les biens ou les maux Gisaient aux intestins des brutes animaux ! Arrière ces devins, ces fort savants peu sages, Qui veulent m'ébranler par sinistres présages ! J'espère que bientôt un message certain Démentira leur art trompeur, obscur et vain, M'annonçant que des cieux la juste bienveillance Aura de mon côté fait tourner la balance. Jà l'horloge six fois, à gouttes distillant, A vidé son vaisseau d'un cours égal et lent Depuis qu'on m'a mandé qu'en armes partiales On allait disputer les faveurs martiales. Les cris en sont venus jusques près de ces lieux Où je suis avancé, bouillant et curieux. Pour apprendre plutôt les nouvelles heureuses Que mon courage oppose à ces âmes peureuses. Mais j'entends quelque bruit. Ah ! Ce courrier qui vient N'apporte rien qui vaille, à la mine qu'il tient. Dites, ne celez rien ; la palme désirée Ne nous est-elle pas franchement demeurée ?"")","('#zorote', ""J'ai quitté le pavé : je me vais mettre à l'ombre, Prenant pour mon repos ce buisson frais et sombre, D'où sans être aperçu je verrai les passants. En voici quatre ou cinq au grand pas s'avançant."")",0.8,Substitution
91,,"('#soldats', ""Mais comment pouvons-nous l'avoir perdu de vue ? Allons revisiter cette épine touffue Qui paraît à main gauche. Il faut bien qu'il soit là."")",1.0,Deletion
92,,"('#zorote', 'Ils viennent droit à moi. Que peut être cela ?')",1.0,Deletion
93,"('#le-courrier', ""Sire, elle reste neutre, et l'un et l'autre camp, Ni vainqueur ni vaincu, a délaissé le champ."")","('#soldats', ""Ha ! Le galant s'enfuit."")",1.66,Substitution
94,,"('#zorote', 'Je me sauve à la course.')",1.0,Deletion
95,"('#pharnabaze', 'Quoi ! Font-ils encor ferme ? Ô lâcheté des nôtres !')","('#soldats', 'Il nous pense amuser en nous jetant sa bourse.')",1.3,Substitution
96,"('#le-courrier', ""Sans l'unique Belcar, ils se rendaient tous vôtres. Pour nous, par quatre fois, le sort a balancé ; Mais toujours ce rocher son choc a repoussé. J'ai vu de nos coureurs, ayant défait une aile, Donner jusqu'à Sidon, prêts d'entrer pèle-mêle ; Belcar seul tenait bon ; mais un effort dernier, En lui cassant le bras l'a rendu prisonnier."")","('#zorote', ""Hélas ! Je suis perdu ! Je ne puis plus courir, L'haleine me défaut. Ah ! Je m'en vais mourir. Ô jambes sans vigueur ! Pauvre corps sans courage ! Que vous êtes déchu par le surcroît de l'âge !"")",1.01,Substitution
97,"('#pharnabaze', 'Et mon fils ?')","('#soldats', 'Arrête, faux vieillard ! Rends-toi, de par le Roi !')",1.72,Substitution
98,,"('#zorote', 'Êtes-vous des voleurs qui vous jetez sur moi ? Vous ferez peu de gain, car je suis un pauvre homme.')",1.0,Deletion
99,,"('#soldats', ""Nous savons ta richesse et comment on te nomme. Ce n'est pas pour ton or que nous te contraignons : Ton or porte malheur, témoins nos compagnons."")",1.0,Deletion
100,,"('#zorote', ""Pour qui me prenez-vous, messieurs ? J'en serai plainte."")",1.0,Deletion
101,"('#le-courrier', 'Il est sain ; mais, ô roi grand et sage, Excusez ma contrainte à porter un message...')","('#soldats', ""Marche ! C'est trop causé, c'est trop usé de feinte. Qui ne te connaîtrait ! Je me fâche, à la fin. Nous te garrotterons si tu fais plus le fin. Avant l'extrémité tu devais être sage."")",0.89,Substitution
102,"('#pharnabaze', 'Ha dieux ! Parle, dis tout.')","('#zorote', 'De grâce, mes amis, eh ! Faites-moi passage !')",1.12,Substitution
103,,"('#soldats', 'Bien, le voilà tout fait, le passage à Sidon.')",1.0,Deletion
104,"('#le-courrier', ""Las ! Comme trop vaillant, Il allait, par dépit, les plus forts assaillant. Voilà qu'un escadron contre lui se rallie, Dont il n'a peu sortir."")","('#zorote', ""Tout ce que j'ai vaillant, je le baille en pur don, Chaines d'or, diamants."")",1.21,Substitution
105,,"('#soldats', ""Prenons cela d'avance."")",1.0,Deletion
106,"('#pharnabaze', 'Ô jeunesse ! Ô folie !')","('#zorote', ""Encor deux fois autant quand j'aurai délivrance."")",1.59,Substitution
107,,"('#soldats', ""Penses-tu, vieil bouquin, médaille de Vulcan, Que nous mettions pour toi notre vie à l'encan ? Chemine."")",1.0,Deletion
108,"('#le-courrier', ""Ils l'ont environné tant qu'à force de bras Ils l'ont traîné vers eux, veuille ou ne veuille pas."")",,1.0,Insertion
109,"('#pharnabaze', 'Ô poltrons de sa suite ! Aviez-vous du courage ?')","('#zorote', ""Ah ! Si jadis ta flamme fut dardée Même sur un tien fils, adultère en idée, Ô Jupiter vengeur ! Approuves-tu que moi, Pour m'être délivré d'un véritable émoi, Revengeant mon honneur par une juste voie, Au supplice mortel entraîné je me voie ?"")",1.32,Substitution
110,"('#le-courrier', ""Le crêpe de vesper leur faisait tant d'ombrage Qu'à peine trois des siens virent son accident, Tant en simple soldat il s'allait hasardant. Le premier y périt, s'en voulant entremettre ; Le second, fort blessé, son passe-port impètre Pour en donner avis ; l'écuyer Timadon S'est jeté quant et lui dans les murs de Sidon."")","('#soldats', ""Qui pourrait approuver qu'un vieillard refroidi, Sachant qu'un prince adroit, plus chaud et plus hardi, Combattait en sa place aux amoureux alarmes, Traitât son lieutenant à la rigueur des armes ? Il vaut toujours mieux être, ô miseéable fou ! Mis par la corne au joug qu'attelé par le cou."")",0.12,Substitution
111,"('#pharnabaze', ""Ô feux dominateurs des voûtes azurées, Qui, vous entrecoupant par danses mesurées, Bigarrés chaque jour d'événements divers Les plus certains projets de ce bas univers ; Et surtout, et surtout toi, mon dieu sanguinaire, Qui, du cinquième rang de ce beau septenaire, En un trône borné du foudre et du soleil, Régis par tes aspects, pleins de feu nom-pareil, L'esprit, le coeur, les nerfs, les artères, les veines De ceux que généreux aux hasards tu promènes ; Ah ! Brave Odrysien, d'où viennent ces malheurs Qu'un mérité succès n'égale nos valeurs ? Qu'avait donc, pour conduire et pour bien entreprendre Un belliqueux exploit, le fameux Alexandre ? Qu'avait-il d'excellent plus que mon fils et moi, Lui qui le monde entier assujettit à soi ? Ce n'est que toi, fortune aveugle, qui nous verses Par coups inopinés ces cruelles traverses. Mais si veux-je ou mourir ou vaincre à ton dépit, En livrant à Sidon la guerre sans répit. Du vieil Abdolomin la défaite est facile : Car, bien que pour un temps je perde mon Achille, Moi qui suis vigoureux, j'ai des Ajax encor, Des Tydides sans peur ; lui n'avait qu'un Hector."")","('#pharnabaze', ""Déjà l'air amoureux a réchauffé le germe Dont nature s'émeut pour produire à son terme ; Déjà des aquilons les zéphyrs sont vainqueurs Et reçoivent en prix des couronnes de fleurs, Et déjà le bélier, qui la froideur tempère, Ôte le voile blanc à notre grande mère, Lui rendant l'habit vert que la mort des saisons Avait caché trois mois au coin de ses tisons ; Déjà des oiselets les gorges réveillées Caressent à l'envi les naissantes feuillées, Et des nymphes de l'eau les bruyantes chansons Après un long combat triomphent des glaçons. Ô mars ! Voici ton mois. Ta riante maîtresse L'a choisi pour dompter l'hivernale paresse. Donc, qui me tient encor que je ne fais sortir Du trésor de mes ports la puissance de Tyr ? Pourquoi mille sapins sur les plaines salées Ne font-ils égayer leurs toiles ampoulées ? Éole nous semond d'un souffler opportun : Je vois doux au montoir les phoques de Neptun[e], Qui semble convier nos carènes dormantes À labourer son dos en rides écumantes. Que font tant de drapeaux qu'ils ne sont éventés, Et voltigeant en plis sur les poupes montés ? Vu que mes fantassins impatients n'attendent Sinon que des tambours les cordages se tendent ? Que tarde l'airain creux, que de sons éclatants Il ne rassemble en gros mes braves combattants, Qui frétillent des mains, désireux de reprendre L'honneur que la fortune a bien osé défendre ? Moi, qui suis né guerrier, nourri le fer au point, Toujours la gloire au coeur, en la tête le soin, Qui me peut amuser ? Faut-il que la vieillesse En trêve languissante avec honte me laisse ? Non ! Non ! D'un froid hiver je n'ai rien que le teint. Je brûle par dedans : mon feu n'est pas éteint ; Et, bien que par les ans ma force dérobée Ait sillonné mon front et ma taille courbée, On ne verra jamais mon courage envieilli, Ni l'amour de Bellone en mon âme failli."")",0.01,Substitution
112,"('#le-courrier', ""Nos chefs pour six soleils la trêve ont transigé, Attendant s'il vous plaît qu'elle soit prolongée ; Des corps des deux partis les guérets sont tous noirs, Et là chacun aux siens rend les derniers devoirs."")","('#phulter', ""Sire, c'est en ce point que les dignes monarques Portent des immortels les plus notables marques ; Clothon d'un même lin ne retord en ses doigts Le filet des petits et la trame des rois. Leurs âmes sont d'en haut et paraissent royales, En vigueur, en constance, en valeur spéciales : Car l'humeur mieux séante aux monarques bien nés, C'est d'être ambitieux, aux combats obstinés. Les états sur la guerre ont fondé leurs colonnes ; La guerre, c'est la forge où se font les couronnes ; C'est la guerre qui peut, seule échelle des cieux, Faire les hommes rois, et les rois demi-dieux. Par là sont parvenus en gloire surhumaine Les invincibles fils de Sémélé et d'Alcmène ; Par là mille guerriers, sans avoir des autels, En renom néanmoins deviennent immortels. Cet Achille fameux et cet Hector de Troie, Que sa force empêchait de voir sa ville en proie, Et ce grand Alexandre, héros de notre temps, Qui ne craignait manquer sinon de résistants, N'ont-ils point par le choc de sanglantes batailles Remparé leur renom d'imprenables murailles, Dans l'enclos du renom conservant leurs lauriers, Malgré la faux du temps, jusqu'aux siècles derniers ? Même j'oserai dire, ô fils aîné de Rhée, Que ta main souveraine est bien plus révérée En la céleste cour depuis que les Titans Furent vaincus par toi, fièrement combattant, Qu'alors que seulement ta force était connue Pour avoir en suspens la chaine retenue Où tous les immortels, contre toi conjurés, Furent sans coup férir par toi seul attirés."")",0.56,Substitution
113,"('#pharnabaze', ""Retournez à Phulter, dites-lui qu'il départe Mes gens ès garnisons, sans que trop on s'écarte. Nos armes céderont aux rigueurs de l'hiver, Mais il faut au printemps triompher ou crever. Or par les lois d'honneur je suis forcé de faire Un favorable accueil à ce prince adversaire."")","('#pharnabaze', ""La guerre est mon ébat. Puisse finir ma vie Lorsque de l'exercer finira mon envie ! La guerre est un beau jeu dont l'honneur est le prix, Endurcissant les corps, aiguisant les esprits. Va doncques, mon Phulter, faire croître nos troupes ; J'ai dit à l'amiral qu'il équipe les poupes, Car je veux à ce coup, par un dernier effort, Sur l'onde et sur le sec violenter le sort. Les jours vont expirer de notre surséance ; C'est trop longtemps croupir hors de la bienséance."")",0.24,Substitution
114,"('#le-courrier', ""Il viendra lentement ; en litière on l'a mis : Sa blessure autrement l'amener n'eut permis."")","('#timadon', ""Pauvre Tyr, pauvre peuple et roi trop affligé, Combien à votre abord mon mal est rengrégé ! Malheureux, qui devrais pour une telle perte Me perdre auparavant que de l'avoir soufferte, Plutôt que de me voir le premier annonçant Ce qui cent fois le jour me tue en y pensant ! Quel fard peut donner lustre à mon triste message ?"")",1.02,Substitution
115,"('#pharnabaze', ""Il le faut bien penser, en tenir si bon conte Que son doux traitement redonde sur Léonte ; Mes filles suppléeront, par entretien discret, À moi, qui ne le puis caresser qu'à regret."")","('#thamys', 'Dieu vous gard[e], Timadon ; je vous prends au passage. Quel désastre vous porte à si fort lamenter ?')",0.65,Substitution
116,,"('#timadon', ""Très fâcheux à l'entendre, et plus à le conter."")",1.0,Deletion
117,,"('#thamys', 'Je pourrai, le sachant, vous être secourable.')",1.0,Deletion
118,,"('#timadon', 'Vous serez, le sachant, vous-même déplorable.')",1.0,Deletion
119,,"('#thamys', 'Qui sait plutôt son mal est plutôt consolé.')",1.0,Deletion
120,,"('#timadon', 'Tout funeste rapport est trop tôt décelé.')",1.0,Deletion
121,"('#cassandre', ""Ma soeur, qu'en pensez-vous ? Qu'en dirons-nous au roi ? Ce Belcar est troussé ; quant à moi, je le crois : Voyez ce teint plombé qui son visage couvre, Il se pâme à tous coups ; sa grand'blessure s'ouvre ; Que s'il n'avait, dit-on, que le mal apparent, Le médecin pourrait se rendre son garant ; Mais il faut que d'ailleurs quelque maligne cause, Racine de sa fièvre, aux remèdes s'oppose."")","('#thamys', 'Mon penser ne peut pas si grand malheur se feindre.')",1.16,Substitution
122,"('#meliane', ""Je laisse du public la juste inimitié ; Mais en ce triste état, pour moi, j'en ai pitié, Et voudrai pour beaucoup que jamais notre père N'eut fait voir à nos yeux ce miroir de misère."")","('#timadon', 'Feignez-vous le plus grand que vous auriez peu craindre. Léonte, hélas ! Léonte, ô deuil sans réconfort ! ...')",0.65,Substitution
123,,"('#thamys', 'Dieux ! Que me dites-vous ? Quoi ! Léonte est-il mort ?')",1.0,Deletion
124,,"('#timadon', 'Eh hé ! Tout est perdu.')",1.0,Deletion
125,,"('#thamys', 'Jupiter, quelle plaie ! La chose est-elle sûre ?')",1.0,Deletion
126,"('#cassandre', ""Las ! Que plût-il aux dieux que nous tinssions ici Son otage trop cher qui nous met en souci, Léonte, notre frère. Ah ! Combien j'appréhende, Mort ou vif cestuy-ci, que tel on nous le rende ! C'est ce qui nous oblige à ce fâcheux devoir, Et faut jusqu'à la fin nous forcer à le voir."")","('#timadon', ""Elle n'est que trop vraie. Las ! Que n'était cillé d'un sommeil éternel Mon oeil que cet aspect a rendu criminel ! Thamys, j'ai vu périr entre les mains des traîtres Le premier des vaillants et le meilleur des maîtres. Mais, n'ayant peu mourir pour lui ni quand et lui, Il faut honteusement que j'en meure d'ennui."")",0.01,Substitution
127,,"('#thamys', ""Ce grand fanal d'honneur est-il réduit en cendre ? Ô ciel ! Le donniez-vous pour sitôt le reprendre !"")",1.0,Deletion
128,"('#meliane', ""Quelque ennemi juré qu'il soit à ma patrie, D'une compassion mon âme est attendrie Quand je vois sur son front, sur son oeil languissant, Un air majestueux à travers paraissant ; Puis ces graves discours ne témoignent en somme Que douceur, que vertu, qu'humeur de galant homme. Quel dommage pour nous qu'un coeur tant accompli N'est autant d'amitié que de haine rempli !"")","('#timadon', ""Ce prince environné de terreur et d'amour, Ardent comme la foudre et beau comme le jour, Notre soleil levant, lorsque chacun l'adore, A trouvé son couchant auprès de son aurore."")",0.3,Substitution
129,"('#cassandre', ""Le mal d'un ennemi ne m'est jamais dommage, Quelque vaillant qu'il soit et rare personnage ; Je ne le puis priser, ni le plaindre aussi peu, Car je vois dans sa mine et le sang et le feu. Quand je me ramentai son courage barbare Qui rompit notre flotte au vu de notre phare, Embrasant, enfondrant (cruel plus que les eaux) Nos plus vaillants soldats et nos meilleurs vaisseaux, Et quand je me souviens qu'en deux fois trois batailles Il a porté l'effroi jusques dans nos murailles ; Enfin, quand mon esprit renouvelle à mes sens Tant de nos grands guerriers par sa main périssant, Il n'en faut pas mentir, sa valeur ne m'empêche D'estimer que sa mort serait belle dépêche. J'en tiendrai dignement nos dommages vengez, Pourvu que nos captifs n'y fussent engagez. Entrons."")","('#thamys', ""Las ! Que sert le printemps, si l'été ne le suit ? Un arbre bien fleuri, si l'on en a le fruit ? Si l'orage grêleux vient renverser à terre L'espérance d'un peuple aussi frêle que verre ? Alcide tutélaire, où dormait votre soin ? Ô soldats orphelins, qu'il vous fera besoin ! Que vous plaindrez ce chef qui servait à la charge D'exemple et de conduite, en retraite de targe !"")",0.29,Substitution
130,"('#meliane', ""Je vous suivrai, ne vous mettez en peine. Ô courage de fer ! Lestrygonne inhumaine ! Si ton coeur était noble, ami de la vertu, Il serait plus courtois vers ce prince abattu. « En un esprit bien né la charité doit luire Contre l'ennemi même, alors qu'il ne peut nuire. »"")","('#timadon', ""Ah ! Mon roi, triste père, où sera ta vertu ? Las ! Que j'ai peur de voir ton courage abattu Sous les pieds du malheur, aux dépens de ta vie, Et la mort de ton fils de la tienne suivie !"")",0.67,Substitution
131,"('#zorote', ""Où voulez-vous aller ? Quelle humeur sans raison De ne fuir rien tant que sa propre maison, N'aspirer qu'à courir aux festins, à la danse, Au trottoir du public se mettre en évidence ? Enfin que faire au bal ? Ricasser, babiller, Faire un hachis du pied, des fesses frétiller, Trémousser tout le corps d'un geste déshonnête, Au racler enroué des boyaux d'une bête ; Bref, chercher une amorce à des pensers lascifs Par des mouvements fols et des ris excessifs. Non, non, ma femme, non ; laissez ce badinage, Et prenez vos ébats en votre seul ménage, Tantôt à contempler vos joyaux plus exquis, Tantôt à calculer les biens par nous acquis, Tantôt du fin aloi démêler la monnaie, Tantôt sur un tissu d'or, d'argent et de soie Bigarrant les couleurs d'un subtil entrelacs, Exercer le métier de la sage Pallas ; Tantôt en nos jardins faire vos promenades, Dans les compartiments ou dans les palissades, Puis sommeiller au frais."")","('#thamys', ""Jamais son coeur altier, s'élevant comme à bonds, Ne se pourra tenir qu'il ne sorte des gonds. Je crois déjà le voir, tout ainsi que malades Grimpent au mont fourchu les bacchantes ménades, Courant, hurlant de rage, et pensant, furieux, Que les plus doux propos lui sont injurieux : Il est déjà farouche et bouillant de nature."")",0.17,Substitution
132,"('#philoline', ""Las ! C'est ce qui me nuit, Car je ne dors que trop tout le long de la nuit."")",,1.0,Insertion
133,"('#zorote', ""Tantôt mettre nos vins et nos froments en vente, Tailler de la besogne à chacune servante ; Tantôt faire causer vos perroquets mignons, Faire jouer, sauter, vos chiens et vos guenons, Et quelquefois aussi feuilleter un bon livre : Voilà comme en honneur la matrone doit vivre ; C'est de ces femmes-là dont le monde fait cas, Non des légers esprits adonnez au tracas, Qui paraissent n'avoir (odieuses coquettes) Que du vent pour cerveau, pour langues des cliquettes. La reine icarienne, exemple tant vanté, La perle de son temps, miroir de chasteté, D'un Ulysse prudent la compagne très digne, A rendu sa mémoire à tout jamais insigne En gardant son foyer auprès de son matin, Et s'amusant vingt ans sur sa toile sans fin. Somme, c'est aux putains communes et vénales, Non aux femmes de bien, d'aller aux bacchanales."")","('#timadon', ""Hélas, mon cher ami, que ma charge m'est dure ! Au moins si quelque ami me voulait obliger !"")",0.97,Substitution
134,,"('#thamys', 'Avisez, cavalier. Vous puis-je soulager ?')",1.0,Deletion
135,"('#philoline', ""Que vous êtes farouche et d'un malin penser, Osant en général les dames offenser ! Car combien s'en voit-il de ma sorte en mon âge Qui cette liberté ne prenne en mariage ? De se trouver au bal en honnête maintien Et du tiers et du quart recevoir l'entretien, Hanter ouvertement les bonnes compagnies Où l'on ne fait ni dit aucunes vilenies, Mon ami, c'est la mode, et qui fait autrement Attire des voisins un mauvais jugement : Quoi ! Cette jeune femme en bride est bien tenue ; Il faut que son mari sotte l'ait reconnue, Ou bien lui-même est fol ; il est jaloux, dit-on ; Peut-être qu'il se sent mal sûr de son bâton. De vrai, je m'en abstiens souvent pour vous complaire ; Et sur quelqu'autre objet je tâche à me distraire ; Mais que jamais les ceps ne me soient élargis, Que je n'ose paraître autre part qu'au logis, Où depuis le matin jusques au vêpre blême Je ne vois toujours rien qu'une cadence même, Le plus du temps seulette, ainsi qu'en un désert, N'est-ce pas pour sécher le naturel plus vert ? Encor si, pour tuer l'ennui de la journée, Quelque petit enfant ornait notre hyménée !"")","('#timadon', ""Aucun ne le peut mieux que vous, mon capitaine, Si de me prévenir vous acceptiez la peine, Pour adoucir un peu ces nouvelles au Roi, Qu'il supportera mieux d'un autre que de moi : Car, encor que du fait mon âme soit bien nette, J'ai peur que sur moi seul tout le tort il rejette."")",0.27,Substitution
136,"('#zorote', 'Il ne tient pas à moi. Fais-je pas le devoir ?')",,1.0,Insertion
137,"('#philoline', ""N'ayant touché que vous, je n'en puis rien savoir."")","('#thamys', ""J'en eusse refusé tous mes autres amis, Mais je vous servirai puisque je l'ai promis. Or çà, contez-moi donc comment la parque inique Nous a ravi sitôt notre support unique."")",1.28,Substitution
138,"('#zorote', 'Vous me payez souvent de réponse ambiguë.')","('#timadon', ""Quelqu'un sur ce discours pourrait nous rencontrer : Tirons-nous à l'écart, je ne m'ose montrer."")",0.96,Substitution
139,"('#philoline', ""Souvent votre soupçon de malice m'argue."")","('#almodice', ""Je ne fais rien que perdre et ma ruse et mon temps : Méliane et Belcar ont les coeurs trop constants. De vrai, j'ai bien tiré du prince une promesse Qui doit, s'il l'accomplit, irriter sa maîtresse ; Mais elle a l'esprit fort, car jamais je n'ai su Faire qu'elle ait de lui quelque ombrage conçu. C'est pourquoi je les quitte, et désormais n'espère, En faveur de Cassandre, autre aide que son père, Qui peut donner le change à ce captif amant, Par amour ou par force, il n'importe comment. Toutefois, il me reste une fourbe subtile Qui, selon mon avis, ne peut être inutile. Si le Sidonien se trouve tant heureux Que d'attirer sa belle au déduit amoureux, Il n'y peut réussir que par mon entremise Sous l'ombre de la nuit, à quelque heure promise ; Et là, sans que d'abord il s'en puisse aviser, Je puis l'une des soeurs pour l'autre supposer ; Puis, quand c'en sera fait, Cassandre étant contente, Il faut bien qu'il renonce à sa première attente ; Même en l'effet peut-être il n'y pensera point, En pareille charnure et pareil embonpoint, Et l'une et l'autre pièce ont un égal usage ; Hors la diversité qui paraît au visage ( Où l'oeil n'est abusé que par l'échantillon ), Tout est d'un même drap prêt à mettre au foulon."")",1.01,Substitution
140,"('#zorote', ""On doit l'autour hagard de longes attacher."")",,1.0,Insertion
141,"('#philoline', 'Pour en tirer plaisir si le faut-il lâcher.')","('#belcar', ""À quoi tend le discours de cette vieille masque ? Cela me rend l'esprit tout confus et fantasque. D'où vient ce changement ? Elle qui jusqu'ici Pour un simple baiser s'est donné du souci Me conseille aujourd'hui, voire me sollicite, De convier ma belle au plaisir illicite, Jusqu'à me protester que si je ne le fais On en verra bientôt des sinistres effets. Or je sais que d'abord Méliane, prudente, Repoussera bien loin ma requête impudente. Mais quoi ? Je sais d'ailleurs l'empire dangereux Qu'Almodice possède en mon sort amoureux, Si bien qu'il me vaut mieux offenser ma maîtresse Qu'irriter contre moi cette fine traîtresse ; Puis, en tout cas, j'aurai pour mon dernier ressort, L'aveu de son conseil en cet honteux effort. Elle m'a, toutefois, fait jurer de m'en taire ; Mais les amants n'ont point de serment volontaire, Car la force d'amour domine sur la leur, Et tous serments forcés sont de nulle valeur. Je vois bien que je tente une mauvaise voie ; Si m'y faut-il passer, quel péril que j'y voie. Mais, pour n'être battu, je parlerai si doux Qu'elle en rira plutôt que d'entrer en courroux."")",1.1,Substitution
142,"('#zorote', 'On donne au cheval gai la renne courte et forte.')",,1.0,Insertion
143,"('#philoline', 'Une libre jument de plus beaux poulains porte.')",,1.0,Insertion
144,"('#zorote', 'La femme est plus que tous un volage animal.')",,1.0,Insertion
145,"('#philoline', 'Plus de licence elle a, moins elle pense à mal.')",,1.0,Insertion
146,"('#zorote', ""Un point d'occasion séduit la plus constante."")","('#meliane', ""Belcar n'est point venu. La timide Almodice Me veut persuader, sur quelque faible indice, Que sa recherche est feinte afin de m'amuser ; Mais pour en faire épreuve il le faut embraser."")",1.27,Substitution
147,"('#philoline', ""Que trop d'occasions quand le désir nous tente !"")","('#belcar', 'Quels propos sont-ce là ? Rencontre bien plaisante ! À mon hardi dessein la porte se présente.')",0.46,Substitution
148,"('#zorote', ""Enfin vous n'irez point ; c'est assez contester."")","('#meliane', 'Je ne veux que mon oeil pour bon juge en cela.')",1.71,Substitution
149,,"('#belcar', 'Que ferai-je ?')",1.0,Deletion
150,"('#philoline', ""Ô dieux ! Quelle rigueur ! Que je n'ose assister En un bal de plain jour où je suis tant priée ! Hélas ! Ma chère mère, où m'avez-vous liée ? Je vous l'avais bien dit, que l'humeur d'un vieillard Ne compatirait point à mon esprit gaillard ; Qu'il voudrait riotter lorsque je voudrai rire. Ah ! Je prévoyais bien ce maupiteux empire : Qu'il me valait bien mieux épouser un tombeau Que de passer en deuil mon âge le plus beau En barreaux et verrous innocemment surprise, Presqu'en un même état que la fille d'Acrise ! Ô que ne suis-je morte ! Hélas ! ô dieux, hélas ! Contre une telle angoisse où sera mon soulas ? Il faut, il faut sortir ; la voie est bien aisée ; Cherchons la liberté dans la plaine Élysée ; On peut tenir mon corps, non mon âme, en prison ; Une corde, un couteau, m'en feront la raison !"")","('#meliane', 'Ah ! Mon prince ! Et qui vous pensait là ?')",1.23,Substitution
151,"('#zorote', ""Étrange passion pour un désir frivole ! Il vaut mieux lui céder que de la rendre folle. Apaisez-vous, ma fille. Et bien ! Là, vous irez ; J'accorde, pour ce coup, ce que vous désirez, À la charge pourtant que ma soeur vous convoie Et qu'en aucun devis sans elle on ne vous voie. Je m'en vais la prier d'en accepter le soin."")","('#belcar', ""Je me jette à vos pieds, ma maîtresse, ma reine ! Je demande une grâce à la main souveraine Qui seule peut donner la mort ou le pardon À celui qui vous met sa vie à l'abandon."")",0.18,Substitution
152,,"('#meliane', 'Que dites-vous, Monsieur ? Quelle humeur vous transporte ? Vous moquez-vous de moi de parler de la sorte ?')",1.0,Deletion
