,racine-thebaide,racine-thebaide-64,Cost,Operation Type
52,"('#creon', 'Je sais ce qui le rend innocent à vos yeux.')","('#creon', 'Je sais ce qui le rend innocent à vos yeux.')",0.0,Match
53,"('#antigone', 'Et je sais quel sujet vous le rend odieux.')","('#antigone', 'Et je sais quel sujet vous le rend odieux.')",0.0,Match
54,"('#creon', ""L'amour a d'autres yeux que le commun des hommes. "")","('#creon', ""L'amour a d'autres yeux que le commun des hommes."")",0.0,Match
55,"('#jocaste', ""Vous abusez, Créon, de l'état où nous sommes,  Tout vous semble permis, mais craignez mon courroux. Vos libertés enfin retomberaient sur vous."")","('#jocaste', ""Vous abusez, Créon, de l'état où nous sommes, Tout vous semble permis, mais craignez mon courroux. Vos libertés enfin retomberaient sur vous."")",0.0,Match
56,"('#antigone', ""L'intérêt du public agit peu sur son âme, Et l'amour du pays nous cache une autre flamme.  Je le sais ; mais, Créon, j'en abhorre le cours,  Et vous ferez bien mieux de la cacher toujours."")","('#antigone', ""L'intérêt du public agit peu sur son âme, Et l'amour du pays nous cache une autre flamme. Je le sais, mais, Créon, j'en abhorre le cours, Et vous ferez bien mieux de la cacher toujours."")",0.0,Match
57,"('#creon', ""Je le ferai, Madame, et je veux par avance, Vous épargner encor jusques à ma présence. Aussi bien mes respects redoublent vos mépris,  Et je vais faire place à ce bienheureux fils.  Le roi m'appelle ailleurs, il faut que j'obéisse ; Adieu, faites venir Hémon et Polynice."")","('#creon', ""Je le ferai, Madame, et je veux par avance, Vous épargner encor jusques à ma présence. Aussi bien mes respects redoublent vos mépris, Et je vais faire place à ce bienheureux fils. Vous savez que le Roi m'appelle à son service, Adieu, faites venir Hémon et Polynice."")",0.0,Match
58,"('#jocaste', ""N'en doute pas, méchant, ils vont venir tous deux, Tous deux ils préviendront tes desseins malheureux. "")","('#jocaste', ""N'en doute pas méchant, ils vont venir tous deux, Tous deux ils préviendront tes desseins malheureux."")",0.0,Match
59,"('#antigone', 'Le perfide, à quel point son insolence monte ! ')","('#antigone', 'Le perfide, à quel point son insolence monte !')",0.0,Match
60,"('#jocaste', ""Ses superbes discours tourneront à sa honte. Bientôt si nos désirs sont exaucés des cieux, La paix nous vengera de cet ambitieux. Mais il faut se hâter, chaque heure nous est chère ;  Appelons promptement Hémon et votre frère ;  Je suis pour ce dessein prête à leur accorder Toutes les sûretés qu'il pourront demander. Et toi, si mes malheurs ont lassé ta justice, Ciel, dispose à la paix le coeur de Polynice, Seconde mes soupirs, donne force à mes pleurs ;  Et comme il faut enfin, fais parler mes douleurs."")","('#jocaste', ""Ses superbes discours tourneront à sa honte. Bientôt si nos désirs sont exaucés des Cieux, La paix nous vengera de cet ambitieux. Mais il faut se hâter, chaque heure nous est chère, Appelons promptement Hémon et votre frère, Je suis pour ce dessein prête à leur accorder, Toutes les sûretés qu'il pourront demander. Et toi, si mes malheurs ont lassé ta justice, Ciel, dispose à la paix le coeur de Polynice, Seconde mes soupirs, donne force à mes pleurs, Et comme il faut enfin, fais parler mes douleurs."")",0.0,Match
61,"('#antigone', ""Et si tu prends pitié d'une flamme innocente, Ô ciel ! en ramenant Hémon à son amante, Ramène-le fidèle, et permets en ce jour,  Qu'en retrouvant l'amant je retrouve l'amour."")","('#antigone', ""Et si tu prends pitié d'une flamme innocente, Ô ciel ! En ramenant Hémon à son amante. Ramène-le fidèle, et permets en ce jour, Qu'en retrouvant l'amant je retrouve l'amour."")",0.0,Match
62,"('#hemon', ""Quoi, vous me refusez votre aimable présence, Après un an entier de supplice et d'absence ? Ne m'avez-vous, Madame, appelé près de vous, Que pour m'ôter sitôt un bien qui m'est si doux ? "")","('#hemon', ""Hé quoi ! Vous me plaignez votre aimable présence, Après un an entier de supplice et d'absence, Ne m'avez-vous, Madame, appelé près de vous, Que pour m'ôter sitôt un bien qui m'est si doux ?"")",0.0,Match
63,"('#antigone', ""Et voulez-vous sitôt que j'abandonne un frère ? Ne dois-je pas au temple accompagner ma mère ? Et dois-je préférer, au gré de vos souhaits, Le soin de votre amour à celui de la paix ?"")","('#antigone', ""Et voulez-vous sitôt que j'abandonne un frère ? Ne dois-je pas au temple accompagner ma mère ? Et dois-je préférer, au gré de vos souhaits, Le soin de votre amour à celui de la paix ?"")",0.0,Match
64,"('#hemon', ""Madame, à mon bonheur c'est chercher trop d'obstacles ;  Ils iront bien sans nous consulter les oracles. Permettez que mon coeur en voyant vos beaux yeux, De l'état de son sort interroge ses Dieux. Puis-je leur demander sans être téméraire, S'ils ont toujours pour moi leur douceur ordinaire ?  Souffrent-ils sans courroux mon ardente amitié ? Et du mal qu'ils ont fait ont-ils quelque pitié ! Durant le triste cours d'une absence cruelle, Avez-vous souhaité que je fusse fidèle ? Songiez-vous que la mort menaçait loin de vous Un amant qui ne doit mourir qu'à vos genoux ? Ah! d'un si bel objet quand une âme est blessée ; Quand un coeur jusqu'à vous élève sa pensée, Qu'il est doux d'adorer tant de divins appas ! Mais aussi que l'on souffre en ne les voyant pas !  Un moment loin de vous me durait une année, J'aurais fini cent fois ma triste destinée, Si je n'eusse songé jusques à mon retour, Que mon éloignement vous prouvait mon amour ; Et que le souvenir de mon obéissance Pourrait en ma faveur parler en mon absence, Et que pensant à moi, vous penseriez aussi Qu'il faut aimer beaucoup pour obéir ainsi."")","('#hemon', ""Madame, à mon bonheur, c'est chercher trop d'obstacles ; Ils iront bien sans nous consulter les Oracles. Permettez que mon coeur en voyant vos beaux yeux, De l'état de son sort interroge ses Dieux. Puis-je leur demander sans être téméraire, S'ils ont toujours pour moi leur douceur ordinaire ? Souffrent-ils sans courroux mon ardente amitié, Et du mal qu'ils ont fait ont-ils quelque pitié ? Durant le triste cours d'une absence cruelle, Avez-vous souhaité que je fusse fidèle ? Songiez-vous que la mort menaçait loin de vous, Un amant qui ne doit mourir qu'à vos genoux ? Ah ! D'un si bel objet quand une âme est blessée ; Quand un coeur jusqu'à vous élève sa pensée, Qu'il est doux d'adorer tant de divins appas ! Mais aussi que l'on souffre en ne les voyant pas ! Un moment loin de vous me durait une année ; J'aurais fini cent fois ma triste destinée, Si je n'eusse songé jusques à mon retour, Que mon éloignement vous prouvait mon amour ; Et que le souvenir de mon obéissance, Pourrait en ma faveur parler en son absence, Et que pensant à moi, vous penseriez aussi Qu'il faut aimer beaucoup pour obéir ainsi."")",0.0,Match
65,"('#antigone', ""Oui je l'avais bien cru qu'une âme si fidèle Trouverait dans l'absence une peine cruelle.  Et si mes sentiments se doivent découvrir, Je souhaitais, Hémon, qu'elle vous fît souffrir ; Et qu'étant loin de moi, quelque ombre d'amertume Vous fît trouver les jours plus longs que de coutume. Mais ne vous plaignez pas, mon coeur chargé d'ennui Ne vous souhaitait rien qu'il n'éprouvât en lui. Surtout depuis le temps que dure cette guerre, Et que de gens armés vous couvrez cette terre, Ô Dieux ! à quels tourments mon coeur s'est vu soumis, Voyant des deux côtés ses plus tendres amis !  Mille objets de douleur déchiraient mes entrailles, J'en voyais et dehors et dedans nos murailles, Chaque assaut à mon coeur livrait mille combats, Et mille fois le jour je souffrais le trépas."")","('#antigone', ""Oui je prévoyais bien qu'une âme si fidèle, Trouverait dans l'absence une peine cruelle, Et si mes sentiments se doivent découvrir, Je souhaitais, Hémon, qu'elle vous fît souffrir, Et qu'étant loin de moi, quelque ombre d'amertume, Vous fît trouver les jours plus longs que de coutume. Mais ne vous plaignez pas, mon coeur chargé d'ennui, Ne vous souhaitait rien qu'il n'éprouvât en lui. Surtout depuis le temps que dure cette guerre, Et que de gens armés vous couvrez cette terre, Ô dieux ! À quels tourments mon coeur s'est vu soumis, Voyant des deux côtés ses plus tendres amis ! Lorsqu'on se sent pressé d'une main inconnue, On la craint sans réserve, on hait sans retenue, Dans tous ces mouvements le coeur n'est plus contraint, Et se sent soulagé de haïr ce qu'il craint. Mais voyant attaquer mon pays et mon frère, La main qui l'attaquait ne m'était pas moins chère ; Mon coeur qui ne voyait que mes frères et vous, Ne haïssait personne, et je vous craignais tous. Mille objets de douleur déchiraient mes entrailles, J'en voyais et dehors et dedans nos murailles, Chaque assaut à mon coeur livrait mille combats, Et mille fois le jour je souffrais le trépas."")",0.0,Match
66,"('#hemon', ""Mais enfin qu'ai-je fait en ce malheur extrême,  Que ne m'ait ordonné ma princesse elle-même ? J'ai suivi Polynice, et vous l'avez voulu, Vous me l'avez prescrit par un ordre absolu. Je lui vouai dès lors une amitié sincère, Je quittai mon pays, j'abandonnai mon père ;  Sur moi par ce départ j'attirai son courroux, Et pour tout dire, enfin, je m'éloignai de vous."")","('#hemon', ""Mais enfin qu'ai-je fait en ce malheur extrême, Que ne m'ait ordonné ma princesse elle-même ? J'ai suivi Polynice, et vous l'avez voulu, Vous me l'avez prescrit par un ordre absolu. Je lui vouai dès lors une amitié sincère, Je quittai mon pays j'abandonnai mon père, Sur moi par ce départ j'attirai son courroux, Et pour tout dire, enfin, je m'éloignai de vous."")",0.0,Match
67,"('#antigone', ""Je m'en souviens, Hémon, et je vous fais justice. C'est moi que vous serviez en servant Polynice ; Il m'était cher alors comme il est aujourd'hui,  Et je prenais pour moi ce qu'on faisait pour lui. Nous nous aimions tous deux dès la plus tendre enfance, Et j'avais sur son coeur une entière puissance ; Je trouvais à lui plaire une extrême douceur, Et les chagrins du frère étaient ceux de la soeur.  Ah ! si j'avais encor sur lui le même empire, Il aimerait la paix, pour qui mon coeur soupire. Notre commun malheur en serait adouci ; Je le verrais, Hémon, vous me verriez aussi."")","('#antigone', ""Je m'en souviens, Hémon, et je vous fais justice, C'est moi que vous serviez en servant Polynice ; Il m'était cher alors comme il est aujourd'hui, Et je prenais pour moi ce qu'on faisait pour lui. Nous nous aimions tous deux dès la plus tendre enfance, Et j'avais sur son coeur une entière puissance ; Je trouvais à lui plaire une extrême douceur, Et les chagrins du frère étaient ceux de la soeur. Je le chéris toujours, encore qu'il m'oublie."")",0.0,Match
68,,"('#hemon', ""Non non son amitié ne s'est point affaiblie, Il vous chérit encor, mais ses yeux ont appris, Que mon amour pour vous est bien d'un autre prix. Quoique son amitié surpasse l'ordinaire, Il voit combien l'amant l'emporte sur le frère, Et qu'auprès de l'amour dont je ressens l'ardeur, La plus forte amitié n'est plus que tiédeur."")",1.0,Deletion
69,,"('#antigone', ""Mais enfin si sur lui j'avais la moindre empire, Il aimerait la paix, pour qui mon coeur soupire, Notre commun malheur en serait adouci ; Je le verrais Hémon, vous me verriez aussi."")",1.0,Deletion
70,"('#hemon', ""De cette affreuse guerre il abhorre l'image.  Je l'ai vu soupirer de douleur et de rage, Lorsque pour remonter au trône paternel, On le força de prendre un chemin si cruel. Espérons que le ciel touché de nos misères, Achèvera bientôt de réunir les frères ;  Puisse-t-il rétablir l'amitié dans leur coeur, Et conserver l'amour dans celui de la soeur !"")","('#hemon', ""De cette affreuse guerre il abhorre l'image, Je l'ai vu soupirer de douleur et de rage, Lorsque pour remonter au trône paternel, On le força de prendre un chemin si cruel. Espérons que le Ciel touché de nos misères, Achèvera bientôt de réunir les frères ; Puisse-t-il rétablir l'amitié dans leur coeur, Et conserver l'amour dans celui de sa soeur."")",0.0,Match
71,"('#antigone', 'Hélas ! ne doutez point que ce dernier ouvrage Ne lui soit plus aisé que de calmer leur rage ; Je les connais tous deux, et je répondrais bien Que leur coeur, cher Hémon, est plus dur que le mien. Mais les Dieux quelquefois font de plus grands miracles.')","('#antigone', 'Hélas ! Ne doutez point que ce dernier ouvrage, Ne lui soit plus aisé que de calmer leur rage ; Je les connais tous deux, et je répondrais bien, Que leur coeur, cher Hémon, est plus dur que le mien. Mais les dieux quelquefois font de plus grands miracles.')",0.0,Match
72,"('#antigone', ""Hé bien apprendrons-nous ce qu'ont dit les oracles ? Que faut-il faire ?"")","('#antigone', ""Hé bien apprendrons-nous ce qu'ont dit les oracles ? Que faut-il faire ?"")",0.0,Match
73,"('#olympe', 'Hélas !')","('#olympe', 'Hélas !')",0.0,Match
74,"('#antigone', ""Quoi ? Qu'en a-t-on appris ? Est-ce la guerre, Olympe ?"")","('#antigone', ""Quoi ? Qu'en a-t-on appris ? Est-ce la guerre ? Olympe ?"")",0.0,Match
75,"('#olympe', ""Ah ! c'est encore pis. "")","('#olympe', ""Ah ! C'est encore pis."")",0.0,Match
76,"('#hemon', 'Quel est donc ce grand mal que leur courroux annonce ? ')","('#hemon', 'Quel est donc ce grand mal que leur courroux annonce ?')",0.0,Match
77,"('#olympe', ""Prince pour en juger écoutez leur réponse. Thébains pour n'avoir plus de guerres, Il faut par un ordre fatal, Que le dernier du sang royal, Par son trépas ensanglante vos terres."")","('#olympe', ""Prince pour en juger écoutez leur réponse. Thébains pour n'avoir plus de guerres, Il faut par un ordre fatal, Que le dernier du sang royal, Par son trépas ensanglante vos terres."")",0.0,Match
78,"('#antigone', ""Ô Dieux ! que vous a fait ce sang infortuné, Et pourquoi tout entier l'avez-vous condamné ? N'êtes-vous pas contents de la mort de mon père ? Tout notre sang doit-il sentir votre colère ? "")","('#antigone', ""Ô dieux ! Que vous a fait ce sang infortuné, Et pourquoi tout entier l'avez-vous condamné ! N'êtes-vous pas contents de la mort de mon père, Tout notre sang doit-il sentir votre colère ?"")",0.0,Match
79,"('#hemon', ""Madame, cet arrêt ne vous regarde pas.  Votre vertu vous met à couvert du trépas. Les Dieux savent trop bien connaître l'innocence."")","('#hemon', ""Madame, cet arrêt ne vous regarde pas, Votre vertu vous met à couvert du trépas. Les dieux savent trop bien connaître l'innocence."")",0.0,Match
80,"('#antigone', ""Et ce n'est pas pour moi que je crains leur vengeance. Mon innocence, Hémon, serait un faible appui,  Fille d'Oedipe, il faut que je meure pour lui. Je l'attends, cette mort, et je l'attends sans plainte. Et s'il faut avouer le sujet de ma crainte, C'est pour vous que je crains. Oui, cher Hémon, pour vous. De ce sang malheureux vous sortez comme nous ;  Et je ne vois que trop que le courroux céleste Vous rendra comme à nous cet honneur bien funeste, Et fera regretter aux princes des Thébains, De n'être pas sortis du dernier des humains."")","('#antigone', ""Et ce n'est pas pour moi que je crains leur vengeance, Mon innocence, Hémon, serait un faible appui, Fille d'Oedipe, il faut que je meure pour lui. Je l'attends cette mort, et je l'attends sans plaintes, Et s'il faut avouer le sujet de mes craintes, C'est pour vous que je crains. Oui, cher Hémon, pour vous, De ce sang malheureux vous sortez comme nous ; Et je ne vois que trop que le courroux céleste, Vous rendra comme à nous cet honneur bien funeste, Et fera regretter aux princes des Thébains, De n'être pas sortis du dernier des humains."")",0.0,Match
81,"('#hemon', ""Peut-on se repentir d'un si grand avantage ?  Un si noble trépas flatte trop mon courage, Et du sang de ses rois il est beau d'être issu, Dût-on rendre ce sang sitôt qu'on l'a reçu."")","('#hemon', ""Peut-on se repentir d'un si grand avantage ? Un si noble trépas flatte trop mon courage, Et du sang de ses Rois il est beau d'être issu, Dût-on rendre ce sang sitôt qu'on l'a reçu."")",0.0,Match
82,"('#antigone', ""Et quoi si parmi nous on a fait quelque offense, Le ciel doit-il sur vous en prendre la vengeance,  Et n'est-ce pas assez du père et des enfants, Sans qu'il aille plus loin chercher des innocents ? C'est à nous à payer pour les crimes des nôtres, Punissez-nous, grands Dieux, mais épargnez les autres. Mon père, cher Hémon, vous va perdre aujourd'hui Et je vous perds peut-être encore plus que lui. Le ciel punit sur vous, et sur votre famille, Et les crimes du père et l'amour de la fille ; Et ce funeste amour vous nuit encore plus, Que les crimes d'Oedipe et le sang de Laïus. "")","('#antigone', ""Et quoi si parmi nous on a fait quelque offense, Le Ciel doit-il sur vous en prendre la vengeance, Et n'est-ce pas assez du père et des enfants, Sans qu'il aille plus loin chercher des innocents ? C'est à nous à payer pour les crimes des nôtres, Punissez-nous grands Dieux, mais épargnez les autres. Mon père, cher Hémon, vous va perdre aujourd'hui, Et je vous perds peut-être encore plus que lui. Le Ciel punit sur vous, et sur votre famille, Et les crimes du père et l'amour de la fille, Et ce funeste amour vous nuit encore plus, Que les crimes d'Oedipe et le sang de Laïus."")",0.0,Match
83,"('#hemon', ""Quoi ? mon amour, Madame ? Et qu'a-t-il de funeste ? Est-ce un crime qu'aimer une beauté céleste ? Et puisque sans colère il est reçu de vous, En quoi peut-il du ciel mériter le courroux ? Vous seule en mes soupirs êtes intéressée,  C'est à vous à juger s'il vous ont offensée, Tels que seront pour eux vos arrêts tout-puissants, Ils seront criminels ou seront innocents. Que le ciel à son gré de ma perte dispose, J'en chérirai toujours et l'une et l'autre cause,  Glorieux de mourir pour le sang de mes rois, Et plus heureux encor de mourir sous vos lois. Aussi bien que ferais-je en ce commun naufrage ? Pourrais-je me résoudre à vivre davantage ? En vain les Dieux voudraient différer mon trépas,  Mon désespoir ferait ce qu'ils ne feraient pas. Mais peut-être après tout notre frayeur est vaine, Attendons... Mais voici Polynice et la reine."")","('#hemon', ""Quoi mon amour, Madame ? Et qu'a-t-il de funeste ? Est-ce un crime qu'aimer une beauté céleste ? Et puisque sans colère il est reçu de vous, En quoi peut-il du Ciel mériter le courroux ? Vous seule en mes soupirs êtes intéressée, C'est à vous à juger s'il vous ont offensée, Tels que seront pour eux vos arrêts tout puissants, Ils seront criminels ou seront innocents. Aussi quand jusqu'à vous j'osai porter ma flamme, Vos yeux seuls imprimaient la terreur de mon âme, Et je craignais bien plus que d'offenser vos appas, Que le courroux des Dieux que je n'offensais pas."")",0.0,Match
84,,"('#antigone', ""Autant que votre amour votre erreur est extrême, Et vous les offensiez beaucoup plus que moi-même ; Quelque rigueur pour vous qui parût en mes yeux, Hélas ! Ils approuvaient ce qui fâchait les Dieux. Oui, ces Dieux ennemis de toute ma famille, Aussi bien que le père en détestaient la fille, Vous aimâtes, Hémon, l'objet de leur courroux, Et leur haine pour moi s'étendit jusqu'à vous. C'est là de vos malheurs le funeste principe, Fuyez, Hémon, fuyez de la fille d'Oedipe, Tâchez de n'aimer plus, pour plaire aux immortels, Et la fille et le coeur de tant de criminels. Le crime en sa famille..."")",1.0,Deletion
85,"('#polynice', ""Madame, au nom des Dieux, cessez de m'arrêter. Je vois bien que la paix ne peut s'exécuter.  J'espérais que du ciel la justice infinie Voudrait se déclarer contre la tyrannie, Et que lassé de voir répandre tant de sang, Il rendrait à chacun son légitime rang, Mais puisque ouvertement il tient pour l'injustice,  Et que des criminels il se rend le complice, Dois-je encore espérer qu'un peuple révolté, Quand le ciel est injuste, écoute l'équité ? Dois-je prendre pour juge une troupe insolente, D'un fier usurpateur ministre violente,  Qui sert mon ennemi par un lâche intérêt, Et qu'il anime encor tout éloigné qu'il est ? La raison n'agit point sur une populace. De ce peuple déjà j'ai ressenti l'audace, Et loin de me reprendre après m'avoir chassé,  Il croit voir un tyran dans un prince offensé. Comme sur lui l'honneur n'eut jamais de puissance, Il croit que tout le monde aspire à la vengeance, De ses inimitiés rien n'arrête le cours, Quand il hait une fois il veut haïr toujours. "")","('#hemon', ""Ah ! Madame leur crime, Ne fait que relever votre vertu sublime, Puisque par un effort dont les dieux sont jaloux, Vous brillez d'un éclat qui ne vient que de vous. Que le Ciel à son gré de ma perte dispose, J'en chérirai toujours et l'une et l'autre cause, Glorieux de mourir pour le sang de mes Rois, Et plus heureux encor de mourir sous vos lois. Plût aux Dieux seulement que votre amant fidèle, Put avoir de leur haine une cause nouvelle, Et que pour vous aimer méritant leur courroux, Il put mourir encor pour être aimé de vous. Aussi bien que ferais-je en ce commun naufrage, Pourrais-je me résoudre à vivre davantage, En vain les Dieux voudraient différer mon trépas, Mon désespoir ferait ce qu'ils ne feraient pas, Mais peut-être en ce point notre frayeur est vaine, Attendons.... Mais voici Polynice et la Reine."")",0.0,Match
86,,"('#polynice', ""Madame, au nom des dieux, cessez de m'arrêter, Je vois bien que la paix ne peut s'exécuter. J'espérais que du ciel la justice infinie, Voudrait se déclarer contre la tyrannie, Et que lassé de voir tant répandre de sang, Il rendrait à chacun son légitime rang. Mais puisque ouvertement, il tient pour l'injustice, Et que des criminels il se rend le complice, Dois-je encore espérer qu'un peuple révolté, Quand le ciel est injuste écoute l'équité ? Dois-je prendre pour juge une troupe insolente, D'un fier usurpateur ministre violente, Qui sert mon ennemi par un lâche intérêt, Et qu'il anime encor tout éloigné qu'il est ? La raison n'agit point sur une populace, De ce peuple déjà, j'ai ressenti l'audace, Et loin de me reprendre après m'avoir chassé, Il croit voir un tyran dans un prince offensé. Comme sur lui l'honneur n'eut jamais de puissance ; Il croit que tout le monde aspire à la vengeance, De ses inimitiés rien n'arrête le cours, Quand il hait une fois il veut haïr toujours."")",1.0,Deletion
87,"('#jocaste', ""Mais s'il est vrai, mon fils, que ce peuple vous craigne, Et que tous les Thébains redoutent votre règne, Pourquoi par tant de sang cherchez-vous à régner Sur ce peuple endurci que rien ne peut gagner ?"")","('#jocaste', ""Mais s'il est vrai, mon fils, que ce peuple vous craigne, Et que tous les Thébains redoutent votre règne, Pourquoi par tant de sang cherchez-vous à régner Sur ce peuple endurci que rien ne peut gagner ?"")",0.0,Match
88,"('#polynice', ""Est-ce au peuple, Madame, à se choisir un maître ?  Sitôt qu'il hait un roi doit-on cesser de l'être ? Sa haine ou son amour sont-ce les premiers droits, Qui font monter au trône ou descendre les rois ? Que le peuple à son gré nous craigne ou nous chérisse, Le sang nous met au trône, et non pas son caprice ;  Ce que le sang lui donne il le doit accepter, Et s'il n'aime son prince il le doit respecter."")","('#polynice', ""Est-ce au peuple, Madame, à se choisir un maître ? Sitôt qu'il hait un roi doit-on cesser de l'être ? Sa haine ou son amour sont-ce les premiers droits, Qui font monter au trône ou descendre les Rois ? Que le peuple à son gré nous craigne ou nous chérisse, Le sang nous met au trône, et non pas son caprice ; Ce que le sang lui donne il le doit accepter, Et s'il n'aime son prince il le doit respecter."")",0.0,Match
89,"('#jocaste', 'Vous serez un tyran haï de vos provinces.')","('#jocaste', 'Vous serez un tyran haï de vos provinces.')",0.0,Match
90,"('#polynice', 'Ce nom ne convient pas aux légitimes princes ; De ce titre odieux mes droits me sont garants,  La haine des sujets ne fait pas les tyrans. Appelez de ce nom Étéocle lui-même.')","('#polynice', 'Ce nom ne convient pas aux légitimes princes, De ce titre odieux mes droits me sont garants, La haine des sujets ne fait pas les tyrans. Appelez de ce nom Étéocle lui-même.')",0.0,Match
91,"('#jocaste', 'Il est aimé de tous.')","('#jocaste', 'Il est aimé de tous.')",0.0,Match
92,"('#polynice', ""C'est un tyran qu'on aime, Qui par cent lâchetés tâche à se maintenir Au rang où par la force il a su parvenir.  Et son orgueil le rend par un effet contraire, Esclave de son peuple et tyran de son frère. Pour commander tout seul il veut bien obéir, Et se fait mépriser pour me faire haïr. Ce n'est pas sans sujet qu'on me préfère un traître.  Le peuple aime un esclave, et craint d'avoir un maître: Mais je croirais trahir la majesté des rois, Si je faisais le peuple arbitre de mes droits."")","('#polynice', ""C'est un tyran qu'on aime, Qui par cent lâchetés tâche à se maintenir, Au rang où par la force il a su parvenir. Et son orgueil le rend par un effet contraire, Esclave de son peuple, et tyran de son frère, Pour commander tout seul il veut bien obéir, Et se fait mépriser pour me faire haïr. Ce n'est pas sans sujet qu'on me préfère un traître, Le peuple aime un esclave, et craint d'avoir un maître : Mais je croirais trahir la majesté des rois, Si je faisais le peuple arbitre de mes droits."")",0.0,Match
93,"('#jocaste', ""Ainsi donc la discorde a pour vous tant de charmes !  Vous lassez-vous déjà d'avoir posé les armes ?  Ne cesserons-nous point, après tant de malheurs, Vous de verser du sang, moi de verser des pleurs ? N'accorderez-vous rien aux larmes d'une mère ? Ma fille, s'il se peut, retenez votre frère, Le cruel pour vous seule avait de l'amitié. "")","('#jocaste', ""Ainsi donc la discorde a pour vous tant de charmes ? Vous lassez-vous déjà d'avoir posé les armes ? Ne cesserons-nous point, après tant de malheurs, Vous de verser du sang, moi de verser des pleurs ? N'accorderez-vous rien aux larmes d'une mère ? Ma fille, s'il se peut retenez votre frère, Le cruel pour vous seule avait de l'amitié."")",0.0,Match
94,"('#antigone', ""Ah ! si pour vous son âme est sourde à la pitié, Que pourrais-je espérer d'une amitié passée, Qu'un long éloignement n'a que trop effacée ? À peine en sa mémoire ai-je encor quelque rang, Il n'aime, il ne se plaît qu'à répandre du sang.  Ne cherchez plus en lui ce prince magnanime, Ce prince qui montrait tant d'horreur pour le crime, Dont l'âme généreuse avait tant de douceur, Qui respectait sa mère et chérissait sa soeur. La nature pour lui n'est plus qu'une chimère,  Il méconnaît sa soeur, il méprise sa mère, Et l'ingrat en l'état où son orgueil l'a mis, Nous croit des étrangers ou bien des ennemis."")","('#antigone', ""Ah ! Si pour vous son âme est sourde à la pitié, Que pourrais-je espérer d'une amitié passée, Qu'un long éloignement n'a que trop effacée ? À peine en sa mémoire ai-je encor quelque rang, Et son coeur n'aime plus qu'à répandre du sang. Ne cherchez plus en lui ce prince magnanime, Ce prince qui montrait tant d'horreur pour le crime, Dont l'âme généreuse avait tant de douceur Qui respectait sa mère et chérissait sa soeur. La nature pour lui n'est plus qu'une chimère, Il méconnaît sa soeur, il méprise sa mère, Et l'ingrat en l'état où son orgueil l'a mis, Nous croit des étrangers ou bien des ennemis. Il revient, mais hélas ! C'est pour notre supplice, Je ne vois point mon frère, en voyant Polynice ; En vain il se présente à mes yeux éperdus, Je ne le connais point, il ne me connaît plus."")",0.0,Match
95,"('#polynice', ""N'imputez point ce crime à mon âme affligée. Dites plutôt, ma soeur, que vous êtes changée ;  Dites que de mon rang l'injuste usurpateur M'a su ravir encor l'amitié de ma soeur. Je vous connais toujours et suis toujours le même."")","('#polynice', ""N'imputez point ce crime à mon âme affligée. Dites plutôt, ma soeur, que vous êtes changée ; Dites que de mon rang l'injuste usurpateur, M'a su ravir encor l'amitié de ma soeur. De votre changement ce traître est le complice, Parce qu'il me déteste, il veut qu'on me haïsse, Aussi sans imiter votre exemple aujourd'hui, Votre haine ne fait que m'aigrir contre lui. Je vous connais toujours et suis toujours le même."")",0.0,Match
96,"('#antigone', ""Est-ce m'aimer, cruel, autant que je vous aime, Que d'être inexorable à mes tristes soupirs,  Et m'exposer encore à tant de déplaisirs ?"")","('#antigone', ""Est-ce m'aimer, cruel, autant que je vous aime, Que d'être inexorable à mes tristes soupirs, Et m'exposer encore à tant de déplaisirs ?"")",0.0,Match
97,"('#polynice', ""Mais vous-même, ma soeur, est-ce aimer votre frère, Que de lui faire ici cette injuste prière, Et me vouloir ravir le sceptre de la main ? Dieux ! qu'est-ce qu'Étéocle a de plus inhumain ?  C'est trop favoriser un tyran qui m'outrage."")","('#polynice', ""Mais vous-même, ma soeur, est-ce aimer votre frère, Que de lui faire enfin cette injuste prière, Et me vouloir ravir le sceptre de la main ? Dieux ! Qu'est-ce qu'Étéocle a de plus inhumain ? C'est trop favoriser un tyran qui m'outrage."")",0.0,Match
98,"('#antigone', ""Non non vos intérêts me touchent davantage ; Ne croyez pas mes pleurs perfides à ce point, Avec vos ennemis ils ne conspirent point. Cette paix que je veux me serait un supplice,  S'il en devait coûter le sceptre à Polynice, Et l'unique faveur, mon frère, où je prétends, C'est qu'il me soit permis de vous voir plus longtemps. Seulement quelques jours souffrez que l'on vous voie, Et donnez-nous le temps de chercher quelque voie,  Qui puisse vous remettre au rang de vos aïeux, Sans que vous répandiez un sang si précieux. Pouvez-vous refuser cette grâce légère Aux larmes d'une soeur, aux soupirs d'une mère ?"")","('#antigone', ""Non non vos intérêts me touchent davantage, Ne croyez pas mes pleurs perfides à ce point, Avec vos ennemis ils ne conspirent point. Cette paix, que je veux, me serait un supplice, S'il en devait coûter le sceptre à Polynice, Et l'unique faveur, mon frère, où je prétends, C'est qu'il me soit permis de vous voir plus longtemps. Seulement quelques jours souffrez que l'on vous voie, Et donnez-nous le temps de chercher quelque voie, Qui puisse vous remettre au rang de vos aïeux, Sans que vous répandiez un sang si précieux. Pouvez-vous refuser cette grâce légère, Aux larmes d'une soeur, aux soupirs d'une mère ?"")",0.0,Match
