,quinault-alceste,quinault-proserpine,Cost,Operation Type
87,"('#licomede', ""Quand on est sans espérance,  On est bientôt sans amour.  Mon Rival a la préférence,  Ce que j'aime est en sa puissance,  Je perds tout espoir en ce jour :  Quand on est sans espérance,  On est bientôt sans amour.  Voici l'heure qu'il faut que la Fête commence,  Chacun s'avance,  Préparons-nous. "")","('#alphee', ""Heureux qui peut être inconstant ! Rebuté des rigueurs d'une haine éternelle, J'ai voulu la quitter cette beauté cruelle, Et j'éprouve qu'en la quittant Mon coeur est encor moins content. J'ai feint de ressentir une flamme nouvelle, J'ai fait voir à ses yeux un dépit éclatant ; Mais hélas ! Dans le même instant Je brûlais en secret, je languissais pour elle, Et je ne l'aimai jamais tant. Qu'il coûte cher d'être fidèle ! Heureux qui peut être inconstant ! Crinise et Alphée répètent ensemble ces deux derniers vers."")",0.56,Substitution
88,"('#choeur', 'Vivez, vivez, heureux Époux. ')","('#crinise', ""Quelqu'un vient, gardez le silence."")",1.37,Substitution
89,"('#pheres', 'Jouissez des douceurs du noeud qui vous assemble. ')",,1.0,Insertion
90,"('#admete #alceste', ""Quand l'Hymen et l'Amour sont bien d'accord ensemble  Que les noeuds qu'ils forment sont doux ? "")",,1.0,Insertion
91,"('#choeur', 'Vivez, vivez, heureux Époux. ')",,1.0,Insertion
92,"('#deux-tritons', ""Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Partout où l'on mène  Les Coeurs amoureux,  On voit la Mer pleine  D'écueils dangereux ;  Mais sans quelque peine,  On n'est jamais heureux :  Une âme constante,  Après la tourmente,  Espère un beau jour.  Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  Une âme commune  S'étonne d'abord,  Le soin l'importune,  Le calme l'endort,  Mais quelle fortune  Fait-on sans quelque effort ?  Est-il un commerce  Exempt de traverse ?  Chacun doit risquer.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  On danse."")","('#alphee', ""C'est Ascalaphe qui s'avance Pour quelque soin pressant il quitte les enfers : Il n'a de mon amour que trop de connaissance, Où n'ai-je point porté la honte de mes fers ?"")",0.59,Substitution
93,"('#cephise', ""Jeunes Coeurs, laissez-vous prendre,  Le péril est grand d'attendre,  Vous perdez d'heureux moments  En cherchant à vous défendre.  Si l'Amour a des tourments,  C'est la faute des Amants.  On danse."")",,1.0,Insertion
94,"('#une-nymphe #cephise', ""Plus les âmes sont rebelles,  Plus leurs peines sont cruelles,  Les plaisirs doux et charmants  Sont le prix des coeurs fidèles :  Si l'Amour a des tourments,  C'est la faute des Amants. "")",,1.0,Insertion
95,"('#licomede', 'On vous apprête  Dans mon Vaisseau  Un divertissement nouveau. ')","('#alphee', ""Venez goûter ici le doux air qu'on respire."")",1.41,Substitution
96,"('#licomede #straton', ""Venez voir ce que notre fête  Doit avoir de plus beau.  LICOMÈDE conduit ALCESTE dans son Vaisseau, STRATON y mène CÉPHISE, et dans le temps qu'ADMÈTE et ALCIDE y veulent passer, le Pont s'enfonce dans la Mer. "")","('#ascalaphe', ""Je dois suivre le dieu de l'infernal empire. La terre par ses tremblements Vient d'ébranler les fondements De nos demeures sombres : Pluton a voulu voir si la clarté des cieux Ne s'ouvre point de passage en ces lieux Pour aller aux enfers effaroucher les ombres. Il me permet de voir Arethuse un moment."")",0.8,Substitution
97,"('#admete #alcide', ""Dieux ! Le Pont s'abîme dans l'eau. "")",,1.0,Insertion
98,"('#choeur', 'Ah quelle trahison funeste ! ')",,1.0,Insertion
99,"('#alceste #cephise', 'Au secours, au secours. ')",,1.0,Insertion
100,"('#alcide', 'Perfide... ')","('#alphee', ""D'où vous vient tant d'empressement ?"")",1.16,Substitution
101,"('#admete', 'Alceste... ')",,1.0,Insertion
102,"('#alcide #admete', 'Laissons les vains discours. Au secours, au secours. ')","('#ascalaphe', ""Je l'ai vue aux enfers ; que je la trouvais belle !"")",1.71,Substitution
103,"('#choeur-des-thessaliens', 'Au secours, au secours. ')",,1.0,Insertion
104,"('#thetis', ""Époux infortuné, redoute ma colère,  Tu vas hâter l'instant qui doit finir tes jours ;  C'est Thétis que la Mer révère,  Que tu vois contre toi du parti de son Frère.  Et c'est à la mort que tu cours. "")","('#alphee', ""L'ingrate me fuyait, elle est toujours cruelle."")",1.05,Substitution
105,"('#admete', 'Au secours, au secours. ')",,1.0,Insertion
106,"('#thetis', ""Puisqu'on méprise ma puissance ;  Que les vents déchaînés,  Que les flots mutinés  S'arment pour ma vengeance.  THETIS rentre dans la Mer, et les Aquilons excitent une tempête qui agite les Vaisseaux qui s'efforcent de poursuivre LICOMÈDE. "")","('#ascalaphe', 'Ses cruautés pour vous, ses soins pour fuir vos pas Ont encore à mes yeux augmenté ses appas.')",1.11,Substitution
107,"('#eole', ""Le Ciel protège les Héros :  Allez Admète, allez Alcide ;  Le Dieu qui sur les Dieux préside  M'ordonne de calmer les flots :  Allez, poursuivez un Perfide.  Retirez-vous,  Vents en courroux,  Rentrez dans vos prisons profondes :  Et laissez régner sur les ondes  Les Zéphyrs les plus doux.  L'orage cesse, les Zéphyrs volent et font fuir les Aquilons qui tombent dans la Mer avec les nuages qu'ils en avaient élevés, et les Vaisseaux d'ALCIDE et d'ADMÈTE poursuivent LICOMÈDE."")","('#alphee', ""Les flammes amoureuses Descendent-elles jusqu'à vous ? L'amour veut un séjour plus doux Que vos demeures ténébreuses."")",0.63,Substitution
108,"('#cephise', 'Alceste ne vient point, et nous devons attendre. ')",,1.0,Insertion
109,"('#straton', ""Que peut-elle prétendre ?  Pourquoi se tourmenter ici mal à propos ?  Ses cris ont beau se faire entendre,  Peut-être son Époux a péri dans les flots,  Et nous sommes enfin dans l'Île de Scyros. "")","('#ascalaphe', ""L'astre brillant qui vous luit Finit son cours dans les ondes, Il ne peut percer la nuit De nos demeures profondes ; Mais il n'est point de séjour Impénétrable à l'amour."")",0.85,Substitution
110,"('#cephise', ""Tu ne te plaindras point que j'en use de même :  Je t'ai donné peu d'embarras  Tu vois comme je suis tes pas. "")",,1.0,Insertion
111,"('#straton', 'Tu sais dissimuler une colère extrême. ')","('#alphee', ""Qu'espérez-vous d'une âme si sévère ? Mon amour ne peut l'émouvoir."")",0.93,Substitution
112,"('#cephise', ""Et si je te disais que c'est toi seul que j'aime ? "")","('#ascalaphe', 'Si vous ne savez pas le secret de lui plaire Un autre pourra le savoir.')",1.45,Substitution
113,"('#straton', 'Tu le dirais en vain, je ne te croirais pas.')","('#alphee', ""Saurez-vous de son coeur vaincre la résistance ? Est-ce aux enfers qu'on apprend ce secret ?"")",1.62,Substitution
114,"('#cephise', ""Crois-moi, si j'ai feint de changer  C'était pour te mieux engager. Un Rival n'est pas inutile,  Il réveille l'ardeur et les soins d'un Amant ;  Une conquête facile  Donne peu d'empressement,  Et l'Amour tranquille  S'endort aisément. "")","('#ascalaphe', ""On apprend aux enfers à garder le silence, Et l'on y sait être discret ; La nymphe que je cherche avec soin vous évite, Pour la trouver, il faut que je vous quitte."")",0.67,Substitution
115,"('#straton', ""Non, non, ne tente point une seconde ruse,  Je vois plus clair que tu ne crois.  On excuse d'abord un Amant qu'on abuse ;  Mais la sottise est sans excuse,  De se laisser tromper deux fois. "")","('#alphee', ""Amants qui n'êtes point jaloux, Que votre sort est doux ! L'amour m'a fait gémir sous une dure chaîne ; Mais quand je me plaignais de ses funestes coups Je ne connaissais pas le plus cruel de tous. Un autre aime Arethuse et ne craint point sa haine ; Et je vois sur moi seul tomber tout son courroux : C'était peu du malheur d'aimer une inhumaine, Le bonheur d'un rival a redoublé ma peine. Amants qui n'êtes point jaloux, Que votre sort est doux !"")",0.48,Substitution
116,"('#cephise', ""N'est-il aucun moyen d'apaiser ta colère ? "")","('#alphee', 'Ingrate, écoutez-moi, je ne veux plus me plaindre, Je ne vous dirai rien qui vous puisse alarmer.')",1.16,Substitution
117,"('#straton', ""Consens à m'épouser, et sans retardement. "")","('#arethuse', ""Vous cessez de m'aimer, Je cesse de vous craindre."")",1.6,Substitution
118,"('#cephise', ""Une si grande affaire  Ne se fait pas si promptement :  Un hymen qu'on diffère  N'en est que plus charmant. "")",,1.0,Insertion
119,"('#straton', ""Un hymen qui peut plaire  Ne coûte guère,  Et c'est un noeud bientôt formé ;  Rien n'est plus aisé que de faire  Un Époux, d'un Amant aimé. "")","('#alphee', 'Ascalaphe vous cherche ici, Bientôt vous le verrez paraître ; Arethuse, peut-être, Vous le cherchez aussi.')",1.46,Substitution
120,"('#cephise', ""Je t'aime d'un amour sincère ;  Et s'il est nécessaire,  Je m'offre à t'en faire un serment. "")","('#arethuse', ""L'aimable Proserpine en votre âme a fait naître Une nouvelle ardeur ; Si vous ne m'aimez plus, que vous sert de connaître Le secret de mon coeur ?"")",1.31,Substitution
121,"('#straton', 'Amusement, amusement.')",,1.0,Insertion
122,"('#cephise', ""L'injuste enlèvement d'Alceste  Attire dans ces lieux une guerre funeste,  Les plus braves des Grecs s'arment pour son secours :  Au milieu des cris et des larmes,  L'hymen a peu de charmes ;  Attendons de tranquilles jours.  Le bruit affreux des armes  Effarouche bien les Amours. "")","('#alphee', ""Faut-il que votre coeur à l'amour moins rebelle Récompense un amant sans éprouver sa foi ? Si ce bien eût été le prix du plus fidèle, Ah ! Vous savez, cruelle, Qu'il n'était dû qu'à moi."")",1.01,Substitution
123,"('#straton', ""Discours, discours, discours.  Tu n'as qu'à m'épouser pour m'ôter tout ombrage ?  Pourquoi différer davantage ?  À quoi servent tant de façons ? "")","('#arethuse', ""Votre nouvelle chaîne est si belle et si forte ! Pourquoi songer encore à des liens rompus. Que vous importe Qu'un autre emporte Un prix qui ne vous touche plus ?"")",1.56,Substitution
124,"('#cephise', ""Rends-moi la liberté pour m'épouser sans crainte ;  Un hymen fait avec contrainte  Est un mauvais moyen de finir tes soupçons. "")","('#alphee', ""Vous avez fui les soins de mon amour extrême, Vous m'avez ôté tout espoir : Si je disais que je vous aime, Vous m'ôteriez encor le plaisir de vous voir."")",0.97,Substitution
125,"('#straton', 'Chansons, chansons, chansons. ')",,1.0,Insertion
126,"('#licomede', 'Allons, allons, la plainte est vaine. ')",,1.0,Insertion
127,"('#alceste', 'Ah ! Quelle rigueur inhumaine ! ')",,1.0,Insertion
128,"('#licomede', 'Allons, je suis sourd à vos cris,  Je me venge de vos mépris. ')","('#arethuse #alphee', ""C'est une autre que moi qui règne dans votre âme, C'est un autre que moi qui règne dans votre âme, Vous trouvez d'autres noeuds plus doux : En vain je veux cacher ma flamme, Mon amour paraît trop dans mes transports jaloux ; Non, je ne puis aimer que vous."")",0.84,Substitution
129,"('#alceste', 'Quoi ! Vous serez inexorable ? ')",,1.0,Insertion
130,"('#licomede', ""Cruelle, vous m'avez appris  À devenir impitoyable. "")",,1.0,Insertion
131,"('#alceste', ""Est-ce ainsi que l'Amour a su vous émouvoir ?  Est-ce ainsi que pour moi votre âme est attendrie ? "")","('#arethuse', 'Est-il vrai que mon coeur soit en votre puissance ?')",0.36,Substitution
132,"('#licomede', ""L'Amour se change en Furie,  Quand il est au désespoir ;  Puisque je perds toute espérance,  Je veux désespérer mon rival à son tour ;  Et les douceurs de la Vengeance  Ont de quoi consoler des rigueurs de l'Amour. "")","('#ascalaphe', ""Je vous aime sans espérance ; J'ai voulu soulager mon mal Par le chagrin de mon rival. Dans les enfers, c'est ainsi qu'on en use : Mes maux n'ont pu trouver d'autre adoucissement. Pardonnez-moi, belle Arethuse, Je ne suis pas le seul qui se vante en aimant De posséder un coeur qu'on lui refuse. Mais Alphée aujourd'hui n'est plus tant rebuté ? Vous ne fuyez plus sa présence ?"")",0.0,Match
133,"('#alceste', ""Voyez la douleur qui m'accable. "")","('#arethuse', 'Pour punir votre vanité Je veux que vous voyez triompher sa constance.')",1.55,Substitution
134,"('#licomede', ""Vous avez sans pitié regardé ma douleur,  Vous m'avez rendu misérable,  Vous partagerez mon malheur. "")","('#ascalaphe', ""En lui donnant la préférence, Vous me rendez la liberté. Le dépit qui me possède Me guérira promptement, Vous en faites mon tourment, Et j'en ferai mon remède."")",0.47,Substitution
135,,"('#arethuse #alphee', ""Pour être heureux, il faut qu'on aime bien."")",1.0,Deletion
136,"('#alceste', ""Admète avait mon coeur dès ma plus tendre enfance ;  Nous ne connaissions pas l'Amour ni sa puissance.  Lorsque d'un noeud fatal il vint nous enchaîner :  Ce n'est pas une grande offense  Que le refus d'un coeur qui n'est plus à donner. "")","('#ascalaphe', ""Pour être heureux il faut qu'on n'aime rien. Mais Pluton va bientôt rentrer dans son empire : Il passe en ces lieux, il admire Les charmes d'un séjour si doux."")",1.15,Substitution
137,"('#licomede', ""Est-ce aux Amants qu'on désespère  À devoir rien examiner ?  Non, je ne puis vous pardonner  D'avoir trop su me plaire.  Que ne m'ont point coûté vos attraits !  Ils ont mis dans mon coeur une cruelle flamme ;  Ils ont arraché de mon âme  L'innocence et la paix.  Non, Ingrate, non, Inhumaine,  Non, quelque soit votre peine,  Non, je ne vous rendrai jamais  Tous les maux que vous m'avez faits. "")","('#pluton', ""Demeurez Arethuse, Alphée éloignez-vous. Alphée se retire, et Pluton continue à parler. Les efforts d'un géant qu'on croyait accablé Ont fait encor frémir le ciel, la terre, et l'onde Mon Empire s'en est troublé ; Jusqu'au centre du monde Mon trône en a tremblé. L'affreux Typhoée avec sa vaine rage Trébuche enfin dans des gouffres sans fonds. L'éclat du jour ne s'ouvre aucun passage Pour pénétrer les royaumes profonds Qui me sont échus en partage. Le ciel ne craindra plus que ses fiers ennemis Se relèvent jamais de leur chute mortelle, Et du monde ébranlé par leur fureur rebelle Les fondements sont raffermis : Je puis faire goûter une paix éternelle Aux peuples souterrains que le sort m'a soumis. Mais par vos soins puis-je voir Proserpine Avant que de quitter cet aimable séjour ?"")",0.43,Substitution
138,"('#straton', ""Voici l'Ennemi qui s'avance  En diligence. "")",,1.0,Insertion
139,"('#licomede', 'Préparons-nous  À nous défendre. ')",,1.0,Insertion
140,"('#alceste', ""Ah ! Cruel, que n'épargnez-vous  Le sang qu'on va répandre ! "")",,1.0,Insertion
141,"('#licomede #soldats', ""Périssons-tous,  Plutôt que de nous rendre.  LICOMÈDE contraint ALCESTE d'entrer dans la Ville, CÉPHISE la suit, et les soldats de LICOMÈDE ferment la Porte de la Ville aussitôt qu'ils y sont entrés. "")",,1.0,Insertion
142,"('#admete #alcide', 'Marchez, marchez, marchez :  Approchez, Amis, approchez,  Marchez, marchez, marchez :  Hâtons-nous de punir les Traîtres,  Rendons-nous maîtres  Des murs qui les tiennent cachés :  Marchez, marchez, marchez : ')","('#arethuse', ""Cette fière beauté s'obstine À fuir les amants et l'amour. Dans l'innocent repos de cette solitude Elle évite les dieux De la terre et des cieux : Jugez de son inquiétude Si le Dieu des Enfers paraissait à ses yeux. Caché sous cet épais feuillage Vous pourriez la voir un moment."")",0.97,Substitution
143,"('#licomede', 'Ne prétendez pas nous surprendre,  Venez, nous allons vous attendre :  Nous ferons tous notre devoir  Pour vous bien recevoir. ')","('#pluton', ""Allez, il suffira que votre soin l'engage À venir dans ce lieu charmant, Et si je puis la voir il n'importe comment."")",0.68,Substitution
144,,"('#ascalaphe', ""J'ai peine à concevoir d'où vient le trouble extrême Où le coeur de Pluton semble s'abandonner."")",1.0,Deletion
145,"('#straton', 'Nous ferons tous notre devoir  Pour vous bien recevoir. ')",,1.0,Insertion
146,"('#admete', 'Perfide, évite un sort funeste,  On te pardonne tout si tu veux rendre Alceste. ')","('#pluton', ""Tu peux t'en étonner, J'en suis surpris moi-même J'ai trouvé Proserpine en visitant ces lieux. Les pleurs coulaient de ses beaux yeux : Elle fuyait, interdite, et tremblante ; Pour implorer l'assistance des dieux Elle tournait ses regards vers les cieux : Sa douleur et son épouvante Rendaient encor sa beauté plus touchante. Les accents plaintifs de sa voix Ont ému mon coeur inflexible ; Qu'un coeur fier est troublé quand il devient sensible Pour la première fois !"")",0.94,Substitution
147,"('#licomede', ""J'aime mieux mourir, s'il le faut,  Que de céder jamais cet Objet plein de charmes. "")","('#ascalaphe', ""Contre l'amour quel coeur peut se défendre ? Le temps d'aimer n'est pas connu, Il faut l'attendre ; Quand ce temps fatal est venu, Il faut se rendre. Contre l'amour quel coeur peut se défendre ?"")",0.53,Substitution
148,"('#admete #alcide', ""À l'assaut, à l'assaut. "")",,1.0,Insertion
149,"('#licomede #straton', 'Aux Armes, aux Armes.')",,1.0,Insertion
150,"('#les-assiegeants', ""À l'assaut, à l'assaut. "")",,1.0,Insertion
151,"('#les-assieges', 'Aux armes, aux armes.')",,1.0,Insertion
152,"('#admete #licomede', 'À moi, Compagnons, à moi.  À moi, suivez votre Roi. ')","('#pluton', ""De ce dieu si puissant je méprisais les feux, J'éprouve enfin sa vengeance cruelle. Je l'ai vu ce dieu dangereux, Il suivait Proserpine, il volait après elle. J'ai vu de sa fatale main Partir un trait de flamme, J'ai voulu l'éviter en vain, Le coup a pénétré jusqu'au fond de mon âme."")",1.37,Substitution
153,"('#alcide', ""C'est Alcide  Qui vous guide. "")",,1.0,Insertion
154,"('#admete #alcide #licomede', 'À moi, Compagnons, à moi.  On fait avancer des Béliers et autres Machines de guerre  pour battre la Place.')",,1.0,Insertion
155,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')",,1.0,Insertion
156,"('#les-assiegeants', ""Que chacun à l'envi combatte ;  Que l'on abatte  Les Murs, et les Remparts. "")","('#ascalaphe', ""L'amour a surmonté le maître des enfers ; Il n'a plus rien à vaincre après cette victoire."")",1.44,Substitution
157,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')",,1.0,Insertion
158,"('#les-assieges', ""Que les ennemis pêle-mêle,  Trébuchent sous l'affreuse grêle  De nos flèches, et de nos dards. "")","('#pluton-ascalaphe', ""L'amour comblé de gloire Triomphe de tout l'univers."")",1.52,Substitution
159,"('#tous', 'Donnons, donnons de toutes parts.  Courage, courage, courage,  Ils sont à nous, ils sont à nous. ')","('#proserpine #nymphes', 'Les beaux jours et la paix Sont revenus ensemble.')",1.46,Substitution
160,"('#alcide', ""C'est trop disputer l'avantage,  Je vais vous ouvrir un passage,  Suivez-moi tous, suivez-moi tous. "")",,1.0,Insertion
161,"('#tous', 'Courage, courage, courage,  Ils sont à nous, ils sont à nous.  Les assiégés voyant leurs Remparts à demi abattus,  et la Porte de la Ville enfoncée,  font un dernier effort dans une Sortie,  pour repousser les Assiégeants. ')","('#pluton', ""La troupe des nymphes s'assemble, Retirons-nous sous ce feuillage épais. Pluton et Ascalaphe se retirent et se cachent, et Proserpine et ses nymphes s'avancent en dansant et en chantant."")",1.09,Substitution
162,"('#les-assiegeants', ""Achevons d'emporter la Place ;  L'Ennemi commence à plier.  Main basse, main basse, main basse. ."")",,1.0,Insertion
163,"('#les-assieges', 'Quartier, quartier, quartier. ')",,1.0,Insertion
164,"('#les-assiegeants', 'La Ville est prise. ')",,1.0,Insertion
165,"('#les-assieges', 'Quartier, quartier, quartier. ')",,1.0,Insertion
166,"('#licas', 'Il faut rendre Céphise. ')",,1.0,Insertion
167,"('#straton', 'Je suis ton prisonnier,  Quartier, quartier, quartier. ')",,1.0,Insertion
168,"('#pheres', ""Courage, Enfants, je suis à vous ;  Mon bras va seconder vos coups :  Mais c'en est déjà fait, et l'on a pris la Ville ;  La faiblesse de l'âge a retardé mes pas :  La valeur devient inutile  Quand la force n'y répond pas.  Que la Vieillesse est lente,  Les efforts qu'elle tente  Sont toujours impuissants :  C'est une charge bien pesante  Qu'un fardeau de quatre-vingts ans. "")","('#proserpine #nymphes', ""Les beaux jours et la paix On ne voit plus de coeur qui tremble, Tout rit dans ces lieux pleins d'attraits. Les beaux jours et la paix Sont revenus ensemble. Proserpine et ses nymphes continuent leurs danses et leurs chants."")",1.0,Substitution
169,"('#alcide', 'Rendez à votre Fils cette aimable Princesse. ')","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",0.96,Substitution
170,"('#pheres', 'Ce don de votre main serait encor plus doux. ')","('#le-choeur', ""On ne trouve rien de doux Quand on est dans l'esclavage."")",1.06,Substitution
171,"('#alcide', 'Allez, allez la rendre à son heureux Époux. ')","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.02,Substitution
172,"('#alceste', 'Tout est soumis, la guerre cesse ;  Seigneur, pourquoi me laissez-vous ?  Quel nouveau soin vous presse ?')",,1.0,Insertion
173,"('#alcide', ""Vous n'avez rien à redouter,  Je vais chercher ailleurs des Tyrans à dompter. "")",,1.0,Insertion
174,"('#alceste', ""Les noeuds d'une amitié pressante  Ne retiendront-ils point votre âme impatiente ?  Et la Gloire vous doit-elle emporter ? "")","('#le-choeur', ""Les amants n'ont en partage Que langueurs, que soins jaloux."")",0.62,Substitution
175,"('#alcide', ""Gardez-vous bien de m'arrêter. "")",,1.0,Insertion
176,"('#alceste', ""C'est votre valeur triomphante  Qui fait le sort charmant que nous allons goûter ;  Quelque douceur que l'on ressente,  Un ami tel que vous l'augmente ;  Voulez-vous sitôt nous quitter ? "")","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",0.48,Substitution
177,"('#alcide', ""Gardez-vous bien de m'arrêter.  Laissez ; laissez-moi fuir un charme qui m'enchante :  Non, toute ma vertu n'est pas assez puissante  Pour répondre d'y résister.  Non, encore une fois, Princesse trop charmante,  Gardez-vous bien de m'arrêter. "")","('#le-choeur', 'Belles fleurs charmant ombrage, Il ne faut aimer que vous.')",0.81,Substitution
178,"('#tous', 'Cherchons Admète promptement. ')",,1.0,Insertion
179,"('#alceste', ""Peut-on chercher ce qu'on aime  Avec trop d'empressement !  Quand l'amour est extrême,  Le moindre éloignement  Est un cruel tourment. "")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",0.74,Substitution
180,"('#tous', 'Cherchons Admète promptement. ')","('#le-choeur', ""Dans les plus aimables noeuds On n'a point de bien paisible."")",1.43,Substitution
181,"('#alceste', 'Ô Dieux ! Quel spectacle funeste ! ')",,1.0,Insertion
182,"('#cleante', ""Le chef des Ennemis mourant et terrassé,  De sa rage expirante a ramassé le reste,  Le Roi vient d'en être blessé. "")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.16,Substitution
183,"('#admete', 'Je meurs, charmante Alceste ;  Mon sort est assez doux,  Puisque je meurs pour vous. ')","('#le-choeur', ""C'est toujours un mal terrible Que l'ardeur des plus beaux feux."")",1.53,Substitution
184,"('#alceste', ""C'est pour vous voir mourir que le Ciel me délivre ! "")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.19,Substitution
185,"('#admete', ""Avec le nom de votre Époux  J'eusse été trop heureux de vivre ;  Mon sort est assez doux,  Puisque je meurs pour vous. "")","('#le-choeur', 'Quand un coeur est trop sensible Rien ne peut le rendre heureux.')",0.93,Substitution
186,"('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ?  Fallait-il que sitôt l'aveugle sort des armes  Tranchât des noeuds si beaux, par un affreux trépas ?  Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")","('#proserpine', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Le jour n'éclaire Que pour nous plaire, Ces arbres verts. Ont leur plus beau feuillage, Et mille oiseaux divers Dans ce bocage Imitent nos concerts Par leur ramage ; Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Tout s'intéresse Dans nos désirs, Jamais l'amour ne nous blesse, Les doux plaisirs Sont pour les coeurs sans faiblesse. Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur."")",0.45,Substitution
187,"('#admete', 'Belle Alceste, ne pleurez pas,  Tout mon sang ne vaut point vos larmes. ')","('#le-choeur', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Pour nous défendre D'un amour tendre, Avec fierté, Nous avons pris les armes : Nos biens n'ont point coûté De tristes larmes, La liberté N'a jamais que des charmes : Que notre vie, etc."")",0.82,Substitution
188,"('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")","('#proserpine', 'Nous reverrons bientôt Cérès dans ces beaux lieux, Il faut lui préparer des guirlandes nouvelles. Séparons-nous ; voyons qui sait le mieux Assortir les fleurs les plus belles.')",1.13,Substitution
189,"('#admete', 'Alceste, vous pleurez ? ')","('#nymphes', ""Voyons qui sait le mieux Assortir les fleurs les plus belles. Les nymphes s'écartent, Proserpine et Cyané cueillent des fleurs."")",1.55,Substitution
190,,"('#pluton', 'Infernales divinités Secondez mon amour, sortez. Une troupe de divinités infernales sort de la terre, et le char de Pluton paraît en même temps.')",1.0,Deletion
191,,"('#proserpine', 'Ciel ! Prenez ma défense !')",1.0,Deletion
192,"('#alceste', 'Admète, vous mourez. ')","('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.27,Substitution
193,"('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')","('#pluton #ascalaphe #divinites-infernales', 'Proserpine ne craignez pas Un dieu charmé de vos appas.')",1.39,Substitution
194,,"('#cyane', ""Qu'elle barbare violence !"")",1.0,Deletion
195,"('#alceste', ""Se peut-il que le Ciel permette,  Que les coeurs d'Alceste et d'Admète  Soient ainsi séparés ? "")","('#pluton', ""Nymphe, crains ma vengeance : Sur peine de perdre la voix. Garde-toi de parler de tout ce que tu vois. L'écharpe de Proserpine demeure dans les mains de Cyané, et Pluton fait placer Proserpine près de lui sur son char."")",1.39,Substitution
196,"('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')","('#proserpine', 'Ciel ! Prenez ma défense !')",1.53,Substitution
197,,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.0,Deletion
198,"('#apollon', ""La lumière aujourd'hui te doit être ravie ;  Il n'est qu'un seul moyen de prolonger ton sort.  Le Destin me promet de te rendre la vie,  Si quelque autre pour toi veut s'offrir à la mort.  Reconnais si quelqu'un t'aime parfaitement,  Sa mort aura pour prix une immortelle gloire :  Pour en conserver la mémoire,  Les Arts vont élever un pompeux Monument.  Les Arts qui sont autour d'Apollon se séparent sur des Nuages différents, et tous descendent pour élever un Monument superbe, tandis qu'Apollon s'envole. "")","('#pluton #ascalaphe #divinites-infernales', 'Proserpine, ne craignez pas, Un dieu charmé de vos appas.')",0.85,Substitution
199,"('#alceste', ""Ah ! Pourquoi nous séparez-vous ?  Eh du moins, attendez que la mort nous sépare ;  Cruels, quel pitié barbare  Vous presse d'arracher Alceste à son Époux ?  Ah ! Pourquoi nous séparez-vous ? "")","('#tous-ensemble', ""Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ? Ô disgrâce cruelle ! L'écho fidèle Au fond des bois Répond à notre voix ; Proserpine ? Ah faut-il qu'en vain on vous appelle ! Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ?"")",0.49,Substitution
200,"('#pheres #cephise', ""Plus votre Époux mourant voit d'amour et d'appas,  Et plus le jour qu'il perd lui doit faire d'envie :  Ce sont les douceurs de la vie  Qui font les horreurs du trépas. "")",,1.0,Insertion
