,crebillon-catilina,voltaire-rome-sauvee,Cost,Operation Type
34,,"('#ciceron', ""Marius et Sylla, qui la mirent en cendre, Ont mieux servi l'état, et l'ont mieux défendu. Les tyrans ont toujours quelque ombre de vertu ; Ils soutiennent les lois avant de les abattre."")",1.0,Deletion
35,"('#tullie', ""Ah ! Ce n'est qu'à vous seuls, grands dieux ! Que je m'adresse, Et non à des cruels qu'aucun remords ne presse ; Monstres, dont la fureur brave les immortels, Et que le crime suit jusqu'au pied des autels ; Qui, tout baignés d'un sang qui demande vengeance, Osent des dieux vengeurs insulter la présence. Le sang de Nonius versé près de ces lieux Fume encore ; et voilà l'encens qu'on offre aux dieux ! La sacrilège main qui vient de le répandre N'attend plus qu'un flambeau pour mettre Rome en cendre. Ce n'est point Mithridate, ennemi des romains, Ni le gaulois altier, qui forme ces desseins ; Grands dieux ! C'est une main plus fatale et plus chère, Qui menace à la fois la patrie et mon père : Ces excès de fureur, inconnus à Sylla, N'étaient faits que pour toi, traître Catilina."")","('#catilina', ""Ah ! Si vous soupçonnez ceux qui savent combattre, Accusez donc César, et Pompée, et Crassus. Pourquoi fixer sur moi vos yeux toujours déçus ? Parmi tant de guerriers, dont on craint la puissance, Pourquoi suis-je l'objet de votre défiance ? Pourquoi me choisir, moi ? par quel zèle emporté ?..."")",0.0,Match
36,,"('#ciceron', ""Vous-même jugez-vous ; l'avez-vous mérité ?"")",1.0,Deletion
37,"('#catilina', ""D'un reproche odieux réprimez la licence, Madame, ou contraignez vos soupçons au silence ; Songez pour violer le respect qui m'est dû Qu'il faut auparavant que je sois convaincu ; Qu'il faut l'être soi-même avant que d'oser croire La moindre lâcheté qui peut flétrir ma gloire ; Que l'amour est déchu de son autorité Dès qu'il veut de l'honneur blesser la dignité : Souvenez-vous enfin qu'un généreux courage Pardonne à qui le hait, mais point à qui l'outrage."")","('#catilina', ""Non, mais j'ai trop daigné m'abaisser à l'excuse ; Et plus je me défends, plus Cicéron m'accuse. Si vous avez voulu me parler en ami, Vous vous êtes trompé, je suis votre ennemi : Si c'est en citoyen, comme vous je crois l'être, Et si c'est en consul, ce consul n'est pas maître ; Il préside au sénat, et je peux l'y braver."")",0.0,Match
38,"('#tullie', ""Et qu'ai-je à redouter de ton inimitié ? Tu ne me verras point implorer ta pitié, Cruel ! Tu peux porter à la triste Tullie Tous les coups que ta main réserve à la patrie ; Borne tes cruautés à déchirer un coeur Qui s'est déshonoré par une lâche ardeur ; Ce coeur, que trop longtemps a souillé ton image, N'est plus digne aujourd'hui que d'opprobre et d'outrage ; Rien ne peut expier la honte de mes feux : Mais ne présume pas que ce coeur malheureux, Que tes fausses vertus t'ont rendu favorable, T'épargne un seul moment dès qu'il te sait coupable ; Tu le verras plus prompt à s'armer contre toi Qu'il ne le fut jamais à t'engager sa foi. Grands dieux ! N'ai-je brûlé d'une flamme si pure Que pour un assassin, un rebelle, un parjure ! Et le barbare encore insulte à ma douleur ! Il veut que mon devoir respecte sa fureur ! Mais, cruel ! Mon amour n'en sera point complice ; Dût-on charger ma main du soin de ton supplice, Je n'hésiterai point à te sacrifier. Tu n'as plus qu'un moment à te justifier."")","('#ciceron', ""J'y punis les forfaits ; tremble de m'y trouver. Malgré toute ta haine, à mes yeux méprisable, Je t'y protégerai, si tu n'es point coupable : Fuis Rome, si tu l'es."")",0.0,Match
39,"('#catilina', 'Et de quoi voulez-vous que je me justifie ?')","('#catilina', ""C'en est trop ; arrêtez. C'est trop souffrir le zèle où vous vous emportez. De vos vagues soupçons j'ai dédaigné l'injure ; Mais après tant d'affronts que mon orgueil endure, Je veux que vous sachiez que le plus grand de tous N'est pas d'être accusé, mais protégé par vous."")",1.27,Substitution
40,"('#tullie', ""D'un complot qui bientôt te coûtera la vie. Mais puisque ton orgueil s'obstine à le nier, Et que tu me réduis, traître, à t'humilier, Esclave, paraissez."")","('#ciceron', ""Le traître pense-t-il, à force d'insolence, Par sa fausse grandeur prouver son innocence ? Tu ne peux m'imposer, perfide ; ne crois pas Éviter l'oeil vengeur attaché sur tes pas."")",0.23,Substitution
41,"('#catilina', ""Que vois-je ? C'est Fulvie !"")","('#ciceron', 'Eh bien ! Ferme Caton, Rome est-elle en défense ?')",1.25,Substitution
42,"('#tullie', ""Parlez ; je vous l'ordonne au nom de la patrie."")","('#caton', 'Vos ordres sont suivis. Ma prompte vigilance A disposé déjà ces braves chevaliers Qui sous vos étendards marcheront les premiers. Mais je crains tout du peuple, et du sénat lui-même.')",0.96,Substitution
43,,"('#ciceron', 'Du sénat ?')",1.0,Deletion
44,,"('#caton', 'Enivré de sa grandeur suprême, Dans ses divisions il se forge des fers.')",1.0,Deletion
45,,"('#ciceron', ""Les vices des Romains ont vengé l'univers, La vertu disparaît, la liberté chancelle ; Mais Rome a des Catons, j'espère encor pour elle."")",1.0,Deletion
46,,"('#caton', ""Ah ! Qui sert son pays sert souvent un ingrat. Votre mérite même irrite le sénat ; Il voit d'un oeil jaloux cet éclat qui l'offense."")",1.0,Deletion
47,,"('#ciceron', ""Les regards de Caton seront ma récompense. Au torrent de mon siècle, à son iniquité, J'oppose ton suffrage et la postérité. Faisons notre devoir : les dieux feront le reste."")",1.0,Deletion
48,"('#fulvie', ""Qui ? Moi parler, Madame ! à quel péril affreux Exposez-vous ici les jours d'un malheureux ! D'un romain, quel qu'en soit le rang et la naissance, Je sais combien je dois respecter la présence ; De celui-ci surtout je redoute l'aspect."")","('#caton', ""Eh ! Comment résister à ce torrent funeste, Quand je vois dans ce temple, aux vertus élevé, L'infâme trahison marcher le front levé ? Croit-on que Mallius, cet indigne rebelle, Ce tribun des soldats, subalterne infidèle, De la guerre civile arborât l'étendard ; Qu'il osât s'avancer vers ce sacré rempart, Qu'il eût pu fomenter ces ligues menaçantes, S'il n'était soutenu par des mains plus puissantes, Si quelque rejeton de nos derniers tyrans N'allumait en secret des feux plus dévorants ? Les premiers du sénat nous trahissent peut-être ; Des cendres de Sylla les tyrans vont renaître. César fut le premier que mon coeur soupçonna. Oui, j'accuse César."")",0.3,Substitution
49,"('#tullie', ""Parlez, et dépouillez ce frivole respect : Un esclave enhardi par le salut de Rome Doit-il tant s'effrayer à l'aspect d'un seul homme ? Connaissez-vous celui qui paraît à vos yeux ? Répondez ; quel est-il ?"")","('#ciceron', ""Et moi, Catilina ! De brigues, de complots, de nouveautés avide, Vaste dans ses projets, impétueux, perfide, Plus que César encor je le crois dangereux, Beaucoup plus téméraire, et bien moins généreux, Je viens de lui parler ; j'ai vu sur son visage, J'ai vu dans ses discours son audace et sa rage, Et la sombre hauteur d'un esprit affermi, Qui se lasse de feindre, et parle en ennemi. De ses obscurs complots je cherche les complices. Tous ses crimes passés sont mes premiers indices. J'en préviendrai la suite."")",0.51,Substitution
50,"('#fulvie', ""C'est un séditieux ; Je ne connais que trop ce mortel redoutable, Et le plus grand de tous, s'il était moins coupable. Oui, Madame, c'est lui ; voilà le furieux Qui veut souiller de sang sa patrie et ses dieux, Égorger le sénat, immoler votre père, Et la flamme à la main désoler Rome entière."")","('#caton', ""Il a beaucoup d'amis ; Je crains pour les Romains des tyrans réunis. L'armée est en Asie, et le crime est dans Rome ; Mais pour sauver l'état il suffit d'un grand homme."")",0.21,Substitution
51,"('#catilina', ""Quoi ! Vous osez commettre un homme tel que moi Avec des malheureux si peu dignes de foi ! Et vous me réduisez à souffrir qu'un esclave, Au mépris de mon rang, me flétrisse et me brave ! Ah ! C'est pousser l'injure et l'audace trop loin."")","('#ciceron', ""Si nous sommes unis, il suffit de nous deux. La discorde est bientôt parmi les factieux. César peut conjurer, mais je connais son âme ; Je sais quel noble orgueil le domine et l'enflamme. Son coeur ambitieux ne peut être abattu Jusqu'à servir en lâche un tyran sans vertu. Il aime Rome encore, il ne veut point de maître ; Mais je prévois trop bien qu'un jour il voudra l'être. Tous deux jaloux de plaire, et plus de commander, Ils sont montés trop haut pour jamais s'accorder. Par leur désunion Rome sera sauvée. Allons, n'attendons pas que, de sang abreuvée, Elle tende vers nous ses languissantes mains, Et qu'on donne des fers aux maîtres des humains."")",0.16,Substitution
52,,"('#cethegus', ""Tandis que tout s'apprête, et que ta main hardie Va de Rome et du monde allumer l'incendie, Tandis que ton armée approche de ces lieux, Sais-tu ce qui se passe en ces murs odieux ?"")",1.0,Deletion
53,"('#tullie', ""Ingrat, rougis du crime, et non pas du témoin : Mais en vain ton orgueil s'attache à le confondre ; Vanter ta dignité, ce n'est pas me répondre. Adieu. Vous, suivez-moi. À Fulvie."")","('#catilina', ""Je sais que d'un consul la sombre défiance Se livre à des terreurs qu'il appelle prudence ; Sur le vaisseau public ce pilote égaré Présente à tous les vents un flanc mal assuré ; Il s'agite au hasard, à l'orage il s'apprête, Sans savoir seulement d'où viendra la tempête. Ne crains rien du sénat : ce corps faible et jaloux Avec joie en secret l'abandonne à nos coups. Ce sénat divisé, ce monstre à tant de têtes, Si fier de sa noblesse, et plus de ses conquêtes, Voit avec les transports de l'indignation Les souverains des rois respecter Cicéron. César n'est point à lui, Crassus le sacrifie. J'attends tout de ma main, j'attends tout de l'envie. C'est un homme expirant qu'on voit d'un faible effort Se débattre et tomber dans les bras de la mort."")",0.33,Substitution
54,,"('#cethegus', 'Il a des envieux, mais il parle, il entraîne ; Il réveille la gloire, il subjugue la haine ; Il domine au sénat.')",1.0,Deletion
55,"('#catilina', ""Non, non, il n'est plus temps, Cet esclave est chargé d'avis trop importants : D'ailleurs dès qu'avec lui vous osez me commettre Souffrez qu'en d'autres mains je puisse le remettre. Probus, venez à nous."")","('#catilina', ""Je le brave en tous lieux ; J'entends avec mépris ses cris injurieux : Qu'il déclame à son gré jusqu'à sa dernière heure ; Qu'il triomphe en parlant, qu'on l'admire, et qu'il meure. De plus cruels soucis, des chagrins plus pressants, Occupent mon courage, et règnent sur mes sens."")",0.57,Substitution
56,"('#tullie', 'Quel est donc ton dessein ?')","('#cethegus', ""Que dis-tu ? qui t'arrête en ta noble carrière ? Quand l'adresse et la force ont ouvert la barrière, Que crains-tu ?"")",0.97,Substitution
57,,"('#catilina', ""Ce n'est pas mes nombreux ennemis ; Mon parti seul m'alarme, et je crains mes amis, De Lentulus-Sura l'ambition jalouse, Le grand coeur de César, et surtout mon épouse."")",1.0,Deletion
58,,"('#cethegus', ""Ton épouse ? Tu crains une femme et des pleurs ? Laisse-lui ses remords, laisse-lui ses terreurs ; Tu l'aimes, mais en maître, et son amour docile Est de tes grands desseins un instrument utile."")",1.0,Deletion
59,"('#catilina', ""C'est au nom du sénat et du peuple romain, Qui de ces lieux sacrés vous fit dépositaire, Probus, qu'entre vos mains je mets ce téméraire."")","('#catilina', ""Je vois qu'il peut enfin devenir dangereux. Rome, un époux, un fils, partagent trop ses voeux. Ô Rome ! Ô nom fatal ! Ô liberté chérie ! Quoi ! Dans ma maison même on parle de patrie ! Je veux qu'avant le temps fixé pour le combat, Tandis que nous allons éblouir le sénat, Ma femme, avec mon fils, de ces lieux enlevée, Abandonne une ville aux flammes réservée, Qu'elle parte, en un mot. Nos femmes, nos enfants, Ne doivent point troubler ces terribles moments. Mais César !"")",0.36,Substitution
60,"('#tullie', ""En vain par ce dépôt tu crois m'en imposer, Je vois à quel dessein tu veux en disposer."")","('#cethegus', ""Que veux-tu ? Si par ton artifice Tu ne peux réussir à t'en faire un complice, Dans le rang des proscrits faut-il placer son nom ? Faut-il confondre enfin César et Cicéron ?"")",0.49,Substitution
61,"('#catilina', ""Non ; loin que ma fierté désormais le récuse, C'est devant le sénat que je veux qu'il m'accuse : Puisqu'il doit en ces lieux s'assembler aujourd'hui, C'est à Probus, Madame, à répondre de lui. Songe, Catilina, qu'il y va de ta vie."")","('#catilina', ""C'est là ce qui m'occupe, et s'il faut qu'il périsse, Je me sens étonné de ce grand sacrifice. Il semble qu'en secret, respectant son destin, Je révère dans lui l'honneur du nom romain. Mais Sura viendra-t-il ?"")",0.51,Substitution
62,"('#catilina', ""Allez ; songez, Madame, à sauver la patrie : C'est des jours d'un ingrat prendre trop de souci ; Et l'amour n'a plus rien à démêler ici."")","('#cethegus', 'Compte sur son audace ; Tu sais comme, ébloui des grandeurs de sa race, A partager ton règne il se croit destiné.')",1.51,Substitution
63,"('#catilina', ""Qu'aurais-je à redouter d'une femme infidèle ? Où seront ses garants ? Et d'ailleurs que sait-elle ? Quelques vagues projets dont l'imprudent Caton Nourrit depuis longtemps la peur de Cicéron ; Projets abandonnés, mais dont ma politique Par leur illusion trompe la république, Sait de ce vain fantôme occuper le sénat, L'effrayer d'un faux bruit, ou d'un assassinat, Et ne lui laisser voir que des mains meurtrières, Tandis qu'un grand dessein échappe à ses lumières. Maître de mes secrets, j'ai pénétré les siens ; Et Lentulus lui-même ignore tous les miens : De cent mille romains armés pour ma querelle Aucun ne se connaît, tous combattront pour elle. De l'un des deux consuls je me suis assuré ; Plus que moi contre l'autre Antoine est conjuré ; César ne doit qu'à moi sa dignité nouvelle, Et je sais qu'à ce prix il me sera fidèle. Voilà comme un consul qui pense tout prévoir Souvent pour mes desseins agit sans le savoir. L'africain peu soumis, le gaulois indomptable, Tout l'univers enfin, las d'un joug qui l'accable, N'attend pour éclater que mes ordres secrets ; Et Cicéron n'est point instruit de mes projets. Ce n'est pas dans tes murs, Rome, que je m'arrête ; Des cris du monde entier j'ai grossi la tempête : Mon coeur n'était point fait pour un simple parti Que le premier revers eût bientôt ralenti ; J'ai séduit tes vieillards ainsi que ta jeunesse, César, Sylla, Crassus, et toute ta noblesse. Mais il faut retourner à Probus qui m'attend : Ménageons avec lui ce précieux instant, Pour rendre sans effet le courroux de Tullie, Et pour mettre à profit les fureurs de Fulvie. Soutiens, Catilina, tes glorieux desseins : Maître de l'univers, si tu l'es des romains, C'est aujourd'hui qu'il faut que ton sort s'accomplisse, Que Rome à tes genoux tombe, ou qu'elle périsse."")","('#catilina', ""Qu'à cet espoir trompeur il reste abandonné. Tu vois avec quel art il faut que je ménage L'orgueil présomptueux de cet esprit sauvage, Ses chagrins inquiets, ses soupçons, son courroux. Sais-tu que de César il ose être jaloux ? Enfin j'ai des amis moins aisés à conduire Que Rome et Cicéron ne coûtent à détruire. O d'un chef de parti dur et pénible emploi !"")",0.0,Match
64,,"('#cethegus', ""Le soupçonneux Sura s'avance ici vers toi."")",1.0,Deletion
65,,"('#sura', 'Ainsi, malgré mes soins et malgré ma prière, Vous prenez dans César une assurance entière ; Vous lui donnez Préneste ; il devient notre appui. Pensez-vous me forcer à dépendre de lui ?')",1.0,Deletion
66,"('#fulvie', ""N'abusez point, Probus, de l'état où je suis ; Je vous perdrai : du moins songez que je le puis. Vous croyez, à l'abri de votre caractère, Pouvoir impunément défier ma colère, Et que mon coeur, tremblant à l'aspect de ce lieu, Va mettre au même rang le ministre et le dieu : Et quel ministre encore ! Un sacrilège, un traître, Qui, de Catilina devenu le grand-prêtre, Des Tarquins sur son front veut ceindre le bandeau, Et du sang des romains nourrir ce dieu nouveau ; Lâche, qui se dévoue aux amours de Tullie, Qui, de ses propres dieux profanateur impie, Prête leur sanctuaire à des feux criminels, Déshonore le prêtre, et souille les autels."")","('#catilina', ""Le sang des Scipions n'est point fait pour dépendre. Ce n'est qu'au premier rang que vous devez prétendre. Je traite avec César, mais sans m'y confier ; Son crédit peut nous nuire, il peut nous appuyer : Croyez qu'en mon parti, s'il faut que je l'engage, Je me sers de son nom, mais pour votre avantage."")",0.01,Substitution
67,"('#probus', ""Cédez moins au torrent de votre jalousie ; Et, loin de m'offenser, écoutez-moi, Fulvie : Considérez l'abîme où va vous engager Une folle habitude à ne rien ménager. Vous croyez vous venger, vous vous perdez vous-même, Et de plus un amant qui peut-être vous aime. Le dépit n'a jamais satisfait ses transports Qu'il n'ait livré notre âme à d'éternels remords : L'amour le mieux vengé, quelle que soit l'offense, Est souvent le premier à pleurer sa vengeance ; On punit l'inconstant, mais on perd en un jour L'objet de sa tendresse et l'espoir d'un retour. Enfin que savez-vous si l'on aime Tullie ? À travers les fureurs dont votre âme est saisie Croyez-vous que l'amour éclaire assez vos yeux Pour percer les replis d'un coeur ambitieux ? Vous savez les projets que votre amant médite : En pénétrez-vous bien le détail et la suite ? Un homme tel que lui doit-il à découvert Se montrer sans prudence au grand jour qui le perd ? Peut-il porter trop loin l'artifice et la feinte ? Non, il faut que son coeur ne soit qu'un labyrinthe, Que l'amour même en vain y cherche des secrets Que pour lui la raison et l'honneur n'ont point faits. L'usage qu'aujourd'hui vous avez osé faire Des secrets dont l'amour vous fit dépositaire Ne vous prouve que trop, malgré votre dépit, Pour peu qu'il ait parlé, qu'il n'en a que trop dit. L'impétueux Caton murmure, tonne, éclate, Trouble tout pour servir un consul qui le flatte : Devenu du sénat et l'idole et l'espoir, Cicéron est armé du souverain pouvoir : Le sénat, qui sur lui redoute une entreprise, Pour mettre son héros à couvert de surprise, De l'ordre équestre entier le fait accompagner ; Puisqu'on ne peut le perdre, il faut donc le gagner : Pour le faire périr il faut la force ouverte ; Mais ce serait sans fruit travailler à sa perte. Un hymen prétendu peut calmer ses frayeurs, Et cet hymen devient l'objet de vos fureurs ! Plus de raison alors ; et la fière Fulvie Expose un nom célèbre au mépris de Tullie, Se couvre sans rougir d'un vil déguisement ! Pourquoi ce déshonneur ? Pour perdre son amant. Ah, Madame ! Ce coeur, dont j'ai plaint la tendresse, De l'habit qui vous cache a-t-il pris la bassesse ? Dans quel sein déposer des secrets dangereux, Si le coeur d'une amante est un écueil pour eux ? Vit-on jamais l'amour dans sa plus noire ivresse Emprunter du dépit une langue traîtresse ?"")","('#sura', ""Ce nom est-il plus grand que le vôtre et le mien ? Pourquoi vous abaisser à briguer ce soutien ? On le fait trop valoir, et Rome est trop frappée D'un mérite naissant qu'on oppose à Pompée. Pourquoi le rechercher alors que je vous sers ? Ne peut-on sans César subjuguer l'univers ?"")",0.56,Substitution
68,"('#fulvie', ""Qui donc ai-je trahi, ministre ambitieux ? Et quelle foi doit-on à des séditieux ? La garder aux méchants, c'est partager leurs crimes. Mais je vois que Probus connaît peu ces maximes ; Et je sais, quand la haine enflamme vos pareils, Jusqu'où va la noirceur de leurs lâches conseils, Surtout dès qu'il s'agit de venger leurs injures. César est désigné souverain des augures ; Cicéron a brigué pour ce rival heureux, Et le place en un rang dont on flattait vos voeux ; Catilina d'ailleurs vous était favorable. Le moyen qu'à vos yeux je ne sois point coupable, Moi qui viens de sauver un consul odieux, Qui s'est osé jouer d'un ministre des dieux ; Qui, de sa dignité dépositaire habile, Plein de faste aux autels, et près des grands servile, Sur l'espoir de leurs dons mesure sa ferveur, Et n'adore en effet que la seule faveur ! Mon devoir m'ordonnait de sauver la patrie : Imitez-le, ou gardez vos conseils pour Tullie. Croyez-moi, terminez d'imprudentes leçons Qui ne font qu'irriter ma haine et mes soupçons : Cessez de me flatter qu'on peut m'aimer encore ; J'ai trop vu la beauté que l'infidèle adore : Mes yeux avant ce jour ne la connaissaient pas ; Mais vous me payerez ses funestes appas : C'est vous qui leur gagnez sur moi la préférence ; Moi que déshonorait la seule concurrence. Pourquoi de cet hymen m'a-t-on fait un secret ? Et pourquoi, s'il est feint, m'en cacher le projet ? Traître, ce n'est pas vous qui deviez me l'apprendre ; Mais on croit n'avoir rien à craindre d'un coeur tendre : Sachez que d'un secret à demi confié, Dès qu'on peut une fois percer l'autre moitié, On est toujours en droit d'en trahir le mystère, Et qu'on ne doit plus rien à qui nous l'ose faire."")","('#catilina', ""Nous le pouvons, sans doute, et sur votre vaillance J'ai fondé dès longtemps ma plus forte espérance ; Mais César est aimé du peuple et du sénat ; Politique, guerrier, pontife, magistrat, Terrible dans la guerre, et grand dans la tribune, Par cent chemins divers il court à la fortune. Il nous est nécessaire."")",0.0,Match
69,"('#probus', ""Eh bien ! Perdez, Madame, un homme généreux Qui veut briser les fers de tant de malheureux ; Vengez votre beauté d'un amant infidèle, Et votre orgueil blessé des projets qu'il vous cèle ; D'un long embrasement devenez le flambeau, Et nous ouvrez à tous les portes du tombeau. Mais Catilina vient ; évitez sa présence, Ou du moins gardez-vous d'irriter sa vengeance."")","('#sura', ""Il nous sera fatal : Notre égal aujourd'hui, demain notre rival, Bientôt notre tyran, tel est son caractère ; Je le crois du parti le plus grand adversaire. Peut-être qu'à vous seul il daignera céder, Mais croyez qu'à tout autre il voudra commander. Je ne souffrirai point, puisqu'il faut vous le dire, De son fier ascendant le dangereux empire. Je vous ai prodigué mon service et ma foi, Et je renonce à vous, s'il l'emporte sur moi."")",0.22,Substitution
70,"('#catilina', ""Probus, où sommes-nous ? Et qu'est-ce que je vois ? Quel opprobre pour Rome ! Et quel affront pour moi ! C'est aux yeux du sénat, aux miens, qu'une romaine, Au mépris des devoirs où son sexe l'enchaîne, Sous un déguisement fait pour de vils humains, S'en va déshonorer le premier des romains, De ses folles erreurs le rendre la victime, Sans daigner seulement s'éclaircir de son crime ! Et, lorsque tout conspire à me justifier, Sa jalouse fureur veut me sacrifier ! Eh ! Quel était le but où ma valeur aspire ? Pour qui voulais-je ici conquérir un empire ? Est-ce pour Cicéron, l'objet de mon courroux, Lui que je voudrais voir expirer sous mes coups ? Non ; c'est pour une ingrate à qui je sacrifie Ma gloire, mon devoir, et le soin de ma vie."")","('#catilina', ""J'y consens ; faites plus, arrachez-moi la vie, Je m'en déclare indigne, et je la sacrifie, Si je permets jamais, de nos grandeurs jaloux, Qu'un autre ose penser à s'élever sur nous : Mais souffrez qu'à César votre intérêt me lie ; Je le flatte aujourd'hui, demain je l'humilie : Je ferai plus, peut-être ; en un mot, vous pensez Que sur nos intérêts mes yeux s'ouvrent assez. Va, prépare en secret le départ d'Aurélie ; Que des seuls conjurés sa maison soit remplie. De ces lieux cependant qu'on écarte ses pas, Craignons de son amour les funestes éclats. Par un autre chemin tu reviendras m'attendre Vers ces lieux retirés où César va m'entendre. À Céthégus."")",0.0,Match
71,,"('#sura', ""Enfin donc sans César vous n'entreprenez rien ? Nous attendrons le fruit de ce grand entretien."")",1.0,Deletion
72,,"('#catilina', ""Allez, j'espère en vous plus que dans César même."")",1.0,Deletion
73,,"('#cethegus', ""Je cours exécuter ta volonté suprême, Et sous tes étendards à jamais réunir Ceux qui mettent leur gloire à savoir t'obéir."")",1.0,Deletion
74,"('#fulvie', ""Poursuis, Catilina : le reproche sied bien À des cours innocents et purs comme le tien ; Mais dans l'art de tromper, ta science suprême, Tu m'en as trop appris pour me tromper moi-même. Va, cesse d'éclater sur mon déguisement ; Tout, jusqu'à ton courroux, est faux en ce moment. Égorge Cicéron aux yeux de sa famille, Je ne t'en croirai pas moins épris de sa fille. Ce n'est pas d'aujourd'hui que tu sais allier La vertu, les forfaits, l'amant, le meurtrier ; Et Tullie à tes yeux fût-elle encor plus chère, Rien ne garantirait la tête de son père. Mais de quoi te plains-tu ? Quel est mon attentat ? Est-ce moi qui prétends t'accuser au sénat ? De l'espoir d'être à toi ma tendresse enivrée À tes lâches complots ne m'a que trop livrée. Songe que tu me dois et César et Crassus, Les enfants de Sylla, Cépion, Lentulus. Cruel ! J'aurais voulu que tout ce qui respire Eût été comme moi soumis à ton empire ; Mais tandis que pour toi je séduisais les cours, Tu préparais au mien le comble des horreurs ; Et le tien, trop épris des charmes de Tullie, A bientôt oublié ce qu'il doit à Fulvie. Cependant qui de nous s'arme ici contre toi ? C'est elle qui te perd, ingrat ; ce n'est pas moi. Il est vrai qu'en son coeur j'ai voulu te détruire ; Mais c'est là seulement qu'attachée à te nuire, Contente de pouvoir vous désunir tous deux, Je n'ai rien oublié pour te rendre odieux. Eh ! Pouvais-je prévoir que l'honneur chimérique De sauver les débris d'un nom de république Porterait une amante à perdre son amant ? Mais pour t'en garantir je ne veux qu'un moment ; Abandonne à mon coeur le soin de ta défense : Je ne sais s'il te doit ou tendresse ou vengeance ; Je ne veux sur ce point nul éclaircissement Qui puisse triompher d'un plus doux mouvement : Mais par un désaveu souffre que j'humilie À l'aspect du sénat l'orgueilleuse Tullie ; Son coeur est désormais indigne de ta foi."")","('#catilina', ""Eh bien ! César, eh bien ! Toi de qui la fortune Dès le temps de Sylla me fut toujours commune, Toi dont j'ai présagé les éclatants destins, Toi né pour être un jour le premier des Romains, N'es-tu donc aujourd'hui que le premier esclave Du fameux plébéien qui t'irrite et te brave ? Tu le hais, je le sais, et ton oeil pénétrant Voit pour s'en affranchir ce que Rome entreprend ; Et tu balancerais, et ton ardent courage Craindrait de nous aider à sortir d'esclavage ! Des destins de la terre il s'agit aujourd'hui, Et César souffrirait qu'on les changeât sas lui ! Quoi ! N'es-tu plus jaloux du nom du grand Pompée ? Ta haine pour Caton s'est-elle dissipée ? N'es-tu pas indigné de servir les autels, Quand Cicéron préside au destin des mortels, Quand l'obscur habitant des rives du Fibrène Siège au-dessus de toi sur la pourpre romaine ? Souffriras-tu longtemps tous ces rois fastueux, Cet heureux Lucullus, brigand voluptueux, Fatigué de sa gloire, énervé de mollesse ; Un Crassus étonné de sa propre richesse, Dont l'opulence avide, osant nous insulter, Asservirait l'état, s'il daignait l'acheter ? Ah ! De quelque côté que tu jettes la vue, Vois Rome turbulente, ou Rome corrompue ; Vois ces lâches vainqueurs en proie aux factions, Disputer, dévorer le sang des nations. Le monde entier t'appelle, et tu restes paisible ! Veux-tu laisser languir ce courage invincible ? De Rome qui te parle as-tu quelque pitié ? César est-il fidèle à ma tendre amitié ?"")",0.0,Match
75,"('#catilina', ""Tullie en me perdant se rend digne de moi ; Et vous, qui prétendez me sauver par un crime, Vous ne méritez plus mes voeux ni mon estime. C'est au sénat qu'il faut m'accuser aujourd'hui ; Je ne redoute rien ni de vous, ni de lui. Si jamais vous osiez y démentir Tullie, Un affront si sanglant vous coûterait la vie : Ainsi déclarez tout ; c'est l'unique moyen De regagner un coeur qui ne vous doit plus rien. Vos fureurs n'ont que trop épuisé ma constance."")","('#cesar', ""Oui, si dans le sénat on te fait injustice, César te défendra, compte sur mon service. Je ne peux te trahir ; n'exige rien de plus."")",0.17,Substitution
76,,"('#catilina', ""Et tu bornerais là tes voeux irrésolus ? C'est à parler pour moi que tu peux te réduire ?"")",1.0,Deletion
77,"('#catilina', ""Mais je vois les licteurs, et le consul s'avance ; Éloignez-vous d'ici."")","('#cesar', ""J'ai pesé tes projets, je ne veux pas leur nuire ; Je peux leur applaudir, je n'y veux point entrer."")",1.18,Substitution
78,,"('#catilina', ""J'entends : pour les heureux tu veux te déclarer. Des premiers mouvements spectateur immobile, Tu veux ravir les fruits de la guerre civile, Sur nos communs débris établir ta grandeur."")",1.0,Deletion
79,"('#fulvie', 'Tu me braves, ingrat. Adieu : tu me verras ce jour même au sénat. Elle sort.')","('#cesar', ""Non, je veux des dangers plus dignes de mon coeur. Ma haine pour Caton, ma fière jalousie Des lauriers dont Pompée est couvert en Asie, Le crédit, les honneurs, l'éclat de Cicéron, Ne m'ont déterminé qu'à surpasser leur nom. Sur les rives du Rhin, de la Seine et du Tage, La victoire m'appelle ; et voilà mon partage."")",1.05,Substitution
80,"('#catilina', ""Probus, suivez ses pas ; allez tous deux m'attendre, Et cachez Manlius, qui doit ici se rendre."")","('#catilina', ""Commence donc par Rome, et songe que demain J'y pourrais avec toi marcher en souverain."")",0.98,Substitution
81,,"('#cesar', ""Ton projet est bien grand, peut-être téméraire ; Il est digne de toi ; mais, pour ne te rien taire, Plus il doit t'agrandir, moins il est fait pour moi."")",1.0,Deletion
82,,"('#catilina', 'Comment ?')",1.0,Deletion
83,,"('#cesar', 'Je ne veux pas servir ici sous toi.')",1.0,Deletion
84,,"('#catilina', ""Ah ! Crois qu'avec César on partage sans peine."")",1.0,Deletion
