,moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Cost,Operation Type
115,"('#eriphile', ""Ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche, qu'on me laisse ici."")",,1.0,Insertion
116,"('#cleonice', 'Je vous avertis, Clitidas, que la Princesse veut être seule.')",,1.0,Insertion
117,"('#clitidas', 'Laissez-moi faire, je suis homme qui sais ma cour.')",,1.0,Insertion
118,"('#clitidas', 'La, la, la, la, ah !')",,1.0,Insertion
119,"('#eriphile', 'Clitidas.')",,1.0,Insertion
120,"('#clitidas', 'Je ne vous avais pas vue là, Madame.')",,1.0,Insertion
121,"('#eriphile', ""Approche.  D'où viens-tu ?"")",,1.0,Insertion
122,"('#clitidas', ""De laisser la Princesse votre mère qui s'en allait vers le temple d'Apollon, accompagnée de beaucoup de gens."")",,1.0,Insertion
123,"('#eriphile', 'Ne trouves-tu pas ces lieux les plus charmants du monde ?')","('#les-trois-muses', 'Joignons nos soins et nos voix Pour plaire au plus grand des Rois.')",1.26,Substitution
124,"('#clitidas', 'Assurément.  Les Princes vos amants y étaient.')","('#choeurs', 'Joignons nos soins et nos voix Pour plaire au plus grand des Rois.')",0.88,Substitution
125,"('#eriphile', ""Le fleuve Pénée fait ici d'agréables détours."")",,1.0,Insertion
126,"('#clitidas', 'Fort agréables.  Sostrate y était aussi.')",,1.0,Insertion
127,"('#eriphile', ""D'où vient qu'il n'est pas venu à la promenade ?"")",,1.0,Insertion
128,"('#clitidas', ""Il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux régales.  Il m'a voulu entretenir, mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous, que je n'ai point voulu lui prêter l'oreille, et je lui ai dit nettement que je n'avais pas le loisir de l'entendre."")",,1.0,Insertion
129,"('#eriphile', ""Tu as eu tort de lui dire cela, et tu devais l'écouter."")",,1.0,Insertion
130,"('#clitidas', ""Je lui ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience."")",,1.0,Insertion
131,"('#eriphile', 'Tu as bien fait.')",,1.0,Insertion
132,"('#clitidas', ""En vérité c'est un homme qui me revient, un homme fait comme je veux que les hommes soient faits : ne prenant point des manières bruyantes et des tons de voix assommants ; sage et posé en toutes choses ; ne parlant jamais que bien à propos ; point prompt à décider ; point du tout exagérateur incommode ; et quelques beaux vers que nos poètes lui aient récités, je ne lui ai jamais ouï dire voilà qui est plus beau que tout ce qu'a jamais fait Homère.  Enfin, c'est un homme pour qui je me sens de l'inclination, et si j'étais princesse, il ne serait pas malheureux."")",,1.0,Insertion
133,"('#eriphile', ""C'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?"")",,1.0,Insertion
134,"('#clitidas', ""Il m'a demandé si vous aviez témoigné grande joie au magnifique régale que l'on vous a donné ; m'a parlé de votre personne avec des transports les plus grands du monde, vous a mise au-dessus du ciel, et vous a donné toutes les louanges qu'on peut donner à la princesse la plus accomplie de la terre, entremêlant tout cela de plusieurs soupirs, qui disaient plus qu'il ne voulait.  Enfin, à force de le tourner de tous côtés, et de le presser sur la cause de cette profonde mélancolie, dont toute la Cour s'aperçoit, il a été contraint de m'avouer qu'il était amoureux."")","('#melpomene', 'Chantons la gloire de ses armes.')",1.19,Substitution
135,"('#eriphile', ""Comment amoureux ?  Quelle témérité est la sienne !  C'est un extravagant que je ne verrai de ma vie."")",,1.0,Insertion
136,"('#clitidas', 'De quoi vous plaignez-vous, Madame ?')",,1.0,Insertion
137,"('#eriphile', ""Avoir l'audace de m'aimer, et de plus avoir l'audace de le dire ?"")",,1.0,Insertion
138,"('#clitidas', ""Ce n'est pas vous, Madame, dont il est amoureux."")",,1.0,Insertion
139,"('#eriphile', ""Ce n'est pas moi ?"")",,1.0,Insertion
140,"('#clitidas', 'Non, Madame, il vous respecte trop pour cela, et est trop sage pour y penser.')",,1.0,Insertion
141,"('#eriphile', 'Et de qui donc, Clitidas ?')",,1.0,Insertion
142,"('#clitidas', ""D'une de vos filles la jeune Arsinoé."")",,1.0,Insertion
143,"('#eriphile', ""A-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour ?"")","('#un-choeur', 'Chantons la gloire de ses armes.')",1.05,Substitution
144,"('#clitidas', ""Il l'aime éperdument, et vous conjure d'honorer sa flamme de votre protection."")",,1.0,Insertion
145,"('#eriphile', 'Moi ?')","('#euterpe', 'Chantons la douceur de ses lois.')",1.29,Substitution
146,"('#clitidas', ""Non, non, Madame, je vois que la chose ne vous plaît pas.  Votre colère m'a obligé à prendre ce détour, et pour vous dire la vérité, c'est vous qu'il aime éperdument."")",,1.0,Insertion
147,"('#eriphile', ""Vous êtes un insolent de venir ainsi surprendre mes sentiments.  Allons, sortez d'ici, vous vous mêlez de vouloir lire dans les âmes ; de vouloir pénétrer dans les secrets du coeur d'une princesse.  Ôtez-vous de mes yeux, et que je ne vous voie jamais, Clitidas."")",,1.0,Insertion
148,"('#clitidas', 'Madame.')","('#un-choeur', 'Chantons la douceur de ses lois.')",0.83,Substitution
149,"('#eriphile', 'Venez ici.  Je vous pardonne cette affaire-là.')",,1.0,Insertion
150,"('#clitidas', 'Trop de bonté, Madame.')",,1.0,Insertion
151,"('#eriphile', ""Mais à condition, prenez bien garde à ce que je vous dis, que vous n'en ouvrirez la bouche à personne du monde, sur peine de la vie."")","('#polymnie', 'Faisons tout retentir du bruit de ses exploits.')",1.47,Substitution
152,"('#clitidas', 'Il suffit.')",,1.0,Insertion
153,"('#eriphile', ""Sostrate t'a donc dit qu'il m'aimait ?"")",,1.0,Insertion
154,"('#clitidas', ""Non, Madame : il faut vous dire la vérité.  J'ai tiré de son coeur par surprise un secret qu'il veut cacher à tout le monde et avec lequel il est, dit-il, résolu de mourir.  Il a été au désespoir du vol subtil que je lui en ai fait, et bien loin de me charger de vous le découvrir, il m'a conjuré, avec toutes les instantes prières qu'on saurait faire, de ne vous en rien révéler, et c'est trahison contre lui que ce que je viens de vous dire."")",,1.0,Insertion
155,"('#eriphile', ""Tant mieux, c'est par son seul respect qu'il peut me plaire ; et s'il était si hardi que de me déclarer son amour, il perdrait pour jamais, et ma présence, et mon estime."")",,1.0,Insertion
156,"('#clitidas', 'Ne craignez point, Madame...')",,1.0,Insertion
157,"('#eriphile', 'Le voici ; souvenez-vous au moins, si vous êtes sage, de la défense que je vous ai faite.')",,1.0,Insertion
158,"('#clitidas', 'Cela est fait, Madame, il ne faut pas être courtisan indiscret.')",,1.0,Insertion
159,"('#sostrate', ""J'ai une excuse, Madame, pour oser interrompre votre solitude, et j'ai reçu de la Princesse votre mère une commission qui autorise la hardiesse que je prends maintenant."")","('#tous-les-choeurs', 'Chantons la gloire de ses armes.')",1.39,Substitution
160,"('#eriphile', 'Quelle commission, Sostrate ?')",,1.0,Insertion
161,"('#sostrate', ""Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre coeur."")",,1.0,Insertion
162,"('#eriphile', ""La Princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.  Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie."")",,1.0,Insertion
163,"('#sostrate', ""Je l'ai acceptée, Madame, par la nécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelqu'autre de cet emploi."")",,1.0,Insertion
164,"('#eriphile', 'Quelle cause, Sostrate, vous obligeait à le refuser ?')",,1.0,Insertion
165,"('#sostrate', ""La crainte, Madame, de m'en acquitter mal."")",,1.0,Insertion
166,"('#eriphile', 'Croyez-vous que je ne vous estime pas assez pour vous ouvrir mon coeur, et vous donner toutes les lumières que vous pourrez désirer de moi sur le sujet de ces deux Princes ?')","('#melpomene', 'Formons des concerts pleins de charmes.')",1.62,Substitution
167,"('#sostrate', ""Je ne désire rien pour moi là-dessus, Madame, et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."")",,1.0,Insertion
168,"('#eriphile', ""Jusques ici je me suis défendue de m'expliquer, et la Princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager ; mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps."")",,1.0,Insertion
169,"('#sostrate', ""C'est une chose, Madame, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire."")",,1.0,Insertion
170,"('#eriphile', ""Mais c'est ce que la Princesse ma mère attend de vous."")",,1.0,Insertion
171,"('#sostrate', ""Ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?"")",,1.0,Insertion
172,"('#eriphile', ""Ô çà, Sostrate, les gens comme vous ont toujours les yeux pénétrants ; et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres.  N'ont-ils pu découvrir, vos yeux, ce dont tout le monde est en peine, et ne vous ont-ils point donné quelques petites lumières du penchant de mon coeur ?  Vous voyez les soins qu'on me rend, l'empressement qu'on me témoigne : quel est celui de ces deux Princes que vous croyez que je regarde d'un oeil plus doux ?"")","('#euterpe', ""Faisons entendre nos hautbois. Les hautbois et les musettes répondent et cependant les héros et les pâtres rentrent sur le théâtre avec les ouvriers qui apportent des ornements qu'ils ont faits pour servir la pièce qui va commencer, et autour desquels les héros et les pâtres dansent, tandis que le smuses et tous les choeurs continuent leurs chants. Ce qui forme un jeu concerté des Muses qui chantent dans leurs machines au milieu des nuages, de la troupe qui leur répond, placée dans les balcons, et des héros, pâtres, et ouvriers, qui dansent sur le théâtre."")",0.84,Substitution
173,"('#sostrate', ""Les doutes que l'on forme sur ces sortes de choses ne sont réglés d'ordinaire que par les intérêts qu'on prend."")",,1.0,Insertion
174,"('#eriphile', ""Pour qui, Sostrate, pencheriez-vous des deux ?  Quel est celui, dites-moi, que vous souhaiteriez que j'épousasse ?"")",,1.0,Insertion
175,"('#sostrate', 'Ah !  Madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.')",,1.0,Insertion
176,"('#eriphile', 'Mais si je me conseillais à vous pour ce choix ?')",,1.0,Insertion
177,"('#sostrate', 'Si vous vous conseilliez à moi, je serais fort embarrassé.')",,1.0,Insertion
178,"('#eriphile', 'Vous ne pourriez pas dire qui des deux vous semble plus digne de cette préférence ?')",,1.0,Insertion
179,"('#sostrate', ""Si l'on s'en rapporte à mes yeux, il n'y aura personne qui soit digne de cet honneur.  Tous les princes du monde seront trop peu de chose pour aspirer à vous ; les Dieux seuls y pourront prétendre, et vous ne souffrirez des hommes que l'encens et les sacrifices."")",,1.0,Insertion
180,"('#eriphile', ""Cela est obligeant, et vous êtes de mes amis.  Mais je veux que vous me disiez pour qui des deux vous vous sentez plus d'inclination, quel est celui que vous mettez le plus au rang de vos amis."")",,1.0,Insertion
181,"('#chorebe', 'Madame, voilà la Princesse qui vient vous prendre ici, pour aller au bois de Diane.')",,1.0,Insertion
182,"('#sostrate', 'Hélas !  Petit garçon, que tu es venu à propos.')","('#tous-ensemble', 'Faisons tout retentir du bruit de ses exploits.')",1.78,Substitution
183,,"('#polymnie', 'Préparons des fêtes nouvelles')",1.0,Deletion
184,"('#aristione', 'On vous a demandée, ma Fille, et il y a des gens que votre absence chagrine fort.')","('#melpomene', 'Que nos chansons soient immortelles.')",1.52,Substitution
185,"('#eriphile', ""Je pense, Madame, qu'on m'a demandée par compliment, et on ne s'inquiète pas tant qu'on vous dit."")","('#euterpe', 'Que nos airs soient doux et touchants.')",1.36,Substitution
186,"('#aristione', ""On enchaîne pour nous ici tant de divertissements les uns aux autres, que toutes nos heures sont retenues, et nous n'avons aucun moment à perdre, si nous voulons les goûter tous.  Entrons vite dans le bois, et voyons ce qui nous y attend ; ce lieu est le plus beau du monde, prenons vite nos places."")","('#tous-ensemble', 'Mêlons aux plus aimables chants Les danses les plus belles. Joignons nos soins et nos voix. Pour plaire au plus grand des rois.')",0.66,Substitution
187,"('#tircis', ""Vous chantez sous ces feuillages, Doux rossignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux, vous ne chanteriez pas."")","('#tircis', ""Vous chantez sous ces feuillages,  Doux rossignols pleins d'amour, Et de nos tendres ramages, Vous réveillez tour à tour Les échos de ces boccages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux vous ne chanteriez pas."")",0.0,Match
188,"('#lycaste', 'Hé quoi toujours languissant, sombre, et triste ?')","('#licaste', 'Hé quoi, toujours languissant, sombre et triste ?')",0.0,Match
189,"('#menandre', 'Hé quoi ! Toujours aux pleurs abandonné ?')","('#menandre', 'Hé quoi, toujours aux pleurs abandonné ?')",0.0,Match
190,"('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')","('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')",0.0,Match
191,"('#lycaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")","('#licaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")",0.0,Match
192,"('#tircis', 'Eh le moyen, hélas !')","('#tircis', 'Et le moyen, hélas !')",0.0,Match
193,"('#menandre', 'Fais, fais-toi quelque effort.')","('#menandre', 'Fais, Fais-toi quelque effort.')",0.0,Match
194,"('#tircis', 'Eh ! Le moyen, hélas ! Quand le mal est trop fort ?')","('#tircis', 'Eh le moyen, hélas ! Quand le mal est si fort ?')",0.0,Match
195,"('#lycaste', 'Ce mal trouvera son remède.')","('#licaste', 'Ce mal trouvera son remède.')",0.0,Match
196,"('#tircis', ""Je ne guérirai qu'à ma mort."")","('#tircis', ""Je ne guérirai qu'à ma mort."")",0.0,Match
197,"('#lycaste #menandre', 'Ah Tircis !')","('#licastre #menandre', 'Ah, Tircis !')",0.0,Match
198,"('#tircis', 'Ah Bergers !')","('#tircis', 'Ah, Bergers !')",0.0,Match
199,"('#lycaste #menandre', ""Prends sur toi plus d'empire."")","('#caliste #menandre', ""Prends sur toi plus d'empire."")",0.0,Match
200,"('#tircis', 'Rien ne me peut secourir.')","('#tircis', 'Rien ne me peut plus secourir;')",0.0,Match
201,"('#lycaste #menandre', ""C'est trop, c'est trop céder."")","('#caliste #menandre', ""C'est trop, c'est trop céder."")",0.0,Match
202,"('#tircis', ""C'est trop, c'est trop souffrir."")","('#tircis', ""C'est trop, c'est trop souffrir."")",0.0,Match
203,"('#lycaste #menandre', 'Quelle faiblesse !')","('#caliste #menandre', 'Quelle faiblesse !')",0.0,Match
204,"('#tircis', 'Quel martyre !')","('#tircis', 'Quel martyre !')",0.0,Match
205,"('#lycaste #menandre', 'Il faut prendre courage.')","('#caliste #menandre', 'Il faut prendre courage.')",0.0,Match
206,"('#tircis', 'Il faut plutôt mourir.')","('#tircis', 'Il faut plutôt mourir')",0.0,Match
207,"('#lycaste', ""Il n'est point de bergère Si froide, et si sévère, Dont la pressante ardeur D'un coeur qui persévère Ne vainque la froideur."")","('#licaste', ""Il n'est point de bergère Si froide et si sévère, Dont la pressante ardeur D'un coeur qui persévère, Ne vainque la froideur. Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux amants."")",0.0,Match
208,,"('#tircis', ""Je le vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'ingrate, hélas! N'y viendrait pas."")",1.0,Deletion
209,,"('#climene', ""Viens dans notre village : Voici le jour Qu'on doit célébrer la fête de L'Amour, Que cherches-tu dans ce boccage ?"")",1.0,Deletion
210,,"('#caliste', ""Je cherche le repos, le silence, et l'ombrage."")",1.0,Deletion
211,,"('#climene', ""Tu devrais bien plutôt songer À t'engager. Eh Que peut faire  Une bergère  Sans un berger ?"")",1.0,Deletion
212,,"('#caliste', ""Ton malheur doit me rendre sage : Tu n'as choisi qu'un inconstant."")",1.0,Deletion
213,"('#menandre', ""Il est dans les affaires Des amoureux mystères, Certains petits moments Qui changent les plus fières, Et font d'heureux amants."")","('#climene', ""Si mon berger devient volage, Il m'est permis d'en faire autant. On goûte la douceur d'une amour éternelle, Quand on fait l'heureux choix d'un fidèle berger, Et quand on aime un infidèle, L'on a le plaisir de changer. Quoi ! L'amour de Tircis ne t'a point attendrie ? Lorsqu'on en veut parler, tu n'écoutes jamais ? Ne rêve plus où je m'en vais."")",0.76,Substitution
214,,"('#caliste', 'Laisse-moi dans la rêverie. Ah ! Que sous ce feuillage épais Il est doux de rêver en paix !')",1.0,Deletion
215,"('#tircis', ""Je la vois, la cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'ingrate, hélas ! N'y viendrait pas."")","('#climene', ""Je n'entre point dans un mystère Que tu veux réserver : Mais un coeur sans affaire Ne donne point tant à rêver."")",1.01,Substitution
216,"('#caliste', ""Ah que sur notre coeur La sévère loi de l'honneur Prend un cruel empire ! Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ces cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre, C'est à vous seuls que je le dis, Arbres, n'allez pas le redire. Puisque le ciel a voulu nous former Avec un coeur qu'Amour peut enflammer, Quelle rigueur impitoyable Contre des traits si doux nous force à nous armer, Et pourquoi, sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable ? Hélas ! Que vous êtes heureux, Innocents animaux, de vivre sans contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux : Hélas ! Petits oiseaux, que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux. Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui toute entière, Nous n'avons point de loi sévère Qui défende à nos sens d'en goûter la douceur."")","('#caliste', ""Ah ! Que sur notre coeur La sévère loi de l'honneur Prend un cruel empire ! Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ses cuisants soucis. De sa langueur en secret je soupire, Et voudrais bien soulager son martyre ; C'est à vous seuls que je le dis, Arbres, n'allez pas le redire. Puisque le Ciel a voulu nous former Avec un coeur qu'Amour peut enflammer, Quelle rigueur impitoyable Contre des traits si doux nous force à nous armer ? Et pourquoi sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable ? Hélas ! Petits oiseaux, que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos coeurs amoureux ! Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui toute entière, Nous n'ayons point de loi sévère Qui défende à nos sens d'en goûter la douceur. La bergère Caliste s'endort sur un gazon."")",0.0,Match
217,"('#tircis', 'Vers ma belle ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.')","('#tircis', 'Vers ma belle ennemie Portons sans bruit nos pas, Et nous réveillons pas Sa rigueur endormie.')",0.0,Match
218,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#menandre #licaste #tircis', 'Dormez, Dormez beaux yeux adorables vainqueurs, Et goûtez le repos que vous vous ôtez aux coeurs.')",0.0,Match
219,"('#tircis', ""Silence, petits oiseaux, Vents, n'agitez nulle chose, Coulez doucement ruisseaux, C'est Caliste qui repose."")","('#tircis', ""Silence, petits oiseaux, Vents n'agitez nulle chose . Coulez doucement ruisseaux, C'est Caliste qui repose."")",0.0,Match
220,"('#tircis #lycaste #menandre', 'Dormez, dormez, beaux yeux, adorables vainqueurs, Et goûtez le repos que vous ôtez aux coeurs ; Dormez, dormez, beaux yeux.')","('#menandre #licaste #tircis', 'Dormez, Dormez beaux yeux adorables vainqueurs, Et goûtez le repos que vous vous ôtez aux coeurs.')",0.0,Match
221,"('#caliste', 'Ah Quelle peine extrême ! Suivre partout mes pas.')","('#caliste', 'Ah ! Quelle peine extrême ! Suivre partout mes pas ?')",0.0,Match
222,"('#tircis', ""Que voulez-vous qu'on suive, hélas ! Que ce qu'on aime ?"")","('#tircis', ""Que vouslez-vous qu'on suive, hélas! Que ce qu'on aime."")",0.0,Match
223,"('#caliste', 'Berger, que voulez-vous ?')","('#caliste', 'Berger, que voulez-vous ?')",0.0,Match
224,"('#tircis', 'Mourir, belle Bergère, Mourir à vos genoux, Et finir ma misère, Puisque en vain à vos pieds on me voit soupirer, Il y faut expirer.')","('#tircis', ""Mourir belle bergère,  Mourir à vos genoux, Et finir ma misère, Puisqu'en vain à vos pieds, on me voit soupirer, Il y faut expirer."")",0.0,Match
225,"('#caliste', ""Ah Tircis, ôtez-vous, j'ai peur que dans ce jour La pitié dans mon coeur n'introduise l'amour."")","('#caliste', ""Ah! Tircis, ôtez-vous, j'ai peur que dans de jour, La pitié dans mon coeur n'introduise l'amour."")",0.0,Match
226,"('#lycaste #menandre', ""Soit amour, soit pitié, Il sied bien d'être tendre ; C'est par trop vous défendre Bergère, il faut se rendre À sa longue amitié, Soit amour, soit pitié, Il sied bien d'être tendre."")","('#licaste #menandre', ""Soit amour, soit pitié, Il sied bien d'être tendre ; C'est pas trop vous défendre, Bergers, il faut le rendre À la longue amitié. Soit amour, soit pitié, Il sied bien d'être tendre ;"")",0.0,Match
227,"('#caliste', ""C'est trop, c'est trop de rigueur, J'ai maltraité votre ardeur, Chérissant votre personne, Vengez-vous de mon coeur Tircis, je vous le donne."")","('#caliste', ""C'est trop, c'est trop de rigueur, J'ai mal traité votre ardeur Crucifiant votre personne, Vengez-vous de mon coeur, Tircis, je vous le donne."")",0.0,Match
228,"('#tircis', ""Ô Ciel ! Bergers !  Caliste !  Ah je suis hors de moi. Si l'on meurt de plaisir je dois perdre la vie."")","('#tircis', ""Ô ciel ! Bergers ! Caliste ! Ah je suis hors de moi ! Si l'on meurt de plaisir je dois perdre la vie."")",0.0,Match
229,"('#lycaste', 'Digne prix de la foi !')","('#licaste', 'Digne prix de ta foi !')",0.0,Match
230,"('#menandre', ""Ô sort digne d'envie !"")","('#menandre', ""Ô ! Sort digne d'envie !"")",0.0,Match
231,"('#premier-satyre', 'Quoi ? Tu me fuis ingrate, et je te vois ici De ce berger à moi faire une préférence ?')","('#forestan', 'Quoi ! Tu me fuis, Ingrate, et je te vois ici De ce berger à moi faire une préférence ?')",0.0,Match
232,"('#deuxieme-satyre', ""Quoi mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton coeur s'est adouci ?"")","('#silvandre', ""Quoi, mes soins n'ont rien pu sur ton indifférence, Et pour ce langoureux ton coeur s'est adouci ?"")",0.0,Match
233,"('#caliste', 'Le destin le veut ainsi, Prenez tous deux patience.')","('#caliste', 'Le destin le veut ainsi, Prenez tous deux patience.')",0.0,Match
234,"('#premier-satyre', ""Aux amants qu'on pousse à bout L'amour fait verser des larmes : Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout."")","('#fosrestan', ""Aux amants qu'on pousse à bout, L'amour fait verser des larmes ; Mais ce n'est pas notre goût, Et la bouteille a des charmes Qui nous consolent de tout."")",0.0,Match
235,"('#deuxieme-satyre', ""Notre amour n'a pas toujours Tout le bonheur qu'il désire : Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours."")","('#silvandre', ""Notre amour n'a pas toujours Tout le bonheur qu'il désire.  Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours."")",0.0,Match
236,"('#tous', ""Champêtres Divinités, Faunes, Dryades, sortez De vos paisibles retraites ; Mêlez vos pas à nos sons, Et tracez sur les herbettes L'image de nos chansons. PREMIÈRE ENTRÉE DE BALLET. En même temps, six dryades et six faunes sortent de leurs demeures, et font ensemble une danse agréable, qui, s'ouvrant tout d'un coup, laisse voir un berger et une bergère, qui font en musique une petite scène d'un dépit amoureux."")","('#tous', ""Champêtres Divinités,  Faunes, Driades, sortez De vos paisibles retraites ; Mêlez vos pas à nos sons.  Et tracez sur les herbettes. L'image de nos chansons."")",0.0,Match
237,"('#philinte', ""Quand je plaisais à tes yeux J'étais content de ma vie, Et ne voyais Roi ni Dieux Dont le sort me fît envie."")","('#forestan', ""Je ne puis souffrir l'outrage Que Caliste fait à ma foi : Dans le fonds de mon coeur j'enrage Qu'elle aime un autre que moi. Deux enchanteurs m'ont fait entendre Qu'ils ont le secret de me rendre Tel qu'il faut être pour charmer ; Caliste aura beau se défendre, Je la contraindrai de m'aimer."")",0.47,Substitution
238,"('#climene', ""Lorsqu'à toute autre personne Me préférait ton ardeur, J'aurais quitté la couronne Pour régner dessus ton coeur."")",,1.0,Insertion
239,"('#philinte', ""Une autre a guéri mon âme Des feux que j'avais pour toi."")","('#les-trois-sorcieres', ""Déesse des appas, Ne nous refuse pas La grace qu'implorent nos bouches : Nous t'en prions par tes rubans, Par tes boucles de diamants, Ton rouge, ta poudre, tes mouches, Ton masque, ta coiffe et tes gants."")",1.04,Substitution
240,"('#climene', 'Un autre a vengé ma flamme Des faiblesses de ta foi.')","('#une-sorciere', ""Ô toi ? Qui peux rendre agréables  Les villages les plus mal faits, Répand, Vénus, de tes attraits Deux ou trois doses charitables Sur ce museau tondu tout frais. Les démons habillent Forestan d'une manière bizarre et ridicule, tandis que les magiciens et les autres démons dansent, les trois sorcières chantent."")",0.9,Substitution
241,"('#philinte', ""Cloris, qu'on vante si fort, M'aime d'une ardeur fidèle, Si ses yeux voulaient ma mort, Je mourrais content pour elle."")","('#les-trois-sorcieres', ""Ah qu'il est beau Le jouvenceau, Ah qu'il est beau. Qu'il va faire mourir de belles : Auprès de lui les plus cruelles Ne pourront tenir dans leur peau. Ah qu'il est beau Le jouvenceau, Ah qu'il est beau ! Ho, ho, ho, ho, ho, ho...  Qu'il est joli !  Gentil, poli ! Qu'il est joli !  Est-il des yeux qu'il ne ravisse ! Il passe en beauté feu Narcisse Qui fut un blondin accompli. Qu'il est joli !  Gentil, poli ! Qu'il est joli !  Hi, hi, hi, hi, hi, hi...  Les trois sorcières qui chantent s'enfoncent dans la Terre, les deux magiciens et les six démons qui dansent disparaissent, et dans le même temps quatre autres démons qui partent de quatre côtés différents, croisent dans l'air, et trois autres petits démons qui sortent de Terre, et qui tous trois s'élèvent en rond, après avoir fait trois tours en volant, se vont perdre dans les nuages au milieu du théâtre."")",0.54,Substitution
242,"('#climene', ""Myrtil si digne d'envie, Me chérit plus que le jour, Et moi je perdrais la vie Pour lui montrer mon amour."")","('#forestan', ""Qu'un beau visage  A d'avantage ! Tout lui rit, Tout lui fait la cour : Que l'on verra dans ce boccage De bergères mourir d'amour Et de bergers crever de rage !"")",0.49,Substitution
243,"('#philinte', ""Mais si d'une douce ardeur Quelque renaissante trace Chassait Cloris de mon coeur Pour te remettre en sa place."")","('#silvandre', 'Forestan, Forestan, es-tu là ?')",1.51,Substitution
244,"('#climene', ""Bien qu'avec pleine tendresse Myrtil me puisse chérir, Avec toi, je le confesse, Je voudrais vivre et mourir."")","('#forestan', 'Beau comme je dois être Il va me voir sans me connaitre.')",1.3,Substitution
245,"('#tous-deux', 'Ah plus que jamais aimons-nous, Et vivons et mourons en des liens si doux.')",,1.0,Insertion
246,"('#tous-les-acteurs', ""Amants, que vos querelles Sont aimables et belles, Qu'on y voit succéder De plaisirs, de tendresse, Querellez-vous sans cesse Pour vous raccommoder. Amants, que vos querelles Sont aimables et belles, etc. Les faunes et les dryades recommencent leur danse, que les bergères et bergers musiciens entremêlent de leurs chansons, tandis que trois petites dryades et trois petits faunes, font paraître dans l'enfoncement du théâtre, tout ce qui se passe sur le devant."")","('#silvandre', ""Ô ! Forestan ? Ah ! Te voilà. Pourquoi t'amuser de la sorte ?"")",1.5,Substitution
