,la-fontaine-climene,cahusac-l-algerien,Cost,Operation Type
109,,"('#dorise', ""À travers les barreaux qui grillent ma fenêtre Je les ai vus... de loin... mais je n'en puis douter... Je vais voir la fin de mes peines ; Mon cher d_Oberval vient hâter L'heureux moment qui brisera mes chaînes : J'en jurerais, il vient traiter de ma rançon."")",1.0,Deletion
110,,"('#isabelle', 'Mais par malheur Madame oublie Que nous avons caché notre vrai nom, Notre état, et notre Patrie.')",1.0,Deletion
111,,"('#dorise', 'À votre froid bon sens nous dûmes cet avis.')",1.0,Deletion
112,,"('#clarice', ""Dans une aventure aussi triste, Nos noms du moins restaient ensevelis Sous les faux que nous avons pris De Fatmé, Fatime, Agariste. Nos parents à Marseille ont pleuré notre mort : Notre vaisseau ne rentrant point au port, Ils auront supposé qu'il avait fait naufrage ; lis auraient trop rougi de notre sort, S'ils avaient pu savoir notre esclavage."")",1.0,Deletion
113,,"('#isabelle', ""Nous ne nous doutions point qu'Hassan fût si poli."")",1.0,Deletion
114,,"('#dorise', ""Je vous dis en un mot, un fait bien établi...  À Marseille d'ailleurs on a tant de nouvelles De tout ce qui se passe ici... L'amour de nos malheurs peut l'avoir éclairci, Et mes deux yeux sont des témoins fidèles. Hassan vient. Il vaincra votre incrédulité."")",1.0,Deletion
115,,"('#dorise', 'Hassan me rendra-t-il enfin la liberté ?')",1.0,Deletion
116,,"('#hassan', 'Agariste dans peu vous ferez satisfaite.')",1.0,Deletion
117,"('#apollon', 'Voilà du pathétique assez pour le présent : Sur le même sujet donnez-nous du plaisant.')","('#dorise', 'En hâtant ma félicité, Elle en deviendra plus parfaite.')",1.18,Substitution
118,,"('#hassan', 'Je vais céder à votre empressement. Que votre inquiétude cesse.')",1.0,Deletion
119,,"('#dorise', 'Ai-je fait un faux jugement ?')",1.0,Deletion
120,,"('#hassan', 'Puis-je, belle Fatmé, vous parler un moment ? Pardonnez mon impolitesse. À Isabelle et à Dorise.')",1.0,Deletion
121,"('#melpomene', 'Qui ferons-nous parler?')","('#isabelle', 'Éloignons-nous.')",0.74,Substitution
122,"('#apollon', 'Acanthe et sa maîtresse.')","('#dorise', 'Je cours pour chercher mon amant.')",1.2,Substitution
123,,"('#hassan', ""POur la dernière fois souffrez que je vous presse De me parler sans nul déguisement, Votre bonheur surtout est ce qui m'intéresse..."")",1.0,Deletion
124,,"('#clarice', ""C'est trop peu pour tous vos bienfaits De toute ma reconnaissance ; Mais enfin..."")",1.0,Deletion
125,,"('#hassan', 'Mes désirs seront tous satisfaits, Si vous daignez me voir sans répugnance. Quand on a mon âge et mes traits...')",1.0,Deletion
126,,"('#clarice', ""Vous êtes trop modeste, et c'est mal vous connaître."")",1.0,Deletion
127,"('#melpomene', ""Sire, il faudrait avoir pour cela plus d'adresse. Rendre Acanthe plaisant ! C'est un trop grand dessein."")","('#hassan', ""C'est parce que je me connais, Que j'ai peu de mérite à l'être. J'ai toujours les mêmes projets. Nos usages, nos moeurs et nos lois que je hais, Vont m'exiler des lieux de ma naissance. Pour la société tous les hommes sont faits, Les Turcs ignorent ses attraits, Et tout m'invite à chercher dans la France Ses plaisirs délicats qu'ici mon opulence Ne me procurerait jamais ; Mais m'unir avec vous, vivre avec vous sans cesse, Est le bien qui me flatte, et que je me promets. Du vrai bonheur l'image enchanteresse Ne s'offre à moi que sous vos traits."")",0.79,Substitution
128,,"('#clarice', ""Tout ce qu'il dit de lui je le sens pour un autre. Trop généreux Hassan, quelle erreur est la vôtre. Haut."")",1.0,Deletion
129,"('#apollon', ""II est fou ; c'est déjà la moitié du chemin."")","('#hassan', ""Belle Fatmé, je cherche un solide bonheur : L'estime et l'amitié sont les plaisirs du coeur, Et je n'ai point l'âme obsédée Des transports d'une folle ardeur, Un sentiment plus sûr pour vous l'a décidée. Des douceurs de l'hymen, de ses engagements J'ai peut-être une fausse idée ; Mais je crois que ses noeuds doivent être charmants ; Lorsque sans le secours de ces feux violents, Fruits de la passion, périssables comme elle, La confiance mutuelle L'amitié, les égards, et les soins complaisants D'un tendre époux, d'une épouse fidèle, Peuvent remplir tous les moments, Le Ciel attache alors au doux noeud qui les lie Les plaisirs des amis, le repos de la vie, Et les délices des amants."")",1.36,Substitution
130,,"('#clarice', 'Quel bonheur d_Oberval ! Si le Ciel plus propice... ')",1.0,Deletion
131,"('#thalie', ""Mais il est dans l'excès."")","('#hassan', ""Ce n'est donc point un amoureux caprice Qu'aujourd'hui j'exige de vous : J'ose vous demander un moindre sacrifice. Des mains de l'amitié prenez-moi pour époux."")",1.56,Substitution
132,"('#apollon', ""Tant mieux ; j'en suis fort aise, Nous le demandons tel je ne vois rien qui plaise, En matière d'amour, comme les gens outrés. Mille exemples pourraient vous en être montrés."")","('#clarice', ""D'un généreux penchant vous êtes la victime... Eh pourquoi m'offrez vous vos voeux ? Je ne saurais vous rendre heureux, Vous le seriez avec Fatime."")",0.28,Substitution
133,,"('#hassan', ""Je connais ses appas, je l'aime, je l'estime ; Sans doute votre amie à tous les agréments Et de son sexe et de son âge , Son, esprit est aimable, et ses traits font charmants ; Mais vous me plaisez davantage."")",1.0,Deletion
134,"('#melpomene', ""Nous obéissons donc. Tu te souviens, Thalie, D'un matin où Clymène, en son lit endormie, Fut, au bruit d'un soupir, éveillée en sursaut, Et se mit contre Acanthe en colère aussitôt, Sans le voir, croyant même avoir fermé la porte. Mais qui pouvait, que lui, soupirer de la sorte ? Vraiment vous l'entendez, avecque vos hélas, Dit la belle ; apprenez à soupirer plus bas. Il eut beau s'excuser sur l'ardeur de son zèle. Une forge ferait moins de bruit, reprit-elle, Que votre coeur n'en fait ce sont tous ses plaisirs. Si je tourne le pied, matière de soupirs. Je ne vous vois jamais qu'en un chagrin extrême : C'est bien pour m'obliger à vous aimer de même."")","('#clarice', ""Dans de trop grands dangers votre erreur vous coNduit : Hassan, votre amitié me flatte ; Mais je dois m'opposer aux desseins qu'elle suit. Si je veux n'être pas ingrate,"")",0.7,Substitution
135,,"('#hassan', ""Je m'y livre avec sûreté, Et l'on peut accorder le désir qui me presse, Et votre générosité. Il semble à mes projets que le Ciel s'intéresse ? Depuis six jours il a conduit chez moi Un Français qui rendra ma retraite facile,"")",1.0,Deletion
136,,"('#clarice', 'Un Français !')",1.0,Deletion
137,"('#acanthe', 'Je ne le prétends pas.')","('#hassan', ""Oui, Fatmé. Soyez tranquille : J'ai confié mes secrets à sa foi..."")",1.54,Substitution
138,"('#climene', 'Seyez-vous sur ce lit.')",,1.0,Insertion
139,"('#acanthe', 'Moi!')","('#clarice', 'Eh le connaissez-vous ?')",1.25,Substitution
140,,"('#hassan', ""J'en fis la connaissance À mon dernier voyage en France. Son abord me prévint ; il a des sentiments, Beaucoup d'esprit, sans suffisance, Et des jeunes gens de son temps Il réunit les grâces, les talents, Sans en avoir l'impertinence. Enfin quoique tous deux d'âges fort différents, L'amitié nous unit."")",1.0,Deletion
141,,"('#clarice', ""Mais c'est donc un jeune homme ?"")",1.0,Deletion
142,,"('#hassan', ""Oui, mais prudent, quoiqu'il n'ait pas trente_ans. Son vaisseau dans le port..."")",1.0,Deletion
143,,"('#clarice', 'Et ce Français se nomme ?...')",1.0,Deletion
144,,"('#hassan', ""D'Oberval est son nom... Mais l'auriez-vous connu ?.."")",1.0,Deletion
145,"('#climene', 'Vous, sans répliquer.')","('#clarice', ""Serait-il vrai ?... L'ai-je bien entendu ?"")",1.65,Substitution
146,"('#acanthe', 'Souffrez...')","('#hassan', 'Parlez Fatmé : vous paraissez émue.')",1.29,Substitution
147,,"('#clarice', ""Il est vrai... ce François ... je J'ai vu quelquefois, Et de lui ma famille était beaucoup connue."")",1.0,Deletion
148,"('#climene', ""C'est assez dit. Là ; je vous veux voir là."")","('#hassan', ""Rien de plus heureux pour tous trois. Comme moi-même il sait ce que je pense Il connaît mes projets, il les approuve tous... Sans doute en ses discours vous aurez confiance, Ils vaincront votre résistance : Je tiendrai d'un ami mon bonheur le plus doux. Bientôt vous l'allez voir paraître."")",0.74,Substitution
149,"('#acanthe', 'Madame...')","('#clarice', ""Quoi je pourrai le voir !... Vos bontés aujourd'hui..."")",1.56,Substitution
150,"('#climene', ""Là, vous dis-je. Voyez qu'il a de mal ! Sa maîtresse l'oblige À s'asseoir sur un lit quelle peine pour lui ! Savez-vous ce que c'est ? Je veux rire aujourd'hui. Point de discours plaintifs : bannissez, je vous prie, Ces soupirs à la voix du sommeil ennemie ; Témoignez, s'il se peut, votre amour autrement. Mais que veut cette main qui s'en vient brusquement?"")","('#hassan', ""Eh ! Pourquoi non ? Vous devez me connaître, Fatmé, voyez en moi toujours un tendre ami, Et n'y voyez jamais un maître. Ce Sérail ne vous a causé que trop d'ennui : À tous moments je prétends qu'il vous voie, Ces murs ne sont plus faits, ni pour vous, ni pour lui. Avouez qu'à le voir vous aurez quelque joie ?..."")",0.02,Substitution
151,"('#acanthe', ""C'est pour vous obéir, et témoigner mon zèle."")","('#clarice', ""Mais... il connaît... ce que j'ai de plus cher ; Et l'amour... du pays...."")",1.4,Substitution
152,"('#climene', ""L'obéissance en est un peu trop ponctuelle ; Nous vous en dispensons : Acanthe, soyez coi. Si bien donc que votre âme est tout en feu pour moi ?"")","('#hassan', ""Pourquoi vous en défendre. L'amour de la Patrie est un penchant si tendre... On en triomphe à peine, et même dans Alger. Eh ! Le vôtre, Fatmé, pourrait-il me surprendre ? J'ai beaucoup voyagé ; mais de tous les pays, Celui dont mes regards ont été plus ravis' Où toutes les beautés naissent, où vont se rendre, C'est la France, sans doute : elle est à tous égards, Quoiqu'en dise l'envie et malgré son murmure, Le chef_d_oeuvre de la Nature, Et l'heureux asile des arts. Que votre goût pour elle éclate âmes regards. .11 Mon coeur à ses beautés comme vous est sensible."")",1.09,Substitution
153,"('#acanthe', 'Tout en feu.')",,1.0,Insertion
154,"('#climene', ""Vous n'avez ni cesse ni relâche ?"")","('#clarice', ""Oh ! Le goût que j'éprouve est un goût invincible."")",1.36,Substitution
155,,"('#hassan', 'Vous trouverez d_Oberval bien changé[.]')",1.0,Deletion
156,"('#acanthe', 'Aucune.')","('#clarice', 'Comment donc !')",0.16,Substitution
157,,"('#hassan', ""Son coeur est plongé Dans une amertume terrible : par un coup imprévu la mort l'a séparé D'une Maîtresse aimable, et tendre autant que belle."")",1.0,Deletion
158,,"('#clarice', 'Ah ! Je respire. Il est fidèle.')",1.0,Deletion
159,,"('#hassan', ""Par la douleur son coeur est déchiré : En voyageant il a cru s'en distraire ; Mais les maux de ce caractère Sont pour un coeur sensible aussi longs que cuisants, Son vaisseau dans le port fut poussé par les vents : À son esprit alors l'amitié me rappelle,  Il me fait avertir ; j'accours à la nouvelle.  Jugez de la douceur de nos embrassements : Il est chez moi depuis ; mais à tous les moments, Sa tristesse se renouvelle. Vous verrez ses regrets... Ses pleurs sont si touchants Oh ! Vous aurez pitié de sa douleur mortelle."")",1.0,Deletion
160,,"('#clarice', ""Elle s'adoucira, peut-être avec le temps."")",1.0,Deletion
161,,"('#hassan', ""Je Vous laisse... En ces lieux je reviens le conduire : Pour vous faire jouir de son étonnement, J'aurai soin de ne pas l'instruire Que vous le connaissez. L'amitié qui m'inspire Voudrait que tout pour vous devint amusement. En revenant. Il sort."")",1.0,Deletion
162,"('#climene', 'Toujours pleurs, soupirs comme à la tâche ?')","('#clarice', ""Ciel, au bonheur que tu me rends, Pourquoi mêler tant de trouble et de crainte ! J'étais maîtresse à peine de mes sens... Mais aux mouvements que je sens Je puis enfin nie livrer sans contrainte."")",0.74,Substitution
163,"('#acanthe', 'Toujours soupirs et pleurs.')","('#isabelle', 'Il est parti. Je guettais le moment. Vous adoucissez-vous ? Êtes-vous moins cruelle ?')",1.47,Substitution
164,"('#climene', ""J'en veux avoir pitié Allez, je vous promets."")","('#clarice', ""Partagez mes transports... Ah ! Ma chère Isabelle !... Qui pouvait se flatter d'un tel événement !... Quelle joie !... Oui... Je suis dans un ravissement... Tout ce qu'Hassan m'a dit prouve qu'il est fidèle..."")",1.01,Substitution
165,"('#acanthe', 'Et quoi !')","('#isabelle', ""Un transport si prompt et si grand, À vous parler vrai me surprend, Sa constance pour vous n'est pas une nouvelle? Vous deviez y compter..."")",1.6,Substitution
166,"('#climene', ""De l'amitié."")","('#clarice', 'Cet agréable instant Est le plus flatteur de ma vie... Vous me voyez transportée et ravie...')",1.36,Substitution
167,"('#acanthe', ""Ah ! Madame, faut-il railler d'un misérable !"")","('#isabelle', ""Eh ! Mais je crois qu'il ne tenait qu'à vous D'avancer un instant si doux, Si vous en aviez bien envie. L'heureux Hassan n'eût point fait le cruel."")",1.22,Substitution
168,,"('#clarice', ""L'heureux Hassan !... Quelle est cette folie ?"")",1.0,Deletion
169,,"('#isabelle', 'Je ne vous blâme point !... Il est fort naturel...')",1.0,Deletion
170,,"('#clarice', ""Qu'a donc Hassan de commun, je vous prie, Avec mes tendres mouvements ?"")",1.0,Deletion
171,"('#climene', ""Vous reprenez toujours votre ton lamentable. Oui, je vous veux aimer d'amitié malgré vous ; Mais si sensiblement, que je n'aie, entre nous, De là jusqu'à l'amour rien qu'un seul pas à faire."")","('#isabelle', ""Oh ! Pour le coup je ne sais que vous dire, 'Sans doute vous voulez sonder mes sentiments ; Mais croyez quelque goût que sa vertu m'inspire, Que je vous vois sans peine achever son bonheur."")",0.14,Substitution
172,,"('#clarice', ""Qui vous parle d'Hassan ? D'où vous vient cette erreur ?"")",1.0,Deletion
173,,"('#isabelle', ""De qui s'agit-il donc ?"")",1.0,Deletion
174,,"('#clarice', 'De d_Oberval sans doute.')",1.0,Deletion
175,,"('#isabelle', ""Est-ce qu'il est ici !"")",1.0,Deletion
176,,"('#clarice', ""Je vous l'ai dit cent fois... Jugez du plaisir que je goûte ? Son coeur est toujours sous mes lois... Il me croit morte, il me pleure sans_cesse. Que j'aurai de plaisir à bannir sa tristesse !... Quelle sera sa joie ! Il va bientôt me voir. Je sens que pour la concevoir, Il faudrait avoir ma tendresse."")",1.0,Deletion
177,,"('#isabelle', ""Votre bonheur m'étonne autant qu'il m'intéresse ; Mais Hassan sait-il votre amour ? Allez-vous quitter ce séjour ? Expliqués-moi comment ?... Oh bon! Voici Dorise. Les fous sont toujours importuns."")",1.0,Deletion
178,"('#acanthe', 'Et quand le ferez-vous ce pas si nécessaire ?')","('#dorise', ""Le destin qui me favorise Fait pour moi des efforts qui ne font pas communs. Mais il me rend en vain un amant qui m'adore Si vous ne secondez mes voeux, Sans doute Hassan ne me retient encore Que pour vous engager à partager ses feux... Que vous a-t-il appris ? Faut-il que je l'ignore ?"")",1.35,Substitution
179,"('#climene', 'Jamais.')","('#isabelle', 'Rien du tout.')",0.81,Substitution
180,"('#acanthe', ""Reprenez donc l'offre de votre coeur."")","('#dorise', ""Comment rien !... Pour mon coeur amoureux C'est un coup de poignard."")",1.06,Substitution
181,,"('#clarice', ""Tâchez de m'en défaire. Que lui dirai-je ?"")",1.0,Deletion
182,,"('#isabelle', 'Rien, allez. Laissez-moi faire; Vous croyez donc toujours d_Oberval dans ces lieux ? À Dorise.')",1.0,Deletion
183,,"('#dorise', ""Apparemment, j'en puis croire mes yeux."")",1.0,Deletion
184,"('#climene', ""Vous en aurez regret ; il a de la douceur. Vous feriez beaucoup mieux d'éprouver ses largesses. Je baise mes amis, je leur fais cent caresses : À l'égard des amants, tout leur est refusé."")","('#isabelle', ""D'une illusion agréable On a bien de la peine à défendre son coeur, Ce qu'on désire avec ardeur Paraît toujours assez croyable ; Mais on revient bientôt de son erreur, Lorsqu'on comme vous un esprit raisonnable."")",0.81,Substitution
185,,"('#dorise', ""Je vous jure... Eh ! Pourquoi voudrais-je vous tromper ? Je l'ai vu. C'est un fait."")",1.0,Deletion
186,,"('#isabelle', 'd_Oberval?')",1.0,Deletion
187,,"('#dorise', 'Oui. Lui-même.')",1.0,Deletion
188,"('#acanthe', 'Je ne veux point du tout, Madame, être baisé. Vous riez ?')","('#isabelle', ""Te conçois aisément qu'un amant que l'on aime Maître de notre esprit doit toujours l'occuper ; Vous avez une âme si tendre ...."")",0.91,Substitution
189,"('#climene', ""Le moyen de s'empêcher de rire ! On veut baiser Acanthe ; Acanthe se retire."")","('#dorise', ""Vous me connaissez bien. C'est une passion... Une ardeur...."")",1.29,Substitution
190,,"('#isabelle', ""Oh ! La chose est facile à comprendre. Tout doit céder sans doute à cette impression, Et dans tous les objets dont la vue est frappée Le coeur cherche, et croit voir ces traits victorieux ; La voix, l'air, les regards dont l'âme est occupée..."")",1.0,Deletion
191,"('#acanthe', 'Et le pourriez-vous voir traiter de son amour Pour un simple baiser, souvent froid, toujours court ?')","('#dorise', ""Quand vous verriez mon coeur vous n'y liriez pas mieux. Son image me fuit... Je crois toujours l'entendre. Je lui parle..."")",0.8,Substitution
192,,"('#isabelle', ""Et voilà d'où naît l'illusion. L'esprit le plus sensé peut se laisser surprendre, Et l'Amour sait son rôle en trompait la raison ;"")",1.0,Deletion
193,"('#climene', 'On redouble en ce cas.')","('#dorise', 'Son idée en effet est assez vraisemblable, Cependant.... mon erreur serait bien pardonnable.')",1.87,Substitution
194,"('#acanthe', ""Oui, d'autres que Climène."")","('#clarice', ""J'entends du bruit... Ce sont les Bostangi, Que leurs travaux mènent ici. Ils paraissent déjà. Tâchez de vous contraindre."")",1.16,Substitution
195,"('#climene', 'Éprouvez-le.')","('#dorise', ""Vous n'auriez qu'à vouloir, nous serions tous heureux, Et c'est vous dans le fond qui me rendez à plaindre."")",1.49,Substitution
196,,"('#isabelle', 'Ils avancent... Soyez plus discrète à leurs yeux.')",1.0,Deletion
197,,"('#dorise', ""Oh ! J'aime trop pour pouvoir feindre : Pourquoi d'ailleurs me cacher devant eux ? Je parle pour leur Maître, et je n'ai rien à craindre."")",1.0,Deletion
198,"('#acanthe', 'De quoi vous mettez vous en peine ?')","('#osmin', ""Demeurez, aimable Axelie, Puisqu'un heureux hasard nous cache à tous les yeux, Daignez m'apprendre, je vous prie, Quel sera près de vous le succès de mes feux. Votre coeur à la fin d'accord avec mes voeux, Voudra-t-il consentir au bonheur de ma vie."")",1.25,Substitution
199,"('#climene', 'Moi ? de rien.')","('#axelie', ""Osmin, vous me parlez d'un ton bien langoureux... Je suis vive, gaie et badine ; Si l'amour est si sérieux, À vous parler vrai, j'imagine Que vous êtes loin d'être heureux."")",1.54,Substitution
200,,"('#osmin', ""Je vous rends grâces de m'instruire : Si la gaîté peut gagner votre coeur, C'est mon premier talent, et vous n'avez qu'à dire. Qu'un baiser seulement commence mon bonheur, Et vous verrez si je sais rire."")",1.0,Deletion
201,"('#acanthe', ""Cependant je vois qu'en votre esprit Le refus de vos dons jette un secret dépit."")","('#axelie', ""Oh ! Non pas, s'il vous plaît, je ris sans ce secours. J'aime une gaîté naturelle, Dont la langueur jamais n'interrompe le cours, Qui s'amuse de tout, et qu'un rien renouvelle : La liberté, les biens, les plus tendres amours, Ne sauraient me plaire sans elle."")",1.15,Substitution
202,"('#climene', ""Il est vrai, ce refus n'est pas fort à ma gloire. Dédaigner mes baisers ! Cela se peut-il croire ? Acanthe, je le vois, n'est pas fin à demi : Il devait aujourd'hui promettre d'être ami ; Demain il eût repris son premier personnage."")","('#osmin', ""Et voilà justement quelle est l'aimable humeur Que donne la Nature aux lieux de ma naissance. Elle aurait dû vous faire naître en France : On pourra réparer peut-être son erreur ; J'en ai du moins quelqu'espérance. Vous connaissez pour moi d'Hassan la confiance : Si je me flattais d'être aimé, D'un projet important que son coeur a formé Je vous ferais la confidence."")",0.42,Substitution
203,,"('#axelie', 'Oh ! Je vous aime assez pour apprendre un secret.')",1.0,Deletion
204,"('#acanthe', ""Et Clymène aurait pu souffrir ce badinage ? Un baiser n'aurait pas irrité ses esprits ?"")","('#osmin', ""M'aimez-vous assez pour le taire ?"")",1.2,Substitution
205,,"('#axelie', ""Je n'aurais pas un grand effort à faire : Si j'ai le coeur peu tendre, il est au moins discret."")",1.0,Deletion
206,"('#climene', ""Qu'importe ? L'on s'apaise, et c'est autant de pris. Vous en pourriez déjà compter une douzaine."")","('#osmin', ""Eh bien sachez qu'Hassan va rompre l'esclavage Des Françaises qui sont ici depuis six mois ; Nous les menons en France, et je fais à mon choix Les arrangements du voyage : Il ne faut que m'aimer pour venir avec nous... Ne croyez pas que j'exagère, Dans ce climat aussi riant que doux, Vous verrez tout ce qui peut plaire, Et c'est le seul digne de vous,"")",1.19,Substitution
207,,"('#axelie', ""Sans doute. Qui ne croit que c'est dans sa patrie Qu'on trouve le suprême bien ? Chaque homme sur ce point a la même manie, Et de tous les pays ne vante que le lien."")",1.0,Deletion
208,,"('#osmin', ""Oui. Mais ce que je dis du mien, L'Europe entière le publie. C'est le Ciel le plus beau...."")",1.0,Deletion
209,,"('#axelie', ""Oh ! Cela n'y fait rien : Bientôt le plus beau ciel ennuie."")",1.0,Deletion
210,,"('#osmin', ""J'en conviens. Lorsque comme ici, Et dans tous les pays qu'on appelle Turquie, On paraît ignorer tout le prix de la vie, Que le printemps de l'âge est obscurci Par la honte des fers, la crainte, le souci, Que d'un maître absolu l'on sert la tyrannie, Qu'on ne vit que pour lui"")",1.0,Deletion
211,"('#acanthe', ""Madame, c'en est trop : à quoi bon tant de peine ? Pour douze d'amitié donnez-m'en un d'amour."")","('#axelie', ""Propos de jalousie : Les malheurs de celui qui sert Font le bonheur de celui qui commande ; L'un gagne ce que l'autre perd."")",0.7,Substitution
212,,"('#osmin', ""En Turquie on exige, en France l'on demande..."")",1.0,Deletion
213,,"('#axelie', ""La différence n'est pas grande : Le bien le plus gardé tôt ou tard est offert."")",1.0,Deletion
214,,"('#osmin', ""Cependant votre sexe ici dans l'esclavage Porte d'indignes fers, et languit sous leur poids ; Aussi nous lui rendons un éternel hommage, Tandis qu'en France il goûte l'avantage De vivre libre, et de donner des lois : Nous ne sommes jamais heureux que par son choix. Maîtresses du bonheur, les Belles sont nos Rois."")",1.0,Deletion
215,,"('#axelie', ""Et c'est tout comme ici. Le Turc le plus farouche Soupire, et languit à nos pieds."")",1.0,Deletion
216,,"('#osmin', ""Mais qu'il vous plaise, ou non, il faut que vous feigniez Que son amour vous honore, et vous touche Lors même qu'il s'abaisse il vous donne la loi, Et le Tyran ne vous couronne Que pour vous enchaîner un peu plus près de soi. Une foule d'Argus toujours vous environne, Vous suit partout, vous contraint, ou vous prône : Se faire détester est son affreux emploi. C'est tout le contraire chez moi : Les Belles en tout temps sont comme sur un trône, Leur volonté décide, elle défend, ordonne, On obéit, sans demander pourquoi ; Leur pouvoir est un bien que la beauté leur donne ; Elles sortent sans suite, de rentrent sans effroi, En bravant le courroux du sot qui les soupçonne, Et toujours sur leur bonne foi..."")",1.0,Deletion
217,,"('#axelie', 'Elles ne trompent donc personne !')",1.0,Deletion
218,"('#climene', ""C'est perdre doublement ; je le rendrais trop court."")","('#osmin', ""Ah ! J'oubliais cet article important. Elles trompent aussi comme par tout le monde : Mais en France tout les seconde, Et ce plaisir est ici plus piquant."")",1.6,Substitution
219,,"('#axelie', 'Vous voilà bien. Pour un mot innocent... ')",1.0,Deletion
220,"('#acanthe', 'Mais, Madame, voyons.')","('#osmin', ""Mon Dieu, n'ayons point de querelle, Eh bien sur ce tableau fidèle ?"")",1.21,Substitution
221,,"('#axelie', ""Il pourrait me tenter s'il était ressemblant. Malgré tous vos discours je doute cependant Que la grandeur de vos sultans de France..."")",1.0,Deletion
222,,"('#osmin', ""Oh ! Vraiment, quelle différence ! Je sais que vos sultans en imposant des fers, Se flattent de régner sur cent peuples divers : Leur Empire s'étend jusqu'aux lieux où nous sommes Mais quels sont les humains soumis à leur pouvoir ? Des esclaves tremblants qu'ils dédaignent de voir : Notre Roi règne sur des hommes, Souverain de leurs coeurs l'amour fait leur devoir. Dans un sérail obscur où l'orgueil les resserre, Vos Sultans amollis par d'éternels loisirs, Poids inutiles de la Terre, Abandonnent leur gloire aux bras de leurs vizirs. Le Sultan des Français fait lui-même la guerre, Et ce n'est qu'en héros qu'il se livre aux plaisirs."")",1.0,Deletion
223,,"('#axelie', ""Mais c'est donc un Prince admirable ! Les coeurs doivent voler au devant d'un tel Roi."")",1.0,Deletion
224,"('#climene', ""Mais, Acanthe, vous dis-je, L'amitié seulement à ces faveurs m'oblige."")","('#dorise', ""Mon cher Osmin, ayez pitié de moi ; Vous pouvez me tirer d'un état déplorable : J'aime... Oh ! Devant vous je ne me gêne pas. Je vous crois, aimable Axelie, Un très bon coeur, et de plus mon amie : On doit penser fort bien quand on a tant d'appas. À Axelie."")",0.37,Substitution
225,"('#acanthe', ""Eh bien, je consens d'être ami pour un moment."")","('#axelie', 'Le compliment...')",1.22,Substitution
226,"('#climene', ""Sous la peau de l'ami, je craindrais que l'amant Ne demeurât caché pendant tout le mystère. L'heure sonne, il est tard ; n'avez vous point affaire ?"")","('#dorise', ""Je n'ai pas le loisir d'en faire. Cher Osmin, il faut me servir... On ne nous entend point ?..."")",1.11,Substitution
227,,"('#osmin', 'En quoi puis-je vous plaire ? Je suis prêt à vous obéir.')",1.0,Deletion
228,"('#acanthe', ""Non ; et quand j'en aurais, ces moments sont trop doux."")","('#dorise', ""C'est un amour si vif.... Ce n'est plus un mystère... Il est ici. Je veux ou le voir, ou périr. Tu le connais ?"")",0.81,Substitution
229,,"('#osmin', 'Qui donc ?')",1.0,Deletion
230,,"('#axelie', ""Quelqu'un vient ce me semble."")",1.0,Deletion
231,"('#climene', 'Je me veux habiller ; adieu, retirez-vous.')","('#osmin', 'Pardonnez si je fuis.')",1.15,Substitution
232,"('#apollon', 'Vous finissez bientôt !')","('#axelie', 'Je vous quitte à regret.')",1.31,Substitution
233,,"('#dorise', 'Dans le bosquet voisin retrouvons-nous ensemble : Je vous apprendrai mon secret.')",1.0,Deletion
234,"('#melpomene', ""Point trop pour des pucelles. Ces discours leur siéent mal, et vous vous moquez d'elles."")","('#hassan', ""Oui, d_Oberval, ainsi pensent les Musulmans : Leur coeur, sans s'arrêter à des recherches vaines, N'aspire qu'à la paix, ne fuit que les tourments : Ce qu'on appelle amour pour eux n'a point de chaînes» Tout fuit dans leurs sérails l'essor de leurs désirs, Si les femmes font leurs plaisirs, Elles ne font jamais leurs peines ; C'est tout ce que mon âme adopte de leurs moeurs."")",1.36,Substitution
235,"('#apollon', ""Moi, me moquer pourquoi ? J'en ouïs l'autre jour Deux de quinze ans parler plus savamment d'amour. Ce que sur vos amants je trouverais à dire C'est qu'ils pleuraient tantôt, et vous les faites rire. De l'air dont ils se sont tout à l'heure expliqués, Ce ne sauraient être eux, s'ils ne se sont masqués."")","('#d-oberval', ""Je sens par le chagrin qui me fuit et m'accable, Qu'une passion véritable Peut nous causer le plus grand des malheurs ; Clarice est pour mon coeur une source durable D'ennuis, de regrets de de pleurs. Cependant si l'amour a des jours de tristesse, Il sait répandre aussi la plus aimable ivresse Sur ses plus cruelles rigueurs. Chez nous il est bien plus sentiment que faiblesse, En affectant notre âme, il l'émeut, l'intéresse ; Et franchement le vôtre..."")",0.43,Substitution
236,,"('#hassan', 'Est le seul de bon sens : Nous vivons pour nous-mêmes, de tout flatte nos sens. Sur ce point seul nul souci ne nous presse.')",1.0,Deletion
237,"('#melpomene', 'Vous vouliez du plaisant, comment eût-on pu faire ?')","('#d-oberval', 'Mais comment reçoit-on de pareils sentiments ?')",1.23,Substitution
238,"('#apollon', ""J'en voulais, il est vrai, mais dans leur caractère."")","('#hassan', ""Fort bien. On nous traite en amants, Et nous n'avons point de maîtresse."")",1.49,Substitution
