,chevalier-amours-de-calotin,palaprat-le-muet,Cost,Operation Type
206,,"('#marine', ""Je n'oublierai rien."")",1.0,Deletion
207,,"('#la-comtesse', 'As-tu bien compris ?')",1.0,Deletion
208,,"('#marine', 'Et oui Madame.')",1.0,Deletion
209,,"('#la-comtesse', ""Tu n'as que la rue à traverser, amène-la si tu peux avec toi."")",1.0,Deletion
210,,"('#marine', ""Il faut avouer que cette femme là veuT bien ce qu'elle veut : elle m'a déjà dit chez elle dix fois la même chose.  Quand je forts elle me soit pour me le redire, ah !  La voici encore."")",1.0,Deletion
211,"('#le-comte', ""Marquis, pour lui parier il faut que je descende : Si je ne pouvais pas revenir en ce lieu, Je prends congé de toi jusqu'à ce soir."")","('#la-comtesse', ""Écoute, j'avais oublié à te dire d'avertir le Capitaine de ne prendre pas la peine de venir lui-même ce soir : je n'aime point qu'on me vienne voir à ces heures-ci."")",0.43,Substitution
212,,"('#marine', ""Eh, Madame, vous me l'avez dit quatre fois, est-ce tout ?"")",1.0,Deletion
213,"('#le-marquis', 'Adieu.')","('#la-comtesse', 'Oui, va, et reviens bientôt.')",1.44,Substitution
214,"('#le-baron', 'Puisque quand il vous joue, il fait tant de merveilles, Sans doute il vous plairait, vous coupant les oreilles. Ah ! Pauvres abusés.')","('#marine', ""Eh, Dieu soit loué... mais... ne m'appelle-t'elle pas encore ?  Non C'est quelqu'un qui monte l'escalier ; ne serait-ce point qu'on lui amène Zaïde...  Attendons un moment.  Ah !  C'est ce diable de Frontin qui me fait enrager avec son amour, que diantre vient il faire ici ?"")",1.03,Substitution
215,,"('#frontin', 'Où vas-tu si tard, charmante Marine.')",1.0,Deletion
216,"('#le-chevalier', 'Quoi ! Ne fait-il pas bien ?')","('#marine', ""Où vas-tu toi-même à l'heure qu'il est, hibou ?"")",1.23,Substitution
217,,"('#frontin', 'Je te cherche, cruelle, et tu ne me cherches point.')",1.0,Deletion
218,,"('#marine', ""J'ai bien à faire de toi.  Adieu."")",1.0,Deletion
219,"('#le-marquis', ""Dessus cet obstiné tu ne gagneras rien ; Car en tout et partout Molière il désapprouve, Et périra plutôt que chez lui l'on le trouve."")","('#frontin', ""Arrête, inhumaine, arrête un moment, ou tu vas voir expirer à tes pieds l'amoureux, le triste, le désespéré Frontin."")",0.89,Substitution
220,"('#le-chevalier', ""D'où vient que tu te veux ce plaisir dérober ?"")","('#marine', ""Oh ça, m'aime[s]-tu autant que tu le dis ?"")",0.52,Substitution
221,,"('#frontin', ""Oui, la peste m'étouffe."")",1.0,Deletion
222,"('#le-baron', ""C'est que je n'aime pas à m'entendre dauber. Entendez-vous, Messieurs ? Finissons ce langage."")","('#marine', ""Veux-tu m'épouser ?"")",1.52,Substitution
223,,"('#frontin', ""Oui, ou le diable m'emporte."")",1.0,Deletion
224,"('#le-chevalier', ""Nous n'en parlerons pas, cher Baron, davantage; Suffit que nous sachions que cela te déplaît. La pièce d'aujourd'hui sais-tu point quelle elle est, Et quel en est l'auteur ?"")","('#marine', ""Tiens, il n'y a qu'un mot qui serve ; touche-là.  Je t'aime aussi, j'enrage de te l'avoir dit ; mais c'est une affaire faite, à condition que tu renonceras aux fourberies, et que tu songeras à embrasser quelque profession."")",0.78,Substitution
225,,"('#frontin', ""Mon enfant, je n'ai reçu du Ciel que l'industrie en partage ; chacun est obligé en conscience de faire valoir ses talons, je n'ai point d'autre profession."")",1.0,Deletion
226,"('#le-baron', 'Chevalier.')","('#marine', 'Appelle-tu cela profession !')",0.88,Substitution
227,,"('#frontin', ""Oui, Marine, et je soutiens qu'il n'en est pas aujourd'hui de plus en usage."")",1.0,Deletion
228,,"('#marine', ""Tu as perdu l'esprit."")",1.0,Deletion
229,,"('#frontin', ""Nullement, j'ai même fait dessein, quand nous serons mariez, que nous montrions aux autres."")",1.0,Deletion
230,,"('#marine', 'À tromper ?')",1.0,Deletion
231,,"('#frontin', 'Nous donnerons à cela un nom honnête.  Je montrerai aux hommes, et toi aux femmes.')",1.0,Deletion
232,"('#le-chevalier', 'Sans scandale, Je crois que cet auteur est un auteur de balle.')",,1.0,Insertion
233,"('#le-baron', 'Si ton opinion te le fait croire ainsi, Dis-moi, que prétends-tu venir chercher ici ?')","('#marine', 'Montrer à tromper aux femmes ?  Ce serait pour ne rien gagner, tu te moques de moi ; mais laissons cela, parle-moi franchement, que viens-tu faire ici ?')",0.25,Substitution
234,,"('#frontin', ""À te dire la pure vérité, j'y viens par l'ordre de mon maître pour épier si l'on mènera à la Comtesse cette Zaïde dont tu as sans_doute ouï parler."")",1.0,Deletion
235,,"('#marine', ""Tu la verras passer par ici tout à l'heure, je vais la quérir, adieu."")",1.0,Deletion
236,"('#le-chevalier', ""Ayant vu dans l'affiche une pièce nouvelle, Je viens voir ce que c'est."")","('#frontin', ""Attends, j'ai à présent bien des choses à te dire."")",1.46,Substitution
237,,"('#marine', 'Tu me les diras ce soir quand tu amèneras ce muet, que ton Maître a promis à ma Maîtresse.')",1.0,Deletion
238,"('#le-baron', 'Elle peut être belle, Et nous bien divertir.')","('#frontin', 'Qui, ce muet ?  Est-ce pour elle ?')",1.51,Substitution
239,"('#le-marquis', ""Je n'en crois rien ; ma foi."")","('#marine', 'Vraiment oui.')",1.52,Substitution
240,"('#le-chevalier', 'Pour une comédie, hors Molière, crois-moy.')","('#frontin', ""Eh, que di[a]ntre veut-elle faire d'un muet ? "")",1.64,Substitution
241,"('#le-baron', ""Voilà de nos Messieurs dont l'âme prévenue Blâme une comédie avant que l'avoir vue. Si d'une de Molière on vous donnait l'espoir, Vous la croiriez fort belle, avant que de la voir."")","('#marine', ""Bizarre.  Elle veut toujours avoir dans son équipage quelque chose de singulier ; elle eut d'abord un More, dès qu'elle vit qu'ils devenaient trop communs, et que la vanité d'en avoir avait passé jusques aux bourgeoises, elle n'en voulut plus, et prit un petit Turc, d'autres en eurent elle le quitta ; présentement elle s'est avisée d'avoir un muet à cause que personne ne s'en sert."")",0.57,Substitution
242,,"('#frontin', ""Oh je te réponds qu'en cela elle sera bientôt suivie par les autres femmes ; elles seront bien aises d'avoir auprès d'elles des gens qui ne parlent point, et j'en sais plus de quatre qui se sont mal trouvées de n'avoir pas eu des domestiques muets."")",1.0,Deletion
243,,"('#marine', 'Tais-toi, voici Zaïde.')",1.0,Deletion
244,,"('#frontin', ""Sera-t'elle de nos amies ?"")",1.0,Deletion
245,,"('#marine', ""Eh, je t'en réponds, il y a longtemps que nous nous connaissons."")",1.0,Deletion
246,,"('#zaïde', ""Bonsoir, Marine, ta Maîtresse m'attend à ce qu'on m'a dit ?"")",1.0,Deletion
247,,"('#marine', 'Oui, Mademoiselle, je vous allais quérir ; mais qui attendez-vous vous-même.')",1.0,Deletion
248,,"('#zaïde', ""Ma fille de chambre qui [s]'est arrêtée sur la porte ; la voici.  Hé bien, Lisette qu'est-il devenu ? C'est lui-même."")",1.0,Deletion
249,"('#le-marquis', 'On le peut, ayant vu de lui des coups de maître.')","('#lisette', ""Il faut que quelqu'un l'ait arrêté, car je l'ai perdu de vue, mais pour être celui qui ne bougeait de ses fenêtres..."")",1.23,Substitution
250,,"('#zaïde', ""C'est assez, c'est assez, je n'en ai pas douté un moment.  Entrons, ne faisons pas attendre la Comtesse."")",1.0,Deletion
251,,"('#marine', ""Adieu, il faut que j'entre avec elle...  Mais peste soit de toi, tu es cause que je n'ai pas été dire au Capitaine de ne pas venir ce soir, oh s'il vient, je sais ce que je ferai."")",1.0,Deletion
252,"('#le-baron', ""Mais ne blâmez donc rien sans l'avoir vu paraître. Cet auteur n'a-t-il pas un esprit comme lui ? Et ne vous peut-il pas faire voir aujourd'hui, Quand sans sujet sur lui votre blâme se porte, Que vous ôtes des fous de parler de la sorte ?"")","('#frontin', ""Adieu, ma Déesse.  À ce que je viens d'entendre la Comtesse a dît vrai à Timante, et après ce que Marine vient de me dire, nous voila mon maître et moi assez heureux dans nos amours ; cependant du côté de l'intérêt nos affaires de l'un et de l'autre, vont fort mal.  Il me doit mes gages de plus de dix ans, s'il est privé des biens de son père, adieu les travaux de ma jeunesse.  Je ne voudrais pour rien du monde avoir servi un Maître déshérité.  Que pourrais-je imaginer pour engager notre héritier prétendu à faire quelque fredaine qui le brouillât avec son père ?  Mais par où diable l'attaquer ?  Il est trop taciturne, et l'on ne sait comment s'insinuer avec les gens d'une humeur si extraordinaire.  Eh, parbleu le voici tout à propos."")",0.7,Substitution
253,"('#le-marquis', ""Comme il n'a pas encor de réputation, Ne peut-on pas errer dedans l'opinion ?"")","('#frontin', ""Que cherche-t-il ici si tard, et avec tant d'empressement ?"")",1.26,Substitution
254,"('#le-baron', ""N'allez donc pas si vite où votre sens abonde."")",,1.0,Insertion
255,"('#le-chevalier', ""Mais je crois qu'ils auront aujourd'hui quelque monde, Voyant que l'on se fait plusieurs places garder."")","('#le-chevalier', ""Où sera-t-elle allée ?  Qu'est-t-elle devenue ?  Ah !  Frontin, que je suis heureux de te rencontrer !  Ne m'en donneras-tu pas des nouvelles ?"")",1.92,Substitution
256,"('#le-marquis', 'Mais pour qui pourrait-ce être ?')","('#frontin', 'Et de qui, Monsieur ? ')",0.25,Substitution
257,"('#le-baron', 'Il le faut demander. Laquais, dis-nous pour qui tu gardes cette place ?')","('#le-chevalier', ""Je crois qu'elle est entrée dans ce Palais ; mais dans quel appartement sera ce ?  Je suis mort si je ne la trouve."")",1.22,Substitution
258,,"('#frontin', 'La peste !  Comme il jase.')",1.0,Deletion
259,,"('#le-chevalier', 'Il faut que je la cherche partout, elle ne sera pas surprise de me voir.  Hélas !  Peut-être ne la verrai-je jamais.')",1.0,Deletion
260,,"('#frontin', ""Ce n'est plus le même homme, et de qui parlez-vous, Monsieur ?"")",1.0,Deletion
261,,"('#le-chevalier', 'De la plus charmante personne que tes yeux aient jamais vue.  Enseigne-moi où elle est.')",1.0,Deletion
262,,"('#le-baron', 'Et que puis-je savoir, si vous ne parlez plus clairement ?')",1.0,Deletion
263,,"('#le-chevalier', ""Je suis perdu si je ne la retrouve.  Grands Dieux !  Qu'elle a de charmes, et je ne la verrais plus ?  Non il n'est pas possible, elle est trop belle.  Quelque part qu'elle soit, elle n'y peut être longtemps cachée."")",1.0,Deletion
264,,"('#frontin', ""S'il parlait de Zaïde ?  Quel bonheur, qu'avez-vous donc, Monsieur ?"")",1.0,Deletion
265,,"('#le-chevalier', 'Tu me vois au désespoir.')",1.0,Deletion
266,,"('#frontin', 'Et de quoi ?')",1.0,Deletion
267,,"('#le-chevalier', 'Je suis amoureux.')",1.0,Deletion
268,"('#le-laquais', ""Messieurs, c'est pour Monsieur_le_Baron de la Crasse."")","('#frontin', 'Amoureux ?')",1.51,Substitution
269,"('#le-chevalier', 'Quoi celui qui se sut si bien tondre à la Cour ?')","('#le-chevalier', 'Oui amoureux ; mais éperdument, et il faut que tu me serves.')",1.58,Substitution
270,"('#le-laquais', 'Lui-même.')","('#frontin', 'Moi ?')",1.03,Substitution
271,,"('#le-chevalier', ""Oui toi, tu sais les bons offices que je t'ai rendus auprès de mon père, et que tu me disais toujours, Chevalier, cherchez seulement une maîtresse, et vous verrez ce que je ferai pour vous."")",1.0,Deletion
272,"('#le-marquis', 'Chevalier, nous rirons en ce jour. Et celle-la, pour qui ?')","('#frontin', 'Allez, allez, badin, vous voulez rire;')",0.26,Substitution
273,,"('#le-chevalier', ""Ce n'est point raillerie, j'ai trouvé ce que tu me disais de chercher, et tu me tiendras ce que tu m'as promis.  Si tu savais qu'elle est belle !"")",1.0,Deletion
274,,"('#frontin', ""Ah ! Je n'en doute point, courage !"")",1.0,Deletion
275,,"('#le-chevalier', ""Elle n'est pas comme la plupart des filles qui gâtent leur beauté à force de soins, elle n'a rien que de naturel : si tu l'avais vue."")",1.0,Deletion
276,,"('#frontin', ""Sachons si c'est Zaïde.......  Comment est-elle faite ?"")",1.0,Deletion
277,,"('#le-chevalier', ""Comment ?  Une taille faite exprès pour l'amour, un teint ! une douceur !  Je ne puis te l'exprimer.  Un tour de visage qui touche, et qui enchante !  Les yeux : ah !  Frontin, quels yeux."")",1.0,Deletion
278,,"('#frontin', ""Au portrait que vous m'en faites, me voilà aussi savant que je l'étais ; mais de quel âge à peu prés ?"")",1.0,Deletion
279,,"('#le-chevalier', ""D'environ seize ans."")",1.0,Deletion
280,,"('#frontin', 'Quelle est donc cette fille ?')",1.0,Deletion
281,"('#un-autre-laquais', 'Pour Monsieur de la Souche.')","('#le-chevalier', ""Je n'en sais rien."")",1.32,Substitution
282,,"('#frontin', 'Son nom ?')",1.0,Deletion
283,,"('#le-chevalier', 'Je le sais encore moins.')",1.0,Deletion
284,,"('#frontin', 'Me voila bien instruit : je vous servirai assurément.')",1.0,Deletion
285,"('#le-baron', 'Pour rire tout ton saoul, prépare-toi, ma bouche. Et ces deux autres là ? Nous allons voir beau jeu.')","('#le-chevalier', ""Il faut que tu me lui fasses parler ou par prière, ou par adresse, n'importe, pourvu que je lui parle."")",1.12,Substitution
286,"('#le-laquais', ""C'est pour Madame_la_Comtesse de Beaulieu, Et puis pour Monsieur_le_Marquis de Mascarille, Qui l'amène en ces lieux à cause de sa fille."")","('#frontin', ""Après ce que vous venez de me dire, il n'est tien de plus aisé ; mais il le faut faire mieux expliquer ?  Où l'avez-vous vue ?"")",1.08,Substitution
287,,"('#le-chevalier', 'À sa fenêtre vis à vis de chez nous, où je ne pouvais lui parler que par signes.')",1.0,Deletion
288,"('#le-baron-de-la-crasse', ""Villeneuve, quelqu'un ?"")","('#frontin', ""C'est elle...  Elle répondait au[x] signes ?"")",0.85,Substitution
289,,"('#le-chevalier', ""D'une manière dont j'étais charmé."")",1.0,Deletion
290,,"('#frontin', ""Fort bien.  Ne l'avez-vous jamais vue ailleurs ?"")",1.0,Deletion
291,,"('#le-chevalier', ""Tout à l'heure dans la rue[.]"")",1.0,Deletion
292,,"('#frontin', ""La voilà... Qu'est-elle devenue !"")",1.0,Deletion
293,,"('#le-chevalier', 'Je ne sais.')",1.0,Deletion
294,,"('#frontin', 'Que ne la suiviez-vous ?')",1.0,Deletion
295,"('#le-marquis-de-mascarille', ""Holà ! L'ami Clément ?  Ouvre-nous notre loge."")","('#le-chevalier', ""Mon oncle le Commandeur m'a arrêté, et j'en suis inconsolable."")",1.18,Substitution
296,,"('#frontin', 'Avec qui était-elle ?')",1.0,Deletion
297,,"('#le-chevalier', ""Avec sa fille de chambre et un laquais qui les éclairait.  Je jurerais qu'elles sont entrées dans ce Palais ; je les ai perdues de vue sur la porte."")",1.0,Deletion
298,"('#clement', 'Oui, tout présentement.')","('#frontin', 'Je sais tout cela.')",0.95,Substitution
299,"('#le-baron-de-la-crasse', 'Dis-moi, la comédie est-elle commencée ?')","('#le-chevalier', ""Que je suis heureux, et comment s'appelle-t-elle ?"")",0.99,Substitution
300,"('#clement', 'Non pas encor, Monsieur.')","('#frontin', 'Zaïde.')",1.71,Substitution
301,,"('#le-chevalier', 'Et qui sont ses parents ?')",1.0,Deletion
302,,"('#frontin', ""C'est ce qu'on ne sait point.  Elle fut prise par des Corsaires à l'âge de deux ans."")",1.0,Deletion
303,,"('#le-chevalier', ""Elle est d'une naissance illustre : mais où elle est présentement ?  Dis.le-moi, je t'en conjure."")",1.0,Deletion
304,,"('#frontin', ""Pas loin d'ici, là, chez la Comtesse."")",1.0,Deletion
305,"('#le-marquis-de-mascarille', 'Vous vous estes pressée; Madame, de venir, mais quoi, nous y voici.')","('#le-chevalier', ""Que je suis malheureux de n'être pas connu d'elle, j'entrerais tout à l'heure !  On dit que cette Comtesse est une belle personne ?"")",1.0,Substitution
306,,"('#frontin', 'Très belle.')",1.0,Deletion
307,"('#la-comtesse', ""Si l'on nous fait languir, que ferons-nous ici ? Justes Dieux quel chagrin."")","('#le-chevalier', 'Mais non pas comme la nôtre ?')",1.68,Substitution
308,,"('#frontin', 'Ho que non.')",1.0,Deletion
309,,"('#le-chevalier', 'Ah !  Frontin.')",1.0,Deletion
310,"('#le-baron-de-la-crasse', ""Cessez d'être alarmées, Les chandelles déjà sont toutes aHumées, Et l'on va commencer dans un petit moment."")","('#frontin', 'Adieu, Monsieur.')",1.85,Substitution
311,,"('#le-chevalier', 'Où vas-tu donc ?')",1.0,Deletion
312,"('#le-baron', 'Nous vous attendions tous fort impatiemment, Madame_la_Comtesse.')","('#frontin', ""Trouver mon Maître qui m'attend."")",1.19,Substitution
313,,"('#le-chevalier', ""Tu ne t'en iras point que tu ne m'aies rendu quelque service."")",1.0,Deletion
314,,"('#frontin', 'Je vous promets que ce soir même je parlerai pour vous à Zaïde, je dois revenir ici.')",1.0,Deletion
315,,"('#le-chevalier', 'Pour quoi faire ?')",1.0,Deletion
316,"('#le-chevalier', 'Ah ! Baron de la Crasse.')","('#frontin', 'Pour mener à la Comtesse un muet que votre frère lui envoie.')",1.15,Substitution
317,"('#le-baron-de-la-crasse', ""Marquis de Mascarille, il faut que je t'embrasse."")","('#le-chevalier', ""Quoi, ce muet dont j'ai ouï parler est pour elle ?"")",1.31,Substitution
318,,"('#frontin', 'Oui, Monsieur.')",1.0,Deletion
319,,"('#le-chevalier', ""Qu'il sera heureux !  Il verra à tous moments la charmante Zaïde ; il la servira, quel plaisir seulement d'être auprès d'elle !"")",1.0,Deletion
320,,"('#frontin', 'Voici mon affaire.')",1.0,Deletion
321,,"('#le-chevalier', ""Qu'il sera heureux !"")",1.0,Deletion
322,,"('#frontin', ""Et si vous étiez aujourd'hui cet heureux-là ?"")",1.0,Deletion
323,,"('#le-chevalier', 'Qui, moi ?')",1.0,Deletion
324,,"('#frontin', 'Vous-même.')",1.0,Deletion
325,,"('#le-chevalier', 'Et comment ?')",1.0,Deletion
326,,"('#frontin', 'Que vous prissiez ses habits ?')",1.0,Deletion
327,"('#le-chevalier', ""Mais qui te croyait voir en ce lieu de retour, Après tous les serments qu'on te vis faire un jour ; Qu'on ne te reverrait à la Cour de ta vie ?"")","('#le-chevalier', 'Et après ?')",1.07,Substitution
328,"('#le-baron-de-la-crasse', 'Je ne viens en ces lieux que pour la comédie ; Pour la Cour, serviteur.')","('#frontin', 'Que je vous menasse chez la Comtesse.')",0.52,Substitution
329,,"('#le-chevalier', ""J'entends."")",1.0,Deletion
330,"('#le-marquis', ""Mais je suis étonné Que Molière chez lui ne t'ait pas entraîné, Ou bien que tu ne sois à l'Hôtel de Bourgogne."")","('#frontin', 'Et que je disse que vous êtes le muet que Timante lui envoie ?')",1.41,Substitution
331,,"('#le-chevalier', 'Ah !  Que cela est bien imaginé.')",1.0,Deletion
332,,"('#frontin', 'Personne ne vous connaît chez elle ?')",1.0,Deletion
333,"('#le-marquis-de-mascarille', 'Molière drape trop.')","('#le-chevalier', ""Non assurément.  Que tu es habile, mon cher Frontin !  Allons déguise-moi tout à l'heure comme tu voudras ; mène-moi au plus vite : qu'il me tarde d'y être !"")",1.82,Substitution
334,,"('#frontin', 'Bon, à quoi pensez-vous ?  Est-ce que vous ne voyez pas que je ris ?')",1.0,Deletion
335,,"('#le-chevalier', ""Je ne ris pas moi.  Tu le feras puisque tu l'as dit."")",1.0,Deletion
336,,"('#frontin', 'Vous ne sauriez pas faire le muet ?')",1.0,Deletion
337,,"('#le-chevalier', 'Moi ?')",1.0,Deletion
338,"('#le-premier-baron', 'Il donne sur la trogne.')","('#frontin', ""Non.  Aller en bonne fortune ne pas parler, cela n'est pas possible à un homme de votre âge."")",1.86,Substitution
339,"('#le-baron-de-la-crasse', ""Poisson m'ayant joué comme il le fit un jour, On me verra chez eux aussi peu qu'à la Cour, Et le Marais tout seul est mon lieu de plaisance."")","('#le-chevalier', ""Ne te mets pas en peine, je ferai tout ce qu'il te plaira : l'amour fait jouer toutes sortes de personnages."")",1.22,Substitution
340,,"('#frontin', 'Mais, Monsieur votre père...')",1.0,Deletion
341,,"('#le-chevalier', 'Ne crains rien de ce côté-là[.]')",1.0,Deletion
342,,"('#frontin', 'Il veut vous marier demain avec la fille du Marquis.')",1.0,Deletion
343,,"('#le-chevalier', ""Je ne veux que Zaïde, je n'aime que Zaïde : je mourrai si je n'ai Zaïde."")",1.0,Deletion
344,,"('#frontin', 'Mais il veut aussi vous faire son héritier.')",1.0,Deletion
345,,"('#le-chevalier', ""Je ne consentirai jamais qu'il fasse ce tort à mon frère, et je serai trop riche si je puis posséder ce que j'aime."")",1.0,Deletion
346,,"('#frontin', ""Tout l'orage tombera sur moi."")",1.0,Deletion
347,,"('#le-chevalier', 'Eh !  Je te jure que je te mettrai à couvert de tout.')",1.0,Deletion
348,"('#le-moucheur-de-chandelles', ""Jouez vite, Messieurs, afin que l'on commence."")","('#frontin', 'Enfin vous le voulez ?')",0.74,Substitution
349,,"('#le-chevalier', ""Je le veux, je t'en prie, je te le commande, je t'en conjure."")",1.0,Deletion
350,"('#le-baron-de-la-crasse', 'Page, commence-t-on bientôt la comédie ?')","('#frontin', ""Au moins quand vous serez là dedans n'allez point faite quelque sottise."")",1.55,Substitution
351,,"('#le-chevalier', ""Ah !  J'ai trop de respect pour Zaïde ; je ne veux que lui déclarer les sentiments de mon coeur, tâcher de découvrir les siens, et l'engager, si je puis, à n'être qu'à moi."")",1.0,Deletion
352,,"('#frontin', ""Allez donc m'attendre dans la rue ; le muet qui doit nous donner l'habit que j'ai fait faire pour lui, n'est qu'à deux pas d'ici.  Vous vous habillerez tandis que j'irai rendre réponse à votre frère de ce qu'il attend de moi, ensuite je vous amènerai ici dès qu'il m'aura donné l'ordre d'y conduire celui dont vous tiendrez la place."")",1.0,Deletion
353,"('#rosette', ""Nous l'allons commencer."")","('#le-chevalier', 'Allons,ne perdons pas un instant.')",0.45,Substitution
354,,"('#frontin', ""Sortez le premier, j'ai été averti que celui qui tient lieu de père à Zaïde, doit venir ici ce soir ; il a un valet qui n'est pas grue, s'il nous voyait ensemble il pourrait se douter de quelque chose."")",1.0,Deletion
355,,"('#le-chevalier', ""Je vais l'attendre, viens vite au moins,"")",1.0,Deletion
356,,"('#frontin', ""Allez, vous dis-je...  Bon , voilà justement ce que je cherchais : mais la peste voici ce que je ne cherchais point !  Ce maudit Capitaine pourrait bien nous embarrasser : Marine l'avait bien dit qu'il reviendrait ce soir."")",1.0,Deletion
357,,"('#le-capitaine', 'Ah !  Te voila, mon brave, viens-tu voir si cette porte est encore fermée ?')",1.0,Deletion
358,"('#le-marquis-de-mascarille', ""La plaisante saillie ! Je crois que nous allons être bien satisfaits. Écoutons, s'il vous plaît, ce page et ce laquais."")","('#frontin', ""Eh, Monsieur, je sais qu'elle ne s'ouvre que pour vous, et je cède aux amants heureux."")",0.88,Substitution
359,,"('#le-capitaine', 'Allons, frappe...  Où vas-tu donc ?')",1.0,Deletion
360,,"('#gusman', 'Chez le Marquis_de_Sardan, Monsieur.')",1.0,Deletion
361,"('#rosette', ""Je veux que l'on me tonde en Baron de la Crasse, Si dessous cet habit vous n'avez bonne grâce."")","('#le-capitaine', 'Frappe chez la Comtesse, étourdi, frappe donc.')",0.58,Substitution
362,"('#le-baron-de-la-crasse', ""Comment, à nous dauber on commence déjà ? Ouvreur de loge, à moi ! Holà ! Quelqu'un, holà ! Si je demeure ici, je veux bien qu'on m'étrille."")","('#gusman', 'Mais, Monsieur,vous venez de lui envoyer Zaïde, est-il à propos si tôt...')",1.18,Substitution
363,"('#climene', ""Je m'imagine ouïr Monsieur de Mascarille, Alors que dans sa chaise il faisait tant de bruit."")","('#le-capitaine', ""C'est pour cela même, coquin, je veux lui dire qu'elle prenne garde à ce jeune drôle qui de sa fenêtre parlait tous les jours à Zaïde."")",0.97,Substitution
364,,"('#gusman', 'Hé, Monsieur, vous lui direz cela demain, on ne vous ouvrira pas si tard....')",1.0,Deletion
365,,"('#le-capitaine', 'Frapperas-tu, maraud, à la fin...')",1.0,Deletion
366,,"('#gusman', ""Eh, Monsieur, s'il ne tient qu'à frapper, votre affaire est faite."")",1.0,Deletion
367,,"('#marine', 'Que viens-tu faire ici?')",1.0,Deletion
368,,"('#gusman', 'Mon Maître demande à voir Madame.')",1.0,Deletion
369,,"('#marine', ""On ne la voit point à l'heure qu'il est ; va dire à ton Maître qu'il a perdu le sens."")",1.0,Deletion
370,"('#le-marquis-de-mascarille', ""Comment diable, en tous lieux la satire nous suit; Nous n'osons nous montrer, ni même ouvrir la bouche."")","('#gusman', 'Le voilà, tu peux lui dire toi-même[.]')",1.26,Substitution
371,,"('#marine', 'Monsieur, je vous demande pardon, je ne vous croyais pas si près.')",1.0,Deletion
372,,"('#le-capitaine', 'Je voudrais donner le bonsoir à ta Maîtresse.')",1.0,Deletion
373,,"('#marine', ""Ah !  Monsieur, elle a une migraine si terrible qu'elle a été obligée de se coucher après avoir causé un moment avec votre Zaïde.  Je crois qu'elle dort, mais puisque c'est vous, Monsieur, fi vous voulez je réveillerai."")",1.0,Deletion
374,,"('#le-capitaine', ""Va, je crois qu'il n'y aurait point de mal."")",1.0,Deletion
375,,"('#gusman', ""Si mon Maître n'est fou..."")",1.0,Deletion
376,,"('#le-capitaine', 'Mais non : va seulement écouter si elle dort, et si elle ne dort point...')",1.0,Deletion
377,,"('#marine', ""Elle dormira, Monsieur, assurément.  Vous n'avez qu'à demeurer un peu ici, si je ne reviens point, vous pourrez vous en aller.  Monsieur, je suis votre très humble servante, adieu Gusman."")",1.0,Deletion
378,,"('#gusman', 'Bonsoir, Marine.')",1.0,Deletion
379,"('#rosette', 'Ils caquettent autant que Monsieur de la Souche.')","('#gusman', 'Je vous le disais bien, Monsieur.')",1.57,Substitution
380,,"('#le-capitaine', 'Est-ce que sans la migraine...')",1.0,Deletion
381,,"('#gusman', 'Elle a la migraine comme vous.')",1.0,Deletion
382,,"('#le-capitaine', ""Qu'a-t-elle donc ?"")",1.0,Deletion
383,,"('#gusman', ""Elle a, Monsieur, qu'elle n'a pas sur elle ce qui faut pour être vue."")",1.0,Deletion
384,,"('#le-capitaine', 'Que veux-tu dire ?')",1.0,Deletion
385,,"('#gusman', ""Qu'elle a quitté son teint de jour, et qu'elle a pris son teint de nuit."")",1.0,Deletion
386,"('#monsieur-de-la-souche', ""Quoi donc ! À notre barbe on nous maltraite ainsi ? Ouvre-nous promptement, que nous sortions d'ici."")","('#le-capitaine', ""On dirait à t'entendre, qu'on prend un teint comme un bonnet : mais Marine ne revient point ; sortons.  Je donnerais la plus belle femme du monde pour le moindre brûlot de votre flotte."")",0.7,Substitution
387,"('#l-ouvreur-de-loges', 'Je suis à vous, Messieurs.')","('#gusman', ""Allons, Monsieur, c'est fort bien fait."")",1.12,Substitution
388,,"('#frontin', ""N'entrons pas encore chez elle : laissons sortir le Capitaine."")",1.0,Deletion
389,"('#le-baron-de-la-crasse', ""Peste soit la canaille ! Auteurs, comédiens, sont des vrais rien qui vaille. Après qu'ils sont tous sortis."")","('#le-chevalier', 'Le voilà sorti, allons.')",1.2,Substitution
390,"('#climene', 'Tout est calme, voyons si nous commencerons.')","('#frontin', ""N'allons pas si vite, et entendons-nous bien avant que de nous séparer."")",0.33,Substitution
391,"('#rosette', ""Ce sont là que je crois quelqu'uns de nos Barons, De ces fous que l'on voit qui haïssent Molière, Et ne le peuvent voir en aucune manière."")",,1.0,Insertion
392,"('#le-chevalier', ""Qu'en dis-tu, cher Baron ? Cela s'adresse à toi."")","('#le-chevalier', ""Qu'as-tu encore à me dire ?"")",0.19,Substitution
393,"('#le-baron', ""Ce que j'en dis ? Je dis que je m'en vais, ma foi."")","('#frontin', ""Il faut que vous me permettiez d'avertir moi-même votre père de votre amour pour Zaïde, aussi_bien faut-il qu'il le sache."")",1.43,Substitution
394,,"('#le-chevalier', 'Mais pourquoi toi-même ?')",1.0,Deletion
395,,"('#frontin', ""Afin qu'il ne me soupçonne de rien."")",1.0,Deletion
396,,"('#le-chevalier', ""J'y consens, entrons."")",1.0,Deletion
