,corneillep-andromede,quinault-isis,Cost,Operation Type
56,"('#le-choeur', ""Ainsi toujours sur tes autels Tous les mortels Offrent leurs coeurs en sacrifice ! Ainsi le Zéphyre en tout temps Sur tes palais de Cythère et d'Éryce Fasse régner les grâces du printemps ! Daigne affermir l'heureuse paix Qu'à nos souhaits Vient de promettre ton oracle ; Et fais pour ces jeunes amants, Pour qui tu viens de faire ce miracle, Un siècle entier de doux ravissements. Dans nos campagnes et nos bois Toutes nos voix Béniront tes douces atteintes ; Et dans les rochers d'alentour, La même écho qui redisait nos plaintes Ne redira que des soupirs d'amour."")","('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")",0.0,Match
57,"('#cephee', ""C'est assez... La déesse est déjà disparue ; Ses dernières clartés se perdent dans la nue ; Allons jeter le sort pour la dernière fois. Malheureux le dernier que foudroiera son choix, Et dont en ce grand jour la perte domestique Souillera de ses pleurs l'allégresse publique ! Madame, cependant, songez à préparer Cet hymen que les dieux veulent tant honorer : Rendez-en l'appareil digne de ma puissance, Et digne, s'il se peut, d'une telle présence."")","('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")",0.02,Substitution
58,"('#cassiope', ""J'obéis avec joie, et c'est me commander Ce qu'avec passion j'allais vous demander."")","('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",0.41,Substitution
59,"('#cassiope', ""Eh bien ! Vous le voyez, ce n'était pas un crime, Et les dieux ont trouvé cet hymen légitime, Puisque leur ordre exprès nous le fait achever, Et que par leur présence ils doivent l'approuver. Mais quoi ? Vous soupirez ?"")",,1.0,Insertion
60,"('#persee', ""J'en ai bien lieu, madame."")",,1.0,Insertion
61,"('#cassiope', 'Le sujet ?')",,1.0,Insertion
62,"('#persee', 'Votre joie.')",,1.0,Insertion
63,"('#cassiope', ""Elle vous gêne l'âme ?"")",,1.0,Insertion
64,"('#persee', ""Après ce que j'ai dit, douter d'un si beau feu, Reine, c'est ou m'entendre ou me croire bien peu. Mais ne me forcez pas du moins à vous le dire, Quand mon âme en frémit et mon coeur en soupire. Pouvais-je avoir des yeux et ne pas l'adorer ? Et pourrais-je la perdre et n'en pas soupirer ?"")","('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",0.84,Substitution
65,"('#cassiope', ""Quel espoir formiez-vous, puisqu'elle était promise, Et qu'en vain son bonheur domptait votre franchise ?"")","('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")",0.66,Substitution
66,"('#persee', 'Vouloir que la raison règne sur un amant, C\'est être plus que lui dedans l\'aveuglement. Un coeur digne d\'aimer court à l\'objet aimable, Sans penser au succès dont sa flamme est capable ; Il s\'abandonne entier, et n\'examine rien : Aimer est tout son but, aimer est tout son bien ; Il n\'est difficulté ni péril qui l\'étonne. "" ce qui n\'est point à moi n\'est encore à personne, Disais-je ; et ce rival qui possède sa foi, S\'il espère un peu plus, n\'obtient pas plus que moi. "" Voilà durant vos maux de quoi vivait ma flamme, Et les douces erreurs dont je flattais mon âme. Pour nourrir des désirs d\'un beau feu trop contents, C\'était assez d\'espoir que d\'espérer au temps ; Lui qui fait chaque jour tant de métamorphoses, Pouvait en ma faveur faire beaucoup de choses. Mais enfin la déesse a prononcé ma mort, Et je suis ce dernier sur qui tombe le sort. J\'étais indigne d\'elle et de son hyménée, Et toutefois, hélas ! Je valais bien Phinée.')","('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")",0.21,Substitution
67,"('#cassiope', ""Vous plaindre en cet état, c'est tout ce que je puis."")",,1.0,Insertion
68,"('#persee', ""Vous vous plaindrez peut-être apprenant qui je suis. Vous ne vous trompiez point touchant mon origine, Lorsque vous la jugiez ou royale ou divine : Mon père est... Mais pourquoi contre vous l'animer ? Puisqu'il nous faut mourir, mourons sans le nommer ; Il vengerait ma mort, si j'avais fait connaître De quel illustre sang j'ai la gloire de naître ; Et votre grand bonheur serait mal assuré, Si vous m'aviez connu sans m'avoir préféré C'est trop perdre de temps, courons à votre joie, Courons à ce bonheur que le ciel vous envoie ; J'en veux être témoin, afin que mon tourment Puisse par ce poison finir plus promptement."")","('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",0.62,Substitution
69,"('#cassiope', ""Le temps vous fera voir pour souverain remède Le peu que vous perdez en perdant Andromède ; Et les dieux, dont pour nous vous voyez la bonté, Vous rendront bientôt plus qu'ils ne vous ont ôté."")","('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",1.82,Substitution
70,"('#persee', ""Ni le temps ni les dieux ne feront ce miracle. Mais allons : à votre heur je ne mets point d'obstacle, Reine ; c'est l'affaiblir que de le retarder ; Et les dieux ont parlé, c'est à moi de céder."")","('#io', 'Je crains tout, je me crains moi-même.')",1.1,Substitution
71,"('#andromede', ""Nymphes, notre guirlande est encore mal ornée ; Et devant qu'il soit peu nous reverrons Phinée, Que de ma propre main j'en voulais couronner Pour les heureux avis qu'il vient de me donner. Toutefois la faveur ne serait pas bien grande, Et mon coeur après tout vaut bien une guirlande. Dans l'état où le ciel nous a mis aujourd'hui, C'est l'unique présent qui soit digne de lui. Quittez, nymphes, quittez ces peines inutiles ; L'augure déplairait de tant de fleurs stériles : Il faut à notre hymen des présages plus doux. Dites-moi cependant laquelle d'entre vous... Mais il faut me le dire, et sans faire les fines."")",,1.0,Insertion
72,"('#aglante', 'Quoi ? Madame.')",,1.0,Insertion
73,"('#andromede', ""à tes yeux je vois que tu devines. Dis-moi donc d'entre vous laquelle a retenu En ces lieux jusqu'ici cet illustre inconnu ; Car enfin ce n'est point sans un peu de mystère Qu'un tel héros s'attache à la cour de mon père : Quelque chaîne l'arrête et le force à tarder. Qu'on ne perde point temps à s'entre-regarder : Parlez, et d'un seul mot éclaircissez mes doutes. Aucune ne répond, et vous rougissez toutes ! Quoi ? Toutes, l'aimez-vous ? Un si parfait amant Vous a-t-il su charmer toutes également ? Il n'en faut point rougir, il est digne qu'on l'aime : Si je n'aimais ailleurs, peut-être que moi-même, Oui, peut-être, à le voir si bien fait, si bien né, Il aurait eu mon coeur, s'il n'eût été donné. Mais j'aime trop Phinée, et le change est un crime."")","('#jupiter', 'Quoi ! voulez vous me fuir')",0.84,Substitution
74,,"('#io', ""C'est mon dernier espoir."")",1.0,Deletion
75,"('#aglante', ""Ce héros vaut beaucoup, puisqu'il a votre estime ; Mais il sait ce qu'il vaut, et n'a jusqu'à ce jour À pas une de nous daigné montrer d'amour."")","('#jupiter', 'Écoutez mon amour.')",1.34,Substitution
76,"('#andromede', 'Que dis-tu ?')",,1.0,Insertion
77,"('#aglante', 'Pas fait même une offre de service.')","('#io', 'Écoutez mon devoir.')",1.22,Substitution
78,"('#andromede', ""Ah ! C'est de quoi rougir toutes avec justice ; Et la honte à vos fronts doit bien cette couleur, Si tant de si beaux yeux ont pu manquer son coeur."")","('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",1.46,Substitution
79,"('#cephalie', ""Où les vôtres, madame, épandent leur lumière, Cette honte pour nous est assez coutumière. Les plus vives clartés s'éteignent auprès d'eux, Comme auprès du soleil meurent les autres feux ; Et pour peu qu'on vous voie et qu'on vous considère, Vous ne nous laissez point de conquêtes à faire."")",,1.0,Insertion
80,"('#andromede', ""Vous êtes une adroite ; achevez, achevez : C'est peut-être en effet vous qui le captivez ; Car il aime, et j'en vois la preuve trop certaine. Chaque fois qu'il me parle il semble être à la gêne ; Son visage et sa voix changent à tous propos ; Il hésite, il s'égare au bout de quatre mots ; Ses discours vont sans ordre ; et plus je les écoute, Plus j'entends des soupirs dont j'ignore la route. Où vont-ils, Céphalie ? Où vont-ils ? Répondez."")","('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",1.32,Substitution
81,"('#cephalie', ""C'est à vous d'en juger, vous qui les entendez."")","('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",0.56,Substitution
82,,"('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",1.0,Deletion
83,"('#page', ""Qu'elle est lente, cette journée !"")","('#jupiter', 'Quoi si tôt.')",1.03,Substitution
84,,"('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",1.0,Deletion
85,"('#andromede', ""Taisons-nous : cette voix me parle pour Phinée ; Sans doute il n'est pas loin, et veut à son retour Que des accents si doux m'expliquent son amour."")","('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",0.9,Substitution
86,,"('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.0,Deletion
87,,"('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",1.0,Deletion
88,"('#page', ""Qu'elle est lente, cette journée Dont la fin me doit rendre heureux ! Chaque moment à mon coeur amoureux Semble durer plus d'une année. Ô ciel ! Quel est l'heur d'un amant, Si quand il en a l'assurance Sa juste impatience Est un nouveau tourment ? Je dois posséder Andromède : Juge, Soleil, quel est mon bien ! Vis-tu jamais amour égal au mien ? Vois-tu beauté qui ne lui cède ? Puis donc que la longueur du jour De mon nouveau mal est la source, Précipite ta course, Et tarde ton retour. Tu luis encore, et ta lumière Semble se plaire à m'affliger. Ah ! Mon amour te va bien obliger À quitter soudain ta carrière. Viens, Soleil, viens voir la beauté Dont le divin éclat me dompte ; Et tu fuiras de honte D'avoir moins de clarté."")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",0.66,Substitution
89,"('#phinee', ""Ce n'est pas mon dessein, madame, de surprendre, Puisque avant que d'entrer je me suis fait entendre."")","('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",1.33,Substitution
90,,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.0,Deletion
91,"('#andromede', ""Vos voeux pour les cacher n'étaient pas criminels, Puisqu'ils suivent des dieux les ordres éternels."")","('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",1.12,Substitution
92,"('#phinee', 'Que me direz-vous donc de leur galanterie ?')","('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.44,Substitution
93,,"('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",1.0,Deletion
94,"('#andromede', 'Que je vais vous payer de votre flatterie.')","('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",1.38,Substitution
95,"('#phinee', 'Comment ?')",,1.0,Insertion
96,"('#andromede', ""En vous donnant de semblables témoins, Si vous aimez beaucoup, que je n'aime pas moins. Approchez, Liriope, et rendez-lui son change ; C'est vous, c'est votre voix que je veux qui me venge. De grâce, écoutez-la ; nous avons écouté, Et demandons silence après l'avoir prêté."")","('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",0.87,Substitution
97,"('#liriope', ""Phinée est plus aimé qu'Andromède n'est belle, Bien qu'ici-bas tout cède à ses attraits ; Comme il n'est point de si doux traits, Il n'est point de coeur si fidèle. De mille appas son visage semé La rend une merveille ; Mais quoiqu'elle soit sans pareille, Phinée est encor plus aimé. Bien que le juste ciel fasse voir que sans crime On la préfère aux nymphes de la mer, Ce n'est que de savoir aimer Qu'elle-même veut qu'on l'estime ; Chacun, d'amour pour elle consumé, D'un coeur lui fait un temple ; Mais quoiqu'elle soit sans exemple, Phinée est encor plus aimé. Enfin, si ses beaux yeux passent pour un miracle, C'est un miracle aussi que son amour, Pour qui Vénus en ce beau jour A prononcé ce digne oracle : Le ciel lui-même, en la voyant, charmé, La juge incomparable ; Mais quoiqu'il l'ait faite adorable, Phinée est encore plus aimé."")","('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",0.39,Substitution
98,"('#page', 'Heureux amant !')","('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.26,Substitution
99,"('#liriope', 'Heureuse amante !')","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",0.99,Substitution
100,"('#page', ""Ils n'ont qu'une âme."")",,1.0,Insertion
101,"('#liriope', ""Ils n'ont tous deux qu'un coeur."")","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",0.59,Substitution
102,"('#page', 'Joignons nos voix pour chanter leur bonheur.')",,1.0,Insertion
103,"('#liriope', 'Joignons nos voix pour bénir leur attente.')",,1.0,Insertion
104,"('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")","('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",1.19,Substitution
105,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')",,1.0,Insertion
106,"('#page', 'Le ciel le veut.')",,1.0,Insertion
107,"('#liriope', ""Vénus l'ordonne."")",,1.0,Insertion
108,"('#page', ""L'amour les joint."")","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",0.89,Substitution
109,"('#liriope', ""L'hymen va les unir."")",,1.0,Insertion
110,"('#page', 'Douce union que chacun doit bénir !')","('#mercure', 'Que la feinte entre nous finisse')",0.91,Substitution
111,"('#liriope', ""Heureuse amour qu'un tel succès couronne !"")","('#iris', 'Parlons sans mystère en ce jour;')",1.36,Substitution
112,"('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")","('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.03,Substitution
113,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')","('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",1.23,Substitution
114,"('#andromede', ""Il n'en faut point mentir, leur accord m'a surprise."")",,1.0,Insertion
115,"('#phinee', ""Madame, c'est ainsi que tout me favorise, Et que tous vos sujets soupirent en ces lieux Après l'heureux effet de cet arrêt des dieux, que leurs souhaits unis..."")","('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",1.3,Substitution
116,"('#timante', 'Ah ! Seigneur, ah ! Madame.')","('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.89,Substitution
117,"('#phinee', 'Que nous veux-tu, Timante, et qui trouble ton âme ?')","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",0.76,Substitution
118,"('#timante', 'Le pire des malheurs.')",,1.0,Insertion
119,"('#phinee', 'Le roi serait-il mort ?')",,1.0,Insertion
120,"('#timante', 'Non, seigneur ; mais enfin le triste choix du sort Vient de tomber... Hélas ! Pourrai-je vous le dire ?')",,1.0,Insertion
121,"('#andromede', 'Est-ce sur quelque objet pour qui ton coeur soupire ?')",,1.0,Insertion
122,"('#timante', ""Soupirer à vos yeux du pire de ses coups, N'est-ce pas dire assez qu'il est tombé sur vous ?"")","('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",1.51,Substitution
123,"('#phinee', 'Qui te fait nous donner de si vaines alarmes ?')",,1.0,Insertion
124,"('#timante', ""Si vous n'en croyez pas mes soupirs et mes larmes, Vous en croirez le roi, qui bientôt à vos yeux La va livrer lui-même aux ministres des dieux."")","('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')",1.09,Substitution
125,,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",1.0,Deletion
126,"('#phinee', ""C'est nous faire, Timante, un conte ridicule ; Et je tiendrais le roi bien simple et bien crédule, Si plus qu'une déesse il en croyait le sort."")","('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")",0.55,Substitution
127,"('#timante', ""Le roi non plus que vous ne l'a pas cru d'abord ; Il a fait par trois fois essayer sa malice, Et l'a vu par trois fois faire même injustice : Du vase par trois fois ce beau nom est sorti."")","('#iris', 'Elle honore son maître et brille sous ses pas.')",1.88,Substitution
128,"('#phinee', ""Et toutes les trois fois le sort en a menti. Le ciel a fait pour vous une autre destinée : Son ordre est immuable, il veut notre hyménée ; Il le veut, il y met le bonheur de ces lieux ; Et ce n'est pas au sort à démentir les dieux."")","('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",0.43,Substitution
129,"('#andromede', ""Assez souvent le ciel par quelque fausse joie Se plaît à prévenir les maux qu'il nous envoie ; Du moins il m'a rendu quelques moments bien doux Par ce flatteur espoir que j'allais être à vous. Mais puisque ce n'était qu'une trompeuse attente, Gardez mon souvenir, et je mourrai contente."")","('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")",0.53,Substitution
130,"('#phinee', ""Et vous mourrez contente ! Et j'ai pu mériter Qu'avec contentement vous puissiez me quitter ! Détacher sans regret votre âme de la mienne ! Vouloir que je le voie, et que je m'en souvienne ! Et mon fidèle amour qui reçut votre foi Vous trouve indifférente entre la mort et moi ! Oui, je m'en souviendrai, vous le voulez, madame ; J'accepte le supplice où vous livrez mon âme ; Mais quelque peu d'amour que vous me fassiez voir, Le mien n'oubliera pas les lois de son devoir. Je dois, malgré le sort, je dois, malgré vous-même, Si vous aimez si mal, vous montrer comme on aime, Et faire reconnaître aux yeux qui m'ont charmé Que j'étais digne au moins d'être un peu mieux aimé. Vous l'avouerez bientôt, et j'aurai cette gloire, Qui dans tout l'avenir suivra notre mémoire, Que pour se voir quitter avec contentement, Un amant tel que moi n'en est pas moins amant."")","('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")",0.0,Match
131,"('#andromede', ""C'est donc trop peu pour moi que des malheurs si proches, Si vous ne les croissez par d'injustes reproches ! Vous quitter sans regret ! Les dieux me sont témoins Que j'en montrerais plus si je vous aimais moins. C'est pour vous trop aimer que je parois toute autre : J'étouffe ma douleur pour n'aigrir pas la vôtre ; Je retiens mes soupirs de peur de vous fâcher, Et me montre insensible afin de moins toucher. Hélas ! Si vous savez faire voir comme on aime, Du moins vous voyez mal quand l'amour est extrême ; Oui, Phinée, et je doute, en courant à la mort, Lequel m'est plus cruel, ou de vous, ou du sort."")","('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",1.29,Substitution
132,"('#phinee', ""Hélas ! Qu'il était grand quand je l'ai cru s'éteindre, Votre amour ! Et qu'à tort ma flamme osait s'en plaindre ! Princesse, vous pouvez me quitter sans regret : Vous ne perdez en moi qu'un amant indiscret, Qu'un amant téméraire, et qui même a l'audace D'accuser votre amour quand vous lui faites grâce ; Mais pour moi, dont la perte est sans comparaison, Qui perds en vous perdant et lumière et raison, Je n'ai que ma douleur qui m'aveugle et me guide : Dessus toute mon âme elle seule préside ; Elle y règne, et je cède entier à son transport ; Mais je ne cède pas aux caprices du sort. Que le roi par scrupule à sa rigueur défère, Qu'une indigne équité le fasse injuste père, La reine et mon amour sauront bien empêcher Qu'un choix si criminel ne coûte un sang si cher. J'ose tout, je puis tout après un tel oracle."")","('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")",0.32,Substitution
133,"('#timante', ""La reine est hors d'état d'y joindre aucun obstacle : Surprise comme vous d'un tel événement, Elle en a de douleur perdu tout sentiment ; Et sans doute le roi livrera la princesse Avant qu'on l'ait pu voir sortir de sa faiblesse."")","('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")",1.14,Substitution
134,"('#phinee', ""Eh bien ! Mon amour seul saura jusqu'au trépas, malgré tous..."")","('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')",1.71,Substitution
135,"('#andromede', 'Le roi vient ; ne vous emportez pas.')","('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")",1.66,Substitution
136,"('#cephee', ""Ma fille, si tu sais les nouvelles funestes De ce dernier effort des colères célestes, Si tu sais de ton sort l'impitoyable cours, Qui fait le plus cruel du plus beau de nos jours, épargne ma douleur, juges-en par sa cause, Et va sans me forcer à te dire autre chose."")","('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")",0.54,Substitution
137,,"('#jupiter', ""La fille d'Inachus."")",1.0,Deletion
138,"('#andromede', ""Seigneur, je vous l'avoue, il est bien rigoureux De tout perdre au moment qu'on se doit croire heureux ; Et le coup qui surprend un espoir légitime Porte plus d'une mort au coeur de la victime. Mais enfin il est juste, et je le dois bénir : La cause des malheurs les doit faire finir. Le ciel, qui se repent sitôt de ses caresses, Verra plus de constance en moi qu'en ses promesses : Heureuse, si mes jours un peu précipités Satisfont à ces dieux pour moi seule irrités, Si je suis la dernière à leur courroux offerte, Si le salut public peut naître de ma perte ! Malheureuse pourtant de ce qu'un si grand bien Vous a déjà coûté d'autre sang que le mien, Et que je ne suis pas la première et l'unique Qui rende à votre état la sûreté publique !"")","('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")",0.22,Substitution
139,"('#phinee', 'Quoi ? Vous vous obstinez encore à me trahir ?')",,1.0,Insertion
140,"('#andromede', 'Je vous plains, je me plains, mais je dois obéir.')","('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")",0.71,Substitution
141,"('#phinee', 'Honteuse obéissance à qui votre amour cède !')","('#junon', 'Junon commande Allez, allez, Mercure obéissez.')",0.52,Substitution
142,"('#cephee', ""Obéissance illustre, et digne d'Andromède ! Son nom comblé par là d'un immortel honneur..."")","('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")",1.73,Substitution
143,"('#phinee', ""Je l'empêcherai bien, ce funeste bonheur. Andromède est à moi, vous me l'avez donnée ; Le ciel pour notre hymen a pris cette journée ; Vénus l'a commandé : qui me la peut ôter ? Le sort auprès des dieux se doit-il écouter ? Ah ! Si j'en vois ici les infâmes ministres S'apprêter aux effets de ses ordres sinistres..."")","('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",0.78,Substitution
144,"('#cephee', ""Apprenez que le sort n'agit que sous les dieux, Et souffrez comme moi le bonheur de ces lieux. Votre perte n'est rien au prix de ma misère : Vous n'êtes qu'amoureux, Phinée, et je suis père. Il est d'autres objets dignes de votre foi ; Mais il n'est point ailleurs d'autres filles pour moi. Songez donc mieux qu'un père à ces affreux ravages Que partout de ce monstre épandirent les rages ; Et n'en rappelez pas l'épouvantable horreur, Pour trop croire et trop suivre une aveugle fureur."")","('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")",0.76,Substitution
145,"('#phinee', ""Que de nouveau ce monstre entré dessus vos terres Fasse à tous vos sujets d'impitoyables guerres, Le sang de tout un peuple est trop bien employé Quand celui de ses rois en peut être payé ; Et je ne connais point d'autre perte publique Que celle où vous condamne un sort si tyrannique."")","('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")",0.71,Substitution
146,"('#cephee', 'Craignez ces mêmes dieux qui président au sort.')",,1.0,Insertion
