,moliere-divertissement-chambord,moliere-monsieur-pourceaugnac,Cost,Operation Type
221,,"('#eraste', ""C'est moi, Monsieur, qui vous ai envoyé parler ces jours passés pour un parent un peu troublé d'esprit, que je veux vous donner chez vous, afin de le guérir avec plus de commodité, et qu'il soit vu de moins de monde."")",1,Deletion
222,,"('#premier-medecin', ""Oui, Monsieur, j'ai déjà disposé tout, et promets d'en avoir tous les soins imaginables."")",1,Deletion
223,,"('#eraste', 'Le voici')",1,Deletion
224,,"('#premier-medecin', ""La conjoncture est tout à fait heureuse, et j'ai ici un ancien de mes amis avec lequel je serai bien aise de consulter sa maladie."")",1,Deletion
225,,"('#eraste', ""Une petite affaire m'est survenue, qui m'oblige à vous quitter : mais voilà une personne entre les mains de qui je vous laisse, qui aura soin pour moi de vous traiter du mieux qu'il lui sera possible."")",1,Deletion
226,,"('#premier-medecin', ""Le devoir de ma profession m'y oblige, et c'est assez que vous me chargiez de ce soin."")",1,Deletion
227,,"('#monsieur-de-pourceaugnac', ""C'est son maître d'hôtel, et il faut que ce soit un homme de qualité."")",1,Deletion
228,,"('#premier-medecin', 'Oui, je vous assure que je traiterai Monsieur méthodiquement, et dans toutes les régularités de notre art.')",1,Deletion
229,,"('#monsieur-de-pourceaugnac', 'Mon_Dieu, il ne me faut point tant de cérémonies, et je ne viens pas ici pour incommoder.')",1,Deletion
230,,"('#premier-medecin', 'Un tel emploi ne me donne que de la joie.')",1,Deletion
231,,"('#eraste', ""Voilà toujours six pistoles d'avance, en attendant ce que j'ai promis."")",1,Deletion
232,,"('#monsieur-de-pourceaugnac', ""Non, s'il vous plaît, je n'entends pas que vous fassiez de dépense, et que vous envoyiez rien acheter pour moi."")",1,Deletion
233,,"('#eraste', ""Mon_Dieu, laissez faire, ce n'est pas pour ce que vous pensez."")",1,Deletion
234,,"('#monsieur-de-pourceaugnac', ""Je vous demande de ne me traiter qu'en ami."")",1,Deletion
235,,"('#eraste', ""C'est ce que je veux faire.  Je vous recommande surtout de ne le point laisser sortir de vos mains, car parfois il veut s'échapper. Bas au médecin."")",1,Deletion
236,,"('#premier-medecin', 'Ne vous mettez pas en peine.')",1,Deletion
237,,"('#eraste', ""Je vous prie de m'excuser de l'incivilité que je commets."")",1,Deletion
238,,"('#monsieur-de-pourceaugnac', ""Vous vous moquez, et c'est trop de grâce que vous me faites."")",1,Deletion
239,,"('#premier-medecin', ""Ce m'est beaucoup d'honneur, Monsieur, d'être choisi pour vous rendre service."")",1,Deletion
240,,"('#monsieur-de-pourceaugnac', 'Je suis votre serviteur.')",1,Deletion
241,,"('#premier-medecin', 'Voici un habile homme, mon confrère, avec lequel je vais consulter la manière dont nous vous traiterons.')",1,Deletion
242,,"('#monsieur-de-pourceaugnac', ""Il ne faut point tant de façons, vous dis-je, et je suis homme à me contenter de l'ordinaire."")",1,Deletion
243,,"('#premier-medecin', 'Allons, des sièges.')",1,Deletion
244,,"('#monsieur-de-pourceaugnac', 'Voilà, pour un jeune homme, des domestiques bien lugubres !')",1,Deletion
245,,"('#premier-medecin', ""Allons, Monsieur, prenez votre place, Monsieur. Lorsqu'ils sont assis, les deux Médecins lui prennent chacun une main, pour lui tâter le pouls."")",1,Deletion
246,,"('#monsieur-de-pourceaugnac', ""Votre très humble valet.  Que veut dire cela ? Voyant qu'ils lui tâtent le pouls."")",1,Deletion
247,,"('#premier-medecin', 'Mangez-vous bien, Monsieur ?')",1,Deletion
248,,"('#monsieur-de-pourceaugnac', 'Oui, et bois encore mieux.')",1,Deletion
249,,"('#premier-medecin', ""Tant pis ; cette grande appétition du froid et de l'humide, est une indication de la chaleur et sécheresse qui est au dedans.  Dormez-vous fort ?"")",1,Deletion
250,,"('#monsieur-de-pourceaugnac', ""Oui, quand j'ai bien soupé."")",1,Deletion
251,,"('#premier-medecin', 'Faites-vous des songes ?')",1,Deletion
252,,"('#monsieur-de-pourceaugnac', 'Quelquefois.')",1,Deletion
253,,"('#premier-medecin', 'De quelle nature sont-ils ?')",1,Deletion
254,,"('#monsieur-de-pourceaugnac', 'De la nature des songes.  Quelle diable de conversation est-ce là ?')",1,Deletion
255,,"('#premier-medecin', 'Vos déjections, comment sont-elles ?')",1,Deletion
256,,"('#monsieur-de-pourceaugnac', 'Ma foi !  Je ne comprends rien à toutes ces questions, et je veux plutôt boire un coup.')",1,Deletion
257,,"('#premier-medecin', 'Un peu de patience, nous allons raisonner sur votre affaire devant vous, et nous le ferons en français, pour être plus intelligibles.')",1,Deletion
258,,"('#monsieur-de-pourceaugnac', 'Quel grand raisonnement faut-il pour manger un morceau ?')",1,Deletion
259,,"('#premier-medecin', ""Comme ainsi soit qu'on ne puisse guérir une maladie qu'on ne la connaisse parfaitement, et qu'on ne la puisse parfaitement connaître, sans en bien établir l'idée particulière et la véritable espèce, par ses signes diagnostiques et prognostiques, vous me permettrez, Monsieur notre ancien, d'entrer en considération de la maladie dont il s'agit, avant que de toucher à la thérapeutique et aux remèdes qu'il nous conviendra faire pour la parfaite curation d'icelle.  Je dis donc, Monsieur, avec votre permission, que notre malade ici présent est malheureusement attaqué, affecté, possédé, travaillé de cette sorte de folie que nous nommons fort bien mélancolie hypocondriaque, espèce de folie très fâcheuse, et qui ne demande pas moins qu'un Esculape comme vous, consommé dans notre art, vous, dis-je, qui avez blanchi, comme on dit, sous le harnois, et auquel il en a tant passé par les mains de toutes les façons.  Je l'appelle mélancolie hypocondriaque, pour la distinguer des deux autres ; car le célèbre Galien établit doctement à son ordinaire trois espèces de cette maladie que nous nommons mélancolie, ainsi appelée non seulement par les Latins, mais encore par les Grecs ; ce qui est bien à remarquer pour notre affaire : la première, qui vient du propre vice du cerveau ; la seconde, qui vient de tout le sang, fait et rendu atrabilaire ; la troisième, appelée hypocondriaque, qui est la nôtre, laquelle procède du vice de quelque partie du bas-ventre et de la région inférieure, mais particulièrement de la rate, dont la chaleur et l'inflammation porte au cerveau de notre malade beaucoup de fuligines épaisses et crasses, dont la vapeur noire et maligne, cause dépravation aux fonctions de la faculté princesse, et fait la maladie dont par notre raisonnement il est manifestement atteint et convaincu.  Qu'ainsi ne soit, pour diagnostique incontestable de ce que je dis, vous n'avez qu'à considérer ce grand sérieux que vous voyez ; cette tristesse accompagnée de crainte et de défiance, signes pathognomoniques et individuels de cette maladie, si bien marquée chez le Divin vieillard Hippocrate ; cette physionomie, ces yeux rouges et hagards, cette grande barbe, cette habitude du corps, menue, grêle, noire et velue, lesquels signes le dénotent très affecté de cette maladie, procédante du vice des hypocondres ; laquelle maladie par laps de temps naturalisée, envieillie, habituée, et ayant pris droit de bourgeoisie chez lui, pourrait bien dégénérer, ou en manie, ou en phtisie, ou en apoplexie, ou même en fine frénésie et fureur.  Tout ceci supposé, puisqu'une maladie bien connue est à demi guérie, car ignoti nulla est curatio morbi, il ne vous sera pas difficile de convenir des remèdes que nous devons faire à Monsieur.  Premièrement, pour remédier à cette pléthore obturante, et à cette cacochymie luxuriante par tout le corps, je suis d'avis qu'il soit phlébotomisé libéralement ; c'est-à-dire que les saignées soient fréquentes et plantureuses : en premier lieu de la basilique, puis de la céphalique ; et même si le mal est opiniâtre, de lui ouvrir la veine du front, et que l'ouverture soit large, afin que le gros sang puisse sortir ; et en même temps, de le purger, désopiler, et évacuer par purgatifs propres et convenables, c'est-à-dire par cholagogues, mélanogogues, et caetera ; et comme la véritable source de tout le mal, est ou une humeur crasse et féculente, ou une vapeur noire et grossière qui obscurcit, infecte et salit les esprits animaux, il est à propos ensuite qu'il prenne un bain d'eau pure et nette, avec force petit-lait clair, pour purifier par l'eau la féculence de l'humeur crasse, et éclaircir par le lait clair la noirceur de cette vapeur ; mais avant toute chose, je trouve qu'il est bon de le réjouir par agréables conversations, chants et instruments de musique, à quoi il n'y a pas d'inconvénient de joindre des danseurs, afin que leurs mouvements, disposition et agilité puissent exciter et réveiller la paresse de ses esprits engourdis, qui occasionne l'épaisseur de son sang, d'où procède la maladie.  Voilà les remèdes que j'imagine, auxquels pourront être ajoutés beaucoup d'autres meilleurs par Monsieur notre maître et ancien, suivant l'expérience, jugement, lumière et suffisance qu'il s'est acquise dans notre art.  Dixi."")",1,Deletion
260,,"('#second-medecin', ""À Dieu ne plaise, Monsieur, qu'il me tombe en pensée d'ajouter rien à ce que vous venez de dire : vous avez si bien discouru sur tous les signes, les symptômes et les causes de la maladie de Monsieur ; le raisonnement que vous en avez fait est si docte et si beau, qu'il est impossible qu'il ne soit pas fou, et mélancolique hypocondriaque ; et quand il ne le serait pas, il faudrait qu'il le devînt, pour la beauté des choses que vous avez dites, et la justesse du raisonnement que vous avez fait. Oui, Monsieur, vous avez fait. Oui, Monsieur, vous avez dépeint fort graphiquement, graphice depinxisti, \ttout ce qui appartient à cette maladie ; il ne se peut rien de plus doctement, sagement, ingénieusement conçu, pensé, imaginé, que ce que vous avez prononcé au sujet de ce mal, soit pour la diagnose, ou la prognose, ou la thérapie ; et il ne me reste rien ici, que de féliciter Monsieur, d'être tombé entre vos mains, et de lui dire qu'il est trop heureux d'être fou, pour éprouver l'efficace et la douceur des remèdes que vous avez si judicieusement proposés: je les approuve tous, manibus et pedibus descendo in tuam sententiam.  Tout ce que j'y voudrais, c'est de faire les saignées et les purgations en nombre impair, Numero deus impari gaudet : de prendre le lait clair avant le bain ; de lui composer un fronteau où il entre du sel ; le sel est symbole de la sagesse : de faire blanchir les murailles de sa chambre, pour dissiper les ténèbres de ses esprits, Album est disgregativum visus, et de lui donner tout à l'heure un petit lavement, pour servir de prélude et d'introduction à ces judicieux remèdes, dont, s'il a à guérir, il doit recevoir du soulagement.  Fasse le Ciel, que ces remèdes, Monsieur, qui sont les vôtres, réussissent au malade selon notre intention."")",1,Deletion
261,,"('#monsieur-de-pourceaugnac', 'Messieurs, il y a une heure que je vous écoute.  Est-ce que nous jouons une comédie ?')",1,Deletion
262,,"('#premier-medecin', 'Non, Monsieur, nous ne jouons point.')",1,Deletion
263,,"('#monsieur-de-pourceaugnac', ""Qu'est-ce que tout ceci ?  Et que voulez-vous dire avec votre galimatias et vos sottises ?"")",1,Deletion
264,,"('#premier-medecin', 'Bon, dire des injures.  Voilà un diagnostique qui nous manquait pour la confirmation de son mal, et ceci pourrait bien tourner en manie.')",1,Deletion
265,,"('#monsieur-de-pourceaugnac', ""Avec qui m'a-t-on mis ici ? Il crache deux ou trois fois."")",1,Deletion
266,,"('#premier-medecin', 'Autre diagnostique : la sputation fréquente.')",1,Deletion
267,,"('#monsieur-de-pourceaugnac', ""Laissons cela, et sortons d'ici."")",1,Deletion
268,,"('#premier-medecin', ""Autre encore : l'inquiétude de changer de place."")",1,Deletion
269,,"('#monsieur-de-pourceaugnac', ""Qu'est-ce donc que toute cette affaire ?  Et que me voulez-vous ?"")",1,Deletion
270,,"('#premier-medecin', ""Vous guérir selon l'ordre qui nous a été donné."")",1,Deletion
271,,"('#monsieur-de-pourceaugnac', 'Me guérir.')",1,Deletion
272,,"('#premier-medecin', 'Oui.')",1,Deletion
273,,"('#monsieur-de-pourceaugnac', 'Parbleu je ne suis pas malade.')",1,Deletion
274,,"('#premier-medecin', ""Mauvais signe, lorsqu'un malade ne sent pas son mal."")",1,Deletion
275,,"('#monsieur-de-pourceaugnac', 'Je vous dis que je me porte bien.')",1,Deletion
276,,"('#premier-medecin', 'Nous savons mieux que vous comment vous vous portez, et nous sommes médecins, qui voyons clair dans votre constitution.')",1,Deletion
277,,"('#monsieur-de-pourceaugnac', ""Si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."")",1,Deletion
278,,"('#premier-medecin', 'Hon, hon ; voici un homme plus fou que nous ne pensons.')",1,Deletion
279,,"('#monsieur-de-pourceaugnac', ""Mon père et ma mère n'ont jamais voulu de remèdes, et ils sont morts tous deux sans l'assistance des médecins."")",1,Deletion
280,,"('#premier-medecin', ""Je ne m'étonne pas s'ils ont engendré un fils qui est insensé.  Allons, procédons à la curation, et par la douceur exhilarante de l'harmonie, adoucissons, lénifions, et accoisons l'aigreur de ses esprits, que je vois prêts à s'enflammer."")",1,Deletion
281,,"('#monsieur-de-pourceaugnac', ""Que diable est-ce là ?  Les gens de ce pays-ci sont-ils insensés ?  Je n'ai jamais rien vu de tel, et je n'y comprends rien du tout."")",1,Deletion
282,,"('#deux-musiciens', ""Bon di, bon di, bon di :  Non vi lasciate uccidere Dal dolor malinconico. Noi vi faremo ridere Col nostro canto harmonico, Sol' per guarirvi Siamo venuti qui. Bon di, bon di, bon di."")",1,Deletion
283,,"('#premier-musicien', ""Altro non é la pazzia Che malinconia. Il malato Non é disperato, Se vol pigliar un poco d'allegria Altro non é la pazzia Che malinconia."")",1,Deletion
284,,"('#second-musicien', 'Sù, cantate, ballate, ridete ;  E se far meglio volete, Quando sentite il deliro vicino, Pigliate del vino, E qualche volta un po po di tabac. Alegramente Monsu Pourceaugnac !')",1,Deletion
285,,"('#l-apothicaire', ""Monsieur, voici un petit remède, un petit remède, qu'il vous faut prendre, s'il vous plaît, s'il vous plaît."")",1,Deletion
286,,"('#monsieur-de-pourceaugnac', ""Comment ?  Je n'ai que faire de cela."")",1,Deletion
287,,"('#l-apothicaire', 'Il a été ordonné, Monsieur, il a été ordonné.')",1,Deletion
288,,"('#monsieur-de-pourceaugnac', 'Ah, que de bruit.')",1,Deletion
289,,"('#l-apothicaire', 'Prenez-le, Monsieur, prenez-le : il ne vous fera point de mal, il ne vous fera point de mal.')",1,Deletion
290,,"('#monsieur-de-pourceaugnac', 'Ah.')",1,Deletion
291,,"('#l-apothicaire', ""C'est un petit clystère, un petit clystère, benin, benin ; il est benin, benin : là, prenez, prenez, prenez, Monsieur ; c'est pour déterger, pour déterger, déterger... Les deux musiciens accompagnés des matassins et des instruments, dansent à l'entour de M. de Pourceaugnacn et s'arrêtatn devant lui, chantent[.] "")",1,Deletion
292,,"('#deux-musiciens', 'Piglia-lo sù, Signor Monsu, Piglia-lo, piglia-lo, piglia-losù, Che non ti farà male, Piglia-lo sù questo servitiale,  Piglia-lo sù Signor Monsu, Piglia-lo, piglia-lo, piglia-lo sù.')",1,Deletion
293,,"('#monsieur-de-pourceaugnac', ""Allez-vous-en au Diable. L'Apothicaire, les deux Musiciens et les Matassins le suivent, tous une seringue à la main."")",1,Deletion
294,,"('#premier-medecin', ""Il a forcé tous les obstacles que j'avais mis ; et s'est dérobé aux remèdes que je commençais de lui faire."")",1,Deletion
295,,"('#sbrigani', ""C'est être bien ennemi de soi-même, que de fuir des remèdes aussi salutaires que les vôtres."")",1,Deletion
296,,"('#premier-medecin', ""Marque d'un cerveau démonté, et d'une raison dépravée, que de ne vouloir pas guérir."")",1,Deletion
297,,"('#sbrigani', ""Vous l'auriez guéri haut la main."")",1,Deletion
298,,"('#premier-medecin', 'Sans doute, quand il y aurait eu complication de douze maladies.')",1,Deletion
299,,"('#sbrigani', ""Cependant voilà cinquante pistoles bien acquises qu'il vous fait perdre."")",1,Deletion
300,,"('#premier-medecin', ""Moi ?  Je n'entends point les perdre, et prétends le guérir en dépit qu'il en ait.  Il est lié et engagé à mes remèdes, et je veux le faire saisir où je le trouverai, comme déserteur de la médecine, et infracteur de mes ordonnances."")",1,Deletion
301,,"('#sbrigani', ""Vous avez raison : vos remèdes étaient un coup sûr, et c'est de l'argent qu'il vous vole."")",1,Deletion
302,,"('#premier-medecin', 'Où puis-je en avoir des nouvelles ?')",1,Deletion
303,,"('#sbrigani', ""Chez le bonhomme Oronte assurément, dont il vient épouser la fille, et qui ne sachant rien de l'infirmité de son gendre futur, voudra peut-être se hâter de conclure le mariage."")",1,Deletion
304,,"('#premier-medecin', ""Je vais lui parler tout à l'heure."")",1,Deletion
305,,"('#sbrigani', 'Vous ne ferez point mal.')",1,Deletion
306,,"('#premier-medecin', ""Il est hypothéqué à mes consultations ; et un malade ne se moquera pas d'un médecin."")",1,Deletion
307,,"('#sbrigani', ""C'est fort bien dit à vous ; et si vous m'en croyez, vous ne souffrirez point qu'il se marie, que vous ne l'ayez pansé tout votre soû[l]."")",1,Deletion
308,,"('#premier-medecin', 'Laissez-moi faire.')",1,Deletion
309,,"('#sbrigani', 'Je vais, de mon côté, dresser une autre batterie, et le beau-père est aussi dupe que le gendre.')",1,Deletion
310,,"('#premier-medecin', 'Vous avez, Monsieur, un certain Monsieur de Pourceaugnac, qui doit épouser votre fille.')",1,Deletion
311,,"('#oronte', ""Oui, je l'attends de Limoges, et il devrait être arrivé."")",1,Deletion
312,,"('#premier-medecin', ""Aussi l'est-il, et il s'en est fui de chez moi, après y avoir été mis ; mais je vous défends de la part de la médecine, de procéder au mariage que vous avez conclu, que je ne l'aie dûment préparé pour cela, et mis en état de procréer des enfants bien conditionnés et de corps et d'esprit."")",1,Deletion
313,,"('#oronte', 'Comment donc ?')",1,Deletion
314,,"('#premier-medecin', ""Votre prétendu gendre a été constitué mon malade : sa maladie qu'on m'a donné à guérir, est un meuble qui m'appartient, et que je compte entre mes effets ; et je vous déclare que je ne prétends point qu'il se marie, qu'au préalable il n'ait satisfait à la médecine, et subi les remèdes que je lui ai ordonnés."")",1,Deletion
315,,"('#oronte', 'Il a quelque mal ?')",1,Deletion
316,,"('#premier-medecin', 'Oui.')",1,Deletion
317,,"('#oronte', ""Et quel mal, s'il vous plaît ?"")",1,Deletion
318,,"('#premier-medecin', 'Ne vous en mettez pas en peine.')",1,Deletion
319,,"('#oronte', 'Est-ce quelque mal... ?')",1,Deletion
320,,"('#premier-medecin', ""Les médecins sont obligés au secret : il suffit que je vous ordonne, à vous, et à votre fille, de ne point célébrer, sans mon consentement, vos noces avec lui, sur peine d'encourir la disgrâce de la Faculté, et d'être accablés de toutes les maladies qu'il nous plaira."")",1,Deletion
321,,"('#oronte', ""Je n'ai garde, si cela est, de faire le mariage."")",1,Deletion
322,,"('#premier-medecin', ""On me l'a mis entre les mains, et il est obligé d'être mon malade."")",1,Deletion
323,,"('#oronte', 'À la bonne heure.')",1,Deletion
324,,"('#premier-medecin', 'Il a beau fuir, je le ferai condamner par arrêt à se faire guérir par moi.')",1,Deletion
325,,"('#oronte', ""J'y consens."")",1,Deletion
326,,"('#premier-medecin', ""Oui, il faut qu'il crève, ou que je le guérisse."")",1,Deletion
327,,"('#oronte', 'Je le veux bien.')",1,Deletion
328,,"('#premier-medecin', ""Et si je ne le trouve, je m'en prendrai à vous, et je vous guérirai au lieu de lui."")",1,Deletion
329,,"('#oronte', 'Je me porte bien.')",1,Deletion
330,,"('#premier-medecin', ""Il n'importe, il me faut un malade, et je prendrai qui je pourrai."")",1,Deletion
331,,"('#oronte', 'Prenez qui vous voudrez ; mais ce ne sera pas moi.  Voyez un peu la belle raison.')",1,Deletion
332,,"('#sbrigani', 'Montsir, avec le vostre permissione, je suisse un trancher marchand Flamane, qui voudroit bienne vous temantair un petit nouvel.')",1,Deletion
333,,"('#oronte', 'Quoi, Monsieur ?')",1,Deletion
334,,"('#sbrigani', 'Mettez le vostre chapeau sur le teste, Montsir, si ve plaist.')",1,Deletion
335,,"('#oronte', 'Dites-moi, Monsieur, ce que vous voulez.')",1,Deletion
336,,"('#sbrigani', 'Moi le dire rien, Montsir, si vous le mettre pas le chapeau sur le teste.')",1,Deletion
337,,"('#oronte', ""Soit.  Qu'y a-t-il, Monsieur ?"")",1,Deletion
338,,"('#sbrigani', 'Fous connoistre point en sti file un certe Montsir Oronte ?')",1,Deletion
339,,"('#oronte', 'Oui, je le connais.')",1,Deletion
340,,"('#sbrigani', 'Et quel homme est-ile, Montsir, si ve plaist ?')",1,Deletion
341,,"('#oronte', ""C'est un homme comme les autres."")",1,Deletion
342,,"('#sbrigani', ""Je vous temande, Montsir, s'il est un homme riche qui a du bienne ?"")",1,Deletion
343,,"('#oronte', 'Oui.')",1,Deletion
344,,"('#sbrigani', 'Mais riche beaucoup grandement, Montsir ?')",1,Deletion
345,,"('#oronte', 'Oui.')",1,Deletion
346,,"('#sbrigani', ""J'en suis aise beaucoup, Montsir."")",1,Deletion
347,,"('#oronte', 'Mais pourquoi cela ?')",1,Deletion
348,,"('#sbrigani', ""L'est, Montsir, pour un petit raisonne de conséquence pour nous."")",1,Deletion
349,,"('#oronte', 'Mais encore, pourquoi ?')",1,Deletion
350,,"('#sbrigani', ""L'est, Montsir, que sti Montsir Oronte donne son fille en mariage à un certe Montsir de Pourcegnac."")",1,Deletion
351,,"('#oronte', 'Hé bien ?')",1,Deletion
352,,"('#sbrigani', ""Et sti Montsir de Pourcegnac, Montsir, l'est un homme que doivre beaucoup grandement à dix ou douze marchanne Flamane qui estre venu ici."")",1,Deletion
353,,"('#oronte', 'Ce Monsieur de Pourceaugnac doit beaucoup à dix ou douze marchands ?')",1,Deletion
354,,"('#sbrigani', 'Oui, Montsir ; et depuis huite mois, nous avoir obtenir un petit sentence contre lui, et lui à remettre à payer tou ce créanciers de sti mariage que sti Montsir Oronte donne pour son fille.')",1,Deletion
355,,"('#oronte', 'Hon, hon, il a remis là à payer ses créanciers ?')",1,Deletion
356,,"('#sbrigani', 'Oui, Montsir, et avec un grant dévotion nous tous attendre sti mariage.')",1,Deletion
357,,"('#oronte', ""L'avis n'est pas mauvais.  Je vous donne le bonjour."")",1,Deletion
358,,"('#sbrigani', 'Je remercie, Montsir, de la faveur grande.')",1,Deletion
359,,"('#oronte', 'Votre très humble valet.')",1,Deletion
360,,"('#sbrigani', ""Je le suis, Montsir, obliger plus que beaucoup du bon nouvel que Montsir m'avoir donné.  Cela ne va pas mal ; quittons notre ajustement de Flamand pour songer à d'autres machines ; et tâchons de semer tant de soupçons et de division entre le beau-père et le gendre, que cela rompe le mariage prétendu.  Tous deux également sont propres à gober les hameçons qu'on leur veut tendre ; et entre nous autres fourbes de la première classe, nous ne faisons que nous jouer, lorsque nous trouvons un gibier aussi facile que celui-là."")",1,Deletion
361,,"('#monsieur-de-pourceaugnac', 'Piglia-lo sù, piglia-lo sù, Signor Monsu : que diable est-ce là ?  Ah !')",1,Deletion
362,,"('#sbrigani', ""Qu'est-ce, Monsieur, qu'avez-vous ?"")",1,Deletion
363,,"('#monsieur-de-pourceaugnac', 'Tout ce que je vois, me semble lavement.')",1,Deletion
364,,"('#sbrigani', 'Comment ?')",1,Deletion
365,,"('#monsieur-de-pourceaugnac', ""Vous ne savez pas ce qui m'est arrivé dans ce logis à la porte duquel vous m'avez conduit ?"")",1,Deletion
366,,"('#sbrigani', ""Non vraiment, qu'est-ce que c'est ?"")",1,Deletion
367,,"('#monsieur-de-pourceaugnac', 'Je pensais y être régalé comme il faut.')",1,Deletion
368,,"('#sbrigani', 'Hé bien ?')",1,Deletion
369,,"('#monsieur-de-pourceaugnac', ""Je vous laisse entre les mains de Monsieur.  Des médecins habillés de noir.  Dans une chaise.  Tâter le pouls.  Comme ainsi soit.  Il est fou.  Deux gros joufflus.  Grands chapeaux.  Bon di, bon di.  Six pantalons.  Ta, ra, ta, ta : Ta, ra, ta, ta.  Alegramente, Monsu Pourceaugnac.  Apothicaire.  Lavement.  Prenez, Monsieur, prenez, prenez.  Il est benin, benin, benin.  C'est pour déterger, pour déterger, déterger.  Piglia-lo sù, Signor Monsu, piglia-lo, piglia-lo, piglia-lo sù.  Jamais je n'ai été si soûl de sottises."")",1,Deletion
370,,"('#sbrigani', ""Qu'est-ce que tout cela veut dire ?"")",1,Deletion
371,,"('#monsieur-de-pourceaugnac', ""Cela veut dire que cet homme-là, avec ses grandes embrassades, est un fourbe qui m'a mis dans une maison pour se moquer de moi, et me faire une pièce."")",1,Deletion
372,,"('#sbrigani', 'Cela est-il possible ?')",1,Deletion
373,,"('#monsieur-de-pourceaugnac', ""Sans doute, ils étaient une douzaine de possédés après mes chausses ; et j'ai eu toutes les peines du monde à m'échapper de leurs pattes."")",1,Deletion
374,,"('#sbrigani', ""Voyez un peu, les mines sont bien trompeuses !  je l'aurais cru le plus affectionné de vos amis.  Voilà un de mes étonnements, comme il est possible qu'il y ait des fourbes comme cela dans le monde."")",1,Deletion
375,,"('#monsieur-de-pourceaugnac', 'Ne sens-je point le lavement ?  Voyez, je vous prie.')",1,Deletion
376,,"('#sbrigani', 'Eh il y a quelque petite chose qui approche de cela.')",1,Deletion
377,,"('#monsieur-de-pourceaugnac', ""J'ai l'odorat et l'imagination tout rempli de cela, et il me semble toujours que je vois une douzaine de lavements qui me couchent en joue."")",1,Deletion
378,,"('#sbrigani', 'Voilà une méchanceté bien grande !  Et les hommes sont bien traîtres et scélérats !')",1,Deletion
379,,"('#monsieur-de-pourceaugnac', ""Enseignez-moi, de grâce, le logis de Monsieur Oronte ; je suis bien aise d'y aller tout à l'heure."")",1,Deletion
380,,"('#sbrigani', 'Ah, ah, vous êtes donc de complexion amoureuse, et vous avez ouï parler que ce Monsieur Oronte a une fille...')",1,Deletion
381,,"('#monsieur-de-pourceaugnac', ""Oui, je viens l'épouser."")",1,Deletion
382,,"('#sbrigani', ""L'é...  l'épouser ?"")",1,Deletion
383,,"('#monsieur-de-pourceaugnac', 'Oui.')",1,Deletion
384,,"('#sbrigani', 'En mariage ?')",1,Deletion
385,,"('#monsieur-de-pourceaugnac', 'De quelle façon donc ?')",1,Deletion
386,,"('#sbrigani', ""Ah !  C'est une autre chose, et je vous demande pardon."")",1,Deletion
387,,"('#monsieur-de-pourceaugnac', ""Qu'est-ce que cela veut dire ?"")",1,Deletion
388,,"('#sbrigani', 'Rien.')",1,Deletion
389,,"('#monsieur-de-pourceaugnac', 'Mais encore ?')",1,Deletion
390,,"('#sbrigani', ""Rien, vous dis-je ; j'ai un peu parlé trop vite."")",1,Deletion
391,,"('#monsieur-de-pourceaugnac', ""Je vous prie de me dire ce qu'il y a là-dessous."")",1,Deletion
392,,"('#sbrigani', ""Non, cela n'est pas nécessaire."")",1,Deletion
393,,"('#monsieur-de-pourceaugnac', 'De grâce.')",1,Deletion
394,,"('#sbrigani', ""Point : je vous prie de m'en dispenser."")",1,Deletion
395,,"('#monsieur-de-pourceaugnac', ""Est-ce que vous n'êtes pas de mes amis ?"")",1,Deletion
396,,"('#sbrigani', ""Si fait ; on ne peut pas l'être davantage."")",1,Deletion
397,,"('#monsieur-de-pourceaugnac', 'Vous devez donc ne me rien cacher.')",1,Deletion
398,,"('#sbrigani', ""C'est une chose où il y va de l'intérêt du prochain."")",1,Deletion
399,,"('#monsieur-de-pourceaugnac', ""Afin de vous obliger à m'ouvrir votre coeur, voilà une petite bague que je vous prie de garder pour l'amour de moi."")",1,Deletion
400,,"('#sbrigani', ""Laissez-moi consulter un peu si je le puis faire en conscience.  C'est un homme qui cherche son bien, qui tâche de pourvoir sa fille le plus avantageusement qu'il est possible ; et il ne faut nuire à personne.  Ce sont des choses qui sont connues à la vérité, mais j'irai les découvrir à un homme qui les ignore, et il est défendu de scandaliser son prochain : cela est vrai ; mais, d'autre part, voilà un étranger qu'on veut surprendre, et qui de bonne foi, vient se marier avec une fille qu'il ne connaît pas, et qu'il n'a jamais vue ; un gentilhomme plein de franchise, pour qui je me sens de l'inclination, qui me fait l'honneur de me tenir pour son ami, prend confiance en moi, et me donne une bague à garder pour l'amour de lui.  Oui, je trouve que je puis vous dire les choses sans blesser ma conscience ; mais tâchons de vous les dire le plus doucement qu'il nous sera possible, et d'épargner les gens le plus que nous pourrons.  De vous dire que cette fille-là mène une vie déshonnête, cela serait un peu trop fort ; cherchons, pour nous expliquer, quelques termes plus doux.  Le mot de galante aussi n'est pas assez ; celui de coquette achevée me semble propre à ce que nous voulons, et je m'en puis servir pour vous dire honnêtement ce qu'elle est."")",1,Deletion
401,,"('#monsieur-de-pourceaugnac', ""L'on me veut donc prendre pour dupe ?"")",1,Deletion
