,corneillep-andromede,quinault-persee,Cost,Operation Type
55,"('#cassiope', ""Eh bien ! Vous le voyez, ce n'était pas un crime, Et les dieux ont trouvé cet hymen légitime, Puisque leur ordre exprès nous le fait achever, Et que par leur présence ils doivent l'approuver. Mais quoi ? Vous soupirez ?"")","('#merope', ""Vous êtes tous deux aimables, Et vous vous aimez tous deux ; Quels différents sont capables De rompre de si beaux noeuds ? Que ne souffriront point les amants misérables Si l'Amour a des maux pour les amants heureux ?"")",1.16,Substitution
56,"('#persee', ""J'en ai bien lieu, madame."")",,1.0,Insertion
57,"('#cassiope', 'Le sujet ?')",,1.0,Insertion
58,"('#persee', 'Votre joie.')","('#andromede', 'Sans raison son chagrin éclate.')",0.67,Substitution
59,"('#cassiope', ""Elle vous gêne l'âme ?"")","('#phinee', 'Perdrai-je sans chagrin mon espoir le plus doux ? Condamnez une ingrate.')",0.97,Substitution
60,"('#persee', ""Après ce que j'ai dit, douter d'un si beau feu, Reine, c'est ou m'entendre ou me croire bien peu. Mais ne me forcez pas du moins à vous le dire, Quand mon âme en frémit et mon coeur en soupire. Pouvais-je avoir des yeux et ne pas l'adorer ? Et pourrais-je la perdre et n'en pas soupirer ?"")","('#andromede', 'Condamnez un amant jaloux.')",1.1,Substitution
61,"('#cassiope', ""Quel espoir formiez-vous, puisqu'elle était promise, Et qu'en vain son bonheur domptait votre franchise ?"")","('#phinee', ""Persée a su lui plaire, et d'une vaine excuse Elle veut éblouir mon amour outragé. Elle m'aimait... Non, je m'abuse, Non, puisqu'elle a si tôt changé, Jamais son coeur pour moi ne fut bien engagé."")",0.4,Substitution
62,"('#persee', 'Vouloir que la raison règne sur un amant, C\'est être plus que lui dedans l\'aveuglement. Un coeur digne d\'aimer court à l\'objet aimable, Sans penser au succès dont sa flamme est capable ; Il s\'abandonne entier, et n\'examine rien : Aimer est tout son but, aimer est tout son bien ; Il n\'est difficulté ni péril qui l\'étonne. "" ce qui n\'est point à moi n\'est encore à personne, Disais-je ; et ce rival qui possède sa foi, S\'il espère un peu plus, n\'obtient pas plus que moi. "" Voilà durant vos maux de quoi vivait ma flamme, Et les douces erreurs dont je flattais mon âme. Pour nourrir des désirs d\'un beau feu trop contents, C\'était assez d\'espoir que d\'espérer au temps ; Lui qui fait chaque jour tant de métamorphoses, Pouvait en ma faveur faire beaucoup de choses. Mais enfin la déesse a prononcé ma mort, Et je suis ce dernier sur qui tombe le sort. J\'étais indigne d\'elle et de son hyménée, Et toutefois, hélas ! Je valais bien Phinée.')","('#andromede', ""Le devoir sur mon coeur vous donne un juste empire. Vous ne devez pas craindre un changement fatal. Un amant assuré d'un bonheur qu'il désire,  Peut-il être jaloux d'un malheureux rival ?"")",0.0,Match
63,"('#cassiope', ""Vous plaindre en cet état, c'est tout ce que je puis."")","('#phinee', ""Non, je ne puis souffrir qu'il partage une chaîne Dont le poids me parait charmant. Quand vous l'accableriez du plus cruel tourment, Je serais jaloux de sa peine. Mais il ne fait point voir le dépit éclatant. S'il est si malheureux, sa constance m'étonne : L'amour que l'espoir abandonne, Est moins tranquille et moins constant."")",1.14,Substitution
64,"('#persee', ""Vous vous plaindrez peut-être apprenant qui je suis. Vous ne vous trompiez point touchant mon origine, Lorsque vous la jugiez ou royale ou divine : Mon père est... Mais pourquoi contre vous l'animer ? Puisqu'il nous faut mourir, mourons sans le nommer ; Il vengerait ma mort, si j'avais fait connaître De quel illustre sang j'ai la gloire de naître ; Et votre grand bonheur serait mal assuré, Si vous m'aviez connu sans m'avoir préféré C'est trop perdre de temps, courons à votre joie, Courons à ce bonheur que le ciel vous envoie ; J'en veux être témoin, afin que mon tourment Puisse par ce poison finir plus promptement."")","('#andromede', ""Quel plaisir prenez-vous à vous troubler vous-même, Et de quoi votre amour peut-il être alarmé ? Je fuis votre rival avec un soin extrême : Est-on accoutumé de fuir ce que l'on aime ?"")",0.53,Substitution
65,"('#cassiope', ""Le temps vous fera voir pour souverain remède Le peu que vous perdez en perdant Andromède ; Et les dieux, dont pour nous vous voyez la bonté, Vous rendront bientôt plus qu'ils ne vous ont ôté."")","('#phinee', ""Vous suivez à regret la gloire et le devoir, En fuyant un amant à vos yeux trop aimable ; Vous l'avez trouvé redoutable,  Puisque vous craignez de le voir."")",0.37,Substitution
66,"('#persee', ""Ni le temps ni les dieux ne feront ce miracle. Mais allons : à votre heur je ne mets point d'obstacle, Reine ; c'est l'affaiblir que de le retarder ; Et les dieux ont parlé, c'est à moi de céder."")","('#andromede', ""Tout vous fait peur, tout vous irrite ; Vous m'apprenez à craindre un héros glorieux, Je ne veux point voir son mérite ; Votre importun soupçon veut-il m'ouvrir les yeux ?"")",0.53,Substitution
67,"('#andromede', ""Nymphes, notre guirlande est encore mal ornée ; Et devant qu'il soit peu nous reverrons Phinée, Que de ma propre main j'en voulais couronner Pour les heureux avis qu'il vient de me donner. Toutefois la faveur ne serait pas bien grande, Et mon coeur après tout vaut bien une guirlande. Dans l'état où le ciel nous a mis aujourd'hui, C'est l'unique présent qui soit digne de lui. Quittez, nymphes, quittez ces peines inutiles ; L'augure déplairait de tant de fleurs stériles : Il faut à notre hymen des présages plus doux. Dites-moi cependant laquelle d'entre vous... Mais il faut me le dire, et sans faire les fines."")","('#phinee', ""Ah ! Si vous le flattiez de la moindre espérance, Le Dieu qu'il vous fait croire auteur de sa naissance ;  Dût-il faire éclater son foudroyant courroux, Ne le sauverait pas de mon transport jaloux."")",0.36,Substitution
68,"('#aglante', 'Quoi ? Madame.')","('#andromede', 'Juste Ciel !')",1.83,Substitution
69,"('#andromede', ""à tes yeux je vois que tu devines. Dis-moi donc d'entre vous laquelle a retenu En ces lieux jusqu'ici cet illustre inconnu ; Car enfin ce n'est point sans un peu de mystère Qu'un tel héros s'attache à la cour de mon père : Quelque chaîne l'arrête et le force à tarder. Qu'on ne perde point temps à s'entre-regarder : Parlez, et d'un seul mot éclaircissez mes doutes. Aucune ne répond, et vous rougissez toutes ! Quoi ? Toutes, l'aimez-vous ? Un si parfait amant Vous a-t-il su charmer toutes également ? Il n'en faut point rougir, il est digne qu'on l'aime : Si je n'aimais ailleurs, peut-être que moi-même, Oui, peut-être, à le voir si bien fait, si bien né, Il aurait eu mon coeur, s'il n'eût été donné. Mais j'aime trop Phinée, et le change est un crime."")","('#phinee', 'Vous tremblez ! Persée a su vous plaire, Si son péril peut vous troubler.')",0.47,Substitution
70,"('#aglante', ""Ce héros vaut beaucoup, puisqu'il a votre estime ; Mais il sait ce qu'il vaut, et n'a jusqu'à ce jour À pas une de nous daigné montrer d'amour."")","('#andromede', ""Le ciel n'est que trop en colère, Et vous bravez un Dieu qui peut vous accabler. C'est pour vous que je dois trembler."")",0.76,Substitution
71,"('#andromede', 'Que dis-tu ?')",,1.0,Insertion
72,"('#aglante', 'Pas fait même une offre de service.')","('#phinee', ""Ne vous servez point d'artifice."")",1.57,Substitution
73,"('#andromede', ""Ah ! C'est de quoi rougir toutes avec justice ; Et la honte à vos fronts doit bien cette couleur, Si tant de si beaux yeux ont pu manquer son coeur."")","('#andromede', ""Ne me faites point d'injustice : Je veux vous aimer, je le dois."")",0.9,Substitution
74,"('#cephalie', ""Où les vôtres, madame, épandent leur lumière, Cette honte pour nous est assez coutumière. Les plus vives clartés s'éteignent auprès d'eux, Comme auprès du soleil meurent les autres feux ; Et pour peu qu'on vous voie et qu'on vous considère, Vous ne nous laissez point de conquêtes à faire."")","('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.5,Substitution
75,,"('#andromede', 'Cessez de craindre.')",1.0,Deletion
76,"('#andromede', ""Vous êtes une adroite ; achevez, achevez : C'est peut-être en effet vous qui le captivez ; Car il aime, et j'en vois la preuve trop certaine. Chaque fois qu'il me parle il semble être à la gêne ; Son visage et sa voix changent à tous propos ; Il hésite, il s'égare au bout de quatre mots ; Ses discours vont sans ordre ; et plus je les écoute, Plus j'entends des soupirs dont j'ignore la route. Où vont-ils, Céphalie ? Où vont-ils ? Répondez."")","('#phinee', 'Cessez de feindre.')",1.29,Substitution
77,"('#cephalie', ""C'est à vous d'en juger, vous qui les entendez."")","('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.21,Substitution
78,"('#page', ""Qu'elle est lente, cette journée !"")",,1.0,Insertion
79,"('#andromede', ""Taisons-nous : cette voix me parle pour Phinée ; Sans doute il n'est pas loin, et veut à son retour Que des accents si doux m'expliquent son amour."")","('#merope', ""Il craint autant qu'il aime ; Vous devez l'excuser. L'amour extrême Sert d'excuse lui-même Aux craintes qu'il a su causer."")",1.15,Substitution
80,"('#page', ""Qu'elle est lente, cette journée Dont la fin me doit rendre heureux ! Chaque moment à mon coeur amoureux Semble durer plus d'une année. Ô ciel ! Quel est l'heur d'un amant, Si quand il en a l'assurance Sa juste impatience Est un nouveau tourment ? Je dois posséder Andromède : Juge, Soleil, quel est mon bien ! Vis-tu jamais amour égal au mien ? Vois-tu beauté qui ne lui cède ? Puis donc que la longueur du jour De mon nouveau mal est la source, Précipite ta course, Et tarde ton retour. Tu luis encore, et ta lumière Semble se plaire à m'affliger. Ah ! Mon amour te va bien obliger À quitter soudain ta carrière. Viens, Soleil, viens voir la beauté Dont le divin éclat me dompte ; Et tu fuiras de honte D'avoir moins de clarté."")","('#merope #andromede #phinee', ""Ah ! Que l'amour cause d'alarmes ! Ah ! Que l'amour aurait d'attraits S'il ne troublait jamais La douceur de ses charmes ? Ah ! Que l'amour aurait d'attraits Si l'ont aimait toujours en paix !"")",0.2,Substitution
81,"('#phinee', ""Ce n'est pas mon dessein, madame, de surprendre, Puisque avant que d'entrer je me suis fait entendre."")",,1.0,Insertion
82,"('#andromede', ""Vos voeux pour les cacher n'étaient pas criminels, Puisqu'ils suivent des dieux les ordres éternels."")","('#andromede', 'Mon devoir est pour vous, mon devoir peut suffire À vous faire un tranquille espoir.')",1.19,Substitution
83,"('#phinee', 'Que me direz-vous donc de leur galanterie ?')","('#phinee', ""Ne ferez-vous jamais parler que le devoir ? L'amour n'a-t-il rien à me dire ?"")",0.91,Substitution
84,,"('#andromede', 'Les jeux vont commencer, plaçons nous pour les voir.')",1.0,Deletion
85,"('#andromede', 'Que je vais vous payer de votre flatterie.')","('#cassiope', ""Ô Junon ! Puissante déesse Qu'on ne peut assez révérer !  J'assemble en votre nom cette aimable jeunesse, Que le flambeau d'Hymen doit bientôt éclairer. Chacun va montrer son adresse Pour disputer les prix que j'ai fait préparer, Ne gardez pas pour nous une haine implacable ; Si l'orgueil me rendit coupable, Je reconnais mon crime et veux le réparer. Voyez d'un regard favorable Les jeux qu'en votre honneur nous allons célébrer."")",0.73,Substitution
86,"('#phinee', 'Comment ?')",,1.0,Insertion
87,"('#andromede', ""En vous donnant de semblables témoins, Si vous aimez beaucoup, que je n'aime pas moins. Approchez, Liriope, et rendez-lui son change ; C'est vous, c'est votre voix que je veux qui me venge. De grâce, écoutez-la ; nous avons écouté, Et demandons silence après l'avoir prêté."")","('#le-choeur', 'Laissez calmer votre colère. Ô Junon, exaucez nos voeux ! Si nous pouvions vous plaire, Que nous serions heureux ! On commence les jeux en disputant le prix de la danse.')",0.92,Substitution
88,"('#liriope', ""Phinée est plus aimé qu'Andromède n'est belle, Bien qu'ici-bas tout cède à ses attraits ; Comme il n'est point de si doux traits, Il n'est point de coeur si fidèle. De mille appas son visage semé La rend une merveille ; Mais quoiqu'elle soit sans pareille, Phinée est encor plus aimé. Bien que le juste ciel fasse voir que sans crime On la préfère aux nymphes de la mer, Ce n'est que de savoir aimer Qu'elle-même veut qu'on l'estime ; Chacun, d'amour pour elle consumé, D'un coeur lui fait un temple ; Mais quoiqu'elle soit sans exemple, Phinée est encor plus aimé. Enfin, si ses beaux yeux passent pour un miracle, C'est un miracle aussi que son amour, Pour qui Vénus en ce beau jour A prononcé ce digne oracle : Le ciel lui-même, en la voyant, charmé, La juge incomparable ; Mais quoiqu'il l'ait faite adorable, Phinée est encore plus aimé."")","('#amphimedon', ""Fuyons, nos voeux sont vains et Junon les refuse. De nouveaux malheureux en rochers convertis, Ne nous ont que trop avertis Qu'ils ont vu paraître Méduse."")",0.58,Substitution
89,"('#page', 'Heureux amant !')",,1.0,Insertion
90,"('#liriope', 'Heureuse amante !')","('#corite', 'Méduse revient dans ces lieux !')",1.2,Substitution
91,"('#page', ""Ils n'ont qu'une âme."")","('#protenor', ""Garde-nous de la voir, la Mort est dans ses yeux. Tous ensembles, en fuyant. Fuyons ce monstre terrible ; Sauvons-nous s'il est possible : Sauvons-nous, hâtons nos pas ; Fuyons un affreux trépas."")",1.73,Substitution
92,"('#liriope', ""Ils n'ont tous deux qu'un coeur."")","('#cassiope', ""Faut-il que contre nous tout le ciel s'intéresse ? Dieux ! ne puis-je espérer de vous fléchir jamais ?"")",1.62,Substitution
93,"('#page', 'Joignons nos voix pour chanter leur bonheur.')","('#phinee', ""J'ai conduit ici la princesse."")",1.83,Substitution
94,,"('#merope', 'Persée a ramené le roi dans ce palais.')",1.0,Deletion
95,"('#liriope', 'Joignons nos voix pour bénir leur attente.')","('#phinee', 'Méduse se retire, elle nous laisse en paix.')",1.49,Substitution
96,"('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")","('#cassiope', ""Elle peut revenir, elle peut nous surprendre. Junon s'obstine à se venger ; Contre elle aucun des dieux n'a soin de nous défendre ; Mon seul espoir est d'engager Jupiter à nous protéger."")",0.95,Substitution
97,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')","('#phinee', 'Je vous entends ; je sais quelle est votre espérance. Persée a beau vanter sa divine naissance, Après votre promesse, après la choix du roi, Andromède doit être à moi.')",0.58,Substitution
98,"('#page', 'Le ciel le veut.')","('#cassiope', ""Le ciel punit mon crime ; il est inexorable. J'ai besoin de secours dans un mortel effroi."")",1.32,Substitution
99,,"('#phinee', ""Ah ! si le ciel est équitable,  Vous trouverait-il moins coupable Si vous m'aviez manqué de foi ?"")",1.0,Deletion
100,"('#liriope', ""Vénus l'ordonne."")",,1.0,Insertion
101,"('#page', ""L'amour les joint."")","('#merope', ""Il est aimé de ce qu'il aime ; Vous avec approuvé ses voeux : Briserez-vous des noeuds Que vous avez formés vous-même ? Que le désespoir est affreux Pour un amour extrême, Qui s'était flatté d'être heureux !"")",0.94,Substitution
102,"('#liriope', ""L'hymen va les unir."")",,1.0,Insertion
103,"('#page', 'Douce union que chacun doit bénir !')","('#phinee #merope', 'Briserez-vous des noeuds Que vous avez formés vous-même ?')",1.65,Substitution
104,"('#liriope', ""Heureuse amour qu'un tel succès couronne !"")",,1.0,Insertion
105,"('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")","('#phinee', ""Seigneur, vous m'avez destiné À l'hymen fortuné De l'aimable Andromède. A l'amour de Persée on veut que je la cède ; M'ôterez-vous un bien que vous m'avez donné ?"")",0.38,Substitution
106,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')","('#cephee', 'Au fils de Jupiter on peut céder sans honte.')",1.19,Substitution
107,"('#andromede', ""Il n'en faut point mentir, leur accord m'a surprise."")",,1.0,Insertion
108,"('#phinee', ""Madame, c'est ainsi que tout me favorise, Et que tous vos sujets soupirent en ces lieux Après l'heureux effet de cet arrêt des dieux, que leurs souhaits unis..."")","('#phinee', ""Et croyez-vous aussi la fable qu'il raconte ? Croyez-vous qu'un dieu souverain, Qui sur tout l'univers préside, Se laisse par l'amour changer en or liquide Pour entrer en secret dans une tour d'airain ? Par ce prodige imaginaire, Persée est révéré du crédule vulgaire : Il se dit fils du dieu dont le ciel suit la loi ; Mais je ne prétends pas l'en croire sur sa foi."")",0.79,Substitution
109,"('#timante', 'Ah ! Seigneur, ah ! Madame.')","('#cephee', ""Votre incrédulité n'aura donc plus d'excuse, Mon frère ; sa valeur va vous ouvrir les yeux. Reconnaissez le fils du plus puissant des dieux : Il offre de couper le tête de Méduse."")",1.62,Substitution
110,"('#phinee', 'Que nous veux-tu, Timante, et qui trouble ton âme ?')","('#merope #cassiope #phinee', 'La tête de Méduse ! Ô cieux !')",1.22,Substitution
111,"('#timante', 'Le pire des malheurs.')",,1.0,Insertion
112,"('#phinee', 'Le roi serait-il mort ?')",,1.0,Insertion
113,"('#timante', 'Non, seigneur ; mais enfin le triste choix du sort Vient de tomber... Hélas ! Pourrai-je vous le dire ?')","('#cephee', ""Ma fille est le prix qu'il demande."")",1.88,Substitution
114,"('#andromede', 'Est-ce sur quelque objet pour qui ton coeur soupire ?')","('#cassiope #cephee', 'Quel prix peut trop payer cet effort glorieux ?')",1.28,Substitution
115,"('#timante', ""Soupirer à vos yeux du pire de ses coups, N'est-ce pas dire assez qu'il est tombé sur vous ?"")","('#phinee', ""Le succès n'est pas sûr, souffrez que je l'attends : Souffrez que cependant mon amour se défendre D'abandonner un bien si précieux ; Persée encor n'est pas victorieux. Il sort."")",0.81,Substitution
116,"('#phinee', 'Qui te fait nous donner de si vaines alarmes ?')",,1.0,Insertion
117,"('#timante', ""Si vous n'en croyez pas mes soupirs et mes larmes, Vous en croirez le roi, qui bientôt à vos yeux La va livrer lui-même aux ministres des dieux."")","('#cephee', ""L'espoir dans nos coeurs doit renaître... Dieux, que Junon engage à servir son courroux, Dieux irrités, apaisez-vous ! La vengeance du ciel n'a que trop au paraître. Le fils de Jupiter veut combattre pour nous : Ô ciel ! favorisez le fils de votre maître. Il répètent tous les trois ensemble les deux derniers vers, et puis Cépéhe et Cassiope s'en vont."")",0.4,Substitution
118,"('#phinee', ""C'est nous faire, Timante, un conte ridicule ; Et je tiendrais le roi bien simple et bien crédule, Si plus qu'une déesse il en croyait le sort."")","('#merope', ""Hélas ! Il va périr ! Dois-je en trembler ? Pourquoi Pour l'amant d'Andromède ai-je pris tant d'effroi ? Faut-il que mon dépit s'oublie ? Quel intérêt ai-je à sa vie ? Il vivrait pour une autre, il est perdu pour moi... Cependant quand je songe à son péril extrême, Quand je le vois chercher un horrible trépas, Sans songer qu'il ne m'aime pas, Je sens seulement que je l'aime."")",0.77,Substitution
119,"('#timante', ""Le roi non plus que vous ne l'a pas cru d'abord ; Il a fait par trois fois essayer sa malice, Et l'a vu par trois fois faire même injustice : Du vase par trois fois ce beau nom est sorti."")","('#andromede', ""Infortunés, qu'un monstre affreux A changés en rochers par ses regards terribles, Vous ne ressentez plus vos destins rigoureux, Et vos coeurs endurcis sont pour jamais paisibles. Hélas ! les coeurs sensibles Sont mille fois plus malheureux."")",0.9,Substitution
120,,"('#merope', ""Andromède semble interdite ;  Elle vient rêver en ces lieux : Ah ! je reconnais dans ses yeux Le même trouble qui m'agite."")",1.0,Deletion
121,"('#phinee', ""Et toutes les trois fois le sort en a menti. Le ciel a fait pour vous une autre destinée : Son ordre est immuable, il veut notre hyménée ; Il le veut, il y met le bonheur de ces lieux ; Et ce n'est pas au sort à démentir les dieux."")","('#andromede', ""Il ne m'aime que trop, et tout me sollicite De l'aimer à mon tour ; C'est du plus grand des dieux qu'il a reçu le jour. Dans nos périls mortels l'amour le précipite : Le moyen de tenir contre tant de mérite, Et contre tant d'amour ?"")",0.22,Substitution
122,"('#andromede', ""Assez souvent le ciel par quelque fausse joie Se plaît à prévenir les maux qu'il nous envoie ; Du moins il m'a rendu quelques moments bien doux Par ce flatteur espoir que j'allais être à vous. Mais puisque ce n'était qu'une trompeuse attente, Gardez mon souvenir, et je mourrai contente."")","('#merope', ""Ah ! Vous aimez Persée ; il cause vos alarmes ; N'en désavouez point vos larmes : Vos tendres sentiments se sont trop exprimés. Vous l'aimez."")",0.4,Substitution
123,"('#phinee', ""Et vous mourrez contente ! Et j'ai pu mériter Qu'avec contentement vous puissiez me quitter ! Détacher sans regret votre âme de la mienne ! Vouloir que je le voie, et que je m'en souvienne ! Et mon fidèle amour qui reçut votre foi Vous trouve indifférente entre la mort et moi ! Oui, je m'en souviendrai, vous le voulez, madame ; J'accepte le supplice où vous livrez mon âme ; Mais quelque peu d'amour que vous me fassiez voir, Le mien n'oubliera pas les lois de son devoir. Je dois, malgré le sort, je dois, malgré vous-même, Si vous aimez si mal, vous montrer comme on aime, Et faire reconnaître aux yeux qui m'ont charmé Que j'étais digne au moins d'être un peu mieux aimé. Vous l'avouerez bientôt, et j'aurai cette gloire, Qui dans tout l'avenir suivra notre mémoire, Que pour se voir quitter avec contentement, Un amant tel que moi n'en est pas moins amant."")","('#andromede', ""Vous l'aimez. L'espoir de son hymen avait charmé votre âme, Et je sais les projet que vous aviez formés : Je vois que le dépit n'éteint pas votre flamme ; Persée est en péril, et vous vous alarmez. Vous l'aimez."")",0.3,Substitution
124,,"('#merope', ""Vous l'aimez."")",1.0,Deletion
125,"('#andromede', ""C'est donc trop peu pour moi que des malheurs si proches, Si vous ne les croissez par d'injustes reproches ! Vous quitter sans regret ! Les dieux me sont témoins Que j'en montrerais plus si je vous aimais moins. C'est pour vous trop aimer que je parois toute autre : J'étouffe ma douleur pour n'aigrir pas la vôtre ; Je retiens mes soupirs de peur de vous fâcher, Et me montre insensible afin de moins toucher. Hélas ! Si vous savez faire voir comme on aime, Du moins vous voyez mal quand l'amour est extrême ; Oui, Phinée, et je doute, en courant à la mort, Lequel m'est plus cruel, ou de vous, ou du sort."")","('#andromede #merope', ""Ah ! Qu'un tendre coeur est à plaindre D'être réduit à feindre ! Quel tourment ne fait point souffrir Un malheureux amour que l'on ne peut éteindre, Et que l'on n'ose découvrir ? Ah ! qu'un tendre coeur est à plaindre D'être réduit à feindre !"")",0.03,Substitution
126,"('#phinee', ""Hélas ! Qu'il était grand quand je l'ai cru s'éteindre, Votre amour ! Et qu'à tort ma flamme osait s'en plaindre ! Princesse, vous pouvez me quitter sans regret : Vous ne perdez en moi qu'un amant indiscret, Qu'un amant téméraire, et qui même a l'audace D'accuser votre amour quand vous lui faites grâce ; Mais pour moi, dont la perte est sans comparaison, Qui perds en vous perdant et lumière et raison, Je n'ai que ma douleur qui m'aveugle et me guide : Dessus toute mon âme elle seule préside ; Elle y règne, et je cède entier à son transport ; Mais je ne cède pas aux caprices du sort. Que le roi par scrupule à sa rigueur défère, Qu'une indigne équité le fasse injuste père, La reine et mon amour sauront bien empêcher Qu'un choix si criminel ne coûte un sang si cher. J'ose tout, je puis tout après un tel oracle."")","('#merope', ""Il est vrai, le dépit veut en vain m'animer ; Je sens que la pitié désarme ma colère. Persée est un ingrat qui ne me peut aimer ; Il n'a pas laissé de me plaire. Il vous a trop aimée, hélas ! Comment ne l'aimeriez-vous pas ?"")",0.0,Match
127,"('#timante', ""La reine est hors d'état d'y joindre aucun obstacle : Surprise comme vous d'un tel événement, Elle en a de douleur perdu tout sentiment ; Et sans doute le roi livrera la princesse Avant qu'on l'ait pu voir sortir de sa faiblesse."")","('#andromede', ""L'amour qu'il a pour moi l'engage À chercher à se perdre avec empressement : Ne me reprochez point ce funeste avantage ; Je le paierai bien chèrement."")",0.69,Substitution
128,"('#phinee', ""Eh bien ! Mon amour seul saura jusqu'au trépas, malgré tous..."")","('#merope', ""Unissons nos regrets, le même amour nous lie. Qu'importe à qui de nous Persée offre ses voeux ! Nous allons perdre toutes deux ; Son péril nous réconcilie."")",1.0,Substitution
129,"('#andromede', 'Le roi vient ; ne vous emportez pas.')",,1.0,Insertion
130,"('#cephee', ""Ma fille, si tu sais les nouvelles funestes De ce dernier effort des colères célestes, Si tu sais de ton sort l'impitoyable cours, Qui fait le plus cruel du plus beau de nos jours, épargne ma douleur, juges-en par sa cause, Et va sans me forcer à te dire autre chose."")","('#andromede #merope', ""Ce héros s'expose pour nous : Sa perte est infaillible, Ah ! Qu'il vive, s'il est possible, Quand il vivrait pour vous."")",0.74,Substitution
131,"('#andromede', ""Seigneur, je vous l'avoue, il est bien rigoureux De tout perdre au moment qu'on se doit croire heureux ; Et le coup qui surprend un espoir légitime Porte plus d'une mort au coeur de la victime. Mais enfin il est juste, et je le dois bénir : La cause des malheurs les doit faire finir. Le ciel, qui se repent sitôt de ses caresses, Verra plus de constance en moi qu'en ses promesses : Heureuse, si mes jours un peu précipités Satisfont à ces dieux pour moi seule irrités, Si je suis la dernière à leur courroux offerte, Si le salut public peut naître de ma perte ! Malheureuse pourtant de ce qu'un si grand bien Vous a déjà coûté d'autre sang que le mien, Et que je ne suis pas la première et l'unique Qui rende à votre état la sûreté publique !"")","('#andromede', 'Il faut que mon amour se cache et de trahisse... Ô ciel ! Il va parti ! Il me chercher en ces lieux.')",0.61,Substitution
132,"('#phinee', 'Quoi ? Vous vous obstinez encore à me trahir ?')","('#merope', ""Je veux m'épargner le supplice D'être témoin de vos adieux. Elle sort."")",1.28,Substitution
133,"('#andromede', 'Je vous plains, je me plains, mais je dois obéir.')","('#cephee', 'Belle princesse, enfin vous souffrez ma présence.')",0.75,Substitution
134,"('#phinee', 'Honteuse obéissance à qui votre amour cède !')","('#andromede', ""Seigneur, on me l'ordonne, et je suis mon devoir."")",0.69,Substitution
135,"('#cephee', ""Obéissance illustre, et digne d'Andromède ! Son nom comblé par là d'un immortel honneur..."")",,1.0,Insertion
136,"('#phinee', ""Je l'empêcherai bien, ce funeste bonheur. Andromède est à moi, vous me l'avez donnée ; Le ciel pour notre hymen a pris cette journée ; Vénus l'a commandé : qui me la peut ôter ? Le sort auprès des dieux se doit-il écouter ? Ah ! Si j'en vois ici les infâmes ministres S'apprêter aux effets de ses ordres sinistres..."")","('#cephee', ""Vous voulez me faire savoir Que je ne dois ce bien qu'à votre obéissance. N'importe, rien ne peut ébranler ma constance. J'ai su jusqu'à ce jour vous aimer sans espoir. Je vais avec plaisir prendre notre défense, Quand j'aurais pour récompense Que la seule douceur que je sens à vous voir."")",0.66,Substitution
137,"('#cephee', ""Apprenez que le sort n'agit que sous les dieux, Et souffrez comme moi le bonheur de ces lieux. Votre perte n'est rien au prix de ma misère : Vous n'êtes qu'amoureux, Phinée, et je suis père. Il est d'autres objets dignes de votre foi ; Mais il n'est point ailleurs d'autres filles pour moi. Songez donc mieux qu'un père à ces affreux ravages Que partout de ce monstre épandirent les rages ; Et n'en rappelez pas l'épouvantable horreur, Pour trop croire et trop suivre une aveugle fureur."")","('#andromede', ""Non, ne vous flattez pas ; je peux ne vous rien taire : Vous m'aimez vainement ; Phinée a su ma plaire ; Il est choisi pour être mon époux ; Nos deux coeurs sont unis ; quel prix espérez-vous D'une entreprise dangereuse ? Quand nous seriez dangereuse ? Quand vous seriez vainqueur, votre âme est généreuse, Et vous ne voudrez pas rompre des noeuds si doux."")",0.0,Match
138,"('#phinee', ""Que de nouveau ce monstre entré dessus vos terres Fasse à tous vos sujets d'impitoyables guerres, Le sang de tout un peuple est trop bien employé Quand celui de ses rois en peut être payé ; Et je ne connais point d'autre perte publique Que celle où vous condamne un sort si tyrannique."")","('#cephee', 'Je serai malheureux, désespéré, jaloux ; Mais je mourrai content si vous vivez heureuse.')",1.12,Substitution
139,"('#cephee', 'Craignez ces mêmes dieux qui président au sort.')","('#andromede', 'Ô dieux !')",0.59,Substitution
