,corneillet-circe,quinault-cadmus-hermione,Cost,Operation Type
109,"('#florise', ""Circé doit préparer un Charme d'importance,  Puisqu'en cette Montagne elle a voulu chercher  Les Herbes qu'elle-même elle vient d'arracher,  Et dont l'entière connaissance  Est un secret qu'elle aime à nous cacher. "")",,1.0,Insertion
110,"('#asterie', ""Serait-ce que déjà lasse de sa conquête,  Au Prince Mélicerte elle manque de foi,  Qu'à s'en défaire elle s'apprête,  Et qu'elle cueille ici de quoi  Le métamorphoser en Bête ? "")",,1.0,Insertion
111,"('#dorine', ""C'est de tous les Amants le déplorable sort.  Après les plus fortes tendresses  Dont elle est prodigue d'abord,  Un état mille fois plus fâcheux que la mort  Devient le fruit de ses promesses. "")","('#le-geant', ""Il faut que votre destinée Suive l'ordre du Dieu dont vous tenez le jour ; Et toujours l'hyménée Ne prends pas l'avis de l'Amour. Vous craignez les raisons dont je puis vous confondre ? Vous ne m'écoutez pas ? Voulez-vous m'éviter ?"")",0.54,Substitution
112,"('#asterie', ""Voir les uns transformés en Loups.  Les autres d'un Lion endosser la figure,  C'est une terrible aventure. "")",,1.0,Insertion
113,"('#dorine', ""Ne vaudrait-il pas mieux qu'à quelqu'une de nous  Quand Circé d'un Amant a juré la disgrâce,  Elle cédât les voeux dont l'offre l'embarrasse ?"")","('#hermione', ""Quand on n'a rien à répondre, À quoi sert-il d'écouter ?"")",1.58,Substitution
114,"('#asterie', ""Pour moi, je verrais sans courroux,  Si dans son coeur Mélicerte s'efface,  Qu'il me vînt faire les yeux doux,  Et je sens je ne sais quel mouvement jaloux  De ce qu'un autre Objet le rend pour moi de glace. "")","('#le-geant', ""Je vous suivrai partout malgré votre colère, Sans cesse à vos regards je veux me présenter ; Et si ce n'est pas pour vous plaire, Ce sera pour vous tourmenter."")",0.57,Substitution
115,"('#dorine', ""Ainsi, ma Soeur, vous croyez bonnement,  S'il pouvait à Circé devenir infidèle,  Que vous l'engageriez à quelque attachement ? "")",,1.0,Insertion
116,"('#asterie', 'Et ne suis-je pas assez belle  Pour mériter son radoucissement ? ')",,1.0,Insertion
117,"('#dorine', ""Pour moi, je vous admire, et ne vois pas comment  Écouter des douceurs peut donner tant de joie.  C'est bien du temps perdu que celui qui s'emploie  À tourner sur le tendre un fade sentiment,  Et je ne sache rien... "")",,1.0,Insertion
118,"('#asterie', ""Ma Soeur, c'est vainement  Que votre pruderie avec nous se déploie.  À quoi bon ce déguisement,  Vous décriez l'Amour, et pensez autrement,  Car enfin votre coeur est fait comme le nôtre ;  Et s'il vous venait un Amant,  Vous le prendriez comme une autre. "")","('#cadmus', ""C'est trop l'abandonner à ce cruel supplice : Il est temps d'éclater, Et d'oser tout tenter Contre tant d'injustice."")",0.79,Substitution
119,"('#dorine', 'En voici pour nous à choisir.  Trois satyres ici viennent pour nous surprendre. ')","('#premier-prince-tyrien', ""C'est exposer vos jours à d'horribles hasards, Vous aurez à dompter l'affreux dragon de Mars."")",1.62,Substitution
120,"('#asterie', ""Comme sans nul péril nous pouvons les entendre,  Il faut s'en donner le plaisir. "")","('#deuxieme-prince-tyrien', 'Il faut semer ses dents, et voir soudain la Terre En former des soldats pour vous faire la guerre.')",1.13,Substitution
121,"('#florise', ""Vous n'en craignez point l'insolence ? "")",,1.0,Insertion
122,"('#asterie', ""Circé n'est qu'à dix pas de nous,  Et nous aurons par elle une sûre vengeance S'ils méritent notre courroux. "")",,1.0,Insertion
123,"('#premier-satyre', ""Vous n'échapperez pas ; nous vous tenons, les Belles. "")","('#les-deux-princes-tyriens', 'Voyez à quels dangers vous allez vous offrir.')",1.19,Substitution
124,"('#florise', 'Ah, ma Soeur. ')",,1.0,Insertion
125,"('#second-satyre', ""Contre nous vos efforts seront vains.  Le seul moyen de sortir de nos mains,  C'est de n'être point cruelles. "")","('#cadmus', ""Je ne vois qu'Hermione, et je la vois souffrir : Tout cède à cette horreur extrême ; Il est moins affreux de mourir Que de voir souffrir ce qu'on aime. Rien ne me peut épouvanter : Malgré tant de périls, l'Amour veut que j'espère."")",0.6,Substitution
126,"('#asterie', ""Vous êtes d'accommodement ?  Encor est-ce pour nous une assez bonne affaire.  Ça, regardons ce qu'il faut faire,  Mais surtout point d'emportement. "")",,1.0,Insertion
127,"('#premier-satyre', 'Il faut vivre pour nous, et chercher à nous plaire. ')",,1.0,Insertion
128,"('#asterie', 'Il est bon de savoir comment.  Avec vous volontiers, en nous prenons pour Femmes,  Nous irons habiter les Bois. ')",,1.0,Insertion
129,"('#troisieme-satyre', ""C'est bien notre affaire à tous trois. "")",,1.0,Insertion
130,"('#premier-satyre', ""S'il ne tient qu'à cela, l'hymen joindra nos âmes ;  Voici celle dont je fais choix. "")",,1.0,Insertion
131,"('#second-satyre', ""Ne te hâte point tant, c'est celle  À qui je veux donner ma foi. "")","('#junon', ""Où vas-tu téméraire ? Où cours-tu te précipiter ? C'est l'épouse et la soeur du maître du tonerre, La mère du Dieu de la guerre, C'est Junon qui vient t'arrêter."")",0.77,Substitution
132,"('#premier-satyre', ""J'ai parlé le premier, je l'aurai. "")",,1.0,Insertion
133,"('#second-satyre', 'Bagatelle.  Tu prétends me faire la loi ? ')",,1.0,Insertion
134,"('#premier-satyre', ""C'est un arrêt donné sans retour. "")",,1.0,Insertion
135,"('#troisieme-satyre', ""J'en appelle. "")",,1.0,Insertion
136,"('#premier-satyre', ""Tu t'en veux mêler ? "")",,1.0,Insertion
137,"('#troisieme-satyre', 'Et pourquoi  Voudrez-vous tous deux la plus belle,  Étant tous deux plus laids que moi ? ')",,1.0,Insertion
138,"('#second-satyre', 'Je suis plus laid ? Voyez sa mine.  Mal figuré, trapu, courtaud. ')",,1.0,Insertion
139,"('#troisieme-satyre', ""À cause de sa taille, il veut le porter haut ;  Mais qu'il approche, il est d'une odeur fine  À mettre le coeur en défaut. "")",,1.0,Insertion
140,"('#asterie', ""C'est pousser trop loin la querelle,  Je sais pour la finir un moyen glorieux.  Celui des trois qui chantera le mieux,  Choisira de nous la plus belle. "")",,1.0,Insertion
141,"('#premier-satyre', ""D'accord. "")",,1.0,Insertion
142,"('#second-satyre', 'Je le veux bien. ')",,1.0,Insertion
143,"('#troisieme-satyre', 'Rien ne peut être mieux. ')",,1.0,Insertion
144,"('#premier-satyre', ""Silence à ma chanson nouvelle.  Deux beaux yeux me charment,  Leurs traits me désarment ;  Mais s'ils ne sont doux,  Nargue de leurs coups.  J'aime une Maîtresse  Qui me tend les bras.  Fi de la rudesse.  Avec mille appas  La Beauté tigresse  Ne me plairait pas.  Qu'est-ce ? Et bien ? N'ai-je pas une voix qui résonne ?  CHANSON DU PREMIER SATYRE."")","('#pallas', ""Va, Cadmus, que rien ne t'étonne, Va, ne crains ni Junon, ni le Dieu des Combats : Ose secourir Hermione, Tu vois dans ton parti la guerrière Pallas, Cours aux plus grands dangers, je vais suivre tes pas, C'est Jupiter qui me l'ordonne."")",0.77,Substitution
145,"('#asterie', 'Elle a de quoi nous charmer. ')",,1.0,Insertion
146,"('#second-satyre', ""Pour cesser de l'estimer,  Écouter comme j'entonne.  Un jour la jeune Lisette  Couchée à l'ombre d'un Bois,  Disait d'une triste voix,  Hélas ! Hélas ! Faut-il rêver seulette,  Et ne pourrait-on quelquefois  Se trouver deux à rire sur l'herbette ?  Un Berger survint  Qui lui tint  Bonne et douce compagnie.  Sur la rencontre au Bois, dès qu'on en eut le vent,  On fit jaser la Calomnie,  Qui mit cent contes en avant ;  Mais Lisette laissa médire.  Le Berger l'avait fait rire,  Elle y retourna souvent.  Ma voix ? Est-il rien de si doux ?  CHANSON DU SECOND SATYRE."")","('#junon', ""Pallas pour les amants se déclare en ce jour ; Qui l'aurait jamais osé croire ?"")",0.8,Substitution
147,"('#dorine', 'Vous avez fait tous deux merveilles ! ')",,1.0,Insertion
148,"('#troisieme-satyre', ""Ce n'est encor là rien, apprêtez vos oreilles. "")",,1.0,Insertion
149,"('#quatrieme-satyre', 'Ah, ah, Troupe gaillarde, il fait bon avec vous. ')",,1.0,Insertion
150,"('#premier-satyre', 'Halte-là. ')",,1.0,Insertion
151,"('#cnquieme-satyre', ""Vous pensiez avoir chacun la vôtre,  Mais vous n'avez qu'à décompter. "")",,1.0,Insertion
152,"('#second-satyre', ""Ah, s'il ne tient qu'à disputer... "")","('#pallas', ""Qui peut être contre l'Amour Quand il s'accorde avec la gloire ?"")",0.79,Substitution
153,"('#quatrieme-satyre', 'Prenez-en votre part, et nous donner la nôtre ;  Quand on parle raison, il la faut écouter. ')",,1.0,Insertion
154,"('#asterie', ""Avec eux avant vous nos pactions sont faites ;  Sous les lois de l'hymen ils nous donnent leur foi. "")",,1.0,Insertion
155,"('#cnquieme-satyre', ""De l'hymen ? Ah, je m'en ris, moi,  Ce sont là de belles défaites. "")",,1.0,Insertion
156,"('#troisieme-satyre', 'Le pas est un peu hasardeux.  Si nous faisons jouer la massue... ')","('#junon', 'Évite un courroux dangereux.')",1.36,Substitution
157,"('#quatrieme-satyre', ""Pour n'avoir rien à débattre avec eux,  De ce côté tourne la vue,  Celle qui vient suffira pour nous deux.  Elle seule elle vaut plus que les trois ensemble. "")",,1.0,Insertion
158,"('#cnquieme-satyre', ""J'en suis charmé. "")","('#pallas', ""Profite d'un avis fidèle."")",1.38,Substitution
159,,"('#junon', 'Fuis un trépas affreux.')",1.0,Deletion
160,"('#cnquieme-satyre', 'Ma Reine, il se peut... ')",,1.0,Insertion
161,"('#circe', ""Insolent.  C'est Circé qui paraît, que chacun de vous tremble. "")","('#pallas', 'Cherche dans les périls une gloire immortelle.')",0.99,Substitution
162,"('#asterie', ""L'amour à fuir ne les rend pas trop lents. "")","('#cadmus', ""Entre deux déïtés qui suspendent mes voeux, Je n'ose résister à pas une des deux, Mais je suis l'Amour qui m'appelle."")",0.74,Substitution
163,"('#dorine', 'Voici pour eux des paroles terribles. ')",,1.0,Insertion
164,"('#florise', ""Ils ne s'attendaient guère à ce fâcheux revers. "")",,1.0,Insertion
165,"('#quatrieme-satyre', 'Tenons bon. ')",,1.0,Insertion
166,"('#circe', 'Contre moi ? ')","('#junon', 'Je poursuivrai tes jours.')",1.14,Substitution
167,"('#quatrieme-satyre', 'Voir tant de biens offerts,  Et ne pas... ')",,1.0,Insertion
168,"('#circe', ""C'en est trop. Vous, Esprits invisibles,  À qui je rends toutes choses possibles,  Portez-les loin d'ici par le milieu des airs.  Les cinq Satyres sont enlevés, deux dans les deux côtés du théâtre, et les trois autres sur le cintre. "")","('#pallas', 'Je vole à ton secours. Junon et Pallas sont enlevées sur leurs chars.')",1.44,Substitution
169,"('#asterie', ""C'est là pour nous tirer d'affaires  Prendre des chemins assez courts. "")",,1.0,Insertion
170,"('#circe', 'Allez, laissez-moi seule en ces lieux solitaires. ')",,1.0,Insertion
171,"('#glaucus', ""Madame, je venais vous offrir du secours  Contre d'infâmes Téméraires ;  Mais le prompt châtiment que vient de recevoir  Leur insolence extrême,  Me convainc de votre pouvoir.  Vous n'avez eu contre eux que de vous-même,  Et d'un seul mot leur espoir renversé  Me fait connaître en vous la fameuse Circé. "")","('#arbas', ""Charite, il est trop vrai, Cadmus veut entreprendre De remettre Hermione en pleine liberté : Il l'a dit au tyran, et je viens de l'entendre !"")",0.58,Substitution
172,"('#circe', ""Vous ne vous trompez point, j'ai le Soleil pour Père,  Et je tiens de lui ce grand Art,  Qui dans tous les lieux qu'il éclaire,  Aux honneurs de son rang me donne tant de part.  Je ne puis cependant m'applaudir trop du zèle  Qui vous intéresse pour moi.  Il part de l'âme la plus belle,  Et je voudrais savoir à qui je dois  Ce qui rendra pour vous mon estime éternelle.  Si par ce qui brille à mes yeux,  L'air, le port, la taille, la mine,  Je puis de votre sang pénétrer l'origine,  La source en doit venir des Dieux,  Et pour vous le Destin... "")",,1.0,Insertion
173,"('#glaucus', ""Je l'avouerai, Madame.  Le Destin m'a comblé d'honneurs jusqu'à ce jour,  Et le rang que je tiens dans une illustre Cour  Aurait de quoi satisfaire mon âme,  Si j'étais content de l'amour ;  Mais une Nymphe ingrate autant qu'elle est aimable,  Silla, la charmante Silla,  Par une rigueur incroyable,  Ne peut souffrir mes voeux, les rejette, et c'est là  De tous les maux pour moi le plus insupportable.  Son coeur d'un autre amour dès longtemps prévenu,  Traite mes plaintes d'indiscrètes.  Mélicerte..."")",,1.0,Insertion
174,"('#circe', ""Ce nom ne m'est pas inconnu,  Et je sais par lui qui vous êtes.  Jusque dans mon Palais votre amour a fait bruit.  On y plaint le Prince de Thrace,  Que trop d'aveuglement réduit  À la honteuse et sensible disgrâce  De pousser des soupirs dont un autre a le fruit. "")",,1.0,Insertion
175,"('#glaucus', ""Il n'en est point de plus cruelle.  Mes maux passent tous ceux qui se peuvent offrir ;  Mais est-il honteux de souffrir,  Lorsque la cause en est si belle ?  Tout ce qu'un rare Objet eut jamais de charmant,  Tout ce qui peut toucher une âme,  Silla... "")",,1.0,Insertion
176,"('#circe', ""Vous parlez en amant ;  Mais enfin vos chagrins naissant de votre flamme,  J'y puis donner quelque soulagement. "")","('#charite', ""Et que dit le géant ? N'est-il point irrité ?"")",1.02,Substitution
177,"('#glaucus', 'Que me dites-vous ? Quoi, Madame,  Vous ferez que silla finisse mon tourment ? ')",,1.0,Insertion
178,"('#circe', ""Je ferai que l'Amour propice  Répare vos transports jaloux  Par tout ce qu'il a de plus doux ;  Mais il faut que le Charme avec vous s'accomplisse,  Ce sont vos intérêts, je ne puis rien sans vous.  Dans mon Char je vous offre place.  Mes dragons emplumés qui le tiennent en l'air,  Vers moi seront prêts à voler  Au moindre signe que je fasse.  Le voilà qui descend. Prince, ne craignez rien,  Lorsque Circé vous sert de guide. "")","('#arbas', ""Il rit de sa témérité, Mon maître doit voir la Princesse Avant d'attaquer le dragon furieux qui veille pour garder ces lieux ; Et l'Amour qui pour toi me presse Veut que je vienne aussi te faire mes adieux. En te voyant, belle Charite, J'avais cru que l'Amour fût un plaisir charmant ; Mais lorsqu'il faut que je te quitte, J'éprouve qu'il n'est point un plus cruel tourment. La douleur me saisit, je ne puis plus rien dire ; Quand je pleure, quand je soupire, Tu ris, et rien n'émeut ton coeur indifférent ?"")",0.0,Match
179,"('#glaucus', ""Est-il quelques périls dont l'amour s'intimide,  Quand il est fort comme le mien ?  Glaucus entre dans le char de Circé, qui l'enlève par l'air avec elle dans son Palais. "")",,1.0,Insertion
180,"('#florise', 'Allez rejoindre votre Maître,  Et nous laissez ici travailler en repos.')",,1.0,Insertion
181,"('#palemon', ""C'est me chasser un peu mal à propos. Comme nouveau venu, peut-être  J'ai droit de vous dire trois mots. "")",,1.0,Insertion
182,"('#asterie', ""Ma Soeur, quand il en dirait quatre,  Je crois qu'il n'en serait que mieux.  Pourquoi de votre sérieux  Ne vouloir jamais rien rabattre.  Il faut rire, autrement les jours sont ennuyeux. "")","('#charite', ""Tu fais la grimace en pleurant, Je ne puis m'empêcher de rire."")",0.99,Substitution
183,"('#palemon', 'Vous avez le goût bon, ma chère,  La joie est toujours de saison. ')",,1.0,Insertion
184,"('#dorine', ""Je le crois d'humeur... "")",,1.0,Insertion
185,"('#palemon', ""À tout faire.  Badin, tant qu'il est nécessaire,  Même un peu plus que de raison. "")",,1.0,Insertion
186,"('#asterie', ""Il faudra faire connaissance,  Après, ne soit point en souci ;  Les plaisirs semblent naître ici,  On les y trouve en abondance.  Mais qui t'a découvert qu'au Palais de Circé  Ton Maître parmi nous s'était laissé conduire ? "")",,1.0,Insertion
187,"('#palemon', ""Quand dans le Char il s'est placé,  Je n'étais qu'à vingt pas, et venais pour l'instruire  Du départ de l'Objet dont son coeur est blessé.  Silla vers ce Palais a déjà pris sa route ;  Pour en donner avis je suis vite accouru. "")","('#arbas', ""La pitié, tout au moins, devrait bien t'engager À prendre quelque part à mes ennuis extrêmes."")",0.93,Substitution
188,"('#dorine', 'Quoi, presque en un moment ? ')",,1.0,Insertion
189,"('#palemon', ""Sans doute,  Circé sortait du Char lorsque ici j'ai paru.  Comme mon Maître est du sang de Borée,  Pour tous ceux de sa suite il a des Vents Follets,  Qui pour les transporter où tendent leurs souhaits,  Sont une voiture assurée.  L'un d'eux d'un vol léger m'a mis dans ce Palais. "")",,1.0,Insertion
190,"('#asterie', ""Pour ton Maître Silla va n'être plus à craindre,  Il est d'autres appas qui toucheront son coeur. "")",,1.0,Insertion
191,"('#palemon', ""Je doute qu'à changer on le puisse contraindre.  Silla seule lui plaît, et malgré sa rigueur  Il chérit trop les feux pour les laisser éteindre. "")",,1.0,Insertion
192,"('#dorine', ""Ce n'est pas avec nous qu'il doit faire le fier.  Pour confondre l'orgueil, le réduire aux prières,  Nos Herbes sont à craindre, et les âmes altières  Trouvent ici peu de quartier. "")",,1.0,Insertion
193,"('#palemon', 'Faites de votre mieux, mon Maître a des lumières  Qui le rendront aussi Sorcier  Que vous pourrez être Sorcières. ')",,1.0,Insertion
194,"('#asterie', ""Puisque tu nous braves pour lui,  Tu n'as qu'à l'avertir qu'il songe à se défendre. "")","('#charite', ""S'il est bien vrai que tu m'aimes, Pourquoi veux-tu m'affliger ?"")",1.28,Substitution
195,"('#palemon', ""J'y cours. Si vous voulez le forcer à se rendre,  Travaillez-y dès aujourd'hui,  Et garder seulement d'être prises sans prendre. "")",,1.0,Insertion
196,"('#dorine', ""Je ne sais s'il croit qu'au besoin  Son Maître contre nous aura de quoi suffire ;  Mais de nous épargner il ne prend guère soin. "")","('#arbas', ""Pour soulager mon coeur du chagrin qui le presse, Te coûterait-il tant de l'affliger un peu ?"")",0.72,Substitution
197,"('#florise', ""En badinant voilà ce qu'on s'attire.  Le grand plaisir de vous être fait dire  Qu'on ne vous craint ni de près, ne de loin !  Pour moi, qui me suis mise à composer un Charme  Pour guérir un Mari de son ombre jaloux,  Je pense avoir fait mieux que vous.  C'était un éternel vacarme,  Je l'apaise, et rejoins l'Épouse avec l'Époux. "")","('#charite', ""C'est un poison que la tristesse, L'Amour n'est plus plaisant dès qu'il n'est plus un jeu."")",0.96,Substitution
198,"('#asterie', ""La paix ainsi par moi n'aurait pas été faite :  Et comme des Jaloux de tous temps on a ri,  Pour faire crever le Mari,  J'aurais rendu la Femme si coquette,  Que rien n'aurait jamais guéri  Les visions de son âme inquiète.  Après tout, qui voudrait de près y regarder,  C'est bien aux Maris à gronder,  Si quelquefois de tendres flammes  S'allument dans nos jeunes coeurs.  Que ne sont-ils les Galants de leurs Femmes ?  On n'en chercherait point ailleurs."")",,1.0,Insertion
199,"('#dorine', ""Tous les Maris n'ont pas tant de délicatesse,  Et j'en sais de moins scrupuleux,  Qui des Galants qui vont chez eux  Ménageant l'utile tendresse,  N'ont besoin de notre pouvoir  Que pour être sans yeux, quand il faut ne rien voir. "")",,1.0,Insertion
200,"('#asterie', ""Que direz-vous d'un tas de Belles  Qui donnent le champ libre à cent regards errants.  Et qui pour voir leur Cour grossit de Soupirants,  Me font à tous moments pour elles  Faire des Charmes différents ?  Encor tout de nouveau j'en ai deux de commande  Pour reblanchir des Lis effacés par les ans.  À moins qu'avec nous l'on s'entende,  L'âge fait de vilains présents  Dont la beauté n'est pas bonne marchande. "")",,1.0,Insertion
201,"('#florise', ""Ce sont là des emplois légers,  Les miens sont de plus d'importance.  Un Brave qui n'a pas une entière assurance,  Quand il s'agit d'affronter les dangers,  A mis en moi son espérance.  Pour le garantir de l'effroi  Qui rend des plus hardis la valeur étouffée,  J'ai promis de le rendre Fée.  Étant invulnérable, il trouvera de quoi  S'acquérir les honneurs du plus brillant Trophée ;  Et pour comblez ses voeux, Circé... Mais je la vois. "")",,1.0,Insertion
202,"('#circe', ""Allez dire au Prince de Thrace,  Que s'il veut me parler, je vais l'attendre ici.  Et vous, par qui la joie en tous lieux trouve place,  Préparez quelques Voix dont la douceur efface  Les chagrins que lui cause un amoureux souci.  Florise et Astérie rentrent."")","('#arbas', ""On console un amant des rigueurs de l'absence Par des tendres adieux."")",0.82,Substitution
203,"('#dorine', ""Quand pour favoriser l'ardeur qu'il a de plaire  À l'Objet inhumain qui confond son espoir,  Vous employez votre pouvoir,  S'il m'est permis de ne rien taire,  Je crains bien qu'en vous laissant voir,  Vous-même n'empêchiez ce que vous pensez faire. Vos yeux n'eurent jamais un si brillant éclat,  Pour le Prince déjà ma pitié s'en alarme.  Tout ce qu'a la Beauté de fin, de délicat... "")","('#charite', ""Quand il faut se quitter, un peu d'indifférence Console encore mieux."")",1.31,Substitution
204,"('#circe', 'Tout de bon, trouves-tu que mes yeux... ')",,1.0,Insertion
205,"('#dorine', ""C'est un charme. "")",,1.0,Insertion
206,"('#circe', 'Te parais-je touchante ; et si dans cet état  À quelque coeur altier je vais livrer combat,  Penses-tu que je le désarme ? ')","('#arbas', ""Tu me l'avais bien dit, qu'il était impossible Que ton barbare coeur perdit sa dureté."")",0.69,Substitution
207,"('#dorine', ""N'en doutez point ; pour moi je ne le cache pas.  Quand mes plus tendres voeux offerts à quelque Belle,  M'auraient par cent serments soumis à ses appas,  Dès que je vous verrais, je serais infidèle. "")",,1.0,Insertion
208,"('#circe', ""J'ai l'affront cependant (et tu m'en vois rougir)  Que le Prince m'ait vue, et ne m'est point aimée.  L'ardeur de le toucher a beau me faire agir,  Silla seule en est estimée ;  Silla l'occupe tout, et s'il pousse un soupir,  C'est Silla qui l'arrache à son âme charmée.  Je l'ai quitté d'abord pour lui donner le temps  De réfléchir sur ma rencontre ;  Mais en vain à ses yeux de nouveau je me montre,  Le nom de ce qu'il aime est tout ce que j'entends ;  Et quand Silla par moi devrait être effacée,  Silla plus que jamais règne dans sa pensée. "")","('#charite', ""Au moins si tu te plains de me voir insensible, Tu dois être content de ma sincérité ; Puisqu'enfin pour te satisfaire Je ne puis pleurer avec toi ; Si tu voulais me plaire Tu rirais avec moi."")",0.09,Substitution
209,"('#dorine', ""J'avais cru qu'exprès avec lui  Vous aviez suspendu le pouvoir de vos Charmes. "")",,1.0,Insertion
210,"('#circe', ""Non, Dorine, et par là je juge de mon ennui.  Si mes yeux sont de sûres armes,  Pour l'attaquer j'en ai cherché l'appui.  Ils n'ont pu rien ces yeux à qui je dois la gloire  De m'assujettir tous les coeurs ;  Ils m'ont sur Mélicerte obtenu la victoire,  Lui pour qui, si je l'en veux croire,  Cette même Silla n'eut jamais de rigueurs ;  Et le Prince de Thrace aurait seul l'avantage De ne pas soupirer pour moi ?  Non, non, il me viendra soumettre son hommage ;  C'est une indispensable loi  Dont il n'est rien qui le dégage.  Mon Art de sa fierté sera victorieux.  Je viens de m'en servir pour être plus aimable,  Et c'est de là que vient cet éclat redoutable  Que tu vois briller dans mes yeux.  Non que le Prince à tel point m'ait charmée,  Que la douceur d'en être aimée  Ait de quoi plus longtemps mériter mes désirs.  Ses peines seulement à mon coeur seront chères,  Et je mettrai tous mes plaisirs  À lui voir perdre des soupirs  Que j'aurai rendus nécessaires. "")","('#arbas', ""C'est trop railler de mon martyre, Le dépit m'en doit délivrer ; N'est-on pas bien fou de pleurer Pour qui n'en fait que rire ?"")",0.41,Substitution
211,"('#dorine', ""Et dans cet imprévu revers  Que deviendra l'amoureux Mélicerte ? "")",,1.0,Insertion
212,"('#circe', ""Qu'il reprenne ses premiers fers,  Ils le pourront consoler de ma perte.  Pourquoi, quand par le temps l'amour est abattu,  Opposer la constance au dégoût qui l'accable,  Et ne pas s'affranchir, par un choix agréable,  De la ridicule vertu  D'aimer ce que le coeur ne trouve plus aimable ?  D'abord pour Mélicerte, il le faut confesser,  Tout mon plaisir était de le voir s'empresser  À me venir expliquer sa tendresse.  Ses soins ne pouvaient me lasser.  Je sens qu'enfin ce plaisir cesse ;  C'est assez pour permettre à l'amour de cesser. "")","('#charite', ""Guéris-toi, si tu peux, J'approuve ta colère ; Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",0.27,Substitution
213,"('#dorine', ""Ainsi se piquer de constance,  N'est pas une vertu propre à nos jeunes ans ? "")",,1.0,Insertion
214,"('#circe', ""Sans te dire ce que je pense  De ces feux tendres et constants  Dont tu veux prendre la défense,  Je m'en tiens à l'expérience.  Tout plaisir ne l'est plus, s'il dure trop longtemps.  L'habitude d'aimer porte à l'indifférence ;  Et si jamais deux coeurs en amour sont contents,  C'est seulement lorsqu'il commence. "")","('#charite #arbas', ""Quand on désespère Un coeur amoureux ; C'est par un dépit heureux Qu'il faut se tirer d'affaire."")",0.59,Substitution
215,,"('#arbas', 'Mais la nourrice vient, il me faut éloigner.')",1.0,Deletion
216,"('#dorine', ""Si l'amour en naissant charme tous nos désirs,  Il est malaisé... Mais, Madame,  Mélicerte... "")","('#charite', ""Tu sais que tu lui plais, la veux-tu dédaigner ? C'est une conquête assez belle."")",0.94,Substitution
217,"('#circe', ""Il lui va coûter quelques soupirs,  S'il vient me parler de sa flamme. "")",,1.0,Insertion
218,"('#melicerte', ""Enfin vous voilà de retour,  Vous, ma Princesse, en qui je vis plus qu'en moi-même.  Je vous avais perdue. Hélas ! Qu'un demi-jour  À passer sans voir ce qu'on aime,  Est un dur supplice à l'amour !  Depuis que vous êtes rentrée,  En vain j'ai fait deux fois le tour de ce Palais.  Toujours votre retraite a trompé mes souhaits,  Vous ne vous êtes point montrée.  Consolez-m'en, de grâce, et puisque tous mes soins  Regardent celui de vous plaire... "")","('#arbas', 'Si je lui plais, tant pis pour elle.')",1.03,Substitution
219,"('#circe', ""J'avais cherché ce lieu pour rêver sans témoins,  Laissez-m'en la douceur, elle m'est nécessaire  Contre certain chagrin que j'attendais le moins. "")","('#la-nourrice', ""Quoi ! Dès que je parais, tu fuis au même instant ? Lorsqu'on a des amis, est-ce ainsi qu'on les quitte ?"")",1.58,Substitution
220,"('#melicerte', ""De cet accueil que faut-il que j'augure ?  L'orage est prêt à s'élever ;  De la Foudre déjà j'entends le sourd murmure,  Madame... "")","('#arbas', ""Le temps presse, et Cadmus m'attend."")",0.96,Substitution
221,"('#circe', ""Je ne sais ce qui peut arriver ;  Mais qui n'a jusqu'ici demandé qu'à rêver,  Ne vous a pas fait grande injure. "")",,1.0,Insertion
222,"('#melicerte', ""Me le demandez-vous, quand vos désirs contents  Renfermaient votre joie au plaisir de m'entendre  Plus je cherchais à vous faire comprendre  Jusqu'où... "")","('#la-nourrice', ""Quand tu parlais seul à Charite, Le temps ne te pressait pas tant : Quel charme a-t-elle qui t'attire ? Qu'ai-je qui te fait en aller ?"")",0.52,Substitution
223,"('#circe', ""Chaque chose a son temps ;  Puisque vous l'ignorez, je veux bien vous l'apprendre. "")","('#arbas', ""J'avais à lui parler, Je n'ai rien à te dire. Je dois suivre Cadmus, nous partons de ce lieu."")",1.18,Substitution
224,"('#melicerte', ""Ainsi je ne suis plus ce trop heureux Amant,  Dont l'amour semblait seul être digne du vôtre.  Vous allez oublier son tendre emportement,  Et ce qu'il eut pour vous de flatteur, de charmant,  Vous le sentirez pour un autre. "")","('#la-nourrice', 'Me dire adieu, du moins, est une bienséance Dont rien ne te dispense.')",1.28,Substitution
225,"('#circe', ""L'amant qui veut empêcher  Un changement qui l'irrite,  S'y prend mal de reprocher  Que pour un autre on le quitte.  Sans se montrer alarmé  De la peur qu'on ne préfère  Un rival plus estimé ;  Qu'il trouve toujours à plaire,  Il sera toujours aimé. "")","('#arbas', 'Je te dis donc adieu.')",1.9,Substitution
226,"('#melicerte', 'Je suis pour vous toujours le même,  Toujours la même ardeur vous répond de ma foi ;  Mais que peut penser cet amour extrême,  À moins que votre coeur ne soit toujours pour moi ? ')","('#la-nourrice', ""Il me quitte, l'ingrat, il me fuit, l'infidèle ! Ne crains pas que je te rappelle ! Va, cours, je te laisse partir : Va, je n'ai plus pour toi qu'une haine mortelle : Puisses-tu rencontrer la mort la plus cruelle, Puisse le dragon t'engloutir."")",0.83,Substitution
