,la-fontaine-daphne,moliere-amants-magnifiques,Cost,Operation Type
105,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#timocles', ""Vous avez de quoi rendre de bons offices aux gens qu'il vous plaira."")",1.11,Substitution
106,,"('#iphicrate', 'Je ne vous recommande point mes intérêts.')",1.0,Deletion
107,,"('#timocles', 'Je ne vous dis point de parler pour moi.')",1.0,Deletion
108,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#sostrate', ""Seigneurs, il serait inutile, j'aurais tort de passer les ordres de ma commission, et vous trouverez bon que je ne parle ni pour l'un, ni pour l'autre."")",1.29,Substitution
109,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#iphicrate', 'Je vous laisse agir comme il vous plaira.')",1.1,Substitution
110,,"('#timocles', 'Vous en userez comme vous voudrez.')",1.0,Deletion
111,"('#apollon', 'Et que crains-tu pour moi ?')","('#iphicrate', ""Clitidas se ressouvient bien qu'il est de mes amis : je lui recommande toujours de prendre mes intérêts auprès de sa maîtresse, contre ceux de mon rival."")",1.38,Substitution
112,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#clitidas', ""Laissez-moi faire : il y a bien de la comparaison de lui à vous, et c'est un prince bien bâti pour vous le disputer."")",1.51,Substitution
113,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",,1.0,Insertion
114,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#iphicrate', 'Je reconnaîtrai ce service.')",1.99,Substitution
115,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#timocles', ""Mon rival fait sa cour à Clitidas ; mais Clitidas sait bien qu'il m'a promis d'appuyer contre lui les prétentions de mon amour."")",0.54,Substitution
116,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#clitidas', ""Assurément, et il se moque de croire l'emporter sur vous ; voilà auprès de vous un beau petit morveux de prince."")",0.69,Substitution
117,,"('#timocles', ""Il n'y a rien que je ne fasse pour Clitidas."")",1.0,Deletion
118,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#clitidas', ""Belles paroles de tous côtés.  Voici la Princesse ; prenons mon temps pour l'aborder."")",1.74,Substitution
119,"('#momus', 'Elle fuit.')","('#cleonice', 'On trouvera étrange, Madame, que vous vous soyez ainsi écartée de tout le monde.')",1.31,Substitution
120,"('#apollon', 'Mille amours avec elle ont paru.')","('#eriphile', ""Ah !  Qu'aux personnes comme nous qui sommes toujours accablées de tant de gens, un peu de solitude est parfois agréable, et qu'après mille impertinents entretiens, il est doux de s'entretenir avec ses pensées !  Qu'on me laisse ici promener toute seule."")",1.6,Substitution
121,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#cleonice', ""Ne voudriez-vous pas, Madame, voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ?  Ce sont des personnes, qui par leurs pas, leurs gestes, et leurs mouvements expriment aux yeux toutes choses, et on appelle cela pantomimes.  J'ai tremblé à vous dire ce mot, et il y a des gens dans votre Cour qui ne me le pardonneraient pas."")",0.53,Substitution
122,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#eriphile', ""Vous avez bien la mine, Cléonice, de me venir ici régaler d'un mauvais divertissement ; car, grâce au Ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous, et vous avez une affabilité qui ne rejette rien.  Aussi est-ce à vous seule qu'on voit avoir recours toutes les muses nécessitantes ; vous êtes la grande protectrice du mérite incommodé, et tout ce qu'il y a de vertueux indigents au monde va débarquer chez nous."")",0.46,Substitution
123,,"('#cleonice', ""Si vous n'avez pas envie de les voir, Madame, il ne faut que les laisser là."")",1.0,Deletion
124,"('#momus', 'Passerons-nous pour dieux ?')","('#eriphile', 'Non, non, voyons-les, faites-les venir.')",1.48,Substitution
125,,"('#cleonice', 'Mais peut-être, Madame, que leur danse sera méchante.')",1.0,Deletion
126,,"('#eriphile', 'Méchant, ou non, il la faut voir ; ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte.')",1.0,Deletion
127,,"('#cleonice', ""Ce ne sera ici, Madame, qu'une danse ordinaire, une autre fois..."")",1.0,Deletion
128,"('#apollon', 'Et pour qui donc passer')","('#eriphile', ""Point de préambule, Cléonice, qu'ils dansent."")",1.66,Substitution
129,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#eriphile', ""Voilà qui est admirable !  Je ne crois pas qu'on puisse mieux danser qu'ils dansent, et je suis bien aise de les avoir à moi."")",1.08,Substitution
130,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")","('#cleonice', ""Et moi, Madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé."")",1.31,Substitution
131,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#eriphile', ""Ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche, qu'on me laisse ici."")",0.78,Substitution
132,,"('#cleonice', 'Je vous avertis, Clitidas, que la Princesse veut être seule.')",1.0,Deletion
133,,"('#clitidas', 'Laissez-moi faire, je suis homme qui sais ma cour.')",1.0,Deletion
134,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#clitidas', 'La, la, la, la, ah !')",1.28,Substitution
135,,"('#eriphile', 'Clitidas.')",1.0,Deletion
136,,"('#clitidas', 'Je ne vous avais pas vue là, Madame.')",1.0,Deletion
137,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")","('#eriphile', ""Approche.  D'où viens-tu ?"")",0.0,Match
138,,"('#clitidas', ""De laisser la Princesse votre mère qui s'en allait vers le temple d'Apollon, accompagnée de beaucoup de gens."")",1.0,Deletion
139,,"('#eriphile', 'Ne trouves-tu pas ces lieux les plus charmants du monde ?')",1.0,Deletion
140,,"('#clitidas', 'Assurément.  Les Princes vos amants y étaient.')",1.0,Deletion
141,,"('#eriphile', ""Le fleuve Pénée fait ici d'agréables détours."")",1.0,Deletion
142,,"('#clitidas', 'Fort agréables.  Sostrate y était aussi.')",1.0,Deletion
143,,"('#eriphile', ""D'où vient qu'il n'est pas venu à la promenade ?"")",1.0,Deletion
144,,"('#clitidas', ""Il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux régales.  Il m'a voulu entretenir, mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous, que je n'ai point voulu lui prêter l'oreille, et je lui ai dit nettement que je n'avais pas le loisir de l'entendre."")",1.0,Deletion
145,,"('#eriphile', ""Tu as eu tort de lui dire cela, et tu devais l'écouter."")",1.0,Deletion
146,,"('#clitidas', ""Je lui ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience."")",1.0,Deletion
147,,"('#eriphile', 'Tu as bien fait.')",1.0,Deletion
148,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#clitidas', ""En vérité c'est un homme qui me revient, un homme fait comme je veux que les hommes soient faits : ne prenant point des manières bruyantes et des tons de voix assommants ; sage et posé en toutes choses ; ne parlant jamais que bien à propos ; point prompt à décider ; point du tout exagérateur incommode ; et quelques beaux vers que nos poètes lui aient récités, je ne lui ai jamais ouï dire voilà qui est plus beau que tout ce qu'a jamais fait Homère.  Enfin, c'est un homme pour qui je me sens de l'inclination, et si j'étais princesse, il ne serait pas malheureux."")",0.71,Substitution
149,,"('#eriphile', ""C'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?"")",1.0,Deletion
150,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#clitidas', ""Il m'a demandé si vous aviez témoigné grande joie au magnifique régale que l'on vous a donné ; m'a parlé de votre personne avec des transports les plus grands du monde, vous a mise au-dessus du ciel, et vous a donné toutes les louanges qu'on peut donner à la princesse la plus accomplie de la terre, entremêlant tout cela de plusieurs soupirs, qui disaient plus qu'il ne voulait.  Enfin, à force de le tourner de tous côtés, et de le presser sur la cause de cette profonde mélancolie, dont toute la Cour s'aperçoit, il a été contraint de m'avouer qu'il était amoureux."")",0.17,Substitution
151,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#eriphile', ""Comment amoureux ?  Quelle témérité est la sienne !  C'est un extravagant que je ne verrai de ma vie."")",1.02,Substitution
152,"('#fleuves', 'Commandez.')","('#clitidas', 'De quoi vous plaignez-vous, Madame ?')",1.43,Substitution
153,,"('#eriphile', ""Avoir l'audace de m'aimer, et de plus avoir l'audace de le dire ?"")",1.0,Deletion
154,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#clitidas', ""Ce n'est pas vous, Madame, dont il est amoureux."")",1.48,Substitution
155,,"('#eriphile', ""Ce n'est pas moi ?"")",1.0,Deletion
156,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#clitidas', 'Non, Madame, il vous respecte trop pour cela, et est trop sage pour y penser.')",0.98,Substitution
157,,"('#eriphile', 'Et de qui donc, Clitidas ?')",1.0,Deletion
158,,"('#clitidas', ""D'une de vos filles la jeune Arsinoé."")",1.0,Deletion
159,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#eriphile', ""A-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour ?"")",1.13,Substitution
160,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')","('#clitidas', ""Il l'aime éperdument, et vous conjure d'honorer sa flamme de votre protection."")",1.54,Substitution
161,,"('#eriphile', 'Moi ?')",1.0,Deletion
162,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
163,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#clitidas', ""Non, non, Madame, je vois que la chose ne vous plaît pas.  Votre colère m'a obligé à prendre ce détour, et pour vous dire la vérité, c'est vous qu'il aime éperdument."")",1.33,Substitution
164,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#eriphile', ""Vous êtes un insolent de venir ainsi surprendre mes sentiments.  Allons, sortez d'ici, vous vous mêlez de vouloir lire dans les âmes ; de vouloir pénétrer dans les secrets du coeur d'une princesse.  Ôtez-vous de mes yeux, et que je ne vous voie jamais, Clitidas."")",0.31,Substitution
165,,"('#clitidas', 'Madame.')",1.0,Deletion
166,,"('#eriphile', 'Venez ici.  Je vous pardonne cette affaire-là.')",1.0,Deletion
167,,"('#clitidas', 'Trop de bonté, Madame.')",1.0,Deletion
168,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#eriphile', ""Mais à condition, prenez bien garde à ce que je vous dis, que vous n'en ouvrirez la bouche à personne du monde, sur peine de la vie."")",1.06,Substitution
169,,"('#clitidas', 'Il suffit.')",1.0,Deletion
170,"('#daphne', 'Ah, Clymène ! Plains-moi.')","('#eriphile', ""Sostrate t'a donc dit qu'il m'aimait ?"")",1.47,Substitution
171,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#clitidas', ""Non, Madame : il faut vous dire la vérité.  J'ai tiré de son coeur par surprise un secret qu'il veut cacher à tout le monde et avec lequel il est, dit-il, résolu de mourir.  Il a été au désespoir du vol subtil que je lui en ai fait, et bien loin de me charger de vous le découvrir, il m'a conjuré, avec toutes les instantes prières qu'on saurait faire, de ne vous en rien révéler, et c'est trahison contre lui que ce que je viens de vous dire."")",1.19,Substitution
172,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#eriphile', ""Tant mieux, c'est par son seul respect qu'il peut me plaire ; et s'il était si hardi que de me déclarer son amour, il perdrait pour jamais, et ma présence, et mon estime."")",0.16,Substitution
173,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#clitidas', 'Ne craignez point, Madame...')",1.3,Substitution
174,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#eriphile', 'Le voici ; souvenez-vous au moins, si vous êtes sage, de la défense que je vous ai faite.')",1.21,Substitution
175,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
176,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')","('#clitidas', 'Cela est fait, Madame, il ne faut pas être courtisan indiscret.')",1.11,Substitution
177,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#sostrate', ""J'ai une excuse, Madame, pour oser interrompre votre solitude, et j'ai reçu de la Princesse votre mère une commission qui autorise la hardiesse que je prends maintenant."")",0.63,Substitution
178,,"('#eriphile', 'Quelle commission, Sostrate ?')",1.0,Deletion
179,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#sostrate', ""Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre coeur."")",1.11,Substitution
180,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")","('#eriphile', ""La Princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.  Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie."")",1.71,Substitution
181,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#sostrate', ""Je l'ai acceptée, Madame, par la nécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelqu'autre de cet emploi."")",0.9,Substitution
182,,"('#eriphile', 'Quelle cause, Sostrate, vous obligeait à le refuser ?')",1.0,Deletion
183,,"('#sostrate', ""La crainte, Madame, de m'en acquitter mal."")",1.0,Deletion
184,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#eriphile', 'Croyez-vous que je ne vous estime pas assez pour vous ouvrir mon coeur, et vous donner toutes les lumières que vous pourrez désirer de moi sur le sujet de ces deux Princes ?')",0.68,Substitution
185,"('#tharsis', 'Je vous verrai.')","('#sostrate', ""Je ne désire rien pour moi là-dessus, Madame, et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."")",1.2,Substitution
186,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#eriphile', ""Jusques ici je me suis défendue de m'expliquer, et la Princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager ; mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps."")",0.71,Substitution
187,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#sostrate', ""C'est une chose, Madame, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire."")",0.89,Substitution
188,,"('#eriphile', ""Mais c'est ce que la Princesse ma mère attend de vous."")",1.0,Deletion
189,,"('#sostrate', ""Ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?"")",1.0,Deletion
190,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#eriphile', ""Ô çà, Sostrate, les gens comme vous ont toujours les yeux pénétrants ; et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres.  N'ont-ils pu découvrir, vos yeux, ce dont tout le monde est en peine, et ne vous ont-ils point donné quelques petites lumières du penchant de mon coeur ?  Vous voyez les soins qu'on me rend, l'empressement qu'on me témoigne : quel est celui de ces deux Princes que vous croyez que je regarde d'un oeil plus doux ?"")",0.0,Match
191,,"('#sostrate', ""Les doutes que l'on forme sur ces sortes de choses ne sont réglés d'ordinaire que par les intérêts qu'on prend."")",1.0,Deletion
192,,"('#eriphile', ""Pour qui, Sostrate, pencheriez-vous des deux ?  Quel est celui, dites-moi, que vous souhaiteriez que j'épousasse ?"")",1.0,Deletion
193,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')","('#sostrate', 'Ah !  Madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.')",1.46,Substitution
194,"('#telamon', 'Ceci vous trouble et vous étonne.')","('#eriphile', 'Mais si je me conseillais à vous pour ce choix ?')",1.97,Substitution
195,,"('#sostrate', 'Si vous vous conseilliez à moi, je serais fort embarrassé.')",1.0,Deletion
196,,"('#eriphile', 'Vous ne pourriez pas dire qui des deux vous semble plus digne de cette préférence ?')",1.0,Deletion
197,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#sostrate', ""Si l'on s'en rapporte à mes yeux, il n'y aura personne qui soit digne de cet honneur.  Tous les princes du monde seront trop peu de chose pour aspirer à vous ; les Dieux seuls y pourront prétendre, et vous ne souffrirez des hommes que l'encens et les sacrifices."")",0.36,Substitution
198,,"('#eriphile', ""Cela est obligeant, et vous êtes de mes amis.  Mais je veux que vous me disiez pour qui des deux vous vous sentez plus d'inclination, quel est celui que vous mettez le plus au rang de vos amis."")",1.0,Deletion
199,,"('#chorebe', 'Madame, voilà la Princesse qui vient vous prendre ici, pour aller au bois de Diane.')",1.0,Deletion
200,,"('#sostrate', 'Hélas !  Petit garçon, que tu es venu à propos.')",1.0,Deletion
201,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#aristione', 'On vous a demandée, ma Fille, et il y a des gens que votre absence chagrine fort.')",1.41,Substitution
202,"('#tharsis', 'Tu ris.')","('#eriphile', ""Je pense, Madame, qu'on m'a demandée par compliment, et on ne s'inquiète pas tant qu'on vous dit."")",1.32,Substitution
203,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#aristione', ""On enchaîne pour nous ici tant de divertissements les uns aux autres, que toutes nos heures sont retenues, et nous n'avons aucun moment à perdre, si nous voulons les goûter tous.  Entrons vite dans le bois, et voyons ce qui nous y attend ; ce lieu est le plus beau du monde, prenons vite nos places."")",0.9,Substitution
204,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")","('#tircis', ""Vous chantez sous ces feuillages, Doux rossignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux, vous ne chanteriez pas."")",1.47,Substitution
205,,"('#lycaste', 'Hé quoi toujours languissant, sombre, et triste ?')",1.0,Deletion
206,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#menandre', 'Hé quoi ! Toujours aux pleurs abandonné ?')",0.95,Substitution
207,,"('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')",1.0,Deletion
208,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")","('#lycaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")",1.44,Substitution
209,,"('#tircis', 'Eh le moyen, hélas !')",1.0,Deletion
210,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",,1.0,Insertion
211,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')","('#menandre', 'Fais, fais-toi quelque effort.')",1.49,Substitution
212,,"('#tircis', 'Eh ! Le moyen, hélas ! Quand le mal est trop fort ?')",1.0,Deletion
213,,"('#lycaste', 'Ce mal trouvera son remède.')",1.0,Deletion
214,,"('#tircis', ""Je ne guérirai qu'à ma mort."")",1.0,Deletion
215,"('#le-choeur', 'Parmi les plaisirs et les jeux.')","('#lycaste #menandre', 'Ah Tircis !')",1.47,Substitution
216,,"('#tircis', 'Ah Bergers !')",1.0,Deletion
217,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#lycaste #menandre', ""Prends sur toi plus d'empire."")",1.59,Substitution
218,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#tircis', 'Rien ne me peut secourir.')",1.65,Substitution
219,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#lycaste #menandre', ""C'est trop, c'est trop céder."")",1.72,Substitution
220,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')","('#tircis', ""C'est trop, c'est trop souffrir."")",1.19,Substitution
221,,"('#lycaste #menandre', 'Quelle faiblesse !')",1.0,Deletion
222,"('#penee', 'Laissez-nous achever cette cérémonie.')","('#tircis', 'Quel martyre !')",1.59,Substitution
223,,"('#lycaste #menandre', 'Il faut prendre courage.')",1.0,Deletion
224,,"('#tircis', 'Il faut plutôt mourir.')",1.0,Deletion
225,,"('#lycaste', ""Il n'est point de bergère Si froide, et si sévère, Dont la pressante ardeur D'un coeur qui persévère Ne vainque la froideur."")",1.0,Deletion
