,dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Cost,Operation Type
244,"('#angelique', 'Où croyez-vous le pouvoir joindre, Dorante ?')","('#madame-thibaut', 'Passons donc dans mon cabinet. Au moins voulez-vous bien me permettre... À la Ramée.')",1.19,Substitution
245,,"('#la-ramee', 'Madame...')",1.0,Deletion
246,"('#dorante', 'Que Lisette se trouve dans votre chambre, je veux que la scène se passe dans votre cabinet.  Adieu, voilà Madame votre mère.  Je suis ici dans quelques moments.')","('#madame-thibaut', 'Entrez dans ma chambre : je vous rejoins dans un moment.')",0.31,Substitution
247,"('#lisette', 'Oh parbleu !  Monsieur le chevalier, nous saurons ce que vous savez faire.')","('#la-ramee', ""Non, Madame, je n'ai point été chez moi depuis mon retour de Versailles, j'ai quelques ordres à donner."")",1.44,Substitution
248,,"('#madame-thibaut', ""Qu'on vous revoie donc bientôt, je vous prie."")",1.0,Deletion
249,"('#dorimene', ""Oui, Monsieur, la résolution en est prise, et c'est à vous de voir si vous me pouvez faire toucher cet argent aussitôt que je serai arrivée."")","('#la-ramee', ""Le plutôt qu'il me sera possible. Je suis plus pressé de conclure qu'elle ne pense. À part."")",0.48,Substitution
250,,"('#madame-thibaut', ""Monsieur le Capitaine a pris l'hameçon, il ne faut pas lui donner le temps de se reconnaître."")",1.0,Deletion
251,,"('#la-brie', ""Laissez-moi faire, tout ira bien.  N'ai-je pas fait le Notaire à merveille ?"")",1.0,Deletion
252,,"('#madame-thibaut', 'Assurément.')",1.0,Deletion
253,,"('#la-brie', ""Il ne me manque que la Charge, car j'ai d'ailleurs toutes les parties nécessaires pour faire un parfait habile homme."")",1.0,Deletion
254,,"('#madame-thibaut', ""Voici quelqu'un, laisse-nous."")",1.0,Deletion
255,,"('#gabrillon', 'On vous demande, là-bas.')",1.0,Deletion
256,"('#lisette', 'Quel pèlerinage va-t-elle faire ?')","('#madame-thibaut', 'Qui ?')",1.24,Substitution
257,,"('#gabrillon', 'Une Dame, qui veut acheter le carrosse qui est sous votre remise.')",1.0,Deletion
258,,"('#madame-thibaut', ""Comment !  Va lui dire qu'il n'est pas à vendre : ne vois-tu pas qu'il me fait honneur, et que Cléante le prend pour être à moi ?  Écoute si cette Maîtresse des Comptes à qui il appartient venait ici, ne va pas lui dire qu'on le marchande ?"")",1.0,Deletion
259,,"('#gabrillon', ""Oui.  Mais ce jeune Officier qui a déjà les chevaux, et qui n'attend plus qu'après l'argent du carrosse pour achever son équipage, s'accommodera-t-il de cela ?"")",1.0,Deletion
260,,"('#madame-thibaut', ""Qu'il s'en accommode s'il veut.  Ne voudrais-tu pas que j'allasse préférer ses intérêts aux miens ?  Va, va, te dis-je... Mais que me voudrait ce Gentilhomme ?"")",1.0,Deletion
261,,"('#angelique', 'Bonjour, Madame.')",1.0,Deletion
262,,"('#madame-thibaut', 'Monsieur, votre servante.')",1.0,Deletion
263,,"('#angelique', 'Touchez-là.')",1.0,Deletion
264,"('#angelique', 'Je ne sais.')","('#madame-thibaut', 'Monsieur ?')",0.57,Substitution
265,,"('#angelique', 'Touchez-là, vous dis-je, je veux faire amitié avec vous.')",1.0,Deletion
266,,"('#madame-thibaut', ""Ce me serait bien de l'honneur."")",1.0,Deletion
267,,"('#angelique', ""Et à moi bien du profit.  Comment, diable !  On dit que la fortune et vous, vous êtes les deux doigts de la main, qu'elle vous met à même des emplois, et que vous rendrez heureux qui bon vous semble ?"")",1.0,Deletion
268,"('#dorimene', 'À quoi rêvez-vous ?')","('#madame-thibaut', ""Je ne ferai jamais tant de bien, que je souhaiterais d'en faire."")",1.13,Substitution
269,,"('#angelique', ""Il ne tiendra qu'à vous que je n'en fasse l'épreuve.  Vous voyez un jeune homme tout frais sorti de l'Académie, qui cherche à entrer dans le monde : mais qui aimerais mieux n'y mettre jamais le pied, que de n'y pas entrer par une belle porte."")",1.0,Deletion
270,,"('#madame-thibaut', ""Il y en a plusieurs : il ne s'agit là-dessus que de consulter votre inclination.  Voulez-vous être de robe ou d'épée ?"")",1.0,Deletion
271,,"('#angelique', ""De robe !  Regardez-moi bien, ai-je l'air d'un écolier en Droit ?  D'épée, morbleu, d'épée s'il en fut jamais ; on a toujours porté les armes dans ma famille."")",1.0,Deletion
272,,"('#madame-thibaut', ""Si c'est dans le service que vous souhaitez d'entrer, je ne puis rien pour vous."")",1.0,Deletion
273,,"('#angelique', 'Vous ne pouvez rien faire pour moi ?')",1.0,Deletion
274,,"('#madame-thibaut', ""Pas cela.  Les emplois de la guerre ne sortent pas de ma boutique.  J'en suis fâchée, quoiqu'au fond c'est bien dommage qu'un joli homme comme vous aille à l'armée."")",1.0,Deletion
275,,"('#angelique', ""Lorsqu'on est né l'épée au côté, je crois que partout ailleurs un homme de mon âge fait une sotte figure."")",1.0,Deletion
276,,"('#madame-thibaut', 'Vous êtes riche ?')",1.0,Deletion
277,,"('#angelique', ""Je suis tout l'opposé."")",1.0,Deletion
278,,"('#madame-thibaut', 'Tant pis.')",1.0,Deletion
279,,"('#angelique', 'Bon, bon, tant pis ; quand on a de la naissance et de la valeur, le service donne le reste.')",1.0,Deletion
280,"('#topase', ""Ce n'est point la somme qui m'embarrasse et, Dieu merci, nous sommes en état, mes correspondants et moi, de faire tous les jours de plus grosses affaires mais les bijoux que vous avez envoyés ce matin chez moi, ne valent point, à beaucoup près, l'argent que vous en voulez avoir ; et vous savez, Madame, que dans le temps où nous sommes, on ne se charge guère de bijoux qu'on ne les ait à grand marche."")","('#madame-thibaut', ""Oui, mais pas toujours.  Croyez-moi, mon beau Gentilhomme, ne méprisez point mes conseils ; il y a tant de femmes qui ne s'appliquent uniquement qu'à réparer dans une jeunesse indigente le tort que lui fait la fortune : tâchez de vous associer avec quelque riche veuve.  Quand un équipage est en désordre, il vaut mieux, pour le remettre, avoir recours à sa femme qu'à l'usurier."")",0.29,Substitution
281,,"('#angelique', ""Moi !  Prendre une femme !  Hé, qu'en ferais-je ?"")",1.0,Deletion
282,"('#dorimene', ""Bons dieux !  Monsieur Topase, que vous faites le difficile, comme si nous ne savions pas de quel profit vous sont les bijoux, et combien vous faites votre compte à les vendre trois fois plus qu'ils ne valent aux jeunes gens de famille, qu'on vous adresse quand ils ont affaire d'argent."")","('#madame-thibaut', ""Ce que tous les autres jeunes gens qui épousent des femmes déjà surannées en font, leurs Intendantes et leurs Fermières.  Si vous voulez, avant qu'il soit deux jours, je vous livre la veuve d'un Marchand de marée, qui me persécute pour lui trouver un joli mari.  Si le parti vous accommode, elle vous mettra à la tête de vingt-cinq mille livres de rente."")",0.71,Substitution
283,"('#topase', 'Cela va bien changer, Madame ; le lansquenet défendu nous coupe la gorge, et voilà le commerce ruiné en France.')","('#angelique', ""Une femme de vingt-cinq mille livres de rente, le joli poste pour un jeune homme, si cela n'obligeait point à résidence !"")",1.48,Substitution
284,"('#dorimene', ""Cela est vrai, Paris va devenir désert assurément, si l'on ne réforme cette défense."")","('#madame-thibaut', ""Qu'appelez-vous résidence ?  Un homme de votre qualité est-il pour passer ses jours comme un Bourgeois cousu aux jupes de sa femme ?  On passe six mois à l'armée, de là l'on revient à Paris.  Madame y est-elle, on va à la Cour : vient-elle à la Cour, on retourne à Paris ; de manière qu'en tout un an, un mari n'aura pas donné quarante jours à sa femme.  Est-il, à le bien prendre, une plus douce condition ?  Où trouverez-vous encore un métier dont le travail de six semaines suffise pour vous défrayer de toute l'année ?"")",1.4,Substitution
285,,"('#angelique', ""Six semaines auprès d'une femme !  Ne comptez-vous cela pour rien ?"")",1.0,Deletion
286,,"('#madame-thibaut', 'Ouais, vous êtes donc bien libertin ?')",1.0,Deletion
287,,"('#angelique', ""Que voulez-vous ?  Chacun a son faible, et celui-là n'est pas le mien."")",1.0,Deletion
288,,"('#madame-thibaut', 'Vous ne voyez donc pas une femme ?')",1.0,Deletion
289,,"('#angelique', 'Je les verrais toutes, si elles étaient toutes faites comme toi.')",1.0,Deletion
290,,"('#madame-thibaut', ""Hé, Monsieur, vous n'y pensez pas."")",1.0,Deletion
291,,"('#angelique', 'La folle, qui ne reconnaît pas Angélique.')",1.0,Deletion
292,,"('#madame-thibaut', 'Mademoiselle Angélique !  Et qui vous reconnaîtrait dans cet équipage ?  Allez-vous courir le bal ?')",1.0,Deletion
293,,"('#angelique', 'Une affaire bien plus sérieuse me met en campagne.')",1.0,Deletion
294,,"('#madame-thibaut', ""Une affaire sérieuse !  Cela ne m'a point encore paru."")",1.0,Deletion
295,,"('#angelique', ""Si j'ai dit des folies, et que je ne me sois pas d'abord fait connaître à toi, ce n'était que pour faire l'épreuve de mon déguisement ; s'il a pu te tromper, il pourra bien en tromper d'autres."")",1.0,Deletion
296,,"('#madame-thibaut', ""Vous avez l'air tout à fait Cavalier.  Mais, quelle affaire ?..."")",1.0,Deletion
297,,"('#angelique', 'Une affaire de jalousie !')",1.0,Deletion
298,,"('#madame-thibaut', 'Une affaire de jalousie ?')",1.0,Deletion
299,,"('#angelique', ""Je ne suis jalouse que de la bonne sorte, et je te jure que c'est sans être amoureuse moi-même."")",1.0,Deletion
300,,"('#madame-thibaut', 'Je le veux croire ; mais pourtant ce déguisement.')",1.0,Deletion
301,"('#topase', ""Paris ?  Paris verra ce qu'il perd, en nous perdant surtout."")","('#angelique', ""Je ne l'ai pris que pour m'introduire dans une maison où mon perfide de Chevalier donne des rendez-vous à ma rivale.  Il me dit tous les jours qu'il ne la voit point ; et sous prétexte d'aller jouer, ils se trouvent ensemble dans le logis en question.  J'y vais ce soir à la faveur de cet habit : je les observerai de près, j'étudierai jusqu'à leurs moindres gestes ; et si le coeur m'en dit, je les frotterai tous deux comme tous les diables."")",1.47,Substitution
302,"('#angelique', ""Ah !  Bons dieux !  Lisette, aurait-elle fait dessein d'aller demeurer à la campagne ?"")","('#madame-thibaut', 'Et tout cela sans être amoureuse ?')",1.14,Substitution
303,,"('#angelique', ""Oui, je te jure ; mon dessein n'est que de décrier ma rivale par une aventure d'éclat."")",1.0,Deletion
304,"('#lisette', ""J'en meurs de peur, aussi bien que vous."")","('#madame-thibaut', 'Vous ferez aussi parler de vous.  Êtes-vous folle, dites-moi ?')",1.14,Substitution
305,,"('#angelique', ""Non.  D'accord, je ne suis pas trop sage ; mais je serais fâchée de l'être assez pour changer de résolution."")",1.0,Deletion
306,,"('#madame-thibaut', 'Le Chevalier ne vous le pardonnera jamais, et voilà le vrai moyen de rompre tout à fait avec lui.')",1.0,Deletion
307,"('#dorimene', 'Mon pauvre Monsieur Topase, mon départ ne peut être trop prompt à ma fantaisie.  Finissons notre affaire le plus tôt que nous pourrons.')","('#angelique', ""La rupture est certaine de manière ou d'autre ; et il me semble qu'un finissant une intrigue, c'est une espèce de consolation, que de gourmer un infidèle."")",0.67,Substitution
308,,"('#madame-thibaut', 'Mais...')",1.0,Deletion
309,"('#topase', ""Relâchez-vous de quelque chose, Madame, et nous n'aurons pas de peine à conclure.  Je vous fournirai les quinze mille livres, en belles et bonnes lettres de change, payables à vue."")","('#angelique', ""Mais... Tes discours sont inutiles, je ne suis point ici pour prendre de tes conseils, j'y viens pour te demander de l'argent."")",1.33,Substitution
310,"('#dorimene', 'Je passerai chez vous cette après-dinée, et nous terminerons toutes choses.')","('#madame-thibaut', ""De l'argent à moi !"")",1.68,Substitution
311,"('#topase', 'Je vous attendrai, Madame.')","('#angelique', 'Oui, mon enfant.  À moins que de jouer dans la maison de rendez-vous, on y fait mauvaise figure, et je prétends la faire bonne.')",1.02,Substitution
312,,"('#madame-thibaut', 'Vous allez y briller, je vous en réponds.')",1.0,Deletion
313,,"('#angelique', ""Voilà un diamant de cent pistoles, prête-m'en cinquante, je te prie, je t'en paierai bien l'intérêt."")",1.0,Deletion
314,,"('#madame-thibaut', 'Vous vous moquez ; je crois : il y a heureusement cinquante pistoles dans ma bourse.')",1.0,Deletion
315,"('#dorimene', ""Eh bien, ma fille, voilà un terrible coup à quoi je ne m'attendais guère.  Tout est ruiné, ma fille, voilà ta fortune perdue, ma pauvre enfant."")","('#angelique', 'Je te suis obligée.  Quand je devrais les perdre, je ferai beau bruit pour mon argent, et tu entendras parler de moi.')",1.1,Substitution
316,,"('#madame-thibaut', 'Adieu mon beau Cavalier, adieu.')",1.0,Deletion
317,"('#angelique', 'Comment donc, Madame ?')","('#gabrillon', 'Madame ?')",0.95,Substitution
318,,"('#madame-thibaut', ""Qu'est-ce qu'il y a ?"")",1.0,Deletion
319,,"('#gabrillon', ""J'attendais que ce jeune Monsieur fût sorti, pour vous dire que cette Nourrice est là-bas, qui fait un vacarme enragé, et qui veut à toute force que nous reprenions cet enfant."")",1.0,Deletion
320,,"('#madame-thibaut', ""Et pourquoi la laisser entrer ?  La porte n'était-elle pas fermée ?"")",1.0,Deletion
321,,"('#gabrillon', 'Tant de gens vont et viennent...')",1.0,Deletion
322,"('#dorimene', ""Comment ?  Le chevalier de Bellemonte allait gagner tout l'argent de Paris, et j'avais parole qu'il t'épouserait."")","('#madame-thibaut', ""Viens, viens, suis-moi.  Madame la Nourrice n'a qu'à se bien tenir, elle trouvera à qui parler. "")",1.53,Substitution
323,"('#angelique', 'Je vous suis bien redevable, Madame, des vues que vous aviez pour ma fortune ; mais le chevalier...')","('#gabrillon', ""Ma foi, Madame, il n'est rien tel que de faire du bruit, et d'avoir bonne tête.  La pauvre Nourrice, étourdie de vos discours, et intimidée de vos menaces, reporte l'enfant au Maître de Musique, et je crois que nous en sommes tout à fait débarrassées."")",1.03,Substitution
324,"('#dorimene', 'Ce ne sont point des chimères.  Il a des secrets admirables pour gagner à coup sûr au lansquenet.')","('#madame-thibaut', ""Je ne sais : le Maître de Musique est un mutin qui me fera peut-être assigner pour le reprendre : mais au pis-aller, j'ai des amis, et je me tirerai bien d'affaire."")",1.45,Substitution
325,,"('#gabrillon', 'Vraiment, vous tenez toute la Justice dans votre manche ; et voilà un nouvel appui que vous allez avoir au Palais.')",1.0,Deletion
326,"('#lisette', ""Et cela, sans qu'il y ait la moindre petite ombre de friponnerie.  Il est adroit comme un singe, au moins."")","('#madame-thibaut', ""Qui ?  Ce fou d'Éraste, qui pour se raccommoder avec sa famille, a quitté l'épée pour la robe, et d'Officier, s'est fait apprentif Magistrat ?  C'est un homme d'un grand poids !"")",1.46,Substitution
327,,"('#gabrillon', ""Il deviendra comme les autres.  Oh, diantre, Madame, il va vivre désormais en honnête homme, son laquais dit qu'il se va marier."")",1.0,Deletion
328,"('#dorimene', ""Oh !  Pour cela, il joue le plus honnêtement du monde.  N'est-il pas vrai, Lisette ?"")","('#madame-thibaut', ""C'est donc pour cela qu'il cherche une toilette ?"")",1.21,Substitution
329,,"('#gabrillon', 'Apparemment.')",1.0,Deletion
330,,"('#madame-thibaut', 'Il faut aller chez cette Marquise, qui mourut dernièrement ; savoir quand on fera son inventaire.')",1.0,Deletion
331,,"('#gabrillon', ""Il n'y aura point de toilette à cet inventaire, Madame, et je ne crois pas qu'on fasse d'inventaire, même."")",1.0,Deletion
332,,"('#madame-thibaut', 'Et la raison ?')",1.0,Deletion
333,,"('#gabrillon', 'Cette Marquise a tout donné pendant sa vie.  Il faut entendre là-dessus ses héritiers, ils ne délabrent pas mal sa réputation.')",1.0,Deletion
334,,"('#madame-thibaut', ""Ce sont de bons impertinents, de la vouloir noircir : une femme qui ne s'est occupée pendant tout le cours de sa vie, qu'à fonder des carrosses à perpétuité à de jeunes gens de naissance, que la nécessité mettait hors d'état d'en avoir.  Ah !  Gabrillon, l'étrange chose que le monde !  Quelque bien que l'on puisse faire aux uns, on est presque toujours blâmé par les autres.  Voici Cléante : qu'on dise à tout le monde que je n'y suis pas."")",1.0,Deletion
335,,"('#madame-thibaut', ""N'avez-vous plus d'ordre à donner, et peut-on s'assurer de vous posséder autant de temps qu'on le souhaite ?"")",1.0,Deletion
336,"('#lisette', 'Oui, Madame.  Je le veux croire, Madame, pour lui faire honneur, et pour vous faire plaisir ; mais en vérité...')","('#la-ramee', ""Je vous consacre tous les moments de ma vie, Madame ; et si les affaires du Régiment m'empêchaient d'être tout à vous, je me casse moi-même, et je remets ma Compagnie."")",1.06,Substitution
337,,"('#madame-thibaut', ""Il me semble qu'on parle du départ."")",1.0,Deletion
338,"('#dorimene', ""Il ne nous reste qu'une petite ressource dans notre affliction, et je suis bien aise de vous informer du dessein où nous sommes, le chevalier et moi."")","('#la-ramee', ""Que fait cela, Madame ?  Homme de Cour et de qualité comme je suis, je ne pars que quand il me plaît.  Je passe à Paris des demi Étés incognito Je joins l'armée le jour d'une action ; cela fini, je reviens triomphant mettre à vos pieds toute ma gloire, et vous sacrifier ma fortune."")",0.66,Substitution
339,,"('#madame-thibaut', 'Je ne crains rien tant que votre éloignement.')",1.0,Deletion
340,"('#angelique', 'Ah, Lisette !  Voilà une ressource qui me fait trembler.')","('#la-ramee', 'Ah !  Ma Princesse, que je suis heureux si ma présence...')",0.82,Substitution
341,,"('#madame-thibaut', 'Que veut-on ?  Ne vous avais-je pas dit de ne laisser entrer personne ?')",1.0,Deletion
342,,"('#gabrillon', ""Ce n'est pas vous, Madame, qu'on demande, c'est un essoufflé qui veut parler à Monsieur."")",1.0,Deletion
343,,"('#la-ramee', 'Un essoufflé ?  Que veut-elle dire ?')",1.0,Deletion
344,,"('#gabrillon', ""C'est une façon de Courier, qui arrive de votre garnison, peut-être."")",1.0,Deletion
345,,"('#la-ramee', 'Un Courier, moi ?  Cela ne se peut.  Qui lui aurait dit que je suis chez vous, Madame ?')",1.0,Deletion
346,"('#dorimene', ""Qu'avez-vous ?"")","('#gabrillon', ""C'est pourtant bien vous qu'il demande.  C'est un de vos laquais qu'il a trouvé à votre logis, qui l'a amené ici.  Tenez, le voilà.  Le reconnaissez-vous ?"")",1.01,Substitution
347,,"('#la-ramee', ""Hé, cadédis, c'est Champagne, le valet de chambre de mon père.  Que viens-tu m'annoncer, mon pauvre diable ?"")",1.0,Deletion
348,"('#angelique', 'Rien, Madame.')","('#champagne', 'Je suis mort, Monsieur.')",1.27,Substitution
349,,"('#la-ramee', 'Apprends-moi vite...')",1.0,Deletion
350,,"('#champagne', ""De Bourdeaux à Paris en deux jours !  Le diable, tout diable qu'il est, n'a jamais fait une telle diligence."")",1.0,Deletion
351,,"('#la-ramee', 'Tu ne veux pas me dire...')",1.0,Deletion
352,,"('#champagne', 'Votre père.')",1.0,Deletion
353,,"('#la-ramee', 'Hé bien, mon père est-il blessé, est-il mort ?')",1.0,Deletion
354,"('#dorimene', 'Je crois, ma fille, que vous serez ravie de ma résolution ; les jeunes personnes sont ordinairement bien aises de voyager.')","('#champagne', ""Rien de tout cela.  Il n'entre point de mortalité dans mon message ; au contraire, je suis un porteur de nouvelles toutes tissues d'allégresse ; c'est pour votre mariage qu'on m'envoie."")",1.04,Substitution
355,"('#lisette', 'En voici bien une autre.')","('#la-ramee', 'Mon mariage ?  Ah !  Madame, mon père saurait-il nos affaires ?')",1.98,Substitution
356,"('#angelique', 'Comment donc, Madame, où voulez-vous aller ?')","('#champagne', ""Comment donc vos affaires avec Madame ?  Vous alliez donc prendre une femme jusqu'à nouvel ordre ?"")",0.7,Substitution
357,,"('#la-ramee', 'Insolent, voudrais-tu bien te taire ?')",1.0,Deletion
358,,"('#champagne', ""Et vous, voudriez-vous bien venir vous botter ?  Les jours sont courts pour un homme qu'on attend à souper à cent cinquante lieues d'ici, il n'y a pas un moment à perdre."")",1.0,Deletion
359,"('#dorimene', 'En Angleterre, ma fille.')","('#la-ramee', 'Veux-tu toujours me parler énigme.')",1.79,Substitution
360,,"('#champagne', ""Vous parler de souper, c'est vous parler énigme ?  Il faut n'avoir ni faim ni soif pour n'entendre pas cela.  Tenez, voyons si vous comprenez mieux les choses par écrit."")",1.0,Deletion
361,,"('#la-ramee', 'Tu as une lettre ?')",1.0,Deletion
362,"('#angelique', 'En Angleterre, Madame !')","('#champagne', 'Oui, Monsieur.')",1.33,Substitution
363,"('#lisette', 'Passer la mer comme des hirondelles !')","('#la-ramee', 'Hé, que ne me la donnes-tu donc ?  Fais vite.  Que me voudrait mon père ?')",1.74,Substitution
364,,"('#madame-thibaut', ""J'en suis plus en peine que lui."")",1.0,Deletion
365,,"('#gabrillon', 'Je tremble.')",1.0,Deletion
366,,"('#la-ramee', ""Mon Fils, je ne saurais vous donner de plus fortes preuves de mon amitié, qu'en vous donnant Ismène pour épouse."")",1.0,Deletion
367,"('#angelique', 'Avez-vous bien songé, Madame...')","('#madame-thibaut', ""Qu'entends-je ?"")",1.43,Substitution
368,,"('#gabrillon', 'Madame !')",1.0,Deletion
369,"('#dorimene', ""J'ai fait toutes les réflexions qu'il a fallu faire.  C'est un Pérou que l'Angleterre pour un habile joueur comme le chevalier, et la plupart de ces gros milords ne savent que faire de leur argent."")","('#la-ramee', ""J'espère qu'après que vous l'aurez vue, vous avouerez comme moi que les cent mille livres qu'elle vous apporte en mariage, sont moins à estimer que sa beauté."")",1.25,Substitution
370,"('#angelique', 'Ah !  Juste ciel, que je suis malheureuse.')","('#madame-thibaut', 'Ah, Ciel !')",0.42,Substitution
371,,"('#gabrillon', 'Quel contretemps !')",1.0,Deletion
372,,"('#la-ramee', ""Prenez la poste dès qu'on vous aura rendu ma lettre, et comptez que quelque diligence que vous fassiez, vous aurez peine à satisfaire l'impatience de ceux qui vous attendent. Votre affectionné père, Le Marquis de Cléante."")",1.0,Deletion
373,,"('#la-ramee', 'Madame, quel coup de foudre !')",1.0,Deletion
374,,"('#champagne', ""Cela rompt vos mesures ; mais, il faut suivre l'ordre."")",1.0,Deletion
375,,"('#madame-thibaut', ""Hé bien, Cléante, qu'allez-vous faire ?"")",1.0,Deletion
376,,"('#la-ramee', ""Renvoyer cet homme à mon père, Madame, lui promettre tout, et revenir sur mes pas ; me mettre, si vous voulez, hors d'état de faire ce qu'on veut de moi."")",1.0,Deletion
377,"('#dorimene', ""Quand nous aurons épuisé l'Angleterre, nous passerons en Hollande.  Il y a de bonnes bourses en ce pays-là."")","('#madame-thibaut', ""C'en est fait, Gabrillon, toutes nos précautions vont peut-être devenir inutiles."")",1.42,Substitution
378,"('#lisette', 'Assurément ; et si vous ruinez la Hollande, je vous conseille de ne pas aller plus loin, Madame, et de regagner Paris au plus vite.')","('#gabrillon', ""Diantre soit du maudit Courier.  Si j'avais su cela, je me serais bien gardée de le faire entrer.  Mais, voici votre nouvel appui du Palais."")",1.48,Substitution
379,,"('#eraste', 'Bonjour, ma chère Madame Thibaut.')",1.0,Deletion
380,,"('#madame-thibaut', 'Hé, comme vous voilà bâti, quelle métamorphose !')",1.0,Deletion
381,,"('#eraste', ""Est-ce que tu ne trouves pas que j'aie bon air en manteau."")",1.0,Deletion
382,,"('#madame-thibaut', ""Ma foi non.  Vous êtes trop sérieux, et je trouve qu'un plumet était mieux votre fait qu'un rabat."")",1.0,Deletion
383,"('#dorimene', ""Moi, je n'y remettrai les pieds de ma vie, que le lansquenet n'y soit rétabli."")","('#eraste', ""Je n'y renonce pas tout à fait, et je le reprendrai quelquefois."")",0.67,Substitution
384,"('#lisette', 'Voilà Madame_la_Comtesse qui fera le voyage avec vous, si vous voulez.')","('#madame-thibaut', ""Pourquoi donc vous défaire de vos nippes ?  Que voulez-vous que je fasse de ces deux écharpes, que votre laquais m'a apportées ce matin ?"")",1.38,Substitution
385,,"('#eraste', ""Je veux les vendre ou les troquer.  J'ai besoin d'une belle toilette, et je prétends que mes écharpes m'indemnisent de cette dépense."")",1.0,Deletion
386,,"('#madame-thibaut', ""Vous vous sentez déjà des mauvaises impressions de l'habit bourgeois.  Vous devenez ménager."")",1.0,Deletion
387,"('#la-comtesse', ""Bonjour, ma chère.  Qu'est-ce que c'est donc que ceci ?  Où est tout notre monde aujourd'hui ?  Quels paresseux !  Le chevalier n'est point encore venu ?  Où est Monsieur l'abbé, ma mignonne ?  Et le petit caissier, je ne le vois point.  Il faut que la marquise soit malade, puisqu'elle n'est point arrivée la première."")","('#eraste', ""Je m'en avise un peu tard, ma pauvre Madame Thibaut, et ma foi, ce n'est qu'à mon corps défendant ; mais, j'ai fait tant de dépenses, que sans le bien de ma vieille tante, je me trouverais aujourd'hui fort embarrassé."")",0.54,Substitution
388,,"('#madame-thibaut', ""C'est elle qui vous marie, apparemment ?"")",1.0,Deletion
389,,"('#eraste', ""Tu l'as deviné ?"")",1.0,Deletion
390,"('#lisette', ""Diantre soit de l'extravagante !"")","('#madame-thibaut', 'Mais, je vous trouve bien hardi de prendre une femme sans me consulter ?')",1.59,Substitution
391,,"('#eraste', ""Sans ma Tante, je n'en aurais pris une que de ta main."")",1.0,Deletion
392,,"('#madame-thibaut', 'Quand épousez-vous ?')",1.0,Deletion
393,,"('#eraste', 'Dès demain.')",1.0,Deletion
394,,"('#madame-thibaut', 'Et vous ne tremblez pas ?')",1.0,Deletion
395,,"('#eraste', ""Pourquoi trembler ?  C'est une veuve des plus modestes ; et la conduite que tout le monde sait qu'elle a eue avec son premier mari, m'est caution de celle qu'elle aura avec moi."")",1.0,Deletion
396,,"('#madame-thibaut', 'Voilà de fort bons préjugés.')",1.0,Deletion
397,,"('#eraste', 'Songe donc à mes écharpes ?')",1.0,Deletion
398,,"('#madame-thibaut', ""Pour vos écharpes, j'en attends réponse ; je les ai envoyées chez une Provinciale qui s'en accommodera, je pense.  Je ne sais quelle inclination elle a pour ces sortes de nippes ; mais elle achète plus d'écharpes et de noeuds d'épée, que de coiffes et d'éventails."")",1.0,Deletion
399,,"('#gabrillon', ""Madame, voilà ces deux écharpes qu'on renvoie, Madame_la_Baronne n'en achète plus.  Elle s'est jetée depuis quelques jours dans le goût des petits collets."")",1.0,Deletion
400,"('#la-comtesse', ""Allons donc, des tables, des cartes.  Quel abandonnement !  Il n'y a encore rien de préparé."")","('#madame-thibaut', 'Nous ne lui vendrons donc plus que de la batiste ?')",1.47,Substitution
401,,"('#eraste', 'Comment ferons-nous pour la toilette ?')",1.0,Deletion
402,,"('#madame-thibaut', ""Si nous trouvions moyen d'en faire une de ces deux écharpes : déploie un peu cela, Gabrillon."")",1.0,Deletion
403,,"('#eraste', 'Comment ?')",1.0,Deletion
404,,"('#madame-thibaut', ""Attendez, j'ai là-dedans une étoffe d'or qui vient parfaitement avec ce point d'Espagne ; je vais la chercher."")",1.0,Deletion
405,,"('#gabrillon', ""Madame est une femme qui s'entend à tout."")",1.0,Deletion
406,"('#dorimene', 'Eh !  Madame quel contre-temps de plaisanterie !')","('#eraste', 'Elle a des talents admirables.')",1.32,Substitution
407,"('#la-comtesse', ""Je ne vins point hier, mais vous n'avez point de reproche à me faire, je ne sortis pas de la journée je m'étais purgée par précaution, et je ne voulais voir personne."")","('#gabrillon', ""Vous le savez par expérience.  Mais quelqu'un monte ici, et Madame n'y veut pas être ; il faut que j'aille dire qu'elle est sortie."")",0.47,Substitution
408,,"('#eraste', ""Je suis le plus trompé du monde, si ce n'est ma Maîtresse avec un jeune homme.  Que vient-elle faire ici.  Voici un endroit propre pour me cacher, je ne tarderai pas à en être éclairci."")",1.0,Deletion
409,,"('#gabrillon', ""Mais, Madame, ma Maîtresse n'y est pas, vous dis-je."")",1.0,Deletion
410,,"('#araminte', ""Tu te moques de moi, ma bonne ; si elle n-y est pas, elle reviendra, et nous avons tout le loisir de l'attendre."")",1.0,Deletion
411,,"('#eraste', ""Je ne me trompais pas, c'est elle-même."")",1.0,Deletion
412,,"('#gabrillon', 'Puisque vous voulez attendre, je vais le dire à la Maîtresse.')",1.0,Deletion
413,,"('#araminte', ""Nous ne la tiendrons guères : dis-lui seulement qu'une Dame lui veut parler.  Si je vous avais cru, Chevalier, il m'aurait fallu attendre seule, et vous seriez demeuré dans le carrosse."")",1.0,Deletion
414,,"('#le-chevalier', 'Ces sortes de femmes connaissent toute la terre : sait-on ce qui peut arriver ?')",1.0,Deletion
