,biancolelli-ecole-galante,biancollelli-arlequin-gentilhomme,Cost,Operation Type
78,"('#leandre', ""Inutiles efforts pour soumettre mon âme, Aux tyranniques lois d'une volage femme ! Et qui par un esprit, faible, capricieux, Reçoit tous les objets qui lui frappent les yeux. De ce sexe enchanteur l'approche est trop fatale : Une femme est toujours d'une humeur inégale, Aujourd'hui ses transports font des plus violents, On la trouve demain au milieu des galants, Affectant d'imiter les airs d'une coquette Badiner avec eux, répondre à la fleurette, Et pour donner du lustre à ses trompeurs appas Inspirer une ardeur qu'elle ne ressent pas. "")","('#colombine', ""Vous êtes trop goulu, comment vous contenter,  Je vous répondrai bien s'il ne tient qu'à chanter.  Elle chante sur le même air.  Ces mets si délicats  Sont-ils votre usage ?  Un si grand avantage  À tous ne convient pas  Car je veux des ducats. "")",0.48,Substitution
79,"('#arlequin', ""Messieurs mes écoliers quel nouveau soin vous presse ? Venez-vous dans ces lieux chercher quelque Maîtresse ? Vous étés faits d'un air à ne pas en manquer, Et je vous crois tous deux d'âge à prévariquer ; Du temps que vous étiez sujets à ma férule J'étais, vous le savez, d'une humeur ridicule, Je vous interdisais les plaisirs amoureux ; Mais pour lors vous n'étiez que des petits morveux : Je crois que maintenant une telle défense, Ne ferait qu'augmenter votre concupiscence, Et je puis affirmer, sans passer pour menteur, Que vous en savez plus que vôtre précepteur."")","('#pierrot', ""Les mets que vous voulez  Me servent de pâture  Je ne mange autre chose,  Et quoique j'en sois saoul  Vous n'en tâterez pas.  Savez-vous mon ami que c'est là notre femme,  Et que Monsieur Pierrot est d'une humeur jalouse,  . . . . . . . . . . . . . . Si vous voulez loger dans notre cabaret.  Entrez-y vous aurez du vin blanc ou clairet,  Tel que vous le voudrez, mais laissez là ma femme.  À Mezzetin il dit."")",0.11,Substitution
80,,"('#colombine', 'Mon fils point de courroux. ')",1.0,Deletion
81,"('#octave', ""Je fais ce que je puis pour convaincre Léandre ; Mais à tous mes discours il ne veut rien comprendre, Et persistant toujours dans sa frivole erreur, Du plus charmant plaisir il conçoit de l'horreur ? Pour lui le mot d'amour est un obscur langage, Et je ne vis jamais un garçon si sauvage."")","('#pierrot', ""Voyez la bonne lame  Tu voudrais sans savoir ni comment ni pourquoi,  Servir à ce Monsieur le même plat qu'à moi,  Il serait bientôt las d'un semblable ordinaire. "")",0.71,Substitution
82,,"('#mezzetin', 'Un air libre et badin pourrait-il vous déplaire ?  Ah ! De grâce excusez. ')",1.0,Deletion
83,,"('#pierrot', ""Allez, boutez dessus,  Je veux tout oublier mais n'y revenez plus. "")",1.0,Deletion
84,,"('#mezzetin', 'Pierrot es-tu fâché contre ta Colombine ?  Mon petit cupidon fais-moi meilleure mine. ')",1.0,Deletion
85,"('#leandre', ""Je ne sais ce que c'est : pour tout indifférent  J'avouerai qu'en amour je suis fort ignorant."")",,1.0,Insertion
86,"('#arlequin', ""Je veux par mes leçons le rendre plus habile : Laissez-le moi, dans peu vous le verrez docile ; Je consens de tout perdre, et de passer pour fou, S'il n'est dans quelque temps plus tendre qu'un matou."")","('#pierrot', 'Je suis pris par mon faible, allons mets-là ta main,  Il le faut avouer je suis un bon humain. ')",0.4,Substitution
87,"('#octave', ""Ami, pour un moment d'ici je me retire ; Le Seigneur Arlequin aura soin de t'instruire, Malgré ta fermeté, bien-tôt sur ton esprit Ses savantes leçons auront quelque crédit."")","('#colombine', ""Adieu mon cher Pierrot, je suis votre servante.  Elle s'en va."")",1.46,Substitution
88,,"('#mezzetin', ""L'époux est un magot et la femme est charmante. "")",1.0,Deletion
89,"('#arlequin', ""Ici nous sommes seuls, rien ne nous importune. Se peut-il, qu'insensible à la Blonde, à la Brune, Dans cette inaction tu passes tes beaux ans ? Tu devrais, cher Léandre, employer mieux le temps. Un garçon sans maîtresse est un vaisseau sans rame, Une Ville sans porte, enfin un corps sans âme, Un canon sans affût, c'est un fleuve sans eau, Palais sans fondement, et lame sans fourreau, Tu n'aimes rien, dis-tu, fi donc c'est vivre en bête, Tu peux facilement faire quelque conquête : La beauté la plus fière en l'écoutant parler, D'elle-même aussi-tôt viendra capituler. Tout aime dans le monde, et c'est pure folie, De narguer les appas d'une femme jolie, Les plus braves héros sensibles à leur tour, Ont sans peine accordé Bellone avec l'amour. Ce Dieu dans tous les coeurs s'insinue, et se glisse, Titus malgré son deuil aima sa Bérénice. Hercule d'un beau feu fut contraint de brûler Et pour la Reine Omphale il voulut bien filer. À des désirs ardents peut-on mettre des bornes ? Pour Europe Jupin voulut prendre des cornes. Il n'est point d'animal qui n'aime tendrement : Le singe la guenon, le cheval la jument, Le coq aime la poule, et l'âne son ânesse, Le gros taureau soupire, et mugit de tendresse, La chaste tourterelle aime son tourtereau, Et la belle perdrix brûle pour son perdreau. Le lion plein de feu rugit pour sa lionne, Et le goujon frétille auprès de sa goujonne, La Chatte en miaulant appelle le matou, Et la sombre chouette est folle du hibou. Toujours le bécasseau vole après la bécasse, Pour l'aimable crapaud la grenouille coasse, Dans l'Empire des flots les Poissons amoureux Malgré l'humidité brûlent des plus beaux feux. Un carpeau suit de près une carpe fidèle ; Et le maquereau vert pourchasse sa femelle, Tant d'exemples tracés ne suffiront-ils pas Pour te déterminer à marcher sur leurs pas ?"")","('#pierrot', 'Voyez-vous devant moi comme elle file doux,  Dame je me fais craindre, allons entrez chez nous ? ')",0.65,Substitution
90,"('#leandre', ""Pour me persuader à fuir l'indifférence, Vous employez en vain toute vôtre éloquence : J'ignore le secret de triompher d'un coeur, Daignez donc m'éclaircir, Monsieur mon précepteur : Lorsque vous m'aurez dit comment je dois m'y prendre, Peut être malgré moi chercherai-je à me rendre, Si vous m'instruisez bien je saurai galamment Pratiquer vos leçons prés d'un objet charmant."")","('#arlequin', ""C'en est fait, j'ai vaincu rien n'égale ma joie,  Je suis avec honneur chargé de cette proie,  Et malgré tous les soins des zélés marmitons,  Je triomphe aujourd'hui d'un plat de macarons  Dans ce lieu retiré j'aurai du moins la gloire,  De jouir en repos du fruit de ma victoire,  Aucun écornifleur ne viendra m'y troubler,  Et de ces macarons je pourrai me saouler.  Ils sont délicieux, ce beurre et ce fromage  Les rendent savoureux on ne peut davantage.  Mais qui peut interrompre ici mon appétit,  Quelqu'un vient, ô malheur, cachons-nous sous le lit.  Il se met à terre et commence à manger les macarons d'une manière toute comique. Il les mange avec précipitation et fait des lazzis tous plaisants. Il prend son plat et va se mettre sous le lit, où il mange toujours."")",0.51,Substitution
91,"('#arlequin', ""Pour soumettre à tes lois une beauté charmante. Suis avec un grand soin ma maxime savante. Sitôt que tu verras une belle au balcon, Campe-toi tout d'abord... là... de cette façon. Fais-lui la révérence, et d'un oeil plein de flamme Pour la mieux amorcer regarde cette Dame. Qu'un soupir amoureux s'échappe de ton coeur, Mord ton gant, affectant une douce langueur, Exprime en mots pompeux ta nouvelle tendresse, Et la belle aussi-tôt, fût-elle une Lucrèce, Lors qu'en termes choisis tu conteras tes feux Ne refusera point de répondre à tes Voeux. Dis-lui qu'en la voyant, trop sensible à ses charmes, Tu n'as pu t'empêcher de leur rendre les armes. Que jusques au tombeau tu veux être constant, Et qu'enfin tu serais parfaitement content Si d'un objet si beau tu faisais la conquête. Après un grand discours demande un tête à tête, Tu verras que sans peine elle t'accordera Tête à tête, baisers, peut être.... Et cetera. Arlequin fait tout ce qu'il dit ci-dessus, d'une manière toute comique."")","('#isabelle', ""Avec empressement j'attends mon cher Léandre,  En ce lieu chaque jour il a soin de se rendre,  L'amour qui nous permet des entretiens si doux  Nous marque également l'heure du rendez-vous  Et son exactitude à voir l'objet qu'il aime,  M'assure des transports de son ardeur extrême,  Mais je crois de l'entendre. "")",0.16,Substitution
92,"('#leandre', ""Je vois qu'il faut céder, et qu'à vôtre éloquence On ne peut opposer qu'une vaine défense ; Je vais tout de ce pas en fidèle écolier Suivre vôtre leçon, et la bien essayer. Il s'en va."")",,1.0,Insertion
93,"('#arlequin', 'Moi, je vais sur le champ avertir le Notaire De se rendre chez moi pour finir mon affaire. ')","('#arlequin', ""Hélas c'est grand hasard  Si de mes macarons il ne prétend sa part. "")",1.16,Substitution
94,"('#octave', ""C'est vivre trop longtemps loin de l'objet aimé ; Rien ne doit arrêter un coeur bien enflammé. Lorsque je ne vois point la charmante Spinette Mes sens sont agitez, mon âme est inquiète Cette jeune beauté fixe tous mes désirs, Loin d'elle je ne puis goûter de vrais plaisirs, J'aime son air naïf, sa manière innocente, Et sa simplicité me ravit, et m'enchante : Que dis-tu de mon choix ?"")","('#leandre', ""Guidé par mes soupirs je vous revois, Madame,  Vous ne pouvez douter de l'excès de ma flamme,  Trop heureux si l'amour qui me force à venir,  Voulait auprès de vous toujours me retenir :  Mais quand ce Dieu répond au beau feu qui me presse,  Hélas ! Que ces moments coulent avec vitesse,  À peine je me livre à ma félicité  Qu'il faut quitter d'abord un bien si souhaité. "")",0.0,Match
95,,"('#arlequin', ""Je ne quitterai pas mon plat de cette sorte,  Et je mangerai tout ou le Diable m'emporte. "")",1.0,Deletion
96,"('#scaramouche', ""À parler franchement, C'est un vilain métier que celui d'un Amant : Vous passez sans dormir les nuits les plus tranquilles, Vous êtes comme un Chat qui rode sur les tuiles, Pour moi je ne sais pas quel plaisir vous trouvez ! Vos draps depuis deux mois n'ont pas été lavez Est ce pour épargner les frais du blanchissage Que vous dormez si peu ? quel Diable de ménage ! Aussi vous devenez maigre comme un anchois, Et vous avez morbleu le plus fichu minois ! J'enrage ; car il faut aussi par complaisance, Que je veille avec vous sans me farcir la panse. Moi qui toute ma vie ai bien mangé, bien bu, Ma foi, je n'ai jamais été si mal repu. Aussi, je m'aperçois que ma graisse est fondue, Je deviens tous les jours plus sec qu'une morue, À peine suis-je à table, aussitôt vous criez Scaramouche... d'abord il faut lever les pieds. Tu mangeras tantôt, va porter cette lettre À Spinette, à présent elle est à sa fenêtre, Et tu la lui rendras sans qu'on puisse te voir ; Cet ordre rigoureux me met au désespoir La nuit lorsque je crois reposer à mon aise, Scaramouche ! Viens-t'en me mettre sur la chaise, Pendant toute la nuit voilà quel est le train, Cela dure souvent jusques au lendemain ; Je crois que vous rendez votre amour par derrière Et vous m'empoisonnez avec vôtre matière."")","('#isabelle', ""Mon tendre coeur soumis à l'empire amoureux  Également blessé brûle des plus beaux feux  Qu'il m'est doux de porter une si belle chaîne,  Et de m'abandonner au penchant qui m'entraîne  Mon père me destine en vain un autre époux,  Je ne veux pour mari qu'un amant tel que vous. "")",0.64,Substitution
97,"('#octave', 'Veux-tu bien terminer de si fades discours Sans rime, et sans raison tu plaisantes toujours.')","('#leandre', ""Mon bonheur est parfait et cet aveu m'enchante  Que dans ces sentiments votre âme soit constante,  N'admettons d'autres lois que celles de l'amour,  Et livrons-lui nos coeurs pour honorer sa cour.  Ah ! Si pour posséder un bien si plein de charmes  Un rival téméraire en vous rendant les armes,  Prétendait me ravir ce que j'aime le mieux  Il serait accablé sous mes coups furieux. "")",1.27,Substitution
98,"('#scaramouche', ""Le vilain loup-garou qui n'aime pas la joie !"")",,1.0,Insertion
99,"('#octave', 'Cours appeler Spinette il faut que je la voie.')",,1.0,Insertion
100,"('#scaramouche', ""Oui, mais si le docteur était dans la maison Il me régalerait de cent coups de bâton : Le drôle quand il bat n'y va pas de main morte, Je le sais."")","('#arlequin', ""Ciel ! Il parle de moi, que faut-il que je fasse ?  Morbleu qu'il vient de faire une laide grimace,  Sans doute on préparait pour lui ces macarons,  Je dois craindre pour moi de toutes les façons ;  Mais il a beau crier, car enfin pour les rendre  Il faut les digérer, il peut encore attendre. "")",0.92,Substitution
101,,"('#le-docteur', 'Isabelle. ')",1.0,Deletion
102,"('#octave', 'Ne crains rien, va frapper à sa porte.')","('#isabelle', ""J'entends mon père, cachez-vous. "")",1.27,Substitution
103,"('#scaramouche', ""Allons je le veux bien, et si je suis battu Je vous rendrai ma foi ce que j'aurai reçu."")",,1.0,Insertion
104,"('#octave', 'Finiras-tu maraud ?')",,1.0,Insertion
105,"('#scaramouche', ""Qu'il a l'humeur farouche ! Hola ! Quelqu'un, c'est moi ? Il frappe."")",,1.0,Insertion
106,"('#spinette', 'Que veux-tu Scaramouche ?')",,1.0,Insertion
107,"('#scaramouche', 'Madame en vérité... pour moi je ne veux rien,')",,1.0,Insertion
108,"('#spinette', 'Adieu donc.')","('#leandre', 'Où ? ')",0.0,Match
109,,"('#isabelle', 'Derrière le lit. ')",1.0,Deletion
110,,"('#arlequin', ""Ne venez pas dessous,  Car nous n'y serions pas tous deux fort à notre aise.  Léandre se cache derrière le lit, Isabelle reste fort alarmée."")",1.0,Deletion
111,,"('#le-docteur', 'Je veux chercher partout. ')",1.0,Deletion
112,"('#scaramouche', 'Serviteur, parlez, Monsieur.')","('#arlequin', 'Ah ! Ne vous en déplaise  Ne cherchez pas ici. ')",1.25,Substitution
113,,"('#le-docteur', 'Peut-être sous le lit  Pourrais-je la trouver. ')",1.0,Deletion
114,"('#octave', ""Hé bien ! Qu'as-tu donc fait ?"")","('#arlequin', ""Que Diable est-ce qu'il dit ? "")",1.29,Substitution
115,"('#scaramouche', ""J'ai vu la charmante Spinette, Qu'elle a l'air engageant ! morbleu qu'elle est bien faite ! Elle m'a demandé pourquoi je l'appelais, Elle a voulu savoir ce que je lui voulais, Et moi j'ai répondu, je ne veux rien Spinette, Aussi-tôt elle a pris la poudre d'escampette. Voilà ce que j'ai fait."")","('#le-docteur', ""À la chercher partout il faut que je m'applique,  Je ne trouve point une épée à l'antique.  Je veux voir sous le lit. "")",1.47,Substitution
116,"('#octave', ""Ah L le joli garçon Et qu'il s'acquitte bien d'une commission. Hola ! Il va frapper à la porte."")","('#arlequin', 'Hélas ! Je suis perdu,  Il va me découvrir.  Le Docteur cherche sous le lit et voit Arlequin.')",1.35,Substitution
117,,"('#le-docteur', ""Juste ciel ! Qu'ai-je vu ?  Il fuit et ferme la porte de la chambre, Léandre quitte sa place et revient. "")",1.0,Deletion
118,,"('#le-docteur', 'Un homme sous le lit ! ')",1.0,Deletion
119,"('#spinette', ""Que veux-tu donc, ah ! c'est vous !"")","('#arlequin', 'Excusez-moi de grâce  Je consens à payer mon écot et ma place. ')",1.06,Substitution
120,"('#octave', 'Oui, ma belle, Vous me voyez ici...')","('#leandre', ""Apprends-moi le sujet qui t'amène en ces lieux,  Voleur ? "")",1.19,Substitution
121,"('#scaramouche', ""Bonjour Mademoiselle, Mon maître n'a pas tort, elle a bien des appas, Le pauvre Scaramouche en ferait ses choux gras."")","('#arlequin', ""Oh ! Ventrebleu vous pourriez parler mieux,  Ce larcin est ma foi le premier de ma vie,  Mais de ces macarons j'avais si fort envie  Que j'ai dans la cuisine avec dextérité  Escroqué ce butin si longtemps souhaité  Je vais me retirer car j'ai la panse pleine  Je vous rendrai e plat n'en soyez pas en peine  Je ne le vendrai point car il n'est point d'argent. "")",0.79,Substitution
122,"('#octave', ""Hé bien puis- je former une douce espérance ? Vôtre coeur ressent-il les tourments de l'absence ? Et quand vous me voyez, goûte-t-il les plaisirs Où doivent se borner ses uniques désirs ?"")","('#leandre', 'Mais quel est ton emploi ? ')",1.17,Substitution
123,"('#spinette', ""Douteriez-vous encor de mon ardeur parfaite ? Quoi, vous ne croyez pas d'être aimé de Spinette ? Que je suis malheureuse ; après ce que j'ai fait, Vous êtes trop jaloux."")","('#arlequin', ""D'être fort indigent,  J'ai longtemps parcouru les états de la vie,  Et depuis ce matin j'ai pris la fantaisie  De choisir parmi tous celui de crocheteur,  Je me suis introduit chez Monsieur le Docteur,  Après avoir volé ce plat dans sa cuisine,  Pour assouvir la faim qui rongeait ma poitrine  Je me suis confiné dans cet appartement,  J'y mangeais en repos et fort gloutonnement,  Quand cette Demoiselle en ce lieu s'est rendue  Moi pour me dérober aussitôt à sa vue,  Et me mettre à couvert du tumulte et du bruit,  Je me suis tout tremblant retiré sous le lit  Vous avez entendu mon histoire tragique  Bien loin de me blâmer plaignez un famélique. "")",0.77,Substitution
124,,"('#isabelle', ""Comment ferons-nous donc mon père ca venir ?  Léandre il n'est pas temps de nous entretenir,  Mais plutôt... "")",1.0,Deletion
125,"('#octave', ""Je le suis en effet : Si je ne vous aimais avec délicatesse, Je ne craindrais pas tant, ma charmante Maîtresse, Ah ! Loin que mes soupçons vous soient injurieux, Ils doivent leur naissance à l'excès de mes feux."")","('#leandre', ""Dissipez cette frayeur extrême  Je viens d'imaginer un plaisant stratagème,  Donne-moi ton habit et tu prendras le mien.  À Arlequin."")",0.66,Substitution
126,,"('#arlequin', ""Fi donc dans mon casaquin ne vous ira pas bien  Il faut pour le porter toute une autre encolure  Vous n'avez d'Arlequin ni gestes ni postures. "")",1.0,Deletion
127,,"('#leandre', 'Dépêchons. ')",1.0,Deletion
128,"('#spinette', ""Par où donc, cher Octave, ai-je pu vous déplaire ? Pour vous tant allarmeR que me voyez-vous faire ? Du matin jusqu'au soir je suis dans la Maison ; Quand vous me soupçonnez vous n'avez pas raison ; A de pareils discours je ne puis rien comprendre. Elle pleure."")","('#arlequin', ""J'y consens pour vous faire plaisir,  Quoique je perde au change, il faut vous obéir.  Ils se déshabillent tous deux, Arlequin met l'habit de Léandre, et Léandre celui d'Arlequin."")",0.9,Substitution
129,,"('#isabelle', 'Pourquoi vous déguiser, apprenez-moi Léandre. ')",1.0,Deletion
130,"('#octave', 'Tu pleures ? ')","('#leandre', 'Cette ruse, Madame, est facile à comprendre.  Va derrière le lit, je veux rester ici.  À Arlequin.')",1.74,Substitution
131,"('#scaramouche', ""Oui, Monsieur ; c'est que j'ai le coeur tendre."")","('#arlequin', 'Ce gentilhomme est fou, moi je le suis aussi. ')",0.81,Substitution
132,,"('#leandre', ""Ici dans un instant le docteur va se rendre  Me voyant cet habit il pourra se méprendre  Ainsi j'éviterai quelque éclaircissement,  Mais il vient, je saurai le tromper aisément. "")",1.0,Deletion
133,"('#octave', 'Daignez sécher les pleurs qui coulent de vos yeux.')","('#le-docteur', ""Secondez, mes amis la fureur qui m'inspire,  Arrêtez ce voleur... Hé bien que vas-tu dire ?  Parle, dans ma maison quel dessein t'a conduit ?  Réponds, pendard, pourquoi te cacher sous le lit ?  Les valets saisissent Léandre."")",1.21,Substitution
134,"('#scaramouche', ""Monsieur, jusqu'à demain nous pleurerons tous deux ; Aussi pour quoi lâcher le robinet des larmes : Que de beaux yeux en pleurs ont d'agréables charmes !"")","('#leandre', ""Je ne suis pas, Monsieur, ce que vous pouvez croire,  Je vais vous raconter en deux mots mon histoire.  Je suis un crocheteur, victime de la faim,  Qu'ici son appétit n'a pas conduit en vain,  Un plat de macarons volés par prévoyance,  A soulagé les maux causés par l'abstinence,  Ici pour les manger je me suis introduit,  Et je me suis caché tout tremblant sous le lit. "")",0.89,Substitution
135,"('#spinette', ""De moi, je le vois bien, vous faites peu de cas, Vous me grondez toujours, et vous ne m'aimez pas."")","('#isabelle', ""Mon père renvoyez ce pauvre misérable,  Ne le punissez point puisqu'il n'est pas coupable. "")",0.96,Substitution
136,,"('#le-docteur', ""Je plains ce malheureux, son sort me fait pitié  Il s'est auprès de nous assez justifié.  Va-t'en je te pardonne, et tu n'as rien à craindre,  Tu dis la vérité.  À Léandre."")",1.0,Deletion
137,,"('#leandre', ""J'ignore l'art de feindre. "")",1.0,Deletion
138,,"('#le-docteur', 'Outre les macarons que tu viens de voler  Je veux bien de dix sols encore te régaler. ')",1.0,Deletion
139,"('#octave', ""Pardonnez-moi Spinette, et croyez que mon âme Saura brûler pour vous d'une éternelle flamme, Belle, vous me voyez soumis à vos genoux..."")","('#leandre', ""L'honneur de vous servir est le bien où j'aspire. "")",0.9,Substitution
140,,"('#le-docteur', 'Adieu mon pauvre enfant. ')",1.0,Deletion
141,"('#spinette', 'Dites moi donc, Monsieur quand nous marierons-nous ? Mon père est bien méchant, vous aurez de la peine À gagner son esprit.')","('#leandre', ""Monsieur je me retire. Léandre s'en va et les valets rentrent."")",1.69,Substitution
142,"('#octave', ""Non, vôtre crainte est vaine, Il faudra qu'il consente, et je suis assuré..."")","('#isabelle', 'Au gré de mes souhaits la fourbe a réussi. ')",0.96,Substitution
143,,"('#arlequin', 'Oui mais pour mon malheur je suis encore ici. ')",1.0,Deletion
144,,"('#le-docteur', ""Qu'entends-je ? Que dit-on ? "")",1.0,Deletion
145,,"('#isabelle', ""Rien mon père... Ah le traître !  S'il dit encore un mot il fera tout connaître.  Arlequin éternue fort."")",1.0,Deletion
146,,"('#le-docteur', 'Je ne me trompe pas et quelque autre est ici. ')",1.0,Deletion
147,"('#scaramouche', ""Ah ! Que je serai beau quand j'aurai bien pleuré !"")","('#isabelle', 'Que je suis malheureuse ! ')",0.57,Substitution
148,,"('#le-docteur', 'Examinons ceci.  Il cherche, va derrière le lit, et trouve Arlequin habillé proprement.')",1.0,Deletion
149,,"('#isabelle', 'Tout va se découvrir la chose est certaine. ')",1.0,Deletion
150,"('#spinette', ""Vous m'avez tant de fois promis des sérénades, Quand m'en donnerez-vous ? j'aime fort les aubades."")","('#le-docteur', ""Dans ma maison, Monsieur, quel sujet vous amène ?  Holà, valets à moi, saisissez ce voleur.  Les valets viennent, se saisissent d'Arlequin qui se met à genoux devant le Docteur."")",1.24,Substitution
151,"('#octave', 'Ce soir.')","('#arlequin', ""Ah, Monsieur, je ne suis qu'un pauvre crocheteur. "")",1.85,Substitution
152,"('#spinette', ""N'y manquez pas, les filles du quartier Ont toutes ce plaisir, et je dois l'envier, J'aime les instruments on ne peut davantage."")","('#le-docteur', 'Chansons, cet habit-là me fait croire autre chose.  Que veut dire ceci ?  À Isabelle.')",1.42,Substitution
153,,"('#isabelle', ""Je n'en suis point la cause  Mon père, et je ne sais... "")",1.0,Deletion
154,,"('#le-docteur', 'Je veux être éclairci. ')",1.0,Deletion
155,"('#scaramouche', ""C'est assez là le goût des filles de vôtre âge."")","('#arlequin', ""Par charité souffrez que je sorte d'ici,  Un fâcheux cours de ventre, en certain lieu m'appelle,  Et m'ordonne, Monsieur, de pousser une selle. "")",1.7,Substitution
156,"('#octave', ""Votre père n'est pas à présent au Logis. Entrons-y."")","('#le-docteur', 'Vous ne sortirez pas. ')",1.24,Substitution
157,"('#spinette', ""Mais par lui si vous étiez surpris, Il me maltraiterait d'une étrange manière."")","('#arlequin', ""Pourquoi m'en empêcher ? "")",1.19,Substitution
158,,"('#le-docteur', ""J'en sais bien la raison. "")",1.0,Deletion
159,,"('#arlequin', 'Je vais donc tout lâcher. ')",1.0,Deletion
160,"('#octave', ""Entrons sans différer, ne craignez rien ma chère ; Scaramouche aura soin de l'écarter d'ici : Entends-tu ? Ils entrent."")","('#isabelle', ""Que dis-tu, maraud, pour te tirer d'affaire ? "")",1.11,Substitution
161,,"('#arlequin', ""Cela m'est échappé, je n'y saurais que faire. "")",1.0,Deletion
162,,"('#le-docteur', 'Fouillez-le promptement. ')",1.0,Deletion
163,"('#scaramouche', ""Peste soit de l'amoureux transi : Cet emploi m'est à charge, et ne me convient guère, Tout franc je suis bien las d'un pareil ministère, Moi qui jamais n'ai craint en amour de rivaux, Aujourd'hui l'on m'emploie à garder les manteaux : Mais voici le Docteur. "")","('#arlequin', 'Vous ne trouverez rien,  Je suis un crocheteur sans honneur et sans bien.  Les valets le fouillent, et trouve une lettre. ')",0.91,Substitution
164,,"('#le-docteur', 'Donnez-moi cette lettre. ')",1.0,Deletion
165,"('#le-docteur', ""Non, je n'y puis suffire : C'est souffrir trop longtemps un rigoureux martyre : Quoi, je ne puis jouir d'un moment de repos ! Le moyen d'écouter tant de fades propos ; L'un me vient aborder, un inconnu m'embrasse, Et cet autre me tient des discours à la glace : Comment vous portez-vous ; que dit-on de nouveau, Pour aller prendre l'air le temps est assez beau. L'un parle de sa voix, et l'autre de sa danse ; Celui-ci prend le soin de vanter ma science : De pareils entretiens ne me conviennent pas, Peste des importuns, j'en trouve à chaque pas : Horace avait raison d'en craindre la poursuite, Et de fuir avec soin cette race maudite ; Et le plus sûr moyen de fuir tous ces fâcheux, C'est d'entrer au Logis, et de m'éloigner d'eux. "")","('#arlequin', 'Hélas quel soin vous presse ?  Vieillard trop curieux. ')",0.74,Substitution
166,"('#octave', ""Hé bien puis-je sortir, et n'ai-je rien à craindre ?"")","('#le-docteur', ""Je prétends voir l'adresse.  À Géronte... voyons ce que peut contenir... Il lit l'adresse."")",1.61,Substitution
167,"('#scaramouche', ""Le Docteur est bien loin, et j'ai su le contraindre A partir de ces lieux en le chargeant de coups, De peur qu'il ne revienne, allons, retirez-vous."")","('#arlequin', 'Ma foi je ne puis plus, Monsieur, me retenir. ')",0.86,Substitution
168,"('#argentine', ""Que l'état d'une fille est triste et déplorable ! Lors qu'en proie aux rigueurs du destin qui l'accable, Elle doit obéir, et que son coeur gêné, À fuir un doux penchant est enfin condamné. Non, je ne puis subir cette loi tyrannique."")","('#le-docteur', ""Le porteur de la présente, est mon fils Léandre, qui se rend à Lyon pour avoir l'honneur de donner la main à la charmante Léonore ; j'espère que vous en serez satisfait, et que vous ne différerez point de conclure un mariage que je souhaite avec tant d'empressement.  Je suis, en attendant de vos nouvelles,  Votre très affectionné serviteur et ami, DAMON. "")",1.2,Substitution
169,,"('#arlequin', ""Ne me refusez pas le secours que j'implore. "")",1.0,Deletion
170,,"('#le-docteur', 'Vous venez pour donner la main à Léonore,  Et je vous trouve ici caché derrière un lit. ')",1.0,Deletion
171,,"('#arlequin', ""J'avais sur mon honneur un terrible appétit,  Ces macarons exquis m'ont bien bourré la panse. "")",1.0,Deletion
172,,"('#le-docteur', 'Cette affaire est pour moi de grande conséquence,  Vous deviez un peu mieux connaître le Docteur  Je suis homme de bien. ')",1.0,Deletion
173,,"('#arlequin', 'Moi je suis crocheteur. ')",1.0,Deletion
174,"('#leandre', ""Il faut pour m'égayer que je mette en pratique  La leçon qu'Arlequin m'a tracée en ces lieux. Que vois-je ! Quel objet se présente à mes yeux ! Je vais, comme il m'a dit, me camper devant elle D'un air de petit Maître, et sourire à la belle. Bon, j'en fuis aperçu, tout va bien jusqu'ici ; Jouons de la prunelle en amoureux transi, Lançons-lui tendrement une oeillade engageante, Pour la faire bien-tôt répondre à mon attente : Ce soupir plein de feu va la déterminer ; J'ai commencé l'ouvrage, il faut le terminer : Je dois mordre mon gant ; elle se met à rire, Je crois que j'obtiendrai tout ce que je désire. Madame, permettez que ma naissante ardeur Éclate, et que le feu qui dévore mon coeur Se découvre à vos yeux, puis qu'eux seuls l'ont fait naître. Il est trop violent pour craindre de paraître, Et jusques au tombeau je prétends vous aimer, Ma belle à vôtre tour laissez-vous enflammer ; Et pour prix de l'ardeur qui prés de vous m'arrête, J'ose vous demander en grâce un tête à tête. Qui ne dit mot consent ; elle l'accordera, Et je suis déjà sûr d'avoir l'et cetera. Il se campe devant la fenêtre, et se donnant des airs. Il s'approche après avoir fait tout ce qu'il a dit ci-dessus. À part."")","('#le-docteur', ""Il faut pour réparer l'honneur de ma famille,  Que sans plus différer vous épousiez ma fille,  Je veux que devant moi vous lui donniez la main.  Allons disposez-vous...  À Isabelle."")",0.52,Substitution
175,"('#argentine', ""Un tel aveu, Monsieur, a lieu de me confondre ; Vous m'embarrassez fort, je ne sais que répondre ; Cependant je veux bien vous dire ingénument Qu'en cet instant mon coeur goûte un plaisir charmant ; Et comme je voudrais éviter l'esclavage, Pour me soustraire au joug d'un fatal mariage, Où prétend me soumettre un jaloux odieux ; Je braverais pour vous ses transports furieux ; Mais je crains de former une vaine espérance."")","('#isabelle', 'Ah ! Quel ordre inhumain  Que me prescrivez-vous ? Malgré votre colère  Je ne puis sur ce point vous obéir mon père. ')",0.49,Substitution
176,,"('#le-docteur', 'Vous osez résister après un tel affront. ')",1.0,Deletion
