,moliere-precieuses-ridicules,somaize-precieuses-ridicules,Cost,Operation Type
63,"('#cathos', ""Apportez-nous le miroir, ignorante que vous êtes.  Et gardez-vous bien d'en salir la glace, par la communication de votre image. "")","('#cathos', ""Apportez le miroir Pécore, et gardez bien en vous y faisant voir D'en obscurcir la glace, et de lui faire outrage En lui communiquant de trop près votre image."")",0.0,Match
64,"('#mascarille', 'Holà, porteurs, holà.  Là, là, là, là, là, là.  Je pense que ces marauds-là ont dessein de me briser à force de heurter contre les murailles et les pavés. ')","('#mascarille', 'Là, là porteurs, holà, là, là, là, là, holà, Je crois que ces marauds, me veulent briser là À force de heurter, les pavés, la muraille.')",0.0,Match
65,"('#premier-porteur', ""Dame, c'est que la porte est étroite.  Vous avez voulu aussi, que nous soyons entrés jusqu'ici. "")","('#premier-porteur', ""Dame, c'est que la porte est étroite ; d'entrailles. Vous avez commandé, que l'on entrât ici, Nous avons obéi."")",0.0,Match
66,"('#mascarille', ""Je le crois bien.  Voudriez-vous, faquins, que j'exposasse l'embonpoint de mes plumes aux inclémences de la saison pluvieuse ?  Et que j'allasse imprimer mes souliers en boue ?  Allez ôtez votre chaise d'ici. "")","('#mascarille', ""Je le crois bien aussi, Voudriez-vous faquins ? que pour vous j'exposasse Ou mes plumes à l'air, ou bien que je laissasse Perdre leur embonpoint ; et n'ai-je pas raison ? De les en garantir, durant cette saison Pluvieuse, incommode, ou bien que j'imprimasse Mes souliers en la boue. Ah ! De vous je me lasse, Ôtez-moi votre chaise."")",0.0,Match
67,"('#deuxieme-porteur', ""Payez-nous donc, s'il vous plaît, Monsieur. "")","('#deuxieme-porteur', 'Et bien donc, payez-nous ?')",0.69,Substitution
68,"('#mascarille', 'Hem ? ')","('#mascarille', 'Hem ?')",0.0,Match
69,,"('#deuxieme-porteur', 'Je vous dis, Monsieur ?')",1.0,Deletion
70,,"('#mascarille', 'Que me dis-tu ?')",1.0,Deletion
71,"('#deuxieme-porteur', ""Je dis, Monsieur, que vous nous donniez de l'argent, s'il vous plaît. "")","('#deuxieme-porteur', ""Que vous Nous donniez de l'argent."")",0.0,Match
72,"('#mascarille', ""Comment, coquin, demander de l'argent à une personne de ma qualité ?"")","('#mascarille', ""Quelle insolence ? Demander de l'argent, à ceux de ma naissance."")",0.72,Substitution
73,"('#deuxieme-porteur', ""Est-ce ainsi, qu'on paye les pauvres gens ?  Et votre qualité nous donne-t-elle à dîner ? "")","('#deuxieme-porteur', ""N'avez-vous que cela, Monsieur, à nous donner ? Et votre qualité, nous fait-elle dîner ?"")",0.0,Match
74,"('#mascarille', ""Ah, ah, ah, je vous apprendrai à vous connaître !  Ces canailles-là s'osent jouer à moi. "")","('#mascarille', 'Ah ! Je vous apprendrai coquins, à vous connaître, Vous ôtez-vous marauds ? Jouer à votre maître.')",0.24,Substitution
75,"('#premier-porteur', 'Çà, payez-nous vitement .')","('#premier-porteur', 'Ça vite, payez-nous ?')",0.0,Match
76,"('#mascarille', 'Quoi ? ')","('#mascarille', 'Quoi ?')",0.0,Match
77,"('#premier-porteur', ""Je dis, que je veux avoir de l'argent, tout à l'heure. "")","('#premier-porteur', ""Je dis que je veux De l'argent tout à l'heure."")",0.0,Match
78,"('#mascarille', 'Il est raisonnable. ')","('#mascarille', 'On ne peut dire mieux, Il est très raisonnable.')",0.0,Match
79,"('#premier-porteur', 'Vite donc. ')","('#premier-porteur', 'Eh ! Bien vite, vous dis-je !')",1.36,Substitution
80,"('#mascarille', ""Oui-dà.  Tu parles comme il faut, toi ; mais l'autre est un coquin qui ne sait ce qu'il dit.  Tiens es-tu content."")","('#mascarille', ""Tu parles comme il faut, vois là comme on m'oblige Mais l'autre est un coquin qui ne sait ce qu'il dit. Là tiens, es-tu content ?"")",0.0,Match
81,"('#premier-porteur', 'Non, je ne suis pas content, vous avez donné un soufflet à mon camarade, et... ')","('#premier-porteur', ""Nany, j'ai du dépit Et ne saurais souffrir votre rodomontade, Vous avez devant moi battu mon camarade, Et si..."")",1.0,Substitution
82,"('#mascarille', ""Doucement, tiens, voilà pour le soufflet.  On obtient tout de moi, quand on s'y prend de la bonne façon.  Allez, venez me reprendre tantôt, pour aller au Louvre au petit coucher. "")","('#mascarille', ""Doucement, tiens, voilà pour le soufflet ; On obtient tout de moi, je suis comme un poulet. Dès lors que l'on s'y prend, de la bonne manière Je me laisse fléchir, à la moindre prière. Allez vite sortez, et venez me chercher Tantôt, pour aller au Louvre au petit coucher."")",0.0,Match
83,"('#marotte', ""Monsieur, voilà mes maîtresses, qui vont venir tout à l'heure. "")","('#marotte', ""Mes Maîtresses Monsieur, vont venir tout à l'heure."")",0.0,Match
84,"('#mascarille', ""Qu'elles ne se pressent point, je suis ici posté commodément, pour attendre. "")","('#mascarille', 'Je ne suis pas pressé, je vous jure ou je meure : Je suis dedans ce lieu, posté commodément Et je puis à loisir, les attendre aisément.')",0.0,Match
85,"('#marotte', 'Les voici. ')","('#marotte', 'Elles viennent Monsieur.')",0.3,Substitution
86,"('#mascarille', ""Mesdames, vous serez surprises, sans doute de l'audace de ma visite ; mais votre réputation vous attire cette méchante affaire, et le mérite a, pour moi, des charmes si puissants, que je cours, partout, après lui. "")","('#mascarille', ""Mesdames mon audace Pourra vous étonner ; mais cette aimable grâce Que l'on admire en vous, vous cause ce malheur : La réputation qui parle, à votre honneur M'a forcé ce jourd'hui, de vous rendre visite Et pour moi je poursuis en tous lieux le mérite."")",0.0,Match
87,"('#magdelon', ""Si vous poursuivez le mérite, ce n'est pas sur nos terres que vous devez chasser. "")","('#madelon', ""Si vous le poursuivez ce n'est pas dans ces lieux Que vous devez chasser."")",0.0,Match
88,"('#cathos', ""Pour voir chez nous le mérite, il a fallu, que vous l'y ayez amené. "")","('#cathos', ""Pour le voir à nos yeux Il a fallu Monsieur, qu'il vînt sous votre auspice."")",0.26,Substitution
89,"('#mascarille', ""Ah je m'inscris en faux contre vos paroles.  La Renommée accuse juste, en contant ce que vous valez, et vous allez faire pic, repic ; et capot, tout ce qu'il y a de galant dans Paris. "")","('#mascarille', ""Ah ! Je m'inscris en faux contre cette injustice. Le renom parle juste, en contant vos vertus Par là, les plus galants, seront bientôt battus, Vous allez faire pic, repic, et capot même, Tout ce que dans Paris, l'on chérit et l'on aime."")",0.0,Match
90,"('#magdelon', ""Votre complaisance pousse, un peu trop avant, la libéralité de ses louanges, et nous n'avons garde, ma cousine, et moi, de donner de notre sérieux, dans le doux de votre flatterie. "")","('#madelon', ""Nous n'attendions pas moins, d'un homme tel que vous ; Mais votre complaisance est trop grande envers nous. Et vous poussez si loin votre injuste louange Que ma cousine, et moi, pour éviter le change, Nous ne donnerons pas, de notre sérieux Dedans un compliment, qu'on ne peut faire mieux ; Car enfin nous craignons de tomber dans le piège."")",0.0,Match
91,"('#cathos', 'Ma chère, il faudrait faire donner des sièges. ')","('#cathos', 'Mais ma chère, il faudrait faire apporter un siège.')",0.0,Match
92,"('#magdelon', 'Holà, Almanzor.')",,1.0,Insertion
93,"('#almanzor', 'Madame. ')",,1.0,Insertion
94,"('#magdelon', 'Vite, voiturez-nous ici les commodités de la conversation. ')","('#madelon', 'Voiturez-nous ici, vite, petit garçon, Les commodités de la conversation.')",0.0,Match
95,"('#mascarille', 'Mais au moins, y a-t-il sûreté ici pour moi.')","('#mascarille', 'Mais aurai-je du moins, sûreté de personne ?')",0.0,Match
96,"('#cathos', 'Que craignez-vous ? ')","('#cathos', 'Que craignez-vous de nous ? Que rien ne vous étonne.')",0.06,Substitution
97,"('#mascarille', ""Quelque vol de mon coeur, quelque assassinat de ma franchise.  Je vois ici des yeux qui ont la mine d'être de fort mauvais garçons, de faire insulte aux libertés, et de traiter une âme de Turc à More.  Comment diable, d'abord qu'on les approche, ils se mettent sur leur garde meurtrière ?  Ah !  Par ma foi je m'en défie, et je m'en vais gagner au pied, ou je veux caution bourgeoise qu'ils ne me feront point de mal. "")","('#mascarille', ""J'ai tout à redouter, tout me doit faire peur ; Je crains premièrement, quelque vol de mon coeur, Ou quelque assassinat, de ma pauvre franchise Je vois ici des yeux, dont mon âme est surprise Ils ont mine surtout, d'être mauvais garçons De faire insulte aux gens, et les ôter d'arçons. Ravir les libertés, faire qu'on les adore Et même de traiter, un coeur de Turc à More. Comment diable ! D'abord que l'on s'approche d'eux Ils se mettent en garde, ah ! Qu'ils sont dangereux ; Ma foi je m'en défie, et vais prendre la fuite Ou je veux caution de leur bonne conduite."")",0.0,Match
98,"('#magdelon', ""Ma chère, c'est le caractère enjoué. "")","('#madelon', ""Ma chère, ce qu'il dit est tout plein d'enjouement."")",0.0,Match
99,"('#cathos', ""Je vois bien que c'est un Amilcar. "")","('#cathos', ""Il efface Amilcar, tant il a d'agrément."")",0.42,Substitution
100,"('#magdelon', ""Ne craignez rien, nos yeux n'ont point de mauvais desseins, et votre coeur peut dormir en assurance sur leur prud'homie. "")","('#madelon', 'Ne craignez rien, nos yeux sont exempts de malice, Leurs desseins innocents, et sans nul artifice ; Votre coeur peut dormir en toute sûreté Dessus leur prudhommie, et dessus leur bonté.')",0.0,Match
101,"('#cathos', ""Mais de grâce, Monsieur, ne soyez pas inexorable à ce fauteuil qui vous tend les bras, il y a un quart d'heure, contentez un peu l'envie qu'il a de vous embrasser. "")","('#cathos', ""Mais de grâce Monsieur rendez-vous exorable. Aux voeux de ce fauteuil, dont le soin équitable Lui fait ouvrir les bras, contentez son dessein Depuis près d'un quart d'heure, il vous ouvre son sein, Souffrez qu'il vous embrasse."")",0.0,Match
102,"('#mascarille', 'Eh bien, Mesdames, que dites-vous de Paris ? ')","('#mascarille', ""Et bien dites Mesdames, Que vous semble Paris ? Car c'est aux belles âmes D'en porter jugement."")",0.0,Match
103,"('#magdelon', ""Hélas !  Qu'en pourrions-nous dire ?  Il faudrait être l'antipode de la raison, pour ne pas confesser que Paris est le grand bureau des merveilles, le centre du bon goût, du bel esprit et de la galanterie. "")","('#madelon', ""Qu'en dirions-nous hélas Tout le monde est d'accord, qu'il est rempli d'appas, Que c'est le grand Bureau, de toutes les merveilles, Le centre du bon goût, le charme des oreilles, Le plaisir des esprits, le lieu des agréments, Et le refuge enfin, des plus nobles amants."")",0.47,Substitution
104,"('#mascarille', ""Pour moi, je tiens que hors de Paris, il n'y a point de salut, pour les honnêtes gens. "")","('#mascarille', ""Je tiens qu'hors de Paris, pour les hommes illustres, Il n'est point de salut, les campagnes sont rustres."")",0.0,Match
105,"('#cathos', ""C'est une vérité incontestable. "")","('#cathos', 'On ne dispute point de cette vérité.')",1.06,Substitution
106,"('#mascarille', 'Il y fait un peu crotté ; mais nous avons la chaise. ')","('#mascarille', ""Ce qu'il a de fâcheux, c'est qu'il y fait crotté ; Mais nous avons la chaise."")",0.0,Match
107,"('#magdelon', 'Il est vrai que la chaise est un retranchement merveilleux contre les insultes de la boue, et du mauvais temps. ')","('#madelon', ""Il est vrai que la chaise Est un retranchement, où l'on est à son aise, Un propice instrument, pour les honnêtes gens, Un merveilleux abri, contre le mauvais temps."")",0.05,Substitution
108,"('#mascarille', 'Vous recevez beaucoup de visites ?  Quel bel esprit est des vôtres ? ')","('#mascarille', ""Vous recevez beaucoup, et de belles visites ? Car tous les beaux esprits, cherchent les grands mérites ; Mais encor qui sont ceux qu'attirent vos appas, Dites ?"")",0.09,Substitution
109,"('#magdelon', ""Hélas nous ne sommes pas encore connues ; mais nous sommes en passe de l'être, et nous avons une amie particulière, qui nous a promis d'amener ici tous ces Messieurs du Recueil des pièces choisies. "")","('#madelon', ""Hélas ! Monsieur, l'on ne nous connaît pas ; Mais peut-être bien, qu'on nous pourra connaître, Nous sommes en état, de nous faire paraître, Nous avons une amie, et qui nous a promis Qu'elle nous ferait voir, des gens de ses amis, Qui sont dans les recueils des belles poésies, Ces Messieurs, des romans, et des pièces choisies."")",0.0,Match
110,"('#cathos', ""Et certains autres, qu'on nous a nommés aussi pour être les arbitres souverains des belles choses."")","('#cathos', ""Et de certains encor, connus et renommés, (Que comme gens savants elle nous a nommés,) Qui décident aussi, de ces sortes de choses, Et qui savent l'Histoire, et les Métamorphoses."")",0.42,Substitution
111,"('#mascarille', ""C'est moi qui ferai votre affaire mieux que personne, ils me rendent tous visite, et je puis dire que je ne me lève jamais, sans une demi-douzaine de beaux esprits. "")","('#mascarille', ""Je ferai votre affaire, ils me visitent tous Et je puis aisément, les amener chez vous J'en ai tous les matins, une demi-douzaine."")",0.0,Match
112,"('#magdelon', ""Eh !  Mon_Dieu, nous vous serons obligées de la dernière obligation, si vous nous faites cette amitié ; car enfin il faut avoir la connaissance de tous ces Messieurs-là, si l'on veut être du beau monde.  Ce sont ceux qui donnent le branle à la réputation dans Paris, et vous savez qu'il y en a tel, dont il ne faut que la seule fréquentation pour vous donner bruit de connaisseuse, quand il n'y aurait rien autre chose que cela.  Mais pour moi, ce que je considère particulièrement, c'est que par le moyen de ces visites spirituelles, on est instruite de cent choses, qu'il faut savoir de nécessité, et qui sont de l'essence d'un bel esprit.  On apprend par là, chaque jour, les petites nouvelles galantes ; les jolis commerces de prose et de vers.  On sait à point nommé, un tel a composé la plus jolie pièce du monde sur un tel sujet ; une telle a fait des paroles, sur un tel air ; celui-ci a fait un madrigal sur une jouissance ; celui-là a composé des stances sur une infidélité ; Monsieur un tel écrivit hier au soir un sixain à Mademoiselle une telle, dont elle lui a envoyé la réponse, ce matin, sur les huit heures ; un tel auteur a fait un tel dessein ; celui-là en est à la troisième partie de son roman ; cet autre met ses ouvrages sous la presse ; c'est là ce qui vous fait valoir dans les compagnies, et si l'on ignore ces choses, je ne donnerais pas un clou de tout l'esprit qu'on peut avoir. "")","('#madelon', ""Eh ! Mon_Dieu, voudriez-vous, vous donner cette peine ; Nous vous aurons, la dernière obligation, Si vous nous procurez leur conversation ; Car enfin vous savez, que sans leur connaissance, On n'est point du beau monde, et voilà l'importance : D'eux dépend dans Paris, la réputation, Ainsi l'on doit chercher leur fréquentation ; Une femme par là, peut devenir heureuse, Et même s'acquérir, le bruit de connaisseuse  Et j'en connais beaucoup, qui l'ont acquis par là, Quoi que l'on n'y trouvât rien du tout que cela. Et principalement, ce que je considère, Ce qu'à tout autre bien, aisément je préfère, C'est que par ce moyen des choses l'on s'instruit, Qu'il faut qu'on sache enfin pour être bel esprit. Puis l'on sait chaque jour, les petites nouvelles, Tout ce que les galants, écrivent à leurs belles. Les commerces de Prose, aussi bien que de Vers, Tout ce que l'on écrit, sur cent sujets divers. On sait à point nommer, tel a fait une pièce Jolie autant qu'on peut, unique en son espèce, Tout le monde l'estime à cause du sujet Une telle personne a fait un beau portrait. Sur un tel air nouveau, telle a fait des paroles L'Anagramme d'un tel est pleine d'hyperboles. Un tel Auteur Gascon, a fait un madrigal Sur une jouissance. Un tel donne le Bal Cet autre a composé, des Sonnets et des Stances Sur des yeux, sur un teint et sur des inconstances. Un tel hier au soir, écrivit un sizain Pour une Damoiselle ; elle par un dixain Le lendemain matin, en envoya réponse. On poursuit le Roman, de Clélie et d'Aronce. Tel Poète fort illustre, a fait un tel dessein. ........ Un tel fait un Roman, parce que l'on l'en presse. Les ouvrages d'un tel, se mettent sous la presse. C'est là sans contredit, ce que l'on doit savoir Pour se faire connaître, et se faire valoir Dedans les lieux connus ; et j'ose dire encore Que quelque esprit qu'on ait, alors qu'on les ignore Il ne vaut pas un clou."")",0.0,Match
113,"('#cathos', ""En effet, je trouve que c'est renchérir sur le ridicule, qu'une personne se pique d'esprit, et ne sache pas jusqu'au moindre petit quatrain? qui se fait chaque jour? et pour moi, j'aurais toutes les hontes du monde? s'il fallait qu'on vînt à me demander, si j'aurais vu quelque chose de nouveau, que je n'aurais pas vu. "")","('#cathos', ""Je trouve qu'en effet, Sans cela l'on ne peut avoir l'esprit bien fait : Je l'avouerai pour moi, c'est là tout mon scrupule Je crois qu'on enchérit dessus le ridicule De se piquer d'esprit, et de ne savoir pas Jusqu'au moindre quatrain ; pour moi j'en fais amas, Et si l'on me venait, demander quelque chose Que je n'aurais pas vu, soit de vers, soit de prose J'en aurais de la honte."")",0.0,Match
114,"('#mascarille', ""Il est vrai qu'il est honteux de n'avoir pas des premiers tout ce qui se fait ; mais ne vous mettez pas en peine, je veux établir chez vous une Académie de beaux esprits, et je vous promets qu'il ne se fera pas un bout de vers dans Paris que vous ne sachiez par coeur, avant tous les autres.  Pour moi, tel que vous me voyez, je m'en escrime un peu, quand je veux, et vous verrez courir de ma façon, dans les belles Ruelles de Paris, deux cents chansons, autant de sonnets, quatre cents épigrammes et plus de mille madrigaux, sans compter les énigmes et les portraits. "")","('#mascarille', ""On n'estime point ceux Qui n'ont pas des premiers, tous leurs vers amoureux Et même ce qu'on fait, d'une plus longue haleine ; Mais fiez-vous sur moi, n'en soyez point en peine. J'assemblerai chez vous, nombre de beaux esprits. Vos mains de leurs travaux, leurs donneront le prix, Et je veux qu'à Paris, pas un vers ne se fasse Que dans votre mémoire, il n'occupe une place Avant qu'aucun l'ait vu. Tel que vous me voyez Je m'en escrime un peu, je veux que vous sachiez Que vous verrez courir, dans les belles ruelles Plus de deux cents chansons, presque toujours nouvelles, Des Sonnets tout autant, sur de divers sujets, Bien mille Madrigaux, pour différents objets, Et même sans compter plus de cent Élégies Faites, sur des dédains ; sans les Apologies, Énigmes, et Portraits"")",0.0,Match
115,"('#magdelon', 'Je vous avoue que je suis furieusement pour les portraits ; je ne vois rien de si galant, que cela. ')","('#madelon', ""Ah ! Furieusement Je suis pour les portraits ; rien n'est de plus charmant, Ni rien de plus galant."")",0.0,Match
116,"('#mascarille', 'Les portraits sont difficiles, et demandent un esprit profond.  Vous en verrez de ma manière qui ne vous déplairont pas. ')","('#mascarille', 'Ils sont bien difficiles, Ils veulent des esprits profonds, savants, habiles. Vous en verrez de moi, qui ne déplaisent pas.')",0.03,Substitution
117,"('#cathos', ""Pour moi, j'aime terriblement les Énigmes. "")","('#cathos', ""Une Énigme a pour moi, terriblement d'appas."")",0.07,Substitution
118,"('#mascarille', ""Cela exerce l'esprit, et j'en ai fait quatre encore ce matin, que je vous donnerai à deviner. "")","('#mascarille', ""Par là l'esprit s'exerce, et j'en ai tracé quatre Encore ce matin, qu'afin de vous ébattre Vous pourrez deviner."")",0.0,Match
119,"('#magdelon', 'Les madrigaux sont agréables, quand ils sont bien tournés. ')","('#madelon', ""J'aime les Madrigaux, Quand il sont bien tournés, ils sont tout à fait beaux."")",0.0,Match
120,"('#mascarille', ""C'est mon talent particulier, et je travaille à mettre en madrigaux, toute l'histoire romaine. "")","('#mascarille', ""Ah ! C'est là mon talent, et je donne mes peines À mettre en Madrigaux les annales Romaines."")",0.0,Match
121,"('#magdelon', ""Ah, certes, cela sera du dernier beau, j'en retiens un exemplaire, au moins, si vous le faites imprimer. "")","('#madelon', ""Ce dessein est illustre, autant qu'il est nouveau, Cet ouvrage, Monsieur, sera du dernier beau, Et si vous l'imprimez, j'en veux un exemplaire."")",0.0,Match
122,"('#mascarille', 'Je vous en promets à chacune un, et des mieux reliés.  Cela est au-dessous de ma condition ; mais je le fais seulement, pour donner à gagner aux libraires, qui me persécutent.')","('#mascarille', ""Je sais trop mon devoir, pour n'y pas satisfaire, Et je vous en promets au moins à chacune un, Qui seront mieux reliés que tous ceux du commun ; Pour ma condition, c'est un bas exercice Je le fais seulement pour rendre un bon office Au Libraire, importun qui m'en vient accabler Et ce matin encor, m'en est venu parler."")",0.07,Substitution
123,"('#magdelon', ""Je m'imagine que le plaisir est grand de se voir imprimé. "")","('#madelon', ""Le plaisir est bien grand d'être mis sous la presse."")",0.52,Substitution
124,"('#mascarille', 'Sans doute ; mais à propos, il faut que je vous die un impromptu, que je fis hier chez une Duchesse de mes amies que je fus visiter ; car je suis diablement fort sur les impromptus. ')","('#mascarille', ""Sans doute il est bien doux, que notre nom paraisse Et les noms imprimés, ont une autre vertu ; Mais à propos, il faut vous dire un impromptu Que je fis avant-hier, cher certaine Duchesse Que je fus visiter, il est plein de tendresse Tous les plus fiers esprits, s'en verraient combattus Car je suis diablement fort sur les impromptus."")",0.0,Match
125,"('#cathos', ""L'impromptu est justement la pierre de touche de l'esprit. "")","('#cathos', ""L'impromptu justement, est la pierre de touche De l'esprit, il nous plaît, il nous charme, il nous touche."")",0.0,Match
126,"('#mascarille', 'Écoutez donc. ')","('#mascarille', 'Écoutez.')",0.0,Match
127,"('#magdelon', 'Nous y sommes de toutes nos oreilles. ')","('#madelon', ""Ce sera, Monsieur, avec plaisir, Et vous pouvez parler avecque tout loisir, Dans le juste désir d'ouïr tant de merveilles, Nous y sommes déjà de toutes nos oreilles."")",0.29,Substitution
128,"('#mascarille', ""Oh ; Oh, je n'y prenais pas garde, Tandis que, sans songer à mal, je vous regarde,  Votre oeil en tapinois me dérobe mon coeur.  Au voleur, au voleur, au voleur, au voleur."")","('#mascarille', ""Oh, oh, je n'y prenais pas garde, Tandis que sans songer à mal, je vous regarde. Votre oeil en tapinois, me dérobe mon coeur, Au voleur, au voleur, au voleur, au voleur."")",0.0,Match
129,"('#cathos', 'Ah, mon_Dieu !  Voilà qui est poussé dans le dernier galant. ')","('#cathos', 'Ah ! Mon_Dieu, que ces vers ont des attraits puissants, Par leur délicatesse, ils enchantent les sens, Ces vers-là sont poussés sans nulle flatterie Jusques au dernier point de la galanterie.')",0.67,Substitution
130,"('#mascarille', ""Tout ce que je fais a l'air cavalier, cela ne sent point le pédant. "")","('#mascarille', ""Je ne fais rien du tout, qui n'ait l'air cavalier. Je n'ai rien de Pédant encor moins d'Écolier."")",0.0,Match
131,"('#magdelon', 'Il en est éloigné de plus de deux mille lieues. ')","('#cathos', ""Il en est éloigné, tout autant qu'on peut l'être Et vous avez bien l'art, de vous faire paraître."")",1.54,Substitution
132,"('#mascarille', ""Avez-vous remarqué ce commencement, oh, oh ?  Voilà qui est extraordinaire : oh, oh.  Comme un homme qui s'avise tout d'un coup : oh, oh.  La surprise, oh, oh."")","('#mascarille', ""Avez-vous remarqué ? Dans ce commencement Oh, oh, ce n'est pas là parler vulgairement , Oh, oh, en s'étonnant, un homme qui s'avise, Tout d'un coup, oh, oh, oh, voyez-vous la surprise ? Oh, oh !"")",0.0,Match
133,"('#magdelon', 'Oui, je trouve ce oh, oh, admirable. ')","('#madelon', 'Oui ce oh, oh ne peut pas être mieux.')",0.34,Substitution
134,"('#mascarille', 'Il semble que cela ne soit rien. ')","('#mascarille', 'Cela ne semble rien.')",0.0,Match
135,"('#cathos', 'Ah, mon_Dieu, que dites-vous ?  Ce sont là de ces sortes de choses, qui ne se peuvent payer. ')","('#cathos', ""Il est miraculeux Et ce sont là Monsieur, de ces choses si belles Qu'on ne les peut payer."")",0.1,Substitution
136,"('#magdelon', ""Sans doute, et j'aimerais mieux avoir fait ce oh, oh, qu'un poème épique. "")","('#madelon', ""Sans doute elles sont telles Et j'aimerais bien mieux, avoir fait ce oh, oh, Que tout un poème épique."")",0.0,Match
137,"('#mascarille', 'Tudieu, vous avez le goût bon. ')","('#mascarille', 'En effet il est beau, Vous avez le goût bon, tudieu, vous êtes fine.')",0.0,Match
138,"('#magdelon', ""Eh, je ne l'ai pas tout à fait mauvais. "")","('#madelon', ""Je ne l'ai pas mauvais, et souvent je rafine."")",0.33,Substitution
139,"('#mascarille', ""Mais n'admirez-vous pas aussi je n'y prenais pas garde ?  Je n'y prenais pas garde, je ne m'apercevais pas de cela, façon de parler naturelle, je n'y prenais pas garde.  Tandis que sans songer à mal.  Tandis qu'innocemment, sans malice, comme un pauvre mouton.  Je vous regarde, c'est-à-dire, je m'amuse à vous considérer, je vous observe, je vous contemple.  Votre oeil en tapinois...  Que vous semble de ce mot, Tapinois, n'est-il pas bien choisi ? "")","('#mascarille', ""Je m'en aperçois bien. Mais admirez vous pas ! Je n'y prenais pas garde. On en voit rien de bas Dedans cette façon, je n'y prenais pas garde Elle est fort naturelle, et de plus fort mignarde Tandis que sans songer à mal qu'innocemment Comme un pauvre mouton, tandis que bonnement Je vous regarde, moi c'est justement à dire Que je vous considère, et que je vous admire Ou bien que je m'amuse, à contempler vos yeux. Votre oeil en tapinois ; peut-on s'énoncer mieux Tapinois ? De ce mot encor que vous en semble ? N'est-il pas bien choisi ?"")",0.0,Match
140,"('#cathos', 'Tout à fait bien. ')","('#cathos', ""Dieux ? Qu'ils sont bien ensemble."")",1.64,Substitution
141,"('#mascarille', 'Tapinois, en cachette, il semble que ce soit un chat qui vienne de prendre une souris.  Tapinois. ')","('#mascarille', ""Tapinois, en cachette, il semble qu'un bon chat Ait pris une souris, ou bien quelque gros rat : Tapinois."")",0.0,Match
142,"('#magdelon', 'Il ne se peut rien de mieux. ')","('#madelon', 'Il est vrai cette pensée est forte.')",1.76,Substitution
143,"('#mascarille', ""Me dérobe mon coeur, me l'emporte, me le ravit.  Au voleur, au voleur, au voleur, au voleur !  Ne diriez-vous pas que c'est un homme qui crie et court après un voleur pour le faire arrêter, au voleur, au voleur, au voleur, au voleur."")","('#mascarille', ""Me dérobe mon coeur, me l'ôte me l'emporte, Au voleur, au voleur, au voleur, au voleur, N'est-ce pas peindre au vif, la perte de son coeur, Et ne diriez-vous pas ? Qu'on crie à pleine tête Après quelque voleur, arrête, arrête, arrête, Comme en le poursuivant, tout saisi de frayeur, Au voleur, au voleur, au voleur, au voleur."")",0.0,Match
144,"('#magdelon', 'Il faut avouer que cela a un tour spirituel et galant.')","('#madelon', ""J'avouerai que cela, sans qu'ici je vous flatte, Délecte, et plaît, au goût de la plus délicate. Tant le tour est galant, spirituel et beau."")",0.3,Substitution
145,"('#mascarille', ""Je veux vous dire l'air que j'ai fait dessus."")","('#mascarille', ""L'air que j'ai fait dessus, me semble assez nouveau, Faut que je vous le die."")",0.0,Match
146,"('#cathos', 'Vous avez appris la musique ? ')","('#cathos', 'À quoi bon ne pas dire, Que vous avez appris la musique, Ah ! sans rire Vous ne faites pas bien.')",0.09,Substitution
147,"('#mascarille', 'Moi, point du tout ?')","('#mascarille', ""Quoi moi, j'aurais appris  La Musique, Ah ! Jamais."")",1.45,Substitution
148,"('#cathos', 'Et comment donc cela se peut-il ? ')","('#cathos', 'Mes sens, en sont surpris Car comment donc Monsieur, cela se peut-il faire ?')",0.0,Match
149,"('#mascarille', 'Les gens de qualité savent tout, sans avoir jamais rien appris. ')","('#mascarille', ""Les gens de qualité, n'ont rien qui soit vulgaire, Sans avoir rien appris, ils savent toujours tout."")",0.0,Match
150,"('#magdelon', 'Assurément, ma chère. ')","('#madelon', 'Ma chère, assurément.')",0.0,Match
151,"('#mascarille', ""Écoutez si vous trouverez l'air à votre goût, hem, hem, la, la, la, la, la.  La brutalité de la saison a furieusement outragé la délicatesse de ma voix ; mais il n'importe, c'est à la cavalière.  Oh, oh, je n'y prenais pas...  Il chante."")","('#mascarille', ""Voyons si votre goût En trouvera l'air bon, écoutez, je commence. Hem, hem, la, la, la, la. J'ai fort peu d'éloquence, Ouais, la brutalité, de la saison qu'il fait Est furieusement contraire, à mon projet, Elle a gâté ma voix ; mais certes il n'importe, C'est à la cavalière. Oh, oh, je n'y prenais pas... Il chante."")",0.0,Match
152,"('#cathos', ""Ah que voilà un air qui est passionné !  Est-ce qu'on n'en meurt point ? "")","('#cathos', ""Ah ! Dieux, cela m'emporte ; Que je trouve cet air pressant, passionné, Est-ce qu'on n'en meurt point ?"")",0.0,Match
153,"('#magdelon', 'Il y a de la chromatique là-dedans. ')","('#madelon', ""Il est assaisonné De la bonne façon ; mais dans cette musique L'on voit bien qu'on a mis, beaucoup de Chromatique."")",0.43,Substitution
154,,"('#cathos', ""Cet air assurément est tout rempli d'appas."")",1.0,Deletion
