,dufresny-adieux-des-officiers,moliere-psyche,Cost,Operation Type
79,,"('#psyche', ""Qu'as-tu ?"")",1.0,Deletion
80,,"('#lycas', 'Le Roi...')",1.0,Deletion
81,"('#mars', 'Plaît-il ?')","('#psyche', 'Quoi ?')",0.57,Substitution
82,,"('#lycas', 'Vous demande.')",1.0,Deletion
83,,"('#psyche', ""De ce trouble si grand que faut-il que j'attende ?"")",1.0,Deletion
84,"('#vulcain', ""Sur mon ouvrage,  Que je n'entendrai rien  De tout votre entretien. "")","('#lycas', 'Vous ne le saurez que trop tôt.')",1.27,Substitution
85,"('#mars', ""Je vois bien qu'il faut quitter la place.  Voilà un grand brutal."")","('#psyche', 'Hélas ! Que pour le Roi tu me donnes à craindre !')",1.48,Substitution
86,,"('#lycas', ""Ne craignez que pour vous, c'est vous que l'on doit plaindre."")",1.0,Deletion
87,"('#venus', 'Je ne verrai donc plus auprès de moi, que ce magot ?  Vous me quittez ?  Ah !')","('#psyche', ""C'est pour louer le Ciel, et me voir hors d'effroi, De savoir que je n'aie à craindre que pour moi. Mais apprends-moi, Lycas, le sujet qui te touche."")",1.4,Substitution
88,"('#mars', ""Il faut bien lui faire un peu d'amitié, pour le disposer à vous bien traiter en mon absence.  Je le hais comme tous les diables... Adieu, mon cher ami Vulcain, je suis fâché d'être obligé de vous quitter. À Vulcain. Il l'embrasse."")","('#lycas', ""Souffrez que j'obéisse à qui m'envoie ici, Madame, et qu'on vous laisse apprendre de sa bouche Ce qui peut m'affliger ainsi."")",0.9,Substitution
89,"('#vulcain', 'Ah, monsieur ! Il lui laisse tomber son marteau sur les pieds.')","('#psyche', ""Allons savoir sur quoi l'on craint tant ma faiblesse."")",1.83,Substitution
90,,"('#aglaure', ""Si ton ordre n'est pas jusqu'à nous étendu, Dis-nous quel grand malheur nous couvre ta tristesse."")",1.0,Deletion
91,"('#mars', ""Hai !  Au moins je vous recommande de veiller un peu à la conduite de madame votre épouse, pendant mon voyage.  Si vous voulez conserver sa réputation et la vôtre, gardez-vous bien de laisser entrer chez vous tous ces petits demi-dieux blondins et court-vêtus, qui n'attendent que mon départ pour venir fondre ici. "")","('#lycas', ""Hélas ! Ce grand malheur dans la Cour répandu, Voyez-le vous-même, Princesse, Dans l'Oracle qu'au Roi les Destins ont rendu. Voici ses propres mots, que la douleur, Madame, A gravés au fond de mon âme. Que l'on ne pense nullement À vouloir de Psyché conclure l'Hyménée ; Mais qu'au sommet d'un mont elle soit promptement En pompe funèbre menée, Et que de tous abandonnée, Pour époux elle attende en ces lieux constamment Un monstre dont on a la vue empoisonnée, Un serpent qui répand son venin en tous lieux, Et trouble dans sa rage et la Terre et les Cieux. Après un arrêt si sévère. Je vous quitte, et vous laisse à juger entre vous, Si par de plus cruels et plus sensibles coups Tous les Dieux nous pouvaient expliquer leur colère."")",0.75,Substitution
92,,"('#cidippe', 'Ma soeur, que sentez-vous à ce soudain malheur Où nous voyons Psyché par les Destins plongée ?')",1.0,Deletion
93,,"('#aglaure', 'Mais vous, que sentez-vous, ma Soeur ?')",1.0,Deletion
94,"('#vulcain', ""Ma foi, monsieur Mars, un plumet comme vous décrie plus une femme en huit jours d'été, que tous ces messieurs-là en tout un hiver.  Mais baste, un peu d'honneur plus_ou_moins dans une famille, cela ne vaut pas la peine de se brouiller avec un ami tel que vous. "")","('#cidippe', ""À ne vous point mentir, je sens que dans mon coeur Je n'en suis pas trop affligée."")",1.3,Substitution
95,,"('#aglaure', 'Moi, je sens quelque chose au mien Qui ressemble assez à la joie. Allons, le Destin nous envoie Un mal que nous pouvons regarder comme un bien.')",1.0,Deletion
96,,"('#femme-desolee', ""Deh, piangete al pianto mio, Sassi duri, antiche selve, Lagrimate fonti, e belve, D'un bel volto il fato rio."")",1.0,Deletion
97,"('#mars', 'À propos, ma rondache est-elle achevée de polir.')","('#premier-homme-afflige', 'Ahi dolore !')",1.27,Substitution
98,"('#vulcain', 'Vous avez ici des armes à choisir. Vénus et les amours arment Mars.')",,1.0,Insertion
99,"('#mars', 'Monsieur mon compère, ne prenez pas la peine...')","('#second-homme-afflige', 'Ahi martire !')",1.85,Substitution
100,,"('#premier-homme-afflige', 'Cruda morte !')",1.0,Deletion
101,"('#vulcain', ""Il est bien juste que je vous coiffe par droit de représailles. Mars s'en va."")","('#second-homme-afflige', 'Empia sorte !')",1.65,Substitution
102,"('#venus', ""Tu veux bien que j'aille le conduire jusqu'au Bourget."")","('#trois-affliges', 'Che condanni a morir tanta beltà. Cieli, stelle, ahi crudeltà !')",1.69,Substitution
103,,"('#second-homme-afflige', ""Com'esser puo fra voi, ò Numi eterni, Chi voglia estinta una beltà innocente ? Ahi ! Che tanto rigor, Cielo inclemente, Vince di crudeltà gli stessi Inferni."")",1.0,Deletion
104,,"('#premier-homme-afflige', 'Nume fiero !')",1.0,Deletion
105,,"('#second-homme-afflige', 'Dio severo !')",1.0,Deletion
106,"('#vulcain', ""Non, non, j'irai bien moi-même."")","('#trois-affliges', ""Perche tanto rigor Contro innocente cor ? Ahi, sentenza inudita, Dar morte à la beltà, ch'altrui da vita !"")",1.48,Substitution
107,,"('#femme-desolee', ""Ahi ch'indarno si tarda, Non resiste a li Dei mortale affetto, Alto impero ne sforza : Ove commanda il Ciel, l'uom cede a forza."")",1.0,Deletion
108,"('#venus', 'Tu viens de nous dire que tu as de la besogne pressée ? ')","('#premier-homme-afflige', 'Ahi dolore ! etc. Come Sopra Ces plaintes sont entrecoupées et finies par une entrée de ballet de huit personnes affligées. ')",1.27,Substitution
109,"('#vulcain', ""Le plus pressé de ma besogne c'est de le faire partir promptement. Songez seulement aux soins de votre ménage ; et pendant mon absence, mettez la paix entre vos deux enfants, qui se mangent le blanc des yeux ensemble. "")","('#psyche', ""De vos larmes, Seigneur, la source m'est bien chère ; Mais c'est trop aux bontés que vous avez pour moi, Que de laisser régner les tendresses de père Jusque dans les yeux d'un grand Roi. Ce qu'on vous voit ici donner à la Nature Au rang que vous tenez, Seigneur, fait trop d'injure, Et j'en dois refuser les touchantes faveurs : Laissez moins sur votre sagesse Prendre d'empire à vos douleurs, Et cessez d'honorer mon destin par des pleurs, Qui dans le coeur d'un roi montrent de la faiblesse."")",0.56,Substitution
110,"('#cupidon', 'On a bien de la peine à trouver le moment  De vous dire un mot seulement.')","('#le-roi', ""Ah ! Ma fille, à ces pleurs laisse mes yeux ouverts, Mon deuil est raisonnable, encor qu'il soit extrême, Et lorsque pour toujours on perd ce que je perds, La sagesse, crois-moi, peut pleurer elle-même. En vain l'orgueil du diadème Veut qu'on soit insensible à ces cruels revers, En vain de la Raison les secours sont offerts, Pour vouloir d'un oeil sec voir mourir ce qu'on aime : L'effort en est barbare aux yeux de l'Univers, Et c'est brutalité plus que vertu suprême. Je ne veux point dans cette adversité Parer mon coeur d'insensibilité, Et cacher l'ennui qui me touche ; Je renonce à la vanité De cette dureté farouche Que l'on appelle fermeté ; Et de quelque façon qu'on nomme Cette vive douleur dont je ressens les coups, Je veux bien l'étaler, ma Fille, aux yeux de tous, Et dans le coeur d'un roi montrer le coeur d'un homme."")",1.76,Substitution
111,"('#venus', ""M'a-t-on vu quelquefois refuser audience  À l'amour ? "")","('#psyche', ""Je ne mérite pas cette grande douleur : Opposez, opposez un peu de résistance Aux droits qu'elle prend sur un coeur Dont mille événements ont marqué la puissance. Quoi, faut-il que pour moi vous renonciez, Seigneur, À cette royale constance, Dont vous avez fait voir dans les coups du malheur Une fameuse expérience ?"")",1.09,Substitution
112,"('#cupidon', ""Rarement. Mais j'ai trop de prudence  Pour paraître quand votre époux  Est en affaire avec vous.  Je parlerais en vain. "")","('#le-roi', ""La constance est facile en mille occasions. Toutes les révolutions Où nous peut exposer la fortune inhumaine, La perte des grandeurs, les persécutions, Le poison de l'Envie, et les traits de la Haine, N'ont rien qui ne puissent sans peine Braver les résolutions D'une âme où la raison est un peu souveraine : Mais ce qui porte des rigueurs À faire succomber les coeurs Sous le poids des douleurs amères, Ce sont, ce sont les rudes traits De ces fatalités sévères, Qui nous enlèvent pour jamais Les personnes qui nous sont chères. La raison contre de tels coups N'offre point d'armes secourables ; Et voilà des Dieux en courroux Les foudres les plus redoutables Qui se puissent lancer sur nous."")",1.12,Substitution
113,"('#venus', ""Qu'avez-vous à me dire ?  Comment va l'amoureux empire ? "")","('#psyche', ""Seigneur, une douceur ici vous est offerte : Votre hymen a reçu plus d'un présent des Dieux, Et, par une faveur ouverte Ils ne vous ôtent rien en m'ôtant à vos yeux, Dont ils n'aient pris le soin de réparer la perte. Il vous reste de quoi consoler vos douleurs, Et cette loi du Ciel que vous nommez cruelle Dans les deux Princesses mes Soeurs, Laisse à l'amitié paternelle Où placer toutes ses douceurs."")",1.15,Substitution
114,"('#cupidon', ""Toujours de pis en pis, grâce à mon frère aîné.  C'est un amour si mal morigéné. "")","('#le-roi', ""Ah, de mes maux soulagement frivole ! Rien, rien ne s'offre à moi qui de toi me console ; C'est sur mes déplaisirs que j'ai les yeux ouverts, Et dans un destin si funeste Je regarde ce que je perds, Et ne vois point ce qui me reste."")",1.49,Substitution
115,"('#venus', ""Je sais qu'il est sans politesse,  Sans agrément et sans adresse :  Aussi n'est-ce pas lui  Qui dispose aujourd'hui  De la belle tendresse.  Vous avez tous les traits, dont la délicatesse  Charme le coeur, en lui donnant des lois,  Et je n'ai mis dans son carquois  Que ces vieux traits rouillés, dont la pointe émoussée  Conclut l'amour par l'hyménée. "")","('#psyche', ""Vous savez mieux que moi qu'aux volontés des Dieux, Seigneur, il faut régler les nôtres, Et je ne puis vous dire en ces tristes adieux, Que ce que beaucoup mieux vous pouvez dire aux autres. Ces Dieux sont maîtres souverains Des présents qu'ils daignent nous faire ; Ils ne les laissent dans nos mains Qu'autant de temps qu'il peut leur plaire. Lorsqu'ils viennent les retirer, On n'a nul droit de murmurer Des grâces que leur main ne veut plus nous étendre ; Seigneur, je suis un don qu'ils ont fait à vos voeux, Et quand par cet arrêt ils veulent me reprendre, Ils ne vous ôtent rien que vous ne teniez d'eux, Et c'est sans murmurer que vous devez me rendre."")",0.34,Substitution
116,"('#cupidon', ""Vraiment, l'hymen et lui  Sont bien mal ensemble aujourd'hui.  C'est un gros débauché, qui m'ôte mes pratiques :  Il dégoûte les coeurs des galantes rubriques  Qui doivent au bonheur disposer le terrain :  Il conduit les amants par le plus court chemin.  Il me prévient partout, disant que c'est l'usage.  Et quand ses traits ont achevé l'ouvrage,  Vous savez que les miens ne servent plus de rien. "")","('#le-roi', ""Ah,\tcherche un meilleur fondement Aux consolations que ton coeur me présente, Et de la fausseté de ce raisonnement Ne fais point un accablement À cette douleur si cuisante, Dont je souffre ici le tourment. Crois-tu là me donner une raison puissante, Pour ne me plaindre point de cet arrêt des Cieux ? Et dans le procédé des Dieux Dont tu veux que je me contente, Une rigueur assassinante Ne paraît-elle pas aux yeux ? Vois l'état où ces Dieux me forcent à te rendre, Et l'autre où te reçut mon coeur infortuné : Tu connaîtras par là qu'ils me viennent reprendre Bien plus que ce qu'ils m'ont donné. Je reçus d'eux en toi, ma Fille, Un présent que mon coeur ne leur demandait pas ; J'y trouvais alors peu d'appas, Et leur en vis sans joie accroître ma famille. Mais mon coeur ainsi que mes yeux S'est fait de ce présent une douce habitude : J'ai mis quinze ans de soins, de veilles et d'étude, À me le rendre précieux, Je l'ai paré de l'aimable richesse De mille brillantes vertus, En lui j'ai renfermé par des soins assidus Tous les plus beaux trésors que fournit la Sagesse, À lui j'ai de mon âme attaché la tendresse, J'en ai fait de ce coeur le charme et l'allégresse, La consolation de mes sens abattus, Le doux espoir de ma vieillesse. Ils m'ôtent tout cela, ces Dieux, Et tu veux que je n'aie aucun sujet de plainte, Sur cet affreux arrêt dont je souffre l'atteinte ? Ah ! Leur pouvoir se joue avec trop de rigueur Des tendresses de notre coeur : Pour m'ôter leur présent, leur fallait-il attendre Que j'en eusse fait tout mon bien ? Ou plutôt, s'ils avaient dessein de le reprendre, N'eût-il pas été mieux de ne me donner rien ?"")",0.28,Substitution
117,,"('#psyche', 'Seigneur, redoutez la colère De ces Dieux contre qui vous osez éclater.')",1.0,Deletion
118,,"('#le-roi', ""Après ce coup que peuvent-ils me faire ? Ils m'ont mis en état de ne rien redouter."")",1.0,Deletion
119,,"('#psyche', 'Ah, Seigneur, je tremble des crimes Que je vous fais commettre, et je dois me haïr...')",1.0,Deletion
120,"('#venus', ""Mon fils, je sais un moyen  Pour rétablir tes droits. C'est d'ordonner aux belles,  D'être cruelles  Seulement jusqu'à trente ans,  Pour donner le loisir à nos jeunes amants  D'apprendre l'art de la galanterie. "")","('#le-roi', ""Ah, qu'ils souffrent du moins mes plaintes légitimes, Ce m'est assez d'effort que de leur obéir, Ce doit leur être assez que mon coeur t'abandonne Au barbare respect qu'il faut qu'on ait pour eux, Sans prétendre gêner la douleur que me donne L'épouvantable arrêt d'un sort si rigoureux. Mon juste désespoir ne saurait se contraindre, Je veux, je veux garder ma douleur à jamais, Je veux sentir toujours la perte que je fais, De la rigueur du Ciel je veux toujours me plaindre, Je veux jusqu'au trépas incessamment pleurer Ce que tout l'Univers ne peut me réparer."")",0.53,Substitution
121,,"('#psyche', ""Ah, de grâce, Seigneur, épargnez ma faiblesse, J'ai besoin de constance en l'état où je suis : Ne fortifiez point l'excès de mes ennuis Des larmes de votre tendresse, Seuls ils sont assez forts, et c'est trop pour mon coeur, De mon destin et de votre douleur."")",1.0,Deletion
122,"('#cupidon', ""Quoi, vous croyez... Mais j'aperçois mon frère.  Je le laisse avec vous, prenez un air sévère.  Il s'en va."")","('#le-roi', ""Oui, je dois t'épargner mon deuil inconsolable. Voici l'instant fatal de m'arracher de toi : Mais comment prononcer ce mot épouvantable ? Il le faut toutefois, le Ciel m'en fait la loi, Une rigueur inévitable M'oblige à te laisser en ce funeste lieu. Adieu, je vais... Adieu."")",0.92,Substitution
123,,"('#psyche', ""Suivez le Roi, mes Soeurs : vous essuierez ses larmes, Vous adoucirez ses douleurs, Et vous l'accableriez d'alarmes, Si vous vous exposiez encore à mes malheurs. Conservez-lui ce qui lui reste, Le serpent que j'attends peut vous être funeste, Vous envelopper dans mon sort, Et me porter en vous une seconde mort. Le Ciel m'a seule condamnée À son haleine empoisonnée, Rien ne saurait me secourir, Et je n'ai pas besoin d'exemple pour mourir."")",1.0,Deletion
124,,"('#aglaure', ""Ne nous enviez pas ce cruel avantage De confondre nos pleurs avec vos déplaisirs, De mêler nos soupirs à vos derniers soupirs ; D'une tendre amitié souffrez ce dernier gage."")",1.0,Deletion
125,,"('#psyche', ""C'est vous perdre inutilement."")",1.0,Deletion
126,,"('#cidippe', ""C'est en votre faveur espérer un miracle, Ou vous accompagner jusques au monument."")",1.0,Deletion
127,"('#venus', ""Pour un amour l'attitude est nouvelle. "")","('#psyche', 'Que peut-on se promettre après un tel oracle ?')",1.46,Substitution
128,,"('#aglaure', ""Un Oracle jamais n'est sans obscurité, On l'entend d'autant moins que mieux on croit l'entendre, Et peut-être après tout n'en devez-vous attendre Que gloire et que félicité. Laissez-nous voir, ma Soeur, par une digne issue, Cette frayeur mortelle heureusement déçue, Ou mourir du moins avec vous, Si le Ciel à nos voeux ne se montre plus doux."")",1.0,Deletion
129,"('#cupidon', ""Dieu vous garde, la maman : je vous trouve bien belle  Aujourd'hui. "")","('#psyche', ""Ma Soeur, écoutez mieux la voix de la Nature, Qui vous appelle auprès du Roi. Vous m'aimez trop, le devoir en murmure, Vous en savez l'indispensable loi, Un père vous doit être encor plus cher que moi. Rendez-vous toutes deux l'appui de sa vieillesse, Vous lui devez chacune un gendre, et des neveux, Mille Rois à l'envi vous gardent leur tendresse, Mille Rois à l'envi vous offriront leurs voeux : L'oracle me veut seule, et seule aussi je veux Mourir, si je puis, sans faiblesse, Ou ne vous avoir pas pour témoins toutes deux De ce que malgré moi, la Nature m'en laisse."")",0.87,Substitution
130,,"('#aglaure', ""Partager vos malheurs, c'est vous importuner."")",1.0,Deletion
131,,"('#cidippe', ""J'ose dire un peu plus, ma Soeur, c'est vous déplaire."")",1.0,Deletion
132,,"('#psyche', ""Non, mais enfin c'est me gêner, Et peut-être du Ciel redoubler la colère."")",1.0,Deletion
133,,"('#aglaure', ""Vous le voulez, et nous partons. Daigne ce même Ciel plus juste et moins sévère, Vous envoyer le sort que nous vous souhaitons, Et que notre amitié sincère, En dépit de l'Oracle et malgré vous espère."")",1.0,Deletion
134,"('#venus', ""Réponds-moi, qu'as-tu fait du flambeau  Que je t'avais donné ; ton carquois, ton bandeau :  As-tu vendu tout l'équipage ? "")","('#psyche', ""Adieu, c'est un espoir, ma Soeur, et des souhaits, Qu'aucun des Dieux ne remplira jamais."")",1.58,Substitution
135,"('#cupidon', 'Vendu, moi !')","('#psyche', ""Enfin seule, et toute à moi-même, Je puis envisager cet affreux changement, Qui du haut d'une gloire extrême Me précipite au monument. Cette gloire était sans seconde, L'éclat s'en répandait jusqu'aux deux bouts du monde, Tout ce qu'il a de Rois semblaient faits pour m'aimer : Tous leur sujets me prenant pour déesse, Commençaient à m'accoutumer Aux encens qu'ils m'offraient sans cesse ; Leurs soupirs me suivaient sans qu'il m'en coûtât rien, Mon âme restait libre en captivant tant d'âmes, Et j'étais, parmi tant de flammes Reine de tous les coeurs, et maîtresse du mien. Ô Ciel ! M'auriez-vous fait un crime De cette insensibilité ? Déployez-vous sur moi tant de sévérité, Pour n'avoir à leurs voeux rendu que de l'estime ? Si vous m'imposiez cette loi, Qu'il fallût faire un choix pour ne pas vous déplaire, Puisque je ne pouvais le faire, Que ne le faisiez-vous pour moi ? Que ne m'inspiriez-vous ce qu'inspire à tant d'autres Le mérite, l'amour, et... Mais que vois-je ici ?"")",1.17,Substitution
136,,"('#cleomene', ""Deux amis, deux rivaux, dont l'unique souci Est d'exposer leurs jours pour conserver les vôtres."")",1.0,Deletion
137,"('#venus', 'Que fait-on ? ')",,1.0,Insertion
138,"('#cupidon', ""Non, je l'ai mis en gage Pour avoir du vin vieux Le nectar a manqué dans la cave des dieux ; Et depuis que Bacchus en ville tient taverne, Il vend cher son vin de Falerne."")","('#psyche', ""Puis-je vous écouter quand j'ai chassé deux soeurs ? Princes, contre le Ciel pensez-vous me défendre ? Vous livrer au serpent qu'ici je dois attendre, Ce n'est qu'un désespoir qui sied mal aux grands coeurs, Et mourir alors que je meurs, C'est accabler une âme tendre Qui n'a que trop de ses douleurs."")",1.14,Substitution
139,"('#venus', 'Le cabaret, ivrogne, est-il pour les amours ? ')","('#agenor', ""Un serpent n'est pas invincible ; Cadmus qui n'aimait rien, défit celui de Mars ; Nous aimons, et l'Amour sait rendre tout possible Au coeur qui suit ses étendards, À la main dont lui-même il conduit tous les dards."")",1.49,Substitution
140,"('#cupidon', 'Les dames y sont tous les jours. ')","('#psyche', ""Voulez-vous qu'il vous serve en faveur d'une ingrate Que tous ses traits n'ont pu toucher ? Qu'il dompte sa vengeance au moment qu'elle éclate, Et vous aide à m'en arracher ? Quand même vous m'auriez servie, Quand vous m'auriez rendu la vie, Quel fruit espérez-vous de qui ne peut aimer ?"")",1.66,Substitution
141,"('#venus', 'Oh, que tu sens le vin ! ')",,1.0,Insertion
142,"('#cupidon', ""............  Depuis que je m'enivre,  Notre négoce en va bien mieux :  L'on aime à voir briller mon flambeau dans mes yeux :  La force du bon vin fait toute ma puissance,  Et j'attaque les coeurs en remplissant la panse.  Quelle fierté pourrait sur la fin d'un repas,  Résister aux appas  De ma trogne vermeille ?  J'embrase plus de coeur avecque ma bouteille,  Que ce petit marmot  Avec son falot.  Il chante."")","('#cleomene', ""Ce n'est point par l'espoir d'un si charmant salaire Que nous nous sentons animer, Nous ne cherchons qu'à satisfaire Aux devoirs d'un amour qui n'ose présumer Que jamais, quoi qu'il puisse faire, Il soit capable de vous plaire, Et digne de vous enflammer. Vivez, belle princesse, et vivez pour un autre ; Nous le verrons d'un oeil jaloux, Nous en mourrons, mais d'un trépas plus doux Que s'il nous fallait voir le vôtre. Et si nous ne mourrons en vous sauvant le jour, Quelque amour qu'à nos yeux vous préfériez au nôtre, Nous voulons bien mourir de douleur et d'amour."")",0.63,Substitution
143,"('#venus', ""Si tu ne sais vaincre les belles,  Qu'en faisant débauche avec elles,  Infâme, va régner dans les treize Cantons,  Ou sur les bas Bretons. "")","('#psyche', ""Vivez, Princes, vivez, et de ma destinée Ne songez plus à rompre, ou partager la loi : Je crois vous l'avoir dit, le Ciel ne veut que moi, Le Ciel m'a seule condamnée. Je pense ouïr déjà les mortels sifflements De son ministre qui s'approche, Ma frayeur me le peint, me l'offre à tous moments, Et maîtresse qu'elle est de tous mes sentiments, Elle me le figure au haut de cette roche, J'en tombe de faiblesse, et mon coeur abattu Ne soutient plus qu'à peine un reste de vertu. Adieu, Princes, fuyez, qu'il ne vous empoisonne."")",0.34,Substitution
144,"('#cupidon', ""Vive, vive Paris, pour les amours bachiques :  Mon frère s'y fat des pratiques,  Mais, ma foi, depuis peu  Le petit fat n'a pas beau jeu.  Les coeurs y sont si durs, que ses petites flèches,  N'y sauraient faire brèches  L'acier en est trop fin.  Pour moi, quand j'ai trempé celle-ci dans le vin,  Je suis très sûr de ma conquête. "")","('#agenor', ""Rien ne s'offre à nos yeux encor qui les étonne, Et quand vous vous peignez un si proche trépas, Si la force vous abandonne, Nous avons des coeurs et des bras Que l'espoir n'abandonne pas. Peut-être qu'un rival a dicté cet Oracle, Que l'or a fait parler celui qui l'a rendu : Ce ne serait pas un miracle, Que pour Dieu muet un homme eût répondu, Et dans tous les climats on n'a que trop d'exemples Qu'il est ainsi qu'ailleurs des méchants dans les temples."")",0.46,Substitution
145,"('#venus', ""C'est une trahison que d'attaquer la tête,  Lorsqu'on veut affaiblir le coeur"")","('#cleomene', ""Laissez-nous opposer au lâche ravisseur, À qui le sacrilège indignement vous livre, Un amour qu'a le Ciel choisi pour défenseur De la seule beauté pour qui nous voulons vivre. Si nous n'osons prétendre à sa possession, Du moins en son péril permettez-nous de suivre L'ardeur et les devoirs de notre passion."")",1.65,Substitution
146,,"('#psyche', ""Portez-les à d'autres moi-mêmes, Princes, portez-les à mes Soeurs Ces devoirs, ces ardeurs extrêmes Dont pour moi sont remplis vos coeurs, Vivez pour elles quand je meurs, Plaignez de mon destin les funestes rigueurs, Sans leur donner en vous de nouvelles matières. Ce sont mes volontés dernières, Et l'on a reçu de tout temps Pour souveraines lois les ordres des mourants."")",1.0,Deletion
147,,"('#cleomene', 'Princesse...')",1.0,Deletion
148,"('#cupidon', ""J'ai fait ces trahisons à des femmes d'honneur,  Qui ne m'ont point puni de les avoir trahies. "")","('#psyche', ""Encore un coup, Princes, vivez pour elles, Tant que vous m'aimerez, vous devez m'obéir ; Ne me réduisez pas à vouloir vous haïr, Et vous regarder en rebelles, À force de m'être fidèles. Allez, laissez-moi seule expirer en ce lieu, Où je n'ai plus de voix que pour vous dire adieu. Mais je sens qu'on m'enlève, et l'air m'ouvre une route D'où vous n'entendrez plus cette mourante voix, Adieu, Princes, adieu pour la dernière fois, Voyez si de mon sort vous pouvez être en doute. Elle est enlevée en l'air par deux Zéphyrs."")",0.81,Substitution
149,,"('#agenor', 'Nous la perdons de vue, allons tous deux chercher Sur le faîte de ce rocher, Prince, les moyens de la suivre.')",1.0,Deletion
150,,"('#cleomene', 'Allons-y chercher ceux de ne lui point survivre.')",1.0,Deletion
151,"('#venus', 'Taisez-vous, je ne puis entendre vos folies.  Retirez-vous, voici un laquais de Plutus. Que me veut-il ?  Cupidon se retire.')","('#l-amour', ""Allez mourir, rivaux d'un dieu jaloux, Dont vous méritez le courroux, Pour avoir eu le coeur sensible aux mêmes charmes, Et toi, forge, Vulcain, mille brillants attraits Pour orner un palais Où l'Amour de Psyché veut essuyer les larmes, Et lui rendre les armes."")",0.35,Substitution
152,"('#le-laquais', ""C'est de la part du dieu des richesses, qui voudrait bien vous rendre visite, pendant que votre mari n'y est pas."")","('#vulcain', ""Dépêchez, préparez ces lieux Pour le plus aimable des Dieux, Que chacun pour lui s'intéresse, N'oubliez rien des soins qu'il faut : Quand l'Amour presse, On n'a jamais fait assez tôt. L'Amour ne veut point qu'on diffère, Travaillez, hâtez-vous, Frappez, redoublez vos coups ; Que l'ardeur de lui plaire Fasse vos soins le plus doux. Servez bien un dieu si charmant, Il se plaît dans l'empressement. Que chacun pour lui s'intéresse, N'oubliez rien des soins qu'il faut : Quand l'Amour presse, On n'a jamais fait assez tôt. L'Amour ne veut point qu'on diffère, Travaillez, etc. SECOND COUPLET."")",0.98,Substitution
153,"('#venus', ""Dis-lui qu'il me fera beaucoup d'honneur. Allez, retirez-vous, je n'ai pas besoin d'amour ici. Aux amours."")","('#zephyr', ""Oui, je me suis galamment acquitté De la commission que vous m'avez donnée, Et du haut du rocher je l'ai, cette beauté, Par le milieu des airs doucement amenée Dans ce beau palais enchanté, Où vous pouvez en liberté Disposer de sa destinée : Mais vous me surprenez par ce grand changement Qu'en votre personne vous faites ; Cette taille, ces traits, et cet ajustement, Cachent tout à fait qui vous êtes, Et je donne aux plus fins à pouvoir en ce jour Vous reconnaître pour l'Amour."")",0.94,Substitution
154,,"('#l-amour', ""Aussi, ne veux-je pas qu'on puisse me connaître, Je ne veux à Psyché découvrir que mon coeur, Rien que les beaux transports de cette vive ardeur Que ses doux charmes y font naître ; Et pour en exprimer l'amoureuse langueur, Et cacher ce que je puis être Aux yeux qui m'imposent des lois, J'ai pris la forme que tu vois."")",1.0,Deletion
155,"('#un-des-amours', ""Le maître des dieux  Lorsqu'il est amoureux  D'une simple mortelle,  Ne peut se faire aimer d'elle  Sans votre secours.  Mais pour gagner le coeur même d'une déesse,  Le dieu de la richesse  N'a pas besoin des amours.  Les amours s'en vont."")","('#zephyr', ""En tout vous êtes un grand maître, C'est ici que je le connais. Sous des déguisements de diverse nature On a vu les Dieux amoureux Chercher à soulager cette douce blessure Que reçoivent les coeurs de vos traits pleins de feux ; Mais en bon sens vous l'emportez sur eux, Et voilà la bonne figure Pour avoir un succès heureux, Près de l'aimable sexe où l'on porte ses voeux. Oui, de ces formes-là l'assistance est bien forte, Et sans parler ni de rang, ni d'esprit, Qui peut trouver moyen d'être fait de la sorte, Ne soupire guère à crédit."")",0.67,Substitution
156,,"('#l-amour', ""J'ai résolu, mon cher Zéphyr, De demeurer ainsi toujours, Et l'on ne peut le trouver à redire À l'aîné de tous les Amours. Il est temps de sortir de cette longue enfance Qui fatigue ma patience, Il est temps désormais que je devienne grand."")",1.0,Deletion
157,,"('#zephyr', ""Fort bien, vous ne pouvez mieux faire, Et vous entrez dans un mystère Qui ne demande rien d'enfant."")",1.0,Deletion
158,,"('#l-amour', 'Ce changement sans doute irritera ma mère.')",1.0,Deletion
