,moliere-bourgeois-gentilhomme,quinault-fetes-amour-bacchus,Cost,Operation Type
160,"('#le-maitre-a-danser', 'Monsieur le batteur de fer, je vous apprendrai votre métier.')",,1.0,Insertion
161,"('#monsieur-jourdain', ""Êtes-vous fou de l'aller quereller, lui qui entend la tierce et la quarte, et qui sait tuer un homme par raison démonstrative ?"")",,1.0,Insertion
162,"('#le-maitre-a-danser', 'Je me moque de sa raison démonstrative, et de sa tierce et de sa quarte.')","('#melpomene', ""C'est moi dont la voix éclatante A droit de célébrer les exploits les plus grands, Les nobles récits que je chante Sont les plus dignes jeux des fameux conquérants."")",1.25,Substitution
163,"('#monsieur-jourdain', 'Tout doux, vous dis-je.')","('#euterpe', ""C'est un doux amusement Que d'aimables chansonnettes ; Les douceurs n'en sont pas faites Pour les bergers seulement. Les tendres chansonnettes Que l'on chante à l'ombre des bois Sur les Musettes, Ne sont pas quelques fois Des jeux indignes des grands Rois."")",1.12,Substitution
164,"('#le-maitre-d-armes', 'Comment ?  Petit impertinent.')",,1.0,Insertion
165,"('#monsieur-jourdain', ""Eh mon Maître d'armes."")",,1.0,Insertion
166,"('#le-maitre-a-danser', 'Comment ?  Grand cheval de carrosse.')",,1.0,Insertion
167,"('#monsieur-jourdain', 'Eh mon Maître à danser.')",,1.0,Insertion
168,"('#le-maitre-d-armes', 'Si je me jette sur vous...')",,1.0,Insertion
169,"('#monsieur-jourdain', 'Doucement.')",,1.0,Insertion
170,"('#le-maitre-a-danser', 'Si je mets sur vous la main...')","('#polymnie', ""Il faut entre mes soeurs que mon soin se partage : Préparez tour à tour vos plus aimables jeux ; Pour vous accorder, je m'engage À vous seconder toutes deux."")",0.75,Substitution
171,"('#monsieur-jourdain', 'Tout beau.')","('#euterpe', 'Commencez de répondre à mon impatience.')",1.27,Substitution
172,"('#le-maitre-d-armes', ""Je vous étrillerai d'un air..."")","('#melpomene', ""Vos premiers soins sont dûs à ce que j'entreprends."")",1.27,Substitution
173,"('#monsieur-jourdain', 'De grâce.')",,1.0,Insertion
174,"('#le-maitre-a-danser', ""Je vous rosserai d'une manière..."")","('#polymnie', ""Terminez tous vos différents. Souffrez qu'en sa faveur aujourd'hui je commence, Je réserve pour vous mes travaux les plus grands. Polymnie dit ces deux vers à Melpomène."")",1.07,Substitution
175,"('#monsieur-jourdain', 'Je vous prie.')",,1.0,Insertion
176,"('#le-maitre-de-musique', 'Laissez-nous un peu lui apprendre à parler.')",,1.0,Insertion
177,"('#monsieur-jourdain', 'Mon_Dieu, arrêtez-vous.')",,1.0,Insertion
178,"('#monsieur-jourdain', 'Holà, Monsieur le Philosophe, vous arrivez tout à propos avec votre philosophie.  Venez un peu mettre la paix entre ces personnes-ci.')","('#les-trois-muses', ""Que notre accord est doux ! Que tout ce qui nous fuit s'accorde comme nous."")",1.4,Substitution
179,"('#le-maitre-de-philosophie', ""Qu'est-ce donc ?  Qu'y a-t-il, Messieurs ?"")",,1.0,Insertion
180,"('#monsieur-jourdain', ""Ils se sont mis en colère pour la préférence de leurs professions, jusqu'à se dire des injures, et en vouloir venir aux mains."")",,1.0,Insertion
181,"('#le-maitre-de-philosophie', ""Hé quoi, Messieurs, faut-il s'emporter de la sorte ?  Et n'avez-vous point lu le docte traité que Sénèque a composé, de la colère ?  Y a-t-il rien de plus bas et de plus honteux, que cette passion, qui fait d'un homme une bête féroce ?  Et la raison ne doit-elle pas être maîtresse de tous nos mouvements ?"")",,1.0,Insertion
182,"('#le-maitre-a-danser', ""Comment, Monsieur, il vient nous dire des injures à tous deux, en méprisant la danse que j'exerce, et la musique dont il fait profession."")",,1.0,Insertion
183,"('#le-maitre-de-philosophie', ""Un homme sage est au-dessus de toutes les injures qu'on lui peut dire ; et la grande réponse qu'on doit faire aux outrages, c'est la modération et la patience."")",,1.0,Insertion
184,"('#le-maitre-d-armes', ""Ils ont tous deux l'audace, de vouloir comparer leurs professions à la mienne."")",,1.0,Insertion
185,"('#le-maitre-de-philosophie', ""Faut-il que cela vous émeuve ?  Ce n'est pas de vaine gloire, et de condition, que les hommes doivent disputer entre eux ; et ce qui nous distingue parfaitement les uns des autres, c'est la sagesse, et la vertu."")","('#les-trois-muses', 'Joignons nos soins et nos voix Pour plaire au plus grand des Rois.')",1.26,Substitution
186,"('#le-maitre-a-danser', ""Je lui soutiens que la danse est une science à laquelle on ne peut faire assez d'honneur."")",,1.0,Insertion
187,"('#le-maitre-de-musique', 'Et moi, que la musique en est une que tous les siècles ont révérée.')","('#choeurs', 'Joignons nos soins et nos voix Pour plaire au plus grand des Rois.')",1.43,Substitution
188,"('#le-maitre-d-armes', 'Et moi, je leur soutiens à tous deux que la science de tirer des armes, est la plus belle et la plus nécessaire de toutes les sciences.')","('#melpomene', 'Chantons la gloire de ses armes.')",0.94,Substitution
189,"('#le-maitre-de-philosophie', ""Et que sera donc la philosophie ?  Je vous trouve tous trois bien impertinents, de parler devant moi avec cette arrogance et de donner impudemment le nom de science à des choses que l'on ne doit pas même honorer du nom d'art, et qui ne peuvent être comprises que sous le nom de métier misérable de gladiateur, de chanteur et de baladin !"")",,1.0,Insertion
190,"('#le-maitre-d-armes', 'Allez, philosophe de chien.')",,1.0,Insertion
191,"('#le-maitre-de-musique', 'Allez, belître de pédant.')",,1.0,Insertion
192,"('#le-maitre-a-danser', 'Allez, cuistre fieffé.')",,1.0,Insertion
193,"('#le-maitre-de-philosophie', 'Comment ? Marauds que vous êtes...  Le Philosophe se jette sur eux, et tous trois le chargent de coups, et sortent en se battant.')",,1.0,Insertion
194,"('#monsieur-jourdain', 'Monsieur le Philosophe.')",,1.0,Insertion
195,"('#le-maitre-de-philosophie', 'Infâmes !  Coquins !  Insolents !')",,1.0,Insertion
196,"('#monsieur-jourdain', 'Monsieur le Philosophe.')",,1.0,Insertion
197,"('#le-maitre-d-armes', ""La peste l'animal !"")",,1.0,Insertion
198,"('#monsieur-jourdain', 'Messieurs.')","('#un-choeur', 'Chantons la gloire de ses armes.')",1.21,Substitution
199,"('#le-maitre-de-philosophie', 'Impudents !')",,1.0,Insertion
200,"('#monsieur-jourdain', 'Monsieur le Philosophe.')",,1.0,Insertion
201,"('#le-maitre-a-danser', ""Diantre soit de l'âne bâté !"")",,1.0,Insertion
202,"('#monsieur-jourdain', 'Messieurs.')","('#euterpe', 'Chantons la douceur de ses lois.')",0.81,Substitution
203,"('#le-maitre-de-philosophie', 'Scélérats !')",,1.0,Insertion
204,"('#monsieur-jourdain', 'Monsieur le Philosophe.')",,1.0,Insertion
205,"('#le-maitre-de-musique', ""Au diable l'impertinent !"")",,1.0,Insertion
206,"('#monsieur-jourdain', 'Messieurs.')","('#un-choeur', 'Chantons la douceur de ses lois.')",0.81,Substitution
207,"('#le-maitre-de-philosophie', 'Fripons !  Gueux !  Traîtres !  Imposteurs !  Ils sortent.')",,1.0,Insertion
208,"('#monsieur-jourdain', ""Monsieur le Philosophe, Messieurs, Monsieur le Philosophe, Messieurs, Monsieur le Philosophe.  Oh battez-vous tant qu'il vous plaira, je n'y saurais que faire, et je n'irai pas gâter ma robe pour vous séparer.  Je serais bien fou, de m'aller fourrer parmi eux, pour recevoir quelque coup qui me ferait mal. "")",,1.0,Insertion
209,"('#le-maitre-de-philosophie', 'Venons à notre leçon.')",,1.0,Insertion
210,"('#monsieur-jourdain', ""Ah !  Monsieur, je suis fâché des coups qu'ils vous ont donnés."")",,1.0,Insertion
211,"('#le-maitre-de-philosophie', ""Cela n'est rien.  Un philosophe sait recevoir comme il faut les choses, et je vais composer contre eux une satire du style de Juvénal, qui les déchirera de la belle façon.  Laissons cela.  Que voulez-vous apprendre ?"")",,1.0,Insertion
212,"('#monsieur-jourdain', ""Tout ce que je pourrai, car j'ai toutes les envies du monde d'être savant, et j'enrage que mon père et ma mère ne m'aient pas fait bien étudier dans toutes les sciences, quand j'étais jeune."")",,1.0,Insertion
213,"('#le-maitre-de-philosophie', 'Ce sentiment est raisonnable : Nam sine doctrina vita est quasi mortis imago.  Vous entendez cela, et vous savez le latin sans doute.')",,1.0,Insertion
214,"('#monsieur-jourdain', 'Oui, mais faites comme si je ne le savais pas.  Expliquez-moi ce que cela veut dire.')",,1.0,Insertion
215,"('#le-maitre-de-philosophie', 'Cela veut dire que sans la science, la vie est presque une image de la mort.')",,1.0,Insertion
216,"('#monsieur-jourdain', 'Ce latin-là a raison.')",,1.0,Insertion
217,"('#le-maitre-de-philosophie', ""N'avez-vous point quelques principes, quelques commencements des sciences ?"")",,1.0,Insertion
218,"('#monsieur-jourdain', 'Oh oui, je sais lire et écrire.')",,1.0,Insertion
219,"('#le-maitre-de-philosophie', 'Par où vous plaît-il que nous commencions ?  Voulez-vous que je vous apprenne la Logique ?')",,1.0,Insertion
220,"('#monsieur-jourdain', ""Qu'est-ce que c'est que cette Logique ?"")",,1.0,Insertion
221,"('#le-maitre-de-philosophie', ""C'est elle qui enseigne les trois opérations de l'esprit."")",,1.0,Insertion
222,"('#monsieur-jourdain', ""Qui sont-elles, ces trois opérations de l'esprit ? "")",,1.0,Insertion
223,"('#le-maitre-de-philosophie', 'La première, la seconde et la troisième.  La première est, de bien concevoir par le moyen des universaux.  La seconde de bien juger par le moyen des catégories : et la troisième, de bien tirer une conséquence par le moyen des figures Barbara, Celarent, Darii, Ferio, Baralipton, etc.')",,1.0,Insertion
224,"('#monsieur-jourdain', 'Voilà des mots qui sont trop rébarbatifs.  Cette logique-là ne me revient point.  Apprenons autre chose qui soit plus joli.')",,1.0,Insertion
225,"('#le-maitre-de-philosophie', 'Voulez-vous apprendre la morale ?')",,1.0,Insertion
226,"('#monsieur-jourdain', 'La morale ?')",,1.0,Insertion
227,"('#le-maitre-de-philosophie', 'Oui.')","('#polymnie', 'Faisons tout retentir du bruit de ses exploits.')",0.99,Substitution
228,"('#monsieur-jourdain', ""Qu'est-ce qu'elle dit, cette morale ?"")",,1.0,Insertion
229,"('#le-maitre-de-philosophie', 'Elle traite de la félicité ; enseigne aux hommes à modérer leurs passions, et...')","('#tous-les-choeurs', 'Chantons la gloire de ses armes.')",1.2,Substitution
230,"('#monsieur-jourdain', ""Non, laissons cela.  Je suis bilieux comme tous les diables ; et il n'y a morale qui tienne, je me veux mettre en colère tout mon soûl, quand il m'en prend envie."")",,1.0,Insertion
231,"('#le-maitre-de-philosophie', 'Est-ce la physique que vous voulez apprendre ?')",,1.0,Insertion
232,"('#monsieur-jourdain', ""Qu'est-ce qu'elle chante, cette physique ?"")","('#melpomene', 'Formons des concerts pleins de charmes.')",0.83,Substitution
233,"('#le-maitre-de-philosophie', ""La physique est celle qui explique les principes des choses naturelles, et les propriétés du corps ; qui discourt de la nature des éléments, des métaux, des minéraux, des pierres, des plantes, et des animaux, et nous enseigne les causes de tous les météores, l'arc-en-ciel, les feux volants, les comètes, les éclairs, le tonnerre, la foudre, la pluie, la neige, la grêle, les vents et les tourbillons."")","('#euterpe', ""Faisons entendre nos hautbois. Les hautbois et les musettes répondent et cependant les héros et les pâtres rentrent sur le théâtre avec les ouvriers qui apportent des ornements qu'ils ont faits pour servir la pièce qui va commencer, et autour desquels les héros et les pâtres dansent, tandis que le smuses et tous les choeurs continuent leurs chants. Ce qui forme un jeu concerté des Muses qui chantent dans leurs machines au milieu des nuages, de la troupe qui leur répond, placée dans les balcons, et des héros, pâtres, et ouvriers, qui dansent sur le théâtre."")",0.74,Substitution
234,"('#monsieur-jourdain', 'Il y a trop de tintamarre là dedans, trop de brouillamini.')","('#tous-ensemble', 'Faisons tout retentir du bruit de ses exploits.')",0.63,Substitution
235,"('#le-maitre-de-philosophie', 'Que voulez-vous donc que je vous apprenne ?')",,1.0,Insertion
236,"('#monsieur-jourdain', ""Apprenez-moi l'orthographe"")",,1.0,Insertion
237,"('#le-maitre-de-philosophie', 'Très volontiers.')","('#polymnie', 'Préparons des fêtes nouvelles')",1.77,Substitution
238,"('#monsieur-jourdain', ""Après vous m'apprendrez l'almanach, pour savoir quand il y a de la Lune, et quand il n'y en a point."")",,1.0,Insertion
239,"('#le-maitre-de-philosophie', ""Soit.  Pour bien suivre votre pensée et traiter cette matière en philosophe, il faut commencer selon l'ordre des choses, par une exacte connaissance de la nature des lettres, et de la différente manière de les prononcer toutes.  Et là-dessus j'ai à vous dire, que les lettres sont divisées en voyelles, ainsi dites voyelles, parce qu'elles expriment les voix ; et en consonnes, ainsi appelées consonnes parce qu'elles sonnent avec les voyelles, et ne font que marquer les diverses articulations des voix.  Il y a cinq voyelles ou voix : A, E, I, O, U."")",,1.0,Insertion
240,"('#monsieur-jourdain', ""J'entends tout cela."")",,1.0,Insertion
241,"('#le-maitre-de-philosophie', 'La voix A se forme en ouvrant fort la bouche : A.')","('#melpomene', 'Que nos chansons soient immortelles.')",1.63,Substitution
242,"('#monsieur-jourdain', 'A, A, oui.')",,1.0,Insertion
243,"('#le-maitre-de-philosophie', ""La voix, E, se forme en rapprochant la mâchoire d'en bas de celle d'en haut : A, E."")",,1.0,Insertion
244,"('#monsieur-jourdain', 'A, E, A, E.  Ma foi oui.  Ah que cela est beau !')","('#euterpe', 'Que nos airs soient doux et touchants.')",0.98,Substitution
245,"('#le-maitre-de-philosophie', ""Et la voix, I, en rapprochant encore davantage les mâchoires l'une de l'autre, et écartant les deux coins de la bouche vers les oreilles, A, E, I."")",,1.0,Insertion
246,"('#monsieur-jourdain', 'A, E, I, I, I, I.  Cela est vrai.  Vive la science !')",,1.0,Insertion
247,"('#le-maitre-de-philosophie', 'La voix, O, se forme en rouvrant les mâchoires, et rapprochant les lèvres par les deux coins, le haut et le bas, O.')",,1.0,Insertion
248,"('#monsieur-jourdain', ""O, O.  Il n'y a rien de plus juste.  A, E, I, O, I, O.  Cela est admirable !  I, O, I, O."")",,1.0,Insertion
249,"('#le-maitre-de-philosophie', ""L'ouverture de la bouche fait justement comme un petit rond qui représente un O."")",,1.0,Insertion
250,"('#monsieur-jourdain', 'O, O, O.  Vous avez raison, O.  Ah la belle chose, que de savoir quelque chose !')",,1.0,Insertion
251,"('#le-maitre-de-philosophie', ""La voix, U, se forme en rapprochant les dents sans les joindre entièrement, et allongeant les deux lèvres en dehors, les approchant aussi l'une de l'autre sans les joindre tout à fait : U"")",,1.0,Insertion
252,"('#monsieur-jourdain', ""U, U.  Il n'y a rien de plus véritable, U."")",,1.0,Insertion
253,"('#le-maitre-de-philosophie', ""Vos deux lèvres s'allongent comme si vous faisiez la moue : d'où vient que si vous la voulez faire à quelqu'un, et vous moquer de lui, vous ne sauriez lui dire que U."")",,1.0,Insertion
254,"('#monsieur-jourdain', ""U, U.  Cela est vrai.  Ah que n'ai-je étudié plus tôt, pour savoir tout cela !"")",,1.0,Insertion
255,"('#le-maitre-de-philosophie', 'Demain, nous verrons les autres lettres, qui sont les consonnes.')",,1.0,Insertion
256,"('#monsieur-jourdain', ""Est-ce qu'il y a des choses aussi curieuses qu'à celles-ci ?"")",,1.0,Insertion
257,"('#le-maitre-de-philosophie', ""Sans doute.  La consonne D, par exemple, se prononce en donnant du bout de la langue au-dessus des dents d'en haut : DA."")",,1.0,Insertion
258,"('#monsieur-jourdain', 'DA, DA.  Oui.  Ah les belles choses !  Les belles choses !')","('#tous-ensemble', 'Mêlons aux plus aimables chants Les danses les plus belles. Joignons nos soins et nos voix. Pour plaire au plus grand des rois.')",1.09,Substitution
259,"('#le-maitre-de-philosophie', ""L'F, en appuyant les dents d'en haut sur la lèvre de dessous, FA."")",,1.0,Insertion
260,"('#monsieur-jourdain', ""FA, FA.  C'est la vérité.  Ah mon père et ma mère, que je vous veux de mal !"")",,1.0,Insertion
261,"('#le-maitre-de-philosophie', ""Et l'R, en portant le bout de la langue jusqu'au haut du palais ; de sorte qu'étant frôlée par l'air qui sort avec force, elle lui cède, et revient toujours au même endroit, faisant une manière de tremblement, Rra."")",,1.0,Insertion
262,"('#monsieur-jourdain', ""R, r, ra ; R, r, r, r, r, ra.  Cela est vrai !  Ah l'habile homme que vous êtes !  Et que j'ai, perdu de temps !  R, r, r, ra."")","('#tircis', ""Vous chantez sous ces feuillages,  Doux rossignols pleins d'amour, Et de nos tendres ramages, Vous réveillez tour à tour Les échos de ces boccages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux vous ne chanteriez pas."")",1.0,Substitution
263,"('#le-maitre-de-philosophie', 'Je vous expliquerai à fond toutes ces curiosités.')",,1.0,Insertion
264,"('#monsieur-jourdain', ""Je vous en prie.  Au reste il faut que je vous fasse une confidence.  Je suis amoureux d'une personne de grande qualité, et je souhaiterais que vous m'aidassiez à lui écrire quelque chose dans un petit billet que je veux laisser tomber à ses pieds."")",,1.0,Insertion
265,"('#le-maitre-de-philosophie', 'Fort bien.')",,1.0,Insertion
266,"('#monsieur-jourdain', 'Cela sera galant, oui.')",,1.0,Insertion
267,"('#le-maitre-de-philosophie', 'Sans doute.  Sont-ce des vers que vous lui voulez écrire ?')",,1.0,Insertion
268,"('#monsieur-jourdain', 'Non, non, point de vers.')",,1.0,Insertion
269,"('#le-maitre-de-philosophie', 'Vous ne voulez que de la prose ?')",,1.0,Insertion
270,"('#monsieur-jourdain', 'Non, je ne veux ni prose ni vers.')",,1.0,Insertion
271,"('#le-maitre-de-philosophie', ""Il faut bien que ce soit l'un, ou l'autre."")",,1.0,Insertion
272,"('#monsieur-jourdain', 'Pourquoi ?')","('#licaste', 'Hé quoi, toujours languissant, sombre et triste ?')",1.13,Substitution
273,"('#le-maitre-de-philosophie', ""Par la raison, Monsieur, qu'il n'y a pour s'exprimer que la prose, ou les vers."")",,1.0,Insertion
274,"('#monsieur-jourdain', ""Il n'y a que la prose ou les vers ?"")",,1.0,Insertion
275,"('#le-maitre-de-philosophie', ""Non, Monsieur : tout ce qui n'est point prose, est vers ; et tout ce qui n'est point vers, est prose."")",,1.0,Insertion
276,"('#monsieur-jourdain', ""Et comme l'on parle qu'est-ce que c'est donc que cela ?"")","('#menandre', 'Hé quoi, toujours aux pleurs abandonné ?')",1.86,Substitution
277,"('#le-maitre-de-philosophie', 'De la prose.')",,1.0,Insertion
278,"('#monsieur-jourdain', ""Quoi, quand je dis, Nicole, apportez-moi mes pantoufles, et me donnez mon bonnet de nuit, c'est de la prose ?"")",,1.0,Insertion
279,"('#le-maitre-de-philosophie', 'Oui, Monsieur.')",,1.0,Insertion
280,"('#monsieur-jourdain', ""Par ma foi !  Il y a plus de quarante ans que je dis de la prose sans que j'en susse rien ; et je vous suis le plus obligé du monde, de m'avoir appris cela.  Je voudrais donc lui mettre dans un billet : Belle Marquise, vos beaux yeux me font mourir d'amour ; mais je voudrais que cela fût mis d'une manière galante, que cela fût tourné gentiment."")",,1.0,Insertion
281,"('#le-maitre-de-philosophie', ""Mettre que les feux de ses yeux réduisent votre coeur en cendres ; que vous souffrez nuit et jour pour elle les violences d'un..."")","('#tircis', 'Toujours adorant Caliste, Et toujours infortuné.')",1.49,Substitution
282,"('#monsieur-jourdain', ""Non, non, non, je ne veux point tout cela ; je ne veux que ce que je vous ai dit : Belle Marquise, vos beaux yeux me font mourir d'amour."")",,1.0,Insertion
283,"('#le-maitre-de-philosophie', 'Il faut bien étendre un peu la chose.')",,1.0,Insertion
284,"('#monsieur-jourdain', 'Non, vous dis-je, je ne veux que ces seules paroles-là dans le billet ; mais tournées à la mode, bien arrangées comme il faut.  Je vous prie de me dire un peu, pour voir, les diverses manières dont on les peut mettre.')",,1.0,Insertion
285,"('#le-maitre-de-philosophie', ""On les peut mettre premièrement comme vous avez dit : Belle Marquise, vos beaux yeux me font mourir d'amour.  Ou bien : D'amour mourir me font, belle Marquise, vos beaux yeux.  Ou bien : Vos yeux beaux d'amour me font, belle Marquise, mourir. Ou bien : Mourir vos beaux yeux, belle Marquise, d'amour me font.  Ou bien : Me font vos yeux beaux mourir, belle Marquise, d'amour."")",,1.0,Insertion
286,"('#monsieur-jourdain', 'Mais de toutes ces façons-là, laquelle est la meilleure ?')",,1.0,Insertion
287,"('#le-maitre-de-philosophie', ""Celle que vous avez dite : Belle Marquise, vos beaux yeux me font mourir d'amour."")",,1.0,Insertion
288,"('#monsieur-jourdain', ""Cependant je n'ai point étudié, et j'ai fait cela tout du premier coup.  Je vous remercie de tout mon coeur, et vous prie de venir demain de bonne heure."")",,1.0,Insertion
289,"('#le-maitre-de-philosophie', ""Je n'y manquerai pas."")",,1.0,Insertion
290,"('#monsieur-jourdain', ""Comment ?  Mon habit n'est point encore arrivé ?"")",,1.0,Insertion
291,"('#second-laquais', 'Non, Monsieur.')",,1.0,Insertion
292,"('#monsieur-jourdain', ""Ce maudit tailleur me fait bien attendre pour un jour où j'ai tant d'affaires.  J'enrage.  Que la fièvre quartaine puisse serrer bien fort le bourreau de tailleur.  Au diable le tailleur.  La peste étouffe le tailleur.  Si je le tenais maintenant ce tailleur détestable, ce chien de tailleur-là, ce traître de tailleur, je... "")","('#licaste', ""Dompte, dompte, Berger, l'ennui qui te possède."")",0.99,Substitution
293,"('#monsieur-jourdain', ""Ah vous voilà.  Je m'allais mettre en colère contre vous."")",,1.0,Insertion
294,"('#le-maitre-tailleur', ""Je n'ai pas pu venir plus tôt, et j'ai mis vingt garçons après votre habit."")",,1.0,Insertion
295,"('#monsieur-jourdain', ""Vous m'avez envoyé des bas de soie si étroits, que j'ai eu toutes les peines du monde à les mettre, et il y a déjà deux mailles de rompues."")",,1.0,Insertion
296,"('#le-maitre-tailleur', ""Ils ne s'élargiront que trop."")","('#tircis', 'Et le moyen, hélas !')",1.62,Substitution
297,"('#monsieur-jourdain', ""Oui, si je romps toujours des mailles.  Vous m'avez aussi fait faire des souliers qui me blessent furieusement."")",,1.0,Insertion
298,"('#le-maitre-tailleur', 'Point du tout, Monsieur.')",,1.0,Insertion
299,"('#monsieur-jourdain', 'Comment, point du tout ?')",,1.0,Insertion
300,"('#le-maitre-tailleur', 'Non, ils ne vous blessent point.')",,1.0,Insertion
301,"('#monsieur-jourdain', ""Je vous dis qu'ils me blessent, moi."")",,1.0,Insertion
302,"('#le-maitre-tailleur', 'Vous vous imaginez cela.')",,1.0,Insertion
303,"('#monsieur-jourdain', ""Je me l'imagine, parce que je le sens.  Voyez la belle raison !"")",,1.0,Insertion
304,"('#le-maitre-tailleur', ""Tenez, voilà le plus bel habit de la Cour, et le mieux assorti.  C'est un chef-d'oeuvre que d'avoir inventé un habit sérieux qui ne fût pas noir ; et je le donne en six coups aux tailleurs les plus éclairés."")",,1.0,Insertion
305,"('#monsieur-jourdain', ""Qu'est-ce que c'est que ceci ?  Vous avez mis les fleurs en en-bas."")",,1.0,Insertion
306,"('#le-maitre-tailleur', ""Vous ne m'aviez pas dit que vous les vouliez en en-haut."")",,1.0,Insertion
307,"('#monsieur-jourdain', ""Est-ce qu'il faut dire cela ?"")","('#menandre', 'Fais, Fais-toi quelque effort.')",1.44,Substitution
308,"('#le-maitre-tailleur', 'Oui, vraiment.  Toutes les personnes de qualité les portent de la sorte.')",,1.0,Insertion
309,"('#monsieur-jourdain', 'Les personnes de qualité portent les fleurs en en-bas ?')",,1.0,Insertion
310,"('#le-maitre-tailleur', 'Oui, Monsieur.')",,1.0,Insertion
311,"('#monsieur-jourdain', 'Oh voilà qui est donc bien.')",,1.0,Insertion
312,"('#le-maitre-tailleur', 'Si vous voulez, je les mettrai en en-haut.')",,1.0,Insertion
313,"('#monsieur-jourdain', 'Non, non.')",,1.0,Insertion
314,"('#le-maitre-tailleur', ""Vous n'avez qu'à dire."")",,1.0,Insertion
315,"('#monsieur-jourdain', ""Non, vous dis-je, vous avez bien fait.  Croyez-vous que l'habit m'aille bien ?"")",,1.0,Insertion
316,"('#le-maitre-tailleur', ""Belle demande !  Je défie un peintre, avec son pinceau, de vous faire rien de plus juste.  J'ai chez moi un garçon, qui pour monter une rhingrave, est le plus grand génie du monde ; et un autre qui, pour assembler un pourpoint, est le héros de notre temps."")","('#tircis', 'Eh le moyen, hélas ! Quand le mal est si fort ?')",1.68,Substitution
317,"('#monsieur-jourdain', 'La perruque, et les plumes sont-elles comme il faut ?')",,1.0,Insertion
318,"('#le-maitre-tailleur', 'Tout est bien.')",,1.0,Insertion
319,"('#monsieur-jourdain', ""Ah, ah, Monsieur le Tailleur, voilà de mon étoffe du dernier habit que vous m'avez fait.  Je la reconnais bien."")",,1.0,Insertion
320,"('#le-maitre-tailleur', ""C'est que l'étoffe me sembla si belle, que j'en ai voulu lever un habit pour moi."")",,1.0,Insertion
321,"('#monsieur-jourdain', 'Oui, mais il ne fallait pas le lever avec le mien.')",,1.0,Insertion
322,"('#le-maitre-tailleur', 'Voulez-vous mettre votre habit ?')",,1.0,Insertion
323,"('#monsieur-jourdain', 'Oui, donnez-le moi.')",,1.0,Insertion
324,"('#le-maitre-tailleur', ""Attendez.  Cela ne va pas comme cela.  J'ai amené des gens pour vous habiller en cadence, et ces sortes d'habits se mettent avec cérémonie.  Holà, entrez, vous autres.  Mettez cet habit à Monsieur, de la manière que vous faites aux personnes de qualité. Quatre Garçons tailleurs entrent, dont deux lui arrachent le haut-de-chausses de ses exercices, et deux autres la camisole, puis ils lui mettent son habit neuf ; et Monsieur Jourdain se promène entre eux, et leur montre son habit, pour voir s'il est bien. Le tout à la cadence de toute la symphonie."")",,1.0,Insertion
325,"('#garcon-tailleur', ""Mon gentilhomme, donnez, s'il vous plaît, aux garçons quelque chose pour boire."")",,1.0,Insertion
326,"('#monsieur-jourdain', ""Comment m'appelez-vous ?"")",,1.0,Insertion
327,"('#garcon-tailleur', 'Mon gentilhomme.')","('#licaste', 'Ce mal trouvera son remède.')",1.51,Substitution
328,"('#monsieur-jourdain', ""Mon gentilhomme !  Voilà ce que c'est de se mettre en personne de qualité.  Allez-vous en demeurer toujours habillé en bourgeois, on ne vous dira point : Mon gentilhomme.  Tenez, voilà pour mon Gentilhomme."")",,1.0,Insertion
329,"('#garcon-tailleur', 'Monseigneur, nous vous sommes bien obligés. ')",,1.0,Insertion
330,"('#monsieur-jourdain', ""Monseigneur, oh, oh !  Monseigneur !  Attendez, mon ami, Monseigneur mérite quelque chose, et ce n'est pas une petite parole que Monseigneur.  Tenez, voilà ce que Monseigneur vous donne."")",,1.0,Insertion
331,"('#garcon-tailleur', 'Monseigneur, nous allons boire tous à la santé de Votre Grandeur.')",,1.0,Insertion
332,"('#monsieur-jourdain', ""Votre Grandeur oh, oh, oh !  Attendez, ne vous en allez pas.  À moi Votre Grandeur !  Ma foi, s'il va jusqu'à l'Altesse, il aura toute la bourse.  Tenez, voilà pour Ma Grandeur."")",,1.0,Insertion
333,"('#garcon-tailleur', 'Monseigneur, nous la remercions très humblement de ses libéralités.')",,1.0,Insertion
334,"('#monsieur-jourdain', 'Il a bien fait, je lui allais tout donner. ')","('#tircis', ""Je ne guérirai qu'à ma mort."")",1.6,Substitution
335,"('#monsieur-jourdain', ""Suivez-moi, que j'aille un peu montrer mon habit par la ville ; et surtout ayez soin tous deux de marcher immédiatement sur mes pas, afin qu'on voye bien que vous êtes à moi."")",,1.0,Insertion
336,"('#laquais', 'Oui, Monsieur.')",,1.0,Insertion
337,"('#monsieur-jourdain', 'Appelez-moi Nicole, que je lui donne quelques ordres.  Ne bougez, la voilà. ')",,1.0,Insertion
338,"('#monsieur-jourdain', 'Nicole !')","('#licastre #menandre', 'Ah, Tircis !')",0.81,Substitution
339,"('#nicole', 'Plaît-il ?')",,1.0,Insertion
340,"('#monsieur-jourdain', 'Écoutez.')",,1.0,Insertion
341,"('#nicole', 'Hi, hi, hi, hi, hi.')","('#tircis', 'Ah, Bergers !')",1.52,Substitution
342,"('#monsieur-jourdain', ""Qu'as-tu à rire ?"")",,1.0,Insertion
343,"('#nicole', 'Hi, hi, hi, hi, hi, hi.')",,1.0,Insertion
344,"('#monsieur-jourdain', 'Que veut dire cette coquine-là ?')",,1.0,Insertion
