,la-fontaine-daphne,voltaire-pandore,Cost,Operation Type
101,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#pandore', ""À peine j'ai goûté l'aurore de la vie :  Mes yeux s'ouvraient au jour, mon coeur à mon amant :  Je n'ai respiré qu'un moment.  Douce félicité, pourquoi m'es-tu ravie ?  On m'avait fait craindre la mort :  Je l'ai connue, hélas ! Cette mort menaçante :  N'est-ce pas mourir, quand le sort  Nous ravit ce qui nous enchante ?  Dieux, rendez-moi la terre et mon obscurité,  Ce bocage où j'ai vu l'amant qui m'a fait naître :  Il m'avait deux fois donné l'être :  Je respirais, j'aimais : quelle félicité !  À peine j'ai goûté l'aurore de la vie, etc.  Tous les dieux avec tous leurs attributs entrent sur la scène."")",0.54,Substitution
102,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",,1.0,Insertion
103,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
104,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#choeur-des-dieux', ""Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",1.31,Substitution
105,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#neptune', 'Que le sein des mers, ')",1.21,Substitution
106,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",,1.0,Insertion
107,"('#daphne', 'Ah, Clymène ! Plains-moi.')",,1.0,Insertion
108,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#pluton', 'Le fond des enfers, ')",1.6,Substitution
109,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",,1.0,Insertion
110,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#choeur-des-dieux', ""Les mondes divers,  Retentissent  D'éternels concerts.  Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",1.19,Substitution
111,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#pandore', ""Que tout ce que j'entends conspire à m'effrayer !  Je crains, je hais, je fuis cette grandeur suprême.  Qu'il est dur d'entendre louer  Un autre dieu que ce que j'aime ! "")",0.18,Substitution
112,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
113,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",,1.0,Insertion
114,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#les-trois-graces', 'Fille du charmant Amour,  Régnez dans son empire :  La terre vous désire,  Le ciel est votre cour. ')",0.75,Substitution
115,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#pandore', ""Mes yeux sont offensés du jour qui m'environne :  Rien ne me plaît, et tout m'étonne.  Mes déserts avaient plus d'appas.  Disparaissez, ô splendeur infinie !  Mon amant ne vous voit pas.  Cessez, inutile harmonie !  Il ne vous entend pas.  On entend un symphonie. Le choeur recommence. Jupiter sort d'un nuage."")",0.56,Substitution
116,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",,1.0,Insertion
117,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#jupiter', ""Nouveau charme de la nature,  Digne d'être éternel,  Vous tenez de la terre un corps faible et mortel,  Et vous devez cette âme inaltérable et pure  Au feu sacré du ciel.  C'est pour les dieux que vous venez de naître :  Commencez à jouir de la divinité :  Goûtez auprès de votre maître  L'heureuse immortalité. "")",0.0,Match
118,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#pandore', ""Le néant d'où je sors à peine  Est cent fois préférable à ce présent cruel :  Votre immortalité, sans l'objet qui m'enchaîne,  N'est rien qu'un supplice immortel. "")",0.5,Substitution
119,"('#tharsis', 'Je vous verrai.')","('#jupiter', 'Quoi ! Méconnaissez-vous le maître du tonnerre ?  Dans les palais des dieux regrettez-vous la terre. ')",1.67,Substitution
120,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#pandore', ""La terre était mon vrai séjour :  C'est là que j'ai senti l'amour. "")",1.15,Substitution
121,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#jupiter', ""Non, vous n'en connaissez qu'une image infidèle,  Dans un monde indigne de lui.  Que l'amour tout entier, que sa flamme éternelle,  Dont vous sentiez une étincelle,  De tous ses traits de feu nous embrase aujourd'hui "")",0.46,Substitution
122,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#pandore', ""Je les ai tous sentis, du moins j'ose le croire :  Ils ont égalé mes tourments.  Ah ! Vous avez pour vous la grandeur et la gloire :  Laissez les plaisirs aux amants.  Vous êtes dieu, l'encens doit vous suffire :  Vous êtes dieu, comblez mes voeux.  Consolez tout ce qui respire :  Un dieu doit faire des heureux. "")",0.29,Substitution
123,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",,1.0,Insertion
124,"('#telamon', 'Ceci vous trouble et vous étonne.')",,1.0,Insertion
125,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#jupiter', ""Je veux vous rendre heureuse, et par vous je veux l'être.  Plaisirs, qui suivez votre maître,  Ministres plus puissants que tous les autres dieux,  Déployez vos attraits, enchantez ses beaux yeux :  Plaisirs, vous triomphez dès qu'on peut vous connaître.  Les Plaisirs dansent autour de Pandore en chantant ce qui suit."")",0.53,Substitution
126,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",,1.0,Insertion
127,"('#tharsis', 'Tu ris.')",,1.0,Insertion
128,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",0.87,Substitution
129,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",,1.0,Insertion
130,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",,1.0,Insertion
131,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",,1.0,Insertion
132,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")","('#une-voix', ""Sur la terre on poursuit avec peine  Des plaisirs l'ombre légère et vaine :  Elle échappe, et le dégoût la suit.  Si Zéphire un moment plaît à Flore,  Il flétrit les fleurs qu'il fait éclore :  Un seul jour les forme et les détruit. "")",0.54,Substitution
133,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",,1.0,Insertion
134,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",,1.0,Insertion
135,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous.')",0.98,Substitution
136,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")",,1.0,Insertion
137,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#une-voix', ""Les fleurs immortelles  Ne sont qu'en nos champs.  L'Amour et le Temps  Ici n'ont point d'ailes. "")",1.28,Substitution
138,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",,1.0,Insertion
139,"('#penee', 'Laissez-nous achever cette cérémonie.')",,1.0,Insertion
140,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",1.04,Substitution
141,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#pandore', ""Oui, j'aime, oui, doux plaisirs, vous redoublez ma flamme :  Mais vous redoublez ma douleur.  Dieux charmants, si c'est vous qui faites le bonheur,  Allez au maître de mon âme. "")",0.29,Substitution
142,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",,1.0,Insertion
143,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
144,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")",,1.0,Insertion
145,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",,1.0,Insertion
146,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#jupiter', ""Ciel ! Ô ciel ! Quoi ! Mes soins ont ce succès fatal ?  Quoi ! J'attendris son âme, et c'est pour mon rival ! "")",0.61,Substitution
147,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#mercure', 'Jupiter, arme-toi du foudre :  Prends tes feux, va réduire en poudre  Tes ennemis audacieux.  Prométhée est armé : les Titans furieux  Menacent les voûtes des cieux :  Ils entassent des monts la masse épouvantable :  Déjà leur foule impitoyable  Approche de ces lieux. ')",0.82,Substitution
148,"('#telamon', ""N'en saurai-je pas plus ?"")",,1.0,Insertion
149,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
150,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")",,1.0,Insertion
151,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#jupiter', 'Je les punirai tous... Seul, je suffis contre eux. ')",1.36,Substitution
152,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")",,1.0,Insertion
153,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",,1.0,Insertion
154,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#pandore', ""Quoi ! Vous le puniriez, vous qui causez sa peine ?  Vous n'êtes qu'un tyran jaloux et tout-puissant.  Aimez-moi d'un amour encor plus violent,  Je vous punirai par ma haine. "")",0.0,Match
155,,"('#jupiter', 'Marchons, et que la foudre éclate devant moi. ')",1.0,Deletion
156,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#pandore', 'Cruel ! Ayez pitié de mon mortel effroi :  Jugez de mon amour, puisque je vous implore. ')",0.37,Substitution
157,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#jupiter', ""Prends soin de conduire Pandore.  Dieux, que mon coeur est désolé !  J'éprouve les horreurs qui menacent le monde.  L'univers reposait dans une paix profonde : Une beauté parait, l'univers est troublé.  Il sort."")",0.38,Substitution
158,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#pandore', ""Ô jours de ma naissance ! ô charmes trop funestes !  Désirs naissants, que vous étiez trompeurs !  Quoi ! la beauté, l'amour, et les faveurs célestes,  Tous les biens ont fait mes malheurs !  Amour, qui m'as fait naître, apaise tant d'alarmes :  N'es-tu pas souverain des dieux ?  Viens sécher mes larmes,  Enchaîne et désarmes  La terre et les cieux. "")",0.0,Match
159,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",,1.0,Insertion
160,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",,1.0,Insertion
161,"('#leucippe', 'Et mon bien ?')",,1.0,Insertion
162,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")",,1.0,Insertion
163,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")","('#encelade', 'Oui, nos frères et nous, et toute la nature,  Ont senti ta cruelle injure.  La terrible vengeance est déjà dans nos mains : Vois-tu ces monts pendants en précipices ?  Vois-tu ces rochers entassés ?  Ils seront bientôt renversés  Sur les barbares dieux qui nous ont offensés.  Nous punirons les injustices  De nos tyrans jaloux, par nos mains terrassés. ')",0.07,Substitution
164,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')","('#promethee', 'Terre, contre le ciel apprends à te défendre.  Trompettes et tambours, organes des combats,  Pour la première fois vos sons se font entendre :  Éclatez, guidez nos pas.  Le ciel sera le prix de votre heureux courage.  Amis, je ne prétends que Pandore et sa foi.  Laissez-moi ce juste partage :  Marchez, Titans, et suivez-moi.  On sort au son des trompettes.')",0.68,Substitution
165,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")","('#choeur-de-titans', 'Courons aux armes  Contre ces dieux cruels :  Répandons les alarmes  Dans les coeurs immortels.  Courons aux armes  Contre ces dieux cruels. ')",1.72,Substitution
166,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")","('#promethee', 'Le tonnerre en éclats répond à nos trompettes.  Jupiter quitte ses retraites :  La foudre a donné le signal :  Commençons ce combat fatal.  Un char, qui porte les dieux, descend sur les montagnes, au bruit du tonnerre. Pandore est auprès de Jupiter. Prométhée continue. Les géants montent.')",0.9,Substitution
167,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')",,1.0,Insertion
168,"('#telamon', 'Changera-t-il son âme ?')",,1.0,Insertion
169,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",,1.0,Insertion
170,"('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")","('#choeurs-des-nymphes', 'Tambours, trompettes, et tonnerre,  Dieux et Titans, que faites-vous ?  Vous confondez, par vos terribles coups,  Les enfers, le ciel et la terre.  Bruit du tonnerre et des trompettes.')",1.0,Substitution
171,"('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")",,1.0,Insertion
172,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",,1.0,Insertion
173,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')","('#les-titans', ""Cédez, tyrans de l'univers :  Soyez punis de vos fureurs cruelles :  Tombez, tyrans. "")",1.51,Substitution
174,"('#un-berger', ""L'ennemi commun est mort."")",,1.0,Insertion
175,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')","('#les-dieux', 'Mourez, rebelles. ')",1.71,Substitution
176,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",,1.0,Insertion
177,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")",,1.0,Insertion
178,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",,1.0,Insertion
179,"('#un-chasseur', ""L'ours ne vit plus."")",,1.0,Insertion
180,"('#un-berger', ""L'ours a passe l'onde noire."")",,1.0,Insertion
181,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")","('#les-titans', 'Tombez, descendez dans nos fers. ')",1.34,Substitution
182,"('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")",,1.0,Insertion
183,"('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",,1.0,Insertion
184,"('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")","('#les-dieux', 'Précipitez-vous aux enfers. ')",1.32,Substitution
185,"('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")","('#pandore', ""Terre, ciel, ô douleur profonde !  Dieux, Titans, calmez mou effroi.  J'ai causé les malheurs du monde :  Terre, ciel, tout périt pour moi. "")",1.27,Substitution
186,"('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")",,1.0,Insertion
187,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",,1.0,Insertion
188,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")","('#les-titans', 'Lançons nos traits. ')",1.05,Substitution
189,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")",,1.0,Insertion
190,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')","('#les-dieux', 'Frappez, tonnerre. ')",1.46,Substitution
191,"('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')","('#les-titans', 'Renversons les dieux. ')",1.83,Substitution
192,"('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')",,1.0,Insertion
193,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')","('#les-dieux', 'Détruisons la terre. ')",1.47,Substitution
194,"('#aminte', 'Aurait-elle mieux répondu ?')",,1.0,Insertion
195,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")",,1.0,Insertion
196,"('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")",,1.0,Insertion
197,"('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")","('#dieux-titans', 'Tombez, descendez dans nos fers :  Précipitez-vous aux enfers.  Il se fait un grand silence : un nuage brillant descend : le Destin paraît un milieu des nuages.')",0.32,Substitution
198,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",,1.0,Insertion
199,"('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")",,1.0,Insertion
200,"('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")","('#le-destin', 'Arrêtez : le Destin, qui vous commande à tous,  Veut suspendre vos coups.  Il se fait encore un silence.')",0.42,Substitution
201,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
202,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",,1.0,Insertion
203,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")","('#promethee', 'Être inaltérable,  Souverain des temps,  Dicte à nos tyrans  Ton ordre irrévocable. ')",0.97,Substitution
204,"('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",,1.0,Insertion
205,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')",,1.0,Insertion
206,"('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")","('#choeur', 'Ô Destin, parle, explique-toi :  Les dieux fléchiront sous ta loi. ')",0.96,Substitution
207,"('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")",,1.0,Insertion
208,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")",,1.0,Insertion
