,campistron-achille,corneillep-andromede,Cost,Operation Type
57,"('#achille', ""De quel emploi vous chargez-vous ? N'espérez pas de fléchir mon courroux, Diomède je veux achever ma vengeance,  Vos Rois et vos Peuples ingrats, Auraient encor pour moi la même indifférence. S'ils n'avaient besoin de mon bras."")","('#persee', ""Ni le temps ni les dieux ne feront ce miracle. Mais allons : à votre heur je ne mets point d'obstacle, Reine ; c'est l'affaiblir que de le retarder ; Et les dieux ont parlé, c'est à moi de céder."")",0.38,Substitution
58,"('#diomede', 'Quoi ! Leur prompt repentir ne peut vous satisfaire ?')","('#andromede', ""Nymphes, notre guirlande est encore mal ornée ; Et devant qu'il soit peu nous reverrons Phinée, Que de ma propre main j'en voulais couronner Pour les heureux avis qu'il vient de me donner. Toutefois la faveur ne serait pas bien grande, Et mon coeur après tout vaut bien une guirlande. Dans l'état où le ciel nous a mis aujourd'hui, C'est l'unique présent qui soit digne de lui. Quittez, nymphes, quittez ces peines inutiles ; L'augure déplairait de tant de fleurs stériles : Il faut à notre hymen des présages plus doux. Dites-moi cependant laquelle d'entre vous... Mais il faut me le dire, et sans faire les fines."")",1.19,Substitution
59,,"('#aglante', 'Quoi ? Madame.')",1.0,Deletion
60,"('#achille', ""Ils ont pris trop de soin d'attirer ma colère."")",,1.0,Insertion
61,"('#diomede', 'Mais, pouvez-vous aimer un si triste séjour, Et languir en ces lieux dans une vie obscure ? Vous ! À qui les Destins promettaient chaque jour Quelque glorieuse aventure.')","('#andromede', ""à tes yeux je vois que tu devines. Dis-moi donc d'entre vous laquelle a retenu En ces lieux jusqu'ici cet illustre inconnu ; Car enfin ce n'est point sans un peu de mystère Qu'un tel héros s'attache à la cour de mon père : Quelque chaîne l'arrête et le force à tarder. Qu'on ne perde point temps à s'entre-regarder : Parlez, et d'un seul mot éclaircissez mes doutes. Aucune ne répond, et vous rougissez toutes ! Quoi ? Toutes, l'aimez-vous ? Un si parfait amant Vous a-t-il su charmer toutes également ? Il n'en faut point rougir, il est digne qu'on l'aime : Si je n'aimais ailleurs, peut-être que moi-même, Oui, peut-être, à le voir si bien fait, si bien né, Il aurait eu mon coeur, s'il n'eût été donné. Mais j'aime trop Phinée, et le change est un crime."")",0.15,Substitution
62,,"('#aglante', ""Ce héros vaut beaucoup, puisqu'il a votre estime ; Mais il sait ce qu'il vaut, et n'a jusqu'à ce jour À pas une de nous daigné montrer d'amour."")",1.0,Deletion
63,,"('#andromede', 'Que dis-tu ?')",1.0,Deletion
64,,"('#aglante', 'Pas fait même une offre de service.')",1.0,Deletion
65,"('#achille', ""Malgré mes cruels déplaisirs,  Le Déesse de Cythère  En faveur de Thétis ma mère Interrompt mes regrets, et suspend mes soupirs. Cette charmante déesse Vient en ces lieux tous les jours,  Je vois avec elle sans cesse Les grâces, les plaisirs, les jeux et les amours ;  Leur présence est d'un grand secours Contre la plume sombre tristesse."")","('#andromede', ""Ah ! C'est de quoi rougir toutes avec justice ; Et la honte à vos fronts doit bien cette couleur, Si tant de si beaux yeux ont pu manquer son coeur."")",0.58,Substitution
66,"('#diomede', ""C'est pour servir nos ennemis Qn'on prend ces soins mortels à votre gloire, Songez que de vous seul dépend notre victoire,  Et que tout notre sort en vos mains est remis, Faut-il que votre coeur se livre À l'amour de vains plaisir ? Quelque douceur que l'on goûte à les suivre, Un héros doit former de plus nobles désirs."")","('#cephalie', ""Où les vôtres, madame, épandent leur lumière, Cette honte pour nous est assez coutumière. Les plus vives clartés s'éteignent auprès d'eux, Comme auprès du soleil meurent les autres feux ; Et pour peu qu'on vous voie et qu'on vous considère, Vous ne nous laissez point de conquêtes à faire."")",0.06,Substitution
67,"('#achille', ""La Déesse paraît et déjà sa présence Donne à ces lieux mille beautés, J'admire ses bienfaits, j'admire sa puissance, Trop heureux de jouir sur les bords écartés Des plaisirs innocents qui me l'ont présentée."")","('#andromede', ""Vous êtes une adroite ; achevez, achevez : C'est peut-être en effet vous qui le captivez ; Car il aime, et j'en vois la preuve trop certaine. Chaque fois qu'il me parle il semble être à la gêne ; Son visage et sa voix changent à tous propos ; Il hésite, il s'égare au bout de quatre mots ; Ses discours vont sans ordre ; et plus je les écoute, Plus j'entends des soupirs dont j'ignore la route. Où vont-ils, Céphalie ? Où vont-ils ? Répondez."")",0.5,Substitution
68,,"('#cephalie', ""C'est à vous d'en juger, vous qui les entendez."")",1.0,Deletion
69,,"('#page', ""Qu'elle est lente, cette journée !"")",1.0,Deletion
70,,"('#andromede', ""Taisons-nous : cette voix me parle pour Phinée ; Sans doute il n'est pas loin, et veut à son retour Que des accents si doux m'expliquent son amour."")",1.0,Deletion
71,"('#venus', ""J'abandonne les Cieux, je descends sur la Terre : Pour finir de tes maux le déplorable cours, En vain l'injuste sort t'a déclaré la guerre, Espère tout de mon secours. Vous, Divinités aimables, Du plus grand des héros charmés le triste coeur,  Et faites succéder à sa vive douleur Les plaisirs les plus agréables. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#page', ""Qu'elle est lente, cette journée Dont la fin me doit rendre heureux ! Chaque moment à mon coeur amoureux Semble durer plus d'une année. Ô ciel ! Quel est l'heur d'un amant, Si quand il en a l'assurance Sa juste impatience Est un nouveau tourment ? Je dois posséder Andromède : Juge, Soleil, quel est mon bien ! Vis-tu jamais amour égal au mien ? Vois-tu beauté qui ne lui cède ? Puis donc que la longueur du jour De mon nouveau mal est la source, Précipite ta course, Et tarde ton retour. Tu luis encore, et ta lumière Semble se plaire à m'affliger. Ah ! Mon amour te va bien obliger À quitter soudain ta carrière. Viens, Soleil, viens voir la beauté Dont le divin éclat me dompte ; Et tu fuiras de honte D'avoir moins de clarté."")",0.06,Substitution
72,,"('#phinee', ""Ce n'est pas mon dessein, madame, de surprendre, Puisque avant que d'entrer je me suis fait entendre."")",1.0,Deletion
73,,"('#andromede', ""Vos voeux pour les cacher n'étaient pas criminels, Puisqu'ils suivent des dieux les ordres éternels."")",1.0,Deletion
74,,"('#phinee', 'Que me direz-vous donc de leur galanterie ?')",1.0,Deletion
75,"('#une-des-graces', ""Grand héros, le Ciel vous est propice, Vos vertus se font rendre justice, Tout conspire aujourd'hui. À finir votre ennui."")","('#andromede', 'Que je vais vous payer de votre flatterie.')",1.06,Substitution
76,,"('#phinee', 'Comment ?')",1.0,Deletion
77,"('#un-plaisir', ""Si l'Amour a causé vos alarmes, Ses faveurs en auront plus de charmes ; Préparez votre coeur Au plus parfait bonheur. La Danse de ce Divertissement a été faite par Monsieur de Lestang."")","('#andromede', ""En vous donnant de semblables témoins, Si vous aimez beaucoup, que je n'aime pas moins. Approchez, Liriope, et rendez-lui son change ; C'est vous, c'est votre voix que je veux qui me venge. De grâce, écoutez-la ; nous avons écouté, Et demandons silence après l'avoir prêté."")",0.72,Substitution
78,"('#deux-graces #un-plaisir', ""Quel mortel osa jamais prétendre Les soins qu'ici nous venons vous rendre ? Qu'il veut le mériter N'a qu'à vous imiter."")","('#liriope', ""Phinée est plus aimé qu'Andromède n'est belle, Bien qu'ici-bas tout cède à ses attraits ; Comme il n'est point de si doux traits, Il n'est point de coeur si fidèle. De mille appas son visage semé La rend une merveille ; Mais quoiqu'elle soit sans pareille, Phinée est encor plus aimé. Bien que le juste ciel fasse voir que sans crime On la préfère aux nymphes de la mer, Ce n'est que de savoir aimer Qu'elle-même veut qu'on l'estime ; Chacun, d'amour pour elle consumé, D'un coeur lui fait un temple ; Mais quoiqu'elle soit sans exemple, Phinée est encor plus aimé. Enfin, si ses beaux yeux passent pour un miracle, C'est un miracle aussi que son amour, Pour qui Vénus en ce beau jour A prononcé ce digne oracle : Le ciel lui-même, en la voyant, charmé, La juge incomparable ; Mais quoiqu'il l'ait faite adorable, Phinée est encore plus aimé."")",0.44,Substitution
79,,"('#page', 'Heureux amant !')",1.0,Deletion
80,,"('#liriope', 'Heureuse amante !')",1.0,Deletion
81,,"('#page', ""Ils n'ont qu'une âme."")",1.0,Deletion
82,,"('#liriope', ""Ils n'ont tous deux qu'un coeur."")",1.0,Deletion
83,,"('#page', 'Joignons nos voix pour chanter leur bonheur.')",1.0,Deletion
84,,"('#liriope', 'Joignons nos voix pour bénir leur attente.')",1.0,Deletion
85,"('#une-des-graces', ""C'est pour vous que Vénus nous appelle,  Profitez de notre ardeur fidèle,  Vous aurez en ces lieux Tous les plaisirs des Dieux."")","('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")",0.43,Substitution
86,,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')",1.0,Deletion
87,,"('#page', 'Le ciel le veut.')",1.0,Deletion
88,,"('#liriope', ""Vénus l'ordonne."")",1.0,Deletion
89,,"('#page', ""L'amour les joint."")",1.0,Deletion
90,,"('#liriope', ""L'hymen va les unir."")",1.0,Deletion
91,,"('#page', 'Douce union que chacun doit bénir !')",1.0,Deletion
92,,"('#liriope', ""Heureuse amour qu'un tel succès couronne !"")",1.0,Deletion
93,"('#un-plaisir', ""C'est en vain que la haine et l'envie Sont d'accord pour troubler votre vie,  Par notre heureux secours Vous en triompherez toujours."")","('#page #liriope', ""Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous."")",1.05,Substitution
94,,"('#le-choeur', 'Préparons son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec nous.')",1.0,Deletion
95,,"('#andromede', ""Il n'en faut point mentir, leur accord m'a surprise."")",1.0,Deletion
96,"('#deux-graces #un-plaisir', 'Puissiez-vous par nos soins favorables Ne passer que des jours agréables ! Est-il rien de si doux Que de vivre avec nous ?')","('#phinee', ""Madame, c'est ainsi que tout me favorise, Et que tous vos sujets soupirent en ces lieux Après l'heureux effet de cet arrêt des dieux, que leurs souhaits unis..."")",0.54,Substitution
97,"('#arcas', 'Ô déplorable coup du sort !')","('#timante', 'Ah ! Seigneur, ah ! Madame.')",1.27,Substitution
98,"('#achille', 'Je frémis parle !')","('#phinee', 'Que nous veux-tu, Timante, et qui trouble ton âme ?')",1.03,Substitution
99,,"('#timante', 'Le pire des malheurs.')",1.0,Deletion
100,"('#arcas', 'Patrocle est mort,')","('#phinee', 'Le roi serait-il mort ?')",1.19,Substitution
101,,"('#timante', 'Non, seigneur ; mais enfin le triste choix du sort Vient de tomber... Hélas ! Pourrai-je vous le dire ?')",1.0,Deletion
102,,"('#andromede', 'Est-ce sur quelque objet pour qui ton coeur soupire ?')",1.0,Deletion
103,"('#achille', 'Ciel ! Quelle affreuse nouvelle ! Laissez-moi, fuyez de ces lieux, Vos appas, vos concerts, et tous les soins des Dieux Ne sauraient plus calmer ma tristesse mortelle.')","('#timante', ""Soupirer à vos yeux du pire de ses coups, N'est-ce pas dire assez qu'il est tombé sur vous ?"")",0.88,Substitution
104,,"('#phinee', 'Qui te fait nous donner de si vaines alarmes ?')",1.0,Deletion
105,"('#achille #arcas', ""Courons venger cet ami que je perds, Que de sang et de morts tous ces champs soient couverts Que son fier vainqueur périsse ! Je dois à l'amitié ce juste sacrifice. Mânes de ce guerrier dont je pleure le sort,  Je vous promet une prompte vengeance,  J'en atteste des Dieux la suprême puissance,  Je cours chercher Hector, je cours hâter sa mort. Dans l'éternelle nuit son ombre va vous suivre. Ou moi-même aujourd'hui je cesserai de vivre,"")","('#timante', ""Si vous n'en croyez pas mes soupirs et mes larmes, Vous en croirez le roi, qui bientôt à vos yeux La va livrer lui-même aux ministres des dieux."")",0.25,Substitution
106,,"('#phinee', ""C'est nous faire, Timante, un conte ridicule ; Et je tiendrais le roi bien simple et bien crédule, Si plus qu'une déesse il en croyait le sort."")",1.0,Deletion
107,,"('#timante', ""Le roi non plus que vous ne l'a pas cru d'abord ; Il a fait par trois fois essayer sa malice, Et l'a vu par trois fois faire même injustice : Du vase par trois fois ce beau nom est sorti."")",1.0,Deletion
108,,"('#phinee', ""Et toutes les trois fois le sort en a menti. Le ciel a fait pour vous une autre destinée : Son ordre est immuable, il veut notre hyménée ; Il le veut, il y met le bonheur de ces lieux ; Et ce n'est pas au sort à démentir les dieux."")",1.0,Deletion
109,"('#diomede', ""Puisqu'Achille combat, nous allons triompher Notre victoire est certaine; Cessez de le haïr, hâtez-vous d'étouffer Le malheureux amour qui cause votre haine, Vous devez rendre à ce héros Le charmant objet de sa flamme."")","('#andromede', ""Assez souvent le ciel par quelque fausse joie Se plaît à prévenir les maux qu'il nous envoie ; Du moins il m'a rendu quelques moments bien doux Par ce flatteur espoir que j'allais être à vous. Mais puisque ce n'était qu'une trompeuse attente, Gardez mon souvenir, et je mourrai contente."")",0.55,Substitution
110,"('#agamemnon', ""Ah ! S'il faut à ce prix assurer son repos, Dieux ! Qu'il en coûtera de tourments à mon âme !"")","('#phinee', ""Et vous mourrez contente ! Et j'ai pu mériter Qu'avec contentement vous puissiez me quitter ! Détacher sans regret votre âme de la mienne ! Vouloir que je le voie, et que je m'en souvienne ! Et mon fidèle amour qui reçut votre foi Vous trouve indifférente entre la mort et moi ! Oui, je m'en souviendrai, vous le voulez, madame ; J'accepte le supplice où vous livrez mon âme ; Mais quelque peu d'amour que vous me fassiez voir, Le mien n'oubliera pas les lois de son devoir. Je dois, malgré le sort, je dois, malgré vous-même, Si vous aimez si mal, vous montrer comme on aime, Et faire reconnaître aux yeux qui m'ont charmé Que j'étais digne au moins d'être un peu mieux aimé. Vous l'avouerez bientôt, et j'aurai cette gloire, Qui dans tout l'avenir suivra notre mémoire, Que pour se voir quitter avec contentement, Un amant tel que moi n'en est pas moins amant."")",0.53,Substitution
111,"('#diomede', ""Si vous pouviez fléchir la cruelle beauté, Dont votre coeur est enchanté, J'excuserais une injustice Qui finirait votre sort rigoureux; Mais je dois condamner un funeste caprice, Qui vous rend, tout ensemble injuste et malheureux."")","('#andromede', ""C'est donc trop peu pour moi que des malheurs si proches, Si vous ne les croissez par d'injustes reproches ! Vous quitter sans regret ! Les dieux me sont témoins Que j'en montrerais plus si je vous aimais moins. C'est pour vous trop aimer que je parois toute autre : J'étouffe ma douleur pour n'aigrir pas la vôtre ; Je retiens mes soupirs de peur de vous fâcher, Et me montre insensible afin de moins toucher. Hélas ! Si vous savez faire voir comme on aime, Du moins vous voyez mal quand l'amour est extrême ; Oui, Phinée, et je doute, en courant à la mort, Lequel m'est plus cruel, ou de vous, ou du sort."")",0.0,Match
112,"('#agamemnon', ""Il est vrai que j'attaque un coeur inexorable, Je ne puis fléchir sa rigueur ; Mais, comptez-vous pour rien la flatteuse douceur De rendre un rival misérable ?"")","('#phinee', ""Hélas ! Qu'il était grand quand je l'ai cru s'éteindre, Votre amour ! Et qu'à tort ma flamme osait s'en plaindre ! Princesse, vous pouvez me quitter sans regret : Vous ne perdez en moi qu'un amant indiscret, Qu'un amant téméraire, et qui même a l'audace D'accuser votre amour quand vous lui faites grâce ; Mais pour moi, dont la perte est sans comparaison, Qui perds en vous perdant et lumière et raison, Je n'ai que ma douleur qui m'aveugle et me guide : Dessus toute mon âme elle seule préside ; Elle y règne, et je cède entier à son transport ; Mais je ne cède pas aux caprices du sort. Que le roi par scrupule à sa rigueur défère, Qu'une indigne équité le fasse injuste père, La reine et mon amour sauront bien empêcher Qu'un choix si criminel ne coûte un sang si cher. J'ose tout, je puis tout après un tel oracle."")",0.0,Match
113,"('#diomede', ""Le malheur d'un rival flatte-t-il votre ennui, Quand vous êtes encor plus malheureux que lui ? Rappelez votre courage,  Que la raison vous dégage De vos fatales amours"")","('#timante', ""La reine est hors d'état d'y joindre aucun obstacle : Surprise comme vous d'un tel événement, Elle en a de douleur perdu tout sentiment ; Et sans doute le roi livrera la princesse Avant qu'on l'ait pu voir sortir de sa faiblesse."")",0.63,Substitution
114,,"('#phinee', ""Eh bien ! Mon amour seul saura jusqu'au trépas, malgré tous..."")",1.0,Deletion
115,,"('#andromede', 'Le roi vient ; ne vous emportez pas.')",1.0,Deletion
116,"('#agamemnon', ""Que peut la raison le triste et vain secours Contre les traits vainqueurs d'une beauté cruelle ? Quand l'amour à nos yeux vient l'offrir tous les jours, Avec quelques grâces nouvelles. Ranimons toutefois mon courage abattu, C'est nourrir trop longtemps une vaine tendresse, Surmontons ma faiblesse,  Par un dernier effort digne de ma vertu."")","('#cephee', ""Ma fille, si tu sais les nouvelles funestes De ce dernier effort des colères célestes, Si tu sais de ton sort l'impitoyable cours, Qui fait le plus cruel du plus beau de nos jours, épargne ma douleur, juges-en par sa cause, Et va sans me forcer à te dire autre chose."")",0.0,Match
117,"('#diomede', ""Achille est triomphant, je le vois qui s'avance Suivi de nos soldats, charmés de sa valeur."")","('#andromede', ""Seigneur, je vous l'avoue, il est bien rigoureux De tout perdre au moment qu'on se doit croire heureux ; Et le coup qui surprend un espoir légitime Porte plus d'une mort au coeur de la victime. Mais enfin il est juste, et je le dois bénir : La cause des malheurs les doit faire finir. Le ciel, qui se repent sitôt de ses caresses, Verra plus de constance en moi qu'en ses promesses : Heureuse, si mes jours un peu précipités Satisfont à ces dieux pour moi seule irrités, Si je suis la dernière à leur courroux offerte, Si le salut public peut naître de ma perte ! Malheureuse pourtant de ce qu'un si grand bien Vous a déjà coûté d'autre sang que le mien, Et que je ne suis pas la première et l'unique Qui rende à votre état la sûreté publique !"")",0.61,Substitution
118,,"('#phinee', 'Quoi ? Vous vous obstinez encore à me trahir ?')",1.0,Deletion
119,"('#agamemnon', 'Éloignons-nous, évitons sa présence, Je ne saurais encore répondre de mon coeur.')","('#andromede', 'Je vous plains, je me plains, mais je dois obéir.')",1.2,Substitution
120,,"('#phinee', 'Honteuse obéissance à qui votre amour cède !')",1.0,Deletion
121,"('#le-choeur', 'Guerrier terrible, Soyez toujours invincible, Que vos exploits Fassent trembler tous les rois. Ciel équitable, Sois lui toujours favorable Que son bonheur Soit égal à sa valeur ! Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. Quelle allégresse ! Quel triomphe pour la Grèce ! Ses ennemis  Lui seront bientôt soumis. Guerrier terrible Soyez toujours invincible ; Que vos exploits Fassent trembler tous les Rois. La Danse de ce divertissement a été faite par Mr. Pécourt.')","('#cephee', ""Obéissance illustre, et digne d'Andromède ! Son nom comblé par là d'un immortel honneur..."")",1.34,Substitution
122,"('#capitaines-grecs', ""Venez tous, à l'envie, secondez notre ardeur Honorez votre heureux défenseur, Célébrez sa victoire, Chantez sa valeur et sa gloire, Que tous nos rois Charmés de ses exploits, Soient soumis à ses lois !"")","('#phinee', ""Je l'empêcherai bien, ce funeste bonheur. Andromède est à moi, vous me l'avez donnée ; Le ciel pour notre hymen a pris cette journée ; Vénus l'a commandé : qui me la peut ôter ? Le sort auprès des dieux se doit-il écouter ? Ah ! Si j'en vois ici les infâmes ministres S'apprêter aux effets de ses ordres sinistres..."")",0.63,Substitution
123,"('#le-choeur', ""Suivons, suivons sans cesse Ce héros, ce fameux vainqueur C'est à son bras que la Grèce  Doit sa force et son bonheur. Chantons la valeur et sa gloire Du héros qui nous a sauvé Qu'ils jouissent après sa victoire Des honneurs éclatants à lui seul réservés. Chantons la valeur et la gloire Du héros qui nous a sauvé. De ses heureux travaux chérissons la mémoire, Consacrons-lui des jours qu'il nous a conservés. Chantons la valeur et la gloire Du héros qui nous a sauvé."")","('#cephee', ""Apprenez que le sort n'agit que sous les dieux, Et souffrez comme moi le bonheur de ces lieux. Votre perte n'est rien au prix de ma misère : Vous n'êtes qu'amoureux, Phinée, et je suis père. Il est d'autres objets dignes de votre foi ; Mais il n'est point ailleurs d'autres filles pour moi. Songez donc mieux qu'un père à ces affreux ravages Que partout de ce monstre épandirent les rages ; Et n'en rappelez pas l'épouvantable horreur, Pour trop croire et trop suivre une aveugle fureur."")",0.68,Substitution
124,"('#achille', ""Allez, que chacun court où son devoir l'appelle, Vos soins pour moi feraient trop de jaloux, Et de mes ennemis la vengeance cruelle Ne pouvant m'accabler retomberait sur vous."")","('#phinee', ""Que de nouveau ce monstre entré dessus vos terres Fasse à tous vos sujets d'impitoyables guerres, Le sang de tout un peuple est trop bien employé Quand celui de ses rois en peut être payé ; Et je ne connais point d'autre perte publique Que celle où vous condamne un sort si tyrannique."")",0.1,Substitution
125,,"('#cephee', 'Craignez ces mêmes dieux qui président au sort.')",1.0,Deletion
126,"('#arcas', ""Venez, marchez, sans défiance, Les grecs vous ont donné leur foi Achille est généreux, craignez moins sa présence Et qu'une juste espérance succède à votre effroi."")","('#phinee', ""Qu'entre eux-mêmes ces dieux se montrent donc d'accord. Quelle crainte après tout me pourrait y résoudre ? S'ils m'ôtent Andromède, ont-ils quelque autre foudre ? Il n'est plus de respect qui puisse rien sur moi ; Andromède est mon sort, et mes dieux, et mon roi ; Punissez un impie, et perdez un rebelle ; Satisfaites le sort en m'exposant pour elle : J'y cours ; mais autrement je jure ses beaux yeux, Et mes uniques rois, et mes uniques Dieux... Ici le tonnerre commence à rouler avec un si grand bruit, et accompagné d'éclairs redoublés avec tant de promptitude, que cette feinte donne de l'épouvante aussi bien que de l'admiration, tant elle approche du naturel. On voit cependant descendre Éole avec huit vents, dont quatre sont à ses deux côtés, en sorte toutefois que les deux plus éloignés sont comme volants en l'air tout conte ce même nuage. Les quatre autres paraissent deux à deux au milieu de l'air sur les ailes du théâtre, deux à la main gauche et deux à la main droite : ce qui n'empêche pas Phinée de continuer ses blasphèmes."")",0.42,Substitution
127,"('#priam', ""Restes infortunés du plus beau sang du monde, Polixène, ma fille et vous, veuve d'Hector, Mêlez vos pleurs aux miens, et s'il se peut encor Que tout redouble ici notre douleur profonde."")","('#cephee', ""Arrêtez : ce nuage enferme une tempête Qui peut-être déjà menace votre tête. N'irritez plus les dieux déjà trop irrités."")",0.64,Substitution
128,,"('#phinee', ""Qu'il crève, ce nuage, et que ces déités..."")",1.0,Deletion
129,,"('#cephee', 'Ne les irritez plus, vous dis-je, et prenez garde...')",1.0,Deletion
130,"('#priam #andromaque #polixene', 'Puissions-nous attendrir le coeur De ce superbe vainqueur !')","('#phinee', ""À les trop irriter qu'est-ce que je hasarde ? Que peut craindre un amant quand il voit tout perdu ? Tombe, tombe sur moi leur foudre, s'il m'est dû ! Mais s'il est quelque main assez lâche et traîtresse Pour suivre leur caprice et saisir ma princesse, Seigneur, encore un coup, je jure ses beaux yeux, Et mes uniques rois, et mes uniques dieux..."")",0.74,Substitution
131,"('#priam', ""Vous voyez, guerrier indomptable Un roi qui fut longtemps le plus puissant des rois ; C'est ce même Priam, qui tenait sous ses lois Des Troyens renommés, l'empire redoutable; C'est lui, que le dernier de vos fameux exploits Vient de rendre plus misérable, Qui ne fut heureux autrefois."")","('#eole', ""Téméraire mortel, n'en dis pas davantage ; Tu n'obliges que trop les dieux à te haïr : Quoi que pense attenter l'orgueil de ton courage, Ils ont trop de moyens de se faire obéir. Connais-moi pour ton infortune ; Je suis Éole, roi des vents. Partez, mes orageux suivants, Faites ce qu'ordonne Neptune."")",0.27,Substitution
132,,"('#andromede', 'ô ciel !')",1.0,Deletion
133,,"('#cephee', ""Ils l'ont saisie, et l'enlèvent en l'air."")",1.0,Deletion
134,,"('#phinee', 'Ah ! Ne présumez pas ainsi me la voler : Je vous suivrai partout malgré votre surprise.')",1.0,Deletion
135,"('#achille', ""Le sort ne peut changer l'auguste caractère, Dont les Dieux vous ont revêtu. Je le respecte en vous, je plains votre vertu, Je sens expirer ma colère, Je cesse de haïr mes plus grands ennemis, Sitôt que je les vois, ou vaincus ou soumis."")","('#persee', 'Seigneur, un tel péril ne veut point de remise ; Mais espérez encor, je vole à son secours, Et vais forcer le sort à prendre un autre cours.')",0.65,Substitution
136,,"('#cephee', ""Vingt amants pour Nérée en firent l'entreprise ; Mais il n'est point d'effort que ce monstre ne brise. Tous voulurent sauver ses attraits adorés, Tous furent avec elle à l'instant dévorés."")",1.0,Deletion
137,"('#andromaque', ""J'ai perdu mon époux dans un combat funeste, Votre valeur me l'a ravi ; Mon amour, chez les morts, l'aurait déjà suivi, Sans les soins que je dois au seul fils qui me reste. Vous le savez, Dieux que j'atteste! Au sort de cet enfant, mon sort est asservi ; Je l'ai perdu cet époux que j'adore, Et pour comble d'horreur, je sais qu'il est encore Indignement privé, par des ordres cruels D'un droit, que le trépas donne à tous les mortels : Souffrez que je le rende aux murs qui l'ont vu naître, Qu'un superbe tombeau fasse du moins connaître La splendeur de son sang, son sort, et mon amour. Ce tombeau servira de temple à votre gloire, Puisque tout l'avenir y verra, quelque jour, L'histoire de nos maux, et de votre victoire."")","('#persee', ""Le ciel aime Andromède, il veut son hyménée, Seigneur ; et si les vents l'arrachent à Phinée, Ce n'est que pour la rendre à quelque illustre époux Qui soit plus digne d'elle, et plus digne de vous ; À quelque autre par là les dieux l'ont réservée. Vous saurez qui je suis quand je l'aurai sauvée. Adieu : par des chemins aux hommes inconnus Je vais mettre en effet l'oracle de Vénus. Le temps nous est trop cher pour le perdre en paroles."")",0.05,Substitution
138,,"('#cephee', ""Moi, qui ne puis former d'espérances frivoles, Pour ne voir point courir ce grand coeur au trépas, Je vais faire des voeux qu'on n'écoutera pas."")",1.0,Deletion
139,,"('#timante', ""Allons voir, chers amis, ce qu'elle est devenue, La princesse, et mourir, s'il se peut, à sa vue."")",1.0,Deletion
140,,"('#le-choeur', ""La voilà que ces vents achèvent d'attacher, En infâmes bourreaux, à ce fatal rocher."")",1.0,Deletion
141,,"('#timante', ""Oui, c'est elle sans doute. Ah ! L'indigne spectacle !"")",1.0,Deletion
142,,"('#le-choeur', ""Si le ciel n'est injuste, il lui doit un miracle."")",1.0,Deletion
143,,"('#timante', ""Il en fera voir un, s'il en croit nos désirs."")",1.0,Deletion
144,,"('#andromede', 'ô dieux !')",1.0,Deletion
145,"('#achille', 'Quels regrets ! Quels tristes accents ! Dieux ! Que la douleur est tendre ! Que ses soupirs sont puissants ! Que je souffre à les entendre !')","('#timante', 'Avec respect écoutons ses soupirs ; Et puissent les accents de ses premières plaintes Porter dans tous nos coeurs de mortelles atteintes !')",0.26,Substitution
146,,"('#andromede', ""Affreuse image du trépas Qu'un triste honneur m'avait fardée, Surprenantes horreurs, épouvantable idée, Qui tantôt ne m'ébranliez pas, Que l'on vous conçoit mal quand on vous envisage Avec un peu d'éloignement ! Qu'on vous méprise alors ! Qu'on vous brave aisément ! Mais que la grandeur de courage Devient d'un difficile usage Lorsqu'on touche au dernier moment ! Ici seule, et de toutes parts À mon destin abandonnée, Ici que je n'ai plus ni parents, ni Phinée, Sur qui détourner mes regards, L'attente de la mort de tout mon coeur s'empare, Il n'a qu'elle à considérer ; Et quoi que de ce monstre il s'ose figurer, Ma constance qui s'y prépare Le trouve d'autant plus barbare Qu'il diffère à me dévorer. Étrange effet de mes malheurs ! Mon âme traînante, abattue, N'a qu'un moment à vivre, et ce moment me tue À force de vives douleurs. Ma frayeur a pour moi mille mortelles feintes, Cependant que la mort me fuit : Je pâme au moindre vent, je meurs au moindre bruit ; Et mes espérances éteintes N'attendent la fin de mes craintes Que du monstre qui les produit. Qu'il tarde à suivre mes désirs ! Et que sa cruelle paresse À ce coeur dont ma flamme est encore la maîtresse Coûte d'amers et longs soupirs ! Ô toi, dont jusqu'ici la douceur m'a suivie, Va-t'en, souvenir indiscret ; Et cessant de me faire un entretien secret De ce prince qui m'a servie, Laisse-moi sortir de la vie Avec un peu moins de regret. C'est assez que tout l'univers Conspire à faire mes supplices ; Ne les redouble point, toi qui fus mes délices, En me montrant ce que je perds ; Laisse-moi..."")",1.0,Deletion
