,la-fontaine-climene,la-harpe-muses-rivales,Cost,Operation Type
96,"('#climene', ""Il est vrai, ce refus n'est pas fort à ma gloire. Dédaigner mes baisers ! Cela se peut-il croire ? Acanthe, je le vois, n'est pas fin à demi : Il devait aujourd'hui promettre d'être ami ; Demain il eût repris son premier personnage."")","('#calliope', ""Peut-être plus longtemps je pourrais contester ; Mais le coeur est pour vous, et ce juge m'entraîne. Je cède... Eh ! quoi ? Momus !"")",0.49,Substitution
97,"('#acanthe', ""Et Clymène aurait pu souffrir ce badinage ? Un baiser n'aurait pas irrité ses esprits ?"")",,1.0,Insertion
98,"('#climene', ""Qu'importe ? L'on s'apaise, et c'est autant de pris. Vous en pourriez déjà compter une douzaine."")",,1.0,Insertion
99,"('#acanthe', ""Madame, c'en est trop : à quoi bon tant de peine ? Pour douze d'amitié donnez-m'en un d'amour."")",,1.0,Insertion
100,"('#climene', ""C'est perdre doublement ; je le rendrais trop court."")",,1.0,Insertion
101,"('#acanthe', 'Mais, Madame, voyons.')",,1.0,Insertion
102,"('#climene', ""Mais, Acanthe, vous dis-je, L'amitié seulement à ces faveurs m'oblige."")","('#momus', 'Le Dieu de la gaîté Doit être de toutes les fêtes. Je fais les apprêts que vous faites ; J\'espère parmi vous n\'être point rebuté. On dit qu\'à votre Cour vous appelez Voltaire > Il recevra mon compliment : Nous sommes bons amis, vraiment ; Et quand vos grands objets (soit dit sans vous déplaire) Avaient fatigué son cerveau, Je venais sans cérémonie Me glisser près de son bureau Et lui conter quelque saillie. J\'en fus toujours très bien traité ; Je ne veux point m\'en faire accroire ; Mais j\'étais bon à sa santé, Et ne nuisis point à sa gloire. Nous causions tous les deux : il avait plus d\'un ton, Et goûtait volontiers le nôtre. Tout Français est gai, nous dit-on, Et Voltaire en ce sens fût plus Français qu\'un autre. C\'est pour le délasser qu\'avec lui j\'ai vécu. Je doute qu\'on me le reproche. J\'ai dicté les ""vous"" et les ""tu"" Et j\'ai Candide dans ma poche.')",0.76,Substitution
103,"('#acanthe', ""Eh bien, je consens d'être ami pour un moment."")","('#clio', 'Seigneur Momus, ici soyez le bien venu.')",1.13,Substitution
104,"('#climene', ""Sous la peau de l'ami, je craindrais que l'amant Ne demeurât caché pendant tout le mystère. L'heure sonne, il est tard ; n'avez vous point affaire ?"")",,1.0,Insertion
105,"('#acanthe', ""Non ; et quand j'en aurais, ces moments sont trop doux."")",,1.0,Insertion
106,"('#climene', 'Je me veux habiller ; adieu, retirez-vous.')",,1.0,Insertion
107,"('#apollon', 'Vous finissez bientôt !')",,1.0,Insertion
108,"('#melpomene', ""Point trop pour des pucelles. Ces discours leur siéent mal, et vous vous moquez d'elles."")",,1.0,Insertion
109,"('#apollon', ""Moi, me moquer pourquoi ? J'en ouïs l'autre jour Deux de quinze ans parler plus savamment d'amour. Ce que sur vos amants je trouverais à dire C'est qu'ils pleuraient tantôt, et vous les faites rire. De l'air dont ils se sont tout à l'heure expliqués, Ce ne sauraient être eux, s'ils ne se sont masqués."")","('#momus', ""Mais je le fuis partout, et dans l'Olympe même, Où du grand Jupiter la majesté suprême Se divertit de mes bons mots, Et déride son front à mes joyeux propos. À mes jeux Minerve s'abaisse, Et permet que les ris soient près de la sagesse. Mais ce qui doit surtout me donner du renom, J'ai fait rire jusqu'à Junon ; Ce jour-là Jupiter la trouva plus jolie. Aux Dieux comme aux mortels, je suis d'un grand secours Sans moi dans l'Olympe on s'ennuie, Tout comme dans les autres Cours."")",0.14,Substitution
110,"('#melpomene', 'Vous vouliez du plaisant, comment eût-on pu faire ?')",,1.0,Insertion
111,"('#apollon', ""J'en voulais, il est vrai, mais dans leur caractère."")",,1.0,Insertion
112,"('#thalie', ""Sire, Acanthe est un homme inégal à tel point, Que d'un moment à l'autre on ne le connaît point : Inégal en amour, en plaisir, en affaire ; Tantôt gai, tantôt triste ; un jour il désespère ; Un autre jour il croit que la chose ira bien. Pour vous en parler franc, nous n'y connAissons rien. Clymène aime à railler : toutefois, quand Acanthe S'abandonne aux soupirs, se plaint et se tourmente, La pitié qu'elle en a lui donne un sérieux Qui fait que l'amitié n'en va souvent que mieux."")","('#clio', ""Votre gaîté vive et légère N'est point au Parnasse étrangère. Thalie est avec vous, ce me semble, assez bien."")",0.61,Substitution
113,"('#apollon', 'Clio, divertissez un peu la compagnie.')",,1.0,Insertion
114,"('#clio', 'Sire, me voilà prête.')",,1.0,Insertion
115,"('#apollon', 'Il me prend une envie De goûter de ce genre où Marot excellait.')",,1.0,Insertion
116,"('#clio', 'Eh bien, sire, il vous faut donner un triolet.')",,1.0,Insertion
117,"('#apollon', ""C'est trop ; vous nous deviez proposer un distique. Au reste, n'allez pas chercher ce style antique Dont à peine les mots s'entendent aujourd'hui : Montez jusqu'à Marot, et point par delà lui : Même son tour suffit."")",,1.0,Insertion
118,"('#clio', ""J'entends il reste, sire, Que Votre Majesté seulement daigne dire Ce qu'il lui plaît, ballade, épigramme, ou rondeau. J'aime fort les dizains."")",,1.0,Insertion
119,"('#apollon', ""En un sujet si beau Le dizain est trop court ; et, vu votre matière, La ballade n'a point de trop ample carrière."")",,1.0,Insertion
120,"('#clio', ""Je pris de loin Clymène l'autre fois Pour une Grâce en ses charmes nouvelle : Grâce, s'entend, la première des trois ; J'eusse autrement fait tort à cette belle : Puis approchant, et frottant ma prunelle, Je me repris, et dis soudainement : Voilà Vénus ; c'est elle assurément : Non, je me trompe, et mon oeil se mécompte. Cyprine là ? Je faille lourdement ; Telle n'est point la reine d'Amathonte. Voyons pourtant ; car chacun, d'une voix, En fait d'appas, prend Vénus pour modèle. Je me mis lors à compter par mes doigts Tous les attraits de la gente pucelle, Afin de voir si ceux de l'immortelle Y cadreraient, à peu près seulement : Mais le moyen ? Je n'y vins nullement, Trouvant ici beaucoup plus que le compte. Qu'est ceci, dis-je, et quel enchantement ? Telle n'est point la reine d'Amathonte. Acanthe vint tandis que je comptais. Cette beauté le fit asseoir près d'elle. J'entendis tout, les zéphyrs étaient cois. Plus de cent fois il l'appela cruelle, Inexorable, à l'amour trop rebelle ; Et le surplus que dit un pauvre amant. Clymène oyait cela négligemment. Le mot d'amour lui donnait quelque honte. Si de ce lieu la chronique ne ment, Telle n'est point la reine d'Amathonte. Ne recours plus, Acanthe, au changement. Loin de trouver en ce bas élément Quelque autre objet qui ta dame surmonte, Dans les palais qui sont au firmament Telle n'est point la reine d'Amathonte."")","('#momus', ""Je dois vous l'avouer : je me plais sur la terre. Il est vrai que des gens dont l'humeur est austère Parfois m'y traitent en vaurien, Me refusent d'abord l'accès que je demande ; Mais de leur échapper le moyen, est aisé : Caché sous le manteau, je passe déguisé, Et comme un Dieu de contrebande. Ainsi je les mets en défaut ; Eux-mêmes quelquefois usant de complaisance, Ils m'ont dit avec indulgence : « Ris, on te le permet; rire est ce qu'il nous faut ; Mais ne te nomme pas, et ne ris pas trop haut. »"")",0.17,Substitution
121,"('#apollon', ""Votre tour est venu, Calliope essayez Un de ces deux chemins qu'aux auteurs ont frayés Deux écrivains fameux ; je veux dire Malherbe, Qui louait ses héros en un style superbe ; Et puis maître Vincent, qui même aurait loué Proserpine et Pluton en un style enjoué."")","('#calliope', ' Cet avis est un bon office.')",1.45,Substitution
122,"('#calliope', ""Sire, vous nommez là deux trop grands personnages. Le moyen d'imiter sur-le-champ leurs ouvrages ?"")",,1.0,Insertion
123,"('#apollon', ""Il faut que je me sois sans doute expliqué mal . Car, vouloir qu'on imite aucun original N'est mon but, ni ne doit non plus être le vôtre, Hors ce qu'on fait passer d'une langue en une autre. C'est un bétail servile et sot, à mon avis, Que les imitateurs ; on dirait des brebis Qui n'osent avancer qu'en suivant la première, Et s'iraient sur ses pas jeter dans la rivière. Je veux donc seulement que vous nous fassiez voir, En ce style où Malherbe a montré son savoir, Quelque essai des beautés qui sont propres à l'ode ; Ou si, ce genre-là n'étant plus à la mode Et demandant d'ailleurs un peu trop de loisir, L'autre vous semble plus selon votre désir, Vous louiez galamment la maîtresse d'Acanthe, Comme maître Vincent, dont la plume élégante Donnait à son encens un goût exquis et fin, Que n'avait pas celui qui partait d'autre main."")","('#momus', ""Oh ! Vraiment qans cela je vous aurais conté Les folâtres accès de verve et de gaîté, Où j'eus Voltaire pour complice ; Nous y mettions parfois quelque peu de malice. Mais il faut bien être discret ; Le public même ici me prescrit de me taire ; Son exemple est pour moi la leçon du mystère ; Ce public, qui sait tout, nous garde le secret."")",0.25,Substitution
124,"('#calliope', ""Je vais, puisqu'il vous plaît, hasarder quelque stance. Si je débute mal, imposez-moi silence."")",,1.0,Insertion
125,"('#apollon', 'Calliope manquer !')","('#calliope', 'Momus est devenu bien sage.')",1.38,Substitution
126,"('#calliope', ""Pourquoi non ? Très souvent. L'ode est chose pénible, et surtout dans le grand. Toi, qui soumets les dieux aux passions des hommes, Amour, souffriras-tu qu'en ce siècle où nous sommes, Clymène montre un coeur insensible à tes coups? Cette belle devrait donner d'autres exemples Tu devrais l'obliger, pour l'honneur de tes temples, D'aimer ainsi que nous."")","('#momus', 'Ah ! Je puis enfin au seigneur Apollon Présenter ici mon hommage. Quoi ! Les Grâces aussi dans le sacré vallon !')",0.71,Substitution
127,"('#uranie', ""Les Muses n'aiment pas."")",,1.0,Insertion
128,"('#calliope', ""Et qui les en soupçonne? Ce NOUS n'est pas pour nous ; je parle en la personne Du sexe en général, des dévotes d'amour."")",,1.0,Insertion
129,"('#apollon', ""Calliope a raison ; qu'elle achève à son tour."")",,1.0,Insertion
130,"('#calliope', ""J'en demeurerai là, si vous l'agréez, sire. On m'a fait oublier ce que je voulais dire."")",,1.0,Insertion
131,"('#apollon', 'à vous donc, Polymnie ; entrez en lice aussi.')",,1.0,Insertion
132,"('#polymnie', 'Sur quel ton ?')",,1.0,Insertion
133,"('#apollon', ""Je vois bien que sur ce dernier-ci L'on ne réussit pas toujours comme on souhaite. Calliope a bien fait d'user d'une défaite ;  Cette interruption est venue à propos / C'est pourquoi choisissez des tons un peu moins hauts. Horace en a de tous ; voyez ceux qui vous duisent : J'aime fort les auteurs qui sur lui se conduisent Voilà les gens qu'il faut à présent imiter."")",,1.0,Insertion
134,"('#polymnie', ""C'est bien dit, si cela pouvait s'exécuter : Mais avons-nous l'esprit qu'autrefois à cet homme Nous savions inspirer sur le déclin de Rome ? Tout est trop fort déchu dans le sacré vallon."")",,1.0,Insertion
135,"('#apollon', ""J'en conviens, jusque même au métier d'Apollon : Il n'est rien qui n'empire, hommes, dieux ; mais que faire ? Irons-nous pour cela nous cacher et nous taire ? Je ne regarde pas ce que j'étais jadis, Mais ce que je serai quelque jour, si je vis. Nous vieillissons enfin, tout autant que nous sommes De dieux nés de la fable, et forgés par les hommes. Je prévois par mon art un temps où l'univers Ne se souciera plus ni d'auteurs, ni de vers ; Où vos divinités périront, et la mienne. Jouons de notre reste avant que ce temps vienne. C'est à vous, Polymnie, à nous entretenir."")",,1.0,Insertion
136,"('#polymnie', ""Je songeais aux moyens qu'il me faudrait tenir : À peine en rencontrai-je un seul qui me contente. Ceci vous plairait-il ? Je fais parler Acanthe. Qu'une belle est heureuse, et que de doux moments, Quand elle en sait user, accompagnent sa vie ! D'un côté le miroir, de l'autre les amants, Tout la loue ; est-il rien de si digne d'envie ? La louange est beaucoup, l'amour est plus encor : Quel plaisir de compter les coeurs dont on dispose ! L'un meurt, l'autre soupire, et l'autre en son transport Languit et se consumer ; est-il plus douce chose ? Clymène, usez-en bien vous n'aurez pas toujours Ce qui vous rend si fière et si fort redoutée ; Caron vous passera sans passer les Amours; Devant ce temps-là même ils vous auront quittée. Vous vivrez plus longtemps encor que vos attraits ; Je ne vous réponds pas alors d'être fidèle : Mes désirs languiront aussi bien que vos traits ; L'amant se sent déchoir aussi bien que la belle. Quand voulez-vous aimer que dans votre printemps ? Gardez-vous bien surtout de remettre à l'automne : L'hiver vient aussitôt ; rien n'arrête le temps, Clymène, hâtez-vous ; car il n'attend personne. Sire, je m'en tiens là ; bien ou mal, il suffit : La morale d'Horace, et non pas son esprit, Se peut voir en ces vers."")","('#apollon', ""Elles daignent souvent m'accorder leur présence. Aux Grâces, comme aux Arts, ce Temple est consacré»"")",0.78,Substitution
137,"('#apollon', ""Érato, que veut dire Que vous, qui d'ordinaire aimez si fort à rire, Demeurez taciturne, et laissez tout passer?"")",,1.0,Insertion
138,"('#erato', ""Je revois, puisqu'il faut, Sire, le confesser."")",,1.0,Insertion
139,"('#apollon', 'Sur quoi ?')",,1.0,Insertion
140,"('#erato', ""Sur le débat qui s'est ému naguère."")",,1.0,Insertion
141,"('#apollon', 'Savoir si vous aimez ?')",,1.0,Insertion
142,"('#erato', ""Autrefois j'étais fière Quand on disait que non : qu'on me vienne aujourd'hui Demander, Aimez-vous ? Je répondrai que oui."")",,1.0,Insertion
143,"('#apollon', 'Pourquoi?')",,1.0,Insertion
144,"('#erato', 'Pour éviter le nom de Précieuse.')",,1.0,Insertion
145,"('#apollon', ""Si cette qualité vous paraît odieuse, Du voeu de chasteté l'on vous dispensera. Choisissez un galant."")",,1.0,Insertion
146,"('#erato', ""Non pas, Sire, cela. Je veux un peu d'hymen pour colorer l'affaire."")",,1.0,Insertion
147,"('#apollon', ""Un peu d'hymen est bon."")",,1.0,Insertion
148,"('#erato', ""J'en veux, et n'en veux guère."")",,1.0,Insertion
149,"('#apollon', ""Vous vous marieriez donc, ainsi qu'au temps jadis Oriane épousa monseigneur Amadis ?"")",,1.0,Insertion
150,"('#erato', 'Oui, sire.')",,1.0,Insertion
151,"('#apollon', ""La méthode, en effet, en est bonne. Mais encore avec qui ? Car je ne vois personne Qui veuille dans l'Olympe à l'hymen s'arrêter : Les Sylvains ne sont pas des gens pour vous tenter."")",,1.0,Insertion
152,"('#erato', 'Je prendrais un auteur.')",,1.0,Insertion
153,"('#apollon', ""Un auteur ? Vous, déesse ? Aux auteurs Érato pourrait mettre la presse. Ce n'est pas votre fait, pour plus d'une raison. Rarement un auteur demeure à la maison."")",,1.0,Insertion
154,"('#erato', ""C'est justement cela qui m'en plaît davantage."")",,1.0,Insertion
155,"('#apollon', ""Nous nous entretiendrons de votre mariage À fond une autre fois. Cependant chantez-nous, Non pas du sérieux, du tendre, ni du doux ; Mais de ce qu'en français on nomme bagatelle : Un jeu dont je voudrais Voiture pour modèle. Il excelle en cet art maître Clément et lui S'y prenaient beaucoup mieux que nos gens d'aujourd'hui."")","('#euphrosine', ""En des lieux où Voltaire a droit d'être honoré, On eût remarqué notre absence. Nous avons toutes trois entouré son berceau, Et c'est à nous qu'il dut, dans le cours de sa vie, Cette facilité, le présent le plus beau Que nous puissions faire au génie. Les Grâces à Voltaire ont appris leurs secrets, Cet art de briller sans parure, D'être grand sans effort, élégant sans apprêts, Et de rester toujours auprès de la nature. Il a composé sous nos yeux Ces bagatelles si charmantes Et tous ces riens si précieux, De son goût délicat inimitables jeux, Et de l'esprit français les fleurs les plus brillantes. Nous cultivions, son goût et son urbanité ; Et ceux que touche sa mémoire, En déplorant sa perte, ont encor regretté Ces agréments si doux dans la société, Qui font pardonner à la gloire."")",0.27,Substitution
156,"('#erato', ""Sire, j'en ai perdu, peu s'en faut, l'habitude ; Et ce genre est pour moi maintenant une étude. Il y faut plus de temps que le monde ne croit. Agréez, en la place, un dizain."")",,1.0,Insertion
157,"('#apollon', 'Dizain, soit.')",,1.0,Insertion
158,"('#erato', ""Mais n'est-ce point assez célébrer notre belle ? Quand j'aurai dit les jeux, les ris, et la séquelle, Les grâces, les amours ; voilà fait à peu près."")","('#apollon', ""La sienne m'est bien chère, et vous allez le voir. Les honneurs que pour lui j'apprête.... Mais écoutons Mercure : il est tems de savoir Si nous aurons ici le Héros de la fête."")",0.45,Substitution
159,"('#apollon', 'Vous pourrez dire encor les charmes, les attraits, Les appas.')",,1.0,Insertion
160,"('#erato', 'Et puis quoi ?')",,1.0,Insertion
161,"('#apollon', ""Cent et cent mille choses. Je ne vous ai compté ni les lis, ni les roses : On n'a qu'à retourner seulement ces mots-là."")",,1.0,Insertion
162,"('#erato', ""La satire en fournit bien d'autres que cela : Pour un trait de louange, il en est cent de blâme."")","('#mercure', 'Je ne saurais vous en flatter ;')",0.88,Substitution
163,"('#apollon', ""Eh bien ? Blâmez Clymène, à qui d'aucune flamme On ne peut désormais inspirer le désir."")",,1.0,Insertion
164,"('#erato', ""Ce sujet est traité ; l'on vient de s'en saisir ; Il a servi de thèse à ma soeur Polymnie."")",,1.0,Insertion
165,"('#apollon', 'Cela ne vous fait rien, la chose est infinie ; Toujours notre cabale y trouve à regratter.')",,1.0,Insertion
166,"('#erato', ""Sire, puisqu'il vous plaît, je m'en vais le tenter. Ma soeur excusera si j'enchéris sur elle."")","('#apollon', ""Comment, il faut que j'y renonce ? Quoi !"")",1.0,Substitution
167,"('#polymnie', 'Voilà bien des façons pour une bagatelle.')",,1.0,Insertion
168,"('#erato', ""C'est qu'elle est de commande."")",,1.0,Insertion
169,"('#apollon', 'Eh, que coûte un dizain ?')",,1.0,Insertion
170,"('#erato', ""Tout coûte il faut pourtant que je me mette en train. Clymène a tort : je suis d'avis qu'elle aime Notre vassal, dès demain au plus tard, Dès aujourd'hui, dès ce moment-ci même : Le temps d'aimer n'a si petite part Qui ne soit chère, et surtout quand on treuve Un bon amant, un amant à l'épreuve. Je sais qu'il est des amants à foison ; Tout en fourmille on n'en saurait que faire ; Mais cent méchants n'en valent pas un bon ; Et ce bon-là ne se rencontre guère."")",,1.0,Insertion
171,"('#apollon', ""Il ne nous reste plus qu'Uranie, et c'est fait. Mais quand j'y pense bien, je trouve qu'en effet Tant de louange ennuie, et surtout quand on loue Toujours le même objet : enfin je vous avoue Que pour peu que durât l'éloge encor de temps, Vous me verriez bâiller. Comment peuvent les gens Entendre, sans dormir, une oraison funèbre ? Il n'est panégyriste au monde si célèbre, Qui ne soit un Morphée à tous ses auditeurs. Uranie, il vous faut reployer vos douceurs Aussi bien qui pourrait mieux parler de Clymène Que l'amoureux Acanthe? Allons vers l'Hippocrène . Nous l'y rencontrerons encore assurément Ce nous sera sans doute un divertissement. La solitude est grande autour de ces ombrages. Que vous semble ? On croirait, au nombre des ouvrages Et des compositeurs (car chacun fait des vers), Qu'il nous faudrait chercher un mont dans l'univers, Non pas double, mais triple, et de plus d'étendue Que l'Atlas : cependant ma cour est morfondue ; Je ne rencontre ici que deux ou trois mortels, Encor très-peu dévots à nos sacrés autels. Cherchez-en la raison dans les cieux, Uranie."")",,1.0,Insertion
172,"('#uranie', ""Sire, il n'est pas besoin, et sans l'astrologie Je vous dirai d'où vient ce peu d'adorateurs. Il est vrai que jamais on n'a vu tant d'auteurs : Chacun forge des vers ; mais pour la poésie, Cette princesse est morte, aucun ne s'en soucie. Avec un peu de rime, on va vous fabriquer Cent versificateurs en un jour, sans manquer. Ce langage divin, ces charmantes figures Qui touchaient autrefois les âmes les plus dures, Et par qui les rochers et les bois attirés Tressaillaient à des traits de l'Olympe admirés ; Cela, dis-je, n'est plus maintenant en usage. On vous méprise, et nous, et ce divin langage. Qu'est-ce, dit-on ? Des vers. Suffit ; le peuple y court. Pourquoi venir chercher ces traits en notre cour ? Sans cela l'on parvient à l'estime des hommes."")","('#mercure', ""Très fidèlement je vais vous rapporter Et mon message et sa réponse. Dans l'Élysée à peine on le faisait entrer, Quand je suis descendu sur cet heureux rivage ; Et le premier objet qui vint à son passage, C'est ce Roi si chéri qu'il a su célébrer. D'un mouvement involontaire, Le chantre et le héros l'un vers l'autre ont volé ; Et l'Élysée a vu, sur leurs pas rassemblé, Henri quatre embrassant Voltaire. Je m'approche, et lui dis que pour le couronner, Apollon le mande au Parnasse. « De ses bontés je lui rends grâce, (Me répond-il ) vers lui vous pouvez retourner. Je retrouve l'objet de mon culte fidèle. Tout ce que vous m'offrez serait d'un moindre prix. Si j'ai vécu trop peu sous le jeune Louis, Je demeure à jamais auprès de son modèle. »"")",0.12,Substitution
173,"('#apollon', ""Vous en parlez très-bien, Mais qu'entends-je ? Nous sommes Auprès de l'Hippoerène. Acanthe assurément S'entretient avec elle ; écoutons un moment. C'est lui, j'entends sa voix."")",,1.0,Insertion
174,"('#acanthe', ""Zéphyrs, de qui l'haleine Portait à ces échos mes soupirs et ma peine, Je viens de vous conter son succès glorieux . Portez-en quelque chose aux oreilles des dieux. Et toi, mon bienfaiteur, Amour, par quelle offrande Pourrai-je reconnaître une faveur si grande ? Je te dois des plaisirs compagnons des autels, Des plaisirs trop exquis pour de simples mortels. Ô vous qui visitez quelquefois cet ombrage, Nourrissons des neufs Soeurs..."")","('#apollon', ""Il dût faire un tel choix, et j'y dois déférer. Si de le posséder nous perdons l'avantage, Au moins rendons à son image Les honneurs que pour lui j'aimais à préparer. Grâces, couvrez-la de guirlandes. Arts, sujets d'Apollon, portez-lui vos offrandes. Muses, vos attributs sont les siens désormais. Suivez l'exemple que je donne. Moi-même sur son front je pose ma couronne. Que Voltaire soit à jamais, Et le Dieu du Théâtre et l'Apollon Français. Vous, Therpsicore, Euterpe et Polymnie, Qu'à sa gloire aujourd'hui vos jeux soient consacrés. Il faut que tous les arts honorent son génie, Puisqu'il les a tous honorés. Le fond du Théâtre s'ouvre, et l'on voit la statue de Voltaire. Les Grâces l'entourent de chaînes de fleurs, au son des instruments. Chacune des Muses porte aux pieds de Voltaire l'attribut qui la distingue. Apollon le couronne de ses lauriers, au bruit des fanfares. On danse amour de la statue."")",0.0,Match
175,"('#apollon', ""Sans doute il n'est pas sage : Sachons ce qu'il veut dire. Acanthe !"")",,1.0,Insertion
176,"('#acanthe', 'Adorez-moi Car, si je ne suis dieu, tout au moins je suis roi.')",,1.0,Insertion
177,"('#erato', 'Acanthe !')",,1.0,Insertion
178,"('#clio', ""D'aujourd'hui pensez-vous qu'il réponde ? Quand une rêverie agréable et profonde Occupe son esprit, on a beau lui parler."")",,1.0,Insertion
179,"('#erato', ""Quand je m'enrhumerais à force d'appeler, Si faut-il qu'il entende. Acanthe !"")",,1.0,Insertion
180,"('#acanthe', ""Qui m'appelle ?"")",,1.0,Insertion
181,"('#erato', ""C'est votre bonne amie Érato."")",,1.0,Insertion
182,"('#acanthe', 'Que veut-elle ?')",,1.0,Insertion
183,"('#erato', 'Vous le saurez ; venez.')",,1.0,Insertion
184,"('#acanthe', 'Dieux ! Je vois Apollon. Sire, pardonnez-moi ; dans le sacré vallon Je ne vous croyais pas.')",,1.0,Insertion
185,"('#apollon', 'Levez-vous, et nous dites Quelles sont ces faveurs, soit grandes ou petites, Dont le fils de Vénus a payé vos tourments.')",,1.0,Insertion
186,"('#acanthe', ""Sire, pour obéir à vos commandements, Hier au soir je trouvai l'Amour près du Parnasse Je pense qu'il suivait quelque nymphe à la trace. D'aussi loin qu'il me vit Acanthe, approchez-vous, Cria-t-il. J'obéis. Il me dit d'un ton doux : Vos vers ont fait valoir mon nom et ma puissance ; Vous ne chantez que moi : je veux pour récompense, Dès demain, sans manquer, obtenir du destin Qu'il vous fasse trouver Clymène le matin Dans son lit endormie, ayant la gorge nue, Et certaine beauté que depuis peu j'ai vue, Sans dire quelle elle est ; il suffit que l'endroit M'a fort plu : vous verrez si c'est à juste droit. Vous êtes connaisseur. Au reste, en habile homme Usez de la faveur que vous fera le somme. C'est à vous de baiser ou la bouche, ou le sein, Ou cette autre beauté : même j'ai fait dessein D'en parler à Morphée, afin qu'il vous procure Assez de temps pour mettre à profit l'aventure. Vous ne pourrez baiser qu'un des trois seulement : Ou le sein, ou la bouche, ou cet endroit charmant."")","('#apollon', ""Et vous à qui ma voix saura se faire entendre, Vous, ses concitoyens, mes plus chers favoris, Peuple heureux, dont la gloire ira partout s'étendre Avec celle de ses écrits ; Parmi vous à jamais consacrez cet hommage Que nous venons de rendre à ses mânes chéris ; Que chez vos neveux attendris Il soit répété d'âge en âge. Je reçois par vos mains les tributs les plus doux Des beaux arts dans vos murs la foule est réunie ; Et pour les y fixer, Apollon veut chez vous Fonder la fête du génie."")",0.0,Match
187,"('#erato', 'Ne nous le nommez pas, afin que je devine.')",,1.0,Insertion
188,"('#acanthe', 'Je vous le donne en deux.')",,1.0,Insertion
189,"('#erato', ""C'est... c'est, je m'imagine..."")",,1.0,Insertion
190,"('#acanthe', 'Quoi ?')",,1.0,Insertion
191,"('#erato', 'Le bras entier ?')",,1.0,Insertion
192,"('#acanthe', 'Non.')",,1.0,Insertion
193,"('#erato', 'Le pied ?')",,1.0,Insertion
