,dufresny-adieux-des-officiers,la-fontaine-daphne,Cost,Operation Type
114,"('#venus', 'Taisez-vous, je ne puis entendre vos folies.  Retirez-vous, voici un laquais de Plutus. Que me veut-il ?  Cupidon se retire.')","('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",1.24,Substitution
115,,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",1.0,Deletion
116,"('#le-laquais', ""C'est de la part du dieu des richesses, qui voudrait bien vous rendre visite, pendant que votre mari n'y est pas."")","('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",1.72,Substitution
117,,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",1.0,Deletion
118,"('#venus', ""Dis-lui qu'il me fera beaucoup d'honneur. Allez, retirez-vous, je n'ai pas besoin d'amour ici. Aux amours."")","('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",1.16,Substitution
119,,"('#daphne', 'Ah, Clymène ! Plains-moi.')",1.0,Deletion
120,,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",1.0,Deletion
121,"('#un-des-amours', ""Le maître des dieux  Lorsqu'il est amoureux  D'une simple mortelle,  Ne peut se faire aimer d'elle  Sans votre secours.  Mais pour gagner le coeur même d'une déesse,  Le dieu de la richesse  N'a pas besoin des amours.  Les amours s'en vont."")","('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",0.61,Substitution
122,"('#venus', ""Montrez-vous donc, Plutus ; car le dieu des richesses est un dieu inutile, tant qu'il reste enfermé sous la clef. Oh, vous êtes un peu plus aimable sous cette figure : mais si vous voulez me plaire vous vous rendrez encore plus palpable. On a bien de la peine à vous développer du métail ! Pour peu que vous fussiez galant, vous me feriez voir le fond du sac. Je serais contente de votre complaisance, si vous vouliez bien parler, et me faire part de cette douce éloquence que les sourds entendent, qui fait parler les muets, et soupirer les plus cruelles.  On ne peut rien de plus galant que cette manière de s'exprimer : mais je sais que vous êtes le premier homme du monde pour soutenir une conversation suivie...  Et qu'on ne se lasse jamais de vous entendre parler : et j'ai appris d'un historien moderne, que vous écrivez des billets plus doux, plus persuasifs, et plus touchants que ceux de Voiture.  Le coffre s'ouvre, et il en sort un sac d'argent. Plutus paraît à la place du sac. Plutus ouvre le sac. Plutus tousse, crache et se dispose comme s'il voulait parler, et tout cela se termine par une grosse bague qu'il tire de son doigt, et qu'il met au doigt de Vénus.  Plutus tire un collier, et le lui donne."")","('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",0.4,Substitution
123,"('#plutus', 'Hon, hon, hon...  Vous payerez au porteur...  Bon ! Il donne ce billet à Vénus.')",,1.0,Insertion
124,"('#venus', ""Vingt mille francs !  À la fin vos libéralités pourraient bien alarmer ma vertu.  Que faudra-t-il donc que je fasse pour reconnaissance ? S'il ne faut que mon estime, elle vous est acquise.  Que vous êtes pressant, Plutus !  Je vois bien que vous prétendez à mon amitié.  Je la ferais acheter à un autre ; mais pour vous, je vous la donne. Ciel !  Seriez-vous assez téméraire, pour vouloir de l'amour. Vous feriez cet outrage à Vulcain ? Non, je jure par le Styx, que je ne ferai point d'infidélité à mon époux. Plutus lui fait signe qu'il faut qu'elle l'aime. Plutus fait signe qu'il ne se contente pas de cela.  Plutus fait signe qu'il veut autre chose. Plutus fait signe que oui. Plutus fait signe qu'il s'en moque."")","('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",0.26,Substitution
125,"('#plutus', 'Par le Styx ?')","('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",1.33,Substitution
126,,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",1.0,Deletion
127,"('#venus', 'Oui, par le Styx.')",,1.0,Insertion
128,"('#plutus', ""Par le Styx ? Il reprend sa bague, son collier, son billet, et rentre dans le coffre, qui se referme d'abord."")",,1.0,Insertion
129,"('#venus', ""Cette pomme mystérieuse,  Qui croit au pays des Normands,  Preuve que Vénus amoureuse,  A droit, aussi bien qu'eux, de rompre ses serments.  Plutus ?  Plutus ?  J'ai juré par le Styx, il est vrai, ce serment est inviolable pour les dieux : mais les déesses ont des privilèges, et moi surtout, à qui Pâris a donné la pomme, non pas pour ma beauté, comme disent les poètes ; mais seulement parce que je suis la déesse de l'amour.  M'entendez-vous, Plutus, Plutus, mon cher Plutus !"")","('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",0.36,Substitution
130,"('#vulcain', ""Plutus, Plutus, mon cher Plutus !  Il n'y a point de Plutus pour vous : c'est moi qui ai pris sa figure pour vous éprouver, coquette fieffée.  Oh, je jure par le Styx, moi, qui n'ai pas le privilège de me dédire... "")","('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",0.39,Substitution
131,"('#venus', ""N'achevez pas, mon cher mari.  Voudriez-vous me punir sans m'entendre ? "")","('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",1.32,Substitution
132,"('#vulcain', ""Je ne vous ai que trop entendue, de par tous les diables, et il n'a tenu qu'à moi de voir... "")","('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",0.93,Substitution
133,,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",1.0,Deletion
134,"('#venus', 'Il est vrai que les apparences sont contre moi : mais... ')","('#tharsis', 'Je vous verrai.')",1.55,Substitution
135,"('#vulcain', ""Tu as beau faire, tes discours ne m'ôteront pas de la tête ce que ta mauvaise conduite y a mis. "")",,1.0,Insertion
136,"('#venus', ""Qu'y a-t-il donc dans ma conduite de si extraordinaire ?  J'aime le plaisir de la conversation : et je choisis un jeune guerrier pour le brillant, et un financier pour le solide.  En vérité il n'y a point de simple mortelle qui n'en fasse autant.  Plutus est bon à ménager, et tu seras trop heureux, quand la guerre sera finie, qu'il te fasse avoir une commission. "")","('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")",1.01,Substitution
137,"('#vulcain', ""Je n'en veux point à ce prix-là. "")","('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")",1.4,Substitution
138,"('#venus', ""À quel prix crois-tu que j'achète les bonnes grâces de Plutus ?  Ne sais-tu pas que c'est une dupe qui paye d'avance, et qui achète, au prix des plus grandes faveurs, quelques minauderies coquettes qui ne tirent pas à conséquence ?  Il est charmé d'une oeillade louche qui va tomber sur son rival : il croit qu'il est le héros de tous les cadeaux qu'il donne, et prend pour une langueur amoureuse, l'ennui mortel que sa conversation me fait souffrir. "")","('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")",0.25,Substitution
139,,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",1.0,Deletion
140,,"('#telamon', 'Ceci vous trouble et vous étonne.')",1.0,Deletion
141,"('#vulcain', ""Oh, je connais bien la race Plutonique.  Ce drôle-là sème en dieu libéral : mais il recueille en homme avare : et je suis bien trompé si les articles de la recette ne suivent de près ceux de la dépense.  Dites-moi un peu, madame la coquette, quand vous avez rappelé Plutus sur le ton d'une marchande du palais, qui prend au mot un joli chaland : quelle marchandise prétendiez-vous lui livrer ? "")","('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")",0.17,Substitution
142,"('#venus', ""Je prétendais l'amorcer avec de belles espérances, jusqu'à ce que Mars soit de revenu de l'armée, pour le faire déguerpir l'héritage, et faire en sorte qu'il ne reste à Plutus que l'honneur d'avoir fait les améliorations. "")","('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",1.06,Substitution
143,,"('#tharsis', 'Tu ris.')",1.0,Deletion
144,"('#vulcain', ""Comment, coquine, tu oses encore me parler de ce maraud de Mars ?  Je m'en vais me faire séparer de corps et de biens d'avec toi.  J'ai déjà donné ordre à Mercure d'assembler tous les dieux pour cela, il ne doit pas tarder à venir.  Mais le voici. "")","('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")",1.21,Substitution
145,,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",1.0,Deletion
146,,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",1.0,Deletion
147,"('#mercure', ""Seigneur Vulcain, j'ai exécuté vos ordres ; je viens d'avertir les dieux de se trouver dans la salle de l'audience, ils sont déjà à la buvette. "")","('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",1.37,Substitution
148,"('#vulcain', ""L'assemblée sera-t-elle nombreuse ? "")",,1.0,Insertion
149,"('#mercure', 'Non, la plupart des dieux sont malades, à cause des vins nouveaux. ')","('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",1.59,Substitution
150,"('#vulcain', ""N'importe, ils seront tous pour moi ; car ma cause est la cause commune. "")","('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",0.91,Substitution
151,,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",1.0,Deletion
152,"('#venus', 'Si tous les dieux sont pour vous, les déesses seront pour moi. ')","('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')",1.33,Substitution
153,"('#mercure', ""Nous n'en aurons pas beaucoup ; car la plupart sont allés jouer leur rôle à l'opéra.  Çà, il faut vous mettre en état d'être jugé, avant que les dieux paraissent.  Mettez-vous sur la sellette.  À Vulcain."")","('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")",0.94,Substitution
154,"('#vulcain', ""Une sellette à moi ?  C'est ma femme qui est l'accusée. "")","('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")",1.76,Substitution
155,,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",1.0,Deletion
156,,"('#penee', 'Laissez-nous achever cette cérémonie.')",1.0,Deletion
157,"('#mercure', 'Dans ces sortes de procès le mari est toujours le patient. ')","('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")",1.23,Substitution
158,"('#vulcain', 'Ô tempora !  Ô mores ! ')",,1.0,Insertion
159,"('#mercure', ""J'ai prié Bacchus de composer un petit breuvage pour adoucir la colère de Vulcain.  Laissez-nous faire, sortez d'ici sans rien dire, et ne paraissez point que je ne vous avertisse. "")","('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")",0.64,Substitution
160,"('#vulcain', 'Où va donc ma femme ? ')",,1.0,Insertion
161,"('#mercure', ""C'est un petit accès de pudeur qui lui vient de prendre.  Elle dit que vous plaidiez pour elle, et que tout ce que vous ferez sera bien fait.  Entre nous, elle sent bien que sa cause est véreuse. "")","('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",1.6,Substitution
162,"('#vulcain', 'Vous allez voir aussi comme je vais triompher. ')","('#clymene', ""On me l'a dit cent fois."")",1.63,Substitution
163,"('#mercure', ""Les lauriers de ce triomphe là seront bien secs ; je crains bien que leurs feuilles ne tombent par terre, et qu'il ne vous en reste que le bois sur la tête.  Mais j'entends messieurs qui commencent à tousser, le procès est à moitié jugé.  La porte de l'audience s'ouvre. "")","('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")",0.94,Substitution
164,"('#momus', ""L'époux  Jaloux  Qui blâme  Sa femme  Dans le secret de sa maison,  A souvent raison :  Mais lorsqu'il court à l'audience  Publier son mauvais sort,  Plus il prouve l'offense,  Plus il a tort, il a tort, il a tort, il a tort. "")","('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",1.06,Substitution
165,"('#les-dieux', 'Il a tort, il a tort, il a tort.')",,1.0,Insertion
166,"('#vulcain', ""Monsieur Momus, ne venez pas ici, par vos fades plaisanteries, troubler la gravité de nos juges, elle fait plus de la moitié de leur science.  Il m'a fait oublier la moitié de mon plaidoyer...  Ah, le voici !  Vous voyez devant vous l'affligé Vulcain votre confrère..."")","('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")",1.05,Substitution
167,"('#les-dieux', 'Il a tort, il a tort, il a tort. ')","('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")",1.74,Substitution
168,,"('#telamon', ""N'en saurai-je pas plus ?"")",1.0,Deletion
169,,"('#clymene', ""Je n'ai rien appris d'elle."")",1.0,Deletion
170,"('#vulcain', ""Un petit reste de musique, qui était demeuré en l'air. Je dis donc, messieurs... "")",,1.0,Insertion
171,"('#les-dieux', 'Il a tort, il a tort, il a tort. ')",,1.0,Insertion
172,"('#junon', ""Quelle honte est-ce là, messieurs ?  On ne veut pas se donner la peine d'entendre Vulcain ?  Si vus vous moquez d'un dieu qui se plaint de sa femme, que ferez-vous donc à un simple mortel ? "")","('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")",0.61,Substitution
173,"('#jupiter', ""Les mortels ne sont pas si sots que de se plaindre, ils passent ces sortes d'affaires sous silence. "")","('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",1.22,Substitution
174,"('#vulcain', 'Cela est vrai, ils se contentent de faire imprimer des factums. ')",,1.0,Insertion
175,"('#junon', ""Monsieur Vulcain, criez, tempêtez, faites le diable à quatre, jusqu'à ce qu'on ait rendu justice.  Laissez-moi faire, je vais condamner au carcan tous les époux infidèles. "")","('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")",1.18,Substitution
176,"('#vulcain', ""Tous : donnez-vous-en bien de garde. Il n'y aurait personne pour faire exécuter la sentence. "")","('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",1.15,Substitution
177,"('#junon', ""J'enrage quand je vois... "")",,1.0,Insertion
178,"('#jupiter', ""Taisez-vous, jalouse ; on voit bien que vous avez de la rancune contre les maris.  Si vous vouliez du bien à Vulcain, vous lui conseilleriez de ne se point faire juger : car le mieux qui lui puisse arriver dans cette affaire, c'est d'avoir tort. "")","('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")",0.57,Substitution
179,,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")",1.0,Deletion
180,"('#vulcain', ""Oui, je commence à comprendre que... Il a tort, il a tort ; n'a pas tout à fait tort.  Car pour avoir un arrêt contre ma femme, je n'ai que faire de venir ici, le public en prononcera plus que je ne voudrais.  Monsieur Jupiter, puisque vous jugez à propos de ne me point juger, au moins donnez-moi quelque consolation dans mon affliction.  Il chante."")","('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")",0.19,Substitution
181,"('#jupiter', ""Il lui présente un boeuf et un mouton.  Mon cher ami Vulcain, pour avoir l'abondance,  Tu dois joindre dans ta maison,  Du boeuf laborieux la sotte patience,  Avec la douceur du mouton.  La plus grande consolation qu'on puisse donner à un mari affligé, c'est l'abondance des biens dans sa maison.  J'ordonne donc que chacun vienne faire un présent à Vulcain, et lui donne un conseil convenable au présent qu'il fera. Je vais commencer. "")","('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")",0.81,Substitution
182,"('#vulcain', ""Ah, Jupiter pour récompense  D'un conseil qui chez moi va causer l'abondance,  Je te veux donner des souhaits.  Que ton voisin chez toi puisse mettre la paix.  Que ta Junon jamais ne gronde,  Lorsque même à ses yeux tu seras déloyal :  Enfin, quoique tu manques au devoir conjugal,  Qu'elle ne laisse pas d'être toujours féconde. "")","('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",0.56,Substitution
183,,"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",1.0,Deletion
184,,"('#leucippe', 'Et mon bien ?')",1.0,Deletion
185,,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")",1.0,Deletion
186,,"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")",1.0,Deletion
187,,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')",1.0,Deletion
188,,"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")",1.0,Deletion
189,,"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",1.0,Deletion
190,"('#junon', ""Allons, ma grand'mère Cybèle,  Tirez donc de votre escarcelle,  Quelque présent  Pour cet enfant.  Cybèle tire de grandes lunettes d'un étui."")","('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')",1.21,Substitution
191,,"('#telamon', 'Changera-t-il son âme ?')",1.0,Deletion
192,,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",1.0,Deletion
193,"('#junon', 'Bon, ceci lui convient.  Vulcain, prends ces lunettes,  Pour mieux examiner ce que fait ta moitié.  À Vulcain.')","('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")",1.03,Substitution
194,"('#vulcain', 'Je crains que pour en voir seulement la moitié,  Elles ne soient pas assez nettes.  Mais morbleu, on se moque de moi ! Par la sang... ')","('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")",1.47,Substitution
195,,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",1.0,Deletion
196,,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",1.0,Deletion
197,,"('#un-berger', ""L'ennemi commun est mort."")",1.0,Deletion
198,,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",1.0,Deletion
199,,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",1.0,Deletion
200,,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")",1.0,Deletion
201,,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",1.0,Deletion
202,,"('#un-chasseur', ""L'ours ne vit plus."")",1.0,Deletion
203,,"('#un-berger', ""L'ours a passe l'onde noire."")",1.0,Deletion
204,,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")",1.0,Deletion
205,"('#momus', 'De sa Vénus la complaisante adresse,  Quand il voudra peut faire son bonheur.  Mais ta Junon ; en faisant la diablesse,  Te vend bien cher un chimérique honneur. ')","('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")",0.65,Substitution
206,"('#vulcain', ""Et bien souvent une fausse sagesse,  Peut à l'époux causer un vrai malheur.  L'Océan est bien flegmatique.  L'Océan veut parler, et tousse toujours."")","('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",1.19,Substitution
207,"('#l-ocean', ""Je te fais présent de ma toux.  Rien n'est plus souverain pour un mari jaloux  Qui la rage dans l'âme,  Veut se cacher pour surprendre sa femme. Je souhaite à tous ceux de ta société  Qu'en pareil cas leur gosier irrité,  Trahisse  Leur forte curiosité,  Et leur épargne le supplice,  D'être pleinement convaincus  Qu'on les fait  Cocus.  Il tousse. "")","('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")",0.54,Substitution
208,"('#vulcain', ""Ce qui t'enrhume de la sorte,  C'est que ton épouse Thétys  Te fait souvent coucher sur le pas de la porte,  Pendant que le soleil dissipe ses ennuis. "")","('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")",1.14,Substitution
209,"('#momus', ""Ce dieu brûlant, pendant toute l'année,  Chauffe ton lit, pour te faire plaisir :  Mais un vieux fou qui prend jeune épousée,  C'est une mer qu'on ne saurait tarir. "")","('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")",0.43,Substitution
210,,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",1.0,Deletion
211,,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",1.0,Deletion
212,"('#vulcain', ""Lorsqu'un vieillard a la tête chargée,  Il a beau faire, il n'en peut pas guérir. "")","('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")",1.74,Substitution
213,,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')",1.0,Deletion
214,"('#diane', ""Je gardais pour un époux  Le plus brillant des bijoux.  Mais, cousin, ton mauvais ménage  M'a dégoûté du mariage,  Et c'est à toi que je ferai présent  De mon croissant. "")","('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",0.78,Substitution
