,dancourt-diable-boiteux,dancourt-femme-d-intrigues,Cost,Operation Type
230,,"('#gabrillon', ""Pour moi, je ne serai pas à la peine de frauder le Notariat ; car vous m'avez promis que vous ferez mon Contrat de mariage gratis."")",1.0,Deletion
231,"('#marton', ""Et la vôtre aussi, n'est-ce pas, Madame ?"")","('#la-brie', 'Çà commencerons-nous, Madame ?')",0.46,Substitution
232,,"('#madame-thibaut', 'Croyez-moi, remettons la chose à une autre fois.')",1.0,Deletion
233,"('#madame-lucas', ""Sans son grand benêt de neveu Blaise Lucas, qui arriva hier d'Amiens, à pied, toujours chassant, ma conscience serait encore plus tranquille, Marton : cet animal-là m'est venu voler, comme s'il m'avait attendue au coin d'un bois."")","('#la-brie', 'Nous aurons fait dans un moment.  Monsieur voudra bien...')",1.42,Substitution
234,,"('#la-ramee', 'Madame me désobligerait de...')",1.0,Deletion
235,"('#marton', 'Le fripon !')",,1.0,Insertion
236,"('#madame-lucas', ""S'il avait tardé vingt-quatre heures, il était déshérité tout à fait, aussi bien que la nièce."")","('#la-brie', ""Il n'y a que quatre baux, cinq quittances, et deux Contrats de constitution : en voulez-vous le lecture ?"")",1.64,Substitution
237,,"('#madame-thibaut', ""Le Ciel m'en préserve !"")",1.0,Deletion
238,,"('#la-ramee', 'Deux Contrats de constitution !')",1.0,Deletion
239,"('#marton', ""Le testament n'est donc pas plus favorable à la nièce qu'au neveu ?"")",,1.0,Insertion
240,"('#madame-lucas', ""Hélas !  Mon pauvre mari, que je n'ose encore dire défunt, leur laisse une petite somme en commun, à condition qu'ils se marieront ensemble : mais on dit que je pourrai contester cela, et leur faire quelque chicane.  Nous verrons ce qu'il y aura à faire, quand mes premières douleurs seront passées."")","('#la-brie', ""À propos, je trouve à placer vos deux mille pistoles sur un jeune homme de famille, qui les emploiera à se faire un bon équipage pour donner dans la vue à la veuve d'un partisan.  Nous ferons mention dans le Contrat de l'emploi des deniers.  Cela est bon, mon Clerc est venu vous le dire."")",0.49,Substitution
241,,"('#madame-thibaut', ""J'ai changé de sentiment.  On me doit faire un remplacement de douze mille francs, je veux placer le tout ensemble."")",1.0,Deletion
242,"('#marton', 'Il faut bien se donner le loisir de pleurer.')",,1.0,Insertion
243,"('#madame-lucas', ""Je n'aurai plus guère que cela à faire, Marton, et j'ai pris toutes mes mesures d'ailleurs, comme tu sais."")","('#la-ramee', ""Ce sont trente deux mille livres ; j'ai des gens en main qui s'en accommoderont."")",0.87,Substitution
244,"('#marton', ""Oh !  Pour cela, oui, il n'y aura rien de perdu dans la succession ; et voilà une armoire qui était pleine de belles et bonnes nippes, où il ne reste plus que la robe et le bonnet carré de Monsieur le Procureur, et encore ne les avez-vous laissés que parce qu'ils ne valent pas grand-chose."")","('#la-brie', ""J'ai votre fait aussi, Madame, et notre pis aller sera de les prêter pour un nouvel établissement d'Opéra.  Autrefois qu'ils ne donnaient qu'une pièce en tout un an, je ne l'aurais pas conseiller : et fi !  Ils ne gagnaient pas de l'eau.  Mais présentement qu'ils en donnent tous les mois, quand vous seriez ma soeur, je ne pourrais en conscience vous indiquer une meilleure hypothèque."")",0.92,Substitution
245,,"('#la-ramee', 'Selon.  Il faut savoir qui fait la musique, premièrement, et que quelque riche négociant mette son nom et son paraphe au bas du Contrat de constitution.')",1.0,Deletion
246,"('#madame-lucas', ""Il ne faut pas dépouiller un homme de tout avant sa mort, ma pauvre Marton.  Adieu, je vais attendre dans mon appartement : qu'on me vienne avertir quand il expirera, afin de lui rendre les derniers devoirs."")","('#madame-thibaut', ""Nous parlerons de cela quand on m'aura envoyé mon argent : mais aujourd'hui que faut-il faire pour me débarrasser de vous ?"")",1.09,Substitution
247,"('#marton', 'Vous faites fort bien, Madame ; il ne faut pas se refuser ce plaisir-là.')","('#la-brie', 'Signer tous ces papiers, Madame.')",1.68,Substitution
248,"('#marton', ""Voilà une pauvre femme qui sera fort affligée, si son mari en revient.  Mais que vois-je ?  Est-ce lui… mes yeux me trompent… non vraiment, c'est lui-même, c'est Lépine.  Personne ne t'a-t-il vu entrer ?"")",,1.0,Insertion
249,"('#lepine', 'Non.  Pourquoi, ma Reine ?')","('#madame-thibaut', 'Passons donc dans mon cabinet. Au moins voulez-vous bien me permettre... À la Ramée.')",1.46,Substitution
250,,"('#la-ramee', 'Madame...')",1.0,Deletion
251,"('#marton', 'Depuis quand es-tu ici ?  Que fait ton maître ?')","('#madame-thibaut', 'Entrez dans ma chambre : je vous rejoins dans un moment.')",1.49,Substitution
252,"('#lepine', ""Nous arrivons dans le moment, mon ange, Éraste, pour paraître plus beau et plus poli aux yeux d'Angélique, est allé se faire adoniser chez le Baigneur ; moi, qui suis plus vif, et qui ne peux souffrir de retardement, je viens saluer mon adorable, et tu me vois tout frais émoulu de l'armée."")","('#la-ramee', ""Non, Madame, je n'ai point été chez moi depuis mon retour de Versailles, j'ai quelques ordres à donner."")",0.92,Substitution
253,,"('#madame-thibaut', ""Qu'on vous revoie donc bientôt, je vous prie."")",1.0,Deletion
254,,"('#la-ramee', ""Le plutôt qu'il me sera possible. Je suis plus pressé de conclure qu'elle ne pense. À part."")",1.0,Deletion
255,"('#marton', ""Vous avez mal pris votre temps pour arriver, et il est dangereux qu'on te voie ici."")","('#madame-thibaut', ""Monsieur le Capitaine a pris l'hameçon, il ne faut pas lui donner le temps de se reconnaître."")",0.94,Substitution
256,"('#lepine', ""Bon, dangereux !  La tante est dans nos intérêts : le Procureur seul n'approuvait pas la recherche de mon maître.  On nous a mandé qu'il était presque à l'agonie : j'en suis fâché ; car nous nous ressemblons comme deux gouttes d'eau."")","('#la-brie', ""Laissez-moi faire, tout ira bien.  N'ai-je pas fait le Notaire à merveille ?"")",1.91,Substitution
257,"('#marton', 'Ah !  Pour cela oui, la ressemblance est si bien marquée…')","('#madame-thibaut', 'Assurément.')",1.38,Substitution
258,"('#lepine', ""Que mon maître qui lui en voulait d'ailleurs, comme tu sais, pensa lui donner un jour cent coups de bâton, sous ce prétexte-là.  En quel état est-il, le pauvre homme ?  Comment va sa maladie ?"")",,1.0,Insertion
259,"('#marton', 'Le mieux du monde, il ne passera pas la journée.')","('#la-brie', ""Il ne me manque que la Charge, car j'ai d'ailleurs toutes les parties nécessaires pour faire un parfait habile homme."")",1.66,Substitution
260,"('#lepine', ""Hé bien donc, qu'avons-nous à craindre ?"")","('#madame-thibaut', ""Voici quelqu'un, laisse-nous."")",1.47,Substitution
261,,"('#gabrillon', 'On vous demande, là-bas.')",1.0,Deletion
262,"('#marton', ""Toutes choses.  Pendant la maladie de l'oncle, la tante est devenue plus à craindre qu'il ne l'était lui-même."")",,1.0,Insertion
263,"('#lepine', 'Comment donc ?')","('#madame-thibaut', 'Qui ?')",0.06,Substitution
264,"('#marton', 'Elle a défendu à sa nièce de voir Éraste.')","('#gabrillon', 'Une Dame, qui veut acheter le carrosse qui est sous votre remise.')",1.72,Substitution
265,"('#lepine', ""Elle lui a défendu de le voir ?  La nièce l'en aimera davantage.  Je vais l'amener."")","('#madame-thibaut', ""Comment !  Va lui dire qu'il n'est pas à vendre : ne vois-tu pas qu'il me fait honneur, et que Cléante le prend pour être à moi ?  Écoute si cette Maîtresse des Comptes à qui il appartient venait ici, ne va pas lui dire qu'on le marchande ?"")",1.07,Substitution
266,"('#marton', 'Et attends, attends.')","('#gabrillon', ""Oui.  Mais ce jeune Officier qui a déjà les chevaux, et qui n'attend plus qu'après l'argent du carrosse pour achever son équipage, s'accommodera-t-il de cela ?"")",1.52,Substitution
267,"('#lepine', ""Je m'en vais le chercher, te dis-je, vous n'avez toutes deux qu'à nous attendre."")","('#madame-thibaut', ""Qu'il s'en accommode s'il veut.  Ne voudrais-tu pas que j'allasse préférer ses intérêts aux miens ?  Va, va, te dis-je... Mais que me voudrait ce Gentilhomme ?"")",1.07,Substitution
268,,"('#angelique', 'Bonjour, Madame.')",1.0,Deletion
269,,"('#madame-thibaut', 'Monsieur, votre servante.')",1.0,Deletion
270,,"('#angelique', 'Touchez-là.')",1.0,Deletion
271,"('#marton', 'Voilà un retour imprévu, qui pourra bien déranger notre partie de bal.')","('#madame-thibaut', 'Monsieur ?')",1.56,Substitution
272,"('#angelique', ""J'ai mandé que nous irions, Marton, que l'on vînt nous prendre."")","('#angelique', 'Touchez-là, vous dis-je, je veux faire amitié avec vous.')",1.7,Substitution
273,"('#marton', ""Oh !  Vraiment oui, que l'on vînt nous prendre.  Éraste et Lépine sont arrivés de l'armée."")","('#madame-thibaut', ""Ce me serait bien de l'honneur."")",1.52,Substitution
274,"('#angelique', 'Ils sont arrivés, Marton ?  Que je suis à plaindre !')","('#angelique', ""Et à moi bien du profit.  Comment, diable !  On dit que la fortune et vous, vous êtes les deux doigts de la main, qu'elle vous met à même des emplois, et que vous rendrez heureux qui bon vous semble ?"")",1.55,Substitution
275,"('#marton', ""J'ai bien aussi mes petites raisons, pour ne pas trop me réjouir du retour de Lépine, et cependant c'est lui qui est le véritable."")","('#madame-thibaut', ""Je ne ferai jamais tant de bien, que je souhaiterais d'en faire."")",1.6,Substitution
276,"('#angelique', ""De quoi s'est avisé mon oncle d'avoir pris en pension chez lui ce jeune étourdi de Dorante ?"")","('#angelique', ""Il ne tiendra qu'à vous que je n'en fasse l'épreuve.  Vous voyez un jeune homme tout frais sorti de l'Académie, qui cherche à entrer dans le monde : mais qui aimerais mieux n'y mettre jamais le pied, que de n'y pas entrer par une belle porte."")",1.67,Substitution
277,,"('#madame-thibaut', ""Il y en a plusieurs : il ne s'agit là-dessus que de consulter votre inclination.  Voulez-vous être de robe ou d'épée ?"")",1.0,Deletion
278,"('#marton', ""Oui, que ne le faisait-on d'abord recevoir Conseiller ?  Il aurait fait son cours de Droit après, sans nous venir embarrasser de ses études et de sa personne."")","('#angelique', ""De robe !  Regardez-moi bien, ai-je l'air d'un écolier en Droit ?  D'épée, morbleu, d'épée s'il en fut jamais ; on a toujours porté les armes dans ma famille."")",1.2,Substitution
279,"('#angelique', ""C'est lui qui fait aujourd'hui ma principale inquiétude, Marton."")",,1.0,Insertion
280,"('#marton', ""Et c'est notre Maître Clerc qui est cause de tout mon embarras, à moi."")","('#madame-thibaut', ""Si c'est dans le service que vous souhaitez d'entrer, je ne puis rien pour vous."")",1.46,Substitution
281,,"('#angelique', 'Vous ne pouvez rien faire pour moi ?')",1.0,Deletion
282,,"('#madame-thibaut', ""Pas cela.  Les emplois de la guerre ne sortent pas de ma boutique.  J'en suis fâchée, quoiqu'au fond c'est bien dommage qu'un joli homme comme vous aille à l'armée."")",1.0,Deletion
283,"('#angelique', ""Que pourra penser, que dira Éraste, s'il a seulement lieu de soupçonner que j'ai pu prêter l'oreille aux tendres protestations d'un jeune écolier ?"")","('#angelique', ""Lorsqu'on est né l'épée au côté, je crois que partout ailleurs un homme de mon âge fait une sotte figure."")",1.65,Substitution
284,,"('#madame-thibaut', 'Vous êtes riche ?')",1.0,Deletion
285,,"('#angelique', ""Je suis tout l'opposé."")",1.0,Deletion
286,"('#marton', ""Et si Lépine vient à savoir que j'aie écouté les sornettes d'un Compagnon Procureur."")","('#madame-thibaut', 'Tant pis.')",1.46,Substitution
287,"('#angelique', ""Nous n'avons pas bien fait, Marton."")","('#angelique', 'Bon, bon, tant pis ; quand on a de la naissance et de la valeur, le service donne le reste.')",1.61,Substitution
288,,"('#madame-thibaut', ""Oui, mais pas toujours.  Croyez-moi, mon beau Gentilhomme, ne méprisez point mes conseils ; il y a tant de femmes qui ne s'appliquent uniquement qu'à réparer dans une jeunesse indigente le tort que lui fait la fortune : tâchez de vous associer avec quelque riche veuve.  Quand un équipage est en désordre, il vaut mieux, pour le remettre, avoir recours à sa femme qu'à l'usurier."")",1.0,Deletion
289,,"('#angelique', ""Moi !  Prendre une femme !  Hé, qu'en ferais-je ?"")",1.0,Deletion
290,"('#marton', ""Non, vous avez raison, d'accord ; mais en Été, comment mieux faire ?  Les gens de Robe raisonnables sont si rares, les Financiers si brutaux, et les Abbés si fades.  Un Clerc et un Écolier sont sans conséquence, il faut s'amuser, cela vaut mieux que rien."")","('#madame-thibaut', ""Ce que tous les autres jeunes gens qui épousent des femmes déjà surannées en font, leurs Intendantes et leurs Fermières.  Si vous voulez, avant qu'il soit deux jours, je vous livre la veuve d'un Marchand de marée, qui me persécute pour lui trouver un joli mari.  Si le parti vous accommode, elle vous mettra à la tête de vingt-cinq mille livres de rente."")",0.79,Substitution
291,"('#angelique', ""Si Éraste n'était point parti pour l'armée."")","('#angelique', ""Une femme de vingt-cinq mille livres de rente, le joli poste pour un jeune homme, si cela n'obligeait point à résidence !"")",1.35,Substitution
292,"('#marton', 'Si Lépine fût demeuré à Paris.')","('#madame-thibaut', ""Qu'appelez-vous résidence ?  Un homme de votre qualité est-il pour passer ses jours comme un Bourgeois cousu aux jupes de sa femme ?  On passe six mois à l'armée, de là l'on revient à Paris.  Madame y est-elle, on va à la Cour : vient-elle à la Cour, on retourne à Paris ; de manière qu'en tout un an, un mari n'aura pas donné quarante jours à sa femme.  Est-il, à le bien prendre, une plus douce condition ?  Où trouverez-vous encore un métier dont le travail de six semaines suffise pour vous défrayer de toute l'année ?"")",1.23,Substitution
293,,"('#angelique', ""Six semaines auprès d'une femme !  Ne comptez-vous cela pour rien ?"")",1.0,Deletion
294,,"('#madame-thibaut', 'Ouais, vous êtes donc bien libertin ?')",1.0,Deletion
295,,"('#angelique', ""Que voulez-vous ?  Chacun a son faible, et celui-là n'est pas le mien."")",1.0,Deletion
296,"('#angelique', ""Je n'aurais pas seulement regardé Orante."")","('#madame-thibaut', 'Vous ne voyez donc pas une femme ?')",1.56,Substitution
297,,"('#angelique', 'Je les verrais toutes, si elles étaient toutes faites comme toi.')",1.0,Deletion
298,,"('#madame-thibaut', ""Hé, Monsieur, vous n'y pensez pas."")",1.0,Deletion
299,,"('#angelique', 'La folle, qui ne reconnaît pas Angélique.')",1.0,Deletion
300,,"('#madame-thibaut', 'Mademoiselle Angélique !  Et qui vous reconnaîtrait dans cet équipage ?  Allez-vous courir le bal ?')",1.0,Deletion
301,,"('#angelique', 'Une affaire bien plus sérieuse me met en campagne.')",1.0,Deletion
302,,"('#madame-thibaut', ""Une affaire sérieuse !  Cela ne m'a point encore paru."")",1.0,Deletion
303,,"('#angelique', ""Si j'ai dit des folies, et que je ne me sois pas d'abord fait connaître à toi, ce n'était que pour faire l'épreuve de mon déguisement ; s'il a pu te tromper, il pourra bien en tromper d'autres."")",1.0,Deletion
304,"('#marton', ""Je n'eusse jamais écouté le maître Clerc."")","('#madame-thibaut', ""Vous avez l'air tout à fait Cavalier.  Mais, quelle affaire ?..."")",1.32,Substitution
305,"('#angelique', 'Les absents ont toujours tort, Marton.')","('#angelique', 'Une affaire de jalousie !')",1.78,Substitution
306,"('#marton', 'Oui, ce sont eux qui font la faute, et on nous en rend responsables.')",,1.0,Insertion
307,"('#angelique', 'Cela est bien injuste.')","('#madame-thibaut', 'Une affaire de jalousie ?')",1.93,Substitution
308,"('#marton', ""Je ne trouve rien de plus déraisonnable, moi ; et ce qu'il y a de plus chagrinant, plus l'absence dure, plus le tort augmente."")","('#angelique', ""Je ne suis jalouse que de la bonne sorte, et je te jure que c'est sans être amoureuse moi-même."")",1.08,Substitution
309,"('#angelique', ""Oui, cela est vrai, tu as raison.  Hasarderons-nous d'aller au bal ?  Si Éraste y vient, et qu'il nous y trouve ?"")","('#madame-thibaut', 'Je le veux croire ; mais pourtant ce déguisement.')",1.09,Substitution
310,,"('#angelique', ""Je ne l'ai pris que pour m'introduire dans une maison où mon perfide de Chevalier donne des rendez-vous à ma rivale.  Il me dit tous les jours qu'il ne la voit point ; et sous prétexte d'aller jouer, ils se trouvent ensemble dans le logis en question.  J'y vais ce soir à la faveur de cet habit : je les observerai de près, j'étudierai jusqu'à leurs moindres gestes ; et si le coeur m'en dit, je les frotterai tous deux comme tous les diables."")",1.0,Deletion
311,,"('#madame-thibaut', 'Et tout cela sans être amoureuse ?')",1.0,Deletion
312,,"('#angelique', ""Oui, je te jure ; mon dessein n'est que de décrier ma rivale par une aventure d'éclat."")",1.0,Deletion
313,"('#marton', 'Nous serons déguisées, il ne nous reconnaîtra pas.')","('#madame-thibaut', 'Vous ferez aussi parler de vous.  Êtes-vous folle, dites-moi ?')",1.36,Substitution
314,"('#angelique', 'Quel reproche à me faire, si mon oncle vient à expirer pendant que nous danserons, Marton ?')","('#angelique', ""Non.  D'accord, je ne suis pas trop sage ; mais je serais fâchée de l'être assez pour changer de résolution."")",1.29,Substitution
315,,"('#madame-thibaut', 'Le Chevalier ne vous le pardonnera jamais, et voilà le vrai moyen de rompre tout à fait avec lui.')",1.0,Deletion
316,"('#marton', ""Il en expirera plus gaiement, ce n'est pas là l'affaire."")","('#angelique', ""La rupture est certaine de manière ou d'autre ; et il me semble qu'un finissant une intrigue, c'est une espèce de consolation, que de gourmer un infidèle."")",0.88,Substitution
317,,"('#madame-thibaut', 'Mais...')",1.0,Deletion
318,,"('#angelique', ""Mais... Tes discours sont inutiles, je ne suis point ici pour prendre de tes conseils, j'y viens pour te demander de l'argent."")",1.0,Deletion
319,,"('#madame-thibaut', ""De l'argent à moi !"")",1.0,Deletion
320,,"('#angelique', 'Oui, mon enfant.  À moins que de jouer dans la maison de rendez-vous, on y fait mauvaise figure, et je prétends la faire bonne.')",1.0,Deletion
321,,"('#madame-thibaut', 'Vous allez y briller, je vous en réponds.')",1.0,Deletion
322,"('#angelique', ""Tu as raison, puisqu'il m'a déshéritée.  Mais que vois-je ?  C'est Éraste, c'est lui-même, qu'allons-nous faire ?"")","('#angelique', ""Voilà un diamant de cent pistoles, prête-m'en cinquante, je te prie, je t'en paierai bien l'intérêt."")",1.04,Substitution
323,,"('#madame-thibaut', 'Vous vous moquez ; je crois : il y a heureusement cinquante pistoles dans ma bourse.')",1.0,Deletion
324,,"('#angelique', 'Je te suis obligée.  Quand je devrais les perdre, je ferai beau bruit pour mon argent, et tu entendras parler de moi.')",1.0,Deletion
325,,"('#madame-thibaut', 'Adieu mon beau Cavalier, adieu.')",1.0,Deletion
326,,"('#gabrillon', 'Madame ?')",1.0,Deletion
327,,"('#madame-thibaut', ""Qu'est-ce qu'il y a ?"")",1.0,Deletion
328,,"('#gabrillon', ""J'attendais que ce jeune Monsieur fût sorti, pour vous dire que cette Nourrice est là-bas, qui fait un vacarme enragé, et qui veut à toute force que nous reprenions cet enfant."")",1.0,Deletion
329,,"('#madame-thibaut', ""Et pourquoi la laisser entrer ?  La porte n'était-elle pas fermée ?"")",1.0,Deletion
330,,"('#gabrillon', 'Tant de gens vont et viennent...')",1.0,Deletion
331,,"('#madame-thibaut', ""Viens, viens, suis-moi.  Madame la Nourrice n'a qu'à se bien tenir, elle trouvera à qui parler. "")",1.0,Deletion
332,"('#eraste', ""Vous voyez, charmante Angélique, un Amant outré d'inquiétude de ce qu'il vient d'apprendre des sentiments de votre tante, et qui n'a d'autre consolation, d'autre espoir que dans la constance des vôtres."")","('#gabrillon', ""Ma foi, Madame, il n'est rien tel que de faire du bruit, et d'avoir bonne tête.  La pauvre Nourrice, étourdie de vos discours, et intimidée de vos menaces, reporte l'enfant au Maître de Musique, et je crois que nous en sommes tout à fait débarrassées."")",0.93,Substitution
333,,"('#madame-thibaut', ""Je ne sais : le Maître de Musique est un mutin qui me fera peut-être assigner pour le reprendre : mais au pis-aller, j'ai des amis, et je me tirerai bien d'affaire."")",1.0,Deletion
334,,"('#gabrillon', 'Vraiment, vous tenez toute la Justice dans votre manche ; et voilà un nouvel appui que vous allez avoir au Palais.')",1.0,Deletion
335,,"('#madame-thibaut', ""Qui ?  Ce fou d'Éraste, qui pour se raccommoder avec sa famille, a quitté l'épée pour la robe, et d'Officier, s'est fait apprentif Magistrat ?  C'est un homme d'un grand poids !"")",1.0,Deletion
336,,"('#gabrillon', ""Il deviendra comme les autres.  Oh, diantre, Madame, il va vivre désormais en honnête homme, son laquais dit qu'il se va marier."")",1.0,Deletion
337,,"('#madame-thibaut', ""C'est donc pour cela qu'il cherche une toilette ?"")",1.0,Deletion
338,,"('#gabrillon', 'Apparemment.')",1.0,Deletion
339,,"('#madame-thibaut', 'Il faut aller chez cette Marquise, qui mourut dernièrement ; savoir quand on fera son inventaire.')",1.0,Deletion
340,,"('#gabrillon', ""Il n'y aura point de toilette à cet inventaire, Madame, et je ne crois pas qu'on fasse d'inventaire, même."")",1.0,Deletion
341,,"('#madame-thibaut', 'Et la raison ?')",1.0,Deletion
342,,"('#gabrillon', 'Cette Marquise a tout donné pendant sa vie.  Il faut entendre là-dessus ses héritiers, ils ne délabrent pas mal sa réputation.')",1.0,Deletion
343,,"('#madame-thibaut', ""Ce sont de bons impertinents, de la vouloir noircir : une femme qui ne s'est occupée pendant tout le cours de sa vie, qu'à fonder des carrosses à perpétuité à de jeunes gens de naissance, que la nécessité mettait hors d'état d'en avoir.  Ah !  Gabrillon, l'étrange chose que le monde !  Quelque bien que l'on puisse faire aux uns, on est presque toujours blâmé par les autres.  Voici Cléante : qu'on dise à tout le monde que je n'y suis pas."")",1.0,Deletion
344,,"('#madame-thibaut', ""N'avez-vous plus d'ordre à donner, et peut-on s'assurer de vous posséder autant de temps qu'on le souhaite ?"")",1.0,Deletion
345,"('#angelique', ""Éraste, vous me mettez dans le plus grand embarras… Allez, sortez d'ici, je vous en conjure, vous aurez de mes nouvelles, je vous écrirai tout ce que je pense : allez-vous-en, vous dis-je encore une fois."")","('#la-ramee', ""Je vous consacre tous les moments de ma vie, Madame ; et si les affaires du Régiment m'empêchaient d'être tout à vous, je me casse moi-même, et je remets ma Compagnie."")",0.48,Substitution
346,,"('#madame-thibaut', ""Il me semble qu'on parle du départ."")",1.0,Deletion
347,"('#eraste', 'Quel accueil !  Ah Ciel !  Vous me chassez !  Moi qui ne viens à Paris que pour vous, vous avez la force…')","('#la-ramee', ""Que fait cela, Madame ?  Homme de Cour et de qualité comme je suis, je ne pars que quand il me plaît.  Je passe à Paris des demi Étés incognito Je joins l'armée le jour d'une action ; cela fini, je reviens triomphant mettre à vos pieds toute ma gloire, et vous sacrifier ma fortune."")",0.45,Substitution
348,"('#angelique', ""Non, je ne l'ai pas, demeurez, Éraste, je me plais trop à vous voir ici : mais il serait important pour mon repos et pour le vôtre, qu'on ne vous vît point de quelque temps."")","('#madame-thibaut', 'Je ne crains rien tant que votre éloignement.')",0.79,Substitution
349,,"('#la-ramee', 'Ah !  Ma Princesse, que je suis heureux si ma présence...')",1.0,Deletion
350,"('#marton', ""Allons, Monsieur, si vous aimez Mademoiselle, ne l'exposez point…"")","('#madame-thibaut', 'Que veut-on ?  Ne vous avais-je pas dit de ne laisser entrer personne ?')",0.92,Substitution
351,,"('#gabrillon', ""Ce n'est pas vous, Madame, qu'on demande, c'est un essoufflé qui veut parler à Monsieur."")",1.0,Deletion
352,,"('#la-ramee', 'Un essoufflé ?  Que veut-elle dire ?')",1.0,Deletion
353,,"('#gabrillon', ""C'est une façon de Courier, qui arrive de votre garnison, peut-être."")",1.0,Deletion
354,"('#eraste', 'Personne ne nous a vus, Marton.')",,1.0,Insertion
355,"('#marton', ""Mais on va vous voir, Monsieur.  Hé vraiment oui, tout est perdu ; j'entends quelqu'un : si c'est Madame ?"")","('#la-ramee', 'Un Courier, moi ?  Cela ne se peut.  Qui lui aurait dit que je suis chez vous, Madame ?')",0.56,Substitution
356,,"('#gabrillon', ""C'est pourtant bien vous qu'il demande.  C'est un de vos laquais qu'il a trouvé à votre logis, qui l'a amené ici.  Tenez, le voilà.  Le reconnaissez-vous ?"")",1.0,Deletion
357,,"('#la-ramee', ""Hé, cadédis, c'est Champagne, le valet de chambre de mon père.  Que viens-tu m'annoncer, mon pauvre diable ?"")",1.0,Deletion
358,"('#angelique', ""C'est elle assurément.  Ah !  Éraste, avez-vous juré ma perte ?"")","('#champagne', 'Je suis mort, Monsieur.')",1.26,Substitution
359,,"('#la-ramee', 'Apprends-moi vite...')",1.0,Deletion
360,,"('#champagne', ""De Bourdeaux à Paris en deux jours !  Le diable, tout diable qu'il est, n'a jamais fait une telle diligence."")",1.0,Deletion
361,,"('#la-ramee', 'Tu ne veux pas me dire...')",1.0,Deletion
362,,"('#champagne', 'Votre père.')",1.0,Deletion
363,,"('#la-ramee', 'Hé bien, mon père est-il blessé, est-il mort ?')",1.0,Deletion
364,,"('#champagne', ""Rien de tout cela.  Il n'entre point de mortalité dans mon message ; au contraire, je suis un porteur de nouvelles toutes tissues d'allégresse ; c'est pour votre mariage qu'on m'envoie."")",1.0,Deletion
365,,"('#la-ramee', 'Mon mariage ?  Ah !  Madame, mon père saurait-il nos affaires ?')",1.0,Deletion
366,,"('#champagne', ""Comment donc vos affaires avec Madame ?  Vous alliez donc prendre une femme jusqu'à nouvel ordre ?"")",1.0,Deletion
367,"('#eraste', ""Oh, pour cela non, je vous assure.  Quels ménagements n'ai-je point pour vous ?"")","('#la-ramee', 'Insolent, voudrais-tu bien te taire ?')",0.83,Substitution
368,,"('#champagne', ""Et vous, voudriez-vous bien venir vous botter ?  Les jours sont courts pour un homme qu'on attend à souper à cent cinquante lieues d'ici, il n'y a pas un moment à perdre."")",1.0,Deletion
369,,"('#la-ramee', 'Veux-tu toujours me parler énigme.')",1.0,Deletion
370,,"('#champagne', ""Vous parler de souper, c'est vous parler énigme ?  Il faut n'avoir ni faim ni soif pour n'entendre pas cela.  Tenez, voyons si vous comprenez mieux les choses par écrit."")",1.0,Deletion
371,,"('#la-ramee', 'Tu as une lettre ?')",1.0,Deletion
372,"('#marton', ""Tout est perdu, Mademoiselle : c'est Léandre et Monsieur le Greffier, qui viennent nous prendre pour aller au bal."")","('#champagne', 'Oui, Monsieur.')",1.46,Substitution
373,,"('#la-ramee', 'Hé, que ne me la donnes-tu donc ?  Fais vite.  Que me voudrait mon père ?')",1.0,Deletion
374,,"('#madame-thibaut', ""J'en suis plus en peine que lui."")",1.0,Deletion
375,,"('#gabrillon', 'Je tremble.')",1.0,Deletion
376,,"('#la-ramee', ""Mon Fils, je ne saurais vous donner de plus fortes preuves de mon amitié, qu'en vous donnant Ismène pour épouse."")",1.0,Deletion
377,,"('#madame-thibaut', ""Qu'entends-je ?"")",1.0,Deletion
378,"('#angelique', 'Ah Ciel !')","('#gabrillon', 'Madame !')",0.42,Substitution
379,"('#leandre', 'Ne perdons point de temps, Mesdames, le bal est commencé, il durera peu.  Voici de quoi vous déguiser.')","('#la-ramee', ""J'espère qu'après que vous l'aurez vue, vous avouerez comme moi que les cent mille livres qu'elle vous apporte en mariage, sont moins à estimer que sa beauté."")",1.31,Substitution
380,"('#eraste', 'Ah, Ciel !  Que veut dire ceci, Angélique ?')","('#madame-thibaut', 'Ah, Ciel !')",1.08,Substitution
381,,"('#gabrillon', 'Quel contretemps !')",1.0,Deletion
382,"('#marton', ""Cela veut dire, Monsieur, que ce sont des importuns d'Été, dont le retour de l'hiver et le vôtre nous débarrasseront."")","('#la-ramee', ""Prenez la poste dès qu'on vous aura rendu ma lettre, et comptez que quelque diligence que vous fassiez, vous aurez peine à satisfaire l'impatience de ceux qui vous attendent. Votre affectionné père, Le Marquis de Cléante."")",1.17,Substitution
383,,"('#la-ramee', 'Madame, quel coup de foudre !')",1.0,Deletion
384,"('#lepine', 'Nous avons eu des Substituts, Monsieur, pendant notre absence.')","('#champagne', ""Cela rompt vos mesures ; mais, il faut suivre l'ordre."")",1.39,Substitution
385,,"('#madame-thibaut', ""Hé bien, Cléante, qu'allez-vous faire ?"")",1.0,Deletion
386,,"('#la-ramee', ""Renvoyer cet homme à mon père, Madame, lui promettre tout, et revenir sur mes pas ; me mettre, si vous voulez, hors d'état de faire ce qu'on veut de moi."")",1.0,Deletion
