,quinault-persee,quinault-proserpine,Cost,Operation Type
85,"('#protenor', ""Garde-nous de la voir, la Mort est dans ses yeux. Tous ensembles, en fuyant. Fuyons ce monstre terrible ; Sauvons-nous s'il est possible : Sauvons-nous, hâtons nos pas ; Fuyons un affreux trépas."")","('#alphee', 'Me fuirez-vous toujours ?')",1.26,Substitution
86,"('#cassiope', ""Faut-il que contre nous tout le ciel s'intéresse ? Dieux ! ne puis-je espérer de vous fléchir jamais ?"")","('#proserpine', 'Cérès va nous ôter sa divine présence, Ces lieux vont perdre leurs attraits, Cérès, favorable Cérès, Faites cesser bientôt votre cruelle absence, Cérès, favorable Cérès Écoutez nos tristes regrets. Le choeur répète ces derniers vers.')",1.12,Substitution
87,"('#phinee', ""J'ai conduit ici la princesse."")","('#ceres', ""Vous qui voulez pour moi signaler votre zèle Ne troublez point la paix de cet heureux séjour, Je presse mon départ pour hâter mon retour ; Accompagnez ma fille avec un soin fidèle. Changez vos tristes chants en de charmants concerts ; Que j'entende en partant dans le milieu des airs Éclater la gloire nouvelle Du plus grand dieu de l'univers. Cérès fait partir son char volant."")",1.22,Substitution
88,"('#merope', 'Persée a ramené le roi dans ce palais.')",,1.0,Insertion
89,"('#phinee', 'Méduse se retire, elle nous laisse en paix.')",,1.0,Insertion
90,"('#cassiope', ""Elle peut revenir, elle peut nous surprendre. Junon s'obstine à se venger ; Contre elle aucun des dieux n'a soin de nous défendre ; Mon seul espoir est d'engager Jupiter à nous protéger."")","('#proserpine #le-choeur', ""Célébrons la victoire Du plus puissant des dieux. Qu'un trophée éternel conserve la mémoire D'un triomphe si glorieux. Célébrons la victoire Du plus puissant des dieux ; Faisons retentir jusqu'aux cieux Le bruit éclatant de sa gloire : Célébrons la victoire Du plus puissant des dieux. Ce palais va tomber ; ô dieux ! La terre s'ouvre ! Quels tremblements affreux ! L'enfer découvre Ses gouffres ténébreux. Jupiter lancez le tonnerre, Renversez par de nouveaux coups Le chef audacieux des enfants de la terre : Il veut se relever pour s'armer contre vous, Achevez d'étouffer la guerre. Jupiter : lancez le tonnerre. On danse autour d'un trophée qu'on élève à l'honneur de Jupiter, et que l'on forme du débris des armes monstrueuses des gens vaincus. Sur la fin de cette fête on entend un tremblement de terre qui fait tomber une partie du palais de Cérès. Le tonnerre tombe sur le mont Etna, qui paraît dans l'éloignement ; et ce coup achève d'accabler le chef des géants, qui s'efforçait de se relever."")",1.08,Substitution
91,"('#phinee', 'Je vous entends ; je sais quelle est votre espérance. Persée a beau vanter sa divine naissance, Après votre promesse, après la choix du roi, Andromède doit être à moi.')","('#crinise', ""Jupiter a dompté les Géants pour jamais. Ce beau séjour brille de nouveaux charmes, Tout y ressent le retour de la paix : Ah ! Que le repos a d'attraits Après de mortelles alarmes."")",0.69,Substitution
92,"('#cassiope', ""Le ciel punit mon crime ; il est inexorable. J'ai besoin de secours dans un mortel effroi."")","('#alphee', ""La paix dans ces beaux lieux m'offre en vain mille appas. L'amour en rend pour moi la douceur inutile ; Cruel amour, hélas ! Que me sert-il de voir tout le monde tranquille Si mon coeur ne l'est pas ?"")",0.82,Substitution
93,"('#phinee', ""Ah ! si le ciel est équitable,  Vous trouverait-il moins coupable Si vous m'aviez manqué de foi ?"")","('#crinise', ""Vous changez, vous quittez une nymphe inhumaine. Votre coeur ne risque rien À choisir une autre chaîne, C'est toujours un bien De changer de peine."")",1.85,Substitution
94,"('#merope', ""Il est aimé de ce qu'il aime ; Vous avec approuvé ses voeux : Briserez-vous des noeuds Que vous avez formés vous-même ? Que le désespoir est affreux Pour un amour extrême, Qui s'était flatté d'être heureux !"")","('#alphee', ""Heureux qui peut être inconstant ! Rebuté des rigueurs d'une haine éternelle, J'ai voulu la quitter cette beauté cruelle, Et j'éprouve qu'en la quittant Mon coeur est encor moins content. J'ai feint de ressentir une flamme nouvelle, J'ai fait voir à ses yeux un dépit éclatant ; Mais hélas ! Dans le même instant Je brûlais en secret, je languissais pour elle, Et je ne l'aimai jamais tant. Qu'il coûte cher d'être fidèle ! Heureux qui peut être inconstant ! Crinise et Alphée répètent ensemble ces deux derniers vers."")",0.32,Substitution
95,"('#phinee #merope', 'Briserez-vous des noeuds Que vous avez formés vous-même ?')","('#crinise', ""Quelqu'un vient, gardez le silence."")",1.94,Substitution
96,"('#phinee', ""Seigneur, vous m'avez destiné À l'hymen fortuné De l'aimable Andromède. A l'amour de Persée on veut que je la cède ; M'ôterez-vous un bien que vous m'avez donné ?"")","('#alphee', ""C'est Ascalaphe qui s'avance Pour quelque soin pressant il quitte les enfers : Il n'a de mon amour que trop de connaissance, Où n'ai-je point porté la honte de mes fers ?"")",0.56,Substitution
97,,"('#alphee', ""Venez goûter ici le doux air qu'on respire."")",1.0,Deletion
98,"('#cephee', 'Au fils de Jupiter on peut céder sans honte.')",,1.0,Insertion
99,"('#phinee', ""Et croyez-vous aussi la fable qu'il raconte ? Croyez-vous qu'un dieu souverain, Qui sur tout l'univers préside, Se laisse par l'amour changer en or liquide Pour entrer en secret dans une tour d'airain ? Par ce prodige imaginaire, Persée est révéré du crédule vulgaire : Il se dit fils du dieu dont le ciel suit la loi ; Mais je ne prétends pas l'en croire sur sa foi."")","('#ascalaphe', ""Je dois suivre le dieu de l'infernal empire. La terre par ses tremblements Vient d'ébranler les fondements De nos demeures sombres : Pluton a voulu voir si la clarté des cieux Ne s'ouvre point de passage en ces lieux Pour aller aux enfers effaroucher les ombres. Il me permet de voir Arethuse un moment."")",0.25,Substitution
100,,"('#alphee', ""D'où vous vient tant d'empressement ?"")",1.0,Deletion
101,"('#cephee', ""Votre incrédulité n'aura donc plus d'excuse, Mon frère ; sa valeur va vous ouvrir les yeux. Reconnaissez le fils du plus puissant des dieux : Il offre de couper le tête de Méduse."")","('#ascalaphe', ""Je l'ai vue aux enfers ; que je la trouvais belle !"")",1.57,Substitution
102,"('#merope #cassiope #phinee', 'La tête de Méduse ! Ô cieux !')","('#alphee', ""L'ingrate me fuyait, elle est toujours cruelle."")",1.52,Substitution
103,"('#cephee', ""Ma fille est le prix qu'il demande."")",,1.0,Insertion
104,"('#cassiope #cephee', 'Quel prix peut trop payer cet effort glorieux ?')","('#ascalaphe', 'Ses cruautés pour vous, ses soins pour fuir vos pas Ont encore à mes yeux augmenté ses appas.')",1.69,Substitution
105,"('#phinee', ""Le succès n'est pas sûr, souffrez que je l'attends : Souffrez que cependant mon amour se défendre D'abandonner un bien si précieux ; Persée encor n'est pas victorieux. Il sort."")","('#alphee', ""Les flammes amoureuses Descendent-elles jusqu'à vous ? L'amour veut un séjour plus doux Que vos demeures ténébreuses."")",0.96,Substitution
106,"('#cephee', ""L'espoir dans nos coeurs doit renaître... Dieux, que Junon engage à servir son courroux, Dieux irrités, apaisez-vous ! La vengeance du ciel n'a que trop au paraître. Le fils de Jupiter veut combattre pour nous : Ô ciel ! favorisez le fils de votre maître. Il répètent tous les trois ensemble les deux derniers vers, et puis Cépéhe et Cassiope s'en vont."")","('#ascalaphe', ""L'astre brillant qui vous luit Finit son cours dans les ondes, Il ne peut percer la nuit De nos demeures profondes ; Mais il n'est point de séjour Impénétrable à l'amour."")",0.83,Substitution
107,"('#merope', ""Hélas ! Il va périr ! Dois-je en trembler ? Pourquoi Pour l'amant d'Andromède ai-je pris tant d'effroi ? Faut-il que mon dépit s'oublie ? Quel intérêt ai-je à sa vie ? Il vivrait pour une autre, il est perdu pour moi... Cependant quand je songe à son péril extrême, Quand je le vois chercher un horrible trépas, Sans songer qu'il ne m'aime pas, Je sens seulement que je l'aime."")","('#alphee', ""Qu'espérez-vous d'une âme si sévère ? Mon amour ne peut l'émouvoir."")",0.62,Substitution
108,,"('#ascalaphe', 'Si vous ne savez pas le secret de lui plaire Un autre pourra le savoir.')",1.0,Deletion
109,"('#andromede', ""Infortunés, qu'un monstre affreux A changés en rochers par ses regards terribles, Vous ne ressentez plus vos destins rigoureux, Et vos coeurs endurcis sont pour jamais paisibles. Hélas ! les coeurs sensibles Sont mille fois plus malheureux."")","('#alphee', ""Saurez-vous de son coeur vaincre la résistance ? Est-ce aux enfers qu'on apprend ce secret ?"")",0.91,Substitution
110,"('#merope', ""Andromède semble interdite ;  Elle vient rêver en ces lieux : Ah ! je reconnais dans ses yeux Le même trouble qui m'agite."")","('#ascalaphe', ""On apprend aux enfers à garder le silence, Et l'on y sait être discret ; La nymphe que je cherche avec soin vous évite, Pour la trouver, il faut que je vous quitte."")",0.87,Substitution
111,"('#andromede', ""Il ne m'aime que trop, et tout me sollicite De l'aimer à mon tour ; C'est du plus grand des dieux qu'il a reçu le jour. Dans nos périls mortels l'amour le précipite : Le moyen de tenir contre tant de mérite, Et contre tant d'amour ?"")","('#alphee', ""Amants qui n'êtes point jaloux, Que votre sort est doux ! L'amour m'a fait gémir sous une dure chaîne ; Mais quand je me plaignais de ses funestes coups Je ne connaissais pas le plus cruel de tous. Un autre aime Arethuse et ne craint point sa haine ; Et je vois sur moi seul tomber tout son courroux : C'était peu du malheur d'aimer une inhumaine, Le bonheur d'un rival a redoublé ma peine. Amants qui n'êtes point jaloux, Que votre sort est doux !"")",0.14,Substitution
112,"('#merope', ""Ah ! Vous aimez Persée ; il cause vos alarmes ; N'en désavouez point vos larmes : Vos tendres sentiments se sont trop exprimés. Vous l'aimez."")","('#alphee', 'Ingrate, écoutez-moi, je ne veux plus me plaindre, Je ne vous dirai rien qui vous puisse alarmer.')",0.9,Substitution
113,"('#andromede', ""Vous l'aimez. L'espoir de son hymen avait charmé votre âme, Et je sais les projet que vous aviez formés : Je vois que le dépit n'éteint pas votre flamme ; Persée est en péril, et vous vous alarmez. Vous l'aimez."")","('#arethuse', ""Vous cessez de m'aimer, Je cesse de vous craindre."")",0.37,Substitution
114,"('#merope', ""Vous l'aimez."")","('#alphee', 'Ascalaphe vous cherche ici, Bientôt vous le verrez paraître ; Arethuse, peut-être, Vous le cherchez aussi.')",1.46,Substitution
115,"('#andromede #merope', ""Ah ! Qu'un tendre coeur est à plaindre D'être réduit à feindre ! Quel tourment ne fait point souffrir Un malheureux amour que l'on ne peut éteindre, Et que l'on n'ose découvrir ? Ah ! qu'un tendre coeur est à plaindre D'être réduit à feindre !"")",,1.0,Insertion
116,"('#merope', ""Il est vrai, le dépit veut en vain m'animer ; Je sens que la pitié désarme ma colère. Persée est un ingrat qui ne me peut aimer ; Il n'a pas laissé de me plaire. Il vous a trop aimée, hélas ! Comment ne l'aimeriez-vous pas ?"")","('#arethuse', ""L'aimable Proserpine en votre âme a fait naître Une nouvelle ardeur ; Si vous ne m'aimez plus, que vous sert de connaître Le secret de mon coeur ?"")",0.04,Substitution
117,"('#andromede', ""L'amour qu'il a pour moi l'engage À chercher à se perdre avec empressement : Ne me reprochez point ce funeste avantage ; Je le paierai bien chèrement."")","('#alphee', ""Faut-il que votre coeur à l'amour moins rebelle Récompense un amant sans éprouver sa foi ? Si ce bien eût été le prix du plus fidèle, Ah ! Vous savez, cruelle, Qu'il n'était dû qu'à moi."")",0.3,Substitution
118,"('#merope', ""Unissons nos regrets, le même amour nous lie. Qu'importe à qui de nous Persée offre ses voeux ! Nous allons perdre toutes deux ; Son péril nous réconcilie."")","('#arethuse', ""Votre nouvelle chaîne est si belle et si forte ! Pourquoi songer encore à des liens rompus. Que vous importe Qu'un autre emporte Un prix qui ne vous touche plus ?"")",0.9,Substitution
119,"('#andromede #merope', ""Ce héros s'expose pour nous : Sa perte est infaillible, Ah ! Qu'il vive, s'il est possible, Quand il vivrait pour vous."")","('#alphee', ""Vous avez fui les soins de mon amour extrême, Vous m'avez ôté tout espoir : Si je disais que je vous aime, Vous m'ôteriez encor le plaisir de vous voir."")",0.83,Substitution
120,"('#andromede', 'Il faut que mon amour se cache et de trahisse... Ô ciel ! Il va parti ! Il me chercher en ces lieux.')","('#arethuse #alphee', ""C'est une autre que moi qui règne dans votre âme, C'est un autre que moi qui règne dans votre âme, Vous trouvez d'autres noeuds plus doux : En vain je veux cacher ma flamme, Mon amour paraît trop dans mes transports jaloux ; Non, je ne puis aimer que vous."")",0.65,Substitution
121,"('#merope', ""Je veux m'épargner le supplice D'être témoin de vos adieux. Elle sort."")","('#arethuse', 'Est-il vrai que mon coeur soit en votre puissance ?')",1.33,Substitution
122,"('#cephee', 'Belle princesse, enfin vous souffrez ma présence.')","('#ascalaphe', ""Je vous aime sans espérance ; J'ai voulu soulager mon mal Par le chagrin de mon rival. Dans les enfers, c'est ainsi qu'on en use : Mes maux n'ont pu trouver d'autre adoucissement. Pardonnez-moi, belle Arethuse, Je ne suis pas le seul qui se vante en aimant De posséder un coeur qu'on lui refuse. Mais Alphée aujourd'hui n'est plus tant rebuté ? Vous ne fuyez plus sa présence ?"")",1.05,Substitution
123,"('#andromede', ""Seigneur, on me l'ordonne, et je suis mon devoir."")",,1.0,Insertion
124,"('#cephee', ""Vous voulez me faire savoir Que je ne dois ce bien qu'à votre obéissance. N'importe, rien ne peut ébranler ma constance. J'ai su jusqu'à ce jour vous aimer sans espoir. Je vais avec plaisir prendre notre défense, Quand j'aurais pour récompense Que la seule douceur que je sens à vous voir."")","('#arethuse', 'Pour punir votre vanité Je veux que vous voyez triompher sa constance.')",0.0,Match
125,"('#andromede', ""Non, ne vous flattez pas ; je peux ne vous rien taire : Vous m'aimez vainement ; Phinée a su ma plaire ; Il est choisi pour être mon époux ; Nos deux coeurs sont unis ; quel prix espérez-vous D'une entreprise dangereuse ? Quand nous seriez dangereuse ? Quand vous seriez vainqueur, votre âme est généreuse, Et vous ne voudrez pas rompre des noeuds si doux."")","('#ascalaphe', ""En lui donnant la préférence, Vous me rendez la liberté. Le dépit qui me possède Me guérira promptement, Vous en faites mon tourment, Et j'en ferai mon remède."")",0.15,Substitution
126,"('#cephee', 'Je serai malheureux, désespéré, jaloux ; Mais je mourrai content si vous vivez heureuse.')","('#arethuse #alphee', ""Pour être heureux, il faut qu'on aime bien."")",0.78,Substitution
127,"('#andromede', 'Ô dieux !')","('#ascalaphe', ""Pour être heureux il faut qu'on n'aime rien. Mais Pluton va bientôt rentrer dans son empire : Il passe en ces lieux, il admire Les charmes d'un séjour si doux."")",1.64,Substitution
128,"('#cephee', 'De mes regards vos beaux yeux sont blessés ; Vous souffrez à me voir, mon amour vous outrage. Je vais chercher Méduse, et je vous aime assez Pour ne vous pas contraindre à souffrir davantage.')","('#pluton', ""Demeurez Arethuse, Alphée éloignez-vous. Alphée se retire, et Pluton continue à parler. Les efforts d'un géant qu'on croyait accablé Ont fait encor frémir le ciel, la terre, et l'onde Mon Empire s'en est troublé ; Jusqu'au centre du monde Mon trône en a tremblé. L'affreux Typhoée avec sa vaine rage Trébuche enfin dans des gouffres sans fonds. L'éclat du jour ne s'ouvre aucun passage Pour pénétrer les royaumes profonds Qui me sont échus en partage. Le ciel ne craindra plus que ses fiers ennemis Se relèvent jamais de leur chute mortelle, Et du monde ébranlé par leur fureur rebelle Les fondements sont raffermis : Je puis faire goûter une paix éternelle Aux peuples souterrains que le sort m'a soumis. Mais par vos soins puis-je voir Proserpine Avant que de quitter cet aimable séjour ?"")",0.37,Substitution
129,"('#andromede', 'Quoi ! pour jamais vous me quittez ! Persée, arrêtez, arrêtez.')",,1.0,Insertion
130,"('#cephee', ""Qu'entends-je ? Ô cieux : belle princesse ! Que vois-je ? vous versez des pleurs !"")",,1.0,Insertion
131,"('#andromede', ""Ah ! par l'excès de mes douleurs Connaissez, s'il se peut, l'excès de ma tendresse. Voyez à quoi j'avais recours Pour vous ôter l'ardeur qui vous fait entreprendre Un combat funeste à vos jours. Hélas ! que l'ai-je pu me rendre Indigne de votre secours ? Que n'êtes-vous magnanime ? Méduse d'un regard porte un trépas certain."")","('#arethuse', ""Cette fière beauté s'obstine À fuir les amants et l'amour. Dans l'innocent repos de cette solitude Elle évite les dieux De la terre et des cieux : Jugez de son inquiétude Si le Dieu des Enfers paraissait à ses yeux. Caché sous cet épais feuillage Vous pourriez la voir un moment."")",0.55,Substitution
132,"('#cephee', 'Vous pourriez être sa victime.')","('#pluton', ""Allez, il suffira que votre soin l'engage À venir dans ce lieu charmant, Et si je puis la voir il n'importe comment."")",1.48,Substitution
133,"('#andromede', ""Tout l'effort des mortels contre elle serait vain."")",,1.0,Insertion
134,"('#cephee', ""Le fils de Jupiter, lorsque l'amour l'anime, Doit aller au delà de tout l'effort humain."")","('#ascalaphe', ""J'ai peine à concevoir d'où vient le trouble extrême Où le coeur de Pluton semble s'abandonner."")",0.99,Substitution
135,"('#andromede', ""Par les frayeurs d'un amour tendre Ne serez-vous point désarmé ?"")","('#pluton', ""Tu peux t'en étonner, J'en suis surpris moi-même J'ai trouvé Proserpine en visitant ces lieux. Les pleurs coulaient de ses beaux yeux : Elle fuyait, interdite, et tremblante ; Pour implorer l'assistance des dieux Elle tournait ses regards vers les cieux : Sa douleur et son épouvante Rendaient encor sa beauté plus touchante. Les accents plaintifs de sa voix Ont ému mon coeur inflexible ; Qu'un coeur fier est troublé quand il devient sensible Pour la première fois !"")",0.73,Substitution
136,,"('#ascalaphe', ""Contre l'amour quel coeur peut se défendre ? Le temps d'aimer n'est pas connu, Il faut l'attendre ; Quand ce temps fatal est venu, Il faut se rendre. Contre l'amour quel coeur peut se défendre ?"")",1.0,Deletion
137,"('#cephee', ""J'ignorais votre amour, et j'aillais vous défendre ; Puis-je à vous secourir être moins animé, Quand je sais que je suis aimé ?"")","('#pluton', ""De ce dieu si puissant je méprisais les feux, J'éprouve enfin sa vengeance cruelle. Je l'ai vu ce dieu dangereux, Il suivait Proserpine, il volait après elle. J'ai vu de sa fatale main Partir un trait de flamme, J'ai voulu l'éviter en vain, Le coup a pénétré jusqu'au fond de mon âme."")",0.18,Substitution
138,"('#andromede', 'Quoi ! vous partez ?')",,1.0,Insertion
139,"('#cephee', ""L'amour m'appelle."")","('#ascalaphe', ""L'amour a surmonté le maître des enfers ; Il n'a plus rien à vaincre après cette victoire."")",1.49,Substitution
140,"('#andromede', 'Vous méprisez mes pleurs ! Mes cris sont superflus !')",,1.0,Insertion
141,"('#cephee', ""Vous me verrez comblé d'une gloire immortelle."")","('#pluton-ascalaphe', ""L'amour comblé de gloire Triomphe de tout l'univers."")",0.0,Match
142,"('#andromede', 'Hélas ! nous ne vous verrons plus !')","('#proserpine #nymphes', 'Les beaux jours et la paix Sont revenus ensemble.')",1.7,Substitution
143,"('#persee #andromede', ""Ah ! Le péril est extrême ! Je vois votre danger, je ne vois pas le mien.. Dieux ! sauvez ce que j'aime ! Et pour moi-même Je ne demande rien. Dieux ! sauvez ce que j'aime ! Andromède sort."")",,1.0,Insertion
144,"('#mercure', ""Persée, où courez-vous ? qu'allez-vous entreprendre ?"")",,1.0,Insertion
145,"('#cephee', ""Un peuple infortuné m'engage à le défendre ; C'est à la gloire que je cours. Si je meurs, mon trépas sera digne d'envie ; Je laisse le soin de mes jours Au dieu qui m'a donné la vie."")",,1.0,Insertion
146,"('#mercure', ""Ce dieux juste et puissant favorise vos voeux, Et c'est par ma voix qu'il s'explique : Il reconnaît son sang à l'effort généreux Que vous allez tenter, d'une ardeur héroïque,  Pour secourir des malheureux ; Mais ce n'est point en téméraire Qu'il faut dans le péril précipiter vos pas. L'assistance des dieux vous sera nécessaire : Ils veulent vous l'offrir, ne le négligez pas. Je viens d'apprendre à toute la nature Que Jupiter s'intéresse à vos jours : La jalouse Junon vainement en murmure, Et tout, jusqu'aux enfers, vous promet du secours."")","('#pluton', ""La troupe des nymphes s'assemble, Retirons-nous sous ce feuillage épais. Pluton et Ascalaphe se retirent et se cachent, et Proserpine et ses nymphes s'avancent en dansant et en chantant."")",0.96,Substitution
147,"('#un-des-cyclopes', ""C'est pour vous que Vulcain, de ses mains immortelles ; A forgé cette épée et préparé ces ailes. Hâtez-vous de vous signaler Par une célèbre victoire : Chacun doit aller à la gloire ; Mais un héros y doit voler."")",,1.0,Insertion
148,"('#une-nymphe-guerriere', ""Le plus vaillant guerrier s'abuse D'oser tout espérer de l'effort de son bras. Si vous voulez vaincre Méduse, Portez le bouclier de la sage Pallas. Que la valeur et la prudence, Quand elles sont d'intelligence, Achèvent d'exploits glorieux ! Le monstre le plus furieux Leur fait vainement résistance. La paix ne peut régner que par leur assistance ; L'univers leur doit son bonheur. Rien ne peux mieux donner un immortel honneur Que la valeur et la prudence, Quand elles sont d'intelligence."")","('#proserpine #nymphes', ""Les beaux jours et la paix On ne voit plus de coeur qui tremble, Tout rit dans ces lieux pleins d'attraits. Les beaux jours et la paix Sont revenus ensemble. Proserpine et ses nymphes continuent leurs danses et leurs chants."")",0.72,Substitution
149,"('#une-divinite-infernale', ""Ce casque vous est présenté Au nom du souverain de l'empire des Ombres. Au milieu du péril, pour votre sûreté, Il répandra sur vous l'épaisse obscurité Qui règne en nos demeures sombres. Ce don mystérieux doit apprendre aux humains Comme on peut s'assurer d'un succès favorable : Il faut cacher de grands desseins Sous un secret impénétrable."")","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.16,Substitution
150,,"('#le-choeur', ""On ne trouve rien de doux Quand on est dans l'esclavage."")",1.0,Deletion
151,"('#mercure #choeurs-de-cyclopes #nymphes-guerrieres #divinites-infernales', ""Que l'enfer, la terre et les cieux, Votre généreuse entreprise ! Que l'enfer, la terre et les cieux, Que tout l'univers favorise Le fils du plus puissant des lieux !"")","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.25,Substitution
152,"('#mercure', ""Votre conduite à mes soins est commise. L'impatience éclate dans vos yeux ; La gloire qui vous est promise Ne peut plus souffrir de remise. Suivez-moi ; partons de ces lieux. Mercure et Persée s'envolent."")","('#le-choeur', ""Les amants n'ont en partage Que langueurs, que soins jaloux."")",1.4,Substitution
153,"('#les-choeurs', ""Que l'enfer, la terre et les cieux, etc."")",,1.0,Insertion
154,"('#meduse', ""J'ai perdu la beauté qui me rendit si vaine : Je n'ai plus ces cheveux si beaux Dont autrefois le dieu des eaux Sentit lier son coeur d'une si douce chaîne. Pallas, la barbare Pallas, Fut jalouse de mes appas, Et me rendit affreuse autant que j'étais belle ; Mais l'excès étonnant de la difformité Dont me punit sa cruauté, Fera connaître, en dépit d'elle, Quel fut l'excès de ma beauté. Je ne puis trop montrer sa vengeance cruelle ; Ma tête est fière encor d'avoir pour ornement Des serpents dont le sifflement Excite une frayeur mortelle. Je porte l'épouvante et la mort en tous lieux ; Tout se change en rocher à mon aspect horrible : Les traits que Jupiter lance du haut des cieux N'ont rien de si terrible Qu'un regard de mes yeux. Les plus grands dieux du ciel, de la terre et de l'onde, Du soin de se venger se reposent sur moi : Si je perds la douceur d'être l'amour du monde, J'ai le plaisir nouveau d'en devenir l'effroi."")","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.14,Substitution
155,"('#meduse #euryale #stenone', ""Ô le doux emploi, pour la rage, De causer un affreux ravage. Heureuse la fureur Qui remplit l'univers d'horreur ! Dans ce triste séjour qui peut nous faire entendre Le doux bruit qui nous vient surprendre ? Jamais ici mortel avec impunité Ne porta sa vue indiscrète. Quels concerts ! quelle nouveauté ! Qui peut chercher l'horreur secrète De notre fatale retraite... ? C'est Mercure qui vient dans cet antre écarté. Les trois Gorgones entendent un doux concert."")","('#le-choeur', 'Belles fleurs charmant ombrage, Il ne faut aimer que vous.')",1.12,Substitution
156,"('#meduse', ""Mon terrible secours vous est-il nécessaire ? De superbes mortels osent-ils vous déplaire ? Faut-il vous en venger ? Faut-il armer contre eux Le funeste courroux de mes serpents affreux ? Où faut-il que ma fureur vole ? Vous n'avez qu'à nommer l'empire malheureux Que vous voulez que je désole."")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.75,Substitution
157,"('#mercure', ""C'est toujours mon plus cher désir De voir tout l'univers dans une paix profonde. Ne vous lassez-vous point du barbare plaisir De troubler le repos du monde !"")","('#le-choeur', ""Dans les plus aimables noeuds On n'a point de bien paisible."")",0.87,Substitution
158,"('#meduse', ""Puis-je causer jamais des malheurs assez grands Au gré de la fureur qui de mon coeur s'empare ? C'est des dieux que j'apprends À devenir barbare."")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.48,Substitution
159,"('#mercure', ""Il est vrai qu'un fatal courroux A trop éclaté contre vous ; Vous n'avez eu que trop de charmes. Sans Pallas, sans ses rigueurs, Vous n'auriez troublé les coeurs Que par de douces alarmes."")","('#le-choeur', ""C'est toujours un mal terrible Que l'ardeur des plus beaux feux."")",1.11,Substitution
160,"('#meduse', ""Que sert-il de m'entretenir D'un bien trop tôt passé, qui ne peut revenir ? Je n'en ressens que trop la perte irréparable ! Ah ! quand on se trouve effroyable, Que c'est un cruel souvenir De songer que l'on fut aimable !"")","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.13,Substitution
161,"('#mercure', ""Je ne puis, dans votre malheur, Vous offrir qu'un sommeil paisible."")","('#le-choeur', 'Quand un coeur est trop sensible Rien ne peut le rendre heureux.')",1.38,Substitution
162,"('#meduse', 'Avec une vive douleur Le repos est incompatible.')",,1.0,Insertion
163,"('#mercure', ""Ô tranquille sommeil, que vous êtes charmant ! Que vous faites sentir un doux enchantement Dans la plus triste solitude ! Votre divin pouvoir calme l'inquiétude Vous savez adoucir le plus cruel tourment. Ô tranquille sommeil, que vous êtes charmant ! Jouissez du repos dans ce lieux solitaire. Aux Gorgornes."")","('#proserpine', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Le jour n'éclaire Que pour nous plaire, Ces arbres verts. Ont leur plus beau feuillage, Et mille oiseaux divers Dans ce bocage Imitent nos concerts Par leur ramage ; Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Tout s'intéresse Dans nos désirs, Jamais l'amour ne nous blesse, Les doux plaisirs Sont pour les coeurs sans faiblesse. Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur."")",0.85,Substitution
164,"('#meduse #euryale #stenone', ""Non, ce n'est que pour la colère Que nos coeurs malheureux sont faits : Non, le repos ne peut nous plaire ; Nous y renonçons pour jamais. Non, ce n'est que pour la colère, etc."")","('#le-choeur', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Pour nous défendre D'un amour tendre, Avec fierté, Nous avons pris les armes : Nos biens n'ont point coûté De tristes larmes, La liberté N'a jamais que des charmes : Que notre vie, etc."")",0.29,Substitution
165,,"('#proserpine', 'Nous reverrons bientôt Cérès dans ces beaux lieux, Il faut lui préparer des guirlandes nouvelles. Séparons-nous ; voyons qui sait le mieux Assortir les fleurs les plus belles.')",1.0,Deletion
166,"('#mercure', 'Il faut céder, il faut vous rendre Au charme qui va vous surprendre.')","('#nymphes', ""Voyons qui sait le mieux Assortir les fleurs les plus belles. Les nymphes s'écartent, Proserpine et Cyané cueillent des fleurs."")",1.13,Substitution
167,"('#meduse #euryale #stenone', ""Il faut nous rendre malgré nous Au charme d'un sommeil trop doux. Les trois Gorgones s'endorment."")","('#pluton', 'Infernales divinités Secondez mon amour, sortez. Une troupe de divinités infernales sort de la terre, et le char de Pluton paraît en même temps.')",1.23,Substitution
168,"('#mercure', ""Persée, approchez-vous ; Méduse est endormie. Avancez sans bruit ; surprenez Une si terrible ennemie. Si vous osez la voir, c'est fait de votre vie."")","('#proserpine', 'Ciel ! Prenez ma défense !')",1.32,Substitution
169,"('#cephee', ""Je suivrai les conseils que vous m'avez donnés."")","('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.71,Substitution
