,boyer-amours-jupiter-semele,dufresny-adieux-des-officiers,Cost,Operation Type
57,"('#alcmeon', ""Par un doute cruel mon coeur est si pressé,  Qu'il veut savoir le coup dont il est menacé :  Je meurs à tout moment dans cette incertitude,  Prenez quelque pitié de mon inquiétude ;  De grâce apprenez-moi quelle ingrate froideur  Change l'heureux destin de ma fidèle ardeur.  On vient de m'assurer qu'on voit naître en votre âme  Le remords d'un adieu favorable à ma flamme :  Depuis que mon amour me retient dans ces lieux  N'ai-je pas fait pour vous ce qu'on fait pour les Dieux ?  C'est de vous aussi bien que du Roi votre père,  Que j'ai reçu l'aveu d'une flamme si chère.  Ai-je arraché ce coeur ? Vous me l'avez donné  Ce coeur, pour qui le mien eut tout abandonné.  Que si pour mériter un don si favorable  J'ignore l'art d'aimer, et de se rendre aimable,  Au moins j'ai dans mon coeur, de quoi vous enflammer,  Si pour se rendre aimable il ne fallait qu'aimer.  Les plus profonds respects, la plus forte tendresse...  Mais je vous parle en vain infidèle Princesse ;  Au désordre inquiet, qui trouble vos appas,  Ingrate je vois bien qu'on ne m'écoute pas. "")","('#vulcain', 'Si je lui donne des vapeurs, vous prenez bien soin de les guérir, vous. Il frappe encore.')",1.11,Substitution
58,"('#semele', ""Que me sert d'écouter n'ayant rien à répondre ?  Vos reproches sans doute ont de quoi me confondre ;  Je ne puis le nier, je vous aimai Seigneur,  Cependant... "")",,1.0,Insertion
59,"('#alcmeon', 'Achevez, dites-moi quel malheur,  Quel rival me dérobe une amitié si tendre ? ')","('#mars', 'Par la sambleu, si vous ne cessez de frapper...')",1.31,Substitution
60,"('#semele', ""Prenons un autre temps Seigneur pour vous l'apprendre  Un devoir si pressant... "")","('#vulcain', ""Monsieur Mars, je vous demande pardon, mais ma besogne presse, et j'ai une nouvelle baguette de Vulcain de commande, que je dois livrer aujourd'hui aux comédiens."")",0.87,Substitution
61,"('#alcmeon', 'Je ne vous quitte point  À moins...')","('#mars', ""Quand je serai parti, vous forgerez tant qu'il vous plaira."")",1.45,Substitution
62,"('#semele', ""Faut-il Seigneur m'expliquer sur ce pont ! "")","('#vulcain', ""Monsieur, notre grand débit se fait avec les officiers.  Sitôt que vous les aurez emmenés à l'armée, il faudra mettre les baguettes de Vulcain aux vieilles ferrailles."")",1.24,Substitution
63,"('#alcmeon', 'Hélas je le vois bien, vous en aimez un autre. ')",,1.0,Insertion
64,"('#semele', ""Oui Seigneur ; et ce n'est ma faute ni la vôtre  Je plains votre malheur, et ce coeur innocent  Vous trahit par l'effort d'un charme tout puissant.  Même je vous dirais, si j'osais vous le dire,  Que de son premier feu ce coeur encore soupire,  Et sent auprès de vous, quand il vous faut quitter... "")","('#mars', ""Ce serait dommage de laisser inutile un instrument qui va chercher l'or jusques dans les entrailles de la terre."")",1.77,Substitution
65,"('#alcmeon', 'Ah Princesse... ')",,1.0,Insertion
66,"('#semele', 'Ah Seigneur gardez de vous flatter.  Si votre fier rival savait que ma faiblesse  Laisse échapper pour vous une ombre de tendresse,  Ce reste de pitié vous deviendrait fatal.')",,1.0,Insertion
67,"('#alcmeon', ""C'est peu de me trahir, on vante mon rival,  On veut que sa puissance étonne ma colère,  Quel est donc ce rival ! "")",,1.0,Insertion
68,"('#semele', ""Seigneur c'est un mystère ;  Les Dieux seuls, et mon coeur ont droit de le savoir. "")",,1.0,Insertion
69,"('#alcmeon', ""Et vous voulez ainsi flatter mon désespoir.  Hélas je le vois bien, ce rival qui se cache,  Pour ma honte et la vôtre est un perfide un lâche ;  Pour vous justifier il paraîtrait au jour,  S'il avait mérité l'honneur de votre amour :  Mais par un sort fatal qui comble ma disgrâce,  Un indigne rival vient de prendre ma place. "")","('#vulcain', ""Les baguettes qui ne font que chercher l'or sont contrefaites, les véritables l'attirent ; et j'en connais une qui en trois mois a fait venir plus de vingt mille écus à l'hôtel de Bourgogne.  Mais vous me faites perdre ici mon temps mal à propos.  J'ai trop la vogue pour m'amuser à parler gratis, et avec les Parisiens il faut battre le fer quand il est chaud.  Tous ce que je puis faire pour adoucir le bruit des marteaux, c'est de chanter en travaillant.  Il frappe toujours."")",0.37,Substitution
70,"('#semele', ""Tout beau Seigneur, craignez ce dangereux rival.  Mais vous vous faites tort en le traitant si mal.  Mais vous devez présumer, qu'alors que je vous quitte,  Ce n'est pas par l'effort d'un plus faible mérite ;  Mais sans autre raison croyez-en ma fierté ;  Nul n'a droit sur ce coeur, s'il ne l'a mérité,  Et puisque ma raison me donne au plus aimable,  Jugez de ce qu'il vaut, s'il vous est préférable :  Blâmez si vous voulez mon coeur de trahison,  Mais faites sur ce choix justice à ma raison. "")","('#mars', ""Madame, puisqu'il nous empêche de parler bas, il mériterait bien que vous me fissiez une déclaration d'amour, si haut qu'il l'entende. "")",0.58,Substitution
71,"('#alcmeon', ""Quel qu'il soit, ce rival triomphe dans votre âme,  C'est là qu'il peut braver mon courroux et ma flamme :  Mais nous le connaîtrons ce rival si charmant.  Cependant dites-lui que je suis votre amant,  Et qu'on enlève point, sans coûter bien des têtes,  À des gens comme nous de semblables conquêtes. "")",,1.0,Insertion
72,"('#semele', ""Quand vous le connaîtrez vous perdrez ce courroux :  Il sied mal avec lui de faire le jaloux,  Et si vous me croyez, sachant ce qu'il faut craindre, Vous vous plaindrez fort bas, si vous osez vous plaindre.  Peut-être j'en dis trop et plus que je ne veux,  Quand il faut consoler un amant malheureux :  Mais comme votre amour attend tout de mon père,  Je crains que vous fassiez un éclat téméraire,  Et qu'un rival qui peut du moindre de ses coups...  Le Roi vient : échappons à son premier courroux.  Toi demeure ; je cours où mon amour m'appelle.  À Dircé. "")","('#vulcain', ""Si ma femme a la rage  De le dire si haut,  Je repousse l'outrage  À grands coups de marteau,  Je frapperai tant... tant... Il veut frapper Mars. "")",0.86,Substitution
73,"('#alcmeon', ""Vous me voyez frappé d'une atteinte mortelle,  Seigneur, on me trahit ; je viens de tout savoir ;  Un rival en secret m'ôte tout mon espoir. "")","('#mars', 'Plaît-il ?')",1.82,Substitution
74,"('#le-roi', 'Ah ! Prince ce soupçon marque trop de faiblesse. ')","('#vulcain', ""Sur mon ouvrage,  Que je n'entendrai rien  De tout votre entretien. "")",0.97,Substitution
75,"('#alcmeon', 'Je viens de le savoir, Seigneur, de la Princesse. ')","('#mars', ""Je vois bien qu'il faut quitter la place.  Voilà un grand brutal."")",1.42,Substitution
76,"('#le-roi', ""Quoi vous pourriez avoir un rival dans ma Cour ?  Ma fille veut sans doute éprouver votre amour,  On plutôt l'augmenter par ces fausses alarmes. "")",,1.0,Insertion
77,"('#alcmeon', ""Hélas c'est bien assez du pouvoir de ses charmes. "")",,1.0,Insertion
78,"('#le-roi', 'La fière Sémélé ne fera point de choix  Qui puisse être au-dessous des Princes et des Rois. ')",,1.0,Insertion
79,"('#alcmeon', ""À l'entendre parler du choix qu'elle se donne,  Son mérite est d'un prix plus haut que la Couronne."")",,1.0,Insertion
80,"('#le-roi', ""Il faut donc que ma cour à mes yeux abusés  Cache sous des sujets des Héros déguisés.  Mais en fut-il quelqu'un caché dans cet Empire,  Voudrait-il traverser l'hymen que je désire ? On sait, pour faire à Thèbes un solide repos,  Que voulant allier ce trône avec Argos,  Il faut qu'avecque vous, par un Hymen fidèle,  Sémélé nous assure une paix immortelle :  Un si grand intérêt ne peut être ignoré. "")",,1.0,Insertion
81,"('#alcmeon', ""Cependant mon malheur, n'est que trop assuré. "")","('#venus', 'Je ne verrai donc plus auprès de moi, que ce magot ?  Vous me quittez ?  Ah !')",1.36,Substitution
82,"('#le-roi', ""Je sais bien que ma fille au moins en apparence,  Dans ses premiers désirs marque quelque inconstance ;  Mais parmi les amants cette ombre de froideur  Peut changer le dehors sans aller jusqu'au coeur. "")",,1.0,Insertion
83,"('#alcmeon', ""Seigneur tout est changé ; la Princesse elle-même  D'un air si transporté m'a vanté ce qu'elle aime,  Qu'il n'est mortel ni Dieu qui lui puisse être égal.  Elle veut que je tremble au nom de ce rival,  Et sa fausse pitié qui craint pour ma faiblesse,  Veut que sans murmurer je cède la Princesse ;  Qu'une lâche terreur étouffe mes désirs,  Et cache au fond du coeur jusqu'aux moindres soupirs. "")","('#mars', ""Il faut bien lui faire un peu d'amitié, pour le disposer à vous bien traiter en mon absence.  Je le hais comme tous les diables... Adieu, mon cher ami Vulcain, je suis fâché d'être obligé de vous quitter. À Vulcain. Il l'embrasse."")",0.8,Substitution
84,,"('#vulcain', 'Ah, monsieur ! Il lui laisse tomber son marteau sur les pieds.')",1.0,Deletion
85,"('#le-roi', ""Madame vous devez connaître votre fille ;  Elle tient plus qu'à vous que toute ma famille.  Plus belle que ses soeurs elle a le premier rang,  Et vous fait négliger le reste de mon sang.  Par cette aveugle ardeur qui possède les mères,  N'avez-vous point rempli sa tête de chimères ?  Vous fille de Vénus, ne la flattez-vous pas  De l'espoir de gagner un Dieu par tant d'appas,  Et qu'un Héros mortel n'est pas assez pour elle ?  Vous me vantez souvent votre race immortelle,  Et Sémélé sans doute, au point où je la vois,  Prend pour lui tout l'orgueil, que vous avez pour moi. "")","('#mars', ""Hai !  Au moins je vous recommande de veiller un peu à la conduite de madame votre épouse, pendant mon voyage.  Si vous voulez conserver sa réputation et la vôtre, gardez-vous bien de laisser entrer chez vous tous ces petits demi-dieux blondins et court-vêtus, qui n'attendent que mon départ pour venir fondre ici. "")",0.4,Substitution
86,"('#la-reine', ""Je n'ai rien fait, Seigneur, qui vous oblige à croire  Que le sang de Vénus, dont je tire ma gloire,  Me fasse négliger mon Époux et mon Roi :  Je sais ce que je suis, et ce que je vous dois.  Cet imprudent orgueil qui n'est qu'extravagance,  Vient aux simples mortels d'une simple naissance :  Mais cet orgueil qui suit ceux qui sortent des Dieux,  Est un orgueil illustre, innocent, glorieux.  C'est celui que j'ai mis dans l'esprit de ma fille,  Et si je la préfère à toute ma famille,  Je ne puis le nier, dès qu'elle vit le jour,  Elle eut mes premiers soins et mon premier amour ;  Mais tout ce grand amour et cette préférence  N'ont rien mis dans son coeur plus haut que sa naissance.  Elle a choisi ce Prince et j'ai loué son choix ;  Et si le sang des Dieux avec celui des Rois,  Est entre vous et moi joint par notre hyménée,  Ce grand exemple instruit une fille bien née.  Quoi qu'il semble aujourd'hui, que pour ce digne amant,  Sémélé se dispose à quelque changement,  Je lui rendrai bientôt sa première tendresse :  Mais il faut ménager son âme avec adresse ;  N'y mêlez pas, Seigneur l'aigreur et le courroux ;  Il faut pour la gagner des traitements plus doux ;  Elle doit obéir, mais d'une obéissance,  Qui n'ait rien d'indigne et basse dépendance."")","('#vulcain', ""Ma foi, monsieur Mars, un plumet comme vous décrie plus une femme en huit jours d'été, que tous ces messieurs-là en tout un hiver.  Mais baste, un peu d'honneur plus_ou_moins dans une famille, cela ne vaut pas la peine de se brouiller avec un ami tel que vous. "")",0.72,Substitution
87,"('#le-roi', 'Je veux bien à vous seule abandonner ce soin ;  Je saurai faire agir mon pouvoir au besoin.  Mais quel est cet amant dont on fait un mystère ? ')","('#mars', 'À propos, ma rondache est-elle achevée de polir.')",1.54,Substitution
88,"('#la-reine', 'Pour de pareils secrets choisit-on une mère ? ')","('#vulcain', 'Vous avez ici des armes à choisir. Vénus et les amours arment Mars.')",1.62,Substitution
89,"('#le-roi', 'Madame il faudra donc employer mon pouvoir. ')",,1.0,Insertion
90,"('#la-reine', ""Je saurai l'obliger à faire son devoir. "")",,1.0,Insertion
91,"('#alcmeon', ""Ah ! Madame, ah ! Seigneur, sans forcer ma Princesse,  Laissez-la disposer de toute sa tendresse :  Mes maux sont trop cruels pour les pouvoir guérir :  C'est assez de l'aimer, l'adorer, et mourir. "")","('#mars', 'Monsieur mon compère, ne prenez pas la peine...')",1.42,Substitution
92,"('#le-roi', ""Prince défaites-vous de ce respect frivole ;  La Princesse est à vous, je tiendrai ma parole.  Vous, voyez votre fille, et faites-lui savoir,  Qu'elle doit s'expliquer ou craindre mon pouvoir. "")","('#vulcain', ""Il est bien juste que je vous coiffe par droit de représailles. Mars s'en va."")",1.49,Substitution
93,"('#la-reine', ""Tu vois l'ordre du Roi, Dircé par ton adresse  Découvre promptement l'amant de ta Maîtresse ;  Ou plutôt ouvre-moi cet important secret ;  Ma fille l'aura mis dans un sein si discret ;  Il n'en faut pas douter. "")","('#venus', ""Tu veux bien que j'aille le conduire jusqu'au Bourget."")",1.35,Substitution
94,"('#dirce', ""Ah ! De grâce, Madame,  Ne me demandez pas le secret de sa flamme ;  Ce secret révélé me coûterait le jour.  L'ordre qui me défend d'expliquer cet amour,  Vient d'un Amant si fier, si puissant, si terrible,  Qu'en vous le découvrant ma perte est infaillible.  Contentez-vous enfin d'apprendre que ce choix  Vous fera plus d'honneur, que le plus grand des Rois."")",,1.0,Insertion
95,"('#la-reine', ""S'il en est ainsi, pourquoi s'obstiner à se taire ?  Puis-je pas, s'il le faut, cacher ce grand mystère ?  Ah ! Que je crains de l'air, dont je te vois agir,  Que tu caches un choix qui nous fera rougir.  Quel que soit cet Amant, il faut que je l'apprenne. "")","('#vulcain', ""Non, non, j'irai bien moi-même."")",0.95,Substitution
96,"('#dirce', ""Pourquoi par cet aveu m'exposer à sa haine ?  Puisque de Sémélé vous pouvez l'obtenir,  Ne me contraignez point... "")",,1.0,Insertion
97,"('#la-reine', ""Faites-la donc venir.  Mais que vient m'annoncer ce merveilleux spectacle !  Viens-tu nous éclaircir, Amour, par ce miracle ? "")","('#venus', 'Tu viens de nous dire que tu as de la besogne pressée ? ')",0.93,Substitution
98,"('#l-amour', ""Non Reine, à qui je puis donner ce nom de soeur,  Puisque Vénus est notre mère. Loin d'aller de ta fille éclaircir le mystère,  Garde-toi de forcer le secret de son coeur ;  Commande-lui plutôt d'aimer et de se taire.  L'aigle sur qui je viens t'imposer cette loi,  T'apprend, qu'elle te vient d'un Dieu plus grand que moi.  L'Amour prend son vol du cintre du Théâtre vers le fond."")",,1.0,Insertion
99,"('#dirce', 'Madame vous voyez ce que les Dieux ordonnent. ')",,1.0,Insertion
100,"('#la-reine', ""Je le vois avec joie, et l'ordre qu'ils me donnent,  Montre, combien au Ciel mon sang est précieux,  Quand ce sang jusqu'ici fait descendre les Dieux.  Allons apprendre au Roi cette grande nouvelle,  Et l'ordre souverain d'une bouche immortelle :  Qu'il respecte un secret qu'une divine voix  Commande de la part du grand maître des Rois.  Toi, dis à Sémélé que sans crainte de blâme,  Elle peut conserver son secret et sa flamme,  Et que malgré l'ardeur d'un désir indiscret,  Je renonce au pouvoir d'arracher ce secret. "")",,1.0,Insertion
101,"('#jupiter', ""Oui j'attends Sémélé sous ce nouveau visage :  C'est l'amour qui m'a fait ce galant équipage :  Mais si tu vois un Dieu sous l'habit d'un Berger,  Ce n'est pas d'aujourd'hui que tu m'as vu changer ;  Et de mes feux secrets cacher les aventures,  Sous les traits différents de cent autres figures. "")",,1.0,Insertion
102,"('#momus', ""C'est donc l'Amour qui fait tous ces beaux changements.  J'admire Jupiter sous ces déguisements,  Et sitôt qu'il s'agit de faire une conquête,  Il fait beau voir un Dieu faire l'homme ou la bête.  On sait sous quelle forme on vous vit sur le dos,  Ravir la belle Europe et traverser les flots.  Vous en voulez toujours à celles de sa race :  Et déjà Sémélé vient de prendre sa place.  Dans le sang d'Agenor vous trouvez des appas,  Que dans un autre sang vos yeux ne trouvent pas.  On vous voit tous les jours courir de belle en belle,  Aimez-vous ces beaux noms d'inconstant, d'infidèle ?  N'est-il point de beauté qui vous puisse arrêter,  Les Dieux n'ont-ils point honte de coqueter ? "")",,1.0,Insertion
103,"('#jupiter', ""Momus, veux-tu toujours censurer et médire ?  N'as-tu jamais connu le souverain Empire,  Qui force au changement le plus puissant des Dieux ?  Vois comme c'est en nous un défaut glorieux.  Quand j'aime une beauté, d'abord je vois en elle  Tout ce qu'a de charmant une beauté mortelle ;  La lumière d'un Dieu découvre en un moment  Tout ce qui peut toucher les désirs d'un amant.  Un mortel a besoin de temps et de lumière,  Pour faire à son amour une digne matière ;  Mais un Dieu pour ce choix n'a pas besoin de temps :  Il voit tout d'un coup d'oeil et dehors et dedans ;  Son esprit convaincu d'un mérite adorable,  Aime d'abord, autant que l'objet est aimable,  Et par un feu divin qui peut tout enflammer,  Il embrase l'objet qui vient de le charmer.  Ce violent Amour vient à peine de naître,  Qu'il est victorieux autant, qu'il le peut être,  Et dès lors qu'il jouit avec tant d'ardeur,  Sa flamme à son objet applique tout son coeur,  Qu'au même instant qu'un Dieu possède une maîtresse,  Il épuise sa joie et toute sa tendresse :  Ainsi le coeur d'un Dieu presque en un seul moment,  Aime, se fait aimer, et cesse d'être Amant.  Toi qui n'aimas jamais, tu sais mal comme on aime. "")",,1.0,Insertion
104,"('#momus', ""Peut-être Jupiter, l'ignorez-vous vous-même :  Car enfin Sémélé vous coûte plus d'un jour,  Et je ne vous crois pas trop bien avec l'Amour ;  Vous vous brouillez souvent avec lui ce me semble. "")",,1.0,Insertion
105,"('#jupiter', ""Nous nous brouillons exprès pour être mieux ensemble.  Si l'amour avec moi s'entendait tous les jours,  Quelle gloire de vaincre avec ce grand secours ?  Je me fais de l'amour un combat volontaire,  Un doux empressement, une agréable affaire :  Sous l'habit d'un Berger je me déguise exprès,  Pour affaiblir ainsi la force de mes traits,  Et par quelques combats achetant la victoire,  Pour croître mes plaisirs, j'y mêle un peu de gloire. "")","('#vulcain', ""Le plus pressé de ma besogne c'est de le faire partir promptement. Songez seulement aux soins de votre ménage ; et pendant mon absence, mettez la paix entre vos deux enfants, qui se mangent le blanc des yeux ensemble. "")",0.68,Substitution
106,"('#momus', 'Quelquefois en un jour on vous voit demander,  Attaquer, emporter la place, et la céder. ')",,1.0,Insertion
107,"('#jupiter', ""Oui mais de mon amour apprend tout le mystère.  Quelque glorieux choix, qu'un Dieu se puisse faire,  Sache qu'il ne saurait remplir tous ses désirs :  Son coeur qui veut par tout le comble de plaisirs,  Répare le défaut de ces beautés mortelles,  Par un enchaînement de conquêtes nouvelles. "")",,1.0,Insertion
108,"('#momus', ""Pourquoi vous attacher aux beautés d'ici-bas ?  Nos déesses pour vous sont-elles sans appas ? "")",,1.0,Insertion
109,"('#jupiter', ""L'Amour n'a pas au Ciel son véritable empire :  C'est ici seulement qu'on brûle et qu'on soupire ;  Dans le séjour des Dieux l'on y vit sans désirs,  Et sans désirs l'Amour a-t-il de vrais plaisirs ? "")",,1.0,Insertion
110,"('#momus', ""Est-il d'autres plaisirs pour le Dieu du tonnerre  Que celui quand il v eut de foudroyer la terre ? Rire des beaux desseins d'un fol ambitieux,  Et préparer sa chute en l'élevant aux Cieux ;  Tout rempli de nectar dans une paix profonde,  D'un branlement de tête ébranler tout le monde ;  Faire de ses désirs sa raison et ses lois ;  Se jouer à son gré des peuples et des Rois ;  Voir les mortels brouillés dans toutes leurs prières ;  Leur voir pousser des voeux l'un à l'autre contraires ;  Confondre leurs projets et d'une même main,  Aujourd'hui les flatter et les punir demain ;  Et sur cette conduite inégale, incertaine  Ouïr les sots discours de la prudence humaine ;  Voilà de Jupiter les doux amusements. "")",,1.0,Insertion
111,"('#jupiter', ""J'en trouve dans l'amour qui sont bien plus charmants :  Quand l'amour dans un coeur met toute sa tendresse... "")",,1.0,Insertion
112,"('#momus', ""C'est avec ce beau nom qu'on cache sa faiblesse. "")","('#cupidon', 'On a bien de la peine à trouver le moment  De vous dire un mot seulement.')",1.24,Substitution
113,"('#jupiter', ""S'il est quelque faiblesse à se laisser charmer,  Que ne suis-je plus faible afin de mieux aimer ?  Ou s'il faut souhaiter une chose impossible,  Que ne suis-je moins Dieu pour être plus sensible ?  Mais j'ai tort de parler à qui n'aima jamais :  Ne combats plus ma flamme et sert-la désormais ;  Momus tu tiens ici la place de Mercure. "")",,1.0,Insertion
114,"('#momus', ""Oui grâce à vos bontés et ma gloire en murmure ;  Votre ordre malgré moi m'employant en ce jour,  Fait d'un censeur des Dieux un confident d'amour. "")","('#venus', ""M'a-t-on vu quelquefois refuser audience  À l'amour ? "")",1.37,Substitution
115,"('#jupiter', ""C'est pour tromper Junon qu'aujourd'hui je t'emploie,  Tu sais qu'incessamment elle trouble ma joie,  Et du subtil Mercure appréhendant l'emploi,  Il lui serait suspect s'il était près de moi.  Ainsi... Mais j'aperçois Sémélé. "")","('#cupidon', ""Rarement. Mais j'ai trop de prudence  Pour paraître quand votre époux  Est en affaire avec vous.  Je parlerais en vain. "")",0.34,Substitution
116,"('#momus', ""Je vous laisse ;  Un tiers est incommode auprès d'une maîtresse. "")",,1.0,Insertion
117,"('#jupiter', 'Ma Princesse est-ce vous ? ')",,1.0,Insertion
118,"('#semele', 'Est-ce là mon amant ! ')","('#venus', ""Qu'avez-vous à me dire ?  Comment va l'amoureux empire ? "")",1.06,Substitution
119,"('#jupiter', ""Me méconnaissez-vous sous ce déguisement ?  Avez-vous oublier le discours de l'aurore ? "")",,1.0,Insertion
120,"('#semele', ""Non, non, il m'en souvient, c'est le Dieu que j'adore ;  Sous l'habit d'un berger il m'attend en ces lieux. "")",,1.0,Insertion
121,"('#jupiter', ""Je trompe ainsi Junon et me cache à ses yeux :  De son jaloux esprit la triste inquiétude  À m'épier sans cesse applique son étude ;  Mais voulant m'assurer mes plaisirs les plus doux... "")",,1.0,Insertion
122,"('#semele', ""Ah vous vous cachez moins pour Junon que pour vous :  Vous aimez votre gloire, et vous craignez pour elle,  Qu'on sache ce qu'un Dieu fait pour une mortelle. "")",,1.0,Insertion
123,"('#jupiter', ""Moi craindre pour ma gloire un choix si glorieux ?  Moi qui pour vous servir, abandonne les cieux ?  Moi qui brûlant pour vous d'une ardeur sans seconde  Néglige sans rougir la conduite du monde ?  Moi qui montre à vos yeux un amant si charmé,  Qu'il cesse d'être Dieu pour être plus aimé ? "")","('#cupidon', ""Toujours de pis en pis, grâce à mon frère aîné.  C'est un amour si mal morigéné. "")",1.45,Substitution
124,"('#semele', ""Hé bien si votre amour est à couvert du blâme,  Si vous prisez si fort l'honneur de votre flamme,  Jupiter il est temps qu'elle paraisse au jour ;  Il court de fâcheux bruits de ce secret amour,  Et si votre ordre encor me condamne au silence,  Cet amour va périr par mon obéissance :  On presse mon hymen pour le Prince Alcméon ;  J'oppose un autre amant, mais j'en cache le nom.  Ce silence honteux où s'obstine mon âme,  Au sentiment de tous cache une indigne flamme,  Et tandis que ce feu n'osera voir le jour,  Ma gloire est en péril ainsi que mon amour."")","('#venus', ""Je sais qu'il est sans politesse,  Sans agrément et sans adresse :  Aussi n'est-ce pas lui  Qui dispose aujourd'hui  De la belle tendresse.  Vous avez tous les traits, dont la délicatesse  Charme le coeur, en lui donnant des lois,  Et je n'ai mis dans son carquois  Que ces vieux traits rouillés, dont la pointe émoussée  Conclut l'amour par l'hyménée. "")",0.0,Match
125,"('#jupiter', ""Ne craignez rien ; Amour pour finir votre peine,  Et par mon ordre exprès envoyé vers la Reine,  Lui défend d'écouter un désir indiscret,  Qui veut de votre flamme arracher le secret,  Et par un autre choix tyranniser votre âme. "")",,1.0,Insertion
126,"('#semele', ""Tant de précautions à cacher votre flamme,  Le respect de Junon, tous vos déguisements  Ne m'apprennent pas trop quels sont vos sentiments.  En effet, quand un Dieu se fait une maîtresse,  Il doit aimer sans bruit, et cacher sa faiblesse ;  Un Dieu doit s'épargner cette confusion ;  Junon est trop à craindre en cette occasion,  Et quoique le secret soit fatal à ma gloire,  Qu'importe on en croira ce qu'on en voudra croire.  Ce procédé n'est pas d'un véritable amant :  Un Dieu qui craint les bruits aime bien faible ment.  Pour moi je ne crains pas de dire qu'un Dieu m'aime.  Donnez m'en la licence, ou je la prends moi-même.  Contre un père en courroux, contre tout son pouvoir  Je n'ai que cet aveu pour sauver mon devoir,  Et je crois qu'un amour, dont mon âme est si fière,  Est trop noble et trop beau pour craindre la lumière.  Cependant avouez que j'aime plus que vous.  Je le vois bien, les Dieux n'aiment pas tant que nous :  Les Dieux n'ont pas le temps d'aimer comme on les aime,  Le soin de votre gloire et l'amour de vous-même  Vous peuvent-ils pour nous laisser quelques désirs ?  Mais vous êtes vous seul ma gloire et mes plaisirs :  Ainsi loin de cacher cette flamme divine ;  J'en veux vanter partout l'adorable origine,  Et faire voir partout un feu si glorieux. "")","('#cupidon', ""Vraiment, l'hymen et lui  Sont bien mal ensemble aujourd'hui.  C'est un gros débauché, qui m'ôte mes pratiques :  Il dégoûte les coeurs des galantes rubriques  Qui doivent au bonheur disposer le terrain :  Il conduit les amants par le plus court chemin.  Il me prévient partout, disant que c'est l'usage.  Et quand ses traits ont achevé l'ouvrage,  Vous savez que les miens ne servent plus de rien. "")",0.0,Match
127,"('#jupiter', ""Et n'est-ce pas assez qu'il paraisse à vos yeux ?  Un témoin comme moi suffit pour votre gloire. "")",,1.0,Insertion
128,"('#semele', ""Je veux que tout le monde apprenne ma victoire,  Et ne croirai jamais qu'on m'aime tendrement,  Si le grand Jupiter rougit du nom d'amant :  Ma gloire en cet état est toujours imparfaite. "")","('#venus', ""Mon fils, je sais un moyen  Pour rétablir tes droits. C'est d'ordonner aux belles,  D'être cruelles  Seulement jusqu'à trente ans,  Pour donner le loisir à nos jeunes amants  D'apprendre l'art de la galanterie. "")",0.76,Substitution
129,"('#jupiter', 'Hé bien que tout le monde apprenne ma défaite : Il faut bien satisfaire à votre ambition ;  Que mon amour éclate aussi loin que mon nom.')",,1.0,Insertion
130,"('#semele', ""Après un tel aveu je brave la colère  Des hommes et des Dieux, d'un amant et d'un père.  Mais Alcméon paraît, tachons de l'éviter. "")","('#cupidon', ""Quoi, vous croyez... Mais j'aperçois mon frère.  Je le laisse avec vous, prenez un air sévère.  Il s'en va."")",0.97,Substitution
131,"('#jupiter', ""Il faut voir le rival, qu'on donne à Jupiter."")",,1.0,Insertion
132,"('#alcmeon', 'Ce beau berger est-il de votre confidence ? ')",,1.0,Insertion
133,"('#semele', 'Comment ? ')",,1.0,Insertion
134,"('#alcmeon', ""Je vous apporte un avis d'importance,  Et n'ose devant lui... "")",,1.0,Insertion
135,"('#semele', ""Parlez ne craignez rien,  Ou gardez votre avis, s'il rompt notre entretien. "")",,1.0,Insertion
136,"('#alcmeon', ""J'ai trop de l'interrompre ; et je vois bien Madame,  Puisque vous lui fiez le secret de votre âme,  Que c'est lui qui souvent vous attire en ces lieux.  C'est donc là ce rival si fier, si glorieux ;  Puis donc qu'on ne craint rien d'un témoin si fidèle,  Apprenez le sujet d'une douleur mortelle.  Malgré tous mes conseils, contre votre dessein,  Le Roi vous veut contraindre à me donner la main,  Et pour ce coup fatal marque cette journée. "")",,1.0,Insertion
137,"('#jupiter', 'Mes ordres sauront bien rompre cet Hyménée. ')",,1.0,Insertion
138,"('#semele', ""Que me conseillez-vous sur cet ordre absolu ?  Ou vous-même plutôt qu'avez-vous résolu ?  Mon sort dépend de vous, faut-il que j'obéisse ? "")",,1.0,Insertion
139,"('#alcmeon', ""C'est à ce digne amant faire trop d'injustice,  De prendre en ce besoin conseil de son rival. "")",,1.0,Insertion
140,"('#jupiter', ""Ce conseil quel qu'il soit nous fera peu de mal. "")",,1.0,Insertion
141,"('#alcmeon', 'Hé quoi vous me braver ? ')",,1.0,Insertion
142,"('#jupiter', ""Non j'aurais peu de gloire,  De braver un rival quand il perd la victoire. "")",,1.0,Insertion
143,"('#alcmeon', ""C'est parler devant moi bien haut pour un berger."")",,1.0,Insertion
144,"('#jupiter', 'Des bergers comme moi le peuvent sans danger. ')",,1.0,Insertion
145,"('#alcmeon', ""Cette fierté m'étonne et je ne puis comprendre... "")",,1.0,Insertion
146,"('#jupiter', ""On m'aime et ce seul mot suffit pour vous l'apprendre. "")","('#venus', ""Pour un amour l'attitude est nouvelle. "")",1.1,Substitution
147,"('#alcmeon', ""Que vous sert cet amour quand j'ai l'aveu du Roi ? "")",,1.0,Insertion
