,garnier-bradamante,la-calprenede-bradamante,Cost,Operation Type
144,"('#bradamante', ""Je ne sais plus que dire ; il me faut d'autres ruses ; Elle rabat l'acier de toutes mes excuses."")","('#roger', ""Qui me feront mourir.  Si vous persévérez à vivre de la sorte,  C'est par trop relâcher d'une amitié si forte.  Et ces discours moqueurs, comme ils sont superflus,  Me feront croire enfin que vous ne m'aimez plus. "")",0.91,Substitution
145,"('#beatrix', ""N'ayez peur, mon amour, que sur nos âges vieux Un voyage si long nous soit laborieux. N'ayez peur, n'ayez peur, qu'il nous ennuie en Grèce : Nous aurons mille fois plus qu'ici de liesse, Vous voyant pour mari le fils d'un Empereur, Dont le nom redouté donne au monde terreur. Vrai Dieu ! Quel grand plaisir, quelle parfaite joie ! Mais qu'un petit César entre vos bras je vois, Ou dedans mon giron, qui porte sur le front Les beaux traits de son père et de ceux de Clairmont ! De qui tout l'Orient festoiera la naissance, Et qui tout l'Orient remplira d'espérance De voir un jour la France et l'empire Grégeois Marcher sous l'étendart du Monarque Français, Battre les Sarrasins, et avecque l'épée Déraciner leur nom de la terre occupée ! Ne sera-ce un grand heur, que cette affinité Porte au peuple chrétien si grande utilité ? S'il ne vous chaut de nous, le public vous émeuve."")","('#leon', ""Oui, mais par ce soupçon vous vous rendez coupable,  Je veux qu'en un moment la fortune m'accable,  Que du plus haut sommet de ma prospérité,  Dans un gouffre de maux je sois précipité,  Que je perde à l'instant d'un heureux hyménée,  Cette félicité que vous m'aurez donnée,  Si je ne vous conserve une éternelle foi,  Si mon frère toujours ne m'est plus cher que moi :  Et si j'accepterais la meilleure fortune,  Que m'étant avec lui dorénavant commune,  Je dédaigne sans lui tous les plus grands honneurs,  Nous les posséderons avec tous mes bonheurs.  Et le Ciel dont je tiens un sceptre en héritage,  A laissé pour nous deux l'Orient en partage.  Cependant ce harnois vous déguise si bien,  Que mes plus familiers n'y reconnaîtront rien.  Ou si tous connaissaient à quel point je vous aime,  Sans doute ils vous prendraient pour un autre moi-même.  Mais l'heure du combat m'oblige à vous quitter,  Je perdrais trop de temps à vous solliciter.  Mon bien est assuré par des mains si vaillantes.  Adieu, pour me cacher je rentre dans mes tentes. "")",0.0,Match
146,"('#bradamante', ""Vous savez qu'il convient que sa force il éprouve, Et que l'accord est tel de ma nocière loi Qu'il faut qu'avec l'épée on soit vainqueur de moi."")","('#roger', ""Des bords plus éloignés où le flambeau du jour,  Sorti de l'Océan recommence son tour,  Jusqu'aux flots reculés où sa clarté dévale,  Est-il une fortune à ma fortune égale ?  Malheureux si la terre en a jamais produit,  À quelle extrémité te trouves-tu réduit ?  C'est peu que tout le monde à ta perte conspire,  Que le Ciel avec lui s'unisse pour te nuire,  Que tous les éléments soient armés contre toi,  Comme contre un ingrat qui viole sa foi.  Si le Ciel pour montrer que sa haine est extrême,  N'armait ta propre main pour te perdre toi-même.  Oui, c'est le point qui reste à ton dernier malheur,  Que tu sois l'instrument de ta propre douleur.  Et tu périrais mal, si ta perte légère,  En pouvait accuser une cause étrangère.  Cette main, qui mes dieux, et mon Prince servant,  M'a des plus grands périls retiré si souvent :  De qui les actions partout victorieuses,  Aux yeux de tout le monde ont paru glorieuses,  Devait donc (destinée à ce fatal emploi) Traiter mes ennemis plus doucement que moi.  Malgré le souvenir de ma première flamme,  La traîtresse pourra s'armer contre mon âme.  Et toi coeur déloyal noirci de lâcheté,  Sont-ce là des effets de ta fidélité ?  Sont-ce là les serments que tu fis par ma bouche ?  Éclate et mets au jour le regret qui te touche,  Parais pour m'obliger à toi-même inhumain :  Mais non, tu dois mourir d'une plus belle main,  Puisque c'est Bradamante à qui je fais l'offense,  Bradamante elle-même en fera la vengeance.  C'est par ce seul moyen qu'il me faut acquitter,  Je trouve mon salut à me précipiter.  À voir d'un coup vengeur ma poitrine frappée,  Et recevoir la mort de sa fatale épée.  Je puis par ce moyen contenter mes désirs,  Et par un même sort venger ses déplaisirs.  Mais l'étrange malheur qui me poursuit encore !  Je trahis par ma mort un ami qui m'adore.  Désormais son salut ne dépend que de moi,  Et si je veux périr, je lui manque de foi.  Non je suis obligé de tenir ma parole,  Ma résolution inutile s'envole.  Et si par moi Léon ne la possède pas,  Je ne puis sans un crime avancer mon trépas.  Je dois faire pour lui tout ce qui m'est possible,  Après il n'est plus rien qui ne me soit loisible.  Et m'étant acquitté de ce que je lui dois,  Il me sera permis de mourir mille fois.  Pour lors je trouverai mon repos dans mes armes,  Pour lors le seul trépas aura pour moi des charmes,  Et dans mon dernier sort je serai bien heureux,  Que ma tragique fin m'acquitte à tous les deux. "")",0.29,Substitution
147,"('#beatrix', 'Ô ma fille, pour Dieu laissez cette folie.')","('#aymon', ""Puisque dans ce dessein vous êtes résolue,  Que vous prenez sur vous la puissance absolue,  Vous en ferez, Madame, à votre volonté.  Mais vous vous sou=viendrez que cette liberté,  Que cette folle amour qui vous rend méprisable,  De même en peu de jours vous rendra misérable.  Vous vous repentirez d'avoir désobéi,  Et vous regretterez qui vous aurez haï,  Alors que vous aurez plus d'esprit et plus d'âge,  Que vous vous guérirez de cette humeur volage,  Et qu'en vous la raison trouvera quelque part,  Vous voudrez un mari, mais il sera trop tard.  Tout le monde rira de vous vous délaissée,  Et vous soupirerez de votre erreur passée.  Vous aurez de la peine à trouver un époux,  Même votre Roger ne voudra plus de vous.  Je ne crois pas pourtant que ce discours vous touche,  Et principalement quand il vient de ma bouche,  Si votre conseiller vous en disait autant.  Mais je m'en vais trouver le Roi qui vous attend.  Armez-vous cependant de colère et de haine,  Vous serez plus vaillante, étant plus inhumaine.  C'est un trait de valeur de tuer un amant,  Par vos yeux, par vos mains, il mourra doublement.  Va tigresse, va monstre, horreur de la nature,  Veuille le Ciel sur toi venger ta propre injure,  Et pour te faire voir son pouvoir absolu,  Te perdre en ce combat, puisque tu l'as voulu.  Il s'en va."")",0.8,Substitution
148,"('#bradamante', ""Il en faut venir là, l'ordonnance nous lie."")",,1.0,Insertion
149,"('#beatrix', 'Cette ordonnance est folle, il la faut révoquer.')",,1.0,Insertion
150,"('#bradamante', ""Révoquer un édit, c'est du Roi se moquer."")",,1.0,Insertion
151,"('#beatrix', ""Aussi n'est-ce que jeu. Qui jamais ouï dire Que pour se marier il se fallut occire ? Les combats de l'amour ne sont guère sanglants ; Ils se font en champ clos entre des linceuls blancs, On y est désarmé : car d'hymen les querelles Se vident seulement par armes naturelles. Non non ma fille non ; nous ne souffrirons point Que ce jeune seigneur vous caresse en ce point. Ce n'est pas le moyen de traiter mariage Que s'entre-massacrer d'un horrible carnage. Les Tigres, les Lyons, et les sauvages Ours N'exercèrent jamais si cruelles amours. Aussi voyons-nous bien que l'entreprise est faite De ce combat nocier pour servir de défaite, Et frauder nos desseins, voulant par le danger D'une future mort tout le monde étranger ; Et que Roger tout seul, certain de sa conquête, Se vienne présenter à la victoire prête. Ô chose vergogneuse ! Ô l'impudicité Des filles de présent ! Ô quelle indignité! Une jeune pucelle être bien si hardie De vouloir un époux prendre à sa fantaisie, Sans respect des parents qui ont l'autorité De lui bailler parti selon sa qualité ! Or allez, courez tôt, dépouillez toute feinte ; Bannissez toute honte et toute honnête crainte ; Cherchez, suivez, trouvez ce Roger, ce cruel, Qui votre pauvre coeur ronge continuel. Offrez-vous toute à lui, priez-le de vous prendre Et faire tant pour nous que d'être notre gendre. Ô Vierge mère ! Où suis-je ? En quel temps vivons-nous ? Que la mort ne vomit contre moi son courroux Pour ne voir ce deffame ? Aussi bien après l'heure De cet épousement il faudra que je meure, Et qu'Aymon, le pauvre homme, aille conter là bas Que sa fille impudique a filé son trépas."")","('#renaud', 'Il faut laisser passer sa fougue accoutumée,  Enfin tout son courroux se résout en fumée.  Dans ses premiers transports il a beaucoup de feu :  Mais après tout, ma soeur, il vous nuira fort peu. ')",0.55,Substitution
152,"('#bradamante', ""Madame, cette ardeur n'est en moi si ancrée Qu'il faille pour aimer que je vous désagrée."")","('#bradamante', ""Avec votre support dont je suis consolée,  Ma résolution ne peut être ébranlée.  Il n'est point de tourment qui ne me soit léger,  Pourvu que votre humeur ne vienne à se changer,  Que vous n'embrasiez point le parti d'un avare. "")",0.36,Substitution
153,"('#beatrix', 'Hé ! hé !')",,1.0,Insertion
154,"('#bradamante', ""Je vous supplie, n'ayez pas cette peur."")",,1.0,Insertion
155,"('#beatrix', 'Hé ! hé ! hé !')",,1.0,Insertion
156,"('#bradamante', ""Car plutôt je m'ouvrirai le coeur, Plutôt de mille morts sera ma vie éteinte, Qu'à mon honneur je donne une honteuse atteinte. L'amitié que je porte aux vertus de Roger Ne fera, si Dieu plaît, vos vieux ans abréger. Je l'aime, il est certain, autant que sa vaillance Peut d'une chaste fille avoir de bienveillance : Mais non que pour son bien ni pour le mien aussi Je vous veuille jamais donner aucun souci. D'un austère couvent je vais religieuse Amortir le flambeau de mon âme amoureuse, En prières et voeux passant mes tristes jours, En paissant mon esprit de célestes discours."")","('#renaud', ""Vous devez avouer que votre humeur est rare,  Et qu'un aveuglement contre toute raison,  Vous fait appréhender un mal hors de saison.  Ne vous troublez-vous point d'une crainte frivole,  Sachant que le premier j'ai donné ma parole.  Que je vous engageai dans un si beau dessein,  Et que je vous ai mis cet amour dans le sein.  Non non, ma chère soeur, vivez toute assurée,  De la protection que je vous ai jurée :  Et que le Ciel, au cas que je fausse ma foi,  Fasse éclater bientôt sa colère sur moi.  J'aime votre repos, comme je le dois faire,  Outre que la vertu de Roger m'est si chère,  Que n'ayant d'autre but que votre commun bien,  L'intérêt de tous deux sera toujours le mien.  Et je tiendrais, ma soeur, pour un bonheur extrême,  S'il m'était accordé de combattre moi-même,  Tenir à ce besoin la place de l'absent :  Mais vous avez pour lui le bras assez puissant.  Votre rare valeur m'est assez bien connue,  Pour me faire espérer la victoire obtenue.  Si le contraire arrive, assurez-vous ma soeur,  Qu'il en sera bien tard paisible possesseur.  Et si vous ne vivez que dans cette pensée,  Je ne souffrirai point que vous soyez forcée.  Nous y pourrons pourvoir sans offenser le Roi.  En tous cas de ces soins reposez-vous sur moi,  Et soyez de ces soins un peu moins affligée. "")",0.0,Match
157,"('#beatrix', ""Comment, religieuse ? Êtes-vous bien si folle De m'avoir voulu dire une telle parole ?"")","('#bradamante', 'Ah mon frère à quel point je vous suis obligée !  Si le Ciel me permet. ')",0.99,Substitution
158,,"('#renaud', ""N'allons pas plus avant. "")",1.0,Deletion
159,,"('#bradamante', 'Mon frère je voudrais mourir en vous servant. ')",1.0,Deletion
160,"('#bradamante', ""J'y seraI, s'il vous plaît, puis que j'en ai fait voeu."")","('#renaud', ""Je m'en vais vous quitter pour aller dans la place,  Où déjà pour vous voir tout le peuple s'amasse,  Toute la Cour attend ce qui réussira.  Quand il faudra venir on vous avertira. "")",0.69,Substitution
161,"('#beatrix', 'Vous ne sauriez vouer, ce pouvoir nous est dû.')","('#bradamante', ""Maintenant que je puis soupirer et me plaindre,  Et qu'aucune raison ne m'oblige de feindre,  Hipalque encore un coup que je t'ouvre mon coeur.  Mais ne me flatte plus d'un langage moqueur,  Puisque tu me trahis, me cachant ta pensée,  Confesse qu'à la fin cet ingrat m'a laissée,  Que toutes tes raisons ne le défendent pas,  Et que sa perfidie est digne du trépas,  Qu'il fait à son honneur une honteuse tache,  Et qu'on ne peut commettre une action plus lâche.  Les serments qu'il me fit, ceux qu'il reçut de moi,  Le Ciel qu'il appela pour témoin de sa foi,  Ces larmes, ces soupirs, ces promesses si saintes,  Dans l'âme d'un Roger être sitôt éteintes !  C'est ce que ta raison ne peut plus excuser,  Et tu te ferais tort de le favoriser,  Puisque son intérêt se mêle à mon injure,  Tu devrais la première accuser ce parjure.  Vu que ce déloyal t'abusa si souvent,  Et reput ton esprit de mensonge et de vent :  Toutefois, si tu peux, prends encore sa cause,  Pour le justifier invente quelque chose,  Et tu m'obligeras si mon esprit consent,  Après t'avoir ouïe, à le croire innocent :  Plût aux dieux qu'il le fût ! "")",1.09,Substitution
162,"('#bradamante', ""L'on ne peut empêcher qu'à Dieu l'on se dédie."")","('#hipalque', ""S'il ne l'était, Madame,  Je serais la première à lui donner du blâme,  Et je le haïrais pour sa légèreté,  Comme je le défends pour sa fidélité.  Je connais trop Roger, et son âme est trop haute  Pour le simple soupçon d'une si noire faute,  Je sais bien que son coeur n'eut jamais tant d'amour,  Et que privé de vous il est privé du jour. "")",1.26,Substitution
163,"('#beatrix', 'Cette dévotion serait tôt refroidie.')",,1.0,Insertion
164,"('#bradamante', ""Non sera : ce désir jà de longtemps m'a pris La vie me déplaît, j'ai le monde à mépris."")","('#bradamante', ""Si j'occupais encor un lieu dans sa pensée,  Sans en avoir sujet m'aurait-il délaissée ?  Et s'il me conservait quelque reste de foi,  Pourrai-il si longtemps vivre éloigné de moi ?  Maintenant qu'il sait bien que je suis tourmentée,  Qu'à son occasion je suis persécutée,  Que pour lui je rejette un Prince suppliant,  Et refuse pour lui l'Empire d'Orient. "")",0.19,Substitution
165,"('#beatrix', 'Quoi ? Parlez-vous à bon ?')",,1.0,Insertion
166,"('#bradamante', ""C'est chose sérieuse."")",,1.0,Insertion
167,"('#beatrix', 'Comment, de vous allez rendre religieuse ?')",,1.0,Insertion
168,"('#bradamante', ""D'y aller des demain : le plutôt vaut le mieux."")","('#hipalque', ""Si sa profession n'obligeait son courage  Dans les occasions où son honneur l'engage,  Et si les Chevaliers ne devaient à clos yeux  Tenter à tous moments les périls glorieux,  Ce long retardement mettrait bien en peine :  Mais c'est quelque aventure, où son devoir le mène,  Ou quelque déplaisir, qui l'ont fait éloigner. "")",1.19,Substitution
169,"('#beatrix', 'Non ferez, si Dieu plaît.')",,1.0,Insertion
170,"('#bradamante', ""Le temps m'est ennuyeux."")",,1.0,Insertion
171,"('#beatrix', ""Comment, ma chère vie, auriez-vous bien en l'âme Ce triste pensement, qui jà le coeur m'entame ?"")","('#bradamante', ""Mais pourquoi ce départ sans me le témoigner,  Sans me dire un adieu, qu'est-ce qui l'en dispense ? "")",0.93,Substitution
172,"('#bradamante', ""Je serai bien heureuse en un si digne lieu, Où je m'emploierai toute au service de Dieu."")",,1.0,Insertion
173,"('#beatrix', ""Plutôt présentement puissé-je tomber morte, Que vivante, ô m'amour, je vous perde en la sorte! Ne vous aurai-je point en mes propos déplu ? N'aurai-je imprudemment votre courroux ému ? Vous ai-je été trop rude ? Hélas ! N'y prenez garde, Ne vous en fâchez point, j'ai failli par mégarde. Plutôt ayez Roger, allez-le poursuivant, Que vous enfermer vive aux cloîtres d'un couvent."")","('#hipalque', ""On s'éloigne souvent beaucoup plus qu'on ne pense,  Et parfois on médite en voyage d'un jour,  Et les dieux à leur gré disposent du retour.  Quoi qu'il en soit, Madame, effacez cette crainte,  Dont sans aucun sujet je vois votre âme atteinte.  Assurez vos soupçons sur un bon fondement,  Et croyez que jamais vous ne perdrez amant.  Autrefois ce tyran de notre fantaisie  Travailla votre esprit par une jalousie,  Lorsque ceux d'Agramant (il m'en souvient assez)  Par votre belle main se virent renversés :  Et qu'une lance d'or fit voler sur la croupe  Des plus fiers Sarrasins une confuse troupe,  Votre coeur sans raison se voulut ressentir,  Mais Roger innocent vous en fit repentir. "")",0.25,Substitution
174,"('#bradamante', 'Je ne veux épouser homme qui ne vous plaise.')",,1.0,Insertion
175,"('#beatrix', ""Mon_Dieu! ne craignez point, j'en serai bien fort aise! Aymon le voudra bien. Je m'en vais le trouver Pour l'induire à vouloir cet accord approuver. Las! ne pleurez donc point ; serenez votre face ; Essuyez-vous les yeux et leur rendez leur grâce ; Vous me faites mourir de vous voir soupirer. Hé! Dieu qu'un enfant peut nos esprits martyrer !"")","('#bradamante', ""Bien donc veuille le Ciel que tu sois véritable,  Je croirai pour te plaire une chose incroyable.  Mais je crains, le voyant si longtemps retenu,  Que quelque grand malheur ne lui soit advenu.  Possible à ce moment privé de la lumière,  Il me garde au tombeau son amitié première,  Puisque par mon feu je ne puis juger du sien,  On ne saurait tant vivre éloigné de son bien.  Non, quoique sa promesse, ou son honneur l'engage,  Il n'est rien qui le peut retenir davantage,  Et pour me voir encor il ferait un effort,  S'il n'était loin de nous, ou prisonnier, ou mort.  Hélas, s'il est ainsi, chère âme de mon âme,  Crois que je te conserve une immuable flamme,  Et que mort et vivant tu te peux assurer  D'une fidélité qui doit toujours durer.  Pour toi contre les miens je ferai des miracles,  Je forcerai pour toi toute sorte d'obstacle,  Pour toi tous mes amants seront mes ennemis,  Et me servant du droit que le Roi m'a permis, Paravant que la nuit nous ôte la lumière,  Ton rival passera l'infernale rivière.  Par sa punition tu seras satisfait,  Et son sang lavera l'offense qu'il te fait.  Ma main, si ce Grégeois peut retarder ta gloire,  Et si du premier coup tu n'obtiens la victoire,  Je te désavouerai : mais qui me vient troubler ?  Ah ! C'est vous ma compagne. "")",0.0,Match
176,"('#leon', ""Si par votre valeur qui n'a point de pareille, Bradamante j'acquiers, du monde la merveille, Que j'en recevrai d'aise, et que j'aurai d'honneur ! Ô que je vous serai tenu d'un si grand heur!"")","('#marphise', ""Il n'en faut plus parler,  N'y songez plus ma soeur, sa perte est assurée,  Puisque votre vaillance aujourd'hui l'a jurée :  Ah, que mon frère et moi vous sommes obligés !  Que fera-t-il pour vous, puisque vous le vengez !  Que du tort qu'on lui fait vous faites votre offense,  Et contre ses rivaux vous prenez sa défense.  Certes s'il savait bien que pour l'amour de lui  Vous courez ce hasard il en mourrais d'ennui :  Et moi comme sa soeur, que faut-il que je fasse,  Ne m'étant pas permis de tenir votre place ? "")",0.48,Substitution
177,"('#roger', 'Ah ! Quel malheur me suit ! Méchante destinée!')",,1.0,Insertion
178,"('#leon', ""Mon âme à la servir est si fort obstinée, À l'aimer, l'adorer, qu'en moi plus je ne vis ; Je ne vis qu'en ses yeux, que jamais je ne vis. Une heure m'est un siècle, un jour mille ans me dure, Que je ne suis l'objet de si belle figure."")","('#bradamante', ""Ce que pour n'être ingrate il faut que vous fassiez,  C'est de m'aimer ma soeur, et que vous confessiez,  Que nous ayant quittés en l'état où nous sommes,  Roger est aujourd'hui le plus ingrat des hommes. "")",0.67,Substitution
179,"('#roger', ""Hélas pauvre Roger, qu'extrême est ton malheur!"")",,1.0,Insertion
180,"('#leon', ""Que n'est à mon amour égale ma valeur, Pour mériter sa grâce ! Ô Nature fautière, Indigne tu m'as fait de cette âme emperière! Je ne me suis pas bon, je connais mon défaut ; De la main d'un plus digne accommoder me faut. Pourquoi me connaissant me suis-je laissé prendre Aux rets d'une beauté que je ne puis prétendre ? Amour est bien aveugle, aveugle il est vraiment, De nous contraindre aimer si dissemblablement. Las! frère, c'est de vous qu'elle dût être dame."")","('#marphise', ""Si la nécessité ne l'a point diverti,  Vous ne me verrez point embrasser son parti,  Je serai la première à punir ce parjure,  Et de votre intérêt je ferai mon injure.  Mais quittons ce discours, Bradamante il est temps,  L'Empereur dans la place attend les combattants,  Le peuple est assemblé. "")",0.11,Substitution
181,"('#roger', ""Ha propos douloureux qui me torturent l'âme! Ma force s'affaiblit ; frissonner je me vois ; Mon sang et sens se trouble et ne suis plus à moi."")",,1.0,Insertion
182,"('#leon', 'Quoi ? vous sentez-vous mal ? La couleur vous abaisse.')",,1.0,Insertion
183,"('#roger', 'Vos langoureux discours me plongent en tristesse.')",,1.0,Insertion
184,"('#leon', ""Ha là mon bon ami, c'est de franche amitié Que vous avez ainsi de mes tourments pitié. Prenons bon coeur tous deux, car aujourd'hui j'espère Recevoir beaucoup d'heur."")","('#bradamante', ""Roger l'heure est venu,  Que mon affection doit être reconnue,  Allons ma soeur, allons, et Léon. "")",0.57,Substitution
185,,"('#marphise', 'Il est prêt. ')",1.0,Deletion
186,"('#roger', 'Moi beaucoup de misère.')",,1.0,Insertion
187,"('#leon', ""Je serai de ma Dame aujourd'hui le vainqueur, Et tenu d'un chacun pour brave belliqueur Par votre vaillantise : or' qu'il soit déshonnête De se vouloir parer d'une fausse conquête."")","('#bradamante', ""J'ai donné de sa mort l'irrévocable Arrêt,  Et sa présomption sera si bien punie,  Qu'on verra mes parents pleurer leur tyrannie. "")",0.75,Substitution
188,"('#roger', ""Ma vie est toute votre ; elle fut aux enfers Si, prompt, vous ne m'eussiez tiré d'entre les fers. Quand au fond d'une tour votre tante inhumaine Me détint pour souffrir une cruelle peine, Votre âme pitoyable élargir me voulut. Vous me fustes alors ma vie et mon salut. Faites-en votre propre ; elle vous est acquise. Ne craignez le hasard d'une dure entreprise : Pour vous je gravirai sur les rochers moussus, Et plongerai mon chef dedans les flots bossus ; J'irai nu de poitrine à travers mille piques, A travers les lions et les ourses Libyques. Je ne vis que pour vous, et déjà m'est à tard Que je n'entre pour vous en quelque bon hasard. J'irai quand vous plaira sous vos armes combattre La guerrière beauté que votre âme idolâtre."")","('#charles', ""Certes un coeur blessé de cette passion,  Est un très digne objet de la compassion,  Et si l'on connaissait les malheurs qu'elle cause,  Les hommes la fuiraient par-dessus toutes choses.  Pour moi pendant le temps qu'un sang plus vigoureux,  M'entretenait aussi de désirs amoureux,  Je ne fus pas exempt des malheurs de cet âge.  Mais depuis que les ans m'ont fait un peu plus sage,  Comme sans passion, jugeant plus sainement  Des peines, des soucis, des chagrins d'un amant :  J'ai connu que le Ciel rendait un bon office  À ceux qu'il a laissés libres de ce supplice. "")",0.07,Substitution
189,"('#leon', ""Mon frère, ô que le jour bienheureux m'éclaira, Quand des seps outrageux ma main vous retira. Nulle chose m'émeut à ce plaisir vous faire, Sinon votre vertu, qui nous était contraire. C'est un étrange cas, le dommage que fît Votre extrême valeur, quand elle nous défit, M'engrava dedans l'âme une amitié soudaine, Au lieu de vous porter une implacable haine. Mais vraiment votre coeur en est bien dégagé. Je vous suis maintenant beaucoup plus obligé. Par vous j'aurai le bien qui d'amour me consomme."")","('#aymon', ""On ne saurait blâmer un feu respectueux,  Un amour qui n'a rien qui ne soit vertueux,  Même à qui les parents ont donné la naissance,  Ou l'ont autorisé d'une juste licence :  Mais ceux qui prévenus de cette passion,  S'engagent follement dans une affection,  Qui ne relèvent point des volontés d'un père,  Et méprisent le bien qui leur est nécessaire,  Devraient être punis. "")",0.14,Substitution
190,"('#roger', 'Et moi le plus grief mal que jamais souffrit homme.')",,1.0,Insertion
191,"('#leon', ""Je vais voir l'Empereur."")",,1.0,Insertion
192,"('#roger', 'Le coeur au sein me bat.')","('#renaud', ""Tout intérêt à part,  On excuse un péché qui se fait par hasard,  Se commet sans dessein par une seule oeillade,  Qui rend le plus souvent un esprit si malade,  Qu'il est bien malaisé que dans cette prison,  Un coeur sans liberté laisse agir la raison,  Puisse considérer ce que le temps exige,  Même à quoi le devoir et le sang nous oblige. "")",1.63,Substitution
193,"('#leon', 'Pour entendre le temps et le lieu du combat : Demeurez en la tente.')","('#aymon', 'Je vous tiens pour suspect. ')",1.11,Substitution
194,"('#roger', 'Allez à la bonne heure.')",,1.0,Insertion
195,"('#leon', 'Je reviendrai bientôt.')","('#charles', ""Et vous l'êtes aussi,  Mais trêve de discours, Bradamante est ici. "")",1.51,Substitution
196,"('#roger', ""Faites peu de demeure. Astres qui conduisez la torche de nos jours, Tournants sous le mouvoir de vos célestes cours Abrégez ma détresse, accourcissant ma vie, Trop long temps jusqu'ici des malheurs poursuivie. L'espoir ne flatte plus ma douteuse raison. Je n'ai plus qu'espérer, je suis sans guérison. Quel étrange destin! ô ciel, je vous appelle, Soyez témoin, ô ciel, de ma peine cruelle : Il me faut dépouiller moi-même de mon bien, Délivrer à un autre un amour qui est mien, En douer mon contraire, et l'emplir de liesse, M'enfiellant l'estomac d'une amère tristesse. Ô des pauvres mortels aventureux desseins! Ô attente trompeuse ! Ô longs voyages vains! Ô nuisible entreprise ! Hélas ! Pour me défaire Des brigues de Léon, mon rival adversaire Que j'avais en horreur, je fus naguère exprès Jusqu'aux murs de Belgrade ou campageaient les Grecs, Pour rompre son armée, en combattant l'occire Avec son père Auguste, et conquêter l'Empire. Mais quoi ? De ce haineur l'amitié me sauva. Celui que j'offensais à mon bien se trouva. Je le cherchais à mort, il me donna la vie. J'étais jaloux de lui, je lui livre m'amie. L'eussé-je refusé, d'un tel bienfait ingrat, Me priant d'éprouver Bradamante au combat ? M'en fussé-je excusé ? Lui fussé-je allé dire Que j'avais nom Roger, que j'allais pour l'occire ? Hélas! non. Mais quoi donc ? Las! je ne sais ; je suis En une mer de maux, en un gouffre d'ennuis."")","('#naymes', ""Cette férocité pleine de tant d'audace,  Qui même sous l'armet se remarque en sa face,  Ce port majestueux et doux également,  Paraît en même temps redoutable et charmant. "")",0.76,Substitution
197,,"('#charles', 'Ah, que si vous pouviez recouvrer la jeunesse !  Mais la foule se fend pour le Prince de Grèce,  Le voilà dans le champ superbement armé. ')",1.0,Deletion
198,"('#bradamante', ""Et quoi ? Roger, toujours languirai-je de peine ? Sera toujours, Roger, mon espérance vaine ? Où êtes-vous, mon coeur ? quelle terre vous tient, Quelle mer, quel rivage ha ce qui m'appartient ? Entendez mes soupirs, Roger, oyez mes plaintes ; Voyez mes yeux lavez en tant de larmes saintes, O Roger, mon Roger, vous me cachez le jour, Quand votre oeil, mon soleil, ne luit en cette Cour. Comme un rosier privé de ses roses vermeilles, Un pré de sa verdure, un taillis de ses feuilles, Un ruisseau de son onde, un champ de ses épis, Telle je suis sans vous, telle et encore pis. Quelque nouvelle amour (ce que Dieu ne permette) Vous échaufferait point d'une flamme secrète ? Quelque face angélique aurait point engravé Ses traits dans votre coeur de ses yeux esclavé ? Hé, Dieu! que sais-je ? Hélas ! Si d'Aymon la rudesse Vous a désespéré de m'avoir pour maîtresse, Que pour vous arracher cet amour ennuyeux Vous soyez pour jamais éloigné de mes yeux! Vous ne l'avez pas fait, votre âme est trop constante ; Vous ne sauriez aimer autre que Bradamante. Retournez donc, mon coeur, las ! Revenez à moi, Je ne saurais durer si vos yeux je ne vois. Je ressemble à celui qui, de son or avare, Ne l'éloigne de peur qu'un larron s'en empare, Toujours le voudrait voir, l'avoir à son côté, Craignant incessamment qu'il ne lui soit ôté. Retournez donc, mon coeur, ôtez-moi cette crainte : Las votre seule absence est cause de ma plainte! Comme, quand le Soleil cache au soir sa clarté, Vient la palle frayeur avec l'obscurité, Mais sitôt qu'apparaît sa rayonnante face, La nuit sombre nous laisse, et la crainte se passe ; Ainsi sans mon Roger je suis toujours en peur, Mais quand il est présent, elle sort de mon coeur. Comme durant l'Hiver, quand le Soleil s'absente, Que nos jours sont plus courts, sa torche moins ardente, Viennent les Aquilons dans le ciel tempêter, On voit sur les rochers les neiges s'affester, Les glaces et frimas rendre la terre dure, Le bois rester sans feuille, et le pré sans verdure : Ainsi quand vous, Roger, vous absentez de moi, Je suis en un hiver de tristesse et d'émoi. Retournez donc, Roger, revenez ma lumière, Las ! Et me ramenez la saison printanière. Tout me déplaît sans vous, le jour m'est une nuit ; Tout plaisir m'abandonne, et tout chagrin me suit : Je vis impatiente, et si guère demeure Votre oeil à me revoir, il faudra que je meure, Que je meure d'angoisse, et qu'au lieu du flambeau De notre heureux hymen, vous trouvez mon tombeau."")","('#aymon', ""Confessez que ce port n'est pas moins animé,  Que sa démarche est grave, et sa taille divine,  Et que nos paladins n'ont pas meilleure mine. "")",0.94,Substitution
