,leclerc-iphigenie,rotrou-iphigenie,Cost,Operation Type
54,"('#agamemnon', ""Quoi ? Vous avez donc eu l'orgueil et l'insolence D'arracher ce secret avecque violence ? Qu'avez-vous fait d'Oronte ?"")","('#amyntas', 'Ce refus est civil et cette audace honnête.')",0.68,Substitution
55,,"('#menelas', 'Je fouillerai mon sceptre aux dépens de ta tête.')",1.0,Deletion
56,,"('#amyntas', 'À qui meurt pour son maître, il est doux de mourir.')",1.0,Deletion
57,,"('#menelas', 'Ha voila pour un serf, trop longtemps discourir.')",1.0,Deletion
58,"('#menelas', ""Il est en mon pouvoir, Et quand il sera temps on vous le fera voir. Je suis Roi comme vous, né dans l'indépendance, Que si vous exercez la suprême puissance, Vous la tenez de nous, vous la tenez d'un choix, Qui pourrait bien encor tomber sur d'autre rois."")","('#amyntas', ""Voyez, Seigneur, voyez avec quelle injustice On ose faire outrage à qui vous rend service, Et comme on veut tirer vos secrets de ma main, Pour ce que l'on n'a pu les tirer, de mon sein."")",0.3,Substitution
59,"('#agamemnon', 'Téméraire, mais non je retiens ma colère, Ingrat, et sens encor que je suis votre frère.')","('#agamemnon', ""Mon frère qui vous porte à cette violence, Savez-vous que c'est moi que cet outrage offense."")",0.42,Substitution
60,"('#menelas', ""Devrais-je point flatter votre esprit inégal, Aux Grecs, à noire gloire, à vous-même fatal ? Quand Diane exigea le sang d'Iphigénie Pour voir de tout un camp la misère finie, Vous parûtes alors plus prompt à l'accorder , Que le sage Calcas à vous le demander. On résolut chez vous, que le prudent Ulysse Se rendrait dans Argos, et d'un sage artifice Conduirait doucement la victime en ces lieux, Sous le voile emprunté de l'hymen spécieux, Qui pour combler le camp d'une juste allégresse Devait unir Achille avec cette Princesse. Lorsqu'Ulysse fut prêt, vous ne voulûtes plus, Et ce Chef indigné de ce soudain refus Abandonna le camp, et fait par son absence De ses heureux conseils regretter la prudence : Enfin ne tenant rien, quoiqu'il promette tout, Agamemnon résiste à tout ce qu'il résout. Ou refusez, Seigneur, avec pleine assurance, Ou ne nous flattez plus d'une fausse espérance"")","('#menelas', ""Répondez à mes yeux d'un regard seulement, Et de là mon discours prendra son fondement."")",1.0,Substitution
61,,"('#agamemnon', ""Croyez-vous que la peur m'ait interdit la vue."")",1.0,Deletion
62,,"('#menelas', 'Voyez-vus cette lettre.')",1.0,Deletion
63,,"('#agamemnon', ""Et vous l'avez-vous vue ?"")",1.0,Deletion
64,"('#agamemnon', ""Cruel, votre intérêt plus puissant que le mien, Ne prodigue qu'un sang qui ne lui coûte rien ; Vous voulez réparer le désordre d'Hélène, En donnant à ma fille une mort inhumaine, Et lorsque par surprise on m'y fait consentir Vous osez condamner jusqu'à mon repentir ? Nommez ce repentir une fausse sagesse Funeste à mon honneur et fatale à la Grèce, La vôtre est bien plus fausse, en rêvant nuit et jour À l'ingrate moitié qui rie de votre amour ; Sa honte eut dû vous faire oublier tous ses charmes, Et nous devrions rougir de vous prêter nos armes."")","('#menelas', ""Suffit qu'elle fera paraître aux yeux de tous La bonne volonté que vous avez pour nous."")",1.12,Substitution
65,,"('#agamemnon', 'Quoi contre cette injuste et rebelle licence, Mon sceau ne vous a point imposé de licence.')",1.0,Deletion
66,"('#menelas', ""Pouvez-vous l'accuser, et savoir que son coeur, N'aime, et ne peut jamais aimer son ravisseur ?"")","('#menelas', ""Pourquoi s'il me trahi lui dois-je du respect, S'il ne me trahit point, pourquoi suis-je suspect ?"")",0.81,Substitution
67,,"('#agamemnon', ""Qui vous rend curieux d'un secret qui me touche."")",1.0,Deletion
68,,"('#menelas', ""L'esprit ne doit penser que ce que dit la bouche."")",1.0,Deletion
69,,"('#agamemnon', ""Est-ce là le devoir qu'on défère à mon rang."")",1.0,Deletion
70,"('#agamemnon', ""Quelle soit criminelle ou pleine d'innocence, Ma fille ne doit point mourir pour sa vengeance."")","('#menelas', 'Même devoir nous lie ainsi que même sang.')",1.73,Substitution
71,"('#menelas', ""Ah ! Vous n'en êtes pas encore où vous pensez, J'ai pour moi tout le camp, et les Dieux courroucés."")",,1.0,Insertion
72,"('#agamemnon', ""Que les Dieux soient pour vous, que le camp se mutine, J'attendrai sans trembler le coup de ma ruine, J'y pourrai, Ménélas, peut-être envelopper Les mutins, dont l'audace osera s'échapper ; Prévenez ce désordre, ou vous m'en rendrez compte. Cependant sans tarder, que l'on délivre Oronte, Pour me le renvoyer retournez sur vos pas, Ou moi-même j'irai l'arracher de vos bras, Adieu."")","('#agamemnon', ""Il faut qu'un insolent impunément me brave."")",0.95,Substitution
73,,"('#menelas', 'Je suis né votre frère et non pas votre esclave.')",1.0,Deletion
74,"('#menelas', ""Ciel ! Se peut-il, qu'en ce désordre extrême t Prêt à me voir périr, prêt à périr lui-même, En dépit de l'Oracle, au mépris des autels Malgré tout le respect qu'on doit aux Immortels, Agamemnon s'obstine à garder une offrande Qu'il promit, et qu'il doit, au Ciel qui la demande, Ah ! Si ce frère ingrat m'ose manquer de foi, S'il est haï des Dieux, doit-on suivre sa loi ? Il faut changer de chef pour changer de fortune, Et combattre et mourir pour la cause commune, Mais que vois-je ?"")","('#agamemnon', 'Mais quelle loi du sang, quel droit, quelle raison, Vous commet pour second, aux soins de ma maison Et peut justifier cette insolence extrême.')",0.63,Substitution
75,"('#menelas', ""Est-ce Ulysse ? Oui, c'est lui, que les Cieux Dans ce pressant besoin présentent à mes yeux ! Ulysse, c'est donc vous, quelqu'ennui qui me presse, Votre abord en ces lieux y répand l'allégresse."")","('#menelas', ""La raison, que toujours diffèrent de vous même, Tel qu'on voit de la mer le flux et le reflux, Vous voulez en même heure, et puis, ne voulez plus. Cette inégalité marque un esprit débile, A qui d'un confident l'assistance est utile."")",0.89,Substitution
76,,"('#agamemnon', ""Qu'une langue diserte est souvent un grand mal."")",1.0,Deletion
77,"('#ulysse', ""Votre venue a de quoi me payer à son tour, Du plaisir surprenant que vous fait mon retour. Hé bien, Agamemnon, a-t-il donc le courage Après tant de refus, d'achever son ouvrage ? Et ne verrons-nous point triompher sa vertu De l'aveugle pitié dont il est combattu ?"")","('#menelas', ""C'en est un bien plus grand qu'un esprit inégal : Je me condamnerai si vous pouvez répondre Aux pressantes raisons dont je vous vais confondre, Et ne récusez point un esprit irrité, Je ne vous convaincrai qu'avec la vérité, Ne vous souvient-il pas avec combien d'adresse Vous vous êtes fait chef des troupes de la Grèce. Ha comme ce grand coeur se savait abaisser, Le font ne portait pas l'image du penser : Et votre modestie alors incomparable : Fut un adroit chemin à ce rang honorable. Jamais pour s'élever on ne se mit si bas, Vous offriez à l'un, a l'autre ouvriez les bras : Serriez à l'un la main, jetiez les yeux sur l'autre, Portiez votre intérêt, beaucoup moins que le nôtre :  De qui vous demandait vous préveniez les pas, Portiez, à qui voulait et qui ne voulait pas, Et lors votre maison à tout le monde ouverte, Jusques aux basses courts n'était jamais déserte. Mais quand cette affectée et fausse humilité, Vous eut de notre chef acquis la qualité, Un soudain changement de moeurs et de visage, Fut de cet artifice un trop clair témoignage, Vous devîntes plus grave, et comme auparavant, Ne nous parûtes plus, cet ami si fervent, Vous fermâtes au peuple et l'oreille et la porte, Vous marchâtes suivi, d'une pompeuse escorte, Et jamais on ne vit avec telle splendeur, Du rang que vous tenez, souvenir la grandeur, Sachez qu'à des esprits commis aux grandes choses, Rien n'est plus messéant que ces métamorphoses : Et qu'il n'est d'un grand Roi, ni d'un homme de bien, De promettre beaucoup, et n'exécuter rien : Plus un ami sincère à la fortune amie, Plus son affection en doit être affermie, Les moyens de servir la doivent enflammer, Plus on devient utile et plus on doit aimer. Le ciel qui pèse tout d'une égale balance, N'a pas longtemps aussi souffert votre insolence, Il tient la clef des vents elle est dans ses trésors, Il les peut enfermer ou les mettre dehors, Et c'est de cette clef que fermant leur passage, Et nous les déniant, il rompt notre voyage. Votre esprit jusqu'alors si confiant et si fort, S'humilia bientôt à ce revers du sort. Ce calme vous agite autant qu'il nous arrête, Il excite en votre âme une étrange tempête, Et certes le débris de votre autorité Importe assez aussi pour être redouté. L'entreprise avortée eut laissé la mémoire D'une si méprisable et ridicule histoire, Que vous n'ignorez pas que Troie eut eu longtemps D'agréables sujets de rire à vos dépens, Vous prîtes donc conseil des sages de l'armée. De qui l'expérience est la plus confirmée : Et s'il vous en souvient ne dédaignâtes point, Qu'à leurs opinions mon sentiment fut joint. Mon frère, disiez-vous, faisons nous une voie, Qui conduise au trépas ou qui nous mène à Troie. Êtes-vous satisfait, et le traître Pâris, Du rapt de votre femme, est-il quitte à ce prix ? Mais la perte en effet que vous plaigniez dans l'âme, Était de votre rang et non pas de ma femme : C'est de votre intérêt que vous êtes jaloux, Et d'inclination vous ne servez que vous, Quand vous sûtes enfin par la voie de l'Oracle. Consulté par Calchas pour lever cet obstacle, Qu'immolant votre fille on pourrait naviguer, Vous l'offrîtes plutôt qu'on n'osa l'exiger, Et pour ne tenter pas un message inutile, La mandâtes au nom de maîtresse d'Achile, Couvrant de ce prétexte adroit et spécieux, Le généreux dessein de satisfaire aux cieux. Mais quelle attente enfin nous avez vous donnée, Puisque vous l'étouffez aussitôt qu'elle est née, Et par une autre lettre et de la même main, Révoquez lâchement ce glorieux dessein : Y fûtes-vous-forcé, vous l'avons nous fait faire, Vous ne le diriez pas trop savant du contraire> Es-ce donc bien user d'un souverain pouvoir, Que sans nécessité à donner un faux espoir, Que de promettre hier le pillage de Troie, Et priver aujourd'hui de cette fausse joie, Ce mal est ordinaire, à un homme ambitieux, De monter s'il pouvait jusqu'au trône des Dieux : Puis quand il tient un rang, dont il est incapable, Il le quitte avec honte, et sa charge l'accable. Je plains en ce malheur à la Grèce fatal. Beaucoup plus que le mien l'intérêt général : Et je vois a regret tant de brave jeunesse, Bouillante comme elle est d'éprouver son adresse : De voir pleine de honte et de confusion, Mettre des armes bas à votre occasion, Les trésors ne sont pas les biens que je désire, À qui dessus autrui possède de l'Empire. La sagesse d'un Prince est son souverain bien, Qui la possède a tout, qui ne l'a pas n'a rien, Avecque la sagesse un homme est tous les hommes, Sans elle ce n'est rien que tout ce que nous sommes. Qu'une grande machine, et qu'un énorme corps,. De qui rien ne gouverne et ne meut les ressorts."")",0.12,Substitution
78,"('#menelas', ""Plus faible que jamais, c'est un faux magnanime, Qui cherche cent détours pour sauver la victime, Et qui verra périr le camp et ses amis, Plutôt que de donner le sang qu'il a promis."")","('#amyntas', 'Comment et de quel oeil puis-je voir en deux frères, Un tout se diviser, en deux moitiés contraires.')",1.65,Substitution
79,"('#ulysse', ""Je l'ai toujours prévu, que sa lâche tendresse N'accorderait jamais ce secours à la Grèce , Aussi dès que je vis son esprit incertain Me refuser son ordre, et changer de dessein, Je peignis sur mon front une feinte colère, J'abandonnai le camp, touché de sa misère, Et pour exécuter tout l'ordre concerté, Je courus vers Argos d'un pas précipité ; Là, pour rendre le lustre à sa gloire ternie J'abordai Clytemnestre, et vis Iphigénie. Le seing d'Agamemnon, avec art contrefait, Remis entre leurs mains, produisit son effet ; Par un juste rapport l'une et l'autre abusée Prit pour un ordre exprès la lettre supposée, De l'Hymen proposé le prétexte trompeur Acheva de gagner leur esprit et leur coeur, Si bien que de mes soins le bonheur, ou l'adresse Assure une victime au salut de la Grèce."")","('#agamemnon', ""Plus juste qu'éloquent, je ne veux par des mots, Répondre à ce torrent d'inutiles propos, Vous savez mieux parler, moi je me sais mieux taire, Et mieux considérer que vous êtes mon frère. Il sied moins d'offenser, à qui plus est permis, Et je respecterais jusques à mes ennemis. Quel sang répondez-moi, forme ce coeur barbare, Qui contre son sang même, enragé se déclare, Qui vous a fait ce sang que vous voulez verser, Que vous a fait ce sein que vous voulez percer : Et quel fruit vous naîtra de ce funeste ouvrage, En retablirez-vous un heureux mariage, Vous redonnera-t-il une honnête moitié, Digne de vos baisers et de votre amitié. Ne vous imprimez, pas cette créance vaine, Jugez plus sainement du procédé d'Hélène : Que de vous figurer que son enlèvement, Ne fut pas avoué de son consentement. La beauté, ce tableau de l'essence divine. Ce trésor de son sang est souvent sa ruine, C'est un présent des cieux à la vertu fatal, Un bonheur malheureux, un bien source de mal. Et pour dire en deux mots mon sens de votre femme, Le visage en est beau, mais je doute de l'âme, Sa jeunesse eut en vous un mauvais gouverneur, Qui l'a sut mal guider au chemin de l'honneur, Et de cette indulgence et liberté de vie, Sa mauvaise conduite et sa perte est suivie, S'il est donc de la sorte, est-il juste en effet, Que je répare un mal que vous vous êtes fait, Et que je rétablisse aux dépens de ma fille, Le désordre arrivé dedans votre famille : Pour ce que ses baisers sans doute vous sont doux, Devez-vous au mépris de l'honneur et de nous, Recouvrer ces serveurs peut être après la proie, Maintenant le rebut de ce mignon de Troie Est-ce ainsi que l'honneur gouverne vos désirs, Honnête portez-vous à d'honnêtes plaisirs ; Et ne devenez pas l'esclave d'une femme, Qui vous sourit des yeux, et vous trahit en l'âme, Si j'ai changé d'avis je l'ai fait par raison, Tandis que le remède est encor de saison Tandis que mon sang parle et que je puis l'entendre, Tandis que mon devoir m'oblige à le défendre, Et qu'il dépend de moi de ne l'exposer pas, Au redoutable acier du couteau de Calchas, Et voilà, dites-vous, ce défaut de sagesse, Funeste a mon honneur, et fatal à la Grèce, Je vous tiens bien plus lâche et plus fol en effet, De rechercher un mal dont vous êtes défait, Et de nous obliger à battre la campagne, Pour vous rendre une ingrate et perfide compagne, Qui ne vous voyant plus se rit de votre amour, Et vous étouffera peut être à son retour, Pour la nécessité du serment qui nous lie, Étant touchés d'amour nous l'étions de folie : Et le droit qui connaît des crimes des amants, Relève à cet égard de semblables serments : À Dieu y contentez-vous de ce peu de paroles, Contre tant de raisons absurdes et frivoles, Et pour conclusion de tout notre entretien, Faites votre devoir, moi je ferai le mien."")",0.49,Substitution
80,"('#menelas', ""Ô surprise agréable ! Enfin qu'avez-vous fait ?"")","('#menelas', 'Vous servez de la sorte.')",1.45,Substitution
81,,"('#agamemnon', 'Oui quand on me veut nuire.')",1.0,Deletion
82,"('#ulysse', ""Un coup, dont Ménélas doit être satisfait, J'ai conduit dans Aulide et la fille et la mère ?"")","('#menelas', ""Je n'ai donc point d'amis."")",1.86,Substitution
83,,"('#agamemnon', 'Non pas pour les détruire.')",1.0,Deletion
84,"('#menelas', 'Elles sont dans Aulide ?')","('#menelas', 'En quoi paraîtra donc le lien qui nous joint.')",0.98,Substitution
85,,"('#agamemnon', 'À nous vouloir du bien, et ne nous nuire point.')",1.0,Deletion
86,"('#ulysse', ""Et pour voir votre frère S'apprêtent à venir dans ce camp malheureux, Où les attend un sort bien contraire à leur voeux, Elles vont le surprendre, et vont être surprises."")","('#menelas', 'En cela je connais ma mauvaise fortune, Que mon affliction vous est si peu commune.')",1.2,Substitution
87,,"('#agamemnon', ""En cela je connais votre mauvais dessein, Qu'il veut mettre à ma fille un poignard dans le sein."")",1.0,Deletion
88,,"('#menelas', ""Ainsi donc pour son frère un frère s'intéresse, Et chef de tous les Grecs, il sert ainsi la Grèce."")",1.0,Deletion
89,"('#menelas', ""Que vous conduisez bien toutes vos entreprises, Ce qu'en vain demandaient les Oracles des Cieux, Vous l'avez obtenu pour nous et pour nos Dieux : Et sans l'heureux secours de vos prompts artifices Calcas eut fait en vain de nouveaux sacrifices. Enfin, mon frère, enfin ton coeur irrésolu Est contraint de vouloir ce qu'il n'a pas voulu, Les soins et les détours de ton âme inégale Pour suspendre des Dieux l'ordonnance fatale, N'ont pu te garantir des coups sourds et secrets Qui vengent le mépris de leurs justes décrets."")","('#agamemnon', ""La Grèce s'engagea dedans votre courroux, Par je ne sais quel charme et folle comme vous."")",0.53,Substitution
90,"('#ulysse', ""J'en fais mon ennemi par ce coup téméraire, Mais le camp me dût-il livrer à sa colère, Seigneur, pour la patrie il est beau de mourir : Lorsqu'il l'abandonnait j'ai dû la secourir, Mais il pourra se rendre. Achille est plus à craindre ; J'abuse de son nom, il a droit de se plaindre, Un dépit nous pourrait priver de son appui, En le perdant, Seigneur, nous perdons tout en lui. Iphigénie est jeune, elle est sage, elle est belle, Et le fils de Thétis peut soupirer pour elle, Il la vit dans Argos, y fit quelque séjour Et la voir, c'est assez, pour prendre de l'amour. II faut le prévenir. Je le vois qui s'avance, Laissez-nous seuls."")","('#menelas', ""Et vous enflé du vent d'un empire suprême, Outrages sans respect tout le monde et vous-même, Et bien puis qu'en effet j'apprends par ce refus, Qu'en un frère un ami ne se rencontre plus, Ayons recours ailleurs, et voyons au contraire, S'il peut en un ami se rencontrer un frère, Et s'il se trouvera qui me prête la main, À l'exécution d'un louable dessein. Il s'en veut aller, Ulysse entre qui le fait demeurer."")",0.15,Substitution
91,"('#achille', ""Quel Dieu nous rend votre présence, Ulysse ? En vous voyant, pour ce camp malheureux Je ne puis qu'espérer un sort moins rigoureux Le calme va finir et nous irons à Troie."")","('#ulysse', ""Grand Prince que le ciel ne peut sans jalousie, Voir si craint et si prêt de foudroyer l'Asie, Dieu futur de la Grèce, ami de tant de Rois, Qui vont sous vos drapeaux signaler leurs exploits : Oyez ce Messager avec ce grand courage, Qui vous fit en Argos résoudre son voyage, Et que ce noble coeur qu'enferme votre sein, Soit tel pour le succès qu'il fut pour le dessein."")",0.3,Substitution
92,"('#ulysse', ""Plût au Ciel ! Que ma mort vous en ouvrît la voie, Et qu'au champ de la gloire où tendent nos guerriers Je pusse de mon sang arroser vos lauriers, J'ai pour Achille un zèle à qui tout autre cède, Si je lui fis quitter la Cour de Lycomède, Et les plaisirs trompeurs de l'île de Scyros, Ce n'est pas pour le voir languir dans le repos, Et perdre chaque jour sur ces fatales rives Des moments qu'on dérobe à ses armes oisives."")","('#agamemnon', ""Ha ! N'en appelons plus cette espérance est vaine, Diane prend mon sang et satisfaits ta haine."")",0.58,Substitution
93,"('#achille', ""Cher Ulysse, les Dieux apaisant leur courroux Vont finir tous nos maux par un destin plus doux, Lassé du calme affreux qui règne en ce rivage, Et des champs Phrygiens nous ferme le passage, J'ai voulu voir Calcas pour apprendre de lui Si nous devons longtemps languir dans cet ennui. Achille, m'a, dit-il, ne soyez plus en peine, Je vois déjà les vents prêts à briser leur chaîne, Voici le jour fatal, où régnant sur les eaux, Ils sauront seconder nos voeux et nos vaisseaux , Éole seulement pour leur lâcher la bride Attend qu'Iphigénie arrive dans Aulide. S'il est vrai que sa voix soit l'organe des Dieux, J'apprends qu'Iphigénie arrive dans ces lieux, Ulysse, Agamemnon m'en a fait un mystère, C'est un mépris pour moi dont je ne puis me taire."")","('#le-messager', ""Sire j'ai vu la Rein et me fuis acquitté, De l'ordre que j'avais de votre Majesté : Elle arrive ce soir avecque la Princesse, Et veut de cet Hymen partager l'allégresse, J'aurais suivi leur char, mais pour vous l'annoncer, Hier sur le chemin j'eus ordre d'avancer."")",0.05,Substitution
94,"('#ulysse', ""Et l'ignore lui-même, apprenez tout de moi, Diane est irritée, et l'on ne sait pourquoi. Sa haine à nos desseins depuis longtemps s'oppose, De ce calme fatal elle seule est la cause. Ayant su de Calcas, que cette Déïté D'Iphigénie aimait l'innocente beauté, Et que sa main plus pure offrant un sacrifice Pourrait ici la rendre à nos armes propice. Craignant qu'Agamemnon, qui du sage devin Dédaigne les conseils, donne tout au destin, N'empêchât ce projet, ne rompit mon voyage ; Je fis le mécontent pour ôter tout ombrage, J'allai droit en Argos, un écrit supposé, Auprès de Clytemnestre y rendit tout aisé, Et je l'ai dans ce camp, et sans bruit et sans suite, Avec Iphigénie heureusement conduite."")","('#agamemnon', ""Ma chère fille hélas ! Ta mort est résolue La terre la demande, et le ciel l'a conclue. Va nous donnerons ordre à sa réception, C'est à vous d'accepter cette commission, Allez, mon frère, allez couronner la victime Qui vous doit rendre un coeur et mourir pour son crime, Allez conduisez-la de son char à l'autel  Et vous-même à son sein portez le coup mortel : Allez, mon mauvais sort ne reçoit plus d'excuse, Il a plus fin que moi su détourner mes ruses, Il a paré mes coups, confondu mes desseins, M'a mis hors de défense et m'a lié les mains, C'est un doux privilège à la basse fortune, Que de pouvoir pleurer quand le sort importune, Et c'est un triste effet de ma condition, Qu'interdire la plainte à mon affliction, De quel front déguisé puis-je couvrir ma peine, Et de quel doux accueil féliciter la Reine, Qui vient contre mon ordre allumer le flambeau, Qui conduira sa fille en la nuit du tombeau. Voilà l'heureux Hymen que le ciel lui destine, Et que l'époux ignore, où le prêtre assassine, Où les chants sont décrits, où la fête est un deuil, Les tables un autel et le lit un cercueil."")",0.0,Match
95,"('#achille', 'Ah ! Je brûle déjà du désir de la voir.')",,1.0,Insertion
96,"('#ulysse', ""Vous ne pouvez encor lui rendre ce devoir, Laissez aux chefs des Grecs, qu'elles veulent surprendre, De ce premier abord le moment doux et tendre."")","('#menelas', ""Couvrons notre dessein, il faut qu'il s'accomplisse, Puisque j'ai pour second l'éloquence d'Ulysse : Mais puis que nous voyons qu'il ne nous peut manquer, Feignons que la pitié nom le fait révoquer : Enfin je cède au sort qui vous est si contraire, C'est un pressant discours que les larmes d'un frère. Il n'est si sourde oreille, il n'est coeur de rocher Ni courage si dur qu'il ne puisse toucher : Il n'est pas juste enfin que mon faix vous accable, Et qu'un sang innocent souffre pour un coupable, Je puis offrir des voeux et de nouveaux appas, Mais un frère perdu ne se recouvre pas, La Grèce dont ce bras soutient toutes ces peines, N'a qu'un Agamemnon, mais elle a cent Hélènes, Laissez donc au travail succéder le repos. Allez vous délasser sur le trône d'Argos. Congédiez l'armée et mettant bas les armes, Épargnez-vous des soins et du sang et des larmes, Ce siège ne me peut rendre rien de si doux Que ce qu'il m'ôterait s'il me privait de vous."")",0.31,Substitution
97,"('#achille', 'Cette jeune Princesse a des charmes si doux !')",,1.0,Insertion
98,"('#ulysse', ""Hélène a moins d'appas ! Mais quoi, l'aimeriez-vous ? Si vous l'aimiez, Seigneur, que vous seriez à plaindre, Il n'est point de héros qui ne doive la craindre, Dans le culte des Dieux renfermant ses désirs Le foin de leurs autels fait ses plus doux plaisirs, Tout ce qui peut blesser la pudeur de Diane Passe dans son esprit pour une ardeur profane, Et l'aveugle tyran des hommes et des Dieux Ne peut rien sur son coeur, pouvant tout par ses yeux."")","('#ulysse', ""Si c'est de Ménélas que j'entends ce langage, Si sa voix à ce point a trahi son courage, Je ne le connais plus, je l'ignore aujourd'hui, Et je ne puis en lui trouver rien moins que lui : Mais il connaît son frère, et quoi qu'il lui expose, Il sait qu'il ne peut nuire au succès de sa cause, Et qu'il peut sans danger de l'exécution, Donner cette requête à sa compassion. Autrement qui croirait qu'en ce besoin extrême, Sans égard de l'honneur, sans égard de soi-même, Au mépris de l'Oracle, au mépris des autels, Et du sacré respect qu'il doit aux immortels, Et la confusion d'un milLion de tentes, Et de mille vaisseaux mille forêts flottantes, À la honte des Grecs et l'honneur des Troyens, Il voulut de ce siège empêcher les moyens : Non il sait qu'il attaque une vertu plus forte, Que l'assaut qu'il lui livre et les coups qu'il lui porte, Que sans peur d'abstenir il vous peut demander Et qu'il vous peut prier sans vous persuader, Il a su séparer de la vertu commune, La vôtre inébranlable aux coups de la Fortune, Qui stable et tenant fort dessus ses fondements, Est prête et résolue à tous événements : C'est sur cette vertu que tant d'illustres âmes, A l'honneur de la Grèce et l'effroi des Pergames, Battissent des desseins dont les succès fameux, Passeront quelque jour la foi de nos ne neveux, Pour honorer l'armée, et faire un choix utile Nestor ni Ménélas n'ont point été nommés, Quoi que tous si puissants et tous si renommés, Moi-même justement défiant de moi-même, N'ai pas osé prétendre à cet honneur extrême, Un seul Agamemnon s'est parmi tant de Rois, Trouvé un digne objet de la commune voix, Comme celui de tous dont le zèle et l'adresse, Devait porter plus loin l'intérêt de la Grèce, Et qui doit embrasser avecque plus d'ardeur, Le pénible travail qui soutient sa grandeur, S'il s'expose sans crainte et s'il porte avec joie, Tout ce qu'il a de sang à la brèche de Troie, Qu'a-t-il de précieux qu'il ne doive exposer, Et quel plus digne sang nous peut-il refuser : Diane pour les Grecs lui demande sa fille : Mais que lui font les Grecs, font-il pas sa famille : Et s'avouant leur chef, ne s'avouait-il pas, Père d'autant d'enfants qu'il voyait de soldats. Qu'a-t-il commis de lâche et par quelle faiblesse, L'a-t-on vu de son sang démentir la noblesse, Pour appréhender rien en cette occasion, Qui puisse retourner à sa confusion, Pour craindre qu'au désir dont tout le monde brûle, Il soit le moins ardent, et le premier recule : Non, non, il est aux Grecs un trop solide appui, Espérons mieux pour nous, et jugeons mieux de lui S'il faut encore Électre avec Iphigénie, Ne craignons pas qu'il faille et qu'il nous l'a dénie, Tous doivent tout pour lui, seul il doit tout pour tous, Tout notre sang est sien, tout le sien est à nous."")",0.0,Match
99,"('#achille', 'Que sa conquête, Ulysse, honorerait Achille ! Elle est digne de lui, plus elle est difficile.')","('#agamemnon', ""J'avais sans ce discours asse de connaissance, De l'adresse d'Ulysse et de son éloquence : Mais il éprouverait en un pareil ennui, Que le sang est encor plus éloquent que lui, Puisqu'il faut de Diane accomplir la requête, Prépares le bûcher votre victime est prête, Mais faites s'il se peut et priez en cachette, Que ce funeste bruit ne se répande pas, Et soit toujours l'effet ignoré de la Reine, Sa peine me serait une seconde peine. Seul je pourrai plutôt étouffer mes douleurs Et porterai mon mal avecque moins de pleurs."")",1.13,Substitution
100,"('#ulysse', ""Qu'entends-je ? Quand l'honneur vous appelle aux combats Des pièges de l'amour vous suivez les appas ? Et je vois aujourd'hui par ces molles pensées Les leçons de Chiron de votre âme effacées ? Achille, encore un coup, pour un objet nouveau Veut-il quitter l'épée et prendre le fuseau ? Et par l'aveugle instinct de Terreur qui l'obsède Ramener dans ce camp la Cour de Lycomède ? Ne se connaît il plus ? Et veut-il aujourd'hui Démentir tout l'espoir qu'on a conçu de lui ?"")","('#clytemnestre', ""Enfin ce mal se passe, et l'air de ce rivage A remis la couleur dessus votre visage, Le mouvement du char vous l'avait excité."")",0.61,Substitution
101,"('#achille', ""Ulysse, craignez moins pour l'honneur de mes armes, Le temps vous guérira de ces vaines alarmes, Je joindrai dans mon coeur, s'il se laisse enflammer, La gloire de combattre à la douceur d'aimer. Si ce divin objet captive ma franchise, J'en serai plus ardent à finir l'entreprise, Et d'un double intérêt mon courage engagé Vengera sur Pâris Ménélas outragé. Allez, qu'Iphigénie offrant son sacrifice Nous rende la mer libre et Diane propice ; Si la voie une fois est ouverte aux combats, Ulysse, mon devoir vous répond de mon bras."")","('#iphigenie', ""Je ne sais de quel mal ce coeur est agité, Plaise au ciel qu'ils soit vain, mais il ne me figure, Rien ni de trop plaisant ni de trop bon augure, Et si je l'ose dire un secret mouvement, Me fait de cet hymen craindre l'événement."")",0.05,Substitution
102,"('#clytemnestre', ""Elle nous luit enfin, cette grande journée Qui va rendre ta vie à jamais fortunée, Où le fils de Thétis doit être ton époux, Où les Grecs, pour partir, n'attendent qu'après nous. Mais, ma fille, d'où vient qu'avec si peu de joie Tu reçois le bonheur que le Ciel nous envoie ?"")","('#clytemnestre', ""D'abord le changement fait un peu de contrainte, Et le joug le plus doux se reçoit avec crainte : Une fille rougit au seul nom d'un époux, Et ne peut toutefois ouïr rien de plus doux, Par un aveugle instruit elle fait ce qu'elle aime, Et naturellement se contredit soi-même : Mais l'hymen est un Dieu familier et charmant, Avec qui la pudeur s'accoutume aisément, La fille s'enhardit aussitôt qu'elle est femme, Et de glace qu'elle est, elle vient tout de flamme."")",0.66,Substitution
103,"('#iphigenie', ""D'un malheur inconnu le présage secret M'a fait quitter Argos avec quelque regret."")","('#iphigenie', ""Je ne puis espérer de trouver rien de doux, En la nécessité de m'éloigner de vous."")",1.15,Substitution
104,,"('#clytemnestre', 'Pourvu que votre ardeur à la sienne réponde, Achille étant à vous, vous sera tout le monde, Au reste au jugement de quiconque à des yeux, Vous ne pouvez prétendre un choix plus glorieux, Il passe en bonne mine, en courage, en noblesse, Les plus considérés des Princes de la Grèce, Et sa gloire immortelle aussi bien que son sang, Dans le siège des Dieux un jour lui doit un rang.')",1.0,Deletion
