,chabanon-toison-d-or,rousseaujb-jason,Cost,Operation Type
96,"('#choeur', 'Non, non ; Vous parlez, notre crainte cesse.')","('#hypsipile', ""Enfin je vous revois et mon âme interdite... Que vois-je ? Et quelle est ma douleur ? Quoi ! Jason me voit et m'évite ! Un noir pressentiment s'empare de mon c?ur ; Ô Neptune ! En ces lieux ne m'auriez-vous conduite Que pour voir de plus près son crime et mon malheur ? Soupçons mal éclaircis, jalouse inquiétude, Ah que vous déchirez mon coeur ! Que ne prouvez-vous mieux sa noire ingratitude, Sans tenir mon âme en langueur! Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon coeur ? Si des maux de l'amour l'absence est le plus rude, J'en ai soutenu la rigueur; Mais le mal que je souffre en cette incertitude De tout mon courage est vainqueur : Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon c?ur !"")",0.79,Substitution
97,"('#aetes', ""Je reconnais mon sang ; jamais nulle faiblesse N'a flétri ta vertu, ni troublé ta raison."")","('#neptune', ""N'accuse plus ton héros d'inconstance. Son coeur t'aime toujours avec sincérité, Sur les rapports trompeurs d'une vaine apparence, Ne doute plus de sa fidélité. Divinités qui régnez sur les ondes, Néréides, Tritons, Dieux soumis à mes lois, Quittez vos retraites profondes, Venez remplir ces lieux du bruit de votre voix ; Et vous, peuples de ce rivage, Par vos jeux et par vos concerts Rendez à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers Ne fit voir à vos yeux un plus riche assemblage De grâces et d'attraits divers."")",0.71,Substitution
98,"('#medee', 'Laissez-moi seule entretenir Jason.')",,1.0,Insertion
99,"('#medee', ""Pour détruire un projet à notre amour nuisible, J'ai voulu que mon art le rendit impossible."")","('#le-choeur', ""Par nos jeux et par nos concerts Rendons à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers, Ne fit voir à nos yeux un plus riche assemblage De grâces et d'attraits divers."")",1.19,Substitution
100,"('#jason', ""Hélas vous n'avez imploré Qu'un secours faible et stérile ; Peut-être le succès devient plus difficile, Mais mon projet n'est pas moins assuré."")","('#une-nereide', ""Toujours l'Empire des mers N'est pas sujet au naufrage, Toujours les vents et l'orage N'éclatent pas dans les airs : Mais dans l'amoureux empire Incessamment on soupire."")",0.83,Substitution
101,"('#medee', 'Vous oseriez encor...')",,1.0,Insertion
102,"('#jason', ""Ah ce que n'a pu faire La crainte de vous déplaire, La crainte du péril le doit-elle opérer ?"")",,1.0,Insertion
103,"('#medee', ""Qu'oses-tu donc espérer ?"")",,1.0,Insertion
104,"('#jason', 'Le triomphe.')",,1.0,Insertion
105,"('#medee', 'Insensé ! Renonce à ce langage.')",,1.0,Insertion
106,"('#jason', 'De cet espoir je me sens animé.')","('#le-choeur', ""Chantons une reine si belle, Célébrons ses attraits charmants. Signalons par nos chants L'ardeur de notre zèle. Que le Dieu des amants, Qui dans ces lieux l'appelle, Forme toujours pour elle Les plus heureux moments."")",1.03,Substitution
107,"('#medee', ""Contre toi l'enfer est armé."")",,1.0,Insertion
108,"('#jason', ""J'aurai pour moi, le ciel et mon courage. Air tendre."")","('#hypsipile', ""Vos jeux ont des charmes pour moi : Mais mon devoir m'engage à voir le Roi, Et mon amour près de Jason m'appelle ; Laissez-moi quitter ce séjour, Les plaisirs les plus doux loin d'un amant fidèle, Sont autant de moments dérobés à l'amour."")",0.88,Substitution
109,"('#medee', ""Les feux que tu viens d'allumer, Jason, veux-tu les éteindre ? Jason, veux-tu me contraindre  À cesser de t'aimer ? Tu vois jusqu'où va ma faiblesse, Devant toi je répands des pleurs ; Ingrat, partage ma tendresse, Et prends pitié de mes douleurs."")","('#medee', ""Fatal courroux, haine mortelle, Venez me secourir contre un amour rebelle. Par un mépris plein de froideur J'avais cru me guérir de ma honteuse flamme ; Mais le jaloux transport qui règne dans mon âme Me fait connaître mon erreur. Fatal courroux, haine mortelle, Venez me secourir contre un amour rebelle. La reine de Lemnos a paru dans ces lieux, Qu'y vient-elle chercher ? Quel soin secret l'appelle ? Mon perfide a senti le pouvoir de ses yeux ; Qu'ils ont d'attraits ! Dieux, qu'elle est belle! Que je sens redoubler contre elle Mes transports furieux ! Je la vois qui s'avance ; Pénétrons le secret de leur intelligence !"")",0.28,Substitution
110,"('#jason', ""Ah ! Toi-même, plutôt, suis un époux fidèle ; Ne vois plus que là Grèce où mon amour t'appelle. Pour ces climats, favorises des cieux, Quitte ce sauvage empire, Où la nature, à tes yeux,. Jamais n'a daigné sourire. Ici tout peint encor, de l'antique chaos, Le silence immobile, et l'éternel repos. Est-ce là le séjour d'une reine charmante, Dont les arts, les plaisirs la volupté touchante, Doivent accompagner les pas ? Ici la Cour la plus brillante, Est un exil pour tes appas. Ah ! Sous un ciel plus doux, que l'amour te conduise ; Les fleurs vont devant toi parfumer les chemins. Viens, dans nos temples admise ; Près de Vénus même assise,  Viens t'enivrer en paix, de l'encens des humains. Non non, il n'est plus rien ici qui te retienne ; L'amour a brisé tes liens : L'un pour l'autre formés, ma patrie est la tienne, Et mes triomphes sont les tiens. Air. Plus animé. Plus vif."")","('#medee', ""À vos charmes puissants, que ne devrons-nous pas ! Que cette heureuse cour en reçoit davantage ! Ils vont de nos tristes climats Bannir ce qu'ils ont de sauvage : Sans vous, sans vos divins appas, L'amour n'aurait jamais embelli ce rivage."")",0.05,Substitution
111,"('#medee', ""Allez, Jason, allez votre amour qui m'outrage, Quand vous me connaîtrez changera de langage."")","('#hypsipile', ""Tout respire en ces lieux l'innocence et la paix, Tout m'y paraît doux et tranquille ; Mais, hélas ! Il n'est point d'asile Pour les coeurs que l'amour a blessés de ses traits  Dans cette illustre cour je vois chacun me rendre Tout ce qu'en mes États j'aurais osé prétendre ; Jason seul à mes yeux prend soin de se cacher."")",0.58,Substitution
112,"('#medee', ""Malheureuse, que résous-tu ? Entre le crime et la vertu, Vas-tu traîner l'opprobre de ta chaîne ? Victime de l'amour, victime du devoir, Sécher dans les remords, ou languir dans la peine ; C'est je sort le plus doux qui te reste à prévoir : Ah ! plutôt... Non, l'amour me défend de poursuivre ; Je cesserais d'aimer Jason ! Non cette seule idée a troublé ma raison ; En prononçant ces mots, j'ai cru cesser de vivre. Sans lui, quel serait mon sort, Mes désirs, mon espérance ? Mes jours filés avec indifférence, Ressembleraient au sommeil de la mort. Cependant, de mon père il trame la ruine... De la nécessité, l'empire le domine ; C'est à moi de le plaindre, et non de le haïr... Mais s'il combat enfin, s'il s'obstine à périr. Image horrible et sanglante ! Eh quoi ! De tous le côtés, À mes yeux épouvantés, L'affreuse mort se présente ! Ah ! Qu'elle tranche mes jours ; Plus heureuse et plus contente, Je bénirai son secours. Récit obligé. CAVATINE. RÉCITATIF. Air vif."")","('#medee', ""Jason se voit comblé d'une gloire immortelle, Il ne lui restait plus que d'être amant fidèle, Au soin de ses amours rien ne peut l'arracher."")",0.37,Substitution
113,,"('#hypsipile', 'Quoi dans ces lieux Jason serait sensible !')",1.0,Deletion
114,,"('#medee', 'Votre coeur en semble étonné ?')",1.0,Deletion
115,"('#jason', ""Médée, en ce réduit m'ordonne de me rendre Quel est doncT.pour me voir, le lieu qu'elle a choisi l Et que dois-je enfin attendre Du magique appareil qui se présente ici ? Amour ! Ô mon_Dieu tutélaire Préside à ce doux entretien ; Allume au coeur d'une amante si fière, Toute l'ardeur qui consume le mien. Mais peut-elle approuver le dessein qui m'engage ? Je viens briser le trône où régnaient ses aïeux. L'éclat d'un tel exploit en déguise l'outrage. Courrons nous à ses yeux De palmes immortelles ; Étonnons son coeur orgueilleux. Enchaînons ses penchants rebelles ; Que Médée en donnant sa foi, Fière de régner sur mon âme, S'enorgueillisse de sa flamme, Et trouve de la gloire à soupirer pour moi. C'est elle ; je la vois paraître. CAVATINE. RÉCITATIF. Air."")","('#hypsipile', ""Je croyais qu'à la gloire un héros destiné, Aux plaisirs de l'amour était inaccessible."")",0.36,Substitution
116,"('#medee', ""Dans ce réduit secret je t'ai fait appeler ; Pour la dernière fois j'ai voulu te parler, Éprouver ton coeur, le connaître, Et sur tes sentiments, moi-même me régler."")","('#medee', ""Le plaisir peut avoir son tour Après une illustre victoire, Un héros se doit à l'amour Quand il est quitte avec la Gloire."")",1.07,Substitution
117,"('#jason', 'Tu doutes de ma foi ?')",,1.0,Insertion
118,"('#medee', ""Je le croirai sincère, Si d'un projet téméraire, Qui nuit à notre bonheur, Tu veux bannir de ton coeur L'ambitieuse chimère. Satisfais ce juste désir ; Au lieu d'un vain trésor, je deviens ta conquête ; Dis un mot seulement, l'hymen va nous unir : Cet autel est paré, la flamme est toute prête. Mesuré. RÉCITATIF."")","('#hypsipile', ""De mes empressements, Ciel ! Quel triste succès ! Pour lui seul en ces lieux ma tendresse m'appelle, Et je vois l'infidèle Soupirer pour d'autres attraits. Avant qu'un amant nous engage, Ne peut-on s'assurer de sa fidélité ? Faut-il, pour connaître un volage Qu'il en coûte à la liberté ?"")",0.0,Match
119,,"('#medee', ""Ne vous piquez point de constance, Oubliez un perfide amant. Le mépris et l'indifférence Doivent punir le changement."")",1.0,Deletion
120,"('#jason', ""Ô comble inattendu d'une injuste rigueur ! Eh quoi ! Tu me chéris, et veux mon déshonneur !"")","('#hypsipile', ""Non, non ; mon faible coeur n'est plus en ma puissance D'une trop vive ardeur se sent animer ; Contre un ingrat qui nous offense, En vain d'un fier courroux nous voulons nous armer. Jamais l'amour n'a tant de violence, Que lorsqu'on veut ne plus aimer. Je ne puis étouffer une flamme fatale. Mais je sens en mon âme un secret mouvement Qui tourne contre ma rivale, La haine que je dois à ce perfide amant."")",0.87,Substitution
121,"('#medee', ""Il suffit ; je t'entends. Sors."")","('#medee', ""C'en est trop. Je me livre au conseil de ma rage. Sortons. Je ne veux pas en savoir davantage."")",0.81,Substitution
122,"('#jason', 'Que prétends tu faire ?')",,1.0,Insertion
123,"('#medee', ""Sur cet autel qui t'engageait ma foi, Où l'amour t'appelait pour un plus doux mystère, Je vais par un secours affreux, mais nécessaire, Éteindre tout l'amour dont je brûle pour toi."")","('#hypsipile', ""De quoi me servez-vous contre un ingrat que j'aime, Faible raison, inutile secours ? Puis-je écouter, hélas ! Vos superbes discours, Quand mon coeur révolté s'arme contre moi-même? Faible raison, inutile secours, De quoi me servez-vous contre un ingrat que j'aime ?"")",0.91,Substitution
124,"('#jason', 'Quoi ! Tu veux me haïr ?')","('#jason', ""Le voici, cet ingrat que vous devez haïr, Il se livre à votre colère À vos justes transports vous devez obéir. Je suis trop criminel d'avoir pu vous déplaire."")",0.92,Substitution
125,"('#medee', ""Tu m'y contrains, barbare. Que me sert de t'aimer, quand ta mort se prépare ?"")","('#hypsipile', ""Cruel, vous savez trop que mon faible courroux Ne saurait vaincre ma tendresse Et vous venez ici jouir de la faiblesse Que vous savez que j'ai pour vous."")",0.67,Substitution
126,"('#jason', ""Eh ! Quand il serait vrai que je dusse périr ; Me laisserais tu mourir, Chargé de tes dédains, de ton indifférence ? Ah ! Si ta tendre prévoyance Cherche à me conserver le jour, Du moins ne trahis pas les soins de ta prudence ; N'abrège pas ma vie en m'ôtant ton amour. J'espérais que Médée et sensible et fidèle, Quand la mort m'eût séparé d'elle, Garderait de nos feux, un long ressouvenir ; Ingrate, l'amant qui t'adore, Il respire ; il te parle encore, Et déjà de ton coeur tu prétends le bannir. Air."")","('#jason', ""De la plus tendre ardeur mon âme est possédée, Je n'adore que vos beaux yeux : Mais le prix éclatant qui m'attire en ces lieux, > Dépend du pouvoir de Médée Et si j'ai feint pour elle une coupable ardeur, C'est un crime des Dieux, et non pas de mon coeur."")",0.3,Substitution
127,"('#medee', 'Où suis-je ? Hélas ! Quel trouble est venu me saisir ?')","('#hypsipile', ""Ciel que me faites-vous entendre ?  Médée est ma rivale ? Et dans ce triste jour C'est elle à qui je viens d'apprendre Mon désespoir et mon amour. Infortunée, hélas! Je n'ai plus d'espérance, Mes maux ne sont plus incertains. Médée, il est trop vrai, cause votre inconstance: Son art, sa beauté, sa puissance, Tout m'assure à la fois du malheur que je crains."")",1.13,Substitution
128,"('#jason', ""Ingrate l'amant qui t'adore, Il respire, il te parle encore, Et déjà de ton coeur tu prétends le bannir."")","('#jason', ""Ah ! Perdez des soupçons si vains. Médée aux éléments peut déclarer la guerre, Son art confond les Cieux, l'Enfer, l'Onde et la Terre; Il soumet la nature, et transporte à son choix, Les rochers, les monts et les bois ; Mais contre l'aimable Hypsipyle Dans le coeur de Jason sa force est inutile."")",1.32,Substitution
129,,"('#hypsipile', ""Hélas ! Je n'ose l'espérer."")",1.0,Deletion
130,,"('#jason', ""Bannissez d'injustes alarmes."")",1.0,Deletion
131,"('#medee', ""Je n'ai pu l'écouter sans répandre des larmes. Par quel enchantement Oubliai-je en un moment, Ma résolution, mes projets, mes alarmes ? Je ne vois que l'amour, je ne sens que ses charmes : Malheureuse Médée, où vas-tu t'engager ? Ah tu cours à ta perte, et chéris ton danger. Air brillant."")","('#hypsipile', 'Que je crains Médée et ses charmes !')",0.68,Substitution
132,,"('#jason', 'Mon amour doit vous rassurer.')",1.0,Deletion
133,"('#jason', ""Vers le céleste empirée, Médée, élève les yeux ; Vois le conseil des Dieux, Vois leur troupe sacrée Applaudir à nos feux. L'Amour sur tous ces Dieux préside ; Il est ton maître, il fut mon guide ; Il t'appelle j'entends sa voix : Viens à l'autel amante moins timide, Viens de l'hymen subir les douces lois."")","('#hypsipile', ""Que vos discours ont de puissance ! C'en est fait, et mon c?ur se rend à vos serments : Heureuse d'avoir pu juger par mes tourments De mon amour et de votre constance."")",0.28,Substitution
134,,"('#jason #hypsipile #orphee', ""Ne nous plaignons point des rigueurs Où le tendre amour nous expose, Souvent les plus vives douleurs Sont le fruit des maux qu'il nous cause."")",1.0,Deletion
135,"('#medee', ""Sitôt qu'il a parlé tout mon courage expire ; De la fatalité l'irrésistible empire L'enchaîne et le tient abattu... Montrons dans ce péril encor quelque vertu. Hécate ! Elle court à l'autel."")","('#medee', ""Quel objet frappe ici mes yeux ? Que vois-je ma rivale et Jason dans ces lieux ? Ah ! C'est trop différer une juste vengeance ; Éclatez, il est temps, mes jalouses fureurs. Perfides, apprenez à craindre ma puissance. Que ce palais se change en un séjour d'horreurs. Démons, monstres affreux, joignez-vous à ma rage, Quittez le ténébreux rivage, Venez, accourez, vengez-moi D'une indigne rivale et d'un amant sans foi. Elle sort. Le palais devient un lieu effroyable. Plusieurs démons et plusieurs monstres se présentent pour servir la colère de Médée."")",0.12,Substitution
136,"('#jason', 'Arrête.')",,1.0,Insertion
137,"('#medee', 'Hécate !')",,1.0,Insertion
138,"('#jason', 'Arrête ; que fais-tu ?')",,1.0,Insertion
139,"('#medee', ""J'invite les enfers à prendre ma défense."")",,1.0,Insertion
140,"('#jason', ""Ah ! Tu n'as pas besoin de ce triste secours ; Mon amour envers toi fut ma plus grande offense : Je vais la réparer en terminant mes jours. DUO."")","('#jason #hypsipile #orphee', ""Ah ! Que d'objets épouvantables ! Ô Dieux ! Soyez-nous secourables."")",1.04,Substitution
141,"('#medee', ""C'est donc trop peu des maux qui remplissent ma vie, Tu veux de ton trépas me rendre le témoin !"")","('#jason', ""Divin Orphée, à qui les Dieux Ont. prodigué des sons la science charmante, Par les accents mélodieux De sa lyre savante Suspends la rage menaçante De tant de monstres furieux On entend une douce symphonie. Orphée chante, et la fureur des montres s'assoupit."")",0.96,Substitution
142,"('#jason', 'Tu cherches à briser la chaîne qui nous lie ; Je veux te délivrer de ce funeste soin.')","('#orphee', 'Fille du Ciel, ô divine Harmonie, Répands ici ta douceur infinie. Tu peux calmer La fureur et la rage, Tu sais charmer Le coeur le plus sauvage. De tes douceurs Quel coeur peut se défendre ? Tes sons flatteurs Forcent tout à se rendre. Fille du Ciel, ô divine Harmonie, Répands ici ta douceur infinie. Monstres terribles, Calmez vos sens, Soyez sensibles À mes accents. Fille du Ciel, ô divine Harmonie, Répands ici ta douceur infinie.')",0.99,Substitution
143,"('#medee', ""Aux tourments affreux que j'éprouve, Ton inflexible orgueil ne sait point compatir."")","('#hypsipile', ""Quel est d'un si grand art l'effet prodigieux ?"")",1.58,Substitution
144,"('#jason', 'À des noeuds que le ciel approuve, Ton injuste rigueur ne veut pas consentir. Ô Medée !')","('#jason', 'Des enfers déchaînés il calme la colère.')",1.06,Substitution
145,"('#medee', 'Ô Jason !')",,1.0,Insertion
146,"('#medee #jason', 'Dans ce malheur funeste, Quel autre espoir me reste, Que de te perdre et de mourir ? On entend une symphonie douce, qui part des voûtes de la grotte.')","('#hypsipile #jason #orphee', ""Mais quelle main puissante et salutaire Pourra nous arracher à l'horreur de ces lieux?"")",0.74,Substitution
147,"('#medee #jason', 'Quelle vive clarté commence à se répandre ? Quels magiques concerts, ici se font entendre ?')","('#l-amour', ""L'amour vient terminer votre peine cruelle, Tendres amants, soyez heureux. Disparaissez, monstres affreux; Rentrez dans la nuit éternelle. Venez, charmants plaisirs, changer ces tristes lieux, En des jardins délicieux. Amants, conservez l'espérance Tôt ou tard un heureux moment Est la récompense De votre tourment. Quand après de longues chaînes L'amour comble vos désirs, Le souvenir de vos peines Doit redoubler vos plaisirs. Marquez, aimables jeux, votre réjouissance, Que tout ressente ici l'amour et sa puissance."")",0.99,Substitution
148,"('#choeur', ""L'Amour est présent en ces lieux, Et tout y ressent sa puissance ; Cette clarté des cieux, Ces chants harmonieux ; Tout vous annonce sa présence."")","('#le-choeur', ""Les Plaisirs et les Jeux sont ici de retour. Que de coeurs aujourd'hui vont se rendre à l'amour !"")",0.46,Substitution
149,"('#medee', ""Le trouble de mon coeur me l'annonce encor mieux. Cédons, il faut enfin que mon sort s'accomplisse : Si c'est un crime, hélas ! Le ciel en est complice."")","('#un-plaisir', ""Le chagrin épouvante Un Dieu si charmant ; Mais une âme contente S'enflamme aisément : Les Ris, les Plaisirs, les beaux jours, Font naître les amours."")",0.96,Substitution
150,"('#jason', ""Divinité des amants, Reçois nos tendres serments. Médée répète ce serment d'une voix tremblante ; la voûte s'ouvre, et laisse voir l'Amour sur son trône, entouré des Grâces et des plaisirs."")","('#un-autre-plaisir', ""Quel destin peut avoir plus de charmes ? Tous nos jours vont couler sans alarmes. L'Amour nous fait sentir les plus doux de ses traits, Il réserve pour nous les biens les plus parfaits."")",0.45,Substitution
151,"('#l-amour', ""Oui, l'Amour les reçoit ; que le ciel les entende, Que des rapides vents le souffle les répande Jusques au bout de l'univers ; À la célébrité d'une action si grande, J'intéresse le ciel, et la terre, et les mers."")","('#le-choeur', ""Qu'a nos jeux chacun s'intéresse, Redoublons nos chants d'allégresse, Célébrons jamais les charmantes douceurs Que les feux de l'Amour font naître dans les coeurs. Les Plaisirs et les Jeux sont ici de retour, Que de coeurs aujourd'hui vont se rendre à l'Amour !"")",0.2,Substitution
152,"('#idamas', 'Apprends le sort qui te menace Pollux et le fier Telamon, De ta gloire jaloux, vont ravir la Toison.')","('#medee', ""De quel étonnement je sens saisir mon coeur ! Où suis-je ? Où sont ces lieux élevés par ma rage ? Quand je lève le bras pour venger mon outrage, Quelle invisible main enchaîne ma fureur ? Que tardons-nous ? Allons, renouvelons mes charmes ; Remplissons ce séjour de nouvelles alarmes. Enfers, écoutez-moi. Tout est sourd à ma voix. Démons, obéissez. Tout méprise mes lois. N'ayons plus d'espoir qu'en ma rage, C'est l'unique recours des coeurs désespérés ; Une rivale qu'on outrage Porte des coups plus assurés. Que les Démons, l'Enfer et les Dieux conjurés. Hâtons-nous... Mais, ô Dieux ! Quelle pitié soudaine S'oppose à mes transports jaloux ? Vains efforts d'une juste haine, Contre l'Amour, hélas ! De quoi nous servez-vous ? Cependant ma crainte redouble, L'antre de la Sibylle est voisin de ces lieux. Allons lui confier mon trouble ; Qu'elle éclaircisse enfin un mystère odieux."")",0.87,Substitution
153,"('#jason', 'Je cours prévenir leur audace. Il sort.')","('#le-choeur', ""Loin d'ici, mortels indiscrets, Éloignez-vous de notre asile, Ne troublez pas l'heureuse paix Qui règne en ce séjour tranquille."")",1.14,Substitution
154,"('#medee', ""Arrête ambitieux Jason. De ses pas suivons la trace ; Et s'il faut qu'à mes pleurs il résiste aujourd'hui, Imitons son courage, et mourons avant lui."")","('#suivante-de-la-sibylle', 'La Sibylle séjourne en ces lieux souterrains, Elle y dicte aux mortels les ordres souverains, Des arbitres de la Nature, Le livre des Destins est ouvert à ses yeux, Et son savoir mystérieux Du profond avenir perce la nuit obscure.')",1.44,Substitution
155,"('#medee', 'Où cours-tu malheureux ?')",,1.0,Insertion
156,"('#jason', ""Où la gloire m'appelle."")","('#le-choeur', ""Loin d'ici, mortels indiscrets, Éloignez-vous de notre asile, Ne troublez pas l'heureuse paix Qui règne en ce séjour tranquille."")",1.61,Substitution
157,"('#medee', ""Dis, où la mort t'attend."")","('#suivantes #sibylle #choeur', ""Nous goûtons un sort plein d'attraits, Nous vivons en paix Dans ce lieu tranquille ; Nous goûtons un sort plein d'attraits, Nous vivons en paix, Nos biens sont parfaits. La charmante félicité N'a jamais quitté Cet heureux asile, Les chagrins qui suivent l'amour N'osent troubler ce beau séjour ; Nous goûtons un sort plein d'attraits, Nous vivons en paix Dans ce lieu tranquille, Nous goûtons un sort plein d'attraits, Nous vivons en paix, Nos biens sont parfaits. Gardons-nous de livrer nos coeurs Aux appas trompeurs D'un bonheur fragile, Les plaisirs dont on est flatté Peuvent-ils payer notre liberté. Nous goûtons un sort plein d'attraits, etc"")",1.63,Substitution
158,"('#jason', ""La mort me semble belle ; L'honneur, le devoir m'y conduit."")","('#le-choeur', 'Quelle mortelle audacieuse Ose porter ici ses regards curieux, Et par sa présence odieuse Troubler le repos de ces lieux ?')",1.15,Substitution
159,"('#medee', ""Barbare ! Voilà donc le triste et premier fruit Des serments que j'ai faits, du beau noeud qui nous lie ! L'instant qui nous unit, va donc nous séparer ! Ingrat ! Tu n'as voulu me consacrer ta vie, Que pour me la faire pleurer. Mais quel bruit, tout-à-coup, vient de se faire entendre ? On entend le roulement de la timbale."")","('#medee', ""Clamez une crainte inutile. Je ne viens point troubler vos plaisirs innocents, Je viens consulter la Sibylle, Puisse-t-elle adoucir les maux que je ressens. Toi qui dans ce lieu solitaire, Des profanes humains fuis l'importunité, Des secrets d'Apollon sainte dépositaire, Toi, pour qui l'avenir est sans obscurité, Daigne de mon destin dévoiler le mystère, Et fais-en à mes yeux briller la vérité. Jason me cause une peine mortelle. Ma raison et mes yeux me l'ont peint infidèle Mais mon amour dément mes yeux et ma raison. Éclaircis cette incertitude, Je souffre plus de mon inquiétude, Que je ne souffrirais de voir sa trahison. Le Choeur s'éloigne, et Médée continue en s'adressant à la Sibylle."")",0.23,Substitution
160,"('#jason', 'À ce signal, Médée, il faut me rendre.')",,1.0,Insertion
161,"('#medee', ""Tu n'iras point ; non, les Dieux ennemis Ne t'ont pas pour Médée, inspiré tant de haine ; Leur rigueur inhumaine Ne t'a pas commandé des forfaits inouïs. Les périls où tu cours, mon art les a produits : Si tu suis les projets où ta fureur te guide, Tu me rends, de tes jours, la barbare homicide. Condamne un juste effroi, Ose me reprocher des alarmes trop vives."")","('#la-sibylle', ""Cesse de vouloir me contraindre, Ne cherche plus à t'assurer Des malheurs que ton coeur peut craindre, C'est toujours un bien d'espérer, Et les maux ne sont point à plaindre, Tant que l'on peut les ignorer."")",0.08,Substitution
162,"('#jason', 'Que me demandes-tu, cruelle ?')","('#medee', ""Non rien ne peut changer le dessein qui m'appelle, Si Jason me trahit, je mourrai de douleur, Mais une prompte mort me sera moins cruelle Que le jaloux soupçon qui dévore mon coeur."")",1.15,Substitution
163,"('#medee', 'Que tu vives.')","('#la-sibylle', ""Vers ces antres inhabitables Vois s'élever aux cieux cet arbre révéré, C'est sur son feuillage sacré Que j'écris du destin les lois irrévocables ; Mais du sage Apollon les ordres éternels Défendent aux coeurs criminels De jouir de cet avantage. Si par quelque noirceur ton coeur est profané, Tu verras dans les airs disperser ce feuillage, De la fureur des vents jouet infortuné."")",1.36,Substitution
164,"('#jason', ""Indigne de la Grèce, et du jour, et de toi ? Dieux ! Soutenez ma force qui chancelle. Ce bruit a ranimé mon courage expirant. L'as-tu bien entendu, ce signal éclatant ? C'est la victoire qui m'appelle ; Médée, en l'écoutant, Prends une âme nouvelle D'un destin plus noble et plus grand, Conçois l'espérance immortelle. On entend le roulement de la timbale. Air brillant."")","('#medee', ""Approchons-nous. Ô ciel ! Mon espérance est vaine. J'entends déjà gronder les fougueux Aquilons. Quels affreux sifflements ! Quels épais tourbillons ! Tout l'empire d'Éole en ces lieux se déchaîne. Les vents sortent de l'antre, et dissipent les feuilles de l'arbre."")",0.17,Substitution
165,"('#medee', 'Je tombe à tes genoux, et les baigne de pleurs.')","('#medee', ""Prêtresse d'Apollon, daigne employer ta voix Pour m'expliquer du ciel les redoutables lois."")",1.13,Substitution
166,"('#jason', ""Non, je n'en croirai point tes honteuses douleurs ; Je saurai te servir en dépit de toi-même, En illustrant mon nom, illustrer ta beauté, Et me montrer aux yeux de l'épouse que j'aime, Tout rayonnant des feux de l'immortalité. Il sort précipitamment."")","('#la-sibylle', ""Je vais répondre à ton attente, Mes sens sont agités d'une sainte fureur. Le fatal avenir à mes yeux se présente. Dieux ! Quel spectacle plein d'horreur! 1 Tu meurs, ô déplorable amante! Tu t'immoles toi-même à ta vaine terreur ; Et ta rivale triomphante Jouit en paix de ton erreur. Mais quel forfait épouvantable Va cimenter son bonheur odieux ? Tremble, malheureuse coupable, Crains le juste courroux des Dieux."")",0.0,Match
167,"('#medee', ""Jason !... Que sert, hélas ! Que ma voix gémissante Le suive au fond de ces déserts ? Il n'entend point mes cris, sourd aux voeux d'une amante. Mais déjà les taureaux, de leur bouche fumante, Ont vomi le feu des enfers ; L'intrépide Jason devant eux se présente ; Il va périr.... Arrêtez-vous, Monstres qu'à créés ma puissance, Respectez mon amant, respectez mon époux ; Devant son bras vainqueur, demeurez sans défense... Livrez-lui le trésor dont il fut trop jaloux ; Et vous que j'ai commis à la garde fidèle D'une dépouille, et si riche, et si belle, Hécate, Némésis, Cerbère, Phlégéton Vous me répondez tous du salut de Jason. Qu'ai-je dit ? Qu'ai-je fait et que devient mon père ? Mon père !... Je le vois, c'en est fait, je me meurs. La baguette étendue vers la forêt. Long silence."")","('#medee', ""Quelle énigme fatale ! Est-il un sort plus rude ? Ô funeste embarras ! Oracles superflus ! Chaque moment fait naître à mon esprit confus, Un abîme d'incertitude. Suivons mes premiers sentiments, Il faut qu'Hypsipyle périsse Allons, par mes discours et par mon artifice ; Faire servir ses feux à mes ressentiments."")",0.16,Substitution
168,"('#aetes', 'Ma fille, tu prévois le plus grand des malheurs ; Ton amant va périr : dans ta douleur amère, Il reste au moins, à ton coeur abattu, Deux recours consolant, ton père, et ta vertu.')","('#hypsipile', ""Ah ! Que je sens d'inquiétude Ne pourrai-je sortir du trouble où je me vois ? Mon amant va combattre en cette solitude, Tout y redouble mon effroi ; Ah ? Que je sens d'inquiétude ! La mort, dans ces funestes lieux, Sous mille horribles traits se présente à mes yeux. Dieux ? S'il faut que Jason périsse, Épargnez-moi l'horreur de le voir expirer ; Si sa mort doit nous séparer. Que mon trépas nous réunisse."")",0.37,Substitution
169,"('#medee', 'Terre ! Ô terre ! Ouvre-moi ton plus profond abîme ; Dieux ! Mon père applaudit aux vertus de mon coeur.')",,1.0,Insertion
170,"('#aetes', 'Viens...')",,1.0,Insertion
171,"('#medee', ""Sa voix est pour moi celle d'un Dieu vengeur ; Et son amour trompé me punit de mon crime."")","('#medee', ""C'est trop persécuter votre innocente ardeur J'ouvre les yeux enfin, et vois mon injustice. Oubliez, s'il se peut, un aveugle caprice Qui n'a servi qu'à tourmenter mon coeur. Jason m'avait fait une offense, Contre lui, contre vous, mon dépit s'est armé : Il est mort. Son trépas a rempli ma vengeance. Les destins l'ont puni, mon courroux est calmé."")",0.21,Substitution
