,guimont-de-la-touche-iphigenie,favard-voisenon-la-petite-iphigenie,Cost,Operation Type
54,"('#oreste', ""Du moins si nos soldats, si le fidèle Alcée, Si de nos premiers ans ce guide et ce soutien Savait quel est ton sort, savait quel est le mien !... Mais mon malheur peut-être en ce moment l'opprime. Il est de mon destin que ta mort soit mon crime !... Ah malheureux !"")","('#oreste', 'Dans quel nouveau revers me trouvai-je plongé ! Ô désespoir ! Je suis accablé Pilade, Il me fuit.')",1.2,Substitution
55,"('#pylade', ""On vient. Au nom de ton ami Cesse d'être en ces lieux ton premier ennemi. Pourquoi se plaindre tant du sort qui nous rassemble ? Est-il donc si cruel ? Nous périssons ensemble."")","('#pilade', 'Au contraire, et je fuis, camarade.')",0.82,Substitution
56,,"('#oreste', ""Je n'avais qu'un ami, qu'un seul, je l'ai perdu."")",1.0,Deletion
57,"('#oreste', 'Au moins veille sur moi. Maître de mes remords, Que je puisse inconnu descendre chez les morts. Aux yeux de mes bourreaux, que mon âme affermie Marque mon infortune, et non mon infamie. Je mourrais doublement, mourant déshonoré.')","('#pilade', 'Je suis ici.')",1.42,Substitution
58,,"('#oreste', 'Viens donc.')",1.0,Deletion
59,"('#iphigenie', ""Qu'à leur aspect touchant mon coeur est déchiré ?"")","('#pilade', ""Je crains d'être mordu."")",1.33,Substitution
60,"('#oreste', ""Quelle femme vers nous avec effort s'avance ? Je sens que ma fureur se calme en sa présence."")","('#oreste', ""Ainsi tout l'Univers craint et fuit ma présence. Ma fureur s'en accroît."")",0.67,Substitution
61,,"('#pilade', ""La Prêtresse s'avance ; Cessez d'être en colère, on vient vous égorger."")",1.0,Deletion
62,,"('#oreste', ""Tu m'avertis à temps, et je vais m'arranger."")",1.0,Deletion
63,"('#iphigenie', ""Des soins que me prescrit la céleste rigueur, Osons du moins remplir le seul cher à mon coeur. Que l'on ôte 1es fers des mains de ces victimes \\ Accomplissez du ciel les ordres légitimes. Ces fers injurieux, désormais superflus, Dans ce temple sacré ne leur conviennent plus. Quels traits et quel maintien !... Ô devoir inflexible !... Qu'il est cruel de naître avec un coeur sensible ! Étrangers malheureux, dont la noble douleur Accuse en vous des rois le sang et la valeur, Daignez répondre aux soins de mon âme attendrie. Quels sont vos dieux, vos lois ? Quelle est votre patrie ? Sur les devoirs sanglants d'un emploi rigoureux, Ne jugez point mon coeur infortuné par eux. Des barbares rigueurs d'un culte illégitime, Mon bras est l'instrument, mon coeur est la victime. Parlez, ne craignez point ici de vous trahir. Vous êtes malheureux, je ne puis vous haïr. Aux prêtresses. Plaidant qu'on détache leurs fers. Après que les prêtresses se sont retirées."")","('#iphigenie', ""Votre sang va bientôt couler pour la Déesse, Je viens vous immoler ; mais avec politesse. Ici les étrangers dans mes mains sont remis, Et c'est moi qui leur fais les honneurs du pays. Prêtresses, à l'instant je veux qu'on les déchaîne ; Je dois agir ainsi pour que rien ne les gêne."")",0.04,Substitution
64,,"('#pilade', ""J'ai de l'esprit, Madame, et je vous entends bien."")",1.0,Deletion
65,"('#pylade', ""Ah ! Qui que vous soyez, au malheur qui nous presse, Quand vous l'allez combler, quel soin vous intéresse, S'il faut mourir, frappez. Votre pitié nous nuit ; Précipitez nos jours dans l'éternelle nuit, Sans exiger de nous un aveu déplorable : Qui périt inconnu, périt moins misérable."")","('#iphigenie', ""Nous pouvons à présent commencer l'entretien : Votre sort m'intéresse, et je suis affligée De vous faire mourir ; mais j'y suis obligée. Mon coeur est la victime, et mon bras l'instrument."")",0.22,Substitution
66,"('#iphigenie', ""Ô sentiments trop chers a mon coeur combattu ! Puise-t-on l'infortune au sein de la vertu ?"")",,1.0,Insertion
67,"('#pylade', ""Plaignez moins nos destins. La mort fait notre envie. L'homme apprend tous les jours à mépriser la vie."")",,1.0,Insertion
68,"('#iphigenie', 'Quel sort si rigoureux vous en fait un malheur ?')","('#pilade', 'Hom ! Cet instrument-là ne me plaît nullement.')",1.77,Substitution
69,"('#pylade', ""Tout homme a ses revers. Tout homme a sa douleur. Le plus heureux mortel a connu les alarmes ? Hélas ! Il n'en est point qui n'ait versé des larmes !"")","('#iphigenie', 'Laissez-moi donc parler à votre camarade, Il est triste.')",1.06,Substitution
70,,"('#pilade', 'Il a tort.')",1.0,Deletion
71,"('#iphigenie', 'Mais qui donc êtes-vous ? Parlez, vous dont le front... À Oreste.')","('#iphigenie', ""Qu'a-t-il ?"")",1.27,Substitution
72,"('#pylade', ""Pourquoi d'un vain aveu solliciter l'affront ?"")","('#pilade', ""Il est... malade D'esprit"")",2.0,Substitution
73,"('#iphigenie', ""C'est vous que j'interroge. Ah ! Daignez me répondre ; Et ne m'outragez pas jusques à me confondre. Avec un peuple aveugle, a moi-même odieux, Dont un sort inouï me fait servir les Dieux. Parlez. À vos malheurs il importe peut-être Que je sache du moins quels lieux vous ont vu naître... Vous ne répondez rien. Toujours vous me cachez Vos douloureux regards à la terre attachés."")","('#iphigenie', 'Puis-je savoir ?...')",1.07,Substitution
74,"('#oreste', 'Quel fruit attendez-vous de cette connaissance ?')","('#pilade', ""Vous saurez qu'aujourd'hui..."")",0.76,Substitution
75,"('#iphigenie', 'Dans le sein de la Grèce auriez-vous pris naissance ? Mycène, Argos.... Ou vont mes esprits prévenus ? Ah ! Sans doute ces lieux ne vous sont pas connus.')","('#iphigenie', ""Vous avez la fureur de répondre pour lui ; C'est lui que j'interroge."")",1.7,Substitution
76,"('#iphigenie', ""Plût au barbare ciel qu'un désert m'eût vu naître, Et qu'il m'eût fait périr avant de les connaître !"")","('#oreste', 'Eh ! Maugrebleu, Madame, Tuez-nous sans rien dire.')",1.37,Substitution
77,"('#iphigenie', 'Comment ! Argos a-t-il été votre berceau ?')",,1.0,Insertion
78,"('#oreste', ""Hélas ! Que n'était-il, en naissant, mon tombeau !"")","('#iphigenie', ""Il a glacé mon âme. Cet enfant-là paraît assez mal élevé. à ce pauvre garçon qu'est-il donc arrivé ?"")",1.27,Substitution
79,"('#iphigenie', ""Ah ! S'il est vrai, comblez ou dissipez ma joie. Au milieu de la gloire, et des trésors de Troie, Quel est dans son palais le sort d'Agamemnon ? Jouit-il d'un bonheur égal à son grand nom ?"")","('#pilade', ""Madame, s'il n'a pas la réplique gentille, C'est qu'il a maintenant des chagrins de famille. Tout le monde n'est pas en place comme vous."")",1.58,Substitution
80,"('#oreste', 'Ô ciel ! Que dites-vous ? Une main parricide...')","('#iphigenie', ""Oui, j'exerce un emploi bien amusant bien doux."")",1.35,Substitution
81,"('#iphigenie', ""L'aurait livré, grands Dieux ! À la Parque homicide ? Et quelle main ?"")","('#oreste', 'Vous nous faites languir, quel sujet vous arrête ?')",0.92,Substitution
82,,"('#iphigenie', ""Cela viendra, Seigneur ; mais soyez plus honnête. Vous êtes tous deux Grecs, si j'en crois vos habits ?"")",1.0,Deletion
83,"('#oreste', 'Madame....')","('#pilade', 'Oui.')",0.0,Match
84,,"('#iphigenie', ""Venez m'embrasser, c'est aussi mon pays."")",1.0,Deletion
85,"('#iphigenie', 'Achevez.')","('#pilade', 'Ah ! Quel plaisir !')",1.68,Substitution
86,,"('#iphigenie', 'Allons, contez-moi des histoires Agamemnon jouit du fruit de ses Victoires.')",1.0,Deletion
87,"('#oreste', 'Je ne puis.')","('#oreste', 'Il ne vit plus.')",1.62,Substitution
88,,"('#iphigenie', 'De quoi le pauvre homme est-il mort ?')",1.0,Deletion
89,,"('#oreste', 'Il se portait fort bien.')",1.0,Deletion
90,"('#iphigenie', 'Parlez. Que craignez-vous ?')","('#iphigenie', ""Ah ! Vous m'étonnez fort."")",1.11,Substitution
91,"('#oreste', 'Je ne sais où je suis.')",,1.0,Insertion
92,"('#iphigenie', 'Quel fut son assassin ?')","('#oreste', 'Un cruel assassin...')",0.06,Substitution
93,,"('#iphigenie', 'Quelle main sanguinaire A fait ce mauvais coup ?')",1.0,Deletion
94,"('#oreste', 'Son épouse adultère,')","('#oreste', 'Son épouse adultère.')",0.0,Match
95,,"('#pilade', ""On peut, lorsqu'on eSt belle, avoir quelques amanTs Mais tuer les maris, ils sont si bonnes gens !"")",1.0,Deletion
96,"('#iphigenie', 'Clytemnestre ?')","('#iphigenie', 'Ciel, Clytemnestre ! Oreste a-t-il bien pris la chose')",0.24,Substitution
97,"('#oreste', ""L'amour trama ce noir mystère : Il l'arma d'un poignard."")",,1.0,Insertion
98,"('#iphigenie', 'Ô crime ! Affreux transport ! De son assassinat quel est le fruit ?')","('#pilade', 'Vous deviez sur ce nom avoir la bouche close.')",1.15,Substitution
99,"('#oreste', 'La mort.')",,1.0,Insertion
100,"('#iphigenie', 'Comment ?')",,1.0,Insertion
101,"('#oreste', 'Son fils....')",,1.0,Insertion
102,"('#pylade', ""Arrête. Ah ! Qu'il me désespère !"")",,1.0,Insertion
103,"('#iphigenie', 'Hé bien, son fils ? Parlez.')","('#iphigenie', ""On voyait dans son air, étant encor enfant Qu'un jour il pourrait être un fort mauvais plaisant."")",1.29,Substitution
104,"('#oreste', 'Il a vengé son père.')",,1.0,Insertion
105,"('#iphigenie', ""Qu'entends-je ?"")",,1.0,Insertion
106,"('#pylade', ""Au nom des Dieux, Madame, remplissez Notre plus cher espoir, qu'ici vous trahissez. Quel soin...."")",,1.0,Insertion
107,"('#iphigenie', ""Qu'est devenu ce fils ?"")",,1.0,Insertion
108,"('#oreste', ""L'horreur du monde."")","('#oreste', ""Il est l'horreur du monde."")",0.0,Match
109,"('#iphigenie', 'Grands dieux !')","('#iphigenie', ""Eh ! Qu'a-t-il donc pu faire ?"")",1.73,Substitution
110,,"('#pilade', 'Madame, il en agit fort mal avec sa mère.')",1.0,Deletion
111,,"('#iphigenie', 'Fi, ce garçon doit faire une mauvaise fin. Que cherche-t-il ?')",1.0,Deletion
112,"('#oreste', ""Las de traîner sa misère profonde, Il a cherché la mort, qu'il a trouvée enfin."")","('#oreste', ""La mort qu'il a trouvée enfin."")",0.36,Substitution
113,"('#iphigenie', ""Ô déplorable sang ! Implacable destin ! Mycène n'a donc plus du grand vainqueur de Troie... À Oreste."")","('#iphigenie', ""Ô ciel ! Qu'entends-je ! Oreste est privé de la vie ! Mon unique ressource, hélas, m'est donc ravie ! Remettons-nous s'il faut reprendre mon discours : Électre, que fait-elle ? Haut."")",1.24,Substitution
114,"('#oreste', 'Que la plaintive Electre, à sa douleur en proie...')","('#oreste', 'Elle pleure toujours.')",1.13,Substitution
115,,"('#pilade', 'Cela compoSe au moins une aimable famille Bien gaie.')",1.0,Deletion
116,"('#iphigenie', ""Prêtresses... Conduisez ces deux infortunés Aux lieux où pour l'autel ils doivent être ornés. Je ne peux plus longtemps devant eux me contraindre. À part."")","('#iphigenie', ""Ô désespoir ! Approchez-vous, ma fille Menez ces étrangers dans l'endroit préparé Où celui qu'on immole est toujours bien paré."")",0.61,Substitution
117,,"('#pilade', 'En voyant ces soins-là ma tristesse est complète,')",1.0,Deletion
118,,"('#iphigenie', ""Je vais faire aujourd'hui ma dernière toilette."")",1.0,Deletion
119,"('#iphigenie', 'Oreste est mort!')","('#iphigenie', 'Ô Ciel ! Oreste est mort !')",0.0,Match
120,"('#ismenie', 'Hélas ! Que vous êtes à plaindre !')",,1.0,Insertion
121,"('#iphigenie', ""Il est mort ! C'en est fait, tout est perdu pour moi...."")",,1.0,Insertion
122,"('#ismenie', ""Ah, Madame ! Quel est l'état où je vous vois ?"")",,1.0,Insertion
123,"('#eumene', 'De quel saisissement êtes-vous pénétrée ?')",,1.0,Insertion
124,"('#iphigenie', ""Quelle confusion dans le palais d'Atrée ! Quel cours d'assassinats l'un par l'autre punis ! Poursuivez, dieux cruels ; contre mon sang unis Dans mon flanc déchiré cherchez le triste reste De ce coupable sang qu'avec vous je déteste. Horrible perspective, effroyable avenir Que mes regards tremblants ne peuvent soutenir ! Eh quoi ! Traîner sans cesse un jour fatal au monde ! Nee m'abreuver jamais que du sang qui m'inonde ! Ne voir pour tout objet, que morts et que mourants Avec de longs sanglots sous mes mains expirants ! Ce jour encor, malgré le remords qui me ronge... Ah ! Plutôt dans mon coeur que le couteau se plonge. Cessons de respecter l'ouvrage des humains ; Dans un temple de paix eux seuls arment mes mains. Suivons le désespoir où ma vertu me livre. Où l'innocent périt, c'est un crime de vivre."")","('#ismenie', ""Ce n'était qu'un vaurien."")",1.45,Substitution
125,"('#ismenie', ""Ah ! Pour vous arracher d'un rigoureux séjour, Le sort vous réduit-il à renoncer au jour ? Quoi donc ! Oubliez-vous qu'Electre encor vous reste, Et peut vous tenir lieu de votre cher Oreste ? Osez-vous, dans vos fers, au trépas recourir Au mépris d'une soeur qui peut vous secourir ? Elle-même, grands Dieux ! Mortellement atteinte, Parmi l'affreux débris de sa famille éteinte, Au milieu des ruisseaux du sang dont elle sort, Rampe et succombe en proie aux horreurs de son sort. Ah ! Pour elle du moins, supportez la lumière ; Vivez, et rappelez votre force première, Avec l'espoir certain de fuir votre oppresseur, Et d'adoucir surtout les maux de votre soeur."")","('#iphigenie', ""Il serait devenu peut-être homme de bien. Halas ! En ce moment que mon malheur te touche ; Mais, as-tu remarqué ce grec dur et farouche ? Pour cet infortuné qui brave le trépas, J'éprouve un sentiment que je ne connais pas : Quoiqu'il ait l'air d'un fou, cet homme sait me plaire."")",0.61,Substitution
126,"('#iphigenie', 'Hélas ! ')","('#ismenie', 'Il me paraît avoir un joli caractère.')",1.32,Substitution
127,,"('#iphigenie', ""Sauvons celui que j'aime."")",1.0,Deletion
128,"('#ismenie', ""Dans cet espoir le ciel vous autorise, Moins rigoureux enfin, le sort vous favorise, Et livre à vos projets un citoyen d'Argos. Osez rompre par lui la chaîne de vos maux : De ces sauvages mers ouvrez-lui le passage ; Qu'il retourne à Mycène, et qu'un heureux message Instruise votre soeur du secret de vos jours, Qui sans doute des siens vont ranimer le cours. Eh quoi, vous balancez ?"")","('#ismenie', 'On peut le hasarder.')",1.31,Substitution
129,,"('#iphigenie', ""Mais enfin l'autre eSt homme."")",1.0,Deletion
130,"('#iphigenie', ""Eh bien ! Je m'abandonne Au dangereux conseil que ta pitié me donne.... Au moins d'un malheureux j'adoucirai le sort. Mais, captive en ces lieux ; par quel secret ressort."")","('#ismenie', 'Il faut donc le garder.')",0.98,Substitution
131,"('#ismenie', 'Approuvez seulement le zèle de mon père, Celui de ses amis.')",,1.0,Insertion
132,"('#iphigenie', ""Je crains que ma misère j Que sa contagion ne s'étende sur eux. Ah ! Si j'allais leur faire un sort plus rigoureux !"")","('#iphigenie', ""Non, qu'ils partent tous deux ; mais il faut du mystère."")",1.55,Substitution
133,"('#ismenie', ""Fuyant l'oeil du tyran, sans titre et sans fortune Qui les rendent suspects à sa crainte importune, Croyez qu'enveloppés dans leur obscurité, Ils vous pourront servir avec impunité,"")","('#ismenie', 'Pour bien mener cela, fiez-vous à mon père. Mon père roturier, sans rang, sans dignité, Les enveloppera dans son obscurité.')",0.48,Substitution
134,"('#iphigenie', 'Tu crois....')",,1.0,Insertion
135,"('#ismenie', ""De l'un des Grecs cher à votre espérance Vous allez voir bientôt les jours en assurance. Je cours..."")",,1.0,Insertion
136,"('#iphigenie', ""Arrête. Écoute, et que ton amitié Se prête encore aux soins d'une juste pitié.  Ces deux infortunés, qu'un même sort rassemble, Pourquoi les séparer ; délivrons-les ensemble. Un sentiment secret me rend plus cher l'un d'eux, Mais l'autre également est homme, et malheureux."")","('#iphigenie', ""Ton père est ennuyeux, je crains qu'il ne paraisse."")",1.7,Substitution
137,"('#ismenie', ""Mon coeur vous prévenait, le même soin l'anime."")",,1.0,Insertion
138,"('#iphigenie', ""L'effroi vient me saisir sur le bord de l'abîme... Des vengeances du ciel si j'offensais les droits ! Si j'étais malheureuse et coupable à la fois ! Va, ne m'écoute plus, et cours trouver ton père ; Je vois qu'il n'est plus temps que mon coeur délibère. Mais qu'il ne tente rien qu'à l'abri du danger. C'est redoubler mes maux que de les partager."")","('#ismenie', ""On ne le verra pas ; j'en parlerai sans_cesse, Et cependant jamais on ne saura son nom,"")",1.33,Substitution
139,"('#iphigenie', ""Toi, cours trouver Thoas. Qu'une innocente feinte L'éloigne de ces lieux, et commande à sa crainte ; Qu'elle force son zèle à différer la mort De ces infortunés, dignes d'un meilleur sort ; Flatte l'illusion qui les lui peint coupables ; Prête-leur des forfaits dont ils sont incapables ! Dis que Diane, avant de les sacrifier, Vient de nous ordonner de les purifier... Je sens avec effroi, dans le rang où nous sommes, Combien il est affreux d'en imposer aux hommes ; Mais le motif m'excuse en cette extrémité : Qui sert les malheureux, sert la divinité."")","('#iphigenie', ""Va donc trouver Thoas et dis- lui pour raison Que ces deux étrangers ont l'âme trop profane Pour avoir l'honneur d'être immolés à Diane Et que je juge avant de les sacrifier, Qu'il faut avoir grand foin de les purifier."")",0.0,Match
140,,"('#eumene', ""C'est une menterie."")",1.0,Deletion
141,"('#oreste', ""Enfin nous voilà seuls, et libres de contrainte, Je peux et respirer, et te parler sans crainte, Avant qu'un même sort, trop longtemps attendu Fasse couler mon sang dans le tien confondu. Un soin nouveau se mêle au trouble qui me presse. Ô mon ami, dis-moi quelle est cette prêtresse, Dont le sensible coeur, digne de sa beauté, Sait dans les malheureux chérir l'humanité ? Quel intérêt secret, que je ne peux comprendre, Au sort d'Agamemuon ici peut-elle prendre ? D'où vient qu'à son aspect s'éclaircissait la nuit, Qu'autour de moi répand le malheur qui me suit ? Par quel charme inconnu la terreur qui me glace, À d'autres soins plus chers dans mon sein faissit place ? Quels sont les sentiments dont j'éprouvais l'attrait ? Enfin, de mes remords qui peut m'avoir distrait ?"")","('#iphigenie', ""Oui ; mais c'est une adresse Un privilège acquis qu'approuve la sagesse, Et ce motif m'excuse en cette extrémité : Qui sert les malheureux sert la Divinité."")",0.21,Substitution
142,"('#pylade', ""En cet instant fatal, que ton honneur réclame ; Quel méprisable soin vient agiter ton âme ? De quoi va s'occuper ton esprit égaré ; Tandis que sur l'autel le glaive est préparé ? Où t'emportent les pleurs d'une femme étrangère, Qu'aura versés sur nous sa pitié passagère ? Déjà trop ébranlé par tes premiers tourments, Veux-tu perdre l'honneur de tes derniers moments ? Remplis plutôt ton coeur du soin de ta mémoire ; Meurs sans honte, du moins, s'il faut mourir sans gloire. Maître de tes transports, impose à tes bourreaux ; Et ne leur laisse voir, de toi, que le Héros. Un grand coeur ne connaît de tourment que la honte ; Il cède à sa rigueur. Le reste, il le surmonte."")","('#pilade', ""Suivant de ces climats les funestes maximes, Vous aviez commandé qu'on parât les victimes, Et nous reparaissons ainsi que nous étions, Libres de nous sauver, si nous le souhaitions."")",0.51,Substitution
143,"('#iphigenie', ""Je vois vos fronts troublés. Mon douloureux aspect,  Ô dignes étrangers, vous serait-il suspect ? Ah ! Jugez mieux d'un coeur qui prend votre défense  Il ne mérite pas que le vôtre l'offense... Changeant mon ministère en un plus cher emploi,  Je viens vous affranchir des rigueurs de la loi ; Te l'espère du moins. L'humanité plus forte, Après de longs combats, sur mon devoir l'emporte ;  Je sens même les dieux dans mon coeur s'opposer  Au mystère sanglant qu'ils semblent m'imposer ;  Et suspendant pour vous leurs volontés suprêmes,  À votre aspect touchant, m'en faire un crime eux-mêmes. J'ose vous l'avouer, un soin cher et pressant  Se joint à la pitié que mon âme ressent. Ce ciel m'est étranger. Ma patrie est la Grèce, Je veux écrire à ceux que mon sort intéresse ; Je veux fixer par vous leurs esprits incertains,  Et leur communiquer mes étonnants destin."")","('#iphigenie', ""Venez à cet autel de meurtre et de vengeance, Venez-y concevoir un rayon d'espérance. Mes bienfaisantes mains épargnant votre sang Ne vous plongeront pas un coUteau dans le flanc. Vous irez tous les deux revoir votre Patrie."")",0.16,Substitution
144,"('#ismenie', 'Madame... Apercevant les étrangers, elle lui fait signe de les faire retirer.')","('#pilade', 'Madame, en vérité, vous êtes bien polie.')",1.88,Substitution
145,"('#iphigenie', ""Éloignez-vous ! Ciel ! Que viens-tu m'apprendre ? Oreste et Pylade se retirent au fond du théâtre."")","('#ismenie', 'Madame, je voudrais vous parler en secret. Éloignez-vous.')",0.97,Substitution
146,"('#ismenie', ""Qu'à sauver les deux Grecs vous ne pouvez prétendre, Alors qu'un seul suffit au succès de vos voeux. Tous nos amis, tremblants pour vous comme pour eux, Disent que c'est se rendre inutile victime, Et c'est peut-être en vain commettre un double crime. Ils ajoutent encor que Thoas veut du sang, Dût-il l'aller chercher jusque dans votre flanc ; Qu'il faut, ainsi qu'aux Dieux qui peut-être l'exigent, Céder une victime aux terreurs qui l'affligent ; Qu'avec plus de succès vous pourrez imposer À son zèle sanglant, qu'il vous faut abuser, Et que son coeur enfin, s'il voit un sacrifice, Alors de vos discours verra moins l'artifice. D'un invincible effroi tous en un mot surpris, Ne veulent seconder mon père qu'à ce prix ; Aux prières en vain son zèle a joint les larmes... Madame, il a fallu céder à leurs alarmes."")","('#ismenie', ""Je viens vous dire avec regret Qu'à les sauver tous deux il ne faut pas prétendre. Thoas aime le sang, il veut en voir répandre ; Il faut que de ces Grecs l'un périsse en effet ; Mais si vous m'en croyez, délivrez le mieux fait."")",0.0,Match
147,"('#iphigenie', 'Quelles extrémités !...')",,1.0,Insertion
148,"('#ismenie', 'Ils vous ôtent le choix. La nécessité parle, il faut suivre sa voix.')",,1.0,Insertion
149,"('#iphigenie', ""Je suis, puisqu'il le faut, l'exemple de ton père ; Je cède à son danger, aux Dieux, à ma misère."")","('#iphigenie', ""Rapprochez- vous. Les Di[e]ux ont fait tourner la chance, Ils se font irrités de ma condescendance. Un de vous deux mourra, le choix m'en est remis, Et pour être sauvé, c'est vous que j'ai choisi. À Oreste."")",0.64,Substitution
150,"('#ismenie', 'Je cours le retrouver. Hâtez-vous.')",,1.0,Insertion
151,"('#iphigenie', ""Sor[t] cruel, Quelles sont tes rigueurs ! Ah ! D'où vient que le ciel ôte presque toujours aux coeurs qu'il a fait naître Humains et bienfaisants, l'heureux pouvoir de l'être ? Approchez... (Je frémis )... Par mon trouble apprenez L'excès de vos malheurs, et me les pardonnez. De mes faibles efforts oubliant l'impuissance, N'ayant le coeur rempli que de votre innocence, J'ai cru que je pouvais, douce et cruelle erreur ; De vos destins communs diminuer l'horreur ; Je vous en ai flattés ; je m'en flattais moi-même. Trop aisément le coeur se livre à ce qu'il aime. Ma pitié m'aveuglait : ses efforts hasardeux Ne peuvent tout au plus sauver qu'un de vous deux. Et telle est la rigueur de mon sort et du vôtre Qu'il faut que l'un, hélas ! meure pour sauver l'autre. Vous partagez mon coeur, et vous le déchirez... Mais puisqu'il faut choisir... c'est vous qui partirez. Mes ordres sont donnés. Le danger, le temps presse ! Je cours en profiter pour vous, pour ma tendresse ; Et je reviens. À Oreste et à Pilade, à part. À Oreste."")","('#pilade', 'Miséricorde ! Ô meurtre !')",0.91,Substitution
152,"('#oreste', 'Où suis-je !... Et je la laisse aller !... Mais quelle voix pour moi, grands Dieux ! Peut lui parler ?')","('#iphigenie', ""Ah ! Je vois votre joie ; Je vous laisse un instant, pour qu'elle se déploie. Ma main avec douceur remplira mon devoir. Vous, vous regagnerez votre pays ce soir, Je vous en suis garant ; mais daignez me permettre D'aller écrire avant un petit mot de lettre. Vous serez bien exact à la remettre au moins. Ensuite, mon enfant, Vous aurez tous mes soins. À Oreste. À Pilade. Elle sort."")",0.47,Substitution
153,"('#pylade', ""Le voilà donc rempli, ce voeu si légitime ! De l'amitié je meurs honorable victime. Ô mon unique ami, souscris à mon bonheur ; Souscris au choix des dieux, si cher à mon honneur. Laisse-moi mourir seul, et d'un ami fidèle, Donner à l'univers l'exemple et le modèle ; Qu'avec étonnement il apprenne d'un Roi Jusqu'où de l'amitié s'étend l'auguste loi. Tu ne peux mieux payer les soins de ma tendresse ; Qu'en remplissant mes voeux, et ceux de la princesse..."")","('#pilade', 'AInsi, nous voilà donc aux petits soins ensemble.')",1.33,Substitution
154,"('#oreste', ""Ô fureur ! M'aimes-tu ?"")","('#oreste', ""M'aimes-tu ?"")",0.0,Match
155,"('#pylade', ""Quel étrange discours, Dont tes sanglots pressés interrompent le cours ? Si je t'aime !"")","('#pilade', ""Quand tu dis que tu m'aimes, je tremble La Prêtresse au contraire, au lieu de menacer En m'annonçant la mort, semble me caresser."")",0.79,Substitution
156,"('#oreste', 'Réponds.')","('#oreste', 'Parle donc, je te trouve un plaisant personnage De prétendre mourir.')",1.18,Substitution
157,,"('#pilade', ""Ce n'est pas mon usage."")",1.0,Deletion
158,"('#pylade', 'Ton air affreux me glace : Parle, que me veux-tu ?')","('#oreste', ""Je t'ai toujours connu pour un ambitieux."")",1.43,Substitution
159,"('#oreste', 'Que tu prennes ma place.')","('#pilade', ""Est-ce ma faute à moi ? Va ne t'en prend qu'aux Dieux. Pourquoi m'envierais-tu ma petite fortune ?"")",0.98,Substitution
160,"('#pylade', 'Moi renoncer au choix...')",,1.0,Insertion
161,"('#oreste', ""Et c'est là me chérir ? Dis-moi qui de nous deux doit en ces lieux périr ? Consulte l'amitié par mes crimes flétrie. Ai-je quitté pour toi le trône et ma patrie ? L'horreur de tes forfaits, ta rage et tes remord», T'ont-ils ici conduit à travers mille morts ? Parricide vengeur du meurtre de ton père, Ton bras dégoutte-t-il du meurtre de ta mère ? Vois-tu des traits de sang, et des spectres dans l'air, Au jour que font éclore et la foudre et l'éclair ? Vois-tu fuir devant toi la terre épouvantée, Marcher à tes côtés ta mère ensanglantée? Vois-tu d'affreux serpents de son front s'élancer, Et de leurs longs replis te ceindre et te presser ?... Le seul trépas est-il ta dernière ressource ? Lui seul de tant d'horreurs peut-il combler la source ? Tu m'aimes ! Et tu veux qu'en cet horrible état, Qu'écrasé sous le poids de mon noir attentat, Fuyant le coup fatal que ma fureur implore, Je recherche le jour que je souille et j'abhorre, Proscrit, désespéré, sans asile, sans dieux, Misérable partout, et partout odieux. Tu m'aimes ! et tu veux, ô comble de l'outrage ! Tu veux dans ton ardeur, ou plutôt dans ta rage, Que je souille encor du plus noir des forfaits, Pour racheter mes maux, et payer tes bienfaits ! Tu veux que redoublant l'excès de mes alarmes, Afin de t épargner quelques frivoles larmes, Déjà de la nature exécrable bourreau, Au sein de l'amitié je plonge le couteau ! Ah, barbare ! Peux-tu jusque-là méconnaître L'âme de ton ami, le sang qui l'a fait naître ? Avec quels traits affreux dans ton coeur me peins-tu ? Pour être criminel, me crois-tu sans vertu?"")","('#oreste', ""La vie est un fardeau dont le poids m'importune Je demande la mort, c'est à moi qu'on la doit, Et tu veux aujourd'hui me faire un passe-droit."")",0.63,Substitution
162,"('#pylade', ""Ou t'égare l'horreur du trouble qui t'opprime? Quel noir transport le fait de mon trépas un crime ? Pour racheter ta vie, as-tu vendu mon sang ? Dois-tu le glaive en main, me déchirer le flanc ? Ton coeur, ton faible coeur étonné du supplice,  Du choix de la prêtresse a-t-il été complice ?"")","('#pilade', ""À l'honneur qu'on me sait, ami, je suis sensible ; Mais je t'aime et voudrais, s'il était bien possible, Tout à l'heure te voir à l'autel attaché. Va, je te céderais ma place à bon marché."")",0.43,Substitution
163,"('#oreste', ""En suis-je moins, cruel, l'instrument de ta mort ! Qui t'a conduit ici ?"")","('#oreste', ""Tu m'aimes ! ah, j'en prends tous les Dieux pour arbitres. Tu veux être immolé, parle quels sont tes titres ? As-tu dix fois par jour le transport au cerveau ? Tout l'univers pour toi devient-il un tombeau ? Des Spectres viennent-ils te tenir compagnie ? As-tu jamais rossé personne dans ta vie Es-tu né comme Oreste, insensé, forcené Et vois-tu sur tes pas tout l'Enfer déchaîné ?"")",0.04,Substitution
164,,"('#pilade', 'On ne peut pas avoir tous les biens en ce monde.')",1.0,Deletion
165,"('#pylade', 'La rigueur de ton sort.')","('#oreste', 'Eh, dis-moi donc sur quoi ta vanité se sonde ?')",1.52,Substitution
166,"('#oreste', 'Eh bien !...')",,1.0,Insertion
