,regnard-coquette,regnard-filles-errantes,Cost,Operation Type
110,"('#colombine', ""Je gagerais, à votre air, que vous opinez l'épée à la main ?  Et je vous prendrais quelquefois pour un colonel de robe. "")","('#le-valet', ""Parbleu !  Monsieur, je ne puis plus aller ; j'ai les fesses tout écorchées.  La peste soit du voyage !  On vous envoie solliciter un procès, et vous allez voir l'armée. Ghérardi jouait ce rôle à visage découvert."")",1.12,Substitution
111,"('#nigaudin', ""Vous trouvez donc mon habit joli ?  C'est un petit déshabillé de chasse que je me suis fait faire pour la cour.  N'est-il pas vrai que l'épée me sied bien ? "")","('#monsieur-croquignolet', ""C'est que j'ai le coeur martial."")",1.37,Substitution
112,,"('#le-valet', ""Je crois que monsieur Croquignolet votre père et madame Croquignolet votre mère vont être bien surpris, quand ils verront arriver dans leur boutique monsieur Mathurin Blaise Croquignolet, leur fils l'avocat, qui vient de Flandre."")",1.0,Deletion
113,"('#colombine', 'À charmer. ')","('#monsieur-croquignolet', 'Oh !  Je le crois.')",1.57,Substitution
114,"('#nigaudin', ""Je sens quelquefois des convulsions de bravoure que je ne saurais retenir. J'étais né pour la guerre : mais mon père, voyant que j'avais trop d'esprit pour ce métier-là, me mit dans notre présidial de Beauvais, et m'acheta une charge d'assesseur.  Il tousse. "")",,1.0,Insertion
115,"('#colombine', ""Ah, monsieur l'assesseur !  Si vous débrouillez aussi bien un procès que vous savez vous faire jour dans un coeur, que vous êtes un juge éclairé !"")","('#le-valet', 'Tous les badauds du quartier vont venir fondre dans votre boutique, pour savoir de vous des nouvelles du combat.')",1.37,Substitution
116,"('#nigaudin', ""Tout franc, mademoiselle, je ne me plains pas de mes lumières, et je vous avoue que j'ai une pénétration d'esprit qui me surprend quelquefois.  Je jugeai dernièrement un gros procès à l'audience, dont je n'avais pas entendu un mot. "")","('#monsieur-croquignolet', ""Cela est assez drôle, da !  À un jeune praticien comme moi d'avoir déjà vu une bataille contradictoire, et d'en être revenu sain et entier."")",1.12,Substitution
117,"('#colombine', 'Pas un mot !  Et comment avez-vous pu rendre la justice ? ')",,1.0,Insertion
118,"('#nigaudin', ""Bon !  Dans tous les procès, il n'y a qu'une routine.  L'une des parties m'avait envoyé un carrosse de cent pistoles, et l'autre deux chevaux gris de six cents écus ; vous jugez bien qui avait le bon droit ? "")","('#le-valet', ""Oh !  Parbleu, monsieur, vous pouvez aller à toutes les occasions du monde comme à celle-là, je vous suis garant que vous n'y serez jamais blessé."")",1.49,Substitution
119,,"('#monsieur-croquignolet', 'Il y faisait pourtant chaud.')",1.0,Deletion
120,"('#colombine', 'Oh !  Je sais que deux chevaux gris mènent un procès bien rondement. ')",,1.0,Insertion
121,"('#nigaudin', 'Ma foi, vous avez raison ; les chevaux entraînèrent le carrosse.')","('#le-valet', 'Cela est vrai ; mais vous preniez le frais sur le mont Pagnotte, à trois bonnes portées du canon.')",1.55,Substitution
122,"('#le-capitaine', 'Parbleu !  Mon ami, je crois que tu ne me connais pas. ')","('#monsieur-croquignolet', ""Je n'y allais pas pour m'y faire tuer.  Quelque niais !...  Cela n'aurait pas été honnête à moi d'y mourir, et j'aurais enragé le reste de ma vie si j'étais mort là comme un sot."")",1.59,Substitution
123,"('#colombine', 'Ah, monsieur !  Vous êtes perdu si cet homme-là vous trouve ici. ')","('#le-valet', ""Oh !  Vous avez raison.  Mais, monsieur, gagnons pays, s'il vous plaît ; allons vite chez votre père, visiter son vin de Bourgogne ; car je sens que j'ai besoin de forces."")",1.57,Substitution
124,,"('#monsieur-croquignolet', ""Oh !  Je n'ai garde de descendre chez mon père."")",1.0,Deletion
125,"('#nigaudin', 'Comment donc ? ')","('#le-valet', ""Et d'où vient ?"")",0.42,Substitution
126,"('#colombine', ""C'est un officier qui est jaloux à la fureur ; il a déjà tué cinq ou six hommes pour n'avoir fait que me regarder. "")","('#monsieur-croquignolet', ""On m'a mandé à l'armée que ma grande soeur Toinon avait la petite vérole, et je ne serais pas bien aise d'en être marqué."")",1.73,Substitution
127,"('#nigaudin', 'Cinq ou six hommes !  Voilà qui est bien brutal.  Holà !  Hé, laquais. Il se déshabille, et met son rabat. ')","('#le-valet', ""C'est, morbleu, bien fait de conserver votre teint ; et il serait fâcheux qu'un jeune homme que le canon a respecté fût exposé au caprice d'une maladie aussi insolente.  Entrons donc dans la première hôtellerie.  Je crois que voilà notre affaire... Holà ! Il frappe à la porte d'Arlequin."")",1.09,Substitution
128,"('#colombine', 'Hé, que faites-vous, monsieur ?  À quoi vous amusez-vous là ? ')","('#isabelle', 'Bonjour, messieurs : que vous plaît-il ?')",0.65,Substitution
129,"('#nigaudin', ""Je sais bien ce que je fais.  Il faudra qu'il soit bien lâche, s'il me bat sans épée.  Pour plus grande sûreté, vite, qu'on me donne ma robe. "")",,1.0,Insertion
130,"('#colombine', 'Votre robe !  Et où est-elle ? ')","('#le-valet', ""Allons, ma fille, une chambre, du feu et grand'chère.  Je m'arrête volontiers où il y a bon vin et jolie servante."")",1.28,Substitution
131,"('#nigaudin', 'Je ne vais jamais sans cela : on ne sait pas ce qui peut arriver. ')",,1.0,Insertion
132,"('#colombine', ""Ah, monsieur !  Ne vous y fiez pas ; vous auriez toutes les robes du Palais sur le corps, qu'il... "")","('#isabelle', ""Messieurs, vous allez avoir tout ce qu'il vous faut : on ne manque de rien chez nous."")",1.4,Substitution
133,"('#le-capitaine', 'Par la mort !  Par la tête !  Si tu ne me laisses entrer, je mettrai le feu à la maison. ')","('#monsieur-croquignolet', 'Allons, ma fille, viens me débotter. Il présente son pied botté à Isabelle.')",1.98,Substitution
134,"('#colombine', 'Que je suis malheureuse !  Le voilà qui entre. Tenez, cachez-vous vite sous cette table-là, et ne remuez pas. ')","('#isabelle', ""Vous débotter !  Pardi, monsieur, cherchez vos débotteuses ; ce n'est pas là mon affaire."")",0.67,Substitution
135,,"('#monsieur-croquignolet', ""Est-ce que tu n'es pas aussi le valet d'écurie ?"")",1.0,Deletion
136,"('#nigaudin', 'Ah !  Ma maudite toux me va trahir. ')",,1.0,Insertion
137,"('#le-capitaine', ""Comment !  Mordi, mademoiselle : il est plus difficile d'entrer chez vous que de prendre trois demi-lunes l'épée à la main.  Si vous ne changez de portier, ma foi, il faudra rompre tout commerce avec vous.  Malepeste !  Une cravate de Malines qui n'est plus propre qu'à faire de la charpie !  Voilà qui est fait, je ne rends plus de visites qu'à des portes bâtardes. "")","('#le-valet', ""Monsieur, voilà une dondon qui me paraît assez résolue ; mais il me semble qu'elle vous saboule un peu."")",1.34,Substitution
138,"('#colombine', ""Monsieur, je suis bien fâchée de l'accident de votre cravate : mais... "")","('#monsieur-croquignolet', 'La friponne est, ma foi, jolie.  Viens çà, ma fille ; es-tu mariée ?')",1.64,Substitution
139,"('#le-capitaine', ""Mais, mademoiselle, on est bien aise de conserver le peu qu'on a de linge.  Je suis revenu trente fois de l'assaut en meilleur équipage.  Il est vrai qu'une jolie personne comme vous est un redoutable ouvrage à cornes. Hem, plaît-il ?  Il râpe du tabac ; Nigaudin tousse. "")","('#isabelle', ""Non, monsieur, Dieu merci ; à moi n'appartient pas tant d'honneur : l'année n'est pas bonne pour les filles ; tous les garçons sont à la guerre."")",1.06,Substitution
140,"('#colombine', ""Ce n'est rien, monsieur...  Que voilà un habit bien entendu !"")","('#le-valet', ""En voilà pourtant encore un qui n'y est pas.  Si cette friponne-là voulait, nous aurions bientôt conclu l'affaire."")",1.59,Substitution
141,"('#le-capitaine', ""Je ne suis pas mal fait, oui ; je dois ma taille à une douzaine de bouteilles de vin que je bois réglément par jour : un grand ventre sied bien à la tête d'un bataillon. Ouais !  Qu'est-ce donc que j'entends ?  Nigaudin tousse. "")","('#monsieur-croquignolet', ""Je sens quelque chose...  là, qui me chatouille...  Hé !...  Tu m'entends bien ? Voilà un vrai niquedouille. Isabelle hausse les épaules."")",1.33,Substitution
142,,"('#le-valet', ""C'est un Nicodème qui n'a pas le sens commun."")",1.0,Deletion
143,"('#colombine', ""Ce n'est rien, vous dis-je.  Voilà vos inquiétudes qui vous prennent ; vous voudriez déjà être hors d'ici, et vous ne songez pas qu'il y a un siècle qu'on ne vous a vu. "")",,1.0,Insertion
144,"('#le-capitaine', ""J'y viendrais plus souvent : mais tout le genre humain y aborde.  Voyez-vous, mademoiselle, je suis le gentilhomme de France du meilleur commerce ; mais, ventrebleu !  Je ne m'accommode point de vos neutralités. "")","('#monsieur-croquignolet', ""Si tu voulais un peu, pour me délasser de mes exploits guerriers...  J'ai de l'argent, oui."")",1.55,Substitution
145,"('#colombine', ""Mon_Dieu !  Monsieur, je ménage tout le monde pour des raisons particulières ; mais je sais donner la préférence à qui le mérite.  Je me distingue en voyant des gens de cour ; les officiers me font plaisir ; je trouve des ressources avec les financiers : et pour peu qu'on aime les bagatelles, c'est le moins qu'on puisse avoir que deux ou trois petits abbés dans une maison. "")","('#isabelle', ""Bon !  Me voilà bien chanceuse avec votre argent !  Ce n'a jamais été ça qui m'a tentée : j'aime mieux un homme qui me plaît que tous les trésors du inonde ; et, si vous voulez que je vous parle franchement, j'aimerais mieux votre valet que vous."")",0.42,Substitution
146,"('#le-capitaine', ""Pour les abbés, passe : on sait bien que cette graine-là est nécessaire aux femmes : mais j'enrage de voir à vos trousses un tas de gens de robe, qui sont pour la plupart des croquants, à qui l'esprit n'a été donné que comme le sel aux jambons pour les conserver. "")",,1.0,Insertion
147,"('#colombine', ""Bon ! L'été les femmes les souffrent faute d'officiers : mais ce sont des oiseaux de semestre qui disparaissent avec les hirondelles.  Et puis les affaires viennent sans qu'on y pense ; on a tous les jours, malgré soi, des procès ; et vous savez qu'auprès d'un juge sensible, l'enjouement d'une jolie femme est toujours la meilleure pièce d'un sac. "")",,1.0,Insertion
148,"('#le-capitaine', ""Vous voyez entre autres un certain... Trigaudin... Nigaudin ; un petit friquet de chicane.  Par la ventrebleu !  Si jamais je l'y rencontre ; je n'aime pas le bruit, mais assurément je lui couperai les oreilles. Nigaudin tousse, et Colombine tousse aussi, de peur que le Capitaine ne l'entende. "")",,1.0,Insertion
149,"('#colombine', ""Hé !  Fi, monsieur, ne m'en parlez point ; je ne le saurais souffrir : c'est une éponge à sottises. Elle tousse. "")","('#le-valet', ""La coquine est, ma foi, de bon goût.  Allons, monsieur, retirez-vous ; ce n'est pas là de la viande pour vos oiseaux."")",1.04,Substitution
150,"('#le-capitaine', ""Qu'avez-vous donc, mademoiselle ?  Vous me paraissez bien enrhumée. "")","('#monsieur-croquignolet', ""Sais-tu bien, petite scélérate, que je viens de l'armée ?"")",1.34,Substitution
151,"('#colombine', ""Ce n'est rien, monsieur ; on ne peut pas toujours se porter si bien que vous.  Mon_Dieu !  Que vous avez bon visage ! "")","('#isabelle', ""Vous, de l'armée !  Vous voilà plaisamment fagoté, avec votre habit noir !  C'était donc vous qui portiez les billets d'enterrement des Hollandais qu'on y a tués ?"")",1.74,Substitution
152,"('#le-capitaine', ""Je le crois, ma foi, qu'il est hon ; il y a plus de trente ans que je m'en sers jour et nuit ; je ne suis pas comme ces femmes qui le mettent le soir sur leur toilette."")","('#monsieur-croquignolet', ""Comment, morbleu !  Si quelqu'un en doutait, je lui ferais bien voir ce que c'est que Mathurin Croquignolet, volontaire en pied, suivant l'armée."")",1.46,Substitution
153,"('#le-sergent', 'Mon capitaine, ne voulez-vous pas arrêter les parties de ce marchand a fourni les justaucorps de la compagnie ? ')","('#le-valet', 'Et avocat en parlement.')",1.65,Substitution
154,"('#colombine', ""C'est-à-dire, monsieur le capitaine, que vous ne manquez pas de moyens pour trouver de l'argent. "")","('#isabelle', ""Oli !  Vous êtes un valeureux personnage !  Je crois qu'il ne faudrait encore qu'un Mathurin Croquignolet pour faire fuir tous les poulets de notre basse-cour."")",1.59,Substitution
155,"('#le-capitaine', ""Je veux être un infâme, si j'ai le premier sou pour faire ma compagnie : ce qui me console, c'est que je dois beaucoup.  Allons, tirez.  Allons, tirez.  Pour une demoiselle, il me semble que vous avez là un vilain mâtin sous votre table.  Il écrit, et sent quelque chose sous la table. "")","('#monsieur-croquignolet', ""Cette friponne-là n'est pas prévenue de mon mérite...  Je suis pourtant un drôle avec les filles... Il veut badiner."")",0.89,Substitution
156,"('#colombine', 'Vous rêvez, je crois, avec vos mâtins. ')",,1.0,Insertion
157,"('#le-capitaine', ""Brin-d'amour ?"")",,1.0,Insertion
158,"('#le-sergent', 'Mon capitaine. ')",,1.0,Insertion
159,"('#le-capitaine', 'Chassez-moi ce chien de dessous cette table. ')",,1.0,Insertion
160,"('#le-sergent', 'Allons, tirez ; à la paille.  Nigaudin sort.')",,1.0,Insertion
161,"('#le-capitaine', ""Oh, oh !  Mon petit ami, et que faites-vous donc ici, s'il vous plaît ? "")","('#isabelle', ""Je vous prie, Monsieur, encore une fois, de vous tenir en repos ; je n'aime pas à être tarabustée.  Si vous voulez entrer chez nous, voilà la porte ouverte ; sinon, je suis votre très humble servante. Elle veut rentrer dans l'auberge."")",0.79,Substitution
162,,"('#monsieur-croquignolet', 'Je ne saurais la quitter.  Le joli bouchon !')",1.0,Deletion
163,"('#nigaudin', 'La Violette, laquais, prenez ma robe. ')","('#cinthio', ""En vertu de quoi, monsieur, s'il vous plaît, prenez-vous des familiarités avec cette fille-là ?"")",0.96,Substitution
164,"('#le-capitaine', 'Mon petit ami, si vous ne dénichez au plus vite, je vous ferai amoureusement descendre par la fenêtre. ')","('#monsieur-croquignolet', ""En vertu de quoi ?...  En vertu que c'est mon plaisir."")",0.88,Substitution
165,"('#colombine', ""Monsieur le capitaine, vous êtes un extravagant de vous emporter sans raison.  N'ai-je pas fait mon devoir de faire cacher monsieur pour vous épargner du chagrin ?  Tant pis pour vous, si vous allez chercher où vous n'avez que faire. Et vous, monsieur, de quoi vous avisez-vous de faire du bruit mal à propos ?  Il n'y a qu'un homme de robe et officier d'un présidial capable de tousser quand on le cache sous une table.  Puisque vous avez fait la sottise, démêlez la fusée comme il vous plaira.  À Nigaudin.  Elle sort. "")","('#cinthio', ""C'est votre plaisir !  Croyez-moi, mon petit visage botté, ne m'échauffez pas les oreilles ; car je pourrais prendre le mien à telle chose qui vous déplairait fort."")",0.29,Substitution
166,"('#nigaudin', ""Adieu, monsieur ; nous ne serons pas toujours seul à seul ; et s'il vous tombe jamais quelque décret sur le corps, je vous apprendrai ce que c'est que de scandaliser un juge chez des femmes."")",,1.0,Insertion
167,"('#le-capitaine', 'Va, va, petit regrattier de la justice, je me moque de toi et de tes décrets ; je suis en garnison dans une bonne citadelle. ')",,1.0,Insertion
168,"('#nigaudin', ""On ne traite pas comme cela un conseiller assesseur, et je m'en plaindrai à votre citadelle.  Ils sortent l'un d'un côté et l'autre de l'autre. "")","('#monsieur-croquignolet', 'Monsieur, on ne traite pas comme cela un gentilhomme parisien, qui revient de Flandre.')",1.23,Substitution
169,,"('#cinthio', 'Vous, de Flandre ?')",1.0,Deletion
170,"('#pierrot', ""Monsieur, je viens de chez votre notaire ; il vous prie bien fort de l'excuser ; il ne saurait venir aujourd'hui. "")","('#le-valet', ""Je veux que le diable m'emporte si nous n'en venons, et du camp de Fleurus."")",1.73,Substitution
171,"('#trafiquet', ""Il faut prendre patience, pourvu qu'il vienne demain. "")","('#cinthio', 'Cet homme-là ? Il lui montre Croquignolet.')",1.63,Substitution
172,"('#pierrot', ""Ni demain non plus : il lui est survenu une petite affaire ; je ne crois pas qu'il puisse venir si tôt. "")","('#monsieur-croquignolet', ""Eh !  Non, nous n'y étions pas, quand notre général fit signifier un avenir aux ennemis !  Ils ne comparurent pas le dernier juillet, à une heure de relevée, pour plaider sur le champ de bataille !  Eh !  Non, non, nous n'y étions pas !"")",1.09,Substitution
173,,"('#cinthio', 'Oh, oh !  Voilà un style de guerre tout nouveau.')",1.0,Deletion
174,"('#trafiquet', 'Et quelle est donc cette affaire ? ')",,1.0,Insertion
175,"('#pierrot', ""C'est, monsieur, qu'il est mort. "")",,1.0,Insertion
176,"('#trafiquet', ""Il est mort !  Tu as raison ; je ne crois pas qu'il revienne de longtemps. C'est bien dommage ; c'était le seul honnête homme de notaire que j'aie encore trouvé.  Hé !  Dis-moi, as-tu des nouvelles de notre homme ? "")","('#monsieur-croquignolet', ""La cause fut appelée, qui dura plus de huit heures ; mais en vertu de bonnes pièces de canon, dont nous étions porteurs, nous fîmes bien vite déguerpir l'ennemi.  Il voulut deux ou trois fois revenir par appel ; mais il fut toujours débouté de son opposition, et condamné en tous les dépens, dommages et intérêts, et aux frais, morbleu !  Aux frais...  Eh !  Y étions-nous ?  Eh !  Non, non, c'est que je me moque !"")",1.05,Substitution
177,"('#pierrot', ""Ho !  Oui, monsieur ; pour celui-là, on m'a dit qu'il était arrivé par le poulailler du Maine, et qu'il demeurait tout rasibus de chez nous. "")","('#cinthio', ""Voilà, je vous l'avoue, un plaisant récit de combat.  Je vois bien, monsieur, que vous avez vu la bataille dans quelque étude de procureur."")",1.25,Substitution
178,"('#trafiquet', ""Le ciel en soit loué !  Je me déferai peut-être à la fin de ma fille, et je ne verrai plus dans ma maison des animaux de toute sorte d'espèces, et particulièrement cette assemblée de femmes, ou plutôt cette académie de folles qui s'y tenait. "")","('#le-valet', ""Je vais vous raconter cela bien mieux que mon maître ; car, entre nous, c'est un dadais.  Premièrement, voilà les ennemis, et nous voilà.  Le combat commença par les tambours ; à l'instant nous fîmes avancer nos vivandiers : les ennemis voyant cela, détachèrent cinq escadrons de leurs meilleurs voiliers.  Oh !  C'était là où nous les attendions ; car aussitôt on lâcha toutes les galères pour enfoncer leur demi-lune...  Après cela, la mousqueterie, pif, paf, Ah !  Je suis mort...  Les brûlots...  les canons...  les trompettes, qui étaient chargées à cartouches ; pan, bedon... don... les...  Je ne saurais vous dire le reste, car la fumée du canon m'empêcha de le voir."")",1.41,Substitution
179,"('#pierrot', ""Tout franc, monsieur, je commençais à être bien las de toutes ces visageresses, et j'étais résolu de prendre mon congé ou de vous donner le vôtre.  Mais, monsieur, je voudrais bien vous lâcher un petit mot, tandis que je sommes sur la chose du mariage. "")","('#cinthio', ""Voilà qui est le plus joli du monde.  Mais je vous prie, monsieur le vivandier, et vous, mon petit clerc de procureur, de passer votre chemin, et de ne pas regarder derrière vous : m'en tendez-vous ?"")",0.72,Substitution
180,"('#trafiquet', 'Parle, Pierrot ; que me veux-tu ? ')",,1.0,Insertion
181,"('#pierrot', 'Monsieur, regardez-moi bien ; tel que vous me voyez, je me vais marier. ')",,1.0,Insertion
182,"('#trafiquet', 'Toi, te marier !  Es-tu fou ? ')",,1.0,Insertion
183,"('#pierrot', ""Ce qui me console ; monsieur, c'est que celle que j'épouse est aussi folle que moi. "")",,1.0,Insertion
184,"('#trafiquet', 'Et qui est donc cette malheureuse-là ? ')",,1.0,Insertion
185,"('#pierrot', ""Oh !  Monsieur, vous la connaissez bien ; c'est... mademoiselle votre fille. "")",,1.0,Insertion
186,"('#trafiquet', 'Ma fille ?  Ma fille Colombine ? ')",,1.0,Insertion
187,"('#pierrot', ""Vraiment, monsieur, cela est tout prêt ; on n'attend plus que votre consentement et le sien. "")",,1.0,Insertion
188,"('#trafiquet', ""Je ne sais, maraud, à quoi il tient que je ne t'assomme de coups. "")",,1.0,Insertion
189,"('#pierrot', ""Mais, monsieur, il ne faut pas se fâcher ; cela n'est pas si inégal.  Je suis un garçon, une fois, et elle est une fille ; et puis, monsieur, je ne sais ce que c'est que de faire le blêche : vous me donnez quinze écus par an ; j'aime mieux n'en gagner que dix et être votre gendre.  Voilà comme je parle, moi. "")","('#monsieur-croquignolet', ""Monsieur, prenez garde à ce que vous faites ; si Vous m'insultez... Il prend son épée et la lève."")",0.74,Substitution
190,"('#trafiquet', 'Et moi, voilà comme je réponds. ')",,1.0,Insertion
191,"('#pierrot', ""Eh !  Fi donc, monsieur ; est-ce comme ça qu'on parle de mariage ?"")","('#cinthio', 'Hé bien ?')",1.21,Substitution
192,,"('#monsieur-croquignolet', 'Vous aurez affaire à mon valet. Il se cache derrière son valet.')",1.0,Deletion
193,"('#pierrot', ""Tenez, voilà votre diable de bailli ; est-ce qu'il est mieux fait que moi ? "")","('#le-valet', 'Oh !  Ma foi, il aura bien affaire à vous ; je ne suis pas obligé de me faire tuer à votre place.')",0.86,Substitution
194,"('#arlequin', ""Je crois, monsieur, que vous avez plus d'impatience de me faire votre gendre, que je n'en ai de vous voir mon beau-père.  Vous avez une fille : ergo vous êtes pourvu d'une drogue dont vous voudriez être défait ; car une fille, c'est une fleur qui se fane, si elle n'est cueillie dans sa saison ; c'est un quartaut de vin de Champagne qui jaunit, s'il n'est bu dans sa primeur. "")","('#cinthio', ""Allez, mon petit ami, je ne daigne seulement pas vous répondre ; mais si vous jetez seulement les yeux sur cette fille-là, je vous ferai mourir sous le bâton. En s'en allant, il donne de ses gants dans le nez de Monsieur Croquignolet."")",0.64,Substitution
195,"('#pierrot', ""Monsieur du quartaut, vous n'en aurez peut-être que la baissière. "")",,1.0,Insertion
196,"('#trafiquet', ""J'espère, monsieur, que vous ne vous repentirez pas de l'affaire que vous faites ; car je puis vous assurer que je vous livre une fille toute neuve, et qui vous fera dans la suite un très bon usé. "")","('#monsieur-croquignolet', ""Il s'en va pourtant...  Hé !  Que dis-tu à cela ?  Je ne lui ai pas mal rivé son clou."")",1.14,Substitution
197,"('#arlequin', ""Ah !  Cette marchandise-là ne dure toujours que trop.  Vous pouvez aussi vous vanter que vous serez le beau-père de France le mieux engendré.  Je n'ai aucune mauvaise qualité ; je hais le vin à la mort ; j'ai une aversion incroyable pour le jeu, et je suis fort aisé à vivre : je ne crois pas avoir assommé plus de vingt paysans ; et si, ce n'était que pour des bagatelles, quelques rentes seigneuriales.  Il tire son mouchoir, et laisse voir dans sa poche un pistolet et une bouteille ; il fait tomber des dés et des cartes. "")",,1.0,Insertion
198,"('#trafiquet', ""Voilà cet homme si doux, qui ne joue et qui ne boit pas ! Vous dites donc, monsieur, que ma fille sera doucement avec vous ; et qu'est-ce que c'est que cela, s'il vous plaît ?  Haut.  Il montre le pistolet."")","('#le-valet', ""Oh !  Fort bien, monsieur.  Voilà ce que c'est que d'avoir été à l'armée."")",1.1,Substitution
199,"('#arlequin', ""Je porte toujours cela sur moi, car je n'aime pas à être contredit. "")","('#isabelle', 'Hé bien, infidèle !  Me connais-tu présentement ?  Suis-je Isabelle que tu as trahie, que tu as obligée de quitter sa patrie pour venir te reprocher ton inconstance, et se déguiser en servante ?')",1.26,Substitution
200,"('#trafiquet', ""Vous m'assurez que sa dot ne court point de risque entre vos mains, et que vous ne jouez point ? Il montre les cartes qui sont à terre."")",,1.0,Insertion
201,"('#arlequin', ""Fi, monsieur !  Il n'y a que des fripons qui s'amusent à ce métier-là.  Je porte quelquefois des cartes et des dés par complaisance ; mais je ne m'en sers qu'en compagnie, et je vous assure que si j'étais seul je ne jouerais jamais. "")","('#cinthio', ""Je vous dis encore une fois que je ne vous connais point.  Isabelle n'est pas capable d'un pareil emportement, ni de se jeter à la tête de tout venant, comme moi-même je vous ai vue faire.  Vous vous moquez de moi."")",1.11,Substitution
202,"('#pierrot', ""Je vous l'ai toujours dit, monsieur ; il n'y a que les mauvaises compagnies qui gâtent la jeunesse. "")",,1.0,Insertion
203,"('#trafiquet', ""Pour du vin, vous n'en buvez pas ? "")",,1.0,Insertion
204,"('#arlequin', 'La crapule me fait horreur.  Est-ce que les honnêtes gens boivent du vin ? ')",,1.0,Insertion
205,"('#trafiquet', ""Je vois pourtant là quelque chose qui a assez la physionomie d'une bouteille. "")",,1.0,Insertion
206,"('#pierrot', 'Bon !  Monsieur, vous avez la berlue. ')",,1.0,Insertion
207,"('#arlequin', ""Oui, parbleu !  Il l'a ; ce n'est que de l'eau-de-vie que je porte à une femme de qualité qui est en couche. "")","('#arlequin', ""Quel diable de bruit fait-on ici ?  On dirait que le diable emporte la maison.  Il me semble, monsieur, que vous pressez de près ma servante.  Croyez-vous donc que l'on soit obligé de vous tenir hôtellerie de filles ?  Ma foi, c'est pour votre nez qu'on vous en garde !"")",1.02,Substitution
208,"('#trafiquet', ""Allons, allons, il faut passer par là-dessus : on ne fera pas un homme exprès pour moi.  Apparemment vous n'épouserez pas ma fille sans la voir ?  Pierrot, dis à Colombine qu'elle vienne saluer monsieur. "")","('#cinthio', ""Oh, oh !  Voilà un hôte bien rébarbatif ; je vois bien que cet homme-ci ne parle d'ordinaire qu'à des chevaux.  Monsieur, c'est un petit différend que j'avais avec Claudine ; je lui demandais quelque ustensile dont j'avais besoin."")",0.9,Substitution
209,"('#pierrot', ""Elle n'est pas ici. "")",,1.0,Insertion
210,"('#trafiquet', ""Elle n'est pas ici ? "")",,1.0,Insertion
211,"('#pierrot', ""Non, monsieur ; j'ai vu un chevalier avec un abbé qui sont venus pour l'emprunter jusqu'à sept heures. "")",,1.0,Insertion
212,"('#arlequin', ""L'emprunter !  Comment donc !  Est-ce là cette fille si neuve ?  Si on me l'emprunte comme cela quand elle sera ma femme, elle ne durera pas si longtemps que je pensais.  Mon garçon, la fille de monsieur se prête donc quelquefois de main en main quand on la demande ? "")","('#arlequin', ""Comment donc !  Monsieur, pour qui prenez-vous ma servante ?  Je vous prie de croire que ce n'est pas un ustensile...  Ouais !"")",0.89,Substitution
213,"('#pierrot', ""Oui, monsieur, tous les jours ; il y a tout plein d'honnête monde qui la vient prendre pour la divertir. "")","('#cinthio', 'Sans tant de bruit, voyons, monsieur, ce que je vous dois.  Quand vous voudrez tenir hôtellerie, faites provision de servantes qui considèrent les gens de qualité.')",0.39,Substitution
214,"('#arlequin', ""Oui, monsieur du beau-père !  En tout cas, si dans six mois ou un an je ne m'accommodais pas de votre fille, en perdant quelque chose dessus, vous la reprendriez. "")",,1.0,Insertion
215,"('#trafiquet', ""Il n'y a rien à perdre sur cette fille-là ; vous en trouverez toujours votre argent. "")",,1.0,Insertion
216,"('#pierrot', ""On ne parle point du loup qu'on n'en voie la queue.  Tenez, la voilà.  Ne vous avais-je pas bien dit qu'elle viendrait souper avec vous ?  Il n'y a point de fille à Paris si bien morigénée ; elle ne couche jamais en ville. "")","('#arlequin', ""Comment donc, coquine !  D'où vient que monsieur se plaint de vous ?  Ne vous ai-je pas dit qu'une servante d'hôtellerie doit être douce et avenante aux étrangers ?"")",0.62,Substitution
217,"('#trafiquet', 'Ma fille, voilà le bailli en question : tu ne voudras peut-être pas lui ouvrir ton coeur en ma présence ?  Monsieur, je ne vous rends pas un méchant office de vous laisser seul avec votre maîtresse.  Il sort avec Pierrot.  Pierrot fait des mines en quittant Colombine. ')","('#cinthio', ""Eh, monsieur !  Elle ne l'est que trop."")",1.4,Substitution
218,"('#arlequin', ""Ne vous étonnez pas, mademoiselle, si vous me voyez reculer trois pas au frontispice de vos charmes : vous avez des yeux capables d'embraser tout le bailliage de mon coeur ; et depuis qu'on porte des bouches, on n'a jamais bouchonné un bouchon si bouchonnable. "")","('#arlequin', ""Comment !  Elle ne l'est que trop !  Ce n'est pas d'aujourd'hui que je m'en doute.  Voyez-vous la carogne, comme elle est brave !  Je ne l'avais prise que pour servir à la cuisine ; mais je vois bien que la friponne ne s'en tient pas là."")",1.14,Substitution
219,"('#colombine', ""Je suis confuse de vos civilités, monsieur ; et il faudrait avoir plus d'esprit que je n'en ai pour répondre à un compliment aussi bien tourné. "")","('#isabelle', ""Si je suis brave, ce n'est pas à vos dépens.  Est-ce que vous voulez que j'aille toute nue ?"")",1.06,Substitution
220,"('#arlequin', ""Il est vrai que pour des compliments, il n'y a personne dans notre province qui ose me prêter le collet.  J'ai harangué une fois notre intendant pendant deux heures, avec tant d'éloquence, qu'il s'endormit tout debout, et ne s'éveilla qu'une heure après que j'eus fini. "")","('#arlequin', ""Oui, je le veux.  Une fille ne gagne pas tant d'argent à ne faire que des lits dans une hôtellerie."")",1.55,Substitution
