beissier-proprietaire-et-locataire,beissier-locataire,Score
"('#le-commissaire', ""Il avoue au moins, celui-là.  Voyons à vous, gendarme, rajoutez-moi ce qui s'est passé."")","('#le-commissaire', ""Il avoue au moins, celui-là.  Voyons à vous, gendarme, rajoutez-moi ce qui s'est passé."")",1.0
"('#le-gendarme', ""Voilà !  J'entre, je trouve ces deux particuliers, criant, et tenant chacun un bout d'un grand balai."")","('#le-gendarme', ""Voilà !  J'entre, je trouve ces deux particuliers, criant, et tenant chacun un bout d'un grand balai."")",1.0
"('#le-commissaire', 'Qui tapait ?')","('#le-commissaire', 'Qui tapait ?')",1.0
"('#le-proprietaire', 'Lui...')","('#le-proprietaire', 'Lui...')",0.9999999403953552
"('#guignol', 'Lui...  Aïe ! Criant. ')","('#guignol', 'Lui...  Aïe ! Criant. ')",1.0
"('#le-commissaire', ""C'est donc vous ?"")","('#le-commissaire', ""C'est donc vous ?"")",0.9999999403953552
"('#le-proprietaire', 'Mais pas du tout.')","('#le-proprietaire', 'Mais pas du tout.')",0.9999998807907104
"('#le-commissaire', ""Puisqu'il crie aïe !  C'est qu'il a du mal."")","('#le-commissaire', ""Puisqu'il crie aïe !  C'est qu'il a du mal."")",0.9999998807907104
"('#le-proprietaire', ""Mais c'est moi qui devrais crier."")","('#le-proprietaire', ""Mais c'est moi qui devrais crier."")",1.000000238418579
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.0
"('#guignol', ""C'est le coup... coup... coup... qui m'a... m'a... m'a... le... le..."")","('#guignol', ""C'est le coup... coup... coup... qui m'a... m'a... m'a... le... le..."")",0.9999998807907104
"('#le-commissaire', ""J'y suis. Gendarme ! Appelant."")","('#le-commissaire', ""J'y suis. Gendarme ! Appelant. "")",1.0
"('#le-gendarme', 'Présent !')","('#le-gendarme', 'Présent !')",0.9999999403953552
"('#le-commissaire', ""Ce garçon était-il aussi idiot quand vous l'avez arrêté ?"")","('#le-commissaire', ""Ce garçon était-il aussi idiot quand vous l'avez arrêté ?"")",1.0
"('#le-gendarme', 'Je ne crois pas.')","('#le-gendarme', 'Je ne crois pas.')",0.9999997615814209
"('#le-commissaire', ""Alors c'est clair !  Ce sont les coups qui lui ont paralysé la langue.  D'ailleurs il se plaint. Ça vous fait donc bien mal ? À Guignol."")","('#le-commissaire', ""Alors c'est clair !  Ce sont les coups qui lui ont paralysé la langue.  D'ailleurs il se plaint. Ça vous fait donc bien mal ? À Guignol. "")",1.0
"('#guignol', 'Oui... oui... oui...  Aïe !... Criant.')","('#guignol', 'Oui... oui... oui...  Aïe!... Criant.')",0.9754265546798706
"('#le-commissaire', ""J'en étais sûr."")","('#le-commissaire', ""J'en étais sûr."")",1.0
"('#le-proprietaire', ""Mais ce n'est pas vrai ; c'est un menteur, Monsieur_le_Commissaire.  Il n'est pas bègue...  Vous vous trompez."")","('#le-proprietaire', ""Mais ce n'est pas vrai ; c'est un menteur, monsieur_le_Commissaire.  Il n'est pas bègue...  Vous vous trompez."")",0.998876690864563
"('#le-commissaire', 'La justice ne se trompe jamais.')","('#le-commissaire', 'La justice ne se trompe jamais.')",1.0000001192092896
"('#le-gendarme', 'Jamais !')","('#le-gendarme', 'Jamais !')",1.0000001192092896
"('#le-proprietaire', ""Mais c'est moi qui ai reçu les coups."")","('#le-proprietaire', ""Mais c'est moi qui ai reçu les coups."")",1.000000238418579
"('#le-commissaire', 'Prouvez-le.  Où sont les marques ?')","('#le-commissaire', 'Prouvez-le.  Où sont les marques ?')",1.0
"('#le-proprietaire', ""Je n'en ai pas, heureusement."")","('#le-proprietaire', ""Je n'en ai pas, heureusement."")",0.9999998807907104
"('#le-commissaire', ""Et bien alors !  Lui, il en a au moins !  Vous voyez que j'ai raison ; donc c'est vous que je condamne."")","('#le-commissaire', ""Et bien alors !  Lui, il en a au moins !  Vous voyez que j'ai raison ; donc c'est vous que je condamne."")",0.9999999403953552
"('#le-proprietaire', ""Condamné, moi !  Pour avoir voulu me faire payer ce qu'on me devait.  Elle est trop forte !"")","('#le-proprietaire', ""Condamné, moi !  Pour avoir voulu me faire payer ce qu'on me devait.  Elle est trop forte !"")",1.0000003576278687
"('#le-commissaire', ""C'est jugé.  Il n'y a plus à revenir."")","('#le-commissaire', ""C'est jugé.  Il n'y a plus à revenir."")",1.0000001192092896
"('#le-proprietaire', 'Mais...')","('#le-proprietaire', 'Mais...')",0.9999997615814209
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.0
"('#guignol', 'Silence !')","('#guignol', 'Silence !')",1.0
"('#le-commissaire', ""Vous resterez eu prison, jusqu'à sa guérison."")","('#le-commissaire', ""Vous resterez eu prison, jusqu'à sa guérison."")",1.0000001192092896
"('#le-proprietaire', ""Jusqu'à sa guérison !  Mais c'est affreux !"")","('#le-proprietaire', ""Jusqu'à sa guérison !  Mais c'est affreux !"")",1.0000001192092896
"('#le-commissaire', ""Gendarme !  Emmenez monsieur, en prison, et ce pauvre garçon à l'hôpital."")","('#le-commissaire', ""Gendarme !  Emmenez monsieur, en prison, et ce pauvre garçon à l'hôpital."")",1.000000238418579
"('#le-proprietaire', ""Ah !  Le gueux !  Le pendard !  J'étouffe !"")","('#le-proprietaire', ""Ah !  Le gueux !  Le pendard !  J'étouffe !"")",1.0
"('#le-commissaire', ""N'insultez pas votre victime !"")","('#le-commissaire', ""N'insultez pas votre victime !"")",1.0000001192092896
"('#guignol', ""Aïe ! Dites donc, mon bon propriétaire, mon aimable propriétaire, si vous voulez, me donner quittance de mon terme, je vais essayer de guérir tout de suite. Il s'approche du propriétaire. - Bas."")","('#guignol', ""Aïe ! Dites donc, mon bon propriétaire, mon aimable propriétaire, si vous voulez, me donner quittance de mon terme, je vais essayer de guérir tout de suite. Il s'approche du propriétaire. - Bas."")",0.9999999403953552
"('#le-proprietaire', 'Ah !  Le brigand !  Monsieur_le_Commissaire, venez donc voir comme il mentait.')","('#le-proprietaire', 'Ah !  Le brigand !  Monsieur_le_Commissaire, venez donc voir comme il mentait.')",0.9999999403953552
"('#le-commissaire', 'Quoi ?')","('#le-commissaire', 'Quoi ?')",0.9999997615814209
"('#guignol', 'Aïe !...  Là, là, là !  Aïe !')","('#guignol', 'Aïe !...  Là, là, là!  Aïe !')",0.9863185882568359
"('#le-commissaire', ""Vous, si vous recommencez, je double la dose.  En prison, et jusqu'à la guérison de ce pauvre malheureux."")","('#le-commissaire', ""Vous, si vous recommencez, je double la dose.  En prison, et jusqu'à la guérison de ce pauvre malheureux."")",1.0000001192092896
"('#guignol', 'Eh bien !')","('#guignol', 'Eh bien !')",1.000000238418579
"('#le-proprietaire', 'Tiens !  Voilà la quittance !  Voilà tout !  Mais dis vite que tu es guéri.')","('#le-proprietaire', 'Tiens !  Voilà la quittance !  Voilà tout!  Mais dis vite que tu es guéri.')",0.9952664375305176
"('#guignol', ""Merci.  M'sieur le commissaire, je suis guéri. Haut."")","('#guignol', ""Merci.  M'sieur_le_commissaire, je suis guéri. Haut."")",0.883243203163147
"('#le-commissaire', 'Ah !  Bah !')","('#le-commissaire', 'Ah !  Bah !')",0.9999998211860657
"('#le-proprietaire', 'Quand je vous le disais !')","('#le-proprietaire', 'Quand je vous le disais !')",0.9999998807907104
"('#le-commissaire', ""Je ne me trompe jamais, n'est-ce pas, Gendarme ?"")","('#le-commissaire', ""Je ne me trompe jamais, n'est-ce pas, Gendarme ?"")",0.9999998807907104
"('#le-gendarme', 'Jamais !')","('#le-gendarme', 'Jamais !')",0.9999998807907104
"('#le-commissaire', ""Vous n'irez pas en prison, mais vous paierez l'amende tout de même."")","('#le-commissaire', ""Vous n'irez pas en prison, mais vous paierez l'amende tout de même."")",1.0
"('#guignol', 'Moralité : il ne faut jamais tracasser son locataire.')","('#guignol', 'Moralité : il ne faut jamais tracasser son locataire.')",1.0000001192092896
"('#le-gendarme', 'Lirelonlaire !')","('#le-gendarme', 'Lirelonlaire !')",0.9999998807907104
"('#guignol', 'Salue donc mieux que ça. Lireloula ! Ainsi finit la comédie. Au public.')","('#guignol', 'Salue donc mieux que ça. Lirelonla ! Ainsi finit la comédie. Au public. ')",0.9284060001373291
